
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly Andy and I co Renee rich you'll join me. We got lots to talk about
[00:23:21.260 --> 00:23:24.460]   We're taking one of those things away from you right now and we're not
[00:23:24.460 --> 00:23:29.260]   And I think if they could put if there was an invoice of like on a new car
[00:23:29.660 --> 00:23:35.500]   It's oh by the way, we saved you 18 cents by removing the headphone track at least I could have 18 cents in my hand
[00:23:35.500 --> 00:23:39.580]   At least I could you know go back to 1971 and buy a coke with that
[00:23:39.580 --> 00:23:43.420]   All three of those people abby henry and mary have headphones they like to use
[00:23:43.420 --> 00:23:46.380]   Yeah, they didn't want to replace the headphones as good as the air
[00:23:46.380 --> 00:23:49.260]   I love the air pods. I just bought a second pair because I lost my first one
[00:23:49.260 --> 00:23:52.940]   Yeah, but uh, there's our adapters when people lose the adapters. Are they inconvenient?
[00:23:52.940 --> 00:23:55.900]   It's in the adapters inconvenient. I I mean I have
[00:23:55.900 --> 00:23:58.540]   I carry my air pods and an adapter
[00:23:59.420 --> 00:24:01.420]   but but uh
[00:24:01.420 --> 00:24:03.660]   Yeah, I can I can I can I should have an adapter in it
[00:24:03.660 --> 00:24:07.260]   You can really pull out an adapter right from the airplane and it may not be fully logical
[00:24:07.260 --> 00:24:11.020]   You know, you can say well, you just you know, you if you have a favorite pair of headphones
[00:24:11.020 --> 00:24:13.100]   You just connect the adapter to it
[00:24:13.100 --> 00:24:19.180]   And leave it that way and that was those are those are lightning then you get on a plane and you take them off and you put the adapter somewhere
[00:24:19.180 --> 00:24:22.940]   I'm gonna grant that it may not be fully logical, but uh
[00:24:22.940 --> 00:24:27.980]   It's definitely there. It's out there in the world that people are saying well, I you know, I want my head
[00:24:28.060 --> 00:24:31.100]   I miss parts of it. They google say why they deleted the headphone jack that they have a
[00:24:31.100 --> 00:24:33.180]   I'm assuming they didn't say courage
[00:24:33.180 --> 00:24:40.620]   They saw another company play that car they saw how well that one played out. Don't say courage whatever you do
[00:24:40.620 --> 00:24:45.980]   No interestingly google didn't even uh mention it. They just uh, they just drew I deleted it
[00:24:45.980 --> 00:24:51.980]   They they knew that people would figure it out. Yeah, I think the thing is the thing is I think it's it really is like baggage fees
[00:24:51.980 --> 00:24:54.540]   For check bags where there was
[00:24:55.340 --> 00:24:59.260]   Well, there's well there was a company there had to be one company that said, you know what?
[00:24:59.260 --> 00:25:02.460]   We're gonna just simply start charging you 15 bucks per bag
[00:25:02.460 --> 00:25:07.900]   In an environment where everybody and instead of all the other companies crump playing say oh, we would never do that
[00:25:07.900 --> 00:25:13.180]   They said oh a penguin has jumped off the ice flow into the water. Let's see what happens that first penguin
[00:25:13.180 --> 00:25:18.620]   Yeah, I mean they the real is it was never a question of oh, I I lost the headphone jack
[00:25:18.620 --> 00:25:21.020]   And that was the most wonderful thing that could have possibly done for me
[00:25:21.020 --> 00:25:25.980]   And I would thank goodness it was I am not willing to switch to a completely different
[00:25:25.980 --> 00:25:30.300]   Phone platform just to get the headphone jack back. I don't like it
[00:25:30.300 --> 00:25:32.940]   But I don't really feel as though I have that much of a choice in the matter
[00:25:32.940 --> 00:25:39.580]   So it's it's when you have it's when you make more serious changes like again like the keyboard and I'm I'm sort of in
[00:25:39.580 --> 00:25:42.780]   I'm sort of in your boat where I've I've
[00:25:42.780 --> 00:25:47.740]   I told you a while ago that I got a think pad a Lenovo think pad which has the
[00:25:48.940 --> 00:25:50.940]   Really probably the best
[00:25:50.940 --> 00:25:54.140]   Across the board keyboard you can find on a laptop these days
[00:25:54.140 --> 00:25:59.100]   And so that's the upstairs computer the macbook is the downstairs computer
[00:25:59.100 --> 00:26:02.860]   So I don't no longer you know, track this unplug and go up up and down with them
[00:26:02.860 --> 00:26:07.340]   And I have to say I'm I'm starting to like bring the think pad downstairs because
[00:26:07.340 --> 00:26:10.220]   the even my even my 20
[00:26:10.220 --> 00:26:12.140]   2016
[00:26:12.140 --> 00:26:17.980]   MacBook keyboard is not feeling very good compared to a really good notebook keyboard
[00:26:18.300 --> 00:26:20.300]   And it's like oh god. I
[00:26:20.300 --> 00:26:22.140]   Everything everything about this notebook
[00:26:22.140 --> 00:26:24.220]   I love except for the operating system
[00:26:24.220 --> 00:26:26.300]   It runs and except for the software that it runs
[00:26:26.300 --> 00:26:30.620]   And then yeah, and I would love a mac book because I love the operating system and all of the software
[00:26:30.620 --> 00:26:35.020]   But I can't use that keyboard and if I feel like it's a failing on my part
[00:26:35.020 --> 00:26:38.060]   I really do like I should just oh no again. It's
[00:26:38.060 --> 00:26:44.700]   You you this is something just just like the phone is something you use it all the time and you guys especially you're writing all the time
[00:26:44.700 --> 00:26:47.100]   I don't even write that yeah, but I'm totally keep like I said
[00:26:47.100 --> 00:26:53.740]   I'm keyboard resilient. I go from an iPad the apple smart keyboard to a macbook to a macbook pro and within five minutes
[00:26:53.740 --> 00:26:55.740]   My brain is just like oh whatever type
[00:26:55.740 --> 00:27:00.140]   You know actually bad for a reviewer because I had stronger opinion. It's yeah
[00:27:00.140 --> 00:27:02.860]   Well, I mean I switch I switch between keyboards all the time too
[00:27:02.860 --> 00:27:07.420]   I mean right right here in the office. I've got like these two keyboards plus the
[00:27:07.420 --> 00:27:12.540]   I'm this is not this is not a joke plus I've got the
[00:27:13.500 --> 00:27:17.660]   One of my favorite apple keyboards the old fashioned like old fashioned macbook keyboard
[00:27:17.660 --> 00:27:22.940]   Which I use when I need to podcast and so I need to be able to type silently and then when I'm typing
[00:27:22.940 --> 00:27:24.860]   an anger
[00:27:24.860 --> 00:27:29.100]   Like for for money. I've got like the the really good like code clicky keyboard
[00:27:29.100 --> 00:27:31.420]   So I'm switching over and over and over again
[00:27:31.420 --> 00:27:34.940]   It's just that I will say objectively that
[00:27:34.940 --> 00:27:37.180]   excuse me my
[00:27:37.180 --> 00:27:39.180]   Objectively is a strong word
[00:27:39.260 --> 00:27:42.220]   It's the what that's the the keyboard on the macbook is the one where
[00:27:42.220 --> 00:27:46.940]   Doesn't matter how long I've been using it. It doesn't matter the use case
[00:27:46.940 --> 00:27:50.700]   I'm always hating that keyboard. But again, that's a the other conversation
[00:27:50.700 --> 00:27:53.500]   I find it hard to switch to the 15 inch one the 13 inch one is fine for me
[00:27:53.500 --> 00:27:56.860]   But when I go to the 15 inch one I make tons of mistakes. I wonder if it's just a scaling thing
[00:27:56.860 --> 00:27:59.340]   And then I'm back on the 13. I'm fine
[00:27:59.340 --> 00:28:05.580]   Let's take a break lots more to talk about including swelling batteries. How serious is it? I don't know
[00:28:06.140 --> 00:28:10.620]   But I'm sure you guys will have an opinion more about the new apple
[00:28:10.620 --> 00:28:13.900]   Products we could talk a little bit about how the google products
[00:28:13.900 --> 00:28:21.420]   Compare google going head to head with apple in the home speaker space. So is sonos for that matter
[00:28:21.420 --> 00:28:23.820]   It's oh, I thought you're gonna say the headphone jack deletion space
[00:28:23.820 --> 00:28:27.100]   They own apple owns the headphone jack deletion space
[00:28:27.100 --> 00:28:30.700]   We did this first and we got zero credit now
[00:28:30.700 --> 00:28:36.300]   And google are getting actually let's be fair the very first Android phone the HTC made
[00:28:36.300 --> 00:28:42.300]   G1 did not have a headphone jack and I had a tilt or something and early HTC windows phone that didn't have one either
[00:28:42.300 --> 00:28:44.300]   I had this horrible little breakout cable
[00:28:44.300 --> 00:28:49.580]   And I used to I used to have this really horrible like apple phone
[00:28:49.580 --> 00:28:54.860]   I think was called an iPhone where you had to have special adapter to plug in like it was
[00:28:54.860 --> 00:28:57.820]   You talk about the kick in the pants. I mean you used a regular analog thing
[00:28:57.820 --> 00:29:02.860]   But how about a custom analog goodness? I plugged the adapter into my lightning my air
[00:29:02.860 --> 00:29:07.020]   Lightning after my air pods didn't wired air pods an alley. I didn't help
[00:29:07.020 --> 00:29:11.260]   I thought I could wire my air pods
[00:29:11.260 --> 00:29:15.660]   Someone actually asked us that instead if you plug the lightning headphones into the air pods case
[00:29:15.660 --> 00:29:19.420]   Do you have wireless headphones? We had to say no sadly does it does not work that way?
[00:29:19.420 --> 00:29:20.780]   No, no, no
[00:29:20.780 --> 00:29:25.260]   You can fit the case into your ear canal. Yeah, you got it. I don't say that we're sending us a picture
[00:29:26.060 --> 00:29:28.060]   *laughs*
[00:29:28.060 --> 00:29:30.060]   Our show today brought to you by Jamf
[00:29:30.060 --> 00:29:32.860]   Does Jamf stand for something?
[00:29:32.860 --> 00:29:35.340]   J-A-M-F
[00:29:35.340 --> 00:29:39.820]   It probably does and deep in the deep prehistory, but everybody who knows max knows Jamf
[00:29:39.820 --> 00:29:46.540]   Jamf makes Jamf now is uh really nice. They make apple management software for it folks
[00:29:46.540 --> 00:29:50.060]   And they make now a really nice product called Jamf now
[00:29:50.700 --> 00:29:56.220]   It's an on-demand mobile device management solution for apple devices if you uh if you work in an environment where
[00:29:56.220 --> 00:30:01.980]   You've got a bunch of apple devices. You've got to keep track of ipads, ipads, ipons and macintashes
[00:30:01.980 --> 00:30:04.940]   Jamf now is awesome. You know, it's easy
[00:30:04.940 --> 00:30:11.020]   It was easy for us when we first started we had a handful of ipads a handful of macintashes
[00:30:11.020 --> 00:30:14.140]   We could do it on our own, but as you start to grow
[00:30:14.140 --> 00:30:19.580]   You buy more tech free employees. It's harder to keep track of everything ipads and ipads and max
[00:30:20.060 --> 00:30:22.060]   We have a ton of them fortunately
[00:30:22.060 --> 00:30:28.380]   We've got Jamf now if you if you lose an ipad you can secure it remotely with Jamf now
[00:30:28.380 --> 00:30:35.580]   It makes management tasks like deploying wifi passwords securing company data in forcing passcodes simple
[00:30:35.580 --> 00:30:39.820]   And by the way very affordable. It's inexpensive Jamf now
[00:30:39.820 --> 00:30:45.340]   Let's you easily set up devices exactly like you want them with the accounts the applications all
[00:30:45.340 --> 00:30:48.460]   You know the settings that you need in your workspace
[00:30:48.460 --> 00:30:51.420]   So you don't you know that makes it really great for your employees
[00:30:51.420 --> 00:30:54.060]   remotely configure settings too
[00:30:54.060 --> 00:31:00.060]   With the like wifi passwords and email account information. So for instance if you're in the situation, which is not unusual
[00:31:00.060 --> 00:31:06.300]   Uh, where you decide to change the wifi password because it's been compromised or maybe you just that's your policy to change that every month
[00:31:06.300 --> 00:31:12.380]   You don't have to send an email out saying the new password is you can actually change it on the phones directly with Jamf now
[00:31:12.380 --> 00:31:18.300]   Email account information same thing protect sensitive information you can even lock or wipe a device if an employee
[00:31:18.380 --> 00:31:25.820]   Walks out the door. Don't worry your data won't you can centrally deploy apps view device details get a 360 degree view of your inventory
[00:31:25.820 --> 00:31:31.140]   And you don't need to be 19 wizards you just need Jamf now so go to Jamf j
[00:31:31.140 --> 00:31:36.780]   Mf.com/macbreak and start securing your business today you can create a free account
[00:31:36.780 --> 00:31:40.860]   And what I love is you can manage your first three devices for free forever
[00:31:40.860 --> 00:31:46.060]   And adding more devices to two bucks a month. That's it jamf.com
[00:31:46.860 --> 00:31:48.300]   Dot com
[00:31:48.300 --> 00:31:55.820]   Slash macbreak get your free account going and your first three devices free Jamf j a m f dot com slash
[00:31:55.820 --> 00:32:03.100]   Mac break anti and aqua chicago sun times rene richie i'm more dot com leo loport talking about apple
[00:32:03.100 --> 00:32:05.980]   Uh and all its glory
[00:32:05.980 --> 00:32:10.220]   People keep saying why aren't you talking more about the swelling iPhones?
[00:32:10.220 --> 00:32:14.460]   Because how many are there total seven six six?
[00:32:15.180 --> 00:32:18.220]   Yeah, I think there's six still which is I think we talked about this last week
[00:32:18.220 --> 00:32:20.060]   I talked to jerry hildenbrand who's like an actual
[00:32:20.060 --> 00:32:25.820]   Engineer like he can get into electronics and do things with them and he was giving me this the the average
[00:32:25.820 --> 00:32:31.740]   It's it's something like one out of every so many thousand hours at lithium ion batteries have a failure rate for and
[00:32:31.740 --> 00:32:35.500]   All of the my own batteries fail because they're not a stable technology
[00:32:35.500 --> 00:32:38.300]   We just we know we use them because they're the best thing we have
[00:32:38.300 --> 00:32:40.540]   It's when that rate of failure becomes
[00:32:40.860 --> 00:32:45.420]   Excessive when it's a much higher rate than what you'd expect and then you you have a problem
[00:32:45.420 --> 00:32:47.500]   That's what happened with the galaxy note, but right now
[00:32:47.500 --> 00:32:52.140]   Every I mean every phone has failures every year you can search meshes boards or forums or anything and find them
[00:32:52.140 --> 00:32:57.580]   Uh, it's just we're hypersensitive now because we're all used to the huge bruhaha that we had with the the galaxy
[00:32:57.580 --> 00:33:00.460]   Note seven and airplanes announcing them and you know
[00:33:00.460 --> 00:33:07.340]   Massive amounts of how many how many iPhone 8s do you think apples sold? It's got to be millions right millions
[00:33:07.340 --> 00:33:08.540]   Yeah, there's millions out there
[00:33:08.540 --> 00:33:12.460]   So if you have a failure rate of one thousandth of one percent
[00:33:12.460 --> 00:33:16.620]   I mean, I don't know a seven out of millions is a very low failure rate
[00:33:16.620 --> 00:33:19.500]   I don't I don't think it's cause for concern. I think it happens every time
[00:33:19.500 --> 00:33:24.620]   Totally and I asked Jerry his big takeaway was that oh look how nicely it splits open to prevent it from incentive
[00:33:24.620 --> 00:33:30.060]   Actually, that's a good point if the if the note seven had done that you wouldn't have the fires
[00:33:30.060 --> 00:33:33.580]   But it was so tiny in there that you get short circuits
[00:33:33.580 --> 00:33:38.380]   Yeah, that's a good. Yeah, that's like having breakaway panels or something. That's a good point
[00:33:38.380 --> 00:33:39.500]   Yeah
[00:33:39.500 --> 00:33:42.220]   Yep, that's that's a good point to make every every time there's a brand new
[00:33:42.220 --> 00:33:45.740]   Model of something really really big and really really popular
[00:33:45.740 --> 00:33:47.260]   Don't
[00:33:47.260 --> 00:33:50.940]   You're you're gonna see you're gonna see reports like this for the first couple of weeks
[00:33:50.940 --> 00:33:55.180]   The question is do you see reports like that for the next month month and a half?
[00:33:55.180 --> 00:33:57.020]   Do they tend to escalate do they tend to mount?
[00:33:57.020 --> 00:34:01.020]   And so if you have just one isolated incident of this happening
[00:34:01.020 --> 00:34:06.460]   Then that's law of averages. And so don't worry. Don't worry about the the line as a whole
[00:34:07.020 --> 00:34:12.220]   When when apple had its antenna problems, everybody was experiencing that and it didn't go away after a couple of weeks
[00:34:12.220 --> 00:34:14.780]   And that was clearly a problem with the design
[00:34:14.780 --> 00:34:19.660]   But this is not the times that we've seen like remember when they the I the first
[00:34:19.660 --> 00:34:24.860]   iPhone 6 plus came out and people were concerned. They're oh, it's it's made out of it's made out of
[00:34:24.860 --> 00:34:33.340]   Out of out of wallpaper paste it bends like like nothing. Okay. No, you can find people who wound up bending their phones
[00:34:33.820 --> 00:34:38.220]   Uh, they were not it's not they didn't necessarily treat these things poorly
[00:34:38.220 --> 00:34:44.780]   But the fact that you didn't really see this as a widespread epidemic indicates that this is just something that can happen to this phone
[00:34:44.780 --> 00:34:51.180]   It's opposed to a design defect. So show show me show me thousands of batteries that are doing this again
[00:34:51.180 --> 00:34:54.700]   At a scale of where they're expecting to sell maybe 10 million a quarter
[00:34:54.700 --> 00:35:01.020]   You would have to really have hundreds or thousands of these batteries having a problem before you'd have to say this is a design problem as opposed to
[00:35:01.340 --> 00:35:06.620]   Again law of averages. Yeah, I don't want to sound like last year that we're apple watch the first generation apple pot watches
[00:35:06.620 --> 00:35:10.220]   We're swelling and the front cover was coming off and apple just replaced them. I think there was like
[00:35:10.220 --> 00:35:12.700]   Happened to mine. I was one of the people that had happened too
[00:35:12.700 --> 00:35:15.740]   And they just they just announced that you bring it in and they change it
[00:35:15.740 --> 00:35:19.660]   I think it was a couple dozen in the end out of however many million the first apple watch yet
[00:35:19.660 --> 00:35:23.660]   My first pair of airpods had that same problem. Yeah, these things happen
[00:35:23.660 --> 00:35:28.940]   Uh, I don't want to be an apologist and we'll certainly keep an eye on it and if it continues that might be an issue
[00:35:29.340 --> 00:35:33.260]   but at this point seven failures is not a significant
[00:35:33.260 --> 00:35:40.220]   Issue and somebody's saying well if you had seven failures on an airplane. Yeah, but nobody's nobody's been hurt
[00:35:40.220 --> 00:35:46.460]   Anybody who had this happened presumably brought it to apple and they I'm sure not only do they want you to
[00:35:46.460 --> 00:35:50.700]   Yes, they'll immediately replace it. They want to study it. So they there's no
[00:35:50.700 --> 00:35:51.900]   No issue
[00:35:51.900 --> 00:35:56.220]   Also, if you have impact like if you do drop a phone and there's significant impact keep an eye on it because again
[00:35:56.300 --> 00:35:59.340]   Lithium batteries are not the stable things in the world. So panic
[00:35:59.340 --> 00:36:04.780]   It's it's contained fury, but you know, just keep an eye on them and if you have any problem at all, please take them in immediately
[00:36:04.780 --> 00:36:07.420]   Here's some good news
[00:36:07.420 --> 00:36:13.100]   And actually kind of interesting news future mark, which does benchmarking
[00:36:13.100 --> 00:36:21.420]   Benchmarked old iPhone devices is well, actually they didn't have to because they collect in the database benchmark results
[00:36:21.420 --> 00:36:25.020]   They have a hundred thousand results for seven different iPhone models
[00:36:25.580 --> 00:36:27.580]   So these are people using future mark
[00:36:27.580 --> 00:36:32.540]   And they they wanted to see is it true that if iPhones get slower over time
[00:36:32.540 --> 00:36:36.540]   People often say, ah, you know my iPhone is so sluggish now
[00:36:36.540 --> 00:36:42.780]   The good news updated wants me to buy a new phone. Right. Yeah, they borked my phone just so I get a new one
[00:36:42.780 --> 00:36:45.100]   Look how flat that curve is
[00:36:45.100 --> 00:36:47.820]   uh, there is this
[00:36:47.820 --> 00:36:50.140]   virtually zero
[00:36:50.140 --> 00:36:55.500]   Change uh, and it's not always by the way of slower sometimes it's fast
[00:36:55.500 --> 00:36:56.700]   or
[00:36:56.700 --> 00:36:58.540]   the gpu there's a
[00:36:58.540 --> 00:37:02.140]   Maybe uh, it just doesn't look like this is an issue at all
[00:37:02.140 --> 00:37:05.020]   There's a couple of important things to note about this though
[00:37:05.020 --> 00:37:10.460]   One is that, um, iPhone slow a lot of these reports come out every september because google trends
[00:37:10.460 --> 00:37:16.060]   Spikes for that search result and the thing to remember is that every iphone is updated all at the same time
[00:37:16.060 --> 00:37:22.940]   Everywhere on every carrier for every model that's supported and that means that everybody who does think the other problem will be googling for all at once
[00:37:23.180 --> 00:37:29.180]   Where other phones are updated throughout the year at different paces in different areas on different carriers for different models
[00:37:29.180 --> 00:37:31.980]   So people who are searching for galaxy s something slow
[00:37:31.980 --> 00:37:37.980]   There's no it's not everyone in humanity all at the same time doing it those search results are normalized across the entire year
[00:37:37.980 --> 00:37:41.900]   And the other thing is they are only testing for processor performance
[00:37:41.900 --> 00:37:48.620]   And that's to show that apple did not put code in there to deliberately make your processors lower or deliberately make your cpu slower
[00:37:48.860 --> 00:37:56.060]   It doesn't say whether this version of ios wasn't as well optimized or dropped frames or developers didn't support older versions of apps as well
[00:37:56.060 --> 00:37:59.260]   And they're slower to launch or slower to have um, you know
[00:37:59.260 --> 00:38:03.260]   All those things can be true and apple has a performance team
[00:38:03.260 --> 00:38:08.620]   There's a team called the performance team that they have their job is to make sure these devices run really fast
[00:38:08.620 --> 00:38:15.900]   They have older models a lot of people in apple and all the organizations use older models as part of that testing and also all their families
[00:38:15.900 --> 00:38:20.540]   They're you know, their parents their siblings their kids their friends use older iphones
[00:38:20.540 --> 00:38:24.940]   So they would be really angry if anything was done artificially make those iphones slow
[00:38:24.940 --> 00:38:30.860]   It's just that they're releasing so many versions and one it's not until you get in the hands of millions of people that you really see
[00:38:30.860 --> 00:38:37.740]   What you need to optimize in the code, which is why dot one and dot two are usually much better performing than dot zero ever is it's also
[00:38:37.740 --> 00:38:43.180]   Something apple doesn't need to do people want new iphones they will buy them
[00:38:43.820 --> 00:38:46.620]   You don't have to see art officially to create a smartphone
[00:38:46.620 --> 00:38:49.980]   So they want you to feel there's value and like longer term value in good point
[00:38:49.980 --> 00:38:51.740]   also
[00:38:51.740 --> 00:38:58.300]   Second hand iphone uses kind of their response to how come you're not selling an 80 dollar phone like like the android's ecosystem does
[00:38:58.300 --> 00:39:01.500]   Uh, and you and you get back to something that we've been saying
[00:39:01.500 --> 00:39:05.740]   For everyone's was saying for like 10 15 20 years of the the computer that you buy
[00:39:05.740 --> 00:39:12.780]   Unlike a car will always run the the always do the thing you bought it for with the apps that you started using it with
[00:39:13.180 --> 00:39:17.580]   Exactly as well on day 10,000 at it as it did on day one
[00:39:17.580 --> 00:39:22.620]   So if you have your iphone five or your iphone five and you've been using
[00:39:22.620 --> 00:39:29.900]   Essentially the same class and suite of apps. It'll certainly run great. Like rene says it's kind of it's kind of I would I would require
[00:39:29.900 --> 00:39:34.460]   Incredibly good proof that apple was intentionally trying to sandbag older phones
[00:39:34.460 --> 00:39:36.140]   uh, I
[00:39:36.140 --> 00:39:39.260]   You do tend I do think you run to performance problems when you
[00:39:39.900 --> 00:39:47.020]   Start running apps that are that were not be that that were not around when the developers start
[00:39:47.020 --> 00:39:50.620]   Excuse me when you start running apps that are really designed for modern hardware
[00:39:50.620 --> 00:39:55.580]   Where the developer really isn't running it on a iphone five to see what it looks like on an iphone five
[00:39:55.580 --> 00:39:57.260]   Then sure it's going to seem sluggish
[00:39:57.260 --> 00:40:02.940]   Particularly if you've got if you've got the third hand me down and you see that mom or dad who's got the iphone eight
[00:40:02.940 --> 00:40:08.620]   And the iphone 10 that my god this this this instagram filter runs so much faster on this other phone
[00:40:09.100 --> 00:40:12.700]   So yeah, it's it's like it's apple has way too much
[00:40:12.700 --> 00:40:15.980]   Require requires way too much of the older phones
[00:40:15.980 --> 00:40:21.660]   To intentionally send back performance like that and and I install as new just as a tip
[00:40:21.660 --> 00:40:24.060]   If you do think your iphone is slower you're having a lot of problems
[00:40:24.060 --> 00:40:30.220]   It is a complete pain in the apps to do but I typically install new on at least one phone every time because I feel like that's the clean start
[00:40:30.220 --> 00:40:37.020]   No bit rot no incompatibilities. No problems with old backups just a fresh start and that hardware will usually last a while
[00:40:37.580 --> 00:40:41.100]   Not a bad idea and if you yeah if it's getting slow wipe the phone and start over
[00:40:41.100 --> 00:40:46.700]   Especially with so much to sync now so much data is in the cloud and so much to sync does not nearly as onerous as it used to be to be installed
[00:40:46.700 --> 00:40:51.980]   Not not only that but it's some you know how it is you there'll be a 99 cent app or it's a free app with
[00:40:51.980 --> 00:40:53.420]   with
[00:40:53.420 --> 00:40:55.420]   A&AP purchases and
[00:40:55.420 --> 00:40:59.660]   After about eight or nine months. You don't realize that I have 231 apps on my phone
[00:40:59.660 --> 00:41:04.140]   How did that happen and it really and it really is a lot faster. Just simply say what if I just simply
[00:41:05.020 --> 00:41:07.740]   I will simply zorch this phone start from scratch again
[00:41:07.740 --> 00:41:12.140]   And I will not you know, I will not visit the app store and look for apps to install
[00:41:12.140 --> 00:41:17.660]   I will simply and this is this is something that I do with every new device including every new uh new laptop that I have
[00:41:17.660 --> 00:41:21.420]   It's when I just when it at the point which I need BB edit
[00:41:21.420 --> 00:41:24.780]   That's when I download BB edit at the point at which I need microsoft word
[00:41:24.780 --> 00:41:27.580]   That's when I download microsoft word and after two or three weeks
[00:41:27.580 --> 00:41:31.500]   I've realized that it's been a week since I downloaded everything anything and oh my god
[00:41:31.500 --> 00:41:38.460]   I've gone from 230 something apps down to like 41. It's funny. You should say that because I've just this last couple of weeks
[00:41:38.460 --> 00:41:43.660]   Uh on the radio show have added a new security recommendation, which is
[00:41:43.660 --> 00:41:49.580]   Exactly that don't install anything install when you need it and not before then
[00:41:49.580 --> 00:41:54.540]   Because every app you install it's more true on computers than it does on the phones
[00:41:54.540 --> 00:41:59.020]   But it's true for everywhere every app you install has the potential for adding flaws
[00:41:59.500 --> 00:42:06.300]   Reliability issues and even security issues and so if you know, I do I we all you know
[00:42:06.300 --> 00:42:11.020]   Reinstall all our apps and that's a mistake. I recently went through a prune
[00:42:11.020 --> 00:42:15.500]   Uh actually did on my android device preparing for the new pixel
[00:42:15.500 --> 00:42:19.420]   And I got 60 or 70 apps I deleted that I had just hadn't used
[00:42:19.420 --> 00:42:25.340]   I do love there's a new feature in the iphone that I really liked did they add this an iOS 11 Renee and notices
[00:42:26.060 --> 00:42:29.740]   It says if you don't will delete apps you don't use basically
[00:42:29.740 --> 00:42:34.700]   It'll keep the data if you need them again, but it'll remove them to if you're if you're low on storage
[00:42:34.700 --> 00:42:37.100]   It'll remove them to create space and then redownload them
[00:42:37.100 --> 00:42:42.220]   And I saw I said turn that on and I have some apps that have a little icon that says well
[00:42:42.220 --> 00:42:45.820]   It's not on your phone, but if you need it, we'll get it. I think that's a great
[00:42:45.820 --> 00:42:50.460]   It's super important too because increasingly messaging apps are becoming platforms
[00:42:50.460 --> 00:42:53.500]   And when you have old messaging now, so we saw that with Skype a couple months ago
[00:42:53.500 --> 00:42:56.860]   Where all of a sudden you're getting dms from friends telling you to click on links
[00:42:56.860 --> 00:42:58.620]   And you think it's a friend and you click on it
[00:42:58.620 --> 00:43:02.780]   And then you're the next person who's victimized or you get it in WhatsApp or a twitter DM or something
[00:43:02.780 --> 00:43:06.700]   And if you're not using a messaging app, it's one less attack vector for people to it
[00:43:06.700 --> 00:43:11.340]   So where do you turn that feature on is it an iphone storage in general?
[00:43:11.340 --> 00:43:13.500]   Yeah, it should be in the app store. I believe it'll double check
[00:43:13.500 --> 00:43:17.900]   Somewhere there's a settings app store settings app store. Let me check
[00:43:17.900 --> 00:43:22.060]   This is something I just stumbled on and I went wow, that's a great
[00:43:22.060 --> 00:43:26.620]   The very bottom off offload unused apps. Okay, so if you go to settings
[00:43:26.620 --> 00:43:28.940]   iTunes and app store items at the bottom
[00:43:28.940 --> 00:43:34.860]   It's uh, there's a switch offload unused apps automatically remove unused apps but keep all documents and data
[00:43:34.860 --> 00:43:37.020]   Reinstalling the apple
[00:43:37.020 --> 00:43:42.620]   Place back your data if the app is still available in the app store that is that turn that on
[00:43:42.620 --> 00:43:46.220]   Right away, right? That is a that is fantastic
[00:43:46.220 --> 00:43:48.700]   Anything you can do to make a smaller
[00:43:49.660 --> 00:43:54.060]   Yes, the bane of my existence video. So that is a that is a nice
[00:43:54.060 --> 00:44:00.300]   A nice feature, but in the first place don't install them in the first place and you and you'll save yourself a lot of
[00:44:00.300 --> 00:44:03.180]   Yeah, I'm just curious how many apps I have on here
[00:44:03.180 --> 00:44:07.580]   Let's say it also bears mentioning that a lot of these apps in the background are going to sap your battery a little bit
[00:44:07.580 --> 00:44:12.220]   Right. So you and so like I said, I think that a lot of the lot of complaints are people
[00:44:12.220 --> 00:44:15.820]   With old phones with new operating systems again, it's slower, but also oh my god
[00:44:15.820 --> 00:44:17.820]   What would it hit my batteries taking?
[00:44:17.820 --> 00:44:22.220]   Again, I see I do this in real life as well. There's every 10 years or so
[00:44:22.220 --> 00:44:25.100]   I do what I call the big edit which is I have to
[00:44:25.100 --> 00:44:27.420]   I have to go through every
[00:44:27.420 --> 00:44:29.980]   I go I go I go through every single thing
[00:44:29.980 --> 00:44:34.060]   The goal is to put eyes or hands on every single object I own
[00:44:34.060 --> 00:44:38.940]   Both like inside the house and in storage everywhere and try to make the decision
[00:44:38.940 --> 00:44:43.100]   I put this in the storage five years ago because I thought I could do something with it
[00:44:43.100 --> 00:44:45.820]   I now have no emotional attachment to it. I'm gonna get rid of it
[00:44:46.220 --> 00:44:48.780]   That's and that's also when that's also what I tried
[00:44:48.780 --> 00:44:50.780]   I'm doing this like just before Halloween
[00:44:50.780 --> 00:44:56.540]   So it looks like like everybody who comes to my house is gonna get some sort of like off brand mp3 player from
[00:44:56.540 --> 00:44:58.380]   2006
[00:44:58.380 --> 00:45:02.060]   2007 like oh, thank you a yuosho
[00:45:02.060 --> 00:45:07.100]   Player oh good 30 songs in my pocket. Thank you very much mr
[00:45:07.100 --> 00:45:08.620]   Not go there is a
[00:45:08.620 --> 00:45:12.060]   Swedish term I read this I must have read it on reddit where else would you read it?
[00:45:12.060 --> 00:45:18.460]   But there's a Swedish term for what you do in your life as you get older and you start getting rid of things so your
[00:45:18.460 --> 00:45:26.700]   Your children aren't stuck with all your crap when you die and it's a it's a it's a great
