
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly show where we talk about all the apples stuff
[00:22:10.000 --> 00:22:15.680]   And it would help them make a more mainstream product and with the apple watch there wasn't that there were a few watches
[00:22:15.680 --> 00:22:18.640]   On the market, but you know, you could hear people like pebble say
[00:22:18.640 --> 00:22:24.800]   We're in the we're in the palm five sort of era of smart watches till that's very early by apple standards
[00:22:24.800 --> 00:22:27.280]   They they had to be part of the experimentation here
[00:22:27.280 --> 00:22:31.520]   And it's clear that things like apps maybe on the watch apps can't work the way they work on the phone
[00:22:31.520 --> 00:22:35.200]   Maybe they have to work through notifications or through complications or through some other
[00:22:35.200 --> 00:22:39.360]   Abstraction and modularization and it's not clear. We have all those answers yet
[00:22:39.360 --> 00:22:42.960]   Watch 2.0
[00:22:42.960 --> 00:22:45.040]   We can think of a few things they might do with it
[00:22:45.040 --> 00:22:47.040]   Yep
[00:22:47.040 --> 00:22:51.200]   Camera maybe FaceTime camera gps gps would be nice
[00:22:51.200 --> 00:22:53.360]   Some of those
[00:22:53.360 --> 00:22:57.120]   Most of the other smart watches have assisted gps you need a phone
[00:22:57.120 --> 00:23:02.240]   Although I noted that the that the president obama fit bit has a gps built into it
[00:23:02.240 --> 00:23:07.280]   Garmin has a dish yet another reason why he doesn't want to wear that outside of the palace it do rounds
[00:23:07.280 --> 00:23:09.200]   Did uh
[00:23:09.200 --> 00:23:13.760]   I know that there's been there's talk about more custom like allowing developers to really do all the
[00:23:13.760 --> 00:23:19.680]   Complications and everything else on the watch base is that is that already has that progressed or is that something we're still waiting for
[00:23:19.840 --> 00:23:24.800]   Watch OS 2.0 let them make custom complications so they can put things on they can't change the way the watch face looks
[00:23:24.800 --> 00:23:28.480]   But they can fill up those little bubbles on the watch face with stuff from their apps
[00:23:28.480 --> 00:23:34.480]   Right. Yeah, because it's it's one of those things that I really really want to be able to design that it's
[00:23:34.480 --> 00:23:38.480]   There's a whole bunch of might get it, but none of them are quite what I want
[00:23:38.480 --> 00:23:41.280]   Then I'll just win a license
[00:23:41.280 --> 00:23:43.120]   I'm sorry to do list. I'm sorry go ahead
[00:23:43.120 --> 00:23:47.600]   My to-do list for the apple watch has nothing to do with hardware. I think the hardware
[00:23:48.240 --> 00:23:54.080]   If anything I've had them remove let's say the digital stem and turn it into just a plain clicky button because I wouldn't call it a failure
[00:23:54.080 --> 00:24:01.520]   I just don't think that anything apple software included has really sold the point of why you want to have a scrolly scrolly scrolly thing
[00:24:01.520 --> 00:24:06.800]   Instead of just tapping tapping the screen all the things that I would like to improve have to do with software and they include
[00:24:06.800 --> 00:24:11.680]   The complications and they certainly include the ability for developers to create their own watch faces
[00:24:11.680 --> 00:24:13.760]   I mean one of the one that it sounds stupid
[00:24:13.760 --> 00:24:20.000]   But one of the things that I really appreciated the most about going back to android where was just the ability to put on whatever
[00:24:20.000 --> 00:24:26.720]   Whatever watch face I want and choose between not just you know green bay packers homemade gif
[00:24:26.720 --> 00:24:33.600]   A background but like really great designers making beautiful watch faces that aren't just simple
[00:24:33.600 --> 00:24:39.920]   You know not sans serif white text on black and I don't I don't quite get I don't quite get why we're not able to make
[00:24:40.640 --> 00:24:45.040]   Wide developers aren't able to make watch faces like what the thought process was there it doesn't seem like it would
[00:24:45.040 --> 00:24:49.440]   I know it doesn't make any sense. Yeah, there's like two layers. One is that ui clock kit which
[00:24:49.440 --> 00:24:54.320]   I think it's called nano clock kit is the the frameworks all this was very new like they shipped this
[00:24:54.320 --> 00:24:57.920]   With the software coming in really hot and it took them another
[00:24:57.920 --> 00:25:04.320]   Few months before they could allow custom complications and probably abstracting out clock kit into a custom stk will take a while as well
[00:25:04.320 --> 00:25:08.800]   But the other one is they they really are apple and they don't allow you to do much on the iphone home screen
[00:25:08.880 --> 00:25:13.760]   They are not gonna let you do much on the the watch and had part so part of it is technical and part of it is cultural
[00:25:13.760 --> 00:25:17.280]   Yeah, look at how much work we put into those jellyfish movies
[00:25:17.280 --> 00:25:23.600]   But even like allowing like right now you can make custom photograph an album art
[00:25:23.600 --> 00:25:27.520]   Covers and I have a superman one and I have a batman one, but you can't put complications on them
[00:25:27.520 --> 00:25:30.240]   So I almost never use them because such a reduction in functionality
[00:25:30.240 --> 00:25:34.000]   So even just letting me put a custom photo there and having robust custom
[00:25:34.640 --> 00:25:40.320]   Complications of port would be great. Well and I have to admit that I would probably clutter mine up a lot and that would be anti apple or whatever
[00:25:40.320 --> 00:25:45.520]   But but it would just there's a lot of things I want a data I want and the one thing I can't find is a single watch face
[00:25:45.520 --> 00:25:49.360]   That gives you a digital readout with seconds. So there's always yeah, they need that badly
[00:25:49.360 --> 00:25:55.840]   You know, it's just like so you have to have a you know your animal your quote unquote analog thing to see the second hands
[00:25:55.840 --> 00:25:59.120]   It's just but there's no digital seconds anywhere and I
[00:25:59.120 --> 00:26:02.000]   For what I do it
[00:26:02.000 --> 00:26:04.000]   Seconds are important. It'd be nice. Yeah
[00:26:04.880 --> 00:26:09.840]   Uh, let's take a break come back. I do want to talk about iOS 9.3
[00:26:09.840 --> 00:26:13.520]   Uh, some interesting revelations there we can continue to talk about what watch
[00:26:13.520 --> 00:26:16.720]   The second apple watch might hold and what the march
[00:26:16.720 --> 00:26:24.640]   Uh, I'm kind of curious whether I should uh, I'm thinking maybe I need a new mac laptop. I don't know wait wait. Yeah, maybe
[00:26:24.640 --> 00:26:27.200]   uh, target
[00:26:30.480 --> 00:26:36.240]   And he and I co Renee richy Alex linsey we're talking mac with the three of the best in the business
[00:26:36.240 --> 00:26:38.000]   We'll have more in just a minute for you
[00:26:38.000 --> 00:26:41.840]   But first a word from fresh books the small business accounting software
[00:26:41.840 --> 00:26:47.600]   Designed for you the freelancer the non-account the person who just wants to run your business
[00:26:47.600 --> 00:26:49.760]   and hates that
[00:26:49.760 --> 00:26:54.000]   that part of the business that uh is frankly required to make money that
[00:26:54.000 --> 00:27:00.000]   Getting all the expenses the receipts together getting uh the formatting and sending the invoice
[00:27:00.320 --> 00:27:04.160]   bothering clients who neglects to pay those are the kinds of things that make
[00:27:04.160 --> 00:27:06.800]   Your business less fun
[00:27:06.800 --> 00:27:11.200]   Fresh book says let us do it for you and when I started using them and it's now but 10 years
[00:27:11.200 --> 00:27:14.160]   Amber macarthur told me about it when I was in a lot of pain
[00:27:14.160 --> 00:27:18.800]   Suffering through making those invoices at the end of every month and she told me about fresh books
[00:27:18.800 --> 00:27:25.440]   And I started using it. What a revelation. I mean it makes it so easy to create and send professional looking invoices
[00:27:25.440 --> 00:27:30.160]   You could do it via email. Although uh, I don't know that's that's important these days
[00:27:30.160 --> 00:27:31.360]   I think clients
[00:27:31.360 --> 00:27:36.480]   Understand email in 2004. I often had to have them print out and mail it
[00:27:36.480 --> 00:27:38.560]   Uh, but I did they can do that too
[00:27:38.560 --> 00:27:44.560]   The invoices look great. You'll know when your client has seen it so that old excuse. Oh, I didn't get it
[00:27:44.560 --> 00:27:45.840]   Mm-hmm
[00:27:45.840 --> 00:27:49.680]   You can accept credit cards all sorts of online payment methods on your invoices
[00:27:49.680 --> 00:27:54.960]   That means the clients more likely to pay faster. In fact fresh books says on the order of five days faster
[00:27:55.760 --> 00:28:01.440]   Than they would otherwise they always add new features too. They've just added their new card reader
[00:28:01.440 --> 00:28:08.080]   That means you can accept credit cards if you're in the trade and you know or you come to people's homes and you do home services
[00:28:08.080 --> 00:28:10.400]   the ability to
[00:28:10.400 --> 00:28:16.640]   Show them the invoice and then have them swipe their credit card or if they have a pin credit card
[00:28:16.640 --> 00:28:19.440]   Dip the chip is awesome
[00:28:20.320 --> 00:28:27.200]   Fresh books really has made it easy for you to get your work done and get the paperwork the accounting out of the way
[00:28:27.200 --> 00:28:31.120]   Their newly redesigned iphone app just came out. In fact, thank you. I noticed apple
[00:28:31.120 --> 00:28:34.560]   Just put the fresh books iphone and the ipad app
[00:28:34.560 --> 00:28:37.840]   On their new and recommended page. That's nice
[00:28:37.840 --> 00:28:44.160]   It means you can conduct business anywhere set an estimate right after a handshake set an invoice and seconds right on your phone
[00:28:44.160 --> 00:28:46.560]   Track your billable time
[00:28:46.560 --> 00:28:48.560]   Know how long projects really take
[00:28:48.560 --> 00:28:51.600]   And of course track expenses with the phone's camera
[00:28:51.600 --> 00:28:55.680]   You can even get paid up front request a deposit in fresh books
[00:28:55.680 --> 00:29:01.200]   No more covering costs out of pocket or waiting till the end of the project to get paid fresh books is so
[00:29:01.200 --> 00:29:05.600]   Awesome. And as you can see gets better and better all the time. Here's the deal go to fresh books.com
[00:29:05.600 --> 00:29:08.880]   Macbreak fresh books.com
[00:29:08.880 --> 00:29:15.680]   Macbreak and you can get a 30 day free trial
[00:29:15.680 --> 00:29:18.160]   right now
[00:29:18.160 --> 00:29:23.120]   And I think you're gonna really like it. It's gonna it's just gonna change your your life fresh books
[00:29:23.120 --> 00:29:25.680]   dot com
[00:29:25.680 --> 00:29:26.800]   Slash
[00:29:26.800 --> 00:29:30.400]   Mac break try it free for 30 days and if if they ask you where did you hear about it?
[00:29:30.400 --> 00:29:32.880]   Don't forget to write in mac break weekly
[00:29:32.880 --> 00:29:38.160]   We're talking about apple on mac break weekly
[00:29:38.160 --> 00:29:41.280]   Here's one from jason. He says a
[00:29:41.280 --> 00:29:45.200]   Talking about watches a swiss watchmaker
[00:29:46.000 --> 00:29:48.000]   Is now making an apple watch
[00:29:48.000 --> 00:29:53.680]   with a 25,000 mechanical imitation
[00:29:53.680 --> 00:29:56.640]   The same shape as an apple watch, but yeah
[00:29:56.640 --> 00:29:59.680]   Swiss i have an apple watch
[00:29:59.680 --> 00:30:01.680]   It only cost me twice as much
[00:30:01.680 --> 00:30:06.720]   It's funny. There was a picture of steve jobs that was going around this week where you see steve watch steve jobs wearing a watch
[00:30:06.720 --> 00:30:12.240]   And exactly the same shape. Oh interesting. It is one of the it's like a classic shape. It is a classic shape
[00:30:12.240 --> 00:30:15.280]   Yeah, this is uh, they call this the swiss alp watch
[00:30:16.000 --> 00:30:20.800]   Over 200 years of rnd although it was really mostly the last year that made them pickest
[00:30:20.800 --> 00:30:28.400]   You can't take the slugs out though. What's kind of cool is that you can turn it over and you can see the mechanical part working
[00:30:28.400 --> 00:30:34.320]   Now so you're saying that is this a copy or it's just I think this is uh home ours
[00:30:34.320 --> 00:30:37.200]   He did this sort of like yeah as a as a way to get attention
[00:30:37.200 --> 00:30:43.280]   And I think they're pretty transparent about that. Okay 25,000 dollars from h mozer and company
[00:30:44.160 --> 00:30:45.840]   And hodinky
[00:30:45.840 --> 00:30:51.760]   Our friend kevin roses new company says it you can buy one of the 50 pieces they're making
[00:30:51.760 --> 00:30:54.800]   There are only 50
[00:30:54.800 --> 00:30:57.280]   It's really no sketches no heartbeats
[00:30:57.280 --> 00:31:02.000]   So it's all the uh
[00:31:02.000 --> 00:31:04.480]   All the looks of the apple watch are that any of the benefits
[00:31:04.480 --> 00:31:07.440]   It's such a different world here when we got the hermez apple watches
[00:31:07.440 --> 00:31:12.560]   Uh, we went and double checked the hermez site just to see what the difference was in cost and the doublator apple watch
[00:31:12.880 --> 00:31:18.800]   Is a thousand dollars a doublator hermez watch which just has what it doesn't just have but it has a mechanical watch on it is 3000
[00:31:18.800 --> 00:31:20.000]   Oh
[00:31:20.000 --> 00:31:27.440]   So the cost of the real hermez stuff or the classical hermez stuff is is three or four times what the apple watch hermez stuff this is
[00:31:27.440 --> 00:31:34.320]   Yeah, the world the classic difference will leave all the kick you in the nuts three times or i'll kick you in the nuts once
[00:31:34.320 --> 00:31:38.720]   Your choice and there and there's some consumers by god. He's only gonna kick
[00:31:38.720 --> 00:31:41.440]   He's gonna kick me in the nuts one third as often as that other guy
[00:31:42.320 --> 00:31:45.040]   That's why I invested their mezal ecosystem
[00:31:45.040 --> 00:31:49.280]   Um
[00:31:49.280 --> 00:31:56.800]   What do they say 11 million users of apple music that's paid over lemon that's paid subscribers
[00:31:56.800 --> 00:32:01.840]   I did they say whether it was paid subscribers. Oh, they didn't
[00:32:01.840 --> 00:32:06.480]   They said subscribers. Yeah, so probably that does mean paid
[00:32:08.000 --> 00:32:13.280]   Well, you could be I guess uh if you're doing this still doing the three month trial you'd be a subscriber
[00:32:13.280 --> 00:32:20.880]   Or no, I didn't I I read that and I didn't see where that number came from it's still it's still a
[00:32:20.880 --> 00:32:26.080]   A significant number of listeners. Oh, so it didn't come from apple
[00:32:26.080 --> 00:32:29.280]   Was someone familiar with the numbers?
[00:32:29.280 --> 00:32:30.720]   Oh lord
[00:32:30.720 --> 00:32:35.120]   All right. Well, it's a financial times article. So I can't read it, but it's at 10 million
[00:32:36.160 --> 00:32:40.080]   Subscribers would that be now the financial time said well?
[00:32:40.080 --> 00:32:45.440]   It took Spotify more than six years to reach that number, but that was a few years ago. Yeah, it's a bigger market
[00:32:45.440 --> 00:32:49.680]   It's a very different way. It's built right into the iPhone. Yeah, but is 10 million
[00:32:49.680 --> 00:32:54.960]   I figured if it really is 10 million paying subscribers, that's that's pretty good for apple
[00:32:54.960 --> 00:32:57.760]   That's a hundred million dollars a month
[00:32:57.760 --> 00:33:02.640]   Numbers can do whatever you want. We like 10 million sounds like a great number then you say oh, there's almost a billion devices
[00:33:02.640 --> 00:33:06.960]   So 10 million is small but they'll say oh, it's looking competitor six years to get there. So 10 million is big
[00:33:06.960 --> 00:33:14.000]   Well considering the beats started with 113,000 subscribers when they bought it. I think 10 million is not bad
[00:33:14.000 --> 00:33:18.720]   But it's what you would expect I guess because it's an apple right and I think that apple needs to
[00:33:18.720 --> 00:33:24.720]   Um, you know number one is I think things like the exclusive with taylor swift will continue to increase it if they find the right
[00:33:24.720 --> 00:33:26.320]   verticals to do that
[00:33:26.320 --> 00:33:30.880]   Whether it's live streams or vod or lots of things like that where it's subscriber only
[00:33:31.440 --> 00:33:34.240]   I think that that's going to be a way for them to do big pushes and
[00:33:34.240 --> 00:33:37.280]   In a way that I think that is very difficult for some of the other
[00:33:37.280 --> 00:33:43.520]   Services to do also. I think apple doesn't need to look for not those funky little balls that start up when you
[00:33:43.520 --> 00:33:47.840]   That may be crazy. Um, but but the but finding like a
[00:33:47.840 --> 00:33:53.600]   Sticky things that are going to get you to use the app and I think there's a lot of little things
[00:33:53.600 --> 00:33:56.000]   They could do to the user interface into the experience that would
[00:33:56.000 --> 00:34:00.640]   That are unique to this experience and also make it sticky in a way that once you start doing it
[00:34:00.640 --> 00:34:04.640]   You're not going to want to leave and um, I think that's the kind of thing and they need to look for
[00:34:04.640 --> 00:34:08.000]   Uh
[00:34:08.000 --> 00:34:09.680]   Apple me go ahead
[00:34:09.680 --> 00:34:15.920]   They are in a lovely situation in which they will it take it will take them two or three years before apple music can possibly fail
[00:34:15.920 --> 00:34:19.200]   So that's a lot of time to see how people are using it
[00:34:19.200 --> 00:34:24.240]   Makes course corrections or just make a make a plan that would take a year or two to execute
[00:34:24.240 --> 00:34:29.600]   So it's not it's not like a startup where the you got people blowing down your snorkel almost immediately about
[00:34:29.840 --> 00:34:31.520]   Ability in the future
[00:34:31.520 --> 00:34:36.800]   Well, and I think that also I think that it is one of those things that I think it would take apple 10 years before they gave up on it because
[00:34:36.800 --> 00:34:41.840]   It would look too bad, you know, so it would really and I and I don't think it at 11 million
[00:34:41.840 --> 00:34:45.280]   You know and and I think in three years they'll probably have 20 or 30 million
[00:34:45.280 --> 00:34:50.800]   Uh, you know, I think that that's going to be a number that is sizable and and a reasonable number to just keep keep the business going
[00:34:50.800 --> 00:34:53.120]   My son
[00:34:53.120 --> 00:34:57.200]   If you if you don't think that apple is big enough that projects can simply hide and survive
[00:34:57.600 --> 00:35:02.320]   I urge you to whatever app you're in right now go into the application menu the title the application
[00:35:02.320 --> 00:35:08.320]   Activated and see that little things called services. It's a it's a drop. It's a pull-up menu and it's still there
[00:35:08.320 --> 00:35:13.760]   Even though nobody even though it's an idea that's 10 years old that people stopped being excited about eight years ago
[00:35:13.760 --> 00:35:19.760]   Yeah, I I really like the services. I wish they had to keep that going actually. Yeah, it's like apple. It's like apple script
[00:35:19.760 --> 00:35:24.960]   An automator. Yeah absolutely wonderful. Uh, they just need some but nobody nobody supports it
[00:35:25.200 --> 00:35:29.840]   Let me put say the people people who I mean I use automator and uh an apple script all the time. Do you?
[00:35:29.840 --> 00:35:35.920]   Uh, yeah, well because it's like it's it's the it's the ability to automators the ability to
[00:35:35.920 --> 00:35:39.760]   Have an intern that will do something stupid and tedious for you
[00:35:39.760 --> 00:35:44.320]   Only there are no labor practice laws limiting what you can make this intern do
[00:35:44.320 --> 00:35:49.920]   I want and if you talk to most most new Mac users if they even know either of those exist
[00:35:50.880 --> 00:35:55.760]   Probably I haven't I haven't I haven't done I've never I haven't been training in like decades
[00:35:55.760 --> 00:36:01.920]   But there are times where I would speak to use a group or something or or for fun like do like sort of an intro Mac sort of thing
[00:36:01.920 --> 00:36:05.920]   Like even on the on those geek cruises we used to do right and my god
[00:36:05.920 --> 00:36:08.400]   But every time I talk about apple script or automator
[00:36:08.400 --> 00:36:13.760]   I would spend the first 15 minutes just putting on what I call a magic show right just starting from scratch
[00:36:13.760 --> 00:36:16.160]   And what building but
[00:36:16.160 --> 00:36:22.160]   You've sometimes seen developers write apps in front of you and they're just showing off because you can't do that yourself
[00:36:22.160 --> 00:36:28.320]   But it's like I'm gonna step by step. I'm going to build a tool that automatically keeps an eye on this web page
[00:36:28.320 --> 00:36:33.280]   But occasionally the person who runs this will announce that something is available
[00:36:33.280 --> 00:36:38.160]   And it will keep an eye on this web page and let me know whenever this web page changes and send me an email
[00:36:38.160 --> 00:36:42.400]   whenever it does so I know that this is the time to order order concert tickets and
[00:36:43.360 --> 00:36:48.000]   Four minutes later steps that people can understand now. I have an automator action. That's right there gets
[00:36:48.000 --> 00:36:52.320]   I guess I use it all the time for stuff like that. I just wish that I think well
[00:36:52.320 --> 00:36:55.840]   And I think while a lot of new users don't use it
[00:36:55.840 --> 00:37:01.040]   I think there are a lot of power users that would be extremely upset if they didn't have access to it
[00:37:01.040 --> 00:37:03.840]   You know, I think that there's you know, especially when you talk about professionals that are using
[00:37:03.840 --> 00:37:06.480]   Macs and so on so forth in print
[00:37:06.480 --> 00:37:09.760]   in a lot of other things where you know that automation is
[00:37:10.720 --> 00:37:13.440]   Is key to the operate, you know key to making this all work
[00:37:13.440 --> 00:37:17.200]   I mean and a lot of a lot of them have been using it since apple script, you know, uh,
[00:37:17.200 --> 00:37:21.280]   I mean we were using apple script in you know the 90s to
[00:37:21.280 --> 00:37:26.480]   Sal used to tell us that they can never take this out because so many
[00:37:26.480 --> 00:37:30.640]   Publications and others. Yeah have workflows built on automator
[00:37:30.640 --> 00:37:35.920]   I'm talking about it all day, you know, I'm just so I haven't launched automated in ages and it looks good
[00:37:35.920 --> 00:37:40.560]   I have to say but in the automator menu, there's the display automator website
[00:37:40.800 --> 00:37:47.360]   Link which takes you not to an apple site, but but to a site hosted by somebody else
[00:37:47.360 --> 00:37:52.880]   Uh, mac os 10 automation.com. I don't know if this is sal's
[00:37:52.880 --> 00:37:55.120]   Is that sal site?
[00:37:55.120 --> 00:37:57.280]   But they have to say this is not hosted by apple
[00:37:57.280 --> 00:38:00.560]   And that's just I think in some ways shows you that automator
[00:38:00.560 --> 00:38:06.320]   Is really is you know kind of a redhead step child now because if in the automator
[00:38:06.320 --> 00:38:08.240]   menu
[00:38:08.240 --> 00:38:12.080]   Display automator website you'd assume that means that's an apple website. It isn't
[00:38:12.080 --> 00:38:15.120]   That is bizarre
[00:38:15.120 --> 00:38:19.040]   It just shows you that they they continue to include it, but they don't there's no love
[00:38:19.040 --> 00:38:23.360]   I wouldn't be surprised if sal did that so that he just didn't have to go through
[00:38:23.360 --> 00:38:26.320]   a proof process
[00:38:26.320 --> 00:38:29.200]   Didn't tell anybody
[00:38:29.200 --> 00:38:34.960]   We heard every on leo. I think that that site will be gone. Whoops never mind
[00:38:36.000 --> 00:38:38.880]   Never mind sal who I don't know what you're talking about
[00:38:38.880 --> 00:38:45.600]   Yeah, exactly, but it is a great one for giving lectures where you can really impress people. Did you know your mac can do this?
[00:38:45.600 --> 00:38:52.640]   Back to apple music. I was going to tell a little anecdote because I had mentioned I wanted to be fair that uh, when apple music came out
[00:38:52.640 --> 00:38:54.560]   I talked to my kids
[00:38:54.560 --> 00:38:57.680]   abby 24 and uh henry 21 I said
[00:38:57.680 --> 00:39:02.160]   What if we just got the family account we all had and they said no, we like spotify
[00:39:02.800 --> 00:39:07.280]   And then I got henry's off to bar cilona for a semester and he bought apple music
[00:39:07.280 --> 00:39:10.480]   And though that's interesting
[00:39:10.480 --> 00:39:12.080]   um
[00:39:12.080 --> 00:39:14.480]   For some reason his tone has changed
[00:39:14.480 --> 00:39:19.360]   Well, I think the the one the one killer app piece of apple music that that I mean because I still
[00:39:19.360 --> 00:39:21.760]   Kind of go back and forth between them both of them
[00:39:21.760 --> 00:39:27.680]   I'm trying to get used to apple music and and I but I have so many lists on spotify and I haven't really figured out how to get them all
[00:39:27.680 --> 00:39:34.560]   back and forth and and uh the one thing that the killer has just been able to hold down syria while you're while you're walking and just
[00:39:34.560 --> 00:39:39.760]   Asked syria to play some song that is a killer and it's just like you're just like oh, that is a killer for me
[00:39:39.760 --> 00:39:44.720]   That's just worth the subscription because I can see they're driving. I mean, okay, syria play david boe
[00:39:44.720 --> 00:39:48.560]   You know, you know and and it just starts, you know plays, you know and and and that's
[00:39:48.560 --> 00:39:53.200]   I mean when you think about all the things we've gone to to get to that point where we had
[00:39:53.520 --> 00:39:57.600]   You had records you put them on tape and then you have to find the tape and then you have this thing and then we had
[00:39:57.600 --> 00:39:59.760]   They have napster and then we had to have you know
[00:39:59.760 --> 00:40:03.520]   We had to buy the songs and now we're to a point where for a subscription fee
[00:40:03.520 --> 00:40:09.360]   I can listen to almost any song I can imagine by just asking syria to play it for me. It's pretty impressive
[00:40:09.360 --> 00:40:11.840]   Yeah, you can play roger woulda good right before mac break week
[00:40:11.840 --> 00:40:20.800]   By the way audience we're we're not apologizing to all of you whose computers just started playing gave it boe music
[00:40:21.360 --> 00:40:24.560]   That we are good. We're gonna say you're welcome for that
[00:40:24.560 --> 00:40:29.200]   What's that poster that poster behind you is a david boe at tribute, isn't it?
[00:40:29.200 --> 00:40:34.880]   Yeah, well, that's that's a poster from uh mac world expo 1994
[00:40:34.880 --> 00:40:36.800]   uh
[00:40:36.800 --> 00:40:38.800]   He did an album and and
[00:40:38.800 --> 00:40:41.840]   multimedia experience and he teamed up with a company called iON
[00:40:41.840 --> 00:40:46.640]   It was a multimedia CD rom if you can remember what those were called jump interactive
[00:40:47.040 --> 00:40:52.720]   He was not at mac world expo if he were then you i'd be telling you all about the pictures that I got and how
[00:40:52.720 --> 00:40:57.520]   It took them 12 minutes to unclamp me from his lower leg to prevent him walking with me
[00:40:57.520 --> 00:41:02.000]   Uh, but these were these were signs that were like stapled like regular concert posters
[00:41:02.000 --> 00:41:04.720]   Printed by a regular concert poster company that was stapled up
[00:41:04.720 --> 00:41:07.520]   At a wall like just outside mauscony
[00:41:07.520 --> 00:41:11.200]   And I just walked up to one and I pulled one down and I walked off of it
[00:41:11.200 --> 00:41:15.520]   Assuming that they wouldn't have hung those in a public place if they did not intend
[00:41:15.840 --> 00:41:17.840]   People to simply steal them
[00:41:17.840 --> 00:41:22.880]   And and I I walked as I I wrote a blog post about this say that I walked right away
[00:41:22.880 --> 00:41:30.240]   Just in case there was somebody following behind me from management of iON or mac world expo to just dissuade me of my
[00:41:30.240 --> 00:41:32.640]   Idea that these were meant to be taken away
[00:41:32.640 --> 00:41:36.640]   Uh, and this has been on my office wall for 20 years
[00:41:36.640 --> 00:41:39.360]   Yeah, I see it's the exact like I said
[00:41:39.360 --> 00:41:44.720]   I say on my blog the exact intersection of two of the biggest influences of my childhood david boe and apple
[00:41:45.040 --> 00:41:50.320]   Yeah, very amazing. He was he was quite technically literate. We yeah, yesterday I played a
[00:41:50.320 --> 00:41:54.960]   Interview that we did on tech tv lem maklim did on internet tonight
[00:41:54.960 --> 00:42:01.200]   Uh with boe into 1999 and he was talking about mp3s and how that was going to change the music industry and the
[00:42:01.200 --> 00:42:04.000]   The only artist who didn't like mp3s were people who
[00:42:04.000 --> 00:42:10.560]   Were afraid that the people were going to hear their outtakes and it was really interesting. It was uh, he was very prescient
[00:42:10.560 --> 00:42:14.560]   Man who felt earth the man of felt earth. Yep one of our favorites
[00:42:15.440 --> 00:42:16.960]   apple, uh
[00:42:16.960 --> 00:42:18.960]   in the us app store
[00:42:18.960 --> 00:42:23.440]   Uh on apple spotify is the top grossing app in the music category
[00:42:23.440 --> 00:42:29.680]   Yeah, music is not occluded there because it's built in. Yeah on the google play store spotify's
[00:42:29.680 --> 00:42:31.040]   uh
[00:42:31.040 --> 00:42:33.360]   performance hasn't gone down since November 10th
[00:42:33.360 --> 00:42:39.040]   And apple music hasn't been doing that well on android, but you wouldn't expect it to
[00:42:39.040 --> 00:42:41.760]   70th place number of downloads
[00:42:42.400 --> 00:42:47.440]   Uh and spotify's in 12th place. Don't know if that's significant. I don't yeah exactly
[00:42:47.440 --> 00:42:48.640]   I don't know how much to read into that
[00:42:48.640 --> 00:42:53.360]   It's uh one of the things that's in the back of my mind is how much of apple music success
[00:42:53.360 --> 00:42:58.480]   Whatever turns out to be is going to be simply that it's preloaded on everything and no one has to
[00:42:58.480 --> 00:43:03.280]   Uh, it's the it's the easiest way to get subscription music on an iphone by far
[00:43:03.280 --> 00:43:07.440]   The same reason why apple maps is the easiest map service and safari
[00:43:07.440 --> 00:43:10.960]   Is the easiest version of a web browser to run on this thing
[00:43:11.360 --> 00:43:15.840]   Uh, so it's going to take a while to really understand where they're having the serious success
[00:43:15.840 --> 00:43:24.640]   Uh with where are they making people happiest with apple music and what feature if they added or changed would totally change experience for somebody else
[00:43:24.640 --> 00:43:29.040]   Because there's going to be that certain percentage of people that used it because it was right there
[00:43:29.040 --> 00:43:31.360]   It wasn't so bad that
[00:43:31.360 --> 00:43:34.880]   Uh, they stop using it and none of the other services are so good
[00:43:34.880 --> 00:43:37.280]   Uh that it was worth them changing
[00:43:38.320 --> 00:43:44.240]   Well, whatever music system you're listening to you probably not going to be listening to it on headphones with the new iphone
[00:43:44.240 --> 00:43:50.640]   There's a segue on 3.5 millimeter head. Yeah, you'll yeah, they'll be headphones of some kind
[00:43:50.640 --> 00:43:57.600]   Fast company says it's true apple will drop the headphone jack more and more people are kind of coming around to this
[00:43:57.600 --> 00:43:59.680]   Now they're saying the supply chain
[00:43:59.680 --> 00:44:06.160]   Is also saying that the uh the new uh iphone seven will not have an uh, and i headphone jack
[00:44:06.240 --> 00:44:13.280]   But just a company that makes the supplier for headphone jack's had to cut uh, their their projections for years going forward leo because no one's buying
[00:44:13.280 --> 00:44:16.640]   Concluding a headphone jack seems conclusive doesn't it?
[00:44:16.640 --> 00:44:21.040]   Um, so let's kind of gear up for this. What are we going to do is apple?
[00:44:21.040 --> 00:44:24.400]   Well, I guess the really interesting question is what is apple going to do?
[00:44:24.400 --> 00:44:29.920]   Are they going to put headphones in the new iphone seven that connect to the lightning port or will they be wireless or what?
[00:44:29.920 --> 00:44:31.440]   Wireless will be an upsell
[00:44:31.440 --> 00:44:37.040]   I mean if apple if we could project future behavior based on past behavior and apple has had apple branded wireless headphones
[00:44:37.040 --> 00:44:41.360]   For a while that they haven't released I thought they would release some with the apple watch but they didn't but a
[00:44:41.360 --> 00:44:45.040]   Typical apple would be putting the the lightning headphones in the box
[00:44:45.040 --> 00:44:49.360]   Uh for people who really want that experience and then offering a premium sort of wireless headphone
[00:44:49.360 --> 00:44:53.440]   Uh the way they do the in here headphones right now is sort of like the next tier up
