;FFMETADATA1
title=You Can't Touch This
artist=Leo Laporte, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-05-10
track=817
language=English
genre=Podcast
comment=The history of the iPod, Apple & FIDO, Apple's AR plans
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.340]   It's time for Mac Break Weekly. Alex has the day off Andy and Renee are here as we started the show
[00:24:18.520 --> 00:24:22.760]   And a couple times I thought people were following them and they would just like hurry run across or put on some
[00:24:22.760 --> 00:24:27.120]   Rock out. Yeah, they were so big. Yeah, it was it was a great
[00:24:27.120 --> 00:24:32.160]   It was a great value because it was people forget how much this it really lived up to the name iPod
[00:24:32.280 --> 00:24:36.200]   Right at the time. I really thought geez isn't that interesting where number one?
[00:24:36.200 --> 00:24:39.080]   They're not specifically labeling in a music player number two
[00:24:39.080 --> 00:24:43.800]   There's nothing even the fact that here is the play pause button the most important thing on a music player
[00:24:43.800 --> 00:24:49.960]   It was this tiny little gray silk screen on a white background on one of these little orbital buttons
[00:24:49.960 --> 00:24:57.760]   And they really eventually made it into a container for what have you that it was a hard drive if you connected it to your
[00:24:57.760 --> 00:25:03.160]   To your system so that yeah, it was a great way to sort of put you needed a hard drive for work
[00:25:03.160 --> 00:25:05.360]   But you wanted your boss to buy you like a really
[00:25:05.360 --> 00:25:11.560]   Sophisticated music player iPod, but also it was a great demo of I sync because it could then sync notes. It could sync
[00:25:11.560 --> 00:25:18.920]   It could sync calendar contacts stuff like that eventually it had a screen tiny screen, but you could watch movies on right?
[00:25:18.920 --> 00:25:23.700]   Yeah, I mean, I don't know if anybody did but I remember putting TV shows on my
[00:25:24.960 --> 00:25:30.680]   I might watch them they kept making a big deal of when when video came to iTunes that hey look
[00:25:30.680 --> 00:25:35.440]   Here's the best but here's here's how to watch Shrek on your on your on a tiny little screen
[00:25:35.440 --> 00:25:42.200]   That's about even smaller than a phone screen. Yeah, but it but it looked great all of this changed in 2007 when the iPhone came out
[00:25:42.200 --> 00:25:46.480]   Yeah, or at least started the iPod into a button it was literally a button on the iPhone interface
[00:25:46.480 --> 00:25:49.080]   Yeah, they called it an iPod and of course Steve Jobs
[00:25:49.080 --> 00:25:54.120]   Famously, you know, it's an internet. It's a what do you say a communicator iPod? It's a phone
[00:25:54.480 --> 00:25:56.480]   It's an iPod internet
[00:25:56.480 --> 00:26:03.120]   Communication yeah, but yeah all three right and that really I think you know if if you look back to the beginning of the end
[00:26:03.120 --> 00:26:07.400]   As long ago as that was 15 years ago was you know the beginning of the end?
[00:26:07.400 --> 00:26:13.080]   I think that's what Tony said in his book like they were working on these three projects like they were working on the touchscreen project
[00:26:13.080 --> 00:26:18.600]   They were working on the white screen iPod project and they were working on the the like the phone sort of project
[00:26:18.600 --> 00:26:23.760]   And then they realized it really was the same thing. It was an educated device that was their biggest threat in the market
[00:26:23.760 --> 00:26:24.920]   Yeah
[00:26:24.920 --> 00:26:31.180]   But that's where apples always excel to the willingness to kind of eat their children and whoa, I don't know what's happening
[00:26:31.180 --> 00:26:37.560]   Oh, are you putting you're putting it? We're gonna have a little we're gonna have a little background dancing
[00:26:37.560 --> 00:26:45.760]   Moves though I have those moves I you know the other thing this those ads sold records
[00:26:45.760 --> 00:26:50.040]   I mean if you got on if you were lucky enough to have a song on an iPod commercial
[00:26:50.040 --> 00:26:56.160]   I remember the one with a one two three or an app later Apple commercials. They really sold records
[00:26:56.160 --> 00:27:02.400]   That was a great way to think of the same one. Yeah, I still I still have music and when I go whenever go through the folder of my
[00:27:02.400 --> 00:27:07.680]   Musical library. That's just like I call it orphan tracks ones that don't belong darn part of like a whole album
[00:27:07.680 --> 00:27:10.160]   But I own it's like she where that come from. Oh, that's right
[00:27:10.160 --> 00:27:13.600]   It was it was an I it was an iPod ad and I liked it so much that I had to have it
[00:27:13.600 --> 00:27:17.720]   There's a song by jet that was used that was like that was like my jam for the entire year
[00:27:17.720 --> 00:27:21.280]   This was the first ad to say the very end Mac or
[00:27:21.280 --> 00:27:27.640]   PC that was around what was that 2005 and then in 2006
[00:27:27.640 --> 00:27:31.880]   See if you recognize the dancers in the upcoming ad
[00:27:31.880 --> 00:27:36.280]   Because I think this is when the
[00:27:36.280 --> 00:27:43.800]   This is a great. Oh, this is not the one I was thinking of this is a great here. It is great YouTube. Here we go
[00:27:43.800 --> 00:27:46.600]   Oh, yeah, yep. Oh, yeah
[00:27:47.080 --> 00:27:49.560]   Great YouTube every apple iPod ad ever
[00:27:49.560 --> 00:27:56.000]   2000 the Coldplay one was terrific as well. Was there a Coldplay iPod?
[00:27:56.000 --> 00:28:04.120]   No, but they had an iTunes or iPod. Oh really interesting. Look at this. Wow. I put I put a link to my there's a flicker
[00:28:04.120 --> 00:28:09.560]   Flicker album online of my pictures from from the YouTube event. It was oh
[00:28:09.560 --> 00:28:16.080]   Look at that. I put that I put that in the show notes if you want to use this is it is Bono and
[00:28:16.320 --> 00:28:21.840]   The Edge stop performing for us and silently again. Thank you music industry for making it
[00:28:21.840 --> 00:28:29.800]   Impossible play any music even if it's newsworthy on our shows and artists you can thank your labels for
[00:28:29.800 --> 00:28:33.680]   Eliminating the chance to get any promotion at all
[00:28:33.680 --> 00:28:38.560]   From a mr. Show. Yeah, the other the other cool iPod thing there
[00:28:38.560 --> 00:28:44.960]   what what an effort what Apple anniversary was it where they they gave away post like really nice art posters of
[00:28:45.360 --> 00:28:50.120]   The Macintosh lady from the Mac the 1984 commercial again the iconic
[00:28:50.120 --> 00:28:52.160]   Frame when she's got the slight chamber
[00:28:52.160 --> 00:28:59.640]   She's running through the aisle with the apple with a Macintosh t-shirt in but they added digitally added in like iPods and iPod headphones
[00:28:59.640 --> 00:29:01.640]   And an iPod clip to her waist
[00:29:01.640 --> 00:29:04.920]   My wall in another room, that's right
[00:29:04.920 --> 00:29:08.560]   The weird thing is right now like you can get a ton of music on TikTok
[00:29:08.560 --> 00:29:10.880]   And I think YouTube shorts is starting to do that as well
[00:29:10.880 --> 00:29:14.880]   So the obviously some better they make deals some very narrow use cases they make deals
[00:29:15.080 --> 00:29:22.080]   Here was the here was the iPod that you might have watched Shrek on get ready for this one is coming up here
[00:29:22.080 --> 00:29:31.000]   Yeah, there it is. Yeah. Yeah, that's it was a very weird fatty iPod because it had a yeah
[00:29:31.000 --> 00:29:35.040]   It lasted a year it only lasted a year really wow. Yeah
[00:29:35.040 --> 00:29:38.360]   The old one nine to five Mac
[00:29:38.360 --> 00:29:43.320]   Famously leaked and got into whole brew. Hah ha about the sort of thing made them famous at the same time. Yeah
[00:29:44.160 --> 00:29:47.120]   I really didn't want to watch videos on that. I'm sorry
[00:29:47.120 --> 00:29:55.440]   The the whole the whole thing was like sink sink everything onto the thing
[00:29:55.440 --> 00:30:00.040]   Yeah, and also it was it was kind of magical when episode one of
[00:30:00.040 --> 00:30:06.720]   the Star Wars like obviously obviously I had to like start waiting in line like outside the theater
[00:30:06.720 --> 00:30:09.960]   I had my ticket I already I'd already gotten in line eight ten hours earlier
[00:30:10.480 --> 00:30:13.760]   Two months ago to buy but to buy my tickets the first showing first day
[00:30:13.760 --> 00:30:16.920]   But I had to get in line like ten hours earlier. I loaded up
[00:30:16.920 --> 00:30:23.400]   I think I had a palm device and I think I might have had I'd have to check to see if it was an iPod thing
[00:30:23.400 --> 00:30:29.560]   But I had the entire like original trilogy loaded up on these devices just watching it on these tiny screens
[00:30:29.560 --> 00:30:37.160]   And it was so it's it's hard for generations to understand what a weird and wonderful thing that was where now
[00:30:37.160 --> 00:30:42.920]   We just stream whatever it is to whatever device we have the idea of not only having it in a digital format to begin with
[00:30:42.920 --> 00:30:46.600]   Instead of like on DVD or on some sort of physical physical media
[00:30:46.600 --> 00:30:49.920]   But also this device in my pocket. I can just sit here
[00:30:49.920 --> 00:30:53.480]   I think there I think there were people who actually brought a TV and a VCR
[00:30:53.480 --> 00:30:57.960]   To enjoy it and entertainer the people in lobby, but I'm like screw that it's just for me
[00:30:57.960 --> 00:31:03.080]   Tony's up that would have been a big deal Tony Fadel tweeted
[00:31:03.600 --> 00:31:08.320]   Anyone want to see what I unearthed when I cleaned out my garage and found photos of everything I've ever made
[00:31:08.320 --> 00:31:12.560]   In six full boxes full-home depot
[00:31:12.560 --> 00:31:21.640]   Looks like he's got a few exercise items to the no longer uses
[00:31:21.640 --> 00:31:29.680]   Let's anyway iPod it's been a really great 20 years. Thank you. Yeah, raise a glass to you, sir
[00:31:29.680 --> 00:31:38.760]   Yeah, it's still that last one one last a clip for that that it does the the product lines the product category still exists
[00:31:38.760 --> 00:31:45.520]   But now it's in the form of these thousand dollar two thousand dollar like high-end audio file like
[00:31:45.520 --> 00:31:50.200]   audio players that are the size of like a TV remote control from like
[00:31:50.200 --> 00:31:56.240]   1988 but but they've got to tell you that oh no no no this is this will do this will unwrap the
[00:31:57.360 --> 00:32:05.120]   Like 320 k bits per second like 96 bit wide path look at look at look at the alloy metal
[00:32:05.120 --> 00:32:10.560]   We made all the interconnects inside the device of we've got a totally isolated audio path between them
[00:32:10.560 --> 00:32:13.600]   I mean, it's like yeah, I think you've kind of lost the plot
[00:32:13.600 --> 00:32:21.000]   I still I do have a Sony a 55 like digital Walkman because I do like the idea of having my entire music library on one device
[00:32:21.000 --> 00:32:25.440]   And I can't afford like a one terabyte phone or at least as of two years ago
[00:32:25.440 --> 00:32:28.760]   I couldn't so it's an interesting category, but it's nice that it's it's still there
[00:32:28.760 --> 00:32:34.560]   There's still people out there so if you want if the the the the sad irony is that if you want an iPod shuffle now
[00:32:34.560 --> 00:32:41.600]   Excuse me an iPod right now you have to buy like a Sony device that runs Android and it will well the I put
[00:32:41.600 --> 00:32:47.720]   It's funny cuz the iPod killed physical media and it wasn't long before the iTunes store became the number one place people want music
[00:32:47.720 --> 00:32:53.040]   Not the record store, but now streaming music and Spotify
[00:32:53.040 --> 00:32:58.560]   You know gets credit for this because Apple came late to the game has really replaced digital copies of music
[00:32:58.560 --> 00:33:04.160]   So Andy you might have wanted a terabyte of music in your pocket, but nowadays with streaming
[00:33:04.160 --> 00:33:11.880]   In a place. Yeah, you know connection. Here's some of Andy's pictures. You did have good seats. What camera were you using?
[00:33:11.880 --> 00:33:14.640]   Oh god, that was like a that was an ancient
[00:33:14.640 --> 00:33:21.360]   Like a spell sonic - oh no that was that was the later of these I was shooting video and pictures some of the best pictures
[00:33:21.360 --> 00:33:29.120]   I got from the video. Oh, yeah, that that was from a really really cheesy a Kodak no Kodak digital camera
[00:33:29.120 --> 00:33:30.320]   I like very much
[00:33:30.320 --> 00:33:36.320]   Wow, here's Steve with with the yeah, I could I could tell this is the Kodak
[00:33:36.320 --> 00:33:45.020]   Wow look at 2006 man like how grainy that is yeah actually I bet with AI - AI tools I could like increase that option
[00:33:45.020 --> 00:33:49.920]   Yeah, yeah, wow, but you know what that I'm looking at the the original pictures
[00:33:51.040 --> 00:33:54.120]   That was a small theater. I don't know where that was
[00:33:54.120 --> 00:33:57.480]   That was the
[00:33:57.480 --> 00:34:04.600]   Where was that I think was the San Jose the arm O'Reilly O'Mac O Conference Center
[00:34:04.600 --> 00:34:10.220]   You say you list on here. Yeah must have been San Jose. Yeah, yeah
[00:34:10.220 --> 00:34:16.720]   Okay, well what a what a great time. There's that black and red
[00:34:18.440 --> 00:34:21.160]   Yeah, beautiful you - iPod
[00:34:21.160 --> 00:34:27.080]   Oh and the iPod socks were announced as well at that event. I
[00:34:27.080 --> 00:34:31.040]   Miss those that was a crazy product
[00:34:31.040 --> 00:34:38.380]   This is this is the only this is the only argument that I will tolerate it the Apple has lost its soul since Apple since Steve Jobs
[00:34:38.380 --> 00:34:45.040]   Passed away like iPod socks. It's such a ridiculous thing, but it was such a lovely thing. It was such an Apple thing
[00:34:46.440 --> 00:34:51.480]   What yeah, I guess I don't it's bizarre. It's just bizarre
[00:34:51.480 --> 00:34:53.960]   Exactly. Yeah
[00:34:53.960 --> 00:34:58.440]   Yeah, I mean and obviously somebody convinced Steve. Yes, Steve. That's what people really want
[00:34:58.440 --> 00:35:05.960]   Socks for their iPod. We need accessories. We need accessories. I remember the Mac world Expo some years later
[00:35:05.960 --> 00:35:13.600]   Was basically the iPod accessory show right yeah, then it became the iPhone accessory show. Yeah, it's fine
[00:35:13.600 --> 00:35:16.800]   I went for a walk this morning with my Apple watch and my AirPods, you know, that's it
[00:35:16.800 --> 00:35:21.480]   I didn't have to have anything else that's right the exact same vibe that the I did the iPod used to give me
[00:35:21.480 --> 00:35:27.200]   I was super happy listening to audible just walking down this very portable. Yep. You're streaming it. You don't know is there. Yeah
[00:35:27.200 --> 00:35:35.840]   It is according to Wikipedia the longest run of any Apple product ever 20 years in active production
[00:35:35.840 --> 00:35:39.840]   Hmm, I think the Mac has lasted longer, but I guess any well
[00:35:40.480 --> 00:35:43.840]   Now the Mac has now currently dead product. Maybe that's it
[00:35:43.840 --> 00:35:49.560]   I think we're gonna have to correct Wikipedia now that I think about it. I tation needed
[00:35:49.560 --> 00:35:54.780]   Citation definitely needed Renee Richie Andy and I come glad you could be with with me for the
[00:35:54.780 --> 00:35:56.360]   goodbye
[00:35:56.360 --> 00:35:58.360]   We're here together at the end
[00:35:58.360 --> 00:36:03.320]   Every great story needs an ending that's only when you really understand that's really true
[00:36:03.320 --> 00:36:08.560]   It's not the story hasn't been told until it ends and then the full story comes out
[00:36:08.560 --> 00:36:12.400]   So I think also the also it's a classic case of the past is prelude
[00:36:12.400 --> 00:36:17.440]   This is part of his long ongoing story that began before the iPod and continues after the iPod. Yeah
[00:36:17.440 --> 00:36:21.000]   Our show today brought to you by Blue Land
[00:36:21.000 --> 00:36:26.480]   I tell you if you want our story and planet Earth to continue one of the first one of the things we got to do is stop
[00:36:26.480 --> 00:36:28.720]   The single-use
[00:36:28.720 --> 00:36:31.320]   Plastics we might also want to stop wasting water too
[00:36:31.320 --> 00:36:35.960]   Blue land has been a revelation for our family an
[00:36:36.840 --> 00:36:44.880]   estimated five billion plastic hand soap and cleaning bottles are thrown away every year and every single plastic bottle ever made is
[00:36:44.880 --> 00:36:49.160]   Still sitting in that landfill. They don't break down
[00:36:49.160 --> 00:36:52.000]   They stay there forever
[00:36:52.000 --> 00:36:58.800]   And if that's not bad enough all of those plastic bottles of cleaners and hand soap are 90% water
[00:36:58.800 --> 00:37:02.040]   You're you're driving trucks around delivering water
[00:37:02.680 --> 00:37:09.720]   That's a lose lose for the planet and for your pocketbook stop wasting water stop throwing out plastic get Blue Land's
[00:37:09.720 --> 00:37:17.480]   Revolutionary refill cleaning system instead Blue Land was founded on the belief that a cleaner planet starts by eliminating plastic waste
[00:37:17.480 --> 00:37:22.500]   While creating powerful effective cleaners for your entire home forget that notion you might have oh
[00:37:22.500 --> 00:37:26.160]   I can't have a good cleaner from trying to save the planet. That's not true
[00:37:26.160 --> 00:37:29.900]   Blue Land's idea is simple you buy the bottle once this is the
[00:37:31.000 --> 00:37:36.240]   Forever bottle for the multi surface cleaner. These are lightweight, but hard plastic
[00:37:36.240 --> 00:37:44.600]   But you there's also for the hand soap they are heavier because you have to pump them and so those are nice solid glass. They're great
[00:37:44.600 --> 00:37:53.800]   You buy this once and you refill it forever, which means no more plastic waste the refills are just these little tablets
[00:37:53.800 --> 00:38:00.560]   You fill this with hot water up to the line you put the tablet in it fizzes it dissolves now
[00:38:00.560 --> 00:38:03.840]   You've got excellent cleaners a multi surface cleaner
[00:38:03.840 --> 00:38:06.040]   window cleaner
[00:38:06.040 --> 00:38:08.040]   hand soap all
[00:38:08.040 --> 00:38:15.880]   Smelling great iris agave perein lemon lavender eucalyptus. I bought the Christmas package last Christmas. It was great
[00:38:15.880 --> 00:38:20.120]   Every time I wash my hands smelled like gingerbread or peppermint
[00:38:20.120 --> 00:38:23.000]   It was fantastic
[00:38:23.000 --> 00:38:25.200]   These are great beautiful
[00:38:25.200 --> 00:38:27.960]   Instagrammable bottles
[00:38:27.960 --> 00:38:35.320]   And they and they work really well the only thing you'll have to throw out is your outdated idea that eco-friendly products cost more and
[00:38:35.320 --> 00:38:37.440]   Work less
[00:38:37.440 --> 00:38:41.040]   From there and but you can also get it for a kit, which is a great house warming gift
[00:38:41.040 --> 00:38:43.200]   I might add I gave it
[00:38:43.200 --> 00:38:49.680]   I've already given it to my daughter as a house warming gift from their best-selling clean essentials kit to their hand soap duo and
[00:38:49.680 --> 00:38:56.920]   Plastic-free laundry and dishwasher tablets. We use those two in fact. I was putting clothes in the dryer
[00:38:57.560 --> 00:38:59.560]   rare moment for me
[00:38:59.560 --> 00:39:04.520]   At least at least I said could you put the clothes under I said twice so don't forget to put in the blue land wool balls
[00:39:04.520 --> 00:39:09.640]   We got three of those I said to these really help she said yeah cut static dries faster
[00:39:09.640 --> 00:39:12.720]   Don't have to use dryer sheets. Love those
[00:39:12.720 --> 00:39:17.920]   Love those and you know what sells out every time the blue land toilet tablet cleaner
[00:39:17.920 --> 00:39:24.080]   These are so cool because you put them in do the rest of your sinks and stuff come back brush out the toilet
[00:39:24.080 --> 00:39:27.520]   You're done they sell out so fast because they work so well
[00:39:27.520 --> 00:39:34.800]   Blue land stunning high quality forever bottles started just ten dollars when you buy a kit they're meant to be reused forever
[00:39:34.800 --> 00:39:43.480]   The money-saving refill tablets started just two dollars. Yes, you can get a replenishment to subscription. I do so I never run out
[00:39:43.480 --> 00:39:47.500]   Actually, it's interesting. I think because of blue land
[00:39:47.500 --> 00:39:52.640]   Everybody's washing their hands more. I noticed the hand soap runs out
[00:39:52.640 --> 00:39:56.280]   But I don't mind because I've got plenty of tablets just put another one in that's interesting
[00:39:56.280 --> 00:39:59.920]   I'm just thinking around the house. I think because it smells so good try a blue land today
[00:39:59.920 --> 00:40:06.560]   You'll love it and the planet will thank you right now you can get 20% off your first order when you go to blue land calm
[00:40:06.560 --> 00:40:11.760]   Slash Mac break 20% off the first order of any blue land products blue land
[00:40:11.760 --> 00:40:15.920]   calm slash Mac break blue land calm
[00:40:15.920 --> 00:40:17.760]   slash
[00:40:17.760 --> 00:40:19.440]   Mac break
[00:40:19.440 --> 00:40:24.760]   Thank you blue land for supporting Mac break weekly you support us when you use that address to make sure you do blue land calm
[00:40:24.760 --> 00:40:28.320]   Mac break you'll also get 20% off
[00:40:28.320 --> 00:40:31.920]   Business Insider
[00:40:31.920 --> 00:40:36.320]   Apple is planning to shake up its massive services business
[00:40:36.320 --> 00:40:39.840]   to push further into streaming and
[00:40:39.840 --> 00:40:46.320]   Advertising eddy q is getting the job of reorganizing the management structure. This is sources
[00:40:46.320 --> 00:40:49.360]   Talking to business insider
[00:40:50.240 --> 00:40:55.600]   Q is giving more responsibility of services vp Peter Stern and adds boss Todd Tiresi
[00:40:55.600 --> 00:40:59.440]   76 billion dollar business
[00:40:59.440 --> 00:41:08.560]   That's the app store that's Apple music. That's iCloud. That's Apple care Apple pay Apple news advertising Apple TV plus a crew 17 percent in the last quarter
[00:41:08.560 --> 00:41:16.600]   As we talked about last week if it were a company by itself it would be the 113th largest company on the fortune 500 list by revenue
[00:41:17.280 --> 00:41:20.400]   Behind several other independent Apple companies. Yeah, right
[00:41:20.400 --> 00:41:24.800]   One person. This is again business insider one person who has spoken directly to Q
[00:41:24.800 --> 00:41:29.360]   So the senior vice president of services is considering how to unleash growth
[00:41:29.360 --> 00:41:35.240]   By reorganizing the management structure and pushing harder into areas like streaming and advertising
[00:41:35.240 --> 00:41:38.120]   Yeah, growth is the enemy of us all
[00:41:38.120 --> 00:41:43.080]   But but Apple's soul come on wouldn't you rather have them struggling?
[00:41:43.080 --> 00:41:47.680]   But I just I really wish Apple was not an advertising like I love the streaming stuff. I think Peter Stern is
[00:41:47.680 --> 00:41:50.800]   Phenomenal. I think they're doing great great services products
[00:41:50.800 --> 00:41:56.040]   I think add like I know like a lot all of us depend on ads and I have nothing against ads in particular
[00:41:56.040 --> 00:42:02.200]   But I think with the positions that Apple has taken and the way that they've aligned their businesses ads are just not compatible with that
[00:42:02.200 --> 00:42:04.760]   And I fully understand Steve did I ads and he thought you know
[00:42:04.760 --> 00:42:07.400]   There's people with an Apple who believe that they can do ads right?
[00:42:07.400 --> 00:42:10.640]   But it's just it's hard to be the company that you know does ad tracking
[00:42:10.960 --> 00:42:13.720]   Transparency and then offers ads like in any way shape or form
[00:42:13.720 --> 00:42:20.080]   It just doesn't pass the Caesar's wife test with me and I wish that wasn't a I know there's so much money that could be made there
[00:42:20.080 --> 00:42:22.440]   I just wish it wasn't a focus area where are the ads right now?
[00:42:22.440 --> 00:42:28.040]   They're in apps the app store and Apple is horrible Apple news is like worse to read than some websites now
[00:42:28.040 --> 00:42:30.640]   Because I know you know you know every second
[00:42:30.640 --> 00:42:37.440]   But also also I wish that Apple were a bit more transparent in where they're selling ads or where they're selling placement more than anything else
[00:42:37.560 --> 00:42:43.160]   Like I'm still kind of horrified that after so many years since the last time that the app store was reorganized
[00:42:43.160 --> 00:42:48.360]   There's still no way to say look don't sort this don't preference this don't give me any editors choice
[00:42:48.360 --> 00:42:54.560]   Don't give me anything just I will I will sit here for I have planned the entire next day and a half to look through every single
[00:42:54.560 --> 00:42:56.760]   Listing in you in the utilities category
[00:42:56.760 --> 00:43:02.080]   Just let me see everything you have without my having to do a search or anything like that and you always feel as though
[00:43:02.640 --> 00:43:09.880]   It's the Netflix effect where are you showing me what you have or are you showing me what you've been hired to promote?
[00:43:09.880 --> 00:43:11.320]   Yeah
[00:43:11.320 --> 00:43:18.120]   So Todd Teresa who's the name you may not remember was in fact the guy in charge of I add
[00:43:18.120 --> 00:43:22.720]   Which launched in 2010 shut in 2016
[00:43:22.720 --> 00:43:29.680]   Because it never really got much of the mobile ad market. So he's getting another shot. He's back in the chair
[00:43:30.600 --> 00:43:34.200]   According to a source who spoke to Apple to a business insider
[00:43:34.200 --> 00:43:42.640]   Services is going to benefit from I think considerably from sports, right?
[00:43:42.640 --> 00:43:45.200]   the
[00:43:45.200 --> 00:43:51.000]   Hollywood rumor is that that the NFL Sunday ticket deal is already done just not announced yet
[00:43:51.000 --> 00:43:54.400]   They want to buy NBA rights
[00:43:54.400 --> 00:43:59.080]   Which would be interesting they already have Friday night baseball
[00:43:59.240 --> 00:44:06.000]   This is Ed dresser presence of a sports TV consultancy dresser sports media
[00:44:06.000 --> 00:44:10.400]   The unique situation with Apple is it has a relatively small base for Apple TV plus
[00:44:10.400 --> 00:44:16.360]   The edition of Sunday ticket would allow them to increase their base subscription level of metric in the business known as lift
[00:44:16.360 --> 00:44:21.360]   It's good for your lift it just sign up some cricket. Yeah, exactly
[00:44:21.360 --> 00:44:25.400]   New subscribers additional revenue for add-on sports package
[00:44:26.480 --> 00:44:32.480]   Advertising that's another place advertising can go right you should do a deal with Ryan Reynolds for that that soccer club
[00:44:32.480 --> 00:44:36.800]   He bought with the guy from I'm blanking on his name the guy from mythic quest
[00:44:36.800 --> 00:44:39.120]   Yeah
[00:44:39.120 --> 00:44:46.240]   Yeah, I yeah, you know what I think so I think Apple is the company to make soccer big in America
[00:44:46.240 --> 00:44:52.600]   Again soccer soccer and cricket like these are these are two untapped they
[00:44:53.600 --> 00:44:57.760]   Yeah, exactly. There's you want to make a joke about you know ESPN 8 the ocho
[00:44:57.760 --> 00:45:05.760]   But we could get to get the sports that like have everything that American sports fans would want to say nothing about the people
[00:45:05.760 --> 00:45:10.920]   Who are who came here from countries where soccer and cricket are like the major sports?
[00:45:10.920 --> 00:45:15.040]   That's a huge market that they could be tapping into and I can't imagine that
[00:45:15.040 --> 00:45:22.640]   It says competitive bidding for for international cricket as it's going to be excuse me. Excuse me for you United States rights to
[00:45:22.840 --> 00:45:27.160]   International cricket the fact that you can't even watch it anywhere except for whatever's being posted on YouTube
[00:45:27.160 --> 00:45:32.800]   That's such a big opportunity. It could be a great signature for Apple. That's a really good point
[00:45:32.800 --> 00:45:38.480]   You know, I hope they're listening to us today. Yeah women's women sports
[00:45:38.480 --> 00:45:46.240]   Sports again some of them some some of them greatest amount of time I spend marching sports are like women's collegiate
[00:45:46.240 --> 00:45:49.640]   Softball that I kind of happened into through a Google recommendation
[00:45:49.840 --> 00:45:54.800]   And now it's like my god. This is like they're they're quick. They're not it's college sports
[00:45:54.800 --> 00:45:57.480]   So it's not MLB so there isn't like 80 million ads
[00:45:57.480 --> 00:46:03.280]   But also they get through it really quick the level of play is as high as any other police support good
[00:46:03.280 --> 00:46:06.720]   Yeah, and again, and this is also a category that is
[00:46:06.720 --> 00:46:09.320]   Just not being
[00:46:09.320 --> 00:46:14.800]   For sexism for whatever reason you want to mention they are not being supported with lots of corporate dollars of Apple
[00:46:14.800 --> 00:46:18.360]   Or to say that we got we are gonna we are gonna be the home of WNBA
[00:46:18.360 --> 00:46:22.640]   Wouldn't that be because a because we can snap that up for for not much money
[00:46:22.640 --> 00:46:26.880]   But also because these this is a totally ignored area of sports that needs
[00:46:26.880 --> 00:46:32.480]   That needs a that could that will be boosted by the support of a channel like Apple TV plus anyway
[00:46:32.480 --> 00:46:38.360]   Lots of things that could be doing with sports above the traditional. Hey, we're gonna we're gonna compete with Fox and CBS for
[00:46:38.360 --> 00:46:40.720]   for MLB for
[00:46:40.720 --> 00:46:43.200]   Football and for and for basketball
[00:46:44.200 --> 00:46:51.120]   I think they I think they covered this maybe on the tech news weekly, but Apple Google and Microsoft
[00:46:51.120 --> 00:46:59.040]   Together on May 5th announced that they're gonna expand support of the Fido
[00:46:59.040 --> 00:47:03.240]   Standard F I D O and the Fido Alliance
[00:47:03.240 --> 00:47:12.040]   Which is a passwordless sign-in standard? I think everybody in certainly Microsoft has been saying this for a long time
[00:47:12.040 --> 00:47:14.640]   Yeah, everybody agrees passwords have got to go
[00:47:14.640 --> 00:47:23.880]   Yeah, and the Fido Alliance seems to be the closest thing except for Steve Gibson squirrel, which unfortunately I don't know
[00:47:23.880 --> 00:47:25.880]   Nobody seems to want to adopt
[00:47:25.880 --> 00:47:33.240]   The expanded standards. This is from apples press release expanded standards base capabilities will give websites and apps the ability to offer an
[00:47:33.240 --> 00:47:35.440]   End-to-end passwordless
[00:47:35.440 --> 00:47:37.960]   Option users will sign in
[00:47:38.160 --> 00:47:45.520]   Through the same actually take multiple times each day to unlock their devices. So fingerprint face like a tone basically
[00:47:45.520 --> 00:47:48.200]   So once you're once you're logged into your device
[00:47:48.200 --> 00:47:54.880]   Then you're automatically logged in is that it to the websites or it just automatically says hello the authentication
[00:47:54.880 --> 00:47:58.080]   generates a token we know it's him because or her
[00:47:58.080 --> 00:48:03.000]   Essentially the the entity that wants to be authenticated doesn't do the authentication itself
[00:48:03.000 --> 00:48:07.760]   That's just simply ask hands the device you're using hey is this person who he claims to be and that's it
[00:48:07.760 --> 00:48:09.760]   This seems right because
[00:48:09.760 --> 00:48:14.320]   Exactly because the fingerprint on my phone is way better than any password that I can remember
[00:48:14.320 --> 00:48:18.960]   And if I want to have something if I want to base my login on something even more secure than that
[00:48:18.960 --> 00:48:25.200]   Saying that here is a physical device that I have to have that will only work with between these two hours in this physical location
[00:48:25.200 --> 00:48:31.920]   I can switch to that too. It is such a long overdue thing and it solves a hard problem that nobody
[00:48:32.160 --> 00:48:36.720]   No that no user likes because you have to have strong passwords
[00:48:36.720 --> 00:48:39.280]   but strong passwords is the are the enemy of
[00:48:39.280 --> 00:48:45.360]   Security because people are going to choose one two three four five six seven eight the eighth time that they have to reset their
[00:48:45.360 --> 00:48:47.120]   password I hope you
[00:48:47.120 --> 00:48:50.720]   Gives in covers is on security now today or at some time
[00:48:50.720 --> 00:48:52.800]   So there I don't want to be a pooper of the parties here
[00:48:52.800 --> 00:48:57.440]   But like they do have to be careful with this like for example Google has a very good authentication
