
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[00:30:18.840 --> 00:30:24.520]   Not already having a prototype of this given that it's an open standard. They don't have to develop their own tv hardware
[00:30:24.520 --> 00:30:27.320]   They can just and the the hardware itself is
[00:30:27.320 --> 00:30:33.080]   90 bucks and works works really really well you plug it in and it just plain works
[00:30:34.200 --> 00:30:40.280]   Again, if I were in charge of this project, I would be trying to talk myself self out of trying to
[00:30:40.280 --> 00:30:46.040]   Work any deals whatsoever and just put all of that effort into making the best live tv app network
[00:30:46.040 --> 00:30:49.880]   Excuse me a local t might say network. I don't mean tv networks
[00:30:49.880 --> 00:30:58.600]   I mean the local your local digital network the best the best network ip based tv app ever and apple's definitely able to do that
[00:31:00.600 --> 00:31:07.000]   It's interesting imagine. I mean imagine the other thing is that other other the plex tv can even do things like
[00:31:07.000 --> 00:31:14.360]   I am waiting for a train in boston and there is a red socks game on I can through my phone connect to
[00:31:14.360 --> 00:31:18.920]   My plex tv back home that is connected to a local tuner and watch
[00:31:18.920 --> 00:31:24.200]   Stream live television to my phone from this device i've got back in the house
[00:31:24.200 --> 00:31:29.640]   Again, they could put together such an amazing demo that would make everybody want to have an apple tv
[00:31:29.640 --> 00:31:32.600]   And like a lot of apple's best products people would not have to
[00:31:32.600 --> 00:31:37.320]   It would take more while to figure out that oh by the way sling box has had that for like four or five years now
[00:31:37.320 --> 00:31:41.080]   And this other product has been working on windows and other platforms for two or three years
[00:31:41.080 --> 00:31:42.600]   And you could always get that for the apple tv
[00:31:42.600 --> 00:31:48.280]   But they could put it together in such a way that it immediately becomes like an appliance that you plunk down money for
[00:31:48.280 --> 00:31:54.440]   And it does magical things as opposed to something that your nerdy friend andy up the street does and can teach you how to cut it set up
[00:31:54.440 --> 00:31:58.040]   There are so many apple tv's in the lab that do so many amazing things
[00:31:58.040 --> 00:32:02.040]   Yeah, we wish we will never see yeah, yeah, yeah, yeah
[00:32:02.040 --> 00:32:07.880]   Yeah, I you know for all for how i'm pre i've been impressed by youtube tv since the day they launched it
[00:32:07.880 --> 00:32:10.600]   I thought this is a brilliant thing and I don't see you getting a lot of traction
[00:32:10.600 --> 00:32:13.560]   So I may be it just may be me. I just feel like this
[00:32:13.560 --> 00:32:16.760]   I mean is such a natural look at look at how this works
[00:32:16.760 --> 00:32:21.560]   So i've got the live channels with live video and by the way a lot of news channels
[00:32:21.560 --> 00:32:25.320]   I've got movies that they can then rent and make money on
[00:32:25.880 --> 00:32:34.280]   I've got uh recommended you know popular shows right beneath it youtube read originals right so youtube's original programming apple
[00:32:34.280 --> 00:32:36.440]   This is how apple promotes
[00:32:36.440 --> 00:32:40.920]   Could promote you know if they're going to do dedicated content
[00:32:40.920 --> 00:32:46.760]   This is exactly how I would imagine this on an apple tv on your big you subscribe to it leo
[00:32:46.760 --> 00:32:48.760]   Yeah, but this is this is the paid version
[00:32:48.760 --> 00:32:53.160]   Yeah, mine says try it for $35 a month select us cities
[00:32:53.640 --> 00:32:57.080]   Yeah, because you have to be yeah, you probably wouldn't get live locals
[00:32:57.080 --> 00:33:00.760]   It also has a built-in dvr has a lot of things that are are pretty sweet
[00:33:00.760 --> 00:33:04.360]   I mean I can actually record shows i'm only recording one show, but I can have it
[00:33:04.360 --> 00:33:06.840]   uh show up and play
[00:33:06.840 --> 00:33:09.640]   Because i've been recording and it's kind of very easy dvr
[00:33:09.640 --> 00:33:14.920]   But I don't hear people talking about this I when I think I think the hard part is is that for a lot of the shows that we want to watch
[00:33:14.920 --> 00:33:18.120]   There are a lot of us are the problem you get into is now there's so much content
[00:33:18.120 --> 00:33:23.320]   You know it's trying to figure out what you watch next and which ones you're gonna watch on Netflix or amazon or
[00:33:23.320 --> 00:33:25.800]   Is this too complicated? Is this too much for me?
[00:33:25.800 --> 00:33:31.400]   Yeah, well things the problem is is that a lot of the a lot of the live footage that we think of news and the talk shows and everything else
[00:33:31.400 --> 00:33:36.120]   Well, I'm kind of want to watch them whenever we're gonna watch them and it's mostly the stuff you watch in a hotel room when you know everything else
[00:33:36.120 --> 00:33:36.600]   You're right
[00:33:36.600 --> 00:33:41.560]   So you know and so the so I think that the problem is sports is still something that you want to watch live
[00:33:41.560 --> 00:33:42.520]   um
[00:33:42.520 --> 00:33:47.080]   And uh, but a lot of the other stuff you look at like um, you know, so you think you can damn it right because you know
[00:33:47.080 --> 00:33:53.240]   It's not on here the stuff that I watch game of thrones and the pay tv content the Netflix originals none of that's on here
[00:33:54.120 --> 00:33:56.440]   Right, and so you immediately just start you this all crap. I don't watch
[00:33:56.440 --> 00:33:59.240]   It's yeah, it's all it's all the kind of it
[00:33:59.240 --> 00:34:01.320]   You know problem is a lot of the network stuff is kind of filler
[00:34:01.320 --> 00:34:04.520]   And I mean there's definitely people want there's still a lot of people watching it
[00:34:04.520 --> 00:34:10.280]   You look at something like my wife likes so you so you think you can dance, but she doesn't care about voting and so she watches it like
[00:34:10.280 --> 00:34:13.720]   Uh, you know a year later, you know, like you know or six months later
[00:34:13.720 --> 00:34:17.160]   She watches the whole thing she can watch one every night until she gets to the end of it
[00:34:17.160 --> 00:34:20.040]   and then she you know watches, you know, my wife, you know used to
[00:34:21.000 --> 00:34:26.200]   Used to dance and so she's she watches all these dance shows, but she but um the uh
[00:34:26.200 --> 00:34:29.480]   But she's you know, it's it's one of those things that
[00:34:29.480 --> 00:34:33.560]   She doesn't need she's not voting and she's not voting and there's no real interactivity
[00:34:33.560 --> 00:34:36.280]   The problem with live video in general is other than sports
[00:34:36.280 --> 00:34:41.560]   You need to have an interactivity with the audience to make it worth watching live, you know, and that's the part that the tv
[00:34:41.560 --> 00:34:44.280]   Man, they they don't even get it. They don't have any
[00:34:44.280 --> 00:34:45.320]   No, I think they're experiment
[00:34:45.320 --> 00:34:49.160]   I think american idol for instance, which has live voting is experimenting because I noticed
[00:34:49.720 --> 00:34:52.840]   So so lisa and I watch that and she likes to vote
[00:34:52.840 --> 00:34:56.360]   So unlike carlita, she wants to be watching live
[00:34:56.360 --> 00:35:02.040]   But she will watch it taped but it was very frustrating because we're on the west coast
[00:35:02.040 --> 00:35:06.840]   For one episode they had the closed voting after it was done live on the east coast
[00:35:06.840 --> 00:35:11.080]   And I am there's no way they did that by accident. That was an experiment
[00:35:11.080 --> 00:35:15.160]   They are aware of this and they're trying to see how patterns vary
[00:35:15.160 --> 00:35:18.600]   The voting isn't enough. Like the voting isn't enough. You know, it's got to be some reason watch live
[00:35:18.600 --> 00:35:21.720]   And you're right. The only reason you watch you watch the academy award you watch football
[00:35:21.720 --> 00:35:23.640]   You watch the olympics
[00:35:23.640 --> 00:35:26.520]   Olympics are coming people are going to want to watch those live, right?
[00:35:26.520 --> 00:35:28.840]   Yeah, maybe yeah
[00:35:28.840 --> 00:35:32.760]   I mean the thing is so much of the olympics that you're watching now is not stuff that's live anyway
[00:35:32.760 --> 00:35:33.920]   I mean you get a hand-
[00:35:33.920 --> 00:35:35.160]   Yeah, I know isn't that terrible?
[00:35:35.160 --> 00:35:41.000]   EBS and you know, you imagine though this grid with live and and tapes olympic coverage
[00:35:41.000 --> 00:35:43.560]   Well, and that's an opportunity in London
[00:35:43.560 --> 00:35:47.320]   You know, youtube did it in london where they played they had suddenly all these live feeds
[00:35:47.320 --> 00:35:50.760]   I don't know what happened to it. It probably terrified the broadcasters to have that happen
[00:35:50.760 --> 00:35:55.720]   But but you know suddenly you can watch live feeds all the time of stuff that was coming from it, right?
[00:35:55.720 --> 00:36:00.440]   Yeah, I think I mean a question here that we're all ignoring is will they do a new apple remote?
[00:36:00.440 --> 00:36:06.120]   Yeah, because that current one is really the elephant in the room god awful
[00:36:06.120 --> 00:36:07.480]   Oh my gosh
[00:36:07.480 --> 00:36:11.560]   If all they do is put a nubbin at one end of it. That's all that needs to happen
[00:36:11.800 --> 00:36:17.880]   Nubbin not saying I'm not saying that all will be forgiven. I'm just saying that you will you will at least acknowledge to
[00:36:17.880 --> 00:36:21.320]   Apple will live in the least acknowledged to me that they have been listening
[00:36:21.320 --> 00:36:24.200]   They acknowledge that this is not an ideal setup
[00:36:24.200 --> 00:36:32.520]   So what's the problem the problem with the apple tv remote is that you trigger it accidentally all the time
[00:36:32.520 --> 00:36:37.400]   Yeah, and that's because this the question effect this thing. Yeah, this this
[00:36:38.360 --> 00:36:41.240]   Clicker track. That's clearly matt. You know, this side is clearly gloss
[00:36:41.240 --> 00:36:45.000]   You hit it and then especially if you have cec turned on
[00:36:45.000 --> 00:36:50.920]   In my in my house if I accidentally hit this the apple tv takes over the whole home entertainment unit
[00:36:50.920 --> 00:36:56.600]   I'm going wait a minute the dragons are attacking and all of a sudden i'm looking at holding it right side up at least
[00:36:56.600 --> 00:37:01.640]   Yeah, only because I was careful to look at the matt versus yeah, so they could improve on this
[00:37:01.640 --> 00:37:04.840]   It's not far off. What do you mean by a nubbin though?
[00:37:04.840 --> 00:37:09.640]   Anyway, what would well like if they put just like a little rubber bump on the back end of it
[00:37:09.640 --> 00:37:13.720]   Oh, so you knew which way it was top just so that you don't have to keep flipping it around to figure out
[00:37:13.720 --> 00:37:15.720]   But yeah, but I agree that the touch
[00:37:15.720 --> 00:37:19.240]   I have a love hate relationship. I have a love hate relationship with the touch sensor
[00:37:19.240 --> 00:37:21.320]   I do like not just swipe
[00:37:21.320 --> 00:37:25.400]   Not just the swipe but the fact that you can get velocity in there too if you want to really scroll
[00:37:25.400 --> 00:37:30.280]   You can just give it a savage flick, but yeah, I mean I have to I have to have a
[00:37:30.760 --> 00:37:38.040]   stand on the on the at my bedside to make sure that if I just leave it in the mid at some point every time
[00:37:38.040 --> 00:37:40.600]   Oh, yeah, it's just I put it
[00:37:40.600 --> 00:37:44.920]   We go down a long list and then I accidentally go a little bit sideways and it moves to the side navigation
[00:37:44.920 --> 00:37:46.680]   Then it takes me out of part into something else
[00:37:46.680 --> 00:37:50.040]   And then I try to get back and it's back at the top of the list again. It makes you crazy
[00:37:50.040 --> 00:37:53.720]   I keep it in a drawer so that I don't accidentally sit on our budget
[00:37:53.720 --> 00:37:56.120]   So it's like an special drawer
[00:37:56.120 --> 00:38:00.120]   Just so what we're saying is this is less than ideal less than ideal
[00:38:01.000 --> 00:38:04.520]   All right, so that's what we're all going to be watching for the new apple tv remote
[00:38:04.520 --> 00:38:09.320]   A lot of people apparently just use the iOS app now. I wasn't sure how many but yeah, that's all
[00:38:09.320 --> 00:38:12.440]   They're still remote. I lost it. I think it's ready. He said she lost her as months ago
[00:38:12.440 --> 00:38:17.640]   I'm kind of forgotten. That's all plus you have to remember to charge it right and if it's not, you know, I mean the whole thing
[00:38:17.640 --> 00:38:20.200]   That's not that's not bad. I'd love to I have to be I
[00:38:20.200 --> 00:38:25.080]   I'd love to have the ability to if I'm gonna buy something just use my fingerprint like I'm on my phone
[00:38:25.080 --> 00:38:27.560]   You know, I mean, you know, it's it's one of those things that you'll like
[00:38:27.960 --> 00:38:31.000]   The you know, because I have kids and so typing the
[00:38:31.000 --> 00:38:34.760]   Password and in front of them is very dangerous. You know, like they want to they want to have it
[00:38:34.760 --> 00:38:39.800]   So there's like this whole process every time they want to they want to a movie that they have to leave the room
[00:38:39.800 --> 00:38:41.880]   And then I'm gonna like click click click
[00:38:41.880 --> 00:38:45.400]   So the phone works better because I can type it in but the point is if I could just say I want to buy the
[00:38:45.400 --> 00:38:49.880]   I want to buy this and then put my finger on it. Of course my son. I'm sure would figure out how to use it while I was sleeping but
[00:38:49.880 --> 00:38:56.200]   Exactly just that don't don't wait for daddy to go to sleep and then guess what we get to see porkies too
[00:38:56.920 --> 00:38:58.920]   How
[00:38:58.920 --> 00:39:04.840]   How many times do I have to stop this autoplay video on fortune? Geez I stopped at once and it's playing again
[00:39:04.840 --> 00:39:10.920]   Fortune says survey says people don't want to pay a thousand dollars for a phone
[00:39:10.920 --> 00:39:12.840]   a
[00:39:12.840 --> 00:39:18.200]   Study from fluent found that just 13 percent of americans would buy a phone that costs a thousand dollars
[00:39:18.200 --> 00:39:21.560]   Only 8 percent would be willing to pay for a $1400
[00:39:21.560 --> 00:39:25.480]   Phone two-thirds of consumers said a thousand dollar iPhone is simply too expensive
[00:39:25.800 --> 00:39:26.920]   I don't buy it
[00:39:26.920 --> 00:39:32.440]   There's a huge problem is that no nobody will buy one when asked will you buy one when they see a phone or when they see the pricing
[00:39:32.440 --> 00:39:38.280]   The need yeah, you gotta create the need this gets back into one dodge did it's re you know its whole
[00:39:38.280 --> 00:39:45.640]   You know redesign of their trucks. They they had all these they had these focus groups and it was something like you know
[00:39:45.640 --> 00:39:47.160]   You know
[00:39:47.160 --> 00:39:51.800]   Seven or 15 percent just had to have it. They just thought it was the most amazing thing. They they had to have it
[00:39:52.600 --> 00:39:57.320]   25 percent didn't really care that didn't make any difference for them and the rest hated it
[00:39:57.320 --> 00:40:02.200]   Like just hated it could never and so that was the and they and when they showed it to their
[00:40:02.200 --> 00:40:07.320]   CEO ever said well, we're definitely building it and they said they said why and I said because our market share is 7 percent
[00:40:07.320 --> 00:40:10.760]   We are really getting 15 percent. That's all we'll be happy
[00:40:10.760 --> 00:40:16.200]   For popcorn, but when I'm at the movie I pay five you do because you have to have it exactly
[00:40:16.200 --> 00:40:22.360]   13 percent of americans is still you know 45 million people or 40 million people or something like that
[00:40:22.360 --> 00:40:24.840]   It's still a lot of zones and that's and we're talking about the very very
[00:40:24.840 --> 00:40:31.240]   You know top-end version and there's still plenty of people that will go buy seven s's and in five c's and you know all that other stuff
[00:40:31.240 --> 00:40:35.880]   Yeah, I mean we're talking exactly if that were if that were the new price of the
[00:40:35.880 --> 00:40:41.560]   Quote new iPhone and quote then that I think that would be a problem, but if they do market it as
[00:40:41.560 --> 00:40:48.520]   uh if they do market it as here is something that is a little bit extra that is a little bit fancier
[00:40:48.520 --> 00:40:50.360]   uh and
[00:40:50.360 --> 00:40:55.560]   Not a little bit more but enough but close enough to the base price of the regular iPhone 7 that
[00:40:55.560 --> 00:41:03.720]   People who are not blinking at $750 might not blink at $1,000 because in in both cases
[00:41:03.720 --> 00:41:07.880]   You have people who don't buy who either have people who buy phones every two or three years
[00:41:07.880 --> 00:41:11.400]   So that it's easy to sort of mentally absorb the extra cost
[00:41:11.400 --> 00:41:17.240]   Or they have so much money that they don't care and they buy a new phone every year anywhere and just pass down the old one to uh
[00:41:17.240 --> 00:41:19.160]   To the spouse and to the kids then to that sort of thing
[00:41:19.160 --> 00:41:24.600]   So, um, it's it's the thing is iPhones are iPhones are different iPhone customers are special
[00:41:24.600 --> 00:41:27.080]   I think that with the samsung note eight
[00:41:27.080 --> 00:41:31.400]   Part of the reason why they can charge so much is that they can legitimately say that well look it has a pen
[00:41:31.400 --> 00:41:34.840]   It has all these extra features. It is really a high productivity phone
[00:41:34.840 --> 00:41:39.080]   You can buy this almost instead of a tablet almost instead of a notebook for some people
[00:41:39.080 --> 00:41:44.920]   All apple has to do is say that this is a beautiful object that you will be interacting with from the moment that you wake up
[00:41:45.240 --> 00:41:50.520]   Until the until you take off your take off your clothes and change into your your t-shirt and sleep shorts at the end of the day
[00:41:50.520 --> 00:41:54.680]   And for a lot of those people why don't why why wouldn't I have the most beautiful thing that I can have?
[00:41:54.680 --> 00:41:59.560]   I think rene you're right the uh iphone pro is the $5 popcorn box
[00:41:59.560 --> 00:42:06.360]   You will I mean in context you want it you'll be drooling and you'll do anything to get it and guarantee you
[00:42:06.360 --> 00:42:12.200]   It'll be you know hard to get and people will get up at 12.01 in the morning
[00:42:13.160 --> 00:42:18.520]   People who are angry they can't get it 12.01. There'll be people who are angry at $1000 until the moment
[00:42:18.520 --> 00:42:20.680]   They realize they can't order one and then they'll be livid
[00:42:20.680 --> 00:42:24.360]   Let's go
[00:42:24.360 --> 00:42:30.200]   But again if apple if apple tomorrow just said you can order the best of what we're gonna release for
[00:42:30.200 --> 00:42:36.200]   $1400 20 million people would line up and buy it you as including you and me including you and me
[00:42:36.200 --> 00:42:39.880]   Yeah, yeah, sorry buy it. I want them to do it specifically. So why can't get one?
[00:42:41.320 --> 00:42:45.400]   I already know they're gonna put out this great thing and and I'm gonna and I want to have that in fact
[00:42:45.400 --> 00:42:47.640]   There are some of us who would say apple
[00:42:47.640 --> 00:42:51.480]   Spare no expense if you're gonna make an iphone pro
[00:42:51.480 --> 00:42:58.040]   Then don't consider no limits just just put I mean I don't mean make it out of solid gold
[00:42:58.040 --> 00:43:04.040]   I mean in terms of pure functionality put every bit of technology that you can think of in there
[00:43:04.040 --> 00:43:06.680]   No matter what the cost
[00:43:06.680 --> 00:43:09.080]   I would agree. Well, that's I mean I think I think well keep it under
[00:43:09.880 --> 00:43:11.480]   $2,000
[00:43:11.480 --> 00:43:16.520]   I would say you know put whatever you think makes makes you know that you can that you can make in mass and
[00:43:16.520 --> 00:43:20.200]   Put it in there and and there's a there's millions of people that would pay for that
[00:43:20.200 --> 00:43:20.760]   No, I agree
[00:43:20.760 --> 00:43:24.040]   And then and then you can and then that helps you you know that they become
[00:43:24.040 --> 00:43:27.960]   The first level and of course all that technology becomes available next year
[00:43:27.960 --> 00:43:33.320]   It's one thing now they continue to sell the se the seven s and the seven s plus because there's a range
[00:43:33.320 --> 00:43:38.120]   And for those of you nutty enough to spend $1400 for a 512 gigabyte
[00:43:38.760 --> 00:43:40.520]   iPhone pro we got it
[00:43:40.520 --> 00:43:43.560]   Now i'm gonna take a break and then we're gonna do
[00:43:43.560 --> 00:43:47.800]   I just really want to run through all the rumors and get your
[00:43:47.800 --> 00:43:55.160]   Thumbs up or thumbs down on them just you know, I don't want to give them more credence than we're gonna use five star scale but since Netflix
[00:43:55.160 --> 00:43:58.280]   All right, actually sis calling ebert
[00:43:58.280 --> 00:44:02.680]   Own thumbs up so we can't we can't use that. I don't know but anyway
[00:44:03.400 --> 00:44:10.280]   Andy Naco Chicago Sun times is here rene richy from imore.com and it's great to have Alex lindsey the pixel cord joining us
[00:44:10.280 --> 00:44:15.560]   He joins us whenever he is not tied up working with big shots
[00:44:15.560 --> 00:44:20.760]   And we are going to talk more in just a second about the latest from apple
[00:44:20.760 --> 00:44:29.880]   But first a word from our sponsor rocket mortgage from quick and loans the best mortgage lender in the country has created a mortgage product for us the geek
[00:44:30.760 --> 00:44:35.560]   No more going into the attic to go through boxes of paperwork to find those old pay stubs or check statements
[00:44:35.560 --> 00:44:38.600]   No more going hat and hand to the big bank
[00:44:38.600 --> 00:44:43.720]   Please sir can I have a loan you can do it all online?
[00:44:43.720 --> 00:44:45.640]   Thank you could do it all on your phone
[00:44:45.640 --> 00:44:49.480]   And it's so fast you could do it from an open house and get loan approval before you leave
[00:44:49.480 --> 00:44:52.280]   That's why they call it rocket
[00:44:52.280 --> 00:44:54.520]   mortgage it lifts the burden
[00:44:54.520 --> 00:44:57.400]   Of getting a home loan and you'll get the confidence you need
[00:44:57.800 --> 00:45:00.760]   Because not only are you getting it from the best lender in the country quick and loans
[00:45:00.760 --> 00:45:03.720]   But it's a completely transparent process
[00:45:03.720 --> 00:45:09.560]   That is as easy as can be because quick and loans has all these trusted partners. So your financial information
[00:45:09.560 --> 00:45:14.760]   You don't have to go get financial information. It's all there. They say you want to share this you want to share this you want to share this? Yes
[00:45:14.760 --> 00:45:18.600]   They run it fast because it's well computers are fast
[00:45:18.600 --> 00:45:23.480]   So they crunch the information instantly and then based on income assets and credits they'll
[00:45:24.280 --> 00:45:28.760]   Analyze all the home loan options for which you qualify and find the run that's just right for you
[00:45:28.760 --> 00:45:32.680]   You can choose the term it's transparent. It's fully configurable. You can choose the rate
[00:45:32.680 --> 00:45:35.320]   Rocket mortgage by quick and loans
[00:45:35.320 --> 00:45:40.040]   Apply simply understand fully mortgage confidently now. I know that you're listening to the show
[00:45:40.040 --> 00:45:42.120]   You're not buying a house right now, but please bookmark
[00:45:42.120 --> 00:45:46.360]   rocket mortgage calm slash Mac break so that when the time comes
[00:45:46.360 --> 00:45:53.320]   You will be ready might be this weekend. You never know you might see something you like rocket mortgage calm
[00:45:53.880 --> 00:46:00.760]   Slash Mac break equal housing lender licensed in all 50 states and mls consumer access dot org number 30 30
[00:46:00.760 --> 00:46:04.840]   We think quick and loans and rocket mortgage for their support rocket mortgage calm
[00:46:04.840 --> 00:46:08.840]   Actually, you can prepare even if you're not getting along. You can go through the steps now
[00:46:08.840 --> 00:46:13.080]   Just to see how easy it is. I love it rocket mortgage calm slash
[00:46:13.080 --> 00:46:15.400]   Mac break
[00:46:15.400 --> 00:46:21.560]   All right. So we we did the big rumor which is two weeks from oh look Alex has disappeared
[00:46:22.200 --> 00:46:26.600]   He has the most amazing video technologies. We can't even see him now
[00:46:26.600 --> 00:46:29.160]   He's got some sort of invisibility cloak
[00:46:29.160 --> 00:46:32.920]   And tech crunch has since said that the uh, september 12 is almost locked
[00:46:32.920 --> 00:46:35.400]   Conocord almost locked
[00:46:35.400 --> 00:46:39.000]   Hashtag almost
[00:46:39.000 --> 00:46:42.360]   Hashtag almost locked
[00:46:42.360 --> 00:46:46.040]   All right. Well, that's the biggest rumor and I like that that's I think we can all agree
[00:46:46.040 --> 00:46:49.000]   That seems like the most logical thing and apple park
[00:46:49.720 --> 00:46:51.720]   And we would know I think we'll know by next week
[00:46:51.720 --> 00:46:53.640]   Uh
[00:46:53.640 --> 00:46:59.640]   999 the price brian x chenna new york times says thinner bezels face recognition unlocking
[00:46:59.640 --> 00:47:03.160]   Wireless charging those are all old rumors. We've heard for a long time. Yeah
[00:47:03.160 --> 00:47:05.960]   uh from mac rumors
[00:47:05.960 --> 00:47:08.840]   The iphone eight prime
[00:47:08.840 --> 00:47:16.600]   Said to come in 64 256 gig and 512 gig storage capacities all with three gigs of ram zak credible
[00:47:18.200 --> 00:47:22.360]   Thumbs up thumbs down. Yeah, sure. Why not ipad pro comes that way
[00:47:22.360 --> 00:47:26.920]   Actually speaking of the ipad pro apple has two patents for using a pencil
[00:47:26.920 --> 00:47:33.080]   On a phone. Do you think that would we have with the iphone pro would we have some stylus e kind of thing?
[00:47:33.080 --> 00:47:40.760]   It's a there's a couple things you have to overcome there one is you have to make sure the technology because they're using a new kind of 3d touch because 3d touch
[00:47:40.760 --> 00:47:43.160]   Required an led backlight
[00:47:43.160 --> 00:47:47.560]   And now they're moving to a film based technology to measure the uh the force
[00:47:48.120 --> 00:47:51.560]   Of the touch and that has to be compatible with what they're doing with a multi touch sensor
[00:47:51.560 --> 00:47:55.640]   You also have to increase the scan rate to 120 hertz or if they're doing pro motion anyway
[00:47:55.640 --> 00:47:59.000]   It seems like a real nice. You know that seems like a real nice solution to that problem
[00:47:59.000 --> 00:48:02.840]   I just think the current apple pencil is you know, it doesn't look like a
[00:48:02.840 --> 00:48:07.080]   Galaxy no pencil. It's almost as big as the phone. Right and I'd love to use it
[00:48:07.080 --> 00:48:10.440]   I mean I would love love to use it would be field notes for me gone digital
[00:48:10.440 --> 00:48:13.880]   Uh, I want it more than I want many other things. I just don't know if they'll do it
[00:48:13.880 --> 00:48:17.000]   They change the form factor for a pencil stylus or where they just say hey
[00:48:17.000 --> 00:48:19.000]   If you want to use the pencil you can
[00:48:19.000 --> 00:48:22.200]   Maybe it's a nice pencil
[00:48:22.200 --> 00:48:26.600]   Yeah, but you get you know what they know they need to do a clip so you could keep it in your pocket or something
[00:48:26.600 --> 00:48:31.480]   And it caps to protect the nib because that's fragile. That's something
[00:48:31.480 --> 00:48:35.560]   Yeah, yeah, I think I think that if they had apple pencil support
[00:48:35.560 --> 00:48:37.880]   They would be surprised at how popular it would be
[00:48:37.880 --> 00:48:40.440]   uh because the people just
[00:48:40.440 --> 00:48:46.360]   More much more than the gal people have a galaxy note, but they're not they don't instinctively think of
[00:48:46.920 --> 00:48:47.900]   uh, a
[00:48:47.900 --> 00:48:49.960]   Android device as an art tablet
[00:48:49.960 --> 00:48:55.320]   Whereas people who have iPhones they will be drawing and they will be taking notes and they will be annotating
[00:48:55.320 --> 00:48:58.280]   Uh, so if they could come up with the apple golf pencil, maybe
[00:48:58.280 --> 00:49:01.080]   Uh, that'd be interesting a golf pencil
[00:49:01.080 --> 00:49:04.040]   And as far as I know, I mean pencil was developed agnostically they just chose
[00:49:04.040 --> 00:49:07.080]   I mean it's always a question of cost how much can you put into how much can you charge for it?
[00:49:07.080 --> 00:49:10.520]   Does it interfere with other things you want to do and then they made the decision to roll it out?
[00:49:10.520 --> 00:49:14.920]   iPad pro but it they could roll it out for iphone anytime they put those things together
[00:49:15.560 --> 00:49:19.560]   One of the things gal a samsung did with the note eight they have ois
[00:49:19.560 --> 00:49:23.640]   optical image stabilization in both lenses to lens solution
[00:49:23.640 --> 00:49:26.920]   Ois in both that's the thing apple doesn't do you think they might do that?
[00:49:26.920 --> 00:49:32.120]   It would be an improvement so because you can use the long lens which is really just
[00:49:32.120 --> 00:49:36.920]   50 but you can't use the long guns with in low light because it just doesn't have that stabilization
[00:49:36.920 --> 00:49:39.640]   Yeah, so that and oftentimes sometimes
[00:49:39.640 --> 00:49:44.920]   Some people get a little bit surprised that when they zoom it looks a lot worse than they thought it would
[00:49:45.000 --> 00:49:51.240]   That's because they're actually using the the they're using the the optical zoom on the wider angle lens
[00:49:51.240 --> 00:49:53.480]   And then visually zooming it
[00:49:53.480 --> 00:49:56.280]   Apple apple will do anything if it will improve image quality
[00:49:56.280 --> 00:50:02.040]   They might decide that they can do better than simple optical image stabilization on both
[00:50:02.040 --> 00:50:04.360]   They can do the procedurally better
[00:50:04.360 --> 00:50:09.320]   But no if they can get another if they can get another optical image stabilizer behind the the telephoto lens
[00:50:09.320 --> 00:50:13.880]   They can do that but stabilizing a longer lens is a much bigger problem than stabilizing a wide lens
[00:50:13.880 --> 00:50:15.880]   So it would be it was no room
[00:50:15.880 --> 00:50:17.880]   Yeah
[00:50:17.880 --> 00:50:23.560]   Just so I know whether to save up to take rubber scoble to dinner in paris or not will it be clear
[00:50:23.560 --> 00:50:27.560]   When you look that's I mean that was never like the rumor
[00:50:27.560 --> 00:50:32.600]   That rumor probably comes from a misunderstanding of what an edge to edge display looks like when it's
[00:50:32.600 --> 00:50:37.080]   Doing transparent like us doing AR mode because it's going through the camera
[00:50:37.080 --> 00:50:39.320]   Yeah, and it's showing you exactly what's behind it
[00:50:39.320 --> 00:50:42.360]   And we see pictures of a plane that that's what he meant
[00:50:43.480 --> 00:50:45.240]   I mean he should have said it back then then right?
[00:50:45.240 --> 00:50:50.600]   I asked him. I said you don't mean the camera and AR like a pokemon go you mean see through
[00:50:50.600 --> 00:50:55.640]   I don't know why he said that that was obvious. There's no technology that would make that work
[00:50:55.640 --> 00:50:58.520]   You can't well the battery wouldn't be see through so all you see is the battery right
[00:50:58.520 --> 00:51:02.040]   But definitely creating an illusion that it's clear
[00:51:02.040 --> 00:51:03.800]   I think it'd definitely be possible
[00:51:03.800 --> 00:51:06.040]   Well, that would be the one of the things that AR would do
[00:51:06.040 --> 00:51:08.760]   Yeah, I mean by the way for AR alone
[00:51:08.760 --> 00:51:11.800]   I'm interested in getting this phone just for the AR kit stuff alone
[00:51:11.880 --> 00:51:14.600]   Google today announced that they have something like AR kit
[00:51:14.600 --> 00:51:17.480]   AR core they call it AR core
[00:51:17.480 --> 00:51:21.080]   We can dumb down we can dumb down tango as good as apo
[00:51:21.080 --> 00:51:23.960]   So that was pretty much what that was like
[00:51:23.960 --> 00:51:27.080]   Yeah, you know the tang because tango is much more developed
[00:51:27.080 --> 00:51:31.640]   Than than AR kit just harder to use the pro well and the problem is that unlike
[00:51:31.640 --> 00:51:35.240]   Apple has a tango phone. Yeah, Google doesn't control the hardware
[00:51:35.240 --> 00:51:38.120]   So the only thing they could do it on is a pixel
[00:51:38.840 --> 00:51:43.800]   We got a we got a zen phone AR the the the Asus phone
