
[00:00:00.000 --> 00:00:05.760]   It's time for Mac Break Weekly Andy and Akko's here and it's a rare sighting of Alex Lindsey
[00:22:42.520 --> 00:22:46.600]   You know, they saw google as a partner. They they felt like they were wronged
[00:22:46.600 --> 00:22:49.240]   You know, and I have to admit that
[00:22:49.240 --> 00:22:51.640]   um, so some of this is spite or
[00:22:51.640 --> 00:22:55.160]   And some of it is legitimate
[00:22:55.160 --> 00:23:01.800]   And the thing is is that I have to admit that my personality is mostly that I I'm very very loyal until until I get turned upside down
[00:23:02.440 --> 00:23:04.440]   And then i'm not so loyal. What would you say?
[00:23:04.440 --> 00:23:07.640]   If I had the money if I had the money and someone did what the rule did I can't say that I wouldn't
[00:23:07.640 --> 00:23:10.280]   Say well, we're just going to keep our lawyers on it. We'll just see how it goes
[00:23:10.280 --> 00:23:14.360]   You know, you know, like, you know, like, I have to admit that my personality would be very similar
[00:23:14.360 --> 00:23:17.880]   So I understand the situation is if I felt like I had built this partnership
[00:23:17.880 --> 00:23:22.520]   I put their apps in my in my in my you know, I put their apps into my phone
[00:23:22.520 --> 00:23:26.040]   I had put their search into my phone. I had done all these things to promote them
[00:23:26.040 --> 00:23:28.760]   I pushed all those things forward and then they created their own phone
[00:23:28.760 --> 00:23:31.320]   I'd be upset
[00:23:31.320 --> 00:23:34.440]   You know, and I probably if I had the money I just turned you know, I'd say well
[00:23:34.440 --> 00:23:38.360]   Let's spend $10 million of legal fees a year and just see where it's true. It's a it's a pittance
[00:23:38.360 --> 00:23:42.760]   But I have to that, you know, just it's just I have to point out the cost of this patent system. This is a study
[00:23:42.760 --> 00:23:45.320]   Uh that came out just recently
[00:23:45.320 --> 00:23:54.680]   patent trolls cost the economy indirect costs 29 billion dollars a year large companies spend 7.27 million patrol lawsuit
[00:23:54.680 --> 00:23:59.000]   So this is this is not apple. This is not google. These are these patent trolls
[00:23:59.480 --> 00:24:02.920]   And this is but the thing is is we we have to redefine how we're handling
[00:24:02.920 --> 00:24:08.600]   We're about to go into an economy over the next century that intellectual property is the most important thing
[00:24:08.600 --> 00:24:13.800]   It's more important than than commercial property or or you know, any kind of your house or anything else
[00:24:13.800 --> 00:24:17.400]   Oh, you know, this is a time with you that there is no such thing as intellectual property
[00:24:17.400 --> 00:24:21.320]   Well, we gotta figure out a lot of it about that, but we have lately it's not physical property
[00:24:21.320 --> 00:24:24.760]   That's a big distinction that needs to be made it. Well, we and we need to make it the thing
[00:24:24.760 --> 00:24:28.040]   Is that we need a you know, this is because the thing is is that we are
[00:24:28.760 --> 00:24:32.520]   The amount of damage it does to our culture beyond all the 20 29 billion dollars
[00:24:32.520 --> 00:24:35.480]   The fact that there are many movies that none of us can ever find or see or you know
[00:24:35.480 --> 00:24:39.320]   All the orphan works and all the other pieces this whole system is just completely
[00:24:39.320 --> 00:24:44.120]   I agree with you know needs to be turned inside out and upside down and just re not tweaked
[00:24:44.120 --> 00:24:50.920]   But thrown out and rewritten. Yeah, you know and and we need to start thinking about it in election years of how do we move that forward? Yep
[00:24:50.920 --> 00:24:55.320]   You agree any that seems like a statesman like statement
[00:24:55.960 --> 00:24:58.440]   Yeah, I I agree the patent system is screwed up
[00:24:58.440 --> 00:25:02.760]   But just because it's legal to do something that is pretty horrible
[00:25:02.760 --> 00:25:06.600]   Doesn't mean that you have a right or an obligate. Excuse me. It doesn't mean you have a right to do it
[00:25:06.600 --> 00:25:08.440]   You know it doesn't mean you have an obligation to do it
[00:25:08.440 --> 00:25:14.840]   I think that if apples intention were anything other than to kill products that are competitive with their products
[00:25:14.840 --> 00:25:19.480]   They would have found a different solution that that stopped just short of saying we want to ban this
[00:25:19.480 --> 00:25:23.640]   We want an injunction to say that you cannot sell these devices in the united states of america
[00:25:23.880 --> 00:25:28.680]   They could have said something saying that we want to we will let you so we we're not going to ban the sale
[00:25:28.680 --> 00:25:33.800]   But we are going to pursue ongoing litigation that says here's how much the that at some point
[00:25:33.800 --> 00:25:35.800]   You're going to have to come to us with some money
[00:25:35.800 --> 00:25:39.480]   Uh for the licensing the patents that we own and it could be anything of any value
[00:25:39.480 --> 00:25:45.240]   But they didn't have to simply say you're not allowed to sell any device in this country that we feel
[00:25:45.240 --> 00:25:49.880]   Infringes on our patents and if they're going to if they're going to pick a device to do that with
[00:25:50.360 --> 00:25:57.640]   Oh boy. Why do they pick something that is super popular is being praised by pretty much everybody and has so
[00:25:57.640 --> 00:26:03.880]   Little similarity to anything that apples selling. I don't think apples intention is to it's a knockdown things that are competitive with their
[00:26:03.880 --> 00:26:07.480]   They're apo. I think their intention is to knock down google's version of that
[00:26:07.480 --> 00:26:10.040]   You know apple tried to keep the swimsuit
[00:26:10.040 --> 00:26:15.000]   Galaxy three out of the west they the judge this is the case where the judge same judge judge co said
[00:26:15.000 --> 00:26:19.640]   Well, I can I could I could start working on this but then you're gonna have to backseat your other stuff
[00:26:19.800 --> 00:26:24.360]   So apple said no, we'll go off to the nexus. You can stop this later. They stopped the galaxy 10
[00:26:24.360 --> 00:26:26.120]   That's an injunction. You can't buy that
[00:26:26.120 --> 00:26:30.360]   I'm saying we're not going after consistently one by one after the number one
[00:26:30.360 --> 00:26:36.280]   Smartphone manufacturer after apple and what just samson their target is not sam's saying their target is google
[00:26:36.280 --> 00:26:39.560]   If you're samson you might feel a little bit of a bullseye in your bag
[00:26:39.560 --> 00:26:42.600]   Do you think that they're gonna go after people using windows eight phones
[00:26:42.600 --> 00:26:45.480]   First for lawsuits. I don't think so no
[00:26:46.040 --> 00:26:51.720]   Not not just because it's not competitive or not competitive. They're not they're not the thing is is that microsoft didn't pick that fight with them
[00:26:51.720 --> 00:26:56.600]   You know, I mean didn't well all didn't turn that over apple. This is I still think this is between app
[00:26:56.600 --> 00:27:01.640]   This is between apple and google and android and there have you unlock a windows phone you slide don't yeah, they're not gonna
[00:27:01.640 --> 00:27:05.880]   I don't think they're gonna have to how do you is there a click? I should look at my windows phone
[00:27:05.880 --> 00:27:13.720]   Uh, Alex is there Alex gumple. Do you is he over there when you see an email in a windows phone and there's a email address or a phone number or website
[00:27:13.720 --> 00:27:15.320]   Can you click it?
[00:27:15.320 --> 00:27:21.800]   I wonder yeah, but I don't think I think that the issue is is that this is this is between apple and google over android and samson is just
[00:27:21.800 --> 00:27:25.560]   In the middle, you know, you know, they're you know, they're holding a hot stick pick one
[00:27:25.560 --> 00:27:31.400]   I think you could say it's against samson and google it's it's but I think it's against everybody using the android operating system
[00:27:31.400 --> 00:27:36.120]   I mean, I think that's the you know, and I think apple is is folk is very focused on that
[00:27:36.120 --> 00:27:38.440]   You know, and I think it's very hard to defend apple
[00:27:39.400 --> 00:27:47.000]   I'm not i'm not i'm not it's conjure it's conjecture and you might you might very well be right that it is a personal thing between apple and and android
[00:27:47.000 --> 00:27:53.960]   But at the same it's unfortunately android is inseparable from the success of android that if apple field is google
[00:27:53.960 --> 00:27:59.720]   If apple feels any pressure from any other mobile manufacturer, it's certainly not windows phone at this point
[00:27:59.720 --> 00:28:05.960]   Uh that so I think that I think that what's going to happen is if we see two years from now that windows phone has like a 25
[00:28:05.960 --> 00:28:09.480]   percent market share uh and microsoft surface has like a
[00:28:09.480 --> 00:28:17.320]   28 percent market share maybe apple will suddenly see you know what this this thing of an on we we have a patanon method by which
[00:28:17.320 --> 00:28:20.280]   Fingarpresses are translated into askey characters
[00:28:20.280 --> 00:28:26.360]   via glass device or mechanical device interface via radio or mechanical contrivance
[00:28:26.360 --> 00:28:31.240]   Yeah, you know what you're not a lot you can you can sell the surface here as long as there's not a keyboard or no way to keep
[00:28:31.240 --> 00:28:35.880]   Or any way to hook up a keyboard and you can allow people to actually touch the the surface of the screen
[00:28:36.760 --> 00:28:39.000]   We'll see if that happens. We'll see yeah
[00:28:39.000 --> 00:28:42.680]   I mean I I as I said, I think that I think that what we're seeing right now is something that while I
[00:28:42.680 --> 00:28:45.800]   I don't know whether it's good or bad, but I definitely um
[00:28:45.800 --> 00:28:48.360]   Uh
[00:28:48.360 --> 00:28:50.920]   I can't say that I wouldn't do it in the same position
[00:28:50.920 --> 00:28:55.640]   You know just because oh you're so good at sob but i'm not I'm not that competitive
[00:28:55.640 --> 00:28:59.880]   Do you like to win? No, but i'm not that competitive with those types of things when i'm in a i'm like
[00:28:59.880 --> 00:29:02.120]   We teach a lot of other people how to do what we do
[00:29:02.280 --> 00:29:06.520]   We do a lot of other things that that doesn't bother me, but what bothers me is me feeling like I got
[00:29:06.520 --> 00:29:11.480]   Throwing a little I you know, and if I get thrown on a dog talking about because I'm I'm I'm you know
[00:29:11.480 --> 00:29:16.040]   I see myself as you know, we tend to be very very loyal to people around us, you know and
[00:29:16.040 --> 00:29:20.280]   And if we feel like we got thrown under the bus, then you know, we take it personally
[00:29:20.280 --> 00:29:25.080]   Yeah, and so I think that I and I think apple was doing a lot with you you are I have to resist that uh though
[00:29:25.080 --> 00:29:28.760]   But the but what i'm saying is is that is that it's atleachia live that kind of resentment
[00:29:29.320 --> 00:29:34.360]   You know, I swear to god. It all takes time. It's better to just relax to chill
[00:29:34.360 --> 00:29:39.720]   Yeah, so anyways, that's worked some some more on these iphone thing. We're gonna make the iphone five really really good
[00:29:39.720 --> 00:29:46.760]   Let's talk about the iphone five and Alex lindsey is here in a rare personal appearance on our show. We're so glad to have him
[00:29:46.760 --> 00:29:49.160]   It's memorable once yeah, come here. This is causing all that
[00:29:49.160 --> 00:29:53.640]   No, I it's exactly the conversation I wanted to have and it's duplicated in our chat room
[00:29:53.640 --> 00:29:55.640]   This is this is a very
[00:29:56.040 --> 00:30:01.240]   This is a great conversation and I don't think there is a right answer necessarily. I think it's a lot of opinion
[00:30:01.240 --> 00:30:05.160]   I do hope I still think fundamentally it's the bigger problem is the whole system
[00:30:05.160 --> 00:30:07.080]   Oh, that's we can complain about what apple is doing
[00:30:07.080 --> 00:30:09.960]   But it's really something that we have to get we have to attack the whole system
[00:30:09.960 --> 00:30:12.040]   I agree and I do think that uh
[00:30:12.040 --> 00:30:19.400]   Uh this week in law is the proper forum for the legal discussion of this because we are not attorneys and
[00:30:19.400 --> 00:30:25.080]   Uh, we don't know but if you if you watch Denise and company when is the next this week in law? I hope they're talking about this
[00:30:25.960 --> 00:30:29.720]   Is it uh, was it yesterday or did we move to the Friday? It's Friday
[00:30:29.720 --> 00:30:32.760]   So I can almost guarantee that this week in law will
[00:30:32.760 --> 00:30:36.040]   Cover this on friday. You should watch at 11 a.m. Pacific
[00:30:36.040 --> 00:30:41.480]   Uh 2 p.m. Eastern time 1800 utc on twit.tv because they're all attorneys
[00:30:41.480 --> 00:30:47.800]   Evan and Denise and everybody and so they're gonna have the right and Denise is by the way an intellectual property attorney
[00:30:47.800 --> 00:30:49.400]   That's her field
[00:30:49.400 --> 00:30:52.360]   So i'm i'm a bobbie watch we should have gotten her in on this on this conversation
[00:30:52.360 --> 00:30:55.240]   Why didn't I think of that punch her in? You know why I'll tell you why?
[00:30:56.040 --> 00:30:57.240]   You
[00:30:57.240 --> 00:30:59.240]   You want to uneducated you
[00:30:59.240 --> 00:31:06.120]   We can get in there. We can we can sock away. We can and the problem with attorneys is they pause
[00:31:06.120 --> 00:31:08.200]   They think when we first started doing this week in law
[00:31:08.200 --> 00:31:14.360]   I actually edited out the pauses and then uh victor kyle of uh your typical mac user ended up doing the two because
[00:31:14.360 --> 00:31:17.160]   You suppose you say something and go they did go
[00:31:21.160 --> 00:31:26.280]   Think about all the options and they think and see this is no good for broadcast. We're obviously not thinking at all
[00:31:26.280 --> 00:31:29.480]   I mean, I'm not thinking. I'm just pulling this out. Where did I find this?
[00:31:29.480 --> 00:31:34.200]   We don't take that we don't take that five seconds of wonder am I what i'm what am i about to say is that actionable?
[00:31:34.200 --> 00:31:35.320]   Yeah
[00:31:35.320 --> 00:31:37.880]   Yeah, they're they want they're they're just really thinking
[00:31:37.880 --> 00:31:43.080]   So I that so I do encourage you it is perhaps something because we stopped editing out the pauses
[00:31:43.080 --> 00:31:46.840]   They don't pause as much as they used to but it is a thoughtful show about this subject
[00:31:46.840 --> 00:31:49.240]   We just did the un thoughtful. This is the entertainment
[00:31:50.440 --> 00:31:53.640]   Is entertaining. Hope no, I think each has its place because you know, we're passionate
[00:31:53.640 --> 00:31:57.560]   We feel this with this visceral and there's there's there's something to be said there for that
[00:31:57.560 --> 00:32:02.040]   That's our that's our new twit podcast the un thoughtful
[00:32:02.040 --> 00:32:09.400]   That's a good idea and by the way, you know, I think that one thing is going to be interesting is is what happens when apple wants to do something like glass
[00:32:09.400 --> 00:32:14.200]   Like if apple decided that you know when the when the table turns
[00:32:14.200 --> 00:32:17.640]   So glass google glass. Oh you mean the glasses?
[00:32:17.640 --> 00:32:21.560]   Like when apple so here's the thing is the leapfrog that google has no, you know what?
[00:32:21.560 --> 00:32:26.760]   There's so much prior art in these glasses. There's no way of app microsoft's doing it for de laissez
[00:32:26.760 --> 00:32:31.160]   But I think that'll be that'll be the interesting thing google well scoogles slugging back believe me
[00:32:31.160 --> 00:32:35.800]   They're using mo to roll his patents. Right. Uh, I think it was a florian miller who writes by the way
[00:32:35.800 --> 00:32:38.520]   This is the blog on this foss patents
[00:32:38.520 --> 00:32:45.720]   I think he did point out in foss patents that this the three pat three of the four patents apples litigating are brand new
[00:32:45.720 --> 00:32:51.960]   They got them they filed for seven years ago, but they got them a few months ago like in december and uh, and
[00:32:51.960 --> 00:32:59.720]   That's the difference between apples stuff and let's say mo to rolla or google apples getting new patents constantly
[00:32:59.720 --> 00:33:04.120]   These other guys are kind of sitting on a patent portfolio for defensive reasons perhaps offensive
[00:33:04.120 --> 00:33:06.680]   But they're not making new patents and apple is
[00:33:06.680 --> 00:33:11.000]   I I've heard I've heard it incredible numbers about how many patents apple
[00:33:11.000 --> 00:33:14.840]   Three of these four are brand new can't get the gutterman december. Yeah
[00:33:15.480 --> 00:33:19.400]   All right, we're gonna take a break when we come back. We will talk a little bit about iphone five rumors and
[00:33:19.400 --> 00:33:23.640]   Something it's not a rumor mobile meat. What do you do? That was close
[00:33:23.640 --> 00:33:26.680]   What do you do? It's three days ago
[00:33:26.680 --> 00:33:29.960]   I am for those of you listening
[00:33:29.960 --> 00:33:33.400]   Making the gesture of a finger across the throat
[00:33:33.400 --> 00:33:37.640]   As a cecilium mafioso might do to indicate
[00:33:37.640 --> 00:33:41.880]   Uh, but
[00:33:41.880 --> 00:33:43.960]   Duck being stepped on that's exactly right
[00:33:43.960 --> 00:33:47.720]   Those stepped out of duck
[00:33:47.720 --> 00:33:51.400]   This portion of the show brought to you by our good friends at hover.com
[00:33:51.400 --> 00:33:58.760]   I spent a lovely weekend finally making the move to hover.com. I didn't realize I had been using domain registrars
[00:33:58.760 --> 00:34:05.880]   I thought I just used one other there's there. I have domain spread across the universe and i'm moving them all to hover
[00:34:06.440 --> 00:34:13.400]   It is I have to say if you're gonna do this it is so much easier to not do what I did but to use hovers kosheersh service
[00:34:13.400 --> 00:34:18.760]   Give them a call the phone number is at macbreak.hover.com. It's right at the top there 866
[00:34:18.760 --> 00:34:20.680]   731
[00:34:20.680 --> 00:34:26.360]   6556 and say help me hover. I'd like to move everything over now. This is the nice thing
[00:34:26.360 --> 00:34:30.280]   They'll do that nominally they charge 25 bucks, but they've been very good to our listeners
[00:34:30.280 --> 00:34:35.320]   They I think they'll move that over for you. They do charge you 10 percent ten dollars bucks per domain
[00:34:36.120 --> 00:34:43.560]   But then you get an extra year so you get what's existing and then another year and that includes things the other guys charge you for like free
[00:34:43.560 --> 00:34:47.800]   Who has privacy that's automatic on hover.com? Nobody knows?
[00:34:47.800 --> 00:34:52.440]   You know your person a personal dresser phone number. It's always protected
[00:34:52.440 --> 00:34:56.760]   They have unlimited domain forwarding very nice dns management tools
[00:34:56.760 --> 00:35:00.760]   And they don't upsell you because they don't they don't do they don't do web hosting
[00:35:01.480 --> 00:35:06.600]   They will they'll suggest services and products, but they don't they don't do the upsell where you have to check 100 boxes
[00:35:06.600 --> 00:35:08.760]   It is so easy. It's really really easy
[00:35:08.760 --> 00:35:13.480]   They don't they will do the email forwarding, but they don't do the hosting things like that
[00:35:13.480 --> 00:35:16.200]   um
[00:35:16.200 --> 00:35:23.320]   They are 25 domains you can now register at hover.com.net.co.ca.org but also.it
[00:35:23.320 --> 00:35:27.160]   I love the fact that you can see the ones that other people are putting up for sale that are
[00:35:27.400 --> 00:35:30.360]   a little bit more expensive. Yeah, it's just hover is great. Just go there
[00:35:30.360 --> 00:35:35.000]   Go to Macbreak.hover.com pick out some domain names go through the process just to see it
[00:35:35.000 --> 00:35:37.640]   They've got great customer service and no-hole policy
[00:35:37.640 --> 00:35:44.200]   For calls during business hours when you get a live person you got them they'll solve your problem and won't put you on hold
[00:35:44.200 --> 00:35:46.680]   H-O-V-E-R
[00:35:46.680 --> 00:35:51.960]   Hover.com and if you do buy a domain name use the offer code Macbreak and you'll get 10% off
[00:35:51.960 --> 00:35:54.760]   We love them and I know you will too and I
[00:35:55.080 --> 00:35:59.720]   Just it's so much easier having my domains at hover. I gotta say very happy about that
[00:35:59.720 --> 00:36:03.000]   All right, you know somebody sent me a note
[00:36:03.000 --> 00:36:05.720]   Uh, oh by the way, I should mention
[00:36:05.720 --> 00:36:08.920]   We have been getting tweets from lots of people
[00:36:08.920 --> 00:36:12.280]   Showing us where they listen to Macbreak weekly. Please
[00:36:12.280 --> 00:36:20.360]   Here's so bathroom photos. No, this is Ed Lazarus. He apparently listens at the computer medics center. Hello ed
[00:36:21.240 --> 00:36:23.240]   Here is Jeremy Kelleher
[00:36:23.240 --> 00:36:26.920]   Nice backyard. He's watching from his backyards
[00:36:26.920 --> 00:36:35.080]   Let's see if there's anyone else. I think that's it, but that's a kind of fun thing. We should start doing that
[00:36:35.080 --> 00:36:40.280]   When with 10 tennis pictures of where you're listening and does any
[00:36:40.280 --> 00:36:45.320]   Is tweeting it the best way to do it. Yeah, I'm watching the Twitter
[00:36:45.320 --> 00:36:50.600]   So tweet it. I've been should they should they do it more on twitter lately. I don't know why I just
[00:36:51.400 --> 00:36:52.280]   I
[00:36:52.280 --> 00:36:55.240]   I don't know why it just seems like that's the one that's kind of survived
[00:36:55.240 --> 00:37:00.920]   We have good conversations on it. I don't know. I guess I I'm just fickle for a while was google plus
[00:37:00.920 --> 00:37:02.920]   effect was one year ago today
[00:37:02.920 --> 00:37:07.560]   That I changed my facebook because google plus is a year old last week changed my facebook too
[00:37:07.560 --> 00:37:10.520]   I've moved to google plus that didn't last very long
[00:37:10.520 --> 00:37:12.920]   I moved back
[00:37:12.920 --> 00:37:18.680]   Sometimes you move into a place. It smells like fish. You just move back out. You say i'm back. I didn't that was a bad idea
[00:37:19.640 --> 00:37:22.360]   Apparently they they cook sardines at google plus. I don't know
[00:37:22.360 --> 00:37:31.080]   Uh, let's hear about the iPhone 5 a little bit. Um, we had a little I I got a twitter from a tweet from somebody who said
[00:37:31.080 --> 00:37:36.280]   Why do you assume that apple's gonna put that new connector in why are you we're I was upset about it?
[00:37:36.280 --> 00:37:42.120]   Remember last week you were sick about it. I was sick to death because I have so much interested in the survey and so many
[00:37:42.120 --> 00:37:47.000]   Connectors and uh, ryan block, uh, talk me off the ledge on twitter a week ago to ago
[00:37:47.000 --> 00:37:50.440]   He said no look this is an old connector. They needed a new connector. This is a good connector
[00:37:50.440 --> 00:37:54.840]   But somebody else has pointed out that apple has multiple prototypes
[00:37:54.840 --> 00:38:00.440]   So yes, it's kind of clear because of the video and the pictures that there is at least a prototype with a new
[00:38:00.440 --> 00:38:03.400]   19 pin connector replacing the 30 pin connector, but
[00:38:03.400 --> 00:38:08.280]   That may just be one of several and maybe if we make enough noise
[00:38:08.280 --> 00:38:11.480]   They'll keep the 30 pin. Why don't I just do thunderbolt?
[00:38:13.160 --> 00:38:18.680]   I'll tell you why what would you use thunderbolt for on a phone? It was just it was just so it'd be one data port
[00:38:18.680 --> 00:38:25.000]   What are you gonna do? You're gonna transfer data 8 gigabytes of data a second from your phone? Yeah, I'd like to actually
[00:38:25.000 --> 00:38:27.720]   Talking to me. Yeah, I mean come on now
[00:38:27.720 --> 00:38:31.160]   I was like I want to be able to plug cameras into my phone
[00:38:31.160 --> 00:38:35.640]   Also, also, I think thunderbolt needs CPU support and they wouldn't be able to do it on a mobile device
[00:38:35.640 --> 00:38:37.160]   Plus
[00:38:37.160 --> 00:38:42.200]   The other thing is that in in china they make all kinds of parts for all kinds of people
[00:38:42.760 --> 00:38:44.760]   and it's there I
[00:38:44.760 --> 00:38:50.520]   Remember I remember a story about someone who picked up a counterfeit part and sent it sent it to not me
[00:38:50.520 --> 00:38:53.960]   It's to a different well-known like mac and apple pundered
[00:38:53.960 --> 00:38:59.480]   And it looked really good. It had the apple. I think it even had the apple logo on it
[00:38:59.480 --> 00:39:03.560]   It was the right shape was right size, but it was just a phony part that was
[00:39:03.560 --> 00:39:06.760]   Make by god knows whom for god knows what purpose
[00:39:07.320 --> 00:39:13.480]   So it's that that part is a really good point of discussion for how we would react to a different port
[00:39:13.480 --> 00:39:15.480]   Right, but it means as always
[00:39:15.480 --> 00:39:19.960]   It no matter how excited I get up I get about a certain rumor no matter how good it looks
[00:39:19.960 --> 00:39:26.600]   Until a week before release. I have to remind myself that I have no idea what the next iPhone or iPad is going to look like until
[00:39:26.600 --> 00:39:29.880]   I'm actually at an event and actually seeing what I'm holding one of my hands
[00:39:29.880 --> 00:39:33.480]   Yeah, no, I think that's a really important point. That's why I wanted to bring that up
[00:39:34.840 --> 00:39:37.320]   And I wouldn't put it past apple to make a few
[00:39:37.320 --> 00:39:41.320]   Phony prototypes. Oh, I don't think I don't think about it with that
[00:39:41.320 --> 00:39:43.480]   They've done it in the past in fact
[00:39:43.480 --> 00:39:46.040]   We we heard that they would if you're new at apple
[00:39:46.040 --> 00:39:50.520]   They'll make up a fake project for you to work out for a few months just to see if you're at leaky sieve
[00:39:50.520 --> 00:39:58.360]   Mm. That's pretty that's hard core about secrecy and didn't tim cook say he was gonna double down on secrecy
[00:39:58.360 --> 00:40:04.120]   Well started, you know, I think that apple for a long time was very very quiet and then it started to get a little more leaky
[00:40:04.280 --> 00:40:08.840]   Yeah, and so I think they're just kind of pulling pulling that back in again. Wells Fargo
[00:40:08.840 --> 00:40:16.200]   It's worth they have an analyst division because evidently Wells Fargo is the the leading expert in technology news
[00:40:16.200 --> 00:40:20.920]   Should I not even quote this? I just know it was just a nice thing to say
[00:40:20.920 --> 00:40:23.720]   For apple, you know
[00:40:23.720 --> 00:40:29.000]   Some people watch this show and they say you guys should not be on this show because you should only say nice things about apple
[00:40:29.000 --> 00:40:31.640]   On a show called mac break weekly. So i'm gonna say something nice
[00:40:32.200 --> 00:40:39.880]   Wells Fargo says the iPhone 5 launch will be the biggest product launch in consumer electronics history
[00:40:39.880 --> 00:40:42.200]   That's a big comment
[00:40:42.200 --> 00:40:44.760]   Bigger than connect
[00:40:44.760 --> 00:40:50.280]   Bigger than the galaxy i was like i was like, what is what is that connect was huge microsoft?
[00:40:50.280 --> 00:40:55.160]   I did a thing and it was on an xbox and they sold like a million of them a day. It was like huge
[00:40:55.160 --> 00:40:58.440]   Bigger than ipad
[00:40:59.000 --> 00:41:03.160]   I guess if there's i mean it depends on i guess how many people are using the 3gs or the you know
[00:41:03.160 --> 00:41:09.560]   A lot of the cheaper ones and maybe this is going to be the big bump up above the four s but the reason that the reason this is germane
[00:41:09.560 --> 00:41:15.320]   Is Wells Fargo is telling its clients its customers that the stock is undervalued
[00:41:15.320 --> 00:41:20.520]   Isn't it crazy to have a company the size of apple and and you have them keep on saying that the stock is undervalued
[00:41:20.520 --> 00:41:23.960]   Crazy it's worth more
[00:41:23.960 --> 00:41:27.880]   Um, they expect a 12x price to earnings
[00:41:28.600 --> 00:41:32.760]   I don't I don't I don't understand how the iphone becomes the biggest consumer product launch in
[00:41:32.760 --> 00:41:37.400]   History there's I mean apple is behind I think half of those I could tell you right now
[00:41:37.400 --> 00:41:42.760]   It won't be if they change the damn can i'm sorry father forgive me gd connector
[00:41:42.760 --> 00:41:46.120]   Then see that's how mad I am about that
[00:41:46.120 --> 00:41:50.600]   Well, I mean, we'll we'll forget all about it so long as it's a
[00:41:50.600 --> 00:41:54.760]   Songs it's a good decision. I don't think that anyone's gonna make a big fuss about it
[00:41:55.160 --> 00:42:01.720]   I mean, it's it's it's it's it's it's it's tough beans for anybody who has like a hardware dock connector in their car
[00:42:01.720 --> 00:42:04.600]   But for almost everybody else it'd be a very easy
[00:42:04.600 --> 00:42:10.760]   It's also like buy a new cable if you have that I got my wife one of those little speak alarm clock speaker systems that you drop your phone
[00:42:10.760 --> 00:42:12.920]   Your iPhone that's when I had yeah, those are the kind of things that
[00:42:12.920 --> 00:42:17.080]   It becomes a $200 clock right now. I didn't buy it they gave it to me
[00:42:17.080 --> 00:42:19.320]   But it but I bought it I just want to say I bought it
[00:42:19.320 --> 00:42:22.200]   I have that renew clock, you know, we reviewed it and uh
[00:42:22.520 --> 00:42:28.600]   It watches you sleep and then gives you a graph on your iPhone of how well you slept right and then it asks you when you wake up
[00:42:28.600 --> 00:42:31.800]   How do you feel how do you feel tired?
[00:42:31.800 --> 00:42:33.320]   Happy
[00:42:33.320 --> 00:42:37.400]   Crumpy and then I have the graph of how you felt how I sleep
[00:42:37.400 --> 00:42:39.560]   See I was up
[00:42:39.560 --> 00:42:43.720]   And then I was asleep and then I was up and I was just i'm an old man. I get up to p
[00:42:43.720 --> 00:42:45.880]   Come on. Give me a break mine is just always up
[00:42:45.880 --> 00:42:48.440]   It's like little uh maps up
[00:42:48.920 --> 00:42:50.920]   See the white ones are we don't see you
[00:42:50.920 --> 00:42:53.480]   You're either awake or there's no signal
[00:42:53.480 --> 00:42:57.000]   The little ones are light sleep and the long ones are but see this isn't gonna work anymore
[00:42:57.000 --> 00:43:03.560]   Because it this this requires one of these 30 pin i'm sure that i'm sure that someone is gonna make a little like
[00:43:03.560 --> 00:43:05.800]   Uh doc snuggie for it that'll
[00:43:05.800 --> 00:43:13.400]   Snuggie. Oh, I'm sorry. It's scoash scosh made something like that when they changed the the internal configuration of the the pin connector
[00:43:13.400 --> 00:43:17.560]   So that no that the power passed through became different. So you got the full
[00:43:18.360 --> 00:43:20.360]   It's gonna be okay. I know
[00:43:20.360 --> 00:43:23.960]   People people people like me will crout will create a huge think about it in the first week
[00:43:23.960 --> 00:43:27.320]   Particularly if it looks like the only reason why they did it was because style
[00:43:27.320 --> 00:43:33.320]   But after that it's gonna be a non-issue. I'm gonna cheer myself up. Here's a david love camp. He's watching us at work
[00:43:33.320 --> 00:43:39.000]   Right now. David does a very nice work setup that includes a chicago bull's poster and a st
[00:43:39.000 --> 00:43:43.080]   Louis cardinals mouse pad. He's clearly and a calculator
[00:43:43.080 --> 00:43:46.520]   I don't I let's guess what david does for a living. I don't know
[00:43:47.560 --> 00:43:50.120]   He's he's pointed at a cube
[00:43:50.120 --> 00:43:55.560]   Here's another guy watching at work. This is nicholas de salvo. Oh, he's got like
[00:43:55.560 --> 00:44:01.880]   He's got stuff. He's got a whiteboard and stuff. Here's a guy mark moran
[00:44:01.880 --> 00:44:06.600]   He's outside of the pool. Oh, I like that one. He's bob a cuba. That is the way
[00:44:06.600 --> 00:44:10.600]   He's bob a cubit on this stay before the independence day holiday
[00:44:10.600 --> 00:44:16.360]   How about kyle duffield? This is awesome. I know I love it. I forget the news
[00:44:16.920 --> 00:44:20.760]   Like we could talk about patons, but we can look at everybody's house. Yeah, erin nelson
[00:44:20.760 --> 00:44:23.560]   Let's see where erin's watching from. I'm just I'm everybody's settings
[00:44:23.560 --> 00:44:29.160]   That's that's work looks like he sells uh apple stuff right there. Doesn't that or something?
[00:44:29.160 --> 00:44:33.480]   He's got a lot of that box is there. He's got bad as a well designed. Yes
