
[00:00:00.000 --> 00:00:05.060]   It's time for Mac break weekly Andy Renee and Alex are all here
[00:23:41.640 --> 00:23:43.880]   It's all coming up next
[00:23:43.880 --> 00:23:49.000]   Our show today brought to you by rocket mortgage from quick and loans time to get a new home time to get alone
[00:23:49.640 --> 00:23:52.440]   I don't know a whole lot of us who can write a check for a new home
[00:23:52.440 --> 00:23:58.040]   It's really frankly the biggest purchase you'll ever make and even that down payment check is probably the biggest check you'll ever write
[00:23:58.040 --> 00:24:03.400]   So it's important you're gonna be uh, you're gonna be in a long-term relationship with a mortgage lender
[00:24:03.400 --> 00:24:10.120]   Make it the biggest the best make it quick and loans number one in customer satisfaction eight years in a row
[00:24:10.120 --> 00:24:12.680]   Oh, I have to add 2018
[00:24:12.680 --> 00:24:19.480]   Yay now nine years in a row. They just got the jd power customer satisfaction number one award
[00:24:19.800 --> 00:24:23.160]   for the ninth year running fifth year running for so it's
[00:24:23.160 --> 00:24:25.880]   nine years for mortgage
[00:24:25.880 --> 00:24:31.960]   Origination five years for mortgage servicing. That's a lot of happy customers and you know you put them you add them all up
[00:24:31.960 --> 00:24:36.520]   You become the largest lender in the nation. Congratulations quick and loans that happened last year
[00:24:36.520 --> 00:24:39.080]   Now they've made it even better
[00:24:39.080 --> 00:24:44.520]   So one of the things that that makes quick and loans so popular with its customers is their focus on the customer experience
[00:24:45.080 --> 00:24:50.760]   And they have and we've talked about it before created rocket mortgage for people like you and me who don't want to go to the bank
[00:24:50.760 --> 00:24:56.520]   We just want to do everything online rocket mortgage is an entirely online mortgage approval process
[00:24:56.520 --> 00:25:02.600]   With with something brand new they call it the power buying process three steps with step one
[00:25:02.600 --> 00:25:06.280]   We've talked about it before you answer a few simple questions right on your phone
[00:25:06.280 --> 00:25:11.320]   They'll check your credit. They'll tell you what loans you qualify for you pick your loan
[00:25:11.320 --> 00:25:15.240]   You've got pre-qualified approval and all of that in about 10 minutes less than 10 minutes
[00:25:15.240 --> 00:25:22.360]   Step two takes place in the next 24 hours a loan officer verifies income assets and credit and they can do that most cases without any
[00:25:22.360 --> 00:25:25.640]   Input on your part because you've already given them permission
[00:25:25.640 --> 00:25:31.320]   They took talk to you know, they have all their trusted partners. They talk to the financial institutions and they
[00:25:31.320 --> 00:25:36.600]   They verify all that information and once they've done that they'll give you a verified approval. That means
[00:25:36.600 --> 00:25:39.880]   Basically you have the strength of a cash buyer you go right to the head of the line
[00:25:39.880 --> 00:25:43.480]   You are there's no contingencies. You're you got the money, baby
[00:25:43.480 --> 00:25:46.840]   That's within 24 hours
[00:25:46.840 --> 00:25:51.800]   Took us two months to get that with the last time we got a loan from the bank
[00:25:51.800 --> 00:25:56.280]   I could tell you right now rocket mortgage from now on for us once you're verified
[00:25:56.280 --> 00:26:00.440]   And this is something new because rates have started to go up. They've uh, they've implemented
[00:26:00.440 --> 00:26:05.800]   They're all new and it's exclusive rate shield approval. They'll lock up your rate. It can't go up
[00:26:05.800 --> 00:26:08.680]   And they'll give you up to 90 days to find a house
[00:26:09.320 --> 00:26:13.320]   Without the rates going up. I don't care if rates are going up. There's won't if they go down
[00:26:13.320 --> 00:26:17.480]   Quick-end loans will lower your rate. That's nice. Either way you win
[00:26:17.480 --> 00:26:24.440]   It's exactly the kind of thinking you'd expect from the america's biggest mortgage lender to get started go to rocket mortgage.com slash
[00:26:24.440 --> 00:26:29.160]   Mac break rate shield approval is only valid on certain 30-year purchase transactions
[00:26:29.160 --> 00:26:32.920]   Additional conditions or exclusions could apply based on quick-end loans data
[00:26:32.920 --> 00:26:35.400]   In comparison to public data records
[00:26:35.400 --> 00:26:40.760]   Equal housing lender licensed in all 50 states and MLS consumer access.org number 30 30
[00:26:40.760 --> 00:26:43.240]   All you have to remember is this rocket mortgage
[00:26:43.240 --> 00:26:45.720]   dot com
[00:26:45.720 --> 00:26:50.840]   Slash Mac break. All right. Who here show a hands has bent his iPad in half to see if it'll break
[00:26:50.840 --> 00:26:59.000]   Why do no I chose to do my Huawei tablet instead like snaggy snazzy labs? I just you know, I blame youtube
[00:26:59.000 --> 00:27:04.920]   It's just the the incredible rush for youtube view numbers. Somebody's always got a
[00:27:05.480 --> 00:27:07.320]   try to break
[00:27:07.320 --> 00:27:09.800]   So with some some cherry
[00:27:09.800 --> 00:27:15.720]   Rig everything is the website that cracked the ipad pro in half
[00:27:15.720 --> 00:27:17.400]   the
[00:27:17.400 --> 00:27:23.000]   Your name is this is clearly farce like if you watch zak do that video that is not a serious video
[00:27:23.000 --> 00:27:27.560]   He's like saying it's aluminum and running his acto knife across the this side of it
[00:27:27.560 --> 00:27:30.440]   And like this is a button and cut it to me it is clearly
[00:27:31.240 --> 00:27:34.600]   Like comedy theater and then people took it super seriously
[00:27:34.600 --> 00:27:39.080]   The only thing I could take seriously is exact delses make it too much damn money
[00:27:39.080 --> 00:27:45.320]   Man, this is I always breaks my heart was the same thing with the will it blend guys. I hate seeing
[00:27:45.320 --> 00:27:47.960]   Good product on the back of it
[00:27:47.960 --> 00:27:54.920]   No, it's not serious. Yes, this hurts my well, see well the the difference is that the will it blend people
[00:27:54.920 --> 00:27:57.480]   It's it's a waste of good technology, but no one is certain
[00:27:57.560 --> 00:28:04.680]   It's not going to turn into like a 300 word piece on his on a se on a serious news blog about new concerns
[00:28:04.680 --> 00:28:07.640]   Start to arise about the durability of apples new landmark
[00:28:07.640 --> 00:28:12.520]   It's I will I will however I know he's burning the screen. Oh
[00:28:12.520 --> 00:28:16.280]   I will however say that I love to see
[00:28:16.280 --> 00:28:19.320]   extreme durability tests
[00:28:19.320 --> 00:28:25.400]   Test that actually seemed to be within the realm of what could happen because they could have given that to a needy 10
[00:28:25.400 --> 00:28:27.400]   Year old and changed the life
[00:28:27.400 --> 00:28:32.520]   Well, well, even better he could have taken the $800 food bank and changed several lives
[00:28:32.520 --> 00:28:38.280]   But what I what I'm getting at is that my my concern as someone who like
[00:28:38.280 --> 00:28:44.200]   Has a bike and puts things in a backpack and often travels and has a laptop bag
[00:28:44.200 --> 00:28:49.560]   And I buy too many books and things on the trip and I have to kind of over stuff my laptop bag or my backpack
[00:28:49.560 --> 00:28:55.240]   I'm always concerned about is there going to be so much pressure on this thing inside the backpack
[00:28:55.480 --> 00:29:01.800]   That it's going to bend something a little bit. So I would love to see I would love to see the hydraulic drill press guy
[00:29:01.800 --> 00:29:07.960]   Do that only because he has a new he has a new like extremely fine tuned drill press
[00:29:07.960 --> 00:29:13.640]   That could say here's how much pressure it took before it started to bend and then someone else could say well
[00:29:13.640 --> 00:29:18.200]   Here's how here's how much pressure is put on your backpack when okay, just
[00:29:18.200 --> 00:29:22.680]   I went for my I went for my my constitutional the other night
[00:29:22.920 --> 00:29:26.200]   I decided to stop by the supermarket to just get a sandwich for dinner
[00:29:26.200 --> 00:29:32.680]   And they had like that really really great sale on diet doctor pepper that like only comes like three times a year
[00:29:32.680 --> 00:29:38.440]   But you have to buy five so I wanted to wound up having to cram like 10 liters of diet doctor pepper
[00:29:38.440 --> 00:29:44.680]   Like immense like 80 pounds worth of stuff in this backpack and my notebook was in the bag as well
[00:29:44.680 --> 00:29:46.760]   And I was pretty much okay with it
[00:29:46.760 --> 00:29:50.840]   But I'm like is this how I destroy a thousand dollar laptop that I don't even own
[00:29:51.240 --> 00:29:56.440]   Because I couldn't turn down 88 cents for two two liter bottle of diet doctor pepper
[00:29:56.440 --> 00:30:01.000]   So these are the sort of durability things we really need to start thinking about because we don't
[00:30:01.000 --> 00:30:02.760]   uh
[00:30:02.760 --> 00:30:08.120]   Apple doesn't I don't think they ever talk about the physical durability of their hardware
[00:30:08.120 --> 00:30:10.360]   And I think that that's another
[00:30:10.360 --> 00:30:13.640]   Feather they could put in their cap if they said that not only is it slimmer
[00:30:13.640 --> 00:30:17.640]   But here's how but of course we test everything to make sure that when you put it in your pocket
[00:30:17.640 --> 00:30:21.720]   It won't bend and of course we want to make sure that you'll get many years of life out of your iPad
[00:30:21.720 --> 00:30:25.080]   And believe it or not it is just as durable as any other iPad we've ever made
[00:30:25.080 --> 00:30:27.080]   I really think that should be part of the conversation
[00:30:27.080 --> 00:30:32.040]   Uh before particularly people are going to be laying out a thousand bucks potentially on an iPad pro
[00:30:32.040 --> 00:30:35.400]   I think that there's a certain level of it at some point when you start spending a certain amount of money
[00:30:35.400 --> 00:30:38.600]   I mean this I I broke down by the way. I bought an iPad. I couldn't
[00:30:38.600 --> 00:30:43.160]   I said I was gonna wait. We're not surprised and it looks pretty it looks mighty good
[00:30:43.400 --> 00:30:47.800]   The you know, I'm gonna end up buying one for my mom. She saw it. She said oh, I like
[00:30:47.800 --> 00:30:51.880]   Yeah, Alex when you when you buy an iPad pro, that's not the system breaking down
[00:30:51.880 --> 00:30:55.080]   That's the Alex Lindsey system working exactly as it was intended to
[00:30:55.080 --> 00:30:58.040]   Not gonna do it. I'm not gonna do it. Okay, maybe I will
[00:30:58.040 --> 00:31:00.600]   so so so I
[00:31:00.600 --> 00:31:04.360]   I got it and the thing is is if you're gonna spend $1500 on an iPad, you know
[00:31:04.360 --> 00:31:05.080]   I
[00:31:05.080 --> 00:31:06.280]   I'm going to take care of it
[00:31:06.280 --> 00:31:09.400]   You know like like there's this crazy thing that if I spent a lot of money on an object
[00:31:09.400 --> 00:31:12.680]   I'm probably not gonna shove it in with a bunch of other things and when I you know
[00:31:12.680 --> 00:31:14.680]   I have a backpack that gets pretty heavy
[00:31:14.680 --> 00:31:19.960]   And it and I'll have multiple laptops and multiple iPads that are doing different things
[00:31:19.960 --> 00:31:25.480]   And I will admit that as I stack that as I stack that stuff in in and out when I'm going in and out of the airport
[00:31:25.480 --> 00:31:29.400]   I think of every screen every you know, Ben point every
[00:31:29.400 --> 00:31:33.160]   You know thing that I'm doing the way I stack the bag is thinking through
[00:31:33.160 --> 00:31:37.000]   What's gonna bend and what's gonna be under pressure and what's gonna do all those things
[00:31:37.000 --> 00:31:39.560]   Now I admit that my first job out of high school was packing electronics
[00:31:39.640 --> 00:31:46.120]   So I I thought about it early, but but I think that this idea that we can just treat
[00:31:46.120 --> 00:31:51.640]   You know relatively small things that cost a lot of money without any respect. I think is a is part of the
[00:31:51.640 --> 00:31:55.080]   You know, it's not apple's responsibility to some degree
[00:31:55.080 --> 00:31:58.440]   50 bucks on the autobox case in slap it in having travel
[00:31:58.440 --> 00:32:03.560]   My dad dropped his phone and broke it the third his iPhone like the the second day and apple
[00:32:03.560 --> 00:32:07.400]   I guess just replaced it. I mean they didn't have anything they just replaced it
[00:32:07.400 --> 00:32:09.400]   But anybody in an automatic he was an autobox
[00:32:09.400 --> 00:32:13.480]   I'm gonna pull an Andy here. There's some ice cream stores
[00:32:13.480 --> 00:32:15.400]   that if you
[00:32:15.400 --> 00:32:20.600]   Get the ice cream and it falls off the cone as you walk out the door will give you a new ice cream
[00:32:20.600 --> 00:32:26.440]   And there's some that won't right and honestly the ones that don't that seems legit
[00:32:26.440 --> 00:32:30.920]   I mean, it's not their fault, but the ones that do it's like apple where they're being extra nice
[00:32:30.920 --> 00:32:36.280]   But you can't expect I don't think what apple wants to do is have a lot of conversations about when they're when the product breaks
[00:32:36.920 --> 00:32:39.160]   Well, not well, not promising things
[00:32:39.160 --> 00:32:44.360]   But at least assuring you that when you when they start talking about how light and thin this thing is
[00:32:44.360 --> 00:32:47.800]   That's going to be part of the buying
[00:32:47.800 --> 00:32:53.160]   Decision that i'm going to make because you're absolutely right you should take extremely good care of
[00:32:53.160 --> 00:32:56.280]   Things you spend 50 dollars on let alone a thousand dollars
[00:32:56.280 --> 00:33:01.560]   But the thing is this is something that you're going to be carrying with you everywhere and you're going to be traveling with it
[00:33:01.560 --> 00:33:05.880]   And you're going to be putting it in an overhead compartment and then maybe some idiot is going to think
[00:33:05.880 --> 00:33:08.920]   Oh, well, I bet if I could just push this laptop bag all the way to the side
[00:33:08.920 --> 00:33:15.240]   I can can't deliver my particle accelerator sized box inside here because who cares about someone else's laptop
[00:33:15.240 --> 00:33:19.160]   It's like things happen and so it's good to have some sort of
[00:33:19.160 --> 00:33:22.360]   Assurance
[00:33:22.360 --> 00:33:24.360]   Board in your back to protect
[00:33:24.360 --> 00:33:26.360]   Well, I guess my real the only real question
[00:33:26.360 --> 00:33:27.160]   In my opinion
[00:33:27.160 --> 00:33:31.080]   I have a sheet of acrylic that I said I some I use for a lot of different things my travel
[00:33:31.080 --> 00:33:34.040]   But part of it is I like to have something hard and flat
[00:33:34.520 --> 00:33:36.840]   Kind of sit so that I use a Mac book for that
[00:33:36.840 --> 00:33:38.120]   I just healed it with a Mac book
[00:33:38.120 --> 00:33:41.000]   And I actually think that the one the one thing they should let through tsa
[00:33:41.000 --> 00:33:45.720]   Personally as someone who flies a lot is they should allow you to carry a cattle prod
[00:33:45.720 --> 00:33:53.000]   To shock anyone who thinks that it's okay to touch someone else's bag that is so uncool
[00:33:53.000 --> 00:33:57.640]   The flight attendants. It's okay, but when you see someone else messing with somebody else's bag without asking
[00:33:57.640 --> 00:34:01.400]   Just want a cattle prod. I just want just just a cat about just right right
[00:34:01.400 --> 00:34:03.400]   The ribs right the ribs just
[00:34:03.400 --> 00:34:06.040]   Isn't it in a common area now that is non-stirring?
[00:34:06.040 --> 00:34:08.760]   It is not it is inappropriate and wrong
[00:34:08.760 --> 00:34:14.040]   And you know it's right up there with people who take more than 10 seconds to get out of the aisle so
[00:34:14.040 --> 00:34:17.320]   Boy, we got a lot of mileage out of that
[00:34:17.320 --> 00:34:20.840]   All I really want to ask dr. Pepper ice cream and uh
[00:34:20.840 --> 00:34:23.640]   uh particle accelerators inside is
[00:34:23.640 --> 00:34:28.280]   Is the iPad more susceptible to bending than any other?
[00:34:28.280 --> 00:34:30.360]   tablet
[00:34:30.360 --> 00:34:34.920]   There was a really great video on snazzy labs where quinn did a arity of zacks video
[00:34:34.920 --> 00:34:39.400]   And he does it with a huawei tablet and he draws on the back of it and he snaps it in half
[00:34:39.400 --> 00:34:41.880]   And he does he pours out dr. Pepper. I believe
[00:34:41.880 --> 00:34:49.640]   Amish to Andy should apple should apple put as they did with one of the phones right put
[00:34:49.640 --> 00:34:51.640]   metal
[00:34:51.640 --> 00:34:57.320]   You know bars in there to protect it against bending or is that really just do that they made a whole new
[00:34:57.560 --> 00:35:00.520]   Aluminum ally they went from 6,000 to 7,000 series aluminum
[00:35:00.520 --> 00:35:04.200]   But that was also because they introduced 3d touch and needed a much higher level
[00:35:04.200 --> 00:35:06.280]   We're gonna be in order for people to be pushing
[00:35:06.280 --> 00:35:10.760]   Yeah, for not to move when you pushed it so there has been there they're doing all those sorts of things
[00:35:10.760 --> 00:35:12.680]   But it is a bit it is a much lower
[00:35:12.680 --> 00:35:17.400]   This is a thing metal bends plastic cracks glass breaks and ceramic shatters
[00:35:17.400 --> 00:35:21.720]   This is material science you pick your material and then you try to mitigate as best you can
[00:35:21.720 --> 00:35:24.360]   I'll exit and do they mitigate well or not as the
[00:35:25.160 --> 00:35:27.160]   Hydrogen from red camera
[00:35:27.160 --> 00:35:32.200]   But it's not the titanium yet. Let's go it. He's waiting wait for the titanium waiting the titanium is coming
[00:35:32.200 --> 00:35:36.280]   Would you mind if I broke this not until the titanium comes? Okay? Yeah, it's the aluminum one
[00:35:36.280 --> 00:35:40.200]   I feel like this would not I mean like I could really put some serious pressure on the latest
[00:35:40.200 --> 00:35:42.760]   I think
[00:35:42.760 --> 00:35:50.200]   The interesting thing is is that I just want to get on some hits on youtube
[00:35:50.200 --> 00:35:54.760]   Oh, sorry, I meant that I I'm from milk toast with my iPhone
[00:35:55.560 --> 00:35:59.880]   Uh, so with my iPhone I I immediately I mean I didn't buy it without buying a case for it
[00:35:59.880 --> 00:36:04.040]   Just because I'm afraid I'm gonna break it, you know and uh that thing you don't have a case on this
[00:36:04.040 --> 00:36:09.160]   I don't put a case with pistol grips on it right now. It is. Never wanted it wouldn't take to a case very well
[00:36:09.160 --> 00:36:12.360]   And number two is I don't feel like I need it like it feels like it's gonna probably
[00:36:12.360 --> 00:36:16.280]   It feels like you could murder someone with it just like counter
[00:36:16.280 --> 00:36:20.680]   Just like an old just like an old movies when someone would like fracture someone skull with a handset of a phone
[00:36:21.080 --> 00:36:24.680]   The hydrogen phone looks like you could kill somebody by hitting them over the head with it
[00:36:24.680 --> 00:36:30.840]   But but I just I just want to I just want to say just to my point when amazon introduced like they're new
[00:36:30.840 --> 00:36:34.600]   Oh my god like 80 dollar version of a color fire tablet
[00:36:34.600 --> 00:36:38.680]   Uh, which which I think we can describe as a suspiciously low price
[00:36:38.680 --> 00:36:41.640]   For a color tablet that runs a modern operating system
[00:36:41.640 --> 00:36:46.840]   They actually said here is video of it actually like in the tumbled drawer and they said here
[00:36:47.640 --> 00:36:51.320]   But feel free to like just drop it and not throw it but just drop it on the center
[00:36:51.320 --> 00:36:58.520]   This med floor if you want to uh, which is partly because they were it's selling this as this is a good tablet to give to your kids because
[00:36:58.520 --> 00:37:01.160]   Hey, it's 80 dollars if they lose it if they throw it out of the car door
[00:37:01.160 --> 00:37:06.280]   It's you're still gonna punish them for it, but you're not gonna be you're not gonna be that heartbroken about it
[00:37:06.280 --> 00:37:11.880]   But also making the point that just because it's an 80 dollar tablet that doesn't mean that it's made out of mars a pan or anything
[00:37:12.040 --> 00:37:19.880]   All i'm saying is that it would be great if apple were showing as much pride and all of the engineering that they absolutely do to make this as
[00:37:19.880 --> 00:37:25.160]   Structurally strong as they possibly can as they do with all the other great features of an ipad
[00:37:25.160 --> 00:37:27.640]   Because again, that's something that's going to be on people's minds
[00:37:27.640 --> 00:37:31.800]   Uh, and it's it's but it isn't it isn't it terrible though that when these things happen
[00:37:31.800 --> 00:37:37.560]   There are always those commenters saying you know, I'd be great if apple did some actual real words world stress testing
[00:37:37.560 --> 00:37:41.160]   Shut up. They do they do so much testing of these things
[00:37:41.720 --> 00:37:44.440]   That they're not going to make it impossible to bend but once again
[00:37:44.440 --> 00:37:51.640]   It's a nice thing to see that I re we reassure you that don't think that just because it doesn't look as strong as a generation
[00:37:51.640 --> 00:37:57.640]   One ipad it isn't as strong as a generation one ipad or at least a three seconds to bend it instead of four seconds like last
[00:37:57.640 --> 00:38:01.240]   You did it look like he pushed that zak pushed it really hard or did it look
[00:38:01.240 --> 00:38:06.920]   Look at here's my eye phone. It's my eye phone 10s. You if I just do it a little bit. It's not
[00:38:06.920 --> 00:38:09.080]   Oh
[00:38:09.080 --> 00:38:14.040]   Oh, they're going to be usually oh a million. Oh, I broke it. I broke it. I broke it three million views
[00:38:14.040 --> 00:38:17.240]   Oh my god. Okay. I didn't I said it was not made out of marga pen
[00:38:17.240 --> 00:38:19.800]   But some of them are made out of licorice. I stand corrected
[00:38:19.800 --> 00:38:24.280]   This one I can't break these are all three
[00:38:24.280 --> 00:38:27.480]   I think that's not my thing. I didn't bend the iphone 10s even the max
[00:38:27.480 --> 00:38:32.920]   You the video for that one. Yeah, it was just not not but that's a much smaller package and it's much thicker
[00:38:32.920 --> 00:38:35.160]   So i'm trying to judge this based on
[00:38:36.200 --> 00:38:39.160]   How red his fingertips are as he's pressing
[00:38:39.160 --> 00:38:43.720]   Let's let's does Alex have his pointer from the takedown he could do it right now. Yeah, let's see
[00:38:43.720 --> 00:38:45.640]   I suspect
[00:38:45.640 --> 00:38:47.960]   based on the redness of this thumb
[00:38:47.960 --> 00:38:51.400]   And that he's not pressing it that hard
[00:38:51.400 --> 00:38:54.200]   I don't know could be
[00:38:54.200 --> 00:38:55.560]   Of course I could uh
[00:38:55.560 --> 00:38:58.760]   Again giant sheet of aluminum and glass you could probably fold it if you want it
[00:38:58.760 --> 00:39:01.640]   I could just color it in a little bit
[00:39:02.200 --> 00:39:07.320]   Again in that that kind of a folding gesture if you're literally trying to fold it
[00:39:07.320 --> 00:39:12.680]   I can give the ipad a pass on that what i'm worried about is again unpacking my
[00:39:12.680 --> 00:39:17.960]   unpacking my laptop bag when I get home from a trip and seeing that there's actually a bend in the screen because
[00:39:17.960 --> 00:39:23.880]   Again, there was some pressure. There's there's pressure. Yeah, that's bad. I've seen that work in my backpack. Yeah
[00:39:23.880 --> 00:39:29.160]   Right, you put the ipad down on the table and it rocks slightly. That's not a good feeling
[00:39:29.320 --> 00:39:33.480]   Yeah, that's not a good look at and and I have to say in the past if I have to
[00:39:33.480 --> 00:39:39.320]   It's so funny because I used to always worry about this with my uh macbook air and now that I have an air again
[00:39:39.320 --> 00:39:42.360]   It's so light. I carry it sometimes by the corner
[00:39:42.360 --> 00:39:47.160]   You know down by the next to the track head like i'm carrying it around open and I go whoa
[00:39:47.160 --> 00:39:52.680]   Because I i'm pretty sure I've actually destroyed a logic board by doing that by torquing it a little bit
[00:39:52.680 --> 00:39:57.880]   Right and that's probably not a good idea, but it you just kind of tempted is to carry it around with you
[00:39:58.120 --> 00:40:04.600]   Yeah, it's it's what's what's legal legal legal legally. It's called what's an attractive nuisance. It's an attractive nuisance
[00:40:04.600 --> 00:40:08.200]   It's like it's not it's not that you're supposed to carry it that way
[00:40:08.200 --> 00:40:11.640]   But when you make something that's that light that you you want to carry from room to room
[00:40:11.640 --> 00:40:13.960]   You're not going to get people down first
[00:40:13.960 --> 00:40:19.960]   Park the heart park the hard drive heads put it to sleep once you get the light goes on close it and then put it in a bag
[00:40:19.960 --> 00:40:26.200]   No, you're going to just basically lift it by a corner and do that. So yeah, that's an attractive catch of myself doing that thing. Oh
[00:40:27.640 --> 00:40:30.680]   So far no problem, but but so that's not that much different
[00:40:30.680 --> 00:40:36.200]   Maybe they've put some rigidity bars in there to make it better, but I I'm sure i'm sure they've done tests
[00:40:36.200 --> 00:40:40.600]   I'm sure they've done engineering the problem with this kind of engineering is that you when you do the tear down
[00:40:40.600 --> 00:40:43.560]   You don't see a carbon fiber gusseted frame
[00:40:43.560 --> 00:40:45.960]   Like you do on the other side of a sports car
[00:40:45.960 --> 00:40:52.920]   You just have to see the files that they use when they when they carved out that that aluminum case
[00:40:52.920 --> 00:40:55.240]   like a Alex excuse me
[00:40:55.960 --> 00:41:02.840]   Like uh, like rene said you have to see the alloy that they came up with knowing that they're making their own special kind of metal for this case
[00:41:02.840 --> 00:41:09.960]   Uh, so that's why see even just some sort of a paper on apple site would be great. I I love the
[00:41:09.960 --> 00:41:13.400]   I like the fact that
[00:41:13.400 --> 00:41:16.680]   Google has a lot of blogs where if you don't understand how a certain
[00:41:16.680 --> 00:41:23.480]   Feature that they're they demoed works. There's going to be a paper from the ai team that explains exactly how it works
[00:41:24.040 --> 00:41:28.680]   I would be great if apple had a blog like that where they could simply not not as a promotional thing
[00:41:28.680 --> 00:41:33.640]   But basically let the people who designed their rigidity and the durability of the ipad pro
[00:41:33.640 --> 00:41:40.520]   Talk about how much work they put into it without without having to haul out that white backdrop and tar and talk just past the camera
[00:41:40.520 --> 00:41:46.200]   Toughest time bad we've ever made they've never had to do that. You know you can bend see these are like
[00:41:46.200 --> 00:41:52.440]   I think they showed their they showed their testing equipment. Right. Yeah, we call him leum
[00:41:53.720 --> 00:41:58.120]   Uh, the only they only show their work when people doubt that they do that work
[00:41:58.120 --> 00:42:03.880]   Remember the time the time that the time that uh when antenna gate happened. That's when you find out there
[00:42:03.880 --> 00:42:08.040]   They're antenna testing labs. Uh, it's really it's unfortunate
[00:42:08.040 --> 00:42:13.960]   Uh, but I think that I think apple could avoid a lot of problems if they were if they were more
[00:42:13.960 --> 00:42:20.840]   demonstrably proud of the legitimate pride that they have in a lot of the engineering that goes into these devices
[00:42:20.920 --> 00:42:26.200]   Yeah, it's kind of sad because we just gave in given zak even more hits on youtube and stuff. It just
[00:42:26.200 --> 00:42:29.640]   It's again. It's it's a fun. It's a fun video. I was expecting one of those
[00:42:29.640 --> 00:42:33.480]   I was expecting one of those horror horror or apple tree
[00:42:33.480 --> 00:42:37.240]   It really it really was one of those, you know, it's
[00:42:37.240 --> 00:42:40.280]   It's fun to watch somebody else destroy something again
[00:42:40.280 --> 00:42:46.200]   If you put past the idea that some someone who can't afford one of these things or once I again
[00:42:46.200 --> 00:42:47.560]   I think of that as
[00:42:47.560 --> 00:42:51.560]   $800 at a local food bank like as donating food is great
[00:42:51.560 --> 00:42:55.000]   But they get even better deals on food that they buy themselves
[00:42:55.000 --> 00:42:59.800]   So $800 would have spent what had gotten a lot helped a lot of families in your region
[00:42:59.800 --> 00:43:01.240]   But it's not again
[00:43:01.240 --> 00:43:03.880]   I I'm the person who just spent like $6 on
[00:43:03.880 --> 00:43:09.160]   Diet soda that shouldn't be drinking that probably could have bought a few meals so I shouldn't really complain at all
[00:43:09.160 --> 00:43:12.600]   Renee ritchie. I'm more my bad
[00:43:13.160 --> 00:43:18.760]   I was wrong about the iPad pro you felt obligated to re review it. Why?
[00:43:18.760 --> 00:43:21.080]   so I
[00:43:21.080 --> 00:43:25.160]   Let me give some context here when I reviewed it I reviewed the hardware because to me iOS
[00:43:25.160 --> 00:43:29.000]   12 was a known quantity. I'd already spent 20 minutes reviewing that or
[00:43:29.000 --> 00:43:33.400]   6,000 words reviewing that and I was up to 20 minutes and 6,000 words on this
[00:43:33.400 --> 00:43:37.400]   So I didn't want to recapitulate what I felt was a was a known quantity
[00:43:37.400 --> 00:43:38.680]   And a lot of people said yes
[00:43:38.680 --> 00:43:42.520]   But apple has escalated the hardware so it is fair to revisit the software
[00:43:42.760 --> 00:43:47.160]   And also it seems like everybody decided to review like if you go down the list on youtube names
[00:43:47.160 --> 00:43:50.520]   Literally every review is can iPad pro replace your laptop
[00:43:50.520 --> 00:43:56.360]   Which to me was like I didn't even think about it because apple so specifically from steve jobs that tim clukas said
[00:43:56.360 --> 00:43:58.360]   It's not a laptop replacement
[00:43:58.360 --> 00:44:03.320]   Um, I didn't I didn't consider that and a lot of people said you should have considered that so I decided to re review it
[00:44:03.320 --> 00:44:08.440]   I understand the confusion because like with the what's a computer add?
[00:44:08.440 --> 00:44:12.680]   Apple has kind of a lie that this is the computer of the future
[00:44:13.560 --> 00:44:17.640]   No, totally 100% but it's like an iMac and a macbook air are both computers
[00:44:17.640 --> 00:44:23.480]   But an iMac is not a laptop like there are different tools along the same spectrum that will suit different need paths
[00:44:23.480 --> 00:44:28.600]   But the minute you have what would people replace with an iPad except a laptop you aren't gonna replace an iMac with it
[00:44:28.600 --> 00:44:33.880]   I mean with some people some people are gonna want a very high end like they're gonna like I have a 15 inch man
[00:44:33.880 --> 00:44:36.600]   Pro that I use for final cup pro and I'm not gonna take it with me
[00:44:36.600 --> 00:44:38.920]   Everywhere so I use the iPad
[00:44:38.920 --> 00:44:44.520]   With the screen and the keyboard and the pencil this costs. Oh, this is what a laptop costs
[00:44:44.520 --> 00:44:45.880]   Sure, I think though
[00:44:45.880 --> 00:44:51.160]   I think the view of some people the alternate view is that it's an alternative to a laptop for people who don't need the specific areas in which a
[00:44:51.160 --> 00:44:52.600]   laptop excels
[00:44:52.600 --> 00:44:56.520]   They and they prefer the areas in which an iPad excels it is a legitimate alternative to it
[00:44:56.520 --> 00:45:03.000]   That's kind of what I said everything that a laptop has if you could buy legitimate if there's an app you use maybe it's light room
[00:45:03.000 --> 00:45:05.400]   uh that
[00:45:05.400 --> 00:45:10.120]   Sings and you'd rather use the iPad for it than a laptop than that's a good choice for you
[00:45:10.120 --> 00:45:15.000]   But it isn't I I don't I'm sure you said this it isn't a replacement for a
[00:45:15.000 --> 00:45:20.840]   A full laptop it only if you do one thing or two if the things you do
[00:45:20.840 --> 00:45:24.920]   Makes sense. I think it's more an adjunct. I think apples intent
[00:45:24.920 --> 00:45:27.400]   It's completely normal
[00:45:27.400 --> 00:45:33.000]   Is that you buy the apple watch the iphone the iPad and an an a laptop and maybe an iMac too and that way
[00:45:33.000 --> 00:45:36.280]   Also, you'll have everything people and I use this example way too much
