
[00:00:00.000 --> 00:00:03.620]   It's time for Mac break weekly Rene Richie and Andy and not go over here
[00:23:39.560 --> 00:23:43.960]   But I think fruit trees would might have been a little bit nicer and certainly truer to uh steve jobs
[00:23:44.360 --> 00:23:47.240]   Who was for many years of fruit eterion? Yes
[00:23:47.240 --> 00:23:50.680]   Uh, all right, so let's see
[00:23:50.680 --> 00:23:56.760]   We've already said all the rumors. I've at this point. They've been so repeated that I think they're now truth
[00:23:56.760 --> 00:24:03.720]   Z Z will be very surprised if it isn't for instance an OLED screen that reaches almost to the very edges
[00:24:03.720 --> 00:24:07.160]   Of the front of the phone will be very surprised if
[00:24:07.160 --> 00:24:11.640]   They haven't replaced touch id with face recognition and if that face recognition
[00:24:12.680 --> 00:24:15.640]   If they're gonna do that it has to work so well that it just knows
[00:24:15.640 --> 00:24:18.520]   Practically, it's just your presence
[00:24:18.520 --> 00:24:22.040]   milliseconds. Yeah, well and it should work on a lot flat on the table, right?
[00:24:22.040 --> 00:24:26.280]   So you your phone you the by any point that you want to access your phone
[00:24:26.280 --> 00:24:30.520]   It should be able to see your face and know it's you and not you wouldn't have to do anything if it does that
[00:24:30.520 --> 00:24:35.640]   It's almost like it has like several cameras in it like an infrared camera regular camera 3d sensing camera
[00:24:35.640 --> 00:24:41.160]   It's almost you know, it's gonna happen for ar kit right? That's the other thing. This is going to be the ar phone
[00:24:42.120 --> 00:24:48.360]   Uh, that's slightly so yeah, so I mean there'll be a camera that's also worked really well with ar both front and back
[00:24:48.360 --> 00:24:51.160]   And they're doing some I've seen some awesome developer demos that aren't out yet
[00:24:51.160 --> 00:24:55.880]   But it's like they're the basic ones like ikea that we've all seen or the star wars chest that we've played
[00:24:55.880 --> 00:24:58.360]   But there are other ones I know you've seen similar demos Leo
[00:24:58.360 --> 00:25:03.080]   But these are done with ar kit where you're in the real world and you open a door and you walk into a virtual world
[00:25:03.080 --> 00:25:05.800]   And you walk back out the door you're in the real world you walk into the door again
[00:25:05.800 --> 00:25:08.440]   You're in a virtual world and they're doing something so smart
[00:25:08.440 --> 00:25:12.520]   They're they're doing all the tracking and the basic ar overhead on the cpu
[00:25:12.520 --> 00:25:19.240]   And that leaves the GPU completely open to developers for these huge textures and models and lighting effects
[00:25:19.240 --> 00:25:23.800]   And it doesn't it doesn't look totally real but it doesn't look like uncanny either
[00:25:23.800 --> 00:25:28.840]   It's like a really good a really good like a good enough lighting good enough textures good enough models
[00:25:28.840 --> 00:25:31.800]   That it feels almost like a cartoon movie world
[00:25:31.800 --> 00:25:37.320]   What and you know, we've talked a lot about what kinds of applications here's one from mody face
[00:25:38.920 --> 00:25:40.440]   For a makeup demo
[00:25:40.440 --> 00:25:43.320]   And now this is kind of like a snapchat filter
[00:25:43.320 --> 00:25:49.880]   She's doing a selfie but she could pick her lipstick shade and what's really different is how completely accurate
[00:25:49.880 --> 00:25:56.600]   I mean much more so than a snapchat a demo how completely accurate the lipstick is applied to her face
[00:25:56.600 --> 00:26:01.960]   And and I it look now what's kind of confusing about this is it looks like
[00:26:01.960 --> 00:26:04.680]   You're actually in a store
[00:26:05.160 --> 00:26:09.000]   And you are except that there are displays of you
[00:26:09.000 --> 00:26:13.080]   With with different makeup on right there in the store
[00:26:13.080 --> 00:26:20.840]   Actually when she moves into it, you could see the little error there where she actually kind of confuses the the ar kit
[00:26:20.840 --> 00:26:26.280]   And some of the apps are really honest and they show you all the dots that are continuously measuring to try to detect planes
[00:26:26.280 --> 00:26:29.000]   Yeah
[00:26:29.000 --> 00:26:33.640]   This is different eye shadow different lipstick makeup. Here's a here's another
[00:26:34.360 --> 00:26:36.360]   video. This is
[00:26:36.360 --> 00:26:43.400]   Virtual makeup counter so you've you've all seen department store makeovers. She's walked up to a
[00:26:43.400 --> 00:26:47.880]   Ar counter looks like a real counter in a store
[00:26:47.880 --> 00:26:55.080]   Even the marble on the countertop matches the marble on the floor. It's loaded up with I have to say they look a little 2d
[00:26:55.080 --> 00:26:58.440]   makeup and pictures of her
[00:26:58.440 --> 00:27:03.960]   Um, she could do she can do her own augmented reality makeover
[00:27:04.360 --> 00:27:06.360]   But I those products are very flat
[00:27:06.360 --> 00:27:11.160]   I guess that's weird. Yeah, but they don't need to be I guess I mean
[00:27:11.160 --> 00:27:16.760]   It's an interesting demo. I guess is the point but it what it proves is is
[00:27:16.760 --> 00:27:23.720]   It's the answer to the question I've asked which is what is the useful application of this and that I can
[00:27:23.720 --> 00:27:25.080]   We can think of a few now
[00:27:25.080 --> 00:27:31.160]   I'm I'm looking forward to more of those demos that don't just show you how to how it's going to help people sell things to me
[00:27:31.560 --> 00:27:37.400]   And it's where it's going to help people like when the one the most interesting I didn't see it as a demo
[00:27:37.400 --> 00:27:39.720]   But someone described it to me as uh where
[00:27:39.720 --> 00:27:42.120]   a
[00:27:42.120 --> 00:27:44.920]   You're you're at a concert or you're an event with somebody
[00:27:44.920 --> 00:27:48.440]   Or you're at a concert or you're an event and you want to know hey is
[00:27:48.440 --> 00:27:52.280]   Is this looks like the sort of thing that that Renee would be at?
[00:27:52.280 --> 00:27:55.720]   I said there are like the 10,000 pokemon people here in Boston
[00:27:55.720 --> 00:27:59.000]   I wonder for nays in here and I just simply activate my app hold it up
[00:27:59.240 --> 00:28:02.680]   and I will see like Renee's avatar and a pointer like
[00:28:02.680 --> 00:28:08.040]   Way in the direction that I know the boss in common is an an I could just basically because he has turned on this beacon feature
[00:28:08.040 --> 00:28:12.520]   Find him in a crowd whether it's at a rock concert or whether it's at at the beach or whatever
[00:28:12.520 --> 00:28:19.000]   Just stuff like that is really going to sell this the idea of again placing iKEA furniture in your living room
[00:28:19.000 --> 00:28:20.520]   It's going to be nice
[00:28:20.520 --> 00:28:27.560]   But I think there's going to be one of those apps that a million people downloaded then eight people actually buy things based on it
[00:28:28.120 --> 00:28:31.400]   The other thing that two things that one thing to be kind of glossed over
[00:28:31.400 --> 00:28:37.800]   I'm sure that the new iPhones are going cameras are going to be optimized to make sure they work really really well with ARKit
[00:28:37.800 --> 00:28:44.680]   But apples genius is that they're not doing it like project tango with google where you don't have to have a special phone
[00:28:44.680 --> 00:28:47.720]   You can developers are using whatever hardware they happen to have right now
[00:28:47.720 --> 00:28:49.480]   And that works great
[00:28:49.480 --> 00:28:53.320]   But the other thing is that i'm not i'm seeing a lot of demos like this
[00:28:53.640 --> 00:28:58.920]   Once developers have created something that works great and they're not apt to show
[00:28:58.920 --> 00:29:05.160]   If this is if whatever the current state of this makeup generating app is
[00:29:05.160 --> 00:29:08.040]   They are going to show it off working fine
[00:29:08.040 --> 00:29:13.960]   They're not going to show off. Oh and by the way here the 31 times during the when we're trying to capture video from this demo
[00:29:13.960 --> 00:29:17.960]   That the makeup the the lips were a little bit to the left a little little bit to the right
[00:29:17.960 --> 00:29:23.080]   Or i'm not going to show you the footage we shot when it was someone who has thinner lips or thicker lips
[00:29:23.080 --> 00:29:28.280]   Where was tracking it properly? We're seeing demos of things working. We're not seeing demos of things failing
[00:29:28.280 --> 00:29:33.000]   So it's it's going to be i'm really really excited by everything i've
[00:29:33.000 --> 00:29:37.960]   Everything i've spoken to every person i've spoken to about ARKit right now all the demos i've seen
[00:29:37.960 --> 00:29:44.440]   And used so far about ARKit, but remember it's still an unproven quantity until let's say four months after it's released
[00:29:44.440 --> 00:29:50.360]   When we not we can't we can't even judge it the first week that the new ios is released
[00:29:50.360 --> 00:29:52.520]   We're going to have to judge it after
[00:29:52.520 --> 00:29:59.320]   We after hundreds of thousands of copies of the software are out in public and developers can get feedback on what's working
[00:29:59.320 --> 00:30:04.120]   What's tripping things up give people one a chance to do a rev or two of this app
[00:30:04.120 --> 00:30:07.160]   That they're making with ARKit to find out how well it works
[00:30:07.160 --> 00:30:10.040]   So i'm terribly excited about what i'm going to see in january or february
[00:30:10.040 --> 00:30:15.080]   I'm also excited about just like imagine like you're commuting and you're in you're in one of the apple buses
[00:30:15.080 --> 00:30:18.280]   And you have your air pods on and you have your ipad in front of you
[00:30:18.600 --> 00:30:23.400]   And you're bored because you've done this commute a hundred times and suddenly there's this app jurassic commute or whatever
[00:30:23.400 --> 00:30:25.480]   And you press a button and your earpiece is going
[00:30:25.480 --> 00:30:31.160]   And you're welcome to jurassic commute and suddenly oh look there's a google bus
[00:30:31.160 --> 00:30:32.840]   Trenasol is love the taste of the google
[00:30:32.840 --> 00:30:34.760]   No, it's just like
[00:30:34.760 --> 00:30:38.600]   Everything changes everything changes because you're you're doing this mixed reality thing and suddenly
[00:30:38.600 --> 00:30:42.440]   You're watching an interactive simulation of dinosaurs rushing down the highway with you
[00:30:42.440 --> 00:30:45.080]   And it just it makes your commute just a little bit better. There's all sort
[00:30:45.320 --> 00:30:48.840]   People hate being bored there's all sorts of things that we can apply this technology. Oh, yeah, I mean
[00:30:48.840 --> 00:30:50.920]   Training
[00:30:50.920 --> 00:30:52.920]   a lot of people don't know that
[00:30:52.920 --> 00:30:55.720]   Most of most of the land in boston
[00:30:55.720 --> 00:31:05.640]   Wasn't there until about 1870 something 1880 something when they just because boston was what is now boston was almost entirely marshland
[00:31:05.640 --> 00:31:09.080]   The city of boston is was this tiny that's described as a plum
[00:31:09.320 --> 00:31:15.800]   Just a plum attached to the mainland by one little land bridge that the british quickly took control of and that's how they
[00:31:15.800 --> 00:31:19.480]   Control people going in and at a boston all they to do is pinch off this land bridge
[00:31:19.480 --> 00:31:23.320]   And so after we got the british out we thought why don't we just sort of like
[00:31:23.320 --> 00:31:26.040]   dig
[00:31:26.040 --> 00:31:31.560]   Dirt and rocks from elsewhere and just dump them in the marsh and if we do that for enough decades
[00:31:31.560 --> 00:31:37.640]   We will now have real estate that we can build on and so I sometimes sometimes people ask me about that and i'll
[00:31:38.040 --> 00:31:44.040]   I'll give them links to photos where photos taken from boston common where you see the ocean coming right up to boston
[00:31:44.040 --> 00:31:44.760]   common
[00:31:44.760 --> 00:31:50.200]   And then suddenly you see land and then the next picture you see the public garden that was built on that land
[00:31:50.200 --> 00:31:53.480]   And then you see like one church just beyond the public garden
[00:31:53.480 --> 00:31:58.360]   And then you start to see city blocks far and farther away as the coastline gets pushed farther and farther away
[00:31:58.360 --> 00:32:04.520]   Wouldn't it be wonderful if any time you go into a city like that if you're especially a historic city like philadelphia or boston
[00:32:05.000 --> 00:32:10.600]   Uh, you could just simply hold up your phone and just from any spot and say well here is what this looked like 50 years ago
[00:32:10.600 --> 00:32:13.400]   100 years ago 150 years ago 200 years ago
[00:32:13.400 --> 00:32:19.480]   That's that that's from as as good as these demos are as good as apple's promotion of this is
[00:32:19.480 --> 00:32:22.040]   This is the prime example of
[00:32:22.040 --> 00:32:26.760]   Letting the public find their own version of awesome in this feature
[00:32:26.760 --> 00:32:32.440]   It's not going to be whatever apple cooks into it. It's going to be a potential that developers see and it's going to be
[00:32:33.080 --> 00:32:38.920]   A true testament to here's the crazy ones the ones that just wouldn't apple would never have predicted in a million years
[00:32:38.920 --> 00:32:42.600]   Anybody would use a arkett for this and now they're trying to
[00:32:42.600 --> 00:32:51.880]   They're trying to send this man or woman an offer package desperately because they need to bring this this this warped twisted wonderful beautiful brain inside kupertino
[00:32:51.880 --> 00:32:57.560]   That's the thing i'm most excited about is that if you have someone out who is let's say an expert at historical modeling
[00:32:57.560 --> 00:32:59.880]   They can just use our arkett to make it a reality
[00:32:59.880 --> 00:33:03.560]   They don't also have to go and build this entire ar tracking and rendering engine
[00:33:03.560 --> 00:33:09.720]   They can do what they do well and let apple handle the heavy lifting through the frameworks and that just it opens all these different developers
[00:33:09.720 --> 00:33:11.480]   Up to this opportunity
[00:33:11.480 --> 00:33:15.800]   All right, let's take a break when we come back. I have a bunch of images of iphone eight
[00:33:15.800 --> 00:33:17.720]   Uh-oh
[00:33:17.720 --> 00:33:19.720]   And we're gonna play a game
[00:33:19.720 --> 00:33:23.960]   I want you guys if it sounds if it looks right and you think it's true go ding ding ding
[00:33:23.960 --> 00:33:26.360]   If you think it's bogus you go
[00:33:26.360 --> 00:33:28.680]   Okay, we're gonna play
[00:33:28.680 --> 00:33:31.160]   I don't I don't have a buzzer to give you you just have to do with your voice
[00:33:31.160 --> 00:33:36.680]   Uh, we're gonna play that game when we return in just a second. I show today brought to you by the tracker
[00:33:36.680 --> 00:33:38.440]   a
[00:33:38.440 --> 00:33:41.480]   Lovely little device that helps you find
[00:33:41.480 --> 00:33:46.360]   The your most valued possessions. We all spend a lot of time looking for stuff
[00:33:46.360 --> 00:33:51.960]   We know we have but we have misplaced keys for me is number one. Where are my keys?
[00:33:51.960 --> 00:33:54.200]   It's kind of the refrain every morning. Where are my keys?
[00:33:54.760 --> 00:33:58.680]   Wallet number two. Well, it used to be now that I have the tracker in both
[00:33:58.680 --> 00:34:02.600]   Tracker is a bluetooth device about the size of a quarter actually have the
[00:34:02.600 --> 00:34:08.200]   Tracker bravo looks almost looks like a quarter. It's anodized aluminum a little bit lighter actually a lot lighter
[00:34:08.200 --> 00:34:15.240]   Uh, and then now they have the tracker pixel, which is even smaller and lighter and that has leds or it on it and a ring
[00:34:15.240 --> 00:34:19.800]   And and that's handy because if you leave your key like your keys fella under the couch
[00:34:19.800 --> 00:34:23.800]   The lights really help you find it plus the loud noise that comes out of it
[00:34:24.200 --> 00:34:27.720]   You can trigger that noise from your phone you pair it to your phone via bluetooth
[00:34:27.720 --> 00:34:31.160]   There's a button on the tracker you push if you lose your phone
[00:34:31.160 --> 00:34:37.000]   The tracker goes you press that button and the tracker makes the phone even if it's silenced go. Hey, I'm over here
[00:34:37.000 --> 00:34:39.160]   Well, it plays a song or whatever you choose
[00:34:39.160 --> 00:34:43.640]   It also has the best crowd sourced network in the world
[00:34:43.640 --> 00:34:47.960]   The largest crowd location network in the world with more than four and a half million
[00:34:47.960 --> 00:34:50.200]   Trackers out there
[00:34:50.200 --> 00:34:54.840]   No matter where your device is when somebody running the tracker software walks by it
[00:34:54.840 --> 00:34:57.160]   It'll ping your map
[00:34:57.160 --> 00:35:00.280]   And you'll see where your thing is even if somebody's taken it and moved it
[00:35:00.280 --> 00:35:04.120]   I put trackers on my bicycle. So if somebody steals my bike I can find out where it is
[00:35:04.120 --> 00:35:06.840]   Put it in your luggage. You never lose
[00:35:06.840 --> 00:35:09.640]   Especially hand luggage ever again
[00:35:09.640 --> 00:35:14.440]   And tracker's 30-day money back guarantee means you've got nothing to lose get it
[00:35:14.440 --> 00:35:18.920]   Keys wallets even your car and your pets
[00:35:19.640 --> 00:35:22.360]   It's kind of like find my iPhone for everything you own
[00:35:22.360 --> 00:35:25.720]   The tracker and the all-new tracker pixel
[00:35:25.720 --> 00:35:32.760]   Go there right now check it out t h e t r a c k r dot com the tracker dot com
[00:35:32.760 --> 00:35:36.840]   and load up your cart with all the devices you want and
[00:35:36.840 --> 00:35:39.400]   Take 20 percent off that order
[00:35:39.400 --> 00:35:47.080]   With a promo code mac break tell your friends to 20 percent off any order with the offer code mac break at the tracker
[00:35:47.560 --> 00:35:52.280]   Dot com t h e t r a c k r they're over 5 million devices ship now
[00:35:52.280 --> 00:35:55.160]   So I should update that say 5 million
[00:35:55.160 --> 00:35:58.120]   5 million
[00:35:58.120 --> 00:36:00.360]   5 million
[00:36:00.360 --> 00:36:02.600]   All right, you ready to play our little game
[00:36:02.600 --> 00:36:06.760]   The bunch of leaks on slash leaks from a guy
[00:36:06.760 --> 00:36:08.920]   named
[00:36:08.920 --> 00:36:12.280]   Uh the leaker. No, no, they're different names the leaker
[00:36:12.280 --> 00:36:15.720]   uh, this one has a trust score quite high. This is the
[00:36:16.440 --> 00:36:18.200]   iPhone 8
[00:36:18.200 --> 00:36:23.000]   Display panel before you or ding ding ding i'll show you some other images
[00:36:23.000 --> 00:36:27.720]   I think this looks a little fakey fake would be this would be easy to fake wouldn't it?
[00:36:27.720 --> 00:36:30.120]   What do you think?
[00:36:30.120 --> 00:36:31.160]   Um
[00:36:31.160 --> 00:36:33.160]   Not a many time. You don't know how easy it be
[00:36:33.160 --> 00:36:38.440]   Um also there are a couple of android phones that are using that style believe it or not so
[00:36:38.440 --> 00:36:44.840]   And i'm not i'm not saying i'm saying i'm unwilling to commit at this juncture
[00:36:45.400 --> 00:36:50.040]   It is close to it is close to what iphone it looks like from my understanding this i don't know if those are actual panels
[00:36:50.040 --> 00:36:54.360]   They're not it's it's what i'm expecting this from leek spinner is a camera and
[00:36:54.360 --> 00:36:56.360]   Oh
[00:36:56.360 --> 00:37:01.800]   Some apple watch band sensing module. No, it's not you think everything's an apple watch band
[00:37:01.800 --> 00:37:05.160]   I know i was gonna buy it leo is it the 3d sensing module
[00:37:05.160 --> 00:37:07.720]   Form an iphone 8
[00:37:07.720 --> 00:37:10.600]   Leek spinner is 78 accurate
[00:37:10.600 --> 00:37:13.880]   That's beyond my expertise sadly
[00:37:15.080 --> 00:37:18.040]   I was hoping for a lot of funny sounds on this one all right all right all right
[00:37:18.040 --> 00:37:20.040]   All right
[00:37:20.040 --> 00:37:26.520]   How about the ole display assembly
[00:37:26.520 --> 00:37:31.480]   With some same one same one that just put glue some stuff on it
[00:37:31.480 --> 00:37:36.120]   with the uh light lightning and power flex cables
[00:37:36.120 --> 00:37:38.520]   Well, it's probably compatible with what i was
[00:37:38.520 --> 00:37:41.960]   Somebody's got a bell nice handy
[00:37:42.200 --> 00:37:48.040]   Well, I just i'm just gonna say that that that tabletop that looks like a sort of woodgrain that johnny i would
[00:37:48.040 --> 00:37:51.960]   So definitely on
[00:37:51.960 --> 00:37:57.000]   All right, you see the the futility of all this how about the a 11
[00:37:57.000 --> 00:38:05.880]   I mean it's clearly well that's almost impossible. It's a blurry shot of an a 11. It could be a piece of cardboard
[00:38:05.880 --> 00:38:09.000]   who knows what that is uh, let's see uh the
[00:38:09.000 --> 00:38:11.960]   wireless charging accessory
[00:38:12.840 --> 00:38:15.160]   Well, I mean well
[00:38:15.160 --> 00:38:17.720]   Yeah, uh
[00:38:17.720 --> 00:38:20.680]   Could be a few more won't see that part of it. Yeah, I don't know now
[00:38:20.680 --> 00:38:25.720]   It's not it's not inconceivable that these things are leaking out because we are probably in production right now
[00:38:25.720 --> 00:38:30.360]   Actually, actually what we could what we could do the giveaway would be if we take a look at that surface and see that
[00:38:30.360 --> 00:38:35.560]   Even though the user is never going to see it that it's been painted just as well as the side of the iphone that people will see
[00:38:35.560 --> 00:38:39.080]   All right, this I don't trust at all side by side images
[00:38:39.080 --> 00:38:41.640]   of
[00:38:41.640 --> 00:38:43.640]   Mm-hmm
[00:38:43.640 --> 00:38:51.880]   Dump bump i'm guessing i'm guessing no although the mock up all the mockups i've seen of the next generation iphone have had the vertical
[00:38:51.880 --> 00:38:54.440]   camera slot
[00:38:54.440 --> 00:39:00.280]   As opposed to the horizontal camera slot that seems a fakey fake this one
[00:39:00.280 --> 00:39:03.320]   But who knows who knows
[00:39:03.320 --> 00:39:07.000]   Uh hands on the iphone. Oh, we already saw that one. Let's see
[00:39:07.800 --> 00:39:12.040]   This is all from slash leaks. They have some good stuff. Here's a here's a
[00:39:12.040 --> 00:39:16.280]   Blush gold yeah blush gold copper gold
[00:39:16.280 --> 00:39:22.280]   Now, why are they not willing to say bronze? That's clearly what we would call bronze before
[00:39:22.280 --> 00:39:28.680]   Rose gold was kind of like pink, but they didn't say well rose there was there was such a thing as rose gold
[00:39:28.680 --> 00:39:30.920]   It's has to be sort of a much that wash
[00:39:30.920 --> 00:39:37.240]   Right, it's a gold bronze though is bronze. We know what bronze is we've we've there we named an entire age after bronze
[00:39:37.320 --> 00:39:41.960]   We people have been killed with bronze tools. They are the west they saw with bronze cream
[00:39:41.960 --> 00:39:44.920]   Here the three
[00:39:44.920 --> 00:39:49.240]   The there's this is the copper gold, you know, we're seeing enough of these
[00:39:49.240 --> 00:39:52.600]   Just a bronze gold bronze gold
[00:39:52.600 --> 00:39:56.600]   Um, they tongue jet black and again look at the sensor
[00:39:56.600 --> 00:40:01.400]   But i should point out there is a brisk market for fake iphones in china
[00:40:01.400 --> 00:40:03.560]   I get them every year
[00:40:03.560 --> 00:40:06.920]   And these could easily be not actual iphones
[00:40:06.920 --> 00:40:11.480]   But the mock-ups or the fakes that somebody's making and you know to sell
[00:40:11.480 --> 00:40:16.040]   See these don't match now. They're all vertical, but I guess well, maybe these are all the new iphone
[00:40:16.040 --> 00:40:21.560]   In bronze gold black, but any but this is kind of anybody can make that it's it's it's really hard to go
[00:40:21.560 --> 00:40:25.320]   We're we're we're almost at the last week of august right now
[00:40:25.320 --> 00:40:31.240]   This is this is the time at which if we're if we're ever expecting to see genuine
[00:40:31.960 --> 00:40:37.640]   Unauthorized photos in advance. This is the time we would see it because you just can't too many people are
[00:40:37.640 --> 00:40:39.560]   Are in on at this point now
[00:40:39.560 --> 00:40:42.360]   You can't trust every it's like reading the script of the next star wars movie
[00:40:42.360 --> 00:40:46.680]   If you look at all these and then you go to the event and you say boring is because you looked at all these right?
[00:40:46.680 --> 00:40:52.040]   Yeah, or it's like I consider it like i'm gonna i'm gonna bit torrent an episode of game of thrones
[00:40:52.040 --> 00:40:54.840]   That's going to air in five days. It's like
[00:40:54.840 --> 00:41:01.880]   Okay, I mean if like what's the what's the what's the harm in waiting five days to see?
[00:41:01.880 --> 00:41:05.640]   It easy and with finished effects, right? Yeah, it's
[00:41:05.640 --> 00:41:10.920]   This I it's like this. I'm gonna say ding ding ding ding this is an x-ray
[00:41:10.920 --> 00:41:17.960]   Yeah, thank you, Andy. This is a picture of a windows xp screen. So that I give it some credibility
[00:41:17.960 --> 00:41:23.640]   Just for that right. This is their but also explain how these photos are being leaked out
[00:41:23.640 --> 00:41:27.480]   And by the way, I should point out that there that the
[00:41:28.040 --> 00:41:33.320]   rounded corner blob in the back of this x-ray looks a lot like that wireless charging module we saw
[00:41:33.320 --> 00:41:35.480]   earlier
[00:41:35.480 --> 00:41:38.760]   So I this kind of this I this looks pretty credible. This is a
[00:41:38.760 --> 00:41:41.800]   purportedly an x-ray picture of
[00:41:41.800 --> 00:41:46.600]   The iPhone it's from an iPhone that I suddenly followed a thumbtack and they were worried that it would be
[00:41:46.600 --> 00:41:51.240]   Well, but this is part of the test stage the evt stage right is that they uh
[00:41:51.240 --> 00:41:56.920]   Yeah, there was a video this morning on reddit where someone was testing the apple logo being a fingerprint reader on the back of an
[00:41:56.920 --> 00:42:00.680]   iPhone 8 and people were losing their mind. It's a silly season. Let's yeah
[00:42:00.680 --> 00:42:06.120]   It's this is the that time of year. Let's talk a little bit about that fingerprint reader
[00:42:06.120 --> 00:42:09.160]   um actually before well
[00:42:09.160 --> 00:42:12.600]   Do we have on I see if we have any rumors?
[00:42:12.600 --> 00:42:18.680]   That's that's dopey. I think it's gone. You think you guys agree. It's gonna be gone. I think it's gonna be gone in the next one
[00:42:18.680 --> 00:42:26.040]   I think you can deal with it. I think there's I think there's going to be at least a iphone that doesn't have it. Yeah. Yes
[00:42:26.920 --> 00:42:33.640]   Or it could have under the screen fingerprint technology is just not working consistently enough of them to talk about it and it gets enabled in a future update
[00:42:33.640 --> 00:42:35.720]   Oh, that's interesting
[00:42:35.720 --> 00:42:41.640]   I don't know how far along they got with it. Yeah, I'd be surprised if it were something that
[00:42:41.640 --> 00:42:45.080]   I'd be surprised if the if the
[00:42:45.080 --> 00:42:50.600]   Sensor were there but the firmware or the the software isn't ready yet
[00:42:50.600 --> 00:42:53.240]   And so they leave it disabled until there's a surprise update
[00:42:53.960 --> 00:42:59.320]   I'd be more inclined to think that they've got plan A and plan B and as soon as the
[00:42:59.320 --> 00:43:04.040]   The incredibly difficult and incredibly revolutionary plan A didn't
[00:43:04.040 --> 00:43:10.280]   Prove to be completely reliable. They went immediately to plan B. I don't think I I'm not sure that they would do it that way
[00:43:10.280 --> 00:43:13.480]   It's not as easy as like implementing a new version of bluetooth
[00:43:13.480 --> 00:43:19.480]   It's I have a hard time believing that that would work, but again, we're all just guessing at this point. Yeah
[00:43:20.680 --> 00:43:25.160]   What happens idea all the time you have uh, iOS 11 on your phone yet either of you
[00:43:25.160 --> 00:43:31.640]   Yes, I I put on my uh, I I pad pro and by the way, it works great in the beta six wdc
[00:43:31.640 --> 00:43:36.600]   I'm gonna go to reputation to maintain when you tap your home button five times
[00:43:36.600 --> 00:43:38.440]   Yes
[00:43:38.440 --> 00:43:41.960]   It uh, it says would you like me a call 911 right?
[00:43:41.960 --> 00:43:44.360]   Do it right now. Yeah
[00:43:44.360 --> 00:43:46.520]   That's the emergency and that by the that's a nice feature
[00:43:46.520 --> 00:43:48.200]   Yes
[00:43:48.200 --> 00:43:52.200]   This way. Yeah, and then it disables touch ID
[00:43:52.200 --> 00:43:54.200]   Yeah
[00:43:54.200 --> 00:43:57.720]   That's it's completely intentional. Why is that intentional?
[00:43:57.720 --> 00:44:00.120]   Uh because they wanted them
[00:44:00.120 --> 00:44:04.280]   Previously there there are times now and people were very quick to call it a cop button, but that's not it at all
[00:44:04.280 --> 00:44:10.280]   There are times now when you're going to be in a situation where you want to disable biometrics because let's say you're walking down a dark alley
[00:44:10.280 --> 00:44:13.400]   Or you're crossing a border into a region that you don't think is safe
[00:44:13.400 --> 00:44:16.440]   Uh, or you know, you're you you have an encounter at night
[00:44:16.440 --> 00:44:19.000]   You don't necessarily trust the person you're falling asleep next to
[00:44:19.000 --> 00:44:24.840]   Um, and you just you want to make sure that people can't access your phone biometrically and previously you had to reboot it
[00:44:24.840 --> 00:44:26.440]   Which is a little bit cumbersome?
[00:44:26.440 --> 00:44:31.400]   Uh, this just very quickly very quickly lets you put it into a secure state
[00:44:31.400 --> 00:44:35.640]   And it's really well thought out too like if you actually go through with the with the sos message
[00:44:35.640 --> 00:44:41.000]   It doesn't disable touch IDH. It's just as able as it long enough for that screen to come up and and make sure that
[00:44:41.000 --> 00:44:45.240]   It's the power button not the home button, right? I miss the power, but yeah the power button
[00:44:45.480 --> 00:44:49.080]   So don't be tapping your power your home button five times. Hope and something's going to happen
[00:44:49.080 --> 00:44:51.160]   That actually just launches accessibility
[00:44:51.160 --> 00:44:54.680]   Uh, so five times on the home button which is pretty imperceptible
[00:44:54.680 --> 00:44:59.560]   And then if uh law enforcement says can you unlock your phone you you say?
[00:44:59.560 --> 00:45:00.760]   I
[00:45:00.760 --> 00:45:01.560]   No
[00:45:01.560 --> 00:45:05.400]   You you need you have to get the password out of me and the presumption is
[00:45:05.400 --> 00:45:10.840]   That at least in the us the password is protected in a way that the fingerprint is not
[00:45:11.240 --> 00:45:15.640]   Courts have long held that you can well you get fingerprint when you get arrested
[00:45:15.640 --> 00:45:18.680]   Um that you know that the police can take your fingerprint
[00:45:18.680 --> 00:45:24.360]   But how sad is it that many of us are more concerned about law enforcement privacy invasions and we are about criminal behavior
[00:45:24.360 --> 00:45:27.160]   It's kind of bogus to be honest with you. I don't I don't you know
[00:45:27.160 --> 00:45:29.080]   I don't think it happens very often at all
[00:45:29.080 --> 00:45:33.960]   We were all worried about this that somehow you know this would happen you enter the united states a lot
[00:45:33.960 --> 00:45:35.560]   Do you what what kind of treatment do you get by?
[00:45:35.560 --> 00:45:37.560]   I use nexus so I
[00:45:37.960 --> 00:45:43.640]   Volent in order to have an easier uh transit between the two I voluntarily gave both retina scans and fingerprint scans
[00:45:43.640 --> 00:45:47.320]   So going into the us they want fingerprints and coming back into Canada. They want a retina scan
[00:45:47.320 --> 00:45:50.680]   And but not and you've never been hassled otherwise
[00:45:50.680 --> 00:45:55.800]   I mean it depends there are times when there's heightened security and then they ask you a lot more questions
[00:45:55.800 --> 00:46:01.080]   Or they disable the nexus and they make you go through the the regular way if they ever asked you for your phone
[00:46:01.080 --> 00:46:04.360]   No, I never asked you for social
[00:46:04.360 --> 00:46:07.160]   Network passwords or no
