
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[00:29:18.840 --> 00:29:22.520]   tiniest little I never thought it was a big thing. I just had to be annoying
[00:29:22.520 --> 00:29:25.080]   It was the wrong metaphor for a home screen lock screen
[00:29:25.080 --> 00:29:29.240]   You know, we debated whether to cover it we decided not to cover it and everybody was mad and I saying, wait
[00:29:29.240 --> 00:29:34.040]   Are you again? This is a huge release. This is very very important turned out. It was just a crappy app. Yeah
[00:29:34.040 --> 00:29:37.480]   Brilliant team wrong wrong thing
[00:29:37.480 --> 00:29:39.480]   I think I think it was a lot a lot of great ideas
[00:29:39.480 --> 00:29:43.720]   But I don't think facebook is a service that can actually have the sort of influence on its users anymore
[00:29:43.960 --> 00:29:49.000]   They realize that they are they are the dry cleaner that that is that's doing great great business
[00:29:49.000 --> 00:29:54.520]   But they are tricking themselves into thinking that they are number one because they are great businessmen when in fact
[00:29:54.520 --> 00:30:00.280]   It's because that they are the dry cleaners that's on the way to work and on the way from work for most of the people in their area
[00:30:00.280 --> 00:30:05.400]   And if that if if route one a word we shut down for for for maintenance
[00:30:05.400 --> 00:30:10.520]   And they people went to a different route then people just would not even remember that facebook even existed
[00:30:10.680 --> 00:30:17.560]   They are no there are no fans of facebook they're people who are fans of being connected to the people who use facebook and once those people move to something better
[00:30:17.560 --> 00:30:22.040]   It's migratory all those fake farms are going to go
[00:30:22.040 --> 00:30:28.600]   Oh, I don't know if there's anything I don't know if there's anything that replaces it because it's a very different ecosystem
[00:30:28.600 --> 00:30:33.800]   You know, we we do a lot we do a lot with google plus and and so we're very wedded in that that process and
[00:30:33.800 --> 00:30:35.800]   I don't see but google plus is very different
[00:30:35.800 --> 00:30:40.760]   It's very different because google was really about what you're doing and the things that you're interested in and facebook is about you
[00:30:40.760 --> 00:30:43.720]   You know and and your friends, you know, and and I think that that's
[00:30:43.720 --> 00:30:46.040]   But I know that I
[00:30:46.040 --> 00:30:49.640]   You definitely break things out differently the two social networks
[00:30:49.640 --> 00:30:53.960]   We're gonna take a break when we come back uh mike mansfield
[00:30:53.960 --> 00:30:59.320]   On sunday, we're doing the bob man's field not mike man's mike man's field is the lake great senator from
[00:30:59.320 --> 00:31:03.720]   Bob man's field and the other man's field
[00:31:03.800 --> 00:31:09.160]   Uh, we're doing twitter on sunday and all of a sudden people in the charmer saying mansfield's no longer in the executive team
[00:31:09.160 --> 00:31:13.160]   What he's not on the website. I said well, why don't know he's still on the canadian website
[00:31:13.160 --> 00:31:16.360]   Well, I don't know so we didn't know what was going on. I think we have a better idea now
[00:31:16.360 --> 00:31:18.360]   We'll talk about that and what if the 10s
[00:31:18.360 --> 00:31:22.120]   Uh, but first a word from shelterstock.com
[00:31:22.120 --> 00:31:28.920]   Uh, it is so neat, you know, I have to say I didn't really um, I don't use
[00:31:30.280 --> 00:31:35.320]   Broly free photos that often or I didn't you should I and yeah, suddenly I'm becoming a fan
[00:31:35.320 --> 00:31:40.840]   Uh, I got a shelter stock 25 image a day account for this for all of us
[00:31:40.840 --> 00:31:46.760]   You know for the network because I can't use 25 images, but we're starting to use more and more shelterstock images videos vector
[00:31:46.760 --> 00:31:48.600]   graphics
[00:31:48.600 --> 00:31:54.120]   Illustrations and I'm suddenly realizing it makes everything prettier and better and nicer and one of the interesting more compelling
[00:31:54.120 --> 00:31:58.200]   I use a lot of um stock photography and stock. Do you what do you use it for?
[00:31:59.800 --> 00:32:06.360]   Everything I mean anything is so oh, I need a map of the us or oh, I need a map of the world or roanda or or I need a flag
[00:32:06.360 --> 00:32:11.240]   Or I need a you know like look up like roblundin flag or you know, so I need a map for something for some kind of presentation
[00:32:11.240 --> 00:32:16.120]   See how we just do google image searches steal it right but but the thing is is that when you steal it
[00:32:16.120 --> 00:32:18.520]   It's not just it's not good karma
[00:32:18.520 --> 00:32:23.480]   It's also that it's not going to be the same quality right and it's not going to be completely done and and so
[00:32:23.480 --> 00:32:28.440]   So look at this. This is a one to map the roanda flag and you know, you get all these flags
[00:32:28.440 --> 00:32:33.480]   Like it's smart about it and if you look at these and you'll go in and see that that some of them are a whole bunch of flags together
[00:32:33.480 --> 00:32:36.600]   Right rather than one and you can buy one. Oh, you could buy. Yeah, look at that
[00:32:36.600 --> 00:32:41.080]   You know, so look at that the point is is that and and the math you have to do a lot of times is
[00:32:41.080 --> 00:32:46.040]   Especially when you're building something that you know that you want to be high quality whether it's a presentation whether it's an ad
[00:32:46.040 --> 00:32:50.200]   You want you want to know that you're legally everything sewed up if you're really doing business
[00:32:50.200 --> 00:32:52.600]   but the second thing is is that
[00:32:52.600 --> 00:32:57.800]   You know, it's going to be higher quality and when you think about the time it would take to create it or to really go out there
[00:32:57.800 --> 00:33:00.520]   And find it or whatever and find just the right image
[00:33:00.520 --> 00:33:05.240]   It's just it's just much faster just to buy something, you know, and so I probably spend
[00:33:05.240 --> 00:33:10.680]   We probably spend a couple hundred dollars a month on on on stock. This is so awesome. So here's a deal
[00:33:10.680 --> 00:33:13.320]   You can sign up for free by the way. You don't even need a credit card
[00:33:13.320 --> 00:33:15.880]   You'll get free images every week
[00:33:15.880 --> 00:33:18.760]   A free photo of free vector image
[00:33:18.760 --> 00:33:22.040]   You will also be able to use light boxes, which is really great
[00:33:22.040 --> 00:33:24.440]   And this is not you don't have to buy anything to use light boxes
[00:33:24.600 --> 00:33:27.800]   You don't even have to give them a credit card. The idea is once you've signed up
[00:33:27.800 --> 00:33:32.200]   You can say oh, I like this image add it to a light box and and I'm going to say kitties
[00:33:32.200 --> 00:33:37.160]   This is going to be my kitty cat light box. These can be used for inspiration. Maybe you're working on an article
[00:33:37.160 --> 00:33:40.280]   For me the inspiration is part of the coolness
[00:33:40.280 --> 00:33:43.960]   Right because uh, these light boxes not can be shared with others
[00:33:43.960 --> 00:33:48.440]   Um, you so here's the deal you can buy images individually you can buy packages
[00:33:48.440 --> 00:33:52.200]   You can buy subscriptions no matter what get it get a free account
[00:33:52.200 --> 00:33:55.320]   So you can play with it the amazing search engine, which includes by the way
[00:33:55.320 --> 00:34:02.840]   Uh, something uh, see there's my light box. I'm like kitty cat light box at the bottom there. Um, the uh, the, um, uh, uh,
[00:34:02.840 --> 00:34:05.400]   Uh, includes the color wheel
[00:34:05.400 --> 00:34:09.720]   What do they call it? They have a name for it, which means that you can narrow it down by, uh, color
[00:34:09.720 --> 00:34:13.880]   Um, let's see it said so which is really good for designers
[00:34:13.880 --> 00:34:20.280]   Uh for finding new ideas the ipad app is spectacular highly recommended
[00:34:20.680 --> 00:34:22.680]   Look a pig
[00:34:22.680 --> 00:34:26.760]   Look a bird. I don't know what i'm looking at right now. Here's kissing fishes
[00:34:26.760 --> 00:34:30.360]   I definitely want to put that in my light box. That'll go in the fish light box
[00:34:30.360 --> 00:34:35.640]   So, um, but you can you know, you can do like like the ones that kind of stuff we do is like we're doing a presentation
[00:34:35.640 --> 00:34:38.360]   Do like people icon people icon
[00:34:38.360 --> 00:34:42.040]   So you need an icon to represent people
[00:34:42.040 --> 00:34:47.240]   Let me close my light box here. By the way, everything i'm doing you can do for free. I just want to point out
[00:34:47.960 --> 00:34:52.120]   So you got all these little these are neat, you know that so you could use these, uh,
[00:34:52.120 --> 00:34:53.640]   a presentation
[00:34:53.640 --> 00:34:56.680]   Right, you could use these for a variety of things. Oh, this is amazing
[00:34:56.680 --> 00:35:02.440]   Anyway, it's fun. Just start playing around with it get the ipad app, which is uh, webby award-winning and it's gorgeous
[00:35:02.440 --> 00:35:07.640]   All of this is free, but if you decide you want to buy an image or a package or perhaps you'd like to get the subscription
[00:35:07.640 --> 00:35:10.600]   Which I highly recommend we can take 30 off 30
[00:35:10.600 --> 00:35:14.680]   30% off a new account when you use our offer code macbreak seven
[00:35:15.160 --> 00:35:20.760]   Shutter stock calm video two by the way, let me show you the footage high quality hd video
[00:35:20.760 --> 00:35:25.640]   Here's a video on sun safety. Let's let's watch this together
[00:35:25.640 --> 00:35:32.040]   These poor women have spent too much time in the sun. They've got what is what is
[00:35:32.040 --> 00:35:38.680]   I don't know what that means. They've got happy faces burned into their backs. This is just very strange
[00:35:38.680 --> 00:35:43.400]   Oh, here's a couple in the surf. This would be good for your wedding photography
[00:35:43.400 --> 00:35:45.400]   I don't know who these people are, but we're like that
[00:35:45.400 --> 00:35:52.120]   Shutter stock calm user offer code mac break seven so bob man's field
[00:35:52.120 --> 00:35:59.480]   At first, you know the natural reaction of because apple apples, you know the secrecy can go a little too far
[00:35:59.480 --> 00:36:02.520]   They just pull his picture off the executive page, right?
[00:36:02.520 --> 00:36:05.800]   That's not the way you want to announce something like this. Yes, exactly
[00:36:05.800 --> 00:36:09.640]   So naturally speculation or isn't it man's feels gone. So here's what or is it?
[00:36:10.120 --> 00:36:13.960]   Maybe that's yeah, we were all talking about bob tried to retire a couple of years ago
[00:36:13.960 --> 00:36:17.400]   Um, and it you know, we don't know there's a lot of speculation
[00:36:17.400 --> 00:36:21.720]   There was certainly a lot of evidence that he did not like scott forestall apparently they
[00:36:21.720 --> 00:36:24.440]   You know couldn't be in the same room together
[00:36:24.440 --> 00:36:29.960]   Forestall would come in and present then leave then bob would come in and present bob was in charge of manufacturing
[00:36:29.960 --> 00:36:35.400]   Also weirdly oh because forestall had chips yet a lot of the young out of the hardware for ios under him too
[00:36:35.400 --> 00:36:38.520]   And you know that's more of man's fields purview. So it was kind of an odd
[00:36:39.160 --> 00:36:43.160]   Uh divisional relation you heard those rumors too though, right? Yeah, absolutely
[00:36:43.160 --> 00:36:47.560]   Yeah, and i mean i don't know if it's true again. This is you know, it's hard to know what's going on inside
[00:36:47.560 --> 00:36:49.160]   um
[00:36:49.160 --> 00:36:50.600]   then uh
[00:36:50.600 --> 00:36:53.240]   Weird scott says i'm retiring and bob says i'm retiring
[00:36:53.240 --> 00:36:56.600]   Two months later forestall leaves man's feels back
[00:36:56.600 --> 00:37:02.920]   Right and the speculate in fact back with a very large compensation package 85 and a half million dollars
[00:37:02.920 --> 00:37:05.480]   And then you tie it on to work
[00:37:05.480 --> 00:37:11.720]   Now it's mostly stock, but right hey i'd take 85 and a half million and apple stock who wouldn't yeah, that's in one year
[00:37:11.720 --> 00:37:17.960]   Uh and apple and tim cook announced bob's agreed to stay with us through 2014 next year two years by a lot of tesla's with that
[00:37:17.960 --> 00:37:19.960]   That's all i'm saying
[00:37:19.960 --> 00:37:21.240]   So
[00:37:21.240 --> 00:37:23.560]   The the reasonable conclusion was for
[00:37:23.560 --> 00:37:29.800]   Mansfield says tim here's my resignation. I want to retire enjoy the grandkids. Tim says just can you give me two months
[00:37:29.800 --> 00:37:33.560]   Something's going to happen something wonderful
[00:37:33.960 --> 00:37:35.480]   [Laughter]
[00:37:35.480 --> 00:37:37.320]   Forest all out
[00:37:37.320 --> 00:37:39.640]   They say here's 85 and a half million dollars
[00:37:39.640 --> 00:37:42.280]   Can you stick around for two years?
[00:37:42.280 --> 00:37:46.440]   Right. Hey the grandkids are not going to be you know, right out of the house. Okay, two years
[00:37:46.440 --> 00:37:52.920]   Um, and so what do they put him in charge of they put him in charge? What was his uh new technology senior vice president technologies
[00:37:52.920 --> 00:37:58.520]   What does that mean? I don't even know it was like the antenna as the chip sets all the not not the hardware the actual device level
[00:37:58.520 --> 00:38:02.040]   But everything that goes inside the device that makes it run like the engine instead of the body
[00:38:02.280 --> 00:38:05.160]   Now the the spec. So he's off the executive team
[00:38:05.160 --> 00:38:08.040]   And now working on special projects
[00:38:08.040 --> 00:38:14.280]   Sfer this you're the iWatch guy, uh rene. What do you hear your ears to the ground? What does this mean?
[00:38:14.280 --> 00:38:20.520]   My understanding and it's only partially informed is that Mansfield was going to leave tim cook and him did how well
[00:38:20.520 --> 00:38:23.480]   At some point a decision was made that he was going to stay
[00:38:23.480 --> 00:38:28.760]   The transition to dan richio who was taking over for him in his old position wasn't going as smoothly as they hoped
[00:38:29.240 --> 00:38:33.400]   And tim cook wanted to really remake apple and sort of like the way steve jobs did where he did
[00:38:33.400 --> 00:38:40.600]   You know portable desktop consumer business. He wanted to have that same grid where they had technology design software hardware
[00:38:40.600 --> 00:38:45.080]   And mansfield fit very neatly in that so he agreed to come back and he agreed to have this position
[00:38:45.080 --> 00:38:47.960]   But it wasn't a long-term thing it was a transitional thing
[00:38:47.960 --> 00:38:51.080]   And now he's going back to what he originally came back to apple to do
[00:38:51.080 --> 00:38:56.920]   Which was just to do special projects with no executive overhead doesn't have to worry about any of that he can focus on
[00:38:57.560 --> 00:39:03.080]   Uh, the whatever the next big thing is for apple and most of speculation around that now is the iWatch
[00:39:03.080 --> 00:39:05.080]   And frankly if you have someone of mansfield's talents
[00:39:05.080 --> 00:39:10.280]   You probably want to have him in their engineering yet and not really worrying about a lot of overhead to begin with
[00:39:10.280 --> 00:39:13.560]   john groover says
[00:39:13.560 --> 00:39:15.560]   everybody loves bob
[00:39:15.560 --> 00:39:20.040]   Every he's one of the most if not the most beloved
[00:39:20.040 --> 00:39:25.160]   Employees in kupertino and I think that's reasonable if you know, we know because they're publicly held company
[00:39:25.240 --> 00:39:30.840]   What his compensation was he was one of the highest compensate executives not just not just an apple but in the world, right?
[00:39:30.840 --> 00:39:33.480]   Um, so that's one way of showing love
[00:39:33.480 --> 00:39:35.320]   You know, right?
[00:39:35.320 --> 00:39:40.520]   Uh, so what agreed that everybody at least him cook and the board love no one can blame he got 85 million dollars
[00:39:40.520 --> 00:39:44.360]   And and they they walked to the average employee and he said yeah, that's he's worth it. So
[00:39:44.360 --> 00:39:50.120]   Uh, groover writes after asking around word on the kupertino street
[00:39:50.680 --> 00:39:55.880]   There's nothing punitive with mansfield's role change nor health problems or anything like that just a more focused role
[00:39:55.880 --> 00:39:59.160]   Uncertain new products
[00:39:59.160 --> 00:40:04.280]   He was never intended to be a senior vice president for very long that was transitional not permanent
[00:40:04.280 --> 00:40:06.600]   People were unhappy with as you said reach you
[00:40:06.600 --> 00:40:12.120]   Uh, the the ground troops apparently weren't happy with him. They said he's not quite ready to run hardware. So bob said
[00:40:12.120 --> 00:40:15.480]   All right, i'll be i'll be i'll stick around for do that but
[00:40:16.920 --> 00:40:20.120]   Kind of think bob's got you know, if he can write his own ticket, right?
[00:40:20.120 --> 00:40:23.160]   He's gonna say i want to work on the most important project apple scott
[00:40:23.160 --> 00:40:27.400]   What is what is gonna change the playing field? What is the most important thing now?
[00:40:27.400 --> 00:40:29.640]   We don't know it could be the new apple car
[00:40:29.640 --> 00:40:36.440]   It could be apple tv could be all of those things but i think it's smart the smart people are saying i watch
[00:40:36.440 --> 00:40:39.080]   right?
[00:40:39.080 --> 00:40:44.760]   The impression groover says after talking to a few more people the impression i'm left with is that man's field has been so successful
[00:40:45.640 --> 00:40:49.800]   And remains so popular he can write his own ticket and this is the ticket he's written
[00:40:49.800 --> 00:40:56.200]   But what is it muzzled tough muzzled tough congratulations bob. He's 85 and a half million dollars
[00:40:56.200 --> 00:40:59.000]   Make me a watch make me a watch
[00:40:59.000 --> 00:41:05.480]   This is this is why whenever they're these executive shakeups in this industry and other industries people don't
[00:41:05.480 --> 00:41:12.440]   People always go to the like soap opera answer instead of the it's possible that this person after making a hell
[00:41:12.440 --> 00:41:21.160]   A lot of money is is driven less by his position inside a company and more by what he wants to do with the 10 20 30 or 40 years
[00:41:21.160 --> 00:41:23.240]   Year she has left with the rest of his life
[00:41:23.240 --> 00:41:30.680]   And sometimes sometimes an executive will take an exit simply because they really want to work on nature conservancy instead of creating the
[00:41:30.680 --> 00:41:36.440]   Instead of driving google into the into the whatever whatever's above the super stratosphere
[00:41:36.760 --> 00:41:41.000]   Do i have to say tim cook feels like he's refocused apple a little away from the google lawsuits from the
[00:41:41.000 --> 00:41:44.520]   From the in fighting and said let's focus on what we're what we're good at what we're doing
[00:41:44.520 --> 00:41:51.160]   He's not quite as vindictive his jobs was he's operational he's operational. This is the all this is I mean the problem is
[00:41:51.160 --> 00:41:57.320]   The only thing that apple has said steve dalling who's a spokesperson for apples told all things d
[00:41:57.320 --> 00:42:03.080]   Uh, bob is no longer going to be on apple's executive team, but we'll work at apple working on special products
[00:42:03.800 --> 00:42:07.880]   Reporting to tim which means he he gets to do whatever he wants he doesn't have to go to all those meetings
[00:42:07.880 --> 00:42:11.320]   Oh, I love that he still has no bill. I'll make you a deal
[00:42:11.320 --> 00:42:14.200]   Okay, I got the 85
[00:42:14.200 --> 00:42:19.160]   But i'd like not to go to meetings anymore. It's like well. You can't really be on the executive team if you don't go to the meetings
[00:42:19.160 --> 00:42:21.160]   That's okay
[00:42:21.160 --> 00:42:24.120]   I just don't want to go to meetings. I got universes to dent
[00:42:24.120 --> 00:42:29.160]   I got you. Yeah, and boy if you if you did if you could rate your own ticket, I think the I watch
[00:42:29.160 --> 00:42:31.240]   I'm still not convinced
[00:42:31.240 --> 00:42:35.640]   But I would guess that apple's betting the farm on it. Yeah, maybe not maybe it's a hobby
[00:42:35.640 --> 00:42:38.840]   It's the next I mean like the iPhone was that project everyone at apple
[00:42:38.840 --> 00:42:42.360]   It was that it was super heroes at apple and there hasn't been that for a while
[00:42:42.360 --> 00:42:46.200]   And this is probably like almost everyone's gonna want to work on the next, you know big thing
[00:42:46.200 --> 00:42:49.640]   Uh, they gotta be that's probably not apple tv
[00:42:49.640 --> 00:42:53.960]   I wouldn't it be crazy if if we all we talk about is watches then apple comes out with just a competitor to glass
[00:42:53.960 --> 00:43:00.120]   You know they have the patents I think wearable is very exciting and I don't think it really matters
[00:43:00.760 --> 00:43:07.080]   I don't think the issue so much is where you wear it as as how it integrates with your stuff
[00:43:07.080 --> 00:43:11.000]   How you know how you make a compelling case that consumers need to buy it the same way they did with the iPad
[00:43:11.000 --> 00:43:14.760]   You know how they have to prove that case and make that presentation. I also think
[00:43:14.760 --> 00:43:18.040]   that
[00:43:18.040 --> 00:43:23.640]   The the issue of wearable is going to be right now
[00:43:23.640 --> 00:43:30.040]   It's been handled that the device whatever it is glass or watch is in the satellite to a more powerful processor
[00:43:30.520 --> 00:43:35.560]   And I am a more and more of the opinion that really the transformation that's happening is not that there is a central
[00:43:35.560 --> 00:43:39.640]   Hub and spoke model, but that we have smart things everywhere
[00:43:39.640 --> 00:43:44.680]   Mashed together as roughly equals that it's peer-to-peer not client server
[00:43:44.680 --> 00:43:50.120]   So if apple's gonna make a watch that really is gonna make a difference. It's got to be more than just a pebble
[00:43:50.120 --> 00:43:54.280]   Oh, yeah, look at there and they wouldn't do just a pebble right pebble's been done
[00:43:54.280 --> 00:43:58.120]   If you look at the original iCloud presentation leo and steve jobs came up on stage
[00:43:58.120 --> 00:44:02.040]   It was very careful to say that there's not one single store of truth on you know on top
[00:44:02.040 --> 00:44:08.760]   You have all your devices and they push down and they store up and he even demoted the Mac to be a device right the same as the iPhone
[00:44:08.760 --> 00:44:15.800]   But I mean if you look you look at Mansfield and he's been making working with apple to make the swift
[00:44:15.800 --> 00:44:19.560]   Processors and you know all the different technology that the antennas that go into
[00:44:19.560 --> 00:44:24.280]   iPhones if there's a guy you want on wearables. It's hard to think of a guy you'd rather have on wearables
[00:44:24.840 --> 00:44:28.360]   Yeah, what is what is this skill set Bob skill set? What does he do?
[00:44:28.360 --> 00:44:33.800]   What makes him so lovable is he does he giggling when you poke him?
[00:44:33.800 --> 00:44:36.440]   I bet she tells good good stories
[00:44:36.440 --> 00:44:41.480]   He makes an incredibly successful line of mobile devices work incredibly well
[00:44:41.480 --> 00:44:45.640]   So the you could credit him with a phone in the pad a lot. I mean the internals for sure
[00:44:45.640 --> 00:44:51.960]   He's he was like the internal technology guy for you know several years working on the iPhone and iPad line
[00:44:52.120 --> 00:44:55.080]   Mike and Newark says Bob's getting a gold watch the best kind
[00:44:55.080 --> 00:44:57.560]   not for retirement
[00:44:57.560 --> 00:45:04.040]   Um making his own watch and he but he is an specialist in uh manufacturer
[00:45:04.040 --> 00:45:08.760]   That's what I got the feeling but maybe that's just because he has how he looks
[00:45:08.760 --> 00:45:11.160]   He looks like he's a guy. He's gonna be on the factory floor
[00:45:11.160 --> 00:45:14.040]   Right maybe not. I mean that's just me
[00:45:14.040 --> 00:45:19.480]   I'm guessing that he has enough technical understanding to talk a good game and he has enough people understanding to
[00:45:20.120 --> 00:45:22.760]   Encourage people and that's probably that's usually hard to find
[00:45:22.760 --> 00:45:30.040]   If you look at the videos johnny, I would would explain what it looks like and how it's supposed to be used in mass field explain why why all that works
[00:45:30.040 --> 00:45:33.480]   Right. That's right. That was the the differing roles they took
[00:45:33.480 --> 00:45:36.840]   Those videos are the roadmap of the new apple
[00:45:36.840 --> 00:45:38.840]   Exactly and it's a pretty good roadmap
[00:45:38.840 --> 00:45:43.960]   I mean when you think about the actual you know for the kind of they have a great team there and the question is is what they
[00:45:43.960 --> 00:45:47.080]   You know what comes out the other end, but they have all the right pieces
[00:45:48.360 --> 00:45:50.760]   I'm still skeptical. I want I mean I want the I watch to be
[00:45:50.760 --> 00:45:54.040]   Awesome. I just don't know what it could do that would make it awesome
[00:45:54.040 --> 00:45:56.040]   Just watch that
[00:45:56.040 --> 00:46:01.800]   I do think that interaction with the real world is going to be the the the subtext pretty much everything
[00:46:01.800 --> 00:46:06.440]   One thing that occurred to me about the chrome cast is that it does what it does exceptionally well
[00:46:06.440 --> 00:46:12.680]   But if you think about it at that price point, maybe a lot of people are going to have them in on every tv that they have inside the house
[00:46:12.680 --> 00:46:14.920]   Now
[00:46:14.920 --> 00:46:19.480]   I accidentally bought three because I did not because
[00:46:19.480 --> 00:46:23.560]   It's because so there's
[00:46:23.560 --> 00:46:29.960]   All I'm saying is that it's nice when a company tells you in advance that oh by the way, we will of course be sending you one
[00:46:29.960 --> 00:46:31.960]   You'll have it first thing in the morning
[00:46:31.960 --> 00:46:37.240]   Because because then you I went to google play and I went to amazon and they didn't even have it listed
[00:46:37.240 --> 00:46:41.160]   So then I went to google play and they had them but I could see that oh, it's really gonna sell
[00:46:41.160 --> 00:46:46.520]   Quickly if I really want to have one to review and they will they I can have it friday morning with next to okay final buy it
[00:46:46.520 --> 00:46:50.520]   Then it went back to amazon then amazon finally had it so I bought one there
[00:46:50.520 --> 00:46:55.400]   Hopefully that could cancel the first one and that's when google said oh by the way, you'll get one first thing
[00:46:55.400 --> 00:46:59.720]   You sign for the package. We'll have it 8 a.m. On thursday. Okay. Thank you. No, no good place
[00:46:59.720 --> 00:47:03.320]   I have it up but three TVs in my house. Yeah, it's one but i'm sorry
[00:47:03.320 --> 00:47:08.200]   What i'm getting at is that so it'll do that job really really well, but now you
[00:47:08.680 --> 00:47:11.400]   Given that it's a it's a it's a chrome pc
[00:47:11.400 --> 00:47:14.200]   It's not just a dumb receiver of whatever
[00:47:14.200 --> 00:47:20.920]   It would be not terribly difficult for these devices now to with a companion app running on your phone to be able to tell that
[00:47:20.920 --> 00:47:23.960]   Not only are you home, but you are inside your living room right now
[00:47:23.960 --> 00:47:28.440]   Oh, now you're inside your bedroom right now just by measuring the proximity of a phone to that device
[00:47:28.440 --> 00:47:32.520]   And the things that it that that all of your services can do
[00:47:32.520 --> 00:47:38.040]   If they know what the context of being inside the kitchen is what the context of being inside your home offices
[00:47:38.520 --> 00:47:44.600]   That's when you start to get people more interested in handing over personal information to a company like apple or company like google
[00:47:44.600 --> 00:47:51.320]   If they could actually project exactly the piece of information you want and the exact context you needed in at the exact time or place
[00:47:51.320 --> 00:47:53.800]   What occurs to you that gee would be nice to have this information
[00:47:53.800 --> 00:47:57.880]   That is the next magical thing that that computers can do
[00:47:57.880 --> 00:48:00.520]   You know, it's it's nice to have the tablet that can do whatever
[00:48:00.520 --> 00:48:02.120]   It's nice to have the phone that can do whatever
[00:48:02.120 --> 00:48:07.320]   But the next step is the computer knows that you're going to need this and puts the right to put you know
[00:48:07.800 --> 00:48:11.080]   Puts the tool in your hand as soon as you reach out your hand before you ask for anything
[00:48:11.080 --> 00:48:18.280]   That's the term for that is geofencing, which is not really the best term, but it is it is the term or beacons apples new ibacons
[00:48:18.280 --> 00:48:22.520]   Yeah, but but I have to point out that google did update the geofencing in four three
[00:48:22.520 --> 00:48:24.360]   They're very aware of this idea
[00:48:24.360 --> 00:48:26.840]   Square uses geofencing when you walk into a store
[00:48:26.840 --> 00:48:32.200]   And pay with square pops up says you're taking care of there's a great feeling to that
[00:48:32.200 --> 00:48:36.360]   The watch you never take off you might take the phone out of your pocket you might take the laptop out
[00:48:36.440 --> 00:48:40.360]   But you're always wearing and somebody said in the chairman. I think this is probably good. Let's not call it a watch
[00:48:40.360 --> 00:48:43.320]   That's really not that's a misnomer. Let's call it the eye band
[00:48:43.320 --> 00:48:48.040]   Because really way the iPhone right? Yeah, it's not about the time watch focuses on what time is it?
[00:48:48.040 --> 00:48:50.520]   It's not that it is the thing you always wear
[00:48:50.520 --> 00:48:55.000]   Who knows where you are and when i'm when i'm using a way to let consumers understand what it is though
[00:48:55.000 --> 00:48:57.960]   Like using by calling it an iPhone when the phone is just icon on the screen
[00:48:57.960 --> 00:49:02.440]   But it but it has but it limits our thinking as to what it could be when i'm really curious with also
[00:49:03.080 --> 00:49:07.640]   I don't think I don't think apple would create a product that doesn't do anything in and of itself
[00:49:07.640 --> 00:49:13.080]   So even if they so even if they just had to put like a cheap like two cent lcd on it that gives you the time of day
[00:49:13.080 --> 00:49:16.440]   They would they would definitely have a do something and they do a lot cooler than that
[00:49:16.440 --> 00:49:18.360]   But they would have to they would have to at least study the time
[00:49:18.360 --> 00:49:22.200]   Well, one of the things i'm really curious about is when you think about things like airplay
[00:49:22.200 --> 00:49:27.080]   Being able to have stuff on your watch that you can then you know then all your screens become something that
[00:49:27.080 --> 00:49:31.320]   Um are accessible, you know, so so you're not you're not really, you know, so you have a screen
[00:49:31.320 --> 00:49:36.200]   But you're not you know, you have something that can tie into those, you know, tie into those screens
[00:49:36.200 --> 00:49:41.000]   That's what we were talking about last time at Alex with ios in the car is basically bidirectional airplay
[00:49:41.000 --> 00:49:45.160]   So no longer is just a projection, but it's actually the interface gets put on a different screen
[00:49:45.160 --> 00:49:49.000]   You can start thinking about ios anywhere not just ios in the car right?
[00:49:49.000 --> 00:49:51.480]   Curox says we should call it the iShackle
[00:49:51.480 --> 00:49:58.200]   I cuff that might then from apple's point of view that might really be more of what they're looking for
[00:49:58.760 --> 00:50:03.320]   The interesting thing to me is we spent so many years trying to get just the basic handsets up to a point where they were functional
[00:50:03.320 --> 00:50:07.480]   We spent years investing and making the platform great and building things to make the platform good
[00:50:07.480 --> 00:50:11.960]   And now the platform is finally so good that the platform is being used to lift everything else up
[00:50:11.960 --> 00:50:13.480]   And you know
[00:50:13.480 --> 00:50:18.520]   They took apple a long time to get the ios hardware to the point where they can make ios 7 and now once that's done
[00:50:18.520 --> 00:50:19.800]   They can start
[00:50:19.800 --> 00:50:22.280]   Evolving their software and that will let them do all these different
[00:50:22.280 --> 00:50:27.640]   You know things like ios in the car and things going forward which then increases the entire scope of the mobile devices
[00:50:27.640 --> 00:50:33.480]   We have everywhere it's like an exciting time period willing into and i do think that you get impatient when i guess as soon as you install one
[00:50:33.480 --> 00:50:37.880]   Hue light you immediately or avoid that you can't control every light in your house
[00:50:37.880 --> 00:50:41.400]   You know i'm talking about this before the show you've got how many hues do you have now?
[00:50:41.400 --> 00:50:44.040]   Okay, and i've got nine and
[00:50:44.040 --> 00:50:46.680]   That has eight i thought three on me right now
[00:50:46.680 --> 00:50:52.600]   And uh and so we've all fallen in love with these and just for people who don't know these are led lights created by phillips that you control via
[00:50:52.600 --> 00:50:57.000]   Wi-Fi right on your uh hu app on your iphone just the idea that you can't control them
[00:50:57.000 --> 00:51:01.640]   You know it is just annoying and you want all your lights to be well you want everything there house i agree
[00:51:01.640 --> 00:51:05.240]   i'm like i want to warm up my nespresso so i want to go over and click on my watch and just go
