;FFMETADATA1
title=Treat It Like a Buritto
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=674
genre=Podcast
comment=http://twit.tv/mbw
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.280]   Hi, I'm Renee Ritchie.
[00:24:10.400 --> 00:24:14.480]   Yeah, that's definitely a way that Apple could extend their we're awesome policy
[00:24:14.480 --> 00:24:19.920]   to people who even get their repairs done outside of Apple because it's certainly possible,
[00:24:19.920 --> 00:24:29.520]   it's happening. If you buy an Apple logoed battery from a third-party, like you buy the money,
[00:24:29.520 --> 00:24:35.760]   and it is legitimately, it's not a knockoff, it's legitimately an Apple product, but before
[00:24:35.760 --> 00:24:41.120]   it was sent out, it can be reprogrammed so that it said, "Oh, I've got 5,000 cycles, this is only
[00:24:41.120 --> 00:24:47.920]   had like 80 cycles and the capacity is actually exactly what it was from the factory when it's
[00:24:47.920 --> 00:24:52.720]   actually maybe 80% of what it was from the factory." And so that's the sort of situation where you
[00:24:52.720 --> 00:24:57.920]   kind of want those kind of features for the phone to itself do its own testing of the battery and
[00:24:57.920 --> 00:25:02.480]   after a couple of weeks be able to figure out what the status of this battery is by empirical
[00:25:02.480 --> 00:25:07.680]   evidence and give you an accurate guess as to what the state of charge is at any given moment.
[00:25:07.680 --> 00:25:17.360]   And we can, in the United States, we can be a little bit, we can maybe make the argument that,
[00:25:17.360 --> 00:25:22.560]   well, Apple does make sure that battery replacement is really, really cheap, they don't charge for
[00:25:22.560 --> 00:25:26.160]   labor, they just charge for the battery, and you know you're getting a certified Apple brand new
[00:25:26.160 --> 00:25:31.120]   battery, so what's the difficulty? But you have to remember that not every place in the world,
[00:25:31.120 --> 00:25:35.600]   not even every place in the United States has close access to an Apple store, you can walk in
[00:25:35.600 --> 00:25:41.920]   and then walk out an hour later with a fresh battery. And also, what about the people who are
[00:25:41.920 --> 00:25:47.120]   holding onto like a five or six-year-old phone? I think that Apple builds their phones so nicely,
[00:25:47.120 --> 00:25:52.720]   as long as you can keep it out of toilet water, you might be able to get five, six, seven years
[00:25:52.720 --> 00:25:54.880]   out of time. Sometimes even if it's in a toilet water.
[00:25:56.320 --> 00:26:01.920]   You know, when it falls in the toilet, Neptune can have it. It's a long talk with man at that
[00:26:01.920 --> 00:26:07.920]   point. As far as I'm concerned, I'm not going to shame anybody who has dropped their iPhone
[00:26:07.920 --> 00:26:12.160]   in a toilet because I have been one of those people and still used it afterward. So, you know,
[00:26:12.160 --> 00:26:17.680]   I'm just saying that's my subconscious saying I really, really, really want to upgrade my phone
[00:26:17.680 --> 00:26:24.080]   in a month. But that's what basically, I mean, I think Laurie and I are pretty, are of the same
[00:26:24.080 --> 00:26:28.560]   mind here that I think that it's an important principle that this is your phone. You own this
[00:26:28.560 --> 00:26:34.400]   phone. You can do what you want with this phone. And if Apple is making a choice to make that
[00:26:34.400 --> 00:26:39.520]   difficult and they're just being kind of churlish about it, and I'm saying this is, I'm not saying
[00:26:39.520 --> 00:26:44.480]   that this is one of those times, but if there's a simple thing they can do to support people who
[00:26:44.480 --> 00:26:48.640]   are repairing their own phones or a simple or a simple thing they could do to at least not get in
[00:26:48.640 --> 00:26:55.040]   the way, they should at least not get in the way. So, this is something where I think they could
[00:26:55.040 --> 00:26:59.520]   really help people out. Yeah, I agree with both of you. I think that, you know, because again,
[00:26:59.520 --> 00:27:04.000]   especially because there are people who just don't live near Apple stores or Apple certified
[00:27:04.000 --> 00:27:08.080]   hair people, there's whole countries like that and they need the same level of service.
[00:27:08.080 --> 00:27:13.360]   And to me, the pop up idea so it's disclosed so everybody knows it's not an official. And I
[00:27:13.360 --> 00:27:16.960]   think the reason the official Apple batteries don't work is because they're not paired either.
[00:27:16.960 --> 00:27:20.800]   And that leads into a larger conversation about whether Apple should be making the software
[00:27:20.800 --> 00:27:25.440]   that does this, that does all the pairings more widely available. And I think for something like
[00:27:25.440 --> 00:27:30.160]   Touch ID and Face ID, you could make, you could say that maybe it's bad because people with
[00:27:30.160 --> 00:27:33.680]   who steal iPhones would be able to use it then to get around or government agencies would be able
[00:27:33.680 --> 00:27:38.640]   to use it then to get around security measures. But for things like a battery, just a stripped down
[00:27:38.640 --> 00:27:44.480]   version that let people run a set of tests and if it passes those tests, pairs up that battery,
[00:27:44.480 --> 00:27:48.240]   I think that would be phenomenal and that doesn't, I don't think that would in truth.
[00:27:48.240 --> 00:27:52.000]   There should be safety, I always worry about lithium ion because you do see headlines like
[00:27:52.000 --> 00:27:56.800]   there was a young lady a week ago and there was a guy on the fire on his desk and I think they
[00:27:56.800 --> 00:28:00.240]   were iPhones. It's hard to tell sometimes based on the reporting. So I don't think there should
[00:28:00.240 --> 00:28:04.560]   be safety and quality standards for these batteries, especially if you are getting them from sources
[00:28:04.560 --> 00:28:08.880]   you don't know about. But otherwise, let people have the best possible service they can have.
[00:28:08.880 --> 00:28:13.680]   It seems like that's keeping with Apple's philosophy with what Lisa Jackson talks about when she says
[00:28:13.680 --> 00:28:16.160]   making those iPhones last as long as possible.
[00:28:16.160 --> 00:28:22.880]   All right, so with that, I think we should check in with Leo and see how his search for
[00:28:22.880 --> 00:28:25.840]   the elusive elusive 5G is going.
[00:28:25.840 --> 00:28:32.320]   Hey, if I might, I'd just like to jump in here and tell you about our sponsor of this
[00:28:32.320 --> 00:28:37.520]   week's episode of Mac Break Weekly. Last pass, they like me to talk about it because I use it,
[00:28:37.520 --> 00:28:41.840]   I use it, I've been using it since they came out with it. Steve Gibson reviewed the creator of
[00:28:41.840 --> 00:28:45.600]   Last Pass, Joe Seagrest, got all the code. He gives it his thumbs up.
[00:28:45.600 --> 00:28:50.720]   In fact, Steve Gibson, our security guy uses it. We even use it here at work, Last Pass Enterprise.
[00:28:50.720 --> 00:28:56.000]   Last Pass is the number one most preferred password management and an award-winning security solution
[00:28:56.000 --> 00:29:01.680]   that helps millions of individuals, thousands of businesses navigate their online lives easily
[00:29:01.680 --> 00:29:06.720]   and securely. Passwords are a nightmare. Everybody admits it. But you got to have them and you got
[00:29:06.720 --> 00:29:11.840]   to remember them. And you may be tempted because there's such a pain in the butt to use the same
[00:29:11.840 --> 00:29:18.080]   password over and over. Bad idea. You might also be tempted to use something easy to remember.
[00:29:18.080 --> 00:29:23.920]   Another bad idea, your birth date, your children's middle names, that kind of thing,
[00:29:23.920 --> 00:29:31.840]   that's easy to remember. It's also easy to guess for bad guys. You need Last Pass. Last Pass generates
[00:29:31.840 --> 00:29:35.840]   strong passwords and remembers them. So you don't have to. You just remember your master password,
[00:29:35.840 --> 00:29:40.240]   let Last Pass do the rest. No wonder it's the number one most preferred password manager,
[00:29:40.240 --> 00:29:45.600]   both at home and at work. In fact, we're really excited because Last Pass Enterprise is expanding.
[00:29:45.600 --> 00:29:50.960]   They've got a brand new business lineup. That's what we use here at Twit with fantastic new features
[00:29:50.960 --> 00:29:55.200]   that will improve security across your company while making it easy for users to get their work done.
[00:29:55.200 --> 00:30:00.000]   I'll start with Last Pass Enterprise. That's the business password manager we use. They now
[00:30:00.000 --> 00:30:06.480]   include single sign-on for 1,200 plus SAML integrated apps. That means you don't have to
[00:30:06.480 --> 00:30:13.200]   use a password manager. You just approve it on your phone and you're in. And that is great for
[00:30:13.200 --> 00:30:20.320]   convenience, but it's also more secure. It's kind of a win-win. Each app comes with its own
[00:30:20.320 --> 00:30:24.720]   getting started guys. It's very easy to set up and get running. You're going to love SSO in the
[00:30:24.720 --> 00:30:30.480]   Enterprise. There's also Last Pass MFA. It's an extension to two-factor authentication. It's
[00:30:30.480 --> 00:30:36.000]   multi-factor. It leverages things like biometrics, your face, your fingerprint, and contextual
[00:30:36.000 --> 00:30:42.800]   factors, your location, your IP address, to verify you are who you say you are. And it does this all
[00:30:42.800 --> 00:30:48.960]   in an easy to manage dashboard for admins so you get oversight and control. We love it. I am very
[00:30:48.960 --> 00:30:53.680]   excited about these two new features. They call it all Last Pass Identity. It's a combination
[00:30:53.680 --> 00:30:59.120]   of Last Pass Enterprise, Last Pass multi-factor from single sign-on and password management
[00:30:59.120 --> 00:31:06.880]   to adaptive authentication. Last Pass still is the number one solution, giving you granular control
[00:31:06.880 --> 00:31:13.440]   and frictionless access to users in one simple secure solution. We use it a twit. We're proud to
[00:31:13.440 --> 00:31:18.160]   be using it. We will always use it. We're really excited as Last Pass gets better and better and
[00:31:18.160 --> 00:31:23.280]   better. Last Pass bridging the gap between passwords and identity by making access and
[00:31:23.280 --> 00:31:30.160]   authentication simple and secure for both IT and end users. Join the thousands of businesses like ours
[00:31:30.160 --> 00:31:36.640]   that have signed up for Last Pass and are loving it and trusting it. Visit lasspass.com/twit to find
[00:31:36.640 --> 00:31:43.360]   out how they can help you. lasspass.com/twit. Thank you, Last Pass, for supporting Mac Break Weekly.
[00:31:43.360 --> 00:31:49.680]   Now back to the show. >> And we are back with Andy Anaco and Lori Gill.
[00:31:49.680 --> 00:31:54.080]   And Lori Gill, I want to ask you something because you've now had your apple card for a
[00:31:54.080 --> 00:31:58.400]   little while. And we're starting to see reviews, we're starting to see pros, we're starting to see
[00:31:58.400 --> 00:32:02.160]   some cons, we're starting to see people getting approved who didn't think they would and maybe
[00:32:02.160 --> 00:32:06.560]   people who thought they would not maybe. So now that you've been using it for a while, what do you
[00:32:06.560 --> 00:32:13.200]   think? >> So for a while means yesterday. >> Yes.
[00:32:13.200 --> 00:32:17.920]   >> Let me just say it hasn't been long enough for me to even go out of the house and use it.
[00:32:17.920 --> 00:32:22.560]   I've actually just been using it to buy things through the app store just so I can sample it out.
[00:32:22.560 --> 00:32:30.320]   But right out of the gate, it was obviously the easiest application experience I've ever had.
[00:32:30.320 --> 00:32:37.520]   Almost to, that's almost a negative because it's going to be very easy for everyone to apply for
[00:32:37.520 --> 00:32:40.720]   this card. >> Sauspiciously easy to apply for this card.
[00:32:40.720 --> 00:32:44.960]   >> Yeah, I mean, I immediately applied. >> I'm 12 years old and I just got no, I didn't have.
[00:32:44.960 --> 00:32:52.640]   >> I was starting to have application remorse just a little bit today. I haven't gotten a new credit
[00:32:52.640 --> 00:32:59.600]   card, I haven't added credit to my life in probably 15 years. So it was so easy to do yesterday that I
[00:32:59.600 --> 00:33:04.480]   didn't think about it. And then this morning, I was like, man, I just added a bunch of credit to
[00:33:04.480 --> 00:33:11.040]   my life. What was I thinking? Why did I do that? So let me just tell everybody, before you hit that
[00:33:11.040 --> 00:33:18.320]   accept Apple terms button, think about the fact that you're adding credit to your life. That's a
[00:33:18.320 --> 00:33:24.320]   big deal. So I don't regret it, but I was feeling a little bit funny about it this morning. So the
[00:33:24.320 --> 00:33:30.080]   application process is incredibly easy. And it seems silly, but one of my favorite things is the
[00:33:30.080 --> 00:33:37.200]   terms and conditions are so clear and written, so simply that I don't think I've ever written,
[00:33:37.200 --> 00:33:42.800]   read a terms of condition for anything that made as much sense to me. And I actually read
[00:33:42.800 --> 00:33:46.800]   almost all of it. >> There wasn't the iTunes people who wrote it, it's what you're saying.
[00:33:46.800 --> 00:33:52.480]   >> Yeah, yeah. They're always kind of long, but this one was actually not as long as I've seen,
[00:33:52.480 --> 00:33:57.840]   and it was clear and easy to understand. So that was, to me, actually surprisingly impressive.
[00:33:57.840 --> 00:34:06.080]   I'll go ahead and say my credits score with TransUnion, which is who they run the credit through.
[00:34:06.080 --> 00:34:15.040]   It was 793. So that's within the excellent credit score rating that most people have.
[00:34:15.040 --> 00:34:24.160]   My interest rate was 17.99, which because I'm in the excellent section, I actually was hoping for
[00:34:24.160 --> 00:34:29.440]   it to be lower, but I have two other credit cards that are almost the exact same percentage rate.
[00:34:29.440 --> 00:34:35.440]   So it's about average. It's about normal for my credit rating versus my interest rate. So
[00:34:35.440 --> 00:34:42.960]   I think because Apple came out of the gate announcing that they were going to have really
[00:34:42.960 --> 00:34:48.960]   low interest rates, I think they said something like one of the industry's lowest.
[00:34:48.960 --> 00:34:56.080]   And that's true at the lowest end at the 13.99. That's very low. But I think we all kind of
[00:34:56.080 --> 00:35:02.640]   jumped on that fact and thought, "Oh, well, I've got great credit score, so therefore,
[00:35:02.640 --> 00:35:08.400]   I'm going to get that super low interest rate." But that's not necessarily true. Now,
[00:35:08.400 --> 00:35:14.000]   I have talked to a few people in Twitter who did get the 12.99. So it's not impossible. It's just
[00:35:14.000 --> 00:35:21.760]   that it's not as easy to get to 12.99 as we all wanted it to be. So at 1799, that's not unreasonable.
[00:35:21.760 --> 00:35:27.040]   That's about average. So going into that when you're thinking about applying,
[00:35:27.040 --> 00:35:33.760]   obviously, whether or not you're concerned with that credit, that interest rate,
[00:35:34.800 --> 00:35:42.320]   you can apply without affecting your credit score as long as you don't accept the terms and conditions.
[00:35:42.320 --> 00:35:47.680]   So you can go into the app once you receive your invitation for now. It's not available to
[00:35:47.680 --> 00:35:51.520]   everyone yet. You still have to be invited at the moment when you tap.
[00:35:51.520 --> 00:35:54.400]   Some people said that they got approved when they didn't think they would. They thought their
[00:35:54.400 --> 00:35:58.800]   score was so low, they wouldn't even get in. And it looked like Apple is kind of going broad with it.
[00:35:58.800 --> 00:36:04.720]   Exactly. So on the one hand, those of us who think that we think we're better than
[00:36:04.720 --> 00:36:10.320]   1799 and we want it to be lower, we're complaining about wanting it to be lower.
[00:36:10.320 --> 00:36:15.760]   But there's hundreds of people who are being approved that didn't think that their credit score
[00:36:15.760 --> 00:36:21.680]   was good enough. And Andy, I think you joke about whether if you were approved, then the world isn't
[00:36:21.680 --> 00:36:30.160]   troubled. You might be approved. I think I've talked about this. I think in the way Apple is
[00:36:30.160 --> 00:36:38.400]   positioning this, they are showing their software as being a way for you to get control over your
[00:36:38.400 --> 00:36:45.360]   credit and to have a better financial future and understanding what owning a credit card is.
[00:36:45.360 --> 00:36:51.120]   Andy, for somebody like you, I think this is great because this gives you the opportunity to reset
[00:36:51.120 --> 00:36:56.320]   or to start over or to start from scratch. I don't know what it's like for people who have
[00:36:56.320 --> 00:37:00.880]   zero credit history. But I do know that people who thought that they had a poor credit score
[00:37:00.880 --> 00:37:05.360]   are getting approved. And this could be a real good thing for them because there's this tool
[00:37:05.360 --> 00:37:11.280]   right inside the app that lets you make your payment. I just bought, I don't know, maybe $7
[00:37:11.280 --> 00:37:16.080]   worth of apps just since yesterday. I could go pay it off right now if I want to. I don't even have
[00:37:16.080 --> 00:37:20.800]   to wait for the ballots. You can pay one time, you can make one time payments where you pay off
[00:37:20.800 --> 00:37:25.600]   or pay a certain amount or you can schedule them out so that you never even have to remember them.
[00:37:25.600 --> 00:37:29.920]   It'll just automatically pay a certain amount every month where you can wait until the bill
[00:37:29.920 --> 00:37:34.960]   comes in and then pay it. It's all done right on your iPhone, which a lot of people, that's how
[00:37:34.960 --> 00:37:38.480]   they do a lot of things is right from their phone. Now they don't go to their computer, they don't
[00:37:38.480 --> 00:37:42.640]   read a check, they don't do all these other things. It's so convenient. It's right in front of them.
[00:37:42.640 --> 00:37:48.080]   So to have that sort of quick, easy to access payment plan on top of the fact that there's all
[00:37:48.080 --> 00:37:53.920]   these tools that help you understand what you're doing and how much you're spending. It shows you
[00:37:53.920 --> 00:37:58.800]   kind of gives you a very easy to understand layout of where your spending is happening. So
[00:37:58.800 --> 00:38:05.200]   as you're either starting over and trying to do better with your credit or if you're a first-time
[00:38:05.200 --> 00:38:12.160]   credit card owner, these are all excellent tools to help you get better at having credit. So I
[00:38:12.160 --> 00:38:18.800]   think it's great that Apple and that Goldman Sachs are, I think it's called subprime if I'm not
[00:38:18.800 --> 00:38:23.760]   mistaken that that's allowing people with lower credit scores to access this, yeah,
[00:38:23.760 --> 00:38:30.160]   subprime lending, which is allowing them to access this. Now the negative of that is subprime
[00:38:30.160 --> 00:38:36.560]   lending also means the slightly higher credit score. So when Apple said that they have the lowest
[00:38:36.560 --> 00:38:42.080]   in the industry, that was probably under this sort of example or understanding of the subprime
[00:38:42.080 --> 00:38:48.240]   loan. And if I'm not mistaken, my first credit card, which was, it was part of that sort of
[00:38:48.240 --> 00:38:56.560]   subprime thing, it was 23%. So that's all within the standard that Apple is going with, that Goldman
[00:38:56.560 --> 00:39:03.120]   Sachs is going with, which is if we're going to be giving out loans or credit to people who have
[00:39:03.120 --> 00:39:08.640]   low credit scores or no credit history, we're going to have to compensate a little bit by having
[00:39:08.640 --> 00:39:13.440]   a slightly higher interest rate for the people who think that they deserve the lower interest rate.
[00:39:13.440 --> 00:39:21.040]   So I think it's all balancing out in the end. And if I have 1799 in order for somebody to get a better
[00:39:21.040 --> 00:39:26.320]   credit history to learn how to use credit cards, then I'm on board for that. It's all about being
[00:39:26.320 --> 00:39:29.040]   being there together with each other, helping each other out, right?
[00:39:29.040 --> 00:39:39.440]   Yeah, I don't know if it's a, if Apple is in this to benefit people with poor or no credit
[00:39:39.440 --> 00:39:43.680]   history. It'd be nice if that was said. I think that part of it is that they really,
[00:39:43.680 --> 00:39:51.280]   there's a reason why this card has, it has no annual fees, but it also has some of the
[00:39:51.280 --> 00:39:56.320]   skimpiest benefits of any card that's offered anywhere. You don't get, you don't get air
[00:39:56.320 --> 00:40:02.000]   mile points, you don't get credit points, there aren't, I don't have the tab in front of me, but
[00:40:02.000 --> 00:40:08.560]   you can get a mastercard.com has a page for, here's the, here are the special programs that
[00:40:08.560 --> 00:40:12.400]   you're available, that's available to you get basic buyer protection, a couple other simple
[00:40:12.400 --> 00:40:16.720]   things, but a lot of the stuff that you would get with the standard mastercard, anyplace else,
[00:40:16.720 --> 00:40:21.680]   you're not going to get there. So I think that Apple and Goldman Sachs are expecting that a lot
[00:40:21.680 --> 00:40:29.520]   of the most people signing up for this are going to be people who will buy it, will get this card
[00:40:29.520 --> 00:40:33.600]   because A, it works so well within the Apple ecosystem of having the Apple watch and the Apple
[00:40:33.600 --> 00:40:40.800]   phone, but not because it's competitive as a regular credit card. So the only thing that worries me,
[00:40:40.800 --> 00:40:45.520]   and I think I expressed this when we first started discussing this several months ago,
[00:40:45.520 --> 00:40:51.920]   is that when you're offering credit to people with no credit history or actively bad credit
[00:40:51.920 --> 00:40:57.840]   history, you run the risk that you are allowing somebody who doesn't understand credit or is
[00:40:57.840 --> 00:41:04.160]   impulsive or doesn't purchase or manage credit responsibly to take out loans at 24 and a half
[00:41:04.160 --> 00:41:08.800]   percent interest that they, if they can't pay the balance every month, how are they going to be
[00:41:08.800 --> 00:41:14.480]   able to pay the balance plus 25% every month, every month, every month. And that's certainly,
[00:41:14.480 --> 00:41:19.760]   that's just the way things work with credit cards, but that's a really, really bad looking
[00:41:19.760 --> 00:41:26.160]   color on Apple. If they, if a year from hour, two years from now, they're a Newsweek or someone
[00:41:26.160 --> 00:41:33.680]   Newsweek, if the verge or anybody else is saying has all these car stories about people who
[00:41:33.680 --> 00:41:40.240]   not on top of my student loans, I also can't quit the kit. I have to live till 73 because I
[00:41:40.240 --> 00:41:47.600]   got to pay Apple back for the for the for the $1 million. So it's it's it's I'm still navigating
[00:41:47.600 --> 00:41:53.200]   Apple's reasons for doing this. And I'm sure that this is I feel as though this is going to be
[00:41:53.200 --> 00:41:59.360]   something that will be crystal clear in retrospect three years from now. For now, I still don't really
[00:41:59.360 --> 00:42:02.960]   know why they're getting into this. Did you remember the rainbow card? Because everyone was
[00:42:02.960 --> 00:42:06.880]   tweeting pictures of the rainbow card from Steve Jobs here, like, get this card and buy you. I
[00:42:06.880 --> 00:42:11.280]   did not remember that at all. And I didn't know that it exists. I forgot that it existed and I
[00:42:11.280 --> 00:42:15.760]   forgot that it went away. You could buy a wind surfer with the Apple logo on it from the Apple
[00:42:15.760 --> 00:42:21.520]   card. Like at some point, there was it was a different time, wasn't it? Yeah, it was heady.
[00:42:21.520 --> 00:42:24.960]   Laurie, there was also a story about how you should be careful because if you lose your
[00:42:24.960 --> 00:42:29.200]   iPhone, you may not be able to pay for your Apple card because it's not web friendly yet.
[00:42:29.200 --> 00:42:37.760]   >> Yeah, so that's a big deal. I think on the one hand you think, well, obviously they didn't
[00:42:37.760 --> 00:42:42.080]   build it that way. It's all on the iPhone. And then as soon as somebody goes, well, wait,
[00:42:42.080 --> 00:42:49.200]   what if I lose my iPhone? Then all of us go, yeah, I didn't think about that. And it's so true.
[00:42:49.200 --> 00:42:52.960]   There's no dedicated website yet. There's no portal on the internet. So
[00:42:52.960 --> 00:43:00.320]   right now, I believe the article that popped up about the fact that Apple doesn't have
[00:43:00.320 --> 00:43:06.320]   an online web portal for you to access is that you have to contact Apple
[00:43:06.320 --> 00:43:14.560]   or Goldman Sachs to pay your bill, to freeze your card, to do any of the things that you would do.
[00:43:14.560 --> 00:43:15.040]   >> Call them like an animal.
[00:43:15.040 --> 00:43:22.560]   >> Yeah, and well, the thing is, if you've lost your iPhone, you've also lost your phone.
[00:43:22.560 --> 00:43:25.200]   >> Better have an LTE Apple watch. Come on.
[00:43:25.200 --> 00:43:31.040]   >> And it's not such a big deal. It's not anything that everybody should, oh my God,
[00:43:31.040 --> 00:43:35.360]   I can't believe they didn't think of that. But the truth is that there probably should be a
[00:43:35.360 --> 00:43:42.000]   web portal so that we can go online if we don't have an easy access to a phone. And we can put a
[00:43:42.000 --> 00:43:48.160]   hold on our card. We can put a hold on the payments or we can make the payment before we get our
[00:43:48.160 --> 00:43:52.160]   next phone or something like that. Because I think the other suggestion was use a different
[00:43:52.160 --> 00:43:56.880]   device connected with your Apple ID, like your iPad. Well, not everybody has all that stuff.
[00:43:56.880 --> 00:43:57.040]   >> Yeah.
[00:43:57.040 --> 00:44:02.240]   >> So for now, I think it's good that we're still in the preview phase because I think
[00:44:02.240 --> 00:44:08.560]   that it's a very good idea for Apple and Goldman Sachs to have a way for you to go online and
[00:44:09.280 --> 00:44:14.720]   manage your account like that. I just think that it makes sense for them to have that.
[00:44:14.720 --> 00:44:18.240]   And hopefully that's something they've got planned in the near future so that when it rolls out to
[00:44:18.240 --> 00:44:23.600]   everybody that this does exist. Because though it's not that big of a deal, you can always call
[00:44:23.600 --> 00:44:27.760]   Goldman Sachs, you can always call Apple and get transferred to a Goldman Sachs representative.
[00:44:27.760 --> 00:44:31.200]   You can't go online to do it. And I think we should have that.
[00:44:31.200 --> 00:44:36.000]   >> I think that's indicative of a really weird thing that Apple keeps doing.
[00:44:37.040 --> 00:44:42.480]   I of course, I sign up for two-factor authentication on my Apple account because of course, of course,
[00:44:42.480 --> 00:44:50.160]   I want to do that. But their idea of two-factor authentication is that you can sign into your
[00:44:50.160 --> 00:44:56.800]   Apple service or hardware using any other Apple piece of hardware. And so what happens when I've
[00:44:56.800 --> 00:45:03.760]   just installed, I've just installed Apple Music on my new Android phone. And I'm in a coffee shop
[00:45:03.760 --> 00:45:08.880]   with my Android phone and my Chromebook. And it says, "Oh great, no, we've sent a code
[00:45:08.880 --> 00:45:16.560]   to either your iPad or your MacBook back in the office." And I'm like, "This is not really hard,
[00:45:16.560 --> 00:45:23.680]   guys. I have a phone. You could text to that phone and that's usually how it's done." Or I could
[00:45:23.680 --> 00:45:30.480]   just use a third party authentication service. But no, I've got to own another Apple device in
[00:45:30.480 --> 00:45:35.360]   order to authenticate. That doesn't seem to make sense. Again, that's you creating problems for me.
[00:45:35.360 --> 00:45:41.760]   It feels like Apple's punishing me for marrying outside my faith, so to speak.
[00:45:41.760 --> 00:45:47.920]   >> And by no means to excuse Apple in any of this. But the digital thing is great as long as it
[00:45:47.920 --> 00:45:51.920]   works. But I've also been that person who's tried to sign into WhatsApp when the SIM card
[00:45:51.920 --> 00:45:56.960]   I originally used for it was probably sitting in a desk drawer in another country at the time.
[00:45:56.960 --> 00:46:01.520]   And I've also just tried to do basic things when you can't get an internet connection,
[00:46:01.520 --> 00:46:06.000]   or you can't, for some reason, your mail's not loading. You can't get the thing off the email
[00:46:06.000 --> 00:46:10.720]   that has your reservation number for the hotel room. And all of a sudden, this super convenient,
[00:46:10.720 --> 00:46:17.760]   no problem. Super easy stuff just breaks down and you're left wishing that you'd written it down in
[00:46:17.760 --> 00:46:22.800]   a scrap of paper like it was in 1970. >> Yeah. >> Yeah, it's so true.
[00:46:24.640 --> 00:46:28.400]   All right, so in future looking Apple news, we got a rumor from
[00:46:28.400 --> 00:46:34.000]   Coin X, Coin 10. Apple has confused me so much. I don't longer know what that character means
[00:46:34.000 --> 00:46:42.240]   anymore. Coin on Twitter, that iPhone Pro, wow, Apple's getting really crazy with the names
[00:46:42.240 --> 00:46:47.280]   this year. And this source, I'll call it a source, it's a Nameless Twitter account. But
[00:46:47.280 --> 00:46:51.600]   last year, right before the iPhone event, I actually predicted iPhone XS, XS Max,
[00:46:51.600 --> 00:46:57.600]   and 10R has predicted stuff about the iPad losing the headphone jack, about the iPad Mini refresh.
[00:46:57.600 --> 00:47:03.120]   Some of the stuff hasn't come to pass yet, so we can't accurately grade all of it. But so far,
[00:47:03.120 --> 00:47:08.560]   pretty much everything has been accurate. And so I started scratching my head. I know we've devalued
[00:47:08.560 --> 00:47:12.880]   the word pro. I mean, even power beats are pro now, and I'm sure someone could explain why.
[00:47:12.880 --> 00:47:19.840]   But it's non-obvious, I think, to people what the label pro means now. But Andy, what could make
[00:47:19.840 --> 00:47:26.160]   an iPhone Pro this September? Really, the one thing that they could do that would make everybody
[00:47:26.160 --> 00:47:33.360]   say 100 bucks more done would be Apple Pencil Support, the short, the stubby pencil support.
[00:47:33.360 --> 00:47:42.720]   Because we've we had the Galaxy Note 10 launch last week. And I've spent all of like 90 minutes
[00:47:42.720 --> 00:47:47.840]   with one. And it just for every time I hand it back, whether it's after like 10 minutes in the
[00:47:47.840 --> 00:47:55.360]   demo area or two months with it, my office on loan. Boy, do I wish I had a pop tart-sized phone with
[00:47:55.360 --> 00:48:01.840]   a stylus. Because when you can, when you can have a real like responsive stylus that keeps up with
[00:48:01.840 --> 00:48:08.880]   you, when you can draw, when you can write, because sometimes you're really you don't need to like,
[00:48:08.880 --> 00:48:14.640]   all you need to do is just write down a six digit number. And you don't, and you don't have time
[00:48:14.640 --> 00:48:18.720]   to open up an app and then create a text, click into a text field and then tap, tap, tap, tap,
[00:48:18.720 --> 00:48:24.880]   tap. Every time I use that stylus, I wish, wish, wish, wish that a real stylus were available for
[00:48:24.880 --> 00:48:29.200]   the iPhone or a real stylus were available for pretty much any other phone. So I've, there are,
[00:48:29.200 --> 00:48:35.600]   and there are other things that could be suggested like amazing extra storage, but and maybe a
[00:48:35.600 --> 00:48:40.800]   little bit larger, who knows? But really, I think that all they have to do to earn the pro moniker.
[00:48:41.440 --> 00:48:47.200]   However, Apple is choosing to define pro nowadays is add potential support to the screen.
[00:48:47.200 --> 00:48:51.760]   See, I thought you're going to go with USB-C. I just, I thought it was so beautifully said.
[00:48:51.760 --> 00:48:58.800]   You see, you can't predict them. I'm Maverick. You zig and I zag. I know, I know, you zag when I zag.
[00:48:58.800 --> 00:49:06.560]   I don't think this rumor is particularly, I don't, I don't, I don't go for it. If Alex
[00:49:06.560 --> 00:49:13.200]   Munzi were here right now, he would be rolling his eyes at the idea of an iPhone being a pro.
[00:49:13.200 --> 00:49:18.560]   And here's the thing. Again, Renee, you've pointed out that we, we use the word pro
[00:49:18.560 --> 00:49:24.400]   to mean things that aren't pro these days and that's bad. And when it comes to an iPhone,
[00:49:24.400 --> 00:49:34.160]   literally what has anyone ever needed a phone to do pro things on, maybe photography,
[00:49:34.160 --> 00:49:39.520]   and that's more of a niche thing. It's not actually something that you do every day in your workflow.
[00:49:39.520 --> 00:49:43.840]   Like photographer, like wedding photographers aren't throwing their DSL cameras on the trash
[00:49:43.840 --> 00:49:50.960]   because now they have an iPhone. So there's no such thing as a pro phone. And, and I can't imagine
