;FFMETADATA1
title=Machine Gun Clippy
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-01-18
track=801
language=English
genre=Podcast
comment=Safari bug, Netherlands App Store ruling, Apple Watch ads
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:02.480]   [MUSIC PLAYING]
[00:23:06.780 --> 00:23:07.780]   Go there right now.
[00:23:07.780 --> 00:23:10.140]   You'll get three extra months free with a one year package.
[00:23:10.140 --> 00:23:12.620]   That's the best deal.
[00:23:12.620 --> 00:23:15.780]   ExpressVPN.com/Macbreak.
[00:23:15.780 --> 00:23:18.620]   We thank you so much for supporting Macbreak Weekly.
[00:23:18.620 --> 00:23:22.260]   We thank you supporting Macbreak Weekly by using that address so they know you saw it here.
[00:23:22.260 --> 00:23:23.980]   ExpressVPN.com/Macbreak.
[00:23:23.980 --> 00:23:28.060]   All right.
[00:23:28.060 --> 00:23:35.820]   Talk me down off the cliff because it looks like according to fingerprintjs.com.
[00:23:35.820 --> 00:23:43.300]   There is a leak in Safari that Apple knows about and says they have a patch for but haven't
[00:23:43.300 --> 00:23:52.220]   fixed a leak that could leak things like your Google account, places, websites you've recently
[00:23:52.220 --> 00:23:54.540]   visited, lots of information.
[00:23:54.540 --> 00:24:00.420]   It's the index DB that leaks out and that has a lot of information in it.
[00:24:00.420 --> 00:24:04.580]   Renee, is this overblown or is it a genuine issue?
[00:24:04.580 --> 00:24:07.580]   No, I mean, it's terrible.
[00:24:07.580 --> 00:24:08.580]   It should be fixed.
[00:24:08.580 --> 00:24:11.260]   Sounds like they have fixed that they just haven't rolled out to fix yet.
[00:24:11.260 --> 00:24:15.500]   It's not like a hack, sort of like it's not like malware or anything like that.
[00:24:15.500 --> 00:24:17.340]   It's a data privacy breach.
[00:24:17.340 --> 00:24:18.340]   But those are terrible.
[00:24:18.340 --> 00:24:23.060]   I think that a lot of ways Apple's measure eight times cut one strategy of only addressing
[00:24:23.060 --> 00:24:26.940]   these things when they're actually fixed hurts them because people assume that they're ignoring
[00:24:26.940 --> 00:24:29.940]   the problem, especially when you hear dates being thrown around like November and now
[00:24:29.940 --> 00:24:32.100]   it's January and you're like, well, where is it?
[00:24:32.100 --> 00:24:33.100]   You can go to Safari.
[00:24:33.100 --> 00:24:34.100]   I'm not talking you down, Leo.
[00:24:34.100 --> 00:24:35.100]   I'm just standing at the edge of the cliff.
[00:24:35.100 --> 00:24:36.100]   You're not helping.
[00:24:36.100 --> 00:24:37.100]   No.
[00:24:37.100 --> 00:24:38.860]   We're holding on to each other at the edge of the cliff.
[00:24:38.860 --> 00:24:41.700]   If you want to get scared, go to safarileaks.com.
[00:24:41.700 --> 00:24:42.700]   It's been up and down.
[00:24:42.700 --> 00:24:46.500]   I guess maybe there are a lot of people using it right now and probably will be down now
[00:24:46.500 --> 00:24:47.500]   that I've mentioned it.
[00:24:47.500 --> 00:24:51.860]   But safarileaks.com, yeah, Apple's blocking it, I guess.
[00:24:51.860 --> 00:24:55.340]   Maybe it's the VP and I can go on my Linux box, but I can't go on my iPhone.
[00:24:55.340 --> 00:24:56.340]   And of course, it means nothing.
[00:24:56.340 --> 00:24:58.540]   You have to be using a WebKit browser.
[00:24:58.540 --> 00:24:59.540]   Yeah.
[00:24:59.540 --> 00:25:02.460]   It makes people angry, especially on iOS.
[00:25:02.460 --> 00:25:05.620]   Because on the desktop, you can just switch to Chrome or you can switch to something else
[00:25:05.620 --> 00:25:08.540]   and not worry about it until Apple recovers.
[00:25:08.540 --> 00:25:11.500]   But on iOS, Apple only allows WebKit as a rendering engine.
[00:25:11.500 --> 00:25:15.460]   So even if you change to Chrome or you change to Firefox, you're still using WebKit under
[00:25:15.460 --> 00:25:16.460]   the cover.
[00:25:16.460 --> 00:25:19.900]   But in other cases, that's helpful because it limits the amount of active exploit surface.
[00:25:19.900 --> 00:25:23.620]   But when there's an actual active exploit, it's not helpful.
[00:25:23.620 --> 00:25:30.100]   The reason this is kind of a big deal is because it was reported to the WebKit bug tracker
[00:25:30.100 --> 00:25:32.700]   on November 28th of last year.
[00:25:32.700 --> 00:25:34.380]   And Apple still has not fixed it.
[00:25:34.380 --> 00:25:39.340]   And Apple has had, unfortunately, there have been other cases where Apple has been slow
[00:25:39.340 --> 00:25:42.380]   to respond to bugs.
[00:25:42.380 --> 00:25:48.700]   Apple did say this week yesterday that they have merged potential fixes into the WebKit
[00:25:48.700 --> 00:25:49.700]   source code.
[00:25:49.700 --> 00:25:50.700]   I don't know if they said.
[00:25:50.700 --> 00:25:51.940]   I think people just saw that they did it.
[00:25:51.940 --> 00:25:52.940]   Oh, yeah.
[00:25:52.940 --> 00:25:53.940]   That's right.
[00:25:53.940 --> 00:25:54.940]   You can go look and see it.
[00:25:54.940 --> 00:25:55.940]   That's right.
[00:25:55.940 --> 00:25:57.900]   There's famous instances where fixing a bug destroys a ton of stuff.
[00:25:57.900 --> 00:25:59.420]   And it's really hard to fix the bug.
[00:25:59.420 --> 00:26:02.940]   Like there were Safari bugs that they had to go back four or five years to fix everything.
[00:26:02.940 --> 00:26:05.300]   They take a while, but they don't communicate during that period.
[00:26:05.300 --> 00:26:06.900]   So we don't know if they just didn't do it.
[00:26:06.900 --> 00:26:07.900]   They ignored it.
[00:26:07.900 --> 00:26:09.420]   If they did it, but it broke something else.
[00:26:09.420 --> 00:26:12.820]   But they're still trying to feel like we have zero information to feel comforted or terrified
[00:26:12.820 --> 00:26:13.980]   by at this point.
[00:26:13.980 --> 00:26:20.460]   Because WebKit is open source, you can actually go to WebKit on GitHub and see the patch.
[00:26:20.460 --> 00:26:21.460]   So it has been merged in.
[00:26:21.460 --> 00:26:22.940]   And download the nightlies, if you want.
[00:26:22.940 --> 00:26:23.940]   Yeah.
[00:26:23.940 --> 00:26:27.620]   I guess if you got the nightlies, you'd have that.
[00:26:27.620 --> 00:26:29.780]   You would like a little bit more transparency.
[00:26:29.780 --> 00:26:36.300]   I think that according to this fingerprint status article, a couple others I saw, I could
[00:26:36.300 --> 00:26:40.460]   be wrong, but there wasn't a whole lot of information about whether Apple was acknowledging
[00:26:40.460 --> 00:26:41.820]   this and moving on it.
[00:26:41.820 --> 00:26:46.700]   That only until like earlier this week was there was there outside tangible evidence
[00:26:46.700 --> 00:26:49.060]   that yeah, they were they were working on this.
[00:26:49.060 --> 00:26:51.260]   They were seeing this is something that they're going to have to fix.
[00:26:51.260 --> 00:26:54.140]   And you just you'd like to you'd like to the person who reported to at least be able
[00:26:54.140 --> 00:27:00.580]   to say, okay, I see a red receipt on the receipt on this and a smile and a frowny face emoji.
[00:27:00.580 --> 00:27:01.580]   They understand this.
[00:27:01.580 --> 00:27:03.500]   They're going to be they're going to be working on this somehow.
[00:27:03.500 --> 00:27:05.100]   So to be clear, it's not a hack.
[00:27:05.100 --> 00:27:10.140]   It's just a leak of information from index DB.
[00:27:10.140 --> 00:27:14.900]   And but it could be some, you know, for instance, your Google user ID.
[00:27:14.900 --> 00:27:17.260]   So it could be stuff that could have problems.
[00:27:17.260 --> 00:27:21.740]   I mean, just just being able to see what other what open window, what websites are you?
[00:27:21.740 --> 00:27:23.420]   Do you have another open windows and tabs?
[00:27:23.420 --> 00:27:26.220]   That's a big deal, even if it's just that for on multi-
[00:27:26.220 --> 00:27:30.580]   And not all websites interact with index DB, but many do.
[00:27:30.580 --> 00:27:39.340]   A lot of the big ones do privacy mode, private mode in Safari 15 is not it does not protect
[00:27:39.340 --> 00:27:40.340]   you.
[00:27:40.340 --> 00:27:41.340]   It's so.
[00:27:41.340 --> 00:27:46.620]   I see most people get confused like with privacy and incognito.
[00:27:46.620 --> 00:27:48.220]   And they think that it actually hides something.
[00:27:48.220 --> 00:27:49.980]   All it does is it doesn't generate records.
[00:27:49.980 --> 00:27:50.980]   It's not hiding anything.
[00:27:50.980 --> 00:27:53.540]   It's just not generating a record of what you did.
[00:27:53.540 --> 00:27:54.780]   So you're still doing all those things.
[00:27:54.780 --> 00:27:56.500]   And in real time, people can still see what you're doing.
[00:27:56.500 --> 00:28:02.940]   And when a site interacts with index DB database, that has nothing to do with the private
[00:28:02.940 --> 00:28:05.580]   browsing and the interaction still happens.
[00:28:05.580 --> 00:28:08.020]   So you're not protected.
[00:28:08.020 --> 00:28:09.580]   And yes, absolutely.
[00:28:09.580 --> 00:28:13.900]   This could be a horrific bug to fix and Apple could have been working on this for three
[00:28:13.900 --> 00:28:14.900]   months.
[00:28:14.900 --> 00:28:15.900]   We don't know.
[00:28:15.900 --> 00:28:16.900]   Yeah, night and day, we just don't know.
[00:28:16.900 --> 00:28:20.460]   And I understand why Apple doesn't like to talk about security issues because that just
[00:28:20.460 --> 00:28:25.420]   raises a, you know, awareness with the bad guys as well as with the good guys.
[00:28:25.420 --> 00:28:30.020]   So you could, you could explain why Apple's not saying anything about this.
[00:28:30.020 --> 00:28:32.020]   However, now's the time.
[00:28:32.020 --> 00:28:33.020]   Step forward.
[00:28:33.020 --> 00:28:38.780]   I mean, you need to, there's, there's nothing as disquieting as finding out that, oh, but
[00:28:38.780 --> 00:28:43.580]   a third party or the open press has mentioned that there is an open bug open exploitable
[00:28:43.580 --> 00:28:45.740]   zero day on this platform.
[00:28:45.740 --> 00:28:50.300]   That was reported a year ago and nobody knows if the company responsible for fixing this
[00:28:50.300 --> 00:28:52.980]   has any clue or any care about fixing it.
[00:28:52.980 --> 00:28:56.500]   Just when you're like, okay.
[00:28:56.500 --> 00:28:57.500]   Thank you.
[00:28:57.500 --> 00:28:58.500]   That's it.
[00:28:58.500 --> 00:29:01.100]   I've trust, I've placed my trust in the exactly the right laundry basket.
[00:29:01.100 --> 00:29:04.580]   I'm, I'm very, very happy with this purchase that I made.
[00:29:04.580 --> 00:29:08.660]   So there, and there are ways to communicate, at least with the security community that,
[00:29:08.660 --> 00:29:09.660]   okay, it's aware.
[00:29:09.660 --> 00:29:10.660]   I'm aware of it.
[00:29:10.660 --> 00:29:11.660]   We're working on it.
[00:29:11.660 --> 00:29:14.860]   We're not just simply, it didn't just wind up behind someone's space heater is, and it's
[00:29:14.860 --> 00:29:16.540]   never going to be addressed.
[00:29:16.540 --> 00:29:18.260]   Now it's time for the Alex Lindsey.
[00:29:18.260 --> 00:29:21.940]   I told you so segment.
[00:29:21.940 --> 00:29:26.900]   People is going to allow, allow dating apps in the Netherlands to use alternative payment
[00:29:26.900 --> 00:29:30.420]   systems, but there has to be in a separate app.
[00:29:30.420 --> 00:29:36.620]   So now this data app, you'll download one that uses apple pay and you'll download another
[00:29:36.620 --> 00:29:40.460]   one that uses the whatever the dating app provided.
[00:29:40.460 --> 00:29:43.100]   You can choose one of the other as the user.
[00:29:43.100 --> 00:29:44.900]   Yeah, you'll have to choose one of the other.
[00:29:44.900 --> 00:29:47.420]   So there'll be two apps competing apps.
[00:29:47.420 --> 00:29:51.620]   Apple's going to allow third party has to allow third party payment systems in Korea.
[00:29:51.620 --> 00:29:52.620]   They've accepted that.
[00:29:52.620 --> 00:29:54.940]   I'm just curious, like why is it dating apps?
[00:29:54.940 --> 00:29:55.940]   Like I haven't figured that out.
[00:29:55.940 --> 00:29:56.940]   I've read a bunch of articles.
[00:29:56.940 --> 00:29:58.740]   I don't understand like what made dating apps separate.
[00:29:58.740 --> 00:30:00.540]   They're serious about dating Alex.
[00:30:00.540 --> 00:30:01.540]   Wow, they are.
[00:30:01.540 --> 00:30:02.540]   Those are.
[00:30:02.540 --> 00:30:04.780]   Have you ever dated a country where you don't know?
[00:30:04.780 --> 00:30:06.300]   That's where you like you go Dutch.
[00:30:06.300 --> 00:30:07.300]   Like the whole.
[00:30:07.300 --> 00:30:09.580]   Oh yeah, they invented going Dutch.
[00:30:09.580 --> 00:30:11.060]   That's right.
[00:30:11.060 --> 00:30:12.060]   What am I thinking?
[00:30:12.060 --> 00:30:14.140]   I'm not going to go there.
[00:30:14.140 --> 00:30:20.860]   So anyway, so yeah, it's, so anyway, I just thought I was, I just, I'm just amazed.
[00:30:20.860 --> 00:30:22.740]   I was like, what, I still can't figure it out.
[00:30:22.740 --> 00:30:28.700]   Like what is the dating app thing that makes it okay or makes it special?
[00:30:28.700 --> 00:30:31.420]   I guess it has to do with the ruling from the Netherlands.
[00:30:31.420 --> 00:30:33.620]   The heart wants what the heart wants.
[00:30:33.620 --> 00:30:34.620]   Exactly.
[00:30:34.620 --> 00:30:38.620]   To deploy an apps to wrap with an external payment system, you have to apply for one of
[00:30:38.620 --> 00:30:40.740]   two new special entitlements.
[00:30:40.740 --> 00:30:46.300]   The store kit external purchase entitlement or the store kit external link entitlement.
[00:30:46.300 --> 00:30:49.740]   You have to declare what payment processor you're going to use.
[00:30:49.740 --> 00:30:53.380]   Support URLs and some other information.
[00:30:53.380 --> 00:30:58.060]   Apple will as of now only grant those entitlements, as you said, for dating apps in the Netherlands.
[00:30:58.060 --> 00:31:00.740]   Because that's all that was required and we don't quite.
[00:31:00.740 --> 00:31:02.380]   We don't understand why.
[00:31:02.380 --> 00:31:03.380]   Yeah.
[00:31:03.380 --> 00:31:07.140]   South Korea, I think it's the same everywhere.
[00:31:07.140 --> 00:31:09.300]   Apple says we're going to bill you.
[00:31:09.300 --> 00:31:10.300]   Yep.
[00:31:10.300 --> 00:31:14.500]   Dating apps will have to pay Apple a commission on the transactions just because you're not
[00:31:14.500 --> 00:31:15.500]   using our store.
[00:31:15.500 --> 00:31:19.700]   It doesn't let you off the hook, which I think by itself, Google's going to do that too.
[00:31:19.700 --> 00:31:20.700]   Yeah.
[00:31:20.700 --> 00:31:23.420]   By itself just means, well, then I'm not going to do it.
[00:31:23.420 --> 00:31:25.140]   If I still have to pay 30 percent.
[00:31:25.140 --> 00:31:29.540]   Well, they're giving, I think Google's giving 4 percent off or something like that for that
[00:31:29.540 --> 00:31:33.020]   processing.
[00:31:33.020 --> 00:31:35.900]   The thing is that this is a really rich person's game.
[00:31:35.900 --> 00:31:38.220]   This is not the average developer.
[00:31:38.220 --> 00:31:41.100]   This is top point zero, zero one percent of developers.
[00:31:41.100 --> 00:31:44.100]   These are rich companies that want to make more money.
[00:31:44.100 --> 00:31:47.940]   So they're the only ones that this is going to make sense to do these separate apps and
[00:31:47.940 --> 00:31:49.220]   everything else.
[00:31:49.220 --> 00:31:54.020]   And so this is like baseball players striking for more money or actor striking for money.
[00:31:54.020 --> 00:31:59.580]   It's not like the average person working at the warehouse striking for $10 more.
[00:31:59.580 --> 00:32:03.460]   And I'm still being super careful with the 4 percent because they want to show that the
[00:32:03.460 --> 00:32:06.220]   transaction fee is a minimal part of what they provide.
[00:32:06.220 --> 00:32:11.140]   They want to make sure that everybody, governments, regulars understand that it's the APIs, the
[00:32:11.140 --> 00:32:14.820]   platform access, the I, all of that is the value and the transaction fees are just really
[00:32:14.820 --> 00:32:15.820]   minimal.
[00:32:15.820 --> 00:32:16.820]   So we'll give you a few percentage off.
[00:32:16.820 --> 00:32:17.820]   Go home.
[00:32:17.820 --> 00:32:18.820]   You're cute.
[00:32:18.820 --> 00:32:19.820]   Right.
[00:32:19.820 --> 00:32:24.740]   And it's really not a, this isn't out there to help the average developer because the average
[00:32:24.740 --> 00:32:26.340]   developer won't be affected by it at all.
[00:32:26.340 --> 00:32:32.060]   It's not going to be, it's not there definitely, definitely not there to provide a better
[00:32:32.060 --> 00:32:33.620]   experience for the user.
[00:32:33.620 --> 00:32:37.380]   Like this is rich companies putting money into politicians' pockets so that they can
[00:32:37.380 --> 00:32:38.780]   get more money.
[00:32:38.780 --> 00:32:43.220]   Like this is not, you know, because the user is definitely going to have a poor experience
[00:32:43.220 --> 00:32:44.900]   for the user is going to go down.
[00:32:44.900 --> 00:32:45.900]   It is empirical.
[00:32:45.900 --> 00:32:50.700]   Like it is going to go down for the user for on, on at least the app app, the Mac platform
[00:32:50.700 --> 00:32:51.700]   or Apple platform.
[00:32:51.700 --> 00:32:54.620]   Well, and app and well, let's put it clear, make it clear.
[00:32:54.620 --> 00:32:57.980]   Apple's doing everything they can to make it a crappy experience for users.
[00:32:57.980 --> 00:32:58.980]   Yes.
[00:32:58.980 --> 00:33:00.420]   Same things like you have to have two apps.
[00:33:00.420 --> 00:33:03.220]   I mean, Apple's not going to facilitate this in a way.
[00:33:03.220 --> 00:33:05.780]   Even if they don't, even if they don't have that face.
[00:33:05.780 --> 00:33:06.780]   I mean, I know.
[00:33:06.780 --> 00:33:08.780]   All you have to do is go to the app store.
[00:33:08.780 --> 00:33:12.700]   All you have to do is go to the Apple TV and see what happens when an app asks you to
[00:33:12.700 --> 00:33:14.540]   go out of the Apple TV.
[00:33:14.540 --> 00:33:18.780]   Now you have to go to this web page and sign up for this thing and then do this thing so
[00:33:18.780 --> 00:33:21.860]   that you can use your app that you paid for.
[00:33:21.860 --> 00:33:26.540]   You know, and so the thing is that what the user wants is to be able to do it through
[00:33:26.540 --> 00:33:31.180]   the Apple store app store so that they can, I mean, the only users that benefit from opening
[00:33:31.180 --> 00:33:34.300]   all the sideloading and all the opening is porn.
[00:33:34.300 --> 00:33:38.340]   So the thing is, after that, the user is better off.
[00:33:38.340 --> 00:33:41.380]   Just sitting there with their little clicker and saying, "I would like to be charged for
[00:33:41.380 --> 00:33:42.380]   it.
[00:33:42.380 --> 00:33:43.700]   I would like to use this to manage my subscriptions.
[00:33:43.700 --> 00:33:44.940]   I can easily turn it off.
[00:33:44.940 --> 00:33:46.260]   I can easily turn it on.
[00:33:46.260 --> 00:33:49.620]   I can do all the things that that's the best user experience.
[00:33:49.620 --> 00:33:54.220]   The best experience for rich companies is to have some kind of outer area that they will
[00:33:54.220 --> 00:33:57.180]   force the users eventually to use.
[00:33:57.180 --> 00:33:59.380]   So you know, and that's the issue.
[00:33:59.380 --> 00:34:07.300]   Well, a couple of quick points definitely benefits to the users because if Epic and other agencies
[00:34:07.300 --> 00:34:13.020]   had not been creating such a stink about mandatory percentages and only one transactioners,
[00:34:13.020 --> 00:34:17.660]   all these independent developers, they are making not a whole lot of money would be not
[00:34:17.660 --> 00:34:19.540]   would not simply said, "You know what?
[00:34:19.540 --> 00:34:23.500]   We've just spontaneously decided that it's kind of crap that we're trying to stick you
[00:34:23.500 --> 00:34:26.540]   for 30% on this low selling app.
[00:34:26.540 --> 00:34:29.020]   We're going to cut those fees dramatically."
[00:34:29.020 --> 00:34:32.700]   So there was definitely a benefit to the users who are developing apps and running for
[00:34:32.700 --> 00:34:34.220]   the app store.
[00:34:34.220 --> 00:34:38.580]   And secondly, of course, the big companies are doing things that are pursuing things to
[00:34:38.580 --> 00:34:40.060]   make things better for themselves.
[00:34:40.060 --> 00:34:41.060]   But so is Apple.
[00:34:41.060 --> 00:34:46.580]   I mean, this is another one of those instances in which you can't make the case that it's
[00:34:46.580 --> 00:34:52.340]   a better user experience for people buying Kindle books to have to leave the Kindle app.
[00:34:52.340 --> 00:34:53.340]   For do you buy comic books?
[00:34:53.340 --> 00:34:55.460]   You have to leave the comic solids you have.
[00:34:55.460 --> 00:35:01.260]   And it's not because Amazon as the owners of both those entities are being mean stinkers
[00:35:01.260 --> 00:35:06.380]   who are trying to make an end run against Apple's completely true, completely fair fee structure.
[00:35:06.380 --> 00:35:11.780]   It's that there is no there is very, very little trending towards no rational explanation
[00:35:11.780 --> 00:35:16.500]   for why Apple thinks that they should have a cut off of book sales inside these in app
[00:35:16.500 --> 00:35:22.100]   purchases because they had really nothing to do with with helping this person to buy
[00:35:22.100 --> 00:35:23.900]   a Kindle book or a comic book.
[00:35:23.900 --> 00:35:27.140]   Other than making a platform that makes it viable?
[00:35:27.140 --> 00:35:31.900]   The platform that makes it viable is the Kindle app and the Kindle book reader.
[00:35:31.900 --> 00:35:35.380]   The iPhone is negligible has a negligible influence on this.
[00:35:35.380 --> 00:35:39.380]   Any phone, any device can sell a Kindle app.
[00:35:39.380 --> 00:35:41.940]   Can sell a Kindle app, can sell a book that way.
[00:35:41.940 --> 00:35:46.540]   But again, you've got a $50 Kindle fire tablet.
[00:35:46.540 --> 00:35:48.020]   Yes, it's heavily subsidized.
[00:35:48.020 --> 00:35:53.660]   Let's call it a $100 color tablet and they and they and that can still run read comic
[00:35:53.660 --> 00:35:54.860]   books very, very well.
[00:35:54.860 --> 00:36:00.140]   This is the argument that I think is one of the weak parts of Apple's argument saying
[00:36:00.140 --> 00:36:04.340]   that, "Oh, we've created this infrastructure and this API and this blah, blah, blah."
[00:36:04.340 --> 00:36:08.020]   It's that's completely significant as luck would have it.
[00:36:08.020 --> 00:36:11.220]   I'm wearing my vintage code warrior shirt.
[00:36:11.220 --> 00:36:12.220]   This is the-
[00:36:12.220 --> 00:36:13.220]   Oh, I remember it.
[00:36:13.220 --> 00:36:14.220]   I remember it.
[00:36:14.220 --> 00:36:15.220]   Yeah, almost every-
[00:36:15.220 --> 00:36:16.220]   Think, right?
[00:36:16.220 --> 00:36:17.220]   No.
[00:36:17.220 --> 00:36:18.220]   Think?
[00:36:18.220 --> 00:36:19.220]   Think.
[00:36:19.220 --> 00:36:20.220]   Think was Think Pascal.
[00:36:20.220 --> 00:36:24.060]   See the children, there used to be a lot of different development platforms for the
[00:36:24.060 --> 00:36:28.100]   Mac before Apple decided that now we're not going to run a big thing like that.
[00:36:28.100 --> 00:36:33.340]   We can't force our developers to do exactly what we want them to do unless we also force
[00:36:33.340 --> 00:36:35.220]   them to use the same platform.
[00:36:35.220 --> 00:36:36.220]   But Metro works.
[00:36:36.220 --> 00:36:37.220]   That's who it was.
[00:36:37.220 --> 00:36:38.220]   Metro works.
[00:36:38.220 --> 00:36:39.220]   Yeah.
[00:36:39.220 --> 00:36:40.220]   Yeah.
[00:36:40.220 --> 00:36:44.740]   But the basic point is that yes, that is true and that would be true when you're talking
[00:36:44.740 --> 00:36:51.300]   about a sophisticated app, like a really, really intense productivity app, a game, a to-do
[00:36:51.300 --> 00:36:53.780]   list, spreadsheets, things like that.
[00:36:53.780 --> 00:36:59.300]   When really, you can create a Kindle app that is just take the website, put that in a wrapper,
[00:36:59.300 --> 00:37:01.140]   upload it, boom, you're done.
[00:37:01.140 --> 00:37:04.940]   That is not something that Apple's APIs helped to bring into creation.
[00:37:04.940 --> 00:37:07.900]   So this is why that argument just absolutely fails for it.
[00:37:07.900 --> 00:37:11.020]   I'm going to truncate this conversation because we have it every freaking week.
[00:37:11.020 --> 00:37:12.020]   So-
[00:37:12.020 --> 00:37:14.540]   I'm just going to go, what I want to say is, except that they built the market, like,
[00:37:14.540 --> 00:37:15.540]   I don't want to buy a Kindle app.
[00:37:15.540 --> 00:37:16.540]   I want it to run on my phone.
[00:37:16.540 --> 00:37:17.540]   Okay.
[00:37:17.540 --> 00:37:18.540]   We're moving on.
[00:37:18.540 --> 00:37:19.540]   We're moving on.
[00:37:19.540 --> 00:37:24.260]   It's quite a big debate, actually, on Thursday because this will go now before the Judiciary
[00:37:24.260 --> 00:37:25.260]   Committee.
[00:37:25.260 --> 00:37:27.300]   This is a bill introduced last year, the Open Apps.
[00:37:27.300 --> 00:37:33.300]   The Open App Markets Act by Dick Blumenthal and Marcia Blackburn, which would establish
[00:37:33.300 --> 00:37:36.060]   basically competitive rules for app stores.
[00:37:36.060 --> 00:37:42.700]   They've announced that that's going to go in front of the Judiciary Committee on Thursday.
[00:37:42.700 --> 00:37:45.500]   It does have bipartisan support, but I don't know how.
[00:37:45.500 --> 00:37:46.820]   I hope it passes.
[00:37:46.820 --> 00:37:47.820]   Yeah.
[00:37:47.820 --> 00:37:48.820]   Be interesting to see.
[00:37:48.820 --> 00:37:49.820]   Yeah.
[00:37:49.820 --> 00:37:54.140]   Blumenthal says the bill aims to stop Apple and Google from crushing competitors and undercutting
[00:37:54.140 --> 00:37:59.380]   consumers, breaking the ironclad grip of these two behemoths on the multi-billion dollar
[00:37:59.380 --> 00:38:02.620]   app market is long overdue.
[00:38:02.620 --> 00:38:04.620]   So it'll be very interesting to see what happens.
[00:38:04.620 --> 00:38:06.220]   Does that mean I'll get WebOS back?
[00:38:06.220 --> 00:38:07.220]   Yeah.
[00:38:07.220 --> 00:38:12.460]   Speaking of WebOS, MetroWorks came out of Hudson, Quebec.
[00:38:12.460 --> 00:38:13.940]   Did you know that, really?
[00:38:13.940 --> 00:38:16.780]   Greg Galano, I just assumed that we had no more companies left.
[00:38:16.780 --> 00:38:22.140]   In 1985, he created it.
[00:38:22.140 --> 00:38:23.420]   I used MetroWorks.
[00:38:23.420 --> 00:38:27.420]   It was an incredible Code Warriors, was incredible developer tool.
[00:38:27.420 --> 00:38:32.740]   It came out May '94 at WWDC.
[00:38:32.740 --> 00:38:39.700]   MetroWorks received credit for helping Apple succeed in its risky transition to a new processor.
[00:38:39.700 --> 00:38:40.700]   Which one was that?
[00:38:40.700 --> 00:38:43.340]   '94 must have been Intel, right?
[00:38:43.340 --> 00:38:44.580]   I can't remember.
[00:38:44.580 --> 00:38:45.580]   Yeah.
[00:38:45.580 --> 00:38:46.580]   Or was it PowerPC?
[00:38:46.580 --> 00:38:47.580]   PowerPC, wow.
[00:38:47.580 --> 00:38:49.580]   From the Motorola's, you can see it,000.
[00:38:49.580 --> 00:38:50.580]   It's a tiger.
[00:38:50.580 --> 00:38:51.580]   Family.
[00:38:51.580 --> 00:38:52.580]   Yeah.
[00:38:52.580 --> 00:38:56.980]   It was a PowerPC compiler, targeted PowerPC.
[00:38:56.980 --> 00:38:59.100]   But now here's the sad story, Renee.
[00:38:59.100 --> 00:39:05.060]   It was in 1999 acquired by Motorola 2005, spun off as part of Freescale.
[00:39:05.060 --> 00:39:07.740]   Freescale semiconductor absorbed into NXP.
[00:39:07.740 --> 00:39:09.540]   They currently- Okay.
[00:39:09.540 --> 00:39:10.540]   Okay.
[00:39:10.540 --> 00:39:11.540]   I'm following.
[00:39:11.540 --> 00:39:13.860]   They currently own Code Warrior.
[00:39:13.860 --> 00:39:17.020]   Andy owns a T-shirt, and that's what really counts.
[00:39:17.020 --> 00:39:20.100]   See, a T-shirt like an NFT, does that give Andy a guess?
[00:39:20.100 --> 00:39:21.100]   Yes.
[00:39:21.100 --> 00:39:22.100]   He has roots.
[00:39:22.100 --> 00:39:24.420]   I will give you kids another history lesson.
[00:39:24.420 --> 00:39:29.780]   There was a time when you got a T-shirt from like, whether it's a comic book or a creator
[00:39:29.780 --> 00:39:33.100]   that you like or a web comic or a mobile platform.
[00:39:33.100 --> 00:39:37.340]   It was high quality stuff that you could wash and wear for like a decade or more.
[00:39:37.340 --> 00:39:40.100]   It wasn't the sort of thing where you open it up, you feel the material left of this
[00:39:40.100 --> 00:39:43.820]   thing you paid $30 for and think, "Okay, I'm going to have to plot out the two.
[00:39:43.820 --> 00:39:48.260]   Two times I'm going to be able to wear this before completely disintegrates."
[00:39:48.260 --> 00:39:49.860]   From Wikis Media.
[00:39:49.860 --> 00:39:53.740]   Here is the MetroWorks logo circa 2001.
[00:39:53.740 --> 00:39:54.740]   Yeah.
[00:39:54.740 --> 00:39:55.740]   On it.
[00:39:55.740 --> 00:39:56.740]   It's called.
[00:39:56.740 --> 00:39:57.740]   On it.
[00:39:57.740 --> 00:40:01.220]   You know, I like that image.
[00:40:01.220 --> 00:40:02.220]   I'm using that somewhere.
[00:40:02.220 --> 00:40:03.220]   I don't know where.
[00:40:03.220 --> 00:40:04.220]   I love that.
[00:40:04.220 --> 00:40:06.620]   No, they're, I don't know who they had who was a graphic designer on staff.
[00:40:06.620 --> 00:40:07.620]   It's a wood cut.
[00:40:07.620 --> 00:40:13.340]   I think that, I think that it's, it kind of predates Google's, recognizing the value
[00:40:13.340 --> 00:40:17.380]   of let's have graphic artists on staff who's the only job is to draw things for us.
