;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[00:35:05.560 --> 00:35:06.680]   And
[00:35:06.680 --> 00:35:11.800]   Airpods tried to connect to that and it actually causes the camera to pause and as I said it was between shows
[00:35:11.800 --> 00:35:16.360]   So it wasn't a big deal, but if that happened during a show, that's kind of annoying. So I don't like that feature. Yeah
[00:35:16.360 --> 00:35:17.800]   Um
[00:35:17.800 --> 00:35:21.800]   It happened several times before this call because I'm using my Airpods pro 2 right now
[00:35:22.120 --> 00:35:27.240]   And anytime I moved like my iPad or my iPhone they would switch so quickly. It's pretty annoying
[00:35:27.240 --> 00:35:30.920]   So where do we change that? I didn't even know that was a setting
[00:35:30.920 --> 00:35:36.840]   Like uh, so if you're on your iPhone, then you launch the settings app and now in iOS 16
[00:35:36.840 --> 00:35:42.360]   You'll see up at the top right below family. Yeah is a new section that says your airpods
[00:35:42.360 --> 00:35:46.520]   Yeah, isn't I my max has showed up there too, which is kind of cool. Yeah
[00:35:46.520 --> 00:35:51.400]   So you click into that and then I'm trying to get it to show up on mine. I have it up over here
[00:35:51.560 --> 00:35:54.520]   Okay, so you have noise cancellation transparency
[00:35:54.520 --> 00:35:56.120]   Model
[00:35:56.120 --> 00:35:57.080]   Scrolling
[00:35:57.080 --> 00:36:02.040]   Connect to this phone. Oh here it is right at the top there it is connect this phone automatically when last connected
[00:36:02.040 --> 00:36:07.480]   Wait a minute choose how airpods connect to this phone airpods pro can always automatically connect to this phone
[00:36:07.480 --> 00:36:14.920]   Or only connect if this phone was the last device you used with them in other words. It's sticky. It stays phone
[00:36:14.920 --> 00:36:19.880]   Uh until you intentionally go to another device
[00:36:20.600 --> 00:36:27.160]   That is correct and you would want to do that on any device you use them with. Yeah, yeah, otherwise other ones might try to grab it away
[00:36:27.160 --> 00:36:31.320]   Uh because unfortunately apple sets it to automatically by default
[00:36:31.320 --> 00:36:37.640]   And that is not the fun behavior in my humble opinion. So there are also some new features on this
[00:36:37.640 --> 00:36:40.200]   one of them steven you can describe
[00:36:40.200 --> 00:36:46.680]   Is to test the tips they come with the medium tips, but there's also a small extra small
[00:36:46.680 --> 00:36:50.040]   Small and large. Did you do the one?
[00:36:51.000 --> 00:36:55.160]   Yeah, that's the you can test the ear tip fit which you could do actually with the previous models
[00:36:55.160 --> 00:36:57.720]   Um, and it will check the seal around it
[00:36:57.720 --> 00:37:00.920]   But what's new actually is the personalized spatial audio
[00:37:00.920 --> 00:37:05.960]   Which you can do with it without the airpods pro to in hand a picture will scare your ear
[00:37:05.960 --> 00:37:11.800]   With the true depth sensor and create a personalized spatial audio experience that way
[00:37:11.800 --> 00:37:15.160]   I haven't been able to tell really if it makes a big difference
[00:37:15.160 --> 00:37:19.960]   But I will say the airpods pro to the noise cancellation and transparency
[00:37:20.360 --> 00:37:23.160]   I do think it's noticeably improved from the first generation
[00:37:23.160 --> 00:37:30.600]   Especially transparency mode. I mean it you know feel like I don't have anything in my ears a lot of times when that transparency mode is on
[00:37:30.600 --> 00:37:33.400]   That's vastly improving. Yes, this is they're really a long
[00:37:33.400 --> 00:37:37.960]   Way toward an over-the-counter hearing aid to be honest with you
[00:37:37.960 --> 00:37:45.080]   Um, the quality is really good. So I did the you know, so I didn't realize this previously
[00:37:45.080 --> 00:37:47.320]   So I put them in it plays music
[00:37:47.880 --> 00:37:52.520]   And then it and it worked it said no, no your left ear is way too loose. So I pushed it in and uh
[00:37:52.520 --> 00:37:54.680]   Try a bigger
[00:37:54.680 --> 00:37:59.560]   Didn't say bigger, but so try another tip. So I tried the large tip and then it went. Oh, that's good
[00:37:59.560 --> 00:38:03.400]   I guess no leakage at all. It's true. Those were the right tips for me
[00:38:03.400 --> 00:38:08.600]   Um, so that's a good feature and then but it is a little hard to do the ear scan because
[00:38:08.600 --> 00:38:11.000]   You can't look at the phone it's awkward
[00:38:11.000 --> 00:38:16.200]   So I had to get a mirror and hold the mirror up so I could see what was on the phone
[00:38:16.440 --> 00:38:20.520]   So if it was seeing my ear and then if it's too close, it says it stops and you have to go
[00:38:20.520 --> 00:38:24.120]   Okay, and if it's too far it stopped so you have to get between 10 and 20 inches
[00:38:24.120 --> 00:38:28.520]   Right looking nice at your ear and then you slightly tip your head back and forward
[00:38:28.520 --> 00:38:35.000]   It took me a while works. Yeah. Well, and then that's the thing is do you notice the difference? I don't know I can
[00:38:35.000 --> 00:38:41.640]   I do think the tips are improved in their material because the first AirPods Pro would fall out of my ears sometimes
[00:38:41.640 --> 00:38:46.120]   And I actually got the comply foam ear tips that are like ear plug material
[00:38:46.200 --> 00:38:49.160]   Right and those really kept them in but with the AirPods Pro 2
[00:38:49.160 --> 00:38:53.400]   I've been just using the tips they come with and it actually grabs my inner ear canal
[00:38:53.400 --> 00:38:56.680]   I think better even so much as when I like pull them out of my ear
[00:38:56.680 --> 00:39:02.040]   They can almost like go inside out as I kind of as they come out. Yeah, then it makes it. It's a great seal
[00:39:02.040 --> 00:39:05.800]   Yeah, I'm very happy. I'm surprised how good these sound to be honest
[00:39:05.800 --> 00:39:08.440]   That's a question I wanted to ask mica when he was talking about the new
[00:39:08.440 --> 00:39:15.160]   You know being able to uh be use a touch command since and swiping using swipe commands to change the volume
[00:39:15.160 --> 00:39:17.160]   Do they stay in your ears when you do that?
[00:39:17.160 --> 00:39:19.800]   Uh, yeah, so I was curious about
[00:39:19.800 --> 00:39:26.520]   When I heard I did not yeah didn't move them around since they're so lightweight, but what I what's not clear to me
[00:39:26.520 --> 00:39:28.200]   Um
[00:39:28.200 --> 00:39:33.000]   I I haven't tried it without doing this, but if you look on the uh apple.com
[00:39:33.000 --> 00:39:37.160]   Slash AirPods hyphen pro page when they show that section
[00:39:37.160 --> 00:39:40.680]   Um, they use little green circles to represent like the movement, right?
[00:39:41.080 --> 00:39:46.440]   And on the back of the air pod stem you can see a green circle meaning that
[00:39:46.440 --> 00:39:52.280]   And this is the way i've done it you're meant to support it while you you see you put one finger on the back and then you rocket
[00:39:52.280 --> 00:39:56.360]   I have not tried kind of just going and putting my finger on the front and tried to move
[00:39:56.360 --> 00:40:01.560]   This is a very natural. This is kind of what you're gonna end up wanting to do grabbing it
[00:40:01.560 --> 00:40:05.000]   It'll just grab it and then your your index finger goes up and down
[00:40:05.000 --> 00:40:10.120]   You also will be grabbing it to change the transparency mode to to next
[00:40:10.840 --> 00:40:16.520]   Next to track. There's you know, there's a whole bunch of things and it gives you a nice little quick. Yes, sir. How do
[00:40:16.520 --> 00:40:20.760]   Oh, my man somebody's talking to me
[00:40:20.760 --> 00:40:28.120]   Uh, how do I do how do I do the schlomo? Do I
[00:40:28.120 --> 00:40:34.600]   You just say hey, you know who hey schlomo and it'll work. Yeah, you don't have to you don't have to press any buttons or anything
[00:40:34.600 --> 00:40:41.720]   No, it's nice. It's good. I'm I'm excited. I think these are these are pretty good and uh since I can drive them with my
[00:40:41.720 --> 00:40:44.760]   ginormous watch
[00:40:44.760 --> 00:40:49.880]   I think for for working out. This is gonna be a really great pair. You know leave your phone at home
[00:40:49.880 --> 00:40:55.800]   And I gotta say I love that lanyard loop on the side. Yeah, so yeah nice a lot of people in fact
[00:40:55.800 --> 00:41:00.120]   My old airpods probably ordered a case, you know a 12 south case that had a lanyard connection
[00:41:00.120 --> 00:41:03.240]   But yeah, this is nice. Are you worried about it getting banged up a little bit?
[00:41:04.360 --> 00:41:06.360]   Yeah, I I am a little bit
[00:41:06.360 --> 00:41:10.360]   I heard a case that makes this lanyard actually does also make a case
[00:41:10.360 --> 00:41:15.240]   But I'm waiting for nomad because I that's what I used to write. I used to have the nomad that was beautiful
[00:41:15.240 --> 00:41:19.800]   Yeah, sponsor on the network. Of course. We should mention but yeah, they that's what I used to use for my airpods
[00:41:19.800 --> 00:41:24.760]   So I'm waiting for them to come out with one that just supports the built-in lanyard loop. Do you need a different case?
[00:41:24.760 --> 00:41:29.880]   I've only tried choose from the old pros
[00:41:30.360 --> 00:41:33.560]   Well, so there's no speaker holes at the bottom of the case
[00:41:33.560 --> 00:41:38.440]   So you would not get as good as a fine my and I think outside of that though
[00:41:38.440 --> 00:41:42.280]   It should be the same. Let me try putting it on here and see what happens
[00:41:42.280 --> 00:41:46.840]   This is also say none. Apple's added the u1 chip to the airpods pro case
[00:41:46.840 --> 00:41:49.560]   Please add it to the apple tv remote and also maybe
[00:41:49.560 --> 00:41:52.520]   Thank you
[00:41:52.520 --> 00:41:56.360]   That's a whole thank you. I actually have a rubber case for my
[00:41:56.360 --> 00:41:59.320]   Apple tv remote that has a lanyard on it
[00:41:59.800 --> 00:42:04.680]   It does make it with an air tag inside. Yeah, it's a silicone
[00:42:04.680 --> 00:42:11.560]   Yeah, this is the fact that this is essentially an air tag now is great. You know, it won't be hard to find these right?
[00:42:11.560 --> 00:42:15.960]   Yeah, unless you have well, maybe I will get into your wall was
[00:42:15.960 --> 00:42:18.600]   Who not got an ongoing issue
[00:42:18.600 --> 00:42:19.640]   with
[00:42:19.640 --> 00:42:25.080]   With fine my where because of a something happened and the database side of things
[00:42:25.800 --> 00:42:31.640]   Fine my just does not work on my iCloud account. Oh and I have this ongoing support issue, but that's you
[00:42:31.640 --> 00:42:35.640]   Uh, that's just exactly that's just a me thing. So that's what I was saying. Yeah, um
[00:42:35.640 --> 00:42:40.760]   So that's the new in case on the new one and yeah, if it's just fine. So you technically use this okay good
[00:42:40.760 --> 00:42:45.880]   You don't have to drill out holes for this. Yeah, so find my speakers at the bottom
[00:42:45.880 --> 00:42:50.760]   Yeah, and you said you're looking for a case that has that let that's a pass through for the lanyard built into the uh
[00:42:50.760 --> 00:42:55.480]   Yeah, so I guess instead it would just kind of have a little you know oval on the side
[00:42:55.640 --> 00:42:57.640]   Yeah, yeah, yeah
[00:42:57.640 --> 00:42:59.000]   Um
[00:42:59.000 --> 00:43:03.400]   I might just customize this case though now that I think about I've got a drum all I can make some little holes for the speakers
[00:43:03.400 --> 00:43:05.480]   But do you have a laser engraver?
[00:43:05.480 --> 00:43:11.320]   Oh, by the way, yes, the word on the site is there's no laser mentioned anywhere. It's just engrave
[00:43:11.320 --> 00:43:14.920]   But yeah, doesn't grave not engrave implies into yes
[00:43:14.920 --> 00:43:19.720]   Not not make a raised area. That's emboss or something else. I don't know
[00:43:19.720 --> 00:43:23.160]   Well, it's not even raised though. It's just kind of like printed on
[00:43:24.200 --> 00:43:29.160]   Just like the made in california, you know designing california made in china thing on the back
[00:43:29.160 --> 00:43:34.040]   It's so if I run my finger across that I can feel it my nail across that on the back
[00:43:34.040 --> 00:43:40.120]   I can feel a slight difference in the material. Yeah, I was gonna say that if sorry if they're using if they're using a chemical process
[00:43:40.120 --> 00:43:44.440]   That actually melts a layer of plastic gray plastic into the plastic. That could be a
[00:43:44.440 --> 00:43:47.640]   Okay, I could get down with that
[00:43:47.640 --> 00:43:51.320]   Yeah
[00:43:51.320 --> 00:43:53.640]   Um, I was trying to see if I could find some uh
[00:43:54.440 --> 00:43:57.640]   Some video of how this works, but I don't
[00:43:57.640 --> 00:44:03.800]   Oh, yeah, here it is. Here it is. This is the machine that apple uses to print onto
[00:44:03.800 --> 00:44:06.520]   uh, oh
[00:44:06.520 --> 00:44:09.800]   No, it's not
[00:44:09.800 --> 00:44:15.160]   Okay, what is this? This is you know, this is how this is how plates ceramic plates are apprended
[00:44:15.160 --> 00:44:17.960]   Yeah, they have a little rubber
[00:44:18.600 --> 00:44:25.320]   Thing that they dip in the ink and then it paints right onto the plate goes full shape stamp. Yeah. Yeah
[00:44:25.320 --> 00:44:28.120]   Anyway, come on coincidentally
[00:44:28.120 --> 00:44:32.040]   I wouldn't be surprised if that's exactly though how they do this right that they have a
[00:44:32.040 --> 00:44:35.160]   That apple would design some box it goes into and it goes
[00:44:35.160 --> 00:44:37.320]   Yeah, of course
[00:44:37.320 --> 00:44:43.240]   But it just it just goes to show how weird this category is no matter who's making it that it doesn't matter how
[00:44:43.240 --> 00:44:48.440]   If you can be up there up there on stage with here's like histograms or how good the audio is and here's how
[00:44:48.440 --> 00:44:54.280]   Advanced mind technology is for making sure that it's it's doing adaptive net noise cancellation
[00:44:54.280 --> 00:44:57.400]   Here's all the other features we're doing in to cook the software to make
[00:44:57.400 --> 00:45:02.440]   Make a human speech easier to comprehend if the thing doesn't stay in your ear
[00:45:02.440 --> 00:45:09.400]   It's a bat. It's it's a fail and that's a fail for an individual person who decides that well, I g I try to pair of air
[00:45:09.400 --> 00:45:13.160]   Of air pods once they kept falling on my ears. I couldn't stand. I'm a bought a pair of soneys
[00:45:13.160 --> 00:45:18.120]   They work just fine and has nothing to do with the technology has to do with how did how this person decided to shape their ears
[00:45:18.360 --> 00:45:20.360]   and things like and for me things like
[00:45:20.360 --> 00:45:25.960]   uh having uh having a touch commands on the earbud it's actually kind of a negative because
[00:45:25.960 --> 00:45:31.880]   naturally over the course if I'm wearing earbuds sometimes for like two or three hours at a time when I'm out and about and
[00:45:31.880 --> 00:45:37.960]   Naturally, they just kind of work themselves loose and it's kind of a bummer when I can't just simply give them a little extra shove in
[00:45:37.960 --> 00:45:43.880]   Without like suddenly suddenly activating the the virtual assistant or suddenly like changing tracks like no
[00:45:43.880 --> 00:45:47.400]   I'm sorry. I just I just wanted to sort of shove it into my earhole a little bit more
[00:45:47.560 --> 00:45:51.160]   Please ignore this as a command. So it's it's a weird very weird category
[00:45:51.160 --> 00:45:57.880]   And it's it's this is why it's I think it's kind of a scramble where apple is absolutely competing with every other maker of these things to
[00:45:57.880 --> 00:46:02.280]   For for for brand loyalty at this point. Well, we rehearsed his funeral
[00:46:02.280 --> 00:46:07.000]   A few minutes ago, but now it's official the bearded teacher has no longer with us
[00:46:07.000 --> 00:46:11.640]   It's got you know, it's lucky. He got to hear us say all the nice things about him
[00:46:11.640 --> 00:46:14.120]   uh, but yeah his power is
[00:46:14.120 --> 00:46:15.160]   is
[00:46:15.160 --> 00:46:16.120]   kind of
[00:46:16.120 --> 00:46:21.720]   Can I say that that that was a very very generous act and his part where it's like you knowing that you have 20 minutes
[00:46:21.720 --> 00:46:27.080]   But to shut to shut down things to send final emails. Oh, by the way, I'm going to be out of power for a little bit of while
[00:46:27.080 --> 00:46:27.320]   I'm out
[00:46:27.320 --> 00:46:32.840]   I might be off the grid and he decided to like burn all that power to talk to us and talk to the listeners and the viewers
[00:46:32.840 --> 00:46:37.000]   That was a very very generous and finally his his studio just went
[00:46:37.000 --> 00:46:41.960]   The bearded teacher is at beard dot fm
[00:46:42.760 --> 00:46:48.120]   Thank you, steven roblis for being here as long as you could be and it's at which great actually to get his reviews
[00:46:48.120 --> 00:46:53.800]   He's also at apple insider dot com of both the new airpods pro to and the apple watch
[00:46:53.800 --> 00:46:56.040]   ultra
[00:46:56.040 --> 00:47:00.600]   Especially so who had all the heart I don't I don't have either of these pieces of hard room and talking about so yeah, it was
[00:47:00.600 --> 00:47:05.960]   Yeah, it was like it was he was a very very valuable addition to furthermore our chatroom has done
[00:47:05.960 --> 00:47:08.680]   some research
[00:47:08.680 --> 00:47:17.240]   And from white dog engraving comes this information. How does apple engraving work apple devices are engraved using high powered laser engravers?
[00:47:17.240 --> 00:47:23.720]   Lasers the apple pencil the ipod the ipod touch and the airpods are all
[00:47:23.720 --> 00:47:26.680]   engraved that way
[00:47:26.680 --> 00:47:28.440]   uh
[00:47:28.440 --> 00:47:29.720]   so
[00:47:29.720 --> 00:47:36.360]   So maybe like when it's burning it it does cause a slight bubble which is why it feels raised against the surface and that's why
[00:47:36.360 --> 00:47:42.680]   I'm saying it feels that way it is plastic, right? So it's just heating it would probably do something. This is what
[00:47:42.680 --> 00:47:47.160]   Yeah, change the color. Right. Yeah, so it's it's more like a cutter
[00:47:47.160 --> 00:47:53.320]   Than an engraver a heater, you know than an engraver. So almost like a wood what are those wood
[00:47:53.320 --> 00:47:57.560]   uh burners yeah, yeah, pretty much like that. Yeah, like a
[00:47:57.560 --> 00:48:01.560]   Glow fortune. Yeah, I think but it's it's good that that's actually legit because
[00:48:01.960 --> 00:48:05.480]   uh you the when you say engraving or embossing the
[00:48:05.480 --> 00:48:11.400]   The implication is that it doesn't matter how much this how much this thing gets rubbed on it's not going to come off
[00:48:11.400 --> 00:48:15.240]   Because it is because sometimes you get burned by that when you see oh look
[00:48:15.240 --> 00:48:20.200]   I had my name put on this things and then eight months later like half the letters are gone because it really is just a
[00:48:20.200 --> 00:48:28.280]   Flight to the surface. So yeah, you can I think you can count on apple to want to make sure that if they decide to go for personalization that your personalization
[00:48:28.840 --> 00:48:32.440]   Absolutely sticks. I'm kind of that's a cell phone. I'm kind of bummed though
[00:48:32.440 --> 00:48:36.760]   Uh, and I know you are too mica a we would have been able to still able to get them
[00:48:36.760 --> 00:48:40.040]   And be I love it that the it's more than engraving
[00:48:40.040 --> 00:48:46.760]   It's somehow burnt into the memory of the little case and and the fact that it shows up on the phone too
[00:48:46.760 --> 00:48:51.400]   That's just kind of neat. Oh now apple supports you can use your own
[00:48:51.400 --> 00:48:57.800]   Memoji as one of the engraving options. So not just emoji. I might have to buy a whole nother set of these
[00:48:58.200 --> 00:49:02.520]   Take them back. Get it get a hold back apple. Yeah, or they can be
[00:49:02.520 --> 00:49:07.640]   You could you give that to someone for for Christmas or your family members for christmas. Yeah, you just get one with you
[00:49:07.640 --> 00:49:15.560]   Throughout the tips though. Oh, man. Oh, well, why did you do that? Well, I'm thinking am I ever going to change my ear size?
[00:49:15.560 --> 00:49:16.760]   No
[00:49:16.760 --> 00:49:20.840]   So what do I need these for if you ever get stung by a beat god forbid
[00:49:20.840 --> 00:49:23.640]   What are you gonna do? Oh my god?
[00:49:23.640 --> 00:49:27.560]   Your kids all roll up and then I don't have the still need to listen to your music and I
[00:49:27.560 --> 00:49:35.800]   See mma get one of those cauliflower your deals. Uh, yeah, exactly. Would I start boxing? Yeah
[00:49:35.800 --> 00:49:41.800]   Well, I'll remember to wear protection when I do from now on steven. We wish you well. I hope everybody in Tampa
[00:49:41.800 --> 00:49:46.040]   It's does well. Uh, he hurricane earring Ian is on the way and
[00:49:46.040 --> 00:49:48.760]   yikes yikes yikes yikes. Uh
[00:49:49.800 --> 00:49:53.480]   Now our rj dj 2000 in our charam says
[00:49:53.480 --> 00:50:00.120]   Lio bor likely it's a fiber laser. They're using a small 30 watt machine could do it quite nicely and way faster
[00:50:00.120 --> 00:50:03.720]   Than a sea fiber laser. It's a fiber
[00:50:03.720 --> 00:50:12.520]   Fiber laser does it burn fiber on to i i met no i met i would imagine that it's kind of like a dot matrix printer only except for
[00:50:12.520 --> 00:50:16.040]   I speak is being is being come basically have a bundle of fibers
[00:50:16.360 --> 00:50:21.240]   In the in the shape of a matrix and that you're firing individual dots of them to create that image
[00:50:21.240 --> 00:50:24.040]   they're widely used in industry because of the
[00:50:24.040 --> 00:50:26.680]   variety of
[00:50:26.680 --> 00:50:28.840]   temperatures and frequencies
[00:50:28.840 --> 00:50:33.160]   They can they can do so burn through the device into the
[00:50:33.160 --> 00:50:40.840]   Electronics. Well, yeah, it's exactly, you know, they they set them up to do exactly what they need to do for that particular thing
[00:50:40.840 --> 00:50:42.760]   So that's cool. All right. Thank you for that
[00:50:43.720 --> 00:50:46.120]   rj dj 2000 if
[00:50:46.120 --> 00:50:51.000]   Wait a way to revive the image writer brand that could call like the the image writer laser burner
[00:50:51.000 --> 00:50:53.080]   I love one of those. That'd be so cool
[00:50:53.080 --> 00:50:56.120]   Do you think apple offers those on its repair replace program?
[00:50:56.120 --> 00:51:00.200]   I know but they do say as steven mentioned you can go to the fifth avenue store and they'll
[00:51:00.200 --> 00:51:03.960]   Engrave it as you wait, but you won't get that special programming
[00:51:03.960 --> 00:51:11.720]   Oh, no, I don't want to get the fiber laser that the apple uses i feel like i've got i've got a broken one like it's not as
[00:51:11.800 --> 00:51:13.800]   I know it's not full. It's not
[00:51:13.800 --> 00:51:15.640]   It's not true
[00:51:15.640 --> 00:51:17.080]   And again
[00:51:17.080 --> 00:51:21.320]   Because apple is really promoting fine. My is not just a oh by the way
[00:51:21.320 --> 00:51:23.400]   Just like every just like every other phone manufacturers
[00:51:23.400 --> 00:51:26.920]   There's some sort of a dingus in here that will make it be remotely if you lost your phone
[00:51:26.920 --> 00:51:30.200]   They're made they're basically turning in turning fine money to a whole platform
[00:51:30.200 --> 00:51:33.560]   So the idea of making fine. My not just the name of the product
[00:51:33.560 --> 00:51:36.920]   But also here's here's a visual identifier for what this thing looks like
[00:51:37.640 --> 00:51:42.680]   It's when it's when it's working correctly. It's a good boon when as often happens
[00:51:42.680 --> 00:51:48.760]   It's not working correctly and again. I'm on i'm on the commuter real train and my ipad keeps saying hey
[00:51:48.760 --> 00:51:54.120]   Hey, I found a new I found a pair of air pods nearby. Do you want to pair them and i say i don't own a pair of air pods
[00:51:54.120 --> 00:52:00.040]   So please no never yeah, that's it's you can see you can see you can see like even if inside your household
[00:52:00.040 --> 00:52:03.880]   If you know that hey, yeah, this is this actually my my spouse's air pods
[00:52:03.960 --> 00:52:10.360]   I don't want those paired because she is actually like two floors down applying polyurethane to to a carpentry project
[00:52:10.360 --> 00:52:12.600]   I don't think that she needs to hear
[00:52:12.600 --> 00:52:16.040]   Uh, my my here my live stream of whatever I'm doing. I'm wearing it
[00:52:16.040 --> 00:52:21.800]   You've been hanging out in the loport household a lot. I can get a fiber laser for a mere three thousand dollars
[00:52:21.800 --> 00:52:25.320]   So amazon right so I can just make my own but you can't
[00:52:25.320 --> 00:52:32.680]   I've been the idea in here. That's the magic. That is the magic. That is what I what
[00:52:33.640 --> 00:52:35.000]   See mike, meanwhile
[00:52:35.000 --> 00:52:41.800]   I've been thinking about you know what this image writer idea is not such a bad idea because you can obviously like you're not going to be using the print
[00:52:41.800 --> 00:52:47.960]   Carter so you can actually build a cartridge that has its own lipobattery and it has its own like laser like generator at the head
[00:52:47.960 --> 00:52:51.240]   So that is actually you're actually using the existing
[00:52:51.240 --> 00:52:57.240]   carriage and movement concern to actually to actually fire off that laser that's this is this is
[00:52:57.240 --> 00:53:03.480]   I need to I need to start working on a kickstarter proposal because I bet I could I could raise a couple hundred thousand
[00:53:03.480 --> 00:53:06.280]   Dollars for a product that I'm never ever ever going to be able to ship
[00:53:06.280 --> 00:53:13.080]   So I I think we we can safely say there were at least three pairs of thumbs up for
[00:53:13.080 --> 00:53:14.440]   the
[00:53:14.440 --> 00:53:19.160]   Ultra two pairs of thumbs up for the ultra means Stephen and three pairs of thumbs up for the earpud
[00:53:19.160 --> 00:53:22.440]   Pro two apples come up with two very nice products
[00:53:22.440 --> 00:53:27.480]   Uh, and actually I'm very happy as long as we're talking with the uh, the 14 pro max
[00:53:27.480 --> 00:53:32.520]   It's been it's been uh, I love the always on mode. I have to say even more than dynamic island
[00:53:32.760 --> 00:53:35.400]   That's it. That's a game. Tell me tell me more about that
[00:53:35.400 --> 00:53:40.440]   The reason I ask is because I've seen it go uh two ways and I'm kind of in the second camp
[00:53:40.440 --> 00:53:43.720]   Where I don't know if it's just my anxiety brain or whatever
[00:53:43.720 --> 00:53:49.880]   But every time I look at my phone and see that it's on I want to reach and hit that side button and make it go dark
[00:53:49.880 --> 00:53:51.880]   And then of course it goes bright instead
[00:53:51.880 --> 00:53:59.960]   I'm like no way to reprogram yourself. Yeah, I've got to reprogram myself and I I guess I'm always like I I'm being
[00:54:00.600 --> 00:54:03.720]   Considered of battery life, but it hasn't been an issue and so again
[00:54:03.720 --> 00:54:05.240]   It's all just retraining
[00:54:05.240 --> 00:54:11.960]   But some people just didn't have that from the get-go and I want to know you people how how did you not have any anxiety about it?
[00:54:11.960 --> 00:54:16.520]   From the start. You just like to look at your time on your phone. What's what's the deal?
[00:54:16.520 --> 00:54:18.280]   um
[00:54:18.280 --> 00:54:20.280]   I have to say there is
[00:54:20.280 --> 00:54:28.120]   There I mean you I I might have to talk to rosemary. It would be nice to have a focus mode that made it
[00:54:29.240 --> 00:54:32.680]   Really dark you can you know have a dark wallpaper black wallpaper
[00:54:32.680 --> 00:54:38.120]   And it dimmettens and I think I could do a a focus mode that would do all of that because
[00:54:38.120 --> 00:54:42.840]   Lisa married the wrong guy. She likes a bedroom that is pitch black
[00:54:42.840 --> 00:54:45.400]   Right. Oh me too. I got LEDs
[00:54:45.400 --> 00:54:49.480]   Coming out of my ass. Well, that's not quite true, but I
[00:54:49.480 --> 00:54:56.120]   We've seen the photos from burning man
[00:54:57.320 --> 00:54:59.320]   We thought it was very creative
[00:54:59.320 --> 00:55:03.240]   I was going health care and you were burning man
[00:55:03.240 --> 00:55:06.360]   Needless to say
[00:55:06.360 --> 00:55:14.200]   Leo's got the benefit of quite a brain trust here. He's a lucky lucky man as our all the listeners everywhere in the room
[00:55:14.200 --> 00:55:17.400]   There are lights lights lights lights everywhere
[00:55:17.400 --> 00:55:23.400]   And um, and this is just one more effect sheet complain last night. She says like the sun hitting me in the face
[00:55:24.200 --> 00:55:29.880]   Oh, you don't have the sleep mode turned on well, I do it's it's darker. Can it go off completely?
[00:55:29.880 --> 00:55:37.080]   Yeah on if you have um the the focus mode that's called sleep. I do well. Oh, it's not completely turn off
[00:55:37.080 --> 00:55:39.160]   Is this one called sleep?
[00:55:39.160 --> 00:55:44.280]   Well, so there's a built-in one that is called. Yeah. Yeah, I think that's the one uh, I think that's the one I have
[00:55:44.280 --> 00:55:50.040]   It's it should when it's on the charger. It should turn off. Well, it's maybe not. I don't know it's
[00:55:50.040 --> 00:55:52.840]   Uh, I didn't think it was
[00:55:53.640 --> 00:55:57.160]   I'll have to check that because mine does I know at night mine is off because I am
[00:55:57.160 --> 00:56:02.600]   Like wanting yeah, no light in the bedroom because that's not for you conducive for sleep
[00:56:02.600 --> 00:56:06.680]   Uh, let me turn on I'm gonna turn on sleep mode and then I'm gonna plug it in
[00:56:06.680 --> 00:56:11.160]   Um, and then I will lock the screen. I believe you
[00:56:11.160 --> 00:56:16.120]   Well, no, I'm I'm checking to be sure that it actually yeah. Yeah, it's completely off now
[00:56:16.120 --> 00:56:19.000]   So I'm making a new focus that is called sleep
[00:56:19.000 --> 00:56:23.160]   Sleep focus while you're heading to bed together. Okay
[00:56:23.720 --> 00:56:25.720]   I thought I was using that
[00:56:25.720 --> 00:56:28.360]   People not allowed apps not allowed options
[00:56:28.360 --> 00:56:33.400]   Show on silence notifications high notification badges
[00:56:33.400 --> 00:56:36.600]   Uh, and then
[00:56:36.600 --> 00:56:42.440]   Oh, you can customize green as green on yes, so customize screen. So choose a lock screen or home screen page
[00:56:42.440 --> 00:56:48.360]   Um, but but but actually go back. Do you see right under that where it says options? Yeah
[00:56:48.360 --> 00:56:52.840]   Tap on options and make sure sleep screen is turned on. I don't have that in my
[00:56:53.000 --> 00:56:55.000]   That's notification options
[00:56:55.000 --> 00:57:00.120]   Then I don't know if it's the actual sleep focus or if it's one that you've just made that wall focus filters
[00:57:00.120 --> 00:57:04.280]   No, it's called sleep focus. I just selected a new one. Oh you did
[00:57:04.280 --> 00:57:11.000]   Uh, huh. Well, all right. This is a mystery because I can choose the home screen the lock screen and the watch screen
[00:57:11.000 --> 00:57:13.000]   But I don't see any you know off
[00:57:13.000 --> 00:57:15.080]   choices
[00:57:15.080 --> 00:57:18.840]   Interesting. I mean I could make a very dark lock screen. I ended up choosing a moon
[00:57:20.040 --> 00:57:25.400]   Um, you know because I thought well, it's night, but that's still you know even when it's dimmed which it is
