
[00:00:00.000 --> 00:00:05.480]   It's time for Mac break weekly. I'm back. I miss you guys Renee Richie's here Alex Lindsey's here
[00:22:41.180 --> 00:22:48.300]   If you really there's only wireless charging in terms of a here is a brand new thing that you will recognize as a brand new thing
[00:22:48.300 --> 00:22:51.660]   In the iphone 8 that is not in the iphone 7 right now
[00:22:51.660 --> 00:22:58.860]   And of course, there's more a lot more than just wireless charging but in terms of here is how my life will be different with an iphone 8 as opposed to my iphone 7
[00:22:58.860 --> 00:23:02.060]   Wireless is great though. I do really like
[00:23:02.060 --> 00:23:04.460]   It's awesome. I've always like yeah
[00:23:04.460 --> 00:23:09.020]   What I would love to do is put an iphone 8 and a nexus 4 on a table and just let them race
[00:23:10.380 --> 00:23:15.420]   New vision in life. I just got to find my nexus 4. I it's funny. I wish I mean, I don't know
[00:23:15.420 --> 00:23:23.100]   There was for a while google was making this modular phone that they had inherited from mo to roa and there are indeed of the era
[00:23:23.100 --> 00:23:29.660]   And I think that maybe that would be a good if you could do it without it being janky and feeling like a lego brick in your hand
[00:23:29.660 --> 00:23:34.940]   It would be kind of cool to because I want a headphone jack for instance. I'd be willing to give up something for a headphone jack
[00:23:34.940 --> 00:23:38.860]   Um, you know, it just be nice to be able to choose the things you want
[00:23:39.180 --> 00:23:46.460]   Getting rid of more did you hear the rumors this year leo for the before the before the the bigger rumors for the pixel leaked is that there were two prototypes one
[00:23:46.460 --> 00:23:51.660]   With no buttons which like the htc 11, which is I think the one they're gonna ship and one with no ports
[00:23:51.660 --> 00:23:56.460]   But they couldn't get the the remote the wireless dfu stuff working in time
[00:23:56.460 --> 00:24:01.340]   But it looks like that that's where we're headed. We're heading. Oh, I agree. Why have no ports right
[00:24:01.340 --> 00:24:06.940]   Why have a port at all everything? It should just be a slab of glass that magically charges
[00:24:07.660 --> 00:24:12.060]   And magical they mess their things zero mechanical failure points is is there
[00:24:12.060 --> 00:24:17.740]   A speaker grill. Otherwise, it would be really you could make it totally waterproof. We say that but we don't know what they're recommending
[00:24:17.740 --> 00:24:23.500]   Speakers that go through the glass. I think there are TVs with speakers that go through the glass
[00:24:23.500 --> 00:24:27.660]   They'll be all magnetic charging and they'll have wireless dfu
[00:24:27.660 --> 00:24:34.380]   I could that doesn't seem too far off that and that also feels like more futuristic just a phone no lightning no type C no connectors
[00:24:34.380 --> 00:24:36.860]   No headphone jack
[00:24:37.260 --> 00:24:39.260]   Apple just I have enough trouble
[00:24:39.260 --> 00:24:44.460]   I have enough trouble with my with my wireless that I'm I don't I think we're a long way away from
[00:24:44.460 --> 00:24:47.180]   Doing that responsibly
[00:24:47.180 --> 00:24:50.300]   I think apple will follow suit on that one. Yeah, well, yeah
[00:24:50.300 --> 00:24:57.420]   I feel like that's also that's the one thing apple might take the lead in just because of steve jabs hereditary hatred of buttons and ports
[00:24:57.420 --> 00:25:03.100]   Well apple tv apple tv 4k doesn't have a usb anymore. It does remote you have to use xcode over y5
[00:25:03.980 --> 00:25:07.980]   And do remote it really so that's it that's interesting that by step
[00:25:07.980 --> 00:25:14.300]   Well, that does eat all the ports to eat all the tables the we will know you're not you're not supposed to you're not supposed to have been using the usb port in that thing anyway
[00:25:14.300 --> 00:25:19.340]   Uh, but it's it's developers because that's who used it. Yeah developers developers did but hey they're
[00:25:19.340 --> 00:25:25.820]   The teles developer know you gotta do it while there's there's a certain cat and dog
[00:25:25.820 --> 00:25:29.500]   There's a sort of chocolate and pickles animal had to be going on with those two things
[00:25:29.500 --> 00:25:31.500]   but yeah, it's I
[00:25:31.500 --> 00:25:33.500]   had that same sort of
[00:25:33.500 --> 00:25:37.580]   Problem with the testing the iphone 8 over the weekend where but that was the end of the day
[00:25:37.580 --> 00:25:42.300]   That's when I started doing my my squirrel tests and battery was like down to like 10%
[00:25:42.300 --> 00:25:48.140]   And I wanted to use the the volume button on the on the on the headphones as like a remote shutter
[00:25:48.140 --> 00:25:53.020]   So that I could just sort of leave it set up and let the let the squirrels eat in peace without being
[00:25:53.020 --> 00:25:56.620]   Shied away by the nerd with the whole load of the camera. It's like oh that that's fine
[00:25:56.620 --> 00:26:01.900]   I'll just like plug it all plug it into like this 20 million gajillion battery charger. I've got that
[00:26:01.900 --> 00:26:06.860]   Oh, that's right. I've got one port that has to be for both power and for the headphones
[00:26:06.860 --> 00:26:11.500]   So I can't do that. It's a it's a sort of feature. You don't notice it until those
[00:26:11.500 --> 00:26:16.380]   Four times a year some for some people four times a month where it's like boy
[00:26:16.380 --> 00:26:21.820]   My life would be a lot simpler if this had it and then you again think about all the phones that do have it
[00:26:22.220 --> 00:26:28.140]   I I had I was talking about on my google show last week. I that jelly phone that tiny tiny tiny
[00:26:28.140 --> 00:26:30.620]   I've got the room tiny tiny tiny android phone
[00:26:30.620 --> 00:26:35.020]   That is literally if I if I put it behind these two fingers, you would not be able to see it
[00:26:35.020 --> 00:26:38.780]   That's how small it is. And so what we're talking about I could not resist saying
[00:26:38.780 --> 00:26:40.060]   you know
[00:26:40.060 --> 00:26:44.940]   Here's here's a phone that is about one quarter the size of the iPhone 8
[00:26:44.940 --> 00:26:51.660]   Somehow these random Chinese engineers were able to fit a headphone jack in there
[00:26:52.060 --> 00:26:57.420]   Despite well, okay, maybe that's maybe apple just not clever enough to be able to put everything they want and a headphone jack in
[00:26:57.420 --> 00:27:01.180]   I don't know what you know what the iPhone doesn't have an FM radio
[00:27:01.180 --> 00:27:06.380]   Yes, that's true. Actually, I thought this is an interesting story. We talked about it on twitter on sunday
[00:27:06.380 --> 00:27:12.940]   Of course agit pi who has now been confirmed for a complete term as chairman of the fcc
[00:27:12.940 --> 00:27:17.020]   Uh went along with the national association of broadcasters. I have to point this out
[00:27:17.020 --> 00:27:20.620]   There's been a move from radio and others along for a long time to
[00:27:20.620 --> 00:27:27.740]   Enable the FM radio in phones because it's good in case of emergency and agit pi blamed
[00:27:27.740 --> 00:27:29.260]   apple
[00:27:29.260 --> 00:27:35.180]   Among you know, it's why doesn't apple should should put the FM radio in or turn it on
[00:27:35.180 --> 00:27:38.220]   It's already in there just flip a switch just flip a switch
[00:27:38.220 --> 00:27:45.100]   He says this is a agit pi quote apple is the one major phone manufacturer that has resisted doing so
[00:27:45.100 --> 00:27:48.460]   But I hope the company will reconsider its position
[00:27:48.460 --> 00:27:53.980]   That's why i'm act asking apple to activate the FM chips that are in its phone to which apple replied
[00:27:53.980 --> 00:27:57.980]   Well, we care about the safety of our users, but
[00:27:57.980 --> 00:28:03.340]   iPhone 7 and 8 models don't have FM radio chips and in order they have antennas
[00:28:03.340 --> 00:28:09.020]   Designed to support FM signal so it is not possible to enable FM reception in these products
[00:28:09.020 --> 00:28:14.620]   Now I wonder because we talked about this on sunday. There isn't really a chip. It's a software defined radio
[00:28:14.620 --> 00:28:17.100]   All you need is a dsp so they could do that
[00:28:17.100 --> 00:28:21.900]   Uh the antenna on most phones like the lg's that do continue to have FM radios
[00:28:21.900 --> 00:28:24.300]   Uh are the headphones
[00:28:24.300 --> 00:28:26.940]   That's the antenna. Of course. You don't have a headphone check
[00:28:26.940 --> 00:28:30.780]   So maybe that's why apple called out the iphone 7 and 8 without a headphone
[00:28:30.780 --> 00:28:34.380]   Well on a lot of them like the on reason i've previously apple would buy broadcom
[00:28:34.380 --> 00:28:38.780]   I mean most of the industry would buy broadcom ships and they would have wi-fi and bluetooth and they'd have FM radio
[00:28:38.780 --> 00:28:41.900]   Just bakes in part of this thing. It's just a block on the chip
[00:28:42.380 --> 00:28:46.700]   But apple doesn't buy commodity chips even when some of the teardown companies think they're using commodity chips
[00:28:46.700 --> 00:28:49.020]   Almost never do they use the modernity chips?
[00:28:49.020 --> 00:28:51.020]   They've taped off the FM radio stuff
[00:28:51.020 --> 00:28:54.140]   I don't know what the exact technical term is like it could be dark atoms
[00:28:54.140 --> 00:28:58.540]   It's just apple asks for very specific things for a whole range of power management and other issues
[00:28:58.540 --> 00:29:03.020]   And though that block is not existent on the versions of the chips that apple has it's just no
[00:29:03.020 --> 00:29:08.540]   We know that that's a fact that yeah, and they did call it the 7 and 8 which are the
[00:29:08.940 --> 00:29:13.500]   New phones there are other phones that still have that block but that block is not internally connected to anything
[00:29:13.500 --> 00:29:16.380]   Like it's not connected to any way that would help you get sound or signal
[00:29:16.380 --> 00:29:20.300]   Oh, and there's no you on it's not a switch you could flip with existing phones, but you could put it on
[00:29:20.300 --> 00:29:22.940]   Well, maybe it is with older phones. It depends
[00:29:22.940 --> 00:29:28.060]   It's like when it's sorry. Go ahead. You're about to say go ahead. Go ahead. Andy go ahead
[00:29:28.060 --> 00:29:32.300]   I was just gonna say like Renee says that if you can you can download the spec sheets for
[00:29:32.300 --> 00:29:36.220]   for the lte modem chips that are in pretty much any phone and
[00:29:36.780 --> 00:29:41.980]   The Qualcomm spec sheet will say that there is FM there is an FM radio decoder
[00:29:41.980 --> 00:29:44.460]   Decoder in there that would not be that difficult to support
[00:29:44.460 --> 00:29:48.700]   But you don't know if once once somebody is buying in so in sufficient quantity
[00:29:48.700 --> 00:29:54.300]   They might ask for changes that if they don't care about the FM chip then that functionality goes
[00:29:54.300 --> 00:29:58.940]   It's either not on the block or they just simply disconnect it for whatever reason they deem valuable
[00:29:58.940 --> 00:30:02.300]   However, I do think that it's a it's a really good thing
[00:30:03.260 --> 00:30:08.300]   You're used to seeing phones that are really international like when Motorola came up with it
[00:30:08.300 --> 00:30:12.860]   Try to start going up with phones that cost less than 200 dollars and even less than 100
[00:30:12.860 --> 00:30:16.700]   Dollars a feature that you start you suddenly started to see on all motor roof motor
[00:30:16.700 --> 00:30:21.820]   Rolla phones was FM radio and you're wondering gee why FM radio and the reason and the the
[00:30:21.820 --> 00:30:27.020]   Rational reason that was the first to come to mind was that oh, there's that's how people in Pakistan
[00:30:27.500 --> 00:30:33.580]   India get their cricket scores off FM radio not through streaming via broadband, but he but uh
[00:30:33.580 --> 00:30:38.300]   I this is probably the first time I have said this since a gpie became director the FCC
[00:30:38.300 --> 00:30:41.900]   He's making an excellent point that there are times when I have
[00:30:41.900 --> 00:30:47.740]   I've never thank goodness suffered through a a natural disaster
[00:30:47.740 --> 00:30:53.580]   Anywhere close to the the level that people have been going through in perterico in texas
[00:30:53.580 --> 00:30:55.900]   however, I have been in situations where
[00:30:56.140 --> 00:31:00.300]   The power is out for an entire week. I don't when it's going to come back on and a day and a half
[00:31:00.300 --> 00:31:04.940]   It's I'm I wish that apple had vetted its statement a little bit better by saying oh well
[00:31:04.940 --> 00:31:11.500]   That's why we we do care about the safety of because that's why we have our 911 feature and set up to automatically receive
[00:31:11.500 --> 00:31:19.020]   Emergency things emergency texts from but yeah, you're missing the point after a day and a half when infrastructure goes away completely
[00:31:19.020 --> 00:31:22.700]   That cell tower is going to be dead in about a day and a half
[00:31:23.180 --> 00:31:27.020]   Whereas there are going to be FM transmitters everywhere that you can simply pick things up
[00:31:27.020 --> 00:31:31.900]   This is why I after after my first multi-day hurricane related blackout
[00:31:31.900 --> 00:31:37.260]   I made sure that I have multiple cheap $10 FM radios in the house because that's the way you're gonna
[00:31:37.260 --> 00:31:41.100]   So just buy a gosh darn radio, especially a hand one. Yeah, that's not a power
[00:31:41.100 --> 00:31:45.180]   But again, you already have this radio you already have this thing in your pocket
[00:31:45.180 --> 00:31:50.860]   You probably were already already really really concerned to make sure that we've got this charged up and if I have a battery charger
[00:31:50.860 --> 00:31:56.380]   I've got the charger charged up. You may not already have double a batteries and desell batteries set aside
[00:31:56.380 --> 00:32:01.180]   This is a I can't speak to how difficult it would be for apple to enable FM
[00:32:01.180 --> 00:32:05.020]   Enable or or add FM radio into these devices
[00:32:05.020 --> 00:32:11.820]   But I can't you can't deny that this is be a really really good thoughtful feature to put in the radio industry
[00:32:11.820 --> 00:32:14.460]   Has been lobbying for this. I remember nab a year. Well, I
[00:32:14.460 --> 00:32:18.140]   I don't think that the radio industry is lobbying for emergency reasons
[00:32:18.540 --> 00:32:20.540]   No, they just want you to listen to radio, please
[00:32:20.540 --> 00:32:23.740]   And to be fair, it's probably
[00:32:23.740 --> 00:32:26.460]   Not the manufacturers, but the cell the cell
[00:32:26.460 --> 00:32:32.060]   companies companies are against it would like you to listen to expensive streaming the ipods had this feature for a while
[00:32:32.060 --> 00:32:35.420]   Right, I thought companies. Yeah, the cell companies did not want it on phones. Yeah
[00:32:35.420 --> 00:32:39.580]   All right, let's take a break. We're gonna come back in just a second when we do
[00:32:39.580 --> 00:32:42.860]   I'd like to talk about the watch since rene and I both have red dots
[00:32:42.860 --> 00:32:45.660]   We're not it red dots
[00:32:45.660 --> 00:32:54.140]   Uh, and uh, there's an interesting article from harris diddio at a simko about how he you know how he's calculated sales numbers
[00:32:54.140 --> 00:32:58.700]   Which are pretty amazing, but first let's talk about our sponsor video
[00:32:58.700 --> 00:33:01.260]   blocks brand new sponsor
[00:33:01.260 --> 00:33:03.580]   on ios today story blocks
[00:33:03.580 --> 00:33:06.620]   gives us video blocks
[00:33:06.620 --> 00:33:14.540]   All the stock video you need all the sound effects for your podcasts video backgrounds on your website the hero images in your blog
[00:33:15.500 --> 00:33:18.940]   It's expensive if you use this stock quality
[00:33:18.940 --> 00:33:23.580]   Photos it can be very expensive, but video blocks is breaking the price point
[00:33:23.580 --> 00:33:27.100]   You're going to get studio quality video stock video
[00:33:27.100 --> 00:33:35.260]   Royalty free you can use it for commercial and personal projects everything you download as yours to use and keep forever for a very
[00:33:35.260 --> 00:33:37.100]   low
[00:33:37.100 --> 00:33:38.620]   price
[00:33:38.620 --> 00:33:40.540]   $149
[00:33:40.540 --> 00:33:42.140]   a year
[00:33:42.140 --> 00:33:47.820]   a year down on all the stock video your heart desires from their member library including over
[00:33:47.820 --> 00:33:54.460]   115,000 studio quality hd videos after effects templates motion backgrounds and more
[00:33:54.460 --> 00:33:59.820]   New clips are added all the time. There's always something fresh to download
[00:33:59.820 --> 00:34:07.500]   exclusive discounts on the marketplace clips too you get 40 off and the original artists get 100% of the sales price so the artists love it too
[00:34:08.380 --> 00:34:13.260]   And that gives you access to 5 million additional videos that you could purchase from the artist
[00:34:13.260 --> 00:34:17.740]   So they got the marketplace they got the member library and you have access to it all for a low
[00:34:17.740 --> 00:34:23.740]   $149 a year go to video blocks dot com slash mac break
[00:34:23.740 --> 00:34:28.140]   No more outdated or old footage no more horrors watermarks
[00:34:28.140 --> 00:34:36.300]   90,000 customers use video blocks including nbc national geographic the history channel the travel channel
[00:34:36.460 --> 00:34:40.300]   I've gotten in the habit of reading the credits at the ends of shows and you'd be amazed how often
[00:34:40.300 --> 00:34:45.820]   You see video blocks in there video blocks dot com slash mac break get all the stock video
[00:34:45.820 --> 00:34:52.380]   You can imagine for $149 a year and save on millions of studio quality clips from video blocks
[00:34:52.380 --> 00:34:57.820]   Video blocks by story blocks. Thank you for your support. Thank you for a product. We now use
[00:34:57.820 --> 00:35:01.100]   Saved us a heck of a lot of money
[00:35:02.620 --> 00:35:08.060]   Uh, how do you so how long have you had the your series three watch running? I just got mine yesterday
[00:35:08.060 --> 00:35:10.780]   So I can't listen a couple weeks battery life
[00:35:10.780 --> 00:35:14.620]   Uh, it's fine. I mean, I think it's even I think it's better
[00:35:14.620 --> 00:35:20.700]   Better, but yeah, it seems like it's better. I don't I don't curse myself. Yeah now if you make a lot of phone calls
[00:35:20.700 --> 00:35:23.180]   We know that depletes the yes. Yeah, uh
[00:35:23.180 --> 00:35:26.300]   What about the lte issue
[00:35:26.300 --> 00:35:31.340]   We talked a lot about it on sunday and greg pharaoh who has a lot of engineering experience
[00:35:31.580 --> 00:35:35.340]   Says this is going to be a tough one to fix. I thought it'd be easy this captive portal problem
[00:35:35.340 --> 00:35:40.060]   Yeah, there's two problems one is I don't think it was clearly understood that
[00:35:40.060 --> 00:35:44.140]   Uh in order to use some of the functionality your iphone doesn't have to be with you
[00:35:44.140 --> 00:35:48.220]   But it still has to be on the network like things like like sms as opposed to ims
[00:35:48.220 --> 00:35:51.820]   You so that's where sms is get sent through the phone
[00:35:51.820 --> 00:35:56.460]   Well, your number still has to be active on the phone because it's not giving you a home
[00:35:56.460 --> 00:36:01.500]   Yes, it can be at home, but it has to be and I think a lot of reporters just put it in airplane mode and then went for a job
[00:36:01.820 --> 00:36:03.900]   Right and then had issues sending things like sms
[00:36:03.900 --> 00:36:09.900]   Really no, but it's also wasn't clearly spelled out like I don't think apple was clear about how you should you know
[00:36:09.900 --> 00:36:12.940]   How normal people expected to use it was just leaving your phone at home
[00:36:12.940 --> 00:36:16.700]   Not taking your phone with you putting in airplane mode and then also yeah, this capture a gate thing
[00:36:16.700 --> 00:36:18.780]   And I think there are a lot of people who were testing it
[00:36:18.780 --> 00:36:24.460]   They're they are engineers and by nature. They do not trust like they just will never use starbucks wifi for example
[00:36:24.460 --> 00:36:28.460]   And this absolutely is that why they missed it. Is that why they missed it? You think yeah, I mean
[00:36:28.620 --> 00:36:32.140]   I know people who've been using this watch for like three months four months and never noticed
[00:36:32.140 --> 00:36:33.420]   I'll be with it
[00:36:33.420 --> 00:36:36.700]   And I you know I know they go to coffee shops because I see how much coffee they drink
[00:36:36.700 --> 00:36:39.260]   But they're not the kind of people who would join those networks
[00:36:39.260 --> 00:36:44.620]   But it's so the basic issue is that there are a lot of places that have wifi that use captured portals
[00:36:44.620 --> 00:36:48.860]   So for example, you might just have to agree as simple as agreeing to a terms of service and hitting okay
[00:36:48.860 --> 00:36:55.580]   But it could also be a username and password and there's no facility to do that on the apple watch if you've previously joined on your iphone
[00:36:55.820 --> 00:36:58.940]   It'll remember it and it'll just it'll work transparently on your apple watch
[00:36:58.940 --> 00:37:02.140]   But if you've never been there with your iphone and it tries to be an apple watch
[00:37:02.140 --> 00:37:06.380]   It'll just be stuck on wifi that can't connect and it won't go to lt
[00:37:06.380 --> 00:37:10.140]   I thought it was the other way around that if you had logged in on your iphone the apple watch said
[00:37:10.140 --> 00:37:15.500]   Oh, I know how to be there, but with the iphone not there it it can't get it. So it isn't that way
[00:37:15.500 --> 00:37:21.660]   It's uh, it's it it breaks lte it breaks all connectivity in places
[00:37:22.060 --> 00:37:29.180]   Open yeah, wifi access points would that use the captive portal technology? That's when a page pops up says log in agree to our terms
[00:37:29.180 --> 00:37:31.660]   It even if i've never been there before
[00:37:31.660 --> 00:37:34.620]   Yeah, if you oh that's terrible before it'll work
[00:37:34.620 --> 00:37:37.900]   But if it hasn't been there before because there's no web kit on the watch there's no way for it to pop up a way
[00:37:37.900 --> 00:37:40.700]   I thought it was the other way around I misunderstood the problem completely
[00:37:40.700 --> 00:37:42.220]   I might be mis-understand I
[00:37:42.220 --> 00:37:48.940]   Believe though, it's just there's no ability for a watch to join a new wifi point that has the captured what point technology
[00:37:48.940 --> 00:37:50.940]   I would try to
[00:37:50.940 --> 00:37:55.740]   Because it sees wifi and it always tries the way that the lte works is similar to how the gps works
[00:37:55.740 --> 00:38:00.140]   In that it tries every way possible not to have to use it for battery for battery reasons
[00:38:00.140 --> 00:38:03.820]   So it's incredibly conservative. It'll jump on your iphone instead of jumping on lte
[00:38:03.820 --> 00:38:09.900]   It'll jump on wifi if instead of jumping an lte it only goes to lte if it absolutely has to so it sees oh great
[00:38:09.900 --> 00:38:14.060]   Well, if I connection i'll just join that and then it gets stuck at the portal and can't continue
[00:38:14.060 --> 00:38:17.980]   I'm a little you can you can explain something that i'm a little confused on
[00:38:18.220 --> 00:38:21.820]   So one of the reasons why i'm kind of interested in getting the lte for myself is
[00:38:21.820 --> 00:38:25.340]   Not only just the convenience, but also sometimes the battery
[00:38:25.340 --> 00:38:29.820]   I'm walking around with a dead battery in my phone. I would like to I like the idea that okay
[00:38:29.820 --> 00:38:35.100]   Well, at least I can still receive text messages and emergency even if I can't you know help hop on instagram
[00:38:35.100 --> 00:38:41.740]   So if the phone is if my the phone is tethered to is just dead it's turned off no battery no power no nothing
[00:38:41.740 --> 00:38:43.980]   What can the lte watch do?
[00:38:43.980 --> 00:38:47.900]   Everything except for regular green bubble sms messages is my understanding
[00:38:47.980 --> 00:38:50.940]   Yeah, it does sense because sms is gone is done differently
[00:38:50.940 --> 00:38:56.380]   Well, well, I have a four. I mean t-mobile. I don't get 10 bucks a month. I have a t-mobile phone number
[00:38:56.380 --> 00:38:59.420]   It should work, but the e-sim doesn't like the e-sim has its own number
[00:38:59.420 --> 00:39:04.540]   But I believe that that number is not used. Yeah, it'll act like it's using your phone number and your phone number is no longer on the network
[00:39:04.540 --> 00:39:06.380]   Right that makes that's terrible
[00:39:06.380 --> 00:39:08.060]   That's really bad
[00:39:08.060 --> 00:39:15.020]   If if something it's it's okay to optimize things for messages because i can do magical things if it controls end-to-end
[00:39:15.020 --> 00:39:18.540]   But I think a lot of people are going to be thinking well again
[00:39:18.540 --> 00:39:23.020]   I'm going to go out for a run if I if I run into trouble or if I get lost or have a medical thing
[00:39:23.020 --> 00:39:30.700]   I can still send and receive a text message to my friends to my boss to my to my spouse who does not necessarily have
[00:39:30.700 --> 00:39:33.020]   messages on his phone and
[00:39:33.020 --> 00:39:41.260]   To have that to add the coda sill that will if you will get hit by car and you need to tell if your spouse that you're going to the hospital
[00:39:41.580 --> 00:39:45.740]   Don't worry so long as your phone is matches a certain
[00:39:45.740 --> 00:39:47.900]   Set of
[00:39:47.900 --> 00:39:49.900]   constrictions back at home in your office
[00:39:49.900 --> 00:39:54.620]   You might be able to get a text message out if that's the case that's
[00:39:54.620 --> 00:39:59.260]   Terrible that is a terrible implementation. That's not what people are expecting
[00:39:59.260 --> 00:40:03.100]   When apple says we have a phone that we haven't watched that has lte on it. That is
[00:40:03.100 --> 00:40:07.580]   Well, it's not what people got if they used for instance a samsung lte watch
[00:40:08.300 --> 00:40:12.060]   Uh, it was it was a phone, but of course it was huge
[00:40:12.060 --> 00:40:15.740]   But it was a phone. It did all the things your phone would do
[00:40:15.740 --> 00:40:17.580]   I'm boy
[00:40:17.580 --> 00:40:20.940]   I now I feel like I'd have to buy one and test it out because that's I
[00:40:20.940 --> 00:40:28.060]   I'm I'm not trying to come up with a catchphrase here. I that is I my first impression of that is that is
[00:40:28.060 --> 00:40:30.860]   Terrible that that means there's if
[00:40:30.860 --> 00:40:34.140]   Unless unless they're okay. I should shut up
[00:40:34.700 --> 00:40:38.860]   No, it will this there's there's things like you can't do long. I believe you can't do long distance phone calls
[00:40:38.860 --> 00:40:45.100]   You can't do roaming there's there's just an incredible amount of limitations on what they're they're able to proxy at this point
[00:40:45.100 --> 00:40:49.820]   And hopefully they'll improve it, but I haven't heard what the what the problem is or why
[00:40:49.820 --> 00:40:52.620]   It might be hard to fix
[00:40:52.620 --> 00:40:58.540]   Well, I mean everything it can be fixed in time. It's just a question of what what that e-sim is capable of doing given the implementation
[00:40:58.540 --> 00:41:00.540]   They're using it for
[00:41:00.860 --> 00:41:05.260]   Well, you should know before you buy one that there are some limitations totally and apps
[00:41:05.260 --> 00:41:07.580]   I think you know there's a lot of things that apps can't do yet
[00:41:07.580 --> 00:41:11.980]   Whether that's just a factor of those apps updating or whether it's limitations of what the apps can access or not
[00:41:11.980 --> 00:41:17.020]   Isn't clear to me. I think for us it's more we're more worried about battery life. I have to admit then
[00:41:17.020 --> 00:41:21.820]   Phone calls a battery life is actually yeah my experience as with Renee
[00:41:21.820 --> 00:41:25.020]   No, no, it's better phone calls, but if you're making phone calls, it's gonna drain
[00:41:25.020 --> 00:41:29.100]   Phone calls is about an hour about an hour a ton time is Apple spec
[00:41:30.380 --> 00:41:32.380]   Yep
[00:41:32.380 --> 00:41:34.380]   Yeah, and that's that's I mean
[00:41:34.380 --> 00:41:41.100]   It's wife. It does everything possible not to use lte because that is such a power hungry radio technology still
[00:41:41.100 --> 00:41:43.340]   Um, I don't think it just can't just
[00:41:43.340 --> 00:41:48.860]   I just don't think that people have people who have a walking to the store and they've got two
[00:41:48.860 --> 00:41:52.940]   They're looking at two different series three watches one cost a little bit more and has lte
[00:41:52.940 --> 00:41:57.100]   The other one costs a little bit less and does not the reason why they're going to say I want the else
[00:41:57.260 --> 00:42:00.460]   I can afford it. I would much rather have the p the lte model
[00:42:00.460 --> 00:42:02.860]   They are thinking about peace of mind
[00:42:02.860 --> 00:42:08.140]   They're thinking about I would the only reason why I take my phone with me when I run is in case there's an emergency or
[00:42:08.140 --> 00:42:12.140]   If if I if I'm going out with on a date and the babies
[00:42:12.140 --> 00:42:14.540]   I want to be able to make sure the babysitter can get in touch with there's a problem
[00:42:14.540 --> 00:42:17.180]   But I don't want to be bothered distracted by the phone again
[00:42:17.180 --> 00:42:23.420]   My my difficulty with this is that I don't think that people who say oh lte for only a hundred dollars more
[00:42:23.420 --> 00:42:29.420]   I'll definitely get that they are not expecting it's a kind of lte that still requires
[00:42:29.420 --> 00:42:35.180]   And yeah, I mean that that's it's such a bad thing that I would think that
[00:42:35.180 --> 00:42:40.540]   My again first impressions with 10 minutes worth of knowledge about this this problem
[00:42:40.540 --> 00:42:47.500]   Is that I would I would almost think that apple would try not to call it an lte watch they would call it a we have a special
[00:42:47.740 --> 00:42:53.900]   Like tethering plus that under certain circumstances it will be able to behave like it is tethered to your phone
[00:42:53.900 --> 00:42:57.660]   Even though you are miles and miles away from the phone. That is I think they are
[00:42:57.660 --> 00:43:00.620]   Again, I think I think I think that
[00:43:00.620 --> 00:43:07.260]   When I looked at it and of course, I'm not going to be surprised by what it does and doesn't do when I ordered it
[00:43:07.260 --> 00:43:12.220]   I looked at the fact that I can leave my phone in my car at stinton beach and
[00:43:12.940 --> 00:43:17.980]   Not have to think about it and know that I can at least get some communication back and forth and and I admit that
[00:43:17.980 --> 00:43:23.500]   I don't have a lot of people that I interact with on a regular basis that aren't you know that aren't using either
[00:43:23.500 --> 00:43:26.380]   Some kind of some messaging program where I'm I mean I don't use SMS
[00:43:26.380 --> 00:43:32.380]   That often yeah, and if they're if everybody would just use apple products none of this would be a problem
[00:43:32.380 --> 00:43:34.860]   No, no, no, but I don't think that it's just gonna be apple products
[00:43:34.860 --> 00:43:39.420]   I think it's gonna be I mean if you're using slack if you're using messenger if you're using i'm i'm gonna
[00:43:39.420 --> 00:43:41.980]   Bet that those are gonna work
[00:43:41.980 --> 00:43:43.980]   watch
[00:43:43.980 --> 00:43:46.860]   I can you
[00:43:46.860 --> 00:43:54.620]   I think I think their design goal for this watch and maybe you know to Andy's point
[00:43:54.620 --> 00:43:57.180]   They should have called it the apple watch outdoors or something
[00:43:57.180 --> 00:44:01.660]   Is that you leave your phone at home and you go for a jog and if you have to do phony things while you're out on the jog
[00:44:01.660 --> 00:44:04.140]   You can do those but your phone is at home when you're doing it
[00:44:04.140 --> 00:44:07.820]   It's not it's not at all kippel yet of being an independent device
[00:44:10.380 --> 00:44:14.860]   Uh, it is selling well apple claim to be the biggest watchmaker in the world at the event
[00:44:14.860 --> 00:44:16.700]   um
[00:44:16.700 --> 00:44:19.980]   And uh according to a horist eddie who did the math
[00:44:19.980 --> 00:44:24.460]   Um, he believes that in fact, uh apple
[00:44:24.460 --> 00:44:32.460]   The he says apple sold okay, so let me give you the numbers rolex which is number two sold a million watches a year
[00:44:32.460 --> 00:44:38.300]   Uh rolex had sales of 4.7 billion last year that means about $4,700 a watch
[00:44:39.020 --> 00:44:42.620]   About right for rolex. That's the cheap rolex my estimate
[00:44:42.620 --> 00:44:50.860]   According to horus has been that apple sold about 15 million watches in the last 12 months at an average price of $330 that puts their
[00:44:50.860 --> 00:44:55.260]   revenue at 4.9 billion indeed 200 million higher
[00:44:55.260 --> 00:44:58.140]   Then rolex it also fits with apples
[00:44:58.140 --> 00:45:04.220]   Quote that their sales increased 50 that would have been from a roughly 2 million in q2
[00:45:04.220 --> 00:45:06.060]   to uh
[00:45:06.060 --> 00:45:08.060]   2016 to 3 million in q2
[00:45:08.780 --> 00:45:10.700]   2017
