;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[00:32:27.400 --> 00:32:32.920]   But he was much more offended by the olafs that kept coming over to try to hug him that really
[00:32:32.920 --> 00:32:37.400]   We're so bad at this that we will like we will have protests over a mass
[00:32:37.400 --> 00:32:41.000]   But nobody protests having to wear like a pants or forcing women to wear shirts
[00:32:41.000 --> 00:32:43.640]   That's not draconian, but there's masking that's terrible
[00:32:43.640 --> 00:32:46.600]   Not like just how why are we justify the puretanic wisdom in our heads?
[00:32:46.600 --> 00:32:52.840]   No, and I have to say we uh, we don't have a lot of swear words on her podcast because we don't want an explicit tag
[00:32:52.840 --> 00:32:56.840]   It's not because of apple. It's because early on was told by a number of parents
[00:32:56.840 --> 00:33:01.960]   I want to a I listen to show loud in the house. I don't want to I don't want to have stray
[00:33:02.360 --> 00:33:06.280]   Explatives and be I I want my kid to be able to listen to it
[00:33:06.280 --> 00:33:08.040]   And I want kids to be able to listen to it because I think we
[00:33:08.040 --> 00:33:11.880]   On on the shows less so with the news shows, but the help and how to shows
[00:33:11.880 --> 00:33:15.400]   I think kids should be exposed to technology and if they're interested
[00:33:15.400 --> 00:33:18.760]   You parents shouldn't say oh, I can't like you listen to that
[00:33:18.760 --> 00:33:22.520]   And I don't feel like it adds anything to have expletives on the other hand
[00:33:22.520 --> 00:33:24.520]   I got I have no problem with expletives
[00:33:24.520 --> 00:33:29.080]   In fact now that I know that call her daddy is worth $20 million a year
[00:33:29.800 --> 00:33:32.200]   $1,000 in episode rewriting the code of conduct right now
[00:33:32.200 --> 00:33:37.800]   It's ex-plative it is she swears every third word and it's like oh, I get it. Okay. It's allowed
[00:33:37.800 --> 00:33:43.960]   So it's not it's not something that scares scare people away. It's cool. It's great. It's great because it's your choice
[00:33:43.960 --> 00:33:50.600]   Uh, it would be bad if you're you're not able to put out a podcast exactly my and that's that's right
[00:33:50.600 --> 00:33:54.440]   I I again. I do see apples decision here
[00:33:54.440 --> 00:33:59.000]   Uh, the problem is at scale when this is the only place where you can get apps from so
[00:33:59.240 --> 00:34:02.280]   And where apps are considered to be creative content
[00:34:02.280 --> 00:34:05.720]   Not just simply a functional thing that helps you to to hail a cab
[00:34:05.720 --> 00:34:09.560]   I think that becomes a potential problem on society
[00:34:09.560 --> 00:34:13.000]   When again the one place you can go to to get apps for
[00:34:13.000 --> 00:34:20.120]   One of the most popular and influential phones in the world will say that there is at least imply that there is something about nudity
[00:34:20.120 --> 00:34:28.440]   That is other. Yeah, and we don't and please kids continue to think of nudity as something other than as well in politics too
[00:34:28.440 --> 00:34:32.760]   I mean, uh, they they have all the it's in the app store has a lot of
[00:34:32.760 --> 00:34:41.240]   Interesting and I think somewhat antiquated points of view and they and the thing about apple is they have no problem with saying
[00:34:41.240 --> 00:34:45.320]   This is our point of view and this is this is how we're going to do it
[00:34:45.320 --> 00:34:52.280]   And and I do think that one of the reasons that the house and senate have just introduced bills jointly
[00:34:52.280 --> 00:34:55.240]   Uh saying you're going to have to open your app store
[00:34:56.040 --> 00:35:02.520]   Um is because of this a little bit this this sense that apple is a little draconian and it's controls over this
[00:35:02.520 --> 00:35:07.480]   What do you think of that of that bill the senate was dick bloomin thall marsha blackburn?
[00:35:07.480 --> 00:35:09.880]   Amy clomatore
[00:35:09.880 --> 00:35:15.720]   But what's interesting is after the senate introduced that bill the house on friday introduced a similar bill
[00:35:15.720 --> 00:35:19.080]   Um, I don't know what the chances are obviously
[00:35:19.080 --> 00:35:25.400]   Appling obviously apple and google are not filling the coffers of the kind campaigns enough paying the right people are they
[00:35:25.400 --> 00:35:30.520]   Not paying the rent because because the thing is if they if they were paying the rent we they would be treated like the cable industry
[00:35:30.520 --> 00:35:32.920]   That is allowed to to basically have
[00:35:32.920 --> 00:35:35.720]   Monopolies everywhere that actually affect
[00:35:35.720 --> 00:35:42.600]   Communities actually affect individuals the reason people now figure out where they're going to go now that we're all moving out of the cities
[00:35:42.600 --> 00:35:44.840]   They're all looking for where is their fiber?
[00:35:44.840 --> 00:35:47.800]   Where is their connection and the reason that we don't have good connections?
[00:35:47.800 --> 00:35:54.920]   Everywhere is because congress protects the telecommunications. Yeah, you know and and the thing is that's really true. Yeah
[00:35:55.400 --> 00:36:02.520]   We're fiddling around with this little problem compared to the fact that it is it affected our our students all last year
[00:36:02.520 --> 00:36:09.000]   It affected employees all last year. You know, we were brutalized by the fact that that cable companies are allowed to
[00:36:09.000 --> 00:36:13.400]   Basically not provide pole access. This fix is not expensive
[00:36:13.400 --> 00:36:19.160]   It is literally passing laws and congress won't do it because the cable companies give them so much money
[00:36:19.160 --> 00:36:24.520]   You know and so let's be clear. I know that 67 million dollars in telecom lobbying
[00:36:25.320 --> 00:36:30.120]   In 2019 from just Comcast a dizzy and Verizon this is corruption
[00:36:30.120 --> 00:36:36.120]   Yeah, like it is. I'm you know, we got to stop talking about little little countries and people getting paid and everything else
[00:36:36.120 --> 00:36:38.200]   This is bold face corruption
[00:36:38.200 --> 00:36:45.880]   People should stop taking money from the telecom companies because it is it is impacting every one of us day after day after day
[00:36:45.880 --> 00:36:50.360]   Because we would have one gig up and down we'd have fiber to every house if there was competition
[00:36:50.680 --> 00:36:55.400]   You know and the thing is so we as you know, but instead we're going to pay attention to something that is
[00:36:55.400 --> 00:37:00.120]   You know without a law and completely the reason that they're going down the legal and let's be clear
[00:37:00.120 --> 00:37:02.840]   These laws are being written by lobbyists
[00:37:02.840 --> 00:37:07.000]   This is not a fight of the little guy because the little guys aren't paying that percentage
[00:37:07.000 --> 00:37:13.160]   This is a fight of of big companies and their lobbyists writing laws with these lawmakers
[00:37:13.160 --> 00:37:16.120]   This is these are rich companies that want to pay less
[00:37:16.120 --> 00:37:19.400]   You know, this is that's what this fight is that's that's who's driving this fight
[00:37:19.880 --> 00:37:24.600]   You know, this is this is all being driven by a bunch of other rich companies that want to get richer
[00:37:24.600 --> 00:37:27.640]   And they want to force it and the in the people that are going to pay for this law
[00:37:27.640 --> 00:37:31.880]   Are going to be the individuals because as soon as they do the sideloading all these companies are going to say
[00:37:31.880 --> 00:37:35.160]   Well, the only way you can have our app is the sideload like it's not going to be this
[00:37:35.160 --> 00:37:39.080]   You know, we have to understand as users. This is going to affect us. Yes, sure
[00:37:39.080 --> 00:37:43.400]   The developers will have more freedom. The users will have less freedom
[00:37:43.400 --> 00:37:48.040]   We're going to be forced to sideload if we want to have some kind of content
[00:37:48.200 --> 00:37:51.320]   We're going to be forced to give up our email. We're going to be forced to do so
[00:37:51.320 --> 00:37:53.320]   I don't get that
[00:37:53.320 --> 00:37:55.240]   That's because I don't get what you're saying there
[00:37:55.240 --> 00:37:55.800]   How quickly
[00:37:55.800 --> 00:37:57.720]   Look for now right now
[00:37:57.720 --> 00:38:04.120]   If I want because apple has opened it up and allowed netflix to have people not buy through apple
[00:38:04.120 --> 00:38:07.560]   You know, so now I have to go in and I have to give him my email and I have to log in
[00:38:07.560 --> 00:38:11.800]   I have to go to the web page and do all those things that's inconvenient for me as a user
[00:38:11.800 --> 00:38:14.520]   You know and and and what will happen is is that
[00:38:15.080 --> 00:38:17.240]   There'll be companies like I don't know if it'll be netflix
[00:38:17.240 --> 00:38:20.760]   But there'll be companies that say well, I'm only going to provide this service on you know
[00:38:20.760 --> 00:38:22.440]   It's a it'll be a really cool service
[00:38:22.440 --> 00:38:26.040]   But you'll have to sideload to have it, you know because I'm not going to put it in the app store
[00:38:26.040 --> 00:38:32.200]   You know and so now as a user, I'm not going to have that so the thing is is that we are going to have it now
[00:38:32.200 --> 00:38:34.840]   No, no, there there'll be apps that don't know
[00:38:34.840 --> 00:38:40.440]   It'll be clear people are going to pull apps out of the like huge numbers of apps will come out of the app store to be to be
[00:38:40.440 --> 00:38:43.080]   To be sideloaded so you know because
[00:38:43.080 --> 00:38:44.440]   I don't think that's going to happen
[00:38:44.440 --> 00:38:48.600]   Netflix is going to have an apple official app that you'll have to go out of it to
[00:38:48.600 --> 00:38:52.520]   To buy it and they'll have maybe they'll offer a sideload app
[00:38:52.520 --> 00:38:56.120]   No, no, it's we're not talking about netflix. We're talking about lots of developers a little guys
[00:38:56.120 --> 00:38:58.760]   Well and medium sized guys
[00:38:58.760 --> 00:39:01.560]   Alex that these companies
[00:39:01.560 --> 00:39:04.360]   But we as users have rights to we have rights
[00:39:04.360 --> 00:39:10.120]   We have rights to not have to do that to unsecure our app because we but now the thing is is that we as users
[00:39:10.600 --> 00:39:13.800]   Should be allowed to you know have the the experience that we paid for
[00:39:13.800 --> 00:39:18.440]   You know, this is you know, this is a you know, we as users should have it be easy and secure
[00:39:18.440 --> 00:39:22.600]   I don't know there's only one example on android that I know of of that
[00:39:22.600 --> 00:39:29.080]   Which is epic with fortnite and it went so poorly that they that they abandoned that but they blame google for that
[00:39:29.080 --> 00:39:30.120]   Well, yeah, right
[00:39:30.120 --> 00:39:34.040]   But so google which does have a switch and I suspect this is going to be what apple will end up doing
[00:39:34.040 --> 00:39:38.040]   If they if these bills are made law is they'll have a switch
[00:39:38.440 --> 00:39:43.800]   Just like google does in the settings. It says allow third party app stores apple will have just as google does
[00:39:43.800 --> 00:39:48.760]   Expensive warnings like gatekeeper saying oh my god. You're crazy
[00:39:48.760 --> 00:39:53.240]   You shouldn't be doing this it's going to be hazardous. You sure you want to do this and you say yes
[00:39:53.240 --> 00:39:54.600]   I'm sure
[00:39:54.600 --> 00:40:00.280]   Uh and just like google most apps will still be in the main store because most people won't ever turn that on
[00:40:00.280 --> 00:40:03.720]   And now i solve the problem and i don't see it i don't see that
[00:40:03.720 --> 00:40:06.920]   The most installed
[00:40:07.000 --> 00:40:11.320]   Yeah, it won't it won't solve the problem, but it will at least address the problem by saying okay fine
[00:40:11.320 --> 00:40:18.200]   We give you will give you the option we're done and apple doesn't apple doesn't even necessarily have to give it equal parity with the app store
[00:40:18.200 --> 00:40:21.640]   They can do it they can do a thing where i've always loved the way that
[00:40:21.640 --> 00:40:27.320]   Android lets you turn on developer features. Yeah, there's no there's no there's no if you haven't seen this
[00:40:27.320 --> 00:40:31.320]   It's not that there is like you go into settings and developer features switch it on
[00:40:31.400 --> 00:40:37.480]   It's like go you go to the about page and you tap the like the legalese like seven times and five times
[00:40:37.480 --> 00:40:42.600]   It says okay two more times and you'll turn on developer features because they figure that if you know this trick
[00:40:42.600 --> 00:40:47.480]   Then you know what the repercussions are and it's easy to find it's right kind of
[00:40:47.480 --> 00:40:51.720]   Yeah, right, but it's not like apple would do something like that
[00:40:51.720 --> 00:40:56.040]   But they would bury it deep enough so that it's findable if you want it if you don't want it
[00:40:56.040 --> 00:40:56.840]   It won't but
[00:40:56.840 --> 00:41:00.760]   But what's contention is that companies are going to say oh good
[00:41:00.760 --> 00:41:04.840]   I can sideload let me pull my main app out of the app store and just
[00:41:04.840 --> 00:41:07.720]   Disney but that didn't happen on
[00:41:07.720 --> 00:41:10.120]   Android that did not but if they if they force
[00:41:10.120 --> 00:41:14.360]   I this one this isn't going to be like oh you can do it the way google does it what they're talking about
[00:41:14.360 --> 00:41:18.920]   Is really forcing you to have parity you know like to that you have to have access because I think that
[00:41:18.920 --> 00:41:22.920]   If you're not part of the app store you shouldn't get to use xcode
[00:41:23.240 --> 00:41:28.440]   Like literally, you know like that's a that's something that's available for that is a that is a that is a code
[00:41:28.440 --> 00:41:30.280]   That is a code. Well, you don't have to use xcode
[00:41:30.280 --> 00:41:33.160]   You can use dart and flutter and you can make a cross platform app
[00:41:33.160 --> 00:41:37.080]   Make a make a command lineup. That's gonna be just as good. Yep. That's great
[00:41:37.080 --> 00:41:39.320]   You know, so the thing is is that apple
[00:41:39.320 --> 00:41:44.440]   But no libraries no no xcode that's gonna be the biggest issue is api access
[00:41:44.440 --> 00:41:46.920]   And I don't know if lawmakers will talk about that
[00:41:46.920 --> 00:41:47.880]   That's being
[00:41:47.880 --> 00:41:50.920]   But the lobbyists will push for it because that's because otherwise it's worthless
[00:41:51.000 --> 00:41:54.280]   You know and so and so if they do that, you know, it's fine. I think also
[00:41:54.280 --> 00:41:57.240]   We as users need to seriously think about
[00:41:57.240 --> 00:42:02.200]   Basically building a a community that is the you know that'll defend ourselves
[00:42:02.200 --> 00:42:07.000]   So so the thing is is that you know what made the nra powerful was not
[00:42:07.000 --> 00:42:11.640]   Money it was people, you know and if we start to i think we need to start organizing
[00:42:11.640 --> 00:42:16.680]   And making sure that companies know that when they start affecting us and and our representatives know
[00:42:16.680 --> 00:42:19.560]   When they start affecting us we can act in unison
[00:42:19.560 --> 00:42:23.160]   I think i have a hard time getting a majority to say oh, this is a terrible bill
[00:42:23.160 --> 00:42:25.560]   You're not I don't need to get a major you don't need to get a
[00:42:25.560 --> 00:42:29.080]   You don't need to get you don't need to turn 10
[00:42:29.080 --> 00:42:33.400]   Like the biggest is that 10 people, you know, with the way that congress works. They're not gonna
[00:42:33.400 --> 00:42:35.800]   This is not gonna be a unanimous
[00:42:35.800 --> 00:42:39.080]   The unanimous thing you just need to just make it painful. You just pick and you don't you know
[00:42:39.080 --> 00:42:41.000]   All you do I mean let's look we don't want to get it
[00:42:41.000 --> 00:42:41.880]   But
[00:42:41.880 --> 00:42:45.240]   All you need to do is you pick the weakest ones and you make sure they don't get elected next
[00:42:45.400 --> 00:42:49.800]   You know you you pick off the weakest ones in the flock and you get and you pound them into the ground
[00:42:49.800 --> 00:42:51.880]   I don't think you're gonna be able to get a
[00:42:51.880 --> 00:42:53.800]   Strong enough lobby to do the show
[00:42:53.800 --> 00:42:55.080]   No, no
[00:42:55.080 --> 00:42:59.960]   Note for show title pick up the weakest ones and pound them into the ground and credit alix with that quote
[00:42:59.960 --> 00:43:01.400]   Please
[00:43:01.400 --> 00:43:06.840]   Well, already he's already got the title so far with uh, i'm uh ducking mad so I think we uh
[00:43:06.840 --> 00:43:09.720]   We we might have a double alix title
[00:43:09.720 --> 00:43:15.320]   It's alix. So thank you. Oh, he's talking about audio like I agree that I think it's two is the idea of having off ducking
[00:43:15.880 --> 00:43:20.280]   Above above audio like you know the thing is is that is that is that again email?
[00:43:20.280 --> 00:43:23.880]   I mean people calling you know the reasons so I agree it works
[00:43:23.880 --> 00:43:30.360]   But I don't know if you're gonna get a consensus around that because I think there's an equal number of people who say yeah epics right
[00:43:30.360 --> 00:43:33.480]   Apple should open the app store. I think spot
[00:43:33.480 --> 00:43:35.560]   You know remember the you've got some heavy-duty
[00:43:35.560 --> 00:43:38.680]   Hitters on the other side of this including spotify
[00:43:38.680 --> 00:43:43.000]   Uh and epic and they're gonna pump money into congress as well by the way
[00:43:43.000 --> 00:43:50.760]   Uh, this is gonna be one that complains and sues apple for not providing a device that they never use then and stop using right
[00:43:50.760 --> 00:43:54.760]   They're pathetic, but they might I'm dropping my I'm getting rid of my spotify. They might have
[00:43:54.760 --> 00:43:58.840]   Yeah, so you can see how that's consumer boycott's gonna really change spotify
[00:43:58.840 --> 00:44:07.000]   I think it's gonna be hard you're gonna be hard to build an NRA style lobbying organization around this
[00:44:07.000 --> 00:44:11.160]   They give all their money to call our daddy. They can't fit them anymore. They have good. They got no money left
[00:44:11.800 --> 00:44:13.480]   uh
[00:44:13.480 --> 00:44:14.760]   You know
[00:44:14.760 --> 00:44:21.480]   It'll be interesting to see I agree that it's it's a it's a burden on apple because you really have to think about how how would we do this
[00:44:21.480 --> 00:44:29.240]   Um, I don't know if there's any chance this will pass. We've actually gone back and forth on this now that it's both in the house and senate
[00:44:29.240 --> 00:44:31.400]   I don't know
[00:44:31.400 --> 00:44:35.800]   Yeah, and my my own personal dogma speaking of dogma is that
[00:44:35.800 --> 00:44:39.000]   If you're gonna have an imperfect solution either way
[00:44:39.560 --> 00:44:44.680]   Be prejudiced towards a solution that gives people more options and more freedom and then deal with it after that's developers getting
[00:44:44.680 --> 00:44:51.960]   I don't see why you think people get free options as well and and also and by the way developers are people too
[00:44:51.960 --> 00:44:56.680]   Yeah, okay, the number of times I talked to developers who are like I can't believe the latest piece of bs
[00:44:56.680 --> 00:45:02.280]   That I have to go through with apple to just get my stupid app actually running and that's the thing think about how much
[00:45:02.280 --> 00:45:04.040]   I can't believe that
[00:45:04.040 --> 00:45:06.840]   I can't believe that I can't believe that I dossed that was okay
[00:45:07.400 --> 00:45:11.960]   Once but then was not okay, but then was okay again, but now was not okay again
[00:45:11.960 --> 00:45:17.960]   I'm saying that i'm yeah, I mean apple has to add I believe that the the one
[00:45:17.960 --> 00:45:24.440]   100 good of this is that apple has to defend these policies
[00:45:24.440 --> 00:45:31.320]   They can't just say we're just making the best choice for our our users and our developers you're welcome
[00:45:32.040 --> 00:45:37.560]   Next next topic. Yes, but what about next topics. They're welcome. There's actually a right now a problem
[00:45:37.560 --> 00:45:42.760]   There's a keyboard iFON keyboard design for blind users called flick type that is abandoned
[00:45:42.760 --> 00:45:47.720]   iOS to the detriment of blind users because they said apple
[00:45:47.720 --> 00:45:51.080]   Is is not responding to our
[00:45:51.080 --> 00:45:59.480]   Issues they blocked it from the store apple rejected the apple according to the developer arguing the keyboard quote doesn't work without full access
[00:46:00.840 --> 00:46:02.840]   um
[00:46:02.840 --> 00:46:08.920]   He's he'd appealed at once before three years ago. He's appealed again now the developer says well. It's just I can't
[00:46:08.920 --> 00:46:15.800]   Yeah, I can't no literally that that's that's what I keep hearing from so many developers not just blah blah blah
[00:46:15.800 --> 00:46:17.640]   It's I just can't anymore
[00:46:17.640 --> 00:46:22.360]   It's it's like the end it's like the end of a relationship that you try to keep going for years
[00:46:22.360 --> 00:46:27.800]   Because you like this entity and you want to continue, but it's like at this point. I'm I'm done
[00:46:27.800 --> 00:46:31.080]   Here's the here's the here's the tweet it is with a heavy heart today
[00:46:31.080 --> 00:46:40.040]   That we're announcing the discontinuation of our award-winning iFON keyboard for blind users apple has thrown us obstacle after obstacle for years
[00:46:40.040 --> 00:46:45.320]   While we try to provide an app that improves people's lives and we can no longer endure the abuse
[00:46:45.320 --> 00:46:50.840]   Hmm now now maybe if you tell me maybe there's something else going on okay
[00:46:50.840 --> 00:46:57.780]   but um, you know, maybe there's a reason apple is just a tweet and like if it's a tweet how does there nobody at apple who's
[00:46:57.780 --> 00:47:01.940]   Responding to this instantaneously and saying look we're gonna get like we have Phil on the phone
[00:47:01.940 --> 00:47:08.020]   We're gonna fix this right now. Can't believe that doesn't look good. It's an accessibility. It's a cno app. Yeah
[00:47:08.020 --> 00:47:10.500]   Um
[00:47:10.500 --> 00:47:16.340]   They last week we submitted an update that fixes various iOS 15 related issues and improves the app for voiceover users
[00:47:16.340 --> 00:47:20.180]   No new features just improvements no changes to our app store page either
[00:47:20.180 --> 00:47:24.820]   We're very excited to get this out the door to the hands of our users, but apple rejected it
[00:47:24.820 --> 00:47:26.820]   They incorrectly argue again
[00:47:26.820 --> 00:47:33.220]   That our keyboard extension doesn't work without full access something they rejected us for three years ago back then we successfully
[00:47:33.220 --> 00:47:37.700]   Appealed and overturned the decision and this hasn't been a problem since until now
[00:47:37.700 --> 00:47:43.220]   Maybe this you know, I suspect what will happen is there will be a response from apple in a day or so saying oh that was a mistake
[00:47:43.220 --> 00:47:44.580]   We'll fix that
[00:47:44.580 --> 00:47:51.060]   Yeah, this developer just doesn't under we'll explain it again because he's dumb developers don't understand why these features are we understand
[00:47:51.220 --> 00:47:55.940]   We're a apple. We know everything you guys are just idiots. Well, we'll dumb it down for you again
[00:47:55.940 --> 00:47:57.060]   You're welcome
[00:47:57.060 --> 00:48:01.940]   The keyboard API has not been developed very like it's barely used and not been developed like apple does this
[00:48:01.940 --> 00:48:05.700]   We remember they're like one engineer on the remote app right and yet something else to do for three years
[00:48:05.700 --> 00:48:10.260]   And this seems like one of those things where they the analysis is part of all the features the extended
[00:48:10.260 --> 00:48:15.620]   Instability features of iOS 8 and this has gotten like almost no attention since then and it's barely used anymore
[00:48:15.620 --> 00:48:20.580]   But this app depends on it and you have it live in the field and I get so frustrated our rejection history
[00:48:20.580 --> 00:48:25.700]   He writes already spans more than 40 pages filled with repeated unwarranted and unreasonable rejections
[00:48:25.700 --> 00:48:31.140]   That served to frustrate and delay rather than benefit end users and dealing with app review isn't just time consuming
[00:48:31.140 --> 00:48:33.380]   It's also very emotionally draining
[00:48:33.380 --> 00:48:39.620]   And this is entirely separate from the technical side where apple's third party keyboard apis are quite frankly terrible
[00:48:39.620 --> 00:48:44.020]   Since 2014 keyboard api has been buggy and consistent and ever changing and broken
[00:48:44.020 --> 00:48:47.460]   Particularly when it comes to accessibility features like direct touch
[00:48:48.100 --> 00:48:51.140]   So a third party app store might be a good solution for somebody like this
[00:48:51.140 --> 00:48:58.740]   Sure unclear because it's unclear how many resources they'd have would work ability they'd have to support to maintain it
[00:48:58.740 --> 00:49:01.700]   But
[00:49:01.700 --> 00:49:05.860]   This is another problem and i've talked to people at apple and at google and at youtube about this
[00:49:05.860 --> 00:49:08.900]   And like I wish all of them just say it's a big data problem
[00:49:08.900 --> 00:49:14.820]   There's so much user generated content coming in all the time that we are going to have some apps that are scams that are approved
[00:49:15.140 --> 00:49:18.180]   Or some videos that are scams that are approved and some that are legitimate
[00:49:18.180 --> 00:49:22.740]   Accounts that are flagged false flag then removed and we just try to maintain that balance
[00:49:22.740 --> 00:49:28.020]   But there's really human beings on both sides of those extremes where and that just can't be the answer
[00:49:28.020 --> 00:49:30.580]   I don't know what the answer is because you're dealing with
[00:49:30.580 --> 00:49:32.580]   thousands if not millions if not billions of
[00:49:32.580 --> 00:49:38.420]   Things to go through all the time, but it's not working for these part part of the problem is that I
[00:49:38.420 --> 00:49:42.900]   Don't think it's necessarily one of arrogance or one of stupidity or lack of thinking
[00:49:43.140 --> 00:49:48.260]   I think that a lot of companies twitter included are in the position where look when we started this
[00:49:48.260 --> 00:49:55.140]   All we wanted to do was allow people allow developers to create games and nace utilities to extend the functionality of the iphone
[00:49:55.140 --> 00:49:57.620]   We did not anticipate that in 2021
[00:49:57.620 --> 00:50:00.980]   We would be the gatekeepers to one of the most important
[00:50:00.980 --> 00:50:10.260]   Cultural access devices on the planet and we didn't design this ecosystem to allow us to be the cultural gatekeepers
[00:50:10.420 --> 00:50:15.780]   We don't want to be the cultural gatekeepers and so please don't make us make changes that we
[00:50:15.780 --> 00:50:19.620]   Are going to make things of that moment. I understand scaling is a challenge
[00:50:19.620 --> 00:50:24.020]   But then if you can't scale something like the app store review process
[00:50:24.020 --> 00:50:28.260]   And you need to rethink it also your two trillion dollar company you have resources
[00:50:28.260 --> 00:50:32.020]   You're building cars that you don't do you have no announcement of selling you can do this
[00:50:32.020 --> 00:50:37.140]   Don't tell us that you can't it's a question of do you want to well and and I think everyone as soon as the
[00:50:37.140 --> 00:50:40.020]   Finding the right people is an unlimited resource and it's not
[00:50:40.420 --> 00:50:43.220]   You know like finding the right people to look through it that are technically capable
[00:50:43.220 --> 00:50:47.140]   My point is not you can have a lot of money, but it doesn't necessarily scale got it
[00:50:47.140 --> 00:50:51.780]   So maybe we need a new model because you have to scale because you're that big now
[00:50:51.780 --> 00:50:56.660]   You don't you don't have to skip like you don't have to you know like you you can just say we're gonna go as fast as we're gonna go
[00:50:56.660 --> 00:50:59.780]   You know, I guess that's what happens chosen. It's like well. This doesn't scale
[00:50:59.780 --> 00:51:03.620]   So too bad. We're just gonna make mistakes. What can you do?
[00:51:03.620 --> 00:51:06.420]   And if you don't like it there's a whole nother platform that is equally
[00:51:06.980 --> 00:51:12.900]   Much larger than the apple platform that worldwide it is a much is a majority if you don't like the way apple's doing it
[00:51:12.900 --> 00:51:16.420]   Go somewhere else, you know like it doesn't apple doesn't have to do this
[00:51:16.420 --> 00:51:21.540]   Like you know, they don't they shouldn't have to do it is it is something that these companies all these little companies
[00:51:21.540 --> 00:51:23.540]   They wouldn't exist without them, you know
[00:51:23.540 --> 00:51:31.220]   It is it is arrogant a lot of these companies a lot of these companies existed without the app store before the
[00:51:31.860 --> 00:51:36.660]   But the vast majority of the like facebook would not be nearly what it is today without without a phone
[00:51:36.660 --> 00:51:40.180]   You know like it, you know, it was it was a little it's it's not nearly
[00:51:40.180 --> 00:51:45.460]   You know, and so the thing is is that they wouldn't be the same size that they are now if many of them wouldn't exist
[00:51:45.460 --> 00:51:48.420]   You know like there's many there's many
[00:51:48.420 --> 00:51:53.140]   Arments complaint though is that apple acts as if we add no value. Yes
[00:51:53.140 --> 00:51:58.420]   Apple acts as if these apps you you know, we're the we're the you know, we're the
[00:51:59.300 --> 00:52:01.300]   Load star for everything and
[00:52:01.300 --> 00:52:06.420]   We just allow you to use our platform for your apps, but you don't add any value really
[00:52:06.420 --> 00:52:10.340]   Well, I don't think wwc would exist if they didn't they didn't any bad add any value
[00:52:10.340 --> 00:52:16.740]   You know like it like the apple spends apple has a massive team that is there to support developers, you know
[00:52:16.740 --> 00:52:22.740]   To to make sure that they're they're successful. I mean i've interacted with that. Is it multiple times? Is it possible that apple
[00:52:23.940 --> 00:52:32.660]   With its shift to looking at services as a revenue generator has become too dependent on app store revenue and is as a result
[00:52:32.660 --> 00:52:34.820]   very unwilling to change things because
[00:52:34.820 --> 00:52:37.540]   Now this is a big part of their bottom line
[00:52:37.540 --> 00:52:40.740]   It's definitely got to be a factor and absolutely
[00:52:40.740 --> 00:52:46.020]   Yeah, I mean, but uh, there's a better there's a better model for apple
[00:52:46.020 --> 00:52:48.980]   It's not necessarily better for the developers, which is to go
[00:52:49.620 --> 00:52:54.740]   Down the art the apple arcade route, which is we're just gonna pay developers and people pay a subscription
[00:52:54.740 --> 00:53:00.580]   I mean like so developers should should be careful about how hard they make how hard they make this for apple because that's an interesting idea
[00:53:00.580 --> 00:53:02.900]   Just apple basically owns everything
[00:53:02.900 --> 00:53:09.060]   Apple to start, you know like if you look at like kingdom rush has that they have kingdom rush, which is what my favorite game and
[00:53:09.060 --> 00:53:14.500]   Uh, then they have a kingdom rush now that they built for apple that was paid for by apple
[00:53:14.500 --> 00:53:18.260]   And and put into the apple arcade, you know, and so
[00:53:19.300 --> 00:53:25.220]   So, you know, and I think that you know so apple is experimenting with with a with a model that could work in many places
[00:53:25.220 --> 00:53:29.060]   You know and so you know you could end up with apple just saying well
[00:53:29.060 --> 00:53:34.020]   You could just pay a subscription and these are the apps that we start developing and they don't have to get rid of the app store
[00:53:34.020 --> 00:53:39.140]   But you could start, you know, if if this becomes really complicated apple could just have something that you're just
[00:53:39.140 --> 00:53:43.220]   Putting stuff into the subscription apple boutique and then the flea market off to the side
[00:53:43.220 --> 00:53:44.180]   Yep
[00:53:44.180 --> 00:53:45.620]   Oh, that's a really interesting idea
[00:53:45.620 --> 00:53:50.820]   That's a great idea and most people would just go with arcade with an arcade style app store
[00:53:50.820 --> 00:53:55.060]   Oh, yeah, most people never stayed at least there be an opportunity
[00:53:55.060 --> 00:53:56.980]   Uh
[00:53:56.980 --> 00:53:58.980]   a sideload opportunity
[00:53:58.980 --> 00:54:03.540]   I don't know. I don't I don't is that a bad keep that's the math right? It's like gatekeeper on the
[00:54:03.540 --> 00:54:05.380]   Gatekeeper and you say it'd be well
[00:54:05.380 --> 00:54:09.620]   I mean it'd be it'd be horrible for independent developers because it'd just be hard to get you know
[00:54:09.620 --> 00:54:15.060]   It's hard to get critical mass again, you know, if you're you know, the thing is is that if you're a certain size company
[00:54:15.060 --> 00:54:19.060]   You know, I can you can talk about sideloading and everything else as an independent developer
[00:54:19.060 --> 00:54:24.420]   The fact that you can download a free app get help put it together on your own
