;FFMETADATA1
album=MacBreak Weekly October 2007
artist=Leo Laporte, Scott Bourne, Andy Ihnatko, and John Siracusa
comment=http://twit.tv/mbw64
genre=Podcast
title=MacBreak Weekly 64: Hello Leopard
date=2007

[00:00:00.000 --> 00:00:06.120]   Netcast you love.
[00:17:27.320 --> 00:17:31.800]   FS events is simply a way to efficiently provide that answer without having to grow up over
[00:17:31.800 --> 00:17:32.800]   your entire hard drive.
[00:17:32.800 --> 00:17:33.800]   And what are the benefits?
[00:17:33.800 --> 00:17:34.800]   Well, obviously the benefits.
[00:17:34.800 --> 00:17:35.800]   Where are we seeing this?
[00:17:35.800 --> 00:17:36.800]   Is this one of the...
[00:17:36.800 --> 00:17:38.440]   I mean, I noticed Spotlight is much faster.
[00:17:38.440 --> 00:17:40.240]   Is this one of the reasons Spotlight is so much easier?
[00:17:40.240 --> 00:17:42.480]   No, Spotlight is faster because they rewrote parts of it.
[00:17:42.480 --> 00:17:44.200]   They really needed to rewrite Spotlight.
[00:17:44.200 --> 00:17:46.880]   I actually turned it off in Tiger and I know he's in that.
[00:17:46.880 --> 00:17:47.880]   It was such a huge difference.
[00:17:47.880 --> 00:17:50.880]   Spotlight uses essentially the fire hose version of the FS events.
[00:17:50.880 --> 00:17:54.960]   FS events is a public API that gives you sort of a less granular answer.
[00:17:54.960 --> 00:17:59.760]   Spotlight uses the DevS F/F events which gives you every single event as it happens in real
[00:17:59.760 --> 00:18:00.760]   time.
[00:18:00.760 --> 00:18:02.760]   And that's not a public API.
[00:18:02.760 --> 00:18:03.760]   Spotlight is always used.
[00:18:03.760 --> 00:18:06.760]   Spotlight is faster because they rephile the way it does indexing and other things like
[00:18:06.760 --> 00:18:07.760]   that.
[00:18:07.760 --> 00:18:10.880]   But I mean, FS events is for application, people third party application.
[00:18:10.880 --> 00:18:13.480]   Now they can ask this question before they couldn't even ask it.
[00:18:13.480 --> 00:18:14.480]   It was completely unfeasible.
[00:18:14.480 --> 00:18:17.800]   You couldn't do anything at third party application that relied on answer to that question coming
[00:18:17.800 --> 00:18:20.480]   back without destroying the guy this by thrashing to death.
[00:18:20.480 --> 00:18:22.320]   Well, you'd see the beach ball forever.
[00:18:22.320 --> 00:18:23.320]   Yeah.
[00:18:23.320 --> 00:18:25.920]   Now suddenly that's something that you can do and it's efficient.
[00:18:25.920 --> 00:18:29.400]   So it opens up this whole new avenue of interesting things that you can do in application, new
[00:18:29.400 --> 00:18:30.760]   application that you can write.
[00:18:30.760 --> 00:18:35.680]   It's a big deal for developers who never needed to do anything having to do with a
[00:18:35.680 --> 00:18:36.680]   file system.
[00:18:36.680 --> 00:18:37.960]   I asked Apple about ZFS.
[00:18:37.960 --> 00:18:43.160]   This is the Sun file system that was rumored to be, I think it was Sun that announced it
[00:18:43.160 --> 00:18:45.680]   was going to be part of OS 10.
[00:18:45.680 --> 00:18:46.680]   Yeah.
[00:18:46.680 --> 00:18:47.680]   Oops.
[00:18:47.680 --> 00:18:51.160]   Apple told me, well, we do have a plugin that will read ZFS.
[00:18:51.160 --> 00:18:55.840]   There's a developer read write plugin, but it's not going to be one of the choices for
[00:18:55.840 --> 00:18:56.840]   file systems.
[00:18:56.840 --> 00:18:57.840]   You talk a little bit about this.
[00:18:57.840 --> 00:19:01.240]   You think ZFS may be something in the future for Apple?
[00:19:01.240 --> 00:19:06.440]   Well, I mean, the thing that's lurking out there is HFS Plus is old and kind of creaky.
[00:19:06.440 --> 00:19:08.600]   And so, you know, what kind of play is this?
[00:19:08.600 --> 00:19:09.600]   Yeah.
[00:19:09.600 --> 00:19:10.600]   Yeah.
[00:19:10.600 --> 00:19:11.600]   Eventually, I mean, it's not terrible.
[00:19:11.600 --> 00:19:12.600]   It's not the end of the world.
[00:19:12.600 --> 00:19:14.400]   But eventually you got to kind of say, you know, everyone else is moving on.
[00:19:14.400 --> 00:19:16.200]   We still get HFS Plus, what replaces it?
[00:19:16.200 --> 00:19:20.680]   And VFS looks like one of the candidates for a replacement.
[00:19:20.680 --> 00:19:22.600]   You can do a lot of interesting things with VFS.
[00:19:22.600 --> 00:19:23.840]   Provides better data integrity.
[00:19:23.840 --> 00:19:27.640]   You could implement time machine even more efficiently by only backing up the individual
[00:19:27.640 --> 00:19:31.800]   disk blocks that change rather than updating and backing up an entire file in just one
[00:19:31.800 --> 00:19:32.800]   little byte of it changes.
[00:19:32.800 --> 00:19:33.800]   That would do that.
[00:19:33.800 --> 00:19:36.200]   So, all that would be possible with VFS.
[00:19:36.200 --> 00:19:38.640]   But, you know, like I said, it's not for 10.5.
[00:19:38.640 --> 00:19:43.320]   So, the question of what will replace HFS Plus continues to be out there waiting for,
[00:19:43.320 --> 00:19:45.120]   I guess, 10.6.
[00:19:45.120 --> 00:19:48.960]   Time machine, which is the flashiest of the new features, is really backup for mom.
[00:19:48.960 --> 00:19:53.000]   That's not something probably a lot of people will use, particularly since you really want
[00:19:53.000 --> 00:19:58.840]   to buy or somehow acquire a second external hard drive that's even bigger than your internal
[00:19:58.840 --> 00:19:59.840]   hard drive to use it.
[00:19:59.840 --> 00:20:00.840]   Well, that's not necessary.
[00:20:00.840 --> 00:20:01.840]   I'm sorry, go ahead, John.
[00:20:01.840 --> 00:20:03.840]   You think that's not something a lot of people will use?
[00:20:03.840 --> 00:20:06.280]   I think it's the only thing a lot of people.
[00:20:06.280 --> 00:20:07.280]   Really?
[00:20:07.280 --> 00:20:08.280]   People who don't back up.
[00:20:08.280 --> 00:20:10.120]   I mean, I think they're better backup solutions.
[00:20:10.120 --> 00:20:13.680]   Everyone who doesn't back up, I'm assuming, has someone in their life who knows that they
[00:20:13.680 --> 00:20:14.680]   should back up.
[00:20:14.680 --> 00:20:15.680]   Right.
[00:20:15.680 --> 00:20:16.680]   And they find out that they get time to do it.
[00:20:16.680 --> 00:20:21.400]   Now you can back up, just buy a hard drive, plug it into your computer and click OK and
[00:20:21.400 --> 00:20:22.560]   they can do that.
[00:20:22.560 --> 00:20:26.520]   I hate, I mean, I'm the one who's always saying, and that's not really a good backup
[00:20:26.520 --> 00:20:29.320]   because if there's a fire, you've lost everything anyway.
[00:20:29.320 --> 00:20:30.840]   Well, baby steps.
[00:20:30.840 --> 00:20:32.760]   It's, yeah, I guess it's better than no backup.
[00:20:32.760 --> 00:20:33.760]   Much better than no backup.
[00:20:33.760 --> 00:20:38.320]   Yeah, and I turned it on on our family machine because what this is great for is kids who
[00:20:38.320 --> 00:20:43.520]   accidentally delete their homework and they can always go back in time and get it or delete
[00:20:43.520 --> 00:20:45.600]   songs or albums and so forth.
[00:20:45.600 --> 00:20:47.280]   I don't know, Andy, you like it?
[00:20:47.280 --> 00:20:51.680]   I don't like it because I'm probably not the sort of person's up for you.
[00:20:51.680 --> 00:20:52.960]   Time machine is designed for.
[00:20:52.960 --> 00:20:54.240]   I'm exactly with you.
[00:20:54.240 --> 00:21:00.000]   I use super duper and every time I think of a new way that makes more sense to modify
[00:21:00.000 --> 00:21:02.680]   the way I back things up, super duper less than we do it.
[00:21:02.680 --> 00:21:08.320]   Right now, every night, I happen to dock my iPod to my back every single night, you
[00:21:08.320 --> 00:21:10.200]   know, to charge it and to sync it up.
[00:21:10.200 --> 00:21:13.160]   And so I simply said, well, geez, I've got 60 gigs free on that device.
[00:21:13.160 --> 00:21:18.680]   I just simply have it automatically back up all my important files to the iPod because
[00:21:18.680 --> 00:21:21.840]   sometimes my external hardware, the big one, isn't attached.
[00:21:21.840 --> 00:21:26.880]   So essentially the long story short, super duper is making three or four different backups
[00:21:26.880 --> 00:21:29.840]   and three or four different places as the opportunity arises.
[00:21:29.840 --> 00:21:33.080]   And if I forget to plug in my iPod, it doesn't care.
[00:21:33.080 --> 00:21:39.880]   However, time machine, I start to get my head around it when they, if I start to imagine
[00:21:39.880 --> 00:21:44.720]   them calling it I back up because if you imagine it as an I app where iPod was not designed
[00:21:44.720 --> 00:21:48.960]   for people who really know what they're doing, it's designed for people who absolutely can't
[00:21:48.960 --> 00:21:52.760]   be bothered with photography and with editing pictures and it gives them the ability to
[00:21:52.760 --> 00:21:54.400]   do that.
[00:21:54.400 --> 00:21:58.720]   And it turns out that it's a little, it's clunkier, but it is more flexible than the
[00:21:58.720 --> 00:22:01.040]   demos make it believe you can.
[00:22:01.040 --> 00:22:05.080]   If you just want to back up your documents folder, you can just back up your documents
[00:22:05.080 --> 00:22:06.080]   folder.
[00:22:06.080 --> 00:22:10.720]   Like 20 gigs available on an external drive, you can just time machine once one folder
[00:22:10.720 --> 00:22:12.960]   or just one specific account.
[00:22:12.960 --> 00:22:15.120]   You can use network drives.
[00:22:15.120 --> 00:22:19.920]   It really is painful that you can't create a bootable backup like you can with super
[00:22:19.920 --> 00:22:20.920]   duper.
[00:22:20.920 --> 00:22:24.160]   I mean, I've had problems with hard drive before where it's like, look, I know this is
[00:22:24.160 --> 00:22:26.360]   a problem, but I've got a deadline and an hour and a half.
[00:22:26.360 --> 00:22:28.240]   I just want to be word processing again.
[00:22:28.240 --> 00:22:30.800]   Super duper, let's me do that in five minutes with time machine.
[00:22:30.800 --> 00:22:36.040]   I'd have to find where I put my DVD, my install DVD, boot off the DVD and then do a restore
[00:22:36.040 --> 00:22:38.400]   from the DVD and blah, blah, blah, blah, blah.
[00:22:38.400 --> 00:22:43.240]   There's one thing for sure is that it will be the most demoed feature of the left.
[00:22:43.240 --> 00:22:44.400]   It's an awesome demo.
[00:22:44.400 --> 00:22:48.800]   I'm just not sure how many power often I need to rewind and get back a file that I deleted.
[00:22:48.800 --> 00:22:53.840]   I don't think it's aimed at the Andy and not because of the world.
[00:22:53.840 --> 00:22:55.760]   Or me, that's a nice one.
[00:22:55.760 --> 00:22:58.040]   I'm going to end up using super duper and time machine.
[00:22:58.040 --> 00:23:00.600]   Perhaps the way it's the hardest, but the two things are totally different.
[00:23:00.600 --> 00:23:02.520]   I'm a group with you entirely super duper.
[00:23:02.520 --> 00:23:04.600]   I've been using it for a long time now.
[00:23:04.600 --> 00:23:07.680]   It's great for that quick recovery, but on the other hand, it doesn't keep history of
[00:23:07.680 --> 00:23:09.000]   your files and everyone's in a while.
[00:23:09.000 --> 00:23:10.000]   I like that.
[00:23:10.000 --> 00:23:11.000]   Yeah, that's true.
[00:23:11.000 --> 00:23:12.760]   This is for this is for an Fae.
[00:23:12.760 --> 00:23:13.760]   It is for an Fae.
[00:23:13.760 --> 00:23:18.120]   This is for an Fae and for the millions of people who don't back up squat.
[00:23:18.120 --> 00:23:20.600]   And know nothing about it and don't want to care about it.
[00:23:20.600 --> 00:23:26.520]   And I guarantee you many of the initial, I mean, do we remember the first iteration
[00:23:26.520 --> 00:23:27.520]   of backup?
[00:23:27.520 --> 00:23:28.520]   It was horrible.
[00:23:28.520 --> 00:23:29.520]   It's still horrible.
[00:23:29.520 --> 00:23:31.920]   But I mean, it was really horrible.
[00:23:31.920 --> 00:23:33.600]   I like I like backup a lot.
[00:23:33.600 --> 00:23:34.600]   You use it?
[00:23:34.600 --> 00:23:40.400]   I mean, there are nine other people that do can enjoy it, but this is so much better.
[00:23:40.400 --> 00:23:44.280]   Well, I like the idea of simply saying, what do I want to back up?
[00:23:44.280 --> 00:23:45.280]   I want my documents.
[00:23:45.280 --> 00:23:49.960]   I want my iTunes store purchases and I want new photos and dang it with backup.
[00:23:49.960 --> 00:23:54.920]   You can simply say, yes, back up my documents, my iTunes purchases and my new photos.
[00:23:54.920 --> 00:23:56.600]   Not my nude photos, my new photos.
[00:23:56.600 --> 00:23:57.600]   Very much.
[00:23:57.600 --> 00:24:00.760]   Was that got some to do with last week's discussion on modeling fees, Andy?
[00:24:00.760 --> 00:24:03.520]   I could just download those from the used groups, just like everybody else.
[00:24:03.520 --> 00:24:08.840]   But I think backup is, again, it's not an ambitious program, but for what it's designed
[00:24:08.840 --> 00:24:11.320]   to do, I think it does it rather well.
[00:24:11.320 --> 00:24:16.040]   I'm glad that there is a diversity of backup solutions and I'm glad that there is a really
[00:24:16.040 --> 00:24:21.280]   the best features of time machine for me is this is that simple dialogue box that comes
[00:24:21.280 --> 00:24:24.800]   up that says, hi, I notice you've connected up an external hard drive.
[00:24:24.800 --> 00:24:26.960]   Do you want me to use that for backups from now on?
[00:24:26.960 --> 00:24:30.280]   Just click this button and that's the last thing you ever have to do.
[00:24:30.280 --> 00:24:31.280]   I'm waiting.
[00:24:31.280 --> 00:24:32.280]   We'll see.
[00:24:32.280 --> 00:24:36.320]   We're going to hear some pain from this down the road when people realize you, you know,
[00:24:36.320 --> 00:24:39.240]   first of all, it runs out of space pretty quickly.
[00:24:39.240 --> 00:24:42.920]   Well, that doesn't run out of space so much as it simply.
[00:24:42.920 --> 00:24:45.640]   Start deleting the old backups.
[00:24:45.640 --> 00:24:46.640]   Exactly.
[00:24:46.640 --> 00:24:49.560]   You basically, you wanted to time ends at this point.
[00:24:49.560 --> 00:24:50.560]   Please do not go backward.
[00:24:50.560 --> 00:24:51.560]   No, pass.
[00:24:51.560 --> 00:24:52.960]   You know, I just like the old days.
[00:24:52.960 --> 00:24:54.520]   Remember we had the old Bernoulli drives?
[00:24:54.520 --> 00:24:56.560]   I mean, you run out of Ramon.
[00:24:56.560 --> 00:24:57.560]   Any drive.
[00:24:57.560 --> 00:25:01.960]   I love those fries because they really made you feel like you were backing up.
[00:25:01.960 --> 00:25:02.960]   Yes.
[00:25:02.960 --> 00:25:05.920]   It made you feel as though your data was really, really secure.
[00:25:05.920 --> 00:25:09.920]   And they look like those machines in Doctor Strange love, right?
[00:25:09.920 --> 00:25:15.320]   Well, I mean, you know, so time machine is the kind of thing that the unwashed masses
[00:25:15.320 --> 00:25:16.520]   will get excited about.
[00:25:16.520 --> 00:25:17.720]   They will demo.
[00:25:17.720 --> 00:25:19.880]   It might sell some leopards.
[00:25:19.880 --> 00:25:22.600]   What do you think is the feature?
[00:25:22.600 --> 00:25:23.760]   I'll start with you, John Serk.
[00:25:23.760 --> 00:25:28.720]   You said that the advanced user is going to go get most excited about.
[00:25:28.720 --> 00:25:29.720]   How advanced is advanced?
[00:25:29.720 --> 00:25:33.760]   Is it someone who knows anything about the development process or is it just a user?
[00:25:33.760 --> 00:25:37.400]   Let's say power user, then we'll talk about developer.
[00:25:37.400 --> 00:25:38.400]   Power users, too.
[00:25:38.400 --> 00:25:43.360]   I would imagine a power user, if he gets this point in the demo, is going to try connecting
[00:25:43.360 --> 00:25:48.400]   to network servers and find out that it's no longer painfully ballerific.
[00:25:48.400 --> 00:25:52.320]   One thing to do is say, this will change my life on a daily basis.
[00:25:52.320 --> 00:25:56.520]   And for this reason alone, for me, the power user, it's worthwhile for me to get this just
[00:25:56.520 --> 00:25:57.840]   so I don't have to stare at that beach ball.
[00:25:57.840 --> 00:25:58.840]   No.
[00:25:58.840 --> 00:26:02.720]   And when I can open my NAS with one click and see everything that's on it, it just makes
[00:26:02.720 --> 00:26:06.040]   me happy and with cover flow and quick click.
[00:26:06.040 --> 00:26:07.880]   How about you, Annie, the power user?
[00:26:07.880 --> 00:26:11.280]   What power user feature do you think is most exciting?
[00:26:11.280 --> 00:26:13.840]   I really think it's going to be back to my Mac.
[00:26:13.840 --> 00:26:17.720]   Just the simple idea of wherever I am in the world, I can now connect back to my home
[00:26:17.720 --> 00:26:22.080]   Mac because that's a feature that you can exploit in a million different ways.
[00:26:22.080 --> 00:26:26.720]   I can think of so many different automated actions that would have been impossible without
[00:26:26.720 --> 00:26:32.000]   this feature unless I had a static IP address back at home that now.
[00:26:32.000 --> 00:26:38.480]   If I want to suddenly see what's going on in my office, I don't have to download a special
[00:26:38.480 --> 00:26:39.400]   web security app.
[00:26:39.400 --> 00:26:44.800]   I can simply go back to my Mac and then simply write an automated action that simply puts
[00:26:44.800 --> 00:26:47.200]   stuff on a local web server and then access the web server.
[00:26:47.200 --> 00:26:48.200]   Easy.
[00:26:48.200 --> 00:26:51.880]   Or even better, just open up the screen itself and just simply turn on the camera and see
[00:26:51.880 --> 00:26:52.880]   what's in there.
[00:26:52.880 --> 00:26:57.160]   Is it VNC or is it just VNC compatible?
[00:26:57.160 --> 00:26:59.160]   I'm told that it's actual VNC.
[00:26:59.160 --> 00:27:03.000]   I mean, the user's IPsec, that's the many different kinds of VNC.
[00:27:03.000 --> 00:27:06.200]   It does use IPsec and it's inside it's IPV6.
[00:27:06.200 --> 00:27:10.080]   It's, you know, all buzzword compliant, but I'm just wondering because they use the word
[00:27:10.080 --> 00:27:11.080]   VNC.
[00:27:11.080 --> 00:27:13.160]   I was wondering if they use the code from VNC.
[00:27:13.160 --> 00:27:17.320]   Apple does have a list on its website of compatible VNC apps.
[00:27:17.320 --> 00:27:22.600]   So it's not just a leopard-only feature.
[00:27:22.600 --> 00:27:24.680]   It's not even just a Mac-only feature.
[00:27:24.680 --> 00:27:26.840]   It's a standard party kind of work.
[00:27:26.840 --> 00:27:27.840]   Yeah.
[00:27:27.840 --> 00:27:31.360]   And it is a VPN in the sense that you could, because it's IPsec, you could use it as a
[00:27:31.360 --> 00:27:38.480]   secure tunnel back to your Mac at home and surf there securely, which is great.
[00:27:38.480 --> 00:27:40.800]   That's something that also seems sort of odd to me.
[00:27:40.800 --> 00:27:44.640]   That it seemed like as you're developing this feature, you think, well, geez, we're building
[00:27:44.640 --> 00:27:50.160]   this secure tunnel back to the computer, why don't we just simply make this into a VPN
[00:27:50.160 --> 00:27:56.200]   so that I don't have to launch Firefox from my home Mac 4000 miles away to be assured that
[00:27:56.200 --> 00:27:59.560]   I can use this open WiFi access point here and here in San Diego.
[00:27:59.560 --> 00:28:00.560]   Yeah.
[00:28:00.560 --> 00:28:03.360]   And what if I specifically doesn't work with ICS, you can't use internet connection sharing
[00:28:03.360 --> 00:28:04.360]   with you.
[00:28:04.360 --> 00:28:05.360]   Yeah.
[00:28:05.360 --> 00:28:09.240]   So when you can, again, go back to your Mac and then simply launch Firefox, you know,
[00:28:09.240 --> 00:28:14.440]   back in Boston when you're sitting in San Diego, but it just seems like, guys, Rube Goldberg,
[00:28:14.440 --> 00:28:17.000]   move eight steps, you'll have something really awesome.
[00:28:17.000 --> 00:28:19.880]   John, do you know of any plans to do something like that?
[00:28:19.880 --> 00:28:22.240]   I mean, you got to say something for 10.6, right?
[00:28:22.240 --> 00:28:26.600]   You can't, I mean, if you think about what they had to do to get back to the Mac to work
[00:28:26.600 --> 00:28:29.000]   right, you know, everything has to do on a server side and everything, you just want
[00:28:29.000 --> 00:28:31.120]   to get something working and out the door.
[00:28:31.120 --> 00:28:35.400]   And I think like hanging fruit is screen sharing and making your Mac show up in the sidebar.
[00:28:35.400 --> 00:28:37.040]   So that's kind of like, let's go that the work.
[00:28:37.040 --> 00:28:38.040]   This is our first release.
[00:28:38.040 --> 00:28:39.920]   And you don't want to invite off too much.
[00:28:39.920 --> 00:28:40.920]   It works pretty spectacularly.
[00:28:40.920 --> 00:28:45.440]   I mean, I have to say, it's a pretty darn impressive program.
[00:28:45.440 --> 00:28:47.440]   And it's, and by the way, it's fairly speedy.
[00:28:47.440 --> 00:28:50.440]   I mean, of course on land, it's totally usable on land.
[00:28:50.440 --> 00:28:58.920]   It's even on my airport extreme, you know, Wi-Fi G, it runs at pretty much full speed.
[00:28:58.920 --> 00:29:00.480]   It's very, very slick.
[00:29:00.480 --> 00:29:01.560]   I haven't tried it over the internet.
[00:29:01.560 --> 00:29:02.960]   Have you tried it over the internet, Andy?
[00:29:02.960 --> 00:29:06.400]   I've tried it over the internet and it's actually very, very credible.
[00:29:06.400 --> 00:29:10.800]   You definitely won't be fooled into thinking that you're running an application locally.
[00:29:10.800 --> 00:29:13.040]   But it is very, very, very, very usable.
[00:29:13.040 --> 00:29:14.040]   There are multiple settings.
[00:29:14.040 --> 00:29:17.800]   You can tell it, you can tell it whether you want it to be more responsive or whether you
[00:29:17.800 --> 00:29:21.200]   want it to be more, more detailed.
[00:29:21.200 --> 00:29:25.320]   But again, I was doing word processing from, well, from 50 miles away, but 50 miles as
[00:29:25.320 --> 00:29:31.360]   good as 5,000 through a crummy, you know, bakery, cafe, free open Wi-Fi.
[00:29:31.360 --> 00:29:32.960]   And it was very, very credible.
[00:29:32.960 --> 00:29:33.960]   I use incredible.
[00:29:33.960 --> 00:29:34.960]   I would use.
[00:29:34.960 --> 00:29:35.960]   Yeah.
[00:29:35.960 --> 00:29:36.960]   Yeah, amazing.
[00:29:36.960 --> 00:29:37.960]   Hey, are you still using Firefox though?
[00:29:37.960 --> 00:29:38.960]   You haven't, you haven't.
[00:29:38.960 --> 00:29:42.120]   Safari 3 seems so much faster than Firefox now.
[00:29:42.120 --> 00:29:44.920]   I kind of tempted not to use Firefox.
[00:29:44.920 --> 00:29:47.560]   I'm just, well, the thing is my world is already in Firefox.
[00:29:47.560 --> 00:29:49.040]   I know all those extensions.
[00:29:49.040 --> 00:29:53.560]   It's not the, well, not even for me for extensions, just the simple fact that I've got my website
[00:29:53.560 --> 00:29:54.560]   URLs.
[00:29:54.560 --> 00:29:58.560]   I've got my personal web server stuff in a bookmark there.
[00:29:58.560 --> 00:29:59.800]   I've got my blog line stuff.
[00:29:59.800 --> 00:30:04.680]   I've got my automatic post to delicious automatic post to this, that, and the other.
[00:30:04.680 --> 00:30:07.680]   And I know that's easy to transfer over to Safari.
[00:30:07.680 --> 00:30:10.440]   Safari was not an application that.
[00:30:10.440 --> 00:30:13.440]   Awesomely impressed me as being a wonderfully new thing.
[00:30:13.440 --> 00:30:15.560]   I know that's, I know that it's theoretically faster.
[00:30:15.560 --> 00:30:20.080]   I know that they've beeped up the security and they've closed, closed up some holes.
[00:30:20.080 --> 00:30:24.480]   And the clipping feature, I would enjoy that if not for the fact that it forces me to go
[00:30:24.480 --> 00:30:27.160]   into dashboard actually to actually use the clipping.
[00:30:27.160 --> 00:30:31.400]   I'm sure that it's some, just like, just like with, just like with Safari on most of
[00:30:31.400 --> 00:30:33.960]   my desktops, I will have both of them open at the same time.
[00:30:33.960 --> 00:30:38.800]   I find that because my default browser is set to Safari, again, for no particular reason,
[00:30:38.800 --> 00:30:42.200]   I'll click a link and an email and I'll open Safari and I find myself over the course of
[00:30:42.200 --> 00:30:46.680]   the week using both browsers just interchangeably, not really caring what window I'm clicking
[00:30:46.680 --> 00:30:47.680]   into.
[00:30:47.680 --> 00:30:50.080]   Leo, you want to know my advanced feature?
[00:30:50.080 --> 00:30:51.080]   Yeah.
[00:30:51.080 --> 00:30:52.080]   Word of the day screen saver.
[00:30:52.080 --> 00:30:54.280]   I haven't seen that yet.
[00:30:54.280 --> 00:30:55.280]   I'll have to check it out.
[00:30:55.280 --> 00:30:58.280]   Because it's up to five words, five new words.
[00:30:58.280 --> 00:30:59.960]   And I, you know, I think that's pretty advanced.
[00:30:59.960 --> 00:31:01.120]   The new dictionary is good.
[00:31:01.120 --> 00:31:02.120]   It uses Wikipedia.
[00:31:02.120 --> 00:31:03.960]   I kind of like that.
[00:31:03.960 --> 00:31:08.200]   And by the way, if second choice would be the shell screen saver, I have new colors.
[00:31:08.200 --> 00:31:10.880]   I clearly have not played with the screen savers yet.
[00:31:10.880 --> 00:31:12.520]   I get into the deep stuff.
[00:31:12.520 --> 00:31:15.440]   You guys, you know, you're up here at the surface.
[00:31:15.440 --> 00:31:17.080]   I get down there where it matters.
[00:31:17.080 --> 00:31:18.080]   Okay.
[00:31:18.080 --> 00:31:19.680]   John's talking about journaling in ZFS.
[00:31:19.680 --> 00:31:23.160]   I'm talking about, well, now you can have an RSS feed as a widget.
[00:31:23.160 --> 00:31:24.720]   It's awesome.
[00:31:24.720 --> 00:31:28.200]   Let me ask John for the developer what will be the most interesting.
[00:31:28.200 --> 00:31:30.280]   Oh, there's so much to the developer.
[00:31:30.280 --> 00:31:31.280]   It's a lot of it.
[00:31:31.280 --> 00:31:34.400]   It's kind of painful because as a developer, as you learn about this release, you know,
[00:31:34.400 --> 00:31:39.080]   with the years of the very sea, you realize you started to dread the fact that you have
[00:31:39.080 --> 00:31:41.520]   to continue to support Tiger and earlier.
[00:31:41.520 --> 00:31:43.320]   Everything is so much easier.
[00:31:43.320 --> 00:31:44.320]   Every framework is improved.
[00:31:44.320 --> 00:31:46.240]   There's a new framework that I do so much.
[00:31:46.240 --> 00:31:48.080]   You can eliminate so many lines of code.
[00:31:48.080 --> 00:31:51.440]   You have these things that you just get for free that you can throw into your application.
[00:31:51.440 --> 00:31:55.000]   New views, core animation, you know, it's just unbelievable.
[00:31:55.000 --> 00:31:58.520]   And then you just, I can imagine the thinking feeling, oh, we have to support Tiger for
[00:31:58.520 --> 00:32:01.280]   the first year of your whole future because not everyone's going to upgrade to Leppard,
[00:32:01.280 --> 00:32:03.440]   but Leppard is fantastic for developers.
[00:32:03.440 --> 00:32:06.560]   Please, everybody, upgrade to Leppard so we don't have to support Tiger in the future.
[00:32:06.560 --> 00:32:09.660]   Yeah, I mean, that's what if every developer got their way, they would snap their fingers
[00:32:09.660 --> 00:32:12.520]   and force everyone to use Leppard.
[00:32:12.520 --> 00:32:14.520]   Yeah.
[00:32:14.520 --> 00:32:18.240]   You talk, I mean, I, I, I, I, okay, let me ask Andy and then we'll get back to you because
[00:32:18.240 --> 00:32:19.240]   there's so much in your review.
[00:32:19.240 --> 00:32:22.560]   Andy, what was, what is the developer feature of the moment that you think developers will
[00:32:22.560 --> 00:32:23.560]   get?
[00:32:23.560 --> 00:32:25.560]   We'll slather over.
[00:32:25.560 --> 00:32:31.800]   I'm going to, I'm going to stick to back to my Mac and, and, and, and, they'll start developing
[00:32:31.800 --> 00:32:32.800]   for that.
[00:32:32.800 --> 00:32:37.120]   Well, because again, it, I'm, I'm thinking broader view and actually I'm thinking more
[00:32:37.120 --> 00:32:42.480]   about Apple, Apple and house developers because there are some features where you just wind
[00:32:42.480 --> 00:32:46.400]   up sitting back with, you know, with your mug of cocoa and just thinking about what this
[00:32:46.400 --> 00:32:48.720]   new feature implies.
[00:32:48.720 --> 00:32:55.960]   And the basic theme of this feature is that it is easy to project resources from your
[00:32:55.960 --> 00:32:59.080]   home Mac to let's not even call the Macintosh.
[00:32:59.080 --> 00:33:02.480]   Let's call them to devices that you have out in the real world.
[00:33:02.480 --> 00:33:03.480]   Yeah.
[00:33:03.480 --> 00:33:05.680]   And now I have an iPhone that has Wi-Fi built in.
[00:33:05.680 --> 00:33:06.680]   Yeah.
[00:33:06.680 --> 00:33:11.600]   And now geez, Apple's buying lots of lots of RAM up there and there's this rumors of having
[00:33:11.600 --> 00:33:14.200]   these nice slim tablets and slim Macs.
[00:33:14.200 --> 00:33:18.640]   What if, and this is boy underscore and boldface and put all those really nasty HTML flat
[00:33:18.640 --> 00:33:21.840]   1.0 flashy, annoying things to highlight this?
[00:33:21.840 --> 00:33:26.780]   What if this is infrastructure for cool things that are going to happen in 2008?
[00:33:26.780 --> 00:33:31.840]   Because if this, if doing this sort of thing is easy, then a whole bunch of different hardware
[00:33:31.840 --> 00:33:35.840]   and a whole bunch of different third party software also becomes very, very easy.
[00:33:35.840 --> 00:33:41.000]   Again, just as, I mean, John was absolutely was had it really right on the money when he
[00:33:41.000 --> 00:33:45.520]   was talking about the developer stuff in his, in his review, because man, I launched, I
[00:33:45.520 --> 00:33:49.920]   loaded up Xcode and I started just seeing, well geez, how difficult is it going to be
[00:33:49.920 --> 00:33:54.480]   for me to add this feature to this totally Apple script based application that I have.
[00:33:54.480 --> 00:33:59.040]   And suddenly I've got Windows doing really cool animation and layers and transitions.
[00:33:59.040 --> 00:34:03.920]   And now I've got things of things that I couldn't do via a network, my blogging application.
[00:34:03.920 --> 00:34:08.000]   So many things I did not want to do because if I, I, I, I, I, I, I, I, I, I, I, I, I, I
[00:34:08.000 --> 00:34:11.640]   teched it out and figured out that I would have to spend two weeks adding new infrastructure
