
[00:00:00.000 --> 00:00:06.000]   Hey, it's time for Mac Break weekly and well one week into the new iPad Air era
[00:23:29.960 --> 00:23:35.160]   Everything you want, but if you are a developer if you like javascript css that kind of thing html5
[00:23:35.160 --> 00:23:40.440]   They've got a really nice developer platform and now look at this third column
[00:23:40.440 --> 00:23:44.280]   Commerce, this is the newest part of squarespace. I'm so excited about
[00:23:44.760 --> 00:23:50.200]   Every existing squarespace template will work with this you can sell physical or digital media
[00:23:50.200 --> 00:23:54.440]   Like mp3s or see these books or ebooks
[00:23:54.440 --> 00:24:00.440]   A single interface for water management, which adds the capability for you
[00:24:00.440 --> 00:24:03.080]   This is all built in and whether you hear the price on this
[00:24:03.080 --> 00:24:10.040]   Tracking orders customizable customer email updates. You could print shipping ladables. You can create coupons
[00:24:10.040 --> 00:24:12.040]   They'll
[00:24:12.040 --> 00:24:15.480]   They'll help you track inventory and taxes
[00:24:15.480 --> 00:24:23.880]   Uh, it's also global. It's not only in the us, but your store will be in the UK, Canada, Australia, Belgium, France, Germany, Ireland
[00:24:23.880 --> 00:24:26.120]   the Netherlands and spain
[00:24:26.120 --> 00:24:30.520]   And best of all all of this $24 a month when you buy the annual plan
[00:24:30.520 --> 00:24:33.320]   There's no transaction fees
[00:24:33.320 --> 00:24:38.920]   Uh, that's the cost and that's unbelievable. That's unheard of you can start up right now
[00:24:38.920 --> 00:24:43.480]   No credit card needed just visit squarespace.com and click the get started button
[00:24:43.480 --> 00:24:45.720]   You'll choose a template you can even import your existing
[00:24:45.720 --> 00:24:52.680]   Content from most of the major blogs they support all the apis import and export always available, which means you're never trapped
[00:24:52.680 --> 00:24:55.960]   And if you decide to sign up after your trial
[00:24:55.960 --> 00:25:03.800]   Use our offer code macbreak 10 and you'll get 10 off and show your support of course for macbreak weekly macbreak 10 the offer code
[00:25:03.800 --> 00:25:08.280]   Uh, I think everybody knows how much we love squarespace. We use it for our own inside twit blog
[00:25:08.760 --> 00:25:10.360]   squarespace
[00:25:10.360 --> 00:25:14.360]   Dot com try it free and if you decide to buy mac break 10
[00:25:14.360 --> 00:25:16.520]   Larry lessegg
[00:25:16.520 --> 00:25:22.200]   Uh one of our favorite constitutional experts. He's uh, was at Stanford's now. He's back at harvard
[00:25:22.200 --> 00:25:28.280]   Um, and he brought his blog back a couple of weeks ago. He hadn't blogged in quite a while just in time
[00:25:28.280 --> 00:25:30.760]   to bitch about
[00:25:30.760 --> 00:25:32.360]   iOS 7
[00:25:32.360 --> 00:25:35.560]   He says I upgraded my iphone to ios 7
[00:25:36.040 --> 00:25:40.440]   Oh three it killed wifi a lot of people are complaining about this. I have not had that problem
[00:25:40.440 --> 00:25:45.240]   I went to the apple site to see what the community had to say seems there are lots of people the same problem
[00:25:45.240 --> 00:25:50.680]   I tried all the recommended fixes including reinstalling the system software restoring from a backup
[00:25:50.680 --> 00:25:54.600]   Uh, nothing worked wifi came back for an hour. It's gone again
[00:25:54.600 --> 00:26:01.320]   But here's the problem. Uh, he says apple is not responding to comments
[00:26:03.320 --> 00:26:11.240]   Which leads its users and again people were volunteering their time to help lower apple's customer support costs to express on these uh forums to express increasing
[00:26:11.240 --> 00:26:14.360]   Exaspiration at the unanswered
[00:26:14.360 --> 00:26:16.920]   problems
[00:26:16.920 --> 00:26:21.640]   So, um now this is where the constitutional lawyer leaps to the fray
[00:26:21.640 --> 00:26:25.080]   Because he made a comment
[00:26:25.080 --> 00:26:30.680]   He tried to post a question to another post asking whether apple indeed scrubbed comments
[00:26:31.720 --> 00:26:36.600]   In other words, were they censoring the community which they have the right to do it is after all on an apple server
[00:26:36.600 --> 00:26:39.160]   at apple.com
[00:26:39.160 --> 00:26:43.400]   He posted, uh, you know, he was he was inquiring about the warranty
[00:26:43.400 --> 00:26:46.520]   and uh, and somebody
[00:26:46.520 --> 00:26:52.520]   Made a claim and got a new one and said persevere and Larry wanted a comment
[00:26:52.520 --> 00:26:58.120]   Uh, then he noted the comment had been deleted. So he reposted it
[00:27:00.200 --> 00:27:03.240]   Imagine if we had the same warranty rights in america that europeans have in europe
[00:27:03.240 --> 00:27:08.440]   But then to my utterly naive astonishment says larry lecic apple removed my comment
[00:27:08.440 --> 00:27:13.960]   Uh sending an email to me recently you posted a polar petition in the apple support communities
[00:27:13.960 --> 00:27:19.800]   We understand your desire to share experiences in your topic because these posts are not allowed in our forums
[00:27:19.800 --> 00:27:22.920]   We have removed it. They are intended for technical questions
[00:27:22.920 --> 00:27:26.200]   That can be answered by the community
[00:27:28.760 --> 00:27:33.320]   He goes on and says well, what exactly is the valid objection here? This is a community site
[00:27:33.320 --> 00:27:41.080]   People are no apples not responding people are frustrated. They talk about the warranties and recourse
[00:27:41.080 --> 00:27:46.680]   When did it become inappropriate to inform people about legally protected rights related to technical issues
[00:27:46.680 --> 00:27:53.960]   So hey apple he says if you want the free help given by members of your community treat them with respect
[00:27:54.440 --> 00:27:59.800]   Even something as simple as a thanks for the comments. We're looking into it would be a really cheap way to show that respect
[00:27:59.800 --> 00:28:05.480]   And a policy against scrubbing comments offering people completely legitimate advice
[00:28:05.480 --> 00:28:10.120]   For dealing with their technical problems would be one more although admittedly that's less cheap
[00:28:10.120 --> 00:28:14.600]   And then of course he invokes the memory of steve chops
[00:28:14.600 --> 00:28:18.600]   Who would not only have a race to comment but sandblasting
[00:28:18.600 --> 00:28:23.320]   Yeah, I think larry probably is a little bit pie-eyed on that one, but
[00:28:24.280 --> 00:28:25.560]   uh
[00:28:25.560 --> 00:28:27.560]   Actually, he says
[00:28:27.560 --> 00:28:34.360]   Remember when steve jobs was at the helm many of us were willing to cut the genius some slack that willingness is let's say
[00:28:34.360 --> 00:28:36.280]   waning
[00:28:36.280 --> 00:28:41.480]   Now larry has a bully pulpit and as yes, I mean, I just reread the entire blog post
[00:28:41.480 --> 00:28:46.520]   Uh is what he says legitimate is it a real problem? We've heard about this kind of scrubbing before
[00:28:46.520 --> 00:28:52.360]   I love larry lesteing but it's amazing to me when people think that they've discovered these things that have been going on for years for the first time
[00:28:52.360 --> 00:28:56.760]   Right, uh, it's exactly what you said apple is very careful with their discussion forums
[00:28:56.760 --> 00:28:59.880]   It let a lot of people talk but there are issues that they believe might
[00:28:59.880 --> 00:29:05.320]   Come back and bite them in the ass later and they're very careful to remove those right because the last thing that they need is someone
[00:29:05.320 --> 00:29:11.320]   I saw on the apple discussion forums. Yes that you honored all these warranties and right and it's there to be a service
[00:29:11.320 --> 00:29:14.120]   It's not there to be something that gets them class action lawsuits eventually
[00:29:14.120 --> 00:29:17.400]   Yeah, also, I mean, this is a little bit like complaining
[00:29:17.400 --> 00:29:20.920]   You you there's a little bit like complaining that
[00:29:21.560 --> 00:29:27.640]   You're trying to unionize the thousand workers at your factory and the factory won't let you use the factory floor as a meeting hall
[00:29:27.640 --> 00:29:33.800]   For this action. I mean, which is and you can debate whether that the class you think what the class thing to do or the not class thing would be
[00:29:33.800 --> 00:29:35.960]   Do that's not a that's not an objective?
[00:29:35.960 --> 00:29:41.480]   Uh, sort of determination, but the fact is this is apples forum. They can set their own rules
[00:29:41.480 --> 00:29:48.040]   Uh, and I think that if they want to limit discussion to something that they feel is focused towards one single goal
[00:29:48.040 --> 00:29:51.400]   Which is we we're not here to be a community of
[00:29:51.400 --> 00:29:57.640]   uh people who have been using the the mac for 10 years or using the iphone for three or four years as a as a meeting house for
[00:29:57.640 --> 00:30:02.600]   Whatever they want to talk about this is for the people who just broke the shrink wrap on their first iphone a week ago
[00:30:02.600 --> 00:30:06.120]   And don't know how to get this sort of sinking service working. They want to find
[00:30:06.120 --> 00:30:11.480]   They they they also want to find an open discussion so that people can simply can go ahead and say that gee
[00:30:11.480 --> 00:30:14.360]   I don't know why apple isn't addressing this but i've been having this problem for three or four weeks
[00:30:14.360 --> 00:30:18.760]   It is still valuable to the consumer that they know that they're not the only people who've been having this problem
[00:30:18.760 --> 00:30:22.120]   And even people who've been using an iphone for two years have been having this problem
[00:30:22.120 --> 00:30:27.720]   So that's valuable too, but to all to insist on unlimited discussion on any topic
[00:30:27.720 --> 00:30:34.600]   That's just not realistic. I mean, it's good. It's good that someone with his uh with his voice and his rational point of view is
[00:30:34.600 --> 00:30:37.000]   Is raising this point again because I think that
[00:30:37.000 --> 00:30:42.520]   That is the as as you said, it's it's sort of like the other the other edge of the sword if apple is going to
[00:30:43.880 --> 00:30:50.280]   Host this forum to allow the community to essentially do a lot of like frontline tech support for for its own products
[00:30:50.280 --> 00:30:54.280]   They have to accept that sometimes these people are going to say things that apple doesn't doesn't like
[00:30:54.280 --> 00:30:59.720]   But nonetheless like when they said I mean they have their they have the ability to limit discussion in any way that they want
[00:30:59.720 --> 00:31:04.840]   If they ever restrict it in such a way as to be absolutely horn swogingly
[00:31:04.840 --> 00:31:09.640]   Obnoxious that will bite them in the button ways that they none of us can possibly imagine
[00:31:10.040 --> 00:31:14.440]   For now everybody seems to be okay with the terms of service so to speak that have been established
[00:31:14.440 --> 00:31:21.240]   And the last point that I thought was compelling is that it takes these discussions also sometimes take away the actual problems people are having
[00:31:21.240 --> 00:31:24.360]   Wi-Fi issues have plagued apple customers and iOS devices
[00:31:24.360 --> 00:31:29.080]   Every time there's a new ipad every time there's a new version of iOS this Wi-Fi issue comes back
[00:31:29.080 --> 00:31:33.880]   Um, I don't know why they have so much trouble with Wi-Fi, but it's obvious that they do
[00:31:33.880 --> 00:31:35.880]   And I would just encourage people to go to apple
[00:31:35.880 --> 00:31:39.240]   I mean if they can't solve it using any of the tips there or anything they find on google
[00:31:39.240 --> 00:31:43.960]   Go to an apple store and you know pull the steve jobs this device is supposed to have Wi-Fi
[00:31:43.960 --> 00:31:46.360]   Why does it not have it and just go down on the table?
[00:31:46.360 --> 00:31:50.440]   Yeah, that's always the smartest thing don't don't try to diagnose your own problem
[00:31:50.440 --> 00:31:54.200]   Either just jumping back to this and what we were saying earlier. Don't just say this
[00:31:54.200 --> 00:31:57.320]   I expected to do this it doesn't do that. What's the problem?
[00:31:57.320 --> 00:32:01.720]   That's always the most successful avenue of gang tech support from apple. Yeah
[00:32:03.960 --> 00:32:10.120]   Um, you know, I'm a little sympathetic with larry, but it reminds me also of emails that I get almost every day from people who say
[00:32:10.120 --> 00:32:13.480]   I was in your chat room and I got kicked out for saying x
[00:32:13.480 --> 00:32:16.200]   and um
[00:32:16.200 --> 00:32:22.920]   I do understand that when you are maintaining a community and there's a certain way you want that community to be you have to be kind of ruthless
[00:32:22.920 --> 00:32:29.320]   In maintaining that community. It is not as if there are not other third party discussion forums where you can go
[00:32:29.320 --> 00:32:32.920]   Um, so I think it's not unreasonable for apple to say well, look
[00:32:32.920 --> 00:32:38.920]   This is the official apple discussion forum. So we're going to be a little bit aggressive in making it be
[00:32:38.920 --> 00:32:42.760]   A certain way precisely for what you said apple or andy
[00:32:42.760 --> 00:32:49.320]   Because they don't want people to say well look it says right here on the official apple forums that apple does this
[00:32:49.320 --> 00:32:52.200]   Yeah, I think i think as rene who said that but rene
[00:32:52.200 --> 00:32:55.400]   I mean the the other I mean the the the uh
[00:32:55.400 --> 00:33:01.080]   The the other thing that should be at least mentioned is that again while we really should be vigilant against
[00:33:01.720 --> 00:33:02.920]   uh
[00:33:02.920 --> 00:33:04.920]   Mistaking apple for a
[00:33:04.920 --> 00:33:07.080]   Non-profit
[00:33:07.080 --> 00:33:11.880]   Company that gives out free surf surfing lessons and teaches you how to make vernoul and how to use
[00:33:11.880 --> 00:33:15.560]   You how to produce a sustainable architecture. They are a large corporation
[00:33:15.560 --> 00:33:21.080]   They have an immense amount of power which they could they could abuse in horrific ways if they chose to do so
[00:33:21.080 --> 00:33:26.840]   The other thing that needs to be said though that is that every time we've had we've had legitimate concerns
[00:33:26.840 --> 00:33:31.640]   So they they give us at least one an opportunity a year to be legitimately concerned about what
[00:33:31.640 --> 00:33:35.080]   They're up to and I keep I keep rewinding back to when they
[00:33:35.080 --> 00:33:42.520]   Started the app store and started putting so many controls on what we will tolerate if you want to publish something publish software
[00:33:42.520 --> 00:33:44.760]   for the mac and publish software
[00:33:44.760 --> 00:33:50.840]   For for iOS devices and although there were a lot of hiccups to begin with it's true that google had
[00:33:50.840 --> 00:33:57.800]   Apparently had little difficulty in getting apps that enhance google services services that compete with with apple services
[00:33:58.120 --> 00:34:00.840]   Into the app store amazon has had no problems
[00:34:00.840 --> 00:34:08.520]   Getting updated versions of the kindle app and every time that it looked like apple might be doing something to sort of slap them down and make them
[00:34:08.520 --> 00:34:12.280]   Make the kindle solution not as attractive as the iBook solution
[00:34:12.280 --> 00:34:16.360]   It turns out it was simply an extension of a policy that was affecting all developers. So
[00:34:16.360 --> 00:34:24.280]   Although don't don't love blindly you should I whenever I have those concerns. I have to think that no this isn't facebook
[00:34:24.280 --> 00:34:26.600]   They haven't really screwed me over in any way shape or form
[00:34:27.080 --> 00:34:30.840]   Again eternal vigilance is the is the is the cost of liberty
[00:34:30.840 --> 00:34:37.320]   But still it has to be said that apple has had a really really good track record and be in not abusing our trust
[00:34:37.320 --> 00:34:41.320]   All right, we'll move on
[00:34:41.320 --> 00:34:44.600]   Larry deserves, you know the attention because he's larry and I love him
[00:34:44.600 --> 00:34:48.360]   Because larry isn't a blowhard and he's not a he's not a bozo
[00:34:48.360 --> 00:34:52.760]   He knows what he's talking about and when he speaks he speaks very thoughtfully so even so
[00:34:53.320 --> 00:34:55.560]   Although this isn't something we we've never heard before
[00:34:55.560 --> 00:35:01.000]   It was valuable to hear it from his perspective and hear how he would choose to elucidate it
[00:35:01.000 --> 00:35:03.640]   So that was a very very I thought it was a very valuable blog post
[00:35:03.640 --> 00:35:07.560]   And it's anybody who thinks apple doesn't make mistakes
[00:35:07.560 --> 00:35:10.840]   Is really paying it's not an apple user for very damn long
[00:35:10.840 --> 00:35:16.680]   And I think though that you highlight you you said something that I think really highlights the real problem here
[00:35:16.680 --> 00:35:19.720]   Which is people have a different and gila milio observed this
[00:35:20.200 --> 00:35:23.240]   People have a very different relationship with apple than they do with any other company
[00:35:23.240 --> 00:35:26.680]   Uh, there's this sense that apple somehow is your friend. It is
[00:35:26.680 --> 00:35:31.240]   From and it goes back to the early days when apple really they were the rebels
[00:35:31.240 --> 00:35:34.600]   fighting against, you know the big brother
[00:35:34.600 --> 00:35:36.840]   1984 gray
[00:35:36.840 --> 00:35:44.280]   IBM types the crazy ones the crazy ones and uh, you know, I I was around then and I had that kind of feeling of loyalty too
[00:35:44.280 --> 00:35:49.560]   Um, but it would probably behoove us to remember that that's not actually true
[00:35:50.200 --> 00:35:52.200]   It's just a company
[00:35:52.200 --> 00:35:57.000]   They they believe that they believe deeply in every principle that they speak of openly
[00:35:57.000 --> 00:36:02.360]   That's that's why I don't believe that the that the video that they used to to start off ww
[00:36:02.360 --> 00:36:05.480]   dc and their press event last week was schmaltzied anyway
[00:36:05.480 --> 00:36:07.160]   I do believe they believe in all those things
[00:36:07.160 --> 00:36:10.760]   But I also believe that they believe in making money and if there's a way that they can
[00:36:10.760 --> 00:36:15.160]   They don't believe they don't believe that in order to succeed other companies can have to fail
[00:36:15.160 --> 00:36:18.680]   But you know what's better than succeeding at the cost of your competitors
[00:36:18.760 --> 00:36:25.560]   There's I I'm sure that at some point some bottle of something is opened and drunk with a certain amount of pride
[00:36:25.560 --> 00:36:28.360]   That they can't share with anybody else. I'm sure that oh yeah
[00:36:28.360 --> 00:36:35.640]   They're a real they're a real profit making enterprise. I can't I can't tell you why there will be free donuts at all break stations
[00:36:35.640 --> 00:36:43.560]   For the next three days just enjoy the free donuts and and think of those donuts as you drive pasties microsoft service rt bus
[00:36:45.800 --> 00:36:49.240]   Hey, let's let's take a break. I do we kind of skimmed over
[00:36:49.240 --> 00:36:55.080]   You know some of the comments from Tim Cook in the the earnings call but we should talk about the actual results of the earnings call
[00:36:55.080 --> 00:36:57.480]   In just a second
[00:36:57.480 --> 00:36:59.560]   But first I want to tell you about a brand new app
[00:36:59.560 --> 00:37:03.880]   From our great friends. It's smile software. It's pdf pen
[00:37:03.880 --> 00:37:06.680]   scan plus
[00:37:06.680 --> 00:37:11.000]   It's a scanning an ocr app for your iPhone and your iPad
[00:37:11.800 --> 00:37:16.840]   You have such great cameras even in the iPad, especially the new iPads now that really
[00:37:16.840 --> 00:37:20.760]   You've got a scanner in your pocket. I've I've done this so many times
[00:37:20.760 --> 00:37:25.160]   I did it just the other day. I was uh somebody I needed to submit some pay stubs
[00:37:25.160 --> 00:37:28.360]   And I didn't have a scanner to hand. So I use the iPhone took a picture
[00:37:28.360 --> 00:37:30.440]   I use the iPhone because I had the best camera
[00:37:30.440 --> 00:37:31.960]   Took a picture
[00:37:31.960 --> 00:37:36.440]   And uh, it's fabulous one touch scanning directly from your iPhone or your iPad
[00:37:36.440 --> 00:37:39.800]   You can scan multiple pages into a single document
[00:37:40.760 --> 00:37:44.040]   You can use ocr to convert those scans into searchable pdfs
[00:37:44.040 --> 00:37:50.280]   The app does the ocr so it's not uploading to the server so your confidentiality is preserved plus you don't have to be connected
[00:37:50.280 --> 00:37:52.360]   Here's a here's an example
[00:37:52.360 --> 00:37:56.120]   Uh if you're watching the video the the ocr supports 16 languages
[00:37:56.120 --> 00:37:58.040]   It's a great companion
[00:37:58.040 --> 00:38:04.360]   If you use pdf pen at which we've talked about so much for iPad and iPhone and here's the best part right now. There's a sale on
[00:38:04.360 --> 00:38:08.600]   Because they're introducing this new product pdf pen scan plus
[00:38:09.560 --> 00:38:11.560]   You can get it for $4.99
[00:38:11.560 --> 00:38:14.360]   Run do not walk
[00:38:14.360 --> 00:38:17.480]   To your app store on your iPhone or your iPad
[00:38:17.480 --> 00:38:22.760]   $4.99 for a product like this is a really and i'm telling you you will use it a lot
[00:38:22.760 --> 00:38:25.960]   And because it's from smile, you know, it's going to really do
[00:38:25.960 --> 00:38:31.560]   The job it's going to do it well and they're going to continually upgrade it and improve it. They do it so often
[00:38:31.560 --> 00:38:34.520]   I invite you to go to smile
[00:38:34.520 --> 00:38:38.360]   software.com/macbreak if you want to know more about it
[00:38:39.160 --> 00:38:42.600]   Uh, they've got videos and so forth and a link to the app store
[00:38:42.600 --> 00:38:46.680]   David sparks with his traditional, you know, really excellent video on how it works
[00:38:46.680 --> 00:38:52.680]   You can see all the features and i've got to tell you don't waste any time at $4.99
[00:38:52.680 --> 00:38:56.360]   Uh, you're going to want this right now and it's not going to it's not going to uh
[00:38:56.360 --> 00:38:59.240]   It's not going to last long
[00:38:59.240 --> 00:39:01.960]   Just I think the ocr alone is fantastic
[00:39:01.960 --> 00:39:06.840]   I you know, I've always used the iphone to take pictures of documents to store like receipts and stuff
[00:39:07.320 --> 00:39:11.800]   But now having that ocr in there that is really sweet. Yeah
[00:39:11.800 --> 00:39:20.440]   Uh, I should I don't have my iphone here or I would show you it's really awesome get it $4.99. What a deal such a deal
[00:39:20.440 --> 00:39:23.160]   Thank you smile smile software
[00:39:23.160 --> 00:39:26.040]   PDF pen scan plus
[00:39:26.040 --> 00:39:30.120]   In this a plus sign. I think if you i bet if you search for scan plus
[00:39:30.120 --> 00:39:33.160]   You know, let me try this. There's this
[00:39:33.160 --> 00:39:35.720]   kind of little-known trick
[00:39:36.040 --> 00:39:38.040]   App store.com/
[00:39:38.040 --> 00:39:44.040]   Um, let me just see you can often do app store.com
[00:39:44.040 --> 00:39:47.480]   And the name of an app, but the search is so
[00:39:47.480 --> 00:39:50.200]   It's a little funky
[00:39:50.200 --> 00:39:52.280]   So that did not work. Let me try
[00:39:52.280 --> 00:39:59.080]   Because what it does is it app store.com links to the uh apple search. I presume that's an apple feature
[00:39:59.080 --> 00:40:02.040]   Could be a third party doing it
[00:40:02.040 --> 00:40:04.600]   Let me do smile
[00:40:05.160 --> 00:40:08.360]   Smile software that might find all the smile stuff
[00:40:08.360 --> 00:40:15.000]   Apple's got to work on the search in the app store. Yes
[00:40:15.000 --> 00:40:18.520]   Somewhat in
[00:40:18.520 --> 00:40:20.520]   Incomprehend symbol. It's not their forte
[00:40:20.520 --> 00:40:25.400]   Not not this is this is one of those complaints about apple screwing up that we mentioned we referenced earlier
[00:40:25.400 --> 00:40:28.040]   It goes it goes on
[00:40:28.040 --> 00:40:29.080]   continues
[00:40:29.080 --> 00:40:30.600]   Really good heart search
[00:40:30.600 --> 00:40:35.640]   Needs a little it's like it's like sometimes when you find a problem or find a fault
[00:40:35.640 --> 00:40:41.240]   You should be happy because that demonstrates that faults are being looked for and that your hardware for finding them
[00:40:41.240 --> 00:40:45.320]   Is in fact working perfectly and so the things that you trust that have been validated
[00:40:45.320 --> 00:40:50.440]   Now apple had its q4 fourth quarter conference call
[00:40:50.440 --> 00:40:52.280]   um
[00:40:52.280 --> 00:40:54.840]   And you know depending who you read
[00:40:54.840 --> 00:40:59.080]   It was either a great quarter or not such a great quarter
[00:40:59.480 --> 00:41:03.880]   I think there's a lot of room for interpretation. This quarter only includes a little bit little
[00:41:03.880 --> 00:41:06.120]   part of
[00:41:06.120 --> 00:41:08.120]   the iphone five s sales
[00:41:08.120 --> 00:41:11.240]   um yet that was enough to kind of
[00:41:11.240 --> 00:41:13.640]   turn the uh
[00:41:13.640 --> 00:41:15.880]   turn the um graph to a you
[00:41:15.880 --> 00:41:18.920]   on uh sales
[00:41:18.920 --> 00:41:22.920]   So modest uh tech crunch said modest re acceleration
[00:41:22.920 --> 00:41:28.520]   After three quarters, uh in a row of slumping growth after three quarters of no profits the
[00:41:28.600 --> 00:41:31.720]   Sorry, but new pro of no products the first new product returns them. Yeah
[00:41:31.720 --> 00:41:34.440]   This is we've seen this before have we not?
[00:41:34.440 --> 00:41:40.520]   Every time it's a you know you app if you look at a graph of apple earnings is you you you you
[00:41:40.520 --> 00:41:44.920]   And ipad was flat and mac was flat but everyone was waiting for the new ipad
[00:41:44.920 --> 00:41:47.080]   Everyone was waiting for the haswell macs. It's not right
[00:41:47.080 --> 00:41:51.400]   Yeah, now those who look at apple's profit margins
[00:41:51.400 --> 00:41:55.160]   Might legitimate be leave be a little bit concerned, right?
[00:41:56.600 --> 00:42:03.000]   Apple Tim clocked at a really good job of explaining that in that apple's profit margins are being pushed on both ends right now because they're making products
[00:42:03.000 --> 00:42:08.120]   Like the ipad air and the retina ipad which increased their cost was are much more expensive products to make
[00:42:08.120 --> 00:42:13.240]   But at the same time they are reducing prices or holding prices or more expensive products
[00:42:13.240 --> 00:42:16.920]   So it costs them more to make and they're not selling them at the same amount of profit
[00:42:16.920 --> 00:42:21.960]   They used to which puts pressure on their margins and that really does bother some people in wall street
[00:42:22.360 --> 00:42:28.200]   They're also doing this subscription accounting for more of their stuff now. I think 900 million dollars more
[00:42:28.200 --> 00:42:29.880]   That lets them defer
[00:42:29.880 --> 00:42:33.320]   I think they said it was two years for an iphone and four years for a mac
[00:42:33.320 --> 00:42:37.640]   But it means they can account for this free mavericks and free i-works
[00:42:37.640 --> 00:42:43.240]   And all of that because margin is being deferred along with everything else. I think they said a dollar to dollar rate
[00:42:43.240 --> 00:42:48.360]   It creates a perception which some people equate with reality, you know, that's absolutely they're
[00:42:48.840 --> 00:42:54.440]   They're right to do so, but it does make the analysis. I think more nuanced than a lot of websites are reporting
[00:42:54.440 --> 00:43:02.120]   It's uh off uh apple stock price it apple stock price is off about 14 bucks since the announcement
[00:43:02.120 --> 00:43:05.960]   But it's still at 521. I mean it's it's still well over 500
[00:43:05.960 --> 00:43:10.920]   Uh, and let's not let's head hasten to say it's not that apple didn't make money
[00:43:10.920 --> 00:43:13.720]   They made a lot of money seven and a half billion dollars
[00:43:14.680 --> 00:43:20.920]   Yeah, so it's not like it's just that they didn't make as you know, the profit margin wasn't as high as it has been
[00:43:20.920 --> 00:43:23.800]   in the past 37 and a half billion in revenue
[00:43:23.800 --> 00:43:30.200]   7 and a half billion net profit that's eight dollars 26 cents per share and it is a
[00:43:30.200 --> 00:43:33.080]   uh decline of net profit of
[00:43:33.080 --> 00:43:35.720]   8.6 from this time last year
[00:43:35.720 --> 00:43:38.200]   So that's the thing that concerns people I guess
[00:43:38.200 --> 00:43:42.360]   But you just you just explained it. I think fairly well the margin is shrinking
[00:43:43.800 --> 00:43:45.800]   dividends are the same right
[00:43:45.800 --> 00:43:49.480]   4.7 decline earnings per share
[00:43:49.480 --> 00:43:50.840]   Yeah
[00:43:50.840 --> 00:43:56.680]   The big difficulty every time there's one of these earnings calls that you have two different teams of analysts who are looking at these numbers
[00:43:56.680 --> 00:44:01.480]   You have one team that has the broader perspective of apple as a technology company
[00:44:01.480 --> 00:44:06.760]   Who does not necessarily have the expertise and looking at really grinding down these business numbers?
[00:44:06.760 --> 00:44:11.240]   Uh, and so they might be picking a part as well. Look at that look how few uh,
[00:44:12.120 --> 00:44:15.880]   I think this this chart is where this number is proving that uh, that uh, apples
[00:44:15.880 --> 00:44:22.680]   Apple's share of desktops is now sort of grinding down and though that line demonstrates this that the other or they're apple fans who are going to
[00:44:22.680 --> 00:44:26.120]   Look at another number and saying yes, but look at this graph and how well that does without
[00:44:26.120 --> 00:44:30.760]   The ability to look at the entire base of numbers and evaluate apple as though or any other company
[00:44:30.760 --> 00:44:35.880]   Who are not seeing these results and the other group of people are the people who are just like again the the
[00:44:36.280 --> 00:44:43.320]   Sheldon Cooper's who are just financial analysts who are looking at numbers who who will who do have a complete understanding of that and who will say that oh
[00:44:43.320 --> 00:44:49.880]   What's troubling that that uh, that they're not making as much money on each product as they were before it's troubling that they have not
[00:44:49.880 --> 00:44:53.080]   announced they have not announced a new product space and in this amount of time
[00:44:53.080 --> 00:44:55.800]   and they're wrong because they're not they're
[00:44:55.800 --> 00:45:04.920]   They could benefit from looking at the forest and saying that apple has apple is in the business of making insanely popular products that people love and people keep buying
[00:45:05.240 --> 00:45:12.360]   Even if their last item was the exact same product before and it doesn't necessarily matter so much that they're this number
[00:45:12.360 --> 00:45:17.720]   You're right this graph does not look as flat as it should be or as pointy as it should be or as curvy in the right places
[00:45:17.720 --> 00:45:22.840]   It should be so long as they are setting themselves up for the right thing to the right product line in two or three years about
[00:45:22.840 --> 00:45:27.000]   So that's why I do have the benefit of not being a business reporter
[00:45:27.000 --> 00:45:29.720]   but nonetheless
[00:45:29.720 --> 00:45:31.720]   I always have to sort of
[00:45:32.040 --> 00:45:36.440]   Take three steps back from any conclusion. I'm likely to draw from anything that I see in these reports
[00:45:36.440 --> 00:45:41.080]   There's some things that I kind of look at say gee isn't that kind of interesting or should I shouldn't I follow up on that?
[00:45:41.080 --> 00:45:43.800]   But there's always those three tablespoons full of
[00:45:43.800 --> 00:45:47.880]   Remember thou out mortal remember thou out mortal remember that you
[00:45:47.880 --> 00:45:55.960]   You you passed your math classes, but you never took a post grad course that you had that that didn't totally be funnel you
[00:45:55.960 --> 00:46:00.520]   So don't think that you know anything about this. I think there are a lot of commentators that should really
[00:46:01.720 --> 00:46:07.080]   Be measured in the conclusion. They're gonna draw from these numbers 37 profit margin ain't bad. I'd take it
[00:46:07.080 --> 00:46:13.960]   Yeah, and these are the numbers that we mortals non-investors should probably pay attention to which is sales figures
[00:46:13.960 --> 00:46:19.320]   Uh and mostly about the trend and iPod sales down 35% not a surprise
[00:46:19.320 --> 00:46:24.040]   They did not announce I don't know if we really mentioned this but they did not announce a new iPod this year
[00:46:24.040 --> 00:46:27.080]   And they gave you a space gray just like two years ago. They gave you white
[00:46:27.800 --> 00:46:31.960]   Yeah, so I mean I don't think iPod is an important category anymore. It's an interesting buried
[00:46:31.960 --> 00:46:35.240]   It's at the bottom of the press release. It's not even in the the meat anymore, right
[00:46:35.240 --> 00:46:37.000]   Um max
[00:46:37.000 --> 00:46:42.520]   Go ahead apple is and remember that apple is famous for cutting loose any product line. That's not really sending the world on fire
[00:46:42.520 --> 00:46:46.600]   So I think this is that's that product lines is just shrinkdough soon. Yeah
