;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[00:33:35.360 --> 00:33:37.840]   They're willing to suffer with just one usb port
[00:33:37.840 --> 00:33:41.520]   Uh, but the fact that they could it was the size of a magazine
[00:33:41.520 --> 00:33:45.040]   That was worth the money to them. It was worth all the all the suffering
[00:33:45.040 --> 00:33:50.320]   So, um, I think that the the analog for that is going to be a mac book nothing sized
[00:33:50.320 --> 00:33:53.680]   Mac that runs on arm for people who
[00:33:53.680 --> 00:33:55.920]   They don't care that
[00:33:55.920 --> 00:34:01.120]   Maybe this won't support thunderbolt right away and maybe it's going to be limited to
[00:34:01.120 --> 00:34:05.600]   Almost like an ios range of software to begin with
[00:34:05.600 --> 00:34:08.320]   but the idea of having a
[00:34:08.320 --> 00:34:15.520]   A macbook that runs for 18 hours on battery and is as thin as a as a as a macbook
[00:34:15.520 --> 00:34:19.920]   Nothing and also can do some special tricks because of the intimacy between
[00:34:19.920 --> 00:34:22.400]   Uh a custom designed
[00:34:22.400 --> 00:34:27.520]   Cpu and the rest of the hardware designed around it. That's going to be enough of a cell for them to go for it
[00:34:27.520 --> 00:34:28.720]   um
[00:34:28.720 --> 00:34:30.160]   I don't
[00:34:30.160 --> 00:34:36.080]   I'm still curious to find out how long it would take for them to create a custom arm that could
[00:34:36.080 --> 00:34:43.680]   Create like an iMac or even a mac mini powered computer or a a mac that is powerful enough to satisfy people who?
[00:34:43.680 --> 00:34:50.080]   Would be buying a regular macbook pro or a mac mini, uh or a mac pro, uh today
[00:34:50.560 --> 00:34:55.120]   I am I I I wonder how long it'll take for them to do that
[00:34:55.120 --> 00:34:57.600]   This is there are a lot of things that are non trivial about it
[00:34:57.600 --> 00:35:03.360]   Uh including including how do you interpret how do you make sure that these things?
[00:35:03.360 --> 00:35:05.520]   Uh
[00:35:05.520 --> 00:35:08.880]   Can use things like thunderbolt? How do you do think how do you?
[00:35:08.880 --> 00:35:12.800]   How do you uh incorporate technologies that were developed by intel that you get for free
[00:35:12.800 --> 00:35:18.240]   On top of any intel chip and so a lot of these things are going to be real
[00:35:19.200 --> 00:35:22.720]   Real it's it's like digging up the lawn and and checking out your sewer pipes
[00:35:22.720 --> 00:35:27.760]   A lot of stuff is going to have to be re hooked up. There's going to be a lot of pain in this transition
[00:35:27.760 --> 00:35:29.920]   I just hope that they
[00:35:29.920 --> 00:35:35.360]   Uh, they limit the pain to people who have signed up for that pain as opposed to saying guess what
[00:35:35.360 --> 00:35:41.360]   Nothing works anymore and it's not going to get any better for anyone for at least seven years. You're welcome
[00:35:41.360 --> 00:35:46.080]   Uh, but but it but it is exciting. I I what I what I said on twitter a
[00:35:47.040 --> 00:35:49.040]   Week ago or two weeks ago
[00:35:49.040 --> 00:35:53.680]   Was that so long as there are benefits for the user in the form of for instance
[00:35:53.680 --> 00:35:57.760]   They're able to make a super powerful Mac that cost only a thousand bucks
[00:35:57.760 --> 00:36:01.920]   Like a the two thousand dollar Mac now cost only a thousand bucks or they have
[00:36:01.920 --> 00:36:09.440]   Uh, I'll be able to because they're able to create a cpu in harmony with all the other hardware inside that machine
[00:36:09.440 --> 00:36:13.360]   That's also in harmony with the os that's also in harmony
[00:36:13.760 --> 00:36:18.960]   Uh, with xcode means that this hardware can do things that no windows machine can possibly achieve
[00:36:18.960 --> 00:36:22.480]   Simply because apple is really is designing everything from top to bottom
[00:36:22.480 --> 00:36:25.040]   all the way to uh, a
[00:36:25.040 --> 00:36:31.040]   Being able to have again 18 or 20 hours of battery life because they can design they can really really tune the cpu
[00:36:31.040 --> 00:36:34.400]   To exactly what it needs to do inside this machine if all
[00:36:34.400 --> 00:36:41.600]   What i'm looking at is that if it's uh, solving problems for consumers if there's a benefit to consumers
[00:36:41.680 --> 00:36:46.800]   This is wonderful if all they're doing is solving problems for apple and allowing
[00:36:46.800 --> 00:36:51.680]   Allowing their user base to be in a position where well, sorry
[00:36:51.680 --> 00:36:54.560]   Sorry, sorry if you bought a mac an intel based mac this year
[00:36:54.560 --> 00:36:59.760]   Because instead of being able to use it still 10 years from now. It's going to be effectively dead five years from now
[00:36:59.760 --> 00:37:05.200]   That is we're not in the position of we're not here to help out apple. We're here to help out ourselves
[00:37:05.200 --> 00:37:09.920]   That's why we put down our money for max, but there's such a huge opportunity here
[00:37:10.320 --> 00:37:13.440]   So much so much bigger than the opportunities that were presented when
[00:37:13.440 --> 00:37:19.200]   They transitioned from power pc to intel that it's it's it's wonderful to imagine
[00:37:19.200 --> 00:37:22.720]   What uh what an entry level mac could be like five years from now
[00:37:22.720 --> 00:37:28.160]   They you know, I actually hope they do it quickly they they have there's two examples
[00:37:28.160 --> 00:37:30.720]   They did it very quickly to intel in less than a year
[00:37:30.720 --> 00:37:32.480]   They took a
[00:37:32.480 --> 00:37:36.720]   Dam long time moving from 68 000 to a power pc
[00:37:37.520 --> 00:37:42.880]   And I think they've taken a really long time more than five years in this 32-bit transition and I think the
[00:37:42.880 --> 00:37:45.520]   it's clear
[00:37:45.520 --> 00:37:50.240]   That the 32-bit transition took too long the people dragged their feet and as a result
[00:37:50.240 --> 00:37:54.960]   There are a lot of 32-bit apps that didn't get updated. They said how we got time we got time. Oops
[00:37:54.960 --> 00:37:59.040]   So i'm hoping that they do it more like the one-year transition
[00:37:59.040 --> 00:38:02.160]   I know the the big reason they won't is because they just released a mac pro
[00:38:02.160 --> 00:38:05.840]   And uh, that's but that's a commercial consideration
[00:38:06.160 --> 00:38:11.920]   But it's commercial considerations aside. I think they could I think they could do it all fast and I'm sure
[00:38:11.920 --> 00:38:21.200]   You guys correct me. Is there anything about this architecture the a 12 a 13 a 1000 architecture?
[00:38:21.200 --> 00:38:25.600]   That means it couldn't be every bit as fast as a zion or as powerful as a zion
[00:38:25.600 --> 00:38:29.600]   As you said they can customize it for their heart their needs
[00:38:29.600 --> 00:38:33.840]   Whether it is out of the gate, um, I think that they have the opportunity to do that
[00:38:33.920 --> 00:38:36.720]   I think that we're there's a lot of a lot of speed available to that
[00:38:36.720 --> 00:38:38.880]   And I think that they don't have to do it out of the gate either
[00:38:38.880 --> 00:38:40.400]   I mean, I I don't know
[00:38:40.400 --> 00:38:46.720]   I know that there's no there's no there's no like limit in big, you know, a risk processor or a low
[00:38:46.720 --> 00:38:50.160]   I mean we've seen arms as low power risk processors
[00:38:50.160 --> 00:38:51.840]   But there's no
[00:38:51.840 --> 00:38:57.280]   That doesn't mean they can't be as fast as they want to be right or as in fact I wouldn't be surprised
[00:38:57.280 --> 00:38:59.600]   Forget 10 core
[00:38:59.600 --> 00:39:03.920]   I would be surprised the next Mac Pro 64 core 128 core or more
[00:39:03.920 --> 00:39:10.000]   I mean, I think that the big advantage of owning all the hardware development is that you can really plan a lot of things to work together
[00:39:10.000 --> 00:39:13.040]   You know and in a way that is hard. You don't have to expose
[00:39:13.040 --> 00:39:20.720]   It gives them a lot more freedom to to build the apps and build the the o s so that it fully takes advantage of every
[00:39:20.720 --> 00:39:26.160]   So there's a there's a little bit of how fast is the processor and there's also how much of the processor
[00:39:26.560 --> 00:39:32.400]   Does the o s take advantage of and so I think that there's both of those things could end up being a snappier experience
[00:39:32.400 --> 00:39:36.160]   I don't I mean I think that if if apple releases one piece of hardware
[00:39:36.160 --> 00:39:41.360]   Uh this year that is using that I mean one piece of like a traditional Mac
[00:39:41.360 --> 00:39:45.600]   This year that that uses arm. I think that's aggressive
[00:39:45.600 --> 00:39:50.720]   I think that if they get all the way to arm on all the machines in five years, I think that would be aggressive
[00:39:50.720 --> 00:39:54.320]   Well, we don't know I'm not saying they won't do it. Well, we don't know is right in the lab right now
[00:39:54.320 --> 00:39:56.320]   They've been working on this probably for years
[00:39:56.320 --> 00:40:01.600]   Yeah, and there's been rumors about arm processors on mac for a couple of days
[00:40:01.600 --> 00:40:05.520]   They probably have a mac pro equivalent machine in the lab, right? Why wouldn't they?
[00:40:05.520 --> 00:40:09.920]   But but again, I you know the easiest thing to do would be to tell developers
[00:40:09.920 --> 00:40:13.840]   Hey in a year we're gonna start releasing this this hardware and you need to take advantage of it
[00:40:13.840 --> 00:40:17.280]   That's the issues developers and that's why you do fast because they are lazy
[00:40:17.280 --> 00:40:20.720]   As well as we know from the 32 to 6 but it's not like
[00:40:21.600 --> 00:40:27.200]   But again in a year we're gonna do we're gonna release some of the I don't I think that the pro ones will not happen that fast
[00:40:27.200 --> 00:40:29.520]   I think they'll take three to five years to get to the pro
[00:40:29.520 --> 00:40:31.520]   Machines
[00:40:31.520 --> 00:40:35.120]   There's just a lot more complexity there and there's a lot of apps that are a lot harder to update
[00:40:35.120 --> 00:40:41.520]   It's one thing to update a business app that is not fully utilizing the hardware and it's it also for those business apps
[00:40:41.520 --> 00:40:45.840]   It's easier to run them in in some version of emulation without the user feeling there is some
[00:40:45.840 --> 00:40:48.400]   Apple doesn't care about the third party apps
[00:40:49.200 --> 00:40:51.360]   So I'm gonna say it's gonna be
[00:40:51.360 --> 00:40:56.880]   Faster than you think I bet there's a very fast mac ish mac pro ish
[00:40:56.880 --> 00:41:04.960]   Device that is running arm final cut arm logic like our apples own pro apps. What do they care about the others?
[00:41:04.960 --> 00:41:08.480]   They don't care they thumb their nose at adobe they do
[00:41:08.480 --> 00:41:14.480]   Uh, not really they give adobe a lot of warning and when adobe drags his feet to some degree apples is okay
[00:41:14.480 --> 00:41:15.360]   We're gonna move forward
[00:41:15.360 --> 00:41:20.800]   But they've given a lot of time to adobe to get some some some of those things done and I think that there is a
[00:41:20.800 --> 00:41:23.360]   I mean apple is definitely
[00:41:23.360 --> 00:41:26.000]   Not you know, you can't
[00:41:26.000 --> 00:41:28.400]   You don't want to have another final cut 10
[00:41:28.400 --> 00:41:30.000]   You know kind of thing where you okay?
[00:41:30.000 --> 00:41:33.120]   We're all we're just gonna change and you end up with a lot of professionals
[00:41:33.120 --> 00:41:37.520]   You know throwing a lot of shade on you and I don't think that they need that and there's no reason for that
[00:41:37.520 --> 00:41:40.480]   I don't think that there's any reason for them to move any faster because they again
[00:41:41.040 --> 00:41:46.000]   It's a lot of complexity the easiest thing to do is test on again business typical business users
[00:41:46.000 --> 00:41:49.920]   Let them figure this stuff out while you're you can run that stuff in emulio
[00:41:49.920 --> 00:41:52.000]   You can run excel in emulation all day
[00:41:52.000 --> 00:41:57.600]   No one's gonna notice. Um, you can run a lot of the productivity apps all day with when no one's gonna notice
[00:41:57.600 --> 00:42:02.480]   Um, but I think that you start running photoshop my cinema 4d those types of of things
[00:42:02.480 --> 00:42:08.320]   Um people are going to start noticing the performance and I and I think that's all gpu bounds out more
[00:42:09.280 --> 00:42:13.840]   Some of them are some of them are but some of them are doing heavy processing and and again. I think that it's
[00:42:13.840 --> 00:42:15.840]   um
[00:42:15.840 --> 00:42:17.840]   Uh, I don't think apple
[00:42:17.840 --> 00:42:20.720]   Again, I don't think that they need to I think that the the big advantage
[00:42:20.720 --> 00:42:25.440]   That I see with arm is that you're gonna as a developer you're gonna be able to develop applications that run
[00:42:25.440 --> 00:42:29.920]   It's gonna be easier to run the catalyst type by op, you know situations where you're
[00:42:29.920 --> 00:42:33.840]   I'm gonna write an app that runs on them on the phone it runs on the ipad and it runs on the air
[00:42:34.160 --> 00:42:39.360]   Let's just say like that's the first place where that makes a lot of sense for the developer and for the user to have
[00:42:39.360 --> 00:42:44.080]   You know something that's gonna easily run and have a unified interface and theoretically
[00:42:44.080 --> 00:42:46.400]   I think that this is where we would probably see
[00:42:46.400 --> 00:42:49.360]   Laptops that you can have you can touch their screen
[00:42:49.360 --> 00:42:52.720]   So, you know, so so I think that this is where we're gonna probably see
[00:42:52.720 --> 00:42:56.640]   Um touch interfaces on the laptops is the arm based ones
[00:42:56.640 --> 00:43:01.600]   Um is where we're gonna see that where they're not gonna do it on the older the heavier machines
[00:43:01.840 --> 00:43:06.400]   But I I think that in three to five years and they get makes sense to unify the code base and unify the the hardware
[00:43:06.400 --> 00:43:08.480]   But I don't think they're gonna do it. I think that you're gonna give
[00:43:08.480 --> 00:43:12.800]   Developers a lot of warning. It's a big shift. There's no and there's no reason to go any faster
[00:43:12.800 --> 00:43:19.440]   And that's that's the kind of opportunity that I'm speaking of that even if apple is absolutely at absolutely sticks to a
[00:43:19.440 --> 00:43:23.200]   Stockmatic approach towards hey, there is no such thing as a touch screen on a mac
[00:43:23.200 --> 00:43:26.320]   Even if they just simply took the form factor of the ipad
[00:43:26.880 --> 00:43:34.480]   Created a macbook air or mac book helium something lighter than there that is super super thin super super long battery life
[00:43:34.480 --> 00:43:37.200]   Docs into a magic keyboard and is simply a
[00:43:37.200 --> 00:43:43.760]   Mac that could be docked into a magic keyboard when you're on the go and then pulled out of that then dropped into a desktop dock
[00:43:43.760 --> 00:43:49.200]   Uh like a like an old duo and give you a more more liberal array of ports
[00:43:49.200 --> 00:43:55.040]   That would be incredible because one of my as I'm sort of I am in the position right now where I
[00:43:55.440 --> 00:43:58.640]   Have to update a lot of things. I have to update my laptop right now
[00:43:58.640 --> 00:44:02.800]   I also have to update my desktop right now, which means that I'm really looking for a holistic
[00:44:02.800 --> 00:44:10.720]   Together all together sort of plan and if apple were to create a computer like that where I would have that sort of ultra portability that now
[00:44:10.720 --> 00:44:15.280]   I rely on for my with my ipad or with my my google pixel Chromebook
[00:44:15.280 --> 00:44:18.160]   Uh, but I could also use it for real mac stuff
[00:44:18.160 --> 00:44:23.280]   I wouldn't particularly care that buying that plus the magic keyboard would cost me $2 over $1,300
[00:44:23.680 --> 00:44:26.080]   It would be such a beautiful solution to that problem
[00:44:26.080 --> 00:44:28.240]   I wouldn't even care that it's an arm
[00:44:28.240 --> 00:44:34.160]   But the the difficulty is going to come when you have people who don't necessarily don't need something who needs something that is way above an ipad
[00:44:34.160 --> 00:44:38.560]   Way above essentially a chrome book with a v8 on it
[00:44:38.560 --> 00:44:43.440]   You have to there are people who use excel to run really really complex models
[00:44:43.440 --> 00:44:49.600]   And the difference between needing 30 seconds and running needing five seconds is a really really big deal
[00:44:50.240 --> 00:44:55.920]   And the the the thing that I fear is that apple is going to create a new platform
[00:44:55.920 --> 00:44:58.240]   That is going to be great for
[00:44:58.240 --> 00:45:04.480]   Not even 80 or 90 percent of the users, but great for only 80 or 90 percent of what people do
[00:45:04.480 --> 00:45:11.680]   And all of a sudden uh 10 percent of what you do on a mac is going to be utter hell for at least three or four or five years
[00:45:11.680 --> 00:45:15.760]   And I hope that's not the result, but it's a really complicated
[00:45:16.160 --> 00:45:21.200]   Transition they're they're they're planning here and their then their goal is going to be to make sure that the users don't notice
[00:45:21.200 --> 00:45:23.440]   As much of a difference at all
[00:45:23.440 --> 00:45:31.200]   Well, I yeah, all right, we'll see I think there's probably no technical reason they couldn't do it faster
[00:45:31.200 --> 00:45:36.560]   It really comes down to market considerations. They have I don't think they'll ever do touch on a desktop
[00:45:36.560 --> 00:45:39.440]   I think that they want to keep touch on the ipad
[00:45:39.440 --> 00:45:44.640]   Because that's where it properly belongs. They're making the ipad more and more of a computing system
[00:45:45.120 --> 00:45:48.960]   I expect them to put a lot of energy into iOS and ipad o s
[00:45:48.960 --> 00:45:55.680]   Uh, and the mac is why they're going to be for pros, uh, which means they don't have to move along that fast, but I think there's some
[00:45:55.680 --> 00:45:57.840]   I think there's some
[00:45:57.840 --> 00:46:03.040]   Advantage to using momentum and moving quickly. They also are not happy with intel
[00:46:03.040 --> 00:46:09.040]   And I don't know I don't think they want to do one more day making computers around intels crappy chips
[00:46:09.040 --> 00:46:14.400]   Yeah, I think that I just think that the for the heavier pro apps. It's going to be a big lift
[00:46:14.480 --> 00:46:18.720]   And it's gonna take a long time and I rewrite those you think yeah, yeah, it's going to be really hard
[00:46:18.720 --> 00:46:22.080]   And so and they and and for the lot of these pro apps you can't
[00:46:22.080 --> 00:46:24.720]   Uh
[00:46:24.720 --> 00:46:28.160]   Uh, it's going to be hard to emulate them as well to instill get the performance
[00:46:28.160 --> 00:46:32.560]   You can't for instance. You can't really run a lot of these apps in parallels or in right, you know
[00:46:32.560 --> 00:46:36.800]   Those types of things because and so that emulation isn't isn't going to be a great experience for the user
[00:46:36.800 --> 00:46:39.360]   So I think that that's going to take a little bit of time
[00:46:39.360 --> 00:46:42.400]   But I do think that um over the next year of having an air
[00:46:43.040 --> 00:46:46.960]   Able to do a lot of those things. I think makes sense. I'm also really interested in seeing AR. I'm interested in
[00:46:46.960 --> 00:46:52.240]   I'm I mean the thing that I'm most excited about and I think it could largely be something that
[00:46:52.240 --> 00:46:56.080]   I see what's possible and I'm hoping that they do it as opposed to
[00:46:56.080 --> 00:47:01.760]   Knowing whether they're going to do it or not and and that's really I think I think that USD Z is the most exciting thing that
[00:47:01.760 --> 00:47:03.760]   Apple's working on and it could change
[00:47:03.760 --> 00:47:09.600]   Many many things um, you know, we've been talking about a unified 3d platform to deliver
[00:47:10.400 --> 00:47:17.200]   Assets for two decades at least, you know, and and so the if they actually get to a point where they can reach critical mass
[00:47:17.200 --> 00:47:20.800]   And that means the the possibility of having a media container
[00:47:20.800 --> 00:47:27.680]   That is a 3d model. So I want to add something as a developer or if I want to add or and as a user
[00:47:27.680 --> 00:47:33.840]   I want to add something that being able to add a 3d model to your page's document or your keynote document or your word document
[00:47:33.840 --> 00:47:36.320]   um as easy as you can um
[00:47:36.320 --> 00:47:41.760]   Add it to as a movie or a still or anything else, you know, that's what the possibility of 3d
[00:47:41.760 --> 00:47:43.360]   USD Z is
[00:47:43.360 --> 00:47:49.680]   Is that it's the o s is taking taking all that conversion and all that display and it was we saw bits of that in quick draw 3d
[00:47:49.680 --> 00:47:53.600]   A long time ago inside a quick time, but that all went away as quick time was gutted
[00:47:53.600 --> 00:47:59.760]   You know and so the the possibility of having USD Z as as this format if you can imagine
[00:47:59.760 --> 00:48:02.960]   And then if you combine that with the lidar that we've only
[00:48:03.600 --> 00:48:07.280]   People barely understand what that lidars for um, so it doesn't make sense yet
[00:48:07.280 --> 00:48:12.480]   So hopefully WWC is going to make sense of that for us to some degree of um, you know
[00:48:12.480 --> 00:48:15.120]   All the things that you know being able to do seeing
[00:48:15.120 --> 00:48:17.760]   Not only seeing capture but asset capture
[00:48:17.760 --> 00:48:23.280]   So I have an object that I want to put as a 3d object into my page's document or in my keynote
[00:48:23.280 --> 00:48:26.640]   That I want to be able to rotate around what if I could just pick up my iPad and
[00:48:26.640 --> 00:48:31.280]   Rotate that object in front of my iPad real quickly and have a 3d model and then pop it into my keynote
[00:48:31.600 --> 00:48:35.200]   And be able to rotate it around as I show it to folks and that's not science fiction
[00:48:35.200 --> 00:48:40.000]   That is the kind of thing that that could be very well possible or email someone a 3d model
[00:48:40.000 --> 00:48:45.760]   You know after I shot it with my iPad or you know eventually other hardware and so so I think that there's um
[00:48:45.760 --> 00:48:51.040]   There's a lot of opportunity there that to just change the way we think about a lot of documents
[00:48:51.040 --> 00:48:57.840]   I think that as we see, you know a lot of iBooks flowing into into um pages
[00:48:58.160 --> 00:49:06.480]   You know there's a lot of opportunity to build really interesting documents that right now lowest common denominator solutions like pdf and and ebooks have not been able to
[00:49:06.480 --> 00:49:10.080]   um really capture that apple could still I think
[00:49:10.080 --> 00:49:16.400]   I never thought I would say that 10 years after they figured they started they might actually come back to it and be able to redefine
[00:49:16.400 --> 00:49:18.880]   You saw that they're killing iBooks
[00:49:18.880 --> 00:49:22.480]   Yeah, yeah, but page it's because pages has almost every
[00:49:22.480 --> 00:49:27.280]   Yeah, yeah, you doesn't i'm actually hotter about them killing iTunes you that one
[00:49:28.160 --> 00:49:30.160]   Peaves me
[00:49:30.160 --> 00:49:33.200]   But that's not for them. Yeah, so i'm gonna have so yeah
[00:49:33.200 --> 00:49:38.160]   So, but I think that there's there's there's opportunities there to to really change the way we we learn
[00:49:38.160 --> 00:49:45.120]   And the way we send stuff to people I wonder if apples worried about blurring the lines between the ipad os and macos
[00:49:45.120 --> 00:49:49.440]   I think they're encouraging it. They want it to blur. Yeah, I think they need to spur
[00:49:49.440 --> 00:49:52.800]   Yeah, so that ultimately they'd be one platform
[00:49:53.360 --> 00:49:59.280]   Is there a no no not not ultimately one platform, but to make make a less messy platform
[00:49:59.280 --> 00:50:06.320]   Pair of platforms for themselves. They want they I think that it ultimately they want the the ipad the iphone and a mac
[00:50:06.320 --> 00:50:09.920]   To go together about as well as an iphone and an apple watch
[00:50:09.920 --> 00:50:16.240]   They they want these things to be considered to be almost the same device with the same experiences between the two
[00:50:16.240 --> 00:50:18.320]   even if the
[00:50:18.320 --> 00:50:24.800]   Operating systems that underlying underlying each of them has certain things that the that is optimized for one task and not the other
[00:50:24.800 --> 00:50:27.840]   So I I would be very very surprised if they ever
[00:50:27.840 --> 00:50:34.240]   Consolided down into mac ios mac os a Greek name mquah
[00:50:34.240 --> 00:50:39.680]   For an of greek yogurt, but I do think that we're going to see more constrictions
[00:50:39.680 --> 00:50:42.240]   Restrictions being put on what you can do on a mac
[00:50:43.040 --> 00:50:50.240]   With the perceived benefit being that your mac will work more intimately with your with your ipad and the experience
[00:50:50.240 --> 00:50:55.920]   Of one is going to be easier to transfer to the other. There's a interesting post
[00:50:55.920 --> 00:50:59.360]   from famed apple leaker fudge
[00:50:59.360 --> 00:51:06.880]   On reddit he actually tweeted the arm mac book future is coming maybe sooner than people expect
[00:51:06.880 --> 00:51:10.080]   But his timeline actually is fairly slow. He says
[00:51:10.800 --> 00:51:15.440]   Four stages. I don't know if he knows anything or he's just predicting starting around
[00:51:15.440 --> 00:51:25.760]   Well, this says 2015. Oh, I guess he means it's already started because we've been in it. Yeah, we're already in it. Yeah, uh, release of the t1 chip
[00:51:25.760 --> 00:51:28.000]   Map books then the t2 chip mac books
[00:51:28.000 --> 00:51:35.920]   Release of at least one lower end arm mac book that would be maybe this year or next and then transitioning the full
[00:51:36.560 --> 00:51:42.560]   Line up to arm around 2023 to 2025. So he also is talking a three to five year
[00:51:42.560 --> 00:51:48.800]   And it's not saying anything we actually all have it all said in in some form or fashion. So
[00:51:48.800 --> 00:51:53.440]   Um, it's it's a long read but maybe worth reading to clarify
[00:51:53.440 --> 00:51:57.520]   And I think I think that's that's the pace that it would make the most sense
[00:51:57.520 --> 00:52:00.400]   I mean, whether he's right or not. I think the three to five year
[00:52:00.960 --> 00:52:06.720]   pace of you know constantly updating those things and giving developers plenty of time to to work on their development and
[00:52:06.720 --> 00:52:12.560]   And selling it. I mean, it's a this is a huge. It's only happened on the mac platform a couple times and so
[00:52:12.560 --> 00:52:20.240]   Um, so it's it's a big jump that needs to be done very carefully and I think arguably a bigger jump than power pc
[00:52:20.240 --> 00:52:22.880]   Motorroll at a power pc
[00:52:22.880 --> 00:52:26.240]   Maybe the same size as power pc to intel, which by the way we happened
[00:52:26.240 --> 00:52:28.880]   Within a year that happened really quickly
[00:52:29.840 --> 00:52:34.560]   That was the hardware. This is moving the yo-wap. I mean, yeah, it is. Yeah, and this is really changing the os
[00:52:34.560 --> 00:52:39.440]   You know completely so it's really moving from the mac os to to um to
[00:52:39.440 --> 00:52:45.680]   Yeah, that's that's what I was going to say too. Uh, it really is absolutely that fundamental
[00:52:45.680 --> 00:52:48.720]   More than moving to intel was
[00:52:48.720 --> 00:52:53.680]   I would say so I mean, it like I do think this is going to be a painful one
[00:52:53.680 --> 00:52:58.640]   And I don't it's it's also going to be really really difficult for again people like me that
[00:52:59.040 --> 00:53:03.120]   Uh, they're just it kind of sucks to be in a position where you feel as though
[00:53:03.120 --> 00:53:11.040]   Naturally, it's time for me to spend several thousand dollars on a new desktop. Yeah, you don't want to do it necessarily knowing
[00:53:11.040 --> 00:53:14.240]   Yeah, I at least want to hold off for at least a year to see
[00:53:14.240 --> 00:53:19.360]   What their timetable is and if it's if it's going to be as painful well, you might know monday they might
[00:53:19.360 --> 00:53:26.800]   Know it. Yeah, maybe they'll make it really clear what their table is and like say it's a risk by 2025
[00:53:26.960 --> 00:53:28.960]   We will have all
[00:53:28.960 --> 00:53:33.920]   Max on arm the other side of this is this careful because this is the risk of osboarding yourself too, right?
[00:53:33.920 --> 00:53:37.280]   If you say yeah, we're gonna have we're gonna have it'll be two years
[00:53:37.280 --> 00:53:41.360]   We'll have mac then in arm and then and he's not gonna buy a computer for two years
[00:53:41.360 --> 00:53:46.000]   I don't think that apple suffers from that though because if that were true
[00:53:46.000 --> 00:53:50.800]   Every single year people wouldn't buy a new mac because they're waiting for the next one
[00:53:50.800 --> 00:53:52.880]   So I don't think apple fits in that same
[00:53:53.680 --> 00:53:57.200]   Ideology, you know, we had some of the pressure max all the time
[00:53:57.200 --> 00:54:03.280]   Right the pressure is a little lower as well because of the amount of apples revenue that's based on their
[00:54:03.280 --> 00:54:06.720]   The mac, you know, it's just it's they can
[00:54:06.720 --> 00:54:12.000]   Do this with a little less risk because it's a pretty small percentage of their of their income
[00:54:12.000 --> 00:54:16.960]   It was the only guess they who brought up the osborn effectiveness monday note
[00:54:16.960 --> 00:54:23.200]   Um, and that is you know, but I think you're right. I think lori you're right that apple is not as sensitive to that as other
[00:54:23.760 --> 00:54:27.200]   PC manufacturers. I mean, it's good. It's a good thing to wonder but
[00:54:27.200 --> 00:54:30.640]   You know, that's the same thing is, you know, will the iphone
[00:54:30.640 --> 00:54:37.440]   10r cannibalize the iphone 10 lineup will clearly it didn't so like there every time
[00:54:37.440 --> 00:54:43.840]   You use like sort of market standards for what you think apple does wrong they seem to overcome that and and
[00:54:43.840 --> 00:54:49.840]   They just fit in a different in a different world and when it comes to tech and what we what we don't know
[00:54:50.240 --> 00:54:55.360]   You're absolutely you're absolutely the other the other risk that apple is falling into though is that and again
[00:54:55.360 --> 00:54:58.000]   I'm using myself as an example here that I
[00:54:58.000 --> 00:55:03.120]   I'm no longer in the world where I have to buy one computer to do everything for me
[00:55:03.120 --> 00:55:07.280]   And so as i'm considering what do I want to do for my mobile solution?
[00:55:07.280 --> 00:55:09.360]   What do I want to do for my desktop solution?
[00:55:09.360 --> 00:55:11.120]   What do I want to do for my ultra mobile solution?
[00:55:11.120 --> 00:55:17.120]   Part of it is that if apple is if there's this much if there's a lot if i'm left with a lot of confusion about
[00:55:17.760 --> 00:55:26.480]   When i'll be able to buy a desktop class like a pro a powerful grade desktop Macintosh for my photoshop work for video editing work for any
[00:55:26.480 --> 00:55:33.520]   3d modeling work i might want to do i might decide that well, let's at least throw windows 10 devices like an amd
[00:55:33.520 --> 00:55:35.840]   cpu device
[00:55:35.840 --> 00:55:39.760]   desktop into the into the mix because i've already long ago
[00:55:39.760 --> 00:55:45.680]   Sort of switched ever since apple pulled aperture from under me that was like, okay
[00:55:45.680 --> 00:55:51.440]   Well, now i sort of have to use lightroom because it's the only thing that will do an aperture sort of thing for me
[00:55:51.440 --> 00:55:55.120]   Which means that now i'm using lightroom and photoshop no problem moving there
[00:55:55.120 --> 00:55:59.760]   I'm already using like an open source video editor that runs on any platform i want
[00:55:59.760 --> 00:56:07.200]   The modeling program again any any platform i want so i'm actually for the for the super powerful desktop solution
[00:56:07.200 --> 00:56:10.560]   I'm perfectly free to move to windows if i want to i don't want to
[00:56:10.560 --> 00:56:14.960]   But if i do want something that's going to last me five six seven eight nine years
[00:56:15.440 --> 00:56:18.080]   Unless apple really explains to me as a consumer
[00:56:18.080 --> 00:56:23.760]   Here is if you need if you need a good iMac pro or a like a two thousand dollar
[00:56:23.760 --> 00:56:28.480]   Outfitted uh Mac mini here is the day that you're going to be able to buy an amd
