;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[00:39:25.360 --> 00:39:28.560]   It's a choice. It's a choice
[00:39:28.560 --> 00:39:34.560]   But like I and that's unfortunate because I do understand the social nature of facebook
[00:39:34.560 --> 00:39:38.240]   People want to stay connected and it seems like such a lost opportunity that this
[00:39:38.240 --> 00:39:43.360]   What was potentially a huge idea is just getting so sour with all these controversies
[00:39:43.920 --> 00:39:50.000]   So excited when mark wrote that blog post that I actually I had killed my facebook account
[00:39:50.000 --> 00:39:53.200]   I reactivated it and then I got talked down
[00:39:53.200 --> 00:39:59.360]   People said wait a minute and actually at f8 he reiterated all these important things were going to be private
[00:39:59.360 --> 00:40:03.840]   We're going to have end-end encryption wait till you see it and they announced nothing
[00:40:03.840 --> 00:40:06.480]   They made zero changes
[00:40:06.480 --> 00:40:09.760]   Louise is is it do you?
[00:40:09.760 --> 00:40:12.960]   Am I wrong in thinking that mark is full of it?
[00:40:13.920 --> 00:40:16.800]   Uh, I think like he is kind of full of it
[00:40:16.800 --> 00:40:21.680]   But I think that there what the problem is facebook is grappling with this fundamental problem
[00:40:21.680 --> 00:40:28.480]   Is that there was a time when you added everyone you you knew to facebook right and now it's been too long
[00:40:28.480 --> 00:40:30.000]   I've had facebook for over a decade
[00:40:30.000 --> 00:40:35.760]   So now it's everyone i've ever met in the last decade and there's like nothing that's reasonable to share with all of those people at once
[00:40:35.760 --> 00:40:40.640]   Right like we don't really know what to do anymore like when I was a heavy facebook user. That's an interesting problem
[00:40:40.640 --> 00:40:42.640]   I hadn't even thought of that
[00:40:43.440 --> 00:40:48.800]   Like that's the issue is that like why would you want to share with all these people you know have kids now that you don't really talk
[00:40:48.800 --> 00:40:52.880]   To wear that like it's just photos of their kids like and I think it's true for younger people too like
[00:40:52.880 --> 00:40:59.680]   No one wants to share everything with their second cousin and some guy who was in their english class freshman europe college
[00:40:59.680 --> 00:41:04.320]   Like that doesn't really make sense and the only way to fix that I think is to go private
[00:41:04.320 --> 00:41:08.880]   So I think that mark is addressing a genuine issue and I think it's not just the privacy scandals
[00:41:08.960 --> 00:41:14.560]   It's that like you said it's perfect for a high school reunion or a college reunion or something because it's essentially a scrapbook
[00:41:14.560 --> 00:41:19.840]   It's not really a live network anymore. I think for a lot of people in north america, especially and I think that
[00:41:19.840 --> 00:41:24.160]   Yeah, people like group chats people like one-on-one chats. That's not going to go away
[00:41:24.160 --> 00:41:26.320]   But like this weird
[00:41:26.320 --> 00:41:30.160]   You know memory book is like super eerie and strange for a lot of people now
[00:41:30.160 --> 00:41:33.280]   I mean, I think it's like what in a couple decades is going to be more dead people than
[00:41:33.280 --> 00:41:36.240]   Live people on facebook and that's gonna be really weird
[00:41:36.560 --> 00:41:42.000]   The oxford internet institute predicted that based on 2018 user levels
[00:41:42.000 --> 00:41:46.880]   The dead will outnumber the living on facebook by 2070
[00:41:46.880 --> 00:41:50.720]   That's why I will be one of them. I'm just saying no
[00:41:50.720 --> 00:41:55.360]   That is a weird number and a weird statistic
[00:41:55.360 --> 00:42:03.120]   But you raised a more interesting point which is that basically you and daniel have both kind of outgrown facebook that facebook
[00:42:03.760 --> 00:42:09.120]   Served a purpose for you at one time, but there was no easy way to take facebook with you into your modern life
[00:42:09.120 --> 00:42:14.000]   Well, it's still offensive to unfriend someone right like there's no you can mute them
[00:42:14.000 --> 00:42:18.480]   But like there's not like a path to like i haven't spoken to you in six years. I'm just gonna delete you
[00:42:18.480 --> 00:42:24.080]   Like that's not we don't really have like, you know, we don't like that's still kind of weird and it's like oh, I hope they don't notice
[00:42:24.080 --> 00:42:28.080]   So why wouldn't you do this? You just you don't want to hurt anybody's feelings
[00:42:28.640 --> 00:42:32.560]   It's just like not socially acceptable like we don't have the like normal social
[00:42:32.560 --> 00:42:36.640]   You know contract like we already had the normal contract for the positive side
[00:42:36.640 --> 00:42:41.520]   Which is like okay? You become friends with somebody maybe like after you hang out once or twice you add them on facebook
[00:42:41.520 --> 00:42:46.880]   But we have never decided what you do in six years when like you haven't talked to them in five years and you don't
[00:42:46.880 --> 00:42:49.520]   You know you have no way to say bye
[00:42:49.520 --> 00:42:52.800]   So they never call someone to tell them you're going to stop talking to them
[00:42:52.800 --> 00:42:54.720]   Yeah, you don't just ghost them
[00:42:55.200 --> 00:43:02.720]   You just ghost them right so this is a problem. It sounds like you there's so the one of facebook's problem is no one under 25 uses at all
[00:43:02.720 --> 00:43:06.800]   The next problem apparently is there's a generation that did use it
[00:43:06.800 --> 00:43:09.360]   But now feels like it doesn't have any meaning in their life
[00:43:09.360 --> 00:43:14.560]   In fact totally the big problem with facebook is it's mostly all people like me. They're using it
[00:43:14.560 --> 00:43:17.760]   Oh, yeah, like they just released this new
[00:43:17.760 --> 00:43:22.400]   Thing called secret crush where it's going to be in countries where there's facebook dating
[00:43:22.560 --> 00:43:25.680]   Yeah, so basically what you can say is like you can say
[00:43:25.680 --> 00:43:30.960]   Uh, you have a crush on louise and then if I put you on my crush list then we're like matched together
[00:43:30.960 --> 00:43:33.440]   And when this came out
[00:43:33.440 --> 00:43:37.200]   Yeah, so it's horrible and if you don't put the same person on your list
[00:43:37.200 --> 00:43:40.560]   Then you just like know that somebody had a crush on you, but you don't know who it is
[00:43:40.560 --> 00:43:43.040]   It's kind of like tender though. Isn't that a little tindry?
[00:43:43.040 --> 00:43:48.960]   Yeah, yeah, it's kind of tindry except like it's so facebook. It's like they get jealous of some other
[00:43:49.600 --> 00:43:53.360]   Product or company so they oh what we can do that and then they don't do it right
[00:43:53.360 --> 00:43:58.400]   Yeah, but what I thought was interesting about this is that everyone saw it and they were like oh my god
[00:43:58.400 --> 00:44:03.520]   Like teens like the teens are gonna love this and it's like no I think that boomers are gonna love this
[00:44:03.520 --> 00:44:05.680]   I really think that's who's gonna be using it
[00:44:05.680 --> 00:44:11.280]   Like it's not gonna be teens like why would you that'd be so awkward if you have better better ways to do it
[00:44:11.280 --> 00:44:15.680]   They have snapchat they have other techniques that are better. They're on tick-tock like they're not on facebook
[00:44:15.680 --> 00:44:16.560]   Yeah
[00:44:16.560 --> 00:44:19.520]   And I think it's cool. Yeah, they don't have a trouble meeting people so much
[00:44:19.520 --> 00:44:23.760]   I mean, I think older adults do because we're like wrapped up in jobs and we don't get out
[00:44:23.760 --> 00:44:26.240]   So it's you don't have that social stuff
[00:44:26.240 --> 00:44:32.240]   I just get sort of my fundamental problems or with just venture capitalism and these companies
[00:44:32.240 --> 00:44:36.320]   In general, which is facebook and for tree was one of those companies started off
[00:44:36.320 --> 00:44:40.480]   Like I said that is a really good idea for keeping people connected, but that was never enough right?
[00:44:40.480 --> 00:44:44.080]   So as soon as these companies start taking venture capital money, it's all about growth
[00:44:44.080 --> 00:44:48.160]   They had to constantly be growing at exponential rates forever
[00:44:48.160 --> 00:44:52.240]   And that means you have to constantly be innovating and creating new things
[00:44:52.240 --> 00:44:55.440]   And sometimes a facebook could be just facebook, right?
[00:44:55.440 --> 00:45:00.000]   It could just be this basic chat thing like how we all yearn for the days of aim
[00:45:00.000 --> 00:45:04.320]   Um, but they don't have that luxury. They have to always keep adding more stuff
[00:45:04.320 --> 00:45:09.200]   They they went down that path of advertising years ago. We heard that you know media was dead
[00:45:09.200 --> 00:45:10.720]   It's all gonna be facebook publishing
[00:45:10.720 --> 00:45:16.160]   So they've gone away from their roots of what it was supposed to be with this and in this point about
[00:45:16.160 --> 00:45:21.840]   Not sharing certain things with like, you know college people versus a friend versus your co-workers
[00:45:21.840 --> 00:45:25.760]   It's totally accurate. It's a really good, you know point that what we share now
[00:45:25.760 --> 00:45:29.200]   It just has very different audiences and there's no way to segregate that now
[00:45:29.200 --> 00:45:33.920]   So is there something gonna come along to displace it? That's a problem. Nothing has
[00:45:33.920 --> 00:45:37.680]   Why not
[00:45:37.920 --> 00:45:43.200]   Why is it some smart techie out there saying I got better idea why I could make something new
[00:45:43.200 --> 00:45:49.360]   The hooks are way too big, you know that to to have somebody just come in and push them out
[00:45:49.360 --> 00:45:54.000]   If anybody can attempt to push them out, but it's hope you have to be where all your friends are
[00:45:54.000 --> 00:45:57.360]   Even if you haven't seen them in five years, you have to be where they are
[00:45:57.360 --> 00:46:02.400]   It's actually a problem of how to get other your friends and family onto it saying with chat apps
[00:46:02.400 --> 00:46:04.640]   It's such a lock into the system
[00:46:04.720 --> 00:46:10.160]   But I mean, I think that possibility exists if facebook was gonna be one of those like it's like makarsoff from the 90s
[00:46:10.160 --> 00:46:16.000]   They hurt themselves enough that people will leave and that's so far facebook's biggest threat has been itself
[00:46:16.000 --> 00:46:22.160]   It's inflicting its own damage to itself causing people to to leave but we haven't seen another company
[00:46:22.160 --> 00:46:28.480]   Leverage or take advantage of that. It's just it's a very difficult problem. I disagree. I'm a little bit more optimistic
[00:46:28.480 --> 00:46:30.000]   I think that
[00:46:30.000 --> 00:46:36.160]   Facebook was in a really good position to copy snapchat which they did and they basically destroyed snapchat snapchat snapchat hanging on by a threat
[00:46:36.160 --> 00:46:38.160]   They destroyed it not with facebook with instagram
[00:46:38.160 --> 00:46:44.960]   Right and they just stole facebook's core feature which is stories just completely ripped it off made a better version that has more daily users
[00:46:44.960 --> 00:46:47.200]   Right they put it into what's that people like in a what's up
[00:46:47.200 --> 00:46:51.760]   I do not think that tick that facebook is well positioned to copy tick tock
[00:46:51.760 --> 00:46:54.720]   I don't think that they're gonna be able to copy tick tock and that's what all the teens are using
[00:46:55.040 --> 00:46:59.600]   But it's fundamentally different isn't tick-tock just another vine and vine didn't survive
[00:46:59.600 --> 00:47:07.440]   What makes you think tick tock's gonna last teens are notoriously fickle they're gonna be doing something they they came to tick tock through musically
[00:47:07.440 --> 00:47:12.960]   They're just gonna do something else in a year or two or the next generation is gonna say oh we like this instead
[00:47:12.960 --> 00:47:17.040]   I do you really think that that tick tock is a is a threat to facebook
[00:47:17.040 --> 00:47:23.280]   Not to facebook necessarily but I think that there's at least some differentiation like it's not just it's not just facebook and instagram
[00:47:23.280 --> 00:47:26.320]   Really there's another app that has a you know owned by a different company. I see what you're saying
[00:47:26.320 --> 00:47:28.560]   Yeah, there's already a really strong
[00:47:28.560 --> 00:47:31.360]   Facebook we need to think of new things
[00:47:31.360 --> 00:47:34.160]   Yeah, they have a much more interesting revenue model
[00:47:34.160 --> 00:47:39.200]   I think that's not completely driven by advertising like the kind of like sponsored content they do on tick tock
[00:47:39.200 --> 00:47:41.360]   I think is a little bit more innovative and not something that
[00:47:41.360 --> 00:47:46.720]   Facebook can easily copy and there's you know, it's been downloaded over a billion times. That's pretty good
[00:47:46.720 --> 00:47:52.160]   But you don't use tick tock. I mean the tick tock's for 12 year olds. I love tick tock. I use tick tock all the time
[00:47:52.160 --> 00:47:53.440]   Oh, really?
[00:47:53.440 --> 00:47:57.040]   Yeah, I think tick tock's great. It's really fun. Are you a creator? Do you make videos?
[00:47:57.040 --> 00:48:01.280]   I make some videos, but I would not say I'd say I mostly view rather than
[00:48:01.280 --> 00:48:07.120]   Then create but I like making tick tock's. It's fun. It's in a way that I think posting on facebook is absolutely not
[00:48:07.120 --> 00:48:13.440]   And you say it's definitely a bunch more creative and your friend group is obviously must also use tick tock, right?
[00:48:13.440 --> 00:48:17.760]   I would say most of my friends use tick tock or tech writers. So it's probably not a fair
[00:48:19.520 --> 00:48:22.320]   group of people, but I was surprised on tick tock how many
[00:48:22.320 --> 00:48:27.760]   Yeah, the stereotype is that it's 13 year olds, but there are like cops on tick tock their teachers on tick tock
[00:48:27.760 --> 00:48:32.400]   There are moms on tick tock like there are there's way too many people using it for it to just be
[00:48:32.400 --> 00:48:35.680]   Teens who does not enough teens
[00:48:35.680 --> 00:48:40.960]   So there's a baffle thing. This looks exactly to me like exactly like fun. It's like everything else
[00:48:40.960 --> 00:48:45.520]   Why is this why is this better than vine and why didn't vine survive if this is such a good idea?
[00:48:45.760 --> 00:48:53.600]   Wasn't vine more about a financial decision not necessarily like I'm not sure they got sold. Yeah, but they didn't really need to kill vine
[00:48:53.600 --> 00:48:55.280]   And vine had a lot of
[00:48:55.280 --> 00:49:01.040]   original creators who saw you know back they later became youtube stars and tried to transition to youtube ones
[00:49:01.040 --> 00:49:03.840]   youtube stars
[00:49:03.840 --> 00:49:06.560]   Really big youtube stars like a lot of those people succeeded
[00:49:06.560 --> 00:49:11.520]   You know, it's not as though like the creators on there were bad or like weren't popular by any minutes
[00:49:11.920 --> 00:49:16.720]   So it's ironic because twitter bought vine and by doing so helped youtube
[00:49:16.720 --> 00:49:20.160]   Which is basically which is weird
[00:49:20.160 --> 00:49:23.280]   Okay. Yeah, two two things
[00:49:23.280 --> 00:49:28.400]   first I I don't think I'll ever understand the whole social media
[00:49:28.400 --> 00:49:37.360]   issue far as unfriending somebody if this were just regular everyday life and somebody I haven't talked to in five years
[00:49:37.440 --> 00:49:42.560]   It just it just goes on life just goes on. I don't bring them up. They don't bring me up
[00:49:42.560 --> 00:49:46.400]   And it just life goes on the difference is
[00:49:46.400 --> 00:49:49.200]   It seems like it's affecting people
[00:49:49.200 --> 00:49:55.520]   By going in and clicking unfollow. Does it send notifications when someone unfollows you or what have you
[00:49:55.520 --> 00:49:59.280]   People know they're they see their numbers go down, right?
[00:49:59.280 --> 00:50:01.840]   Like the
[00:50:01.840 --> 00:50:04.800]   Still not saying and prove it unfollows you because
[00:50:05.840 --> 00:50:11.520]   They find out who's they would culprit is and there were I remember even on twitter this was a thing
[00:50:11.520 --> 00:50:13.520]   You can get a twitter app. It was
[00:50:13.520 --> 00:50:18.320]   See your followers and who you follow and it would actually show you who would apologize
[00:50:18.320 --> 00:50:20.960]   Yeah, and it was just like oh
[00:50:20.960 --> 00:50:25.040]   And then it's psychological it really messes with you because you're like what did I say?
[00:50:25.040 --> 00:50:29.280]   Well, I noticed
[00:50:29.280 --> 00:50:34.000]   The more I tweeted the more people left so if you say nothing on twitter
[00:50:34.560 --> 00:50:37.600]   That's when you're following that or just bring up politics
[00:50:37.600 --> 00:50:41.680]   Anything you say is going to offend somebody you're going to lose followers. So shut up
[00:50:41.680 --> 00:50:46.880]   And my account just goes up or own the offensiveness, which is what I try to do
[00:50:46.880 --> 00:50:53.280]   This the world of social media can we agree is broken badly broken and not good for
[00:50:53.280 --> 00:50:59.200]   Humans and other living things. Yeah, I have a lot of thought on it because like humans are where I call them
[00:51:00.160 --> 00:51:07.280]   We're psychotic and social like we're we're just obsessed with the need to have human contact at any level
[00:51:07.280 --> 00:51:12.640]   No matter how far this thing it is and seeing someone and being able to share and you know
[00:51:12.640 --> 00:51:14.880]   And really just go out there and create in part of it
[00:51:14.880 --> 00:51:16.720]   It stems from that creative ability as humans
[00:51:16.720 --> 00:51:22.720]   Some of it just is just the fact we talk and where do you only species that talks at least at this sophisticated level
[00:51:22.720 --> 00:51:26.800]   And we just have this need inside to constantly share
[00:51:26.800 --> 00:51:32.320]   Which is why every computational program that comes out the first thing that people come up with are like ways to talk to other people
[00:51:32.320 --> 00:51:37.120]   Whether it's a messaging like if you look back at the internet days like the early days. It was messaging right? I brought up a
[00:51:37.120 --> 00:51:40.480]   And like
[00:51:40.480 --> 00:51:42.640]   Actually, I go back far enough on the internet
[00:51:42.640 --> 00:51:50.800]   That the initial experiences of the internet and this is pre web. This is go for an Archie and stuff. We're very sterile
[00:51:50.800 --> 00:51:54.080]   Usenet was you know the news groups were
[00:51:54.800 --> 00:52:01.120]   One way and but I think you're exactly right that there was the strong pressure was to become a communication medium
[00:52:01.120 --> 00:52:07.520]   And that really the internet did not become a mass tool until it was about communication
[00:52:07.520 --> 00:52:10.960]   And in fact you could probably make the argument about computers in general
[00:52:10.960 --> 00:52:16.320]   That it wasn't until they became communications devices that they got mass acceptance the kind
[00:52:16.320 --> 00:52:18.880]   But this is the weird thing about social media
[00:52:18.880 --> 00:52:24.240]   Is it appeals to people who have isolated themselves because of technology? Yes
[00:52:24.720 --> 00:52:27.680]   With pseudo communica pseudo relationship
[00:52:27.680 --> 00:52:33.840]   I admit that it is a pseudo relationship from not a healthy thing. I don't think
[00:52:33.840 --> 00:52:35.840]   I'm a
[00:52:35.840 --> 00:52:40.880]   Really really really stubborn introvert and I don't have a lot of what do you say?
[00:52:40.880 --> 00:52:47.440]   What do you call them? IRL friends in real-life friends see this is why you and I get along because i'm the same way
[00:52:47.440 --> 00:52:51.920]   I bet most of the people listen to show are stubborn introverts
[00:52:52.720 --> 00:52:57.360]   You know and and i'm totally fine. We're just spending my time in these four walls and doing what I do
[00:52:57.360 --> 00:53:02.320]   I work my family, but I do enjoy the friends that I have made
[00:53:02.320 --> 00:53:04.160]   socially on
[00:53:04.160 --> 00:53:07.120]   social media whether it's twitter or google plus long live google plus
[00:53:07.120 --> 00:53:12.400]   And just talking to them here and there over my mobile phone or over the computer
[00:53:12.400 --> 00:53:17.600]   And it's okay. It's just not I don't feel any pressure
[00:53:18.080 --> 00:53:21.680]   About the social media stuff the way other people are filling in with this
[00:53:21.680 --> 00:53:23.200]   This whole
[00:53:23.200 --> 00:53:24.160]   friending and
[00:53:24.160 --> 00:53:29.840]   Unfriending and likes and dislikes and it just I don't get it. You don't like I get it though
[00:53:29.840 --> 00:53:32.160]   If you're a teenager and you go on instagram
[00:53:32.160 --> 00:53:38.640]   Your friends and they're out doing something on a friday night having the time their lives and you're watching on your phone from home
[00:53:38.640 --> 00:53:41.920]   That that is the teenager that stuff is like
[00:53:42.960 --> 00:53:46.640]   Well, yes from a teenage standpoint that does make sense, you know
[00:53:46.640 --> 00:53:48.800]   Well, well, we're talking about two different things
[00:53:48.800 --> 00:53:54.720]   I think is the issue is that like the issue with facebook and why it's uncomfortable is that what facebook did in instagram is that they leverage
[00:53:54.720 --> 00:53:56.880]   Your real life social graph, right?
[00:53:56.880 --> 00:54:00.800]   Like the people you friend on facebook are mostly people that you know from real life first
[00:54:00.800 --> 00:54:05.680]   And that's like facebook's value is that like it actually has a social graph that mirrors the real world
[00:54:05.680 --> 00:54:07.680]   Yeah, I like twitter better
[00:54:07.680 --> 00:54:12.400]   I like tiktok better because i'm following people I don't know for the most part from real life
[00:54:12.400 --> 00:54:17.920]   And it is a window into something new whereas like facebook is a window into like my past because it's everyone I actually know
[00:54:17.920 --> 00:54:21.760]   Interesting you like it. You don't know the people you follow on twitter
[00:54:21.760 --> 00:54:26.880]   Well, because it's something new right like i'm not seeing like, you know an acquaintance baby or something
[00:54:26.880 --> 00:54:31.200]   I'm seeing like, you know, someone who lives in the other side of the world or someone who has a different viewpoint for me
[00:54:31.200 --> 00:54:33.200]   You know, I think that's more interesting
[00:54:33.200 --> 00:54:40.800]   Maybe this is just me but one of the reasons I left twitter I kind of my account still there because I I can't force myself to throw away half a million
[00:54:40.800 --> 00:54:43.040]   followers, but
[00:54:43.040 --> 00:54:46.000]   One of the reasons I stopped using it is I realized I was using it
[00:54:46.000 --> 00:54:50.480]   As a distraction I was using it as like i'm bored
[00:54:50.480 --> 00:54:54.160]   I'm gonna look at a twitter feed and it's good at that right because it's a bunch of stuff
[00:54:54.160 --> 00:54:58.240]   It's all okay. It's you know, boom boom boom. It's very dazzly
[00:54:58.240 --> 00:55:02.080]   And I realized that that wasn't a healthy use of that that was like
[00:55:02.880 --> 00:55:07.440]   That was like crack that was like, you know jacking into something because I was bored
[00:55:07.440 --> 00:55:10.080]   and they were oh yeah
[00:55:10.080 --> 00:55:13.040]   And I didn't think that was a healthy thing is that
[00:55:13.040 --> 00:55:16.960]   You said that about any of the social media all of it is yeah all of it ultimately is
[00:55:16.960 --> 00:55:22.800]   Yeah, I don't think we've like learned how to reckon with that and I don't think we I don't think we're gonna know
[00:55:22.800 --> 00:55:28.720]   It's we're all kind of the test generation of this right like none of us have been using any of the stuff for more than you know
[00:55:28.800 --> 00:55:33.360]   10 15 years like maybe you use use net or something like that, but the real like super charged
[00:55:33.360 --> 00:55:34.960]   Uh
[00:55:34.960 --> 00:55:38.720]   Newsfeeds are only what you less than 10 years old for the most part
[00:55:38.720 --> 00:55:42.960]   Yeah, so I think that we just don't know exactly how this is like, you know messing with our brains
[00:55:42.960 --> 00:55:44.160]   I think it's hard sometimes
[00:55:44.160 --> 00:55:49.360]   I mean I am because I have been using this going back to the well in the mid 90s and the use net
[00:55:49.360 --> 00:55:51.760]   I have been using this for more than 20 years
[00:55:51.760 --> 00:55:58.400]   And I am starting to pull back not liking what it's done and how I killed my facebook
[00:55:58.400 --> 00:56:03.040]   Account I killed my instagram account at first I killed my twitter account then I thought better of it
[00:56:03.040 --> 00:56:06.320]   But maybe I still will I think maybe followers
[00:56:06.320 --> 00:56:09.520]   Yeah, that's the thing it's hard to throw away that many followers
[00:56:09.520 --> 00:56:12.320]   But i'm thinking that maybe in five or ten years
[00:56:12.320 --> 00:56:15.360]   Louise you'll be doing the same thing you'll have come to that same point
[00:56:15.360 --> 00:56:18.880]   Yeah, I definitely think I have I deleted instagram
[00:56:18.880 --> 00:56:20.320]   I don't redownload instagram
[00:56:20.320 --> 00:56:25.440]   I delete twitter or redownload twitter like I definitely have like a lover love and hate relationship with the stuff
[00:56:25.520 --> 00:56:29.200]   And I think it's definitely like fundamentally unhealthy in a way that like no one is like
[00:56:29.200 --> 00:56:32.800]   Oh, I'm gonna stop reading books because like that's making me feel bad
[00:56:32.800 --> 00:56:36.080]   Right like we don't have that same kind of relationship with other forms of media
[00:56:36.080 --> 00:56:43.040]   Maybe television people do try and watch less television, but I don't think it's the same like this is hurting a deep part of my brain
[00:56:43.040 --> 00:56:47.600]   It is exactly the phenomenon that happens with any addiction
[00:56:47.600 --> 00:56:52.480]   Although I would say in the process of getting off an addiction. That's exactly what addicts do
[00:56:53.200 --> 00:56:58.720]   Is we we go. Oh, yeah get rid of it all and then we go. Oh, I can't I can't leave you and then we come
[00:56:58.720 --> 00:57:03.040]   There's this push pull until eventually either goes one way or the other
[00:57:03.040 --> 00:57:06.960]   I think that's a that's a classic syndrome. Go ahead. I'm sorry Daniel
[00:57:06.960 --> 00:57:08.720]   Oh, no, it's just gonna say with Netflix
[00:57:08.720 --> 00:57:12.080]   It wasn't there that study out recently showing that people are having less coitus
[00:57:12.080 --> 00:57:14.480]   Because they binge watching shows
[00:57:14.480 --> 00:57:18.720]   We will know if in a few years the birth rate population doesn't decide
[00:57:18.720 --> 00:57:21.760]   Is it already plummeting?
[00:57:21.760 --> 00:57:23.760]   Yeah, apparently
[00:57:23.760 --> 00:57:27.040]   But we're not any social media too like I mean I
[00:57:27.040 --> 00:57:32.080]   Usually in plug on twitter on the weekends like I really don't look at it and I take force time off
[00:57:32.080 --> 00:57:37.120]   We we have phones now that tell you how much time you're using you know, it's too better
[00:57:37.120 --> 00:57:39.200]   Which is I think a big
[00:57:39.200 --> 00:57:42.480]   Harbinger of all this stuff are really showing you the problem
[00:57:42.480 --> 00:57:46.400]   But also that we recognize it right that we're trying to now put in restraints on this
[00:57:46.400 --> 00:57:48.880]   So that we're not looking at our phones too much
[00:57:48.880 --> 00:57:51.200]   But we are constantly surrounded by
[00:57:51.200 --> 00:57:55.200]   Data information and we want it we crave it
[00:57:55.200 --> 00:57:57.360]   But we do need to take breaks from it
[00:57:57.360 --> 00:58:02.880]   I think people are becoming a little bit aware of this more and it's gonna have to evolve eventually education schools around just
[00:58:02.880 --> 00:58:08.400]   You know like a civics course i'll teach you about online civility and how to best use social
[00:58:08.400 --> 00:58:12.640]   It needs to be integrated at some level so people have this information for themselves
[00:58:12.640 --> 00:58:16.720]   Totally agree now one more thing getting back to the whole
[00:58:17.600 --> 00:58:19.760]   F8 statement from mr. Zuckerberg
[00:58:19.760 --> 00:58:23.680]   I know most of us are like yeah, he's full of crap, but
[00:58:23.680 --> 00:58:31.920]   Is that fair should we give them the chance to to to earn our trust back? I agree 100%
[00:58:31.920 --> 00:58:35.360]   I am going to give him the chance the minute he does this
[00:58:35.360 --> 00:58:40.240]   I won't recreate my facebook account, but at this point they've done nothing
[00:58:40.240 --> 00:58:42.480]   Right
[00:58:42.480 --> 00:58:47.520]   I think there's no such thing wrong. We're sleeping with one eye open, you know, but yeah give him a shot
[00:58:47.840 --> 00:58:49.200]   you know
[00:58:49.200 --> 00:58:53.120]   They're gonna have to do this just for business reasons and that's always sort of the worst reason
[00:58:53.120 --> 00:58:56.160]   Like they're not doing this because all of a sudden they're like, you know
[00:58:56.160 --> 00:58:59.120]   We decided we're going to be a leader in this area
[00:58:59.120 --> 00:59:05.120]   They're doing it because they're about to face a massive fine a fine so large that they're like don't focus on how much the fine
[00:59:05.120 --> 00:59:07.120]   $3 billion to $5 billion
[00:59:07.120 --> 00:59:12.720]   Yeah, you know, so there don't look at that, you know, but so they're doing it fun, but they have to do for business reasons
[00:59:12.720 --> 00:59:16.720]   They're they're publicly traded. They have stock. They have it's very public what they do
[00:59:16.800 --> 00:59:18.800]   So they're going to turn us around because
[00:59:18.800 --> 00:59:23.200]   The public is turning against them. So it's a PR thing and that doesn't mean
[00:59:23.200 --> 00:59:26.560]   You know, listen Microsoft had to do that too, right?
[00:59:26.560 --> 00:59:29.760]   A lot of companies go through this stage where they're just not publicly
[00:59:29.760 --> 00:59:32.720]   Admired anymore and they have to change and that's fine
[00:59:32.720 --> 00:59:36.720]   It's market pressure is changing for hopefully the good but it does remain to be seen
[00:59:36.720 --> 00:59:40.080]   But I think they'll they will have to do this because people are going to just demand it
[00:59:40.080 --> 00:59:42.240]   Yeah
[00:59:42.240 --> 00:59:44.480]   I for one i'm not looking forward to a world where
[00:59:45.280 --> 00:59:50.720]   Instagram dms facebook messenger and WhatsApp is all integrated on the back end. I think that sounds like a nightmare
[00:59:50.720 --> 00:59:55.760]   Uh, that's one aspect of this pivot to privacy that i'm not really looking forward to
[00:59:55.760 --> 01:00:00.800]   I do wish though that there were you kind of a unified platform because that we mentioned that earlier
[01:00:00.800 --> 01:00:06.960]   Uh, I don't know how to actually hanker for aim, but it would be nice to have one messaging platform that worked with everything
[01:00:06.960 --> 01:00:09.440]   Trillion yeah
[01:00:09.440 --> 01:00:11.920]   Pigeon
[01:00:11.920 --> 01:00:14.480]   Those were the days right
[01:00:14.480 --> 01:00:15.920]   Actually
[01:00:15.920 --> 01:00:17.520]   Go ahead
[01:00:17.520 --> 01:00:20.880]   I was just saying for like seamless reasons it is nice to have something kind of streamlined
[01:00:20.880 --> 01:00:23.200]   But like if you don't want to be on facebook and you just want to be an instagram
[01:00:23.200 --> 01:00:26.720]   It sucks to have that integration and I think that part of the reason they're doing that is to
[01:00:26.720 --> 01:00:31.040]   Uh, you know, stave off antitrust accusations that they own three of the biggest
[01:00:31.040 --> 01:00:35.760]   You know social and messaging platforms in the world and instead they're gonna say actually they're just one platform
[01:00:35.760 --> 01:00:38.160]   Yeah, you know, there's they're not three platforms anymore
[01:00:38.160 --> 01:00:40.880]   And I think that we have to look at kind of the reasons why they're doing that
[01:00:40.960 --> 01:00:45.920]   Well, that's exactly the reason I wouldn't want to do whatever that platform is I wouldn't really want to do apple messages
[01:00:45.920 --> 01:00:49.120]   Either I'd love it if signal or some third party
[01:00:49.120 --> 01:00:52.320]   Became so dominant worldwide. We could all use it
[01:00:52.320 --> 01:00:56.720]   I'm not a facebook user and haven't been for a couple years now
[01:00:56.720 --> 01:01:03.440]   Um did the whole account deletion, but I do use instagram very regularly your photographer
[01:01:03.440 --> 01:01:08.800]   Right. I have to do it to help try to grow my small business. It is what it is
