;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[00:37:17.960 --> 00:37:25.080]   Uh, Asia. Okay. I got it right. Whoop say it again. Yo. Yo, that's I got that one right
[00:37:25.080 --> 00:37:29.000]   It's fun. It's actually a gamify language learning
[00:37:29.000 --> 00:37:33.320]   They've designed these with real language experts under like unlike other language
[00:37:33.800 --> 00:37:39.480]   Learning apps would choose ai for their lessons plans. Uh babble was created by over a hundred language experts
[00:37:39.480 --> 00:37:43.160]   They're teaching methods scientifically proven to be effective
[00:37:43.160 --> 00:37:49.960]   You could choose from 14 different languages. I mentioned Spanish and French is also Italian and German
[00:37:49.960 --> 00:37:51.960]   many more
[00:37:51.960 --> 00:37:57.960]   Gracias plus babble's speech recognition technology helps you improve your pronunciation and accent
[00:37:57.960 --> 00:38:03.480]   And then one of the things I really love they've added on on the babble is you can actually join group
[00:38:03.480 --> 00:38:07.160]   Conversations with native speakers and other learners
[00:38:07.160 --> 00:38:13.560]   That's the absolute best way to get fluent in a language. I love babble
[00:38:13.560 --> 00:38:16.280]   real world
[00:38:16.280 --> 00:38:22.280]   But but but real effective start your new language learning journey today with babble ba bb
[00:38:22.280 --> 00:38:23.640]   El
[00:38:23.640 --> 00:38:27.560]   Right now when you purchase a three month babble subscription, you'll get an additional three months for free
[00:38:27.560 --> 00:38:30.440]   six months for the price of three
[00:38:30.440 --> 00:38:34.760]   And believe me in six months you'll be you'll be babble in the long in whatever language you choose
[00:38:34.760 --> 00:38:39.160]   It's amazing go to babble.com use a promo code twit ba bb el
[00:38:39.160 --> 00:38:44.920]   Dot com promo code twit for three extra months free babble is language for life
[00:38:44.920 --> 00:38:52.920]   Kevin rose is here. I get two of the smartest people in the world. I gotta use uh, I gotta use them
[00:38:52.920 --> 00:38:58.440]   In a good way. Let's see. Let me ask all the i'm gonna ask all the hard questions
[00:38:58.840 --> 00:39:03.880]   Should microsoft buy discord for ten billion dollars and why would they
[00:39:03.880 --> 00:39:11.640]   Absolutely, absolutely hundred percent. Are you a discord user? Oh, I'm a huge fan. I'm on there all the time
[00:39:11.640 --> 00:39:18.920]   This is where every single cryptocurrency project calls their home like they use discord servers every open source project too
[00:39:18.920 --> 00:39:23.800]   Yeah, exactly open source projects. It's just it's really gaining a ton of momentum and the
[00:39:23.800 --> 00:39:27.560]   How you can extend it in very unique ways with their api
[00:39:28.120 --> 00:39:33.880]   Um, there's just some really cool stuff going on there. It's uh, yeah, I'm a huge fan at first
[00:39:33.880 --> 00:39:38.280]   I thought it was just gonna be all you know all gaming it started that way
[00:39:38.280 --> 00:39:41.480]   It started that way, but it's extended much much further than that now
[00:39:41.480 --> 00:39:46.520]   So I'm I think it's a great pickup for them. I don't think they'll get it for 10 billion, but I think it's a no
[00:39:46.520 --> 00:39:51.320]   In fact, I think what happened? I'm just guessing you might know better because you know how these things work
[00:39:51.320 --> 00:39:54.360]   Is that discord is considering an IPO?
[00:39:54.360 --> 00:39:56.360]   uh
[00:39:56.360 --> 00:39:59.880]   But they thought well, let's float a dollar amount
[00:39:59.880 --> 00:40:02.920]   And see if we can get anybody to buy us
[00:40:02.920 --> 00:40:06.840]   Uh, and then if not, well, we'll do the IPO and we'll make that much money
[00:40:06.840 --> 00:40:09.880]   Anyway, it's interesting though. The reason
[00:40:09.880 --> 00:40:13.800]   Microsoft is in the hunt and apparently the
[00:40:13.800 --> 00:40:16.760]   Conversations aren't currently ongoing
[00:40:16.760 --> 00:40:22.440]   But the reason microsoft is in the hunt is very interesting such in adela last month in an interview
[00:40:23.320 --> 00:40:26.440]   Said that the future was going to be all about creation
[00:40:26.440 --> 00:40:32.600]   He said the past technology has been about consumption watching netflix on your ipad for instance
[00:40:32.600 --> 00:40:38.440]   But that the future lies in creation, which is why microsoft tried to buy tiktok
[00:40:38.440 --> 00:40:43.640]   Which is why microsoft tried to buy pinterest and why microsoft is now trying to buy discord
[00:40:43.640 --> 00:40:47.240]   Um, I guess I guess that makes sense
[00:40:47.240 --> 00:40:52.680]   Um, it wouldn't be the most expensive thing they've bought but one of the most expo'd be right up there
[00:40:52.680 --> 00:40:57.400]   I think would be the number two biggest acquisition much more than they spent for no kia or github
[00:40:57.400 --> 00:41:02.120]   Um, maybe even like linkedin would be the only thing that was bigger. I think
[00:41:02.120 --> 00:41:07.160]   Amy I think it is a future in chat. Is that is that so?
[00:41:07.160 --> 00:41:10.600]   A couple of a couple things first of all
[00:41:10.600 --> 00:41:16.280]   According to microsoft two years ago. The future was ai so the future changes. Yes, of course it does constantly
[00:41:16.280 --> 00:41:18.760]   um, but if you if you
[00:41:18.760 --> 00:41:21.240]   You know, if you look at
[00:41:21.240 --> 00:41:25.400]   What if you look at this possible acquisition as part of a broader constellation
[00:41:25.400 --> 00:41:29.560]   Here's where I think it gets interesting. So microsoft is already
[00:41:29.560 --> 00:41:32.040]   Uh, the invisible infrastructure powering
[00:41:32.040 --> 00:41:35.080]   Azure for everyday lives their network service. Yeah
[00:41:35.080 --> 00:41:41.000]   Azure it's it's the back end of crestron. Yeah, I mean, it's we don't think about it
[00:41:41.000 --> 00:41:47.080]   But it's not as big as a ws, but it's but it's probably number two. Well, but it's not just it's not just cloud
[00:41:47.080 --> 00:41:49.880]   Um, it's core infrastructure and so many it's it's
[00:41:50.520 --> 00:41:53.000]   It's a lot, right if facebook goes away tomorrow
[00:41:53.000 --> 00:41:58.520]   You have a lot of small business collapse. You've got you know part of a social ecosystem collapse
[00:41:58.520 --> 00:42:01.000]   But the world doesn't stop functioning if microsoft
[00:42:01.000 --> 00:42:06.040]   Had some kind of catastrophic issue and and poofed off the face of the planet
[00:42:06.040 --> 00:42:09.880]   You know, we we don't much of business operations
[00:42:09.880 --> 00:42:15.880]   Critical infrastructure no longer works without microsoft. So what I think is very interesting is that
[00:42:15.880 --> 00:42:20.360]   Uh, you know, it's got get it's um, it discord
[00:42:20.440 --> 00:42:26.040]   Is i'm on discord for other reasons, but um, so you've got you've got discord microsoft
[00:42:26.040 --> 00:42:27.880]   You used to use let me ask you actually
[00:42:27.880 --> 00:42:33.560]   Parenthetically used to use key base for a secure chat with other parents and friends
[00:42:33.560 --> 00:42:35.800]   You use discord now for that
[00:42:35.800 --> 00:42:43.880]   I'm I started on discord because of defcon. So, um, that's that's where you that's where you could follow the defcon
[00:42:43.880 --> 00:42:48.840]   Yeah, I just uh, it's not my favorite platform, but i'm i'm on it
[00:42:49.400 --> 00:42:52.600]   Um key base got sold to zoom. Are you still using key base?
[00:42:52.600 --> 00:42:55.000]   Uh, yeah
[00:42:55.000 --> 00:42:59.560]   They didn't change they're still around. Yeah, I don't know if they're spending any energy on it
[00:42:59.560 --> 00:43:06.440]   But in terms of content creation, I don't I don't think that's the story. I think that's the story related to this particular
[00:43:06.440 --> 00:43:09.080]   um set of purchases
[00:43:09.080 --> 00:43:13.240]   Azure has a farm. So so they're building out cloud for
[00:43:13.240 --> 00:43:17.960]   Um, precision agriculture out in the field. Yeah, that's right. So
[00:43:18.840 --> 00:43:22.760]   In order to automate farming, which it gets no pickup or coverage
[00:43:22.760 --> 00:43:27.160]   They've also built it was microsoft that's trying to figure out how to use dna to store
[00:43:27.160 --> 00:43:29.000]   um
[00:43:29.000 --> 00:43:31.000]   Unimaginable amounts of data
[00:43:31.000 --> 00:43:35.000]   So I think if you look at this constellation of things which at first seem very unrelated
[00:43:35.000 --> 00:43:36.520]   The the story
[00:43:36.520 --> 00:43:42.040]   Possibly into the future is that microsoft is trying to figure out how to be the sort of next next
[00:43:42.040 --> 00:43:48.360]   Infrastructure layer. Yeah. Yeah, which is a smart move. Yeah, that's what x cloud is about their streaming gaming service
[00:43:48.600 --> 00:43:52.200]   Is is a lot of growth is about that as much as it is about gaming
[00:43:52.200 --> 00:43:54.760]   Um, so I don't think this is like
[00:43:54.760 --> 00:44:00.120]   And I don't I don't think microsoft. I think to tick tock is a something totally separate
[00:44:00.120 --> 00:44:08.040]   Um, but I always assumed they would want something like tick tock for the data for the just like linked in and and you know
[00:44:08.040 --> 00:44:13.000]   I think that's part of it, but microsoft also has effectively its own corporate
[00:44:13.720 --> 00:44:18.200]   Foreign service department its own sort of department of state within the company in fact
[00:44:18.200 --> 00:44:24.200]   It poached a lot of people from from the state department. So I think I think microsoft is is playing a slightly bigger
[00:44:24.200 --> 00:44:30.440]   Um different game and tick tock would have been a pretty nice bargaining chip to have to have had
[00:44:30.440 --> 00:44:33.640]   Kevin the chat room and I think a lot of our audience
[00:44:33.640 --> 00:44:39.160]   Uh says they prefer matrix and element, which is an open source chat platform
[00:44:39.720 --> 00:44:44.040]   Instead what what is discord's closed source advantage over matrix for instance?
[00:44:44.040 --> 00:44:51.080]   I haven't used a lot of the others. I basically go where the projects are like where the founders are creating these new communities and then
[00:44:51.080 --> 00:44:56.760]   Discord is just pretty much the standard at least in the cryptocurrency space, which is where I spend probably you know
[00:44:56.760 --> 00:45:01.800]   80% of my time evaluating new deals and so um, it's
[00:45:01.800 --> 00:45:08.280]   I can't compare it to the others, but I will say some of the mechanics around what they've done with it in terms of
[00:45:08.680 --> 00:45:17.000]   The moderation and the bot integrations. Uh, I'll give you one really wild example. There was a discord that to join
[00:45:17.000 --> 00:45:21.560]   Someone created an erc 20 token on ethereum
[00:45:21.560 --> 00:45:24.840]   And you had to own one of these tokens
[00:45:24.840 --> 00:45:29.320]   And so if you owned one of these tokens and it was in your wallet
[00:45:29.320 --> 00:45:34.280]   You could join but the bot would then go and look at your wallet on the blockchain
[00:45:34.680 --> 00:45:39.160]   Confirm that you own the token to let you into the actual that's clever chat group
[00:45:39.160 --> 00:45:41.880]   That's better than the asshole your token yet
[00:45:41.880 --> 00:45:46.840]   But you could sell your token to someone else and they go up and then they have access groups becoming more valuable
[00:45:46.840 --> 00:45:53.720]   Yeah, it's it's crazy. So some of the stuff I just see being done there is is super creative somebody in the chat room posted
[00:45:53.720 --> 00:45:56.280]   uh an article
[00:45:56.280 --> 00:46:01.080]   About azure saying that one of the reasons tech pundits have a hard time understanding
[00:46:01.800 --> 00:46:06.760]   All of the fingers and all the pies that microsoft has is because it isn't the same as a ws
[00:46:06.760 --> 00:46:09.960]   Is that amis that what you're saying? It's more than just cloud
[00:46:09.960 --> 00:46:12.520]   Yeah, um
[00:46:12.520 --> 00:46:18.840]   Again, I microsoft. I know is not the world sexiest company. Uh, however, it's getting sex here. It's getting sexier
[00:46:18.840 --> 00:46:20.600]   It is
[00:46:20.600 --> 00:46:25.160]   It is got dna. Um, yeah all over it. Yeah. So I think I think part of it is
[00:46:25.160 --> 00:46:31.400]   I don't know. I don't know that's an apt comparison because a ws is its own unruly enormous thing too and and
[00:46:31.720 --> 00:46:33.720]   Amazon in many ways is just as um
[00:46:33.720 --> 00:46:37.640]   Decentralized in terms of all the work it's doing but azure
[00:46:37.640 --> 00:46:39.560]   It
[00:46:39.560 --> 00:46:45.240]   There is something called farm beats. So this is something they are specifically building for connected farming
[00:46:45.240 --> 00:46:47.080]   Equipment
[00:46:47.080 --> 00:46:54.200]   Um to enable a future of precision agriculture which effectively means you don't have a bunch of farmhands and all the traditional people that you would need
[00:46:54.200 --> 00:46:56.760]   you've got engineered crops that
[00:46:57.160 --> 00:47:01.960]   Produce 10x the yield and require a fraction of the of the resources
[00:47:01.960 --> 00:47:07.800]   Um, you know, it's kind of that maybe that you're two farmers or or sitting in Bangladesh
[00:47:07.800 --> 00:47:15.000]   It's kind of basically an investment in what they see is uh, uh, what is going to be a next the next big thing
[00:47:15.000 --> 00:47:21.000]   Is far right and if you think about the next big things in terms of not opportunity, but risk
[00:47:21.000 --> 00:47:23.000]   I think that's where some of this becomes more clear
[00:47:23.400 --> 00:47:28.680]   We know that we've got uh extreme climate change and uh extreme weather events
[00:47:28.680 --> 00:47:34.360]   We know that we have uh food insecurity. We've the global supply of food is is
[00:47:34.360 --> 00:47:41.000]   You know, um at risk right now. So if you're thinking about your markets, you know 10 15 years into the future
[00:47:41.000 --> 00:47:43.800]   But some of this starts to make more sense
[00:47:43.800 --> 00:47:48.360]   It's also crazy how I feel like as as an engineer. I see
[00:47:49.320 --> 00:47:55.960]   Entrepreneurs that say well, I choose the solution based on one on building right like if you're going for some of the
[00:47:55.960 --> 00:48:01.720]   Uh, the ml models that google offers, you know with with their custom silicon or or you want to even go with
[00:48:01.720 --> 00:48:07.800]   AWS they're doing other own custom chips that are super efficient low power cheaper than you know, uh,
[00:48:07.800 --> 00:48:11.480]   Ex-learning six chips. Yeah, um, yeah, so it's it's it's you know
[00:48:11.480 --> 00:48:16.200]   You kind of have to look and say what am I building and and who has the best solution for that? Right, right?
[00:48:16.920 --> 00:48:23.960]   Uh, it also might explain different we talked about this a month ago why bill gates is the number one farmland owner in america
[00:48:23.960 --> 00:48:28.840]   Did you know that? Amy? He owns I did I didn't know that two thousand acres
[00:48:28.840 --> 00:48:31.640]   Of farmland. It's a good investment
[00:48:31.640 --> 00:48:34.760]   It yes and no
[00:48:34.760 --> 00:48:41.560]   Um, I think a lot of the future farming will be indoors and underground so they're yeah huge indoor plant factory is again
[00:48:41.560 --> 00:48:45.000]   once salt mines full of vertical uh farming
[00:48:45.640 --> 00:48:48.760]   Yeah, just you know, we're pretty close to being able to engineer
[00:48:48.760 --> 00:48:50.280]   um
[00:48:50.280 --> 00:48:54.280]   We we can already use synthetic biology to engineer crops and in new ways
[00:48:54.280 --> 00:48:59.800]   And we we have many more people on the planet. We have the the conditions
[00:48:59.800 --> 00:49:04.040]   Used to determine how to grow things or less and less
[00:49:04.040 --> 00:49:09.720]   Stable meaning we've worse weather, you know a fifth of all garments
[00:49:09.720 --> 00:49:14.440]   That are made of cotton are I think i've got this wrong fifth of all the
[00:49:15.160 --> 00:49:18.760]   Yeah, one out of five garments basically relies on on cotton from china
[00:49:18.760 --> 00:49:23.640]   Which is my way of saying you've got geopolitical instability huge global supply chains. Yeah
[00:49:23.640 --> 00:49:29.560]   Yeah, so all of this starts to make a little bit more sense if if what you're aiming for is easier
[00:49:29.560 --> 00:49:34.840]   geopolitics and better sustainability and better certainty in conditions
[00:49:34.840 --> 00:49:40.600]   Then yeah, you want to instead of like sourcing your cotton from western china and then maybe it gets stuck on a
[00:49:40.600 --> 00:49:43.400]   Barge and the you know panama canal
[00:49:44.040 --> 00:49:46.520]   um, you know instead you you
[00:49:46.520 --> 00:49:48.760]   uh
[00:49:48.760 --> 00:49:51.480]   You know instead you you grow these things
[00:49:51.480 --> 00:49:54.920]   underground or in warehouses and um
[00:49:54.920 --> 00:49:59.560]   You reduce a lot of that uncertainty by the way, let's just quickly check because
[00:49:59.560 --> 00:50:05.720]   We're keeping an eye on that's that ship in the sues canal. Is the ship still stuck dot com
[00:50:05.720 --> 00:50:08.680]   Yes
[00:50:08.680 --> 00:50:12.680]   Cost us so far 53 billion dollars in shipping that's
[00:50:13.320 --> 00:50:14.440]   Stalled
[00:50:14.440 --> 00:50:19.080]   Behind the there's uh autonomous. So that's a that's a that's a problem that ate
[00:50:19.080 --> 00:50:26.120]   So there's a bunch of companies ibm is one of them that is working on um full autopilot shipping capabilities
[00:50:26.120 --> 00:50:28.920]   I don't know if it would have helped in that situation, but
[00:50:28.920 --> 00:50:33.080]   Here's a here's as long as for two in the ever-given story
[00:50:33.080 --> 00:50:39.880]   Here's a website john found for me ever-given dash everywhere dot glitch dot me
[00:50:39.880 --> 00:50:43.400]   You can take the ever-given and put it anywhere
[00:50:43.400 --> 00:50:46.120]   You want blocking any
[00:50:46.120 --> 00:50:53.160]   Harbor you want you can rotate it make the boat bigger make it smaller and you can just fit it right in there's a new
[00:50:53.160 --> 00:50:56.040]   There's the new york harbor will just block up
[00:50:56.040 --> 00:51:02.200]   Manhattan right there with the ever-given and actually if I make it to scale it's a lot smaller
[00:51:02.200 --> 00:51:05.560]   We have to find a special right there. Just put it right there
[00:51:05.560 --> 00:51:08.360]   And i'll have a block that Lincoln tunnel that will make it
[00:51:08.360 --> 00:51:10.360]   That's cutter
[00:51:10.360 --> 00:51:15.800]   Uh, that is a that is a wild story i have to say
[00:51:15.800 --> 00:51:24.440]   Okay, let's move along. We just talked about microsoft buying uh discord
[00:51:24.440 --> 00:51:29.080]   Let's and we mentioned amazon i guess we could
[00:51:29.080 --> 00:51:32.360]   So this is one of the one of the problems i'm starting to face
[00:51:32.360 --> 00:51:37.080]   In uh in the stuff we've covered this has changed a lot that kevin's is used to
[00:51:37.720 --> 00:51:41.480]   Beyond twit used to be about computers smart phones
[00:51:41.480 --> 00:51:46.040]   You know technology the technology story has really broadened
[00:51:46.040 --> 00:51:51.960]   Uh for instance now we know the documents show amazon is aware that drivers p in bottles
[00:51:51.960 --> 00:51:54.600]   And even defecate en route
[00:51:54.600 --> 00:51:57.880]   Is that a tech story?
[00:51:57.880 --> 00:52:00.280]   I don't think so
[00:52:00.280 --> 00:52:06.680]   That may not be but the robots the pacing robots that they filed a patent on which i've got on my desktop i'll try to find it
[00:52:07.480 --> 00:52:15.800]   Um, the they've been working on haptic wristbands and pacing robots for warehouses to to help the human workers move faster
[00:52:15.800 --> 00:52:18.280]   Pacing that's a nice way to put it
[00:52:18.280 --> 00:52:21.400]   Is it is it have a cattle prod attached to it? How does it keep the
[00:52:21.400 --> 00:52:24.120]   Um, no because it it's slowly
[00:52:24.120 --> 00:52:28.360]   Or i guess quickly speeds itself up if people aren't moving
[00:52:28.360 --> 00:52:33.640]   Oh my god. You mean is it like a conveyor or is it the the pickin the pickers robots
[00:52:33.800 --> 00:52:38.440]   It's it's for the pickers, but what's the bigger story here? What's the more interesting piece the more interesting piece is that
[00:52:38.440 --> 00:52:45.000]   I think the assumption is that it's robots that ultimately obviate humans. No these environments. They're going to drive humans
[00:52:45.000 --> 00:52:47.880]   Well, like it's like mules
[00:52:47.880 --> 00:52:49.880]   Right. It's the robots
[00:52:49.880 --> 00:52:54.840]   It's the computer systems, which is why this is a computer story the computer systems that are making the cognitive
[00:52:54.840 --> 00:52:59.080]   Decisions and at the moment human labor is cheaper. Yes, you know
[00:52:59.320 --> 00:53:02.520]   And and it's the humans acting like robots and it's infinitely
[00:53:02.520 --> 00:53:05.000]   replaceable humans are fungible and
[00:53:05.000 --> 00:53:09.400]   So you wear one out you just go out and get another one apparently
[00:53:09.400 --> 00:53:14.840]   That's actually there's a tie-in story to that because amazon is also requiring its drivers to sign
[00:53:14.840 --> 00:53:20.520]   Agreements to allow themselves to be monitored by cameras to make sure they're paying attention
[00:53:20.520 --> 00:53:25.320]   Which I think is probably a reasonable safety precaution, but that's that same note that same idea
[00:53:25.720 --> 00:53:30.600]   That same mindset of oh you're just plugging the humans, but we'll have the machines keep track of everything
[00:53:30.600 --> 00:53:33.240]   They're doing to make sure they're they're doing a good job
[00:53:33.240 --> 00:53:43.000]   Is is it just a stopgap eventually the robots will become good enough. We don't need the humans anymore. That was uber's model, right?
[00:53:43.000 --> 00:53:46.760]   Get rid of these drivers again. What would it take for?
[00:53:46.760 --> 00:53:53.240]   What would it take for a machine to totally obviate a human and
[00:53:53.960 --> 00:53:55.960]   uh
[00:53:55.960 --> 00:53:57.480]   Not only does it require?
[00:53:57.480 --> 00:54:01.800]   Technical competence, but you have to have analog fallbacks and fail-safes
[00:54:01.800 --> 00:54:07.000]   And then you've got a regulatory hurdles and you got actuarial problems because everything has to get insured
[00:54:07.000 --> 00:54:09.000]   so
[00:54:09.000 --> 00:54:11.320]   You know sounds like maybe we should stick with the humans
[00:54:11.320 --> 00:54:14.760]   Just let the robots prod them a lot of people
[00:54:14.760 --> 00:54:19.800]   Yeah, but cheaper, but at some point yes and at some point
[00:54:20.440 --> 00:54:24.200]   If we have a machine doing something more efficiently better more repetitively
[00:54:24.200 --> 00:54:27.640]   Right um over and over and over again
[00:54:27.640 --> 00:54:31.800]   That you know that makes our lives better than then we use a calculator
[00:54:31.800 --> 00:54:33.480]   Right
[00:54:33.480 --> 00:54:35.640]   We no longer do long division by hand right?
[00:54:35.640 --> 00:54:38.440]   Right
[00:54:38.440 --> 00:54:40.760]   It's an interesting world we live in
[00:54:40.760 --> 00:54:44.840]   If if any if nothing else so those are the tech stories because that really is how tech
[00:54:44.840 --> 00:54:48.520]   Is is changing the world we live in I think those are much more
[00:54:50.200 --> 00:54:52.120]   Interesting at least they're more in our
[00:54:52.120 --> 00:54:56.120]   In our wheelhouse so to speak
[00:54:56.120 --> 00:55:01.640]   Uh there in other words, there's a lot of amazon union stories
[00:55:01.640 --> 00:55:08.280]   Teslas in trouble for the same kind of labor anti-labor practices. It's not a tech story
[00:55:08.280 --> 00:55:10.920]   I'm gonna leave those out those that's a that's a union story
[00:55:10.920 --> 00:55:15.000]   But the larger story is that these companies don't don't really
[00:55:15.000 --> 00:55:17.960]   They don't think of
[00:55:17.960 --> 00:55:20.840]   Workers as people they're more cogs in a machine
[00:55:20.840 --> 00:55:24.280]   And they just happen to be very nicely tuned they have fingers and
[00:55:24.280 --> 00:55:29.720]   You know, there is a tech story so that because um over the I guess it was friday
[00:55:29.720 --> 00:55:35.640]   Three unions at khande nast um voted 98 to go on strike. So that was ours
[00:55:35.640 --> 00:55:39.400]   Pitchfork and the new yorker. I think ours is going on strike
[00:55:39.400 --> 00:55:45.160]   Wow new yorkers going on strike. Wow on friday. So the tech story
[00:55:46.280 --> 00:55:48.280]   Is related to the game stop
[00:55:48.280 --> 00:55:55.000]   Um, uh trading that happened and that is you know, we organize in new ways now. We've got totally different ways of um
[00:55:55.000 --> 00:56:00.120]   Of sharing ideas and information. We've got people who have been playing
[00:56:00.120 --> 00:56:05.640]   Multiplayer games now for a decade. Um, and know how to organize for tactical attacks
[00:56:05.640 --> 00:56:13.640]   So I would say all of these things are related to how how we organize online which is fundamentally different than how we were doing that 10 years
[00:56:13.720 --> 00:56:20.840]   Well and social media has really given us a very effective tool for online organizing. I mean if it weren't for uh reddit, I don't think
[00:56:20.840 --> 00:56:23.320]   You know
[00:56:23.320 --> 00:56:25.560]   Game stop would have taken off it was it was
[00:56:25.560 --> 00:56:31.000]   Because reddit existed that these people could gather together and plan their assault
[00:56:31.000 --> 00:56:33.960]   Twitter and facebook as well
[00:56:33.960 --> 00:56:41.720]   Um, I would say also the tools on the robin hood side, right because before the other side too. Yes, remember to do options trading used to require
[00:56:41.720 --> 00:56:46.760]   Like a five page like, you know questionnaire. You'd have to figure fill out at your broke rage
[00:56:46.760 --> 00:56:53.320]   And now it's like you could have an instant robin hood account and do very complex trades that the average consumer should not be touching
[00:56:53.320 --> 00:56:58.120]   With a couple little clicks, you know, it's very easy to do options much easier than it used to be. Yeah
[00:56:58.120 --> 00:57:04.040]   I think the broker just trying to protect you right to make sure that you understood right the risk you were
[00:57:04.040 --> 00:57:08.200]   Involved and you think robin hoods culpable for making it easy
[00:57:08.680 --> 00:57:11.480]   Uh, you know, there are a number of people who think robin hood made it too easy
[00:57:11.480 --> 00:57:18.760]   It's tough. It's tough because in some sense you want people to have access to some of these tools
[00:57:18.760 --> 00:57:21.800]   Why should only rich people be able to use this?
[00:57:21.800 --> 00:57:29.720]   But then should robin hood be the one so so the interesting thing for my vantage point
[00:57:29.720 --> 00:57:37.000]   Was that when trading became so volatile and the volume was so high it wasn't the scc that stepped in
[00:57:37.800 --> 00:57:44.760]   Um robin hood made a decision and it's it happened at around the same time that that aws kick parlor off
[00:57:44.760 --> 00:57:49.800]   robin hood was forced to make the decision though because they didn't they would have to have enough cash on hand
[00:57:49.800 --> 00:57:52.280]   Right to back those trades
[00:57:52.280 --> 00:57:54.360]   They still made a decision and
[00:57:54.360 --> 00:57:57.160]   The difference here is that if you look at some of these things together
[00:57:57.160 --> 00:58:01.880]   The normally these are in our institutions that would have made those decisions instead. They're not so
[00:58:02.680 --> 00:58:07.320]   In fact, just as we got dedos that when the jobs act passed that was one of the things that made it
[00:58:07.320 --> 00:58:09.960]   A much lower bar for investors, right?
[00:58:09.960 --> 00:58:15.880]   They allowed other people without a million dollars in the bank to uh to invest
[00:58:15.880 --> 00:58:23.640]   Changed it changed everything. Is it illegal for robin hood to make it this easy for option investing or is it just something
[00:58:23.640 --> 00:58:25.720]   The big
[00:58:25.720 --> 00:58:30.360]   Illegal they wouldn't have been a lot. Yeah, it's legal right so I think the the the to me
[00:58:30.920 --> 00:58:34.360]   What does it mean when a company shuts off access? So
[00:58:34.360 --> 00:58:40.520]   One of the things we've noticed is a what I would call a c-dos a corporate denial of service
[00:58:40.520 --> 00:58:46.440]   I like it. I like it. Um, but we're we're going to be seeing more of those. I think because
[00:58:46.440 --> 00:58:53.320]   Um, sometimes you build a product the product is successful. It solves it's a solution, right? But you don't think about the knock-on
[00:58:53.320 --> 00:58:58.840]   effects you don't think about dual use new ways in which these things could go wrong and
[00:58:59.480 --> 00:59:03.800]   Quite frankly, nobody I mean I work with these companies all the time. They they don't want to have that conversation
[00:59:03.800 --> 00:59:07.560]   Um and increasingly a lot of lawyers
[00:59:07.560 --> 00:59:13.720]   And risk officers also don't want to have that conversation because they don't want to on record that they thought
[00:59:13.720 --> 00:59:18.120]   About these things that might go wrong and then somebody could sue them after the fact
[00:59:18.120 --> 00:59:20.760]   But we can't stick our heads in the in the sand and and
[00:59:20.760 --> 00:59:27.800]   Assume that everything will go well forever. I mean, you know, there's always some kind of problem on the horizon that has to be dealt with
[00:59:28.600 --> 00:59:31.720]   Kevin easy. Do you feel like Robinhood is a good thing
[00:59:31.720 --> 00:59:33.720]   for
[00:59:33.720 --> 00:59:38.920]   Normal people or a or does it make it too easy? Well, I mean, I think that there's certainly
[00:59:38.920 --> 00:59:46.040]   Well, it was a couple of different things one the fractional ownership of of very expensive companies
[00:59:46.040 --> 00:59:48.440]   I think is an important thing for the average consumer to be able to do
[00:59:48.440 --> 00:59:53.880]   Um, you know, it's important that if I don't have enough money to to buy a single share of you know
[00:59:54.680 --> 01:00:00.600]   Berkshire or something that I can still go and do that in a five or ten dollar way. Um, the options
[01:00:00.600 --> 01:00:02.200]   uh
[01:00:02.200 --> 01:00:03.400]   I I
[01:00:03.400 --> 01:00:08.520]   Is I feel like there needs to be at least another hurdle of understanding, you know that before
[01:00:08.520 --> 01:00:13.960]   People can get involved there, but but that said it wasn't the the options trading that that was the problem
[01:00:13.960 --> 01:00:15.960]   It was the coordinated attack, but even then
[01:00:15.960 --> 01:00:18.760]   I don't know that
[01:00:18.760 --> 01:00:23.240]   Uh, I don't know if you can consider that a problem like what?
[01:00:23.880 --> 01:00:27.080]   What went wrong was there something that really went wrong there?
[01:00:27.080 --> 01:00:29.320]   The the the system
[01:00:29.320 --> 01:00:31.320]   Functioned as planned
[01:00:31.320 --> 01:00:33.400]   Robinhood got a little bit of heat
[01:00:33.400 --> 01:00:38.920]   And they apparently had to put off their ipo, but I think that that's passed now, right that that
[01:00:38.920 --> 01:00:41.640]   I don't know if people blame robin hood still
[01:00:41.640 --> 01:00:47.160]   Right, but if you had just left that going and just let let that war continue
[01:00:47.160 --> 01:00:48.920]   Um
[01:00:48.920 --> 01:00:52.760]   What what would break? I mean I get that some people lose money
[01:00:53.160 --> 01:00:55.800]   Left holding yeah, sure, but would that be the hedge funds?
[01:00:55.800 --> 01:00:58.760]   I mean, well, it's hard to tell isn't it?
[01:00:58.760 --> 01:01:00.760]   Well, that's part of it. It's a very opaque
[01:01:00.760 --> 01:01:06.040]   What about game stock? What about the company? Yeah, I mean, how does this affect them at all?
