;FFMETADATA1
title=TWiT 48: Apple's 30th Anniversary
comment=http://twit.tv/48
album=TWiT April 2006
TYER=2006-04-02
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT 48: Apple's 30th Anniversary
comment=http://twit.tv/48
album=TWiT April 2006
TYER=2006-04-02
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.000]   This is Twit, this weekend tech, episode 48 for April 2nd, 2006.
[00:18:36.000 --> 00:18:37.000]   I'm number four.
[00:18:37.000 --> 00:18:38.000]   I'm number four.
[00:18:38.000 --> 00:18:39.000]   I'm number four.
[00:18:39.000 --> 00:18:40.000]   I'm number four.
[00:18:40.000 --> 00:18:41.000]   I'm number four.
[00:18:41.000 --> 00:18:42.000]   I'm number four.
[00:18:42.000 --> 00:18:43.000]   I'm number four.
[00:18:43.000 --> 00:18:44.000]   I'm number four.
[00:18:44.000 --> 00:18:45.000]   I'm number four.
[00:18:45.000 --> 00:18:46.000]   I'm number four.
[00:18:46.000 --> 00:18:47.000]   I'm number four.
[00:18:47.000 --> 00:18:48.000]   I'm number four.
[00:18:48.000 --> 00:18:49.000]   I'm number four.
[00:18:49.000 --> 00:18:50.000]   I'm number four.
[00:18:50.000 --> 00:18:51.000]   I'm number four.
[00:18:51.000 --> 00:18:52.000]   I'm number four.
[00:18:52.000 --> 00:18:53.000]   I'm number four.
[00:18:53.000 --> 00:18:54.000]   I'm number four.
[00:18:54.000 --> 00:18:55.000]   I'm number four.
[00:18:55.000 --> 00:18:56.000]   I'm number four.
[00:18:56.000 --> 00:18:57.000]   I'm number four.
[00:18:57.000 --> 00:18:58.000]   I'm number four.
[00:18:58.000 --> 00:18:59.000]   I'm number four.
[00:18:59.000 --> 00:19:00.000]   I'm number four.
[00:19:00.000 --> 00:19:01.000]   I'm number four.
[00:19:01.000 --> 00:19:02.000]   I'm number four.
[00:19:02.000 --> 00:19:03.000]   I'm number four.
[00:19:03.000 --> 00:19:04.000]   I'm number four.
[00:19:04.000 --> 00:19:05.000]   I'm number four.
[00:19:05.000 --> 00:19:06.000]   I'm number four.
[00:19:06.000 --> 00:19:07.000]   I'm number four.
[00:19:07.000 --> 00:19:08.000]   I'm number four.
[00:19:08.000 --> 00:19:09.000]   I'm number four.
[00:19:09.000 --> 00:19:10.000]   I'm number four.
[00:19:10.000 --> 00:19:11.000]   I'm number four.
[00:19:11.000 --> 00:19:12.000]   I'm number four.
[00:19:12.000 --> 00:19:13.000]   I'm number four.
[00:19:13.000 --> 00:19:14.000]   I'm number four.
[00:19:14.000 --> 00:19:15.000]   I'm number four.
[00:19:15.000 --> 00:19:16.000]   I'm number four.
[00:19:16.000 --> 00:19:17.000]   I'm number four.
[00:19:17.000 --> 00:19:18.000]   I'm number four.
[00:19:18.000 --> 00:19:19.000]   I'm number four.
[00:19:19.000 --> 00:19:20.000]   I'm number four.
[00:19:20.000 --> 00:19:21.000]   I'm number four.
[00:19:21.000 --> 00:19:22.000]   I'm number four.
[00:19:22.000 --> 00:19:23.000]   I'm number four.
[00:19:23.000 --> 00:19:24.000]   I'm number four.
[00:19:24.000 --> 00:19:25.000]   I'm number four.
[00:19:25.000 --> 00:19:26.000]   I'm number four.
[00:19:26.000 --> 00:19:27.000]   I'm number four.
[00:19:27.000 --> 00:19:28.000]   I'm number four.
[00:19:28.000 --> 00:19:29.000]   I'm number four.
[00:19:29.000 --> 00:19:30.000]   I'm number four.
[00:19:30.000 --> 00:19:31.000]   I'm number four.
[00:19:31.000 --> 00:19:32.000]   I'm number four.
[00:19:32.000 --> 00:19:33.000]   I'm number four.
[00:19:33.000 --> 00:19:34.000]   I'm number four.
[00:19:34.000 --> 00:19:35.000]   I'm number four.
[00:19:35.000 --> 00:19:36.000]   I'm number four.
[00:19:36.000 --> 00:19:37.000]   I'm number four.
[00:19:37.000 --> 00:19:38.000]   I'm number four.
[00:19:38.000 --> 00:19:39.000]   I'm number four.
[00:19:39.000 --> 00:19:40.000]   I'm number four.
[00:19:40.000 --> 00:19:41.000]   I'm number four.
[00:19:41.000 --> 00:19:42.000]   I'm number four.
[00:19:42.000 --> 00:19:43.000]   I'm number four.
[00:19:43.000 --> 00:19:44.000]   I'm number four.
[00:19:44.000 --> 00:19:45.000]   I'm number four.
[00:19:45.000 --> 00:19:46.000]   I'm number four.
[00:19:46.000 --> 00:19:47.000]   I'm number four.
[00:19:47.000 --> 00:19:48.000]   I'm number four.
[00:19:48.000 --> 00:19:49.000]   I'm number four.
[00:19:49.000 --> 00:19:50.000]   I'm number four.
[00:19:50.000 --> 00:19:51.000]   I'm number four.
[00:19:51.000 --> 00:19:52.000]   I'm number four.
[00:19:52.000 --> 00:19:53.000]   I'm number four.
[00:19:53.000 --> 00:19:54.000]   I'm number four.
[00:19:54.000 --> 00:19:55.000]   I'm number four.
[00:19:55.000 --> 00:19:56.000]   I'm number four.
[00:19:56.000 --> 00:19:57.000]   I'm number four.
[00:19:57.000 --> 00:19:58.000]   I'm number four.
[00:19:58.000 --> 00:19:59.000]   I'm number four.
[00:19:59.000 --> 00:20:00.000]   I'm number four.
[00:20:00.000 --> 00:20:01.000]   I'm number four.
[00:20:01.000 --> 00:20:02.000]   I'm number four.
[00:20:02.000 --> 00:20:03.000]   I'm number four.
[00:20:03.000 --> 00:20:04.000]   I'm number four.
[00:20:04.000 --> 00:20:05.000]   I'm number four.
[00:20:05.000 --> 00:20:06.000]   I'm number four.
[00:20:06.000 --> 00:20:07.000]   I'm number four.
[00:20:07.000 --> 00:20:08.000]   I'm number four.
[00:20:08.000 --> 00:20:09.000]   I'm number four.
[00:20:09.000 --> 00:20:10.000]   I'm number four.
[00:20:10.000 --> 00:20:11.000]   I'm number four.
[00:20:11.000 --> 00:20:12.000]   I'm number four.
[00:20:12.000 --> 00:20:13.000]   I'm number four.
[00:20:13.000 --> 00:20:14.000]   I'm number four.
[00:20:14.000 --> 00:20:15.000]   I'm number four.
[00:20:15.000 --> 00:20:16.000]   I'm number four.
[00:20:16.000 --> 00:20:17.000]   I'm number four.
[00:20:17.000 --> 00:20:18.000]   I'm number four.
[00:20:18.000 --> 00:20:19.000]   I'm number four.
[00:20:19.000 --> 00:20:20.000]   I'm number four.
[00:20:20.000 --> 00:20:21.000]   I'm number four.
[00:20:21.000 --> 00:20:22.000]   I'm number four.
[00:20:22.000 --> 00:20:23.000]   I'm number four.
[00:20:23.000 --> 00:20:24.000]   I'm number four.
[00:20:24.000 --> 00:20:25.000]   I'm number four.
[00:20:25.000 --> 00:20:26.000]   I'm number four.
[00:20:26.000 --> 00:20:27.000]   I'm number four.
[00:20:27.000 --> 00:20:28.000]   I'm number four.
[00:20:28.000 --> 00:20:29.000]   I'm number four.
[00:20:29.000 --> 00:20:30.000]   I'm number four.
[00:20:30.000 --> 00:20:31.000]   I'm number four.
[00:20:31.000 --> 00:20:32.000]   I'm number four.
[00:20:32.000 --> 00:20:33.000]   I'm number four.
[00:20:33.000 --> 00:20:34.000]   I'm number four.
[00:20:34.000 --> 00:20:35.000]   I'm number four.
[00:20:35.000 --> 00:20:36.000]   I'm number four.
[00:20:36.000 --> 00:20:37.000]   I'm number four.
[00:20:37.000 --> 00:20:38.000]   I'm number four.
[00:20:38.000 --> 00:20:39.000]   I'm number four.
[00:20:39.000 --> 00:20:40.000]   I'm number four.
[00:20:40.000 --> 00:20:41.000]   I'm number four.
[00:20:41.000 --> 00:20:42.000]   I'm number four.
[00:20:42.000 --> 00:20:43.000]   I'm number four.
[00:20:43.000 --> 00:20:44.000]   I'm number four.
[00:20:44.000 --> 00:20:45.000]   I'm number four.
[00:20:45.000 --> 00:20:46.000]   I'm number four.
[00:20:46.000 --> 00:20:47.000]   I'm number four.
[00:20:47.000 --> 00:20:48.000]   I'm number four.
[00:20:48.000 --> 00:20:49.000]   I'm number four.
[00:20:49.000 --> 00:20:50.000]   I'm number four.
[00:20:50.000 --> 00:20:51.000]   I'm number four.
[00:20:51.000 --> 00:20:52.000]   I'm number four.
[00:20:52.000 --> 00:20:53.000]   I'm number four.
[00:20:53.000 --> 00:20:54.000]   I'm number four.
[00:20:54.000 --> 00:20:55.000]   I'm number four.
[00:20:55.000 --> 00:20:56.000]   I'm number four.
[00:20:56.000 --> 00:20:57.000]   I'm number four.
[00:20:57.000 --> 00:20:58.000]   I'm number four.
[00:20:58.000 --> 00:20:59.000]   I'm number four.
[00:20:59.000 --> 00:21:00.000]   I'm number four.
[00:21:00.000 --> 00:21:01.000]   I'm number four.
[00:21:01.000 --> 00:21:02.000]   I'm number four.
[00:21:02.000 --> 00:21:03.000]   I'm number four.
[00:21:03.000 --> 00:21:04.000]   I'm number four.
[00:21:04.000 --> 00:21:05.000]   I'm number four.
[00:21:05.000 --> 00:21:06.000]   I'm number four.
[00:21:06.000 --> 00:21:07.000]   I'm number four.
[00:21:07.000 --> 00:21:08.000]   I'm number four.
[00:21:08.000 --> 00:21:09.000]   I'm number four.
[00:21:09.000 --> 00:21:10.000]   I'm number four.
[00:21:10.000 --> 00:21:11.000]   I'm number four.
[00:21:11.000 --> 00:21:12.000]   I'm number four.
[00:21:12.000 --> 00:21:13.000]   I'm number four.
[00:21:13.000 --> 00:21:14.000]   I'm number four.
[00:21:14.000 --> 00:21:15.000]   I'm number four.
[00:21:15.000 --> 00:21:16.000]   I'm number four.
[00:21:16.000 --> 00:21:17.000]   I'm number four.
[00:21:17.000 --> 00:21:18.000]   I'm number four.
[00:21:18.000 --> 00:21:19.000]   I'm number four.
[00:21:19.000 --> 00:21:20.000]   I'm number four.
[00:21:20.000 --> 00:21:21.000]   I'm number four.
[00:21:21.000 --> 00:21:22.000]   I'm number four.
[00:21:22.000 --> 00:21:23.000]   I'm number four.
[00:21:23.000 --> 00:21:24.000]   I'm number four.
[00:21:24.000 --> 00:21:25.000]   I'm number four.
[00:21:25.000 --> 00:21:26.000]   I'm number four.
[00:21:26.000 --> 00:21:27.000]   I'm number four.
[00:21:27.000 --> 00:21:28.000]   I'm number four.
[00:21:28.000 --> 00:21:29.000]   I'm number four.
[00:21:29.000 --> 00:21:30.000]   I'm number four.
[00:21:30.000 --> 00:21:31.000]   I'm number four.
[00:21:31.000 --> 00:21:32.000]   I'm number four.
[00:21:32.000 --> 00:21:33.000]   I'm number four.
[00:21:33.000 --> 00:21:34.000]   I'm number four.
[00:21:34.000 --> 00:21:35.000]   I'm number four.
[00:21:35.000 --> 00:21:36.000]   I'm number four.
[00:21:36.000 --> 00:21:37.000]   I'm number four.
[00:21:37.000 --> 00:21:38.000]   I'm number four.
[00:21:38.000 --> 00:21:39.000]   I'm number four.
[00:21:39.000 --> 00:21:40.000]   I'm number four.
[00:21:40.000 --> 00:21:41.000]   I'm number four.
[00:21:41.000 --> 00:21:42.000]   I'm number four.
[00:21:42.000 --> 00:21:43.000]   I'm number four.
[00:21:43.000 --> 00:21:44.000]   I'm number four.
[00:21:44.000 --> 00:21:45.000]   I'm number four.
[00:21:45.000 --> 00:21:46.000]   I'm number four.
[00:21:46.000 --> 00:21:47.000]   I'm number four.
[00:21:47.000 --> 00:21:48.000]   I'm number four.
[00:21:48.000 --> 00:21:49.000]   I'm number four.
[00:21:49.000 --> 00:21:50.000]   I'm number four.
[00:21:50.000 --> 00:21:51.000]   I'm number four.
[00:21:51.000 --> 00:21:52.000]   I'm number four.
[00:21:52.000 --> 00:21:53.000]   I'm number four.
[00:21:53.000 --> 00:21:54.000]   I'm number four.
[00:21:54.000 --> 00:21:55.000]   I'm number four.
[00:21:55.000 --> 00:21:56.000]   I'm number four.
[00:21:56.000 --> 00:21:57.000]   I'm number four.
[00:21:57.000 --> 00:21:58.000]   I'm number four.
[00:21:58.000 --> 00:21:59.000]   I'm number four.
[00:21:59.000 --> 00:22:00.000]   I'm number four.
[00:22:00.000 --> 00:22:01.000]   I'm number four.
[00:22:01.000 --> 00:22:02.000]   I'm number four.
[00:22:02.000 --> 00:22:03.000]   I'm number four.
[00:22:03.000 --> 00:22:04.000]   I'm number four.
[00:22:04.000 --> 00:22:05.000]   I'm number four.
[00:22:05.000 --> 00:22:06.000]   I'm number four.
[00:22:06.000 --> 00:22:07.000]   I'm number four.
[00:22:07.000 --> 00:22:08.000]   I'm number four.
[00:22:08.000 --> 00:22:09.000]   I'm number four.
[00:22:09.000 --> 00:22:10.000]   I'm number four.
[00:22:10.000 --> 00:22:11.000]   I'm number four.
[00:22:11.000 --> 00:22:12.000]   I'm number four.
[00:22:12.000 --> 00:22:13.000]   I'm number four.
[00:22:13.000 --> 00:22:14.000]   I'm number four.
[00:22:14.000 --> 00:22:15.000]   I'm number four.
[00:22:15.000 --> 00:22:16.000]   I'm number four.
[00:22:16.000 --> 00:22:17.000]   I'm number four.
[00:22:17.000 --> 00:22:18.000]   I'm number four.
[00:22:18.000 --> 00:22:19.000]   I'm number four.
[00:22:19.000 --> 00:22:20.000]   I'm number four.
[00:22:20.000 --> 00:22:21.000]   I'm number four.
[00:22:21.000 --> 00:22:22.000]   I'm number four.
[00:22:22.000 --> 00:22:23.000]   I'm number four.
[00:22:23.000 --> 00:22:24.000]   I'm number four.
[00:22:24.000 --> 00:22:25.000]   I'm number four.
[00:22:25.000 --> 00:22:26.000]   I'm number four.
[00:22:26.000 --> 00:22:27.000]   I'm number four.
[00:22:27.000 --> 00:22:28.000]   I'm number four.
[00:22:28.000 --> 00:22:29.000]   I'm number four.
[00:22:29.000 --> 00:22:30.000]   I'm number four.
[00:22:30.000 --> 00:22:31.000]   I'm number four.
[00:22:31.000 --> 00:22:32.000]   I'm number four.
[00:22:32.000 --> 00:22:33.000]   I'm number four.
[00:22:33.000 --> 00:22:34.000]   I'm number four.
[00:22:34.000 --> 00:22:35.000]   I'm number four.
[00:22:35.000 --> 00:22:36.000]   I'm number four.
[00:22:36.000 --> 00:22:37.000]   I'm number four.
[00:22:37.000 --> 00:22:38.000]   I'm number four.
[00:22:38.000 --> 00:22:39.000]   I'm number four.
[00:22:39.000 --> 00:22:40.000]   I'm number four.
[00:22:40.000 --> 00:22:41.000]   I'm number four.
[00:22:41.000 --> 00:22:42.000]   I'm number four.
[00:22:42.000 --> 00:22:43.000]   I'm number four.
[00:22:43.000 --> 00:22:44.000]   I'm number four.
[00:22:44.000 --> 00:22:45.000]   I'm number four.
[00:22:45.000 --> 00:22:46.000]   I'm number four.
[00:22:46.000 --> 00:22:47.000]   I'm number four.
[00:22:47.000 --> 00:22:48.000]   I'm number four.
[00:22:48.000 --> 00:22:49.000]   I'm number four.
[00:22:49.000 --> 00:22:50.000]   I'm number four.
[00:22:50.000 --> 00:22:51.000]   I'm number four.
[00:22:51.000 --> 00:22:52.000]   I'm number four.
[00:22:52.000 --> 00:22:53.000]   I'm number four.
[00:22:53.000 --> 00:22:54.000]   I'm number four.
[00:22:54.000 --> 00:22:55.000]   I'm number four.
[00:22:55.000 --> 00:22:56.000]   I'm number four.
[00:22:56.000 --> 00:22:57.000]   I'm number four.
[00:22:57.000 --> 00:22:58.000]   I'm number four.
[00:22:58.000 --> 00:22:59.000]   I'm number four.
[00:22:59.000 --> 00:23:00.000]   I'm number four.
[00:23:00.000 --> 00:23:01.000]   I'm number four.
[00:23:01.000 --> 00:23:02.000]   I'm number four.
[00:23:02.000 --> 00:23:03.000]   I'm number four.
[00:23:03.000 --> 00:23:04.000]   I'm number four.
[00:23:04.000 --> 00:23:05.000]   I'm number four.
[00:23:05.000 --> 00:23:06.000]   I'm number four.
[00:23:06.000 --> 00:23:07.000]   I'm number four.
[00:23:07.000 --> 00:23:08.000]   I'm number four.
[00:23:08.000 --> 00:23:09.000]   I'm number four.
[00:23:09.000 --> 00:23:10.000]   I'm number four.
[00:23:10.000 --> 00:23:11.000]   I'm number four.
[00:23:11.000 --> 00:23:12.000]   I'm number four.
[00:23:12.000 --> 00:23:13.000]   I'm number four.
[00:23:13.000 --> 00:23:14.000]   I'm number four.
[00:23:14.000 --> 00:23:15.000]   I'm number four.
[00:23:15.000 --> 00:23:16.000]   I'm number four.
[00:23:16.000 --> 00:23:17.000]   I'm number four.
[00:23:17.000 --> 00:23:18.000]   I'm number four.
[00:23:18.000 --> 00:23:19.000]   I'm number four.
[00:23:19.000 --> 00:23:20.000]   I'm number four.
[00:23:20.000 --> 00:23:21.000]   I'm number four.
[00:23:21.000 --> 00:23:22.000]   I'm number four.
[00:23:22.000 --> 00:23:23.000]   I'm number four.
[00:23:23.000 --> 00:23:24.000]   I'm number four.
[00:23:24.000 --> 00:23:25.000]   I'm number four.
[00:23:25.000 --> 00:23:26.000]   I'm number four.
[00:23:26.000 --> 00:23:27.000]   I'm number four.
[00:23:27.000 --> 00:23:28.000]   I'm number four.
[00:23:28.000 --> 00:23:29.000]   I'm number four.
[00:23:29.000 --> 00:23:30.000]   I'm number four.
[00:23:30.000 --> 00:23:31.000]   I'm number four.
[00:23:31.000 --> 00:23:32.000]   I'm number four.
[00:23:32.000 --> 00:23:33.000]   I'm number four.
[00:23:33.000 --> 00:23:34.000]   I'm number four.
[00:23:34.000 --> 00:23:35.000]   I'm number four.
[00:23:35.000 --> 00:23:36.000]   I'm number four.
[00:23:36.000 --> 00:23:37.000]   I'm number four.
[00:23:37.000 --> 00:23:38.000]   I'm number four.
[00:23:38.000 --> 00:23:39.000]   I'm number four.
[00:23:39.000 --> 00:23:40.000]   I'm number four.
[00:23:40.000 --> 00:23:41.000]   I'm number four.
[00:23:41.000 --> 00:23:42.000]   I'm number four.
[00:23:42.000 --> 00:23:43.000]   I'm number four.
[00:23:43.000 --> 00:23:44.000]   I'm number four.
[00:23:44.000 --> 00:23:45.000]   I'm number four.
[00:23:45.000 --> 00:23:46.000]   I'm number four.
[00:23:46.000 --> 00:23:47.000]   I'm number four.
[00:23:47.000 --> 00:23:48.000]   I'm number four.
[00:23:48.000 --> 00:23:49.000]   I'm number four.
[00:23:49.000 --> 00:23:50.000]   I'm number four.
[00:23:50.000 --> 00:23:51.000]   I'm number four.
[00:23:51.000 --> 00:23:52.000]   I'm number four.
[00:23:52.000 --> 00:23:53.000]   I'm number four.
[00:23:53.000 --> 00:23:54.000]   I'm number four.
[00:23:54.000 --> 00:23:55.000]   I'm number four.
[00:23:55.000 --> 00:23:56.000]   I'm number four.
[00:23:56.000 --> 00:23:57.000]   I'm number four.
[00:23:57.000 --> 00:23:58.000]   I'm number four.
[00:23:58.000 --> 00:23:59.000]   I'm number four.
[00:23:59.000 --> 00:24:00.000]   I'm number four.
[00:24:00.000 --> 00:24:01.000]   I'm number four.
[00:24:01.000 --> 00:24:02.000]   I'm number four.
[00:24:02.000 --> 00:24:03.000]   I'm number four.
[00:24:03.000 --> 00:24:04.000]   I'm number four.
[00:24:04.000 --> 00:24:05.000]   I'm number four.
[00:24:05.000 --> 00:24:06.000]   I'm number four.
[00:24:06.000 --> 00:24:07.000]   I'm number four.
[00:24:07.000 --> 00:24:08.000]   I'm number four.
[00:24:08.000 --> 00:24:09.000]   I'm number four.
[00:24:09.000 --> 00:24:10.000]   I'm number four.
[00:24:10.000 --> 00:24:11.000]   I'm number four.
[00:24:11.000 --> 00:24:12.000]   I'm number four.
[00:24:12.000 --> 00:24:13.000]   I'm number four.
[00:24:13.000 --> 00:24:14.000]   I'm number four.
[00:24:14.000 --> 00:24:15.000]   I'm number four.
[00:24:15.000 --> 00:24:16.000]   I'm number four.
[00:24:16.000 --> 00:24:17.000]   I'm number four.
[00:24:17.000 --> 00:24:18.000]   I'm number four.
[00:24:18.000 --> 00:24:19.000]   I'm number four.
[00:24:19.000 --> 00:24:20.000]   I'm number four.
[00:24:20.000 --> 00:24:21.000]   I'm number four.
[00:24:21.000 --> 00:24:22.000]   I'm number four.
[00:24:22.000 --> 00:24:23.000]   I'm number four.
[00:24:23.000 --> 00:24:24.000]   I'm number four.
[00:24:24.000 --> 00:24:25.000]   I'm number four.
[00:24:25.000 --> 00:24:26.000]   I'm number four.
[00:24:26.000 --> 00:24:27.000]   I'm number four.
[00:24:27.000 --> 00:24:28.000]   I'm number four.
[00:24:28.000 --> 00:24:29.000]   I'm number four.
[00:24:29.000 --> 00:24:30.000]   I'm number four.
[00:24:30.000 --> 00:24:31.000]   I'm number four.
[00:24:31.000 --> 00:24:32.000]   I'm number four.
[00:24:32.000 --> 00:24:33.000]   I'm number four.
[00:24:33.000 --> 00:24:34.000]   I'm number four.
[00:24:34.000 --> 00:24:35.000]   I'm number four.
[00:24:35.000 --> 00:24:36.000]   I'm number four.
[00:24:36.000 --> 00:24:37.000]   I'm number four.
[00:24:37.000 --> 00:24:38.000]   I'm number four.
[00:24:38.000 --> 00:24:39.000]   I'm number four.
[00:24:39.000 --> 00:24:40.000]   I'm number four.
[00:24:40.000 --> 00:24:41.000]   I'm number four.
[00:24:41.000 --> 00:24:42.000]   I'm number four.
[00:24:42.000 --> 00:24:43.000]   I'm number four.
[00:24:43.000 --> 00:24:44.000]   I'm number four.
[00:24:44.000 --> 00:24:45.000]   I'm number four.
[00:24:45.000 --> 00:24:46.000]   I'm number four.
[00:24:46.000 --> 00:24:47.000]   I'm number four.
[00:24:47.000 --> 00:24:48.000]   I'm number four.
[00:24:48.000 --> 00:24:49.000]   I'm number four.
[00:24:49.000 --> 00:24:50.000]   I'm number four.
[00:24:50.000 --> 00:24:51.000]   I'm number four.
[00:24:51.000 --> 00:24:52.000]   I'm number four.
[00:24:52.000 --> 00:24:53.000]   I'm number four.
[00:24:53.000 --> 00:24:54.000]   I'm number four.
[00:24:54.000 --> 00:24:55.000]   I'm number four.
[00:24:55.000 --> 00:24:56.000]   I'm number four.
[00:24:56.000 --> 00:24:57.000]   I'm number four.
[00:24:57.000 --> 00:24:58.000]   I'm number four.
[00:24:58.000 --> 00:24:59.000]   I'm number four.
[00:24:59.000 --> 00:25:00.000]   I'm number four.
[00:25:00.000 --> 00:25:01.000]   I'm number four.
[00:25:01.000 --> 00:25:02.000]   I'm number four.
[00:25:02.000 --> 00:25:03.000]   I'm number four.
[00:25:03.000 --> 00:25:04.000]   I'm number four.
[00:25:04.000 --> 00:25:05.000]   I'm number four.
[00:25:05.000 --> 00:25:06.000]   I'm number four.
[00:25:06.000 --> 00:25:07.000]   I'm number four.
[00:25:07.000 --> 00:25:08.000]   I'm number four.
[00:25:08.000 --> 00:25:09.000]   I'm number four.
[00:25:09.000 --> 00:25:10.000]   I'm number four.
[00:25:10.000 --> 00:25:11.000]   I'm number four.
[00:25:11.000 --> 00:25:12.000]   I'm number four.
[00:25:12.000 --> 00:25:13.000]   I'm number four.
[00:25:13.000 --> 00:25:14.000]   I'm number four.
[00:25:14.000 --> 00:25:15.000]   I'm number four.
[00:25:15.000 --> 00:25:16.000]   I'm number four.
[00:25:16.000 --> 00:25:17.000]   I'm number four.
[00:25:17.000 --> 00:25:18.000]   I'm number four.
[00:25:18.000 --> 00:25:19.000]   I'm number four.
[00:25:19.000 --> 00:25:20.000]   I'm number four.
[00:25:20.000 --> 00:25:21.000]   I'm number four.
[00:25:21.000 --> 00:25:22.000]   I'm number four.
[00:25:22.000 --> 00:25:23.000]   I'm number four.
[00:25:23.000 --> 00:25:24.000]   I'm number four.
[00:25:24.000 --> 00:25:25.000]   I'm number four.
[00:25:25.000 --> 00:25:26.000]   I'm number four.
[00:25:26.000 --> 00:25:27.000]   I'm number four.
[00:25:27.000 --> 00:25:28.000]   I'm number four.
[00:25:28.000 --> 00:25:29.000]   I'm number four.
[00:25:29.000 --> 00:25:30.000]   I'm number four.
[00:25:30.000 --> 00:25:31.000]   I'm number four.
[00:25:31.000 --> 00:25:32.000]   I'm number four.
[00:25:32.000 --> 00:25:33.000]   I'm number four.
[00:25:33.000 --> 00:25:34.000]   I'm number four.
[00:25:34.000 --> 00:25:35.000]   I'm number four.
[00:25:35.000 --> 00:25:36.000]   I'm number four.
[00:25:36.000 --> 00:25:37.000]   I'm number four.
[00:25:37.000 --> 00:25:38.000]   I'm number four.
[00:25:38.000 --> 00:25:39.000]   I'm number four.
[00:25:39.000 --> 00:25:40.000]   I'm number four.
[00:25:40.000 --> 00:25:41.000]   I'm number four.
[00:25:41.000 --> 00:25:42.000]   I'm number four.
[00:25:42.000 --> 00:25:43.000]   I'm number four.
[00:25:43.000 --> 00:25:44.000]   I'm number four.
[00:25:44.000 --> 00:25:45.000]   I'm number four.
[00:25:45.000 --> 00:25:46.000]   I'm number four.
[00:25:46.000 --> 00:25:47.000]   I'm number four.
[00:25:47.000 --> 00:25:48.000]   I'm number four.
[00:25:48.000 --> 00:25:49.000]   I'm number four.
[00:25:49.000 --> 00:25:50.000]   I'm number four.
[00:25:50.000 --> 00:25:51.000]   I'm number four.
[00:25:51.000 --> 00:25:52.000]   I'm number four.
[00:25:52.000 --> 00:25:53.000]   I'm number four.
[00:25:53.000 --> 00:25:54.000]   I'm number four.
[00:25:54.000 --> 00:25:55.000]   I'm number four.
[00:25:55.000 --> 00:25:56.000]   I'm number four.
[00:25:56.000 --> 00:25:57.000]   I'm number four.
[00:25:57.000 --> 00:25:58.000]   I'm number four.
[00:25:58.000 --> 00:25:59.000]   I'm number four.
[00:25:59.000 --> 00:26:00.000]   I'm number four.
[00:26:00.000 --> 00:26:01.000]   I'm number four.
[00:26:01.000 --> 00:26:02.000]   I'm number four.
[00:26:02.000 --> 00:26:03.000]   I'm number four.
[00:26:03.000 --> 00:26:04.000]   I'm number four.
[00:26:04.000 --> 00:26:05.000]   I'm number four.
[00:26:05.000 --> 00:26:06.000]   I'm number four.
[00:26:06.000 --> 00:26:07.000]   I'm number four.
[00:26:07.000 --> 00:26:08.000]   I'm number four.
[00:26:08.000 --> 00:26:09.000]   I'm number four.
[00:26:09.000 --> 00:26:10.000]   I'm number four.
[00:26:10.000 --> 00:26:11.000]   I'm number four.
[00:26:11.000 --> 00:26:12.000]   I'm number four.
[00:26:12.000 --> 00:26:13.000]   I'm number four.
[00:26:13.000 --> 00:26:14.000]   I'm number four.
[00:26:14.000 --> 00:26:15.000]   I'm number four.
[00:26:15.000 --> 00:26:16.000]   I'm number four.
[00:26:16.000 --> 00:26:17.000]   I'm number four.
[00:26:17.000 --> 00:26:18.000]   I'm number four.
[00:26:18.000 --> 00:26:19.000]   I'm number four.
[00:26:19.000 --> 00:26:20.000]   I'm number four.
[00:26:20.000 --> 00:26:21.000]   I'm number four.
[00:26:21.000 --> 00:26:22.000]   I'm number four.
[00:26:22.000 --> 00:26:23.000]   I'm number four.
[00:26:23.000 --> 00:26:24.000]   I'm number four.
[00:26:24.000 --> 00:26:25.000]   I'm number four.
[00:26:25.000 --> 00:26:26.000]   I'm number four.
[00:26:26.000 --> 00:26:27.000]   I'm number four.
[00:26:27.000 --> 00:26:28.000]   I'm number four.
[00:26:28.000 --> 00:26:29.000]   I'm number four.
[00:26:29.000 --> 00:26:30.000]   I'm number four.
[00:26:30.000 --> 00:26:31.000]   I'm number four.
[00:26:31.000 --> 00:26:32.000]   I'm number four.
[00:26:32.000 --> 00:26:33.000]   I'm number four.
[00:26:33.000 --> 00:26:34.000]   I'm number four.
[00:26:34.000 --> 00:26:35.000]   I'm number four.
[00:26:35.000 --> 00:26:36.000]   I'm number four.
[00:26:36.000 --> 00:26:37.000]   I'm number four.
[00:26:37.000 --> 00:26:38.000]   I'm number four.
[00:26:38.000 --> 00:26:39.000]   I'm number four.
[00:26:39.000 --> 00:26:40.000]   I'm number four.
[00:26:40.000 --> 00:26:41.000]   I'm number four.
[00:26:41.000 --> 00:26:42.000]   I'm number four.
[00:26:42.000 --> 00:26:43.000]   I'm number four.
[00:26:43.000 --> 00:26:44.000]   I'm number four.
[00:26:44.000 --> 00:26:45.000]   I'm number four.
[00:26:45.000 --> 00:26:46.000]   I'm number four.
[00:26:46.000 --> 00:26:47.000]   I'm number four.
