;FFMETADATA1
title=St Jeff's Memorial Hospital
artist=Megan Morrone, Roberto Baldwin, Ashley Esqueda, Jason Howell
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2022-07-24
track=885
language=English
genre=Podcast
comment=Amazon Buys One Medical, Google Glass AR, Netflix Ad-Supported		
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:01.520]   It's time for Twit.
[00:31:06.240 --> 00:31:08.400]   you know, 2008 or whatever it was.
[00:31:08.400 --> 00:31:12.600]   Be real seems to be a lot more a lot more controlled, I suppose.
[00:31:12.600 --> 00:31:14.400]   What about you, Ashley, Roberto?
[00:31:14.400 --> 00:31:15.880]   Have you used this at all?
[00:31:15.880 --> 00:31:17.680]   Yeah, I love it.
[00:31:17.680 --> 00:31:22.640]   I just like the idea of it, which is that for those of you who like have not used to be
[00:31:22.640 --> 00:31:23.920]   real if you're listening to this.
[00:31:23.920 --> 00:31:31.560]   So it's an app that is, I would say it could like Jason, it's a controlled social media.
[00:31:31.560 --> 00:31:37.400]   So it's not just posting publicly whenever you feel like it.
[00:31:37.400 --> 00:31:39.080]   You know, you got it.
[00:31:39.080 --> 00:31:43.560]   Basically the app flags you and says you got two minutes to post.
[00:31:43.560 --> 00:31:44.640]   Like this is the time.
[00:31:44.640 --> 00:31:49.760]   You get a two, everybody gets the same two minute window to take a picture of what you're
[00:31:49.760 --> 00:31:52.280]   currently doing, which is why it's called be real.
[00:31:52.280 --> 00:31:57.400]   It's just like no filters, no, there's nothing, no AR, nothing like that.
[00:31:57.400 --> 00:31:59.480]   Just very straightforward.
[00:31:59.480 --> 00:32:03.000]   Takes a picture with your front facing camera and your rear facing camera.
[00:32:03.000 --> 00:32:05.960]   And that's what gets posted to your profile.
[00:32:05.960 --> 00:32:07.720]   And there are rules that it has.
[00:32:07.720 --> 00:32:14.200]   So if you post late, other people will not, you won't be able to see other people's photos.
[00:32:14.200 --> 00:32:16.680]   They're pictures for the day.
[00:32:16.680 --> 00:32:24.480]   If you delete, if you want to delete a be real, you can only delete a picture and you're not
[00:32:24.480 --> 00:32:27.040]   allowed to delete the next day's picture.
[00:32:27.040 --> 00:32:28.760]   Like the next one that you post.
[00:32:28.760 --> 00:32:30.040]   They won't let you delete it.
[00:32:30.040 --> 00:32:34.160]   Like it'll say you can't, so we'll let you delete this one, but you can't delete the
[00:32:34.160 --> 00:32:35.160]   next one.
[00:32:35.160 --> 00:32:36.520]   Like so whatever that is.
[00:32:36.520 --> 00:32:42.080]   And it says, and there are things where you can say there was a bug or I can't see anything
[00:32:42.080 --> 00:32:43.720]   or what have you.
[00:32:43.720 --> 00:32:55.360]   But it's really interesting that, so it feels like be real is the antithesis of what most
[00:32:55.360 --> 00:32:59.000]   people think social media is for at this point.
[00:32:59.000 --> 00:33:05.920]   Which I think is what is so appealing about it to a lot of Gen Z kids.
[00:33:05.920 --> 00:33:06.920]   I read it.
[00:33:06.920 --> 00:33:10.880]   This is like a weird kind of, I promise I'm coming back to be real at this point.
[00:33:10.880 --> 00:33:15.560]   I read a really interesting ask Reddit the other day and someone said, I just don't understand
[00:33:15.560 --> 00:33:17.400]   Gen Z humor.
[00:33:17.400 --> 00:33:23.320]   Here's some examples and they listed some examples and it's like Gen X humor is like
[00:33:23.320 --> 00:33:27.160]   very kind of South Parky, sort of nihilistic.
[00:33:27.160 --> 00:33:32.160]   Then you get into millennial stuff where it's like this existential crisis humor.
[00:33:32.160 --> 00:33:35.760]   And then you get into Gen Z and it's just like, it's insane.
[00:33:35.760 --> 00:33:38.080]   You don't know what it even is half the time.
[00:33:38.080 --> 00:33:41.880]   And everybody's just kind of like weirdly in on a joke because it's just a vibe.
[00:33:41.880 --> 00:33:43.440]   Like the memes are vibes.
[00:33:43.440 --> 00:33:47.760]   Like they're not really, they're not at all like they don't make sense a lot of the time
[00:33:47.760 --> 00:33:48.760]   but it's a vibe.
[00:33:48.760 --> 00:33:51.680]   And like I get it, I understand that and that's cool.
[00:33:51.680 --> 00:33:53.480]   Like I love it.
[00:33:53.480 --> 00:34:00.120]   But someone had responded to that ask Reddit and they said, it's really interesting because
[00:34:00.120 --> 00:34:07.200]   Gen Z's meme humor specifically is it moves so quickly.
[00:34:07.200 --> 00:34:14.480]   Their version of the internet moves so fast and evolves so quickly that a millennial or
[00:34:14.480 --> 00:34:20.760]   a Gen X or a boomer or whatever would have you might post something and that meme could
[00:34:20.760 --> 00:34:23.640]   live for weeks or months.
[00:34:23.640 --> 00:34:26.640]   And in the early times of the internet, a meme would live for a year.
[00:34:26.640 --> 00:34:29.520]   Like it's just like, we all are familiar with the meme.
[00:34:29.520 --> 00:34:31.480]   I can has cheeseburger.
[00:34:31.480 --> 00:34:34.120]   Like that is an iconic long time meme.
[00:34:34.120 --> 00:34:39.960]   That doesn't exist for Gen Z. It's just like, you're living in the moment from moment to
[00:34:39.960 --> 00:34:47.040]   moment meme to meme and it gets remixed and regurgitated and redone and just transformed
[00:34:47.040 --> 00:34:52.120]   so many times in the span of 24 hours that it just becomes chaos.
[00:34:52.120 --> 00:34:53.760]   Like it's chaotic.
[00:34:53.760 --> 00:34:54.960]   But it's a vibe.
[00:34:54.960 --> 00:34:57.800]   Again, it's funny because it's a vibe.
[00:34:57.800 --> 00:35:03.680]   And so I thought that was so fascinating and be real to me seems like it is working
[00:35:03.680 --> 00:35:05.720]   very hard against that.
[00:35:05.720 --> 00:35:09.320]   And it's just like, no, this is just like show people what you're doing right in this moment.
[00:35:09.320 --> 00:35:11.400]   It's the same to everybody shares the same two minutes.
[00:35:11.400 --> 00:35:16.520]   So it's really a little snapshot of like what's going on in time right now at your phone.
[00:35:16.520 --> 00:35:17.520]   There you go.
[00:35:17.520 --> 00:35:18.520]   That's it.
[00:35:18.520 --> 00:35:23.080]   It's like very simple, very straightforward and it has, it's got bumpers on it, right?
[00:35:23.080 --> 00:35:27.880]   It's got guardrails on it to keep you from gaming the system the way so many other social
[00:35:27.880 --> 00:35:33.640]   media platforms have been gamed by both influencers, advertisers, everything in between.
[00:35:33.640 --> 00:35:35.680]   It's just super fascinating.
[00:35:35.680 --> 00:35:38.520]   I find be real like the so, so, so fascinating.
[00:35:38.520 --> 00:35:40.600]   It's very interesting to me.
[00:35:40.600 --> 00:35:45.640]   It gives me flashbacks to early Twitter, to be honest.
[00:35:45.640 --> 00:35:46.640]   Like early early Twitter.
[00:35:46.640 --> 00:35:47.640]   Yeah.
[00:35:47.640 --> 00:35:51.240]   I just, just in the sense that when, when Twitter first came out, it was kind of like,
[00:35:51.240 --> 00:35:52.640]   what do we even use this for?
[00:35:52.640 --> 00:35:54.760]   You mean we're just supposed to share what we're doing right now?
[00:35:54.760 --> 00:35:56.080]   I guess I'm eating a sandwich.
[00:35:56.080 --> 00:35:58.960]   Well, does anyone really want to know that I'm eating a sandwich?
[00:35:58.960 --> 00:36:00.200]   Half the time would be real.
[00:36:00.200 --> 00:36:03.600]   What you end up getting or at least what I end up getting in my feed is people.
[00:36:03.600 --> 00:36:05.600]   Sitting in front of their computers, right?
[00:36:05.600 --> 00:36:09.880]   They end up seeing like a screen with whatever they're working on, then a shot of them sitting
[00:36:09.880 --> 00:36:12.040]   at their computer, which isn't the most exciting thing.
[00:36:12.040 --> 00:36:16.120]   I realize, hey, join the social network where all you see is what people are, you know,
[00:36:16.120 --> 00:36:19.240]   that they're working at their computers just like you.
[00:36:19.240 --> 00:36:24.720]   But I think what's interesting or appealing to me about it is that because of the guardrails
[00:36:24.720 --> 00:36:29.960]   that you were talking about, Ashley, because of kind of the rules of play, so to speak,
[00:36:29.960 --> 00:36:35.800]   find this idea that you can't, like there's no easy way for you to go all Instagram and
[00:36:35.800 --> 00:36:40.200]   show your luxurious yacht because you just happen to be standing in front of one with
[00:36:40.200 --> 00:36:42.200]   the two minutes that it happens or whatever.
[00:36:42.200 --> 00:36:46.920]   There's no painting your life to be anything, hopefully, other than what it actually is.
[00:36:46.920 --> 00:36:52.680]   And it's kind of the blandness of life ends up being the appealing factor of be real for
[00:36:52.680 --> 00:36:53.680]   me.
[00:36:53.680 --> 00:36:57.280]   It's kind of like confirmation that like, oh yeah, my life can be pretty boring too.
[00:36:57.280 --> 00:36:58.280]   Nice.
[00:36:58.280 --> 00:37:01.840]   You're not always seeing just the really great stuff that someone's doing.
[00:37:01.840 --> 00:37:03.840]   You're seeing kind of the boring stuff that they're doing.
[00:37:03.840 --> 00:37:07.640]   And that's cool too, because that's what being a human is all about.
[00:37:07.640 --> 00:37:12.080]   So there's a very funny tweet about it that says, I can't believe we're all so fake.
[00:37:12.080 --> 00:37:14.320]   This is from Connor, Connor, Franta.
[00:37:14.320 --> 00:37:16.160]   He says, I can't believe we're also fake.
[00:37:16.160 --> 00:37:19.080]   They're now making social media apps that force us to be ourselves.
[00:37:19.080 --> 00:37:20.080]   That's hilarious.
[00:37:20.080 --> 00:37:21.080]   It's like, yeah.
[00:37:21.080 --> 00:37:24.080]   Yeah, that's a pretty spot on Roberto.
[00:37:24.080 --> 00:37:26.640]   What were you going to say?
[00:37:26.640 --> 00:37:31.680]   I just like that there's now a social media that'll just chronicle late stage capitalism
[00:37:31.680 --> 00:37:35.040]   of just sitting in front of our computers with the existential dread in our eyes.
[00:37:35.040 --> 00:37:37.960]   How are things going?
[00:37:37.960 --> 00:37:42.680]   Well, you know, staring at this box again.
[00:37:42.680 --> 00:37:45.960]   I also just literally signed up for it like two seconds ago.
[00:37:45.960 --> 00:37:48.240]   I'm like, yeah, that sounds fine, whatever.
[00:37:48.240 --> 00:37:50.480]   I need a fifth tech reporter guy.
[00:37:50.480 --> 00:37:52.880]   So yeah, it's the same name.
[00:37:52.880 --> 00:37:57.400]   The RNGWIS, go ahead.
[00:37:57.400 --> 00:37:58.400]   Okay.
[00:37:58.400 --> 00:38:00.600]   So the fatal flaw would be real.
[00:38:00.600 --> 00:38:02.720]   And I don't know why they didn't think of this.
[00:38:02.720 --> 00:38:07.680]   It seems quite obvious is that the app is terrible.
[00:38:07.680 --> 00:38:09.960]   And some people think that's like very unique.
[00:38:09.960 --> 00:38:16.720]   But the reason why it almost never works because everyone is using it at the exact same time.
[00:38:16.720 --> 00:38:18.720]   And like that is inherent in what you do.
[00:38:18.720 --> 00:38:21.120]   Like everybody opens it up and takes the picture.
[00:38:21.120 --> 00:38:26.400]   And then so it's like, well, didn't you know that like as you scaled, as you got more users?
[00:38:26.400 --> 00:38:27.400]   Oh boy.
[00:38:27.400 --> 00:38:28.400]   Yeah, good.
[00:38:28.400 --> 00:38:30.680]   So the data spike is very bad.
[00:38:30.680 --> 00:38:34.000]   So it starts at the same time every day.
[00:38:34.000 --> 00:38:36.760]   Everybody gets same time for everyone.
[00:38:36.760 --> 00:38:43.560]   But you can change your time zone like to European time zone or like US time zone, but
[00:38:43.560 --> 00:38:45.720]   not like you at little US time zones.
[00:38:45.720 --> 00:38:48.760]   But you can be on a different time zone, but it's basically the same time every day.
[00:38:48.760 --> 00:38:54.880]   And what has happened is like I've been using it as like, I don't really do it every, you
[00:38:54.880 --> 00:38:57.840]   know, every time like, but you can do it at any time in the day.
[00:38:57.840 --> 00:38:59.400]   It just shows that you've done it late.
[00:38:59.400 --> 00:39:01.120]   And then after you do it, you can see everyone's photos.
[00:39:01.120 --> 00:39:04.760]   So like I haven't done mine today and I'm definitely going to do it of you four to have
[00:39:04.760 --> 00:39:08.920]   like a very meta be real situation when you least expect it.
[00:39:08.920 --> 00:39:09.920]   But that's the thing.
[00:39:09.920 --> 00:39:11.600]   It's like it doesn't really.
[00:39:11.600 --> 00:39:15.960]   But I do still love it for all the reasons that we've discussed.
[00:39:15.960 --> 00:39:19.400]   The other thing that I don't know if you know this is that you can take, you can retake
[00:39:19.400 --> 00:39:22.680]   the picture if you don't like what you look like, but it will notify.
[00:39:22.680 --> 00:39:25.560]   It doesn't notify, but you can see, can look at people's be real.
[00:39:25.560 --> 00:39:31.320]   And like if, you know, if I see that Jason had like this lovely picture of his steel cut
[00:39:31.320 --> 00:39:36.280]   oats and blueberries and his smiling morning face, I can see like how many times did he
[00:39:36.280 --> 00:39:37.280]   take that picture.
[00:39:37.280 --> 00:39:42.760]   So it'll say like that you like took it, you know, until you had the exact right angle.
[00:39:42.760 --> 00:39:46.240]   So I didn't know that it had that feature.
[00:39:46.240 --> 00:39:47.240]   Oh, yeah.
[00:39:47.240 --> 00:39:50.240]   I know you took that shot five times with my own.
[00:39:50.240 --> 00:39:52.480]   It is a screenshot too.
[00:39:52.480 --> 00:39:55.720]   If you screenshot, it'll not say this is a screenshot.
[00:39:55.720 --> 00:39:56.720]   Yeah.
[00:39:56.720 --> 00:39:57.720]   It's a snitch.
[00:39:57.720 --> 00:39:58.720]   Yeah.
[00:39:58.720 --> 00:39:59.720]   I travel like a Europe.
[00:39:59.720 --> 00:40:07.440]   So is it so is it based on the phone's time zone or is the app have its own time zone
[00:40:07.440 --> 00:40:08.640]   from where you set it up?
[00:40:08.640 --> 00:40:10.960]   Because I travel to Europe a lot.
[00:40:10.960 --> 00:40:15.360]   And so will it will it correct as I get over there?
[00:40:15.360 --> 00:40:17.360]   I think it's only I think.
[00:40:17.360 --> 00:40:18.360]   Yeah.
[00:40:18.360 --> 00:40:21.760]   Yeah, I think it's we'll find out and I'm going to be real right now.
[00:40:21.760 --> 00:40:22.760]   Okay.
[00:40:22.760 --> 00:40:23.760]   Oh, yeah.
[00:40:23.760 --> 00:40:24.760]   Be real.
[00:40:24.760 --> 00:40:30.080]   I'm just going to look dead inside.
[00:40:30.080 --> 00:40:31.880]   Something like be real though.
[00:40:31.880 --> 00:40:36.520]   It's hard to see at this stage like like it's it's got activity.
[00:40:36.520 --> 00:40:43.120]   It's got movement obviously the younger generation users a lot a lot of like kids using it.
[00:40:43.120 --> 00:40:44.720]   I don't want to call them kids.
[00:40:44.720 --> 00:40:46.480]   A lot of younger people using them.
[00:40:46.480 --> 00:40:48.680]   This is what happens when you get your mid 40s.
[00:40:48.680 --> 00:40:49.680]   Kids.
[00:40:49.680 --> 00:40:50.680]   I start calling the kids.
[00:40:50.680 --> 00:40:52.880]   I know I get off my lawn for kids.
[00:40:52.880 --> 00:40:55.320]   But there's a lot of movement right now.
[00:40:55.320 --> 00:40:59.680]   Part of me wonders if an app like be real has a short lifespan, right?
[00:40:59.680 --> 00:41:02.400]   Like that is interesting right right now.
[00:41:02.400 --> 00:41:05.600]   But like what does it have the ability to grow into over time?
[00:41:05.600 --> 00:41:10.960]   It's kind of built around these really like like we were talking about these these hard
[00:41:10.960 --> 00:41:12.560]   and fast rules.
[00:41:12.560 --> 00:41:14.560]   Like these companies.
[00:41:14.560 --> 00:41:17.840]   I predict Facebook ultimately want to broaden out and become something more.
[00:41:17.840 --> 00:41:19.600]   How do you do that when you've got these rules?
[00:41:19.600 --> 00:41:21.040]   Facebook will just copy this.
[00:41:21.040 --> 00:41:25.840]   It'll just be a feature of copies where it's like it'll be like a check in feature, but
[00:41:25.840 --> 00:41:31.480]   it'll just be like, Hey, like here's this fun little, you know, sub menu on Instagram
[00:41:31.480 --> 00:41:34.320]   reels or whatever or on Instagram where you can just choose it.
[00:41:34.320 --> 00:41:37.960]   And then it's like, Oh, if you'd like to be notified every day to just like snap a picture,
[00:41:37.960 --> 00:41:40.360]   we'll take one of the front and back of your camera or whatever.
[00:41:40.360 --> 00:41:41.360]   They'll just copy it.
[00:41:41.360 --> 00:41:42.360]   Yeah.
[00:41:42.360 --> 00:41:43.360]   You're right.
[00:41:43.360 --> 00:41:44.360]   That's what that's what usually happens.
[00:41:44.360 --> 00:41:45.720]   You think the front back.
[00:41:45.720 --> 00:41:47.720]   People are angry.
[00:41:47.720 --> 00:41:48.720]   Remember front back?
[00:41:48.720 --> 00:41:50.720]   The app that took a picture of the front and the back.
[00:41:50.720 --> 00:41:51.720]   Remember them?
[00:41:51.720 --> 00:41:52.720]   You think they're like, Oh, come on.
[00:41:52.720 --> 00:41:53.720]   Pressing piece from back.
[00:41:53.720 --> 00:41:54.720]   Poor one out for front back.
[00:41:54.720 --> 00:41:56.720]   Or went out or path or.
[00:41:56.720 --> 00:41:57.720]   All right.
[00:41:57.720 --> 00:41:58.720]   P.
[00:41:58.720 --> 00:41:59.720]   Path.
[00:41:59.720 --> 00:42:00.720]   Yeah.
[00:42:00.720 --> 00:42:01.720]   Yeah.
[00:42:01.720 --> 00:42:02.720]   Oh, I forgot about peach.
[00:42:02.720 --> 00:42:03.720]   Yeah.
[00:42:03.720 --> 00:42:04.720]   I have.
[00:42:04.720 --> 00:42:05.720]   Yeah.
[00:42:05.720 --> 00:42:06.720]   I just signed up for all these things.
[00:42:06.720 --> 00:42:11.560]   So I keep my screen name and I was like, but I'm on be real now.
[00:42:11.560 --> 00:42:12.560]   This is the one that's going to stick.
[00:42:12.560 --> 00:42:13.560]   Yeah.
[00:42:13.560 --> 00:42:17.440]   This is the one you're ready to stick around for at least six months.
[00:42:17.440 --> 00:42:19.200]   I wrote the next Facebook.
[00:42:19.200 --> 00:42:20.440]   You just wait and see.
[00:42:20.440 --> 00:42:22.880]   Megan's daughter told her about it a year ago.
[00:42:22.880 --> 00:42:23.880]   So it's been around.
[00:42:23.880 --> 00:42:24.880]   Yeah, exactly.
[00:42:24.880 --> 00:42:25.880]   It's been chilling.
[00:42:25.880 --> 00:42:26.880]   Yeah.
[00:42:26.880 --> 00:42:30.040]   And imagine the data that they can collect.
[00:42:30.040 --> 00:42:31.040]   That's the other thing.
[00:42:31.040 --> 00:42:35.600]   It's like, if it really is us just doing our regular normal things, you know, because
[00:42:35.600 --> 00:42:40.160]   if you were like, if you're constantly posting on Instagram about like the one time you
[00:42:40.160 --> 00:42:44.760]   got to, you saved enough money to go to Hawaii for the year for me, like you're not, like
[00:42:44.760 --> 00:42:46.920]   that's not going to be that targeted advertising, right?
[00:42:46.920 --> 00:42:50.800]   But if it's like everything you're doing on a normal day, everything that's in your
[00:42:50.800 --> 00:42:56.000]   background, like, I mean, obviously they have a privacy policy in place and they're not
[00:42:56.000 --> 00:42:58.480]   like grabbing all that stuff yet.
[00:42:58.480 --> 00:43:03.320]   But it is a pretty interesting trove of data, just like what you're actually doing in your
[00:43:03.320 --> 00:43:04.320]   regular life.
[00:43:04.320 --> 00:43:05.320]   Mm hmm.
[00:43:05.320 --> 00:43:07.720]   Uh, got to go there.
[00:43:07.720 --> 00:43:11.960]   See, I was just mindlessly posting what I, what I'm doing at a random time.
[00:43:11.960 --> 00:43:16.000]   And now I got to think about exactly how all that image right stuff is being analyzed.
[00:43:16.000 --> 00:43:17.000]   Yeah.
[00:43:17.000 --> 00:43:18.840]   Are you getting a lot of ads for steel cut?
[00:43:18.840 --> 00:43:19.840]   Yes.
[00:43:19.840 --> 00:43:20.840]   Yes.
[00:43:20.840 --> 00:43:21.840]   Yes.
[00:43:21.840 --> 00:43:22.840]   I am.
[00:43:22.840 --> 00:43:25.440]   No, I don't, yeah, and I don't even think there's like, there's not even any ads in the app at
[00:43:25.440 --> 00:43:26.440]   this point.
[00:43:26.440 --> 00:43:27.440]   So that's not.
[00:43:27.440 --> 00:43:29.440]   So, yeah, cool companies will use it to sell the antidepressants.
[00:43:29.440 --> 00:43:31.480]   Everyone's just like, oh God, we know.
[00:43:31.480 --> 00:43:33.520]   Everyone's just like sad or at their desk.
[00:43:33.520 --> 00:43:34.680]   The privacy, yeah.
[00:43:34.680 --> 00:43:37.880]   Let's get those people some pros back.
[00:43:37.880 --> 00:43:38.880]   Who knows?
[00:43:38.880 --> 00:43:42.960]   Maybe Amazon will buy be real and then, uh, everything.
[00:43:42.960 --> 00:43:44.680]   Yeah, they buy everything.
[00:43:44.680 --> 00:43:51.280]   In fact, apparently Amazon is getting further and further into the, it's, it's ambitions
[00:43:51.280 --> 00:43:55.360]   of kind of revitalizing the, uh, the health industry.
[00:43:55.360 --> 00:43:59.920]   They announced, uh, it's intent to buy one medical, which is a San Francisco chain of
[00:43:59.920 --> 00:44:02.520]   primary healthcare clinics.
[00:44:02.520 --> 00:44:08.040]   Um, although one medical from what I understand, I wasn't super familiar with this before kind
[00:44:08.040 --> 00:44:10.440]   of hearing about this news and reading up a little bit about it.
[00:44:10.440 --> 00:44:12.320]   Uh, it's like technologically powered.
[00:44:12.320 --> 00:44:14.560]   So it's not just like primary healthcare clinics.
[00:44:14.560 --> 00:44:18.480]   It's, it's got a technical or technological kind of backbone to it.
[00:44:18.480 --> 00:44:23.560]   Uh, kind of like a self service sort of approach to primary care and telehealth.
[00:44:23.560 --> 00:44:24.760]   Is this like forward?
[00:44:24.760 --> 00:44:28.680]   There's like a series of, there's like a chain of medical offices that they, they have like
[00:44:28.680 --> 00:44:31.880]   very high tech sort of experience when you go in.
[00:44:31.880 --> 00:44:35.280]   Um, I would, I think it, I think it's similar to this.
[00:44:35.280 --> 00:44:42.240]   It's like, um, there's a real heavy focus on like, oh, you know, forward, I guess forward
[00:44:42.240 --> 00:44:44.960]   trajectory technology and like medicine.
[00:44:44.960 --> 00:44:45.960]   Okay.
[00:44:45.960 --> 00:44:46.960]   Yeah.
[00:44:46.960 --> 00:44:48.960]   So it's like a digital services.
[00:44:48.960 --> 00:44:49.960]   Right.
[00:44:49.960 --> 00:44:55.040]   Um, one medical was like aimed at, um, probably like millennials and people like, so it was
[00:44:55.040 --> 00:44:57.240]   an addition to health insurance.
[00:44:57.240 --> 00:45:01.600]   So when I worked at medium, um, we had, this is a benefit, like it was an extra benefit.
[00:45:01.600 --> 00:45:04.680]   Um, in addition to medical insurance, it was just easier and faster.
[00:45:04.680 --> 00:45:08.880]   They got in a little bit of trouble because I think like right when vaccines came out,
[00:45:08.880 --> 00:45:13.080]   they like sort of offered to have people who had one medical skip the line.
[00:45:13.080 --> 00:45:14.080]   Oh, yeah.
[00:45:14.080 --> 00:45:15.080]   Um, like, and so.
[00:45:15.080 --> 00:45:18.680]   Yeah, they're, um, yeah.
[00:45:18.680 --> 00:45:22.480]   So it's like they're, they're just like a disruptor, you know, like, um, you know, Uber
[00:45:22.480 --> 00:45:25.400]   and taxis or Airbnb and hotels.
[00:45:25.400 --> 00:45:26.400]   That's their thing.
[00:45:26.400 --> 00:45:27.400]   Like, right.
[00:45:27.400 --> 00:45:28.400]   Right.
[00:45:28.400 --> 00:45:29.400]   Right.
[00:45:29.400 --> 00:45:34.920]   So Amazon's $3.9 billion all cash deal, uh, to acquire.
[00:45:34.920 --> 00:45:39.120]   And of course everyone jumps to, you know, the obvious place, which is, okay, do we trust
[00:45:39.120 --> 00:45:45.080]   Amazon to be that hands on with, uh, with our medical information?
[00:45:45.080 --> 00:45:48.920]   If you happen to be with, you know, one medical, saw a lot of, saw a lot of people online
[00:45:48.920 --> 00:45:50.840]   who were like, oh, seriously, like I'm out.
[00:45:50.840 --> 00:45:54.600]   If, if Amazon's in, I'm out, I'm not comfortable with that.
[00:45:54.600 --> 00:46:01.000]   Um, so yeah, I mean, that's, that's, I mean, undeniably that's an easy place to go.
[00:46:01.000 --> 00:46:05.280]   Amazon, this isn't Amazon's only foray into this as either, you know, they bought pill
[00:46:05.280 --> 00:46:07.640]   pack however many years ago.
[00:46:07.640 --> 00:46:12.840]   And that's the kind of like the automated kind of mail order, uh, pill delivery service
[00:46:12.840 --> 00:46:13.960]   for medication.
[00:46:13.960 --> 00:46:17.960]   Of course, Whole Foods, which, you know, isn't healthcare, but it is healthy living.
[00:46:17.960 --> 00:46:22.120]   So Amazon kind of has this whole thing going on right now, but does this concern any of
[00:46:22.120 --> 00:46:28.680]   you as far as Amazon being the puppet master in control of this healthcare, uh, wing, so
[00:46:28.680 --> 00:46:29.680]   to speak?
[00:46:29.680 --> 00:46:32.240]   I mean, obviously going to use your company.
[00:46:32.240 --> 00:46:33.240]   Yeah.
[00:46:33.240 --> 00:46:35.000]   Anytime any company says like, we're not going to do that.
[00:46:35.000 --> 00:46:36.000]   And then they do that.
[00:46:36.000 --> 00:46:37.000]   And they do.
[00:46:37.000 --> 00:46:42.220]   Oh, and then they get sort of slapped by the government and they get like a $30,000 fine
[00:46:42.220 --> 00:46:46.320]   or something, which is essentially like the executive lunch budget for the day.
[00:46:46.320 --> 00:46:52.480]   Yeah, it's, it's always concerning when, when any of these big companies continue to consolidate,
[00:46:52.480 --> 00:46:56.360]   uh, more ways to get your data, especially when it comes to healthcare.
[00:46:56.360 --> 00:47:00.160]   That's, that's, I don't know, I don't know if I would have.
[00:47:00.160 --> 00:47:01.160]   It's really prickly.
[00:47:01.160 --> 00:47:02.160]   It's really prickly.
[00:47:02.160 --> 00:47:05.800]   It's like just a real thorny kind of place to be in.
[00:47:05.800 --> 00:47:12.520]   Because the thing is, is, you know, technically they would have to keep that information private,
[00:47:12.520 --> 00:47:17.880]   but also, you know, there's the argument that can be made where it's like, Oh, we, and we,
[00:47:17.880 --> 00:47:19.800]   it's the data is anonymous.
[00:47:19.800 --> 00:47:26.040]   And we, we make sure that it's anonymous before it's used by Amazon Prime or like, you know,
[00:47:26.040 --> 00:47:29.320]   but the thing is, is like, it's going to know it's you, right?
[00:47:29.320 --> 00:47:34.440]   Like if you're going to a one medical facility, your phone is there, your geolocation.
[00:47:34.440 --> 00:47:38.680]   If you have any location services on it and you have the Amazon Amazon, I mean, it's
[00:47:38.680 --> 00:47:42.960]   just, there's a lot of kind of, there's going to be a lot of coincidences with your data.
[00:47:42.960 --> 00:47:43.960]   Right?
[00:47:43.960 --> 00:47:49.040]   It's just going to be, it's, oh, it's what a coincidence you, you got diagnosed with diabetes.
[00:47:49.040 --> 00:47:51.360]   And now Amazon is going to recommend to you.
[00:47:51.360 --> 00:47:54.880]   Like here's all these sponsored, um, you know, insulin pumps that we could recommend
[00:47:54.880 --> 00:47:55.880]   to you.
[00:47:55.880 --> 00:47:58.600]   And you can use your FSA and like all this other, you know, all this other stuff.
[00:47:58.600 --> 00:48:07.360]   So I feel it always makes me feel icky when like a big tech company buys a company that's
[00:48:07.360 --> 00:48:10.240]   in a completely different services vertical.
[00:48:10.240 --> 00:48:13.560]   It's just a little, it's a little weird and it's got just me out a little bit.
[00:48:13.560 --> 00:48:17.720]   I mean, I'm not going to, I hate saying this was like, I'm not going to stop using Amazon.
[00:48:17.720 --> 00:48:20.280]   Like I need that convenience in a lot of ways.
[00:48:20.280 --> 00:48:21.720]   Like, and there's a lot of things that I need.
[00:48:21.720 --> 00:48:23.040]   I got my hypocrite.
[00:48:23.040 --> 00:48:24.040]   I fully admit it.
[00:48:24.040 --> 00:48:28.040]   But also it's just like, yeah, that, that kind of thing is like, I don't know that I
[00:48:28.040 --> 00:48:29.720]   could, I don't know that I could do it.
[00:48:29.720 --> 00:48:33.480]   I don't know that I could give my health data to a company like Amazon.
[00:48:33.480 --> 00:48:36.040]   But then it's like, how much do they already know about you?
[00:48:36.040 --> 00:48:37.040]   Right?
[00:48:37.040 --> 00:48:40.680]   Like, because if you are a diabetic, let's say you buy a, you buy some supplies on Amazon,
[00:48:40.680 --> 00:48:45.240]   they probably know, they probably have an idea that you are someone in your household,
[00:48:45.240 --> 00:48:46.600]   has a certain health condition.
[00:48:46.600 --> 00:48:51.200]   So, or is in a bucket of cat, you know, a bucket that includes a myriad of health conditions
[00:48:51.200 --> 00:48:55.800]   that have similar symptoms or similar care, you know, care instructions.
[00:48:55.800 --> 00:48:58.840]   So it's a tough one.
[00:48:58.840 --> 00:48:59.840]   It's a tough one.
[00:48:59.840 --> 00:49:06.040]   Well, and if they do know that about you, what exactly are they doing with that information,
[00:49:06.040 --> 00:49:07.720]   if they know that about you, right?
[00:49:07.720 --> 00:49:09.920]   Like, it's not like they're selling, it's Amazon.
[00:49:09.920 --> 00:49:15.600]   So, their business is not selling that information that we know of to someone else.
