;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[00:35:50.520 --> 00:35:55.560]   With our great panelists from the big technology podcast and sub stack
[00:35:55.560 --> 00:36:01.960]   You know Alex Cantor wits great to see you Alex and Alex Brolin his good friend Ron John Roy
[00:36:01.960 --> 00:36:06.840]   His co-host every Friday on the big technology podcast more to talk about
[00:36:07.800 --> 00:36:13.320]   Farg you I'll fart farg me. I'll farg you. We'll talk about that just a second, but first
[00:36:13.320 --> 00:36:17.520]   Jesus and you thought Zell was a bad name
[00:36:17.520 --> 00:36:21.800]   This
[00:36:21.800 --> 00:36:23.880]   Are you sure they brought to you by?
[00:36:23.880 --> 00:36:31.640]   And they're sure happy about it net suite if your business earns millions or tens of millions in revenues
[00:36:31.640 --> 00:36:37.720]   Stop what you're doing and listen because net suite from Oracle has just rolled out the best offer
[00:36:37.720 --> 00:36:41.080]   We have ever seen net suite gives you the visibility
[00:36:41.080 --> 00:36:44.760]   We've talked about it before in control. You need to make better decisions faster
[00:36:44.760 --> 00:36:50.600]   Ben argov who's the CEO of international wine accessories gave us this quote. We've improved efficiency
[00:36:50.600 --> 00:36:54.040]   enabled remote sales and customer service
[00:36:54.040 --> 00:36:59.800]   We provide a higher level of service to our customers and manage based on real-time data
[00:37:00.360 --> 00:37:03.480]   By having all of our operations centralized hosted and accessible
[00:37:03.480 --> 00:37:05.400]   in the cloud
[00:37:05.400 --> 00:37:08.920]   For the first time in net suites 25 years is the number one cloud
[00:37:08.920 --> 00:37:10.840]   financial system
[00:37:10.840 --> 00:37:14.440]   You can defer payments of a full net suite implementation for six months
[00:37:14.440 --> 00:37:17.320]   Six months no payment no interest
[00:37:17.320 --> 00:37:20.520]   You can take advantage of this special financing offer right now
[00:37:20.520 --> 00:37:24.520]   Net suite is number one because they give your business everything you need
[00:37:25.240 --> 00:37:33.720]   In real time all in one place to reduce manual processes to boost efficiency to build forecasts to increase productivity across to every department
[00:37:33.720 --> 00:37:38.280]   Having the power of all your information in one place
[00:37:38.280 --> 00:37:42.760]   So you can make better decisions is an incomparable value
[00:37:42.760 --> 00:37:46.120]   Don't let this phenomenal offer from net suite pass you by if you think about it
[00:37:46.120 --> 00:37:54.680]   A single source of truth a single source of information all in one place with graphs with information that you need
[00:37:55.480 --> 00:37:59.640]   Is what it takes to make better business decisions
[00:37:59.640 --> 00:38:04.040]   No wonder more than 36,000 companies have already upgraded in net suite
[00:38:04.040 --> 00:38:10.040]   gaining visibility and control over their financials their inventory their HR their e-commerce
[00:38:10.040 --> 00:38:17.000]   And more for businesses of any size net suite is just the right way to do it
[00:38:17.000 --> 00:38:19.560]   If you've been sizing net suite up to make the switch
[00:38:20.040 --> 00:38:28.120]   Then you know this is an unusually good deal. It's unprecedented. No interest no payments for six months take advantage of this special offer
[00:38:28.120 --> 00:38:31.480]   At net suite dot com slash twit
[00:38:31.480 --> 00:38:37.560]   Net suite n E T S U I T E net suite dot com slash twit get the visibility and control
[00:38:37.560 --> 00:38:40.200]   You need to weather any storm now more than ever you need this
[00:38:40.200 --> 00:38:47.000]   Six months no interest no payments what a great special financing offer from net suite at net suite
[00:38:47.400 --> 00:38:52.360]   Dot com slash twit we thank them so much for their support of this week in
[00:38:52.360 --> 00:38:55.080]   tech
[00:38:55.080 --> 00:39:06.040]   It's been really fun watching the mike drif soft acquisition act go up and down and left and right a 69.7 billion dollar deal
[00:39:06.040 --> 00:39:07.800]   uh
[00:39:07.800 --> 00:39:12.120]   Only now two people in the way of this acquisition
[00:39:12.120 --> 00:39:15.080]   the uk competition authority
[00:39:15.960 --> 00:39:20.840]   Who's worried about cloud gaming and the f t c and now it looks like the f t c
[00:39:20.840 --> 00:39:23.640]   Uh is stepping back
[00:39:23.640 --> 00:39:29.000]   Uh, it started with a uh injunction the f t c asked the courts to say hey
[00:39:29.000 --> 00:39:35.320]   We're investigating this acquisition. Can you can you can you issue a temporary restraining order so they cannot
[00:39:35.320 --> 00:39:43.560]   Uh get together the judge took testimony from everybody from satya nadella from sony from everybody and said guys
[00:39:44.360 --> 00:39:48.920]   There's no reason for this injunction. I'm not gonna agree to it. I'm not gonna bar it
[00:39:48.920 --> 00:39:55.880]   Microsoft said all right then we're going to the ninth circuit court of appeals who within seconds
[00:39:55.880 --> 00:39:58.680]   Said no no
[00:39:58.680 --> 00:40:01.240]   No, no, we're not gonna stop it either
[00:40:01.240 --> 00:40:07.080]   Uh, microsoft and activation of extent they had a deadline of july. I think was the 18th
[00:40:07.080 --> 00:40:11.000]   Uh, that was the that was the trigger for the breakup fee
[00:40:11.640 --> 00:40:15.160]   They agreed no, no, no, this is going to happen, but we're going to extend this to loktober
[00:40:15.160 --> 00:40:17.960]   Uh, it can't be very far off at this point
[00:40:17.960 --> 00:40:20.520]   Um, except for this little
[00:40:20.520 --> 00:40:22.760]   You know speed bump that we call the united kingdom
[00:40:22.760 --> 00:40:25.080]   Um
[00:40:25.080 --> 00:40:28.200]   You guys have any thoughts on this? I guess the first question I would ask
[00:40:28.200 --> 00:40:31.000]   Uh
[00:40:31.000 --> 00:40:37.080]   Is it problematic? It's a big merger. You don't see many 69 billion dollar mergers in the world
[00:40:38.200 --> 00:40:43.000]   Clearly two big companies getting together. Is that by itself enough to worry?
[00:40:43.000 --> 00:40:47.080]   You talk a lot on what about financialization of tech
[00:40:47.080 --> 00:40:51.480]   Let's turn it back on to you. You're a gamer, right?
[00:40:51.480 --> 00:40:55.160]   So the main concern here is that microsoft buys activation
[00:40:55.160 --> 00:40:59.880]   Then big activation games like call of duty. Only if it can be available on the xbox
[00:40:59.880 --> 00:41:02.600]   Now they've signed some 10-year deals to say okay
[00:41:02.600 --> 00:41:05.240]   It's going to be available on other platforms like the playstation
[00:41:05.880 --> 00:41:08.280]   But isn't that the inevitable end here?
[00:41:08.280 --> 00:41:13.240]   Which is that you get platform exclusivity and that's bad for all gamers because the price goes up
[00:41:13.240 --> 00:41:15.880]   On xbox and you can't use it if you have a playstation
[00:41:15.880 --> 00:41:18.440]   I guess it depends on if you believe microsoft
[00:41:18.440 --> 00:41:21.560]   Because microsoft has said no no no in fact you're right
[00:41:21.560 --> 00:41:27.960]   They've offered a 10-year deal which they offered in 2021 and sony finally signed it after this latest setback
[00:41:27.960 --> 00:41:34.040]   Uh, uh, non-exclusivity they're going to continue to offer it microsoft says why would we not offer it?
[00:41:34.920 --> 00:41:40.760]   On playstation. We want to make money on call of duty and x we lose money on xbox
[00:41:40.760 --> 00:41:43.080]   We're not going to save xbox with exclusives
[00:41:43.080 --> 00:41:48.440]   Really if you think about it if you're a gamer, you know that sony is far worse on exclusives than microsoft is
[00:41:48.440 --> 00:41:53.560]   Uh far more likely to use exclusives to prop up a the game platform and it's worked for them
[00:41:53.560 --> 00:41:55.960]   I kind of believe microsoft is not gonna
[00:41:55.960 --> 00:41:59.720]   Does not care as much about the xbox business as selling
[00:41:59.720 --> 00:42:04.360]   Software everywhere in fact, that's the new microsoft. There's a new such an indela is we don't
[00:42:05.080 --> 00:42:07.880]   We we want to sell products to everybody on every platform
[00:42:07.880 --> 00:42:11.320]   So I believe them on that but on the other hand
[00:42:11.320 --> 00:42:19.800]   I also get nervous when I see giant companies merging because in the long run that seems to me
[00:42:19.800 --> 00:42:24.920]   Bad for gamers or bad for anybody uses their products
[00:42:24.920 --> 00:42:29.720]   These the bigger the company the more chances they have to monopolize
[00:42:31.320 --> 00:42:37.640]   Yes, I think being I think being nervous is correct because to me the most interesting part of this
[00:42:37.640 --> 00:42:40.360]   FTC lawsuit was
[00:42:40.360 --> 00:42:47.160]   And it was it was one of the first times where they really were betting on and they ended up losing on the idea of not just looking at
[00:42:47.160 --> 00:42:51.480]   The current state of market power but also where is that market going?
[00:42:51.480 --> 00:42:56.520]   And I know cloud gaming has kind of almost been laughed off because of its size right now
[00:42:56.520 --> 00:42:58.840]   But I think it's instructive if you think about
[00:42:59.400 --> 00:43:06.520]   In 10 years, what's going to be dominant cloud gaming or console gaming if I were to bet I would bet on cloud gaming
[00:43:06.520 --> 00:43:12.520]   If you start if you start to think about how does every cloud service work
[00:43:12.520 --> 00:43:16.600]   Like especially a cloud entertainment service right now look at netflix
[00:43:16.600 --> 00:43:20.120]   Amazon prime video, how do they all get subscribers?
[00:43:20.120 --> 00:43:27.160]   Exclusives so to me it's almost inevitable that for whatever they say right now about
[00:43:27.640 --> 00:43:33.080]   A 10 year deal and of course we want console gaming and it's better for us to sell the actual
[00:43:33.080 --> 00:43:35.880]   Individual units we all know
[00:43:35.880 --> 00:43:42.760]   Where the market is going and it's going to be cloud gaming and we know how cloud business uh cloud entertainment services work
[00:43:42.760 --> 00:43:49.080]   So to me this is more it's actually a reminder of how hard antitrust enforcement is right now
[00:43:49.080 --> 00:43:57.240]   Because it's never been done before where like you know courts are really ruling on where the market is going and trying to make a
[00:43:57.240 --> 00:44:05.960]   Prediction about that but it's pretty clear that any kind of market power that's going to be accumulated and again who I mean xbox gaming
[00:44:05.960 --> 00:44:12.520]   Microsoft imagining how they can tie that back in other ways to entertainment to software
[00:44:12.520 --> 00:44:16.200]   You know, it's just another thing that they will definitely own and I think sony
[00:44:16.200 --> 00:44:21.000]   In the long run on that and I think it was a I mean you guys talked about it here last week
[00:44:21.480 --> 00:44:29.000]   sony has been great so far at licensing the ip of its games into movies and other franchises where
[00:44:29.000 --> 00:44:36.200]   You know, uh, activation has not been yet. That's a definitely another place where leveraging the overall microsoft ecosystem
[00:44:36.200 --> 00:44:38.840]   I think will be very very strong for them
[00:44:38.840 --> 00:44:43.960]   And monopolies are good businesses at the end of the day. Yes, that's why we have to stop one
[00:44:43.960 --> 00:44:49.240]   Right, but i'm saying you asked about what's gonna happen is it good for business or good for the you a consumer
[00:44:49.880 --> 00:44:54.360]   No, it's good for the business that has it right so when you ask about like what do we think about this deal?
[00:44:54.360 --> 00:44:57.000]   That's like sort of like well as microsoft gonna play by the rules
[00:44:57.000 --> 00:45:03.800]   I don't I mean look if you ask me if you have the opportunity to monopoly you do it right if the government has a louder job
[00:45:03.800 --> 00:45:05.800]   Then you do it. Yeah
[00:45:05.800 --> 00:45:08.440]   I would love to see a banker pitch deck
[00:45:08.440 --> 00:45:16.120]   Versus what they say in an anti-trust lawsuit court on one side in the courtroom. This isn't gonna help our business at all
[00:45:16.120 --> 00:45:18.120]   You know, it's actually not a great deal
[00:45:18.120 --> 00:45:22.280]   What and then obviously i can only imagine it's kind of a microsoft said
[00:45:22.280 --> 00:45:27.320]   Microsoft was a great pain to say this will only make us the number three gaming company
[00:45:27.320 --> 00:45:30.680]   In the world of the only the number three console
[00:45:30.680 --> 00:45:34.680]   a company in the world after after playstation and nintendo
[00:45:34.680 --> 00:45:41.240]   Uh, uh, you know microsoft said we just want to have a position in mobile gaming which they don't
[00:45:41.240 --> 00:45:44.280]   And that's what we get with act division
[00:45:44.280 --> 00:45:47.080]   uh
[00:45:47.080 --> 00:45:50.520]   Hmm part of the problem is that at least in the us
[00:45:50.520 --> 00:45:53.640]   Our anti-trust law is is really out of date
[00:45:53.640 --> 00:45:59.720]   And I think that's one of the things the vfdc under lina con has been trying to do and con and some parts of congress
[00:45:59.720 --> 00:46:03.560]   Have been trying to do is to update our anti-trust law to be more
[00:46:03.560 --> 00:46:08.120]   relevant to modern times and to protect consumers more right?
[00:46:08.120 --> 00:46:11.080]   um
[00:46:11.080 --> 00:46:13.400]   Pretend to me that
[00:46:14.280 --> 00:46:16.280]   sir, no, don't please
[00:46:16.280 --> 00:46:19.480]   To me this is a reminder that the
[00:46:19.480 --> 00:46:25.480]   Outdated anti-trust certainly is is a huge problem here and and there's been a lot of debate
[00:46:25.480 --> 00:46:31.960]   Should lina con and the ftc taken on these lawsuits, you know, like as she was asked in congress
[00:46:31.960 --> 00:46:34.840]   Are you taking on lawsuits that you think you can win?
[00:46:34.840 --> 00:46:40.040]   To me, I still think these these actions need to be taken because we're at least talking about it right now
[00:46:40.040 --> 00:46:42.040]   What was her answer to that by the way?
[00:46:42.440 --> 00:46:47.960]   That that would they do believe that they will not pursue a lawsuit that they do not think they can win
[00:46:47.960 --> 00:46:51.960]   Okay, that they are but to me actually I mean even if that's what she's saying
[00:46:51.960 --> 00:46:56.680]   I feel like I think there's value in them taking on the biggest players. This is a
[00:46:56.680 --> 00:47:01.880]   $70 billion transaction that has huge implications for the industry
[00:47:01.880 --> 00:47:09.320]   So the versus you know for the past decade the ftc either went you know went after small and mid-sized companies or
[00:47:09.800 --> 00:47:12.840]   Took small actions on big tech companies
[00:47:12.840 --> 00:47:17.560]   Meanwhile big tech, you know concentrated power to an unbelievable degree
[00:47:17.560 --> 00:47:19.640]   So so I actually am still
[00:47:19.640 --> 00:47:24.840]   Very much on the side of taking these kind of actions. Obviously there's certainly
[00:47:24.840 --> 00:47:27.320]   endless blowback
[00:47:27.320 --> 00:47:30.280]   for any losses that I think you know like is uh
[00:47:30.280 --> 00:47:34.600]   Is definitely tough to overcome, but I still think it's the right thing to do
[00:47:34.600 --> 00:47:38.040]   ever since ronald reagan
[00:47:38.600 --> 00:47:42.520]   The united states has not has really not enforced anti-trust law
[00:47:42.520 --> 00:47:47.480]   Uh, it was it was reagan era economics that said no no big is good
[00:47:47.480 --> 00:47:51.080]   We don't want to get in the way of big business and ever since
[00:47:51.080 --> 00:47:57.320]   Uh, the ftc has been a revolving door for corporate lawyers and lobbyists
[00:47:57.320 --> 00:48:00.360]   Uh has really not fought
[00:48:00.360 --> 00:48:05.960]   Uh trusts and I think if you talk about big tech you have to talk about it in this context
[00:48:05.960 --> 00:48:11.400]   It's been allowed to become big because we haven't had really effective anti-trust law
[00:48:11.400 --> 00:48:13.960]   Uh since the 80s
[00:48:13.960 --> 00:48:18.040]   That's right. Well, you have the regulator that's underfunded
[00:48:18.040 --> 00:48:22.920]   So anyone who's worked inside the ftc makes clear that they just don't have enough resources
[00:48:22.920 --> 00:48:29.320]   I mean think about this you're going up against microsoft trillion dollar company trying to close a 70 billion dollar acquisition
[00:48:29.320 --> 00:48:31.880]   Your budget is like 300 million dollars a year
[00:48:32.360 --> 00:48:38.200]   For all for everything that you're pretty hard 500 million recently. Yeah, I mean you're you're a company
[00:48:38.200 --> 00:48:42.520]   That's meant to regulate facebook your annual budget is what facebook makes in an afternoon
[00:48:42.520 --> 00:48:47.400]   So and this is what you're talking about with like the reaganism stuff is like after reagan
[00:48:47.400 --> 00:48:52.920]   Yes, and and we went through a year where through an era where we wanted to keep these regulators feeble then
[00:48:52.920 --> 00:48:58.920]   Democrats and republicans all of a sudden came together and they said well, maybe we should team up on big tech anti-trust
[00:48:58.920 --> 00:49:01.480]   They increased the budget a little bit, but not really enough
[00:49:02.120 --> 00:49:08.600]   Um, and they didn't they haven't passed the laws that they've been talking about and bringing all these ceos in front of their committees
[00:49:08.600 --> 00:49:15.400]   Um for their youtube moments, they haven't passed anything. So, you know effectively you still have big tech in the power position
[00:49:15.400 --> 00:49:19.000]   Yeah, and uh really good piece
[00:49:19.000 --> 00:49:26.120]   Uh, which I did put the link into the show notes uh for mccory doctor who's as you know as you know
[00:49:26.120 --> 00:49:28.760]   uh a very uh
[00:49:28.760 --> 00:49:30.440]   strong
[00:49:30.440 --> 00:49:33.320]   proponent of uh anti-trust regulation
[00:49:33.320 --> 00:49:37.320]   Uh this from the 14th of july why they're smearing
[00:49:37.320 --> 00:49:41.960]   lina con these talking about publications like the wall street journal
[00:49:41.960 --> 00:49:50.040]   Constantly harm hammering on how many and congress too. Let's face it on how many losses she has for
[00:49:50.040 --> 00:49:54.440]   She's oh for four and and going to court against uh meta
[00:49:54.440 --> 00:49:57.240]   now against microsoft and others
[00:49:57.880 --> 00:50:01.480]   Uh, but cori points out that con has also done a lot
[00:50:01.480 --> 00:50:05.320]   Of good things and is fighting the good fight in a lot of areas
[00:50:05.320 --> 00:50:08.600]   I think everybody listening the show would agree for instance
[00:50:08.600 --> 00:50:13.320]   Click to cancel, which is most recently the ftc's plan to make it
[00:50:13.320 --> 00:50:18.680]   require that it be as easy to cancel a subscription as it is to make the subscription
[00:50:18.680 --> 00:50:22.760]   That's not even
[00:50:22.760 --> 00:50:24.760]   debatable, right
[00:50:24.760 --> 00:50:26.040]   It's like just
[00:50:26.040 --> 00:50:32.200]   Obvious of course not the way it is in most cases and there's and and the war on robo calls
[00:50:32.200 --> 00:50:35.080]   I think we all agree that that war is the good fight
[00:50:35.080 --> 00:50:38.440]   um
[00:50:38.440 --> 00:50:42.440]   It's a it's a good piece. It's a it's strongly worded
[00:50:42.440 --> 00:50:46.840]   Yes, I think I think the word lickspittle is used
[00:50:46.840 --> 00:50:52.360]   Uh and so forth, but uh, but that's cori he's really good at this stuff and very convincing
[00:50:53.320 --> 00:50:57.160]   He says microsoft has a long long long history of being a brutal
[00:50:57.160 --> 00:51:04.280]   Abusive monopolist it's a convicted monopolist and it's bad conduct didn't end with the browser wars
[00:51:04.280 --> 00:51:09.160]   You remember how the lockdown turned all our homes into rent free branch offices for employees
[00:51:09.160 --> 00:51:17.160]   Microsoft seized on that moment to offer our bosses keystroke and click level surveillance of our use of our own computers in our own homes
[00:51:17.160 --> 00:51:19.960]   via office 365
[00:51:19.960 --> 00:51:22.520]   That's the viva product that we've talked about on my this weekly
[00:51:23.000 --> 00:51:27.800]   If you think a company that gave your boss a tool to spy on their employees and rank them by productivity
[00:51:27.800 --> 00:51:32.920]   As a prelude to firing them or cutting their pay is going to treat gamers or game makers
[00:51:32.920 --> 00:51:37.240]   Well, once they've spent the competition out of business, you're a credulous sucker
[00:51:37.240 --> 00:51:40.920]   And you're going to be so disappointed
[00:51:40.920 --> 00:51:46.840]   The inshitification play this is cori's new word which I love is obvious use investor cash
[00:51:46.840 --> 00:51:50.600]   To make things temporarily nice for customers and suppliers
[00:51:51.160 --> 00:51:53.160]   Lock both of them in in this case
[00:51:53.160 --> 00:52:01.320]   It's within subscription based service similar to netflix and then claw that value back into that all that's left is a big pile of poop
[00:52:01.320 --> 00:52:07.800]   Is cori wrong or or do you agree?
[00:52:07.800 --> 00:52:13.560]   I think that he's talking about the smears of lina con using his words
[00:52:13.560 --> 00:52:19.160]   I think that there's a lot of criticism of lina con the one that we don't really hear often enough
[00:52:19.560 --> 00:52:21.560]   And I think this is a fair criticism
[00:52:21.560 --> 00:52:24.920]   Is that operationally the ftc isn't working as well as it could
[00:52:24.920 --> 00:52:29.960]   And because because of that we're starting to see the losses in these lawsuits
[00:52:29.960 --> 00:52:34.920]   Now, you know you the ftc usually doesn't bring lawsuits that it doesn't think it can win
[00:52:34.920 --> 00:52:39.720]   Right, which I think is goes to ryan john's point that they've been going after small and medium companies
[00:52:39.720 --> 00:52:44.120]   Now they're going they're they're bringing these higher risk lawsuits, but they should still be winning them
[00:52:44.120 --> 00:52:49.320]   And I think that operationally, you know that organization could be run in a much better way
[00:52:49.640 --> 00:52:51.800]   To the point where it's starting to bring to bear
[00:52:51.800 --> 00:52:54.360]   You know all of the uh
[00:52:54.360 --> 00:52:59.560]   All of the acumen of its legal teams and all the capabilities that it has and it seems like
[00:52:59.560 --> 00:53:03.640]   You know just organizationally. It's just not working as well as as it should be
[00:53:03.640 --> 00:53:07.880]   Yeah, but this is also where Alex and I have debated this definitely
[00:53:07.880 --> 00:53:14.920]   And I think cori doctor's piece really digs into just how entrenched a lot of the power structures are that
[00:53:15.320 --> 00:53:20.440]   I mean trying to overcome again. I think it was 31 out of 41 for uh recent ftc officials
[00:53:20.440 --> 00:53:29.320]   Had worked for the companies that they cover but even more so the judge who actually pushed this through their their argumentation was already
[00:53:29.320 --> 00:53:36.360]   Pretty suspect and he had quoted matt stoller on this around the idea that you know the executives essentially said
[00:53:36.360 --> 00:53:43.080]   We will not hold exclusives again, you know, it's in our business interest to not hold exclusives
[00:53:43.400 --> 00:53:45.720]   That everyone's going to always get call of duty
[00:53:45.720 --> 00:53:53.400]   But and then because that the deadline was july 18th that she felt it was unfair to the companies and it was you know
[00:53:53.400 --> 00:53:57.960]   disingenuous of the ftc to try to essentially break that deadline
[00:53:57.960 --> 00:54:03.080]   Rather than having a full investigation into the potential of the merger itself
[00:54:03.080 --> 00:54:04.840]   So I think already
[00:54:04.840 --> 00:54:12.440]   This is such a big merger. It's such a just an notional dollar value that it's worth having a full investigation into it
[00:54:12.680 --> 00:54:19.240]   But just as also as a reminder of you know how entrenched a lot of these power structures are it's the judge's son
[00:54:19.240 --> 00:54:24.120]   Works at microsoft not in the games division so she did not recuse herself
[00:54:24.120 --> 00:54:30.520]   But it's just a reminder of what lina con and the ftc are going up against so where I still keep coming back to
[00:54:30.520 --> 00:54:34.520]   Not judging them on wins but rather than judging them on
[00:54:34.520 --> 00:54:36.920]   Where is the conversation?
[00:54:36.920 --> 00:54:42.520]   How is antitrust move forward and I think again thinking about where we are now versus three or four years ago
[00:54:42.520 --> 00:54:45.480]   No one would have even batted an eyelash on this deal
[00:54:45.480 --> 00:54:51.720]   But you have to judge on wins because there's ideology and then there's league there's the grounding in the legal facts
[00:54:51.720 --> 00:54:55.640]   And you could say that you know, they're in a good place
[00:54:55.640 --> 00:55:01.000]   Ideologically and I think going after this microsoft activation merger is certainly one of those cases
[00:55:01.560 --> 00:55:08.760]   But if your ideology can't match your legal legal grasp of the facts which will give you victories in courts
[00:55:08.760 --> 00:55:13.560]   And ultimately, what are you serving? You're like well, there's a argument lawsuits
[00:55:13.560 --> 00:55:16.600]   But you're not backing up trying to make your ideology
[00:55:16.600 --> 00:55:20.120]   You know the law of the land and that's the criticism on con that I think is legitimate
[00:55:20.120 --> 00:55:24.120]   But there is the argument that at least pursuing these whether you win or lose
[00:55:24.120 --> 00:55:26.520]   You're making companies think twice
[00:55:26.520 --> 00:55:29.880]   And but you have to pursue them in wind though. That's that's what I'm saying
[00:55:29.960 --> 00:55:34.680]   Well, but even going to matches even going to trial can be harmful
[00:55:34.680 --> 00:55:37.320]   I think there was stuff in discovery
[00:55:37.320 --> 00:55:42.120]   During this that both my hurt microsoft as much as it hurt sony
[00:55:42.120 --> 00:55:47.240]   And so even going to trial and discovery can be problematic for these companies
[00:55:47.240 --> 00:55:50.200]   And then there's always the risk that they're going to lose
[00:55:50.200 --> 00:55:52.280]   You don't know what the outcome is going to be
[00:55:52.280 --> 00:55:55.400]   When you enter into this even if you think you have a strong case
[00:55:55.400 --> 00:55:58.440]   And so it may cause companies to think twice before
[00:55:59.000 --> 00:56:02.520]   I mean, that's the only argument you can make I agree that she it'd be great if she would win
[00:56:02.520 --> 00:56:08.200]   But you're but probably part of the problem is not so much these are bad cases
[00:56:08.200 --> 00:56:11.960]   But that the anti trust law there that's the foundation for these cases
[00:56:11.960 --> 00:56:16.120]   Does not fit well to the current circumstance
[00:56:16.120 --> 00:56:20.920]   Is that then here's the thing they know the laws so they should bring cases that well
[00:56:20.920 --> 00:56:27.000]   They've said under the law. I understand and the FTC has said we you know a big part of this is getting new laws
[00:56:27.320 --> 00:56:29.640]   The problem is you're not going to get congress to do anything right?
[00:56:29.640 --> 00:56:33.800]   Exactly. Yeah, well, that's the thing you're not going to get congress to do anything
[00:56:33.800 --> 00:56:35.080]   So what do you do?
[00:56:35.080 --> 00:56:39.720]   Do you continue going after small and medium sized businesses or do you take these swings?
[00:56:39.720 --> 00:56:45.640]   And as they could lose if not every single one of these things goes right for microsoft
[00:56:45.640 --> 00:56:50.680]   If they don't come in guns blazing with all their resources at hand
[00:56:50.680 --> 00:56:55.000]   Maybe they do lose or maybe the next one, you know, the next merger like this
[00:56:55.640 --> 00:57:01.480]   Doesn't go through so I think I still think uh, yeah, you know pushing forward on these kind of things again
[00:57:01.480 --> 00:57:05.400]   Two to three years ago the idea of looking at a future market
[00:57:05.400 --> 00:57:10.600]   From an antitrust perspective did not exist in anywhere in the conversation
[00:57:10.600 --> 00:57:15.160]   This decision makes us at least think about it. Where is that never happened before?
[00:57:15.160 --> 00:57:22.200]   70 billion seems like I can't i'm trying to think of any of larger acquisitions. There haven't been many
[00:57:22.200 --> 00:57:24.600]   That's huge
[00:57:24.600 --> 00:57:30.360]   70 instagrams 70 instagrams think of how many instagrams they could have bought with that money
[00:57:30.360 --> 00:57:35.240]   But only uh what one a 1.6 twitter's
[00:57:35.240 --> 00:57:41.560]   But twitter was a little overpriced wasn't it? Yeah twitter's then or twitter's now
[00:57:41.560 --> 00:57:44.280]   Now
[00:57:44.280 --> 00:57:45.400]   Yeah, I
[00:57:45.400 --> 00:57:49.880]   Is there a google search greater than 70 billion dollar acquisitions? I don't know if there is
[00:57:50.120 --> 00:57:55.000]   I feel it would be like only oil and gas companies. Yeah, I mean it's giant
[00:57:55.000 --> 00:57:58.360]   If nothing else it shows you how big the game business is
[00:57:58.360 --> 00:58:05.800]   How valuable it is to to microsoft. I mean this is this is more than uh any other entertainment property, right?
[00:58:05.800 --> 00:58:08.040]   Huge
[00:58:08.040 --> 00:58:14.200]   Let's take a little one of the interesting. Go ahead. I'll say is okay. Oh, no go ahead. I'm sorry. I've said conflicting things
[00:58:14.200 --> 00:58:16.600]   Go ahead
[00:58:16.600 --> 00:58:22.520]   I'm gonna go one of the interesting things though is that like you know the economy has really shifted since this agreement was inked
[00:58:22.520 --> 00:58:25.880]   And microsoft is still like yeah, we'll pay the 70 billion
[00:58:25.880 --> 00:58:29.240]   So it's it just goes to show you how big they think this could be it's yeah
[00:58:29.240 --> 00:58:35.080]   Uh, I think Corey's contention is microsoft wants to put sony out of the gaming business
[00:58:35.080 --> 00:58:39.800]   I'm not sure that's right, but uh, you think so you think that's their goal ultimately
[00:58:39.800 --> 00:58:43.320]   Yeah, look there. They this is the thing look at their market cap
[00:58:43.800 --> 00:58:46.920]   Right if you're once you go in the trillion dollar range as a company
[00:58:46.920 --> 00:58:52.200]   You need to squeeze all the growth out of every market that you operate in to justify your valuation
[00:58:52.200 --> 00:58:58.040]   Yeah, so it's not like wants or doesn't want it has to it has to squeeze sony out of the game or else
[00:58:58.040 --> 00:59:01.800]   It's market cap shrinks and then the ceos in hot water. Uh, okay
[00:59:01.800 --> 00:59:04.600]   See this is why we had the finance guys on
[00:59:04.600 --> 00:59:10.040]   This is the this is the this is where you get the money show. We've got uh take over by
[00:59:10.600 --> 00:59:14.680]   Big tech today. Well the big tech podcast and the big technology
[00:59:14.680 --> 00:59:21.880]   Substack it's great to have Alex kantruitz here the host of the big technology podcast his coast on fridays ron john roy
[00:59:21.880 --> 00:59:26.360]   Uh, I know nothing about money or finance. So i'm glad to have
[00:59:26.360 --> 00:59:33.080]   Some actual experts on the show today. Are you running a business leo? So i'm running it on the ground. That's not
[00:59:33.080 --> 00:59:36.200]   That's not a good. It's not a good sign
[00:59:37.960 --> 00:59:42.920]   If these are my bine financial bonafides v days i'm in trouble i'm in deep deep trouble
[00:59:42.920 --> 00:59:45.720]   Our show today
[00:59:45.720 --> 00:59:51.240]   Fortunately, my wife really knows what she's doing our show today is brought to you by mint mobile
[00:59:51.240 --> 00:59:57.720]   I do love mint mobile and you know these days with everything costs and more it's nice to have
[00:59:57.720 --> 01:00:01.720]   Your sell bill cut in half or less
[01:00:01.720 --> 01:00:05.880]   There's one company giving you a much needed break mint
[01:00:06.440 --> 01:00:10.600]   Mobile it was the first company to sell premium wireless service online
[01:00:10.600 --> 01:00:15.800]   Only no stores means big savings for you. They let you have order from home
