;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[00:32:06.160 --> 00:32:12.500]   Proponent of flat and really doesn't like skeuomorphism. This is a buzz of that. It's some syllables
[00:32:12.500 --> 00:32:14.500]   Yeah, it's for excuse to amorphousism
[00:32:14.500 --> 00:32:21.180]   Is going flat in the next version of iOS so I suspect but you know design is funny design is all trendy, right?
[00:32:21.180 --> 00:32:24.760]   So fins are in fins are out. It's so you know
[00:32:24.760 --> 00:32:31.340]   Gradients are in gradients are out flat is in and in three years. We'll go that flat was so boring, you know, right?
[00:32:31.340 --> 00:32:33.340]   I want chintz chintz everywhere
[00:32:33.340 --> 00:32:38.620]   One thing you the real bad example is like the old station wagons with wood paneling on right
[00:32:40.140 --> 00:32:46.420]   I do too, but I only love them ironically like they were kind of a terrible idea because what he they were trying to fool us that they had
[00:32:46.420 --> 00:32:50.620]   Wood on the side of these cards and they never could have wood in them. It was ridiculous
[00:32:50.620 --> 00:32:57.380]   People bought it. It was a thing. Oh, I call it. We want this we we want this futuristic iPad, right?
[00:32:57.380 --> 00:33:01.640]   It's all aluminum body and we love it and yet we're gonna order a bamboo case
[00:33:01.640 --> 00:33:09.780]   Now you got to give apple credit because the first few gestures were pretty intuitive
[00:33:09.860 --> 00:33:11.780]   The idea of tapping
[00:33:11.780 --> 00:33:16.460]   Pinching zooming that all of those I think people got them right away in fact
[00:33:16.460 --> 00:33:20.640]   You just mentioned that miles you're two-year-old uses the iPad fluently, right?
[00:33:20.640 --> 00:33:23.780]   Absolutely, and when you this was fantastic this was
[00:33:23.780 --> 00:33:32.820]   Astonishing he was about he was about 12 months old also known as one year and I he was within I mean within a few months
[00:33:32.820 --> 00:33:38.100]   I mean maybe six seven months old he was already swiping between apps on the iPad could launch the videos app to watch
[00:33:38.100 --> 00:33:43.580]   They might be giants music videos. We had on there the kids albums and and could launch the videos app
[00:33:43.580 --> 00:33:48.140]   then I handed him the first iteration of the Kindle fire and
[00:33:48.140 --> 00:33:51.620]   He handed it back to me and didn't know what to do with it
[00:33:51.620 --> 00:33:55.260]   I wanted to pay wanted pad pad back again. He couldn't figure it out
[00:33:55.260 --> 00:34:00.780]   There's something to be said for those types of gestures. You're talking about though, which seem intuitive. You're touching a screen
[00:34:00.780 --> 00:34:05.860]   You could swipe between them and that's really the only time when I'm using the Chromebook pixel
[00:34:06.300 --> 00:34:10.700]   Where I'm I feel like okay scrolling that makes sense for me to have a touchscreen
[00:34:10.700 --> 00:34:13.380]   I just don't feel like using the trackpad at this moment
[00:34:13.380 --> 00:34:15.420]   I'm just gonna swipe up and touch here
[00:34:15.420 --> 00:34:21.620]   It does not make sense for me to do certain other gestures on on the Chromebook pixel, but you know touching pinching
[00:34:21.620 --> 00:34:25.700]   There's a picture makes a lot of sense. The problem is we need more
[00:34:25.700 --> 00:34:30.220]   If you're gonna get rid of the command line or you're gonna get rid of menus and mice
[00:34:30.660 --> 00:34:36.580]   Then we need more capabilities and that's when you start having well, you'll sweep in from the side to get the charms bar
[00:34:36.580 --> 00:34:43.180]   Right and suddenly it's gone from intuitive obvious to you got to know where to go and what to do
[00:34:43.180 --> 00:34:48.580]   And that's back to the old days of you might as to me. It's as counterintuitive as a command line
[00:34:48.580 --> 00:34:54.580]   You know you can learn the command line now. What do you think about leap-lump motion of either of you guys played with that?
[00:34:54.580 --> 00:34:56.340]   I have a no
[00:34:56.340 --> 00:35:02.420]   So the idea is it's a little square thing you put in front of your keyboard and you can now kind of
[00:35:02.420 --> 00:35:08.300]   You're doing some of the same gestures, but much more minority report like you're doing it in front of the screen
[00:35:08.300 --> 00:35:16.860]   Right, it's a little I did see video of this. Yeah, it's basically it's a high fidelity connect sort of experience where you're
[00:35:16.860 --> 00:35:20.900]   Obviously there are some gaming applications, but mostly it's about manipulating objects
[00:35:20.900 --> 00:35:22.900]   I guess somebody using it to do
[00:35:22.940 --> 00:35:26.420]   3d work in AutoCAD's yeah, one of their mud programs
[00:35:26.420 --> 00:35:32.300]   In 3d. Yeah, that's that's kind of awesome actually. It's gonna be out coming up May 13th
[00:35:32.300 --> 00:35:38.780]   So well here's one of this pretty cool reminds me of those dresses a very specific thing for me as an artist and illustrator
[00:35:38.780 --> 00:35:42.380]   I have been trapped in the whole Wacom Photoshop
[00:35:42.380 --> 00:35:46.300]   high-powered Mac Pro Tower world for a long time and
[00:35:46.300 --> 00:35:50.180]   We're all now being told as artists and professionals
[00:35:50.340 --> 00:35:53.460]   Guess what touch screens are the future better get used to it
[00:35:53.460 --> 00:35:58.580]   But none of the touchscreen solutions are are addressing the kind of
[00:35:58.580 --> 00:36:01.940]   Meta work I have to do it doesn't like you said Leo
[00:36:01.940 --> 00:36:07.580]   You don't have the control you got to come up with weird ways of doing old things and I just throw my hands up
[00:36:07.580 --> 00:36:09.300]   Go look I just need a mouse. I need a keyboard
[00:36:09.300 --> 00:36:14.580]   I need shortcuts and I need a wacom tablet and I'll get your big 20 by 30 poster by by midnight tonight
[00:36:14.580 --> 00:36:18.220]   Do you use this in teak? I do I have it back behind me here a centique
[00:36:18.540 --> 00:36:23.300]   21 inch I'm real tempted by those 24s, but anyway, so that's that's a monitor
[00:36:23.300 --> 00:36:28.220]   That's a touch monitor basically that you can use a stylus to draw on your drawing correct correct
[00:36:28.220 --> 00:36:34.180]   They're 24 inch they have two versions one that uses a pen only for input and the other uses both touch and pen
[00:36:34.180 --> 00:36:41.260]   and the beauty of these is they have many many thousands of of pressure points so you can really recreate whatever sort of media
[00:36:41.260 --> 00:36:47.100]   You're working in and it's what professional artists use it is just flat the standard and that is how it is
[00:36:47.100 --> 00:36:51.500]   So when you know I is excited about tablets as I am I own five open this house or whatever it is
[00:36:51.500 --> 00:36:59.180]   Nobody's shown me anything yet including adobe including any other professional graphics packages that said here is a thing that could potentially
[00:36:59.180 --> 00:37:02.560]   Replace how you work how you really get work done?
[00:37:02.560 --> 00:37:08.700]   It's what movie editors say everybody who works in a professional way needs some big honkin machine on their desk
[00:37:08.700 --> 00:37:13.820]   Or at least a notebook with similar capabilities and that hasn't been answered yet. I don't know what the transition point for that is
[00:37:13.820 --> 00:37:18.540]   I don't know what the drop-off is but it scares some of us like old men telling people to get off our lawn
[00:37:18.540 --> 00:37:23.720]   It's a little weird you guys are getting as old as me any day now. Here's the leap motion in
[00:37:23.720 --> 00:37:27.980]   In action. This is at leap motion calm here. That's just this little thing
[00:37:27.980 --> 00:37:30.580]   I guess it's got a camera in it so you can
[00:37:30.580 --> 00:37:36.100]   Move your so you can scroll by flicking now. You're not touching the screen. You're just gesturing
[00:37:36.100 --> 00:37:41.400]   See I'm worried your arm is gonna get tired if you have a lot of this. This is cool
[00:37:42.980 --> 00:37:46.940]   Lee of you use it like use the pixel yet. I have a pixel. Yeah
[00:37:46.940 --> 00:37:51.800]   And I find you know, I mean this is I think this is exactly what Steve Jobs was talking about
[00:37:51.800 --> 00:37:53.860]   No one wants to hold their arm out there for that long
[00:37:53.860 --> 00:37:59.260]   Well, and now this is also the machine I'm using is a Acer S7. It's a Windows 8
[00:37:59.260 --> 00:38:05.580]   Laptop ultra book with a touchscreen and I do like the option to sometimes touch so you said
[00:38:05.580 --> 00:38:09.660]   Clayton when you're reading it's natural to scroll and it is natural to scroll
[00:38:09.660 --> 00:38:14.340]   So to be able to sometimes touch and scroll and sometimes use the mouse
[00:38:14.340 --> 00:38:18.780]   It's nice to have all of these those available. You wouldn't want to always be doing that
[00:38:18.780 --> 00:38:23.780]   Right, but once in a while you go. Oh, yeah, it just feels natural
[00:38:23.780 --> 00:38:28.900]   And I think partly that's because we've all lived down at universe where you use tablets a lot and I
[00:38:28.900 --> 00:38:34.660]   Guarantee you every one of you has to come to the situation where you've touched the screen on your laptop and it didn't respond
[00:38:34.660 --> 00:38:36.660]   You go. Yeah, right. I forgot right
[00:38:38.300 --> 00:38:44.780]   The sort of reminds me do you see that that infrared keyboard that right plug in another stupid idea that never took
[00:38:44.780 --> 00:38:50.020]   You know this sort of reminds me I mean there was a rumor floating around this week about the Apple TV again
[00:38:50.020 --> 00:38:56.380]   No, I don't you saw the gene monster added again. Yeah, no, it was not there is no Apple television set
[00:38:56.380 --> 00:39:01.620]   Just forget I loved about it was this idea that you were gonna slip on a ring to read that part of the story
[00:39:01.620 --> 00:39:06.020]   You're gonna slip on a ring that Apple and it was going to interface with the Apple TV
[00:39:06.020 --> 00:39:10.360]   So you could then in mid-air be able to swipe around with this ring that you're able to put on and
[00:39:10.360 --> 00:39:16.140]   Come on. What's too many episodes of the Hobbit? I think I don't this well even in that but see that's not unlike say something like a
[00:39:16.140 --> 00:39:23.380]   PlayStation move which is really just a big bulky version of that idea the idea of having a tracking device that it can hone in on and track
[00:39:23.380 --> 00:39:29.940]   Motion is not unbelievable, but the idea of in my house with my kids having a ring someplace
[00:39:29.940 --> 00:39:35.500]   Oh, dude, we better give me a dozen X or something. Yeah ridiculous
[00:39:35.500 --> 00:39:39.260]   The devil TV goes missing every five minutes
[00:39:39.260 --> 00:39:42.460]   I actually bought it
[00:39:42.460 --> 00:39:44.660]   You put it pants
[00:39:44.660 --> 00:39:45.560]   I get up
[00:39:45.560 --> 00:39:49.260]   You know kids are doing something and it's like this big and you just slide it your pants and you come back
[00:39:49.260 --> 00:39:53.540]   And I go now where kids where'd you put that Apple TV remote? Ah?
[00:39:53.540 --> 00:39:55.980]   It's in my pants
[00:39:55.980 --> 00:40:02.700]   Never thought of that Clayton, but I'll have to start my it's next I fit bit. They're closing up for the I
[00:40:04.060 --> 00:40:10.620]   Actually bought another remote because I don't know where my Apple TV remote when I went out and bought a new one
[00:40:10.620 --> 00:40:14.620]   It's a thing you probably ate it in a sandwich and you didn't even know
[00:40:14.620 --> 00:40:17.820]   Sometimes I get hungry in the middle of the night. I don't know what I'm eating
[00:40:17.820 --> 00:40:23.420]   I like to walk in with an apple remote room where I know there about 10 max in there people are over
[00:40:23.420 --> 00:40:27.180]   They're doing whatever you hit play and everyone's every one of them
[00:40:27.180 --> 00:40:30.700]   Ridiculous
[00:40:30.700 --> 00:40:37.900]   Okay, you can program I might realize that chat room. I know you can turn it off
[00:40:37.900 --> 00:40:46.140]   By default, it's on yeah. Yeah, it's my watch MacBook Pro all the time. Yeah, we've all very so you're wearing
[00:40:46.140 --> 00:40:50.540]   You're wearing a new bracelet there. So this this you didn't lose this one in your pants. What is that?
[00:40:50.540 --> 00:40:56.220]   No, this is the Fitbit flex and this is a demo unit version of it. So it kind of looks like Knight Rider
[00:40:56.620 --> 00:41:01.980]   You saw this at CES of course the demo units there, but this is they're about this is not the final version
[00:41:01.980 --> 00:41:05.100]   It doesn't it doesn't close very
[00:41:05.100 --> 00:41:09.020]   Sustainably so they're trying to work on making it just snap very nicely
[00:41:09.020 --> 00:41:14.380]   But you tap the front of it and that kind of has like a Knight Rider little interface that kind of pops up there
[00:41:14.380 --> 00:41:16.220]   You look like they're also on yeah
[00:41:16.220 --> 00:41:18.060]   Yeah, it has like a silent little interface
[00:41:18.060 --> 00:41:24.060]   It does not have the altimeter like the other Fitbit does, you know where it can count how many steps you're going up
[00:41:24.620 --> 00:41:29.820]   Uh, but they did some amazing technology with this and they did some really cool things because I asked them
[00:41:29.820 --> 00:41:35.740]   How you know if i'm i've got a walking desk at home, right? So now i've got the treadmill. Well, how's it gonna know that my hands
[00:41:35.740 --> 00:41:41.420]   You know i'm walking but my hands are just here on the keyboard and they said they spent a lot of time
[00:41:41.420 --> 00:41:48.380]   Studying and perfecting it so that even if you're just typing and you're walking it'll know it'll know that's oh that's good
[00:41:48.380 --> 00:41:52.860]   And if you're a stroller it'll know your hands are on a stroller
[00:41:53.020 --> 00:41:58.620]   But you're also getting points because it knows that you're actually walking and it knows the difference if you're driving and knows you're not walking
[00:41:58.620 --> 00:42:00.540]   Yeah, I did a really remarkable job with it
[00:42:00.540 --> 00:42:05.500]   Yeah, I had the Nike fuel ban and uh, I ended up putting around my ankle when I was on the stairmaster
[00:42:05.500 --> 00:42:10.060]   But nothing nothing senses Pilates it thinks you're just sitting on your ass
[00:42:10.060 --> 00:42:14.780]   Yeah, and maybe you are frankly the whole time you're not moving that little flower just shrinks down
[00:42:14.780 --> 00:42:19.820]   I don't think this is exercise. I don't know what you're doing
[00:42:20.460 --> 00:42:26.060]   But I don't but they're hoping for uh, they're hoping for a spring release of of the fitbit
[00:42:26.060 --> 00:42:29.260]   Everybody's doing this college and doesn't isn't sam song
[00:42:29.260 --> 00:42:35.260]   I didn't they announce that they get s4 that they're gonna do a bracelet too and a new scale and a bra you know a bunch of stuff
[00:42:35.260 --> 00:42:36.460]   Yeah
[00:42:36.460 --> 00:42:40.060]   Again, it's that sort of qua you know quantified life idea, right?
[00:42:40.060 --> 00:42:42.140]   But you know, I love being able to look at this data
[00:42:42.140 --> 00:42:45.420]   I love being able to see the information and and know that uh, you know
[00:42:45.420 --> 00:42:49.740]   I've lost this amount of weight because I've stepped on this particular scale. It sinks over. Why?
[00:42:49.740 --> 00:42:54.540]   I fi it's all tied to the kind of food that I'm counting, you know, using the the lose it app and then it's also
[00:42:54.540 --> 00:42:59.660]   You know, it's all all them work together because fitbit works with lose it so that they have the partnerships there
[00:42:59.660 --> 00:43:03.100]   I like lose it so it's fuel bands fuel bands about do for an update, isn't it?
[00:43:03.100 --> 00:43:05.340]   They've got something new from like
[00:43:05.340 --> 00:43:08.540]   I think it's got the best software right now, right?
[00:43:08.540 --> 00:43:13.500]   Yeah, in fact, they have a whole new dashboard interface that they're rolling out for the apps too
[00:43:13.500 --> 00:43:17.020]   So it has a very again the sort of windows 8 aesthetic
[00:43:17.740 --> 00:43:23.020]   With these tiled features can sort of move the tiles that you want really need community features
[00:43:23.020 --> 00:43:26.380]   You can share with your friends so their whole new dashboard is overhauled as well
[00:43:26.380 --> 00:43:28.700]   I got a sneak peek at that this week as well
[00:43:28.700 --> 00:43:32.780]   So some really nice stuff between those guys and I love you know, I really do love
[00:43:32.780 --> 00:43:36.700]   I mean on an android device using NFC if you just want to check your stats for the day
[00:43:36.700 --> 00:43:38.700]   You don't even need to sync it with your just tap it
[00:43:38.700 --> 00:43:41.980]   Just tap it right on the back end it launches the fitbit app
[00:43:41.980 --> 00:43:46.460]   Right there and shows you where you are with your steps for the day pretty cool. You convinced me
[00:43:46.460 --> 00:43:47.980]   I've lost about four fitbits
[00:43:47.980 --> 00:43:50.220]   I left one at the San Diego Zoo
[00:43:50.220 --> 00:43:53.260]   One in Paris, one in a toilet somewhere in Vermont
[00:43:53.260 --> 00:43:55.660]   but I
[00:43:55.660 --> 00:44:00.300]   That one's still tracking me by the way, I've seen I've seen the the points from that panda
[00:44:00.300 --> 00:44:03.820]   He's running around for as well
[00:44:03.820 --> 00:44:07.020]   20,000 steps panda's being I got the Ling Ling Fitbit
[00:44:07.020 --> 00:44:10.860]   So but I but I like the bracelet. I used to have it. I have the jawbone up
[00:44:10.860 --> 00:44:14.940]   I have the Nike I do you know, I like you I probably try all of these this one looks good
[00:44:14.940 --> 00:44:16.940]   I might I might get this one
[00:44:16.940 --> 00:44:21.420]   It's sturdy all the standard fitbits are so easy to lose. I ended up losing two of them
[00:44:21.420 --> 00:44:22.220]   and they
[00:44:22.220 --> 00:44:26.060]   Man, they were awesome about replacing them though. I lost one in the laundry. I quit working
[00:44:26.060 --> 00:44:29.900]   Called them up and they said no problem really nice. I'm doing you that's nice
[00:44:29.900 --> 00:44:32.380]   I forgot to mention waterproof
[00:44:32.380 --> 00:44:36.300]   Oh, yeah, so they shower with you good. Uh, which is really cool
[00:44:36.300 --> 00:44:37.900]   I mean you don't have to take it off every day and lose it
[00:44:37.900 --> 00:44:43.580]   So you can just take a right and shower with you too. Do they claim proof or do they claim resistant the Nike fuel plan was always resistant
[00:44:44.460 --> 00:44:49.740]   They're common to me where you can wear it in the shower. Now. I don't know about deep seed diving looking for sponges
[00:44:49.740 --> 00:44:54.780]   I was always afraid to so I just I never did
[00:44:54.780 --> 00:44:58.220]   I always wanted to be a sponge diver. Yeah
[00:44:58.220 --> 00:45:03.260]   I'll do prefer for 80 meters. Yeah, you gotta go a long ways
[00:45:03.260 --> 00:45:05.660]   Uh, we're gonna go just gonna loofah
[00:45:05.660 --> 00:45:09.580]   People make fun of these and they really are just fancy pedometers
[00:45:09.580 --> 00:45:12.860]   But there's something I always found there was something about wearing them and knowing you were being monitored
[00:45:13.020 --> 00:45:19.500]   That made you take the stairs. It just I always felt like I'll get a little more exercise because somebody's watching my little fit bits watching
[00:45:19.500 --> 00:45:25.900]   And it doesn't for sure. We're good when you get the alerts the push notifications that you're 2,000 steps away from your daily goal
[00:45:25.900 --> 00:45:28.140]   You take an extra you do you go for a walk?
[00:45:28.140 --> 00:45:34.460]   Sure and I've lost 22 pounds. I mean I've lost 22 pounds as a result of of tracking this information wait a minute
[00:45:34.460 --> 00:45:38.860]   You gain the same one pound 22 11 times or something. You know where with
[00:45:39.900 --> 00:45:47.260]   I was at uh, forgive my math, but I was at about 198 ish when was it all in your ass? Where I don't see any
[00:45:47.260 --> 00:45:53.900]   You look the same my face my chest now is a little puffy and uh, I am 62
[00:45:53.900 --> 00:45:57.100]   So I kind of it spreads out, you know, it's like a long-gated man
[00:45:57.100 --> 00:46:01.180]   Uh, but I just imagine the the giant expanding buttocks
[00:46:01.180 --> 00:46:03.740]   I don't know why
[00:46:03.740 --> 00:46:08.940]   Is his life said you had no ass before now you I can't there's no ass there. It's gone completely
[00:46:08.940 --> 00:46:13.980]   Oh, yeah, oh you're suffering from uh, what what a producer mind once called male pattern ass loss
[00:46:13.980 --> 00:46:17.100]   And uh, there's no cure
[00:46:17.100 --> 00:46:24.060]   Real quick plating there's some comic nerd points for mentioning elongated man. I just want to point that out
[00:46:24.060 --> 00:46:29.580]   All right. All right. That's some nerdy thing that you guys got going on between the two. Yeah, I don't know
[00:46:30.300 --> 00:46:33.900]   I didn't go for I didn't go for mr. Fantastic. I went for elongated man
[00:46:33.900 --> 00:46:37.740]   Yeah, which no one thinks is a real guy which no one thinks the actual comic book character
[00:46:37.740 --> 00:46:42.220]   And he is and that is just that's awesome. Is he related to particle man?
[00:46:42.220 --> 00:46:46.220]   No, okay, universe man. No
[00:46:46.220 --> 00:46:52.140]   Universe man universe since you mentioned they might be giants we thought we threw this thing in law dc comics
[00:46:52.140 --> 00:46:58.620]   He first appeared in the flash in the 1960 elongated man is randolf ralph dibney
[00:46:59.900 --> 00:47:01.900]   Hmm. Yep
[00:47:01.900 --> 00:47:06.860]   For the death this week by the way and scott can speak to this another death carmine
[00:47:06.860 --> 00:47:12.380]   And tino the creator of the flash more and more common, right like brombin just died again
[00:47:12.380 --> 00:47:18.940]   Um, this is a way. This is how the big comic companies get our attention and want us to go buy more books as they start killing off important characters
[00:47:18.940 --> 00:47:24.620]   Eventually come back either of the new wait a minute. No, he's talking about a real person. Sorry scott. You're getting confused here
[00:47:24.620 --> 00:47:29.180]   Oh, you're talking about carmine and fantino the creator of the flash. She was 87 years old
[00:47:29.420 --> 00:47:35.340]   He's not a comic book character. Although he looks kind of like one in his scary picture. Yeah, he's great. He's amazing
[00:47:35.340 --> 00:47:36.940]   Yeah, he passed away
[00:47:36.940 --> 00:47:41.740]   He yeah, I mean at a time like he just passed away. He brought batman back from the dead
[00:47:41.740 --> 00:47:45.420]   I mean he was uh, really batman was really yet people were not buying the comic books
[00:47:45.420 --> 00:47:53.420]   People were not buying the golden age flash people didn't care and he created that modern red and yellow flash costume and uh when when dc
[00:47:53.420 --> 00:47:55.420]   Came to him basically said we need to revive this
[00:47:55.900 --> 00:48:01.180]   Uh because the the horror books and the crime novels were being uh, clamped down on by the authorities
[00:48:01.180 --> 00:48:02.540]   They thought they were too
[00:48:02.540 --> 00:48:07.980]   Lued right people couldn't read them. So he he revived batman gave them that silver age look
[00:48:07.980 --> 00:48:12.940]   Uh the flash and batman and really gave him that whole 20-year design aesthetic
[00:48:12.940 --> 00:48:14.780]   So we we owe carmine
[00:48:14.780 --> 00:48:18.220]   We think we can thank him for really saving batman and saving the flash
[00:48:18.220 --> 00:48:20.540]   Yeah, and quite honestly
[00:48:20.540 --> 00:48:26.460]   Possibly saving comics from a weird time like the silver age is largely responsible
[00:48:26.460 --> 00:48:32.460]   It's he is largely responsible for for that insurgents that for that period and a lot of people don't like the silver age
[00:48:32.460 --> 00:48:37.180]   But I think it was a crucial stepping stone and we talked about him on on comic dorks the other night
[00:48:37.180 --> 00:48:41.580]   And there's a lot of reverence in the comic industry and most people don't even know who he is
[00:48:41.580 --> 00:48:44.860]   So yeah, go to wikipedia. Look at look him up. He's a he's a cool guy
[00:48:44.860 --> 00:48:47.580]   Silver age was when
[00:48:48.060 --> 00:48:50.060]   1950 to 1970
[00:48:50.060 --> 00:48:54.380]   When I would have been reading comic books if I'd been as big a nerd as you guys
[00:48:54.380 --> 00:48:56.860]   Yeah, you know
[00:48:56.860 --> 00:49:01.660]   All the weird stuff came out that that weird like pilt hat
[00:49:01.660 --> 00:49:03.980]   Like this weird
[00:49:03.980 --> 00:49:06.220]   condom hat, you know the original flash
[00:49:06.220 --> 00:49:08.780]   uh, it was a cheap caror
[00:49:08.780 --> 00:49:14.460]   And then uh he drew like the really sort of modern sleek, you know designs for a comic book
[00:49:14.460 --> 00:49:16.380]   So it went from being really really kitschy
[00:49:17.020 --> 00:49:22.460]   To more modern and a lot of the same costumes that we know and love of batman and the flash like that particular costume
[00:49:22.460 --> 00:49:23.660]   You're looking at there
[00:49:23.660 --> 00:49:27.980]   Uh that he he came up with that. Yeah, it's essentially stayed unchanged
[00:49:27.980 --> 00:49:31.820]   I mean, it's it's been modernized and tweaked here and there but his his designs
[00:49:31.820 --> 00:49:35.980]   Probably held more than anybody else's he's he's uh, he was a pioneer for sure
[00:49:35.980 --> 00:49:39.260]   Well, that's nice. We're gonna take a break
[00:49:39.260 --> 00:49:40.860]   uh
[00:49:40.860 --> 00:49:44.620]   It's so funny because we had last week I really thought we were gonna get comic book talk
[00:49:45.260 --> 00:49:47.580]   Because we had like big comic book guys on and we didn't really
[00:49:47.580 --> 00:49:52.700]   And this week we did but of course, I mean these guys of course, of course, what am I?
[00:49:52.700 --> 00:49:54.460]   What am I thinking?
[00:49:54.460 --> 00:49:56.620]   Um before we get off the facebook home
[00:49:56.620 --> 00:49:59.180]   Will you guys try it?
[00:49:59.180 --> 00:50:04.140]   Uh, yeah, i'll tell you yeah, yeah, in fact, I I asked for it immediately and i'm kind of looking forward to it
[00:50:04.140 --> 00:50:08.300]   I think it looks beautiful. I really do. Um, I won't keep it
[00:50:08.300 --> 00:50:13.660]   I can tell I can tell that you know a week later. I'll be off of it again, but i'll try it for a while
[00:50:14.060 --> 00:50:18.060]   Well, you'll be on the front. It seems like for people who if you give a smartphone to your 16-year-old
[00:50:18.060 --> 00:50:22.300]   And all they care about is facebook, you know updates and photos and all that
[00:50:22.300 --> 00:50:28.300]   That this is great. This is perfect for them. That's kind of what I was thinking is that we're the wrong audience for this
[00:50:28.300 --> 00:50:32.140]   Right, right, but are we that's I mean, I we didn't really touch on this and then you have to do a break
[00:50:32.140 --> 00:50:34.060]   I mean we can talk about this the other side of the break
[00:50:34.060 --> 00:50:39.260]   I don't want to hijack your show. Um, but they I mean the idea of who who are they marketing this to?
[00:50:39.260 --> 00:50:41.580]   Right, you see that commercial normal people
[00:50:42.460 --> 00:50:48.300]   Normal people or is it uh, is it teens because you know, I think we see this we see this don't do facebook anymore
[00:50:48.300 --> 00:50:51.340]   I just want to point this out. They do instagram. They just snap chat
[00:50:51.340 --> 00:50:56.620]   They do not do facebook and youtube is the number one social network among young folks
[00:50:56.620 --> 00:50:57.980]   Yep, youtube
[00:50:57.980 --> 00:51:00.380]   If I look at my kids who are 18 and 21
[00:51:00.380 --> 00:51:02.940]   Now insta I think facebook
[00:51:02.940 --> 00:51:05.500]   Knew this was coming. That's why they spent a billion dollars on instagram
[00:51:05.500 --> 00:51:11.340]   I think they realized that there was a they were hemorrhaging younger people to these new platforms
[00:51:11.820 --> 00:51:14.620]   But totally that's all they do is instagram
[00:51:14.620 --> 00:51:20.860]   Not twitter twitter's for old people facebook's kind of becoming for your mom to keep track with their high school buddies
[00:51:20.860 --> 00:51:23.740]   It's becoming you know classmates dot com
[00:51:23.740 --> 00:51:26.460]   Right kids don't care
[00:51:26.460 --> 00:51:31.660]   This is for their instagramming their vining their snap chatting their snapchat
[00:51:31.660 --> 00:51:34.060]   Yeah, and nobody used poke
[00:51:34.060 --> 00:51:36.860]   They made a snapchat version of poke nobody's using that
[00:51:36.860 --> 00:51:38.300]   No
[00:51:38.300 --> 00:51:43.580]   I mean, I know after the breaking up in the rundown too. Maybe talk about the streaming music services. Yeah, that's about
[00:51:43.580 --> 00:51:44.940]   Yeah
[00:51:44.940 --> 00:51:49.020]   And you know we may talk about that and as it relates to how you know most people are listening to youtube
[00:51:49.020 --> 00:51:53.980]   Most kids are listening to youtube and that's where they get their music exactly so and the me
[00:51:53.980 --> 00:51:58.300]   I think the music industry thinks this is a little bit of a problem. That's why they move vivo off of youtube
[00:51:58.300 --> 00:52:00.460]   I think they're very worried
[00:52:00.460 --> 00:52:02.460]   YouTube's the new mtv
[00:52:02.460 --> 00:52:05.020]   If you want music videos you go to youtube
[00:52:05.020 --> 00:52:08.700]   So much more too because if they if they find a show or let's say they find I don't know a
[00:52:08.700 --> 00:52:11.660]   Band they like and they they know the video is going to be there
[00:52:11.660 --> 00:52:16.460]   How it I could in two minutes here. I could go to any just and beaver video right?
[00:52:16.460 --> 00:52:18.540]   I haven't forbid I do but let's say I did
[00:52:18.540 --> 00:52:24.220]   I could go record in really good even analog fashion the music right off of that video
[00:52:24.220 --> 00:52:26.700]   And i've got the mp3 and i can share with my friends
[00:52:26.700 --> 00:52:31.020]   I get the whole new brand of piracy and it doesn't feel like piracy. They thought piracy
[00:52:31.580 --> 00:52:35.660]   It's not it's just you're capturing it's it's weird. It's a weird
[00:52:35.660 --> 00:52:38.940]   Do youtube is freaking weird leo? It's a weird thing
[00:52:38.940 --> 00:52:44.300]   I don't think about what it is now and what it was and what it will be it is effing weird
[00:52:44.300 --> 00:52:49.420]   Well, my wife is launching a youtube show and she's been working on it for months and months and months
[00:52:49.420 --> 00:52:52.380]   And i'm really excited about it and all the research they have a discussion with
[00:52:52.380 --> 00:52:57.260]   Um with youtube about some things and one of the most popular things on youtube right now
[00:52:57.260 --> 00:53:00.460]   In fact, not even one of those I think the most popular thing is called
[00:53:01.420 --> 00:53:03.420]   Uh, what is it called?
[00:53:03.420 --> 00:53:04.540]   mall
[00:53:04.540 --> 00:53:06.060]   mall calling
[00:53:06.060 --> 00:53:10.620]   Chad, do you know what i'm talking about is that where they uh drive up to drive in windows and they and they
[00:53:10.620 --> 00:53:14.860]   No, no, no mall's young girls. Yeah, what is it called? I have to texture about this
[00:53:14.860 --> 00:53:20.140]   My stream cone and they just grab it with their hand. That's not what you're talking about. Yeah. Yeah, I like that
[00:53:20.140 --> 00:53:22.060]   I watched that one
