;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100
;FFMETADATA1
album=This Week In Tech 2012
artist=Leo Laporte and the TWiTs
comment=http://twit.tv/343
encoded_by=iTunes v7.0
genre=Podcast
title=TWiT 343: Small Dog Big Phone
track=343
date=2012
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.760]   It's time for Twit this weekend tech white Silverman joins John C. Devorak and Jolie Odell
[00:22:28.160 --> 00:22:35.680]   And the traditional desktop, you know your legacy apps have to run on the traditional desktop and they have some some interesting apps
[00:22:35.680 --> 00:22:41.640]   And metro but and they do this kind of shift thing that looks a lot like the iPad when it changes apps
[00:22:41.640 --> 00:22:45.840]   You know things kind of slide in front of each other and it's jarring going back and forth
[00:22:45.840 --> 00:22:48.080]   Maybe as you get used to it and you use it more
[00:22:48.080 --> 00:22:50.960]   But I you know looking at
[00:22:50.960 --> 00:22:58.640]   everyday users who are loathe to change and some of them who are just now gotten used to the to the
[00:22:58.640 --> 00:23:01.720]   Windows 7 changes for Windows XP I
[00:23:02.400 --> 00:23:08.200]   Think this is going to be really hard for a lot of everyday users to take initially unless they have a tablet
[00:23:08.200 --> 00:23:11.420]   You know the thing is is that it's so tablet oriented
[00:23:11.420 --> 00:23:18.360]   You know I want Microsoft to get us get reviewers tablets with this on it so we could see what that's really light
[00:23:18.360 --> 00:23:19.080]   You know
[00:23:19.080 --> 00:23:23.200]   We actually did a review of windows 8 on a tablet and it was snappy
[00:23:23.200 --> 00:23:30.880]   It was very responsive beautiful easy to use intuitive and that metro interface is what we've been loving about the new phones from Microsoft
[00:23:30.880 --> 00:23:32.560]   It's just gorgeous
[00:23:32.560 --> 00:23:37.440]   And it but it is very different from any windows experience that's been thrown out so far
[00:23:37.440 --> 00:23:42.320]   And I'm wondering if your normal consumer is going to be able to handle it, but it's gorgeous
[00:23:42.320 --> 00:23:43.520]   Well your windows users
[00:23:43.520 --> 00:23:46.440]   Yeah, well you go to windows 8 when it comes out
[00:23:46.440 --> 00:23:52.280]   I mean would you if you weren't a journalist you would I will anyhow you would anyway. Yeah, yeah, not known how much it's gonna cost
[00:23:52.280 --> 00:23:55.320]   They say this year probably late summer. We don't know for sure
[00:23:55.320 --> 00:24:00.320]   Although it feels pretty ready. I haven't been able to crash it. I've been using it for several days now
[00:24:00.320 --> 00:24:03.400]   It's been very as you say speedy snappy reliable
[00:24:03.400 --> 00:24:06.400]   It feels done or close to it
[00:24:06.400 --> 00:24:13.280]   My concern and John I'd love to get your thought but my concern when we we had this conversation when windows 8 developer preview came out
[00:24:13.280 --> 00:24:18.040]   And I agreed with you I thought you cannot make one interface to rule them all
[00:24:18.040 --> 00:24:21.280]   And it's a mistake to take the tablet metaphor and put it on the desktop
[00:24:21.280 --> 00:24:25.760]   I have to say after having used this consumer preview for a while. I'm gonna have to modify that
[00:24:25.760 --> 00:24:28.520]   I think it's not bad. I like it in fact why I
[00:24:29.720 --> 00:24:31.720]   a couple of things first of all
[00:24:31.720 --> 00:24:37.300]   If you're a new user and and a lot of people now are gonna come to computing from their phones, right?
[00:24:37.300 --> 00:24:43.080]   So for those people I by the way, I dispute that comp you don't think so
[00:24:43.080 --> 00:24:48.680]   I think people everyone's got a computer and I don't think that somebody's gonna get a smartphone and say gosh
[00:24:48.680 --> 00:24:53.200]   All these years I haven't been using a computer, but now that I've got this phone
[00:24:53.200 --> 00:24:56.840]   I'm gonna get a computer and just think it's saturated
[00:24:56.840 --> 00:25:01.400]   I don't believe there's a whole generation growing up though there they're they've been raised with the computers
[00:25:01.400 --> 00:25:04.760]   They're little kids well they've been and they've been using that you're right
[00:25:04.760 --> 00:25:11.440]   16 year olds. Yeah, but I mean there's kids three year olds who are using tablets and will be tablet the next generation
[00:25:11.440 --> 00:25:12.960]   No be some tab maybe well
[00:25:12.960 --> 00:25:15.920]   They're sitting on their parents laps playing with laptops and playing with maybe
[00:25:15.920 --> 00:25:21.000]   Well, I'm not buying into this idea that we have a bunch of people that are idiots
[00:25:21.000 --> 00:25:26.560]   I can I can let that go. I do think that for a lot of people a tablet interface just is a better interface
[00:25:26.560 --> 00:25:32.160]   I think that the tiles are gonna be very intuitive for a lot of people those of us who use a desktop will be able to get to it
[00:25:32.160 --> 00:25:34.160]   I'm not sure I agree with the right that it's confusing
[00:25:34.160 --> 00:25:41.560]   Jari I think the word the better word is schizophrenic well that was my initial concern
[00:25:41.560 --> 00:25:45.920]   I feel like it's a little bit more unified than I thought it was gonna be I feel pretty comfortable with it
[00:25:45.920 --> 00:25:47.880]   When you hit that I would stay on the desktop
[00:25:47.880 --> 00:25:50.880]   I just you know, I never very rarely go to the tiles thing well there you go
[00:25:50.880 --> 00:25:55.400]   I'm fine gives you that option, but then I'm thinking what do I need this for with these tiles right?
[00:25:55.400 --> 00:26:01.680]   But he the key will be what developers do with it one of the most interesting apps that's available in the in the market
[00:26:01.680 --> 00:26:05.640]   Which is all free right now look at the USA Today app
[00:26:05.640 --> 00:26:12.640]   That is a really cool application that takes advantage of the tiles and meshes well with media
[00:26:12.640 --> 00:26:17.920]   You know, it's very photo oriented you get to you can get to stories
[00:26:17.920 --> 00:26:22.360]   The difficult thing is when you get to a story you have to scroll sideways to read it
[00:26:22.360 --> 00:26:27.040]   The text is big and on a traditional monitor. It's kind of it's a little odd, but
[00:26:27.040 --> 00:26:31.480]   It will depend on what developers and you have to do it. Wait a minute. Let me get this straight
[00:26:31.480 --> 00:26:36.440]   You have to do side-to-side scrolling. There's a lot of that. There's a lot of that
[00:26:36.440 --> 00:26:40.880]   But I and I agree on a mouse. It's very weird to do that. I have to say though
[00:26:40.880 --> 00:26:45.880]   It's interesting. I was for instance one of the things I don't like and Apple's doing this too is these new full-screen apps
[00:26:45.880 --> 00:26:48.120]   But I think for most users
[00:26:48.320 --> 00:26:53.660]   They don't do the multitasking that we grew up with John with a windows interface with one window open here another window open there
[00:26:53.660 --> 00:26:58.220]   You know, I'm browsing users are very full-screen focus you yourself
[00:26:58.220 --> 00:27:07.920]   We're commenting on your probably less than tech massive Jennifer right who you yourself said has millions of windows
[00:27:07.920 --> 00:27:12.840]   Open and you have to go close her windows, but that wouldn't be an issue if it were all full-screen
[00:27:12.840 --> 00:27:17.520]   That's maybe she works lots of no no no. She no no it's because she doesn't know their windows
[00:27:17.600 --> 00:27:25.160]   She doesn't know their apps. She's she's a really good example of of the truth is that I think most users do one thing at a time well
[00:27:25.160 --> 00:27:33.280]   Generally, yeah, because you can't really do ten things and so why not have a full window open. It's it's less confusing
[00:27:33.280 --> 00:27:37.720]   It's all there. It's very intuitive very easy to use. I think that's why maybe
[00:27:37.720 --> 00:27:43.320]   Maybe actually us look at they understand they took a chance. They said we're gonna reimagine windows
[00:27:43.320 --> 00:27:46.560]   So they did so the great irony here is no more windows
[00:27:46.560 --> 00:27:51.920]   I mean this obviously trending in that direction. Yeah full so we go to like a screens that are
[00:27:51.920 --> 00:27:57.440]   1900 by 1080 most most most massive amount of real estate
[00:27:57.440 --> 00:28:01.720]   We could ever imagine and it's gonna be full screens all the time. It's gonna look like this
[00:28:01.720 --> 00:28:06.920]   This is what I do looking it's not idiotic. This is this is actually a very natural way to work
[00:28:06.920 --> 00:28:10.400]   Really, you know losing your eyesight. I guess it's cool
[00:28:12.160 --> 00:28:17.360]   Leo can I can I go off on a little tangent? Yes, please. Yeah, so one of my favorite
[00:28:17.360 --> 00:28:23.160]   devices to use on my Mac is the magic touchpad, you know the oversized
[00:28:23.160 --> 00:28:28.400]   Apple touchpad that is the guy before though. I'm using it right now
[00:28:28.400 --> 00:28:32.600]   Oh, I use my magic, but I'm using it my laptop touchpad very much the same way
[00:28:32.600 --> 00:28:38.440]   So so as I've been playing with windows 8 on a traditional desktop with a mouse
[00:28:38.440 --> 00:28:44.960]   I've been thinking I would love something like the magic touchpad that large it begs for that fluid
[00:28:44.960 --> 00:28:47.760]   But the problem is that no windows
[00:28:47.760 --> 00:28:57.840]   PC manufacturer has yet made a trackpad this is fluid as apples and if someone can make something that is that is big like this
[00:28:57.840 --> 00:29:01.680]   For use and it works as well as the magic touchpad
[00:29:01.680 --> 00:29:03.680]   for a
[00:29:03.680 --> 00:29:11.040]   For a Windows 8 PC. I think they'd have a killer product and it would make windows 8 work really well on a traditional desktop
[00:29:11.040 --> 00:29:17.320]   Yeah, that's I think you know like in the Microsoft store and whatnot. I'm seeing more people focusing on here
[00:29:17.320 --> 00:29:21.880]   Let's take a big glossy tablet and just hook that into a keyboard for when you need it
[00:29:21.880 --> 00:29:25.960]   And I think that's another word experiences really focused on yeah
[00:29:25.960 --> 00:29:28.760]   I think you know there's um we were saying earlier
[00:29:28.760 --> 00:29:33.400]   I believe it was my friend John noting that or was it you Leo saying that
[00:29:33.400 --> 00:29:41.080]   Taking the desktop experience to tablets to the phone and making one OS for all is kind of
[00:29:41.080 --> 00:29:46.040]   Impossible, but it's such a trend. I mean Google is trying to do that with you know
[00:29:46.040 --> 00:29:50.560]   Yeah, oh what's home and also with ice cream sandwich their new mobile
[00:29:50.560 --> 00:29:56.840]   System that's supposed to work on TVs and tablets and phones and who knows make laptops. I had severe misgivings
[00:29:56.840 --> 00:30:00.880]   I thought that's crazy. Why do that? Why not why not create an operation that's easier for development
[00:30:00.880 --> 00:30:06.300]   natively and you're right it's easier for developers and it may be easier for users who do now go from device to device they
[00:30:06.300 --> 00:30:09.200]   Use a phone they use a desktop. They might use a television
[00:30:09.200 --> 00:30:14.120]   Well, and they go from you know the console or gaming console to their mobile gaming device and I think
[00:30:14.120 --> 00:30:17.560]   Consumers once they get used to the idea that they can do that
[00:30:17.560 --> 00:30:23.840]   They'll begin to expect that so you need to have the operating system and the browsers and all that stuff ready to sink from device to device
[00:30:23.840 --> 00:30:28.120]   And the thing that reassures me is that there's always going to be Linux and
[00:30:28.120 --> 00:30:32.640]   So if for those of us who still live in the command line and want multiple
[00:30:32.640 --> 00:30:37.400]   The command line operating system is pretty isn't it?
[00:30:37.400 --> 00:30:44.160]   It can be unfortunately one - is moving the irony is a bunch of Linux is moving towards his tablet in her face as well
[00:30:44.160 --> 00:30:45.800]   however
[00:30:45.800 --> 00:30:47.800]   Trend there will always be
[00:30:47.800 --> 00:30:52.280]   Geeky Linux with multiple windows and a command line and I think that that's good
[00:30:52.280 --> 00:30:55.000]   There means that for those of us who like that and want it
[00:30:55.000 --> 00:30:57.880]   Who will increasingly look like old farts?
[00:30:57.880 --> 00:31:04.880]   We'll be able to get that but I think the future I hate to say it because yes, but you're saying I was wrong
[00:31:04.880 --> 00:31:06.880]   Well, it's a I was wrong
[00:31:06.880 --> 00:31:12.800]   Between you and the technology you're using and that's you nailed it
[00:31:12.800 --> 00:31:19.880]   Exactly right exactly right surely now. There's an interesting thing in here the kill switch and John you wrote a little bit
[00:31:20.240 --> 00:31:23.400]   About this kill switch. What is what is the kill switch?
[00:31:23.400 --> 00:31:28.680]   I mean, let me find that article and you can talk about by the way new logo. What do you think of that?
[00:31:28.680 --> 00:31:34.240]   It's idiotic. It looks like the Norwegian flag minus the colors. What is that's a good one? That's a good one
[00:31:34.240 --> 00:31:40.480]   It's what it looks like the Norwegian flag. What is the story or the Swedish flag Swedish Swedish? Yeah, I think that's Swedish
[00:31:40.480 --> 00:31:45.640]   So I think the Norwee. I mean look it's very simple. It's very clean. It's not very attractive
[00:31:45.640 --> 00:31:52.080]   famous design agency called Pensagon and we did a bunch of research on it and I can't for the life of me imagine the design
[00:31:52.080 --> 00:31:55.720]   Process and windows or Microsoft or whoever must have thrown so much money at them
[00:31:55.720 --> 00:32:00.040]   And I think it kind of came down to the wire they ran out of pot and they were like, okay guys
[00:32:00.040 --> 00:32:02.280]   I'm coming down
[00:32:02.280 --> 00:32:12.640]   These days is it the Swedish or the Norwegian flag John we use both of them have that they're both they all look very similar
[00:32:12.640 --> 00:32:18.800]   Yeah, that's the Swedish flag. It's boring. Yeah, it's boring. It looks like the it invokes the original windows
[00:32:18.800 --> 00:32:24.600]   Logo from windows 1.0. What it looks like that's kind of a sad statement
[00:32:24.600 --> 00:32:28.880]   Oh, so my theory is that every other version of windows is going to be a piece of crap
[00:32:28.880 --> 00:32:34.120]   And if you look at it that way for a long time 95 was good 98 actually 98 was pretty good Emmy terrible
[00:32:34.120 --> 00:32:36.760]   95
[00:32:36.760 --> 00:32:42.240]   Okay, then vista terrible 95 was good 98 was good. So there wasn't one skip. That's not true
[00:32:42.800 --> 00:32:49.760]   They actually pre-announced windows 97 and could not release it it counts because it was so bad
[00:32:49.760 --> 00:32:52.520]   No, it was 98. They couldn't get it out the door
[00:32:52.520 --> 00:32:58.480]   So there was a 97 that was a turkey and 98 came up was good and then Emmy was was was bad
[00:32:58.480 --> 00:33:05.640]   And then 2000 was good. You're skipping windows. Yeah windows 2000. 2000 was good windows 2000 to me
[00:33:05.640 --> 00:33:10.880]   So there does seem to be this tiktok cycle and I think that people observe this before this is this is a well-known
[00:33:11.480 --> 00:33:15.840]   Observation so windows 7 was very good. I think we all agree. It was the best windows probably since 2000
[00:33:15.840 --> 00:33:20.000]   I've been happy with it. It's wonderful. I think it's wonderful. Yeah, she's never happy
[00:33:20.000 --> 00:33:23.240]   Aaron I just want to air and you know
[00:33:23.240 --> 00:33:30.680]   The
[00:33:30.680 --> 00:33:35.600]   97 I didn't you know I didn't think vista was that much of a turkey was just kind was a turkey it was bloated
[00:33:35.600 --> 00:33:38.320]   It was it was it was bloated was bloated. It was too big
[00:33:38.320 --> 00:33:44.680]   But you have on big honking machines is that these little diminutive machines and it's not a big deal irony is seven really is vista
[00:33:44.680 --> 00:33:51.200]   But stripped down and made fast. That's right, you know, so tell us about the kill switch. What about it? What is it?
[00:33:51.200 --> 00:33:56.480]   I didn't even know about it. You discovered this. Oh, yeah, no, this has been discovered by somebody else apparently
[00:33:56.480 --> 00:34:00.880]   This has been floating around this piece of information. It lets Microsoft delete apps from your windows
[00:34:00.880 --> 00:34:06.160]   If you buy from the app store, yeah, Microsoft has a hook supposedly then they won't deny it
[00:34:06.560 --> 00:34:10.760]   the question that they really don't want to talk about is can they kiss kill the OS and
[00:34:10.760 --> 00:34:18.040]   Which is the one that gets where I wrote the column, but they have a kill switch was kill switches are really cool because Google uses them in
[00:34:18.040 --> 00:34:25.480]   Every mobile device so Microsoft is putting it in so they can pull this day because it could be a dangerous app
[00:34:25.480 --> 00:34:29.320]   And they don't want to do a big patch, you know patch to they just pull it
[00:34:29.320 --> 00:34:32.600]   And so next thing you know your app is missing and that's just you've already
[00:34:33.360 --> 00:34:37.400]   Your app is missing because it's not assuming they'll give you some kind of notification this sorry
[00:34:37.400 --> 00:34:39.820]   We pulled your app because it was gonna. This is our
[00:34:39.820 --> 00:34:44.360]   On Android and I don't know but I bet you it's already
[00:34:44.360 --> 00:34:49.440]   It hasn't okay. No, but they can do it. They have the capability can do it
[00:34:49.440 --> 00:34:52.000]   But they haven't done it for a Apple they have done it with
[00:34:52.000 --> 00:34:57.280]   With Android so when the question of my mind where I wrote this column PC mag.com you can check it out
[00:34:57.280 --> 00:35:02.800]   The question on my mind is what if they if they decide they really get hardcore
[00:35:02.800 --> 00:35:06.200]   Which is a term that Microsoft really likes to use about?
[00:35:06.200 --> 00:35:13.800]   Piracy of the OS and just this and kill it from a distance. They said it look there's no doubt in our minds that this is a bootleg version
[00:35:13.800 --> 00:35:19.480]   I know they don't want to do this just as a general policy because they're fearful that they're gonna start because they're so
[00:35:19.480 --> 00:35:25.280]   Incompetent by the way in this level. Oh, yeah, they would kill a bunch of OS is that really good and they get sued remember the
[00:35:25.280 --> 00:35:30.240]   Windows genuine advantage program and about five they even admitted about five percent of all right was
[00:35:30.240 --> 00:35:34.520]   Bo air, you know pirate air piracy messages were bogus were false positives
[00:35:34.520 --> 00:35:40.000]   Yeah, so so there was a magic 5% killing 5% of legitimate machine you kill one legitimate machine
[00:35:40.000 --> 00:35:44.000]   You got a lawsuit so they can well depends on the way the license is written
[00:35:44.000 --> 00:35:50.080]   But whatever the case is I believe they've got this thing rigged so they can do whatever they want and I who knows what you know
[00:35:50.080 --> 00:35:53.000]   This could come in handy or not handy or could be a disaster
[00:35:53.000 --> 00:35:55.480]   Who knows but I believe there's a kill switch in there
[00:35:55.480 --> 00:36:01.800]   I think what this is symptomatic of is really that these desktop OSes are becoming mobile OSes and all the features of mobile
[00:36:01.800 --> 00:36:05.800]   OSes are migrating to the desktop including the kill switch well hold up didn't Microsoft and I
[00:36:05.800 --> 00:36:12.080]   Looked it up just a few months ago. They uh windows or Microsoft was deleting Chrome from users PCs
[00:36:12.080 --> 00:36:15.160]   Yes
[00:36:15.160 --> 00:36:33.420]   And there was a Microsoft security essentials update and for around 3000 people it zapped their chrome and then they threw fits and then my
[00:36:33.420 --> 00:36:38.160]   Remember that you've ever had your Chrome zapped. I think I think it quarantined it. Oh, he didn't make that up
[00:36:38.160 --> 00:36:43.560]   I think you're right. It was a security essentials bug. Mm-hmm. Oh or false positive
[00:36:44.520 --> 00:36:45.760]   I
[00:36:45.760 --> 00:36:50.520]   Think that for instance and I'm pretty sure to correct me if I'm wrong in the chat room. We'll do that
[00:36:50.520 --> 00:36:53.080]   They do it even when I'm not wrong
[00:36:53.080 --> 00:36:59.680]   That it looks like the memory management and this is also like a mobile app, you know one of the constraints of a mobile
[00:36:59.680 --> 00:37:02.440]   Platform is you have less memory you have less CPU
[00:37:02.440 --> 00:37:08.280]   So if an app but you want to put in multitasking because frankly it's a bad idea but consumers demand it
[00:37:08.280 --> 00:37:10.280]   so what you do is you have a
[00:37:11.360 --> 00:37:16.420]   Kind of aging process in which apps that are not used for while just get killed they they're released
[00:37:16.420 --> 00:37:19.600]   You don't ever have to quit an app on a smartphone, right?
[00:37:19.600 --> 00:37:22.520]   Because they just release them and I think and I might be wrong
[00:37:22.520 --> 00:37:27.280]   But I think I noticed that happening on my windows 8 I had a camera. That's correct. It does do that doesn't it?
[00:37:27.280 --> 00:37:33.800]   Yes, it knows there's no on a lot of the apps and a lot of the metro apps. There's no obvious no quit exit or quit
[00:37:33.800 --> 00:37:36.680]   Yeah, I wasn't my imagination. Okay, right, right?
[00:37:36.680 --> 00:37:42.880]   And so you simply move on to something else and the and windows itself handles when it gets turned off
[00:37:42.880 --> 00:37:44.400]   See that's for Jennifer too
[00:37:44.400 --> 00:37:46.800]   She she doesn't leave windows open because she wants them
[00:37:46.800 --> 00:37:50.280]   She leaves windows open because she doesn't know how to click the little button in the corner
[00:37:50.280 --> 00:37:53.680]   She's no, no she does but that doesn't in on a Mac that doesn't even kill the program
[00:37:53.680 --> 00:37:59.040]   It just closes a window unlike you know, this is one thing that my girl's lack little circle it kills
[00:37:59.040 --> 00:38:04.160]   No, this is one thing Microsoft did differently than Apple and I think Microsoft got it right if when you close the last
[00:38:04.160 --> 00:38:09.680]   Window on an app on a Windows machine it closes the app. Yeah, when you close the last window on an app on a Mac
[00:38:09.680 --> 00:38:11.680]   Nothing, it's the app still runs
[00:38:11.680 --> 00:38:13.680]   And so she's
[00:38:13.680 --> 00:38:22.760]   Some of them do close some do most of the time at the consistent. Yeah, didn't consist of so I do think that the the whole notion of quitting
[00:38:22.760 --> 00:38:25.920]   Is going away notion of windowing is going away?
[00:38:25.920 --> 00:38:31.760]   I think apps are going to be more and more bought in app stores because that
[00:38:32.080 --> 00:38:36.640]   In-venience and well the only kind of app you could sell in the app store for Microsoft is a Metro app
[00:38:36.640 --> 00:38:41.960]   So that means more and more apps will look like Metro apps. This is where we're going. We're going it is a dumbing down
[00:38:41.960 --> 00:38:47.560]   But I think that's an elitist thing to say I think it's not it's an honest thing to say is dumbing down
[00:38:47.560 --> 00:38:52.080]   Well, it is but I think it's making it easier to let's giving you less control over your programs
[00:38:52.080 --> 00:38:55.560]   True, you can't quit them. No, you can't and I don't know
[00:38:55.560 --> 00:39:00.400]   That's not in an app store
[00:39:00.400 --> 00:39:02.760]   Well, that's a very good access to
[00:39:02.760 --> 00:39:05.280]   For instance in the Apple
[00:39:05.280 --> 00:39:13.480]   In the Apple app store you you can't put demos you can't put betas and you can't put open source because it would violate the open source
[00:39:13.480 --> 00:39:17.720]   License to put it in the app store. So there is no open source in Apple's app store
[00:39:17.720 --> 00:39:20.840]   I would guess the same thing will be true in Microsoft. Do you know anything about that Dwight?
[00:39:20.840 --> 00:39:23.840]   No, I don't I don't think that
[00:39:23.840 --> 00:39:28.840]   That they allow in the in the Microsoft app store that they allow
[00:39:29.360 --> 00:39:33.560]   Open source because of for because of the issue of malware
[00:39:33.560 --> 00:39:38.800]   I think that leaves it open the malware. They're not gonna allow that so you're right. This is really
[00:39:38.800 --> 00:39:45.000]   Absolutely the opposite in fact, isn't it? I don't I think if you look at the source code
[00:39:45.000 --> 00:39:48.800]   You can validate it if you look at the source code you can you can mess with it
[00:39:48.800 --> 00:39:53.160]   I don't know how to answer that if I say you're not just a girl. That's like you can't win
[00:39:53.160 --> 00:39:56.880]   It's a non-wiz man. She says it. You're not a girl. You're screwed
[00:39:58.560 --> 00:40:03.640]   Aaron, I'm just warning you. I'm just telling you she's she's too smart for us
[00:40:03.640 --> 00:40:07.840]   No, I'm not saying that by the way I consider this group
[00:40:07.840 --> 00:40:13.800]   This will group here the A team of the Twitch show because this is the only time with everybody writes about tech
[00:40:13.800 --> 00:40:19.520]   We don't have broadcasters from you know who knows where we don't have celebrities no celebrities
[00:40:19.520 --> 00:40:26.120]   It's just real people talking about real stuff right about it. We're all writers the really the idea except for me
[00:40:26.120 --> 00:40:32.680]   I'm a talker. Well, you're a writer too. I'm a talker. Well, you're the ghost. Yeah, so I know I'm not one of the I'm not one of you
[00:40:32.680 --> 00:40:35.400]   Yeah, we should get rid of you that's really dynamite
[00:40:35.400 --> 00:40:37.640]   I
[00:40:37.640 --> 00:40:43.840]   Reads the commercials this show brought to you by Gazelle dot cop. You know the new iPad 3 is going by hold on a second
[00:40:43.840 --> 00:40:45.840]   Are you doing the voice for the Calv?
[00:40:45.840 --> 00:40:48.440]   Basketball knows it sound like me
[00:40:48.440 --> 00:40:55.320]   Dead ringer one of our advertisers. I'm gonna ask your advice mr. Wreck. He's been my career advisor
[00:40:55.320 --> 00:41:02.480]   I have helped him you can see he's been successful one of our you actually he's not joking. He's a great help one of our advertisers says
[00:41:02.480 --> 00:41:06.840]   I want we want you to read our ads, but you don't say your name. It's not in the first person
[00:41:06.840 --> 00:41:12.260]   We just want you we just want you to be voice talent. Yeah, but I think my voice is distinctive enough that that's an endorsement
[00:41:12.260 --> 00:41:17.760]   Yeah, you think yeah, I think I'm total agreement. Okay. Good. Except for this guy who sounds like you
[00:41:17.760 --> 00:41:23.920]   That's the problem is that maybe it isn't distinct. Maybe I sound just like everybody else avoid there are for you who do have a distinctive voice
[00:41:23.920 --> 00:41:26.240]   It's an answer, but yeah, I was trying to pick up
[00:41:26.240 --> 00:41:30.600]   You have a little little little twangy thing that goes on that I can use it there
[00:41:30.600 --> 00:41:33.960]   Twangy because even when you do it
[00:41:33.960 --> 00:41:36.920]   Twangy and this guy never never delivered it
[00:41:36.920 --> 00:41:41.260]   But I know that you could probably hide it and you could have been this guy. I could oh, that's what I'll do
[00:41:41.260 --> 00:41:47.160]   When I do really neutral. I'll do the German voice. I do it like this. I am from Hamburg
[00:41:47.160 --> 00:41:50.480]   I have just won a t-shirt. Are you wearing the t-shirt?
[00:41:50.760 --> 00:41:55.100]   You see vang it's no no he's gone. He took the t-shirt left
[00:41:55.100 --> 00:41:58.520]   Well, I guess he's gone back to Hamburg, you know if I have another t-shirt
[00:41:58.520 --> 00:42:01.920]   I'm gonna get it for the South Carolina lady you you win Charleston
[00:42:01.920 --> 00:42:07.560]   She's from Charleston to one of the greatest cities in the world. It's is that where the midnight garden in the midnight and evil
[00:42:07.560 --> 00:42:10.120]   That's Savannah
[00:42:10.120 --> 00:42:16.680]   Charleston is not Savannah Charleston Charleston is the capital right Charleston is the most Oh Columbia right in the United States
[00:42:16.680 --> 00:42:23.360]   Charleston South Carolina not Charleston, North Carolina. There is no Charleston, North Carolina. There's check there's West Virginia
[00:42:23.360 --> 00:42:29.200]   Oh, I'm thinking of Charlotte Charlotte Charlotte. I've been a Charlotte, but I have never been to Charleston South Carolina
[00:42:29.200 --> 00:42:35.280]   You gotta go to the South Carolina to go very much to Charleston and do reverse carpet bagger thing
[00:42:35.280 --> 00:42:39.160]   Yeah, that's right. I'm gonna go down there and with a carpet with a carpet bag
[00:42:39.160 --> 00:42:43.840]   Let me talk about gazelle because you know if you have an iPad to Tom Merritt asked me this
[00:42:43.840 --> 00:42:50.880]   He said should I what do you think is it is I want I know I'm buying the iPad 3 should I should I gazelle my iPad?
[00:42:50.880 --> 00:42:53.960]   I said yes because every day you wait it goes down in value
[00:42:53.960 --> 00:43:00.240]   Don't it mean it might be a buck might be ten bucks why wait if you know you're getting a pet 3 so this is one of the reasons
[00:43:00.240 --> 00:43:01.280]   Gazelle
[00:43:01.280 --> 00:43:06.920]   Advertisers a lot this week is because they know that this is you know when the new iPhones come out the new iPads come out
[00:43:06.920 --> 00:43:08.920]   That's when they aren't the busiest
[00:43:09.720 --> 00:43:17.280]   Because people use gazelle to finance their upgrade and why not let me see I'm just gonna see what my iPad 2 I
[00:43:17.280 --> 00:43:23.540]   Have I happen to have the you know the big top of the line actually mines Verizon 64 gig 3g and
[00:43:23.540 --> 00:43:27.080]   375 this no chill my screen
[00:43:27.080 --> 00:43:32.160]   Because I'm I'm that's how much that's worth now. Here's the thing
[00:43:32.160 --> 00:43:33.600]   That's by the way
[00:43:33.600 --> 00:43:37.360]   It could be worth a little bit more because that's assuming some scratches or sign of where if it's imperfect
[00:43:37.360 --> 00:43:42.960]   You even get more what happens is you don't have to take your data off you send it to a gazelle
[00:43:42.960 --> 00:43:48.960]   They pay the postage effect get a box because you're gonna throw all your old gadgets as long as you're doing this get a bunch of gadgets
[00:43:48.960 --> 00:43:50.200]   Throw them in the box
[00:43:50.200 --> 00:43:52.680]   They pay the postage their data experts remove your data
[00:43:52.680 --> 00:43:59.480]   They check the course they're checking to make sure it matches the condition that you said and then they will send you a check or a pay
[00:43:59.480 --> 00:44:01.760]   Pal but this is the one I recommend the Amazon gift card
[00:44:01.760 --> 00:44:03.240]   It's as good as cash
[00:44:03.240 --> 00:44:08.960]   We all buy stuff on Amazon right and you get 5% more you want cash you have cash if you have flawless
[00:44:08.960 --> 00:44:14.440]   Let's see what this goes to three thirty seven. Okay, even if it's broken. It's worth eighty three bucks
[00:44:14.440 --> 00:44:19.440]   What do you think they do with that one though? I mean that's
[00:44:19.440 --> 00:44:26.800]   Anyway, if it is really worthless, they will recycle it appropriately. They use green recycling no landfill no offshore shipping
[00:44:27.240 --> 00:44:31.040]   Gazelle is fantastic. I just I just think this is such a great thing
[00:44:31.040 --> 00:44:35.440]   Yeah, sure you could probably put an ad in the paper or go to eBay and sell it yourself
[00:44:35.440 --> 00:44:38.640]   I have a small dog that I've been wanting to get rid of for some time and
[00:44:38.640 --> 00:44:41.240]   Brazil
[00:44:41.240 --> 00:44:42.680]   Aww
[00:44:42.680 --> 00:44:49.600]   Aussie says a jolly a yelly gazie Elle. He no, I would never show this dog
[00:44:49.600 --> 00:44:54.460]   I would only give him to Jolie. Oh really? Yeah, if you promised to take good care of him
[00:44:54.460 --> 00:44:58.280]   How do you like dogs Aaron? He loves them. He says he doesn't want it
[00:44:58.280 --> 00:45:06.540]   You know it's funny we had a nun in here earlier in black and white and
[00:45:06.540 --> 00:45:09.540]   She wanted to pose with a dog cuz he's dressed the same
