;FFMETADATA1
title=Like a Fine Cheese
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=472
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2014
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.340]   It's time for "Twit!"
[00:30:14.480 --> 00:30:16.960]   and I make you follow me.
[00:30:16.960 --> 00:30:19.920]   Following me means you see some of my stuff,
[00:30:19.920 --> 00:30:23.440]   and I don't see much, if any, of your stuff.
[00:30:23.440 --> 00:30:26.240]   If you have a brand page and you click like on it,
[00:30:26.240 --> 00:30:30.360]   it adds that like to your like area on your profile.
[00:30:30.360 --> 00:30:34.280]   So everybody can see that you like target
[00:30:34.280 --> 00:30:37.800]   or like Formula One racing or something like that, right?
[00:30:37.800 --> 00:30:42.040]   And you'll see a few of those posts on your main feed as well.
[00:30:42.040 --> 00:30:45.720]   It also automatically adds them to this list over here
[00:30:45.720 --> 00:30:51.040]   called pages and public figures.
[00:30:51.040 --> 00:30:54.680]   And this is everything that I've liked.
[00:30:54.680 --> 00:30:59.240]   And you notice the quality is way lower than the main feed.
[00:30:59.240 --> 00:31:01.920]   There's a lot of memes, there's a lot of cat photos on here,
[00:31:01.920 --> 00:31:05.040]   there's a lot of personal photos.
[00:31:05.040 --> 00:31:08.400]   At some point I would love to get you to do this.
[00:31:08.400 --> 00:31:09.440]   The problem is you're scrolling,
[00:31:09.440 --> 00:31:12.200]   gross scrolls by so fast, we can't see the result.
[00:31:12.200 --> 00:31:14.440]   And it does seem like this is a technique
[00:31:14.440 --> 00:31:16.200]   that requires a PhD in Facebook.
[00:31:16.200 --> 00:31:20.080]   So I'm not kidding, I want you to come over
[00:31:20.080 --> 00:31:22.120]   and spend some time, we'll do a special,
[00:31:22.120 --> 00:31:24.720]   and how to scobilize your feed.
[00:31:24.720 --> 00:31:27.200]   And I'd be very curious, I'd be willing to try it.
[00:31:27.200 --> 00:31:29.200]   We have somebody in the chatroom, KB Shriram,
[00:31:29.200 --> 00:31:30.600]   who is actually interesting.
[00:31:30.600 --> 00:31:36.600]   He's written a script to use Facebook's knowledge graph API,
[00:31:36.600 --> 00:31:39.400]   or Facebook graph API, using some Java code.
[00:31:39.400 --> 00:31:44.720]   He downloads just what he wants from Facebook.
[00:31:44.720 --> 00:31:48.160]   He actually doesn't ever go to Facebook.
[00:31:48.160 --> 00:31:50.320]   This is how I want to use Facebook.
[00:31:50.320 --> 00:31:51.840]   So I'm going to download his code and see if he can.
[00:31:51.840 --> 00:31:53.760]   There's a lot of ways to use all these tools.
[00:31:53.760 --> 00:31:55.320]   It's interesting that Facebook's--
[00:31:55.320 --> 00:31:57.200]   it's pretty clear, and we're going to move on,
[00:31:57.200 --> 00:32:00.400]   because this is incredibly boring to most people.
[00:32:00.400 --> 00:32:03.000]   The chatroom's having fun with it.
[00:32:03.000 --> 00:32:04.000]   It's very clear--
[00:32:04.000 --> 00:32:05.800]   Because we're all nerds in the chatroom.
[00:32:05.800 --> 00:32:07.720]   Thank you, chatroom.
[00:32:07.720 --> 00:32:10.280]   And by the way, a number of people pointed out,
[00:32:10.280 --> 00:32:13.240]   Linda.com has a tutorial on getting Facebook running.
[00:32:13.240 --> 00:32:18.280]   My guess is it's not anywhere near as bizarre and sophisticated
[00:32:18.280 --> 00:32:20.800]   as what Robert is doing.
[00:32:20.800 --> 00:32:23.520]   And as you say, Robert, I doubt many people, if any,
[00:32:23.520 --> 00:32:25.240]   are doing this on Facebook.
[00:32:25.240 --> 00:32:27.360]   I've put thousands of hours in the Facebook.
[00:32:27.360 --> 00:32:29.000]   See, that's just the last thing in the world
[00:32:29.000 --> 00:32:30.080]   I'd ever want to do.
[00:32:30.080 --> 00:32:33.480]   It's like getting an apple, too.
[00:32:33.480 --> 00:32:34.480]   It's interesting.
[00:32:34.480 --> 00:32:35.000]   It's interesting.
[00:32:35.000 --> 00:32:35.800]   Yeah, I understand.
[00:32:35.800 --> 00:32:36.400]   Yeah, yeah, yeah.
[00:32:36.400 --> 00:32:37.880]   You're creating.
[00:32:37.880 --> 00:32:40.560]   If at a Ferrari, you're going to need to go to a race track
[00:32:40.560 --> 00:32:41.520]   and learn how to talk.
[00:32:41.520 --> 00:32:44.480]   Yeah, but Ferrari doesn't keep moving the brake pedal.
[00:32:44.480 --> 00:32:46.600]   And the problem with spending this kind of energy
[00:32:46.600 --> 00:32:49.680]   in Facebook is tomorrow they could change it all.
[00:32:49.680 --> 00:32:51.920]   And everything you've done will stop working.
[00:32:54.960 --> 00:32:57.200]   Absolutely, because they've done that before.
[00:32:57.200 --> 00:32:59.800]   But you also write about Google+ could do the same thing.
[00:32:59.800 --> 00:33:00.360]   Google+ could do.
[00:33:00.360 --> 00:33:01.080]   Anybody could.
[00:33:01.080 --> 00:33:01.560]   That's why.
[00:33:01.560 --> 00:33:04.640]   But I'm not going to put 1,000 hours into any of these,
[00:33:04.640 --> 00:33:07.880]   because that could be tomorrow completely wasted energy.
[00:33:07.880 --> 00:33:13.560]   Well, I find them to be where the people are,
[00:33:13.560 --> 00:33:16.000]   and therefore where the information is.
[00:33:16.000 --> 00:33:17.440]   No, I know that.
[00:33:17.440 --> 00:33:20.360]   What about their strategy, which it looks to be clear now
[00:33:20.360 --> 00:33:22.400]   that Facebook-- and I think this is brilliant--
[00:33:22.400 --> 00:33:23.280]   has the strategy.
[00:33:23.280 --> 00:33:25.640]   They don't really care if you spend most of your time
[00:33:25.640 --> 00:33:27.560]   at the blue page.
[00:33:27.560 --> 00:33:29.000]   In fact, I noticed my daughter--
[00:33:29.000 --> 00:33:29.920]   I'm watching her.
[00:33:29.920 --> 00:33:32.440]   She's 22 using her smartphone.
[00:33:32.440 --> 00:33:35.360]   She goes to Facebook because she's got groups there,
[00:33:35.360 --> 00:33:37.800]   her dorm group, and her friends from one school
[00:33:37.800 --> 00:33:38.520]   and another school.
[00:33:38.520 --> 00:33:39.560]   And she'll check up on that.
[00:33:39.560 --> 00:33:41.840]   And then she goes to Instagram to see what the picture is there.
[00:33:41.840 --> 00:33:44.040]   She probably isn't fully aware of the fact
[00:33:44.040 --> 00:33:46.080]   that she's never left Facebook by going to Instagram.
[00:33:46.080 --> 00:33:49.400]   It's just another branch.
[00:33:49.400 --> 00:33:51.600]   Mike Elgin, our news director, is positive.
[00:33:51.600 --> 00:33:53.640]   And I think he's right that in a few years,
[00:33:53.640 --> 00:33:56.080]   Facebook may have 100 apps.
[00:33:56.080 --> 00:33:59.560]   And they don't care because what's very interesting
[00:33:59.560 --> 00:34:03.480]   is to watch my daughter not really ever leave Facebook,
[00:34:03.480 --> 00:34:06.600]   but in fact use Messenger, use Facebook,
[00:34:06.600 --> 00:34:08.480]   and Messenger being extracted from Facebook
[00:34:08.480 --> 00:34:09.800]   now as a separate app.
[00:34:09.800 --> 00:34:10.720]   Use WhatsApp.
[00:34:10.720 --> 00:34:12.440]   She said in Mexico she used WhatsApp.
[00:34:12.440 --> 00:34:14.120]   Everybody there used WhatsApp.
[00:34:14.120 --> 00:34:16.840]   She never left a Facebook ecosystem.
[00:34:16.840 --> 00:34:20.040]   And yet it seemed like she was.
[00:34:20.040 --> 00:34:22.560]   I think that to me is a very smart move on Facebook.
[00:34:22.560 --> 00:34:29.080]   I predict that they're working on a work version of Facebook.
[00:34:29.080 --> 00:34:31.360]   I don't know if they'll call it Facebook.
[00:34:31.360 --> 00:34:34.760]   They might call it something like Workbook or something.
[00:34:34.760 --> 00:34:37.360]   But Zuckerberg is running Facebook
[00:34:37.360 --> 00:34:41.880]   on a version of Facebook that we can't see.
[00:34:41.880 --> 00:34:44.040]   And I find that's interesting.
[00:34:44.040 --> 00:34:46.240]   And I'm sure he's working on the search feature
[00:34:46.240 --> 00:34:48.040]   that Twitter has.
[00:34:48.040 --> 00:34:50.960]   And my former boss is at Twitter.
[00:34:50.960 --> 00:34:54.120]   So he's working hard to make sure that people
[00:34:54.120 --> 00:34:56.560]   stay addicted to Twitter and don't go to Facebook.
[00:34:56.560 --> 00:34:58.400]   Twitter has its own structural issues.
[00:34:58.400 --> 00:35:00.600]   There's the troll issue because it's so easy at Twitter
[00:35:00.600 --> 00:35:02.560]   to create a phony account.
[00:35:02.560 --> 00:35:05.000]   It's whack-a-mole to stop trolls.
[00:35:05.000 --> 00:35:07.360]   And we've seen a lot of people of late
[00:35:07.360 --> 00:35:10.320]   really complain about that on Twitter.
[00:35:10.320 --> 00:35:12.800]   The one thing you did say that was very astute.
[00:35:12.800 --> 00:35:16.720]   They are changing the rules every week.
[00:35:16.720 --> 00:35:19.800]   Every week I notice something changes about the news feed.
[00:35:19.800 --> 00:35:22.200]   It generally gets better.
[00:35:22.200 --> 00:35:26.480]   But sometimes it gets worse in a little bit in a little way.
[00:35:26.480 --> 00:35:27.640]   But the trend line is clear.
[00:35:27.640 --> 00:35:29.520]   It's going like this and it's getting better.
[00:35:29.520 --> 00:35:32.840]   It's dramatically better than it was a year ago.
[00:35:32.840 --> 00:35:34.800]   Partly because I put in more work on it
[00:35:34.800 --> 00:35:36.160]   and given it more signal.
[00:35:36.160 --> 00:35:38.360]   Also because the feed is changing
[00:35:38.360 --> 00:35:40.920]   and what they want through the feed is changing.
[00:35:40.920 --> 00:35:43.800]   And they do have the ability to turn you off.
[00:35:43.800 --> 00:35:47.440]   They do have the ability to turn up the knob on you
[00:35:47.440 --> 00:35:48.960]   and get you more distribution.
[00:35:48.960 --> 00:35:53.480]   Or post happy thoughts so you'll have happy posts.
[00:35:53.480 --> 00:35:55.960]   And that's why they might turn you up.
[00:35:55.960 --> 00:35:58.160]   They might say, you know, everybody's feed
[00:35:58.160 --> 00:36:00.000]   doesn't have enough happiness right now.
[00:36:00.000 --> 00:36:02.760]   Everybody's talking about a tragedy
[00:36:02.760 --> 00:36:05.160]   while they might look for somebody who has happiness.
[00:36:05.160 --> 00:36:06.960]   How come you're sitting there in Fox and Friends
[00:36:06.960 --> 00:36:08.600]   you don't pull up a Facebook feed?
[00:36:08.600 --> 00:36:12.080]   That's a great question.
[00:36:12.080 --> 00:36:15.560]   So I do, when we ask a question of the day of a story
[00:36:15.560 --> 00:36:17.160]   that might be controversial and we want to see
[00:36:17.160 --> 00:36:23.160]   where 50/50 response, half the people torn by this story
[00:36:23.160 --> 00:36:24.440]   or this story.
[00:36:24.440 --> 00:36:26.280]   And I like to see the responses from people.
[00:36:26.280 --> 00:36:28.840]   And we post a story on our Facebook page.
[00:36:28.840 --> 00:36:31.120]   You know, we'll get thousands of responses during the show.
[00:36:31.120 --> 00:36:34.160]   And it's great to see all those responses.
[00:36:34.160 --> 00:36:38.040]   But I don't go there for news, typically breaking news
[00:36:38.040 --> 00:36:38.680]   during the show.
[00:36:38.680 --> 00:36:40.040]   It just doesn't seem--
[00:36:40.040 --> 00:36:40.560]   You don't know.
[00:36:40.560 --> 00:36:42.040]   I don't ever see it in my feed.
[00:36:42.040 --> 00:36:43.880]   So I guess I don't-- because I don't see it in my feed,
[00:36:43.880 --> 00:36:44.680]   I don't think to go there.
[00:36:44.680 --> 00:36:47.760]   When I go on Facebook, the stuff that I end up seeing
[00:36:47.760 --> 00:36:50.400]   is old, you know, not old information,
[00:36:50.400 --> 00:36:52.200]   but it certainly doesn't feel like it's breaking.
[00:36:52.200 --> 00:36:54.320]   Robert would say that's your fault.
[00:36:54.320 --> 00:36:57.960]   Well, no, all you have to do is follow my tech news list.
[00:36:57.960 --> 00:37:00.440]   I've done that right, right?
[00:37:00.440 --> 00:37:02.400]   So you don't have to do the work.
[00:37:02.400 --> 00:37:04.160]   Tim, what's on my tech news list?
[00:37:04.160 --> 00:37:06.280]   So for instance, Robert, if I post something--
[00:37:06.280 --> 00:37:08.080]   I don't know if I'm in your tech news list.
[00:37:08.080 --> 00:37:09.720]   You sure are.
[00:37:09.720 --> 00:37:11.520]   But if I post something in there, for instance,
[00:37:11.520 --> 00:37:14.040]   I posted this Kickstarter project on this awesome butter
[00:37:14.040 --> 00:37:16.040]   knife that I want, and I want it right now.
[00:37:16.040 --> 00:37:16.520]   Yeah.
[00:37:16.520 --> 00:37:18.240]   And I flipped it from Flipboard,
[00:37:18.240 --> 00:37:20.640]   because I added it to my technology magazine on Flipboard.
[00:37:20.640 --> 00:37:21.800]   And it's awesome.
[00:37:21.800 --> 00:37:23.880]   So will that because it's--
[00:37:23.880 --> 00:37:26.320]   I mean, how does it-- you say your technology feed
[00:37:26.320 --> 00:37:28.560]   is fantastic, but how does your technology feed
[00:37:28.560 --> 00:37:33.720]   no to remove pictures of my kids and just put my butter knife?
[00:37:33.720 --> 00:37:34.960]   It does.
[00:37:34.960 --> 00:37:37.240]   Somehow, it's magic.
[00:37:37.240 --> 00:37:39.000]   Look, do you see kids photos?
[00:37:39.000 --> 00:37:40.120]   I mean, there's Dennis--
[00:37:40.120 --> 00:37:41.120]   I've seen no kids photos.
[00:37:41.120 --> 00:37:42.120]   There's no--
[00:37:42.120 --> 00:37:43.120]   There's no--
[00:37:43.120 --> 00:37:45.000]   I'm just fascinated by why that does it now.
[00:37:45.000 --> 00:37:47.080]   It knows when you talk about tech
[00:37:47.080 --> 00:37:50.360]   versus when you tag your kids in the photo.
[00:37:50.360 --> 00:37:53.280]   It's exactly how it works.
[00:37:53.280 --> 00:37:56.080]   I feel like no social media right now.
[00:37:56.080 --> 00:37:58.400]   I mean, look at my tech feed just right now.
[00:37:58.400 --> 00:37:59.400]   Seen that?
[00:37:59.400 --> 00:38:00.400]   Hackers.
[00:38:00.400 --> 00:38:01.600]   What are the dates and times of them?
[00:38:01.600 --> 00:38:02.000]   Some calendar.
[00:38:02.000 --> 00:38:02.880]   Are those all--
[00:38:02.880 --> 00:38:04.080]   24 minutes away.
[00:38:04.080 --> 00:38:04.600]   13 minutes.
[00:38:04.600 --> 00:38:05.840]   Those are all pretty current.
[00:38:05.840 --> 00:38:06.680]   Technology blogs on the news.
[00:38:06.680 --> 00:38:08.080]   Are you sorting that by recent?
[00:38:08.080 --> 00:38:09.200]   Or are you sorting it by--
[00:38:09.200 --> 00:38:11.240]   No, no, I am just clicking on the list.
[00:38:11.240 --> 00:38:13.080]   When it's a list, it's everything.
[00:38:13.080 --> 00:38:14.000]   It's not filtering.
[00:38:14.000 --> 00:38:15.440]   It's unfiltered, so it would be chronological.
[00:38:15.440 --> 00:38:16.520]   It's a code design.
[00:38:16.520 --> 00:38:17.280]   So it's chronological.
[00:38:17.280 --> 00:38:18.000]   Here's Moto.
[00:38:18.000 --> 00:38:19.480]   OK.
[00:38:19.480 --> 00:38:21.520]   Facebook Newswire.
[00:38:21.520 --> 00:38:25.040]   Well, I started this by saying Twitter won the earthquake.
[00:38:25.040 --> 00:38:25.560]   But--
[00:38:25.560 --> 00:38:28.600]   Here's the first thing that Jeremiah, who's an analyst--
[00:38:28.600 --> 00:38:30.080]   That's only how she did it wrong.
[00:38:30.080 --> 00:38:30.580]   Yeah.
[00:38:30.580 --> 00:38:31.400]   --has a wedding photo.
[00:38:31.400 --> 00:38:32.160]   See what I've done?
[00:38:32.160 --> 00:38:33.160]   It's a wedding photo.
[00:38:33.160 --> 00:38:35.200]   That's exciting.
[00:38:35.200 --> 00:38:36.360]   You're holding Facebook wrong.
[00:38:37.240 --> 00:38:39.120]   [LAUGHTER]
[00:38:39.120 --> 00:38:40.120]   It's an engine.
[00:38:40.120 --> 00:38:41.520]   Somebody actually had an interesting call
[00:38:41.520 --> 00:38:43.440]   on the radio show today because a guy said,
[00:38:43.440 --> 00:38:46.960]   all of a sudden, I have a very limited bandwidth
[00:38:46.960 --> 00:38:47.920]   because I'm using a MIFI.
[00:38:47.920 --> 00:38:50.360]   And all of a sudden, my way over the cap--
[00:38:50.360 --> 00:38:52.000]   and I realized it was because of the auto play
[00:38:52.000 --> 00:38:53.440]   videos on my Facebook stream.
[00:38:53.440 --> 00:38:56.120]   How do I turn that off?
[00:38:56.120 --> 00:38:58.120]   There is a way I found the setting.
[00:38:58.120 --> 00:38:59.160]   But that's interesting.
[00:38:59.160 --> 00:39:00.240]   I never think of that.
[00:39:00.240 --> 00:39:03.520]   But that is probably a significant increase in bandwidth use.
[00:39:03.520 --> 00:39:04.960]   Yeah, they said that they would basically
[00:39:04.960 --> 00:39:07.400]   do some caching on mobile devices when you're on Wi-Fi.
[00:39:07.400 --> 00:39:08.720]   But if you're using a MIFI, then it
[00:39:08.720 --> 00:39:10.760]   really has no idea whether or not you're actually
[00:39:10.760 --> 00:39:12.680]   on a local Wi-Fi connection or a remote one.
[00:39:12.680 --> 00:39:15.320]   So yeah, that's very unfortunate.
[00:39:15.320 --> 00:39:17.560]   The chat room is getting bored now.
[00:39:17.560 --> 00:39:19.760]   Oh, they've been bored since day one.
[00:39:19.760 --> 00:39:24.720]   That's a congenital condition.
[00:39:24.720 --> 00:39:25.560]   They're all nerds.
[00:39:25.560 --> 00:39:26.720]   They want to talk about real--
[00:39:26.720 --> 00:39:28.200]   We're all ADD.
[00:39:28.200 --> 00:39:30.160]   The truth is, I don't mind going on a little bit on this.
[00:39:30.160 --> 00:39:33.960]   A, because you and I have been offline talking about this.
[00:39:33.960 --> 00:39:37.160]   And I'm sincere in saying I would like you to come up,
[00:39:37.160 --> 00:39:41.080]   and we'll do a special on how to scobilize your Facebook.
[00:39:41.080 --> 00:39:43.600]   And you can tell-- you can coach me.
[00:39:43.600 --> 00:39:44.920]   And I would love to see this.
[00:39:44.920 --> 00:39:48.200]   At Rackspace, I'm having these arguments with my boss.
[00:39:48.200 --> 00:39:50.240]   He's really studying LinkedIn.
[00:39:50.240 --> 00:39:52.200]   And he sees a lot of value in LinkedIn.
[00:39:52.200 --> 00:39:52.800]   And--
[00:39:52.800 --> 00:39:54.240]   I think what I might come away with
[00:39:54.240 --> 00:39:57.040]   is that, look, no social network is perfect for any one
[00:39:57.040 --> 00:39:58.280]   purpose.
[00:39:58.280 --> 00:40:00.840]   But each of us has--
[00:40:00.840 --> 00:40:04.720]   I think most people now use all as many as possible
[00:40:04.720 --> 00:40:07.600]   in different ways and are satisfied in different ways,
[00:40:07.600 --> 00:40:08.280]   right?
[00:40:08.280 --> 00:40:09.200]   Three or four.
[00:40:09.200 --> 00:40:10.120]   I don't think so.
[00:40:10.120 --> 00:40:15.040]   Most people have Snapchat and Facebook and LinkedIn,
[00:40:15.040 --> 00:40:19.160]   maybe Google+, but--
[00:40:19.160 --> 00:40:20.720]   I actually re-upped at LinkedIn.
[00:40:20.720 --> 00:40:22.120]   I had deleted my LinkedIn at cats.
[00:40:22.120 --> 00:40:22.520]   I thought--
[00:40:22.520 --> 00:40:26.000]   I think people aren't on a lot of social networks are weird.
[00:40:26.000 --> 00:40:28.000]   Well, they think you're weird, Robert.
[00:40:28.000 --> 00:40:29.000]   Exactly.
[00:40:29.000 --> 00:40:31.400]   It's pretty much mutual.
[00:40:31.400 --> 00:40:32.240]   We're going to take a break.
[00:40:32.240 --> 00:40:33.280]   Robert Scoville is here.
[00:40:33.280 --> 00:40:34.880]   Tim Stevens is here.
[00:40:34.880 --> 00:40:38.080]   We got Clayton Morris out at Lake Tinky Wink.
[00:40:38.080 --> 00:40:39.520]   How's the Read Quick app doing?
[00:40:39.520 --> 00:40:41.320]   Doing well?
[00:40:41.320 --> 00:40:42.240]   It was doing well.
[00:40:42.240 --> 00:40:45.600]   It was actually chosen as the app of the week a few weeks
[00:40:45.600 --> 00:40:47.400]   ago for a week.
[00:40:47.400 --> 00:40:49.680]   So that was insane.
[00:40:49.680 --> 00:40:52.160]   Do you get paid even though they're giving it away
[00:40:52.160 --> 00:40:53.440]   when they do that?
[00:40:53.440 --> 00:40:54.360]   No, no.
[00:40:54.360 --> 00:40:59.720]   But to have many, many millions of people
[00:40:59.720 --> 00:41:02.040]   download the app and people all over the world
[00:41:02.040 --> 00:41:03.520]   write in just wonderful things.
[00:41:03.520 --> 00:41:06.520]   I mean, I was blown away by the response from people, really,
[00:41:06.520 --> 00:41:06.880]   really.
[00:41:06.880 --> 00:41:11.520]   It was just such a special week in seeing people who maybe
[00:41:11.520 --> 00:41:12.960]   couldn't afford the app before saying,
[00:41:12.960 --> 00:41:14.880]   I couldn't afford it before, but this really
[00:41:14.880 --> 00:41:18.400]   has changed the way that I read the papers for school now.
[00:41:18.400 --> 00:41:20.200]   And it was really, really touching,
[00:41:20.200 --> 00:41:23.320]   because I built it as, as you know, just as a scratch your own itch
[00:41:23.320 --> 00:41:24.160]   thing for myself.
[00:41:24.160 --> 00:41:27.960]   And it just to see, like, millions of responses from people
[00:41:27.960 --> 00:41:29.400]   was just so--
[00:41:29.400 --> 00:41:29.880]   Yeah.
[00:41:29.880 --> 00:41:31.280]   Are you going to pull up Kevin Rose?
[00:41:31.280 --> 00:41:34.160]   Are you going to drop out of the television business
[00:41:34.160 --> 00:41:37.400]   and go whole hog on apps?
[00:41:37.400 --> 00:41:38.360]   No, no, no.
[00:41:38.360 --> 00:41:38.880]   Do you see Kevin?
[00:41:38.880 --> 00:41:39.200]   Did that?
[00:41:39.200 --> 00:41:41.040]   He's kind of stepped back at Google Ventures.
[00:41:41.040 --> 00:41:41.840]   Yeah.
[00:41:41.840 --> 00:41:42.680]   He's building an app.
[00:41:42.680 --> 00:41:46.480]   He just post pictures last night of them staying up late,
[00:41:46.480 --> 00:41:47.360]   writing something.
[00:41:47.360 --> 00:41:49.040]   We don't know what.
[00:41:49.040 --> 00:41:52.160]   No, I loved television since I was a little kid sneaking
[00:41:52.160 --> 00:41:54.680]   downstairs and watching Carson and Letterman.
[00:41:54.680 --> 00:41:57.280]   So it's in my blood to be intelligent.
[00:41:57.280 --> 00:42:00.480]   I built Read Quick as a way to supplement and read news
[00:42:00.480 --> 00:42:01.600]   fast for my job.
[00:42:01.600 --> 00:42:03.640]   So it's really a supplement for that.
[00:42:03.640 --> 00:42:05.000]   But it's doing really well.
[00:42:05.000 --> 00:42:06.400]   I'm really curious.
[00:42:06.400 --> 00:42:07.840]   And we can talk about this later, just
[00:42:07.840 --> 00:42:09.880]   with the different size iPhones, how this--
[00:42:09.880 --> 00:42:11.760]   I was thinking about this this week, really,
[00:42:11.760 --> 00:42:15.240]   what is the definition of the universal app anymore
[00:42:15.240 --> 00:42:19.040]   with the different phone sizes, 5.5 inch screen, 4.7 inch
[00:42:19.040 --> 00:42:20.440]   iPad mini, iPad Air.
[00:42:20.440 --> 00:42:22.720]   So what does that mean anymore?
[00:42:22.720 --> 00:42:25.400]   What features do you not enable for a larger screen, smaller
[00:42:25.400 --> 00:42:28.360]   screen, so kind of going through that right now?
[00:42:28.360 --> 00:42:31.520]   That's a good topic for when we come back.
[00:42:31.520 --> 00:42:33.440]   We are getting close to--
[00:42:33.440 --> 00:42:34.880]   we think, to an iPhone launch.
[00:42:34.880 --> 00:42:36.800]   We wonder what September 9th will bring.
[00:42:36.800 --> 00:42:38.040]   Let's talk about it.
[00:42:38.040 --> 00:42:40.080]   But first a word from Gazelle.
[00:42:40.080 --> 00:42:43.520]   If you've got an iPhone, I got a tip for you.
[00:42:43.520 --> 00:42:45.640]   It is likely we're going to see new phones from Motorola
[00:42:45.640 --> 00:42:49.400]   next week, a new iPhone in two weeks, perhaps new phones,
[00:42:49.400 --> 00:42:52.000]   the Galaxy Note 4 in the next couple of weeks.
[00:42:52.000 --> 00:42:54.840]   EFA is coming up, and Berlin will probably see new stuff there.
[00:42:54.840 --> 00:42:57.560]   And I could tell you one thing for sure.
[00:42:57.560 --> 00:42:59.080]   The minute they announce a new iPhone,
[00:42:59.080 --> 00:43:01.520]   your current iPhone is going to drop in value.
[00:43:01.520 --> 00:43:02.800]   It's dropping right now.
[00:43:02.800 --> 00:43:05.280]   Go to Gazelle and lock that value in.
[00:43:05.280 --> 00:43:08.880]   This is your chance to get some money for your old stuff
[00:43:08.880 --> 00:43:13.640]   to help pay for the new stuff, G-A-Z-E-L-L-E.com.
[00:43:13.640 --> 00:43:17.360]   You very likely have a few other gadgets in your gadget
[00:43:17.360 --> 00:43:19.040]   drawer that you're not using.
[00:43:19.040 --> 00:43:22.760]   Think of it as bundles of greenbacks in that drawer,
[00:43:22.760 --> 00:43:24.800]   just sitting there collecting dust.
[00:43:24.800 --> 00:43:25.920]   This could be money.
[00:43:25.920 --> 00:43:28.600]   Right now, by the way, when you lock in the price
[00:43:28.600 --> 00:43:29.720]   for your iPhone, they're going to extend it.
[00:43:29.720 --> 00:43:30.720]   Normally, it's 30 days.
[00:43:30.720 --> 00:43:32.720]   They're going to extend it all the way to October 10th,
[00:43:32.720 --> 00:43:35.080]   giving you time no matter when the ship date is
[00:43:35.080 --> 00:43:37.680]   on the new iPhone, no matter how long the lines are,
[00:43:37.680 --> 00:43:40.920]   to get that new iPhone, get your data transferred over,
[00:43:40.920 --> 00:43:42.800]   and then ship the iPhone back.
[00:43:42.800 --> 00:43:45.560]   But that price will be the price from today.
[00:43:45.560 --> 00:43:46.960]   And that's the beauty part.
[00:43:46.960 --> 00:43:50.040]   Go to G-A-Z-E-L-L-E.com and sell your cell phone,
[00:43:50.040 --> 00:43:53.920]   your tablet, your iPad, your Surface, your Apple computer,
[00:43:53.920 --> 00:43:56.080]   your Samsung, your Galaxy.
[00:43:56.080 --> 00:43:57.800]   All of that, they'll buy it.
[00:43:57.800 --> 00:43:59.280]   And there's three ways you can get paid.
[00:43:59.280 --> 00:44:00.840]   You can get a check.
[00:44:00.840 --> 00:44:02.200]   If you just want, you know, the standard just
[00:44:02.200 --> 00:44:03.640]   will send you a check.
[00:44:03.640 --> 00:44:06.400]   You can get a PayPal credit.
[00:44:06.400 --> 00:44:07.400]   That's a little more quick.
[00:44:07.400 --> 00:44:09.400]   And if you buy a lot of stuff on Amazon,
[00:44:09.400 --> 00:44:10.520]   I'd get the Amazon gift card,
[00:44:10.520 --> 00:44:12.360]   because they bumped that up by 5%.
[00:44:12.360 --> 00:44:15.360]   Let's see, but let's just see what an old iPad mini
[00:44:15.360 --> 00:44:17.040]   is worth today.
[00:44:17.040 --> 00:44:20.800]   My 5 iPad mini, $16, $110.
[00:44:20.800 --> 00:44:22.160]   That's like just sitting in the drawer.
[00:44:22.160 --> 00:44:24.120]   Wouldn't you, you know, get this,
[00:44:24.120 --> 00:44:26.200]   and you're locking it in for 30 days.
[00:44:26.200 --> 00:44:27.800]   Actually, you're locking it in if it's an iPhone
[00:44:27.800 --> 00:44:29.160]   until October 10th.
[00:44:29.160 --> 00:44:30.480]   Now, when you get the new phone
[00:44:30.480 --> 00:44:32.200]   and you're ready to ship the old phone in,
[00:44:32.200 --> 00:44:35.800]   check out, and they'll send you a box prepaid postage.
[00:44:35.800 --> 00:44:37.440]   If you forget to wipe the data, don't worry.
[00:44:37.440 --> 00:44:40.200]   They'll do it for you, then they'll send you the money.
[00:44:40.200 --> 00:44:42.480]   It's a really great way to sell your gadgets.
[00:44:42.480 --> 00:44:44.320]   The fast and simple way.
[00:44:44.320 --> 00:44:47.480]   If you're upgrading to a new iPad, new MacBook,
[00:44:47.480 --> 00:44:50.600]   do it with Gazelle, G-A-Z-E-L-L-E.
[00:44:50.600 --> 00:44:51.880]   But again, do not delay,
[00:44:51.880 --> 00:44:54.520]   'cause those gadgets are not gaining in value.
[00:44:54.520 --> 00:44:55.760]   And the minute the announcement happens,
[00:44:55.760 --> 00:44:57.160]   they're gonna plummet.
[00:44:57.160 --> 00:44:58.760]   What?
[00:44:58.760 --> 00:45:01.200]   5S with worth how much unlocked?
[00:45:01.200 --> 00:45:02.560]   300 bucks.
[00:45:02.560 --> 00:45:03.860]   I'm gonna make money.
[00:45:03.860 --> 00:45:06.480]   I'm gonna make money.
