;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[00:37:39.120 --> 00:37:45.040]   Of course you get pre portion ingredients that means less food waste you use exactly what you've got no more
[00:37:45.040 --> 00:37:49.360]   No less and these great recipe cards with step-by-step instructions
[00:37:49.360 --> 00:37:52.400]   Make it really easy and they even you even see
[00:37:52.400 --> 00:37:55.120]   You know some alternative
[00:37:55.120 --> 00:38:00.960]   You could add for instance, you know, uh, uh, uh, vegetarian option on this they've got all the steps
[00:38:00.960 --> 00:38:03.600]   For you, which makes it very easy
[00:38:03.600 --> 00:38:06.960]   To learn how to cook some amazing things like
[00:38:07.520 --> 00:38:09.520]   a tangy key lime pie
[00:38:09.520 --> 00:38:15.600]   They even have now hello fresh market, which makes summer entertaining a cinch
[00:38:15.600 --> 00:38:20.400]   I'm dying to try the backyard bratwurst bar. Maybe we'll do that next weekend
[00:38:20.400 --> 00:38:24.320]   Make your home the hangout place this summer with crowd pleasing eats
[00:38:24.320 --> 00:38:27.680]   Hello fresh. Make sure you get peak time summer produce
[00:38:27.680 --> 00:38:30.000]   All season long
[00:38:30.000 --> 00:38:33.120]   As I said from the farm to your door in less than seven days
[00:38:33.120 --> 00:38:36.480]   That makes a such a difference fresh is amazing
[00:38:36.800 --> 00:38:38.800]   They're it's right in the name
[00:38:38.800 --> 00:38:43.680]   Hello fresh offers more than just delicious dinners is now easier than ever to add snacks sides and more to your weekly order
[00:38:43.680 --> 00:38:46.880]   With a curated selection of more than a hundred items
[00:38:46.880 --> 00:38:49.680]   They also have lunch
[00:38:49.680 --> 00:38:56.560]   They've got calorie smart and protein smart lunch and dinner options plus new vegan dinners to choose from hello fresh
[00:38:56.560 --> 00:38:59.520]   Makes it easy to eat healthy with delicious recipes
[00:38:59.520 --> 00:39:02.560]   Let hello fresh do the meal planning
[00:39:02.960 --> 00:39:08.560]   Deliver the ingredients everything you need in that box to whip up a delicious meal right at your doorstep
[00:39:08.560 --> 00:39:11.360]   And oh by the way
[00:39:11.360 --> 00:39:14.560]   If you and I think we got this habit during the quarantine
[00:39:14.560 --> 00:39:18.800]   You just kind of oh, I don't want to cook let me let me let we'll just sort of take out
[00:39:18.800 --> 00:39:23.280]   Hello fresh is 25 cheap cheaper than takeout and ready faster
[00:39:23.280 --> 00:39:28.000]   Because there are fast and fresh recipes that are ready in 15 minutes or less
[00:39:29.040 --> 00:39:32.880]   That's fast and cost less it gives you the options
[00:39:32.880 --> 00:39:37.760]   You want when it comes to what makes for to make for dinner not just the same old thing all the time
[00:39:37.760 --> 00:39:43.520]   That's why they offer 40 recipes to choose from every week every week
[00:39:43.520 --> 00:39:49.520]   So you never get bored you can always find something new to try and love I love it. Hello fresh. No wonder it's america's number one
[00:39:49.520 --> 00:39:53.360]   Meal kit go to hello fresh.com slash twit 50
[00:39:53.360 --> 00:39:58.720]   And use the code twit five oh twit 50 for get this 50% off
[00:39:59.520 --> 00:40:01.520]   and free shipping
[00:40:01.520 --> 00:40:05.760]   I know you want to try this hello fresh.com slash twit
[00:40:05.760 --> 00:40:12.160]   50 and don't forget the offer code twit 50 for 50% off plus free shipping
[00:40:12.160 --> 00:40:15.920]   Maybe this week you could say hello fresh
[00:40:15.920 --> 00:40:22.240]   Uh speaking of shopping it was prime day now tell me a bra that you at least
[00:40:22.240 --> 00:40:25.440]   Bought something on prime day
[00:40:26.000 --> 00:40:28.000]   You're like please contribute something to this pen
[00:40:28.000 --> 00:40:31.120]   No, no, I just want to make sure you're human. That's all
[00:40:31.120 --> 00:40:40.640]   I am a human. I did buy okay. I tried to resist, but I did buy one thing from uh from prime day. I got a um like a
[00:40:40.640 --> 00:40:43.520]   Max a wallet for for the back of my phone
[00:40:43.520 --> 00:40:46.720]   Um and that felt like a practical thing to purchase
[00:40:46.720 --> 00:40:53.200]   Um, so that yeah, that was my contribution, but I I'm proud of myself. I didn't know no big purchases
[00:40:53.600 --> 00:40:56.960]   Uh, you know, we were very reasonable, which is good actually
[00:40:56.960 --> 00:40:59.760]   You should be proud of yourself if you don't
[00:40:59.760 --> 00:41:07.440]   Buy stuff on prime day. I read a very interesting expose of an ottoman as an example
[00:41:07.440 --> 00:41:12.880]   That was sold and uh fulfilled by amazon. It was an amazon choice
[00:41:12.880 --> 00:41:17.520]   You know what an ottoman is it's one of those things you put in front of a chair you put your feet on
[00:41:17.520 --> 00:41:21.760]   And uh, it was 37 percent off for prime day
[00:41:22.480 --> 00:41:27.520]   But people the the people writing the blog post used camel camel camel and they went back in time
[00:41:27.520 --> 00:41:31.120]   That's a really good tool to use before prime day to look at the price
[00:41:31.120 --> 00:41:35.920]   The price was for the longest time that the 30 percent off
[00:41:35.920 --> 00:41:40.400]   Just the week before prime day amazon raises it to 113 bucks
[00:41:40.400 --> 00:41:45.440]   So that they can lower it in prime day. You're not really getting a deal in many cases
[00:41:45.440 --> 00:41:49.280]   Right. Do people not know this?
[00:41:50.960 --> 00:41:52.960]   I think people don't know it. Yeah
[00:41:52.960 --> 00:42:00.880]   Well, it works me try to cover it like we had like how to guys i'm using camel camel camel telling people that and like
[00:42:00.880 --> 00:42:06.400]   Obviously with my job. We had to I like and do prime day like anybody else
[00:42:06.400 --> 00:42:11.280]   And so but we only focused on those deals where something was truly reduced
[00:42:11.280 --> 00:42:17.280]   So that you know, we weren't kind of like leading on customers like oh it's the lowest price ever when it's been that price for a while
[00:42:17.280 --> 00:42:19.280]   But it's true. I mean a lot of those prices
[00:42:20.160 --> 00:42:25.040]   weren't lower than they had been or they've already been at that price before or
[00:42:25.040 --> 00:42:30.480]   They're at the same price right now. You know the prime days. Oh, right. So yeah, it's a tricky thing
[00:42:30.480 --> 00:42:36.880]   This I wish I could find this article this article pointed out that if you are an amazon affiliate as almost everybody as we are not
[00:42:36.880 --> 00:42:43.920]   But if you are an amazon affiliate, you're not allowed to disparage amazon or you'll lose your affiliate status
[00:42:43.920 --> 00:42:46.720]   so publications
[00:42:46.720 --> 00:42:49.600]   Are kind of incited not to talk about this
[00:42:50.480 --> 00:42:53.600]   Secret this open secret that prime day deals are often not
[00:42:53.600 --> 00:42:55.520]   prime
[00:42:55.520 --> 00:42:56.880]   deals
[00:42:56.880 --> 00:42:59.200]   We could talk about it because they can't take away my affiliates
[00:42:59.200 --> 00:43:02.640]   I won't make any of you say anything
[00:43:02.640 --> 00:43:10.000]   But this I should have probably made bigger deal about this last week than than now after you've all bought your
[00:43:10.000 --> 00:43:13.280]   12 billion dollars
[00:43:14.560 --> 00:43:20.160]   On amazon prime day sales up 6.1 percent. They thought it'd be even bigger
[00:43:20.160 --> 00:43:23.920]   12.7 billion dollars in two days
[00:43:23.920 --> 00:43:30.000]   Uh, this is according to adobe which weirdly keeps track of this kind of stuff
[00:43:30.000 --> 00:43:36.080]   A big a big number and this worries me a little bit of customers used by now pay later
[00:43:36.080 --> 00:43:39.520]   Oof. Yeah, oof
[00:43:39.520 --> 00:43:42.240]   Why is that oof?
[00:43:42.880 --> 00:43:46.640]   I mean, I agree with you. I'm just gonna give you a chance to explain it. Yeah
[00:43:46.640 --> 00:43:51.600]   Historically americans have been bad with getting into debt over credits
[00:43:51.600 --> 00:43:54.720]   Yeah, now during the pandemic famously that went down
[00:43:54.720 --> 00:43:57.360]   So much people were worried
[00:43:57.360 --> 00:44:02.640]   Quote quote worried that you know, oh my god households now have reserved income and not
[00:44:02.640 --> 00:44:04.640]   What?
[00:44:04.640 --> 00:44:06.640]   Yeah, like we can't have that in america
[00:44:07.120 --> 00:44:12.960]   But luckily for the financial institutions at a sense reversed and now the numbers are going back up again
[00:44:12.960 --> 00:44:19.280]   Basically households are over stretching themselves on credit once again and these pay now
[00:44:19.280 --> 00:44:22.400]   Pay later things are very convenient
[00:44:22.400 --> 00:44:28.880]   So you don't need uh, you know to put on your credit card and you just click it and it kind of goes through and it's a little bit more
[00:44:28.880 --> 00:44:34.320]   Strict on you know, we have four payments. You got to make it but there is no interest usually right
[00:44:34.480 --> 00:44:40.400]   So you're not getting at least you're not paying an 18 19% interest as you would with a credit card and in that sense
[00:44:40.400 --> 00:44:46.640]   If you can pay it off in those installments, right? You're good, but
[00:44:46.640 --> 00:44:51.360]   It's tempting to buy more than you can afford if you don't have the money now to buy it
[00:44:51.360 --> 00:44:54.000]   Should you be buying it?
[00:44:54.000 --> 00:44:56.400]   You know in two months or whatever?
[00:44:56.400 --> 00:44:59.040]   Right. Yeah
[00:44:59.040 --> 00:45:01.040]   Nevertheless a huge success
[00:45:01.920 --> 00:45:04.720]   People apparently think it's a deal although I have to say
[00:45:04.720 --> 00:45:08.800]   I had to laugh at what what people are buying
[00:45:08.800 --> 00:45:11.360]   USA today had a list of the
[00:45:11.360 --> 00:45:12.960]   top
[00:45:12.960 --> 00:45:14.080]   Products
[00:45:14.080 --> 00:45:20.400]   Anybody want to take a guess if you didn't see if you saw this article don't but of the top products purchased on amazon prime day
[00:45:20.400 --> 00:45:23.040]   You know what the number one product was
[00:45:23.040 --> 00:45:24.560]   Anybody
[00:45:24.560 --> 00:45:25.760]   I have a tip
[00:45:25.760 --> 00:45:27.760]   cat treats
[00:45:27.760 --> 00:45:31.200]   That's practical. Okay. Number one makes sense temptation catries
[00:45:31.280 --> 00:45:33.600]   So I'm reading this article yesterday morning at breakfast
[00:45:33.600 --> 00:45:35.920]   and look up
[00:45:35.920 --> 00:45:41.120]   And I see exactly that same thing on the table. That's what we give our cats
[00:45:41.120 --> 00:45:45.840]   Said lisa. I hope you paid only 11 dollars and 12 cents at amazon
[00:45:45.840 --> 00:45:50.800]   For the temptation catred the none of all the things you could buy on prime day
[00:45:50.800 --> 00:45:53.360]   That was number one
[00:45:53.360 --> 00:45:55.360]   Gotta look out for the cats
[00:45:55.360 --> 00:45:57.920]   But you know, it's interesting too because that's the thing about
[00:45:58.640 --> 00:46:01.440]   You know what we talked about a lot with with prime day was
[00:46:01.440 --> 00:46:04.480]   It's not just the time to buy the big ticket item
[00:46:04.480 --> 00:46:08.400]   It's the time to stock up on toilet paper or batteries or whatever you know you're getting
[00:46:08.400 --> 00:46:13.920]   It's gonna be on sale that you know what the price is normally so you know that you're actually getting a deal
[00:46:13.920 --> 00:46:19.840]   Exactly. Don't buy automates on prime day in other words. Yeah, don't do that. That's what we learned today. Yes
[00:46:19.840 --> 00:46:24.480]   We don't do that cat treats. Okay. I bought you know what I bought razor blades because I know how much
[00:46:25.120 --> 00:46:29.680]   They cost and they were down like a buck 60 razor blade and I thought oh, that's a deal
[00:46:29.680 --> 00:46:32.640]   So I stocked up on those. I didn't buy like thousands
[00:46:32.640 --> 00:46:36.240]   I'm thinking I should grow a beard maybe but anyway
[00:46:36.240 --> 00:46:39.200]   But I bought a few months worth. Let's put it that way
[00:46:39.200 --> 00:46:44.160]   So I did I fell for it too and I don't know if lisa bought these correct. Yeah razor blades on ebay
[00:46:44.160 --> 00:46:47.200]   Oh, yeah, that's where you get that used. Yeah, they fall
[00:46:47.200 --> 00:46:52.160]   All the ones that fell off the truck you get really big discounts on
[00:46:52.720 --> 00:46:55.200]   Really? I'm telling you is that your secret?
[00:46:55.200 --> 00:47:03.360]   Yeah, any kind of cosmetic stuff if you go on ebay, I can guarantee you you can find it. Here's a razor blade sharpener
[00:47:03.360 --> 00:47:06.080]   I don't think that's a good idea
[00:47:06.080 --> 00:47:12.880]   But they have the jolettes on there and stuff and yeah, but are they really that's my question. Are they really? Yeah
[00:47:12.880 --> 00:47:20.320]   You know the worst thing i'll buy something on amazon. I won't pay close attention and it comes from some guy's house
[00:47:21.280 --> 00:47:25.920]   And you could tell like it's packaged like some guy went to costco
[00:47:25.920 --> 00:47:33.360]   Bought a bunch of it broke it up put it in packages and sent it and it's like I am a sucker. I fell for it again
[00:47:33.360 --> 00:47:37.040]   Sounds like a great business strategy though. Maybe I need to
[00:47:37.040 --> 00:47:38.000]   I think a lot of people
[00:47:38.000 --> 00:47:38.880]   I'm so
[00:47:38.880 --> 00:47:44.800]   No, I saw it on twitter drop shift drop shipping make millions in drop shipping. Yeah
[00:47:44.800 --> 00:47:48.800]   You don't even have to have them at your house. You could just have somebody else ship it just
[00:47:49.520 --> 00:47:54.480]   Be them. I went down to rabbit hole and found found some weird stuff. So there's I think I even forgot the name of it
[00:47:54.480 --> 00:48:01.520]   There's a cereal that I really like that only comes out in the fall. It's like a pumpkins. Oh, it's a pumpkin spice. Oh lord, not you
[00:48:01.520 --> 00:48:04.240]   Oh
[00:48:04.240 --> 00:48:07.520]   Yeah, now is that cheerios though they do too, but yeah
[00:48:07.520 --> 00:48:13.760]   I've got the brand but they it's only out for a couple weeks and everybody buys them up and then they're gone
[00:48:13.760 --> 00:48:18.640]   You I bet you drink like selling cocks. I bet you drink grimace shakes as well
[00:48:19.600 --> 00:48:27.280]   Is it try that? Yeah, I am careful. Yeah, so special king has a pumpkin spice crunch. Yeah, that's it. Yes special king
[00:48:27.280 --> 00:48:31.200]   Okay, well this is a little bit so the box like 20 bucks
[00:48:31.200 --> 00:48:38.160]   It's a collector's a it says limited edition. It's a special
[00:48:38.160 --> 00:48:40.800]   collector's item. I was like
[00:48:40.800 --> 00:48:45.680]   I was such a whack job. I bought like seven boxes at Target and I had the uh lord
[00:48:46.320 --> 00:48:50.080]   I ordered online to pick up in the store. So it's a kind of weird
[00:48:50.080 --> 00:48:54.800]   How many boxes is it a take to get really sick of pumpkin spice?
[00:48:54.800 --> 00:48:57.760]   None. I can't wait for this you
[00:48:57.760 --> 00:49:00.560]   I love fall. It's when
[00:49:00.560 --> 00:49:06.720]   Because there's a scent of bath and body works. That's only it's like a leaves
[00:49:06.720 --> 00:49:09.440]   It's called leaves, but it smells a lot better than leaves. I promise
[00:49:09.440 --> 00:49:12.720]   But it's only in the fall and then I restock through amazon or ebay
[00:49:12.720 --> 00:49:15.760]   I just got a shipment in and I don't know if it's real, but it smells like it
[00:49:15.760 --> 00:49:18.000]   So pumpkin spice baby
[00:49:18.000 --> 00:49:24.400]   Prime day was created not so long ago 2015
[00:49:24.400 --> 00:49:27.520]   To sell prime subscriptions
[00:49:27.520 --> 00:49:31.120]   And it has now turned into the I think the biggest shopping
[00:49:31.120 --> 00:49:34.480]   It's I think it's almost as big now as a black friday 12
[00:49:34.480 --> 00:49:37.280]   billion dollars in two days
[00:49:37.280 --> 00:49:41.760]   The biggest thing too is not it's prime day, but we end up covering
[00:49:42.240 --> 00:49:46.240]   You know since we cover pc singles day hp del lino bo
[00:49:46.240 --> 00:49:50.640]   Everybody's it's become a cultural thing, right? That was just the amazon sales
[00:49:50.640 --> 00:49:53.120]   Yeah, but everybody does prime day deals
[00:49:53.120 --> 00:49:58.000]   Last week that's why i was doing on yeah, yeah best by had the three day deals
[00:49:58.000 --> 00:50:03.120]   And and you know as a website we end up often getting better revenue through those guys the namas
[00:50:03.120 --> 00:50:09.040]   That's kind of everybody. Yeah, but yeah, it's uh, it's really interesting how much it's grown into like a shopping
[00:50:09.760 --> 00:50:15.360]   Black friday basically it's like another black friday, which of course fits into american consumers imperfectly. Yeah
[00:50:15.360 --> 00:50:23.360]   Yeah, that's right target everybody. Yeah, yeah online sales in general or up 6% in the first day not just on amazon
[00:50:23.360 --> 00:50:29.520]   But uh, but everywhere according to blunberg home goods and household essentials
[00:50:29.520 --> 00:50:37.040]   It was a good timing because inflation is finally dropping now even I noticed food prices are finally going back down
[00:50:37.360 --> 00:50:40.640]   I do wonder how much of these numbers were adjusted for inflation though
[00:50:40.640 --> 00:50:45.680]   Uh in terms of the money brought in so because some of these items are still I think
[00:50:45.680 --> 00:50:48.240]   Price tired than they might have been two years ago
[00:50:48.240 --> 00:50:54.240]   But I think consumers are feeling a little bit of economic relief now so they might have uh felt more comfortable spending stuff
[00:50:54.240 --> 00:51:01.040]   It's also interesting to think about the timing because for black friday at least people can get a head start on their holiday shopping
[00:51:01.040 --> 00:51:04.000]   So there's an incentive here. What are they buying this is for them and then now?
[00:51:04.240 --> 00:51:08.800]   It's just yeah, it's like what do I want? Let me just buy all this stuff from it. Let me treat myself and my cats apparently
[00:51:08.800 --> 00:51:12.960]   Jason howl said there were pumpkin spiced Oreos
[00:51:12.960 --> 00:51:20.880]   Yeah 2018 he said they he rated it a 2.5 out of a 10. I don't oh man
[00:51:20.880 --> 00:51:23.680]   Not sure. It's rough now. I have to try
[00:51:23.680 --> 00:51:31.680]   I had on my twitter. I was I was buying all the pumpkin spice like weird things like there's pumpkin spice butter pumpkin spice hummus
[00:51:32.400 --> 00:51:35.440]   Uh whiskey, that's like a fun site
[00:51:35.440 --> 00:51:38.480]   Yeah
[00:51:38.480 --> 00:51:41.520]   Is it can I ask a dumb question, but I don't
[00:51:41.520 --> 00:51:48.320]   There's no pumpkin and pumpkin spice right now. It's all spice. Yeah, it's all spice for pumpkin pie
[00:51:48.320 --> 00:51:51.920]   But there's no it's called, but there's no pumpkin involved
[00:51:51.920 --> 00:51:55.120]   No, that's first. I know
[00:51:55.120 --> 00:51:57.920]   So maybe i'll do it on the cinnamon out next time
[00:51:58.240 --> 00:52:03.680]   Back into pumpkin spice and there. Yeah. Yeah now we're now we're really talking
[00:52:03.680 --> 00:52:09.920]   Uh, all right. That's enough. That's enough of that
[00:52:09.920 --> 00:52:19.520]   Uh amazon though. I don't know if you know is a v-lop of a v very large online platform. This is according to the
[00:52:19.520 --> 00:52:22.080]   EU
[00:52:22.080 --> 00:52:24.640]   uh the EU named 17 companies
[00:52:26.400 --> 00:52:31.760]   to be uh regulated under the digital services act the anomaly these are
[00:52:31.760 --> 00:52:34.880]   uh any company that has that
[00:52:34.880 --> 00:52:37.920]   has is a social well
[00:52:37.920 --> 00:52:45.360]   a platform v-lop has according to the dsa has added responsibilities to protect their users from illegal content
[00:52:45.360 --> 00:52:48.160]   And products hate speech and so forth
[00:52:48.160 --> 00:52:51.920]   So amazon's response is your rata
[00:52:54.480 --> 00:53:00.960]   Why are you calling us a very large online platform? I love the registers headline obscure internet boutique amazon
[00:53:00.960 --> 00:53:04.160]   Suzy you for calling it a very large
[00:53:04.160 --> 00:53:07.760]   online platform amazon said but we're a retailer
[00:53:07.760 --> 00:53:10.720]   We're not a social network. Well
[00:53:10.720 --> 00:53:13.760]   Okay
[00:53:13.760 --> 00:53:19.600]   If you say so pretty close amazon's number one businesses advertising i think
[00:53:19.600 --> 00:53:22.800]   Uh an advertising is certainly covered
[00:53:23.440 --> 00:53:25.440]   by v-lops
[00:53:25.440 --> 00:53:27.440]   so
[00:53:27.440 --> 00:53:32.880]   In any event, I you know, this is one of those another one of those regulations where the companies fight fight fight and that
[00:53:32.880 --> 00:53:42.080]   The v-lops are ali bob is ali express. Yeah, they sell stuff amazon store apple's app store booking.com facebook
[00:53:42.080 --> 00:53:45.680]   google play google maps google shopping
[00:53:45.680 --> 00:53:50.160]   instagram linked in pinterest snapchat tiktok
[00:53:51.280 --> 00:53:56.640]   Abra your favorite twitter wikipedia youtube my addiction and zalando
[00:53:56.640 --> 00:54:01.440]   You still addicted twitter on there twitter's on here you bet why
[00:54:01.440 --> 00:54:09.280]   You know there there's some thought the twitter is doing so poorly that the producer they're gonna shrink beneath the the minimum
[00:54:09.280 --> 00:54:11.760]   revenue
[00:54:11.760 --> 00:54:13.440]   levels
[00:54:13.440 --> 00:54:16.640]   Elon announced or no i was always one of those go ahead
[00:54:16.640 --> 00:54:21.120]   That's like i say it was always one the smallest social network i don't think it's just it's uh
[00:54:22.080 --> 00:54:28.160]   It's just it has a lot of reach and media that's the difference, but it's actual usage is pretty small
[00:54:28.160 --> 00:54:36.000]   Elon says twitter is in its in negative cash flow because they lost 50 percent of their advertising
[00:54:36.000 --> 00:54:38.880]   Um, oh one of my yeah
[00:54:38.880 --> 00:54:42.080]   My fault
[00:54:42.080 --> 00:54:48.880]   So there's some question about why he announced this like why would you announce? Oh, yeah, we're failing
[00:54:49.280 --> 00:54:53.920]   There's some question that maybe he's planning to get out of this whole thing by declaring bankruptcy
[00:54:53.920 --> 00:55:00.880]   Uh, it's been wanting to get out since the beginning. I think he never wanted to buy it. Yeah. Yeah since before
[00:55:00.880 --> 00:55:03.440]   Yeah
[00:55:03.440 --> 00:55:07.200]   Well, it would be sad if twitter went away
[00:55:07.200 --> 00:55:12.720]   But more because of its history than the way it is now you y'all still use it
[00:55:12.720 --> 00:55:14.720]   No
[00:55:14.720 --> 00:55:19.200]   I have a i mean i'm on there i share things and you kind of have to follow
[00:55:19.200 --> 00:55:23.120]   Motion right i guess that's the yeah, I use it for that and if people
[00:55:23.120 --> 00:55:29.760]   Message me, you know or respond to something. I I took the courtesy to respond to them. I won't say though
[00:55:29.760 --> 00:55:32.000]   My usage
[00:55:32.000 --> 00:55:37.680]   Especially for personal stuff has gone way down, you know, and I don't check it as much nearly as much
[00:55:37.680 --> 00:55:40.560]   You know, I do appreciate threads a lot more
[00:55:40.560 --> 00:55:47.600]   Um, you know, I'm hoping that that's about a bra are you a twitter user or are you uh?
[00:55:48.320 --> 00:55:52.080]   I have been checking twitter a lot less frequently. I check it multiple times a day
[00:55:52.080 --> 00:55:55.120]   It was like my break from work was to just pop open twitter see what's going on
[00:55:55.120 --> 00:55:58.720]   But now threads has become the thing that I gravitate towards when I want to send something out
[00:55:58.720 --> 00:56:02.320]   Also for personal reasons if I have like some random random taylor swiftake
[00:56:02.320 --> 00:56:09.120]   I want us to send out it. I'll go to threads or if i'm trying to lean into that more with um promoting my content
[00:56:09.120 --> 00:56:11.440]   but um, but you know, obviously I have
[00:56:11.440 --> 00:56:18.160]   More followers on twitter right now, but obviously the the ability to import your followers from instagram has been a huge boost
[00:56:18.240 --> 00:56:20.960]   At least in the beginning. There's still room to add more people
[00:56:20.960 --> 00:56:26.560]   But I have been gravitating towards threads more even to the to the point where I got used to the like button being
[00:56:26.560 --> 00:56:32.160]   You know, because they're kind of swapped on on twitter. Yeah, and I'm used to already on on threads
[00:56:32.160 --> 00:56:36.720]   That's what I'm learning from custom to yeah, I thread is is like a nice twitter
[00:56:36.720 --> 00:56:42.160]   It's very twitter like yeah, it's clean. Yeah, I'm waiting for the following feed
[00:56:42.160 --> 00:56:43.280]   Yeah engagements higher
[00:56:43.280 --> 00:56:47.600]   I think the four u-page is kind of sometimes I get something where I'm like why did they think this was for me like
[00:56:47.600 --> 00:56:53.600]   Obviously the algorithm isn't as good as like tech talks, but it's um, I'm waiting for that following page to come out where I can just kind of choose
[00:56:53.600 --> 00:56:59.600]   The people I actually follow and just see their content because there's a they're pushing a lot of a lot of random accounts on us right now
[00:56:59.600 --> 00:57:07.440]   I don't know what I did, but now I only see people I follow I think I I think I followed somebody's instructions to go into threads
[00:57:07.440 --> 00:57:10.080]   going to notifications and
[00:57:10.080 --> 00:57:12.640]   Chase change the threads and replies
[00:57:12.640 --> 00:57:17.200]   To from everyone to for people you follow and now I don't see the good idea
[00:57:17.280 --> 00:57:22.560]   Algorithmic feed anymore. Oh, yeah, I should do that. Yeah. Yeah. Yeah. Yeah, my feed's been really clean
[00:57:22.560 --> 00:57:24.720]   Um, I haven't has money issues
[00:57:24.720 --> 00:57:29.120]   I like the algorithmic first because it it told me who to follow right right?
[00:57:29.120 --> 00:57:34.080]   But now I followed everybody I followed on twitter. Yeah, so we're good
[00:57:34.080 --> 00:57:37.200]   I could just watch the I don't need a for you feed anymore
[00:57:37.200 --> 00:57:43.680]   They don't they say I guess at some point we'll have a for you and a following tab like twitter does and an edit button is apparently coming
[00:57:43.920 --> 00:57:51.200]   Wow. Yes, you won't have to pay for it, which is a really big deal. Yeah, we should have journalist maria resa on the program
[00:57:51.200 --> 00:57:55.760]   She is the CEO and founder of rapler.com, which is the Philippines
[00:57:55.760 --> 00:58:03.280]   Largest and predominant news organization. She also won the nobel peace prize last year. I can tell you about
[00:58:03.280 --> 00:58:05.360]   um
[00:58:05.360 --> 00:58:08.880]   Look, I'm or I am on all of the atomized
[00:58:09.200 --> 00:58:14.320]   Social platforms and I I've demoned the loss of the twitter that was I was in the beta for twitter
[00:58:14.320 --> 00:58:19.680]   And it was as a journalist a remarkably useful tool. However, I have a hard time forgetting
[00:58:19.680 --> 00:58:29.040]   Uh, what facebook has enabled and maria resa who is a journalist in a democratic country
[00:58:29.040 --> 00:58:36.160]   That was taken over by redrigo dutarte and she was in prison. She was attacked and she was
[00:58:36.880 --> 00:58:38.880]   so in she was
[00:58:38.880 --> 00:58:43.840]   enabled by facebook she was attacked by so many trolls and threatened
[00:58:43.840 --> 00:58:49.440]   So much by and enabled by the president by dutarte that her life was in danger
[00:58:49.440 --> 00:58:51.200]   this was
[00:58:51.200 --> 00:58:57.760]   Facebook as a platform enabling the attack on the fourth estate a democratic country
[00:58:57.760 --> 00:59:02.560]   Journalist in a democratic country who won the nobel peace prize
[00:59:04.480 --> 00:59:09.760]   enabled by facebook. Yep. Let's look at some of the other things that facebook has also enabled
[00:59:09.760 --> 00:59:13.200]   If we go back almost a decade
[00:59:13.200 --> 00:59:18.480]   And we we look even at our own elections here in the united states. We look at 2016
[00:59:18.480 --> 00:59:23.200]   I don't I mean I really don't want to get into politics. No, no, I agree with you and this
[00:59:23.200 --> 00:59:30.960]   Time and energy into facebook platforms. Yeah, it feels like we have all kind of pardon the pun lost the thread
[00:59:31.280 --> 00:59:34.160]   I'm sorry. I don't mean to be self-righteous or preachy. No, it's good
[00:59:34.160 --> 00:59:38.320]   That you brought the hard time using threads for that reason and that's one of the things
[00:59:38.320 --> 00:59:42.560]   It's interesting about threads is the people even I who refuse to use facebook
[00:59:42.560 --> 00:59:44.320]   uh
[00:59:44.320 --> 00:59:46.320]   Kind of kind of forgot
[00:59:46.320 --> 00:59:50.880]   And buried this facebook enabled genocide and me and mar. I mean
[00:59:50.880 --> 00:59:53.520]   Yeah
[00:59:53.520 --> 00:59:57.520]   Their their trust and safety has left something to be desired
[00:59:58.240 --> 01:00:03.760]   Uh, but this has been in some ways threads has been the great revival of mark zuckerberg
[01:00:03.760 --> 01:00:08.400]   Yeah, it kind of polished his brand it's polished his brand and and uh
[01:00:08.400 --> 01:00:15.440]   You know, even people who wouldn't have facebook often had instagram and if they didn't have instagram, they'd have what's app
[01:00:15.440 --> 01:00:18.480]   so
[01:00:18.480 --> 01:00:20.480]   Yeah, there's it's an interesting
[01:00:20.480 --> 01:00:21.680]   Uh
[01:00:21.680 --> 01:00:26.720]   Situation not many people are as principled as you dan unfortunately no I it's not principles
[01:00:26.720 --> 01:00:33.360]   Look, I covered conflict regions when I was a younger reporter. I saw people die and I saw how social media contributed to
[01:00:33.360 --> 01:00:40.160]   Uh, some really horrific things and I I just I'm a little triggered. I don't mean to to be
[01:00:40.160 --> 01:00:43.680]   Oh, I think the money is or preachy, but I I mean like
[01:00:43.680 --> 01:00:47.280]   Once you kind of see some of these things you can't unsee it
[01:00:47.280 --> 01:00:50.160]   I think maria reza is a very valuable voice
[01:00:50.160 --> 01:00:56.400]   And look if a democratic institution can be tanked by social media being exploited
[01:00:56.560 --> 01:01:00.960]   And we need to pay big attention to it and simply forgetting the last decade or so
[01:01:00.960 --> 01:01:05.520]   Because there's a shiny new social platform is dangerous
[01:01:05.520 --> 01:01:09.120]   Do you is it?
[01:01:09.120 --> 01:01:14.320]   So I guess I'd have to do more research and you've done it. So I'm gonna ask you dan
[01:01:14.320 --> 01:01:16.960]   um
