;FFMETADATA1
title=All the President's Phones
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=690
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2018
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.400]   It's time for Twit.
[00:29:06.080 --> 00:29:07.640]   but you gotta have something to look back to,
[00:29:07.640 --> 00:29:09.560]   and that's your WordPress site.
[00:29:09.560 --> 00:29:12.680]   And I love the WordPress app on iOS and Android.
[00:29:12.680 --> 00:29:15.440]   When we were traveling, that was how I posted blog posts,
[00:29:15.440 --> 00:29:17.760]   checked comments, approved comments,
[00:29:17.760 --> 00:29:22.200]   looked at my analytics, my stats, great app.
[00:29:22.200 --> 00:29:23.800]   Launch your website with confidence knowing
[00:29:23.800 --> 00:29:26.240]   you can always get help 24/7
[00:29:26.240 --> 00:29:30.040]   from a support team that's friendly, nice, and smart.
[00:29:30.040 --> 00:29:32.920]   Plan started just $4 a month, find out why 32%
[00:29:32.920 --> 00:29:35.840]   of every website in the world runs on WordPress,
[00:29:35.840 --> 00:29:38.320]   including some of the biggest publishers in the world.
[00:29:38.320 --> 00:29:42.240]   We've got to deal 2, 15% off any new plan purchase,
[00:29:42.240 --> 00:29:45.120]   but you have to go to WordPress.com/twit.
[00:29:45.120 --> 00:29:48.000]   WordPress.com/twit.
[00:29:48.000 --> 00:29:49.680]   Create your new website.
[00:29:49.680 --> 00:29:52.640]   Create your, put your flag, put down your flag,
[00:29:52.640 --> 00:29:57.640]   plant your flag on the internet, WordPress.com/twit.
[00:29:57.640 --> 00:29:58.920]   Thank you so much.
[00:29:58.920 --> 00:30:00.920]   Thank you, Matt, and WordPress and automatic,
[00:30:00.920 --> 00:30:03.180]   and all the team there for 12 years,
[00:30:03.180 --> 00:30:07.600]   I've been happy at WordPress.com/twit.
[00:30:07.600 --> 00:30:09.240]   - So glad you're blocking again, Leo.
[00:30:09.240 --> 00:30:12.160]   - It's so much fun, and I actually,
[00:30:12.160 --> 00:30:13.600]   'cause I don't do Instagram, so instead of putting
[00:30:13.600 --> 00:30:15.240]   a thing on Instagram, I put it there.
[00:30:15.240 --> 00:30:17.240]   And the nice thing about that is,
[00:30:17.240 --> 00:30:18.560]   if you wanna see my pictures,
[00:30:18.560 --> 00:30:20.680]   you know where to go, leoeloport.com.
[00:30:20.680 --> 00:30:21.760]   'Cause if you put 'em on Instagram,
[00:30:21.760 --> 00:30:23.560]   sometimes you see 'em, sometimes you don't.
[00:30:23.560 --> 00:30:24.640]   - And it's yours, you own it.
[00:30:24.640 --> 00:30:25.480]   - I own it.
[00:30:25.480 --> 00:30:27.240]   - I get those, you know, I have to say,
[00:30:27.240 --> 00:30:30.240]   if you go back in my blog, because I've moved around,
[00:30:30.240 --> 00:30:31.800]   there are big holes in it.
[00:30:31.800 --> 00:30:34.640]   There's all the text survived important export,
[00:30:34.640 --> 00:30:36.360]   but a lot of the images were stored.
[00:30:36.360 --> 00:30:40.080]   Remember Vox, I had stuff stored on typepress, Vox.
[00:30:40.080 --> 00:30:43.560]   - I remember when you were complaining about this,
[00:30:43.560 --> 00:30:46.920]   you know, last time I was on, well, yeah, that,
[00:30:46.920 --> 00:30:51.720]   but also the fact that you had to go to secure HTTP.
[00:30:51.720 --> 00:30:53.800]   - Oh, yeah, that was easy on WordPress.
[00:30:53.800 --> 00:30:55.160]   It's just a checkbox.
[00:30:55.160 --> 00:30:56.920]   - Right, it's just a checkbox.
[00:30:56.920 --> 00:31:00.560]   But I think, but yeah, you know, to the point,
[00:31:00.560 --> 00:31:05.560]   I deleted, I had a blog, you know,
[00:31:05.560 --> 00:31:10.560]   that from 2000 to probably 2012, 2013 or so,
[00:31:10.560 --> 00:31:18.320]   I finally just deleted everything.
[00:31:18.320 --> 00:31:19.920]   There was so much there. - Really?
[00:31:19.920 --> 00:31:23.000]   - That was just, you know, there's,
[00:31:23.000 --> 00:31:26.960]   5% of it was stuff that I really wish I still had.
[00:31:26.960 --> 00:31:29.120]   Actually, I do have it in the backup somewhere,
[00:31:29.120 --> 00:31:32.400]   but I wish I still had, but the other 95% of it was,
[00:31:32.400 --> 00:31:35.400]   you know, it was about software and products
[00:31:35.400 --> 00:31:40.400]   and a lot of hands on stuff that is simply about dead products.
[00:31:40.400 --> 00:31:43.840]   And it just, - I wouldn't delete anything.
[00:31:43.840 --> 00:31:45.240]   I mean, there's, first of all,
[00:31:45.240 --> 00:31:47.600]   there's plenty of room on the internet, Ed.
[00:31:47.600 --> 00:31:48.720]   (laughing)
[00:31:48.720 --> 00:31:50.840]   - We're not running out yet.
[00:31:50.840 --> 00:31:53.680]   I'm just looking, this is my first WordPress post
[00:31:53.680 --> 00:31:57.680]   is 28 February 2001. - Yeah.
[00:31:57.680 --> 00:31:58.600]   - And it's so fun.
[00:31:58.600 --> 00:32:00.400]   I mean, some of you're right, some of it's nuts.
[00:32:00.400 --> 00:32:03.040]   Like, hey, this meeting is ending.
[00:32:03.040 --> 00:32:04.200]   Yay, lunch.
[00:32:04.200 --> 00:32:06.960]   This is pre-Twitter, folks.
[00:32:06.960 --> 00:32:08.440]   But then there's also, you know,
[00:32:08.440 --> 00:32:11.160]   I think things that are, to me of interest,
[00:32:11.160 --> 00:32:12.680]   maybe not anybody else,
[00:32:12.680 --> 00:32:15.160]   but it's kind of like keeping a journal, right?
[00:32:15.160 --> 00:32:16.040]   - Right.
[00:32:16.040 --> 00:32:18.600]   - And then your old stuff's there.
[00:32:18.600 --> 00:32:19.560]   I just like having it.
[00:32:19.560 --> 00:32:22.600]   I wish some of the pictures I'd posted were still there.
[00:32:22.600 --> 00:32:26.640]   Do you remember, remember Mo blogging?
[00:32:26.640 --> 00:32:28.120]   Remember that?
[00:32:28.120 --> 00:32:31.760]   There was textamerica.com, remember that?
[00:32:31.760 --> 00:32:33.640]   So this was early days of camera phones,
[00:32:33.640 --> 00:32:36.680]   maybe 2002 or three.
[00:32:36.680 --> 00:32:40.120]   And I posted hundreds of pictures pre-Instagram,
[00:32:40.120 --> 00:32:42.400]   way way, on a site called Text America.
[00:32:42.400 --> 00:32:44.120]   And it just disappeared.
[00:32:44.120 --> 00:32:45.800]   It was called Mo blogging.
[00:32:45.800 --> 00:32:48.440]   Am I the, am I dreaming this?
[00:32:48.440 --> 00:32:50.520]   - You remember that? - No, we're Mo blogging.
[00:32:50.520 --> 00:32:52.400]   (both laughing)
[00:32:52.400 --> 00:32:54.640]   - You can still see Jai-Ko.
[00:32:54.640 --> 00:32:57.520]   Jai-Ko, I miss Jai-Ko, I love Jai-Ko.
[00:32:57.520 --> 00:33:00.400]   - Yeah, no, all the text America stuff disappeared.
[00:33:00.400 --> 00:33:01.680]   It's all gone.
[00:33:01.680 --> 00:33:03.120]   - All the pound stuff has gone.
[00:33:03.120 --> 00:33:03.960]   So much stuff.
[00:33:03.960 --> 00:33:04.960]   - I wish some of these pictures.
[00:33:04.960 --> 00:33:07.760]   - I think a lot of the problem of it back then,
[00:33:07.760 --> 00:33:11.800]   and a lot of the appeal of the networks
[00:33:11.800 --> 00:33:15.560]   that we have available to us today are that,
[00:33:15.560 --> 00:33:17.160]   you know, it started with Blogger,
[00:33:17.160 --> 00:33:19.080]   where it was just like, you know, just go sign up
[00:33:19.080 --> 00:33:21.400]   and they'll take care of all the backend stuff.
[00:33:21.400 --> 00:33:23.880]   But, you know, I remember for a decade or so,
[00:33:23.880 --> 00:33:27.520]   I was, you know, a webmaster and an IT guy.
[00:33:27.520 --> 00:33:29.760]   And I had to, you know, I had to learn
[00:33:29.760 --> 00:33:34.760]   how to kick a server that was 2000 miles away, right?
[00:33:34.760 --> 00:33:37.520]   And, you know, that was valuable IT stuff to learn.
[00:33:37.520 --> 00:33:39.360]   But there just comes-- - You know, now.
[00:33:39.360 --> 00:33:41.440]   - It's exhausting. - It is exhausting.
[00:33:41.440 --> 00:33:43.800]   Well, for a long time, this was self-hosted WordPress,
[00:33:43.800 --> 00:33:46.320]   and that killed productivity.
[00:33:46.320 --> 00:33:47.320]   (laughing)
[00:33:47.320 --> 00:33:48.640]   Just kill me.
[00:33:48.640 --> 00:33:51.280]   This is, here's one from 2001.
[00:33:51.280 --> 00:33:53.640]   Tomorrow morning on Tech TV,
[00:33:53.640 --> 00:33:55.080]   we're doing a round table celebrating
[00:33:55.080 --> 00:33:57.200]   the 10th anniversary of Linux.
[00:33:57.200 --> 00:34:03.880]   So, here we are, a little bit later, 17 years later,
[00:34:03.880 --> 00:34:08.360]   and I am blown away by this headline.
[00:34:08.360 --> 00:34:09.200]   - Yeah.
[00:34:09.200 --> 00:34:11.840]   - Red Hat has been acquired by IBM.
[00:34:11.840 --> 00:34:13.760]   By the way, Red Hat was one of the early Linuxes
[00:34:13.760 --> 00:34:16.120]   I used, I used Mandrake and then Red Hat.
[00:34:16.120 --> 00:34:21.120]   For $34 billion, making it,
[00:34:21.120 --> 00:34:25.400]   it's the biggest acquisition IBM's ever made.
[00:34:25.400 --> 00:34:29.080]   It's the third biggest tech acquisition of all time.
[00:34:29.080 --> 00:34:29.920]   - Yeah, after-- - Bigger even
[00:34:29.920 --> 00:34:31.520]   than Microsoft buying LinkedIn.
[00:34:31.520 --> 00:34:35.920]   Is Red Hat worth 34 billion?
[00:34:35.920 --> 00:34:37.560]   - At least it's not based on user count Leo.
[00:34:37.560 --> 00:34:39.560]   That's one of the things I'm grateful for.
[00:34:39.560 --> 00:34:40.760]   - It's kind of stunning.
[00:34:40.760 --> 00:34:43.680]   I mean, the only bigger ones are Dell buying EMC.
[00:34:43.680 --> 00:34:45.280]   That was the last year.
[00:34:45.280 --> 00:34:49.880]   And I, semi-conductor of Vago technologies,
[00:34:49.880 --> 00:34:55.000]   buys and renames itself Broadcom and $37 billion.
[00:34:55.000 --> 00:34:59.080]   - Well AOL Time Warner, if you count that, right?
[00:34:59.080 --> 00:34:59.920]   - How much was that?
[00:34:59.920 --> 00:35:01.240]   - You sort of put that aside.
[00:35:01.240 --> 00:35:04.080]   - That was 165 billion.
[00:35:04.080 --> 00:35:06.320]   - Yeah, yeah, yeah.
[00:35:06.320 --> 00:35:08.400]   241 billion adjusted for inflation.
[00:35:08.400 --> 00:35:10.480]   So that's a lot bigger.
[00:35:10.480 --> 00:35:12.600]   That was the number two acquisition of all time.
[00:35:12.600 --> 00:35:14.760]   That was misguided, right?
[00:35:14.760 --> 00:35:18.280]   - Yeah, so in the press release,
[00:35:18.280 --> 00:35:19.680]   I read the press release today.
[00:35:19.680 --> 00:35:22.480]   And like you, I'm still trying to figure it out.
[00:35:22.480 --> 00:35:24.480]   And there's folks at ZVNet
[00:35:24.480 --> 00:35:28.640]   who probably have already posted something on this
[00:35:28.640 --> 00:35:29.680]   and I need to go read it.
[00:35:29.680 --> 00:35:32.040]   Stephen J. Von Nichols, I would expect,
[00:35:32.040 --> 00:35:36.800]   would be if he doesn't have a post up there yet,
[00:35:36.800 --> 00:35:38.520]   he will soon.
[00:35:38.520 --> 00:35:40.080]   But one of the things that they said
[00:35:40.080 --> 00:35:43.920]   in their press release was hybrid cloud.
[00:35:43.920 --> 00:35:46.280]   I think hybrid cloud, hybrid cloud, hybrid cloud,
[00:35:46.280 --> 00:35:49.720]   that's their approach to it.
[00:35:49.720 --> 00:35:54.720]   And Red Hat has been an enterprise services company
[00:35:54.720 --> 00:35:57.200]   for quite a while.
[00:35:57.200 --> 00:35:59.600]   - They're not a Linux distro.
[00:35:59.600 --> 00:36:02.320]   They have 12,000 employees, I think.
[00:36:02.320 --> 00:36:03.160]   - Whoa.
[00:36:03.160 --> 00:36:09.680]   - However, they were valued at the last, I saw 20 billion.
[00:36:09.680 --> 00:36:11.760]   So this is a significant premium.
[00:36:11.760 --> 00:36:12.600]   (laughs)
[00:36:12.600 --> 00:36:14.600]   - But do we just announce that we'll sell Fedora?
[00:36:14.600 --> 00:36:15.760]   - That's how our ads were.
[00:36:15.760 --> 00:36:17.280]   - We'll sell the Twift Fedora instance
[00:36:17.280 --> 00:36:19.320]   for like 34 million, if anyone's interested.
[00:36:19.320 --> 00:36:20.520]   - Wow.
[00:36:20.520 --> 00:36:21.360]   - Just put that out there.
[00:36:21.360 --> 00:36:22.520]   - I'll take it, yeah.
[00:36:22.520 --> 00:36:28.200]   Red Hat missed its most recent revenue estimates.
[00:36:28.200 --> 00:36:29.600]   Companies subscription revenue,
[00:36:29.600 --> 00:36:34.400]   20% of year over year growth to $722 million.
[00:36:34.400 --> 00:36:35.800]   So that's a lot of money for a free audience.
[00:36:35.800 --> 00:36:37.280]   - But they think they need this to compete, right?
[00:36:37.280 --> 00:36:39.400]   They think that the cloud is definitely the cloud services
[00:36:39.400 --> 00:36:41.040]   of the future in Amazon and other companies
[00:36:41.040 --> 00:36:43.720]   are running away with them and IBM's IBM
[00:36:43.720 --> 00:36:45.880]   and they need one of how Ed figured out
[00:36:45.880 --> 00:36:46.720]   how to kick the server.
[00:36:46.720 --> 00:36:49.160]   They thought they think Red Hat's gonna help kick them
[00:36:49.160 --> 00:36:51.080]   into the, better into the cloud of your own.
[00:36:51.080 --> 00:36:54.320]   - Yeah, this is what Jeannie Rometty, the CEO said.
[00:36:54.320 --> 00:36:56.360]   The acquisition of Red Hat is a game changer.
[00:36:56.360 --> 00:36:58.760]   It changes everything about the cloud market.
[00:36:58.760 --> 00:37:01.240]   IBM will become the world's number one hybrid cloud
[00:37:01.240 --> 00:37:02.480]   provider offering companies.
[00:37:02.480 --> 00:37:04.320]   The only open cloud solution,
[00:37:04.320 --> 00:37:06.280]   that's cloud four times in one sense.
[00:37:06.280 --> 00:37:08.320]   The one launch, the full value of the cloud
[00:37:08.320 --> 00:37:09.280]   for their businesses.
[00:37:09.280 --> 00:37:10.360]   I guess it's all about, right?
[00:37:10.360 --> 00:37:11.520]   - The open is big now too.
[00:37:11.520 --> 00:37:12.840]   - Cloud.
[00:37:12.840 --> 00:37:17.840]   Well, Microsoft, I mean, I thought the moon had turned blue
[00:37:17.840 --> 00:37:21.760]   when Microsoft announced they were gonna put Linux on Azure.
[00:37:21.760 --> 00:37:23.080]   - Yeah. - And they bought GitHub.
[00:37:23.080 --> 00:37:24.240]   - And then they bought GitHub, by the way,
[00:37:24.240 --> 00:37:26.000]   that closed this week also.
[00:37:26.000 --> 00:37:28.080]   It's an interesting week for open source, isn't it?
[00:37:28.080 --> 00:37:30.440]   - AIX must be running quietly in a closet somewhere.
[00:37:30.440 --> 00:37:33.000]   - AIX apples. - Apples, eunuchs.
[00:37:33.000 --> 00:37:34.640]   - Oh yeah. - Yeah, seriously,
[00:37:34.640 --> 00:37:38.080]   anybody who is still on the, you know,
[00:37:38.080 --> 00:37:41.840]   who is still quoting Steve Ballmer saying that,
[00:37:41.840 --> 00:37:44.480]   you know, open source is communism or, you know,
[00:37:44.480 --> 00:37:48.800]   whatever, whatever that stupid thing he said way back when was,
[00:37:48.800 --> 00:37:50.640]   you know, you've met--
[00:37:50.640 --> 00:37:52.520]   - He said Linux was a cancer.
[00:37:52.520 --> 00:37:53.760]   - Linux was a cancer.
[00:37:53.760 --> 00:37:54.600]   That's right.
[00:37:54.600 --> 00:37:57.640]   It was Bill Gates who said that,
[00:37:57.640 --> 00:38:00.040]   that open source is communism.
[00:38:00.040 --> 00:38:03.480]   But that, that was a long, long time ago
[00:38:03.480 --> 00:38:06.160]   in a galaxy far away.
[00:38:06.160 --> 00:38:10.400]   And, you know, I mean, anyone who's been paying attention,
[00:38:10.400 --> 00:38:13.560]   it has been at least five years
[00:38:13.560 --> 00:38:18.280]   that Microsoft has been unequivocally committing
[00:38:18.280 --> 00:38:20.640]   to open source projects.
[00:38:20.640 --> 00:38:25.640]   They just, they just open source their patents
[00:38:25.640 --> 00:38:32.240]   for Android, you know, when you say DNA infusion.
[00:38:33.640 --> 00:38:35.840]   - Yeah, yeah, yeah. - They had been making
[00:38:35.840 --> 00:38:39.920]   a significant amount of money over the years.
[00:38:39.920 --> 00:38:43.280]   I mean, a billion dollars a year from Samsung alone
[00:38:43.280 --> 00:38:44.880]   on their-- - Google was making that.
[00:38:44.880 --> 00:38:48.360]   - Right. - That licensing for those.
[00:38:48.360 --> 00:38:52.440]   So giving that up was, I mean, you know,
[00:38:52.440 --> 00:38:56.880]   a real demonstration of a commitment to this, you know,
[00:38:56.880 --> 00:38:58.600]   this open source stuff.
[00:38:58.600 --> 00:39:00.360]   - Yeah, by the way, companies want to keep our prior
[00:39:00.360 --> 00:39:02.320]   to what makes them money and an open source,
[00:39:02.320 --> 00:39:04.200]   everything that makes their competition money.
[00:39:04.200 --> 00:39:05.920]   That seems like the winning strategy.
[00:39:05.920 --> 00:39:06.760]   - Totally.
[00:39:06.760 --> 00:39:09.600]   It's kind of like, the Microsoft thing is kind of like,
[00:39:09.600 --> 00:39:13.880]   and it is relevant to the IBM Red Hat story.
[00:39:13.880 --> 00:39:16.040]   You know, it's like in the new Star Trek Discovery,
[00:39:16.040 --> 00:39:19.040]   there's the guy who's a Starfleet officer
[00:39:19.040 --> 00:39:21.920]   who's actually a Klingon underneath.
[00:39:21.920 --> 00:39:24.600]   But, you know, so that's kind of like what,
[00:39:24.600 --> 00:39:27.560]   it's like a complete DNA infusion.
[00:39:27.560 --> 00:39:30.720]   But today's Microsoft is essentially a Linux company,
[00:39:30.720 --> 00:39:33.840]   especially on the server, because all of this stuff
[00:39:33.840 --> 00:39:36.120]   is the backbone of the internet,
[00:39:36.120 --> 00:39:38.320]   it's the backbone of the enterprise,
[00:39:38.320 --> 00:39:41.120]   and, you know, these tools and open source technology
[00:39:41.120 --> 00:39:43.680]   and software runs the world.
[00:39:43.680 --> 00:39:47.800]   And so for IBM, as they said, you hit the nail on the head,
[00:39:47.800 --> 00:39:50.720]   Leo, like they mentioned cloud four times in the one sentence.
[00:39:50.720 --> 00:39:53.120]   This is all about them trying to compete
[00:39:53.120 --> 00:39:57.920]   and get a leg up any way they can against Google,
[00:39:57.920 --> 00:40:00.400]   Amazon and Microsoft.
[00:40:00.400 --> 00:40:03.520]   Amazon and Microsoft have really been kind of running away,
[00:40:03.520 --> 00:40:06.040]   especially Amazon with the cloud market.
[00:40:06.040 --> 00:40:07.320]   Google's playing catch up,
[00:40:07.320 --> 00:40:11.400]   they've been trying to use price and AI,
[00:40:11.400 --> 00:40:14.320]   machine learning as their way to pick off
[00:40:14.320 --> 00:40:16.480]   some of these cloud deals.
[00:40:16.480 --> 00:40:18.600]   And they have been somewhat successful,
[00:40:18.600 --> 00:40:22.880]   but still, you know, Amazon's the 800 pound gorilla.
[00:40:22.880 --> 00:40:25.400]   Microsoft is the number one challenger.
[00:40:25.400 --> 00:40:28.920]   Google's trying to, you know, elbow its way in.
[00:40:28.920 --> 00:40:32.280]   And IBM has been trying unsuccessfully
[00:40:32.280 --> 00:40:34.840]   to sort of be the fourth wheel there.
[00:40:34.840 --> 00:40:38.080]   And they needed something like this
[00:40:38.080 --> 00:40:39.680]   to help them push forward.
[00:40:39.680 --> 00:40:43.680]   And Red Hat is interesting because they've been rumored
[00:40:43.680 --> 00:40:47.080]   to have been an acquisition target of Oracle,
[00:40:47.080 --> 00:40:52.080]   of Microsoft, of Google especially.
[00:40:52.080 --> 00:40:55.520]   And now it's happened with IBM.
[00:40:55.520 --> 00:40:59.160]   And so they are a huge company and they,
[00:40:59.160 --> 00:41:03.840]   to Ed's point earlier, they are very much a cloud services,
[00:41:03.840 --> 00:41:06.520]   IT integrator kind of company anymore,
[00:41:06.520 --> 00:41:08.320]   not really a Linux company.
[00:41:08.320 --> 00:41:09.920]   Okay. No, no.
[00:41:09.920 --> 00:41:14.240]   And so it's not a Linux distribution, you know, anymore.
[00:41:14.240 --> 00:41:15.160]   It really is.
[00:41:15.160 --> 00:41:18.560]   It's funny because even during the dot com boom,
[00:41:18.560 --> 00:41:20.960]   the moment that the dot com boom that we kind of all,
[00:41:20.960 --> 00:41:23.840]   or I think a lot of us scratch our heads was the moment.
[00:41:23.840 --> 00:41:25.840]   And I thought about this when the story broke.
[00:41:25.840 --> 00:41:30.840]   The moment that Red Hat actually was worth more than IBM
[00:41:30.840 --> 00:41:33.640]   in value, its market capitalization,
[00:41:33.640 --> 00:41:34.920]   was the moment we all kind of went,
[00:41:34.920 --> 00:41:38.560]   "Yeah, this is probably getting a little bit out of control."
[00:41:38.560 --> 00:41:41.920]   And that wasn't long afterwards that the dot com bust happened.
[00:41:41.920 --> 00:41:43.720]   So it is somewhat ironic, you know,
[00:41:43.720 --> 00:41:47.160]   that was one of the pivotal moments of the dot com boom.
[00:41:47.160 --> 00:41:50.080]   It is funny that these two companies are now paired up,
[00:41:50.080 --> 00:41:52.760]   you know, 20 years later almost
[00:41:52.760 --> 00:41:57.400]   and tried to make a go at Amazon and Google and Microsoft
[00:41:57.400 --> 00:42:00.880]   as the big companies that are going to control
[00:42:00.880 --> 00:42:04.680]   the next generation of the internet and the enterprise
[00:42:04.680 --> 00:42:07.280]   unless IBM can disrupt them.
[00:42:07.280 --> 00:42:10.560]   And IBM, you know, they have the got their work cut out for them,
[00:42:10.560 --> 00:42:11.720]   even with this acquisition.
[00:42:11.720 --> 00:42:14.360]   Although Red Hat gets them back in the door for a lot of other services,
[00:42:14.360 --> 00:42:17.360]   I think that's what they think at least.
[00:42:17.360 --> 00:42:18.760]   Yeah.
[00:42:18.760 --> 00:42:22.720]   Although I have to say, and this is really unfair
[00:42:22.720 --> 00:42:27.120]   and I don't mean this to be as cruel
[00:42:27.120 --> 00:42:29.280]   as it's probably going to sound,
[00:42:29.280 --> 00:42:34.760]   but it does in some ways remind me of the merger of Kmart and Sears.
[00:42:34.760 --> 00:42:36.040]   Oh, dude.
[00:42:36.040 --> 00:42:37.520]   Holy cow.
[00:42:37.520 --> 00:42:39.760]   Well, that went down.
[00:42:39.760 --> 00:42:44.280]   I know, that's really harsh and all.
[00:42:44.280 --> 00:42:46.760]   But both of those companies,
[00:42:47.760 --> 00:42:54.440]   you know, when they merged, they had been successful for years
[00:42:54.440 --> 00:42:56.520]   in their field.
[00:42:56.520 --> 00:43:02.000]   They had struggled as other companies leapfrog them
[00:43:02.000 --> 00:43:08.720]   and they dropped in the rankings in their segment.
[00:43:08.720 --> 00:43:13.480]   And, you know, Jason, like you say, you've got AWS
[00:43:13.480 --> 00:43:16.120]   and then you have Azure and then you have a big,
[00:43:16.120 --> 00:43:20.920]   long gap before you get to Google and IBM
[00:43:20.920 --> 00:43:25.600]   and Salesforce or anybody else who's going to be in there
[00:43:25.600 --> 00:43:27.320]   with a cloud product.
[00:43:27.320 --> 00:43:29.440]   And I just wondered, you know,
[00:43:29.440 --> 00:43:35.200]   there's always a temptation for two smaller companies
[00:43:35.200 --> 00:43:38.960]   to combine and say, we're going to, you know,
[00:43:38.960 --> 00:43:43.680]   by combining, we'll be big enough to be a credible competitor.
[00:43:43.680 --> 00:43:48.120]   But if it's not a good fit,
[00:43:48.120 --> 00:43:51.760]   if it's not a good fit culturally, technologically,
[00:43:51.760 --> 00:43:56.680]   product-wise, then what you do is you magnify your problems
[00:43:56.680 --> 00:44:01.760]   instead of magnifying your opportunities.
[00:44:01.760 --> 00:44:06.080]   Boy, the analogy that came out in Sears is pretty stunning.
[00:44:06.080 --> 00:44:08.560]   That was an 11-billion-dollar merger,
[00:44:08.560 --> 00:44:13.360]   two failing retailers who were desperately trying to stay
[00:44:13.360 --> 00:44:17.280]   current in a, this was back in 2004.
[00:44:17.280 --> 00:44:19.280]   Yeah, the one way this one looks better, though,
[00:44:19.280 --> 00:44:23.360]   is that they were in a market where retail was drastically dropping.
[00:44:23.360 --> 00:44:25.640]   In this case, you know, 10% of the world,
[00:44:25.640 --> 00:44:29.920]   10% of enterprises today are all cloud by 2025.
[00:44:29.920 --> 00:44:31.760]   That's likely to be 80%.
[00:44:31.760 --> 00:44:34.120]   And so even these two together,
[00:44:34.120 --> 00:44:36.280]   if they can find a niche where it's like,
[00:44:36.280 --> 00:44:38.480]   we're really good at hybrid cloud
[00:44:38.480 --> 00:44:40.640]   or we're really good at hospitals,
[00:44:40.640 --> 00:44:43.360]   but they can find one segment of the cloud market
[00:44:43.360 --> 00:44:45.440]   that they can serve better than anybody else
[00:44:45.440 --> 00:44:50.280]   in a market that's growing this big over the next decade.
[00:44:50.280 --> 00:44:52.440]   They could survive and even thrive
[00:44:52.440 --> 00:44:54.840]   if they can do that and do it well.
[00:44:54.840 --> 00:44:58.640]   It does seem like a kind of a premium.
[00:44:58.640 --> 00:45:03.640]   I mean, it's a considerable amount over its Friday closing price.
[00:45:03.640 --> 00:45:08.200]   I wonder, will we say, did IBM overpaid for this?
[00:45:08.200 --> 00:45:10.360]   Or was there a bidding war going on?
[00:45:10.360 --> 00:45:12.120]   Was there something going on behind the scenes?
[00:45:12.120 --> 00:45:15.680]   Was they just grasp it from,
[00:45:15.680 --> 00:45:17.720]   usually when the price is that high,
[00:45:17.720 --> 00:45:21.480]   there's somebody else like Google trying to come in and take it.
[00:45:21.480 --> 00:45:23.040]   Google's long been rumored.
[00:45:23.040 --> 00:45:28.280]   Yeah, as, you know, and you got those two, yeah, or Microsoft,
[00:45:28.280 --> 00:45:29.920]   Microsoft doesn't really need them.
[00:45:29.920 --> 00:45:32.440]   I don't think they want to spend that kind of money right now.
[00:45:32.440 --> 00:45:33.640]   I think that would be.
[00:45:33.640 --> 00:45:34.760]   Yeah, they don't have to.
[00:45:34.760 --> 00:45:37.160]   They've gotten so good and they've hired so many
[00:45:37.160 --> 00:45:39.600]   of the top minds in Linux that it's one of those things
[00:45:39.600 --> 00:45:42.040]   like it's a lot cheaper to just go and hire, you know,
[00:45:42.040 --> 00:45:45.120]   for them to hire 5,000 really great, you know,
[00:45:45.120 --> 00:45:49.160]   Linux or just open source and cloud experts.
[00:45:49.160 --> 00:45:52.760]   If you bought Ray Hat's stock on Friday at $116
[00:45:52.760 --> 00:45:56.920]   and it's now worth $190 on Sunday, you're very happy.
[00:45:56.920 --> 00:45:58.160]   Yeah, you did all right.
[00:45:58.160 --> 00:45:58.920]   You did all right.
[00:45:58.920 --> 00:46:00.240]   Holy cow.
[00:46:00.240 --> 00:46:02.560]   You might have, yeah, you might have the SEC
[00:46:02.560 --> 00:46:03.720]   knocking on your door.
[00:46:03.720 --> 00:46:04.720]   Yeah.
[00:46:06.200 --> 00:46:08.680]   The truth is, it's a tweet on the Cayman Islands internet now,
[00:46:08.680 --> 00:46:09.240]   anyway, so.
[00:46:09.240 --> 00:46:10.640]   Wow.
[00:46:10.640 --> 00:46:12.320]   Just a kind of a stunning move.
[00:46:12.320 --> 00:46:18.760]   And I think, well, only as they say, only time will tell.
[00:46:18.760 --> 00:46:20.000]   I think they'll do OK.
[00:46:20.000 --> 00:46:22.360]   I think that the cloud market is growing so big
[00:46:22.360 --> 00:46:26.400]   and there's so much headroom and so much that's happening.
[00:46:26.400 --> 00:46:29.840]   They don't even have to have a massive part of that market.
[00:46:29.840 --> 00:46:33.640]   If they can find 5% to 10% of it and serve it really well,
[00:46:33.640 --> 00:46:35.000]   they'll do fine.
[00:46:35.000 --> 00:46:37.800]   Do you think Linus Torvalds is going to get a little check?
[00:46:37.800 --> 00:46:41.440]   No.
[00:46:41.440 --> 00:46:43.480]   I don't think he's going to be looking at this guy.
[00:46:43.480 --> 00:46:44.480]   Maybe.
[00:46:44.480 --> 00:46:45.320]   Maybe.
[00:46:45.320 --> 00:46:47.560]   Unless he invested in Red Hat early on.
[00:46:47.560 --> 00:46:49.600]   Well, he might have some Red Hat stock, actually.
[00:46:49.600 --> 00:46:50.880]   I wouldn't be surprised, right?
[00:46:50.880 --> 00:46:51.480]   He might.
