;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100
;FFMETADATA1
title=TWiT Episode 23
comment=http://twit.tv/23
album=TWiT September 2005
TYER=2005-09-18
genre=Podcast
artist=Leo Laporte
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:06.420]   This is Twitch this week in tech episode 23 for September 18 2005
[00:21:47.300 --> 00:21:50.900]   Google's kind of late to the table. They just just put RSS in Google News
[00:21:50.900 --> 00:21:56.140]   It's like they're discovering RSS. Yeah, that's the real value though of something like this is I
[00:21:56.140 --> 00:22:02.460]   Mean that would be cool if you could just subscribe to a RSS feed and then have a certain term that you're looking for and have that
[00:22:02.460 --> 00:22:07.500]   Content automatically updated, but this is I mean Technorati is doing a better job at this than Google is and
[00:22:07.500 --> 00:22:11.820]   I was when I was reading a post by Dave Weiner on this and he was just like
[00:22:11.820 --> 00:22:17.740]   Why do I want to go to a separate Google site like make it all inclusive and like one single unified Google tool?
[00:22:17.740 --> 00:22:21.420]   Why should I have to go to a separate blog search and it I agree?
[00:22:21.420 --> 00:22:27.180]   I mean well that may be what this is all about because one of the things that people have always complained about is blogs polluted Google right?
[00:22:27.180 --> 00:22:33.140]   Would it be nice if if Google now what I think what Google this is what I think Google really just wants to get rid of blogs out of the search
[00:22:33.140 --> 00:22:36.920]   Because blogs do polluted look what's happened, you know, you search for failure the number one
[00:22:38.380 --> 00:22:42.220]   School result on failure is the is White House dot gov. That's because
[00:22:42.220 --> 00:22:45.300]   No, it's Google bombing
[00:22:45.300 --> 00:22:48.660]   It's because blogs all got together and they all linked to you know
[00:22:48.660 --> 00:22:51.180]   Bush's White House under the word failure and that's
[00:22:51.180 --> 00:22:58.020]   Cry drives Google crazy that pollutes Google. So do you think Google's making some money off of blogs when it comes to advertise?
[00:22:58.020 --> 00:22:59.460]   Well, they own blogger.com
[00:22:59.460 --> 00:23:02.260]   I mean clearly they thought that that was a good place to be but I think they get yes
[00:23:02.260 --> 00:23:05.660]   But they get two benefits and this is why you won't see a single search
[00:23:06.140 --> 00:23:10.580]   That the day with Dave Weiner wants yeah sure Dave Weiner wants that because he wants to promote blogging
[00:23:10.580 --> 00:23:13.100]   But from the point of view to Google this stuff pollutes Google
[00:23:13.100 --> 00:23:18.260]   Let's move it off into a separate server. It has and then we can and then Google can say oh, yeah
[00:23:18.260 --> 00:23:23.340]   We're not gonna index blogs anymore. They've got their own search over there. They ghettoized blogs
[00:23:23.340 --> 00:23:27.460]   It's actually bad for blogging. Do you think that this is the right way that they're going about it because right now
[00:23:27.460 --> 00:23:33.380]   They're well, they're crawling the RSS feeds though versus like I kind of like how technorati goes about it where they have the
[00:23:33.380 --> 00:23:36.300]   Ping and yeah, the tags are also really cool
[00:23:36.300 --> 00:23:40.180]   But it's it seems to me like like David was saying if the content's behind
[00:23:40.180 --> 00:23:43.740]   I mean blogs is all about being able to search his content in real time and find the results
[00:23:43.740 --> 00:23:44.940]   Well, I have to fix that. I mean
[00:23:44.940 --> 00:23:48.660]   I should pull the content and blog contents make it separate from the rest of the search engine
[00:23:48.660 --> 00:23:55.260]   It's so many people with their own blog sites are just reposting information that other bloggers have posted that it just becomes
[00:23:55.260 --> 00:23:57.620]   99% of blogs are wasted time
[00:23:57.620 --> 00:24:01.580]   Don't you think blogs are I mean that come on blogs are wasting I see that on dig occasionally to where it's like
[00:24:01.580 --> 00:24:05.380]   I want to read who originally wrote this story and no, but it's gonna go to somebody click click
[00:24:05.380 --> 00:24:07.420]   Oh, I know that's why we direct me again
[00:24:07.420 --> 00:24:13.260]   We get stories every single day that are reported because they're just simply people repurposing other content and cutting and pasting it
[00:24:13.260 --> 00:24:16.500]   And that's what we have to I just read this let me post it on my blog
[00:24:16.500 --> 00:24:19.900]   Yeah, sometimes you have to click three or four times to find the original source story
[00:24:19.900 --> 00:24:21.740]   Which is what you really want to read well, it's funny
[00:24:21.740 --> 00:24:27.260]   I mean you see that all over the place everywhere from like gizmodos doing gadgets like all over the place are the repurposing news
[00:24:27.260 --> 00:24:32.080]   It's the self-referential internet. It's just it. There's really only seven people the echo
[00:24:32.080 --> 00:24:37.380]   That's what happened. I mean bloggers really thought they were and I suppose it's true podcasting
[00:24:37.380 --> 00:24:43.880]   We're really important because they were all stroking each other and it was just this small group of people going
[00:24:43.880 --> 00:24:47.820]   Yeah, isn't it's great isn't this great in a way that you see in that with podcasting - I think you know
[00:24:47.820 --> 00:24:51.900]   We'll see that a podcast Expo. Yeah, but you may be the first podcast that has three cameras
[00:24:52.940 --> 00:24:58.980]   Three camera podcast is that wild or what? Yeah, I don't know what this is gonna and met amorphos into
[00:24:58.980 --> 00:25:03.860]   I think some of the demand for video was people thought we would do the screen savers again. I get my mother to look I think
[00:25:03.860 --> 00:25:06.540]   Mom look he's center stage
[00:25:06.540 --> 00:25:13.660]   Any other stories you've got there we can actually ask the audience for there do you think that this 17 year old who?
[00:25:13.660 --> 00:25:20.620]   The whole Paris Hilton thing but I actually think he they're throwing him in jail for 11 months
[00:25:20.620 --> 00:25:24.780]   But what I think is ten times worse is the fact that two years after that whole period
[00:25:24.780 --> 00:25:27.300]   He's not supposed to be able to use a net connected device
[00:25:27.300 --> 00:25:31.780]   Can you imagine every frickin device that you're gonna touch from now?
[00:25:31.780 --> 00:25:36.900]   Until two years from now he gets developed is gonna be a net connected device. This guy's gonna be a pariah
[00:25:36.900 --> 00:25:40.220]   He's not gonna be able to date. He's like no help home
[00:25:40.220 --> 00:25:46.180]   He's 20 years old. I'm sorry and now I need the internet by the time he gets out. He's not gonna be able to use an iPod
[00:25:46.180 --> 00:25:48.180]   Oh, yeah, because it's good
[00:25:48.900 --> 00:25:54.980]   Social engineering skills. Yeah, that is that is a harsh punishment. Yeah, but they really keep tabs on that stuff
[00:25:54.980 --> 00:25:59.340]   I mean did Kevin Mitnick really not go online at late at night when he's kind of
[00:25:59.340 --> 00:26:05.100]   We had Mitnick on the screen savers his supposedly his first day right on the internet
[00:26:05.100 --> 00:26:09.220]   I never bought it that he'd never been on the internet, but you have to say that well, I mean
[00:26:09.220 --> 00:26:13.900]   Well, I'm not gonna. Yeah, I'm not gonna. Yeah, I don't want him to go back to jail
[00:26:13.900 --> 00:26:17.180]   I'm gonna accuse him of anything, but but really come on. Yeah
[00:26:17.220 --> 00:26:22.380]   Now maybe we could is there a statute of limitations? Maybe what that's what we should have a small have a special twit
[00:26:22.380 --> 00:26:28.040]   Kevin Mitnick's statue of limitations expires and we can ask him so you're on the net weren't you come on?
[00:26:28.040 --> 00:26:34.820]   Well, I wasn't he I gave him this this tells you how long ago it was was he gave him a power book really nice
[00:26:34.820 --> 00:26:39.460]   We were all excited giga giga Hertz power. Oh giga Hertz power book. That was the fastest thing out there
[00:26:39.460 --> 00:26:41.820]   Remember he was selling his old
[00:26:41.820 --> 00:26:46.500]   Laptops on eBay the ones that he got caught with oh was he the answer wait he gave you something. What do you have?
[00:26:46.500 --> 00:26:48.500]   I have wallet that he got caught with
[00:26:48.500 --> 00:26:53.300]   They gave you his wallet. Yeah, he gave me nothing
[00:26:53.300 --> 00:26:57.320]   He gave you his wallet really yeah, I got it signed in early
[00:26:57.320 --> 00:27:02.780]   Yeah, pick the pocket
[00:27:02.780 --> 00:27:07.300]   Are you should invite Kevin Mitnick to be on well, I will yeah, I'd love to he's he's still dating
[00:27:07.300 --> 00:27:13.100]   Darcy in Kevin. I don't know I haven't talked to Darcy in so long. She's listening right now. You want to say anything to her?
[00:27:13.100 --> 00:27:15.100]   I
[00:27:15.100 --> 00:27:22.460]   Email it to she was a character see is Darcy worked on the screen savers. She was quite a character with a little bunny years
[00:27:22.460 --> 00:27:27.220]   She used to wear bunny years. You know that asteroids machine. That's right. She owned that was really nice of her
[00:27:27.220 --> 00:27:29.860]   She let us have that yeah, sorry asteroids coin up recondition
[00:27:29.860 --> 00:27:36.140]   and then and so she was working quite attractive young lady and we had Kevin on the show a couple of times
[00:27:36.140 --> 00:27:42.620]   Mitnick not rose right and he could you know he had eyes for so they started dating and then he stole her away
[00:27:42.620 --> 00:27:45.800]   Yeah, and you can visit her at labmistress.com. That's her
[00:27:45.800 --> 00:27:49.060]   Say what is she doing?
[00:27:49.060 --> 00:27:54.640]   They just got a bunch of baby photos last time I talked to Kevin, which is about six months ago something like that
[00:27:54.640 --> 00:27:58.700]   She I arranged it through her so I think she's you know, she's like still working
[00:27:58.700 --> 00:28:03.700]   There is something on the website called the Mitnick monitor keeping up with Kevin. It ain't easy that guy
[00:28:03.700 --> 00:28:08.620]   I mean talk you want to do well in life go to jail for a few years as a hacker
[00:28:09.100 --> 00:28:13.400]   He's on lecture tour not he was on like alias or something like that. You know that show yeah
[00:28:13.400 --> 00:28:16.520]   Yeah, he was on there as an extra something that has a hacker and yeah, he's like it
[00:28:16.520 --> 00:28:19.780]   You know he's making tons of money and it's awesome last time I talked to him
[00:28:19.780 --> 00:28:23.100]   He had just come from Singapore. He was in Australia that you know the week before that
[00:28:23.100 --> 00:28:27.060]   He's on you know his new book is that we'll get him on. He's a good guy. Yeah, I'd love Kevin
[00:28:27.060 --> 00:28:30.220]   We'll definitely get him on he gave you his wallet. Yeah
[00:28:30.220 --> 00:28:37.300]   I gave him my entire Tom Petty collection because he just got out of jail and he wants some music and he gave you his wallet
[00:28:37.300 --> 00:28:45.360]   Okay, it's all right, you know, I'm not sensitive. It's okay. I can bring it
[00:28:45.360 --> 00:28:48.180]   You can check it out if you want to live. Is it is it cool? Yeah, it's pretty cool
[00:28:48.180 --> 00:28:51.300]   Take it back with me, but you can check it out. You should put it in plastic or something
[00:28:51.300 --> 00:28:57.100]   It is it's in a FBI envelope. Oh, even better. Yeah, I label across. Oh, you got some fish on that and put it on the wall
[00:28:57.100 --> 00:29:00.540]   Yeah, it's in a closet. Hey, hey, babe
[00:29:00.540 --> 00:29:06.420]   If you need money if you ever need money for system thing doesn't work. Hey, tell us about the episode that's coming out on Monday
[00:29:06.420 --> 00:29:11.820]   Yes, we have a brand new episode coming out. It's going to be all about how to podcast and
[00:29:11.820 --> 00:29:15.060]   You're in it Leo. I heard that. Yes. We actually
[00:29:15.060 --> 00:29:20.820]   We start with the basic hardware and then we show an advanced setup, which is of course your
[00:29:20.820 --> 00:29:25.740]   Your setup. It's more advanced now. Look at this. I know it's gotten pretty crazy and crazy
[00:29:25.740 --> 00:29:28.740]   But yeah, so if you ever wanted to create your own podcast
[00:29:28.740 --> 00:29:33.660]   It's pretty much anything and everything you'll need to know to be able to post it online and create it from the hardware that you need to buy to
[00:29:33.660 --> 00:29:35.900]   compressing and uploading and
[00:29:36.100 --> 00:29:40.140]   So yeah, so really we should have interviewed Doug for the for this that pioneer
[00:29:40.140 --> 00:29:47.580]   What do you think of podcasting Doug? You think it's going places? You think this is a flash the pants and other I never really know what it's already
[00:29:47.580 --> 00:29:53.180]   Gone past that I think it's already established. Yeah, I think so. I mean who knows what it actually becomes total
[00:29:53.180 --> 00:29:56.660]   What are your total downloads look like for all of the well?
[00:29:56.660 --> 00:29:58.780]   We did 11 terabytes of audio in July
[00:29:58.780 --> 00:30:05.340]   So I've been a lot. I'm not sure what the numbers work out to be I didn't bring this. I think we're we're around that
[00:30:05.340 --> 00:30:10.340]   We did 27 terabytes. Well, we do it with more shows on fewer listens, right?
[00:30:10.340 --> 00:30:13.500]   Right, but yeah, it gets up there. I think
[00:30:13.500 --> 00:30:20.340]   You know, I mean the most telling sign about podcasting is probably the recent investments in Adam Curry's company
[00:30:20.340 --> 00:30:25.700]   Podshow where you've got Kleiner Perkins. Yeah, and who's the other one was it? Sequoia?
[00:30:25.700 --> 00:30:31.460]   Sequoia, yeah, give the big one that it yeah, I mean they invested 8.55 million
[00:30:31.900 --> 00:30:35.180]   Dollars doesn't matter the real key here is that
[00:30:35.180 --> 00:30:42.620]   John door and Ray Lane are personally on their board of directors Wow and those guys, you know, they don't give up their time easily
[00:30:42.620 --> 00:30:46.500]   So I think the key is that this is and this is not podcasting
[00:30:46.500 --> 00:30:51.860]   I don't think they call it podcasting, but I think there's something much much bigger of foot. What is pod show?
[00:30:51.860 --> 00:30:54.180]   What is it? What is he trying to do pod show is I?
[00:30:54.180 --> 00:30:56.340]   would say it's a
[00:30:56.340 --> 00:30:58.340]   company that's trying to
[00:30:58.340 --> 00:31:02.620]   Up front is trying to take advantage of every opportunity in podcasting which is
[00:31:02.620 --> 00:31:08.820]   advertising content distribution all the pieces of it, but I think in fact that
[00:31:08.820 --> 00:31:15.780]   That's something much bigger going on and I look at it this way. I say well, what's the next NBC?
[00:31:15.780 --> 00:31:22.540]   You know, what's gonna be the NBC that incorporates the buying habits and the lot of the watching and listening habits
[00:31:22.540 --> 00:31:25.060]   That's what he wants today. Yeah, I think so
[00:31:25.060 --> 00:31:32.140]   I mean, I think you know if you look at iTunes and imagine where that's going if you look at what's happening in the in the music industry today
[00:31:32.140 --> 00:31:34.740]   The distribution is changing dramatically
[00:31:34.740 --> 00:31:37.260]   recognizing that that in
[00:31:37.260 --> 00:31:41.940]   Film and television and to some extent radio distribution is gonna change also
[00:31:41.940 --> 00:31:43.260]   I think it's gonna be quite different
[00:31:43.260 --> 00:31:48.660]   I had to say that that's one of the things that kind of bugs me about pod show is it looks like it's an attempt to build a big
[00:31:48.660 --> 00:31:50.660]   business out of
[00:31:50.660 --> 00:31:56.660]   What is I like which is grassroots? There's room for all of us. Yeah, you know, I'm doing it nonprofit
[00:31:56.660 --> 00:32:00.460]   Yeah, I'm going really the other extreme. I'm doing nonprofit, but not on purpose
[00:32:00.460 --> 00:32:02.220]   I
[00:32:02.220 --> 00:32:06.780]   You know, I think from our perspective, you know if we can get everybody able to listen
[00:32:06.780 --> 00:32:13.660]   On a much larger scale that's gonna be good for all of us right? So I think it's a I mean fascinated to watch it
[00:32:13.660 --> 00:32:18.100]   You'd like to do that Kevin with revision three. You'd like to build a network, right? Yeah, I mean, it's it's
[00:32:18.740 --> 00:32:20.980]   I really like the fact that we're putting together
[00:32:20.980 --> 00:32:25.220]   I mean Martin Sargent just agreed to do are you kidding a podcast with us? Oh, that's great
[00:32:25.220 --> 00:32:27.420]   So he's gonna be putting out a podcast here. What's it gonna do?
[00:32:27.420 --> 00:32:28.140]   I
[00:32:28.140 --> 00:32:35.300]   I think it's kind of a hybrid of what unscrewed was and changed the video or audio. It's gonna be it's gonna be audio
[00:32:35.300 --> 00:32:39.940]   Initially, it's called infected is it's gonna be great. So it's just another
[00:32:39.940 --> 00:32:45.180]   It's pretty much gonna be the the pod the podcast very podcast a podcast
[00:32:45.380 --> 00:32:51.140]   But you know you probably can get a little bit of a hint of what kind of stuff it'll be just by visiting his website
[00:32:51.140 --> 00:32:55.660]   Yeah, I think what is the URL? I think it's what is it Sarge world?
[00:32:55.660 --> 00:32:59.420]   Yeah, Sarge world there was a fake one, but this is the real one
[00:32:59.420 --> 00:33:05.020]   That's the real one and really it's it's Martin Sargent the character. Yeah, definitely
[00:33:05.020 --> 00:33:07.820]   Well, I always thought Marty could do a great podcast
[00:33:07.820 --> 00:33:14.260]   In fact, I wanted to get him on here, but he's in LA so yeah Marty if you're listening come up be part of the show
[00:33:14.260 --> 00:33:16.260]   Is he gonna be doing it down there? He'll be doing it down there
[00:33:16.260 --> 00:33:18.380]   him
[00:33:18.380 --> 00:33:23.540]   Joey Joey Joey Joey Joey intern. That's a that's an unholy alliance
[00:33:23.540 --> 00:33:27.980]   He's a Joey is extremely capable and so he's gonna be the technical
[00:33:27.980 --> 00:33:33.220]   Technical driving force of getting this thing because what they're gonna do is they're gonna record that give it to us
[00:33:33.220 --> 00:33:38.840]   He's gonna do the smarts really to add it to do anything like that. I mean, I don't know is he I mean
[00:33:38.840 --> 00:33:42.140]   Joey also built Sarge world calm. So yeah, well, that's the thing
[00:33:42.140 --> 00:33:45.740]   I mean everybody like Martin needs somebody like Joey to kind of
[00:33:45.740 --> 00:33:48.300]   prop them up. Yeah, yeah, I
[00:33:48.300 --> 00:33:52.580]   Don't mean that in a negative way. I just mean that Martin wants to focus on the artistic and
[00:33:52.580 --> 00:33:55.660]   Joey somebody needs somebody to put a microphone in front of him
[00:33:55.660 --> 00:33:58.900]   Okay, not saying a thing
[00:33:58.900 --> 00:34:03.140]   One of the things that you posted also was the you know
[00:34:03.140 --> 00:34:07.420]   Microsoft putting out, you know more. Oh, yeah head to head with Adobe
[00:34:07.420 --> 00:34:08.740]   I think this is actually very interesting
[00:34:08.740 --> 00:34:12.540]   I'd like to hear what you think of this Alex Microsoft does want to eat Adobe's lunch
[00:34:12.540 --> 00:34:14.740]   They want to get in that Photoshop space. They have this new well
[00:34:14.740 --> 00:34:18.820]   I think they want to get into the element. I think they want to get into the elements below in I don't think that there people have
[00:34:18.820 --> 00:34:21.540]   Been saying they've been writing in Adobe Photoshop killer for a while though. Yeah
[00:34:21.540 --> 00:34:25.860]   Well, I think that the problem is is that I mean the people who are really paying for Photoshop
[00:34:25.860 --> 00:34:29.220]   I mean there's a lot of who who aren't paying for Photoshop, but for the people who are paying for Photoshop
[00:34:29.220 --> 00:34:35.300]   You know the designers the you know all those other things they're not I don't think they're gonna be using a mic
[00:34:35.300 --> 00:34:38.900]   You know buying a Microsoft product anytime soon, you know away from what they're doing
[00:34:38.900 --> 00:34:43.940]   I think that the real market there what what Adobe has left open for a long time is this
[00:34:43.940 --> 00:34:48.980]   They have elements which is very crippled compared to you know the full Photoshop, right?
[00:34:48.980 --> 00:34:54.740]   And then they have no space in between I mean there's you know, there's a six hundred and fifty dollar Photoshop middle where the middle
[00:34:54.740 --> 00:35:00.220]   Exactly, there's rumors that the next version of Photoshop will split so you'll have a photo like the base
[00:35:00.220 --> 00:35:03.140]   You have Photoshop that is less expensive that has some of like
[00:35:03.540 --> 00:35:05.620]   There's a version or a yeah
[00:35:05.620 --> 00:35:09.700]   I mean there's there's some things that are in in Photoshop that are pretty esoteric
[00:35:09.700 --> 00:35:15.700]   I mean guys like me use it but a lot of people like HDR how many most people who use Photoshop don't even know what HDR's are and
[00:35:15.700 --> 00:35:19.220]   There's a feature in there that'll build your own HDR's from a series of photos
[00:35:19.220 --> 00:35:23.380]   I don't know what HDR kind of dynamic range it takes a whole bunch of exposures and sticks them all in
[00:35:23.380 --> 00:35:25.300]   So you're saying Microsoft can't get into that space?
[00:35:25.300 --> 00:35:26.900]   No, I'm saying that Microsoft is gonna
[00:35:26.900 --> 00:35:33.060]   I think they're gonna put more pressure on Adobe to put more features into either Photoshop elements or bring a version of Photoshop into the two or three
[00:35:33.060 --> 00:35:35.060]   Hundred dollar range that people can really afford
[00:35:35.060 --> 00:35:41.300]   There's so much standardization Photoshop is so mature and so much, you know owns so much of the market
[00:35:41.300 --> 00:35:44.780]   I mean it's basically the Microsoft of image editing in a lot of ways
[00:35:44.780 --> 00:35:47.300]   I think the problem with Microsoft is they're gonna do what they you know
[00:35:47.300 --> 00:35:49.860]   They're gonna do what they always do which is they're gonna build a lukewarm
[00:35:49.860 --> 00:35:53.780]   It's the new kind of half done version of something that is already pretty good
[00:35:53.780 --> 00:35:59.900]   What I what is good is that somebody's gonna get push Adobe a little bit because Adobe is you know the development
[00:36:00.180 --> 00:36:03.180]   They have to keep it stable so it's it's a very slow development
[00:36:03.180 --> 00:36:06.180]   But it would be really nice to get them pushed to a little competition wouldn't hurt
[00:36:06.180 --> 00:36:09.220]   It would be really great to have to get cheaper versions of Photoshop
[00:36:09.220 --> 00:36:12.820]   Right, you know which I think is I think that Adobe couldn't get make a lot more money
[00:36:12.820 --> 00:36:17.060]   If they had a version of Photoshop that was $2.99 or what do you know?
[00:36:17.060 --> 00:36:20.580]   What do you think of the whole open source GIMP project?
[00:36:20.580 --> 00:36:22.500]   GIMP is I think it's really cool
[00:36:22.500 --> 00:36:27.540]   I know that there's some production companies that use it because for a long time it had features that Photoshop didn't have
[00:36:27.700 --> 00:36:32.140]   You know some of those 16 bit editing and high, you know and some really specific things
[00:36:32.140 --> 00:36:36.060]   But the problem that it really needs what it really needs is an over an overhaul
[00:36:36.060 --> 00:36:40.860]   You know of the interface of the of the user experience speaking of which my buddy Scott Michelle
[00:36:40.860 --> 00:36:45.700]   It just created a version of GIMP called GIMP Shop. Yeah. Yeah. Yeah. That's wild that GIMP shop's been out for a while
[00:36:45.700 --> 00:36:48.940]   But it's getting a lot of attention now. He's a producer at AOTS
[00:36:48.940 --> 00:36:53.140]   Yeah, he's my old roommate back in in LA. Now. He said he's not a programmer
[00:36:53.140 --> 00:36:55.780]   But how did he do this? Well, basically, I mean, there's just a bunch of
[00:36:56.180 --> 00:36:59.400]   Files that you can edit before you read the resources. So he's just editing the research
[00:36:59.400 --> 00:37:04.000]   Yeah, he's just rearranging the menus renaming a lot of the menu things to be you know all Photoshop menus
[00:37:04.000 --> 00:37:09.640]   So if you go into GIMP shop launch it looks just like Photoshop just like Photoshop all the menu options are exactly the same
[00:37:09.640 --> 00:37:12.380]   I was thrilled that he did that cross-platform. Yeah, it's
[00:37:12.380 --> 00:37:18.800]   He made it for us 10 and it was popular enough that other people made it so a version that would work in Linux a version that
[00:37:18.800 --> 00:37:23.000]   Would work in Windows, but didn't yeah the GIMP you know purists getting mad at it. Oh, yeah, they were pissed
[00:37:23.000 --> 00:37:26.160]   It was so funny because when he originally he's like, oh, I need some help
[00:37:26.160 --> 00:37:30.440]   And I was I was watching through this entire process and he he posted to some of the the GIMP
[00:37:30.440 --> 00:37:35.520]   Like official websites and asking they're like don't even go there. We're not gonna help you so he had to do it all on his own
[00:37:35.520 --> 00:37:39.680]   Well, he did it and that's what's held but I would argue that's what's held GIMP back for so long
[00:37:39.680 --> 00:37:44.200]   Are the people who create it, you know, and this is always you know the revolutionaries who created it, you know
[00:37:44.200 --> 00:37:46.440]   Didn't want it. They don't want to be just another Photoshop
[00:37:46.440 --> 00:37:47.520]   But that's what they need to be you know
[00:37:47.520 --> 00:37:50.120]   It like when I was working it when I was working at Lucasfilm
[00:37:50.120 --> 00:37:53.520]   We had this meeting with at the time Metacrations who had painter and they were
[00:37:53.520 --> 00:37:58.480]   And they asked they were like how can you how can we get you to use painter instead of Photoshop?
[00:37:58.480 --> 00:38:00.480]   And we were like we'll make it look more like Photoshop
[00:38:00.480 --> 00:38:05.720]   I know all the menus. I don't want to I don't want to learn something he didn't add any functionality
[00:38:05.720 --> 00:38:08.080]   He's not a programmer all he did is make the menu
[00:38:08.080 --> 00:38:11.400]   He was just interviewed by some of the guys that do the
[00:38:11.400 --> 00:38:13.520]   open source
[00:38:13.520 --> 00:38:15.520]   O'Reilly's open source
[00:38:15.880 --> 00:38:20.800]   publication and there the beginning of that article said that he's he's straddling the line between
[00:38:20.800 --> 00:38:26.040]   Upsetting the people at Adobe and upsetting all the all the developers of the original developers
[00:38:26.040 --> 00:38:27.640]   He made a lot of end users happy
[00:38:27.640 --> 00:38:31.240]   I think it was a great thing a great idea to do and what I really like is he's not a programmer
[00:38:31.240 --> 00:38:33.880]   He just said you know, it's easy. He'll just change the menus a little bit
[00:38:33.880 --> 00:38:37.480]   Yeah, I think for people who want to play with photos. I think it's a really great option
[00:38:37.480 --> 00:38:42.920]   I think for pros the prop what a Photoshop brings is this incredible stability, you know, interactive
[00:38:42.920 --> 00:38:48.440]   You know there for the pros and I mean but for people getting into it $650 is a lot of money to buy for our image
[00:38:48.440 --> 00:38:52.080]   I did the pros have the money. Yeah, they can afford to work. Well, we're said if that's what you do
[00:38:52.080 --> 00:38:53.080]   It's well
[00:38:53.080 --> 00:38:59.560]   And once again, hopefully this pushes Adobe to give us more more features in elements or a more affordable version
[00:38:59.560 --> 00:39:00.840]   I don't think it has to be 50 bucks
[00:39:00.840 --> 00:39:03.960]   I think it can be a hundred ninety nine bucks or two hundred forty nine bucks
[00:39:03.960 --> 00:39:07.960]   But they need a version that's much closer to the ground than one ninety nine. That sounds nice
[00:39:07.960 --> 00:39:12.360]   One ninety nine would be first something rice point if it didn't do everything right fine
[00:39:12.360 --> 00:39:17.400]   I mean if it didn't do 16 bit like most people don't don't even know why they would use 16 bit pros all know why
[00:39:17.400 --> 00:39:21.320]   They use 16 bit or 32 bit to to not have you know
[00:39:21.320 --> 00:39:23.200]   Maybe not even have access to CMYK space
[00:39:23.200 --> 00:39:27.360]   I mean, you know that kind of thing for the 199 version that starts to make a lot more sense
[00:39:27.360 --> 00:39:32.400]   Well, I thought that was kind of the idea of elements was it was pretty close to that it was and then of course the problem term from
[00:39:32.400 --> 00:39:37.960]   Like he is that they take out stuff like I mean they take out things that are they cripple things that that I don't think are are
[00:39:37.960 --> 00:39:40.560]   appropriate like they
[00:39:40.560 --> 00:39:45.800]   You know, they take out channels, you know, which just takes out that's 99% of the function
[00:39:45.800 --> 00:39:50.080]   I mean for like little retouching and everything else it is what it is
[00:39:50.080 --> 00:39:54.880]   But for big stuff it becomes a real issue when you you can't do anything really cool
[00:39:54.880 --> 00:39:57.480]   If you can't get ahold of the channels so Tivo
[00:39:57.480 --> 00:40:05.520]   Is I think we want Robert to talk about this so in gadget publish the picture and it's pretty clear that in the seven version seven of Tivo
[00:40:06.040 --> 00:40:10.920]   Which is a beta actually well a broadcaster is going to be allowed to set a flag
[00:40:10.920 --> 00:40:17.880]   They call it the red flag that deletes the show it says you can only keep the show for X number of days and then
[00:40:17.880 --> 00:40:22.120]   We're gonna erase it from your hard drive. There are three modes. It's macro vision
[00:40:22.120 --> 00:40:23.080]   That's all it is
[00:40:23.080 --> 00:40:28.560]   They've added macro vision support fully and two reasons Tivo did that was one so that they could offer
[00:40:28.560 --> 00:40:33.840]   The ability to burn stuff to a DVD and still retain some kind of copy protection on that
[00:40:33.960 --> 00:40:38.360]   That's really the number one so when you burn it to a DVD from the Tivo it will put macro vision on there
[00:40:38.360 --> 00:40:43.360]   So you actually have the immediate access key that you know that is that Tivo to go or is it something separate?
[00:40:43.360 --> 00:40:48.280]   No, that is it is Tivo to go it is the function that allows you to drag that content into your PC
[00:40:48.280 --> 00:40:51.120]   Right use a special burning out with the key
[00:40:51.120 --> 00:40:56.120]   Why do you what was the story with his screen because I'm looking at engage and it says you know
[00:40:56.120 --> 00:40:59.920]   Thanks for recording this program. You have seven days to watch up to this point
[00:40:59.920 --> 00:41:02.760]   They've said it's only going to apply to premium content like pay per view events
[00:41:02.760 --> 00:41:08.880]   This is like a PBS show but it was revealed that they can actually any broadcast the broadcast could flip it any broadcast
[00:41:08.880 --> 00:41:13.040]   Or good and that's where I really think this probably happened was that they probably have so much equipment sitting around this
[00:41:13.040 --> 00:41:19.240]   It was probably defaulted to say you know what enable macro vision nobody else is using it who cares and then also
[00:41:19.240 --> 00:41:23.120]   But the macro vision I thought was just copy protection this actually deletes the file
[00:41:23.120 --> 00:41:27.120]   There's just they can flag it to say you can never copy it or for the next seven days
[00:41:27.120 --> 00:41:31.120]   It can be unlimited you can do whatever you want with it for the next oh so this was that you can't copy it
[00:41:31.120 --> 00:41:32.920]   Not that you not that it will delete it
[00:41:32.920 --> 00:41:37.780]   It the copying part also relates to that you can have networked Tivo's and you can actually set content for one
[00:41:37.780 --> 00:41:43.680]   Tivo to another and then doing that and then being able to re burn it off say with some of the set top DVD recorder
[00:41:43.680 --> 00:41:47.920]   But they had it's just a way for them to limit it and it's standard
[00:41:47.920 --> 00:41:52.160]   I don't imagine very many broadcasters are going to enable that just to keep it easy
[00:41:52.160 --> 00:41:57.120]   You know real audio has something similar you just flip this bit and people can't record it and everybody flips it
[00:41:57.120 --> 00:42:00.960]   If every broadcaster does start using this why is Tivo doing this though?
[00:42:00.960 --> 00:42:02.220]   It seems like such a stupid
[00:42:02.220 --> 00:42:05.920]   They're going to shoot themselves in the foot because nobody wants a machine that restricts hella
