;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[00:29:35.680 --> 00:29:36.680]   They're going to buy Doge...
[00:29:36.680 --> 00:29:42.240]   How do you hand down your Dogecoin or your Bitcoin?
[00:29:42.240 --> 00:29:43.240]   Well, this is the thing.
[00:29:43.240 --> 00:29:44.400]   There are ways to do it.
[00:29:44.400 --> 00:29:47.680]   I gave my son my Bitcoin wallet, but that's only because...
[00:29:47.680 --> 00:29:51.000]   And by the way, there's eight Bitcoin in it, but that's only because I can't remember
[00:29:51.000 --> 00:29:52.000]   the password.
[00:29:52.000 --> 00:29:54.640]   So he gave up by trying to crack it.
[00:29:54.640 --> 00:29:56.040]   See, that's a big problem.
[00:29:56.040 --> 00:30:00.720]   I wrote a feature for Business Week a few years ago and spoke to a guy who...
[00:30:00.720 --> 00:30:02.240]   I mean, it was very sad.
[00:30:02.240 --> 00:30:05.680]   His son was killed in a plane crash.
[00:30:05.680 --> 00:30:08.040]   But they don't know his password.
[00:30:08.040 --> 00:30:12.600]   But he bought Bitcoin within the first few weeks or something of it existing and it would
[00:30:12.600 --> 00:30:14.880]   have been worth a lot of money.
[00:30:14.880 --> 00:30:16.600]   But there's just no way to access it.
[00:30:16.600 --> 00:30:18.000]   And I think we're going to see a lot of that.
[00:30:18.000 --> 00:30:22.760]   And I'm very interested to see whether it's inheritance.
[00:30:22.760 --> 00:30:26.480]   People who are writing wills and insurance and stuff, like, how are they going to respond
[00:30:26.480 --> 00:30:32.240]   to the fact that a lot of average person in the street is going to have a bunch of crypto
[00:30:32.240 --> 00:30:34.880]   and they're going to want to have to protect it.
[00:30:34.880 --> 00:30:36.920]   I think they're going to see a lot of stuff happening.
[00:30:36.920 --> 00:30:42.760]   Charlie Munger, who is a Warren Buffett's partner at Berkshire Hathaway, calls Bitcoin
[00:30:42.760 --> 00:30:46.960]   disgusting and bad for civilization.
[00:30:46.960 --> 00:30:49.000]   I saw this.
[00:30:49.000 --> 00:30:55.680]   I saw this and I'm like, I agree with every word you're saying, yes, you're dead on.
[00:30:55.680 --> 00:30:58.400]   And yet I'm making so much money for the money.
[00:30:58.400 --> 00:31:00.400]   I'm going to get free a day.
[00:31:00.400 --> 00:31:01.400]   Oh, that's right.
[00:31:01.400 --> 00:31:02.400]   You're mining.
[00:31:02.400 --> 00:31:03.400]   That's what you're using that rig for.
[00:31:03.400 --> 00:31:04.800]   And now I understand.
[00:31:04.800 --> 00:31:06.400]   Is it pay for itself?
[00:31:06.400 --> 00:31:08.400]   I bought it to game.
[00:31:08.400 --> 00:31:13.400]   And then, you know, Christina, like for rocket segment, we were like, can you make money
[00:31:13.400 --> 00:31:15.600]   through cryptocurrency mining?
[00:31:15.600 --> 00:31:17.200]   I was just curious about it.
[00:31:17.200 --> 00:31:23.520]   So I set it up to do Ethereum mining with NiceMiner and Leo, I swear, even subtracting
[00:31:23.520 --> 00:31:28.880]   electricity costs, I make $35 a day, I mean, every couple of days.
[00:31:28.880 --> 00:31:29.880]   That's pretty good.
[00:31:29.880 --> 00:31:30.880]   Doing crypto mining.
[00:31:30.880 --> 00:31:31.880]   That's your profit.
[00:31:31.880 --> 00:31:32.880]   Like, that's real.
[00:31:32.880 --> 00:31:34.600]   I think electricity is so expensive in California.
[00:31:34.600 --> 00:31:38.960]   I don't know how viable that would be, but maybe in Massachusetts, it's not as expensive.
[00:31:38.960 --> 00:31:41.240]   Especially once I get solar panels in my house.
[00:31:41.240 --> 00:31:44.160]   Well, we have 60 solar panels and two Tesla batteries.
[00:31:44.160 --> 00:31:48.280]   I guess I probably should be mining with that rig instead of playing Valheim.
[00:31:48.280 --> 00:31:49.280]   I am mining.
[00:31:49.280 --> 00:31:53.720]   I mean, I have a pickaxe and I'm digging a troll trench, but I don't know if that counts
[00:31:53.720 --> 00:31:55.240]   as Bitcoin.
[00:31:55.240 --> 00:31:57.200]   Here's the quote.
[00:31:57.200 --> 00:31:59.600]   Oh, I don't know if my, we never tested my audio.
[00:31:59.600 --> 00:32:05.120]   We're going to do this every time on this on a computer that seems to revert its settings
[00:32:05.120 --> 00:32:06.120]   every time.
[00:32:06.120 --> 00:32:07.120]   Okay, I think it's okay.
[00:32:07.120 --> 00:32:12.760]   Let me play this audio from the Berkshire Hathaway meeting this week.
[00:32:12.760 --> 00:32:16.360]   Well, this is Charlie Munger.
[00:32:16.360 --> 00:32:24.280]   Those who know me well are just waving the red flag of the bull.
[00:32:24.280 --> 00:32:29.280]   Of course I hate the Bitcoin success.
[00:32:29.280 --> 00:32:34.560]   I don't welcome a currency that's so useful and the kidnappers and extortionists and so
[00:32:34.560 --> 00:32:35.560]   forth.
[00:32:35.560 --> 00:32:41.280]   Nor do I like just shuffling out a few extra billions and billions.
[00:32:41.280 --> 00:32:45.160]   By the way, I got to point out this is at the Berkshire Hathaway meeting because they
[00:32:45.160 --> 00:32:46.160]   own C's candy.
[00:32:46.160 --> 00:32:51.040]   There's a big box of peanut brittle and because they looks like, is that Coca-Cola?
[00:32:51.040 --> 00:32:52.680]   I think they're big in Coca-Cola as well.
[00:32:52.680 --> 00:32:56.120]   There are a couple of cans of Coca-Cola and some Fiji water on there.
[00:32:56.120 --> 00:32:57.880]   They don't mind plugging their own stuff.
[00:32:57.880 --> 00:33:03.040]   It's dollars to somebody who just invented a new financial product out of thin air.
[00:33:03.040 --> 00:33:04.040]   Dogecoin.
[00:33:04.040 --> 00:33:06.680]   So they should have asked about Dogecoin.
[00:33:06.680 --> 00:33:12.040]   I think I should say modestly that I think the whole damn development is disgusting and
[00:33:12.040 --> 00:33:15.720]   contrary to the interests of civilization.
[00:33:15.720 --> 00:33:20.120]   I'll leave the criticism to others.
[00:33:20.120 --> 00:33:21.120]   Wow.
[00:33:21.120 --> 00:33:27.760]   More in Buffett says, I'm okay on that one.
[00:33:27.760 --> 00:33:32.600]   You know, I have to say when you watch this, these guys are older than me.
[00:33:32.600 --> 00:33:34.680]   That's pretty old.
[00:33:34.680 --> 00:33:39.320]   It really feels like the old generation, well, there's nothing wrong with stocks.
[00:33:39.320 --> 00:33:45.320]   Looking at the new generation, you kids and your crazy crypto currencies, maybe, I don't
[00:33:45.320 --> 00:33:48.800]   know, a fiat currencies fiat currency.
[00:33:48.800 --> 00:33:55.480]   I don't think Bitcoin's any sketcher than any other cryptocurrency or fiat currency.
[00:33:55.480 --> 00:33:59.240]   I feel like there's a cultural element to it.
[00:33:59.240 --> 00:34:01.120]   There is the environmental impact though.
[00:34:01.120 --> 00:34:02.120]   We can't ignore that.
[00:34:02.120 --> 00:34:03.120]   Oh, it's terrible.
[00:34:03.120 --> 00:34:04.120]   It's terrible.
[00:34:04.120 --> 00:34:05.400]   I want to be really clear.
[00:34:05.400 --> 00:34:08.840]   I am a monster for participating in this.
[00:34:08.840 --> 00:34:13.240]   You're burning hydrocarbons, pumping them into the air so you can make your crappy 35
[00:34:13.240 --> 00:34:14.240]   bucks a day.
[00:34:14.240 --> 00:34:15.240]   Thank you.
[00:34:15.240 --> 00:34:16.240]   I'm ashamed of you, Breanne.
[00:34:16.240 --> 00:34:18.720]   I feel bad about her, really.
[00:34:18.720 --> 00:34:21.160]   And then I buy some Chipotle for lunch.
[00:34:21.160 --> 00:34:24.200]   She drives her Porsche Boxster around.
[00:34:24.200 --> 00:34:25.200]   Yeah.
[00:34:25.200 --> 00:34:26.200]   Okay, no problem.
[00:34:26.200 --> 00:34:32.920]   No, but I wanted to say I think that part of the reason this is grabbed so much of the
[00:34:32.920 --> 00:34:40.480]   cultural zeitgeist, especially with millennials and people younger, is I think there's a growing
[00:34:40.480 --> 00:34:46.280]   sense that the financial industry is fundamentally corrupt.
[00:34:46.280 --> 00:34:50.640]   And I think there's a sense that this is the way we get rich.
[00:34:50.640 --> 00:34:51.920]   This is our time.
[00:34:51.920 --> 00:34:54.440]   This is our scheme.
[00:34:54.440 --> 00:35:02.120]   And I think it's about, I think, so much of the Bitcoin fever, I think it's about a resentment
[00:35:02.120 --> 00:35:06.920]   about a monetary system that works for the Warren Buffet's of the world.
[00:35:06.920 --> 00:35:09.960]   And isn't working for a lot of people under 40?
[00:35:09.960 --> 00:35:11.440]   Yeah, totally great.
[00:35:11.440 --> 00:35:15.520]   And if you look at the GameStop stock manipulation, it's exactly the same thing.
[00:35:15.520 --> 00:35:19.880]   It's a lot of younger people saying, "We can manipulate the market as well.
[00:35:19.880 --> 00:35:22.560]   This system has been stacked against us for so long.
[00:35:22.560 --> 00:35:26.000]   But if we get together, we can actually make this work and we can show just how ridiculous
[00:35:26.000 --> 00:35:27.200]   this entire thing is."
[00:35:27.200 --> 00:35:32.000]   And I think that really shed a lot of light on people's perspectives in terms of investment
[00:35:32.000 --> 00:35:35.320]   crypto versus a traditional stock market investment.
[00:35:35.320 --> 00:35:37.000]   That everything is kind of imaginary.
[00:35:37.000 --> 00:35:38.240]   Everything is built on faith.
[00:35:38.240 --> 00:35:39.960]   Everything is built on what everybody else is doing.
[00:35:39.960 --> 00:35:44.240]   So there's no reason to think that one thing is inherently more valuable than something
[00:35:44.240 --> 00:35:45.240]   else.
[00:35:45.240 --> 00:35:46.240]   It's all just numbers on a screen.
[00:35:46.240 --> 00:35:47.240]   Yeah.
[00:35:47.240 --> 00:35:48.240]   At this point, it's bits.
[00:35:48.240 --> 00:35:50.240]   It's not even anything.
[00:35:50.240 --> 00:35:51.240]   It's just bits.
[00:35:51.240 --> 00:35:55.680]   It's all bits.
[00:35:55.680 --> 00:35:57.720]   And Nate, you wanted to mention this.
[00:35:57.720 --> 00:36:03.480]   Apple, instead of doing what you thought maybe Microsoft did under all that scrutiny, backing
[00:36:03.480 --> 00:36:06.040]   off has really doubled down there.
[00:36:06.040 --> 00:36:13.640]   Apparently about to launch lossless streaming on Apple Music competing with, "Does Spotify
[00:36:13.640 --> 00:36:14.640]   even have lossless?
[00:36:14.640 --> 00:36:18.480]   I know these are entitled to or have high bit rate anyway.
[00:36:18.480 --> 00:36:24.120]   I have a classical music subscription, Prime Fonic, which is lossless."
[00:36:24.120 --> 00:36:25.120]   Oh, yes.
[00:36:25.120 --> 00:36:28.000]   Spotify launched lossless in February.
[00:36:28.000 --> 00:36:30.360]   Spotify, high fight.
[00:36:30.360 --> 00:36:37.680]   Because yeah, I mean, there's the lossless aspect and then there's higher res, which
[00:36:37.680 --> 00:36:43.120]   is something that title, I think title does it.
[00:36:43.120 --> 00:36:49.400]   I know that if you download from Bandcamp, I know that stuff's high res because I recently
[00:36:49.400 --> 00:36:55.360]   bought a new album by the family friendly band, Cannibal Corpse, which is in high res.
[00:36:55.360 --> 00:36:57.160]   And I didn't realize until I got the file.
[00:36:57.160 --> 00:36:59.520]   And I was like, wow, this is 24-bit.
[00:36:59.520 --> 00:37:02.640]   You never want lossy compression on an animal corpse.
[00:37:02.640 --> 00:37:04.640]   I'm just saying.
[00:37:04.640 --> 00:37:05.640]   Cannibal Corpse.
[00:37:05.640 --> 00:37:06.640]   I'm sorry.
[00:37:06.640 --> 00:37:07.640]   I'm sorry.
[00:37:07.640 --> 00:37:08.640]   I know.
[00:37:08.640 --> 00:37:09.640]   It's very, very good.
[00:37:09.640 --> 00:37:12.920]   Is it coarse than E or is it core?
[00:37:12.920 --> 00:37:13.920]   Corpse with an E.
[00:37:13.920 --> 00:37:14.920]   Corpse with an E.
[00:37:14.920 --> 00:37:15.920]   Yeah.
[00:37:15.920 --> 00:37:16.920]   Yeah.
[00:37:16.920 --> 00:37:17.920]   Yeah.
[00:37:17.920 --> 00:37:18.920]   For God's sake, don't put the album cover on the video.
[00:37:18.920 --> 00:37:23.680]   But the point is the, what was my point?
[00:37:23.680 --> 00:37:28.040]   My point was lossless streaming is one thing, but I'm particularly excited about the prospect
[00:37:28.040 --> 00:37:34.880]   of high res because as part of some of these rumors that have been written about is that
[00:37:34.880 --> 00:37:39.160]   this may potentially support Dolby Atmos audio.
[00:37:39.160 --> 00:37:43.560]   And that gets me very excited because what Apple's done with Atmos and with the spatial
[00:37:43.560 --> 00:37:48.040]   audio with the AirPods Pro is extremely effective.
[00:37:48.040 --> 00:37:52.160]   It does create a very, very different movie-watching experience.
[00:37:52.160 --> 00:37:59.680]   And a lot of live concerts and audio streams, music streams, they're recorded or mastered
[00:37:59.680 --> 00:38:02.200]   in 5.1 surround sound, for instance.
[00:38:02.200 --> 00:38:07.440]   So the idea that maybe Apple, which does want to start doing much more with its music service,
[00:38:07.440 --> 00:38:13.560]   it wants to do these live music experiences and even if it's documentaries or concert
[00:38:13.560 --> 00:38:18.320]   streams or whatever, I kind of see that all being part of the same thing.
[00:38:18.320 --> 00:38:26.440]   And maybe this is Apple's step into not just lossless audio, but like stream.
[00:38:26.440 --> 00:38:27.440]   Yeah.
[00:38:27.440 --> 00:38:30.320]   But for live concerts and events and things like that.
[00:38:30.320 --> 00:38:31.320]   It's sad.
[00:38:31.320 --> 00:38:34.400]   Nothing Apple sells would qualify as high fidelity.
[00:38:34.400 --> 00:38:35.400]   I mean, honestly.
[00:38:35.400 --> 00:38:39.840]   Nothing Apple sells would qualify as high fidelity.
[00:38:39.840 --> 00:38:41.960]   The AirPods are terrible.
[00:38:41.960 --> 00:38:49.360]   They are terrible and well, they are terrible compared to if you buy a big nice set of headphones
[00:38:49.360 --> 00:38:52.320]   because Bluetooth compresses audio.
[00:38:52.320 --> 00:38:54.080]   That's wireless is going to be good.
[00:38:54.080 --> 00:38:55.240]   Even aptX.
[00:38:55.240 --> 00:38:59.360]   But there are ways around that for sure.
[00:38:59.360 --> 00:39:03.640]   And there's high-fi and Apple has its own chips in the earphones and maybe it can take
[00:39:03.640 --> 00:39:04.640]   that a step further.
[00:39:04.640 --> 00:39:06.160]   This is very iPhone.
[00:39:06.160 --> 00:39:11.400]   This is what they did with the HomePod, which is they sell what is essentially kind of low
[00:39:11.400 --> 00:39:16.120]   end, you know, not certainly not high fidelity audio equipment.
[00:39:16.120 --> 00:39:20.040]   But then they make a big deal about how they own 90 anechoic chambers and they hire the
[00:39:20.040 --> 00:39:21.040]   best engineers.
[00:39:21.040 --> 00:39:25.360]   And this is, you know, and then they sell this thing for 300 bucks and nobody wanted.
[00:39:25.360 --> 00:39:26.960]   They had to cancel it after a year.
[00:39:26.960 --> 00:39:29.280]   I remember the iPod high-fi they were selling.
[00:39:29.280 --> 00:39:33.920]   Steve Jobs said, I'm selling my high-end audio gear because this is so good.
[00:39:33.920 --> 00:39:36.200]   And of course it died immediately too.
[00:39:36.200 --> 00:39:37.200]   This is very Apple.
[00:39:37.200 --> 00:39:38.200]   It is.
[00:39:38.200 --> 00:39:41.160]   And I think the only way Apple is going to get something like this off the ground is if
[00:39:41.160 --> 00:39:48.000]   they do it in tandem with a premium set of AirPods, which lo and behold, it just so happens
[00:39:48.000 --> 00:39:50.480]   to have released a very expensive pair of headphones.
[00:39:50.480 --> 00:39:55.480]   So because people need to be able to put it on, on their head and really immediately tell
[00:39:55.480 --> 00:39:56.480]   that difference.
[00:39:56.480 --> 00:39:59.120]   And with the spatial audio stuff, you really can.
[00:39:59.120 --> 00:40:04.600]   But even someone who's ears aren't so good could probably notice the difference with.
[00:40:04.600 --> 00:40:07.560]   So I've done a lot of work with high fidelity.
[00:40:07.560 --> 00:40:08.560]   This is interesting.
[00:40:08.560 --> 00:40:09.560]   I know that.
[00:40:09.560 --> 00:40:11.840]   But so they're amazing.
[00:40:11.840 --> 00:40:17.320]   And one of the problems that we're running into is the original AirPod.
[00:40:17.320 --> 00:40:19.560]   You know, it will play that to you.
[00:40:19.560 --> 00:40:23.000]   It's not capable of doing that spatial audio.
[00:40:23.000 --> 00:40:28.640]   And even though they could update the algorithm that goes, you know, helps it connect from
[00:40:28.640 --> 00:40:35.360]   the AirPod to your iPhone or iPad or Mac, they won't do that.
[00:40:35.360 --> 00:40:41.440]   I suspect they kind of want you to go and invest in the AirPod Pros or some new Apple
[00:40:41.440 --> 00:40:44.800]   product despite the wild popularity of AirPod.
[00:40:44.800 --> 00:40:51.720]   They sell a $550 over the ear headphone, the AirPods Max, that even at that price, which
[00:40:51.720 --> 00:40:56.960]   is a steep price, is widely considered not to be particularly high fidelity.
[00:40:56.960 --> 00:40:57.960]   Right.
[00:40:57.960 --> 00:41:01.080]   But my point here is you've got a startup.
[00:41:01.080 --> 00:41:04.600]   This comes back to our previous discussion about monopoly, right?
[00:41:04.600 --> 00:41:11.400]   And so you've got a startup that's trying to compete with, you know, clubhouse and doing
[00:41:11.400 --> 00:41:13.560]   spatial audio for conferences.
[00:41:13.560 --> 00:41:14.560]   Oh, interesting.
[00:41:14.560 --> 00:41:18.200]   You know, Zoom meetings, like a really a lot of interesting applications.
[00:41:18.200 --> 00:41:19.200]   There you go.
[00:41:19.200 --> 00:41:21.120]   It's not about high fidelity music.
[00:41:21.120 --> 00:41:22.120]   Right.
[00:41:22.120 --> 00:41:23.400]   So high fidelity of the company.
[00:41:23.400 --> 00:41:29.800]   So if they would come in and update that audio codec, it would help this space.
[00:41:29.800 --> 00:41:36.000]   And you know, Apple in some ways is more interested in selling their higher resolution version
[00:41:36.000 --> 00:41:37.000]   of the product.
[00:41:37.000 --> 00:41:42.040]   See, I looked up high fidelity and unfortunately, I guess I found the high fidelity cannabis
[00:41:42.040 --> 00:41:43.040]   company.
[00:41:43.040 --> 00:41:50.360]   So that's not what's this company, high fidelity, H-I-G-H?
[00:41:50.360 --> 00:41:52.960]   Yeah, high fidelity.
[00:41:52.960 --> 00:41:56.560]   I feel like Rosedale, he's a second life guy.
[00:41:56.560 --> 00:41:57.560]   Fantastic.
[00:41:57.560 --> 00:41:59.640]   Oh, see, okay.
[00:41:59.640 --> 00:42:06.360]   So he's all because of Second Life, he's all about, you know, group things.
[00:42:06.360 --> 00:42:10.000]   And you could see in Second Life, the ability to know, oh, that person's to my left, that
[00:42:10.000 --> 00:42:13.560]   person's behind me, that person's in front of me would be huge.
[00:42:13.560 --> 00:42:15.960]   So he's selling a spatial audio API.
[00:42:15.960 --> 00:42:20.080]   This is not the same, unfortunately, as Apple's technology.
[00:42:20.080 --> 00:42:21.080]   So right.
[00:42:21.080 --> 00:42:25.880]   But it's an underlying technology that is fundamentally destroyed by Apple's AirPods,
[00:42:25.880 --> 00:42:26.880]   you know?
[00:42:26.880 --> 00:42:27.880]   Yeah.
[00:42:27.880 --> 00:42:30.680]   He's like trying to talk to them, can we please update this code back?
[00:42:30.680 --> 00:42:31.680]   Oh, yeah.
[00:42:31.680 --> 00:42:32.680]   Oh, sure.
[00:42:32.680 --> 00:42:33.680]   They'll work with him.
[00:42:33.680 --> 00:42:34.680]   No problem.
[00:42:34.680 --> 00:42:37.040]   Yes, he is pretty important versus.
[00:42:37.040 --> 00:42:41.400]   Phillip, if they invite you into the Apple headquarters to talk, do not go.
[00:42:41.400 --> 00:42:44.320]   Or bring your lawyer anyway, that would be my advice.
[00:42:44.320 --> 00:42:45.840]   Oh, that's interesting.
[00:42:45.840 --> 00:42:47.200]   Yeah, that makes a lot of sense.
[00:42:47.200 --> 00:42:51.880]   So we're not talking because Apple, I think you could argue, has done more to ruin people's
[00:42:51.880 --> 00:43:00.960]   taste in music because of the kind of low-end headphones that were ubiquitous and the
[00:43:00.960 --> 00:43:02.680]   iPods.
[00:43:02.680 --> 00:43:08.720]   They've just created, and 128 kilobits AC, they've created a generation of people who
[00:43:08.720 --> 00:43:10.480]   just don't know what good music sounds like.
[00:43:10.480 --> 00:43:11.480]   Now I really sound stupid.
[00:43:11.480 --> 00:43:13.480]   I sound like Neil Young or something.
[00:43:13.480 --> 00:43:18.760]   But really, they become the low bar for audio feel like.
[00:43:18.760 --> 00:43:25.440]   But on the other hand, spatial audio in a context like a concert or a meeting, it's
[00:43:25.440 --> 00:43:27.960]   not about the quality of the sound.
[00:43:27.960 --> 00:43:30.520]   It's about the spatial experience.
[00:43:30.520 --> 00:43:32.160]   That makes a lot of sense.
[00:43:32.160 --> 00:43:34.080]   And I can see Apple doubling down on that.
[00:43:34.080 --> 00:43:38.520]   They do, unfortunately, I'm sorry, Phillip, own that.
[00:43:38.520 --> 00:43:41.320]   At least my mind share of that.
[00:43:41.320 --> 00:43:42.320]   Very interesting.
[00:43:42.320 --> 00:43:46.760]   Is technology in any hardware yet?
[00:43:46.760 --> 00:43:49.800]   I probably should not answer that.
[00:43:49.800 --> 00:43:50.800]   Don't say anything.
[00:43:50.800 --> 00:43:51.800]   Do not answer.
[00:43:51.800 --> 00:43:56.040]   You've said enough, young Padawan.
[00:43:56.040 --> 00:43:59.920]   So yeah, there is speculation that maybe Apple would announce something in June at
[00:43:59.920 --> 00:44:00.920]   WWDC.
[00:44:00.920 --> 00:44:03.920]   They've had their event for this month.
[00:44:03.920 --> 00:44:07.440]   One more story on air tags, and then we're going to take a break.
[00:44:07.440 --> 00:44:16.840]   I thought a very good story on Mashable by a journalist who said, "You know, Apple says
[00:44:16.840 --> 00:44:23.200]   you can't use air tags to stalk people, but she gave her two roommates' air tags and
[00:44:23.200 --> 00:44:28.720]   was able to with no trouble at all and no alert to her friends."
[00:44:28.720 --> 00:44:32.960]   I mean, she told them ahead of time, but there was no other way they would have known.
[00:44:32.960 --> 00:44:36.800]   Able to stalk them for days down to their exact location, their street address and so
[00:44:36.800 --> 00:44:40.000]   forth.
[00:44:40.000 --> 00:44:41.360]   This is an interesting issue.
[00:44:41.360 --> 00:44:46.480]   The National Network to End Domestic Violence says, "Apple's got to fix this."
[00:44:46.480 --> 00:44:51.480]   This has been a problem with Bluetooth trackers from day one, but the tracker network, the
[00:44:51.480 --> 00:44:54.920]   town network, were always so scant that it really didn't, there was no way to track anybody
[00:44:54.920 --> 00:44:55.920]   with this.
[00:44:55.920 --> 00:45:00.280]   All of a sudden, you've got a GPS, better than a GPS device, that you could slip into
[00:45:00.280 --> 00:45:04.520]   somebody's purse or pocket or follow them around.
[00:45:04.520 --> 00:45:11.040]   Now, didn't Apple say there was something built into the system that would alert you
[00:45:11.040 --> 00:45:16.720]   if you were within close proximity to the same air tag that wasn't registered to you?
[00:45:16.720 --> 00:45:17.720]   Yes.
[00:45:17.720 --> 00:45:22.280]   To find my network, I think it's essentially...
[00:45:22.280 --> 00:45:29.800]   Every iPhone, every iPad is similar, is a little beacon for these things.
[00:45:29.800 --> 00:45:34.680]   You don't need Wi-Fi necessarily, but if it detects one that isn't registered to you,
[00:45:34.680 --> 00:45:36.680]   then it can say, "Hey, look, there's an actual...
[00:45:36.680 --> 00:45:39.320]   In theory, this is the press release.
[00:45:39.320 --> 00:45:45.760]   So credit to Brenda Stoliar at Mashable, who actually tested this, and found that a
[00:45:45.760 --> 00:45:55.800]   lot of the protections Apple puts in are not effective to prevent stalking.
[00:45:55.800 --> 00:46:07.760]   For instance, they say that if once the air tag is separated from you, it will, after
[00:46:07.760 --> 00:46:13.000]   some period of time, start beeping.
[00:46:13.000 --> 00:46:14.000]   You'll get a safety alert.
[00:46:14.000 --> 00:46:16.400]   Now, first of all, if you have an iPhone with 14...
[00:46:16.400 --> 00:46:18.560]   5, you're a little bit safer.
[00:46:18.560 --> 00:46:21.720]   You'll get a safety alert that says your current location can be seen by the owner of
[00:46:21.720 --> 00:46:22.720]   this air tag.
[00:46:22.720 --> 00:46:24.640]   Her roommate said, "Andrade phones."
[00:46:24.640 --> 00:46:26.680]   So they saw nothing.
[00:46:26.680 --> 00:46:34.160]   It takes about three days, she said, before the air tag starts beeping at you saying,
[00:46:34.160 --> 00:46:36.320]   "There's an air tag in your purse.
[00:46:36.320 --> 00:46:40.640]   Three days is plenty of time for a stalker to do his dirty work."
[00:46:40.640 --> 00:46:44.520]   I think that's only three days if it doesn't reconnect to the original device in that time.
[00:46:44.520 --> 00:46:45.520]   Right.
[00:46:45.520 --> 00:46:49.760]   So if you're coming home at the end of every day, if someone's tracking their spouse unwillingly,
[00:46:49.760 --> 00:46:52.680]   then ultimately, that child may never even go off.
[00:46:52.680 --> 00:47:00.320]   But let's say, okay, let's say I'm a stalker and I've decided that Britney Spears is the
[00:47:00.320 --> 00:47:01.840]   target of my affection.
[00:47:01.840 --> 00:47:03.840]   And I can somehow get this slipped into her purse.
[00:47:03.840 --> 00:47:04.840]   She's not going to my house.
[00:47:04.840 --> 00:47:06.560]   She's going to her house.
[00:47:06.560 --> 00:47:09.760]   It will be three days before the air tag starts beeping.
[00:47:09.760 --> 00:47:15.640]   If she does not have an iPhone with 14 of 5 on it, she'll have no idea it's there.
[00:47:15.640 --> 00:47:17.000]   This is a good article to read.
[00:47:17.000 --> 00:47:21.040]   She was able to use the air tag to track her roommates down to the address.
[00:47:21.040 --> 00:47:22.920]   Her roommates thought I was kind of creepy.
[00:47:22.920 --> 00:47:27.720]   She would text them and say, "Are you at 118 McDougall Street?"
[00:47:27.720 --> 00:47:29.880]   And they'd say, "That's creepy."
[00:47:29.880 --> 00:47:31.240]   You know what?
[00:47:31.240 --> 00:47:32.440]   Are you at jeans right now?
[00:47:32.440 --> 00:47:34.120]   Oh my God, stalker.
[00:47:34.120 --> 00:47:35.120]   I thought this was...
[00:47:35.120 --> 00:47:40.320]   I mean, it's not scientific, but Apple has not been clear about what the period of time
[00:47:40.320 --> 00:47:43.160]   is, for instance, before it starts beeping.
[00:47:43.160 --> 00:47:48.640]   In theory, if you go to a regularly visited place, your home would be the primary one,
[00:47:48.640 --> 00:47:54.040]   but like your work, the air tag will disable.
[00:47:54.040 --> 00:47:58.360]   But that's only, again, if you have iOS 14 5 on a late model iPhone.
[00:47:58.360 --> 00:48:03.120]   And so, yeah, don't use this to stalk anybody who has a late model iPhone, I guess, and
[00:48:03.120 --> 00:48:04.640]   keeps it up to date.
[00:48:04.640 --> 00:48:05.640]   But there's still...
[00:48:05.640 --> 00:48:08.560]   There's some real issues with this, I think.
[00:48:08.560 --> 00:48:16.080]   So I don't want to say to Apple fan girl, but I'm going to defend them just a little
[00:48:16.080 --> 00:48:17.080]   bit here.
[00:48:17.080 --> 00:48:25.640]   I think my interpretation of this is it's always different when you have something tested internally
[00:48:25.640 --> 00:48:31.360]   at Apple versus releasing it to the mass public and seeing how they handle this.
[00:48:31.360 --> 00:48:35.400]   To me, the real question isn't, "Does this work today?"
[00:48:35.400 --> 00:48:43.880]   It's, "Is it Apple interested in creating an architecture that will help minimize this
[00:48:43.880 --> 00:48:45.840]   obvious problem?"
[00:48:45.840 --> 00:48:47.600]   And I think that answer is yes.
[00:48:47.600 --> 00:48:54.000]   So the things we're talking about here can all be updated for future update to air tags
[00:48:54.000 --> 00:48:55.000]   into iOS.
[00:48:55.000 --> 00:48:56.000]   I think that's very...
[00:48:56.000 --> 00:48:57.000]   I think that's very...
[00:48:57.000 --> 00:48:58.000]   I think that's very...
[00:48:58.000 --> 00:48:59.000]   They can fix this.
[00:48:59.000 --> 00:49:04.760]   I also think it's just worth saying, "We can master blast Apple for this and it's fair."
[00:49:04.760 --> 00:49:09.680]   But if you want to talk about real stalkerware, I urge you to look at some of the infosec
[00:49:09.680 --> 00:49:14.880]   dangers that are possible in Android in regards to stalking.
[00:49:14.880 --> 00:49:22.160]   We're talking listening to everything you do, recording every single site you visit, broadcasting
[00:49:22.160 --> 00:49:27.640]   your location, and this by rooting the phone very, very easily.
[00:49:27.640 --> 00:49:29.720]   Their company is specialized in this.
[00:49:29.720 --> 00:49:32.720]   So I'm not saying the danger isn't there.
[00:49:32.720 --> 00:49:37.520]   I'm saying I personally have faith that Apple is going to address it.
