;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[00:36:47.460 --> 00:36:50.180]   Okay from the beginning. This is july 9th
[00:36:50.180 --> 00:36:55.860]   New shepherd was designed to fly above the carmen line. So none of our astronauts have an asterisk
[00:36:56.260 --> 00:37:00.820]   Next to their name space begins at 100 kilometers up. That's the carmen line
[00:37:00.820 --> 00:37:07.780]   So they posted a comparison chart. I almost don't even want to show you this so it's so offensive
[00:37:07.780 --> 00:37:13.620]   They said well blue origin flies above the carmen line virgin galactic does not oh my god
[00:37:13.620 --> 00:37:18.180]   We have a rocket they have a high altitude airplane. Yeah, we have even rocket bro
[00:37:18.180 --> 00:37:24.660]   You even rocket. This is the funniest one. They we have the largest windows in space. Yes. I was gonna say
[00:37:25.940 --> 00:37:31.620]   They merely have airplane sized windows actually this one I do care about we have an escape system
[00:37:31.620 --> 00:37:34.820]   They do not you're gonna escape the space arguably
[00:37:34.820 --> 00:37:39.460]   Yeah, yeah, yeah, I was gonna say what good is that gonna do you at 100 kilometers?
[00:37:39.460 --> 00:37:41.700]   Really
[00:37:41.700 --> 00:37:43.700]   arguably
[00:37:43.700 --> 00:37:46.980]   You know that means virgin galactic braver, but okay
[00:37:46.980 --> 00:37:53.380]   Then they talk about ozone layer impact and the history of flights. It's just tacky
[00:37:54.020 --> 00:37:58.420]   Uh, I know now when I when I buy my ticket, I'm gonna have to buy it on uh jeff bathe
[00:37:58.420 --> 00:38:06.340]   Those can I get it on my amazon credit card? Well, actually that's that's what's interesting about the whole thing is this really isn't about space exploration
[00:38:06.340 --> 00:38:08.660]   This is about space tourism, right
[00:38:08.660 --> 00:38:16.980]   Uh virgin galactic plans to charge 250 thousand dollars for these flights sometime. I know blue origin wants to do something similar
[00:38:16.980 --> 00:38:19.060]   Um
[00:38:19.060 --> 00:38:23.620]   It's not a historic, but it is civilians. Yeah, civilian space
[00:38:23.620 --> 00:38:26.420]   No help from the federal government known help from nasa
[00:38:26.420 --> 00:38:29.460]   Do you even rocket bro?
[00:38:29.460 --> 00:38:32.900]   That's the best line you have a high altitude airplane
[00:38:32.900 --> 00:38:36.900]   I think you've been rocket bro might be the episode
[00:38:36.900 --> 00:38:44.580]   Do I really care what the propulsion system is it gets me there? No, in fact arguably it's cooler that they've got wings
[00:38:44.580 --> 00:38:49.140]   Yeah, I don't know the shuttle had wings too. I you know, I don't but you know
[00:38:49.140 --> 00:38:51.540]   I'm sure you're gonna talk about the other billionaire in this race
[00:38:51.540 --> 00:38:53.700]   We're not in three because he's in a team completely different
[00:38:53.700 --> 00:38:55.940]   I mean michyland. Well, here's an example
[00:38:55.940 --> 00:38:59.540]   No, no one ever said he'll on musk is the class. He's guy in the world
[00:38:59.540 --> 00:39:06.340]   But he took the trouble to go to truth or consequences in new mexico and watched the launch this morning
[00:39:06.340 --> 00:39:10.980]   He was there to shake richard branson's hand. Yeah, and there were no snarky tweets
[00:39:10.980 --> 00:39:18.020]   Um, so here's another difference that musk has talked about interplanetary travel. He's not talking about the edgy
[00:39:18.020 --> 00:39:21.380]   Yeah, he wants to go to mary. He's got a much more ambitious program
[00:39:21.380 --> 00:39:23.380]   well, yeah, send him there actually
[00:39:23.380 --> 00:39:31.540]   SpaceX has also talked about using their launch system to do say new york to shanghon in an hour
[00:39:31.540 --> 00:39:39.060]   And when you look at these flights bring it they're going up and down, but you could go up and over right and uh
[00:39:39.060 --> 00:39:41.460]   Now
[00:39:41.460 --> 00:39:46.580]   Elon says he's gonna try to do this at roughly the cost of a first-class ticket in New York to shanghon
[00:39:46.580 --> 00:39:52.500]   Amazing depends on how fancy that first-class flight is that could be 10 20 thousand dollars, but still
[00:39:52.500 --> 00:39:55.300]   To do it in an hour
[00:39:55.300 --> 00:39:57.300]   10,000 would be pretty great. Yeah
[00:39:57.300 --> 00:40:01.860]   Totally, you know, I might even save my pennies just to say I you know
[00:40:01.860 --> 00:40:06.100]   I get my my space wings my time isn't worth that much but the experience
[00:40:06.100 --> 00:40:09.460]   Oh, absolutely. Yeah for a lot of businesses
[00:40:09.460 --> 00:40:14.340]   Who are already paying that for I mean assuming it's round shrimp and it's not 10,000 each way
[00:40:14.500 --> 00:40:18.740]   uh, yeah at the time alone because I've been on I've been on
[00:40:18.740 --> 00:40:26.340]   16 17 hour flights like non-stop. I've been Atlanta to shanghonnesburg. I've been um Seattle to Dubai
[00:40:26.340 --> 00:40:30.740]   Um, I've been Los Angeles to guitar. Um, I've uh been
[00:40:30.740 --> 00:40:34.260]   guitar and then guitar to um, bye
[00:40:34.260 --> 00:40:39.220]   um, I've been on a lot of really really long flights and those are hard and they
[00:40:39.220 --> 00:40:42.500]   And they cost a lot of money. Yeah, and um
[00:40:43.380 --> 00:40:47.620]   I've been from Los Angeles to Sydney another 16 hour flight. So like
[00:40:47.620 --> 00:40:54.900]   I definitely if it was one of those things where I traveled like I used to it for the money that the company paid for me to travel
[00:40:54.900 --> 00:40:57.540]   If you could do that in an hour. Yeah
[00:40:57.540 --> 00:41:00.500]   What did ticket on the uh
[00:41:00.500 --> 00:41:05.540]   What did tickets on the Concord cost because I remember legends of the day were a lot. They were a lot. Yeah, I don't know
[00:41:05.540 --> 00:41:08.980]   Yeah, I can't remember the exact amount, but it was it was higher than a first-class
[00:41:09.540 --> 00:41:14.740]   It was definitely higher than a first-class. And that was what three hours. Yeah, three hours in New York to London. I think yeah
[00:41:14.740 --> 00:41:19.780]   Yeah, so bus can cake you underground through his boring company or above ground
[00:41:19.780 --> 00:41:22.260]   You can get it get to either way, right?
[00:41:22.260 --> 00:41:27.140]   Or if you want to have tesla take you on the on the surface billionaires are just a different breed
[00:41:27.140 --> 00:41:30.820]   I mean Bezos has a half billion dollar yacht, right?
[00:41:30.820 --> 00:41:36.820]   Uh, yeah within the yacht, right? These guys are in the vertical becoming trillionaires. Yeah, beyond the owners. Yeah, uh
[00:41:37.540 --> 00:41:43.540]   Uh, I note that Branson did not uh take off his seat belt to float around uh like the others did he was
[00:41:43.540 --> 00:41:47.700]   He's 70 man. Like I don't I would not trust any of that. Yeah
[00:41:47.700 --> 00:41:55.060]   Yeah, it's you know what this is staying safe. It's being cool. It's not historic. No, yeah
[00:41:55.060 --> 00:41:59.380]   Not from a technical standpoint. It's cool. I mean Elon could you know, this is where I give you lines of credit
[00:41:59.380 --> 00:42:03.700]   He could say watch me bro and and knock on the door of the space shuttle, right?
[00:42:03.780 --> 00:42:10.180]   And come back but uh he's not into his credit and yet these guys are taking their life in their hands
[00:42:10.180 --> 00:42:12.100]   Uh
[00:42:12.100 --> 00:42:13.620]   For brag
[00:42:13.620 --> 00:42:17.540]   What I mean for Branson that makes sense, right? I mean like it's market his whole thing
[00:42:17.540 --> 00:42:18.980]   Well, yeah, but also his whole thing
[00:42:18.980 --> 00:42:23.780]   I mean, you know was was uh was doing like the the sailing races right all that stuff like it's true
[00:42:23.780 --> 00:42:29.860]   He's an adventure. Yeah, he's more than an adventure like like his whole thing like he and Ted Turner used to you know like
[00:42:29.860 --> 00:42:33.220]   battle over what what's the what's the um
[00:42:33.220 --> 00:42:39.220]   The america's cup. Yeah, the america's cup exactly and so you know and he's he's done a lot of that sort of stuff
[00:42:39.220 --> 00:42:45.300]   uh, he's he's dabbled in some of the you know high speed like uh, you know normal flight stuff too, so
[00:42:45.300 --> 00:42:47.060]   Um
[00:42:47.060 --> 00:42:51.140]   This I think is just like fits with his whole ethos of what he's been like his whole career
[00:42:51.140 --> 00:42:54.580]   Where with bezos, it really does seem to be like a tit for tat thing like
[00:42:54.580 --> 00:42:59.460]   Let me bring out the amazon a ws comparison chart like dude like can you just not?
[00:42:59.940 --> 00:43:04.340]   That was really weird and this isn't taking anything away from what you're going to do in 10 days
[00:43:04.340 --> 00:43:09.460]   It's really not would you if I gave you 250 thousand dollars. Would you do this?
[00:43:09.460 --> 00:43:16.260]   Oh, yeah, yeah, would you yeah at my age, you know, I I'd have to get in shape
[00:43:16.260 --> 00:43:21.220]   That's that's the heart the heart do you I think you do things are yeah, that's gonna be rough
[00:43:21.220 --> 00:43:23.300]   Yeah, I think I'm pretty good shape because of the the
[00:43:23.300 --> 00:43:28.020]   I mean, I used to be a pilot and I did not enjoy the arabatic face to have to do
[00:43:28.020 --> 00:43:32.340]   I don't enjoy me there and so I don't know if I would I don't know if I'd have fun doing it
[00:43:32.340 --> 00:43:36.100]   But I would do it for the experience. Yeah, I'd suck it up. Would you do it? Would you do it to vendor?
[00:43:36.100 --> 00:43:39.380]   I mean, I would I would do it. It's certainly a thing like hey
[00:43:39.380 --> 00:43:42.260]   We've all dreamed of going to space and I feels like it's cool that
[00:43:42.260 --> 00:43:44.100]   We're kind of one step closer
[00:43:44.100 --> 00:43:49.860]   Yeah, but watching this whole like billionaire slap fight really just reminds me of uh like the vision of space
[00:43:49.860 --> 00:43:54.100]   We got in uh the great film at astra that last brad pit one
[00:43:54.100 --> 00:43:56.500]   um where they get to the moon
[00:43:57.300 --> 00:43:59.300]   And uh, there's napple bees on the moon
[00:43:59.300 --> 00:44:04.580]   There's uh, you know, there's just like all the strip mall garbage you expected america
[00:44:04.580 --> 00:44:07.780]   Right there on the moon. That's where we're headed. Yeah, you're right
[00:44:07.780 --> 00:44:11.300]   Can I be honest with you as much as I part of me hate stuff
[00:44:11.300 --> 00:44:14.100]   There's in the part of me that like the kitsch part of me that kind of yeah
[00:44:14.100 --> 00:44:17.860]   Like I kind of love it if i'm honest like the first thing we'll do for sure
[00:44:17.860 --> 00:44:21.300]   It's straight out of the moon. I'm like not mad
[00:44:21.300 --> 00:44:25.780]   Like okay, yeah, it feels like you're in a barnall shorts and agar bovie or something. It's like
[00:44:26.180 --> 00:44:27.940]   Very total recall total recall
[00:44:27.940 --> 00:44:31.300]   Is a lot of money, but there's a lot of people in this country that could afford that
[00:44:31.300 --> 00:44:37.140]   Yeah for a once in a lifetime experience. I mean if you know I I turned down the blue angels twice
[00:44:37.140 --> 00:44:39.460]   Ooh
[00:44:39.460 --> 00:44:40.980]   That's fun though free free free free
[00:44:40.980 --> 00:44:41.860]   Well
[00:44:41.860 --> 00:44:44.260]   For the same reason you don't like doing the acrobatics
[00:44:44.260 --> 00:44:51.060]   And I feel like the reason I didn't want to do it is because I know these pilots are going to try to make me throw up and pass out
[00:44:51.060 --> 00:44:51.940]   Right
[00:44:51.940 --> 00:44:53.300]   So
[00:44:53.300 --> 00:44:59.140]   Sounds like I'm like agreeing to torture on the other hand this even though it would probably be scarier
[00:44:59.140 --> 00:45:00.580]   Yeah
[00:45:00.580 --> 00:45:05.620]   You're in space you're going up into space ish you're on the edge of space. That's pretty cool
[00:45:05.620 --> 00:45:10.340]   So what what I would need from this I think I mean I would do it period like if somebody we did float around
[00:45:10.340 --> 00:45:15.620]   I'm sorry. Okay. He did float around. Okay. Okay. Okay. I would do this period if somebody wanted to front me the money
[00:45:15.620 --> 00:45:19.940]   But if this were something where like let's pretend let's pretend that I had to pay my own money and let's pretend that
[00:45:20.180 --> 00:45:26.020]   I wanted to drain my 401k and my stock options. Oh, no, no, no, don't do this. No, I'm not going to but I'm saying
[00:45:26.020 --> 00:45:29.700]   The only thing that would like make it any way like conceivable
[00:45:29.700 --> 00:45:34.900]   Whatever would be if they made it a really luxury experience, which is not what it is right now, right?
[00:45:34.900 --> 00:45:38.020]   Like you know what the concord was an luxury experience
[00:45:38.020 --> 00:45:41.620]   People I know have been on the concords is actually very uncomfortable
[00:45:41.620 --> 00:45:46.180]   No, it wasn't yeah, that I heard it right whereas whereas like if I was like the eddy at apartment or um
[00:45:46.180 --> 00:45:48.820]   I did the singapore sweets. Um, when I did you really
[00:45:49.460 --> 00:45:54.180]   Yeah, I use credit card points. It was the most amazing experience. It's like did you have a shower?
[00:45:54.180 --> 00:45:58.740]   Um, that one didn't have a shower, but I had a full like enclosed room
[00:45:58.740 --> 00:46:03.780]   They brought me like caviar to start and like expensive. She don't want to wait
[00:46:03.780 --> 00:46:07.300]   They they they no my flight was my flight was only seven hours
[00:46:07.300 --> 00:46:10.260]   I was I've never been satter in my life. I know had a seven hour flight
[00:46:10.260 --> 00:46:12.260]   But it was it was the most
[00:46:12.260 --> 00:46:16.660]   Awesome experience and it was worth like the hundreds of thousands of credit card points
[00:46:16.660 --> 00:46:21.380]   I used and I would you know, again, I did it because I was like, I don't know if I'll have the opportunity to do it again
[00:46:21.380 --> 00:46:23.380]   But like that was the sort of thing was like okay
[00:46:23.380 --> 00:46:28.980]   In the future if they bring this level of service back which is remains to be seen like I could see
[00:46:28.980 --> 00:46:33.060]   Shelling out this much money for a really long international flight
[00:46:33.060 --> 00:46:38.100]   It's kind of a shame to do it on a on a seven hour flight. I know it was it was
[00:46:38.100 --> 00:46:44.660]   If I could have done it for a 15 is fine much better you want to spend some time in that private bed
[00:46:44.660 --> 00:46:49.700]   One way to look at a $250,000 space flight. It's just two Tesla s-plades. I mean, it's not
[00:46:49.700 --> 00:46:58.340]   Where's the Tesla that's floating around eventually somebody could just like yeah, they hide about yeah, he launched a
[00:46:58.340 --> 00:47:01.220]   the original sports sports car
[00:47:01.220 --> 00:47:06.420]   That's right the the roadster the roadster that's no one wants
[00:47:06.420 --> 00:47:10.180]   You know as we're talking about all this guys like I just wonder
[00:47:10.740 --> 00:47:14.980]   I do think as a society we do have to take a step back in terms of how we think about your travel
[00:47:14.980 --> 00:47:18.660]   Yeah, now now we have consumer rockets coming, but
[00:47:18.660 --> 00:47:23.540]   We don't know what this environment's gonna look like in by 2030 by 2040
[00:47:23.540 --> 00:47:30.260]   You know we kind of have to stop traveling as much by air and start doing something about this impending doom we're all facing
[00:47:30.260 --> 00:47:33.700]   So that's kind of what's on my mind right now too right?
[00:47:33.700 --> 00:47:38.580]   It's interesting. I watched summer of soul this weekend, which is about this yep amazing concert in Harlem
[00:47:38.900 --> 00:47:42.820]   And they it happened to happen the day that the moon landing took place
[00:47:42.820 --> 00:47:45.460]   They were having this concert and they interviewed people in the crowd
[00:47:45.460 --> 00:47:47.380]   Of course, this was all mostly African-Americans
[00:47:47.380 --> 00:47:50.900]   And while most people said it was cool and they loved the fact that was happening
[00:47:50.900 --> 00:47:56.020]   A lot of people said we could be using this money in our community here on earth to make things better
[00:47:56.020 --> 00:47:59.540]   And I think that that's the debate we really have to continually have
[00:47:59.540 --> 00:48:07.380]   And you're absolutely right about the environmental impact. I mean air travel and and the faster the air travel the more inefficient it is at least at this point
[00:48:08.260 --> 00:48:10.260]   We really have to question
[00:48:10.260 --> 00:48:14.500]   You know, is it is the environmental impact of this kind of transport worth
[00:48:14.500 --> 00:48:19.620]   You know the amount of time we know what is the balance to to human kind? Yeah
[00:48:19.620 --> 00:48:22.820]   On the other hand
[00:48:22.820 --> 00:48:30.260]   At some point it's too late. So let's fiddle wall room. Oh, we're doomed. I mean Leo. Okay, you can you can say that but yeah
[00:48:30.260 --> 00:48:32.260]   I'm older than you are
[00:48:35.220 --> 00:48:41.140]   Thinking of his of his child. No, yeah, exactly. I feel like in the next generation. Yeah, in fact
[00:48:41.140 --> 00:48:46.580]   I feel terrible for my kids. I told my 29-year-old daughter don't have kids because
[00:48:46.580 --> 00:48:53.380]   It's not gonna. Well, if you're kid, it'll probably move to Mars. It'll be fine. So I don't who wants to go to who wants to live on Mars
[00:48:53.380 --> 00:49:00.500]   You know the idea of doing environmental stuff like doing science. Oh, Mars fine. Mars living on Mars is the dumbest idea in the world
[00:49:00.500 --> 00:49:04.180]   Mars is a great place to raise your kids. I hear it's cool in this hell
[00:49:04.900 --> 00:49:10.260]   Yeah, so it's not that great. No, not much. It was it was Daniel Suarez told me that the
[00:49:10.260 --> 00:49:14.340]   The dust on Mars is so fine and
[00:49:14.340 --> 00:49:16.980]   Its composition is it's highly toxic
[00:49:16.980 --> 00:49:23.220]   If you if you got even a little bit of that you die. Oh great space wants to kill you space wants to kill you
[00:49:23.220 --> 00:49:26.820]   No, we should fix this planet. I agree a hundred percent. Yeah
[00:49:26.820 --> 00:49:31.220]   I'm starting to think
[00:49:31.220 --> 00:49:33.380]   The prognosis is not great. Yeah
[00:49:33.380 --> 00:49:37.380]   You I don't like it. It's not great to go to Mars. Well, I know we're not going to Mars
[00:49:37.380 --> 00:49:44.100]   But I wonder and I think we're old enough that we're probably not going to see the worst of climate change probably Christina and Devinda
[00:49:44.100 --> 00:49:49.300]   Maybe you'll see a little bit of your kids. I'm gonna see it. Mm-hmm. Are gonna be growing up in
[00:49:49.300 --> 00:49:56.340]   2080 2090 when it's gonna be a hellscape. Not so good. They'll be my age in 2080 or 2090
[00:49:56.340 --> 00:50:03.140]   And I don't see us doing nobody's doing anything about it. We're not doing anything
[00:50:03.380 --> 00:50:07.780]   Like none the the Paris agreement like nothing is actually happening
[00:50:07.780 --> 00:50:13.220]   I don't know. Maybe I'm a little cynical right now because I'm also reading Kim Stanley Robinson's the Ministry of the Future
[00:50:13.220 --> 00:50:15.460]   Which is an incredible book. I love him as an author
[00:50:15.460 --> 00:50:17.860]   But it's so bleak and you can also tell like man
[00:50:17.860 --> 00:50:22.180]   He is just angry because he's been writing about this stuff forever and nobody's doing anything
[00:50:22.180 --> 00:50:28.980]   And we're just like going straight into the sun basically one point. I got so worried about climate change. I went out and got a couple of books
[00:50:30.500 --> 00:50:34.580]   One was called the sixth extinction. Yes, that was so depressing
[00:50:34.580 --> 00:50:39.700]   And then I got another one. I can't remember the name of it and by the end of those books
[00:50:39.700 --> 00:50:43.540]   I just I didn't help
[00:50:43.540 --> 00:50:49.300]   I was it was despair David Pogue as a new back had had a survive climate change a little more about it
[00:50:49.300 --> 00:50:51.380]   Yeah, a little more upbeat
[00:50:51.380 --> 00:50:54.900]   But uh, you know, there's only how high can you build a seawall?
[00:50:54.900 --> 00:51:00.260]   You know, I was really hoping that covid would be the wake-up call for climate change that it sure felt like we were
[00:51:00.260 --> 00:51:03.380]   Time to listen to air was cleaner the animals. Well, no, yeah
[00:51:03.380 --> 00:51:07.540]   But I'm talking about the fact that scientists told us that bad things would happen
[00:51:07.540 --> 00:51:10.100]   Uh-huh bad things happened
[00:51:10.100 --> 00:51:16.980]   And and people are like, yes, right, please more and people and people are like we want to blame everybody but this
[00:51:16.980 --> 00:51:19.540]   Uh, it's not the scientist
[00:51:19.540 --> 00:51:22.820]   Dr. Fauci turned it into public enemy number one
[00:51:22.820 --> 00:51:27.940]   Or even worse, you know, it goes into nihilism. Oh, no, no bad things didn't happen, you know
[00:51:28.500 --> 00:51:34.580]   Million if you can't even get people to wear a mask, right? How are you gonna get them to stop driving their car?
[00:51:34.580 --> 00:51:39.460]   Right or even or pick a more environmentally friendly car. No, no, no, no, by the way
[00:51:39.460 --> 00:51:42.500]   It's too late to pick up you and I drive electric vehicles
[00:51:42.500 --> 00:51:50.740]   No too late. We shouldn't even have personal ownership of vehicles at this point. Sure because those things are made out of earth
[00:51:50.740 --> 00:51:55.780]   Yeah, thank you, christina. Oh, there you are. Thank you christina. You're doing your part
[00:51:56.260 --> 00:52:02.260]   I miss not owning a car. We're doing a lot of stuff like we're doing a lot of stuff like oh, I'll drive a more
[00:52:02.260 --> 00:52:04.740]   eco-friendly car
[00:52:04.740 --> 00:52:09.860]   You and I did something even worse. We need to do dramatic things. We did something really bad. We actually
[00:52:09.860 --> 00:52:16.740]   Traded in our cars when we didn't have to that's right and the most efficient car you can own is when you already own yeah
[00:52:16.740 --> 00:52:23.460]   Right. Well, I'm actually a gas vehicle. I gave mine to my wife. I don't think I gave my wife my Prius
[00:52:23.540 --> 00:52:26.100]   We could stop burning. There was a there was a good
[00:52:26.100 --> 00:52:28.900]   Podcast is it one of the climate podcasts?
[00:52:28.900 --> 00:52:35.940]   But they did kind of the the math if you just use an older or buy a used gas car or buy a new even a used EV
[00:52:35.940 --> 00:52:38.820]   Yeah, it's still like a net positive to like to go ev
[00:52:38.820 --> 00:52:43.220]   Yeah, even if you're yeah, just dumping your old car, but it's this much
[00:52:43.220 --> 00:52:47.220]   It's this much when we need to do what's your power source? You know this much?
[00:52:47.220 --> 00:52:49.300]   Well, yeah
[00:52:49.300 --> 00:52:53.620]   I don't feel I just don't see the nations of the I mean I don't I shouldn't be putting this out there
[00:52:53.620 --> 00:52:55.860]   I should keep this to myself, but
[00:52:55.860 --> 00:52:57.780]   I don't see the nations of the world for your
[00:52:57.780 --> 00:53:04.740]   Any podcast yeah, yeah, nobody's gonna sit up in any country of the world, especially the us and say yeah
[00:53:04.740 --> 00:53:10.020]   Let the Chinese go ahead and pollute. We're gonna stop right now. It's not gonna happen
[00:53:10.020 --> 00:53:13.700]   It's just not gonna happen. So whatever they're talking about
[00:53:13.700 --> 00:53:17.620]   with one or two or three degrees Celsius increase in temperature
[00:53:18.420 --> 00:53:20.420]   Is gonna happen in 28 or 2090
[00:53:20.420 --> 00:53:26.820]   Sorry kids. Good luck much sooner. That's why I'm buying beach for property in in Las Vegas
[00:53:26.820 --> 00:53:32.580]   I'm sorry. I just I just brought the room down. Let me play. I had to bring it up
[00:53:32.580 --> 00:53:37.220]   But it's also like I can't go. Yay rockets. Yay space travel. Well, that's exactly right
[00:53:37.220 --> 00:53:42.820]   They're drowning down here. Yeah, you know the billionaires will be in space. Yeah, so good for them
[00:53:42.820 --> 00:53:47.140]   But I'm glad you gave your wife a Prius. Yeah, my old my old. Thanks for saving the world
[00:53:48.020 --> 00:53:49.140]   Uh
[00:53:49.140 --> 00:53:54.580]   I did find by the way, so this is a programmer who was playing away around with the web speech API
[00:53:54.580 --> 00:53:56.660]   This is from mozilla
[00:53:56.660 --> 00:53:58.660]   and he took various
[00:53:58.660 --> 00:54:05.940]   Foreign language voices and played English text through him. This is English text spoken by a Dutch
[00:54:05.940 --> 00:54:08.900]   voice
[00:54:08.900 --> 00:54:10.340]   Nevermind
[00:54:10.340 --> 00:54:13.540]   Oh, I'm disappointed. It's worth it's worth looking at
[00:54:14.420 --> 00:54:23.140]   What's funny is all of the stereotypes you have about how Italians and French people in Germans and Japanese people and and hindy people speak
[00:54:23.140 --> 00:54:27.220]   Sounds exactly like apu in the simpsons
[00:54:27.220 --> 00:54:30.020]   Now is it offensive when an AI?
[00:54:30.020 --> 00:54:35.460]   Designed to speak hindy sounds like apu from the simpsons. It depends on why it's doing it
[00:54:35.460 --> 00:54:39.700]   That that's the main thing. It's not doing it for any reason. It's a huge computer, right?
[00:54:40.500 --> 00:54:45.700]   Anyway, I remember the original the early early synthesized voices all sounded like a Swedish trying to
[00:54:45.700 --> 00:54:50.260]   Shafts yeah, not even here. Do you know?
[00:54:50.260 --> 00:54:52.900]   All right
[00:54:52.900 --> 00:54:57.860]   Firefox does not love me. You're right. The chairman says why never I can never I don't know what it is
[00:54:57.860 --> 00:55:01.220]   It's probably I'm on Linux. That's why let's take a little break
[00:55:01.220 --> 00:55:05.220]   Let's go to the terminal and fix that. No, no, let's take a little break
[00:55:05.220 --> 00:55:08.980]   And we'll be back with more with the vindra harder war
[00:55:09.460 --> 00:55:15.540]   It's great to have you divindra senior editor and gadget larry maggud from connect safely.org
[00:55:15.540 --> 00:55:18.420]   And of course the wonderful Christina Warren film girl
[00:55:18.420 --> 00:55:23.700]   from microsoft our show today brought to you by express vpn
[00:55:23.700 --> 00:55:29.300]   I've I like doing these ads because I could talk about all the different reasons you might want a virtual
[00:55:29.300 --> 00:55:33.380]   private network security privacy, but
[00:55:33.380 --> 00:55:36.020]   Let's not forget
[00:55:36.020 --> 00:55:42.340]   That we've been watching a lot of tv in less 12 13 months. Maybe you've seen all the good stuff on netflix
[00:55:42.340 --> 00:55:48.900]   Netflix has different content available to you depending on where you're located, right?
[00:55:48.900 --> 00:55:54.500]   There are thousands of shows that you can't watch because you're in the us say
[00:55:54.500 --> 00:56:00.100]   Perhaps you're a fan of anime wouldn't it be cool if you could fire up express vpn
[00:56:00.100 --> 00:56:03.380]   and
[00:56:03.380 --> 00:56:07.060]   Go to japan and watch a lot of anime or go to the uk and watch some dr
[00:56:07.060 --> 00:56:08.100]   Who?
[00:56:08.100 --> 00:56:12.260]   Watching this is their line, but I love it watching netflix without using express vpn
[00:56:12.260 --> 00:56:16.500]   Is like paying for a gym membership, but only being able to use the treadmill
[00:56:16.500 --> 00:56:24.340]   Think about it express vpn is the best vpn no logging absolute privacy
[00:56:24.340 --> 00:56:27.700]   Absolutely secure and they have locations
[00:56:28.100 --> 00:56:36.260]   100 different server locations all over the world so you can change your online location and control where netflix thinks you are
[00:56:36.260 --> 00:56:41.380]   And I asked netflix because before they before I did this I said come on can I do this as netflix
[00:56:41.380 --> 00:56:43.140]   They said well, we don't tell you you can do it because
[00:56:43.140 --> 00:56:48.340]   It's completely legal, but we don't tell you because we feel like you're not going to get an experience because you'll be on a vpn
[00:56:48.340 --> 00:56:54.100]   Well, they didn't know about I guess about express vpn where you can watch hd content. No problem express vpn is so fast
[00:56:54.100 --> 00:56:58.260]   I leave it on all the time effect you could put it on your route or protect your whole house
[00:56:58.260 --> 00:57:00.820]   And no one will know it's that fast
[00:57:00.820 --> 00:57:06.500]   By the way, I got my copy of it because of erder one so I was in turkey and for work
[00:57:06.500 --> 00:57:10.020]   I needed to access youtube and he was banning youtube at the time
[00:57:10.020 --> 00:57:13.060]   And it was the only way I could get around there and you were able to use it
[00:57:13.060 --> 00:57:15.540]   I was able to get through awesome and I used it in china
[00:57:15.540 --> 00:57:18.580]   Just to for actually there's a there's a
[00:57:19.220 --> 00:57:23.860]   One of the ways I know express vpn isn't law and by the way they do independent third party audits
[00:57:23.860 --> 00:57:28.580]   I also know because there was a murder case in turkey where the authorities in turkey
[00:57:28.580 --> 00:57:32.980]   They don't have to do a warrant just went and seized the servers without telling anybody
[00:57:32.980 --> 00:57:37.060]   And there was nothing on the express vpn servers. They got no
[00:57:37.060 --> 00:57:42.900]   Information at all good. So if you want to watch top gear on uk netflix, you go right ahead
[00:57:42.900 --> 00:57:46.980]   Jurassic world on hong kong netflix do it pulp fiction on
[00:57:47.380 --> 00:57:52.340]   Canadian netflix, it's yours works with other streaming services too as you say with youtube
[00:57:52.340 --> 00:57:55.060]   All you have to do is open the app select location
[00:57:55.060 --> 00:57:59.780]   It's one button connect express vpn runs everywhere not just on your computer
[00:57:59.780 --> 00:58:04.580]   But on your ios or android device it also runs on your on many routers
[00:58:04.580 --> 00:58:08.100]   Refresh the page access the geo restricted show you want to watch
[00:58:08.100 --> 00:58:10.260]   It's great
[00:58:10.260 --> 00:58:15.620]   I've been using it for a long time now because it's fast you can stream an hd with no buffering
[00:58:15.940 --> 00:58:20.180]   It's compatible with every device you have you can even put it on your smart tv or your media console
[00:58:20.180 --> 00:58:25.060]   And your data is completely encrypted. So you're secure and you're private be smart
[00:58:25.060 --> 00:58:32.500]   Stop paying full price for streaming services and only getting access to a fraction of their content get your money's worth at express vpn
[00:58:32.500 --> 00:58:39.140]   Dot com slash twit. We've got a special link. It'll give you three extra months free when you subscribe for a year
[00:58:39.140 --> 00:58:45.620]   That's a nice deal express vpn.com slash twit ex spell it out ex pre s s vpn
[00:58:46.100 --> 00:58:51.940]   Dot com slash twit. We thank them so much for their support of this week in tech
[00:58:51.940 --> 00:58:57.780]   Okay, we talked about space we caught talked about social networks
[00:58:57.780 --> 00:59:00.820]   We didn't talk about the florida law
[00:59:00.820 --> 00:59:03.700]   Where if you're not disney
[00:59:03.700 --> 00:59:06.020]   You can't ban a public figure
