
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[00:44:08.840 --> 00:44:10.360]   I mean Elden ring
[00:44:10.360 --> 00:44:12.360]   Easily, you know one of the best-selling games
[00:44:12.360 --> 00:44:20.320]   Of all time I would suspect by now certainly very very positive response to that you can finally get an Xbox series
[00:44:20.320 --> 00:44:23.800]   X both Microsoft and Walmart finally have them in stock
[00:44:23.800 --> 00:44:28.360]   I took me a while Christina. I finally got a series X
[00:44:28.360 --> 00:44:33.440]   With game pass an X cloud especially
[00:44:33.440 --> 00:44:38.440]   The series s actually is a really good one of people just want to stream stuff
[00:44:38.440 --> 00:44:43.120]   I've been it's been easy to get the series s but I wanted all the power. Oh, I'm with you
[00:44:43.120 --> 00:44:43.680]   I'm with you
[00:44:43.680 --> 00:44:47.240]   I've just been I've that this has been my recommendation people who might be like well
[00:44:47.240 --> 00:44:51.760]   I think I primarily play station person, but I might want to get into game pass and like
[00:44:51.760 --> 00:44:56.800]   Series s is not much more than an Apple TV and a lot more powerful
[00:44:56.800 --> 00:45:01.240]   Sony is speaking of that
[00:45:01.240 --> 00:45:05.880]   merging their ps now and ps plus streaming
[00:45:05.880 --> 00:45:08.720]   subscriptions to create a three-tier
[00:45:08.720 --> 00:45:15.440]   Subscriptions, this is a ridiculously complicated story. I couldn't it's so complicated. I could really so figure it out
[00:45:15.440 --> 00:45:20.880]   I just got it. I just got a ps5. It was sort of
[00:45:20.880 --> 00:45:23.680]   For my wife. Yeah, I'm a great device
[00:45:23.680 --> 00:45:24.600]   I mean wonderful
[00:45:24.600 --> 00:45:27.840]   Yeah, and I haven't I had been I have an Xbox one
[00:45:27.840 --> 00:45:34.480]   I was a long time Xbox user and game pass has been great on that and so I almost was like sort of holding off buying some stuff
[00:45:34.480 --> 00:45:39.160]   Some games for the ps5 because like I had seen the rumors about the streaming service and they came out
[00:45:39.160 --> 00:45:45.120]   I'm like I don't know which of these things would get me the thing I want right like where where in this sort of
[00:45:45.360 --> 00:45:52.700]   Three-tier subscription do I fit so I have it? I still haven't figured it still figured it out frankly so
[00:45:52.700 --> 00:45:55.520]   Should I try to explain it now?
[00:45:55.520 --> 00:46:02.520]   It's probably not it's probably not worth it. There's ps plus essentials ps plus extra and
[00:46:02.520 --> 00:46:04.880]   ps plus premium
[00:46:04.880 --> 00:46:06.880]   Which is the the top priced?
[00:46:06.880 --> 00:46:11.680]   Essentials is essentially the same as what you got today with ps plus
[00:46:12.240 --> 00:46:18.200]   Two monthly downloadable games online multiplayer access game discounts and cloud storage extra
[00:46:18.200 --> 00:46:22.160]   adds 400 ps4 and ps5 games to be downloaded
[00:46:22.160 --> 00:46:27.160]   Including God of Wars some big big names Mortal Kombat 11 spider-man
[00:46:27.160 --> 00:46:31.760]   They're gonna add more titles on a regular basis then premium
[00:46:31.760 --> 00:46:37.460]   Also adds and maybe this is I it's funny. This is the most expensive part
[00:46:38.080 --> 00:46:42.200]   Classic games from PlayStation 1 2 and the PSP
[00:46:42.200 --> 00:46:45.400]   I
[00:46:45.400 --> 00:46:48.840]   Can't help but feel that this is reactionary to the Activision
[00:46:48.840 --> 00:46:51.680]   acquisition from Microsoft
[00:46:51.680 --> 00:46:53.680]   because of the
[00:46:53.680 --> 00:46:57.120]   possibility of losing some of their titles and that
[00:46:57.120 --> 00:46:59.760]   drawing on their past
[00:46:59.760 --> 00:47:01.960]   like bank bankable
[00:47:03.280 --> 00:47:11.040]   Stalja properties that they have then they were just they how do we eke out more profit from that in order to make up for the
[00:47:11.040 --> 00:47:17.280]   Possible future restrictions of some of these triple-a-half thing. That makes sense. There's definitely nostalgia
[00:47:17.280 --> 00:47:20.560]   I mean anybody who's buying a gaming console these days is
[00:47:20.560 --> 00:47:23.520]   likely somebody
[00:47:23.520 --> 00:47:25.520]   an older man
[00:47:25.520 --> 00:47:28.800]   In his middle age
[00:47:28.800 --> 00:47:32.400]   who has some nostalgia for Kirby and stuff, you know, it's like
[00:47:32.960 --> 00:47:38.600]   The good old days. I don't know. I think that that's probably the case. Am I wrong? Yeah, or we're a kid
[00:47:38.600 --> 00:47:42.640]   You can't find a graphics card. I mean there are there are varying reasons be right thing nostalgia is a big one
[00:47:42.640 --> 00:47:44.480]   I think to me
[00:47:44.480 --> 00:47:49.320]   I have to be honest. I feel like the price is wrong on this think that if they wanted to be competitive
[00:47:49.320 --> 00:47:51.760]   It's fairly expensive as much as it is
[00:47:51.760 --> 00:47:54.160]   Right, well, that's the thing right?
[00:47:54.160 --> 00:47:56.720]   It's like if you and if you're going to get it
[00:47:56.720 --> 00:48:04.720]   You should probably pay for the annual price because it's like I think that it's $60 a year or it were or $10 a month for the lowest
[00:48:04.720 --> 00:48:10.560]   tier option and and it and it's similar in those other things and I think that's then like I think your options annually are
[00:48:10.560 --> 00:48:13.320]   $60 100 $120
[00:48:13.320 --> 00:48:20.560]   You probably will have people who will pay you know be complete as who will be okay with those older retro games that only happen streaming
[00:48:21.120 --> 00:48:28.920]   From Sony servers incident in LA they they don't they haven't invested into like, you know having good emulation stuff on the on the console itself
[00:48:28.920 --> 00:48:30.600]   But I feel like
[00:48:30.600 --> 00:48:36.080]   They made it clear. They're not going to do day one availability on their flagships for all the studios
[00:48:36.080 --> 00:48:38.760]   They own and and Sony's whole thing
[00:48:38.760 --> 00:48:43.280]   I mean the reason that the PlayStation is section amazing ecosystem is that first party stuff, right?
[00:48:43.280 --> 00:48:47.840]   They're similar to Nintendo in that way and that they just have a killer exclusive first party lineup
[00:48:47.840 --> 00:48:53.960]   And if you're saying okay, we're gonna cost as much as game pass ultimate which works on PC and
[00:48:53.960 --> 00:49:01.280]   You know cloud devices and console, but we're not going to have like the the day one availability
[00:49:01.280 --> 00:49:04.360]   To me you can't charge that same price
[00:49:04.360 --> 00:49:07.400]   Yeah, yeah
[00:49:07.400 --> 00:49:13.720]   Still has the best subscription. I mean if you're a serious gamer, I think with X cloud
[00:49:13.720 --> 00:49:18.480]   Yeah, the only way the price makes sense is if you have access to other hardware
[00:49:18.480 --> 00:49:25.080]   So if they do the Netflix model, right pay this premium and you don't need to have a place it everywhere in order to play
[00:49:25.080 --> 00:49:26.560]   Right. Yeah, okay fair enough
[00:49:26.560 --> 00:49:28.720]   Yes, and if they did do something like that
[00:49:28.720 --> 00:49:31.680]   Which again like if they brought like an ex-counsel or a component where they were like, okay
[00:49:31.680 --> 00:49:35.120]   You don't need because the way that a lot of their streaming stuff works now is actually
[00:49:35.120 --> 00:49:38.320]   Your streaming it off of your home console
[00:49:38.920 --> 00:49:43.480]   On your PC, right like it's not a real streaming thing. They have the streaming stuff is is del
[00:49:43.480 --> 00:49:46.520]   It is relegated to a number of games. I think you're right
[00:49:46.520 --> 00:49:51.720]   I think if they did that where they said okay, basically, you know kind of their G4 snow ex cloud whatever, you know
[00:49:51.720 --> 00:49:54.680]   Competitor whatever you want to call it Stadia. I guess
[00:49:54.680 --> 00:49:59.720]   Then yeah, I think maybe they could charge what they're charging but as it stands right now
[00:49:59.720 --> 00:50:06.200]   I just feel like $15 a month is too high. I feel like if they come in at $10 a month for that option
[00:50:06.680 --> 00:50:10.160]   Then you have something that is is price competitive
[00:50:10.160 --> 00:50:14.840]   Considering you're not gonna have the the day one releases, which is
[00:50:14.840 --> 00:50:21.840]   Obviously one of the big appeals of of game pass actually by not buying an Xbox live subscription
[00:50:21.840 --> 00:50:27.000]   The only advantage that is when I play Elden ring. I don't see all the ghost players
[00:50:27.000 --> 00:50:30.800]   I don't see those stupid messages that people put all over the place
[00:50:30.800 --> 00:50:37.760]   It's just gonna play the game and be so quiet without anybody else bothering me kids get out of my Elden ring
[00:50:37.760 --> 00:50:41.960]   You play yeah, you must play a Christina. I
[00:50:41.960 --> 00:50:45.080]   Haven't yet Brianna and Simone
[00:50:45.080 --> 00:50:52.480]   Yeah, I they're obsessed and I haven't and I'm going to I've just I've been busy like I was trying to you know
[00:50:52.480 --> 00:50:58.360]   Close up one job and like start at the nether, but yeah that you're getting to be a grown-up and all that no time for gaming
[00:50:58.360 --> 00:51:04.200]   My goodness, I know do you have roaches in your animal crossing house now? I mean
[00:51:04.200 --> 00:51:12.000]   Definitely I haven't gone back to animal crossing in a while. I need I need to go in there
[00:51:12.000 --> 00:51:16.680]   There's there's roaches there's cocker roaches because you haven't been there for a while
[00:51:16.680 --> 00:51:21.800]   Clean up. Yeah, it's pretty funny actually
[00:51:21.800 --> 00:51:27.120]   Yeah, who has time for that anymore, right? We've got we've got jobs
[00:51:27.880 --> 00:51:30.960]   Focusing on our next novel things like that
[00:51:30.960 --> 00:51:37.120]   We're almost done with Bitcoin. No, I wish if only
[00:51:37.120 --> 00:51:45.080]   There are 19 million Bitcoin now as of this week, which means there are only two million more to make
[00:51:45.080 --> 00:51:53.120]   Although as you know with Bitcoin it gets harder and harder as you get closer and closer to the end
[00:51:53.280 --> 00:52:00.840]   The way it was designed by whoever or whatever Satoshi Nakamoto is is that Bitcoin would have a limited number of
[00:52:00.840 --> 00:52:04.040]   total coins around 21 million and
[00:52:04.040 --> 00:52:10.520]   As they were minded be easy at first, but it would get harder and harder to mine them all this to avoid inflation
[00:52:10.520 --> 00:52:17.640]   It certainly is a lot harder we can thank Satoshi for the price of video cards these days
[00:52:17.640 --> 00:52:20.320]   Thank you Satoshi, whoever you are
[00:52:20.960 --> 00:52:23.200]   the 19 millionth Bitcoin
[00:52:23.200 --> 00:52:27.080]   occurred on block 730,000 in the network
[00:52:27.080 --> 00:52:30.360]   this on Friday
[00:52:30.360 --> 00:52:33.760]   Only 2 million left
[00:52:33.760 --> 00:52:39.320]   Some estimate it could be a hundred years to get those last two million. I don't know I
[00:52:39.320 --> 00:52:46.560]   Don't know it feels it feels like when they used to have all those things about how how many years of fossil fuels there are left
[00:52:49.280 --> 00:52:54.520]   Yeah, don't sweat it guys. We're all good. So Bitcoin fracking is just around the corners. That what you're saying, right?
[00:52:54.520 --> 00:52:58.360]   Yeah, yes. Yeah, it's like IP for address space, right?
[00:52:58.360 --> 00:53:00.360]   Yeah, we've exhausted it
[00:53:00.360 --> 00:53:06.600]   We've run out but yet we're still always able to issue you know people addresses
[00:53:06.600 --> 00:53:13.880]   You for unknown numbers. Yeah, we are yeah, well, that's interesting
[00:53:13.880 --> 00:53:17.080]   I wonder if there's it's a natural human tendency to say the sky is falling
[00:53:18.080 --> 00:53:23.760]   We're running out running out and then I mean yes, I know that because when covid happened there was no toilet paper
[00:53:23.760 --> 00:53:27.240]   For some reason so maybe that is a human thing
[00:53:27.240 --> 00:53:33.040]   What what I'm curious about the evolution if we're thinking ahead, I know that's a
[00:53:33.040 --> 00:53:39.800]   2 million left. Yeah, but when we think about where Bitcoin was to where it is now
[00:53:39.800 --> 00:53:47.880]   Where you could do it on any moderate kind of PC and we've moved past that to you have to have a higher part
[00:53:48.360 --> 00:53:50.400]   PC and then we move to the point where
[00:53:50.400 --> 00:53:55.100]   If you're serious you have like custom a six right do this
[00:53:55.100 --> 00:54:03.360]   Will we move in the future to a place where you have to be a nation state or maybe yeah a large
[00:54:03.360 --> 00:54:11.000]   tech company like an Amazon or Microsoft in order to 16 year old in a basement or 16 year old yes
[00:54:11.000 --> 00:54:14.960]   Nothing in between nothing in between
[00:54:14.960 --> 00:54:17.360]   so but we're
[00:54:17.360 --> 00:54:23.720]   If for instance if China did a full reversal and said that we are dedicating some severe
[00:54:23.720 --> 00:54:30.240]   Like computing power. Oh, they could get it done quick to do this. Yeah, and then and
[00:54:30.240 --> 00:54:37.760]   Then United States is worried about it like a 51% attack or whatever right and right they'd say well in order to oh
[00:54:37.760 --> 00:54:41.000]   My god, China we have to do it here too
[00:54:41.000 --> 00:54:46.300]   And then it's like an arms race where then only the biggest actually do run these notes
[00:54:46.300 --> 00:54:48.600]   I never thought of that in the future. Yeah
[00:54:48.600 --> 00:54:54.620]   Wow the current hash rate is 201.84 ex a hash per second
[00:54:54.620 --> 00:54:57.540]   Whatever that means
[00:54:57.540 --> 00:55:06.360]   So yeah, that's a I like that scenario you should write that first novel Wesley
[00:55:06.360 --> 00:55:09.640]   The Bitcoin wars. Yeah, no
[00:55:09.640 --> 00:55:16.100]   I mean think about it like we do like these like the Lawrence live from more like super computer to simulate
[00:55:16.100 --> 00:55:17.500]   nuclear
[00:55:17.500 --> 00:55:19.500]   explosions or whatever
[00:55:19.500 --> 00:55:25.380]   When the when there is a large like concerted effort to really worry about
[00:55:25.380 --> 00:55:31.780]   The arms race and speak of nuclear weapons. This could be a currency race and so this is not something that's interesting
[00:55:31.780 --> 00:55:36.260]   The realm of possibility, but you know we have learned that the only way to win is not to play
[00:55:36.260 --> 00:55:42.500]   We do know that right you I think I think we I think whopper figured that out way back when
[00:55:43.140 --> 00:55:48.540]   Or the only way to lose one of the two. Yeah, you see that's the problem is people like you
[00:55:48.540 --> 00:55:54.300]   Let's see
[00:55:54.300 --> 00:55:59.540]   Ubiquity not too happy with this is suing Brian Krebs
[00:55:59.540 --> 00:56:06.020]   for four hundred twenty five thousand dollars in damages you may remember that
[00:56:06.020 --> 00:56:12.140]   Ubiquity had a data breach some time ago turned out it was a rogue employee
[00:56:12.140 --> 00:56:19.140]   Ubiquity says that Krebs sole source for his article about the breach was
[00:56:19.140 --> 00:56:22.340]   that rogue employee
[00:56:22.340 --> 00:56:26.460]   And according to Ubiquity Krebs
[00:56:26.460 --> 00:56:34.420]   Intentionally misled the public about the data breach in the blackmail attempt Ubiquity said no no we properly notified customers
[00:56:34.420 --> 00:56:36.460]   We told them what to do
[00:56:37.420 --> 00:56:43.420]   We we notified the public in the next filing with the FCC, but Krebs intentionally
[00:56:43.420 --> 00:56:50.460]   ignored all that in order to drive traffic now I have to say these look kind of lawsuits almost never succeed
[00:56:50.460 --> 00:56:54.060]   You'd have to prove malicious intent on his part
[00:56:54.060 --> 00:57:03.340]   I feel like it's mostly a nuisance suit, but of course Brian's gonna have to defend it and I have a lot of respect for Brian Krebs
[00:57:04.500 --> 00:57:08.500]   I think this does not reflect well on Ubiquity to be honest although
[00:57:08.500 --> 00:57:14.500]   You know their their side of the story is somewhat damning
[00:57:14.500 --> 00:57:24.100]   Shout out to a friend of mine or whatever the dev role space Corey Quinn glad to see that he was noted in the story
[00:57:24.100 --> 00:57:29.940]   In a long tweet thread Corey Quinn chief cloud economist at the duck bill group
[00:57:30.580 --> 00:57:35.260]   Causing calls into question the Ubiquity lawsuit said that the law firm
[00:57:35.260 --> 00:57:42.340]   Representing Ubiquity Claire Locke LLP of Alexandria, Virginia has a long history of suing media companies
[00:57:42.340 --> 00:57:49.540]   Probably long and unsuccessful. I'm thinking I can't think of a lawsuit against media companies has succeeded ever since
[00:57:49.540 --> 00:57:52.260]   Hulk Hogan defeated
[00:57:52.260 --> 00:57:55.940]   The gocker media with a bit but thanks to the millions of Peter teal
[00:57:55.940 --> 00:57:59.700]   It's not normally something you succeed in so
[00:58:00.660 --> 00:58:05.060]   Actually, I don't think hulk Hogan did he win. Yeah, I did win. Yeah, no he won. We we went bankrupt
[00:58:05.060 --> 00:58:07.780]   So we were bought by Univision. Yeah, I think that's that in Texas
[00:58:07.780 --> 00:58:14.340]   No florida. Yeah, florida. Oh, but but we found out later Peter teal really was
[00:58:14.340 --> 00:58:19.860]   He's been banking the lawsuit by proxy because he was mad about Owen Thomas outing him
[00:58:19.860 --> 00:58:23.060]   so
[00:58:23.060 --> 00:58:25.060]   Owen says everybody knew
[00:58:26.980 --> 00:58:34.340]   Everybody knew and then it was what a sex tape it was a hulk Hogan sex tape which just on the face of it doesn't sound very appealing
[00:58:34.340 --> 00:58:42.340]   No, exactly. Yeah, it was it was that and it was like that it already the the existence of it had already been reported
[00:58:42.340 --> 00:58:45.300]   but then
[00:58:45.300 --> 00:58:49.540]   gocker got the tape and edited it into you know like a
[00:58:49.540 --> 00:58:54.260]   Like a you know 45 seconds, you know, like excer animated chiff
[00:58:56.260 --> 00:59:00.020]   And and and you know there were some other details and yeah, so it
[00:59:00.020 --> 00:59:05.380]   Yeah, there's actually a great Netflix documentary about that. Uh, nobody speaks but oh off to watch it
[00:59:05.380 --> 00:59:11.780]   So you were a gocker at the time. I didn't know that I joined I got my offer the day that they filed for bankrupt
[00:59:11.780 --> 00:59:16.660]   So I got in right the very end which was yeah, which which which was a great time to join a company when you're like, huh
[00:59:16.660 --> 00:59:18.420]   Well
[00:59:18.420 --> 00:59:21.700]   I was like, well, this will be a good story one way or another nowhere to go, but up
[00:59:21.700 --> 00:59:26.020]   Exactly. Yeah, like we we I've been interviewing
[00:59:26.180 --> 00:59:32.340]   While the lawsuit was still happening and I um had friends who worked, you know there and and so I I knew some stuff
[00:59:32.340 --> 00:59:37.380]   You know because of that but yeah, no, I I came in like literally like at the very end. Yeah, but yeah
[00:59:37.380 --> 00:59:39.140]   um
[00:59:39.140 --> 00:59:44.100]   No, but these things usually don't succeed. Um, although what will often happen is you'll have some sort of settlements where
[00:59:44.100 --> 00:59:50.580]   Because you know that the the person who's being sued might not have the money to pay for a lawyer
[00:59:50.580 --> 00:59:55.060]   I doubt I mean I I mean Brian who used to work at the post
[00:59:55.780 --> 01:00:01.060]   Is an independent blogger? I doubt he's got a ton of money to defend something like this
[01:00:01.060 --> 01:00:06.980]   Right. No, that's the that's the thing is like if you don't have the sort of insurance or or whatever, you know
[01:00:06.980 --> 01:00:11.460]   Things set up to do that like this is one of the reasons why I think that for it's
[01:00:11.460 --> 01:00:16.340]   Scary for a lot of journalists to go independent because they don't have indemnity
[01:00:16.340 --> 01:00:21.780]   Uh, you know provided by I just want to tell everybody we do have a liability umbrella policy
[01:00:22.580 --> 01:00:26.340]   So don't even think about suing us. Okay
[01:00:26.340 --> 01:00:33.300]   We do actually we have to most media companies have I've ever worked to for have
[01:00:33.300 --> 01:00:36.340]   Umbrella liability policies for things like this
[01:00:36.340 --> 01:00:41.860]   Precisely exactly, but that's the thing is that you know like for the sub-sacks of the world and whatnot like, you know
[01:00:41.860 --> 01:00:44.180]   Think people like that. I don't know how often they often
[01:00:44.180 --> 01:00:48.740]   Yeah, people always think about that. Um and and probably it's not a good thing for me to say
[01:00:48.740 --> 01:00:52.100]   We have the insurance because that might encourage the lawsuit
[01:00:52.100 --> 01:00:56.100]   So we don't have the insurance. We just dropped it just now
[01:00:56.100 --> 01:01:01.300]   Forget it. I think that was the for now you're on the hook for fraud
[01:01:01.300 --> 01:01:06.900]   And if you do damned if you don't you can't win
[01:01:06.900 --> 01:01:13.060]   I have to say I'm kind of this is a this is one where I obviously I'm never okay with companies suing
[01:01:13.060 --> 01:01:16.660]   No, but I'm a I'm a huge fan of brian crabs. I think the world
[01:01:17.620 --> 01:01:19.620]   I am too. I do have to say it is
[01:01:19.620 --> 01:01:22.740]   There and I and I don't think that it's anything
[01:01:22.740 --> 01:01:29.540]   I don't think it's like the defamation were they libel worth suing but it but but the the I guess I would say that the
[01:01:29.540 --> 01:01:34.820]   Accusation that he knew that the source the leak was also an employee that he quoted
[01:01:34.820 --> 01:01:44.180]   That does seem like if you're going to report on a story that someone was fired for internal stuff and that person was your source
[01:01:45.380 --> 01:01:51.540]   I I don't know like they're there that does become kind of a weird ethical thing like how do you disclose that or or you know
[01:01:51.540 --> 01:01:59.220]   Unfortunately, I'm brian may well have a very good defense for this, but we won't hear it because his lawyer said just
[01:01:59.220 --> 01:02:01.140]   Clam up
[01:02:01.140 --> 01:02:04.980]   Absolutely because in general it's a good idea not to say anything so brian
[01:02:04.980 --> 01:02:09.300]   As far as I'm concerned the benefit of that that is on your side
[01:02:09.300 --> 01:02:11.780]   I agree. I agree
[01:02:11.780 --> 01:02:17.700]   I mean and in such a sad move because ubiquity makes great stuff. Yes. I'm a ubiquity customer
[01:02:17.700 --> 01:02:20.260]   I have ubiquity throughout my house. I love it
[01:02:20.260 --> 01:02:25.300]   Yeah, they make great stuff that this is just like it just comes across as such kind of an anti
[01:02:25.300 --> 01:02:27.140]   Yeah
[01:02:27.140 --> 01:02:32.500]   Like a not a great move right like it's one of those things where people kind of you call things to question especially since
[01:02:32.500 --> 01:02:37.220]   Look the the data breach was bad, but the fact that it was internal and whatnot
[01:02:37.940 --> 01:02:43.700]   Does change the tenor of how it looks a little bit right like there can always be bad actors and whatnot and you can do better
[01:02:43.700 --> 01:02:48.420]   Things internally, but that is very different from like a person who would go from the inside
[01:02:48.420 --> 01:02:53.220]   Exactly then then like okay. We are a company where security is our competence and
[01:02:53.220 --> 01:02:56.660]   It was breached by an outsider right like those are different scenarios. So
[01:02:56.660 --> 01:02:58.820]   Lashing out against
[01:02:58.820 --> 01:03:03.540]   Lashing out with a lawsuit against a somebody who you know writes about security a media company
[01:03:03.540 --> 01:03:05.940]   Just it's not a good look right exactly
[01:03:06.980 --> 01:03:11.220]   You know have a conversation about it if you need to but involving lawyers feels like
[01:03:11.220 --> 01:03:14.180]   You put out a press release saying we are unhappy sure
[01:03:14.180 --> 01:03:17.460]   This isn't right or or do it why didn't just be quiet
[01:03:17.460 --> 01:03:20.820]   Or just don't say anything at all and hope nobody knows is
[01:03:20.820 --> 01:03:26.740]   Move along do a jedi mind trick just go or or I don't know just just a thought like you you hire
[01:03:26.740 --> 01:03:31.060]   You employ or probably have communications professionals on retainer
[01:03:31.540 --> 01:03:38.340]   Plans a story in another outlet where your people go through and and give their side of the story and
[01:03:38.340 --> 01:03:43.700]   Neutralize the situation like to me. That's what you should be doing like
[01:03:43.700 --> 01:03:49.140]   And if you wanted to be really dirty you could kind of you know start like on the down low
[01:03:49.140 --> 01:03:51.300]   You know some conversations with people like well, you know
[01:03:51.300 --> 01:03:55.860]   The story as it was as it was reported wasn't really accurate. Okay fine
[01:03:55.860 --> 01:04:00.260]   But suing suing the the you know security analyst, you know who reported the stuff
[01:04:00.260 --> 01:04:04.020]   I'm not a fan of it all a comp stuff's a lot cheaper too. Let me tell you
[01:04:04.020 --> 01:04:06.900]   And then the lawyers I'm guessing
[01:04:06.900 --> 01:04:09.460]   Yeah, this is a bit of a strizy and effect too
[01:04:09.460 --> 01:04:14.340]   Exactly. Yeah, we're talking about it. Yeah. Yeah, we're talking about the breach
[01:04:14.340 --> 01:04:18.420]   Um
[01:04:18.420 --> 01:04:20.740]   Congratulations to apple
[01:04:20.740 --> 01:04:25.540]   Uh best picture oscar for coda nobody was paying attention at the time, but then no
[01:04:25.540 --> 01:04:28.100]   Just to let you know they they did win
[01:04:28.660 --> 01:04:31.540]   Um first ever academy award for apple
[01:04:31.540 --> 01:04:36.500]   Uh and for any streamer and for any streamer big big deal right now
[01:04:36.500 --> 01:04:40.980]   Uh, you know, I saw a number of people who's saying tim cook you show your brilliant knowledge
[01:04:40.980 --> 01:04:45.140]   But honestly all this really was is something that premiered at sundance
[01:04:45.140 --> 01:04:48.260]   Uh, it by was also the first time a sundance
[01:04:48.260 --> 01:04:50.980]   premier won an oscar
[01:04:50.980 --> 01:04:55.780]   Uh and apple saw it and apple engaged in a bidding war and won and bought it
[01:04:55.860 --> 01:04:59.380]   I think not for a whole lot of money. I can't remember 25 million. I think yeah
[01:04:59.380 --> 01:05:05.220]   Yeah, which is not a lot but but uh for for the size of the film, but it was significantly higher than
[01:05:05.220 --> 01:05:11.300]   What some of the other bits had been because I think they'd already pre sold some of the um, I guess distribution rights and some other
[01:05:11.300 --> 01:05:17.700]   Territories and sorry go on the other thing that actually it redounds more to apple's glory
[01:05:17.700 --> 01:05:21.220]   Is that they then spent 10 million dollars for an oscar campaign
[01:05:21.780 --> 01:05:26.580]   Now and that's how you get the big names to come to your streamer
[01:05:26.580 --> 01:05:32.500]   Is saying not only did we win an academy award, but we want it because we we had a 10 million dollar marketing campaign
[01:05:32.500 --> 01:05:39.460]   Uh, which was more than the movie's entire production budget to get this into the oscar's into consideration and ultimately
[01:05:39.460 --> 01:05:43.380]   Uh to win and I think I don't know how important those campaigns are
[01:05:43.380 --> 01:05:49.620]   But uh, I think hollywood takes it seriously and if you're a martin score sazy you're looking at that you're saying
[01:05:49.860 --> 01:05:53.940]   Maybe I won't go to netflix where my movie may be buried with 300 other
[01:05:53.940 --> 01:06:00.340]   Films, uh, maybe I will go to apple and get that oscar campaign in fact he does have a film coming to apple
[01:06:00.340 --> 01:06:07.060]   Uh pretty soon. So um matthew billy only add up puck news wrote a really great thing about this
[01:06:07.060 --> 01:06:11.460]   Um actually it was before it won best picture but it had been expected to win because it won
[01:06:11.460 --> 01:06:13.780]   the other uh
[01:06:13.780 --> 01:06:16.900]   Awards the other big things and just based on how the voting block is it
[01:06:17.300 --> 01:06:20.340]   It was though it was a tight race. I think I think there were it was side
[01:06:20.340 --> 01:06:24.580]   I think I think it was between it and in dune for sure. Um, but I thought power of the dog
[01:06:24.580 --> 01:06:28.340]   Which I didn't like all that much, but sure seemed like it had a lot of sentiment
[01:06:28.340 --> 01:06:33.940]   Uh, including 12 nominations. Yes. Yes, and then it was it was other than director
[01:06:33.940 --> 01:06:37.460]   I mean it was shut out of a lot of stuff, but uh and and um
[01:06:37.460 --> 01:06:38.740]   uh
[01:06:38.740 --> 01:06:45.460]   Bologna goes into this on uh puck news, but he wrote a thing last week called tim cooks oscar moment didn't come cheap
[01:06:45.860 --> 01:06:51.300]   And it goes into a lot of like what they had to go through in terms of having a good
[01:06:51.300 --> 01:06:56.420]   Oscar campaign and that it is more difficult than just showing up with with 10 million dollars because clearly
[01:06:56.420 --> 01:07:00.820]   Amazon have tried that before and it hasn't worked so it was a lot of
[01:07:00.820 --> 01:07:04.580]   You know massaging and messaging and stuff to get
[01:07:04.580 --> 01:07:09.220]   They were able to get I wonder about how much of it too is like there's a certain degree of sort of just
[01:07:09.220 --> 01:07:14.900]   Subject matter and general sort of the world that we live in right? I mean it's a very it's a very
[01:07:15.300 --> 01:07:20.260]   Depressing time for a lot of people and it's it's been hard and like something that has a more uplifting thing
[01:07:20.260 --> 01:07:23.700]   I think that was one of the things with the power of the dog a lot of people were like kind of cramps
[01:07:23.700 --> 01:07:26.660]   Yeah, exactly and it's like maybe we need you know
[01:07:26.660 --> 01:07:33.060]   And you can't there's only so much you can do with money to buy that right like having that at your disposal in terms of something that feels like
[01:07:33.060 --> 01:07:39.620]   It's a feel good movie right I think has a lot going for it in that way. There's no question though that streaming
[01:07:39.620 --> 01:07:43.780]   You know effect as we were talking about kind of the end of the line for e3
[01:07:44.580 --> 01:07:49.060]   After this Oscars, I think it might be the end of the line for traditional theatrical movies
[01:07:49.060 --> 01:07:55.620]   And that streaming really is dominant Netflix had 27 nominations
[01:07:55.620 --> 01:07:58.100]   That's including the 12 for power of the dog
[01:07:58.100 --> 01:08:00.900]   And four for don't look up
[01:08:00.900 --> 01:08:06.260]   Apple had nominations also for uh Joel Cohen's Macbeth three of them
[01:08:06.260 --> 01:08:09.060]   So there were a lot of streaming
[01:08:10.740 --> 01:08:16.660]   nominations and I really I've seen actually a number of articles and and there been a number of directors including Ridley Scott
[01:08:16.660 --> 01:08:22.020]   um and squirce azimself who say you know the idea of a small film or
[01:08:22.020 --> 01:08:27.860]   An art film or even just a thoughtful film doing well in the theaters is pretty much gone
[01:08:27.860 --> 01:08:30.900]   It's going to be comic book movies extravaganza it's going to be dunes
[01:08:30.900 --> 01:08:38.020]   Going forward and that with with the streamers and this is what you were talking about earlier Dan with the idea of writing a series
[01:08:39.300 --> 01:08:40.980]   as a novelist
[01:08:40.980 --> 01:08:43.940]   Having more than one book to develop a story and characters
[01:08:43.940 --> 01:08:46.980]   It's kind of I think it's kind of the same for streamers. It's not just movies
[01:08:46.980 --> 01:08:53.460]   But uh six episodes of something like the dropout can be so much more compelling than a two-hour movie
[01:08:53.460 --> 01:08:56.900]   Yeah, I mean it gets people bought in they come back right?
