
[00:00:00.000 --> 00:00:02.000]   This Week in Time.
[00:15:36.200 --> 00:15:38.200]   Google's like Apple in that respect.
[00:15:38.200 --> 00:15:42.200]   I mean, we just talked about two companies in a row that really generate more attention than they deserve.
[00:15:42.200 --> 00:15:48.200]   I mean, Apple just has to, you know, say hi there and everybody says, "What?" and Google's the same thing.
[00:15:48.200 --> 00:15:51.200]   Well, I think Apple wants everyone to say what when they say hi there.
[00:15:51.200 --> 00:15:52.200]   Oh, yeah, of course.
[00:15:52.200 --> 00:15:56.200]   Google does, but sometimes they would like to be able to do so without having everyone go nuts.
[00:15:56.200 --> 00:16:00.200]   Now, I just logged on to pages.google.com, which is the page creator.
[00:16:00.200 --> 00:16:01.200]   So apparently it's open again.
[00:16:01.200 --> 00:16:06.200]   Although I just had a, I've never seen this, an error message from Google says, "Google, oops.
[00:16:06.200 --> 00:16:08.200]   Google Page Creator is having a little trouble right now.
[00:16:08.200 --> 00:16:10.200]   This is not because of anything you did.
[00:16:10.200 --> 00:16:14.200]   It's just a little hiccup in our system that will hopefully go away soon."
[00:16:14.200 --> 00:16:16.200]   We apologize like that.
[00:16:16.200 --> 00:16:17.200]   We apologize for the inconvenience.
[00:16:17.200 --> 00:16:19.200]   I recommend you try reloading the page.
[00:16:19.200 --> 00:16:21.200]   Let me try reloading the page.
[00:16:21.200 --> 00:16:23.200]   Well, it does, Leo.
[00:16:23.200 --> 00:16:27.200]   It's going to create a website using your Google mail name.
[00:16:27.200 --> 00:16:28.200]   Right.
[00:16:28.200 --> 00:16:30.200]   And I'm sure they have lots of applications for it.
[00:16:30.200 --> 00:16:32.200]   I can't think of a single one.
[00:16:32.200 --> 00:16:34.200]   Well, it's just space.
[00:16:34.200 --> 00:16:35.200]   Yeah.
[00:16:35.200 --> 00:16:36.200]   Yeah.
[00:16:36.200 --> 00:16:37.200]   Yeah.
[00:16:37.200 --> 00:16:38.200]   Competing with MySpace or with Yahoo or with a meet.
[00:16:38.200 --> 00:16:45.200]   And it's supposed to actually implement Ajax style stuff in there, which is a pretty big step, I think, if they make it work for end users.
[00:16:45.200 --> 00:16:50.200]   It does have, it is doing character by character feedback to the host, apparently.
[00:16:50.200 --> 00:16:56.200]   So it's got some really high interactivity features, but it's not quite sure what those are yet.
[00:16:56.200 --> 00:17:01.200]   Well, and as bullet point number one, no technical knowledge required.
[00:17:01.200 --> 00:17:05.200]   Or maybe we're just snobs.
[00:17:05.200 --> 00:17:08.200]   Maybe people need something like this.
[00:17:08.200 --> 00:17:14.200]   It looks like front page from 10 years ago.
[00:17:14.200 --> 00:17:19.200]   You can pick from a couple of dozen templates and you can make this look.
[00:17:19.200 --> 00:17:20.200]   And so where are you?
[00:17:20.200 --> 00:17:24.200]   But, you know, again, yeah, there's maybe there is a business model in the MySpace kind of world.
[00:17:24.200 --> 00:17:31.200]   So we do have, I can't remember what our, is it Twit@Google@gmail.com or TwitTV@gmail.com?
[00:17:31.200 --> 00:17:32.200]   I think that's it.
[00:17:32.200 --> 00:17:36.200]   So I should sign up for TwitTV.Google pages.com.
[00:17:36.200 --> 00:17:39.200]   Maybe, maybe I shouldn't have done this redesign.
[00:17:39.200 --> 00:17:42.200]   I could just use a Google template.
[00:17:42.200 --> 00:17:44.200]   No, nobody thinks so.
[00:17:44.200 --> 00:17:46.200]   Nobody thinks so.
[00:17:46.200 --> 00:17:49.200]   It's not as done by the way and now I have to implement it.
[00:17:49.200 --> 00:17:50.200]   Oh, God.
[00:17:50.200 --> 00:17:51.200]   It looks great.
[00:17:51.200 --> 00:17:55.200]   I don't want to give out the address on the show because I don't know.
[00:17:55.200 --> 00:17:56.200]   It's not an art service yet.
[00:17:56.200 --> 00:17:57.200]   It was a sign on a service.
[00:17:57.200 --> 00:17:59.200]   I didn't think the old design was that bad.
[00:17:59.200 --> 00:18:02.200]   Well, the only problem with the old designers is very blog focused.
[00:18:02.200 --> 00:18:10.200]   So this is, this has a blog still in it and I hope you guys will participate in the blog, but it's more like a network page where you see all the shows on the front page and all the new shows on the front page.
[00:18:10.200 --> 00:18:16.200]   It's a little clearer about where the shows are and what the latest version is and all that stuff.
[00:18:16.200 --> 00:18:21.200]   Doug, you have about how many different IT conversations pages do you have?
[00:18:21.200 --> 00:18:23.200]   Well, it's sort of automated.
[00:18:23.200 --> 00:18:27.200]   So we have one page certainly for every program and we're just about to hit a thousand programs in the archive.
[00:18:27.200 --> 00:18:28.200]   A thousand.
[00:18:28.200 --> 00:18:29.200]   Yeah.
[00:18:29.200 --> 00:18:34.200]   Yeah, we're doing about 10 to 12 a week right now and we'll be doing 60 programs a week by the end of the year.
[00:18:34.200 --> 00:18:36.200]   You just did Steve Gibson?
[00:18:36.200 --> 00:18:37.200]   Yeah.
[00:18:37.200 --> 00:18:39.200]   That was our very maggot that interviewed Steve.
[00:18:39.200 --> 00:18:47.200]   And you just let me know that the most popular, what do you think guys, the most popular IT conversation interview of all time was?
[00:18:47.200 --> 00:18:49.200]   They've interviewed everybody.
[00:18:49.200 --> 00:18:50.200]   Adolph Hitler?
[00:18:50.200 --> 00:18:52.200]   No, not yet.
[00:18:52.200 --> 00:18:57.200]   Maybe when you go to Berlin, John, you can snag an interview with him and that would be, I'm sure, very popular.
[00:18:57.200 --> 00:18:59.200]   No, Wozniak.
[00:18:59.200 --> 00:19:00.200]   Really?
[00:19:00.200 --> 00:19:05.200]   Yeah, Woz gave a great presentation at NOMDEXA.
[00:19:05.200 --> 00:19:16.200]   You're in a half ago, very popular and we did a follow-up interview with him right afterwards and that is now been downloaded a little over 150,000 times which by our standards is pretty high.
[00:19:16.200 --> 00:19:17.200]   That's great.
[00:19:17.200 --> 00:19:19.200]   So AOL has voted an interesting stunt.
[00:19:19.200 --> 00:19:22.200]   I guess this is one way to get rid of your dial-up customers.
[00:19:22.200 --> 00:19:29.200]   They've raised the price of AOL dial-up, which was already exorbitant, to $25.90 a month.
[00:19:29.200 --> 00:19:31.200]   It's the same as the broadband price.
[00:19:31.200 --> 00:19:37.200]   I remember when $25.95 a month would have been cheap for 56K access.
[00:19:37.200 --> 00:19:38.200]   But that was a while ago.
[00:19:38.200 --> 00:19:40.200]   300K access.
[00:19:40.200 --> 00:19:41.200]   It was a long time ago.
[00:19:41.200 --> 00:19:42.200]   20?
[00:19:42.200 --> 00:19:45.200]   There's still a lot of people that can't get brought back.
[00:19:45.200 --> 00:19:52.200]   Well, I'm wondering, I mean, it seems like, you think it's that or they're trying to get rid of these guys?
[00:19:52.200 --> 00:19:56.200]   Nobody in the right mind wants to get rid of free money.
[00:19:56.200 --> 00:20:01.200]   Well, it can't be costing them that much to maintain the dial-up centers.
[00:20:01.200 --> 00:20:06.200]   AOL Spokeswoman Ann Bentley said Tuesday, "Hopefully it's an encouragement for them to get high-speed connections."
[00:20:06.200 --> 00:20:14.200]   I wonder if it's a possibility that people who are locked into their AOL addresses and want the ability to access while they're on the road.
[00:20:14.200 --> 00:20:16.200]   Is it the mobile access thing?
[00:20:16.200 --> 00:20:20.200]   Let's get the latest on Blackberry.
[00:20:20.200 --> 00:20:26.200]   RIM had a victory in the patent office the day before their hearing on Friday.
[00:20:26.200 --> 00:20:33.200]   The US Patent and Trademark Office said that one of the, I think there's four NTP patents, one of them was invalidated.
[00:20:33.200 --> 00:20:36.200]   So that would be, you would think, good news.
[00:20:36.200 --> 00:20:43.200]   Although the judge apparently in the RIM case, the US judge is not well disposed towards Blackberry at all.
[00:20:43.200 --> 00:20:46.200]   James R. Spencer heard the case on Friday.
[00:20:46.200 --> 00:20:47.200]   What was the upshot of the hearing?
[00:20:47.200 --> 00:20:48.200]   I didn't hear.
[00:20:48.200 --> 00:20:50.200]   I was in on a plane from Canada.
[00:20:50.200 --> 00:20:55.200]   I think that he, first of all, he was pretty pissed at the whole patent process.
[00:20:55.200 --> 00:20:59.200]   And he was basically saying that this, he said this thing first of all should have been handled out of court.
[00:20:59.200 --> 00:21:00.200]   Yeah.
[00:21:00.200 --> 00:21:02.200]   That it should never have gotten that far.
[00:21:02.200 --> 00:21:03.200]   And I think he's...
[00:21:03.200 --> 00:21:06.200]   He's mad that he's even has to waste any time on this.
[00:21:06.200 --> 00:21:08.200]   Well, that's a great phrase.
[00:21:08.200 --> 00:21:13.200]   And he also said that he feels that the patent process has stifled innovation.
[00:21:13.200 --> 00:21:18.200]   I wouldn't blame Blackberry on this, uh, uh, uh, Patrick.
[00:21:18.200 --> 00:21:19.200]   They refused to.
[00:21:19.200 --> 00:21:23.200]   And then they made the people who apparently have the rightful patent, fight them through the system.
[00:21:23.200 --> 00:21:28.200]   And then they ended up with their stock price and their entire customer base over a barrel as a result.
[00:21:28.200 --> 00:21:33.200]   Well, but we don't know, uh, this is what Blackberry's, what RIM is saying is, well, it wasn't the money.
[00:21:33.200 --> 00:21:34.200]   Now, of course, this is revisionist.
[00:21:34.200 --> 00:21:35.200]   Maybe this is just the latest.
[00:21:35.200 --> 00:21:40.200]   But what, and I agree with you that I think the NTP, I have now come around to thinking, and John,
[00:21:40.200 --> 00:21:42.200]   how the money was the principal of the patent?
[00:21:42.200 --> 00:21:43.200]   No, no, no, no, no.
[00:21:43.200 --> 00:21:45.200]   John said all along the NTP patent was legit.
[00:21:45.200 --> 00:21:48.200]   And after reading all of the detail on it, it does sound like that's a legit patent.
[00:21:48.200 --> 00:21:51.200]   No, Blackberry was saying, RIM was saying, uh, it's not the money.
[00:21:51.200 --> 00:21:55.200]   It's that we don't want our business process encumbered in the future.
[00:21:55.200 --> 00:22:00.200]   And we, NTP wasn't giving us, uh, you know, wasn't saying, yeah, just license it.
[00:22:00.200 --> 00:22:01.200]   You can do whatever you want.
[00:22:01.200 --> 00:22:05.200]   They were saying, no, we want to kind of, you know, they weren't being clear on what else they wanted.
[00:22:05.200 --> 00:22:07.200]   In other words, and I can understand that.
[00:22:07.200 --> 00:22:11.200]   And if you're trying to run a business, uh, once, one thing to license the technology,
[00:22:11.200 --> 00:22:14.200]   another thing to have this company have its thumbs in your business all the time.
[00:22:14.200 --> 00:22:17.200]   Well, supposedly they've got to work around all, I'm a Blackberry user.
[00:22:17.200 --> 00:22:21.200]   And they sent out email to everyone saying, you know, just in case we have a solution.
[00:22:21.200 --> 00:22:22.200]   Yeah, you know what the work around is?
[00:22:22.200 --> 00:22:28.200]   The Department of Justice, the U.S. Congress, major industry, all of them run on Blackberry.
[00:22:28.200 --> 00:22:29.200]   There's no way.
[00:22:29.200 --> 00:22:33.200]   You know that there, it was intense pressure on the patent and trademark office to invalidate this patent.
[00:22:33.200 --> 00:22:34.200]   Yeah.
[00:22:34.200 --> 00:22:39.200]   I mean, I'm sure every Congressman, every, I mean, the Department of Justice runs on these things.
[00:22:39.200 --> 00:22:42.200]   Uh, I'm sure President Bush carries a Blackberry.
[00:22:42.200 --> 00:22:45.200]   Uh, I don't think he really carries a communication.
[00:22:45.200 --> 00:22:50.200]   No, he just went back to the trio 650 after he didn't want the 700.
[00:22:50.200 --> 00:22:52.200]   He has people that can do that kind of thing.
[00:22:52.200 --> 00:22:53.200]   I don't know.
[00:22:53.200 --> 00:22:55.200]   I think he might be a sidekick user.
[00:22:55.200 --> 00:22:58.200]   I think he likes to, I am with his buds.
[00:22:58.200 --> 00:22:59.200]   I don't know.
[00:22:59.200 --> 00:23:00.200]   We're just being silly.
[00:23:00.200 --> 00:23:01.200]   You're probably right.
[00:23:01.200 --> 00:23:02.200]   Now that's an interesting question, though.
[00:23:02.200 --> 00:23:03.200]   Does the President carry a cell phone?
[00:23:03.200 --> 00:23:04.200]   Oh, gosh.
[00:23:04.200 --> 00:23:05.200]   He's got a...
[00:23:05.200 --> 00:23:10.200]   He's got six or 12 personal assistants to be cell phone.
[00:23:10.200 --> 00:23:14.200]   The President carries a cell phone that would make it very easy to target him, I guess.
[00:23:14.200 --> 00:23:16.200]   It's really creative devices.
[00:23:16.200 --> 00:23:19.200]   Oh, he doesn't... he's got a bunch of guys.
[00:23:19.200 --> 00:23:20.200]   That's what I just said.
[00:23:20.200 --> 00:23:21.200]   In the time...
[00:23:21.200 --> 00:23:22.200]   I know, but I wasn't listening.
[00:23:22.200 --> 00:23:23.200]   No, I'm not listening.
[00:23:23.200 --> 00:23:29.200]   In the time that you guys were chatting that up, I did a webpage on Google and posted it.
[00:23:29.200 --> 00:23:30.200]   It's online.
[00:23:30.200 --> 00:23:32.200]   It took that long to create a page from scratch.
[00:23:32.200 --> 00:23:34.200]   So, John's been web designing during the show.
[00:23:34.200 --> 00:23:40.200]   I'm on the web right now at thevorak.googlepages.com/home.
[00:23:40.200 --> 00:23:43.200]   But, now, so you didn't get that error message I did?
[00:23:43.200 --> 00:23:46.200]   No, I got a page posted on the Internet as we speak.
[00:23:46.200 --> 00:23:49.200]   You put a picture of the sky up there.
[00:23:49.200 --> 00:23:50.200]   Yeah.
[00:23:50.200 --> 00:23:51.200]   Thevorak's full homepage.
[00:23:51.200 --> 00:23:53.200]   This is a test of how fast it is to...
[00:23:53.200 --> 00:23:54.200]   Hey, it's beautiful, too.
[00:23:54.200 --> 00:23:55.200]   And click here for a second.
[00:23:55.200 --> 00:23:57.200]   It looks better than Google video.
[00:23:57.200 --> 00:23:59.200]   It looks a lot better than Google video.
[00:23:59.200 --> 00:24:00.200]   It's colorful.
[00:24:00.200 --> 00:24:01.200]   Yeah, well, that's for sure.
[00:24:01.200 --> 00:24:03.200]   And look, it points to Twit TV.
[00:24:03.200 --> 00:24:04.200]   Thank you, John.
[00:24:04.200 --> 00:24:05.200]   Hey, that's great.
[00:24:05.200 --> 00:24:06.200]   That's nice.
[00:24:06.200 --> 00:24:08.200]   Okay, now I've got to do that.
[00:24:08.200 --> 00:24:10.200]   Okay, talk amongst yourselves.
[00:24:10.200 --> 00:24:11.200]   I'm going to go to design a webpage.
[00:24:11.200 --> 00:24:14.200]   No, hey, you know, now you're just doing a copycat.
[00:24:14.200 --> 00:24:21.200]   I mean, the patent trademark market has office, G's, trademark office, actually.
[00:24:21.200 --> 00:24:25.200]   I guess they have, since you're rejected, all but three of the patents in it.
[00:24:25.200 --> 00:24:26.200]   There's three left.
[00:24:26.200 --> 00:24:27.200]   There's three left.
[00:24:27.200 --> 00:24:28.200]   They will invalidate them as well.
[00:24:28.200 --> 00:24:29.200]   No.
[00:24:29.200 --> 00:24:30.200]   I think that's political.
[00:24:30.200 --> 00:24:32.200]   Don't you think that's political at this point?
[00:24:32.200 --> 00:24:33.200]   Of course it's political.
[00:24:33.200 --> 00:24:38.200]   It's, you know, if the patents legal and legit having it invalidated at this point, that's
[00:24:38.200 --> 00:24:40.200]   a little strange.
[00:24:40.200 --> 00:24:42.200]   I haven't read it.
[00:24:42.200 --> 00:24:44.200]   I haven't been to the patent.
[00:24:44.200 --> 00:24:49.200]   I guess the stuff the person that runs the patent trademark office pointing out just how
[00:24:49.200 --> 00:24:50.200]   it's messy.
[00:24:50.200 --> 00:24:51.200]   It is.
[00:24:51.200 --> 00:24:53.200]   They've been done a series of interview clips on your own.
[00:24:53.200 --> 00:24:57.200]   They're talking about how they just think it's, you know, she's made, I mean, I can't
[00:24:57.200 --> 00:25:01.200]   imagine she's going to be allowed to stay in that office very long.
[00:25:01.200 --> 00:25:07.200]   Here's the onions list of how people are going to respond to the Blackberry service shutdown.
[00:25:07.200 --> 00:25:11.200]   Keep frantically hitting send until service returns.
[00:25:11.200 --> 00:25:16.200]   Attempt to contact broker on astral plane through right combination of incense cocaine and
[00:25:16.200 --> 00:25:18.200]   fat and calf sacrifice.
[00:25:18.200 --> 00:25:23.200]   Three, commit useless information to memory.
[00:25:23.200 --> 00:25:25.200]   That's what we had to do in the old days.
[00:25:25.200 --> 00:25:29.200]   Imagine what happens when, you know, eight million people like me walk back into their singular
[00:25:29.200 --> 00:25:32.200]   office and say, hi, I bought this and it doesn't work.
[00:25:32.200 --> 00:25:33.200]   Yeah.
[00:25:33.200 --> 00:25:34.200]   Imagine what they're going to have to deal with.
[00:25:34.200 --> 00:25:35.200]   It can't happen.
[00:25:35.200 --> 00:25:41.200]   Email from PC using only thumbs and attempt to recapture awesome Blackberry feeling.
[00:25:41.200 --> 00:25:46.200]   Focus all metal powers on finding loophole in lawsuits so they can reclaim machines that
[00:25:46.200 --> 00:25:49.200]   remind them when to eat lunch.
[00:25:49.200 --> 00:25:50.200]   This is my favorite.
[00:25:50.200 --> 00:25:56.200]   What will the and the number one thing Blackberry users will have to do when services shut down.
[00:25:56.200 --> 00:25:59.200]   Look where they're going.
[00:25:59.200 --> 00:26:01.200]   I love that.
[00:26:01.200 --> 00:26:02.200]   Onion is fine.
[00:26:02.200 --> 00:26:03.200]   Right.
[00:26:03.200 --> 00:26:04.200]   We got a slow news.
[00:26:04.200 --> 00:26:05.200]   It is slow.
[00:26:05.200 --> 00:26:08.200]   I have to apologize to the listeners in advance.
[00:26:08.200 --> 00:26:09.200]   Why is that?
[00:26:09.200 --> 00:26:12.200]   They get mad at us when we don't have a lot of cool stuff to talk about.
[00:26:12.200 --> 00:26:14.200]   I think we should just start every tweet with an apology.
[00:26:14.200 --> 00:26:16.200]   Then we wouldn't have to worry.
[00:26:16.200 --> 00:26:17.200]   This is Twitter.
[00:26:17.200 --> 00:26:18.200]   We're sorry.
[00:26:18.200 --> 00:26:23.200]   Did you already talk about YouTube and how networks are getting pissed about their property going
[00:26:23.200 --> 00:26:25.200]   virally all over the web?
[00:26:25.200 --> 00:26:29.200]   NBC should be on their knees thanking YouTube.
[00:26:29.200 --> 00:26:30.200]   Where did YouTube come from?
[00:26:30.200 --> 00:26:32.200]   I had not heard of them.
[00:26:32.200 --> 00:26:33.200]   YouTube banned?
[00:26:33.200 --> 00:26:34.200]   No, YouTube.
[00:26:34.200 --> 00:26:36.200]   We talked about them last week too.
[00:26:36.200 --> 00:26:38.200]   Why are you TUBE.com?
[00:26:38.200 --> 00:26:39.200]   Oh, yeah.
[00:26:39.200 --> 00:26:43.200]   No, I noticed that I got two or three things today from people sending me from the YouTube.
[00:26:43.200 --> 00:26:45.200]   Everybody's solidified either.
[00:26:45.200 --> 00:26:48.200]   They're on the top 200 websites according to Alexa.
[00:26:48.200 --> 00:26:50.200]   Oh, but who uses Alexa?
[00:26:50.200 --> 00:26:51.200]   That's absurd.
[00:26:51.200 --> 00:26:52.200]   People who have five tractal.
[00:26:52.200 --> 00:26:53.200]   Alexa is probably the biggest name.
[00:26:53.200 --> 00:26:57.200]   People who want numbers that don't understand that Alexa is a self-serving group of people
[00:26:57.200 --> 00:26:59.200]   that actually use Alexa.
[00:26:59.200 --> 00:27:00.200]   Alexa numbers aren't that bad.
[00:27:00.200 --> 00:27:01.200]   I've tested them.
[00:27:01.200 --> 00:27:02.200]   Really?
[00:27:02.200 --> 00:27:03.200]   But you have to use Alexa to bar.
[00:27:03.200 --> 00:27:04.200]   They're not the money.
[00:27:04.200 --> 00:27:05.200]   They're not.
[00:27:05.200 --> 00:27:06.200]   They're not.
[00:27:06.200 --> 00:27:07.200]   It's still numbers.
[00:27:07.200 --> 00:27:08.200]   It's not as low.
[00:27:08.200 --> 00:27:10.200]   So you think relative, but the relative ranking is right.
[00:27:10.200 --> 00:27:11.200]   Just not the actual number.
[00:27:11.200 --> 00:27:13.200]   Because you have to use the Alexa to bar.
[00:27:13.200 --> 00:27:15.200]   They don't really give you real numbers.
[00:27:15.200 --> 00:27:16.200]   They give you kind of rankings.
[00:27:16.200 --> 00:27:17.200]   Ranking.
[00:27:17.200 --> 00:27:18.200]   Well, that would make sense.
[00:27:18.200 --> 00:27:24.720]   So YouTube, of course, was where Lazy Sunday, the great rap clip from Saturday Night Live
[00:27:24.720 --> 00:27:28.200]   first appeared and people were sending them around all over the place.
[00:27:28.200 --> 00:27:30.760]   NBC got a lot of mileage out of it.
[00:27:30.760 --> 00:27:33.200]   In fact, they became so popular.
[00:27:33.200 --> 00:27:38.200]   They tried to turn around and sell it on the Apple iTunes music store for a Buck 99, which
[00:27:38.200 --> 00:27:41.120]   was kind of silly since everybody already had it for free.
[00:27:41.120 --> 00:27:43.120]   And then they try to pull it off YouTube.
[00:27:43.120 --> 00:27:46.120]   There's some good stuff on there I have to say.
[00:27:46.120 --> 00:27:47.120]   They should be grateful.
[00:27:47.120 --> 00:27:48.120]   That's ridiculous.
[00:27:48.120 --> 00:27:54.120]   There's a lot of sites like that that have a lot of copyrighted material that's been posted
[00:27:54.120 --> 00:27:56.120]   in the Not-A-Control Google video.
[00:27:56.120 --> 00:27:57.120]   Yeah, that's true.
[00:27:57.120 --> 00:28:00.120]   You can probably find the Lazy Sunday on Google video like that.
[00:28:00.120 --> 00:28:02.120]   You probably could still find it on YouTube.
[00:28:02.120 --> 00:28:05.120]   What I loved was all the Lazy Sunday ripoffs.
[00:28:05.120 --> 00:28:07.120]   Not ripoffs, but almajas.
[00:28:07.120 --> 00:28:09.120]   Everybody from 11-year-old kids.
[00:28:09.120 --> 00:28:11.120]   I mean, it's just been hysterical.
[00:28:11.120 --> 00:28:13.120]   So you were up in Canada, Leo.
[00:28:13.120 --> 00:28:17.120]   What do you think about this crackpot university president who's banned Wi-Fi because he thinks
[00:28:17.120 --> 00:28:19.120]   it might cause cancer at Lakehead?
[00:28:19.120 --> 00:28:20.120]   That cracked me up.
[00:28:20.120 --> 00:28:21.120]   I saw that.
[00:28:21.120 --> 00:28:26.120]   Lakehead University, they're worried about the "health effects" of wireless networking.
[00:28:26.120 --> 00:28:29.120]   We're not inundating with this stuff.
[00:28:29.120 --> 00:28:33.120]   I just hope nobody's studying science at this university because they might want to think
[00:28:33.120 --> 00:28:34.120]   again.
[00:28:34.120 --> 00:28:38.120]   Somebody's saying, "I blog this item on devork.org/blog."
[00:28:38.120 --> 00:28:39.120]   There's your plug.
[00:28:39.120 --> 00:28:46.120]   And somebody sent in a comment, "Lakehead University, aka Last Chance U."
[00:28:46.120 --> 00:28:47.120]   I guess so.
[00:28:47.120 --> 00:28:49.120]   Can't get anywhere.
[00:28:49.120 --> 00:28:52.120]   Well, you know, in Canada, the university education is very inexpensive.
[00:28:52.120 --> 00:28:54.120]   I mean, McGill is like $1,700 a year.
[00:28:54.120 --> 00:28:56.120]   And McGill's a great school.
[00:28:56.120 --> 00:28:57.120]   It's a very good school.
[00:28:57.120 --> 00:28:58.120]   So...
[00:28:58.120 --> 00:28:59.120]   State.
[00:28:59.120 --> 00:29:01.120]   I mean, I state by the federal government of Canada, right?
[00:29:01.120 --> 00:29:02.120]   Yeah.
[00:29:02.120 --> 00:29:05.120]   And then Thunder Bay, which is kind of off the beat, a little off the beaten track.
[00:29:05.120 --> 00:29:06.120]   Beautiful area.
[00:29:06.120 --> 00:29:07.120]   A little cold in the winter.
[00:29:07.120 --> 00:29:09.560]   That's where Lakehead is.
[00:29:09.560 --> 00:29:14.240]   I was stunned when I saw that article in the Globe and Mail and I thought, "That is unclear
[00:29:14.240 --> 00:29:15.760]   on the concept."
[00:29:15.760 --> 00:29:18.840]   They also, in their defense, they mentioned security issues.
[00:29:18.840 --> 00:29:21.680]   But I think it really was more about the "health issues."
[00:29:21.680 --> 00:29:23.240]   Yeah, but Canada's got curling.
[00:29:23.240 --> 00:29:27.920]   There's a video on YouTube of a bunch of curlers that are doing what's apparently the
[00:29:27.920 --> 00:29:29.280]   most impossible move ever.
[00:29:29.280 --> 00:29:33.320]   I have no idea what's going on, but they're cheering like crazy to commentators going nuts.
[00:29:33.320 --> 00:29:34.720]   And it's spreading around like crazy.
[00:29:34.720 --> 00:29:38.320]   I can't believe that this show has descended to curling commentary.
[00:29:38.320 --> 00:29:39.320]   How come I'm curling?
[00:29:39.320 --> 00:29:40.720]   Hey, you're from Canada, eh?
[00:29:40.720 --> 00:29:41.720]   Let me just see.
[00:29:41.720 --> 00:29:43.920]   I'll give you the results of the curling.
[00:29:43.920 --> 00:29:45.120]   I've got another one here.
[00:29:45.120 --> 00:29:46.120]   The Finn one.
[00:29:46.120 --> 00:29:47.120]   The Finn one.
[00:29:47.120 --> 00:29:48.120]   The Finn one.
[00:29:48.120 --> 00:29:49.120]   I believe.
[00:29:49.120 --> 00:29:50.320]   I've got the new couch potato definition.
[00:29:50.320 --> 00:29:52.520]   That's sitting at home watching curling on TV.
[00:29:52.520 --> 00:29:55.420]   Not even real-time watching.
[00:29:55.420 --> 00:29:58.520]   I think watching Texas hold them is worse.
[00:29:58.520 --> 00:30:00.720]   A lot of people doing that.
[00:30:00.720 --> 00:30:02.520]   They're fast forward.
[00:30:02.520 --> 00:30:06.520]   How is curling any less boring than golf?
[00:30:06.520 --> 00:30:09.320]   If you've played curling, whatever, do you call it playing?
[00:30:09.320 --> 00:30:10.320]   I don't even know what you call it.
[00:30:10.320 --> 00:30:11.320]   Cool.
[00:30:11.320 --> 00:30:18.120]   If you've curled, if you've thrown a curl, if you've stoned, it's a fun game to play.
[00:30:18.120 --> 00:30:19.720]   I'm not sure I'd want to watch.
[00:30:19.720 --> 00:30:20.720]   Have you done it?
[00:30:20.720 --> 00:30:22.520]   What are you just saying?
[00:30:22.520 --> 00:30:24.020]   I'm just saying it's a fun game.
[00:30:24.020 --> 00:30:25.520]   I'm saying it looks like it's fun.
[00:30:25.520 --> 00:30:29.120]   It's people who I know who've curled say it's fun.
[00:30:29.120 --> 00:30:32.520]   Canada took the gold and the United States took bronze.
[00:30:32.520 --> 00:30:33.520]   Canada did take the gold.
[00:30:33.520 --> 00:30:34.520]   Oh, good.
[00:30:34.520 --> 00:30:35.520]   That's appropriate.
[00:30:35.520 --> 00:30:36.520]   As it should be.
[00:30:36.520 --> 00:30:38.520]   Because they can both...
[00:30:38.520 --> 00:30:39.520]   The Canadian's lost in hockey.
[00:30:39.520 --> 00:30:41.720]   Both Canada and US lost in hockey.
[00:30:41.720 --> 00:30:43.520]   Who won the checks, right?
[00:30:43.520 --> 00:30:48.120]   No, the Russians played for the bronze medal and the checks won, I believe.
[00:30:48.120 --> 00:30:50.520]   The gold medal is between the Finns and the Swedes.
[00:30:50.520 --> 00:30:51.520]   That's right.
[00:30:51.520 --> 00:30:53.520]   The Finnish look like they are unbeatable.
[00:30:53.520 --> 00:30:54.520]   Yes, it's Twi...
[00:30:54.520 --> 00:30:55.520]   Twi Olympic news.
[00:30:55.520 --> 00:30:56.520]   I could play the...
[00:30:56.520 --> 00:30:57.720]   Let's go to another topic.
[00:30:57.720 --> 00:30:59.720]   This is on my blog again.
[00:30:59.720 --> 00:31:02.120]   "Fans set up church of SpongeBob."
[00:31:02.120 --> 00:31:05.720]   Is that a tech story?
[00:31:05.720 --> 00:31:07.720]   Yes, it's on the internet.
[00:31:07.720 --> 00:31:10.720]   Do you have a problem with that, Jan?
[00:31:10.720 --> 00:31:11.720]   I think it's...
[00:31:11.720 --> 00:31:12.720]   I'm joining.
[00:31:12.720 --> 00:31:15.120]   So, we were supposed to have Kevin on.
[00:31:15.120 --> 00:31:20.420]   I wish he had come on because I would like to have asked him about the fact that dig.de,
[00:31:20.420 --> 00:31:24.880]   which was basically a copy of dig and a pretty direct copy, has now renamed itself to
[00:31:24.880 --> 00:31:33.400]   YIG.de to avoid legal battle with Dig Incorporated.
[00:31:33.400 --> 00:31:39.320]   Apparently because Dig has now gone to Europe and has registered the trademark, nobody else
[00:31:39.320 --> 00:31:40.320]   can beat Dig.
[00:31:40.320 --> 00:31:41.840]   Well, I just went there.
[00:31:41.840 --> 00:31:44.160]   If you type dig.de, you do go to YIG.
[00:31:44.160 --> 00:31:45.160]   YIG.
[00:31:45.160 --> 00:31:46.760]   And it's exactly the same.
[00:31:46.760 --> 00:31:49.880]   Instead of having 33 digs, you've got 33 Yigs.
[00:31:49.880 --> 00:31:50.880]   Yigs.
[00:31:50.880 --> 00:31:53.200]   There's a bunch of sites that do that.
