
[00:00:00.000 --> 00:00:03.080]   It's time for pizza also twitch
[00:24:23.200 --> 00:24:28.880]   Yeah, yeah all around the country. They took one they took one to New York for me to see yes
[00:24:28.880 --> 00:24:30.880]   They drove all the way from Vegas
[00:24:30.880 --> 00:24:36.280]   Just like really they drove all they didn't they put it in a truck. Are you kidding? They're not crazy?
[00:24:36.280 --> 00:24:39.980]   Hey, nice job job seat of Iraq and he only did it it took him 22
[00:24:39.980 --> 00:24:42.600]   Wow
[00:24:42.600 --> 00:24:44.600]   You have to reach this is a Kodak
[00:24:44.600 --> 00:24:50.920]   And it looks like us from maybe the 1920s because all of the patents are from the 20s. Yeah, it's a good
[00:24:50.920 --> 00:24:54.960]   It's that cool. That's pretty good. We actually have about four of them over there
[00:24:54.960 --> 00:24:56.880]   so
[00:24:56.880 --> 00:25:02.780]   It's one more to add to the collection. Yes. Do yourself there. No, close it. Yeah, no never again
[00:25:02.780 --> 00:25:09.120]   Have you been playing Diablo 3 now? Oh, I have I can't stop you've been playing Diablo 3 no
[00:25:09.120 --> 00:25:11.600]   Oh, I have I can't stop we heard that twice
[00:25:11.600 --> 00:25:18.560]   No, but it's it's on my hair you stop to do the show my wife is a huge Diablo fan
[00:25:18.560 --> 00:25:21.280]   And I imagine she'll get get to it before I do well
[00:25:21.280 --> 00:25:24.760]   How long was it was it more than 10 years since the last one Diablo 2 and
[00:25:25.480 --> 00:25:32.560]   That just shows you because the pen up demand. This is the record the biggest launch three and a half million copies have been sold
[00:25:32.560 --> 00:25:39.240]   Add another 1.2 million players who got it for signing up for an annual pass for World of Warcraft
[00:25:39.240 --> 00:25:46.320]   You've got 4.7 million people on launch day all hitting the blizzard servers
[00:25:46.320 --> 00:25:51.920]   I'm when I got you know, I sat down. I couldn't get on for the first 12 hours finally now. It's no problem
[00:25:52.840 --> 00:25:59.360]   it is amazing now already 6.3 million people and those numbers don't include players in
[00:25:59.360 --> 00:26:06.440]   Korean internet game rooms where they buy a few copies and they're all playing and it's apparently the number one game in Korea
[00:26:06.440 --> 00:26:14.280]   Right now 39% of all online gaming in Korea is coming out of is Diablo and blizzard it appears as if the shutter still works
[00:26:14.280 --> 00:26:22.000]   Do you know what type of film it takes that's cool. I think it's like 120 or 40 or something is 120 like
[00:26:22.840 --> 00:26:27.760]   Full frame. I remember was it yeah, well, yeah, it's what full frames meaning listen
[00:26:27.760 --> 00:26:31.360]   That's the context, but it's interesting that you would ask that question. I don't know why
[00:26:31.360 --> 00:26:38.760]   I do not know what I'm saying. So Leo, how does Diablo 3 compare to the same place the
[00:26:38.760 --> 00:26:42.280]   I'm a team. There's a few more character classes
[00:26:42.280 --> 00:26:46.160]   It's if there's a few things here in there. It's pretty much the same game
[00:26:46.160 --> 00:26:47.920]   Isn't it funny?
[00:26:47.920 --> 00:26:54.160]   But it's you know, it's updated graphics and everything is I can't you know what Diablo 3 is basically a Diablo itself the whole French is
[00:26:54.160 --> 00:26:55.640]   It's a Skinner box
[00:26:55.640 --> 00:26:58.680]   you know you remember yeah be a Skinner who
[00:26:58.680 --> 00:27:02.440]   Would put rats in a box and train them to do things
[00:27:02.440 --> 00:27:08.880]   But you know to continually press a lever to get to get food that kind of thing is exactly that because what you're doing
[00:27:08.880 --> 00:27:14.160]   is you're clicking clicking clicking clicking clicking and and then the monster dies and then it dumps out some sort of
[00:27:14.240 --> 00:27:19.360]   Loop and you're it's all about collecting this loot and it's completely a Skinner box. You become a Skinner
[00:27:19.360 --> 00:27:24.360]   Scenerian pigeon. Yeah, it's like a pigeon. Yeah, this is the way the mouse works by the way
[00:27:24.360 --> 00:27:27.040]   The the it's an addictive mechanism
[00:27:27.040 --> 00:27:31.820]   That's why the Macintosh people were so crazy about it when the when people were still using DOS because you'd get addicted to this
[00:27:31.820 --> 00:27:36.600]   Clicking and then when windows came along it became even more addictive because you'd click and nothing would happen
[00:27:36.600 --> 00:27:39.680]   And so you'd click a lot more reverse Skinner box
[00:27:39.680 --> 00:27:44.440]   We know you know the pigeons you hit it and they make them click you got it. You got it. You got to get the one seed
[00:27:44.440 --> 00:27:49.880]   Challenge them. Yeah, so click click. Yeah, I have to say it's a it's a wonderful
[00:27:49.880 --> 00:27:54.520]   Wonderful a game that is it's it's clearly
[00:27:54.520 --> 00:27:59.680]   Pure addiction has nothing to do with there's no gameplay. There's nothing
[00:27:59.680 --> 00:28:04.760]   It's all about collecting the loot and you can't stop. Huh and I played for hours
[00:28:05.760 --> 00:28:13.640]   Are you playing on the PC or the Xbox Mac? It's not available on it's not available on the consoles. It's only PC or Mac really
[00:28:13.640 --> 00:28:19.440]   One of the reasons it's interesting. It's a fascinating thing that the numbers of this are so high is
[00:28:19.440 --> 00:28:22.040]   Because it is a PC game only
[00:28:22.040 --> 00:28:25.560]   Well, I'll have to put it on my Mac cuz I it runs beautifully on that
[00:28:25.560 --> 00:28:32.040]   I have a 24 inch iMac the one of the last of the 24 inch profit. I will it do on that you think oh it'll be fine
[00:28:33.120 --> 00:28:35.240]   Absolutely fine. Well, I'll talk to you guys later
[00:28:35.240 --> 00:28:40.520]   You know it's great because you can download it now if you have an account and you can play on any machine
[00:28:40.520 --> 00:28:43.840]   So you just download copies and every machine. It's the same character and I just pick it up wherever
[00:28:43.840 --> 00:28:49.000]   So if you have it for the PC you buy for the PC. Can you use it on your Mac as well? I?
[00:28:49.000 --> 00:28:55.440]   Have not tried that. I don't know I was looking at you. Yes, I would guess so it's your account your longie
[00:28:55.440 --> 00:28:58.960]   Yes, they're telling the chatroom Caesar not all but her trottingers law
[00:28:59.880 --> 00:29:05.880]   Rock law and Houdini seven and erroneous and web 37 22 and just and Dan Wally and
[00:29:05.880 --> 00:29:08.200]   erroneous as you yes
[00:29:08.200 --> 00:29:14.960]   They all say yes and now because I've read all their names. They're all saying yes, all right
[00:29:14.960 --> 00:29:16.960]   I just said yes too late
[00:29:16.960 --> 00:29:22.320]   Mary says I don't even know what I'm talking about and I said yes one of the things I do like about Blizzard is that
[00:29:22.320 --> 00:29:27.080]   They do do Mac and PC tend to do Mac and PC launches at the same time
[00:29:27.080 --> 00:29:32.120]   They do that with World of Warcraft and I do admire that I appreciate that as a Mac and there's no Xbox version
[00:29:32.120 --> 00:29:34.120]   No, they don't do console games
[00:29:34.120 --> 00:29:38.560]   Hmm
[00:29:38.560 --> 00:29:42.080]   It just shows you PC gaming is not dead
[00:29:42.080 --> 00:29:48.880]   Seriously, there's a lot of demand for it a day would McDrake is what's his name dirtbolt hurt?
[00:29:48.880 --> 00:29:55.560]   What's the name of the Gaddstone gander Gladstone gladstone gander you got me confused Gladstone gander
[00:29:56.040 --> 00:29:58.040]   He's dead
[00:29:58.040 --> 00:30:03.120]   So dish network at CES this year announced the hopper which is a new DVR
[00:30:03.120 --> 00:30:07.400]   Yes, it's great. It's cool. It records all the major networks at the same time
[00:30:07.400 --> 00:30:10.160]   Yeah, you could be like Hugh Heffner. Remember that Hugh Heffner
[00:30:10.160 --> 00:30:15.280]   Maybe you don't remember that Hugh Heffner had in his basement before there were DVR's before he would have VCR's on
[00:30:15.280 --> 00:30:20.120]   Every channel and his staff would record everything. Yeah, just in case just in case you wanted to watch
[00:30:20.120 --> 00:30:21.760]   Yeah, don't want to miss anything
[00:30:21.760 --> 00:30:27.360]   but if you're not Hugh Heffner you can get this hopper records all the major just like four or five major networks and then
[00:30:27.360 --> 00:30:34.240]   It has an it automatically skips ads. Yeah, no, this is a fantastic product the dish network by the way
[00:30:34.240 --> 00:30:38.160]   I'm a little disappointed if they go ahead and drop AMC
[00:30:38.160 --> 00:30:45.960]   Are they well, this is a lot of fighting there always fighting and then I had the dish for a long time
[00:30:45.960 --> 00:30:51.440]   And I've very very happy man channel. Yes, but this is the best thing they've come up with
[00:30:51.680 --> 00:30:57.880]   So I haven't got one yet. I'm very tempted but the what's kind of hard this networks are not so happy no
[00:30:57.880 --> 00:31:05.640]   They hate it they've worked with the dish network NBC said advertising generates the revenue that makes it possible for local broadcast stations
[00:31:05.640 --> 00:31:12.000]   And national broadcast networks to pay for the creation of new sports entertainment programming that is a hallmark of American broadcast
[00:31:12.000 --> 00:31:17.680]   They think it'll left that part out this simply does not have the authority to tamper with the ads from broadcast
[00:31:17.680 --> 00:31:22.360]   On a wholesale basis on a comment across they're still coming over the air
[00:31:22.360 --> 00:31:31.000]   I'm at my it's something if I'm not my doing something wrong with my dish network thing when I hit the 30 second ahead button boom boom boom
[00:31:31.000 --> 00:31:33.480]   Five times. Yes, you are John C. Devourate say that
[00:31:33.480 --> 00:31:40.720]   Where's it say you're that quote? Okay? What's the difference in then me getting up when the commercial starting going to the bathroom?
[00:31:40.720 --> 00:31:44.200]   We're going to make an assu which and then waiting for the show to start up again. What's the difference?
[00:31:44.440 --> 00:31:49.280]   Well NBC CBS Fox are all suing saying I don't blame him
[00:31:49.280 --> 00:31:52.400]   Fox said
[00:31:52.400 --> 00:31:53.800]   It was given no choice
[00:31:53.800 --> 00:32:01.160]   But to file suit against one of our largest distributors dish network because of their surprising move to market a product with a clear goal of violating
[00:32:01.160 --> 00:32:02.920]   copyrights and
[00:32:02.920 --> 00:32:10.520]   destroying the fundamental underpinnings of broadcast television ecosystem their wrong headed decision requires us to take swift action in
[00:32:10.680 --> 00:32:17.120]   Order to aggressively defend the future free over the air television replay TV did this like about 10 years ago
[00:32:17.120 --> 00:32:21.520]   Where are they now? I know it wasn't it didn't work out well for anybody except the networks. Yeah
[00:32:21.520 --> 00:32:27.800]   Well, these guys get a little more clout. It's interesting person of Tevo did that too, right?
[00:32:27.800 --> 00:32:34.680]   Replay TV is you can do it the way you had you there was a hidden yeah, right right?
[00:32:34.680 --> 00:32:36.000]   You had to unlock it in Tevo
[00:32:36.000 --> 00:32:41.840]   You still depress the button replay had one that does what the hopper does which is to simply skip them every single time
[00:32:41.840 --> 00:32:45.920]   So you don't need to worry about it and that and replay only had that feature very briefly
[00:32:45.920 --> 00:32:51.000]   And then they decided it wasn't such a hot idea after all and then they went out of business shortly thereafter
[00:32:51.000 --> 00:32:53.840]   They were sued out of business in fact
[00:32:53.840 --> 00:32:59.800]   No, they had other issues well they might have but they were actually I thought the replay was quite good
[00:32:59.800 --> 00:33:05.520]   It's a product, but they had strange as the model for selling it in distribution was pretty sketchy
[00:33:05.840 --> 00:33:08.920]   It wasn't as Tevo was had enough trouble
[00:33:08.920 --> 00:33:14.640]   I kind of understand that replay was first to be honest about it because I mean we're free ad supported media
[00:33:14.640 --> 00:33:17.960]   If you skipped our ads and we didn't make any money on ads or couldn't make the content
[00:33:17.960 --> 00:33:22.200]   We couldn't pay you the big bucks. We couldn't give you cameras to disassemble
[00:33:22.200 --> 00:33:24.880]   So I mean isn't isn't that legitimate?
[00:33:24.880 --> 00:33:32.640]   No, what the what you're doing and what TV has to go back to because they used to do this in the 50s are embedded ads
[00:33:33.000 --> 00:33:38.320]   So when you went and watched what's my line there would actually be Remington ran the straight crap
[00:33:38.320 --> 00:33:44.160]   Across the back kind of like the way NASCAR operates you wear a jacket with a bunch of logos on it
[00:33:44.160 --> 00:33:47.560]   And we say how you doing Leo well, I like to thank Ford for
[00:33:47.560 --> 00:33:52.760]   People are gonna people are gonna really resent that though, aren't they they don't bother doesn't bother them with NASCAR
[00:33:52.760 --> 00:33:57.120]   You ever listen to one of these drivers? He's got like 30 things on him to 30 logos
[00:33:57.120 --> 00:34:00.440]   And he's plugging every single one when they're talking to him
[00:34:00.440 --> 00:34:04.640]   You know they were very worried that go daddy would abandon NASCAR because when Danica moved
[00:34:04.640 --> 00:34:10.840]   Abandoned Indy car because Danica moved to NASCAR and everybody thought oh no go daddy's gonna abandon Indy car
[00:34:10.840 --> 00:34:16.800]   We cannot succeed without those go daddy logos and those go daddy ads. There's just one sponsor out of many
[00:34:16.800 --> 00:34:22.440]   But they were they were in there in here's what I fear and I think this is gonna be the unintended consequence of this is
[00:34:22.440 --> 00:34:27.640]   Advertisers are gonna get cageier and cageier about sneaking. Yeah, that's what's that's what you have to do
[00:34:27.640 --> 00:34:33.360]   You watch American Idol. It's a it's a coke ad throughout because embedded ads. That's what goes that's what goes so here's
[00:34:33.360 --> 00:34:38.760]   Here's the controversy. Yeah, probably placement and also saying stuff like hey Leo. You know I had a coke the other day
[00:34:38.760 --> 00:34:44.480]   It was delicious. I mean how you gonna cut that out. How are you gonna get cooked to pay me for that?
[00:34:44.480 --> 00:34:45.160]   That's my well
[00:34:45.160 --> 00:34:50.560]   I was gonna hope for the money so so this is a controversial video that is going around right now
[00:34:50.560 --> 00:34:56.120]   This guy says I got my girlfriend to sit in the back of our Honda CRV
[00:34:57.040 --> 00:34:59.720]   And then my brother came around the back
[00:34:59.720 --> 00:35:02.780]   I've really really really nicely
[00:35:02.780 --> 00:35:10.560]   And basically what I want to say about this song is that um and he's convinced the girlfriend to put on headphones
[00:35:10.560 --> 00:35:16.880]   And and he's written a song for her you and Isaac's relationship
[00:35:16.880 --> 00:35:20.040]   really watch this video so
[00:35:20.040 --> 00:35:24.960]   One and a half million people have watched this video in the last three days
[00:35:25.880 --> 00:35:32.480]   It's a lift up
[00:35:32.480 --> 00:35:39.720]   And actually it's it's pretty damn cute, but there's some concern
[00:35:39.720 --> 00:35:43.840]   Because right up front it mentions that it's a Honda. She's driving in
[00:35:43.840 --> 00:35:49.520]   Yeah, illegally I might add in most states because she's sitting in the back with it like that
[00:35:49.520 --> 00:35:55.200]   The gate open and where these two dingbats they're there it gets worse. Oh god
[00:35:55.200 --> 00:35:59.640]   It gets worse
[00:35:59.640 --> 00:36:01.000]   Now here's the question
[00:36:01.000 --> 00:36:06.080]   I think this legitimate in fact I've read articles and and they have a good reason to believe that this is not a Honda ad
[00:36:06.080 --> 00:36:09.440]   But the world many people believe that it's in fact a
[00:36:09.440 --> 00:36:17.400]   Crypto Honda ad no, I think it is a hundred and soon you're this is what's gonna happen is you're missing this music who's spending the money for that
[00:36:17.400 --> 00:36:19.400]   That's interesting
[00:36:19.400 --> 00:36:21.400]   This is
[00:36:21.400 --> 00:36:25.800]   This had been pulled immediately just from the you're right. I mean we get our stuff
[00:36:25.800 --> 00:36:28.800]   This is produced there's choreography
[00:36:28.800 --> 00:36:35.360]   This is her family. This is her mom and dad. This is ridiculously produced. They've got a marching band
[00:36:35.360 --> 00:36:41.400]   And by the way if you didn't notice at the beginning when they got to show the Honda all the other cars in the driveway were
[00:36:41.400 --> 00:36:46.280]   Honda no they weren't there were Kia's I thought there was a hundred there was a Kia that's what tells me it's not well
[00:36:46.280 --> 00:36:53.080]   Not it's still this is the rest of her if they could be very sophisticated right rest of her family on Skype on laptops all singing along
[00:36:53.080 --> 00:36:58.280]   It's a Honda ad and then finally of course as you get to the end of it
[00:36:58.280 --> 00:37:05.040]   He gets down underneath this is her fiance the entire cast of this lift up behind him
[00:37:05.040 --> 00:37:10.360]   Which means
[00:37:10.360 --> 00:37:13.360]   The rest of my life trying to give you the same
[00:37:13.360 --> 00:37:23.040]   The money we get from making this ad now here's the question
[00:37:23.040 --> 00:37:27.980]   Andy and I co-said if this is in fact a car ad a very secret
[00:37:27.980 --> 00:37:32.020]   You know subtle car ad I will never buy another
[00:37:32.020 --> 00:37:38.720]   Life does he buy a hundred now I don't know but there I don't think it is I think it's real. I'm totally convinced
[00:37:38.720 --> 00:37:43.560]   You know why it's not a hundred why never see the damn car you don't have to he said well
[00:37:43.560 --> 00:37:48.340]   No, but look right at the front. Yeah at the front. It says on Wednesday. I
[00:37:48.340 --> 00:37:53.440]   Station my brother sit here in the back of a Honda CRV with some headphones
[00:37:53.440 --> 00:37:57.360]   Yeah, what there is it was at the mention the car because that is color that lets you know
[00:37:57.360 --> 00:38:00.440]   No, it's a small little car and she's sitting in the back
[00:38:00.440 --> 00:38:03.480]   No hook line and sink to the two of you
[00:38:03.480 --> 00:38:06.600]   Well, if it is a very good
[00:38:06.600 --> 00:38:12.680]   Million and a half views on YouTube and we're talking about it right now as an and on the tons and tons of attention
[00:38:12.680 --> 00:38:15.280]   It was posted on Friday here
[00:38:15.280 --> 00:38:17.320]   We are three days later a million and a half views
[00:38:17.320 --> 00:38:22.960]   It'll probably go to 30 million because of all the attention is getting and everybody mentions Honda even even this article from the Troi
[00:38:22.960 --> 00:38:26.480]   Free press Detroit Detroit says Honda
[00:38:26.480 --> 00:38:29.560]   Is it a Honda ad no yes
[00:38:31.480 --> 00:38:36.120]   It's not a Honda off about put in bucks. Well, how can we prove it one way or the other?
[00:38:36.120 --> 00:38:41.080]   They're not gonna admit to it does it make you want to buy a used on I'd like to know how they got the music license
[00:38:41.080 --> 00:38:44.680]   There's the question answer that and then he said he wrote the song for his yeah
[00:38:44.680 --> 00:38:46.680]   I heard that song is is a commercial song
[00:38:46.680 --> 00:38:53.380]   And why is he lip-singing it then and a lot of people say it's too well produced over produce shut off the streets
[00:38:53.380 --> 00:38:59.280]   Sure. Yeah, well, maybe it's a small town. It is a small, but everybody was the town was doing it
[00:39:00.120 --> 00:39:04.100]   Yeah, so I think we're gonna see a lot more ads like 10 bucks
[00:39:04.100 --> 00:39:10.040]   on a lot of secret advertising because no I think so things like this this, you know hopper
[00:39:10.040 --> 00:39:13.720]   So maybe they'll win their lawsuit the networks or when they're maybe they'll lose
[00:39:13.720 --> 00:39:19.720]   I have to say I understand their point of view. This is how they generate actually the first when the DVR's first came out
[00:39:19.720 --> 00:39:21.720]   I wrote this negative
[00:39:21.720 --> 00:39:27.960]   Which I tend to do a negative column in the Forbes magazine saying that this was these are terrible devices
[00:39:28.560 --> 00:39:32.040]   Because they are they're going to ruin the advertising industry
[00:39:32.040 --> 00:39:36.720]   Just basically what you said and I went on and on about I wasn't totally sincere about the column
[00:39:36.720 --> 00:39:41.800]   But I did I thought the argument was valid, so I expressed it and I got some amazing negative
[00:39:41.800 --> 00:39:45.920]   Well, I understand I skip commercials. I understand why people want to skip commercials
[00:39:45.920 --> 00:39:52.280]   I'm saying because generally speaking they stink and you can't blame people for giving them the technology to do what they want to do
[00:39:52.280 --> 00:39:54.320]   Here's the key here's the key that was it like to bring up
[00:39:54.720 --> 00:40:01.040]   Remember when all those Apple ads were coming out with the Apple PC guy and you're skipping commercials and one of the new ones came up
[00:40:01.040 --> 00:40:07.120]   You'd stop and watch it right I would make the ads better exactly make the ads better
[00:40:07.120 --> 00:40:12.080]   There's also this technology that both Tivo and you verse have that
[00:40:12.080 --> 00:40:17.960]   When you hit the the fast forward button it goes to a certain point and it's moving pretty fast
[00:40:17.960 --> 00:40:24.040]   When you hit it it knows to go back to the start of where the to the where the show starts again in the commercial ends
[00:40:24.040 --> 00:40:29.160]   It kind of backs up a couple of seconds and that that actually also got the networks
[00:40:29.160 --> 00:40:33.320]   We're upset about that because it made it too easy to exactly skip the commercials
[00:40:33.320 --> 00:40:38.280]   Wes has it he says it's a Sony ad brought to you by Bruno Mars and Sony and and us and hon
[00:40:38.280 --> 00:40:43.680]   We're gonna take a break we have to do our ads, please don't skip it
[00:40:43.680 --> 00:40:50.520]   But I'll understand if you do this is this is my fear is that it's an issue because we are at you in bed
[00:40:50.520 --> 00:40:53.280]   You embed but we kind of we build it in you don't have it
[00:40:53.280 --> 00:40:56.920]   You also don't have a signal code beep that takes place as you know
[00:40:56.920 --> 00:41:00.360]   Some that the machines can hear and that so they can roll tape
[00:41:00.360 --> 00:41:05.400]   You know I'm talking about on the video, you know when they're rolling they have these codes. You don't do that
[00:41:05.400 --> 00:41:08.800]   It's hard to pull the ads out of this show. It's hot
[00:41:08.800 --> 00:41:10.840]   We make it as hard as it possibly can be less
[00:41:10.840 --> 00:41:13.880]   What are you supposed to do why for instance? I might start this ad and halfway through it
[00:41:13.880 --> 00:41:18.320]   John will say something so compelling that you will be so sad if you missed it always a possibility
[00:41:18.320 --> 00:41:23.160]   Or he could do an ad for Kodak
[00:41:23.160 --> 00:41:30.920]   But first this word from go to meeting are actually I I think that the key to go doing to making ads work in this kind of
[00:41:30.920 --> 00:41:35.200]   Environment where you could skip an ad is to make it something that people want to know about and if you don't want to know
[00:41:35.200 --> 00:41:37.360]   About skip the ad because you're not gonna be a customer anyway
[00:41:37.360 --> 00:41:42.760]   But go to meeting is for IT professionals if you know that it does the remote support the best in the business
[00:41:42.760 --> 00:41:45.440]   They've added something that is oh, this is go to meeting
[00:41:45.440 --> 00:41:48.600]   I was gonna do a go to assist ad so it starts by doing the right ad
[00:41:48.600 --> 00:41:51.120]   That's key
[00:41:51.120 --> 00:41:55.120]   It's from Citrix go to meeting. I've talked about this before go to John steel my yeah
[00:41:55.120 --> 00:41:58.600]   I know here it is I was gonna show you because go to meeting I've been meaning to do this
[00:41:58.600 --> 00:42:03.880]   We should have a go to meeting meeting on one of these shows they can't I'll do it next week
[00:42:03.880 --> 00:42:05.600]   I don't I have to get somebody to start a meeting
[00:42:05.600 --> 00:42:11.320]   But the cool thing is you can attend to go to meeting meeting on your iPad on your iPhone on the iPad
[00:42:11.320 --> 00:42:16.280]   It actually uses the camera and the audio and video so now you've got online meetings
[00:42:16.280 --> 00:42:19.240]   You've got 49 bucks a month for as many meetings as you want as long as you want
[00:42:19.240 --> 00:42:24.080]   You've got video that's as good as any teleconferencing system this completely changes the game
[00:42:24.080 --> 00:42:28.560]   I mean there's people spent twenty three thousand dollars on this business Cisco conference system
[00:42:28.560 --> 00:42:32.560]   This is actually better. It actually works better. We had a go to meeting in the office the other day
[00:42:32.560 --> 00:42:37.200]   We had five people with iPads. I was on my desktop. I mean it's amazing. So here's the deal
[00:42:37.200 --> 00:42:43.200]   And I like this - we're not trying to trick you we all of our advertisers do this try it free a
[00:42:43.200 --> 00:42:48.520]   30-day free trial. That's it not asking for any money. Just asking you visit go to meeting calm
[00:42:48.520 --> 00:42:52.720]   Click the try it free button and when you see the promo code there you type
[00:42:52.720 --> 00:42:59.240]   TW IT that's it. That's all I ask. Yeah, they still want my name and address but anyway
[00:42:59.240 --> 00:43:04.800]   TW IT and you will get it free for 30 days Windows Mac and
[00:43:05.280 --> 00:43:09.200]   Now iPad iPhone and I think they have it for some Android tablets as well
[00:43:09.200 --> 00:43:12.720]   Go to meeting it is awesome
[00:43:12.720 --> 00:43:17.000]   See that's it. That's all I have to say I don't have to belabor the point
[00:43:17.000 --> 00:43:21.800]   I don't have to make a song I have to propose marriage to John C. De Vore. I've nothing like that
[00:43:21.800 --> 00:43:28.560]   Well if you proposed marriage you could be the I could marry you. Yes, why did you follow this?
[00:43:28.960 --> 00:43:34.640]   This is my this is my certificate in the universal life church as of 2002
[00:43:34.640 --> 00:43:39.440]   I was ordained and I have all the rights and privileges to perform all duties of the ministry. I
[00:43:39.440 --> 00:43:46.720]   Am ordained minister. I got one of those in the 70s from Kirby J. Hensley personally and it's legal
[00:43:46.720 --> 00:43:54.400]   We went out to his house in in Modesto the guy was a character by Kirby Hensley and he by the way was illiterate
[00:43:55.040 --> 00:44:01.920]   Yeah, you can tell he doesn't have a great a lot of people didn't realize that but then Lida Hensley who is I guess his daughter probably
[00:44:01.920 --> 00:44:04.800]   It's the president now and so the whole idea
[00:44:04.800 --> 00:44:06.440]   This is this is like a fake church
[00:44:06.440 --> 00:44:12.280]   But it's not fake because all you have to do is file some papers with the state in your church. Yeah, no, it's legal
[00:44:12.280 --> 00:44:17.960]   Yeah, I've actually married a couple of people I did I did on TV. I married some of the screens every once you got me beat
[00:44:17.960 --> 00:44:21.560]   But I also have the doctor of divinity which is oh, I'd love it
[00:44:21.560 --> 00:44:26.120]   He asked when we were there he actually said would you like a PhD in anything?
[00:44:26.120 --> 00:44:36.480]   And then meanwhile we've got Padre S. J. An actual Catholic priest who's gonna host our new
[00:44:36.480 --> 00:44:43.120]   Enterprise show, isn't that great? Yeah, I think it's so great. Yeah, he'll lay hands on bless your enterprise
[00:44:43.120 --> 00:44:46.720]   What's the enterprise speaking of the enterprise HP is gonna lay off?
[00:44:46.720 --> 00:44:49.720]   8% of its workforce
[00:44:50.760 --> 00:44:53.600]   Thousand employees not right away. It's gonna take about a year
[00:44:53.600 --> 00:44:58.880]   They expect to save three to three and a half billion dollars. This is a company. That's just again
[00:44:58.880 --> 00:45:03.520]   Just hasn't been able to figure it out and this can remains in trouble
[00:45:03.520 --> 00:45:11.840]   They claim they're gonna reinvest that and innovation and cool stuff though and meanwhile. Yeah, all the web OS team has gone to Google
[00:45:11.840 --> 00:45:19.560]   Right so the the web OS the team responsible for the web web OS development or the framework framework
[00:45:19.880 --> 00:45:27.200]   Went to Google most of them well, okay, so there's a guy left, but you know what's gonna happen now?
[00:45:27.200 --> 00:45:32.880]   I think web OS I mean there's a teeny teeny tiny chance something will happen that will be good for it
[00:45:32.880 --> 00:45:35.600]   But why do you think that Google hired this now?
[00:45:35.600 --> 00:45:40.120]   This is the nio team and yo is is there developer framework?
[00:45:40.120 --> 00:45:46.200]   Why would is it so good that Google wanted to use this on a and I just wanted the brains good folks and it could be chrome
[00:45:46.200 --> 00:45:48.720]   It could be Android it could be something else interesting
[00:45:49.720 --> 00:45:51.720]   interesting
[00:45:51.720 --> 00:45:56.840]   Any hope for HP John yeah, I don't know how
[00:45:56.840 --> 00:46:02.760]   Hope is always hope is always hope you if you look at their latest earnings
[00:46:02.760 --> 00:46:09.960]   Which when they announce this their software and services the stuff the kind of Leo apotheca was really pushing early on is actually doing fairly
[00:46:09.960 --> 00:46:16.720]   Well, it's the traditional part of a they should he was right. They should have gotten out of the PC business. No actually
[00:46:17.320 --> 00:46:20.880]   I actually Michael Dell who's pushing his company in the same direction
[00:46:20.880 --> 00:46:28.160]   believes that that was a huge mistake because if you're going to be selling services and servers and all this stuff the
[00:46:28.160 --> 00:46:34.840]   Come the large corporations the enterprises. They want a complete solution right they don't want to deal with two companies
[00:46:34.840 --> 00:46:39.360]   He's always done that yeah, so you sell you the HP in fact. They had minis they had micros
[00:46:39.360 --> 00:46:43.880]   Yeah, they have everything they have the service they have a sport they have the consultants. Yeah set you up
[00:46:43.880 --> 00:46:47.600]   I remember I used to do done deal. Yeah, many years ago. I used to do
[00:46:47.600 --> 00:46:54.880]   industrials for them and it would be talk about how they they would do it all they had PA risk they had the whole thing
[00:46:54.880 --> 00:46:57.880]   Yeah, and you know they take care of you they take care
[00:46:57.880 --> 00:47:02.240]   They're talking about getting rid they were talking about getting rid of the personal systems group
[00:47:02.240 --> 00:47:09.160]   Which is the PC desktop PC's they would still maintain their server their servers and then where's iron?
[00:47:10.000 --> 00:47:14.760]   With your IBM yeah, IBM does real well with that. Well, that's what I was gonna say the counter argument
[00:47:14.760 --> 00:47:16.760]   This is IBM doesn't make any hardware anymore
[00:47:16.760 --> 00:47:23.840]   Right HP also has this huge printer business and if you're sending printers out to best buy and office depot and everybody
[00:47:23.840 --> 00:47:30.400]   And PC's that seems to have a lot greater efficiencies of scale than just printers printers have to be hugely
[00:47:30.400 --> 00:47:36.240]   And they're not gonna give up printer and because of profit center although although the current the current printer group
[00:47:36.240 --> 00:47:39.680]   Which is different from the PSG they're eventually gonna talk about merging them
[00:47:39.680 --> 00:47:45.840]   But they're separate actually did not do well in this in this really either right and what's interesting is when they were
[00:47:45.840 --> 00:47:48.680]   And they were doing all this talking about splitting off HP
[00:47:48.680 --> 00:47:55.960]   the the bulk of the employees and the personal systems group are here in Houston they're out at the old compact campus and
[00:47:55.960 --> 00:48:02.840]   They were like the folks that I talked to out there were really excited about the possibility that that they would spin this off
[00:48:02.840 --> 00:48:08.720]   Because it would be give them a chance to kind of get away from the HP bureaucracy and do something more innovative
[00:48:08.720 --> 00:48:11.400]   They were excited about it and a little bit bummed I think on
[00:48:11.400 --> 00:48:19.480]   In one angle that they were not able to kind of take off with it as they wanted to they saw it as putting the compact band back together
[00:48:19.480 --> 00:48:21.480]   Oh what that's no
