
[00:00:00.000 --> 00:00:01.180]   (upbeat music)
[00:34:15.060 --> 00:34:19.220]   with this half autonomy is the time it takes for you
[00:34:19.220 --> 00:34:21.540]   to kind of readjust to driving.
[00:34:21.540 --> 00:34:24.940]   So if you're letting the Tesla or the Leaf drive or the
[00:34:24.940 --> 00:34:28.020]   Cadillac drive, and you suddenly need to take control,
[00:34:28.020 --> 00:34:30.540]   unless you've been really paying attention as if you
[00:34:30.540 --> 00:34:35.420]   were driving, there's a few seconds to just rock what's
[00:34:35.420 --> 00:34:35.820]   going on.
[00:34:35.820 --> 00:34:36.300]   Where am I?
[00:34:36.300 --> 00:34:37.180]   What's happening?
[00:34:37.180 --> 00:34:37.980]   And that's another--
[00:34:37.980 --> 00:34:39.020]   And the most more dangerous.
[00:34:39.020 --> 00:34:40.620]   Yeah, I think it's more dangerous, exactly.
[00:34:40.620 --> 00:34:44.420]   Because you're getting used to being in a car and not really
[00:34:44.420 --> 00:34:46.060]   paying attention.
[00:34:46.060 --> 00:34:49.180]   That midpoint becomes then when you need to pay attention,
[00:34:49.180 --> 00:34:52.980]   by the time that's milliseconds that it takes for your brain
[00:34:52.980 --> 00:34:56.340]   to kind of be fully activated, that's a really dangerous set
[00:34:56.340 --> 00:34:56.780]   of time.
[00:34:56.780 --> 00:34:58.940]   So you should either be paying attention or the car should
[00:34:58.940 --> 00:35:00.540]   be able to deal with it.
[00:35:00.540 --> 00:35:04.060]   And that midpoint, I think that people end up--
[00:35:04.060 --> 00:35:07.500]   we already think that we can check our cell phone, do this,
[00:35:07.500 --> 00:35:09.260]   eat something, chat with this person,
[00:35:09.260 --> 00:35:11.780]   sing, dance around in the car, which is already using up
[00:35:11.780 --> 00:35:13.060]   a certain amount of our attention.
[00:35:13.060 --> 00:35:14.940]   So yeah, I agree with you, Leo.
[00:35:14.940 --> 00:35:17.260]   It's kind of one of those things where it might be even more
[00:35:17.260 --> 00:35:18.420]   dangerous to have an endpoint.
[00:35:18.420 --> 00:35:20.940]   The thing I like about the incremental progress is that
[00:35:20.940 --> 00:35:23.900]   people still will have to learn how to drive.
[00:35:23.900 --> 00:35:26.340]   Because I think there's this sort of weird--
[00:35:26.340 --> 00:35:29.060]   Yeah, once it's all self-driving, you'll never learn.
[00:35:29.060 --> 00:35:30.820]   But maybe you need to.
[00:35:30.820 --> 00:35:31.700]   I'm not sure why.
[00:35:31.700 --> 00:35:33.260]   There's no steering wheel.
[00:35:33.260 --> 00:35:34.700]   I think it's going to be a long time.
[00:35:34.700 --> 00:35:35.980]   It's going to be a very long time.
[00:35:35.980 --> 00:35:39.620]   I don't want to have to drive a buggy.
[00:35:39.620 --> 00:35:40.300]   Well, seriously--
[00:35:40.300 --> 00:35:42.460]   I can't get a horse to move in the right direction.
[00:35:42.460 --> 00:35:42.980]   That's true.
[00:35:42.980 --> 00:35:44.460]   But I think it's going to be a very--
[00:35:44.460 --> 00:35:47.260]   if people only buy new cars every seven years,
[00:35:47.260 --> 00:35:49.220]   there's going to be this very long transition time
[00:35:49.220 --> 00:35:50.300]   where people are still driving--
[00:35:50.300 --> 00:35:52.460]   I mean, heck, people are still driving manual transmissions.
[00:35:52.460 --> 00:35:54.380]   We're teaching our 15-year-old a drive, of course.
[00:35:54.380 --> 00:35:54.820]   Sure.
[00:35:54.820 --> 00:35:57.180]   And so you want to be able to--
[00:35:57.180 --> 00:36:01.460]   I'm driving my old whatever on the highway.
[00:36:01.460 --> 00:36:03.580]   And I get stuck or something happens.
[00:36:03.580 --> 00:36:07.020]   I want my son to be able to hop up to the front seat and drive.
[00:36:07.020 --> 00:36:08.100]   It just feels like a bicycle you just got.
[00:36:08.100 --> 00:36:08.620]   Wait a minute.
[00:36:08.620 --> 00:36:10.060]   You really think about that?
[00:36:10.060 --> 00:36:13.180]   What if I have a stroke and my son has to take over?
[00:36:13.180 --> 00:36:14.700]   Like, he's your co-pilot?
[00:36:14.700 --> 00:36:17.140]   More like, what if he just needs to drive my car?
[00:36:17.140 --> 00:36:17.700]   I don't know why.
[00:36:17.700 --> 00:36:18.300]   For whatever reason.
[00:36:18.300 --> 00:36:19.220]   For whatever reason.
[00:36:19.220 --> 00:36:20.100]   How old is he?
[00:36:20.100 --> 00:36:21.020]   He's 14 now.
[00:36:21.020 --> 00:36:21.940]   He's never learning to drive.
[00:36:21.940 --> 00:36:23.100]   Actually, this is all mood.
[00:36:23.100 --> 00:36:23.100]   I know.
[00:36:23.100 --> 00:36:24.100]   I'm not going to let him learn.
[00:36:24.100 --> 00:36:25.260]   I'm just going to say.
[00:36:25.260 --> 00:36:26.780]   You don't want your son to drive.
[00:36:26.780 --> 00:36:27.300]   Trust me.
[00:36:27.300 --> 00:36:28.940]   You do not want him to learn how to drive.
[00:36:28.940 --> 00:36:30.580]   It's a bad, bad idea.
[00:36:30.580 --> 00:36:31.100]   We are lucky.
[00:36:31.100 --> 00:36:33.580]   My son didn't want to drive until he was 18.
[00:36:33.580 --> 00:36:36.380]   My daughter, 15 and 1/2, which is the youngest you can do it
[00:36:36.380 --> 00:36:39.620]   in California, she was at DMV.
[00:36:39.620 --> 00:36:42.220]   Yeah, she wasted no time.
[00:36:42.220 --> 00:36:44.460]   And she's, by the way, terrible driver.
[00:36:44.460 --> 00:36:45.620]   Oh.
[00:36:45.620 --> 00:36:47.020]   And my son's a great driver.
[00:36:47.020 --> 00:36:47.660]   So I don't know if there's--
[00:36:47.660 --> 00:36:50.060]   Do you're hoping to have longer to practice?
[00:36:50.060 --> 00:36:51.820]   You're hoping to practice more years to practice.
[00:36:51.820 --> 00:36:52.700]   Really soon.
[00:36:52.700 --> 00:36:53.300]   Soon.
[00:36:53.300 --> 00:36:54.340]   Oh, man.
[00:36:54.340 --> 00:36:55.300]   The sooner the--
[00:36:55.300 --> 00:36:58.580]   Well, but isn't that really the argument for autonomous
[00:36:58.580 --> 00:37:02.780]   is that regardless of how bad autonomous is,
[00:37:02.780 --> 00:37:04.780]   humans are worse.
[00:37:04.780 --> 00:37:05.380]   I agree.
[00:37:05.380 --> 00:37:05.380]   Certainly.
[00:37:05.380 --> 00:37:08.180]   The vast majority of crashes that we see are human cause.
[00:37:08.180 --> 00:37:09.580]   Human error.
[00:37:09.580 --> 00:37:09.900]   Right.
[00:37:09.900 --> 00:37:12.260]   But those are-- we're so used to that at this point.
[00:37:12.260 --> 00:37:14.060]   The people just go, oh, that's a shame and move on.
[00:37:14.060 --> 00:37:17.380]   But when robot cars make a mistake and kill people,
[00:37:17.380 --> 00:37:20.100]   as we've seen with the unfortunate autopilot accident,
[00:37:20.100 --> 00:37:22.860]   but previously, it becomes a major story.
[00:37:22.860 --> 00:37:25.100]   And it's going to be a major story for a very long time.
[00:37:25.100 --> 00:37:28.500]   And people won't give robot cars the same kind of--
[00:37:28.500 --> 00:37:29.940]   slack that they cut human beings.
[00:37:29.940 --> 00:37:32.820]   So it is going to be a major adjustment for a lot of people,
[00:37:32.820 --> 00:37:34.980]   despite the fact that these cars are already much safer
[00:37:34.980 --> 00:37:36.740]   than human drivers by and large.
[00:37:36.740 --> 00:37:38.580]   There's going to be a lot of trust built up
[00:37:38.580 --> 00:37:41.020]   before people really trust them to be on the road
[00:37:41.020 --> 00:37:43.700]   and be commuting next to somebody who's watching a movie,
[00:37:43.700 --> 00:37:45.060]   reading a book, or taking a nap.
[00:37:45.060 --> 00:37:47.420]   Georgia, how do you get people--
[00:37:47.420 --> 00:37:49.220]   how would you, as a psychologist,
[00:37:49.220 --> 00:37:54.580]   approach getting people used to the idea of getting in a car
[00:37:54.580 --> 00:37:57.220]   without a steering wheel or a brake pedal?
[00:37:57.220 --> 00:37:57.900]   I mean--
[00:37:57.900 --> 00:38:00.020]   I think that without a steering wheel and a brake pedal,
[00:38:00.020 --> 00:38:02.860]   I think, as Lindsay said, the incremental is easier for us
[00:38:02.860 --> 00:38:06.180]   to cope with and not feel that type of anxiety.
[00:38:06.180 --> 00:38:09.980]   I feel that an autonomous car would be much safer,
[00:38:09.980 --> 00:38:11.660]   yet I would not feel comfortable driving
[00:38:11.660 --> 00:38:15.060]   without having the-- if I wanted to take over,
[00:38:15.060 --> 00:38:16.260]   that I couldn't.
[00:38:16.260 --> 00:38:18.780]   And in the end, what happens is habituation.
[00:38:18.780 --> 00:38:22.220]   When we see something enough after a while,
[00:38:22.220 --> 00:38:24.980]   even if it's scary or dangerous, our brains go,
[00:38:24.980 --> 00:38:25.300]   you know what?
[00:38:25.300 --> 00:38:26.860]   I guess it's not that bad, because I've
[00:38:26.860 --> 00:38:27.860]   seen it all--
[00:38:27.860 --> 00:38:29.540]   So you said we could get used to it?
[00:38:29.540 --> 00:38:30.540]   --or much traumatized.
[00:38:30.540 --> 00:38:32.540]   We will get used to it, for sure.
[00:38:32.540 --> 00:38:34.620]   But with everything, there's a certain amount of anxiety.
[00:38:34.620 --> 00:38:37.380]   Whenever we don't deal well with change,
[00:38:37.380 --> 00:38:39.580]   we deal well with incremental change.
[00:38:39.580 --> 00:38:43.180]   But large jumps in change causes a great amount of anxiety.
[00:38:43.180 --> 00:38:45.980]   And unfortunately, we are less and less adaptive
[00:38:45.980 --> 00:38:47.020]   as we get older.
[00:38:47.020 --> 00:38:49.020]   So when we're young, and if we've grown up with something,
[00:38:49.020 --> 00:38:50.380]   it's very comfortable for us.
[00:38:50.380 --> 00:38:54.020]   But as we get older, our ability to change environments
[00:38:54.020 --> 00:38:57.220]   and the status quo becomes much more difficult for us.
[00:38:57.220 --> 00:39:00.020]   So I think that also it will be the younger generations that
[00:39:00.020 --> 00:39:02.180]   will find this and kind of embrace it
[00:39:02.180 --> 00:39:04.500]   and want to try something new and cool.
[00:39:04.500 --> 00:39:06.660]   And those of us that are older that are not really
[00:39:06.660 --> 00:39:08.700]   into technology will be like, you know what?
[00:39:08.700 --> 00:39:10.980]   I'm just going to stick with the steering wheel and brake
[00:39:10.980 --> 00:39:12.900]   and take my chances.
[00:39:12.900 --> 00:39:16.020]   It seems like it would be better to do it instantly.
[00:39:16.020 --> 00:39:17.100]   Because--
[00:39:17.100 --> 00:39:19.260]   Especially for the truth.
[00:39:19.260 --> 00:39:20.780]   Well, there's lots of reasons.
[00:39:20.780 --> 00:39:22.660]   I mean, the incremental approach
[00:39:22.660 --> 00:39:24.940]   is going to be more traffic depth.
[00:39:24.940 --> 00:39:26.380]   So it's going to be more fatalities.
[00:39:26.380 --> 00:39:28.580]   And there's going to, in fact, be an increase in fatalities
[00:39:28.580 --> 00:39:32.540]   from the bad intersection between self-driving cars
[00:39:32.540 --> 00:39:34.660]   and humans and the takeover.
[00:39:34.660 --> 00:39:35.540]   I mean, it's interesting.
[00:39:35.540 --> 00:39:37.620]   This happened in--
[00:39:37.620 --> 00:39:43.580]   I'm told by professional pilots in aeronautics and airplanes,
[00:39:43.580 --> 00:39:45.380]   civilian aviation.
[00:39:45.380 --> 00:39:51.060]   Airbus makes a far more automated plane than Boeing does.
[00:39:51.060 --> 00:39:53.780]   And pilots in the United States, particularly United
[00:39:53.780 --> 00:39:55.980]   Airlines, didn't want to get air buses.
[00:39:55.980 --> 00:39:58.580]   They didn't want to get the pilot out of the loop.
[00:39:58.580 --> 00:39:59.580]   Yeah, interesting.
[00:39:59.580 --> 00:40:01.100]   I mean, I think they all think they're going to have
[00:40:01.100 --> 00:40:02.940]   to land a plane on the plane, right?
[00:40:02.940 --> 00:40:04.100]   And it could happen.
[00:40:04.100 --> 00:40:04.780]   But it's--
[00:40:04.780 --> 00:40:06.060]   And it could happen.
[00:40:06.060 --> 00:40:09.380]   And probably an Airbus would not do a good job of that.
[00:40:09.380 --> 00:40:10.740]   But Sully would.
[00:40:10.740 --> 00:40:14.020]   Nevertheless, in the vast majority of situations,
[00:40:14.020 --> 00:40:16.260]   humans make-- even pilots make mistakes.
[00:40:16.260 --> 00:40:19.900]   There have been accidents that where the pilot's taken over
[00:40:19.900 --> 00:40:22.900]   and done the wrong thing and actually caused the plane
[00:40:22.900 --> 00:40:27.060]   to crash where an Airbus wouldn't have let them do that.
[00:40:27.060 --> 00:40:30.060]   And so it's the same thing as happening.
[00:40:30.060 --> 00:40:32.660]   And this is really the issue of self-driving versus human,
[00:40:32.660 --> 00:40:35.940]   self-flying planes versus human planes.
[00:40:35.940 --> 00:40:38.060]   I think that there's another point as well, which
[00:40:38.060 --> 00:40:42.100]   is that our economy is strongly driven, if I can say that,
[00:40:42.100 --> 00:40:45.020]   by the fact that we drive our own cars, the amount of people
[00:40:45.020 --> 00:40:47.980]   that are in taxis and that are fixing cars
[00:40:47.980 --> 00:40:50.020]   and that are dealing with that and driving schools.
[00:40:50.020 --> 00:40:53.260]   So a lot of people's jobs depend on us being the ones
[00:40:53.260 --> 00:40:53.860]   to drive that.
[00:40:53.860 --> 00:40:57.420]   And I think that if we just went straight to autonomous,
[00:40:57.420 --> 00:41:01.180]   I don't think that the economy would be able to readjust fast
[00:41:01.180 --> 00:41:01.660]   enough.
[00:41:01.660 --> 00:41:04.420]   There'd be a lot of people out of work because of that.
[00:41:04.420 --> 00:41:04.980]   You just go to--
[00:41:04.980 --> 00:41:06.140]   That's really true.
[00:41:06.140 --> 00:41:06.660]   Yeah.
[00:41:06.660 --> 00:41:08.260]   I should-- there's a lot of potential
[00:41:08.260 --> 00:41:10.460]   to create a lot of new jobs.
[00:41:10.460 --> 00:41:12.420]   Once we go to autonomous cars, at that point,
[00:41:12.420 --> 00:41:14.540]   the expectation is a lot of us will be using ride sharing
[00:41:14.540 --> 00:41:15.540]   services a lot more.
[00:41:15.540 --> 00:41:18.500]   So even if I have a car in my driveway in the morning,
[00:41:18.500 --> 00:41:19.660]   that takes me to work in the morning,
[00:41:19.660 --> 00:41:21.900]   that car might not be sitting there in the driveway.
[00:41:21.900 --> 00:41:25.180]   Because right now, 95% of the time that we own our cars,
[00:41:25.180 --> 00:41:27.980]   our cars are sitting in a driveway, sitting in a parking lot,
[00:41:27.980 --> 00:41:28.740]   not doing anything.
[00:41:28.740 --> 00:41:30.340]   Fire-inship is the not a thing.
[00:41:30.340 --> 00:41:30.840]   Yeah.
[00:41:30.840 --> 00:41:34.500]   And there's also the need to fix those cars.
[00:41:34.500 --> 00:41:35.060]   Right.
[00:41:35.060 --> 00:41:37.380]   If we go to autonomy, at that point,
[00:41:37.380 --> 00:41:39.860]   the idea is that ride sharing will be so popular that, ultimately,
[00:41:39.860 --> 00:41:41.220]   that my car will take me to work,
[00:41:41.220 --> 00:41:42.540]   and then my car might shuttle people
[00:41:42.540 --> 00:41:45.500]   from the train station to their jobs all day long.
[00:41:45.500 --> 00:41:47.540]   And then the car will be back and ready to take me home again.
[00:41:47.540 --> 00:41:48.820]   And then all night long, it might again
[00:41:48.820 --> 00:41:50.940]   be out during ride sharing, that kind of thing.
[00:41:50.940 --> 00:41:53.940]   So utilization will go up such an incredibly huge amount
[00:41:53.940 --> 00:41:55.940]   that our cars will actually need a lot more servicing
[00:41:55.940 --> 00:41:58.420]   than before, which means being an auto mechanic,
[00:41:58.420 --> 00:42:00.180]   where I should become a lot more important,
[00:42:00.180 --> 00:42:02.380]   because we're in a lot more cars that need to be used.
[00:42:02.380 --> 00:42:04.860]   There's going to be a lot of new services like cleaning our cars,
[00:42:04.860 --> 00:42:07.340]   because we're not going in and out of our cars.
[00:42:07.340 --> 00:42:09.900]   We're seeing this kind of cottage industry of people
[00:42:09.900 --> 00:42:12.380]   who go in and clean cars coming up that's really not
[00:42:12.380 --> 00:42:13.100]   been there before.
[00:42:13.100 --> 00:42:14.660]   That is quite interesting.
[00:42:14.660 --> 00:42:16.700]   There are opportunities, but I can't imagine it will
[00:42:16.700 --> 00:42:20.340]   it will recompense for the millions of people who drive trucks,
[00:42:20.340 --> 00:42:21.260]   cabs.
[00:42:21.260 --> 00:42:21.860]   Sure.
[00:42:21.860 --> 00:42:25.380]   I think that we're dealing with like efficiency versus economy.
[00:42:25.380 --> 00:42:28.540]   And I think that because of the fact that the cars will not
[00:42:28.540 --> 00:42:31.460]   be run going too fast, not have as many bumps and bumps.
[00:42:31.460 --> 00:42:33.620]   I don't think that they'll both be able to track.
[00:42:33.620 --> 00:42:35.580]   And I think that a lot of the jobs that it'll create
[00:42:35.580 --> 00:42:37.140]   will be more high end jobs.
[00:42:37.140 --> 00:42:39.740]   Well, that's not necessarily a bad thing, though.
[00:42:39.740 --> 00:42:41.740]   And also think about the time in the car.
[00:42:41.740 --> 00:42:43.380]   This is what I spent a lot of time thinking about.
[00:42:43.380 --> 00:42:45.420]   If your car is completely autonomous,
[00:42:45.420 --> 00:42:47.340]   you have this contained place.
[00:42:47.340 --> 00:42:48.540]   You're going from point A to point B,
[00:42:48.540 --> 00:42:50.380]   you're a captive audience.
[00:42:50.380 --> 00:42:53.260]   I mean, maybe that is when you meet with your therapist.
[00:42:53.260 --> 00:42:53.740]   Oh.
[00:42:53.740 --> 00:42:57.420]   Or you can have meetings in your car.
[00:42:57.420 --> 00:42:57.860]   You can--
[00:42:57.860 --> 00:42:59.340]   Actually, I have to say, listen to the audio books.
[00:42:59.340 --> 00:43:01.900]   I could get a facial in my car.
[00:43:01.900 --> 00:43:02.900]   I'm joking.
[00:43:02.900 --> 00:43:05.620]   So there'll be a whole category of mobile professions,
[00:43:05.620 --> 00:43:09.060]   like mobile aesthetician, mobile psychotherapist.
[00:43:09.060 --> 00:43:11.660]   You'll pull up, you'll pick them up, they'll get in,
[00:43:11.660 --> 00:43:14.460]   and they'll talk to you while you're in your living room,
[00:43:14.460 --> 00:43:15.140]   basically.
[00:43:15.140 --> 00:43:16.140]   Sure.
[00:43:16.140 --> 00:43:17.580]   It's a more private living room.
[00:43:17.580 --> 00:43:20.780]   Or maybe because of 5G, you're actually having that meeting.
[00:43:20.780 --> 00:43:21.620]   It's like a telemedic.
[00:43:21.620 --> 00:43:25.300]   You're meeting your doctor, because you're in a private place.
[00:43:25.300 --> 00:43:27.220]   Having-- you're on a call with your doctor.
[00:43:27.220 --> 00:43:30.260]   Probably the case that the economy will create--
[00:43:30.260 --> 00:43:35.340]   I mean, it may be a net zero or not.
[00:43:35.340 --> 00:43:39.820]   But even if it is a net zero change in employment,
[00:43:39.820 --> 00:43:41.980]   it's going to be highly disruptive.
[00:43:41.980 --> 00:43:42.700]   The people--
[00:43:42.700 --> 00:43:45.980]   Well, it depends on how quickly we transition.
[00:43:45.980 --> 00:43:47.580]   If we transition slowly, I don't think
[00:43:47.580 --> 00:43:49.820]   that there's going to be a problem as more jobs are created
[00:43:49.820 --> 00:43:52.380]   as some jobs deal, and people are going to learn to adapt.
[00:43:52.380 --> 00:43:53.940]   If it happens really quickly, that's
[00:43:53.940 --> 00:43:57.300]   when we end up with a large amount of people that are like,
[00:43:57.300 --> 00:43:58.460]   I don't know what to do.
[00:43:58.460 --> 00:43:59.220]   I'm fully worried.
[00:43:59.220 --> 00:44:00.340]   I get angry.
[00:44:00.340 --> 00:44:02.060]   And then we end up with a lot of backlash
[00:44:02.060 --> 00:44:04.820]   against a certain field because of that.
[00:44:04.820 --> 00:44:06.180]   Right.
[00:44:06.180 --> 00:44:08.180]   It's going to happen more quickly than most people think.
[00:44:08.180 --> 00:44:10.860]   There are fully driverless cars in Phoenix right now.
[00:44:10.860 --> 00:44:12.900]   Waymo is testing them there.
[00:44:12.900 --> 00:44:15.500]   GM has the cruise AV that they want to have on the streets
[00:44:15.500 --> 00:44:19.340]   of San Francisco, available for public use by next year.
[00:44:19.340 --> 00:44:21.820]   And once people get to experience these cars,
[00:44:21.820 --> 00:44:24.420]   they're probably going to want to be using them more.
[00:44:24.420 --> 00:44:26.220]   So I think that those things will come very quickly.
[00:44:26.220 --> 00:44:27.380]   And then, yeah, at that point, it
[00:44:27.380 --> 00:44:28.220]   will be very disruptive.
[00:44:28.220 --> 00:44:29.300]   And ultimately, I don't think we really
[00:44:29.300 --> 00:44:31.860]   have a good idea or a good understanding of exactly what
[00:44:31.860 --> 00:44:33.620]   it will do to that industry.
[00:44:33.620 --> 00:44:34.700]   And if there are any more, I mean,
[00:44:34.700 --> 00:44:36.660]   if you have an hour commute right now,
[00:44:36.660 --> 00:44:38.300]   you probably wouldn't be too cool with that.
[00:44:38.300 --> 00:44:40.740]   But if you're our commute, as you hanging out
[00:44:40.740 --> 00:44:43.140]   in the backseat of the car, napping or getting work done
[00:44:43.140 --> 00:44:45.060]   or reading a book or doing whatever,
[00:44:45.060 --> 00:44:46.980]   most people would probably be OK with that.
[00:44:46.980 --> 00:44:49.900]   And so that means maybe we'll see this kind of rush out
[00:44:49.900 --> 00:44:52.700]   of cities again, moving more to the suburbs again,
[00:44:52.700 --> 00:44:54.500]   which would be contrast to the organization we've
[00:44:54.500 --> 00:44:56.820]   been seeing a lot lately, which so that could have some major
[00:44:56.820 --> 00:44:58.940]   changes to everything.
[00:44:58.940 --> 00:44:59.940]   Yeah.
[00:44:59.940 --> 00:45:01.340]   And how have they been--
[00:45:01.340 --> 00:45:03.820]   sorry, how have they been dealing with weather situations
[00:45:03.820 --> 00:45:04.380]   in snow?
[00:45:04.380 --> 00:45:05.860]   I live in Canada.
[00:45:05.860 --> 00:45:08.900]   There's a lot of snow and how they work in the--
[00:45:08.900 --> 00:45:10.460]   Yeah, it's definitely difficult.
[00:45:10.460 --> 00:45:12.820]   That's exactly why Waymo is testing in Phoenix,
[00:45:12.820 --> 00:45:15.300]   because there's not a whole lot of weather to worry about there.
[00:45:15.300 --> 00:45:16.620]   But it is definitely an issue.
[00:45:16.620 --> 00:45:19.220]   Ford is the only one I've heard of that's really put a lot
[00:45:19.220 --> 00:45:21.220]   of effort into testing in the snow.
[00:45:21.220 --> 00:45:23.460]   They showed off a concept of their autonomous cars
[00:45:23.460 --> 00:45:26.060]   that actually ignores the lines in the road.
[00:45:26.060 --> 00:45:29.700]   And they use LiDAR scanners like most cars do.
[00:45:29.700 --> 00:45:31.820]   And they scan the trees and the buildings
[00:45:31.820 --> 00:45:34.020]   and basically the surroundings rather than actually
[00:45:34.020 --> 00:45:34.860]   mapping the roads.
[00:45:34.860 --> 00:45:37.580]   So even if the road is completely occluded by snow,
[00:45:37.580 --> 00:45:39.900]   the car can know exactly where it is on the road,
[00:45:39.900 --> 00:45:41.300]   which is pretty cool.
[00:45:41.300 --> 00:45:43.460]   And LiDAR scanners are actually good enough right now.
[00:45:43.460 --> 00:45:45.060]   One engineer told me that in a blizzard,
[00:45:45.060 --> 00:45:47.100]   they can count the snowflakes in a blizzard.
[00:45:47.100 --> 00:45:47.620]   So--
[00:45:47.620 --> 00:45:49.860]   They can see better than a human can, for sure.
[00:45:49.860 --> 00:45:51.620]   Yeah, so ultimately, blizzards, that kind of thing,
[00:45:51.620 --> 00:45:53.460]   really aren't that problematic, especially when you
[00:45:53.460 --> 00:45:55.980]   have a car with radar and LiDAR and other sensors.
[00:45:55.980 --> 00:45:58.260]   The big problem, though, is when that stuff starts to build up
[00:45:58.260 --> 00:46:00.780]   ice and snow getting on sensors is a problem.
[00:46:00.780 --> 00:46:03.180]   So companies like DPG are working on and special coatings
[00:46:03.180 --> 00:46:04.580]   that will kind of shrug off that stuff.
[00:46:04.580 --> 00:46:06.220]   It's a challenge for sure that they have an exactly
[00:46:06.220 --> 00:46:08.460]   quite figured out, but I'm optimistic they will produce some.
[00:46:08.460 --> 00:46:11.740]   It'd be a big market for LiDAR heaters coming in.
[00:46:11.740 --> 00:46:12.660]   LiDAR heaters.
[00:46:12.660 --> 00:46:14.340]   Invest in LiDAR heaters.
[00:46:14.340 --> 00:46:16.340]   You have a little LiDAR cozy that you can
[00:46:16.340 --> 00:46:17.420]   speak on there before you get on there.
[00:46:17.420 --> 00:46:17.940]   LiDAR cozy.
[00:46:17.940 --> 00:46:17.940]   Nice.
[00:46:17.940 --> 00:46:19.500]   Keep it warm.
[00:46:19.500 --> 00:46:23.540]   So, Tim, chat room was wondering, what about security?
[00:46:23.540 --> 00:46:25.340]   Are there people talking about security at CES
[00:46:25.340 --> 00:46:26.980]   in the auto show about--
[00:46:26.980 --> 00:46:28.900]   because we've seen cars--
[00:46:28.900 --> 00:46:32.660]   famous hacks of cars where people remotely take over
[00:46:32.660 --> 00:46:34.860]   and accelerate you into a wall and all sorts of things.
[00:46:34.860 --> 00:46:37.380]   Are car manufacturers paying more attention to this now?
[00:46:37.380 --> 00:46:39.100]   They definitely are, but most of them actually
[00:46:39.100 --> 00:46:40.580]   aren't talking about it too much.
[00:46:40.580 --> 00:46:43.220]   I think they're still taking the big corporation idea
[00:46:43.220 --> 00:46:45.340]   that talking about security puts a target on your back.
[00:46:45.340 --> 00:46:47.460]   So by and large, these companies are not really
[00:46:47.460 --> 00:46:48.780]   being that forthright about it.
[00:46:48.780 --> 00:46:52.340]   Jim, if you companies actually is going out there
[00:46:52.340 --> 00:46:55.300]   and working with hacking communities with white hat
[00:46:55.300 --> 00:46:58.540]   hackers, with things like bug bounties and things like that.
[00:46:58.540 --> 00:47:00.140]   But that's pretty rare.
[00:47:00.140 --> 00:47:02.700]   But actually, in Detroit last week,
[00:47:02.700 --> 00:47:04.740]   John Chen from Blackberry had a keynote speech.
[00:47:04.740 --> 00:47:05.860]   And they actually spent the whole time
[00:47:05.860 --> 00:47:08.700]   showing off a developer tool designed explicitly
[00:47:08.700 --> 00:47:11.900]   for basically being integrated into your build process
[00:47:11.900 --> 00:47:13.500]   and scanning for any vulnerabilities
[00:47:13.500 --> 00:47:15.140]   within automotive code.
[00:47:15.140 --> 00:47:16.260]   It's called Jarvis.
[00:47:16.260 --> 00:47:18.500]   And they basically showed off how you can integrate it
[00:47:18.500 --> 00:47:19.700]   within your build system.
[00:47:19.700 --> 00:47:21.220]   And within a matter of minutes, it
[00:47:21.220 --> 00:47:22.940]   will scan over all your automotive code
[00:47:22.940 --> 00:47:25.180]   and look for common vulnerabilities
[00:47:25.180 --> 00:47:27.340]   that your average mobile developer might be familiar with.
[00:47:27.340 --> 00:47:29.300]   But automotive developers typically
[00:47:29.300 --> 00:47:31.460]   are used to working within very close systems.
[00:47:31.460 --> 00:47:33.860]   So for them, this is kind of a new world.
[00:47:33.860 --> 00:47:36.100]   So it's actually really interesting for John Chen
[00:47:36.100 --> 00:47:39.260]   and his colleagues to stand up in front of an audience
[00:47:39.260 --> 00:47:42.180]   of mostly automotive journalists and talk about a developer
[00:47:42.180 --> 00:47:44.940]   tool, something that you would integrate into your make files.
[00:47:44.940 --> 00:47:47.140]   And they spent a long time going into exactly how much
[00:47:47.140 --> 00:47:49.620]   this can make your cars code more safe.
[00:47:49.620 --> 00:47:51.180]   So that's actually a pretty interesting approach.
[00:47:51.180 --> 00:47:53.420]   And there is a lot of work going on in that area.
[00:47:53.420 --> 00:47:55.260]   But again, a lot of us going on behind closed doors,
[00:47:55.260 --> 00:47:56.660]   which I think is still pretty unfortunate.
[00:47:56.660 --> 00:47:59.340]   It's interesting to see Blackberry doing that.
[00:47:59.340 --> 00:48:01.340]   They've really found a second life.
[00:48:01.340 --> 00:48:05.180]   They bought a real-time operating system called QNXQNX
[00:48:05.180 --> 00:48:06.100]   some years ago.
[00:48:06.100 --> 00:48:09.540]   And is that becoming the dominant car platform?
[00:48:09.540 --> 00:48:10.220]   It definitely is.
[00:48:10.220 --> 00:48:12.860]   And that was one of the bigger announcements coming out of CES
[00:48:12.860 --> 00:48:14.740]   was partnership with NVIDIA.
[00:48:14.740 --> 00:48:18.220]   NVIDIA is now making their GPUs become kind of the de facto
[00:48:18.220 --> 00:48:20.660]   platform for a lot of these autonomous cars, actually,
[00:48:20.660 --> 00:48:22.940]   because the floating-point math used for video games
[00:48:22.940 --> 00:48:25.100]   is actually very similar to the floating-point math used
[00:48:25.100 --> 00:48:27.100]   for autonomous cars.
