
[00:00:00.000 --> 00:00:05.600]   It's time for Twit this weekend taking all in studio panel Nathan Olaveras, Giles, Rob Reed and
[00:32:47.840 --> 00:32:52.800]   I will buy your dinner at the restaurant of your choice. So he chose a restaurant in paris joel
[00:32:52.800 --> 00:32:56.240]   Abish on he's good taste. That's good taste. He's gonna do it. She's the wheeze
[00:32:56.240 --> 00:33:01.760]   I'm praying that apple doesn't it's funny now. I'm now i'm praying apple doesn't do anything interesting
[00:33:01.760 --> 00:33:05.040]   That's why you don't want to talk about it brings up some some a little bit of post-traumatic
[00:33:06.640 --> 00:33:11.360]   There there's I mean in my mind there's no no no at all dispute that apple's working on this
[00:33:11.360 --> 00:33:14.960]   Tim Cook said at many times they've probably spent billions on it. They've hired a lot of people
[00:33:14.960 --> 00:33:22.880]   The real question in my mind is does apple still have the mojo that the company had when it changed the world
[00:33:22.880 --> 00:33:28.800]   with the iMac and the ipod the iphone arguably the ipad
[00:33:28.800 --> 00:33:32.640]   Maybe the apple no not the apple watch no
[00:33:33.360 --> 00:33:36.960]   It's been a slow decline right the ipad apple watch have not changed the world
[00:33:36.960 --> 00:33:43.760]   But but apple used to maybe one steve when was only when steve was there apple had that magic where they could take a product that
[00:33:43.760 --> 00:33:48.160]   Everybody knew about mp3 players are not new and do something magic that made it
[00:33:48.160 --> 00:33:54.080]   Amazing and that's I mean there are countless tragedies associated with steves on timely death
[00:33:54.080 --> 00:33:56.320]   But one of you know, this is this is one of them
[00:33:56.320 --> 00:33:58.080]   I mean and it's like when he passed away
[00:33:58.640 --> 00:34:04.400]   I think there was widespread, you know, hope that there was probably three or four years of awesome in the pipeline
[00:34:04.400 --> 00:34:07.920]   And maybe that's really haven't seen the thing and I remember walter isakson's book
[00:34:07.920 --> 00:34:12.000]   Um, which came out right around the time that he passed away. It's been over five years now
[00:34:12.000 --> 00:34:19.760]   Um, he said that he had fixed television. He didn't say exactly what it is. Yeah, so we've got that one looks right there
[00:34:19.760 --> 00:34:24.560]   I could go get it and um, you know if over five years after steve passed away
[00:34:24.560 --> 00:34:29.520]   There hasn't I agree with it has been nothing other than size and case colored changes
[00:34:29.520 --> 00:34:34.960]   You know bigger and smaller iPads and bigger and smaller iPhones and red ones and green ones
[00:34:34.960 --> 00:34:39.920]   I mean, I know the tim cook and I know that johnny. I've and I know everybody at apple knows this
[00:34:39.920 --> 00:34:46.960]   And I think that there's a lot of pressure and they want really badly to do the next big thing
[00:34:46.960 --> 00:34:51.440]   But but the question is can you throw money at something like that?
[00:34:51.440 --> 00:34:56.080]   Can you just hire people and make it happen and and what would be the timing to that?
[00:34:56.080 --> 00:34:59.120]   Right like should like and they tim cook kind of said
[00:34:59.120 --> 00:35:02.880]   I'm gonna go through and it's probably gonna be something more software related than hardware related
[00:35:02.880 --> 00:35:08.720]   So it seems like they're gonna first try to do something with the phones that we already have upgraded to a certain capacity
[00:35:08.720 --> 00:35:11.360]   Yeah, I know it sparkles. I know
[00:35:11.360 --> 00:35:14.080]   Here we go. Go ahead. Show it
[00:35:14.080 --> 00:35:16.480]   Sparkle sparkle it flows
[00:35:16.480 --> 00:35:19.280]   It's
[00:35:20.640 --> 00:35:21.760]   Yeah
[00:35:21.760 --> 00:35:23.760]   That's uh, that's a nice iphone case
[00:35:23.760 --> 00:35:26.640]   Wow, it's a little girly. It's got a little pink car
[00:35:26.640 --> 00:35:31.760]   It's just a little girly. Yeah like a 12 year old girl. I know that's about that's about where I
[00:35:31.760 --> 00:35:36.560]   I stay is about a 12 year old girl. Did you did you buy this at 21 forever?
[00:35:36.560 --> 00:35:38.160]   I I actually
[00:35:38.160 --> 00:35:42.880]   I actually looked it up. I was searching for a water case with sparkles. I'm really loving this
[00:35:42.880 --> 00:35:48.640]   I just kept on i'm buying one. Are you buying one? That's it. I'm getting one. You can get one with like black sparkles, right?
[00:35:48.720 --> 00:35:50.720]   Family sparkle. Family sparkles and skulls.
[00:35:50.720 --> 00:35:56.480]   Little penis is floating around. Yeah, no? Okay. Um, what were you saying?
[00:35:56.480 --> 00:36:02.400]   Man, I'm sorry. I do this at Georgia every time. I'm so sorry
[00:36:02.400 --> 00:36:08.160]   Um, just jealous because uh because of your manly sparkles, right? Um
[00:36:08.160 --> 00:36:10.800]   A.R. Amla sparkles
[00:36:10.800 --> 00:36:12.800]   A.R. Oh, they yeah
[00:36:12.800 --> 00:36:16.640]   They spend the money and make it happen. Can they they could definitely spend the money?
[00:36:16.640 --> 00:36:21.280]   Is they're gonna make it like a Pokemon go basically, right? Some sort of thing where you look through the phone
[00:36:21.280 --> 00:36:28.320]   We've we've had A.R. Browsers for at least three years. That's not that's not really like Pokemon goes not really A.R.
[00:36:28.320 --> 00:36:29.840]   That's like an image
[00:36:29.840 --> 00:36:35.840]   supplanted on top of a background. A.R. Your camera is taking a picture of the street and the little Pokemon's on it. Yeah
[00:36:35.840 --> 00:36:42.000]   I assume like you see the the the lamps and you go to another length and you see all of it in different language
[00:36:42.000 --> 00:36:44.800]   You see your friend and your like contact name
[00:36:44.960 --> 00:36:49.280]   The exploit diagram would be would be actually more of something that would be software related and
[00:36:49.280 --> 00:36:53.920]   You're excited a little well, you got sparkles
[00:36:53.920 --> 00:36:59.200]   So they're saying that the A.R. Advance is a software related rather than hardware. That's what he said. Yeah
[00:36:59.200 --> 00:37:01.200]   That right now
[00:37:01.200 --> 00:37:06.080]   Yeah, yeah, you didn't say that not in the future but you know scobles assist that there's a they're doing a deal with Zeiss
[00:37:06.080 --> 00:37:09.600]   And that Zeiss is uh making glasses
[00:37:10.240 --> 00:37:15.360]   For them and that's if for A.R. That's kind of the form it kind of has contact lenses or glasses
[00:37:15.360 --> 00:37:19.920]   Right. Yeah, it's gonna be good because nobody wants wants to walk around with a hollens on there
[00:37:19.920 --> 00:37:22.080]   Yeah, we're just holding your phone
[00:37:22.080 --> 00:37:26.480]   This is not good. No, that's not a great. Well, it is with the sparkles. Oh, thank you
[00:37:26.480 --> 00:37:30.080]   It really kind of is a good look with the sparkles. Yeah, it's really cool
[00:37:30.080 --> 00:37:35.280]   You say Morgan like rocking the sparkles. Totally. Yeah, love Morgan. Morgan. Well, I think to a certain extent
[00:37:35.680 --> 00:37:39.280]   I think we all kind of like need to need to calm down a little bit here
[00:37:39.280 --> 00:37:42.000]   because really
[00:37:42.000 --> 00:37:44.000]   Most companies have like one
[00:37:44.000 --> 00:37:47.680]   Like zero groundbreaking products like you know history making products
[00:37:47.680 --> 00:37:51.440]   Apple has been pretty fortunate in that they had you know their original
[00:37:51.440 --> 00:37:59.360]   Uh, you know max then he had the iMac then he had the ipod which by the way doesn't really exist anymore
[00:37:59.360 --> 00:38:02.320]   Outside of an ipod touch was essentially an iphone then he had the iphone
[00:38:03.600 --> 00:38:06.080]   So I guess in some ways we've been kind of spoiled by recent
[00:38:06.080 --> 00:38:10.960]   Crazy they've they have a run that no other company. Yeah, possibly max
[00:38:10.960 --> 00:38:13.200]   So just being realistic that's not sustainable
[00:38:13.200 --> 00:38:18.400]   And if you look at all of those things whether it's the you know the original mac
[00:38:18.400 --> 00:38:20.960]   Whether it's the iMac whether it's the ipod or the ipod or the ipod
[00:38:20.960 --> 00:38:22.720]   They all happen under one person's watch well
[00:38:22.720 --> 00:38:28.000]   They all happen under one person's watch but they also were things that existed that apple took and modified right and let's be real
[00:38:28.000 --> 00:38:33.280]   AR right now sucks. Yeah virtual reality right now. It's not in the place far, but not great, right?
[00:38:33.280 --> 00:38:38.480]   These are early adopter things so if if you want to go by apple's history
[00:38:38.480 --> 00:38:41.280]   Then microsoft has to make like a competent
[00:38:41.280 --> 00:38:45.440]   Holo lens and then apple will find the consumer
[00:38:45.440 --> 00:38:48.880]   Uh angle that fits like our culture and lifestyle, right?
[00:38:48.880 --> 00:38:52.720]   They were agenda shattering i'd say with the ipad i don't think there was much
[00:38:52.720 --> 00:38:55.120]   I mean, I guess there were some tabularies
[00:38:55.120 --> 00:38:57.120]   I've had some pretty big there were some tabular things
[00:38:57.120 --> 00:38:57.600]   It might not have like
[00:38:57.600 --> 00:39:00.800]   You know what happened the ipad is a big iphone for for all that's what happened
[00:39:00.800 --> 00:39:03.600]   And they built the ipad before the iphone, right?
[00:39:03.600 --> 00:39:08.880]   So that's what happened which is that these got big enough that people didn't need the ipad
[00:39:08.880 --> 00:39:12.000]   And so I think that's why ipad sales it's tapasails and generators
[00:39:12.000 --> 00:39:15.120]   Part of it is people hold on the ipads for a really long time. Yeah
[00:39:15.120 --> 00:39:18.720]   I think what happened it was an intermediate product
[00:39:18.720 --> 00:39:21.200]   It was between your phone and your laptop or phone and desktop
[00:39:21.200 --> 00:39:21.840]   That's part of it
[00:39:21.840 --> 00:39:24.800]   And that as the phones got bigger and more capable people didn't
[00:39:24.800 --> 00:39:29.360]   I mean no one wants to buy an extra 500 dollar intermediate product. I've got a phone
[00:39:29.360 --> 00:39:31.120]   I got a laptop. What do I need an ipad for?
[00:39:31.120 --> 00:39:34.400]   So I don't I would be very surprised if they come back
[00:39:34.400 --> 00:39:37.520]   In if your theory is correct that people just you know, they've got it
[00:39:37.520 --> 00:39:39.680]   At some point they're gonna get a new one, right?
[00:39:39.680 --> 00:39:42.000]   And so sales will come back, but I don't think that's gonna happen
[00:39:42.000 --> 00:39:47.120]   What would happen though if schools started to really take in for ipads as they become more affordable
[00:39:47.120 --> 00:39:50.400]   And things with split playgrounds and then they did briefly
[00:39:50.400 --> 00:39:53.680]   And I think chromebooks completely stole all that initiative
[00:39:53.680 --> 00:39:54.960]   Because they were much more affordable
[00:39:54.960 --> 00:39:56.160]   Because they're a lot cheaper
[00:39:56.160 --> 00:40:00.640]   You're maintain cheaper. Yeah, we're a laptop board, but we're laptops going
[00:40:00.640 --> 00:40:04.080]   They're going touch-free two and one going to go into commercials, right?
[00:40:04.080 --> 00:40:04.720]   I agree
[00:40:04.720 --> 00:40:10.800]   So all stuff is converging so I think there's still hope for an ipad like product for apple to to dominate on
[00:40:10.800 --> 00:40:13.280]   And ipad stills are still
[00:40:13.280 --> 00:40:15.680]   Way way way bigger than max sales
[00:40:15.680 --> 00:40:18.160]   Uh, you know, even with their decline, right?
[00:40:18.160 --> 00:40:22.480]   And apple by the way, we will talk about what apple announced this week. Unfortunately, it wasn't new max
[00:40:22.480 --> 00:40:24.400]   No
[00:40:24.400 --> 00:40:26.400]   Or even really that exciting new ipads
[00:40:26.400 --> 00:40:29.440]   No, it was just a red iphone and new bands and yeah
[00:40:29.440 --> 00:40:32.960]   A tablet that really was the it's the cheap ipad
[00:40:32.960 --> 00:40:38.640]   Yeah, the one you get if you can't uh, you know, you want school. This is one for schools, right?
[00:40:38.640 --> 00:40:40.800]   It's replaced with the ipad air 2
[00:40:40.800 --> 00:40:44.480]   Uh, and it's the 399 what I wanted was a pro version of the mini
[00:40:44.480 --> 00:40:46.960]   Yeah, if anybody else with a stylus
[00:40:46.960 --> 00:40:49.600]   So the rumor is we're gonna so yeah
[00:40:49.600 --> 00:40:52.000]   The rumor we do need I think there will be a new mini
[00:40:52.080 --> 00:40:57.040]   I want that and I think there will be a new ipad pro and the rumor is it will there will be among other
[00:40:57.040 --> 00:40:59.120]   new ipad pros one that is
[00:40:59.120 --> 00:41:03.760]   The same size as the 9.7 inch ipad but with a 10 and a half inch screen. They're gonna reduce the bezel
[00:41:03.760 --> 00:41:07.520]   That's the one you want because I think do you have you ever tried the 12.9?
[00:41:07.520 --> 00:41:11.920]   That's that's what I have. I love it's so big. Yeah, but see I like to draw so I love all the
[00:41:11.920 --> 00:41:17.120]   Actually, you should get this this is big. It can also it can also double essentially you get the you get the um
[00:41:17.200 --> 00:41:21.920]   Keyboard with the with the with the pro and it essentially starts replacing your laptop for like
[00:41:21.920 --> 00:41:26.080]   Big problem like doesn't have windowing it has like little pains
[00:41:26.080 --> 00:41:28.560]   But if you don't have windowing are you really a computer?
[00:41:28.560 --> 00:41:29.760]   Can you really use it?
[00:41:29.760 --> 00:41:34.800]   I don't I have like a lots of ipads and they just kind of lie in an ipad graveyard cool
[00:41:34.800 --> 00:41:42.320]   And I I use I use my air for I use my Mac and then I use my phone and really I almost never will use my ipad because of that
[00:41:42.320 --> 00:41:44.320]   Like there was pencil support
[00:41:44.480 --> 00:41:50.240]   Maybe yeah, your case I figured out is made by a company called ocassus okay as us
[00:41:50.240 --> 00:41:53.600]   And here's the one I'm gonna get it has a built-in diamond ring
[00:41:53.600 --> 00:41:59.360]   That I they have all kinds here
[00:41:59.360 --> 00:42:05.360]   Uh and and all of them have the liquid backs that uh, how about a little fairy? I like that one
[00:42:05.360 --> 00:42:10.080]   See this has the little heart. I like that's the cherry blossom festival. That would actually really
[00:42:10.080 --> 00:42:13.680]   Yeah
[00:42:13.680 --> 00:42:16.640]   See I thought that some of them didn't have the liquid for the back for some of them
[00:42:16.640 --> 00:42:22.080]   I don't think the one with the ring does this kind of reminds me that I'm probably gonna be real nerdy here for a second
[00:42:22.080 --> 00:42:28.160]   But the nexus for had that kind of holographic like sparkly back. Yeah, and I like that
[00:42:28.160 --> 00:42:33.360]   You know actually there's press we're gonna have uh and I'm not gonna be here because I'm going on a little mini vacation
[00:42:33.360 --> 00:42:36.480]   But wednesday we're gonna be streaming them samsung event lot. Yes
[00:42:36.480 --> 00:42:40.000]   I think the same I don't know but I think from the rumors
[00:42:40.000 --> 00:42:44.400]   I've seen the samsung galaxy s8 will be a really interesting phone
[00:42:44.400 --> 00:42:48.560]   And and you know you could argue there's nothing new that you could do on a phone
[00:42:48.560 --> 00:42:51.440]   But I think that there's some some things this is going to be a beautiful phone
[00:42:51.440 --> 00:42:56.320]   Uh with some new features including I think some of the features apples expected to announce later in the year
[00:42:56.320 --> 00:43:02.160]   That getting rid of the home button in that case getting rid of the home button having a maybe a fingerprint reader underneath the screen
[00:43:02.160 --> 00:43:04.400]   I don't know or maybe on the on-off switch
[00:43:04.400 --> 00:43:08.560]   I'm I'm gonna be watching with interest to see what samsung does on wednesday. We'll have a live stream of that
[00:43:08.640 --> 00:43:10.640]   What time is that karsten is it nine or ten?
[00:43:10.640 --> 00:43:13.280]   eight a.m
[00:43:13.280 --> 00:43:22.240]   Eleven a.m. I don't think samsung will do it, but I really hope they spend some time talking about their revamped battery safety procedures
[00:43:22.240 --> 00:43:27.040]   They will they already did a press no no they already did a presser remember
[00:43:27.040 --> 00:43:31.600]   Yeah, and they have a six step program in fact they've been telling other phone companies should do this
[00:43:31.600 --> 00:43:36.000]   They're gonna x-ray the batteries. I don't know if they're the ones that should be telling other companies how to do this
[00:43:37.600 --> 00:43:42.320]   Well, you know what that might be a differentiator for them, you know, we've already been through
[00:43:42.320 --> 00:43:47.280]   We're gonna really do it right. We learned
[00:43:47.280 --> 00:43:49.440]   20 different ways how not to make batteries
[00:43:49.440 --> 00:43:53.840]   I'd still like to see them talk more about that because that they're sure they will
[00:43:53.840 --> 00:43:57.520]   They have to really like well there were some manufacturing errors and it really wasn't our fault
[00:43:57.520 --> 00:44:00.560]   Well, no, they have to pay attention more now
[00:44:00.560 --> 00:44:06.480]   I think if they don't reassure consumers this is because I you know I I gave my daughter my old s7
[00:44:06.720 --> 00:44:09.200]   Yeah, and her friend said oh you got the blow up phone
[00:44:09.200 --> 00:44:11.040]   Yeah, and I had to explain her no no
[00:44:11.040 --> 00:44:14.640]   But the problem is every samsung now is perceived as the phone that blows up
[00:44:14.640 --> 00:44:18.240]   They've got a really they're gonna have to bend over backwards to reassure people that the s8
[00:44:18.240 --> 00:44:22.640]   Wonderful thing is that people don't steal them now. Yeah, no market
[00:44:22.640 --> 00:44:28.720]   I'm gonna leave that phone. Sam's also will have a new voice assistant called bixby. What do you guys think of bixby?
[00:44:28.720 --> 00:44:30.880]   Makes me think of the whole thing about bixby
[00:44:30.880 --> 00:44:32.800]   No
[00:44:32.800 --> 00:44:40.080]   The we have two people the answer used to work at nuance remember sam's son's s voice used nuance and s voice was trash awful
[00:44:40.080 --> 00:44:45.760]   Can we talk about how bad that was why did they put a voice assistant on a phone that already has googles?
[00:44:45.760 --> 00:44:50.320]   Yeah, are they gonna get in an argument with each other like bixby and google voice is
[00:44:50.320 --> 00:44:52.960]   That bill bixby was on
[00:44:52.960 --> 00:44:56.000]   My money's on him. Oh god
[00:44:56.000 --> 00:44:58.960]   I mean well, you know to
[00:45:00.400 --> 00:45:04.880]   There's a lot of people who buy samsung phones and don't really i'm android right i mean
[00:45:04.880 --> 00:45:09.360]   There's a spong with folks who are like oh you have an android phone. No, I have a galaxy
[00:45:09.360 --> 00:45:11.280]   You're like it runs android
[00:45:11.280 --> 00:45:15.760]   No, no, no, but that's exactly right and that's why people skin it because they don't want you to think it's it's
[00:45:15.760 --> 00:45:19.520]   I mean as far as I'm gonna say the pixel is the google phone to get the android phone again
[00:45:19.520 --> 00:45:25.760]   But I will be very interested in samsung is number two after apple. They are of still an absolute presence
[00:45:25.760 --> 00:45:27.920]   um, so
[00:45:27.920 --> 00:45:29.520]   Despite their ford pinna moment
[00:45:29.520 --> 00:45:36.480]   They had a four pinna moment, but you'll still buy fords. Yeah people still take time and all but they did retire the people's silver and classic coke
[00:45:36.480 --> 00:45:40.560]   Eventually, yeah, they know we buy us pintoza right that's right. Right
[00:45:40.560 --> 00:45:46.400]   Um april so so this wednesday, which is march 29th will be the announcement
[00:45:46.400 --> 00:45:49.840]   They predict it'll be in eight late april. Maybe april 21st
[00:45:49.840 --> 00:45:54.400]   And some interesting looking colors to black gray and silver
[00:45:54.400 --> 00:45:58.560]   And is this the one that's gonna have three cameras on it one specifically for like retinol and face
[00:45:58.800 --> 00:46:00.800]   face recognition
[00:46:00.800 --> 00:46:03.680]   Probably I would guess that's that they will do that in this one
[00:46:03.680 --> 00:46:08.480]   They put as you may remember they put uh, I I recognition in the note seven the
[00:46:08.480 --> 00:46:14.160]   And the galaxy s3 but then they scrapped it after that they kind of add features and take them away
[00:46:14.160 --> 00:46:17.680]   Uh, a little googly. Yeah, there will be a
[00:46:17.680 --> 00:46:19.680]   5.7 inch
[00:46:19.680 --> 00:46:26.000]   S8 we think according to the rumors, but I think it's very interesting and there'll be a 6.2 inch version an s8 plus
[00:46:26.400 --> 00:46:30.640]   That seems to me too big there's a point where it's too large. I think six inches
[00:46:30.640 --> 00:46:34.560]   Too large. I have a purse that's and I can even think sometimes when i'm holding it my phone
[00:46:34.560 --> 00:46:36.400]   This is a little bit large
[00:46:36.400 --> 00:46:42.320]   And speaking that I think it would be great prank leo for just one s3 to go into public with this thing and then take a call on it
[00:46:42.320 --> 00:46:44.720]   because that would just
[00:46:44.720 --> 00:46:48.800]   It would be such a spoof you mean with this. Oh, yeah, just sort of like picking it up
[00:46:48.800 --> 00:46:51.440]   Taking the studio the surface studio. Yeah, yeah
[00:46:52.000 --> 00:46:57.920]   It was just sort of smooth. Let's do a bit for the new screen savers and I will be carrying my surface studio
[00:46:57.920 --> 00:47:00.880]   You can say it's the new phone. Hello
[00:47:00.880 --> 00:47:05.520]   How big is too big you have on your shoulder like a boomba
[00:47:05.520 --> 00:47:08.800]   Hang it there. It's like yeah
[00:47:08.800 --> 00:47:12.480]   You know what it'll probably happen. We'll watch the event go. Oh
[00:47:12.480 --> 00:47:18.720]   It's just another phone. It's hard to come up with something new. I think the same problem apple's gonna face the same problem this fall
[00:47:18.720 --> 00:47:22.560]   It's hard to do anything new. It's a slab of glass with rounded corners
[00:47:22.560 --> 00:47:25.280]   What what are you gonna do this different?
[00:47:25.280 --> 00:47:27.440]   Bixby no
[00:47:27.440 --> 00:47:34.080]   I'm gonna put a lovely case on it with a diamond ring. Is that so you can hold it or so you can hold it
[00:47:34.080 --> 00:47:37.280]   Yeah, so you can propose marriage to whoever you're giving money
[00:47:37.280 --> 00:47:40.640]   You know you need you know forget the engage at ring
[00:47:40.640 --> 00:47:45.840]   By a case that's two months salary. There you go. No, these are cheap. These are nine bucks
[00:47:46.400 --> 00:47:48.000]   99
[00:47:48.000 --> 00:47:50.800]   Is that the same brand that you got? I think it is because they have the
[00:47:50.800 --> 00:47:57.120]   Floating hearts you got on Amazon. I got mine on Amazon. Yeah. I like the cherry blossom one. It's kind of cool
[00:47:57.120 --> 00:48:01.600]   I like the cherry blossom floats. I don't think that those ones actually the cherry blossom. They say it's uh
[00:48:01.600 --> 00:48:04.160]   Maybe
[00:48:04.160 --> 00:48:07.120]   Okay, the last see I saw iPhone 6s that had floating
[00:48:07.120 --> 00:48:13.360]   Yeah, stuff. Is that what if i tried to find one for mine? Yeah, you're the one with a ring? No, no ring
[00:48:13.360 --> 00:48:15.120]   No ring
[00:48:15.120 --> 00:48:17.120]   No ring sparkles. All right
[00:48:17.120 --> 00:48:23.760]   Our show today brought to you by betterment if you were saving for your future and you want to be
[00:48:23.760 --> 00:48:29.200]   You always have the challenge of well, how would I put my money that would be better than the mattress
[00:48:29.200 --> 00:48:33.760]   Actually putting a savings account at your bank. That's about as bad as putting it in a mattress
[00:48:33.760 --> 00:48:35.520]   You got to invest
[00:48:35.520 --> 00:48:40.160]   But who has time for that? I nobody got time to watch your stocks every day
[00:48:40.160 --> 00:48:41.760]   Well
[00:48:41.760 --> 00:48:48.640]   Here's betterment tech has done so much to transform commerce and entertainment and ride sharing and home security, but it is also now
[00:48:48.640 --> 00:48:54.400]   Changing how you invest betterment the largest independent automated investment service is changing
[00:48:54.400 --> 00:48:59.760]   How people invest and I like betterment because they have people as well as computers
[00:48:59.760 --> 00:49:03.920]   So this is this is something a little bit unusual about betterment
[00:49:03.920 --> 00:49:10.400]   You uh, they combine the smart technology with human advisors so you get optimal results at every level of investment
[00:49:10.400 --> 00:49:15.920]   You get access to their team of certified financial professionals licensed financial experts
[00:49:15.920 --> 00:49:20.960]   They are also monitoring your account along with the hardware and the software they can answer questions
[00:49:20.960 --> 00:49:25.360]   You can also have planning calls you can get notifications throughout the year
[00:49:25.360 --> 00:49:31.520]   But the betterment software will be monitoring your your investment every second of every day
[00:49:31.520 --> 00:49:34.080]   making sure that it's properly balanced
[00:49:34.080 --> 00:49:38.320]   That they do talk tax loss harvesting to lower investment taxes
[00:49:38.800 --> 00:49:40.800]   Increase after tax returns
[00:49:40.800 --> 00:49:48.080]   There are no trade no transaction no rebalancing fees and a minimum to sign up. I like that you can get you can dip your toe in betterment and see how you like it
[00:49:48.080 --> 00:49:51.120]   They use global diversification
[00:49:51.120 --> 00:50:00.080]   Smart rebalancing and lower fees and that means you're going to get higher returns than the typical diy investor end-to-end investing means faster cash transfers
[00:50:00.080 --> 00:50:03.840]   Tax forms available at the earliest possible date secure investing
[00:50:03.840 --> 00:50:07.120]   Now as with everything in life
[00:50:07.600 --> 00:50:11.440]   There's some risk involved investment, but you got it. No risk no reward, right?
[00:50:11.440 --> 00:50:14.080]   But do it right
[00:50:14.080 --> 00:50:17.920]   Get one month managed free when you make an initial deposit of $10,000 or more betterment
[00:50:17.920 --> 00:50:27.520]   Is the better way to invest betterment dot com slash twit betterment dot com slash twit betterment is investing made
[00:50:27.520 --> 00:50:30.560]   Better this weekend tech
[00:50:30.560 --> 00:50:33.920]   It's great to have georgia down studio from imore magazine
[00:50:34.640 --> 00:50:37.360]   She's also anxiety dash videos dot com
[00:50:37.360 --> 00:50:39.920]   That's where she and her partner sandra
[00:50:39.920 --> 00:50:47.120]   Both therapists have videos on reducing anxiety sleeping better parenting. I wish you'd make those a few years ago
[00:50:47.120 --> 00:50:49.200]   It's too late for me
[00:50:49.200 --> 00:50:56.000]   Uh, can I watch them now and just like retroactively tell my kids? Okay, remember that time when I yelled at you
[00:50:56.000 --> 00:50:59.200]   Next time let's do it this way. You could try
[00:51:00.880 --> 00:51:05.680]   Effectively already, but the good news for your industry is they both have therapists
[00:51:05.680 --> 00:51:09.280]   And they probably complain about me and sessalyn that could be the good and bad
[00:51:09.280 --> 00:51:18.000]   Uh, anyway, it's it's great to have you georgia dao in studio for the first time ever. I've never met her and now I have
[00:51:18.000 --> 00:51:21.920]   Uh rob reed you've been here before it's always great to have rob here. He is
[00:51:21.920 --> 00:51:24.640]   Uh the guy who started listen dot com
[00:51:25.360 --> 00:51:27.840]   Rhapsody and then is it is it reformed?
[00:51:27.840 --> 00:51:32.640]   Entrepreneur is now a science fiction writer and you can find out more about his book year zero at reed
[00:51:32.640 --> 00:51:34.800]   reed
[00:51:34.800 --> 00:51:37.440]   Rob reed reid.com
[00:51:37.440 --> 00:51:42.480]   Where can they get the discount you were talking about is that all digital platforms?
[00:51:42.480 --> 00:51:46.400]   Reebebre. Yeah, I say that way too. It's just too many hours
[00:51:46.400 --> 00:51:52.880]   You go to amazon and you search for year zero. Yeah, you'll get the discount there too. Yeah for kindle
[00:51:52.960 --> 00:51:56.880]   So it's on digital platforms and it will be uh, series buck 99
[00:51:56.880 --> 00:52:00.720]   Nice, that's the bargain. You should read this and that is literally
[00:52:00.720 --> 00:52:07.040]   Because i'm on twit and it's for this week for I mean for everybody in the world is going to benefit from my being on twit
[00:52:07.040 --> 00:52:08.640]   But particularly twit viewers
[00:52:08.640 --> 00:52:12.720]   Um, and thank you for giving me an excuse to go to random house and say let's do this cool thing
[00:52:12.720 --> 00:52:15.680]   Because we did it once before when I was on quit a couple of years ago
[00:52:15.680 --> 00:52:19.840]   And it was just really fun, you know and you're is it okay to say this working on a new book?
[00:52:19.840 --> 00:52:22.240]   Yeah, I got it. I've got a new book coming out this summer
[00:52:22.480 --> 00:52:26.720]   Um, which I'd like to talk about maybe we get a little bit faster to it. Yeah, I'd love to
[00:52:26.720 --> 00:52:33.200]   Um, there's quite a bit to say about it and you know, um, we may have more to say about it when i'm next here
[00:52:33.200 --> 00:52:35.840]   Uh, sci-fi? Yes
[00:52:35.840 --> 00:52:40.000]   Near very very near future set nine seconds
[00:52:40.000 --> 00:52:46.480]   Whenever you read the book it takes place nine seconds from them
[00:52:46.480 --> 00:52:48.960]   I like this idea. I was just have to read it real quick
[00:52:48.960 --> 00:52:51.600]   I was talking this morning at the radio show about how science fiction
[00:52:52.400 --> 00:52:55.600]   It signals to viewers that it's the future
[00:52:55.600 --> 00:52:58.800]   And it's of course if it's the distant future spaceships and you know
[00:52:58.800 --> 00:53:04.160]   But if it's the near future is harder and for a long time and they just if it was a black president and you knew it was the future
[00:53:04.160 --> 00:53:06.800]   Yeah, that doesn't work anymore. What they were wearing tunics
[00:53:06.800 --> 00:53:15.200]   Yeah, gentlemen's in fact they did that on she remember that with the scarlet joe hanson as the artificial intelligence
[00:53:15.200 --> 00:53:19.840]   Yeah, it was the near future and the only way you could tell was they wore
[00:53:20.400 --> 00:53:24.720]   Did I say him she said she sure some pronouns. Yeah, they're pants are high, right?
[00:53:24.720 --> 00:53:33.040]   It's a future where they're now they're wearing the pants high. Yeah, are they now they are they're wearing really high fashion very predictive that
[00:53:33.040 --> 00:53:39.280]   Shair styles fashion cell phones, right? Mm-hmm often they have clear cell phones in the future
[00:53:39.280 --> 00:53:41.840]   Like
[00:53:41.840 --> 00:53:44.560]   You know
[00:53:44.560 --> 00:53:46.560]   Something yeah
[00:53:46.560 --> 00:53:51.760]   Far in the parallel universe that's a problem because if you're making a science fiction movie today and you use anything that looks like a
[00:53:51.760 --> 00:53:55.600]   Cell phone you date yourself. It means like having a wide tie. Yeah, but I look at wall street
[00:53:55.600 --> 00:54:00.400]   Michael Douglas and wall street. He's holding one of those giant phones. Yeah, it looks like ancient history. Oh, yeah
[00:54:00.400 --> 00:54:04.400]   I don't know if anybody saw get out, but everyone that loved get out. I have a
[00:54:04.400 --> 00:54:08.960]   Windows phone. That's how little I know I noticed that too. Yeah, I love the movie
[00:54:08.960 --> 00:54:14.960]   It's a great movie, but oh you must see I have to see it. The best movie ever. It's a new genre comedy horror
