
[00:00:00.000 --> 00:00:01.880]   It's time for Twit.
[00:39:56.640 --> 00:39:58.280]   There've been plenty of studies.
[00:39:58.280 --> 00:40:01.560]   The information was always a paid product.
[00:40:01.560 --> 00:40:09.200]   The challenge is there's a cognitive bias that happens when something was free and now
[00:40:09.200 --> 00:40:14.240]   you're being compelled for whatever reason to pay, that feels like something is being
[00:40:14.240 --> 00:40:15.480]   taken away from us.
[00:40:15.480 --> 00:40:19.200]   Historically speaking, regardless of what industry or field it is, we won't do it.
[00:40:19.200 --> 00:40:21.600]   It doesn't work sometimes.
[00:40:21.600 --> 00:40:24.120]   Think about with cell phones.
[00:40:24.120 --> 00:40:29.040]   We completely destroyed the value of cell phones for about five or six years there.
[00:40:29.040 --> 00:40:34.240]   And then eventually we got to the point where now we're paying whatever, 40 bucks a month
[00:40:34.240 --> 00:40:38.200]   or 30 bucks a month or having to buy one separately.
[00:40:38.200 --> 00:40:40.840]   But it was a different type of phone.
[00:40:40.840 --> 00:40:43.280]   The free you're talking about the free model?
[00:40:43.280 --> 00:40:46.240]   Right, well, you get a free upgrade.
[00:40:46.240 --> 00:40:50.720]   You get $200 for your phone, which was massively subsidized.
[00:40:50.720 --> 00:40:53.320]   Now you're paying everybody's pay for the phone.
[00:40:53.320 --> 00:40:54.760]   In Japan, you would get the phones for free.
[00:40:54.760 --> 00:40:57.800]   You would get a free phone when I lived there.
[00:40:57.800 --> 00:40:59.760]   The early smartphones were free.
[00:40:59.760 --> 00:41:01.720]   You just signed up for the service.
[00:41:01.720 --> 00:41:11.400]   But once the truly smartphones hit, the first smartphone that I had was in i-mode from entity
[00:41:11.400 --> 00:41:13.760]   dogamole, which was a totally different kind of phone.
[00:41:13.760 --> 00:41:19.000]   Everything else was free, but you had to pay for that.
[00:41:19.000 --> 00:41:25.000]   We've shifted over to the fancy models that people pay for because there's never been
[00:41:25.000 --> 00:41:26.000]   an alternative.
[00:41:26.000 --> 00:41:28.760]   There's never been a way not to pay for a brand new iPhone.
[00:41:28.760 --> 00:41:30.800]   There's also this sort of half-paid model.
[00:41:30.800 --> 00:41:32.600]   I live in Berkeley.
[00:41:32.600 --> 00:41:35.840]   There's a regional news site called BerkeleySide, which I'm a huge fan of.
[00:41:35.840 --> 00:41:43.240]   They've done a fantastic job creating a serious local publication that's internet only.
[00:41:43.240 --> 00:41:44.280]   It's first in the nation.
[00:41:44.280 --> 00:41:47.680]   They just raised a million dollars from its readers in a direct public offering.
[00:41:47.680 --> 00:41:48.680]   Wow.
[00:41:48.680 --> 00:41:49.680]   Interesting.
[00:41:49.680 --> 00:41:50.680]   Small local news.
[00:41:50.680 --> 00:41:51.680]   Isn't that interesting?
[00:41:51.680 --> 00:41:52.680]   High quality products.
[00:41:52.680 --> 00:41:53.680]   That's Berkeley, though.
[00:41:53.680 --> 00:41:54.680]   Totally free.
[00:41:54.680 --> 00:41:55.680]   That's still.
[00:41:55.680 --> 00:41:56.680]   No, it's Berkeley.
[00:41:56.680 --> 00:41:57.680]   There's something to be said, though.
[00:41:57.680 --> 00:42:01.440]   And then you say, "Look, it's kind of the NPR model, too."
[00:42:01.440 --> 00:42:03.640]   Like, "Please pay for this thing.
[00:42:03.640 --> 00:42:07.160]   We're going to give it to you for free, but we're going to use guilt."
[00:42:07.160 --> 00:42:08.160]   Guilt works.
[00:42:08.160 --> 00:42:10.040]   I mean, guilt absolutely works.
[00:42:10.040 --> 00:42:11.240]   It's not democratic, though.
[00:42:11.240 --> 00:42:13.040]   It's fundamentally undemocratic.
[00:42:13.040 --> 00:42:19.040]   That's part of the problem I have is that news especially, I'm kind of the opinion software.
[00:42:19.040 --> 00:42:20.200]   All software should be free.
[00:42:20.200 --> 00:42:22.680]   The paid software model is a broken model.
[00:42:22.680 --> 00:42:24.760]   And certainly, social networks should all be free.
[00:42:24.760 --> 00:42:26.160]   And news should be free.
[00:42:26.160 --> 00:42:29.720]   You've got to find other ways to monetize it because it's undemocratic to say that only
[00:42:29.720 --> 00:42:34.680]   people who can afford news should be able to get the good news and the rest of you are
[00:42:34.680 --> 00:42:37.960]   going to get fake news and crappy news and link-baity news.
[00:42:37.960 --> 00:42:38.960]   That's not right.
[00:42:38.960 --> 00:42:42.360]   And yet, when Freedom of the Press started, everybody had to pay to get that cheat.
[00:42:42.360 --> 00:42:43.360]   The broadsheets.
[00:42:43.360 --> 00:42:44.360]   The broadsheets.
[00:42:44.360 --> 00:42:45.360]   Right?
[00:42:45.360 --> 00:42:46.360]   So, some of the reasons we've never charged for it.
[00:42:46.360 --> 00:42:47.920]   The whole person bought it.
[00:42:47.920 --> 00:42:54.280]   And then other people said they shared it, talked about it, whatever, shared it around.
[00:42:54.280 --> 00:42:57.080]   So, I think that it's kind of HBO model.
[00:42:57.080 --> 00:43:01.680]   Like we know people steal it, but some of you are going to pay for it and it all works
[00:43:01.680 --> 00:43:02.680]   out in the end.
[00:43:02.680 --> 00:43:08.760]   The LA Times accidentally ran a new business model experiment without even realizing it.
[00:43:08.760 --> 00:43:13.680]   A couple weeks ago, their page loads times were like really, really slow and people couldn't
[00:43:13.680 --> 00:43:15.480]   fare what was going on.
[00:43:15.480 --> 00:43:20.600]   And a friend of mine was poking around and somebody was using their site to mine for
[00:43:20.600 --> 00:43:21.600]   bitcoins.
[00:43:21.600 --> 00:43:22.600]   Oh my God.
[00:43:22.600 --> 00:43:25.400]   So, they had been hacked in a weird way.
[00:43:25.400 --> 00:43:29.240]   But also maybe like a genius way to raise some cash.
[00:43:29.240 --> 00:43:30.240]   Yeah.
[00:43:30.240 --> 00:43:32.520]   Just thought for the LA Times, unfortunately.
[00:43:32.520 --> 00:43:40.520]   And to close the loop on the Facebook thing, I do think Facebook is primarily over and under
[00:43:40.520 --> 00:43:46.360]   30, there's hardly any people that are actively engaged on Facebook.
[00:43:46.360 --> 00:43:49.400]   So, what's next is the important question.
[00:43:49.400 --> 00:43:56.640]   But for the hearings themselves, I think that you have to take what happened not just in
[00:43:56.640 --> 00:44:02.720]   the event itself, which was somewhat sad and disappointing and not what it could have
[00:44:02.720 --> 00:44:04.400]   been or should have been.
[00:44:04.400 --> 00:44:07.400]   But think of it as a first step or maybe second step, right?
[00:44:07.400 --> 00:44:14.560]   Because they did call after the election a few of these tech heads before the Congress
[00:44:14.560 --> 00:44:16.120]   to testify.
[00:44:16.120 --> 00:44:23.280]   Again, it's about the scrutiny coming on to these folks about the way that they use data.
[00:44:23.280 --> 00:44:26.880]   And while this wasn't ideal, it wasn't what it could have been or should have been.
[00:44:26.880 --> 00:44:31.520]   It is a start and you're going to increasingly in the coming years see more pressure on them
[00:44:31.520 --> 00:44:37.560]   to be transparent and the Maryland legislation I think is another step in that direction.
[00:44:37.560 --> 00:44:41.640]   They're going to be more transparent about what data they take, how they use it, how
[00:44:41.640 --> 00:44:48.280]   much it's worth and then what they can do to give people control of their own data.
[00:44:48.280 --> 00:44:52.280]   And somebody in the chat room brought this up and maybe not exactly this way, but also
[00:44:52.280 --> 00:44:59.000]   there's the possibility that a transparency here, I'm going to sell your data to marketers.
[00:44:59.000 --> 00:45:02.400]   You will see ads related to the things that you do on this platform.
[00:45:02.400 --> 00:45:06.880]   If you would like to not receive these ads, it will cost you $10 a month to use the platform.
[00:45:06.880 --> 00:45:09.280]   Yeah, I bet most people say fine.
[00:45:09.280 --> 00:45:10.280]   I don't want to pay it.
[00:45:10.280 --> 00:45:11.280]   Yeah.
[00:45:11.280 --> 00:45:12.280]   Am I wrong?
[00:45:12.280 --> 00:45:16.080]   I have a problem with Facebook using my information to sell ads.
[00:45:16.080 --> 00:45:17.760]   That's not where the issue is.
[00:45:17.760 --> 00:45:24.120]   The issue is more using my mood to take advantage of me to sell ads or selling my information
[00:45:24.120 --> 00:45:30.240]   to a foreign government or using my information in kind of sleazier ways than just straight
[00:45:30.240 --> 00:45:33.520]   up you talked about jeeps, you should see jeep ads.
[00:45:33.520 --> 00:45:35.160]   What would be wrong with that?
[00:45:35.160 --> 00:45:36.560]   You're actually interested in jeeps.
[00:45:36.560 --> 00:45:38.720]   They're taking more data than what they're telling us.
[00:45:38.720 --> 00:45:43.600]   They're taking more data and they're using it in ways that are kind of not so nice.
[00:45:43.600 --> 00:45:47.880]   Well, and we're talking about what's, we're talking about what's already happened.
[00:45:47.880 --> 00:45:53.480]   I mean, you know, Facebook saying if at the end of all of this, the end result is we'll
[00:45:53.480 --> 00:45:59.680]   tell you, you know, we'll give you the opportunity to opt out so that we won't use your data
[00:45:59.680 --> 00:46:06.040]   to surface ads, sort of like not that that sort of shields us from everything that's coming.
[00:46:06.040 --> 00:46:10.480]   You know, the next social networks are going to be part of mixed reality, not text and
[00:46:10.480 --> 00:46:13.840]   photo and video based social networks that we have right now.
[00:46:13.840 --> 00:46:17.720]   Now's the time that we get to work on social networks that don't rely on surveillance
[00:46:17.720 --> 00:46:19.120]   capitalism to survive.
[00:46:19.120 --> 00:46:24.560]   There must be some other way to create the next thing that doesn't require this kind
[00:46:24.560 --> 00:46:27.720]   of skeezy invasion of privacy or is that not?
[00:46:27.720 --> 00:46:28.720]   Quit book.
[00:46:28.720 --> 00:46:29.720]   Quit book.
[00:46:29.720 --> 00:46:30.720]   I like it.
[00:46:30.720 --> 00:46:33.360]   Let me, let me take a little break.
[00:46:33.360 --> 00:46:35.400]   I am so thrilled that you guys are here.
[00:46:35.400 --> 00:46:36.400]   Great, smart people.
[00:46:36.400 --> 00:46:43.240]   Amy Webb, the signals are talking the future today Institute find out more at Amy Webb.io
[00:46:43.240 --> 00:46:49.240]   w e b b dot I O. Lindsay Turntine editor in chief had seen that.
[00:46:49.240 --> 00:46:51.880]   I mean, that's power.
[00:46:51.880 --> 00:46:53.440]   That's power.
[00:46:53.440 --> 00:46:57.200]   She is also at L Turntine on Twitter.
[00:46:57.200 --> 00:47:03.640]   And of course, Jason Heiner from the tech republic and CBS both CBS interactive and ziti net.
[00:47:03.640 --> 00:47:04.640]   Thank you all for being here.
[00:47:04.640 --> 00:47:06.960]   I want to introduce a new sponsor.
[00:47:06.960 --> 00:47:12.760]   Not to this show, but not new to people who've listened to me talk about this app for months
[00:47:12.760 --> 00:47:14.240]   because I love it.
[00:47:14.240 --> 00:47:16.440]   It's the front page of my phone.
[00:47:16.440 --> 00:47:24.560]   It's called apptiv a A A P T I V and it is a trainer in your phone.
[00:47:24.560 --> 00:47:26.240]   Tiv is audio based workouts.
[00:47:26.240 --> 00:47:31.880]   You put them in your in your ears with created by certified personal trainers.
[00:47:31.880 --> 00:47:33.960]   You get it on a mobile app.
[00:47:33.960 --> 00:47:35.440]   I love the trainers.
[00:47:35.440 --> 00:47:38.760]   There's a huge variety of trainings and trainers and a huge variety of training.
[00:47:38.760 --> 00:47:42.920]   Everything from riding a bike, taking a walk, getting on a treadmill, lifting weights.
[00:47:42.920 --> 00:47:44.760]   I have a medicine ball training.
[00:47:44.760 --> 00:47:45.760]   I do on this thing.
[00:47:45.760 --> 00:47:48.320]   I just love great music.
[00:47:48.320 --> 00:47:50.920]   Really good trainers for all personalities.
[00:47:50.920 --> 00:47:54.720]   I have a certain kind of trainer I like to use.
[00:47:54.720 --> 00:47:58.000]   Somebody who kind of kicks my butt a little bit and says work a little bit harder, but
[00:47:58.000 --> 00:47:59.520]   maybe you don't want that.
[00:47:59.520 --> 00:48:05.120]   There are more than 40 new classes every week in every kind of workout.
[00:48:05.120 --> 00:48:08.320]   If you've been getting on a stale climber and elliptical and just kind of doing it for
[00:48:08.320 --> 00:48:13.080]   20 minutes and not seeing a lot of results, what if you put a trainer in your ear or on
[00:48:13.080 --> 00:48:15.600]   your speakers that said, okay, now I want you to step it up.
[00:48:15.600 --> 00:48:17.160]   We're going to do some high intensity.
[00:48:17.160 --> 00:48:19.560]   Now slow it down.
[00:48:19.560 --> 00:48:23.160]   You can even get yoga and meditation in this.
[00:48:23.160 --> 00:48:27.680]   After trainers guide you in a flexible audio format, it is a great way to make fitness a
[00:48:27.680 --> 00:48:32.720]   lasting part of your routine and a lot less expensive than hiring a, trust me, I know
[00:48:32.720 --> 00:48:37.960]   that hiring a trainer or going to the gym classes for all fitness levels, beginning
[00:48:37.960 --> 00:48:42.440]   intermediate advanced, more than 2,500 workouts.
[00:48:42.440 --> 00:48:43.840]   You'll never get to the bottom of them.
[00:48:43.840 --> 00:48:48.360]   And as I said, there's always new workouts, many more than you could ever take.
[00:48:48.360 --> 00:48:51.320]   Training music, genre, every difficulty, every duration.
[00:48:51.320 --> 00:48:55.080]   And by the way, the active community is great.
[00:48:55.080 --> 00:48:57.560]   And they're working on their fitness goals and they support you.
[00:48:57.560 --> 00:48:59.080]   You support them.
[00:48:59.080 --> 00:49:00.240]   It's very affordable.
[00:49:00.240 --> 00:49:05.880]   I got the year membership a couple of months ago, but you can start at $14.99 a month, $100
[00:49:05.880 --> 00:49:09.680]   for an annual membership, and we've got a deal for you, 30% off.
[00:49:09.680 --> 00:49:13.320]   So if you've been looking at AFTiv, you can try it for free and I would do that.
[00:49:13.320 --> 00:49:22.480]   But 69.99, 30% off for a year of unlimited workouts, AFTiv.com/twit, AAPtiv.com/twit.
[00:49:22.480 --> 00:49:24.960]   I've been using this for several months now.
[00:49:24.960 --> 00:49:29.840]   And it is just a great, you know, as the weather turns and you can take walks, you can use
[00:49:29.840 --> 00:49:31.560]   it to get out there and run.
[00:49:31.560 --> 00:49:35.120]   They can walk you through a run or a walk.
[00:49:35.120 --> 00:49:37.760]   Everything you could ever imagine and you never have to repeat.
[00:49:37.760 --> 00:49:40.400]   You can always have a new workout every day.
[00:49:40.400 --> 00:49:41.400]   AFTiv.
[00:49:41.400 --> 00:49:42.400]   I love it.
[00:49:42.400 --> 00:49:43.400]   AFTiv.com/twit.
[00:49:43.400 --> 00:49:48.480]   I was really pleased because I've been giving them free plugs for months.
[00:49:48.480 --> 00:49:51.640]   I was really pleased when they said, "Hey, would you like to do an ad?"
[00:49:51.640 --> 00:49:55.440]   I said, "Yes, I'll be glad to."
[00:49:55.440 --> 00:50:00.480]   We're talking, it feels like we've been talking about Facebook for the last three months.
[00:50:00.480 --> 00:50:05.400]   It seems like also one of those conversations that doesn't have a logical end.
[00:50:05.400 --> 00:50:08.600]   Like I don't know what to say, what you could even say.
[00:50:08.600 --> 00:50:12.360]   We know we're not happy about it, but I don't think anything is ever going to happen.
[00:50:12.360 --> 00:50:13.360]   It's going to change.
[00:50:13.360 --> 00:50:17.280]   We just have to keep putting pressure on them to be more transparent.
[00:50:17.280 --> 00:50:18.280]   What about Twitter?
[00:50:18.280 --> 00:50:19.280]   What about Google?
[00:50:19.280 --> 00:50:20.280]   What about Amazon?
[00:50:20.280 --> 00:50:21.280]   What about Microsoft?
[00:50:21.280 --> 00:50:23.600]   Are they going to skate?
[00:50:23.600 --> 00:50:28.080]   And by the way, there's more than 300 companies gathering information just like Facebook.
[00:50:28.080 --> 00:50:29.560]   We don't even know about it.
[00:50:29.560 --> 00:50:32.040]   Not to mention, you're in a service provider.
[00:50:32.040 --> 00:50:34.120]   Well, but they don't use it in the same way.
[00:50:34.120 --> 00:50:35.120]   They're not smart.
[00:50:35.120 --> 00:50:37.360]   Oh, no, I don't take that back.
[00:50:37.360 --> 00:50:41.280]   Comcast and Verizon, AT&T have all sold information.
[00:50:41.280 --> 00:50:45.120]   They gained from you using their services to third parties.
[00:50:45.120 --> 00:50:52.200]   They also, as we know, are a revolving door for the NSA and spy agencies.
[00:50:52.200 --> 00:50:54.960]   They've climbed the hand over all that information.
[00:50:54.960 --> 00:50:59.560]   Thanks to a whistleblower, we know that the NSA had a room in San Francisco's AT&T headquarters
[00:50:59.560 --> 00:51:02.960]   where they monitored everything on the internet and on the phone system.
[00:51:02.960 --> 00:51:09.440]   I mean, I'd be more worried about them if they had, you know, five to, you know, 10,000
[00:51:09.440 --> 00:51:11.920]   engineers working on machine learning, but they don't.
[00:51:11.920 --> 00:51:12.920]   Well, that's true.
[00:51:12.920 --> 00:51:15.520]   Machine learning is a little scary because it's weaponizing this stuff.
[00:51:15.520 --> 00:51:16.520]   Yeah.
[00:51:16.520 --> 00:51:17.520]   And so...
[00:51:17.520 --> 00:51:18.520]   Who are you more afraid of?
[00:51:18.520 --> 00:51:19.520]   Government or industry, business?
[00:51:19.520 --> 00:51:20.520]   Oh, 100%.
[00:51:20.520 --> 00:51:21.520]   I mean, 100%.
[00:51:21.520 --> 00:51:22.520]   100%.
[00:51:22.520 --> 00:51:23.520]   They...
[00:51:23.520 --> 00:51:24.520]   100% both.
[00:51:24.520 --> 00:51:26.520]   Well, yeah, that's true.
[00:51:26.520 --> 00:51:27.520]   That's true.
[00:51:27.520 --> 00:51:29.520]   I'm scared.
[00:51:29.520 --> 00:51:30.520]   I'm more...
[00:51:30.520 --> 00:51:31.520]   It's more...
[00:51:31.520 --> 00:51:36.120]   The commercial is more scary right now, especially because they have...
[00:51:36.120 --> 00:51:38.520]   But see, I cannot use Facebook.
[00:51:38.520 --> 00:51:39.680]   I don't have to use Facebook.
[00:51:39.680 --> 00:51:40.680]   Right.
[00:51:40.680 --> 00:51:41.680]   True.
[00:51:41.680 --> 00:51:42.680]   I'm not moving out of the US.
[00:51:42.680 --> 00:51:46.400]   There are some people who really do have to use it, though, for their jobs or it is
[00:51:46.400 --> 00:51:47.920]   the primary way that they communicate.
[00:51:47.920 --> 00:51:48.920]   It's a free service.
[00:51:48.920 --> 00:51:50.920]   A lot of people now use Messenger specifically.
[00:51:50.920 --> 00:51:55.000]   Siva, by Janaas, I've said that it's white privilege that allows us to quit Facebook.
[00:51:55.000 --> 00:51:56.000]   It's some kind of privilege.
[00:51:56.000 --> 00:51:58.200]   I love you going a little far, but...
[00:51:58.200 --> 00:52:04.240]   Well, there are plenty of places around the world where, for various reasons, you know,
[00:52:04.240 --> 00:52:06.120]   like the press is being undermined.
[00:52:06.120 --> 00:52:07.200]   It's not free.
[00:52:07.200 --> 00:52:12.520]   So Facebook is the one way that they're able to publish certain news.
[00:52:12.520 --> 00:52:13.520]   But here's what I...
[00:52:13.520 --> 00:52:18.200]   So, there are legitimate reasons why in some cases it works.
[00:52:18.200 --> 00:52:21.040]   But here's what I would say.
[00:52:21.040 --> 00:52:22.720]   Our entire future...
[00:52:22.720 --> 00:52:26.480]   If we are entering the third era of computing, and by the way, this is my entire next book
[00:52:26.480 --> 00:52:32.240]   which is coming out, is all about this, so we're entering the third era of computing.
[00:52:32.240 --> 00:52:33.240]   Let's give us a background.
[00:52:33.240 --> 00:52:34.240]   What's the first two?
[00:52:34.240 --> 00:52:38.160]   So, the first was tabulation, and the second was programmable systems.
[00:52:38.160 --> 00:52:43.560]   So, the third era is AI, which has been in some form of development for the past 150
[00:52:43.560 --> 00:52:44.560]   years.
[00:52:44.560 --> 00:52:53.120]   So, the challenge is that as we now move from artificial narrow intelligence into what
[00:52:53.120 --> 00:53:01.000]   comes next, all of the primary research and work that's being done is all being done in
[00:53:01.000 --> 00:53:02.040]   the commercial sector.
[00:53:02.040 --> 00:53:05.640]   And so, in the book, I identify the big nine.
[00:53:05.640 --> 00:53:10.160]   There are nine big companies that basically control our future on Earth and any other
[00:53:10.160 --> 00:53:13.560]   planet in the place that we may venture to.
[00:53:13.560 --> 00:53:15.000]   Three of those companies are in China.
[00:53:15.000 --> 00:53:16.880]   That's Tencent, Baidu, and Alibaba.
[00:53:16.880 --> 00:53:18.760]   And the other six are here in the United States.
[00:53:18.760 --> 00:53:24.600]   Google and Amazon are the primary ones that matter, followed by Microsoft, Facebook, IBM,
[00:53:24.600 --> 00:53:26.560]   and to a far lesser degree Apple.
[00:53:26.560 --> 00:53:28.480]   And what about Tesla?
[00:53:28.480 --> 00:53:29.480]   Seriously.
[00:53:29.480 --> 00:53:32.480]   And related Musk.
[00:53:32.480 --> 00:53:40.840]   Tesla doesn't have all of the primary and basic research that's being done.
[00:53:40.840 --> 00:53:42.840]   Tesla is not one of the primary ones.
[00:53:42.840 --> 00:53:45.840]   Way more than Tesla.
[00:53:45.840 --> 00:53:47.840]   Way more than Tesla.
[00:53:47.840 --> 00:53:49.000]   But here's the problem.
[00:53:49.000 --> 00:53:55.320]   The problem is that these companies have fiduciary responsibilities to their shareholders,
[00:53:55.320 --> 00:53:59.280]   and they are profit-driven organizations.
[00:53:59.280 --> 00:54:02.000]   And even in China, technically they're independent companies, but they are very much tied to the
[00:54:02.000 --> 00:54:03.000]   Chinese government.
[00:54:03.000 --> 00:54:07.200]   Well, that's the thing that I'm very aware of is the fact that you could say Baidu and
[00:54:07.200 --> 00:54:15.000]   Tencent, but especially as she consolidates power, there is a definite move towards, for
[00:54:15.000 --> 00:54:22.640]   instance, putting Communist Party committees in these businesses requiring investment of
[00:54:22.640 --> 00:54:23.960]   the Chinese government.
[00:54:23.960 --> 00:54:29.520]   They're basically, this is an article from Bloomberg, it's an opinion piece, but basically
[00:54:29.520 --> 00:54:34.960]   there's some evidence that they're effectively nationalizing the tech sector, and they certainly
[00:54:34.960 --> 00:54:38.040]   want to have a lot to say about artificial intelligence.
[00:54:38.040 --> 00:54:43.400]   And they are using it against their citizenry right now.
[00:54:43.400 --> 00:54:44.400]   Right.
[00:54:44.400 --> 00:54:51.960]   So, just as an example, so there are two sense time and Megvi are two enormous AI companies
[00:54:51.960 --> 00:54:55.120]   that most people haven't heard of.
[00:54:55.120 --> 00:55:02.360]   The former has now just got a $4.5 billion valuation last week, making it the most highly
[00:55:02.360 --> 00:55:06.760]   valued AI tech startup in the entire world.
[00:55:06.760 --> 00:55:10.040]   The AI ecosystem is predicated on data, on people.
[00:55:10.040 --> 00:55:15.800]   And so, the reason that people say data is the new oil is partially because, like oil,
[00:55:15.800 --> 00:55:17.480]   it has to be mined, refined, and productized.
[00:55:17.480 --> 00:55:24.520]   But if you think about it in terms of us, we are the data, we are creating the data, then
[00:55:24.520 --> 00:55:29.680]   who's in charge of the largest natural resource going forward on Earth?
[00:55:29.680 --> 00:55:34.760]   It's China with 1.4 billion people and totally different ideas and restrictions around how
[00:55:34.760 --> 00:55:36.560]   their data is used.
[00:55:36.560 --> 00:55:43.720]   So, the needs and desires of these companies often run counter to the needs and desires
[00:55:43.720 --> 00:55:45.880]   and hopes of a democracy.
[00:55:45.880 --> 00:55:47.720]   Not just in China, but in the United States.
[00:55:47.720 --> 00:55:53.760]   And so, my argument is that we ought to change the developmental direction and track that
[00:55:53.760 --> 00:55:55.400]   AI is currently on.
[00:55:55.400 --> 00:56:00.360]   But that's going to force us all to make a lot of really difficult and possibly uncomfortable
[00:56:00.360 --> 00:56:01.600]   decisions.
[00:56:01.600 --> 00:56:08.160]   But if we wait 20 years, we're going to find that life is going to look really strange
[00:56:08.160 --> 00:56:10.800]   in ways that we don't like.
[00:56:10.800 --> 00:56:14.760]   And we have some agency and say in changing that developmental track now, we just have
[00:56:14.760 --> 00:56:17.320]   to decide we want a different future for ourselves.
[00:56:17.320 --> 00:56:21.000]   I would argue that life looks really strange in ways we don't like right now.
[00:56:21.000 --> 00:56:23.600]   We're just waking up to it.
[00:56:23.600 --> 00:56:27.520]   I just kind of get up and go, "What is this?
[00:56:27.520 --> 00:56:29.760]   This is so weird."
[00:56:29.760 --> 00:56:32.280]   But the other thing that I think needs to be mentioned, I think all of those points
[00:56:32.280 --> 00:56:35.360]   are so germane and smart.
[00:56:35.360 --> 00:56:40.400]   However, despite the size of the Chinese population, that value is only as good as
[00:56:40.400 --> 00:56:44.040]   the wealth held by the people who generate the data.
[00:56:44.040 --> 00:56:51.080]   Because presumably, the data is used to manipulate the way that we distribute our own wealth.
[00:56:51.080 --> 00:56:52.080]   That's why the data matters so much.
[00:56:52.080 --> 00:56:53.080]   The stuff we buy.
[00:56:53.080 --> 00:56:56.200]   And in some cases, right, are choices.
[00:56:56.200 --> 00:56:59.440]   And that's why we're here talking about it because of the elections.
[00:56:59.440 --> 00:57:01.040]   So there's also political power.
[00:57:01.040 --> 00:57:03.040]   In China, they're absolutely using this.
[00:57:03.040 --> 00:57:08.440]   They have the social score and they're keeping you from buying houses, taking trains.
[00:57:08.440 --> 00:57:09.440]   The social score.
[00:57:09.440 --> 00:57:14.840]   You're an expert on Asian cultural differences.
[00:57:14.840 --> 00:57:15.840]   That's a cultural difference.
[00:57:15.840 --> 00:57:20.120]   It seems something that would be very hard to do here in the States, but seems to be
[00:57:20.120 --> 00:57:22.480]   becoming rampant in China.
[00:57:22.480 --> 00:57:26.120]   Well, this is why you have to connect the broader dots.
[00:57:26.120 --> 00:57:30.600]   So all of this facial and posture, I mean, face recognition is interesting, but they're
[00:57:30.600 --> 00:57:33.080]   the world leaders in posture recognition.
[00:57:33.080 --> 00:57:35.880]   So it turns out everybody has a unique face print.
[00:57:35.880 --> 00:57:37.920]   We have a unique fingerprints.
[00:57:37.920 --> 00:57:42.880]   We also have unique face prints because the capillaries beneath our skin are all slightly
[00:57:42.880 --> 00:57:44.360]   different, right?
[00:57:44.360 --> 00:57:47.040]   We also have unique voice prints.
[00:57:47.040 --> 00:57:52.920]   So not just the particular intonation of our and cadence, right, when we speak, but all
[00:57:52.920 --> 00:58:00.960]   of the other elements that go into our voices, they're also leading the field in voice recognition
[00:58:00.960 --> 00:58:04.000]   technology and also posture and gesture.
[00:58:04.000 --> 00:58:08.960]   So you know, you've all this aimed at recognizing you with a camera.
[00:58:08.960 --> 00:58:11.520]   So yeah, that's right.
[00:58:11.520 --> 00:58:19.120]   So if look at all that, China has also been developing smart cameras, which are capable
[00:58:19.120 --> 00:58:26.880]   of identifying and locking onto somebody and then handing off, you've seen this in the
[00:58:26.880 --> 00:58:31.320]   Borne movies and like on CSI, but this is like a real thing where the cameras can lock
[00:58:31.320 --> 00:58:34.680]   on to somebody and follow them without a human in the loop, right?
[00:58:34.680 --> 00:58:39.000]   So you're not supposed to J-Walk in China.
[00:58:39.000 --> 00:58:40.840]   And if you do, that's frowned upon.
[00:58:40.840 --> 00:58:46.000]   Well, now they've used all of this technology that I just described to identify you and
[00:58:46.000 --> 00:58:51.880]   at intersections, they have electronic billboards and they will put your face up on the billboard
[00:58:51.880 --> 00:58:56.840]   and say, you know, Mr. Wong, just, you know, J-Walk to cross the street.
[00:58:56.840 --> 00:58:57.840]   Here's where he works.
[00:58:57.840 --> 00:59:00.720]   Here's, you know, here's his job.
[00:59:00.720 --> 00:59:08.120]   He'll broadcast it out on Weibo, which is the Chinese version of Facebook and make life
[00:59:08.120 --> 00:59:10.760]   generally pretty uncomfortable for that person.
[00:59:10.760 --> 00:59:12.640]   So it's not just about commerce.
[00:59:12.640 --> 00:59:13.640]   I guess is what I'm getting at.
[00:59:13.640 --> 00:59:14.640]   Yeah.
[00:59:14.640 --> 00:59:17.000]   Let me see if I can, and you can tell me if you agree with this.
[00:59:17.000 --> 00:59:18.560]   Cautify this a little bit.
[00:59:18.560 --> 00:59:23.720]   What Lindsey was talking about, which was using this information to manipulate people
[00:59:23.720 --> 00:59:28.400]   into participating in the economy more vigorously, spending more money.
[00:59:28.400 --> 00:59:31.960]   Or potentially things like elections and social choices.
[00:59:31.960 --> 00:59:33.960]   Or co-worsing them, making social choices.
[00:59:33.960 --> 00:59:38.040]   And then there's what governments like to do, partly social choices, but mostly what
[00:59:38.040 --> 00:59:42.000]   a government is really all about is maintaining order to maintain the status quo.
[00:59:42.000 --> 00:59:45.520]   I mean, let's be honest, that's all government has ever really been about, whether it's
[00:59:45.520 --> 00:59:52.760]   a king or a congress is maintaining the social order so that the people who got it can keep
[00:59:52.760 --> 00:59:53.760]   it.
[00:59:53.760 --> 00:59:57.320]   So, and both, you could have both of those.
[00:59:57.320 --> 01:00:00.520]   They're not mutually incompatible, as you point out, Lindsey.
[01:00:00.520 --> 01:00:06.160]   But from the point of view of an American citizen, they have very different import and
