
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[00:27:24.360 --> 00:27:25.360]   rates.
[00:27:25.360 --> 00:27:29.720]   Of course, exactly the kind of thing you'd expect from America's best and largest mortgage
[00:27:29.720 --> 00:27:30.720]   lender.
[00:27:30.720 --> 00:27:35.960]   All you have to do is go to rocket mortgage.com/twit2 rate shield approvals only valid on some
[00:27:35.960 --> 00:27:37.920]   30-year purchase transactions.
[00:27:37.920 --> 00:27:42.280]   Additional conditions or exclusions may apply based on quick and loans data in comparison
[00:27:42.280 --> 00:27:43.400]   to public data records.
[00:27:43.400 --> 00:27:48.480]   Equal housing lender licenses in all 50 states and MLS consumer access.org number 3030.
[00:27:48.480 --> 00:27:50.160]   You know we love rocket mortgage.
[00:27:50.160 --> 00:27:52.520]   And this is just one more reason to use it.
[00:27:52.520 --> 00:27:56.520]   Rocket Mortgage.com/twit2.
[00:27:56.520 --> 00:28:01.080]   And we do thank Rocket Mortgage by Quick and Loans for supporting this week in tech.
[00:28:01.080 --> 00:28:02.080]   Yes, I hear a...
[00:28:02.080 --> 00:28:03.080]   Is that...
[00:28:03.080 --> 00:28:10.200]   I use Rocket Mortgage because I told you, and I had a problem with the system.
[00:28:10.200 --> 00:28:14.880]   But what you don't say is that they'll give you a call or an email if you have any kind
[00:28:14.880 --> 00:28:15.880]   of problem.
[00:28:15.880 --> 00:28:16.880]   So customers...
[00:28:16.880 --> 00:28:18.480]   So you're not locked into the website.
[00:28:18.480 --> 00:28:22.640]   So if you have like a little glitch or something, you can still get in touch with a human,
[00:28:22.640 --> 00:28:23.640]   which is pretty awesome.
[00:28:23.640 --> 00:28:24.640]   No, they have it kind of.
[00:28:24.640 --> 00:28:25.960]   You get the best of both worlds.
[00:28:25.960 --> 00:28:26.960]   That's really nice.
[00:28:26.960 --> 00:28:29.960]   And we're in the process right now of buying a house and we're using them.
[00:28:29.960 --> 00:28:30.960]   Oh my God.
[00:28:30.960 --> 00:28:31.960]   Excellent.
[00:28:31.960 --> 00:28:33.960]   Rocket Mortgage Party.
[00:28:33.960 --> 00:28:38.760]   Makes me want to buy a house.
[00:28:38.760 --> 00:28:44.400]   Christina is a poor millennial who moved from New York City to Seattle and has given up on
[00:28:44.400 --> 00:28:46.040]   ever having homeownership.
[00:28:46.040 --> 00:28:47.920]   I've given up on the dream of homeownership.
[00:28:47.920 --> 00:28:49.400]   Let's be real.
[00:28:49.400 --> 00:28:50.400]   But if I do...
[00:28:50.400 --> 00:28:53.400]   If I ever am lucky enough, then I will definitely use Rocket Mortgage.
[00:28:53.400 --> 00:28:55.240]   Housing prices high in the...
[00:28:55.240 --> 00:28:56.240]   Oh my God.
[00:28:56.240 --> 00:28:57.240]   Are they?
[00:28:57.240 --> 00:28:58.240]   Oh my God.
[00:28:58.240 --> 00:28:59.240]   Yeah, no.
[00:28:59.240 --> 00:29:00.240]   It's the increase.
[00:29:00.240 --> 00:29:01.240]   It's something...
[00:29:01.240 --> 00:29:04.680]   It's like 2,000% I think in the last five years or something.
[00:29:04.680 --> 00:29:05.680]   What?
[00:29:05.680 --> 00:29:06.680]   Yeah, no.
[00:29:06.680 --> 00:29:07.680]   It's the highest.
[00:29:07.680 --> 00:29:10.640]   It's for the last, I think, 18 months.
[00:29:10.640 --> 00:29:13.040]   It has been or it might be like 21 months at this point.
[00:29:13.040 --> 00:29:18.440]   It is the highest average or like increase in the United States.
[00:29:18.440 --> 00:29:20.480]   Worse than the Bay Area?
[00:29:20.480 --> 00:29:23.640]   So the prices in the Bay Area are higher for sure.
[00:29:23.640 --> 00:29:31.800]   But the rate in which prices are rising in Seattle are the biggest anywhere.
[00:29:31.800 --> 00:29:32.800]   Interesting.
[00:29:32.800 --> 00:29:38.160]   Yeah, it's not as expensive as New York or the Bay Area at all.
[00:29:38.160 --> 00:29:40.400]   But it is a lot more than you would think.
[00:29:40.400 --> 00:29:49.080]   And then the increase is key-pappening so much that a place that was valued at 450,000
[00:29:49.080 --> 00:29:52.560]   10 years ago is easily over a million now.
[00:29:52.560 --> 00:29:58.400]   And so people who bought places right after the financial crisis, right after the real
[00:29:58.400 --> 00:30:02.560]   estate bust, can't afford to move because they could never afford the place that they're
[00:30:02.560 --> 00:30:03.560]   in now.
[00:30:03.560 --> 00:30:04.560]   Yeah.
[00:30:04.560 --> 00:30:05.800]   So it's one of those types of things.
[00:30:05.800 --> 00:30:09.760]   And then you have a lot of foreign buyers who come in and pay cash.
[00:30:09.760 --> 00:30:16.680]   So even if you have a mortgage, even if you're able to get a loan, you're oftentimes...
[00:30:16.680 --> 00:30:19.760]   So someone who's sending will pay cash.
[00:30:19.760 --> 00:30:24.200]   And so it can be hard even for people who have the money to find a place.
[00:30:24.200 --> 00:30:25.200]   It's kind of bad.
[00:30:25.200 --> 00:30:29.240]   Although I have to point out the article in The New York Times yesterday that said, "San
[00:30:29.240 --> 00:30:30.680]   Francisco is so expensive.
[00:30:30.680 --> 00:30:34.400]   You can have a six figure income and still be low income."
[00:30:34.400 --> 00:30:35.400]   I know.
[00:30:35.400 --> 00:30:36.400]   Yeah, it is nothing like that.
[00:30:36.400 --> 00:30:39.000]   Although, it is not that level.
[00:30:39.000 --> 00:30:40.000]   No, but I've seen that.
[00:30:40.000 --> 00:30:43.880]   But it is one of those things where when I look at how much I would need for a mortgage
[00:30:43.880 --> 00:30:46.480]   to get a place and whatnot, especially like that's part of town.
[00:30:46.480 --> 00:30:47.840]   I would want to live in.
[00:30:47.840 --> 00:30:48.840]   It's just ridiculous.
[00:30:48.840 --> 00:30:51.160]   So I'm just going to rent.
[00:30:51.160 --> 00:30:57.200]   Federal government classifieds a family of four in the Bay Area earning $117,400 as low
[00:30:57.200 --> 00:30:58.200]   income.
[00:30:58.200 --> 00:31:00.600]   Low income.
[00:31:00.600 --> 00:31:03.800]   But when you see what houses are selling and how much they're selling for...
[00:31:03.800 --> 00:31:08.000]   I was going to say, if your average mortgage or if your average rent is $4,400 or something
[00:31:08.000 --> 00:31:12.800]   like that, and for a family of four, you're going to need at least three bedrooms or whatever.
[00:31:12.800 --> 00:31:13.800]   Yeah.
[00:31:13.800 --> 00:31:16.280]   Median home price over a million bucks.
[00:31:16.280 --> 00:31:19.520]   The federal government says a fair market rent for a two bedroom in San Francisco's
[00:31:19.520 --> 00:31:23.240]   Bay Area is $3,000 for a two bedroom apartment.
[00:31:23.240 --> 00:31:27.640]   I don't want to tell you what my college graduate son is paying.
[00:31:27.640 --> 00:31:32.480]   They've got three of them jammed into a two bedroom apartment and they're each paying
[00:31:32.480 --> 00:31:34.600]   $1,700 bucks.
[00:31:34.600 --> 00:31:39.320]   Which means that the rent for that three bedroom in San Francisco is like $5,000 for a two
[00:31:39.320 --> 00:31:40.320]   bedroom.
[00:31:40.320 --> 00:31:41.320]   For a two bedroom.
[00:31:41.320 --> 00:31:42.320]   Yeah, that's what I was saying.
[00:31:42.320 --> 00:31:43.320]   $100 is low.
[00:31:43.320 --> 00:31:44.320]   No, it's insane.
[00:31:44.320 --> 00:31:46.360]   And you're not talking about huge units.
[00:31:46.360 --> 00:31:47.400]   I mean, that's the big thing.
[00:31:47.400 --> 00:31:49.200]   So I actually pay more.
[00:31:49.200 --> 00:31:51.000]   It's fair to peg this to tech, right?
[00:31:51.000 --> 00:31:52.480]   I mean, if it's happening in Seattle...
[00:31:52.480 --> 00:31:53.480]   Oh, yes.
[00:31:53.480 --> 00:31:55.480]   I bet it's happening in areas of Boston.
[00:31:55.480 --> 00:31:56.480]   You owe me that, definitely.
[00:31:56.480 --> 00:31:57.480]   Absolutely.
[00:31:57.480 --> 00:31:58.480]   Without a doubt.
[00:31:58.480 --> 00:31:59.480]   Without a doubt.
[00:31:59.480 --> 00:32:04.000]   And it's also happening in Houston because what you used to have a reputation for being
[00:32:04.000 --> 00:32:11.400]   inexpensive, but everybody wants to be inside the loop, the loop 610, and it's densifying.
[00:32:11.400 --> 00:32:14.360]   So there's less properties available.
[00:32:14.360 --> 00:32:19.920]   When we moved out of a townhouse about four years ago, they tore down some small houses
[00:32:19.920 --> 00:32:24.000]   next to it that probably would have sold for $125,000.
[00:32:24.000 --> 00:32:26.080]   They were little shacks, essentially.
[00:32:26.080 --> 00:32:31.120]   And built condo and built townhouses next to us that were $800,000.
[00:32:31.120 --> 00:32:34.600]   So it's happening everywhere, particularly in urban areas.
[00:32:34.600 --> 00:32:40.400]   Well, more people are coming up your way, Christina, because Amazon just spent almost
[00:32:40.400 --> 00:32:45.760]   a billion dollars to buy an online pharmacy called PillPack.
[00:32:45.760 --> 00:32:46.960]   Our listeners might know that.
[00:32:46.960 --> 00:32:47.960]   We were doing ads for PillPack.
[00:32:47.960 --> 00:32:52.280]   I wish I could get a little cut in some of these deals.
[00:32:52.280 --> 00:32:57.400]   Amazon bought Ring and one of our sponsors for more than a billion, I think.
[00:32:57.400 --> 00:33:01.080]   Apple bought Texture for $400 million and another one of our sponsors.
[00:33:01.080 --> 00:33:04.920]   Now they buy PillPack a sponsor for a billion dollars.
[00:33:04.920 --> 00:33:08.640]   I helped build these companies from the crowd up.
[00:33:08.640 --> 00:33:13.640]   Amazon has only made two acquisitions in 2018, and both of them are twin sponsors.
[00:33:13.640 --> 00:33:15.480]   Twin sponsors, yeah.
[00:33:15.480 --> 00:33:18.160]   I don't know what that means, but they're watching you.
[00:33:18.160 --> 00:33:21.640]   That means that analysts need to watch Leo's sponsor list.
[00:33:21.640 --> 00:33:24.880]   Yeah, yeah, yeah, yeah.
[00:33:24.880 --> 00:33:33.160]   From your mouth to whoever, to John Doar's ear, Amazon buying PillPack is the strongest
[00:33:33.160 --> 00:33:37.280]   indication yet of Amazon's interest in pushing into healthcare.
[00:33:37.280 --> 00:33:41.280]   As you know, they announced a partnership with Warren Buffet's Berkshire Hathaway and
[00:33:41.280 --> 00:33:44.200]   JP Morgan to do a health insurance company.
[00:33:44.200 --> 00:33:49.040]   Oh, it's just for Amazon employees right now.
[00:33:49.040 --> 00:33:54.360]   They were applying for pharmacy licenses all around the country about a year or two
[00:33:54.360 --> 00:33:55.360]   ago.
[00:33:55.360 --> 00:33:58.760]   Now they don't need to because they've got PillPack.
[00:33:58.760 --> 00:34:00.320]   PillPack, yep.
[00:34:00.320 --> 00:34:07.160]   They're going to get a ton of information from this acquisition because they'll get insights
[00:34:07.160 --> 00:34:12.480]   of what the negotiated rates for all the insurers are on drugs, which is going to
[00:34:12.480 --> 00:34:13.480]   inform their play.
[00:34:13.480 --> 00:34:19.680]   They're going to get a more accurate count of households because if my grandmother lives
[00:34:19.680 --> 00:34:25.520]   with me and I get the medication sent here, they'll know who, because the names are tied
[00:34:25.520 --> 00:34:29.480]   to the medications, even for kids, even for people who are older, they'll get all that
[00:34:29.480 --> 00:34:30.480]   information.
[00:34:30.480 --> 00:34:38.640]   And also, PillPack doesn't just do prescriptions, they do vitamins and over-the-counter drugs.
[00:34:38.640 --> 00:34:43.360]   So they'll be able to get a scrape off all that with their leverage buying power and be
[00:34:43.360 --> 00:34:44.800]   able to make even more money.
[00:34:44.800 --> 00:34:50.720]   You're so smart because you tempted to look at any acquisition as just simply a business
[00:34:50.720 --> 00:34:53.440]   acquisition, but for Amazon, data is everything.
[00:34:53.440 --> 00:34:54.440]   Yeah.
[00:34:54.440 --> 00:34:59.120]   And if you think about it too, it means so the CBS at NIDIL, right?
[00:34:59.120 --> 00:35:00.400]   That's a big one.
[00:35:00.400 --> 00:35:07.440]   And that was seen in some ways as kind of anticipating Amazon getting more into both prescriptions
[00:35:07.440 --> 00:35:08.440]   and healthcare.
[00:35:08.440 --> 00:35:15.560]   And not all drugs can have online or buy mail prescriptions, but increasingly that's
[00:35:15.560 --> 00:35:16.560]   becoming an option.
[00:35:16.560 --> 00:35:21.920]   And the maximum insurers will even penalize you if you don't do a buy mail prescription.
[00:35:21.920 --> 00:35:26.280]   If you actually go to a pharmacy, I know that when I was with United Healthcare, I had
[00:35:26.280 --> 00:35:29.640]   to opt into a thing to be able to use an actual pharmacy because they really wanted
[00:35:29.640 --> 00:35:32.360]   me to send stuff in the mail.
[00:35:32.360 --> 00:35:38.840]   And so you can see Amazon's not an insurer yet, but you can see them probably getting
[00:35:38.840 --> 00:35:44.560]   the data, like Wesley's saying, being able to have all that accurate information to then
[00:35:44.560 --> 00:35:48.880]   make direct deals with the insurers and other things.
[00:35:48.880 --> 00:35:56.040]   And also start to anticipate if they're ever able to cohabitate where your prime now
[00:35:56.040 --> 00:36:00.480]   stuff is, you can just imagine, you know, in a few years being able to do a prime now
[00:36:00.480 --> 00:36:02.640]   to get your prescription delivered to you.
[00:36:02.640 --> 00:36:07.400]   Great, Raven, your chat room says he can't wait for the Prozac Dash button.
[00:36:07.400 --> 00:36:08.800]   Yes, seriously.
[00:36:08.800 --> 00:36:12.800]   I need some quick.
[00:36:12.800 --> 00:36:14.800]   Xanax button.
[00:36:14.800 --> 00:36:15.800]   Xanax.
[00:36:15.800 --> 00:36:18.480]   I need Xanax now.
[00:36:18.480 --> 00:36:19.480]   It's interesting.
[00:36:19.480 --> 00:36:20.800]   Walgreens, I'm not Walgreens.
[00:36:20.800 --> 00:36:26.000]   Walmart apparently was bidding for pill pack as well, which is why the price got so high.
[00:36:26.000 --> 00:36:30.400]   Which makes total sense because, you know, Walmart has been one of the biggest pharmacies
[00:36:30.400 --> 00:36:34.400]   and biggest parts, kind of the drug industry for a really long time.
[00:36:34.400 --> 00:36:39.760]   And so, you know, they are actively through jet.com and Bonobos and some other other things
[00:36:39.760 --> 00:36:44.000]   trying to take on Amazon in the online sphere of granted.
[00:36:44.000 --> 00:36:46.000]   They're coming at it a little bit late.
[00:36:46.000 --> 00:36:52.120]   So that's interesting that they didn't bid more that Amazon was willing to go above.
[00:36:52.120 --> 00:36:53.120]   That's really interesting.
[00:36:53.120 --> 00:36:58.720]   When you combine Rite Aid, Walgreens and CVS Health, three big pharmacies, they lost
[00:36:58.720 --> 00:37:02.840]   $12.8 billion in market value the day this was announced.
[00:37:02.840 --> 00:37:03.840]   Huge.
[00:37:03.840 --> 00:37:04.840]   Oh, yeah.
[00:37:04.840 --> 00:37:11.560]   The market immediately saw what Amazon was up to and said, "They may have won."
[00:37:11.560 --> 00:37:12.560]   Pill pack is awesome.
[00:37:12.560 --> 00:37:15.440]   We used it for quite a while.
[00:37:15.440 --> 00:37:21.720]   And it's, but although I noticed that in an analyst call, the guy from Walgreens said,
[00:37:21.720 --> 00:37:26.120]   "Well, the pharmacy world is much more complex than the delivery of packages of pill packages."
[00:37:26.120 --> 00:37:27.120]   Yeah.
[00:37:27.120 --> 00:37:28.120]   It's much more complex.
[00:37:28.120 --> 00:37:29.120]   I'm sure it is.
[00:37:29.120 --> 00:37:33.120]   And honestly, though, I hadn't thought about this until you were just saying that, Leo,
[00:37:33.120 --> 00:37:38.440]   but I think this makes the Whole Foods acquisition so much smarter.
[00:37:38.440 --> 00:37:41.520]   Because now they actually have retail space.
[00:37:41.520 --> 00:37:45.080]   So before, you know, that was the big thing with Amazon is they didn't have, yeah, they
[00:37:45.080 --> 00:37:46.280]   might have their own pop-ups.
[00:37:46.280 --> 00:37:50.680]   But now I'm not saying that every Whole Foods will have a pharmacy or a pill pack, you know,
[00:37:50.680 --> 00:37:51.680]   or in it.
[00:37:51.680 --> 00:37:56.600]   But you could imagine especially big locations where there are a lot of people where it might
[00:37:56.600 --> 00:38:00.200]   make sense for them to build, you know, an Amazon health, you know, something.
[00:38:00.200 --> 00:38:01.200]   Oh, heck.
[00:38:01.200 --> 00:38:03.920]   All you need really is a place where you could drop off your prescription.
[00:38:03.920 --> 00:38:05.440]   They said, "Don't ramble mail it to you.
[00:38:05.440 --> 00:38:07.360]   It's going to be your customer."
[00:38:07.360 --> 00:38:11.880]   And pill pack has a certain amount of lock-in because they renew the prescriptions automatically.
[00:38:11.880 --> 00:38:13.160]   They send you the prescriptions.
[00:38:13.160 --> 00:38:19.000]   Once you're in the system, it's kind of a, it's a just, you know, a nurse show alone
[00:38:19.000 --> 00:38:20.240]   will keep you as a customer.
[00:38:20.240 --> 00:38:22.480]   So it's a good move on Amazon's part.
[00:38:22.480 --> 00:38:26.720]   And since they do vitamins, you expect in Whole Foods that they'll have like a fitness
[00:38:26.720 --> 00:38:31.640]   expert or a nutritionist to be able to say, "Yeah."
[00:38:31.640 --> 00:38:34.920]   And then they'll start sending you pill packs with just the vitamins that they think will
[00:38:34.920 --> 00:38:35.920]   help you.
[00:38:35.920 --> 00:38:36.920]   There's a...
[00:38:36.920 --> 00:38:37.920]   Yeah.
[00:38:37.920 --> 00:38:41.720]   The stocks that should have gone down may have been grocery stores because, you know, every
[00:38:41.720 --> 00:38:46.960]   Kroger now has a... has not only a pharmacy, but a lot of them have little clinics in
[00:38:46.960 --> 00:38:47.960]   them.
[00:38:47.960 --> 00:38:51.280]   And certainly if you were going to do that with Whole Foods, particularly with something
[00:38:51.280 --> 00:38:55.440]   that was very health-oriented or holistically health-oriented, which would be a good way
[00:38:55.440 --> 00:39:00.640]   for Amazon to differentiate itself, you could see that it could really have even more impact
[00:39:00.640 --> 00:39:01.920]   on the grocery business.
[00:39:01.920 --> 00:39:04.120]   Should we be scared of Amazon?
[00:39:04.120 --> 00:39:05.120]   Yeah.
[00:39:05.120 --> 00:39:08.000]   But I mean, we're scared of all of them.
[00:39:08.000 --> 00:39:09.680]   I mean, but you know what I mean?
[00:39:09.680 --> 00:39:10.680]   Like...
[00:39:10.680 --> 00:39:12.360]   But I mean, it just, it seems like Amazon's...
[00:39:12.360 --> 00:39:16.720]   I mean, look, first of all, Jeff Bezos, richest man in the world.
[00:39:16.720 --> 00:39:19.320]   He's not stated goal, but he's pretty obvious.
[00:39:19.320 --> 00:39:23.960]   His goal is to take us a fraction of all financial transactions across the board.
[00:39:23.960 --> 00:39:28.520]   You know, just giving 1% of everything that goes on and I'll be happy.
[00:39:28.520 --> 00:39:31.680]   And he's moving very closely, very quickly into that.
[00:39:31.680 --> 00:39:36.820]   We know that Amazon, when it enters a market, depresses the market for every other company
[00:39:36.820 --> 00:39:40.280]   in that market and really changed first publishing.
[00:39:40.280 --> 00:39:46.200]   I mean, that's the best example is how many cities don't have bookstores anymore.
[00:39:46.200 --> 00:39:50.120]   If you're a book publisher, you hate Amazon because you no longer control the price of
[00:39:50.120 --> 00:39:51.160]   your products.
[00:39:51.160 --> 00:39:55.600]   If you're an author, you might love Amazon because you don't need a publisher anymore.
[00:39:55.600 --> 00:39:58.200]   They've completely changed how books work.
[00:39:58.200 --> 00:40:01.480]   And I imagine every market that they enter, this is going to happen.
[00:40:01.480 --> 00:40:03.520]   At what point...
[00:40:03.520 --> 00:40:04.640]   This is what worries me.
[00:40:04.640 --> 00:40:07.240]   Does Amazon become the company store?
[00:40:07.240 --> 00:40:08.480]   You know that old song?
[00:40:08.480 --> 00:40:12.360]   Oh, Ma's told to the company store where this is...
[00:40:12.360 --> 00:40:13.880]   You just buy everything from Amazon.
[00:40:13.880 --> 00:40:15.680]   And not all of that retailers exist.
[00:40:15.680 --> 00:40:17.680]   For many people it already is.
[00:40:17.680 --> 00:40:19.680]   Yeah, buy everything from Amazon.
[00:40:19.680 --> 00:40:20.680]   Same.
[00:40:20.680 --> 00:40:21.680]   I buy everything from Amazon.
[00:40:21.680 --> 00:40:25.720]   And I mean, I think what you're saying is absolutely accurate.
[00:40:25.720 --> 00:40:28.680]   I guess my only pushback on that would be I think you could have said the same thing
[00:40:28.680 --> 00:40:31.280]   about Walmart a decade ago.
[00:40:31.280 --> 00:40:37.400]   And in fact, still in many small towns, Walmart came in after mining places or manufacturing
[00:40:37.400 --> 00:40:40.960]   in Lapton and huge super stores came up and everyone worked there.
[00:40:40.960 --> 00:40:43.040]   Everyone got their health insurance there.
[00:40:43.040 --> 00:40:44.040]   That was everyone.
[00:40:44.040 --> 00:40:47.720]   But their paycheck there was literally the place where you work and you end up spending
[00:40:47.720 --> 00:40:51.480]   all your money, which to me is actually a little bit more insidious than what Amazon's
[00:40:51.480 --> 00:40:52.480]   doing.
[00:40:52.480 --> 00:40:55.600]   But Walmart was trying to model first.
[00:40:55.600 --> 00:40:56.600]   Amazon's...
[00:40:56.600 --> 00:41:01.840]   The big innovation is the distribution and the fact that they now have the, you know,
[00:41:01.840 --> 00:41:05.560]   the couriers and the delivery and just the huge number of warehouses.
[00:41:05.560 --> 00:41:09.120]   But yeah, I mean, I think it's a valid thing to ask is that they literally are kind of
[00:41:09.120 --> 00:41:10.920]   touching every aspect of everything.
[00:41:10.920 --> 00:41:15.560]   And I think that it's interesting you've seen like with bookstores, the first people that
[00:41:15.560 --> 00:41:18.620]   really kind of put the small independent bookstores out of business were Barnes and
[00:41:18.620 --> 00:41:19.620]   Noble and Borders.
[00:41:19.620 --> 00:41:23.120]   And it was the huge super bookstores that had the cut down prices.
[00:41:23.120 --> 00:41:27.360]   And then it was, you know, some of them were part of leverage buyouts.
[00:41:27.360 --> 00:41:29.120]   Some of them had bad real estate deals, whatever.
[00:41:29.120 --> 00:41:33.920]   They couldn't keep up with the demand and people moved to other methods and then, you
[00:41:33.920 --> 00:41:38.080]   know, borders went out of business, Barnes and Noble closes down certain stores.
[00:41:38.080 --> 00:41:41.880]   But you did then do kind of see this resurgence in certain pockets of markets, certainly not
[00:41:41.880 --> 00:41:45.720]   everywhere of the independent places cropping up again.
[00:41:45.720 --> 00:41:51.480]   And so I wonder, like, I'm not trying to defend Amazon, but I do wonder how much of
[00:41:51.480 --> 00:41:56.280]   it is on Amazon and how much of it is a combination of Amazon and really what Amazon benefited
[00:41:56.280 --> 00:42:03.160]   from was the huge big box explosion of the 90s in the early 2000s that they're just writing
[00:42:03.160 --> 00:42:06.960]   that way of taking it to the next level.
[00:42:06.960 --> 00:42:08.800]   You know, but I do you write off Walmart?
[00:42:08.800 --> 00:42:11.600]   Is it over for Walmart or have they put together a good response?
[00:42:11.600 --> 00:42:15.280]   They bought JIT.com two years ago for $3 billion.
[00:42:15.280 --> 00:42:17.040]   That gave them an e-commerce arm.
[00:42:17.040 --> 00:42:20.760]   Yeah, no, you don't write them off, but it's certainly different, right?
[00:42:20.760 --> 00:42:24.240]   And I think that, you know, it's interesting when you look at what Walmart's doing in terms
[00:42:24.240 --> 00:42:27.280]   of e-commerce, let's look at certain markets like New York.
[00:42:27.280 --> 00:42:30.200]   And if you actually look at their acquisition strategy, it's really interesting because
[00:42:30.200 --> 00:42:34.720]   they're going after brands that are completely 180 from what the Walmart brand is.
[00:42:34.720 --> 00:42:35.720]   So you did the web on both.
[00:42:35.720 --> 00:42:40.720]   They bought, they bought JIT even.
[00:42:40.720 --> 00:42:41.720]   High quality brands.
[00:42:41.720 --> 00:42:46.720]   Yeah, they just started this new pilot program kind of subscription service thing for rich
[00:42:46.720 --> 00:42:49.160]   people in New York.
[00:42:49.160 --> 00:42:53.720]   The irony there is that Walmart is not allowed to operate in New York City because the city
[00:42:53.720 --> 00:42:56.720]   council and the public will not allow it.
[00:42:56.720 --> 00:42:59.880]   So they literally cannot have a store in New York City.
[00:42:59.880 --> 00:43:03.240]   So if you want to go to Walmart and you're in Manhattan, you have to go to Jersey.
[00:43:03.240 --> 00:43:05.680]   You have to go to like, you know, Long Island.
[00:43:05.680 --> 00:43:10.920]   So, but, you know, but the brand has a totally different connotation.
[00:43:10.920 --> 00:43:16.520]   I think that that's honestly probably where Amazon is the most disastrous to Walmart is
[00:43:16.520 --> 00:43:21.680]   that their brand doesn't really have any sort of, I guess, kind of value or.
[00:43:21.680 --> 00:43:22.680]   I guess.
[00:43:22.680 --> 00:43:24.360]   I've seen it as a cheap skate store.
[00:43:24.360 --> 00:43:26.720]   Yeah, but also like a dime store.
[00:43:26.720 --> 00:43:30.800]   Where everyone uses Amazon, whereas Walmart is really popular in certain pockets of the
[00:43:30.800 --> 00:43:35.800]   country, like, you know, famously, they'd really gone after the South and had always kind of
[00:43:35.800 --> 00:43:39.360]   skewed large cities because they didn't really like those markets and they didn't want the
[00:43:39.360 --> 00:43:40.360]   unions.
[00:43:40.360 --> 00:43:42.800]   They didn't want to pay the wages.
[00:43:42.800 --> 00:43:47.040]   For me, that's honestly my biggest concern with Amazon isn't so much that they become
[00:43:47.040 --> 00:43:49.280]   the company store where that's where we get everything.
[00:43:49.280 --> 00:43:53.120]   But what does this do to the wages and the labor situation of the people who work there,
[00:43:53.120 --> 00:43:54.760]   especially their contractors?
[00:43:54.760 --> 00:43:58.320]   Dwight, you were saying that you believe.
[00:43:58.320 --> 00:44:00.920]   Do you believe Walmart is putting up a good defense?
[00:44:00.920 --> 00:44:02.560]   Yes, I think so.
[00:44:02.560 --> 00:44:07.560]   And particularly, one of the things that they're trying to leverage is the whole notion of
[00:44:07.560 --> 00:44:10.480]   combining online with a physical presence.
[00:44:10.480 --> 00:44:16.640]   If you go into, you buy something online from Amazon, I mean, from Walmart, you can then
[00:44:16.640 --> 00:44:20.040]   the next day or even the same day go into the store and pick it up.
[00:44:20.040 --> 00:44:25.000]   In Houston, they've got several stores that have set up these kind of towers in the middle
[00:44:25.000 --> 00:44:29.760]   of the store and rather than going up and waiting in line to pick up your online item,
[00:44:29.760 --> 00:44:34.480]   you walk up, there's a kiosk, you put your name in and a code and the door pops open
[00:44:34.480 --> 00:44:38.320]   and there's the item that you bought online.
[00:44:38.320 --> 00:44:40.160]   So it's very frictionless.
[00:44:40.160 --> 00:44:43.400]   They're experimenting with all kinds of things.
[00:44:43.400 --> 00:44:48.920]   It's probably an uphill battle in terms of catching online commerce, mindshare.
[00:44:48.920 --> 00:44:51.640]   They are, I think they're putting up a very smart fight.
[00:44:51.640 --> 00:44:56.040]   Obviously, is it a coincidence that both Walmart and Amazon are accused of appalling labor
[00:44:56.040 --> 00:45:00.080]   practices or is that just part of the part of the business?
[00:45:00.080 --> 00:45:06.040]   Well, I think Walmart has made their, much of their money on having the cheapest price
[00:45:06.040 --> 00:45:11.880]   and that does not make people feel loyal to that brand because they'll just go where
[00:45:11.880 --> 00:45:14.640]   the cheapest price is just Walmart usually has the cheapest price.
[00:45:14.640 --> 00:45:15.640]   That's an excellent point.
[00:45:15.640 --> 00:45:21.760]   Yeah, well, what Walmart really should do is lean hard into what Amazon is not known
[00:45:21.760 --> 00:45:24.120]   for, which is their people.
[00:45:24.120 --> 00:45:27.760]   So the experience at Walmart is also bad.
[00:45:27.760 --> 00:45:31.520]   And that is something that they really should scale, making sure that when people go into
[00:45:31.520 --> 00:45:34.720]   the store, that it's a really good experience.
[00:45:34.720 --> 00:45:39.640]   Walmart's complete strategy is to drive more people into the store.
[00:45:39.640 --> 00:45:46.400]   When their online presence is to try to force people to do the order online, pick it up
[00:45:46.400 --> 00:45:47.400]   at the store.
[00:45:47.400 --> 00:45:49.880]   And when you pick up the store, they don't pick up at the front of the store.
[00:45:49.880 --> 00:45:50.880]   You have to go all the way in the back.
[00:45:50.880 --> 00:45:54.960]   So you have to walk completely through the store, then walk all the way back through the
[00:45:54.960 --> 00:46:00.720]   store on the way out so that you can, so they could pick up all those other purchases.
[00:46:00.720 --> 00:46:05.000]   So like all those impulse buys at the register, you'll want to get one of those or, oh, I
[00:46:05.000 --> 00:46:07.360]   need to get toilet paper while I'm also picking this up.
[00:46:07.360 --> 00:46:11.520]   So their whole drive is to get people to go through the store.
[00:46:11.520 --> 00:46:13.520]   And so they get those additional purchases.
[00:46:13.520 --> 00:46:15.360]   So that's interesting.
[00:46:15.360 --> 00:46:19.360]   Here in Houston, the pickup thing is right up front.
[00:46:19.360 --> 00:46:23.560]   So when you walk in, it's right there in front of you.
[00:46:23.560 --> 00:46:24.560]   Let's walk.
[00:46:24.560 --> 00:46:25.560]   Are you happy?
[00:46:25.560 --> 00:46:27.560]   We put you in a green field.
