
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:22:48.640 --> 00:22:49.640]   Yeah.
[00:22:49.640 --> 00:22:50.640]   Yeah, John brought it back for you and that was really great.
[00:22:50.640 --> 00:22:51.640]   Right.
[00:22:51.640 --> 00:22:55.320]   I saw it on, actually you had a net cam in your office at one time.
[00:22:55.320 --> 00:22:56.320]   I saw it on the wall.
[00:22:56.320 --> 00:22:57.320]   That's pretty cool.
[00:22:57.320 --> 00:23:01.360]   Well, I think it's pretty cool too.
[00:23:01.360 --> 00:23:05.080]   So you think that the days of the record companies are numbered or do you think that
[00:23:05.080 --> 00:23:06.080]   they still have a place?
[00:23:06.080 --> 00:23:10.760]   Well, they still have a place but their place is not what it used to be because they can't
[00:23:10.760 --> 00:23:16.560]   really own you as easily because artists can afford to record their own stuff now and
[00:23:16.560 --> 00:23:17.560]   distribute it.
[00:23:17.560 --> 00:23:19.560]   But they're still a place for them.
[00:23:19.560 --> 00:23:23.960]   A lot of people, I know a kid who just signed with a record label and he's got a band and
[00:23:23.960 --> 00:23:25.440]   he's going to do that.
[00:23:25.440 --> 00:23:27.200]   Did you make money off the old records?
[00:23:27.200 --> 00:23:30.800]   You know, the deals back in the 60s were really bad.
[00:23:30.800 --> 00:23:38.200]   I think it's, for my personal take on a birds album is something like 0.003 cents.
[00:23:38.200 --> 00:23:39.200]   Sounds like my book deals.
[00:23:39.200 --> 00:23:40.200]   For album, right.
[00:23:40.200 --> 00:23:42.840]   But I have to say, and I can't bash the record company.
[00:23:42.840 --> 00:23:43.840]   That's not a good book.
[00:23:43.840 --> 00:23:45.400]   The difference is Roger actually wrote the music.
[00:23:45.400 --> 00:23:50.200]   But we made subsequent deals and they've done a lot of reissues.
[00:23:50.200 --> 00:23:51.520]   So I can't bash the record companies.
[00:23:51.520 --> 00:23:52.520]   They do pay royalties.
[00:23:52.520 --> 00:23:53.520]   Subsequently.
[00:23:53.520 --> 00:23:56.560]   You get a fat ass cap check every month, don't you?
[00:23:56.560 --> 00:23:57.560]   I'm DMI.
[00:23:57.560 --> 00:23:58.560]   Camilla's ass cap.
[00:23:58.560 --> 00:24:00.560]   You just wanted to say fat ass cap.
[00:24:00.560 --> 00:24:01.560]   Don't.
[00:24:01.560 --> 00:24:02.560]   Yeah, you just like that, right?
[00:24:02.560 --> 00:24:03.560]   Yeah.
[00:24:03.560 --> 00:24:04.560]   Don't do that.
[00:24:04.560 --> 00:24:05.560]   But you do get a fat check.
[00:24:05.560 --> 00:24:06.560]   BMI, doesn't it?
[00:24:06.560 --> 00:24:07.560]   BMI is good.
[00:24:07.560 --> 00:24:08.560]   Yeah.
[00:24:08.560 --> 00:24:09.560]   BMI is good.
[00:24:09.560 --> 00:24:10.560]   Yeah.
[00:24:10.560 --> 00:24:11.560]   I've been trying to get for years trying to find what this check amount is.
[00:24:11.560 --> 00:24:12.560]   He's trying to find out what I'm worth for years.
[00:24:12.560 --> 00:24:14.840]   I've never been able to get that.
[00:24:14.840 --> 00:24:15.840]   I don't know.
[00:24:15.840 --> 00:24:19.440]   Because I think all these guys make BMI or ass cap.
[00:24:19.440 --> 00:24:22.000]   What you said, ass cap doesn't give you a royalty.
[00:24:22.000 --> 00:24:23.000]   I'm not with ass cap.
[00:24:23.000 --> 00:24:26.720]   Camilla's with ass cap and I'm with BMI and we write songs together, my wife.
[00:24:26.720 --> 00:24:27.720]   Yeah, I know.
[00:24:27.720 --> 00:24:30.720]   Sometimes she gets more than I do on the same song, which I can't figure out.
[00:24:30.720 --> 00:24:31.920]   But she comes from ass cap.
[00:24:31.920 --> 00:24:32.920]   Yeah.
[00:24:32.920 --> 00:24:33.920]   She gets more on ass cap than I get on BMI.
[00:24:33.920 --> 00:24:34.920]   That's cool.
[00:24:34.920 --> 00:24:36.920]   But we told that to BMI and then I got a big fat check from them.
[00:24:36.920 --> 00:24:37.920]   So I don't know.
[00:24:37.920 --> 00:24:39.920]   In other words, they're just making this up as they call along.
[00:24:39.920 --> 00:24:41.920]   It's like, well, give it more.
[00:24:41.920 --> 00:24:47.880]   For people out there who want to know, artists are paid based on radio play and a bunch of
[00:24:47.880 --> 00:24:49.360]   others think that radio's had played.
[00:24:49.360 --> 00:24:51.360]   But it's important to pay into artists.
[00:24:51.360 --> 00:24:53.360]   But they're all publishing rights.
[00:24:53.360 --> 00:24:57.080]   And that's kind of a big, because I once we had the...
[00:24:57.080 --> 00:24:58.080]   Frank Sinatra.
[00:24:58.080 --> 00:25:02.080]   So when you're a little different, free music guy in the radio, you are...
[00:25:02.080 --> 00:25:03.480]   Somebody's paying...
[00:25:03.480 --> 00:25:05.600]   The money gets split out.
[00:25:05.600 --> 00:25:06.600]   But not to the performer.
[00:25:06.600 --> 00:25:07.600]   The serious way.
[00:25:07.600 --> 00:25:08.600]   Not to the performer.
[00:25:08.600 --> 00:25:09.600]   That's mysterious.
[00:25:09.600 --> 00:25:10.920]   That's why I've been trying to get this number for him.
[00:25:10.920 --> 00:25:11.920]   Oh, yeah, that's why.
[00:25:11.920 --> 00:25:12.920]   No, it is why.
[00:25:12.920 --> 00:25:13.920]   I don't...
[00:25:13.920 --> 00:25:15.400]   So Frank Sinatra never made any royalty.
[00:25:15.400 --> 00:25:19.720]   Well, all his life, he tried to get performance royalties and he never pulled it off.
[00:25:19.720 --> 00:25:20.720]   No kidding.
[00:25:20.720 --> 00:25:21.720]   That's kind of something.
[00:25:21.720 --> 00:25:23.200]   I'm sure he made money, but he didn't make it that way.
[00:25:23.200 --> 00:25:27.840]   I remember we had the captain of the captain at Zneel on the screensavers once.
[00:25:27.840 --> 00:25:30.040]   That was the best we could aspire to now that we've met you.
[00:25:30.040 --> 00:25:31.560]   I think we don't have to go that way.
[00:25:31.560 --> 00:25:33.480]   But I asked him...
[00:25:33.480 --> 00:25:36.560]   I asked him, "Well, you mind people stealing your music?
[00:25:36.560 --> 00:25:37.560]   I couldn't care less.
[00:25:37.560 --> 00:25:39.200]   Neil Sedaka gets all the money anyway, right?
[00:25:39.200 --> 00:25:40.200]   So it doesn't cost...
[00:25:40.200 --> 00:25:41.200]   Yeah, Gerald Dragon, right.
[00:25:41.200 --> 00:25:42.200]   Gerald Dragon.
[00:25:42.200 --> 00:25:43.200]   You know, he's a producer now.
[00:25:43.200 --> 00:25:44.200]   Yeah, yeah.
[00:25:44.200 --> 00:25:45.200]   Yeah, so that's the thing.
[00:25:45.200 --> 00:25:46.920]   I went to the Senate and they asked me about MP3s.
[00:25:46.920 --> 00:25:49.560]   It was the Senate Judiciary Committee.
[00:25:49.560 --> 00:25:50.840]   They said, "Is there an upside to downloading?"
[00:25:50.840 --> 00:25:53.760]   I said, "Downloading is not bad for artists.
[00:25:53.760 --> 00:25:54.760]   It's bad for record companies.
[00:25:54.760 --> 00:25:56.760]   You know, they have no problem with it."
[00:25:56.760 --> 00:25:58.640]   But they tried to pass the whole thing.
[00:25:58.640 --> 00:26:00.640]   They tried to make it look like you're hurting the artists.
[00:26:00.640 --> 00:26:01.920]   Yeah, that's what bugged me.
[00:26:01.920 --> 00:26:04.480]   They were saying the poor artist isn't getting the royalties.
[00:26:04.480 --> 00:26:05.640]   They were never getting the royalties.
[00:26:05.640 --> 00:26:06.640]   So it was about...
[00:26:06.640 --> 00:26:08.880]   I couldn't be screw the artist if you screw them.
[00:26:08.880 --> 00:26:09.880]   Yeah, right.
[00:26:09.880 --> 00:26:10.880]   We're busy screwing the artist.
[00:26:10.880 --> 00:26:13.040]   Stop getting in their way.
[00:26:13.040 --> 00:26:14.040]   Would you tell people who...
[00:26:14.040 --> 00:26:18.560]   I mean, there are a lot of people listening who download music that they shouldn't download
[00:26:18.560 --> 00:26:19.560]   from illegal...
[00:26:19.560 --> 00:26:25.880]   Well, you know, I took that side and I got sued by somebody for, you know, like saying that,
[00:26:25.880 --> 00:26:27.040]   like it's called to download.
[00:26:27.040 --> 00:26:28.800]   So I really, you know, have to be careful.
[00:26:28.800 --> 00:26:29.800]   Let's not say anything.
[00:26:29.800 --> 00:26:31.240]   Yeah, we don't want to get sued.
[00:26:31.240 --> 00:26:33.400]   But personally, it doesn't hurt me.
[00:26:33.400 --> 00:26:34.400]   Right.
[00:26:34.400 --> 00:26:35.400]   Yeah.
[00:26:35.400 --> 00:26:36.400]   Or Darryl Dragon.
[00:26:36.400 --> 00:26:37.400]   Yeah.
[00:26:37.400 --> 00:26:38.400]   Yeah.
[00:26:38.400 --> 00:26:39.400]   So there's two.
[00:26:39.400 --> 00:26:40.400]   But there's a lot of people like Janice and who have been very outspoken.
[00:26:40.400 --> 00:26:41.400]   She's on the side of that.
[00:26:41.400 --> 00:26:42.400]   Yeah.
[00:26:42.400 --> 00:26:43.400]   And quite a few other artists.
[00:26:43.400 --> 00:26:44.400]   Yeah.
[00:26:44.400 --> 00:26:46.360]   Well, sitting next to me was Lars from...
[00:26:46.360 --> 00:26:47.360]   Lars Ulrich.
[00:26:47.360 --> 00:26:48.360]   Yeah, from his other side.
[00:26:48.360 --> 00:26:49.360]   I came to someone the other side.
[00:26:49.360 --> 00:26:50.360]   I don't think he got it.
[00:26:50.360 --> 00:26:51.360]   I just don't think he got it.
[00:26:51.360 --> 00:26:52.360]   I agree with that.
[00:26:52.360 --> 00:26:53.360]   I don't think he did either.
[00:26:53.360 --> 00:26:54.360]   Yeah.
[00:26:54.360 --> 00:26:56.360]   And the other thing is, you know, these guys still can't face the reality that during
[00:26:56.360 --> 00:27:00.680]   the heyday of Napster, the record sales were actually increasing because I still believe
[00:27:00.680 --> 00:27:01.680]   to this...
[00:27:01.680 --> 00:27:04.600]   I'll never not believe this because I've seen it happen to me.
[00:27:04.600 --> 00:27:08.200]   When you were on Napster, you could see you'd find some guy who had a song that you wanted
[00:27:08.200 --> 00:27:12.280]   and then you'd check out his collection and you'd see he has your taste and then you'd
[00:27:12.280 --> 00:27:13.640]   see, "What's this?
[00:27:13.640 --> 00:27:15.120]   I've never heard of this group."
[00:27:15.120 --> 00:27:17.480]   You'd check it out and you'd say, "Wow, these guys are great."
[00:27:17.480 --> 00:27:24.680]   And you'd go buy the album or my wife, for example, never doesn't buy CDs.
[00:27:24.680 --> 00:27:28.880]   And then it seems to me that the latest thing they want to do is kill off iTunes by...
[00:27:28.880 --> 00:27:32.400]   These guys are now dicking with Apple to tell them, "Well, maybe you have a variable
[00:27:32.400 --> 00:27:33.400]   rate structure.
[00:27:33.400 --> 00:27:35.080]   Let's charge a buck and a half.
[00:27:35.080 --> 00:27:36.920]   Some of the newer songs should be more expensive.
[00:27:36.920 --> 00:27:40.120]   I'm thinking the newer songs should be more than the old songs should be more expensive.
[00:27:40.120 --> 00:27:42.080]   The new song they should be pushing them out there.
[00:27:42.080 --> 00:27:46.400]   Yeah, actually, I don't mind if they charge a buck 50 for Britney Spears as long as I
[00:27:46.400 --> 00:27:47.400]   can get...
[00:27:47.400 --> 00:27:48.400]   Seriously, as long as I can get...
[00:27:48.400 --> 00:27:49.400]   And that actually makes...
[00:27:49.400 --> 00:27:50.960]   Maybe that structure does make some sense.
[00:27:50.960 --> 00:27:51.960]   It makes no sense.
[00:27:51.960 --> 00:27:54.000]   Well, if it makes sense for this record company, let them have it.
[00:27:54.000 --> 00:27:56.440]   It's not making screw Apple out of this lucrative...
[00:27:56.440 --> 00:28:00.560]   But if I can buy the temptations for 30 cents a record, I don't care that I can't buy
[00:28:00.560 --> 00:28:01.560]   Britney Spears for a buck...
[00:28:01.560 --> 00:28:03.520]   It'll cost me a buck 50.
[00:28:03.520 --> 00:28:07.560]   Do you buy that Apple iTunes is losing money on selling music?
[00:28:07.560 --> 00:28:08.560]   There's a lot of...
[00:28:08.560 --> 00:28:09.560]   Actually, there's a lot of analysts.
[00:28:09.560 --> 00:28:10.800]   You know why I buy it?
[00:28:10.800 --> 00:28:15.400]   And actually, I won't say where I got this from, but it's somebody we know.
[00:28:15.400 --> 00:28:19.280]   The problem that people don't think about is, yeah, they get the 60/30 split, right?
[00:28:19.280 --> 00:28:20.280]   But it's not even that.
[00:28:20.280 --> 00:28:21.280]   The bandwidth.
[00:28:21.280 --> 00:28:24.840]   They pay a lot of money to Akamai for the download bandwidth.
[00:28:24.840 --> 00:28:28.040]   There's a hidden cause that nobody takes into account.
[00:28:28.040 --> 00:28:29.520]   Right, right.
[00:28:29.520 --> 00:28:34.160]   I just did a call for PC Magazine, I should mention, where I discussed this Apple iTunes
[00:28:34.160 --> 00:28:36.080]   RIAA issue.
[00:28:36.080 --> 00:28:40.920]   And I believe that the RIAA started to screw with Apple, not because of the money or anything
[00:28:40.920 --> 00:28:41.920]   else.
[00:28:41.920 --> 00:28:45.240]   I think it has to do with the fact that all of a sudden, because when they began iTunes,
[00:28:45.240 --> 00:28:46.240]   it was like, "Oh, there's a lark.
[00:28:46.240 --> 00:28:49.040]   All Apple's going to sell stuff on who cares?"
[00:28:49.040 --> 00:28:51.560]   And there's nothing else we'll get a check in the mail.
[00:28:51.560 --> 00:28:53.480]   Then they started to realize that, "Hey, wait a minute.
[00:28:53.480 --> 00:28:56.880]   There's an awful lot of songs going through this Apple system.
[00:28:56.880 --> 00:29:02.840]   And now we have a third party that we don't control accounting for numbers.
[00:29:02.840 --> 00:29:06.800]   They can bring out numbers and say, "Well, this is a group sold this many."
[00:29:06.800 --> 00:29:07.800]   Oh, interesting.
[00:29:07.800 --> 00:29:08.800]   So that many.
[00:29:08.800 --> 00:29:12.160]   And meanwhile, the groups are getting screwed out of their royalties by these crazy bookkeeping
[00:29:12.160 --> 00:29:16.160]   schemes that both publishing companies and record companies employ to make it look like
[00:29:16.160 --> 00:29:17.160]   you're not making any money.
[00:29:17.160 --> 00:29:18.160]   Yeah, they got some tricks.
[00:29:18.160 --> 00:29:19.760]   They got all kinds of cool tricks.
[00:29:19.760 --> 00:29:24.120]   But now with third parties with independent numbers that can be just kicked out of a
[00:29:24.120 --> 00:29:27.080]   computer like that, their record companies are going, "Oh my God, we're going to be
[00:29:27.080 --> 00:29:28.400]   found out.
[00:29:28.400 --> 00:29:30.480]   We've got to kill this now."
[00:29:30.480 --> 00:29:34.880]   Didn't Sony just get busted for Paola, like a month ago?
[00:29:34.880 --> 00:29:36.040]   Oh, they got the old scumies.
[00:29:36.040 --> 00:29:37.040]   Yeah.
[00:29:37.040 --> 00:29:38.040]   Yeah, there was a big process.
[00:29:38.040 --> 00:29:40.640]   But they say that hasn't happened since the '50s.
[00:29:40.640 --> 00:29:41.640]   Apparently it's happening.
[00:29:41.640 --> 00:29:42.640]   Yeah, it's probably happened.
[00:29:42.640 --> 00:29:45.240]   They haven't been busted since the '50s.
[00:29:45.240 --> 00:29:46.240]   Yeah.
[00:29:46.240 --> 00:29:48.240]   Big record companies come to me all the time saying, "Would you play our songs on Twitter?"
[00:29:48.240 --> 00:29:52.120]   But I always say, "No, not one, not yet anyway."
[00:29:52.120 --> 00:29:55.800]   You guys have any other stories you're excited about?
[00:29:55.800 --> 00:29:57.400]   All the old guys are on this side of the table.
[00:29:57.400 --> 00:29:58.400]   We should talk to young guys.
[00:29:58.400 --> 00:30:02.360]   Yeah, sitting here in the Apple store, apparently a couple of days ago, I wasn't privy to a
[00:30:02.360 --> 00:30:05.640]   couple of days ago, you could buy a Mac Mini and try it out for about half a day.
[00:30:05.640 --> 00:30:06.640]   What happened to that?
[00:30:06.640 --> 00:30:11.600]   The one day Mac Mini test drive, they pulled out the plug in 24 hours.
[00:30:11.600 --> 00:30:15.240]   Is it because too many people were doing it or because they were worried that I'm guessing
[00:30:15.240 --> 00:30:16.440]   it's because too many people were doing it?
[00:30:16.440 --> 00:30:17.440]   That's what I was thinking.
[00:30:17.440 --> 00:30:20.240]   And maybe they couldn't keep up or is it because they're not-
[00:30:20.240 --> 00:30:24.760]   No, I customarily say, "Come in, I get this, I come in, all the Mac Mini's have been
[00:30:24.760 --> 00:30:25.760]   coming for.
[00:30:25.760 --> 00:30:26.760]   They're all gone."
[00:30:26.760 --> 00:30:30.800]   I'd be annoyed and maybe they might lose a sale or something.
[00:30:30.800 --> 00:30:31.800]   I could see where you have to go.
[00:30:31.800 --> 00:30:32.800]   Well, raise this a couple of questions.
[00:30:32.800 --> 00:30:33.800]   First of all, why they did it?
[00:30:33.800 --> 00:30:37.720]   Are Mini sales slowing down and they feel like they needed a problem?
[00:30:37.720 --> 00:30:38.720]   Or what?
[00:30:38.720 --> 00:30:41.040]   Well, first, why did they think of the idea?
[00:30:41.040 --> 00:30:44.480]   I think there's a lot of people that are sitting there, they have the extra money.
[00:30:44.480 --> 00:30:46.400]   They're not sure if they quite want to buy it.
[00:30:46.400 --> 00:30:48.000]   When you throw out the 30-day return, why not?
[00:30:48.000 --> 00:30:50.960]   It's a good promotion because how many people are ever going to return?
[00:30:50.960 --> 00:30:51.960]   Nobody returns to the same.
[00:30:51.960 --> 00:30:52.960]   It's a cool box.
[00:30:52.960 --> 00:30:53.960]   It's really cool.
[00:30:53.960 --> 00:30:55.600]   It's a sensible promotion.
[00:30:55.600 --> 00:30:56.600]   People have been doing this for years.
[00:30:56.600 --> 00:30:58.160]   You have free money back guarantee.
[00:30:58.160 --> 00:31:00.560]   Nobody ever takes a money back guarantee.
[00:31:00.560 --> 00:31:02.760]   So it just gives you the security, "Well, I'll buy it."
[00:31:02.760 --> 00:31:04.440]   If I don't like it, at least I can always take it back.
[00:31:04.440 --> 00:31:05.920]   Very few people, I'm sure do.
[00:31:05.920 --> 00:31:07.960]   Do you think it was too soon to have abuse?
[00:31:07.960 --> 00:31:09.200]   It couldn't have been that somebody was abusing.
[00:31:09.200 --> 00:31:10.200]   It was only 24 hours.
[00:31:10.200 --> 00:31:11.200]   It got dug.
[00:31:11.200 --> 00:31:12.200]   It got dug.
[00:31:12.200 --> 00:31:13.200]   That's what happened.
[00:31:13.200 --> 00:31:15.840]   AJ says it got dug.
[00:31:15.840 --> 00:31:16.840]   It did get dug.
[00:31:16.840 --> 00:31:17.840]   Yeah, it was on the homepage.
[00:31:17.840 --> 00:31:18.840]   A lot of people were buying them.
[00:31:18.840 --> 00:31:19.840]   Do you think so?
[00:31:19.840 --> 00:31:22.960]   Well, I mean, not all from dig, but there was definitely a lot of interest I saw.
[00:31:22.960 --> 00:31:24.920]   It was picked up all over the place, all these different blogs.
[00:31:24.920 --> 00:31:26.760]   I mean, a ton of people were hitting that site.
[00:31:26.760 --> 00:31:28.840]   I'm sure buying the minis.
[00:31:28.840 --> 00:31:30.400]   It's not going to be a closeout item though, is it?
[00:31:30.400 --> 00:31:31.400]   Yeah.
[00:31:31.400 --> 00:31:33.360]   Where they're just trying to get rid of them for a new item that's going to go under.
[00:31:33.360 --> 00:31:34.360]   Well, I wonder.
[00:31:34.360 --> 00:31:37.760]   Well, look, they said they were going to have the Intel minis.
[00:31:37.760 --> 00:31:42.160]   It would be the first, and they would have them by mid-2006.
[00:31:42.160 --> 00:31:47.320]   My prediction is they'll have it by January for Macworld Expo and surprise everybody, right?
[00:31:47.320 --> 00:31:48.880]   Is that going to be 64-bit?
[00:31:48.880 --> 00:31:49.880]   Well, that's the problem.
[00:31:49.880 --> 00:31:50.880]   It's 32-bit.
[00:31:50.880 --> 00:31:54.320]   They're moving backwards, but not that anybody needed 64-bit particularly, but...
[00:31:54.320 --> 00:31:56.680]   Yeah, should be a centrino processor on that.
[00:31:56.680 --> 00:31:58.200]   That would be a good choice for that, wouldn't it?
[00:31:58.200 --> 00:31:59.200]   It's a low-power centrino.
[00:31:59.200 --> 00:32:01.560]   Yeah, because it's very low heat.
[00:32:01.560 --> 00:32:03.480]   Is that a choice for them?
[00:32:03.480 --> 00:32:04.480]   They don't need the Yona.
[00:32:04.480 --> 00:32:05.480]   They don't need anything more.
[00:32:05.480 --> 00:32:06.480]   Well, they weren't.
[00:32:06.480 --> 00:32:07.480]   No.
[00:32:07.480 --> 00:32:08.480]   Not Celeron, centrino.
[00:32:08.480 --> 00:32:09.480]   No, centrino.
[00:32:09.480 --> 00:32:10.480]   That's a life-fight.
[00:32:10.480 --> 00:32:11.480]   Yeah, that's why it backed it.
[00:32:11.480 --> 00:32:15.560]   No, they got a cut and just a closed deal with Broadcom.
[00:32:15.560 --> 00:32:16.960]   They're not going to switch to it.
[00:32:16.960 --> 00:32:17.960]   Yeah, yeah, yeah, yeah.
[00:32:17.960 --> 00:32:18.960]   It wouldn't be centrino.
[00:32:18.960 --> 00:32:19.960]   You're right.
[00:32:19.960 --> 00:32:20.960]   It would be a Celeron.
[00:32:20.960 --> 00:32:21.960]   It would be a penny a month.
[00:32:21.960 --> 00:32:22.960]   It would be a penny a month.
[00:32:22.960 --> 00:32:23.960]   Yeah.
[00:32:23.960 --> 00:32:24.960]   Yeah.
[00:32:24.960 --> 00:32:25.960]   Well, that would be a good product.
[00:32:25.960 --> 00:32:26.960]   I would buy that.
[00:32:26.960 --> 00:32:27.960]   Sure.
[00:32:27.960 --> 00:32:28.960]   So you think that that's what happened?
[00:32:28.960 --> 00:32:29.960]   Well, no, because they want to get these...
[00:32:29.960 --> 00:32:30.960]   Maybe they cleared them all out already.
[00:32:30.960 --> 00:32:31.960]   Yeah, maybe they're done.
[00:32:31.960 --> 00:32:32.960]   Maybe they're done?
[00:32:32.960 --> 00:32:33.960]   Maybe they're done.
[00:32:33.960 --> 00:32:35.960]   I think they've got McMendys.
[00:32:35.960 --> 00:32:36.960]   Okay, someone run downstairs.
[00:32:36.960 --> 00:32:38.160]   Bring us all the McMendys.
[00:32:38.160 --> 00:32:40.400]   Are you out of back minis downstairs?
[00:32:40.400 --> 00:32:41.440]   They've got McMendys down here.
[00:32:41.440 --> 00:32:44.280]   So I guess that throws that one at the door.
[00:32:44.280 --> 00:32:47.320]   Well, they're going to know in 30 days what percentage of the people that decided to do
[00:32:47.320 --> 00:32:49.120]   the trial were they got it at the front.
[00:32:49.120 --> 00:32:50.120]   No, but he returns those.
[00:32:50.120 --> 00:32:51.120]   How many?
[00:32:51.120 --> 00:32:52.120]   I mean, that's the best majority of them.
[00:32:52.120 --> 00:32:54.960]   You think the only time people return them is where they go to Best Buy and they buy a
[00:32:54.960 --> 00:32:55.960]   product and they...
[00:32:55.960 --> 00:32:59.080]   You know, it's like I used to know somebody who would buy shoes at Nordstrom and then
[00:32:59.080 --> 00:33:02.120]   she'd tape the bottom of them so they wouldn't get dirty and then bring them back after the
[00:33:02.120 --> 00:33:04.120]   prom the next day.
[00:33:04.120 --> 00:33:05.600]   I mean, there are people who do that with Best Buy, right?
[00:33:05.600 --> 00:33:06.600]   They buy a product.
[00:33:06.600 --> 00:33:07.600]   I do that.
[00:33:07.600 --> 00:33:11.000]   Buy a DV camera and shoot the wedding and bring it back.
[00:33:11.000 --> 00:33:13.240]   Yeah, there are a lot of TVs that are right before the Super Bowl.
[00:33:13.240 --> 00:33:14.240]   It works.
[00:33:14.240 --> 00:33:15.240]   Why not return right now?
[00:33:15.240 --> 00:33:16.240]   But nobody would do that with a mini.
[00:33:16.240 --> 00:33:18.880]   I mean, there's no reason you need a mini for, you know, a couple of weeks.
[00:33:18.880 --> 00:33:21.400]   So it sounds like a good way to sell McMendys then.
[00:33:21.400 --> 00:33:22.400]   Well, that's what I'm thinking.
[00:33:22.400 --> 00:33:23.400]   I think it's a good promotion.
[00:33:23.400 --> 00:33:24.400]   So why'd they kill it?
[00:33:24.400 --> 00:33:26.400]   Tell us what the most affordable Mac there is.
[00:33:26.400 --> 00:33:28.600]   So you're given a really easy way to try it out.
[00:33:28.600 --> 00:33:29.600]   That'll make sense.
[00:33:29.600 --> 00:33:33.160]   For promotion, but the reason they probably killed it was just simply to a line of man.
[00:33:33.160 --> 00:33:37.120]   And like John mentioned, just simply having irate customers show up and look at the deal
[00:33:37.120 --> 00:33:38.120]   and it's not there.
[00:33:38.120 --> 00:33:39.480]   But, no, of course you get it here.
[00:33:39.480 --> 00:33:40.480]   It's kind of a weird thing.
[00:33:40.480 --> 00:33:44.360]   You don't expect a big retailer like Apple to do something like that.
[00:33:44.360 --> 00:33:46.520]   Maybe Steve didn't sign off before it went live.
[00:33:46.520 --> 00:33:50.520]   I keep expecting Steve to show up, you know, like he's going to kind of say what are you
[00:33:50.520 --> 00:33:51.520]   doing here.
[00:33:51.520 --> 00:33:53.280]   Oh, just peeked around the corner.
[00:33:53.280 --> 00:33:55.680]   Oh my God, there's media.
[00:33:55.680 --> 00:33:56.680]   All right.
[00:33:56.680 --> 00:33:57.680]   Well, that's it.
[00:33:57.680 --> 00:33:58.680]   Okay.
[00:33:58.680 --> 00:34:00.480]   So, I'm going to talk about the issues you guys are.
[00:34:00.480 --> 00:34:03.240]   Text America has a couple of really cool sites about Katrina.
[00:34:03.240 --> 00:34:05.560]   Let's talk about Katrina a little bit.
[00:34:05.560 --> 00:34:06.560]   Yeah.
[00:34:06.560 --> 00:34:09.840]   They came out with safecutrina.com and missingcutrina.com on Text America.
[00:34:09.840 --> 00:34:14.320]   And they actually have people down there taking pictures with cell phones and uploading them.
[00:34:14.320 --> 00:34:15.880]   They actually go to where there's internet connectivity.
[00:34:15.880 --> 00:34:19.640]   I went right away to Text America because I thought there'll be a lot of pictures, but
[00:34:19.640 --> 00:34:21.040]   then I realized there's no cell signals.
[00:34:21.040 --> 00:34:22.040]   How are they getting these signals?
[00:34:22.040 --> 00:34:25.800]   Well, they have actually, I talked to Chris who's the founder of Text America today.
[00:34:25.800 --> 00:34:29.680]   And he said that they have 400 pictures that they've taken of people that are safe and
[00:34:29.680 --> 00:34:30.680]   they're going to be posting them.
[00:34:30.680 --> 00:34:33.600]   They're actually driving to where there's internet connectivity in the network in the
[00:34:33.600 --> 00:34:34.600]   pictures.
[00:34:34.600 --> 00:34:38.160]   Team Mobile has offered free Wi-Fi if you can get, but there's no power.
[00:34:38.160 --> 00:34:40.720]   They're saying now two months before the powers are stored in New Orleans.
[00:34:40.720 --> 00:34:41.720]   Two months.
[00:34:41.720 --> 00:34:42.720]   Yeah.
[00:34:42.720 --> 00:34:43.720]   80 days before it's pumped out.
[00:34:43.720 --> 00:34:47.160]   And who was the person who sent out the press release about Wi-Max being a way to save
[00:34:47.160 --> 00:34:48.160]   people?
[00:34:48.160 --> 00:34:49.160]   Somebody did that.
[00:34:49.160 --> 00:34:50.800]   Well, somebody sent out a new start.
[00:34:50.800 --> 00:34:51.800]   We could go and get you a signal.
[00:34:51.800 --> 00:34:54.680]   If there was Wi-Max people would have internet in New Orleans.
[00:34:54.680 --> 00:34:56.560]   At least those who haven't lost their battery yet.
[00:34:56.560 --> 00:34:57.560]   Well, yeah.
[00:34:57.560 --> 00:35:02.480]   And that's like the person who's saying Wi-Max is going to make internet all across Africa.
[00:35:02.480 --> 00:35:04.600]   And it's like, well, we need electricity first in computers.
[00:35:04.600 --> 00:35:05.600]   More amsters.
[00:35:05.600 --> 00:35:06.600]   Yeah.
[00:35:06.600 --> 00:35:07.600]   And for some reason.
[00:35:07.600 --> 00:35:08.600]   Yeah.
[00:35:08.600 --> 00:35:14.120]   So I know we have a lot of listeners, by the way, in that area, in the whole Gulf area.
[00:35:14.120 --> 00:35:17.840]   And so we, our prayers and thoughts go out to you if you're listening at all.
[00:35:17.840 --> 00:35:21.600]   I mean, tons of people listening down there.
[00:35:21.600 --> 00:35:24.200]   It was really kind of neat to see how quickly the net responded.
[00:35:24.200 --> 00:35:25.480]   I was looking at the Red Cross page.
[00:35:25.480 --> 00:35:27.440]   Every time you went back, it'd be another $5 million.
[00:35:27.440 --> 00:35:29.200]   They're well- L - Yeah, they're getting a lot of money.
[00:35:29.200 --> 00:35:31.440]   But, you know, FEMA wouldn't even let them into New Orleans.
[00:35:31.440 --> 00:35:32.440]   That's what I heard.
[00:35:32.440 --> 00:35:33.440]   Now, what's the story there?
