
[00:00:00.000 --> 00:00:02.640]   (whistling)
[00:13:33.500 --> 00:13:36.580]   - Yeah, everyone's wanted to grow
[00:13:36.580 --> 00:13:38.660]   and because I happen to be plugging in the network
[00:13:38.660 --> 00:13:39.820]   because of some recent--
[00:13:39.820 --> 00:13:40.660]   - No, I think it's--
[00:13:40.660 --> 00:13:42.740]   - Prager and I can't get on the wireless.
[00:13:42.740 --> 00:13:45.260]   - That sharing of copyrighted material
[00:13:45.260 --> 00:13:47.620]   or peer to peer or similar style networks in France
[00:13:47.620 --> 00:13:49.060]   is not considered a crime.
[00:13:49.060 --> 00:13:52.780]   Or rather, it's a bill, it's not.
[00:13:52.780 --> 00:13:54.100]   - Okay, so what does it--
[00:13:54.100 --> 00:13:55.180]   - So let's take a step back.
[00:13:55.180 --> 00:13:57.300]   On March 16th, this is a business week
[00:13:57.300 --> 00:13:58.140]   and article about this.
[00:13:58.140 --> 00:14:01.500]   France's National Assembly is expected to vote
[00:14:01.500 --> 00:14:03.780]   on legislation known as the author of rights laws
[00:14:03.780 --> 00:14:05.660]   amongst its many provisions.
[00:14:05.660 --> 00:14:07.180]   The bill calls for lightning the punishment
[00:14:07.180 --> 00:14:09.980]   on unauthorized downloads of copyrighted music
[00:14:09.980 --> 00:14:14.980]   and which is kind of interesting is offenders would go,
[00:14:14.980 --> 00:14:19.820]   the fines would drop from $300,000 to 38 euros
[00:14:19.820 --> 00:14:21.300]   which is less than $50.
[00:14:21.300 --> 00:14:22.140]   - Well, that's about right.
[00:14:22.140 --> 00:14:23.820]   - And the legal sharing would be like a traffic ticket.
[00:14:23.820 --> 00:14:26.580]   150 euros or about $180.
[00:14:26.580 --> 00:14:27.420]   - Well, that's kind of high.
[00:14:27.420 --> 00:14:28.620]   I think it should be like a traffic ticket.
[00:14:28.620 --> 00:14:29.540]   What's wrong with that?
[00:14:29.540 --> 00:14:31.740]   - Well, what's interesting is what if the other thing
[00:14:31.740 --> 00:14:35.100]   is the legislation of past would also require vendors
[00:14:35.100 --> 00:14:39.860]   to make their music compatible with all media players.
[00:14:39.860 --> 00:14:41.660]   So that means everybody.
[00:14:41.660 --> 00:14:43.580]   - So that means all of a sudden you could download
[00:14:43.580 --> 00:14:44.940]   the Beatles on the iTunes music.
[00:14:44.940 --> 00:14:46.660]   - Well, I mean, this is like--
[00:14:46.660 --> 00:14:47.780]   - Well, I think they're saying
[00:14:47.780 --> 00:14:49.700]   that you couldn't do a vertical integration
[00:14:49.700 --> 00:14:52.660]   where you own the software and the delivery as well.
[00:14:52.660 --> 00:14:56.020]   - It also means you'd have to be able to play WMV on iPods.
[00:14:56.020 --> 00:14:56.860]   You know what I mean?
[00:14:56.860 --> 00:14:58.220]   So that wouldn't go both ways.
[00:14:58.220 --> 00:14:59.380]   There's no way to restrict it
[00:14:59.380 --> 00:15:03.300]   or it would kill off all DRM on audio inside of France.
[00:15:03.300 --> 00:15:05.900]   - Well, I mean, it just, I think the whole thing is,
[00:15:05.900 --> 00:15:07.220]   I mean, Apple, Apple's not,
[00:15:07.220 --> 00:15:09.100]   I'm sure not even thinking about it.
[00:15:09.100 --> 00:15:10.660]   I mean, it doesn't-- - Because it's France?
[00:15:10.660 --> 00:15:12.740]   - No, it's not Apple, it's Apple.
[00:15:12.740 --> 00:15:14.460]   It's Microsoft, it's everybody else.
[00:15:14.460 --> 00:15:17.660]   - And if they have to open that up,
[00:15:17.660 --> 00:15:19.180]   the French market isn't big enough for them
[00:15:19.180 --> 00:15:21.980]   to change their entire business model for.
[00:15:21.980 --> 00:15:23.660]   - So the cafeteria and Cupertino,
[00:15:23.660 --> 00:15:25.140]   they're serving freedom fries?
[00:15:25.140 --> 00:15:25.980]   - No, I don't think they--
[00:15:25.980 --> 00:15:26.820]   - No, they didn't even bother.
[00:15:26.820 --> 00:15:28.180]   - I don't think, I don't think they're even upset about it.
[00:15:28.180 --> 00:15:29.460]   - They did take free stuff for me.
[00:15:29.460 --> 00:15:32.300]   (laughing)
[00:15:32.300 --> 00:15:33.140]   - Oh, by the way.
[00:15:33.140 --> 00:15:33.980]   - It's more dope.
[00:15:33.980 --> 00:15:37.620]   - Just to zigzag back to the ad revenue,
[00:15:37.620 --> 00:15:39.300]   it's per show, not per commercial.
[00:15:39.300 --> 00:15:41.860]   So you're talking about 30 commercials going across.
[00:15:41.860 --> 00:15:44.220]   - Oh, okay.
[00:15:44.220 --> 00:15:45.060]   That's how that goes.
[00:15:45.060 --> 00:15:46.660]   - Well, let's see, yeah, you'd have--
[00:15:46.660 --> 00:15:47.500]   - Then it's then you're talking about a penny.
[00:15:47.500 --> 00:15:50.660]   - Today's TV is 40 minutes of show
[00:15:50.660 --> 00:15:51.820]   and 20 minutes of commercial
[00:15:51.820 --> 00:15:53.500]   and each one is going to be--
[00:15:53.500 --> 00:15:56.340]   - 40, that's 40 penny a--
[00:15:56.340 --> 00:15:57.780]   - 40 penny a--
[00:15:57.780 --> 00:15:59.460]   - Right, right.
[00:15:59.460 --> 00:16:00.620]   - More or less, yeah.
[00:16:00.620 --> 00:16:01.460]   - So that's the--
[00:16:01.460 --> 00:16:02.300]   - Yeah, okay.
[00:16:02.300 --> 00:16:03.660]   - 'Cause there's 40 ads.
[00:16:03.660 --> 00:16:04.500]   - Right.
[00:16:04.500 --> 00:16:06.220]   - Or 40, 30 second ads.
[00:16:06.220 --> 00:16:08.300]   Of course, some of those are house ads and whatever.
[00:16:08.300 --> 00:16:10.460]   - Uh-huh.
[00:16:10.460 --> 00:16:12.620]   So you were just sitting there grinding away on this.
[00:16:12.620 --> 00:16:13.780]   - I was, I couldn't help it.
[00:16:13.780 --> 00:16:16.220]   - You know, I was not gonna let the Vorek win.
[00:16:16.220 --> 00:16:19.060]   - No, I just, I knew that the math was wrong.
[00:16:19.060 --> 00:16:20.340]   I had to figure it out.
[00:16:20.340 --> 00:16:21.860]   - That was not okay, whatever works.
[00:16:21.860 --> 00:16:23.260]   - But was the source again?
[00:16:23.260 --> 00:16:25.620]   - No, I just did it in my head.
[00:16:25.620 --> 00:16:26.700]   - I didn't look anywhere.
[00:16:26.700 --> 00:16:27.860]   - Vorek was like, why is that?
[00:16:27.860 --> 00:16:29.140]   - I was not happy on this show.
[00:16:29.140 --> 00:16:30.540]   - So, yeah.
[00:16:30.540 --> 00:16:31.740]   - So okay, here's my favorite one.
[00:16:31.740 --> 00:16:33.660]   This is my favorite story by the way.
[00:16:33.660 --> 00:16:36.700]   Sights ooze Google over search rankings.
[00:16:36.700 --> 00:16:37.540]   - Oh, the--
[00:16:37.540 --> 00:16:39.020]   - KinderQuest.
[00:16:39.020 --> 00:16:40.460]   - Can you imagine?
[00:16:40.460 --> 00:16:41.340]   - Over search rankings?
[00:16:41.340 --> 00:16:42.460]   - Well, they're saying they downgraded.
[00:16:42.460 --> 00:16:44.260]   - Oh yeah, this is a great story.
[00:16:44.260 --> 00:16:46.780]   This company, what is the name of them?
[00:16:46.780 --> 00:16:47.940]   - KinderQuest.
[00:16:47.940 --> 00:16:49.420]   - KinderStart.com.
[00:16:49.420 --> 00:16:50.260]   - Sorry.
[00:16:50.260 --> 00:16:51.100]   - According to CNN.
[00:16:51.100 --> 00:16:53.540]   KinderStart.com seeks financial damages
[00:16:53.540 --> 00:16:56.100]   along with information on how Google ranks internet sites.
[00:16:56.100 --> 00:16:59.420]   They apparently, they went down in ranking way down
[00:16:59.420 --> 00:17:02.020]   and now they blame Google for lost revenue.
[00:17:02.020 --> 00:17:03.060]   - Yeah, they said--
[00:17:03.060 --> 00:17:04.420]   - And they sued him.
[00:17:04.420 --> 00:17:07.540]   - They said that they, a cataclysmic 70% fall
[00:17:07.540 --> 00:17:10.900]   in its audience resulting in 80% decline in revenue.
[00:17:10.900 --> 00:17:12.660]   - But this, by the way, is the top story
[00:17:12.660 --> 00:17:16.900]   in the davorek.org/blog blog right now as we speak.
[00:17:16.900 --> 00:17:17.740]   In case you're--
[00:17:17.740 --> 00:17:18.580]   - So the worst part is I didn't even know
[00:17:18.580 --> 00:17:20.140]   Google ranked anything.
[00:17:20.140 --> 00:17:21.140]   I mean, I'm sure it does, but I mean,
[00:17:21.140 --> 00:17:21.980]   I didn't know--
[00:17:21.980 --> 00:17:24.020]   - Well, they say that they employ a technology
[00:17:24.020 --> 00:17:26.100]   that's based on algorithms that,
[00:17:26.100 --> 00:17:28.820]   I mean, the most commonly known thing into the public
[00:17:28.820 --> 00:17:31.500]   is that however many people link to your stuff,
[00:17:31.500 --> 00:17:32.940]   when you search for something, you know,
[00:17:32.940 --> 00:17:37.020]   if I have a site about volleyball and everyone links to me
[00:17:37.020 --> 00:17:38.380]   when you type in volleyball on Google,
[00:17:38.380 --> 00:17:42.220]   you'll probably get my site as one of the top two or three.
[00:17:42.220 --> 00:17:43.420]   And then I guess they've got a bunch
[00:17:43.420 --> 00:17:45.620]   of other underlying things that they don't want to give up
[00:17:45.620 --> 00:17:47.060]   which is their intellectual property.
[00:17:47.060 --> 00:17:48.180]   And I think that's the only reason
[00:17:48.180 --> 00:17:50.020]   that this is even maybe construed as half
[00:17:50.020 --> 00:17:51.940]   of an interesting story 'cause I could go--
[00:17:51.940 --> 00:17:53.020]   - I think it's more than interesting
[00:17:53.020 --> 00:17:54.340]   because the fact of the matter is,
[00:17:54.340 --> 00:17:56.860]   anyone who does a lot of stuff online knows that Google
[00:17:56.860 --> 00:17:59.860]   probably provides at least 50% of all their hits,
[00:17:59.860 --> 00:18:00.940]   all the page views.
[00:18:00.940 --> 00:18:03.900]   I mean, at least my blog, which gets about,
[00:18:03.900 --> 00:18:06.220]   I don't know, I'm getting about 60,000 people,
[00:18:06.220 --> 00:18:08.780]   or 60,000 page views a day, which is reasonable for a blog.
[00:18:08.780 --> 00:18:09.620]   - But you know what else is funny?
[00:18:09.620 --> 00:18:10.860]   - They're all half of them from Google.
[00:18:10.860 --> 00:18:12.420]   - This company's called Kinderstart,
[00:18:12.420 --> 00:18:15.820]   and they say when you type in Kinderstart in a search engine
[00:18:15.820 --> 00:18:18.700]   on Yahoo or someone else or MSN,
[00:18:18.700 --> 00:18:21.500]   ours is the top site, but how many people
[00:18:21.500 --> 00:18:23.460]   are looking for a site that caters to what they're doing
[00:18:23.460 --> 00:18:25.020]   and they type in Kinderstart?
[00:18:25.020 --> 00:18:26.540]   - Why don't they just go Kinderstart.com?
[00:18:26.540 --> 00:18:28.340]   - 'Cause I would think that you'd figure out that,
[00:18:28.340 --> 00:18:29.580]   but they're basing it on search engine.
[00:18:29.580 --> 00:18:31.500]   - Hold on, hold on, hold on, hold on.
[00:18:31.500 --> 00:18:32.900]   - Kinderstart's a search engine,
[00:18:32.900 --> 00:18:33.820]   which makes it more interesting.
[00:18:33.820 --> 00:18:35.620]   Why should Google put another search engine
[00:18:35.620 --> 00:18:36.460]   on any of their results?
[00:18:36.460 --> 00:18:38.300]   - Well, clearly some kinders are just saying.
[00:18:38.300 --> 00:18:41.900]   - What Kindercard is saying is that Google modified
[00:18:41.900 --> 00:18:44.500]   the ratings so that they basically made
[00:18:44.500 --> 00:18:46.220]   Kinderstart disappear.
[00:18:46.220 --> 00:18:47.700]   - I think that's actually probably true.
[00:18:47.700 --> 00:18:48.540]   - Why?
[00:18:48.540 --> 00:18:49.380]   Why would it be true?
[00:18:49.380 --> 00:18:51.020]   - Well, all this sudden, if you type in Kinderstart
[00:18:51.020 --> 00:18:53.580]   on Google, you get like Kinderstart.co.uk,
[00:18:53.580 --> 00:18:54.940]   you go to any other web browser,
[00:18:54.940 --> 00:18:56.900]   it takes you to Kinderstart.com.
[00:18:56.900 --> 00:18:59.940]   Maybe there's some weird anomaly in their algorithm,
[00:18:59.940 --> 00:19:01.740]   but it seems like something just happened.
[00:19:01.740 --> 00:19:02.860]   - They can start UK folks.
[00:19:02.860 --> 00:19:05.380]   - Now, the other thing is, why the hell?
[00:19:05.380 --> 00:19:08.380]   Why the hell does Google give a flipping end?
[00:19:08.380 --> 00:19:10.100]   - They don't, that's the other thing, yeah.
[00:19:10.100 --> 00:19:11.060]   - Why would they care?
[00:19:11.060 --> 00:19:13.060]   - Well, in some cases, they, I think they have.
[00:19:13.060 --> 00:19:14.500]   That's what a lot of people do.
[00:19:14.500 --> 00:19:16.740]   - The other thing is, Google says that they type it.
[00:19:16.740 --> 00:19:18.060]   - Google says that they type it's a myth.
[00:19:18.060 --> 00:19:19.700]   - I don't, I mean, if somebody can come up
[00:19:19.700 --> 00:19:22.140]   with some concrete evidence that Google's playing games.
[00:19:22.140 --> 00:19:22.980]   - I don't know.
[00:19:22.980 --> 00:19:24.300]   - I think it would be great, but no one's gonna,
[00:19:24.300 --> 00:19:25.300]   you're not, it's not gonna happen.
[00:19:25.300 --> 00:19:27.060]   - The only reason I've heard of Google playing games
[00:19:27.060 --> 00:19:28.660]   with the way people's stuff is ranked
[00:19:28.660 --> 00:19:31.180]   is if they are trying to take advantage
[00:19:31.180 --> 00:19:33.300]   of the way their page rank system works.
[00:19:33.300 --> 00:19:35.860]   If someone's trying to like quote unquote hack their systems
[00:19:35.860 --> 00:19:37.340]   so they get a good guess, then Google say,
[00:19:37.340 --> 00:19:39.740]   hey, you're out, you're out, I think.
[00:19:39.740 --> 00:19:41.740]   - No, there's been evidence of that,
[00:19:41.740 --> 00:19:42.740]   there's a good reason.
[00:19:42.740 --> 00:19:46.020]   - So that maybe, maybe was Kinderstart
[00:19:46.020 --> 00:19:48.900]   maybe tweaking with some stuff and then, I don't know.
[00:19:48.900 --> 00:19:49.860]   - I don't know.
[00:19:49.860 --> 00:19:52.060]   But nobody knows, we'll find out in court.
[00:19:52.060 --> 00:19:52.900]   (laughs)
[00:19:52.900 --> 00:19:54.340]   Anyway, I think this is a bad precedent
[00:19:54.340 --> 00:19:56.340]   if this actually gets anywhere.
[00:19:56.340 --> 00:19:58.460]   Because you can't, you start suing this search engine
[00:19:58.460 --> 00:20:00.580]   companies and where, you know, these guys might as well
[00:20:00.580 --> 00:20:02.660]   just pull up their tents.
[00:20:02.660 --> 00:20:04.620]   You can't, I mean, they won't be able to do anything.
[00:20:04.620 --> 00:20:06.380]   It's gonna just cripple them.
[00:20:06.380 --> 00:20:09.020]   - Well, I just think it's, I guess I just think it's absurd.
[00:20:09.020 --> 00:20:11.380]   - I mean, you know, they're doing whatever they're doing.
[00:20:11.380 --> 00:20:12.380]   You're happy that they're there.
[00:20:12.380 --> 00:20:14.780]   I mean, if you're, you don't have a contract
[00:20:14.780 --> 00:20:16.700]   with those search countries.
[00:20:16.700 --> 00:20:17.540]   - They're not getting these.
[00:20:17.540 --> 00:20:18.860]   - They don't, they don't, they didn't promise you anything.
[00:20:18.860 --> 00:20:20.140]   You know, they can do what, you know, I mean,
[00:20:20.140 --> 00:20:20.980]   you know, I mean, you know, I mean, you know,
[00:20:20.980 --> 00:20:21.820]   - That's free advertising.
[00:20:21.820 --> 00:20:22.660]   These guys are having a problem,
[00:20:22.660 --> 00:20:23.500]   why don't they just take out an ad?
[00:20:23.500 --> 00:20:24.340]   - Yeah, I don't know.
[00:20:24.340 --> 00:20:26.260]   I like what the lawyer for Kinderstart says is like,
[00:20:26.260 --> 00:20:29.980]   they hope to prove Google is the associated press article.
[00:20:29.980 --> 00:20:32.340]   - That hopes to prove Google has become an essential
[00:20:32.340 --> 00:20:35.140]   facility that should be required to warn websites
[00:20:35.140 --> 00:20:37.780]   before dropping them from the index.
[00:20:37.780 --> 00:20:39.860]   We don't really feel that there is enough transparency
[00:20:39.860 --> 00:20:43.300]   in openness in a service that has become so important.
[00:20:43.300 --> 00:20:44.140]   - Like Kinderstart.
[00:20:44.140 --> 00:20:45.140]   - So who is this person?
[00:20:45.140 --> 00:20:46.700]   - That's the lawyer for Kinderstart.
[00:20:46.700 --> 00:20:49.340]   - This lawyer guy or a woman sounds a little flaky.
[00:20:49.340 --> 00:20:50.620]   - Lawyer guy or woman.
[00:20:50.620 --> 00:20:53.380]   - I bet you Kinderstart has a lot more traffic now
[00:20:53.380 --> 00:20:55.020]   than it did before Google met.
[00:20:55.020 --> 00:20:57.420]   - Yeah, actually they're making hay with this lawsuit.
[00:20:57.420 --> 00:20:59.500]   Another one of those suits that gets your publicity.
[00:20:59.500 --> 00:21:01.980]   - Speaking of which, department does,
[00:21:01.980 --> 00:21:04.780]   D.O.J. and the judge sells the D.O.J.
[00:21:04.780 --> 00:21:08.460]   that Google doesn't have to turn over the gigantic number
[00:21:08.460 --> 00:21:11.180]   like the billions of URLs in search requests.
[00:21:11.180 --> 00:21:13.140]   The judge has said instead of two months worth
[00:21:13.140 --> 00:21:18.140]   of user search queries, they get 50,000
[00:21:18.140 --> 00:21:21.460]   and Google has agreed to comply with that.
[00:21:21.460 --> 00:21:24.180]   - So that's kind of the most recent 50,000.
[00:21:24.180 --> 00:21:26.780]   - I don't know if it's the most recent
[00:21:26.780 --> 00:21:28.500]   or if it's a select 50,000.
[00:21:28.500 --> 00:21:30.820]   - Cherry Pickham.
[00:21:30.820 --> 00:21:32.980]   - It's a phishing expedition, whatever it is.
[00:21:32.980 --> 00:21:37.100]   - Well, the federal government's trying to pull together
[00:21:37.100 --> 00:21:39.460]   proof that COPO should be,
[00:21:39.460 --> 00:21:42.260]   COPO which has been struck down in more ways than one,
[00:21:42.260 --> 00:21:43.780]   should be reinstated.
[00:21:43.780 --> 00:21:46.340]   - Here's another story that's kind of interesting to me.
[00:21:46.340 --> 00:21:49.220]   Australian IT, this is not apparently in the magazine,
[00:21:49.220 --> 00:21:50.860]   Australian IT.
[00:21:50.860 --> 00:21:54.380]   Apparently licenses might be required for IPTV,
[00:21:54.380 --> 00:21:55.860]   according to the government, it's floated the idea
[00:21:55.860 --> 00:21:58.980]   of forcing internet providers to apply for licenses
[00:21:58.980 --> 00:22:01.260]   to offer web-based TV services.
[00:22:01.260 --> 00:22:02.460]   - You mean in Australia?
[00:22:02.460 --> 00:22:04.900]   - Yeah, what do you think of that, Alex?
[00:22:04.900 --> 00:22:05.980]   - Say that again.
[00:22:05.980 --> 00:22:07.220]   - What's the definition of a web-based--
[00:22:07.220 --> 00:22:08.700]   - He's still doing the math on this.
[00:22:08.700 --> 00:22:09.540]   - No, no, no, no.
[00:22:09.540 --> 00:22:12.620]   - Australia government has floated the idea
[00:22:12.620 --> 00:22:16.300]   of forcing internet providers to apply for licenses
[00:22:16.300 --> 00:22:18.660]   to offer web-based TV services.
[00:22:18.660 --> 00:22:20.420]   In other words, IPTV.
[00:22:20.420 --> 00:22:21.580]   In other words, you now--
[00:22:21.580 --> 00:22:22.420]   - But how do you--
[00:22:22.420 --> 00:22:24.700]   - Now you have to be like a broadcasting license
[00:22:24.700 --> 00:22:27.580]   to send a crappy video or something across the--
[00:22:27.580 --> 00:22:29.580]   - So of course the question's gonna come up is,
[00:22:29.580 --> 00:22:31.620]   when you do that, does that mean that anybody
[00:22:31.620 --> 00:22:35.540]   who broadcasts on the web, do they have to come to Australia
[00:22:35.540 --> 00:22:36.380]   and get a license?
[00:22:36.380 --> 00:22:38.020]   'Cause like can I broadcast over the web
[00:22:38.020 --> 00:22:38.900]   from the United States?
[00:22:38.900 --> 00:22:42.020]   And if so, then all the people who are making web TV
[00:22:42.020 --> 00:22:43.180]   are just gonna move out of Australia.
[00:22:43.180 --> 00:22:46.100]   I mean, they'll put their server in Vanuatu
[00:22:46.100 --> 00:22:46.940]   and call it a day.
[00:22:46.940 --> 00:22:48.580]   - Well you do have an account on YouTube
[00:22:48.580 --> 00:22:50.340]   and upload a video.
[00:22:50.340 --> 00:22:52.660]   - The bottom line is, they'll just move their server.
[00:22:52.660 --> 00:22:55.300]   I mean, I'm sure it makes sense to some politician
[00:22:55.300 --> 00:22:56.140]   in their Kukukukuk.
[00:22:56.140 --> 00:22:57.140]   - He does understand it.
[00:22:57.140 --> 00:22:58.420]   - Yeah, who has no idea what they're--
[00:22:58.420 --> 00:23:00.620]   - Yeah, we will write your license.
[00:23:00.620 --> 00:23:01.460]   - Well, what one thing--
[00:23:01.460 --> 00:23:02.300]   - It makes a lot of sense to a politician
[00:23:02.300 --> 00:23:03.380]   that's been poked with a sharp stick
[00:23:03.380 --> 00:23:05.860]   and a bag full of money by lobbyists.
[00:23:05.860 --> 00:23:06.700]   - Totally.
[00:23:06.700 --> 00:23:07.540]   - But why?
[00:23:07.540 --> 00:23:08.380]   - But the lobbyists would not--
[00:23:08.380 --> 00:23:09.820]   - What lobby would want this?
[00:23:09.820 --> 00:23:11.540]   - Except to move traditional broadcasters.
[00:23:11.540 --> 00:23:13.860]   - Oh yeah, what do they have to protect?
[00:23:13.860 --> 00:23:14.700]   - You're right, right.
[00:23:14.700 --> 00:23:15.540]   - This is like Bell South.
[00:23:15.540 --> 00:23:17.500]   Why would Bell South wanna throttle back,
[00:23:17.500 --> 00:23:20.100]   make money on traffic going both ways?
[00:23:20.100 --> 00:23:22.060]   Well, because they wanna make more money
[00:23:22.060 --> 00:23:23.860]   or because they see their traditional--
[00:23:23.860 --> 00:23:25.020]   - They're sharing the dirty stuff.
[00:23:25.020 --> 00:23:27.420]   - Yeah, they don't wanna change their business models
[00:23:27.420 --> 00:23:28.700]   under any circumstances.
[00:23:28.700 --> 00:23:29.900]   - Well, I think a lot of the,
[00:23:29.900 --> 00:23:32.540]   I mean, whether it's the RIAA or the broadcasters,
[00:23:32.540 --> 00:23:35.780]   what they wanna do is they wanna slow the movement down
[00:23:35.780 --> 00:23:37.820]   so they can try to figure out some way to catch up.
[00:23:37.820 --> 00:23:39.260]   You know, so they wanna have something,
[00:23:39.260 --> 00:23:40.700]   whether it works or not,
[00:23:40.700 --> 00:23:42.220]   they wanna slow the process down
[00:23:42.220 --> 00:23:44.020]   so that they can figure out how to--
[00:23:44.020 --> 00:23:46.260]   - I mean, there's stuff similar, I mean,
[00:23:46.260 --> 00:23:49.700]   even outside of traditional just technology,
[00:23:49.700 --> 00:23:52.500]   I mean, even, for example, with airlines,
[00:23:52.500 --> 00:23:56.220]   I think, Qantas wanna reprieve from the Australian government
[00:23:56.220 --> 00:23:59.540]   to have Singapore Airlines fly the US,
[00:23:59.540 --> 00:24:01.340]   Australia flight route, just because, you know,
[00:24:01.340 --> 00:24:03.540]   they wanna keep that market share to themselves.
[00:24:03.540 --> 00:24:05.340]   So, I mean, similar is the same thing.
[00:24:05.340 --> 00:24:07.540]   I mean, you have a state broadcaster, ABC,
[00:24:07.540 --> 00:24:09.820]   and you also have the three other channels
[00:24:09.820 --> 00:24:11.180]   that exist in Australia?
[00:24:11.180 --> 00:24:12.420]   - Well, I don't know.
[00:24:12.420 --> 00:24:13.620]   Let me say that's like, you know,
[00:24:13.620 --> 00:24:14.860]   there's two ways of looking at it.
[00:24:14.860 --> 00:24:18.580]   There's that they're trying to have online programmers
[00:24:18.580 --> 00:24:19.940]   follow the same set of rules
[00:24:19.940 --> 00:24:22.260]   that traditional broadcasters have to apply,
[00:24:22.260 --> 00:24:23.700]   you know, have to follow.
[00:24:23.700 --> 00:24:26.060]   And I don't know, it's, it's,
[00:24:26.060 --> 00:24:29.460]   it's some pretty funny quotes on Australia about it too.
[00:24:29.460 --> 00:24:31.580]   - It's, I don't know, I would not wanna get litigated
[00:24:31.580 --> 00:24:33.020]   in Australia.
[00:24:33.020 --> 00:24:34.020]   It's pretty random, pretty harsh.
[00:24:34.020 --> 00:24:35.420]   - You wanna get arrested in a shade?
[00:24:35.420 --> 00:24:38.460]   - Well, I don't have to piss off the Aussies.
[00:24:38.460 --> 00:24:39.460]   You're over there.
[00:24:39.460 --> 00:24:45.100]   - Speaking of regulation, you, the XXX is back, John.
[00:24:45.100 --> 00:24:46.940]   - Yeah, good news.
[00:24:46.940 --> 00:24:50.100]   Yeah, yeah, XXX is something that was,
[00:24:50.100 --> 00:24:53.060]   you know, I actually wrote about this almost 10 years ago
[00:24:53.060 --> 00:24:54.500]   and thinking it was a good idea
[00:24:54.500 --> 00:24:56.140]   because it was segment things and people, you know,
[00:24:56.140 --> 00:24:59.540]   although, you know, there's a bunch of characters came along,
[00:24:59.540 --> 00:25:01.700]   many of them Christian conservatives
[00:25:01.700 --> 00:25:03.860]   who thought that it would just legitimatize
[00:25:03.860 --> 00:25:05.860]   or I don't know what they were thinking to be honest about it,
[00:25:05.860 --> 00:25:07.180]   but there was one group in particular
[00:25:07.180 --> 00:25:09.100]   I wrote about it in PC Magazine.
[00:25:09.100 --> 00:25:11.180]   They gave me an award by the way,
[00:25:11.180 --> 00:25:13.860]   these women's group or women Christians
[00:25:13.860 --> 00:25:15.460]   for Americans of the year or something.
[00:25:15.460 --> 00:25:18.260]   - Yeah, some jerk off of the year or something like that.
[00:25:18.260 --> 00:25:19.420]   - No pun intended.
[00:25:19.420 --> 00:25:21.540]   - And I got like, but I was in good company
[00:25:21.540 --> 00:25:24.060]   that everybody else on the list apparently was,
[00:25:24.060 --> 00:25:25.420]   you know, they were normal people.
[00:25:25.420 --> 00:25:29.660]   But anyway, it looks like it's back in play
[00:25:29.660 --> 00:25:31.220]   and I think, I still think it's a good idea.
[00:25:31.220 --> 00:25:33.980]   I don't know, does anybody see why it's not a good idea?
[00:25:33.980 --> 00:25:35.100]   - Well, I think it's a great idea.
[00:25:35.100 --> 00:25:37.580]   Then you also, what's funny is, is that on both sides,
[00:25:37.580 --> 00:25:41.460]   the Christian coalition or whoever's, you know,
[00:25:41.460 --> 00:25:42.500]   pushing like a look it up,
[00:25:42.500 --> 00:25:44.980]   they should be thinking about, you know,
[00:25:44.980 --> 00:25:47.340]   the fact that the porn industry is trying to fight it as well
[00:25:47.340 --> 00:25:48.580]   because they don't want to be segmented
[00:25:48.580 --> 00:25:50.260]   and the ACLU is saying that--
[00:25:50.260 --> 00:25:52.100]   - Yeah, but they're in the porn industry.
[00:25:52.100 --> 00:25:53.100]   That's what's so weird about it.
[00:25:53.100 --> 00:25:55.860]   - Yeah, so, you know, they shouldn't be pushed
[00:25:55.860 --> 00:25:59.140]   into a certain, you know, quote unquote online red light area.
[00:25:59.140 --> 00:26:00.260]   But I think it makes a lot of sense.
[00:26:00.260 --> 00:26:02.740]   I think it makes it a lot easier to, you know--
[00:26:02.740 --> 00:26:04.380]   - Find the stuff.
[00:26:04.380 --> 00:26:05.500]   - Well, it makes it easier to--
[00:26:05.500 --> 00:26:06.580]   - It doesn't make, it doesn't make--
[00:26:06.580 --> 00:26:07.620]   - You just don't have to have a,
[00:26:07.620 --> 00:26:09.540]   you just can't take in, you know, anything.
[00:26:09.540 --> 00:26:11.420]   - Dot exxx.
[00:26:11.420 --> 00:26:15.020]   - Dot exxx, but this--
[00:26:15.020 --> 00:26:17.540]   - I think that it doesn't make it any easier
[00:26:17.540 --> 00:26:18.380]   than it is already.
[00:26:18.380 --> 00:26:20.620]   I think that what it does do is it allows you to apply,
[00:26:20.620 --> 00:26:22.340]   you know, for filter systems, for your kids,
[00:26:22.340 --> 00:26:24.540]   or for whatever, it makes it really simple.
[00:26:24.540 --> 00:26:26.180]   - If it actually works.
[00:26:26.180 --> 00:26:27.460]   - Well, it won't work in the beginning.
[00:26:27.460 --> 00:26:28.300]   - It pulls all of the--
[00:26:28.300 --> 00:26:31.180]   - This is a group called Concerned Women for America.
[00:26:31.180 --> 00:26:35.180]   And they're the ones who made a big stink about,
[00:26:35.180 --> 00:26:38.020]   they're the ones who forced icon to drop the idea.
[00:26:38.020 --> 00:26:40.820]   You know, the icon basically caved with these women,
[00:26:40.820 --> 00:26:42.580]   which is one of these pressure groups.
[00:26:42.580 --> 00:26:43.820]   I mean, I think that what would happen is--
[00:26:43.820 --> 00:26:46.100]   - Three women, I like the way you phrased it.
[00:26:46.100 --> 00:26:47.780]   - Well, it's well, Concerned Women for America
[00:26:47.780 --> 00:26:48.860]   is a name of it.
