
[00:00:00.000 --> 00:00:02.000]   It's time for Twit.
[00:29:33.240 --> 00:29:34.240]   We're done.
[00:29:34.240 --> 00:29:35.240]   We're done.
[00:29:35.240 --> 00:29:36.240]   We're done.
[00:29:36.240 --> 00:29:37.240]   We're done.
[00:29:37.240 --> 00:29:38.240]   We're done.
[00:29:38.240 --> 00:29:39.240]   We're done.
[00:29:39.240 --> 00:29:40.240]   We're done.
[00:29:40.240 --> 00:29:41.240]   We're done.
[00:29:41.240 --> 00:29:42.240]   We're done.
[00:29:42.240 --> 00:29:43.240]   We're done.
[00:29:43.240 --> 00:29:44.240]   We're done.
[00:29:44.240 --> 00:29:45.240]   We're done.
[00:29:45.240 --> 00:29:46.240]   We're done.
[00:29:46.240 --> 00:29:47.240]   We're done.
[00:29:47.240 --> 00:29:48.240]   We're done.
[00:29:48.240 --> 00:29:49.240]   We're done.
[00:29:49.240 --> 00:29:50.240]   We're done.
[00:29:50.240 --> 00:29:51.240]   We're done.
[00:29:51.240 --> 00:29:52.240]   We're done.
[00:29:52.240 --> 00:29:53.240]   We're done.
[00:29:53.240 --> 00:29:54.240]   We're done.
[00:29:54.240 --> 00:29:55.240]   We're done.
[00:29:55.240 --> 00:29:56.240]   We're done.
[00:29:56.240 --> 00:29:57.240]   We're done.
[00:29:57.240 --> 00:29:58.240]   We're done.
[00:29:58.240 --> 00:29:59.240]   We're done.
[00:29:59.240 --> 00:30:00.240]   We're done.
[00:30:00.240 --> 00:30:01.240]   We're done.
[00:30:01.240 --> 00:30:02.240]   We're done.
[00:30:02.240 --> 00:30:03.240]   We're done.
[00:30:03.240 --> 00:30:04.240]   We're done.
[00:30:04.240 --> 00:30:05.240]   We're done.
[00:30:05.240 --> 00:30:06.240]   We're done.
[00:30:06.240 --> 00:30:07.240]   We're done.
[00:30:07.240 --> 00:30:08.240]   We're done.
[00:30:08.240 --> 00:30:09.240]   We're done.
[00:30:09.240 --> 00:30:10.240]   We're done.
[00:30:10.240 --> 00:30:11.240]   We're done.
[00:30:11.240 --> 00:30:12.240]   We're done.
[00:30:12.240 --> 00:30:13.240]   We're done.
[00:30:13.240 --> 00:30:14.240]   We're done.
[00:30:14.240 --> 00:30:15.240]   We're done.
[00:30:15.240 --> 00:30:16.240]   We're done.
[00:30:16.240 --> 00:30:17.240]   We're done.
[00:30:17.240 --> 00:30:18.240]   We're done.
[00:30:18.240 --> 00:30:19.240]   We're done.
[00:30:19.240 --> 00:30:20.240]   We're done.
[00:30:20.240 --> 00:30:21.240]   We're done.
[00:30:21.240 --> 00:30:22.240]   We're done.
[00:30:22.240 --> 00:30:23.240]   We're done.
[00:30:23.240 --> 00:30:24.240]   We're done.
[00:30:24.240 --> 00:30:25.240]   We're done.
[00:30:25.240 --> 00:30:26.240]   We're done.
[00:30:26.240 --> 00:30:27.240]   We're done.
[00:30:27.240 --> 00:30:28.240]   We're done.
[00:30:28.240 --> 00:30:29.240]   We're done.
[00:30:29.240 --> 00:30:30.240]   We're done.
[00:30:30.240 --> 00:30:31.240]   We're done.
[00:30:31.240 --> 00:30:32.240]   We're done.
[00:30:32.240 --> 00:30:33.240]   We're done.
[00:30:33.240 --> 00:30:34.240]   We're done.
[00:30:34.240 --> 00:30:35.240]   We're done.
[00:30:35.240 --> 00:30:36.240]   We're done.
[00:30:36.240 --> 00:30:37.240]   We're done.
[00:30:37.240 --> 00:30:38.240]   We're done.
[00:30:38.240 --> 00:30:39.240]   We're done.
[00:30:39.240 --> 00:30:40.240]   We're done.
[00:30:40.240 --> 00:30:41.240]   We're done.
[00:30:41.240 --> 00:30:42.240]   We're done.
[00:30:42.240 --> 00:30:43.240]   We're done.
[00:30:43.240 --> 00:30:44.240]   We're done.
[00:30:44.240 --> 00:30:45.240]   We're done.
[00:30:45.240 --> 00:30:46.240]   We're done.
[00:30:46.240 --> 00:30:47.240]   We're done.
[00:30:47.240 --> 00:30:48.240]   We're done.
[00:30:48.240 --> 00:30:49.240]   We're done.
[00:30:49.240 --> 00:30:50.240]   We're done.
[00:30:50.240 --> 00:30:51.240]   We're done.
[00:30:51.240 --> 00:30:52.240]   We're done.
[00:30:52.240 --> 00:30:53.240]   We're done.
[00:30:53.240 --> 00:30:54.240]   We're done.
[00:30:54.240 --> 00:30:55.240]   We're done.
[00:30:55.240 --> 00:30:56.240]   We're done.
[00:30:56.240 --> 00:30:57.240]   We're done.
[00:30:57.240 --> 00:30:58.240]   We're done.
[00:30:58.240 --> 00:30:59.240]   We're done.
[00:30:59.240 --> 00:31:00.240]   We're done.
[00:31:00.240 --> 00:31:01.240]   We're done.
[00:31:01.240 --> 00:31:02.240]   We're done.
[00:31:02.240 --> 00:31:03.240]   We're done.
[00:31:03.240 --> 00:31:04.240]   We're done.
[00:31:04.240 --> 00:31:05.240]   We're done.
[00:31:05.240 --> 00:31:06.240]   We're done.
[00:31:06.240 --> 00:31:07.240]   We're done.
[00:31:07.240 --> 00:31:08.240]   We're done.
[00:31:08.240 --> 00:31:09.240]   We're done.
[00:31:09.240 --> 00:31:10.240]   We're done.
[00:31:10.240 --> 00:31:11.240]   We're done.
[00:31:11.240 --> 00:31:12.240]   We're done.
[00:31:12.240 --> 00:31:13.240]   We're done.
[00:31:13.240 --> 00:31:14.240]   We're done.
[00:31:14.240 --> 00:31:15.240]   We're done.
[00:31:15.240 --> 00:31:16.240]   We're done.
[00:31:16.240 --> 00:31:17.240]   We're done.
[00:31:17.240 --> 00:31:18.240]   We're done.
[00:31:18.240 --> 00:31:19.240]   We're done.
[00:31:19.240 --> 00:31:20.240]   We're done.
[00:31:20.240 --> 00:31:21.240]   We're done.
[00:31:21.240 --> 00:31:22.240]   We're done.
[00:31:22.240 --> 00:31:23.240]   We're done.
[00:31:23.240 --> 00:31:24.240]   We're done.
[00:31:24.240 --> 00:31:25.240]   We're done.
[00:31:25.240 --> 00:31:26.240]   We're done.
[00:31:26.240 --> 00:31:27.240]   We're done.
[00:31:27.240 --> 00:31:28.240]   We're done.
[00:31:28.240 --> 00:31:29.240]   We're done.
[00:31:29.240 --> 00:31:30.240]   We're done.
[00:31:30.240 --> 00:31:31.240]   We're done.
[00:31:31.240 --> 00:31:32.240]   We're done.
[00:31:32.240 --> 00:31:33.240]   We're done.
[00:31:33.240 --> 00:31:34.240]   We're done.
[00:31:34.240 --> 00:31:35.240]   We're done.
[00:31:35.240 --> 00:31:36.240]   We're done.
[00:31:36.240 --> 00:31:37.240]   We're done.
[00:31:37.240 --> 00:31:38.240]   We're done.
[00:31:38.240 --> 00:31:39.240]   We're done.
[00:31:39.240 --> 00:31:40.240]   We're done.
[00:31:40.240 --> 00:31:41.240]   We're done.
[00:31:41.240 --> 00:31:42.240]   We're done.
[00:31:42.240 --> 00:31:43.240]   We're done.
[00:31:43.240 --> 00:31:44.240]   We're done.
[00:31:44.240 --> 00:31:45.240]   We're done.
[00:31:45.240 --> 00:31:46.240]   We're done.
[00:31:46.240 --> 00:31:47.240]   We're done.
[00:31:47.240 --> 00:31:48.240]   We're done.
[00:31:48.240 --> 00:31:49.240]   We're done.
[00:31:49.240 --> 00:31:50.240]   We're done.
[00:31:50.240 --> 00:31:51.240]   We're done.
[00:31:51.240 --> 00:31:52.240]   We're done.
[00:31:52.240 --> 00:31:53.240]   We're done.
[00:31:53.240 --> 00:31:54.240]   We're done.
[00:31:54.240 --> 00:31:55.240]   We're done.
[00:31:55.240 --> 00:31:56.240]   We're done.
[00:31:56.240 --> 00:31:57.240]   We're done.
[00:31:57.240 --> 00:31:58.240]   We're done.
[00:31:58.240 --> 00:31:59.240]   We're done.
[00:31:59.240 --> 00:32:00.240]   We're done.
[00:32:00.240 --> 00:32:01.240]   We're done.
[00:32:01.240 --> 00:32:02.240]   We're done.
[00:32:02.240 --> 00:32:03.240]   We're done.
[00:32:03.240 --> 00:32:04.240]   We're done.
[00:32:04.240 --> 00:32:05.240]   We're done.
[00:32:05.240 --> 00:32:06.240]   We're done.
[00:32:06.240 --> 00:32:07.240]   We're done.
[00:32:07.240 --> 00:32:08.240]   We're done.
[00:32:08.240 --> 00:32:09.240]   We're done.
[00:32:09.240 --> 00:32:10.240]   We're done.
[00:32:10.240 --> 00:32:11.240]   We're done.
[00:32:11.240 --> 00:32:12.240]   We're done.
[00:32:12.240 --> 00:32:13.240]   We're done.
[00:32:13.240 --> 00:32:14.240]   We're done.
[00:32:14.240 --> 00:32:15.240]   We're done.
[00:32:15.240 --> 00:32:16.240]   We're done.
[00:32:16.240 --> 00:32:17.240]   We're done.
[00:32:17.240 --> 00:32:18.240]   We're done.
[00:32:18.240 --> 00:32:19.240]   We're done.
[00:32:19.240 --> 00:32:20.240]   We're done.
[00:32:20.240 --> 00:32:21.240]   We're done.
[00:32:21.240 --> 00:32:22.240]   We're done.
[00:32:22.240 --> 00:32:23.240]   We're done.
[00:32:23.240 --> 00:32:24.240]   We're done.
[00:32:24.240 --> 00:32:25.240]   We're done.
[00:32:25.240 --> 00:32:26.240]   We're done.
[00:32:26.240 --> 00:32:27.240]   We're done.
[00:32:27.240 --> 00:32:28.240]   We're done.
[00:32:28.240 --> 00:32:29.240]   We're done.
[00:32:29.240 --> 00:32:30.240]   We're done.
[00:32:30.240 --> 00:32:31.240]   We're done.
[00:32:31.240 --> 00:32:32.240]   We're done.
[00:32:32.240 --> 00:32:33.240]   We're done.
[00:32:33.240 --> 00:32:34.240]   We're done.
[00:32:34.240 --> 00:32:35.240]   We're done.
[00:32:35.240 --> 00:32:36.240]   We're done.
[00:32:36.240 --> 00:32:37.240]   We're done.
[00:32:37.240 --> 00:32:38.240]   We're done.
[00:32:38.240 --> 00:32:39.240]   We're done.
[00:32:39.240 --> 00:32:40.240]   We're done.
[00:32:40.240 --> 00:32:41.240]   We're done.
[00:32:41.240 --> 00:32:42.240]   We're done.
[00:32:42.240 --> 00:32:43.240]   We're done.
[00:32:43.240 --> 00:32:44.240]   We're done.
[00:32:44.240 --> 00:32:45.240]   We're done.
[00:32:45.240 --> 00:32:46.240]   We're done.
[00:32:46.240 --> 00:32:47.240]   We're done.
[00:32:47.240 --> 00:32:48.240]   We're done.
[00:32:48.240 --> 00:32:49.240]   We're done.
[00:32:49.240 --> 00:32:50.240]   We're done.
[00:32:50.240 --> 00:32:51.240]   We're done.
[00:32:51.240 --> 00:32:52.240]   We're done.
[00:32:52.240 --> 00:32:53.240]   We're done.
[00:32:53.240 --> 00:32:54.240]   We're done.
[00:32:54.240 --> 00:32:55.240]   We're done.
[00:32:55.240 --> 00:32:56.240]   We're done.
[00:32:56.240 --> 00:32:57.240]   We're done.
[00:32:57.240 --> 00:32:58.240]   We're done.
[00:32:58.240 --> 00:32:59.240]   We're done.
[00:32:59.240 --> 00:33:00.240]   We're done.
[00:33:00.240 --> 00:33:01.240]   We're done.
[00:33:01.240 --> 00:33:02.240]   We're done.
[00:33:02.240 --> 00:33:03.240]   We're done.
[00:33:03.240 --> 00:33:04.240]   We're done.
[00:33:04.240 --> 00:33:05.240]   We're done.
[00:33:05.240 --> 00:33:06.240]   We're done.
[00:33:06.240 --> 00:33:07.240]   We're done.
[00:33:07.240 --> 00:33:08.240]   We're done.
[00:33:08.240 --> 00:33:09.240]   We're done.
[00:33:09.240 --> 00:33:10.240]   We're done.
[00:33:10.240 --> 00:33:11.240]   We're done.
[00:33:11.240 --> 00:33:12.240]   We're done.
[00:33:12.240 --> 00:33:13.240]   We're done.
[00:33:13.240 --> 00:33:14.240]   We're done.
[00:33:14.240 --> 00:33:15.240]   We're done.
[00:33:15.240 --> 00:33:16.240]   We're done.
[00:33:16.240 --> 00:33:17.240]   We're done.
[00:33:17.240 --> 00:33:18.240]   We're done.
[00:33:18.240 --> 00:33:19.240]   We're done.
[00:33:19.240 --> 00:33:20.240]   We're done.
[00:33:20.240 --> 00:33:21.240]   We're done.
[00:33:21.240 --> 00:33:22.240]   We're done.
[00:33:22.240 --> 00:33:23.240]   We're done.
[00:33:23.240 --> 00:33:24.240]   We're done.
[00:33:24.240 --> 00:33:25.240]   We're done.
[00:33:25.240 --> 00:33:26.240]   We're done.
[00:33:26.240 --> 00:33:27.240]   We're done.
[00:33:27.240 --> 00:33:28.240]   We're done.
[00:33:28.240 --> 00:33:29.240]   We're done.
[00:33:29.240 --> 00:33:30.240]   We're done.
[00:33:30.240 --> 00:33:31.240]   We're done.
[00:33:31.240 --> 00:33:32.240]   We're done.
[00:33:32.240 --> 00:33:33.240]   We're done.
[00:33:33.240 --> 00:33:34.240]   We're done.
[00:33:34.240 --> 00:33:35.240]   We're done.
[00:33:35.240 --> 00:33:36.240]   We're done.
[00:33:36.240 --> 00:33:37.240]   We're done.
[00:33:37.240 --> 00:33:38.240]   We're done.
[00:33:38.240 --> 00:33:39.240]   We're done.
[00:33:39.240 --> 00:33:40.240]   We're done.
[00:33:40.240 --> 00:33:41.240]   We're done.
[00:33:41.240 --> 00:33:42.240]   We're done.
[00:33:42.240 --> 00:33:43.240]   We're done.
[00:33:43.240 --> 00:33:44.240]   We're done.
[00:33:44.240 --> 00:33:45.240]   We're done.
[00:33:45.240 --> 00:33:46.240]   We're done.
[00:33:46.240 --> 00:33:47.240]   We're done.
[00:33:47.240 --> 00:33:48.240]   We're done.
[00:33:48.240 --> 00:33:49.240]   We're done.
[00:33:49.240 --> 00:33:50.240]   We're done.
[00:33:50.240 --> 00:33:51.240]   We're done.
[00:33:51.240 --> 00:33:52.240]   We're done.
[00:33:52.240 --> 00:33:53.240]   We're done.
[00:33:53.240 --> 00:33:54.240]   We're done.
[00:33:54.240 --> 00:33:55.240]   We're done.
[00:33:55.240 --> 00:33:56.240]   We're done.
[00:33:56.240 --> 00:33:57.240]   We're done.
[00:33:57.240 --> 00:33:58.240]   We're done.
[00:33:58.240 --> 00:33:59.240]   We're done.
[00:33:59.240 --> 00:34:00.240]   We're done.
[00:34:00.240 --> 00:34:01.240]   We're done.
[00:34:01.240 --> 00:34:02.240]   We're done.
[00:34:02.240 --> 00:34:03.240]   We're done.
[00:34:03.240 --> 00:34:04.240]   We're done.
[00:34:04.240 --> 00:34:05.240]   We're done.
[00:34:05.240 --> 00:34:06.240]   We're done.
[00:34:06.240 --> 00:34:07.240]   We're done.
[00:34:07.240 --> 00:34:08.240]   We're done.
[00:34:08.240 --> 00:34:09.240]   We're done.
[00:34:09.240 --> 00:34:10.240]   We're done.
[00:34:10.240 --> 00:34:11.240]   We're done.
[00:34:11.240 --> 00:34:12.240]   We're done.
[00:34:12.240 --> 00:34:13.240]   We're done.
[00:34:13.240 --> 00:34:14.240]   We're done.
[00:34:14.240 --> 00:34:15.240]   We're done.
[00:34:15.240 --> 00:34:16.240]   We're done.
[00:34:16.240 --> 00:34:17.240]   We're done.
[00:34:17.240 --> 00:34:18.240]   We're done.
[00:34:18.240 --> 00:34:19.240]   We're done.
[00:34:19.240 --> 00:34:20.240]   We're done.
[00:34:20.240 --> 00:34:21.240]   We're done.
[00:34:21.240 --> 00:34:22.240]   We're done.
[00:34:22.240 --> 00:34:23.240]   We're done.
[00:34:23.240 --> 00:34:24.240]   We're done.
[00:34:24.240 --> 00:34:25.240]   We're done.
[00:34:25.240 --> 00:34:26.240]   We're done.
[00:34:26.240 --> 00:34:27.240]   We're done.
[00:34:27.240 --> 00:34:28.240]   We're done.
[00:34:28.240 --> 00:34:29.240]   We're done.
[00:34:29.240 --> 00:34:30.240]   We're done.
[00:34:30.240 --> 00:34:31.240]   We're done.
[00:34:31.240 --> 00:34:32.240]   We're done.
[00:34:32.240 --> 00:34:33.240]   We're done.
[00:34:33.240 --> 00:34:34.240]   We're done.
[00:34:34.240 --> 00:34:35.240]   We're done.
[00:34:35.240 --> 00:34:36.240]   We're done.
[00:34:36.240 --> 00:34:37.240]   We're done.
[00:34:37.240 --> 00:34:38.240]   We're done.
[00:34:38.240 --> 00:34:39.240]   We're done.
[00:34:39.240 --> 00:34:40.240]   We're done.
[00:34:40.240 --> 00:34:41.240]   We're done.
[00:34:41.240 --> 00:34:42.240]   We're done.
[00:34:42.240 --> 00:34:43.240]   We're done.
[00:34:43.240 --> 00:34:44.240]   We're done.
[00:34:44.240 --> 00:34:45.240]   We're done.
[00:34:45.240 --> 00:34:46.240]   We're done.
[00:34:46.240 --> 00:34:47.240]   We're done.
[00:34:47.240 --> 00:34:48.240]   We're done.
[00:34:48.240 --> 00:34:49.240]   We're done.
[00:34:49.240 --> 00:34:50.240]   We're done.
[00:34:50.240 --> 00:34:51.240]   We're done.
[00:34:51.240 --> 00:34:52.240]   We're done.
[00:34:52.240 --> 00:34:53.240]   We're done.
[00:34:53.240 --> 00:34:54.240]   We're done.
[00:34:54.240 --> 00:34:55.240]   We're done.
[00:34:55.240 --> 00:34:56.240]   We're done.
[00:34:56.240 --> 00:34:57.240]   We're done.
[00:34:57.240 --> 00:34:58.240]   We're done.
[00:34:58.240 --> 00:34:59.240]   We're done.
[00:34:59.240 --> 00:35:00.240]   We're done.
[00:35:00.240 --> 00:35:01.240]   We're done.
[00:35:01.240 --> 00:35:02.240]   We're done.
[00:35:02.240 --> 00:35:03.240]   We're done.
[00:35:03.240 --> 00:35:04.240]   We're done.
[00:35:04.240 --> 00:35:05.240]   We're done.
[00:35:05.240 --> 00:35:06.240]   We're done.
[00:35:06.240 --> 00:35:07.240]   We're done.
[00:35:07.240 --> 00:35:08.240]   We're done.
[00:35:08.240 --> 00:35:09.240]   We're done.
[00:35:09.240 --> 00:35:10.240]   We're done.
[00:35:10.240 --> 00:35:11.240]   We're done.
[00:35:11.240 --> 00:35:12.240]   We're done.
[00:35:12.240 --> 00:35:13.240]   We're done.
[00:35:13.240 --> 00:35:14.240]   We're done.
[00:35:14.240 --> 00:35:15.240]   We're done.
[00:35:15.240 --> 00:35:16.240]   We're done.
[00:35:16.240 --> 00:35:17.240]   We're done.
[00:35:17.240 --> 00:35:18.240]   We're done.
[00:35:18.240 --> 00:35:19.240]   We're done.
[00:35:19.240 --> 00:35:20.240]   We're done.
[00:35:20.240 --> 00:35:21.240]   We're done.
[00:35:21.240 --> 00:35:22.240]   We're done.
[00:35:22.240 --> 00:35:23.240]   We're done.
[00:35:23.240 --> 00:35:24.240]   We're done.
[00:35:24.240 --> 00:35:25.240]   We're done.
[00:35:25.240 --> 00:35:26.240]   We're done.
[00:35:26.240 --> 00:35:27.240]   We're done.
[00:35:27.240 --> 00:35:28.240]   We're done.
[00:35:28.240 --> 00:35:29.240]   We're done.
[00:35:29.240 --> 00:35:30.240]   We're done.
[00:35:30.240 --> 00:35:31.240]   We're done.
[00:35:31.240 --> 00:35:32.240]   We're done.
[00:35:32.240 --> 00:35:33.240]   We're done.
[00:35:33.240 --> 00:35:34.240]   We're done.
[00:35:34.240 --> 00:35:35.240]   We're done.
[00:35:35.240 --> 00:35:36.240]   We're done.
[00:35:36.240 --> 00:35:37.240]   We're done.
[00:35:37.240 --> 00:35:38.240]   We're done.
[00:35:38.240 --> 00:35:39.240]   We're done.
[00:35:39.240 --> 00:35:40.240]   We're done.
[00:35:40.240 --> 00:35:41.240]   We're done.
[00:35:41.240 --> 00:35:42.240]   We're done.
[00:35:42.240 --> 00:35:43.240]   We're done.
[00:35:43.240 --> 00:35:44.240]   We're done.
[00:35:44.240 --> 00:35:45.240]   We're done.
[00:35:45.240 --> 00:35:46.240]   We're done.
[00:35:46.240 --> 00:35:47.240]   We're done.
[00:35:47.240 --> 00:35:48.240]   We're done.
[00:35:48.240 --> 00:35:49.240]   We're done.
[00:35:49.240 --> 00:35:50.240]   We're done.
[00:35:50.240 --> 00:35:51.240]   We're done.
[00:35:51.240 --> 00:35:52.240]   We're done.
[00:35:52.240 --> 00:35:53.240]   We're done.
[00:35:53.240 --> 00:35:54.240]   We're done.
[00:35:54.240 --> 00:35:55.240]   We're done.
[00:35:55.240 --> 00:35:56.240]   We're done.
[00:35:56.240 --> 00:35:57.240]   We're done.
[00:35:57.240 --> 00:35:58.240]   We're done.
[00:35:58.240 --> 00:35:59.240]   We're done.
[00:35:59.240 --> 00:36:00.240]   We're done.
[00:36:00.240 --> 00:36:01.240]   We're done.
[00:36:01.240 --> 00:36:02.240]   We're done.
[00:36:02.240 --> 00:36:03.240]   We're done.
[00:36:03.240 --> 00:36:04.240]   We're done.
[00:36:04.240 --> 00:36:05.240]   We're done.
[00:36:05.240 --> 00:36:06.240]   We're done.
[00:36:06.240 --> 00:36:07.240]   We're done.
[00:36:07.240 --> 00:36:08.240]   We're done.
[00:36:08.240 --> 00:36:09.240]   We're done.
[00:36:09.240 --> 00:36:10.240]   We're done.
[00:36:10.240 --> 00:36:11.240]   We're done.
[00:36:11.240 --> 00:36:12.240]   We're done.
[00:36:12.240 --> 00:36:13.240]   We're done.
[00:36:13.240 --> 00:36:14.240]   We're done.
[00:36:14.240 --> 00:36:15.240]   We're done.
[00:36:15.240 --> 00:36:16.240]   We're done.
[00:36:16.240 --> 00:36:17.240]   We're done.
[00:36:17.240 --> 00:36:18.240]   We're done.
[00:36:18.240 --> 00:36:19.240]   We're done.
[00:36:19.240 --> 00:36:20.240]   We're done.
[00:36:20.240 --> 00:36:21.240]   We're done.
[00:36:21.240 --> 00:36:22.240]   We're done.
[00:36:22.240 --> 00:36:23.240]   We're done.
[00:36:23.240 --> 00:36:24.240]   We're done.
[00:36:24.240 --> 00:36:25.240]   We're done.
[00:36:25.240 --> 00:36:26.240]   We're done.
[00:36:26.240 --> 00:36:27.240]   We're done.
[00:36:27.240 --> 00:36:28.240]   We're done.
[00:36:28.240 --> 00:36:29.240]   We're done.
[00:36:29.240 --> 00:36:30.240]   We're done.
[00:36:30.240 --> 00:36:31.240]   We're done.
[00:36:31.240 --> 00:36:32.240]   We're done.
[00:36:32.240 --> 00:36:33.240]   We're done.
[00:36:33.240 --> 00:36:34.240]   We're done.
[00:36:34.240 --> 00:36:35.240]   We're done.
[00:36:35.240 --> 00:36:36.240]   We're done.
[00:36:36.240 --> 00:36:37.240]   We're done.
[00:36:37.240 --> 00:36:38.240]   We're done.
[00:36:38.240 --> 00:36:39.240]   We're done.
[00:36:39.240 --> 00:36:40.240]   We're done.
[00:36:40.240 --> 00:36:41.240]   We're done.
[00:36:41.240 --> 00:36:42.240]   We're done.
[00:36:42.240 --> 00:36:43.240]   We're done.
[00:36:43.240 --> 00:36:44.240]   We're done.
[00:36:44.240 --> 00:36:45.240]   We're done.
[00:36:45.240 --> 00:36:46.240]   We're done.
[00:36:46.240 --> 00:36:47.240]   We're done.
[00:36:47.240 --> 00:36:48.240]   We're done.
[00:36:48.240 --> 00:36:49.240]   We're done.
[00:36:49.240 --> 00:36:50.240]   We're done.
[00:36:50.240 --> 00:36:51.240]   We're done.
[00:36:51.240 --> 00:36:52.240]   We're done.
[00:36:52.240 --> 00:36:53.240]   We're done.
[00:36:53.240 --> 00:36:54.240]   We're done.
[00:36:54.240 --> 00:36:55.240]   We're done.
[00:36:55.240 --> 00:36:56.240]   We're done.
[00:36:56.240 --> 00:36:57.240]   We're done.
[00:36:57.240 --> 00:36:58.240]   We're done.
[00:36:58.240 --> 00:36:59.240]   We're done.
[00:36:59.240 --> 00:37:00.240]   We're done.
[00:37:00.240 --> 00:37:01.240]   We're done.
[00:37:01.240 --> 00:37:02.240]   We're done.
[00:37:02.240 --> 00:37:03.240]   We're done.
[00:37:03.240 --> 00:37:04.240]   We're done.
[00:37:04.240 --> 00:37:05.240]   We're done.
[00:37:05.240 --> 00:37:06.240]   We're done.
[00:37:06.240 --> 00:37:07.240]   We're done.
[00:37:07.240 --> 00:37:08.240]   We're done.
[00:37:08.240 --> 00:37:09.240]   We're done.
[00:37:09.240 --> 00:37:10.240]   We're done.
[00:37:10.240 --> 00:37:11.240]   We're done.
[00:37:11.240 --> 00:37:12.240]   We're done.
[00:37:12.240 --> 00:37:13.240]   We're done.
[00:37:13.240 --> 00:37:14.240]   We're done.
[00:37:14.240 --> 00:37:15.240]   We're done.
[00:37:15.240 --> 00:37:16.240]   We're done.
[00:37:16.240 --> 00:37:17.240]   We're done.
[00:37:17.240 --> 00:37:18.240]   We're done.
[00:37:18.240 --> 00:37:19.240]   We're done.
[00:37:19.240 --> 00:37:20.240]   We're done.
[00:37:20.240 --> 00:37:21.240]   We're done.
[00:37:21.240 --> 00:37:22.240]   We're done.
[00:37:22.240 --> 00:37:23.240]   We're done.
[00:37:23.240 --> 00:37:24.240]   We're done.
[00:37:24.240 --> 00:37:25.240]   We're done.
[00:37:25.240 --> 00:37:26.240]   We're done.
[00:37:26.240 --> 00:37:27.240]   We're done.
[00:37:27.240 --> 00:37:28.240]   We're done.
[00:37:28.240 --> 00:37:29.240]   We're done.
[00:37:29.240 --> 00:37:30.240]   We're done.
[00:37:30.240 --> 00:37:31.240]   We're done.
[00:37:31.240 --> 00:37:32.240]   We're done.
[00:37:32.240 --> 00:37:33.240]   We're done.
[00:37:33.240 --> 00:37:34.240]   We're done.
[00:37:34.240 --> 00:37:35.240]   We're done.
[00:37:35.240 --> 00:37:36.240]   We're done.
[00:37:36.240 --> 00:37:37.240]   We're done.
[00:37:37.240 --> 00:37:38.240]   We're done.
[00:37:38.240 --> 00:37:39.240]   We're done.
[00:37:39.240 --> 00:37:40.240]   We're done.
[00:37:40.240 --> 00:37:41.240]   We're done.
[00:37:41.240 --> 00:37:42.240]   We're done.
[00:37:42.240 --> 00:37:43.240]   We're done.
[00:37:43.240 --> 00:37:44.240]   We're done.
[00:37:44.240 --> 00:37:45.240]   We're done.
[00:37:45.240 --> 00:37:46.240]   We're done.
[00:37:46.240 --> 00:37:47.240]   We're done.
[00:37:47.240 --> 00:37:48.240]   We're done.
[00:37:48.240 --> 00:37:49.240]   We're done.
[00:37:49.240 --> 00:37:50.240]   We're done.
[00:37:50.240 --> 00:37:51.240]   We're done.
[00:37:51.240 --> 00:37:52.240]   We're done.
[00:37:52.240 --> 00:37:53.240]   We're done.
[00:37:53.240 --> 00:37:54.240]   We're done.
[00:37:54.240 --> 00:37:55.240]   We're done.
[00:37:55.240 --> 00:37:56.240]   We're done.
[00:37:56.240 --> 00:37:57.240]   We're done.
[00:37:57.240 --> 00:37:58.240]   We're done.
[00:37:58.240 --> 00:37:59.240]   We're done.
[00:37:59.240 --> 00:38:00.240]   We're done.
[00:38:00.240 --> 00:38:01.240]   We're done.
[00:38:01.240 --> 00:38:02.240]   We're done.
[00:38:02.240 --> 00:38:03.240]   We're done.
[00:38:03.240 --> 00:38:04.240]   We're done.
[00:38:04.240 --> 00:38:05.240]   We're done.
[00:38:05.240 --> 00:38:06.240]   We're done.
[00:38:06.240 --> 00:38:07.240]   We're done.
[00:38:07.240 --> 00:38:08.240]   We're done.
[00:38:08.240 --> 00:38:09.240]   We're done.
[00:38:09.240 --> 00:38:10.240]   We're done.
[00:38:10.240 --> 00:38:11.240]   We're done.
[00:38:11.240 --> 00:38:12.240]   We're done.
[00:38:12.240 --> 00:38:13.240]   We're done.
[00:38:13.240 --> 00:38:14.240]   We're done.
[00:38:14.240 --> 00:38:15.240]   We're done.
[00:38:15.240 --> 00:38:16.240]   We're done.
[00:38:16.240 --> 00:38:17.240]   We're done.
[00:38:17.240 --> 00:38:18.240]   We're done.
[00:38:18.240 --> 00:38:19.240]   We're done.
[00:38:19.240 --> 00:38:20.240]   We're done.
[00:38:20.240 --> 00:38:21.240]   We're done.
[00:38:21.240 --> 00:38:22.240]   We're done.
[00:38:22.240 --> 00:38:23.240]   We're done.
[00:38:23.240 --> 00:38:24.240]   We're done.
[00:38:24.240 --> 00:38:25.240]   We're done.
[00:38:25.240 --> 00:38:26.240]   We're done.
[00:38:26.240 --> 00:38:27.240]   We're done.
[00:38:27.240 --> 00:38:28.240]   We're done.
[00:38:28.240 --> 00:38:29.240]   We're done.
[00:38:29.240 --> 00:38:30.240]   We're done.
