
[00:00:00.000 --> 00:00:07.000]   This is Twit, this week in Tech, episode 35 for December 18, 2005.
[00:19:40.000 --> 00:19:46.000]   And that's kind of what Ajax is. I mean, I'm sure a developer will say, "Well, no, DHTML was this and not that."
[00:19:46.000 --> 00:19:50.000]   But it's very similar. And in the effects or so. Remember, there were DHTML games.
[00:19:50.000 --> 00:19:55.000]   People have written games in DHTML. Right. I do remember that. I think we should have some out there.
[00:19:55.000 --> 00:20:00.000]   And there's the whole Ajax thing easily cross-platform. Does it run on all the current browsers?
[00:20:00.000 --> 00:20:09.000]   All the browsers, yeah. Cool. There is no such thing as Ajax, though. I mean, it's really a hodgepodge of web technologies that somebody just decided to label.
[00:20:09.000 --> 00:20:14.000]   Right? Kevin? Yeah, you're absolutely right. You're working with it more than anybody I know.
[00:20:14.000 --> 00:20:24.000]   Yeah, but the funny thing is, like, all the sites that I see that are just Ajax sites now, the big push is like you see people, you can move windows around or you can, you know, something flashes and does something crazy.
[00:20:24.000 --> 00:20:40.000]   Like Google IG or Microsoft Star. Yeah. I think we're going to see that for a while. But, I mean, the true, the balance that you have to find as someone that's building a site is that mixture of actually value from the tool that you're creating and not just about, you know, being able to move around a window just because you can.
[00:20:40.000 --> 00:20:56.000]   And just never see anything right now. That's proto pages. All G is in very little content. It's just a, it's a cool use of Ajax. But it, when it cool, hey, speaking of Bill, he's the person of the year, Bill and Melinda Gates and Bono are Time Magazine's 2005 Persons of the Year.
[00:20:56.000 --> 00:21:04.000]   Bono! You got to see the picture of Bono looking very, you know, he's got the shades. He's looking very cool and kind of angry.
[00:21:04.000 --> 00:21:17.000]   He's looking creepy. He's looking like a derelict. And then there's Belin Melinda standing there next to them. They all have a globe. It's a very weird and on the cover of Time Magazine, Bono's in between Bill and Melinda. She doesn't look happy about it.
[00:21:17.000 --> 00:21:25.000]   So I don't know. It's a weird trio. The idea is that they all have done a lot to promote philanthropy.
[00:21:25.000 --> 00:21:38.000]   It's kind of interesting because usually, usually Time Magazine picks the people that have had the most inches in the news that year. And this time it's sort of like it's more on an ultra, the people have been the most altruistic.
[00:21:38.000 --> 00:21:44.000]   Yeah, it's an unusual kind of choice on their part. And it's a weird combination to bring the Gates's together with Bono.
[00:21:44.000 --> 00:21:50.000]   Of course, you remember the time that Steve Jobs was supposed to be Man of the Year, but they did their interviews and decided he couldn't be, so they made it a machine of the year.
[00:21:50.000 --> 00:21:56.000]   That's right. The computer was the machine. Why couldn't Jobs be the man of the year? That was '82, wasn't it?
[00:21:56.000 --> 00:22:06.000]   Yeah, the interviewer Mike Moritz talked to all these people around the valley that knew Steve Jobs and basically told me he just came up with negative story after negative story.
[00:22:06.000 --> 00:22:13.000]   Can't be Man of the Year. Well, you should have been. I mean, you invented the darn thing. Make you the man of the year.
[00:22:13.000 --> 00:22:17.000]   That should have been a real challenge finding bad stories about Steve Jobs.
[00:22:17.000 --> 00:22:21.000]   I think the other side was still trying to go to school anonymously.
[00:22:21.000 --> 00:22:25.000]   That's right. You were being rocky. What was your code name?
[00:22:25.000 --> 00:22:30.000]   Rocky Raccoon Clark and I have it on my diploma from Berkeley.
[00:22:30.000 --> 00:22:41.000]   You may have seen this in Andy Herzfeld's got that great folklore.org website where he's putting together just stories after story about not just the Macintosh team but the Silicon Valley in general.
[00:22:41.000 --> 00:22:50.000]   But there's a new story there in 1984 in which he said that the Apple board hated the 1984 commercial when they first saw it. They didn't want it.
[00:22:50.000 --> 00:22:56.000]   This is so funny because I was so unpolitical. Anything in the company had to apologize. I wouldn't be near.
[00:22:56.000 --> 00:23:02.000]   I had no idea what the commercial would mean to board members. I didn't really know what real board members were.
[00:23:02.000 --> 00:23:10.000]   But Steve called me over one night and showed me the ad. It was just shocked by the science fiction, the drama appearance of it.
[00:23:10.000 --> 00:23:15.000]   Wow, that is so incredibly great. We're not going to show it. Our board doesn't want to show it.
[00:23:15.000 --> 00:23:20.000]   I said, "Why?" He said, "Well, it costs $800,000 to show it on the Super Bowl."
[00:23:20.000 --> 00:23:27.000]   I said, "Well, I'll pay half of it if you will." I just thought it deserved to be shown.
[00:23:27.000 --> 00:23:32.000]   Did you or did they finally relent? No, they changed their mind.
[00:23:32.000 --> 00:23:36.000]   But I had no idea. They didn't like portraying business people in a bad sense.
[00:23:36.000 --> 00:23:38.000]   Was the problem. Oh, is that it?
[00:23:38.000 --> 00:23:43.000]   What did they think about the next year's commercial where they had the same geeks walking over the cliff?
[00:23:43.000 --> 00:23:45.000]   The IBM Lemmings.
[00:23:45.000 --> 00:23:52.000]   Unfortunately, after a huge success of the commercial and free air play on all the news shows and things like that,
[00:23:52.000 --> 00:23:57.000]   they approved the Lemmings of it. I thought that was just awful and sick. I just sat there.
[00:23:57.000 --> 00:24:02.000]   I agree with you. It wasn't a great piece of science fiction of film work.
[00:24:02.000 --> 00:24:07.000]   No, that was insulting. I thought the other one wasn't insulting in the least.
[00:24:07.000 --> 00:24:13.000]   I thought it was just fantastic. It got more free airtime than any other ad in the history of advertising.
[00:24:13.000 --> 00:24:18.000]   The 1984 commercial was really more of what our minds are and not insulting to real people.
[00:24:18.000 --> 00:24:20.000]   Right. Right.
[00:24:20.000 --> 00:24:26.000]   They only aired the ones in the Super Bowl and then once before that to qualify for the Clio Awards.
[00:24:26.000 --> 00:24:28.000]   Did they ever air again?
[00:24:28.000 --> 00:24:33.000]   I don't think so. I think I heard that it went five times up for real,
[00:24:33.000 --> 00:24:36.000]   as well as the one that was in the year that got qualified for the Clio.
[00:24:36.000 --> 00:24:39.000]   Very, very expensive. Yet, I think they got their moneys worth.
[00:24:39.000 --> 00:24:46.000]   People still watch that ad. In fact, there's a great podcast that's bringing back old Apple ads and all sorts of stuff.
[00:24:46.000 --> 00:24:52.000]   Lots of video and it's on there. Have you seen that podcast Steve? I think it was. You might enjoy it.
[00:24:52.000 --> 00:24:56.000]   It's just a bunch of old, like they have the old Dick Cavitt ad for the Apple II.
[00:24:56.000 --> 00:24:58.000]   It's just fun to see all those old things.
[00:24:58.000 --> 00:25:01.000]   I haven't seen that. I've got my own collection of Apple ads though.
[00:25:01.000 --> 00:25:05.000]   That's true. You probably don't need to see it. You've got them already.
[00:25:05.000 --> 00:25:12.000]   Yeah, this is a great... If you've never seen Folkload.org, Andy Herzfeld has done a great job of just bringing back some great stories.
[00:25:12.000 --> 00:25:16.000]   This one is in there and you confirmed it. It's a true story.
[00:25:16.000 --> 00:25:22.000]   Well, a great thing about that book is the stories were really written by the people who were developing the Mac as they developed it.
[00:25:22.000 --> 00:25:23.000]   Right.
[00:25:23.000 --> 00:25:27.000]   And their impressions, their memories and others, comments on this that add a little bit of features.
[00:25:27.000 --> 00:25:32.000]   Even a person that's working on something doesn't understand part of a suggestion that went into it.
[00:25:32.000 --> 00:25:35.000]   And then you get that cleared up. It was a great book.
[00:25:35.000 --> 00:25:37.000]   You know what? You're going to interrupt in that.
[00:25:37.000 --> 00:25:42.000]   Herzfeld is at Folkload.org is an excellent site if you want to hear some of these old stories.
[00:25:42.000 --> 00:25:46.000]   But I don't understand the nomenclature here. This is not folklore.
[00:25:46.000 --> 00:25:48.000]   Andy means so stretch of the imagination.
[00:25:48.000 --> 00:25:49.000]   It's a true story.
[00:25:49.000 --> 00:25:52.000]   Yeah, it's essentially written oral history.
[00:25:52.000 --> 00:25:53.000]   Yeah.
[00:25:53.000 --> 00:25:59.000]   But I mean, it's folklore. I think he should go look up folklore in the dictionary before, you know, because he's related to change the name now.
[00:25:59.000 --> 00:26:01.000]   He's probably the only domain name he could get.
[00:26:01.000 --> 00:26:02.000]   He's a programmer.
[00:26:02.000 --> 00:26:04.000]   He's a programmer, not a writer.
[00:26:04.000 --> 00:26:08.000]   And Susan Care put a lot of effort into the look and feel.
[00:26:08.000 --> 00:26:11.000]   And it really is nice. They have a kind of needlepoint logo.
[00:26:11.000 --> 00:26:12.000]   And I like it.
[00:26:12.000 --> 00:26:16.000]   And it's just fun to read these stories. And yeah, he did, I forgot to mention it as you did.
[00:26:16.000 --> 00:26:18.000]   Well, as he turned it into a book.
[00:26:18.000 --> 00:26:21.000]   But the site continues and is getting bigger all the time.
[00:26:21.000 --> 00:26:24.000]   Speaking of books, I have not a biography coming up next fall.
[00:26:24.000 --> 00:26:27.000]   Yeah, Gina will be mad if we do not plug this.
[00:26:27.000 --> 00:26:30.000]   You worked with Gina Smith to create this memoir. What's it called?
[00:26:30.000 --> 00:26:34.000]   It's got, well, I'm not going to say it has a name yet.
[00:26:34.000 --> 00:26:36.000]   It has a name, but I'm not happy with it.
[00:26:36.000 --> 00:26:41.000]   Is Gina Smith, is Gina Smith still in the country? I haven't heard hiding her hair from her.
[00:26:41.000 --> 00:26:44.000]   That's just a joke because I know she's going to hear that.
[00:26:44.000 --> 00:26:46.000]   She's been promising to do the show in a sense.
[00:26:46.000 --> 00:26:52.000]   I cannot tell you how many days I had to go down and to interviews into a microphone to get it into my voice.
[00:26:52.000 --> 00:26:55.000]   And then we had transcripts and worked on those editing them.
[00:26:55.000 --> 00:27:01.000]   And we had to go for every word and every paragraph and change them to get them accurate technically, accurate in time, accurate for what they said.
[00:27:01.000 --> 00:27:03.000]   So I wouldn't look like too much of a dummy.
[00:27:03.000 --> 00:27:07.000]   But I went through a period of like three months where I could only do one thing a day.
[00:27:07.000 --> 00:27:11.000]   I was on some drugs for a ruptured disc and could only, I was sleeping 18 hours a day.
[00:27:11.000 --> 00:27:12.000]   Oh, man.
[00:27:12.000 --> 00:27:16.000]   I would get on my segue and ride an hour down the road to Campbell.
[00:27:16.000 --> 00:27:19.000]   We'd meet at a restaurant, work for a few hours, and then I'd come back home.
[00:27:19.000 --> 00:27:20.000]   I'm impressed.
[00:27:20.000 --> 00:27:21.000]   Day after day.
[00:27:21.000 --> 00:27:22.000]   And it was a long job.
[00:27:22.000 --> 00:27:24.000]   It will be a must read.
[00:27:24.000 --> 00:27:25.000]   I'm sure for everybody.
[00:27:25.000 --> 00:27:27.000]   You said it's not going to be out till next fall?
[00:27:27.000 --> 00:27:29.000]   Well, I think that's how long it takes.
[00:27:29.000 --> 00:27:30.000]   We turned it in in November.
[00:27:30.000 --> 00:27:31.000]   Wow.
[00:27:31.000 --> 00:27:32.000]   Wow.
[00:27:32.000 --> 00:27:33.000]   It's a long time.
[00:27:33.000 --> 00:27:35.000]   So, the segue caused the ruptured disc.
[00:27:35.000 --> 00:27:41.000]   Actually, I think that it was lifting a segue into my truck caused it so I use a ramp now.
[00:27:41.000 --> 00:27:42.000]   Yeah, don't lift.
[00:27:42.000 --> 00:27:46.000]   I knew those things were dangerous the first time I saw them.
[00:27:46.000 --> 00:27:47.000]   Trouble.
[00:27:47.000 --> 00:27:48.000]   It smells trouble.
[00:27:48.000 --> 00:27:49.000]   Listen.
[00:27:49.000 --> 00:27:52.000]   I, the New York Times said, "I am the Wayne Gretzky of Segue Paula."
[00:27:52.000 --> 00:27:54.000]   And it's really because I was so clumsy at first.
[00:27:54.000 --> 00:27:55.000]   I was so clumsy at first.
[00:27:55.000 --> 00:27:57.000]   I would accidentally bump into people.
[00:27:57.000 --> 00:28:00.000]   I couldn't control my position that well.
[00:28:00.000 --> 00:28:03.000]   And they just, it seemed like I was the rough player.
[00:28:03.000 --> 00:28:04.000]   The Wayne Gretz.
[00:28:04.000 --> 00:28:07.000]   But I push, but I push the rules to the limits.
[00:28:07.000 --> 00:28:11.000]   It's like they, when a guy was just about to shoot him, he knew our goal and just about
[00:28:11.000 --> 00:28:16.000]   to shoot a goal, I would throw my mallet out of my hand, under the ball and mess up a shot.
[00:28:16.000 --> 00:28:19.000]   And they made it legal for a while, but about the third time I did it, they made that one
[00:28:19.000 --> 00:28:20.000]   illegal.
[00:28:20.000 --> 00:28:23.000]   Real quickly, other stories.
[00:28:23.000 --> 00:28:26.000]   Warner Shephell has issued an apology.
[00:28:26.000 --> 00:28:27.000]   Thank goodness.
[00:28:27.000 --> 00:28:32.000]   This is the, you know, the music publishing site company that shut down a pair lyric.
[00:28:32.000 --> 00:28:34.000]   Have you used a pair lyric?
[00:28:34.000 --> 00:28:35.000]   It's very cool.
[00:28:35.000 --> 00:28:40.000]   But it's sad because the guy who wrote it had to pull it off because the music industry
[00:28:40.000 --> 00:28:42.000]   said, "You can't."
[00:28:42.000 --> 00:28:44.000]   This thing didn't even have lyrics in it.
[00:28:44.000 --> 00:28:45.000]   It was just a search engine.
[00:28:45.000 --> 00:28:50.000]   When you played a song in iTunes, it would look up the lyrics for you and display them
[00:28:50.000 --> 00:28:51.000]   on the screen.
[00:28:51.000 --> 00:28:54.000]   And he got, he got ceased and desist out of business.
[00:28:54.000 --> 00:28:56.000]   And now they're apologizing.
[00:28:56.000 --> 00:28:57.000]   They sent Walter Ritter as the guy.
[00:28:57.000 --> 00:29:04.000]   They sent him a letter saying, "The goal of our letter to pair works was to gain assurance
[00:29:04.000 --> 00:29:07.000]   that the pair of lyrics operated according to copyright principles.
[00:29:07.000 --> 00:29:12.000]   However, in both tone and substance, the letter was an inappropriate manner in which to convey
[00:29:12.000 --> 00:29:13.000]   that inquiry.
[00:29:13.000 --> 00:29:14.000]   They apologize.
[00:29:14.000 --> 00:29:15.000]   Yeah.
[00:29:15.000 --> 00:29:16.000]   Well, what are the results?
[00:29:16.000 --> 00:29:17.000]   No.
[00:29:17.000 --> 00:29:18.000]   I've never heard this.
[00:29:18.000 --> 00:29:21.000]   He's got a 10 on the reason meter.
[00:29:21.000 --> 00:29:25.000]   Well, the irony is, yeah, okay, they're not going after Walter because everybody paid attention
[00:29:25.000 --> 00:29:27.000]   to that and we mentioned it and so forth.
[00:29:27.000 --> 00:29:30.000]   But now they are going after other lyrics sites and they are pulling them down.
[00:29:30.000 --> 00:29:35.000]   They're saying they're commercial because they have Google ads on it and they're trying
[00:29:35.000 --> 00:29:38.000]   to get these guys to stop putting up lyrics sites.
[00:29:38.000 --> 00:29:40.000]   Don't they get that this sells music?
[00:29:40.000 --> 00:29:42.000]   Well, also you have a right to memorialize something.
[00:29:42.000 --> 00:29:45.000]   You hear, you have a right to record a song that you hear.
[00:29:45.000 --> 00:29:46.000]   Well, good luck.
[00:29:46.000 --> 00:29:47.000]   You're hearing the lyrics.
[00:29:47.000 --> 00:29:51.000]   So why would they force somebody to type them down if they're going to make it illegal
[00:29:51.000 --> 00:29:54.000]   to listen along with the song?
[00:29:54.000 --> 00:29:55.000]   Along with the song.
[00:29:55.000 --> 00:29:57.000]   It really should have been an MP3 tag.
[00:29:57.000 --> 00:29:58.000]   It should have been the lyrics.
[00:29:58.000 --> 00:29:59.000]   Yeah, absolutely.
[00:29:59.000 --> 00:30:01.000]   There is an MP3 tag for lyrics.
[00:30:01.000 --> 00:30:02.000]   You can put lyrics in.
[00:30:02.000 --> 00:30:04.000]   I'll tell you, I think it sells records.
[00:30:04.000 --> 00:30:08.000]   If I hear a song on the radio and I can't figure out what it is, I'll enter the lyric
[00:30:08.000 --> 00:30:11.000]   into the Google and find the song name and buy the song.
[00:30:11.000 --> 00:30:13.000]   Why are they upset about this?
[00:30:13.000 --> 00:30:16.000]   Well, if it was non-commercial, would they have a problem with it or is it just the fact
[00:30:16.000 --> 00:30:18.000]   that they have Google ads and they're making money from it?
[00:30:18.000 --> 00:30:19.000]   That's exactly what they say.
[00:30:19.000 --> 00:30:21.000]   They say we're not going to pull down the non-commercial sites.
[00:30:21.000 --> 00:30:23.000]   We're only going to pull in sites with Google ads.
[00:30:23.000 --> 00:30:24.000]   What difference does it make?
[00:30:24.000 --> 00:30:26.000]   Nobody makes money on Google ads since.
[00:30:26.000 --> 00:30:28.000]   I doubt people are making a lot of money.
[00:30:28.000 --> 00:30:31.000]   It's certainly, what do they want to license the lyrics?
[00:30:31.000 --> 00:30:32.000]   What is the deal?
[00:30:32.000 --> 00:30:33.000]   It's crazy.
[00:30:33.000 --> 00:30:36.000]   At least we've got one apology out of the music industry.
[00:30:36.000 --> 00:30:39.000]   We'll never get another one, but enjoy it while you got it.
[00:30:39.000 --> 00:30:43.000]   You have a right, Woz, to write, to memorialize something you hear.
[00:30:43.000 --> 00:30:44.000]   What does that mean?
[00:30:44.000 --> 00:30:47.000]   Well, this basically goes back to the Sony lawsuit.
[00:30:47.000 --> 00:30:51.000]   If you watch a TV show, you have a right to record it for personal reasons.
[00:30:51.000 --> 00:30:55.000]   Now, of course, you may not have a right to decode digital television, but you have a
[00:30:55.000 --> 00:31:00.000]   right to point of a camcorder at your TV set and record it just to keep a memorabilia
[00:31:00.000 --> 00:31:01.000]   around.
[00:31:01.000 --> 00:31:02.000]   You saw it.
[00:31:02.000 --> 00:31:04.000]   If you hear it on a radio station, you can record.
[00:31:04.000 --> 00:31:07.000]   You always could record it for your own personal keeping.
[00:31:07.000 --> 00:31:12.000]   Now, making money off that, of course, means you're making money off of somebody else's
[00:31:12.000 --> 00:31:14.000]   work and they do deserve a cut.
[00:31:14.000 --> 00:31:16.000]   Although how much money are they making?
[00:31:16.000 --> 00:31:18.000]   Ironically, Google is moving into this space.
[00:31:18.000 --> 00:31:23.000]   Now, I think I'm wondering if the music industry is saying we want to clear the way for Google.
[00:31:23.000 --> 00:31:27.000]   This is an added music listing feature to the search engine.
[00:31:27.000 --> 00:31:31.000]   Google making money on it, believe me, you can buy the songs and so forth.
[00:31:31.000 --> 00:31:35.000]   Including the search by Lyric, but I don't think that sites up yet part of that service
[00:31:35.000 --> 00:31:36.000]   is up yet on Google.
[00:31:36.000 --> 00:31:37.000]   No.
[00:31:37.000 --> 00:31:41.000]   I wonder, will the music industry go after Google or will Google have to pay license fees?
[00:31:41.000 --> 00:31:45.000]   You know, Google's got lots of great things about Google nowadays.
[00:31:45.000 --> 00:31:46.000]   They've got deep pockets.
[00:31:46.000 --> 00:31:50.000]   They can fight these guys better than anyone.
[00:31:50.000 --> 00:31:54.000]   Yeah, that's a little different going after some guy who writes a shareware program.
[00:31:54.000 --> 00:31:58.000]   It probably makes 10 bucks a day out of it than going after Google.
[00:31:58.000 --> 00:32:02.000]   If he makes that much, then the other thing is, these guys are big tough guys, but they
[00:32:02.000 --> 00:32:05.000]   would, I'd like to know why they're not in Malaysia right now.
[00:32:05.000 --> 00:32:10.000]   You know, in Kuala Lumpur, busting those guys that have the real piracy operations.
[00:32:10.000 --> 00:32:13.000]   They haven't got the nerve to do that, but they'll take on college kids.
[00:32:13.000 --> 00:32:18.000]   The guy who invented the Walkman has been fighting with Sony for 20 years over this.
[00:32:18.000 --> 00:32:22.000]   He finally got an apology and a payout from Sony.
[00:32:22.000 --> 00:32:25.000]   And of all things, would you believe he's a Brazilian?
[00:32:25.000 --> 00:32:26.000]   He's a Brazilian.
[00:32:26.000 --> 00:32:28.000]   He was a young Brazilian kid.
[00:32:28.000 --> 00:32:30.000]   You want to tell the story, was?
[00:32:30.000 --> 00:32:31.000]   Sure.
[00:32:31.000 --> 00:32:32.000]   Yeah.
[00:32:32.000 --> 00:32:35.000]   He developed, he thought about making a portable music device, and he did.
[00:32:35.000 --> 00:32:39.000]   He remembered being with his girlfriend, Switzerland, and exactly where they were on a snowy day,
[00:32:39.000 --> 00:32:43.000]   and he pulled it out, and they both listened to music, and they had really brought portable music to the world,
[00:32:43.000 --> 00:32:45.000]   portable stereo music.
[00:32:45.000 --> 00:32:53.000]   And he, I guess, when after Sony, in a few countries where he had patents, he got one deal from Sony that was so ridiculous.
[00:32:53.000 --> 00:32:59.000]   It was only on certain models of Walkman's only sold in Germany, but yes, he kept it up over the years.
[00:32:59.000 --> 00:33:07.000]   They put him $3 million in the red, and eventually kept it up, and now he's got a deal, and they aren't disclosing the terms of horse.
[00:33:07.000 --> 00:33:12.000]   As an inventor, I'm sure you're sympathetic to this guy, but you got to, I mean, he's even, this guy's even said, you know,
[00:33:12.000 --> 00:33:18.000]   I basically wasted my life, I try to keep other interests up, but this is my whole life has been spent in this litigation.
[00:33:18.000 --> 00:33:20.000]   And it was not his intent.
[00:33:20.000 --> 00:33:21.000]   It's not what he wanted to do.
[00:33:21.000 --> 00:33:27.000]   And I kind of feel bad on the one hand, and wonder maybe if he should have just given it up, I don't know.
[00:33:27.000 --> 00:33:29.000]   What would you have done?
[00:33:29.000 --> 00:33:32.000]   Hey, you have a choice, but you would really have a choice.
[00:33:32.000 --> 00:33:37.000]   And you know what, there's a book that was put out by the Lemelson organization based on another inventor,
[00:33:37.000 --> 00:33:43.000]   and it's got story after story about people that won the Lemelson prize like Dean Kamehain, inventor of the Safeway.
[00:33:43.000 --> 00:33:49.000]   And almost case after case after case, they had to go through a lawsuit to finally get their due out of a...
[00:33:49.000 --> 00:33:50.000]   Really?
[00:33:50.000 --> 00:33:51.000]   ...in the event.
[00:33:51.000 --> 00:33:53.000]   Really? So it's not uncommon at all then?
[00:33:53.000 --> 00:33:58.000]   Not for a lot of the big ones that get found by a small person, and how do they take the credit for it.
[00:33:58.000 --> 00:34:03.000]   Right. I mean, it's hard to fight Sony, but you know, the guy did. So good news.
[00:34:03.000 --> 00:34:06.000]   So I'm floating around and I found a very interesting program.
[00:34:06.000 --> 00:34:11.000]   I'd like to get some feedback from you guys, not necessarily now, but over the next week or so.
[00:34:11.000 --> 00:34:14.000]   Has anybody taken a look at it or played it with rightly?
[00:34:14.000 --> 00:34:15.000]   No, what is it?
[00:34:15.000 --> 00:34:24.000]   It's www.rightly, like right, you know, like as in pinwriting, rightly.com.
[00:34:24.000 --> 00:34:28.000]   And it's a online word processor that's actually quite astonishing.
[00:34:28.000 --> 00:34:33.000]   I never thought that these things would ever work because, you know, the idea of doing a word processor online,
[00:34:33.000 --> 00:34:37.000]   I would say there would be a lot of lag issues and other kinds of problems.
[00:34:37.000 --> 00:34:42.000]   But this little product, which is done here in the Bay Area, it's an online word processor.
[00:34:42.000 --> 00:34:47.000]   It creates doc files. You can upload things into it and you can use it as your word processor.
[00:34:47.000 --> 00:34:57.000]   It's like, seems to me to be like maybe an entryway to different kinds of portable computing or thin clients or whatever.
[00:34:57.000 --> 00:35:01.000]   It's quite interesting. I want everyone to look at it and tell me what you think.
[00:35:01.000 --> 00:35:07.000]   Yeah, I'm looking at the page and I mean the UI looks extensive just like what you have in front of you.
[00:35:07.000 --> 00:35:12.000]   And it looks like it does HTML and, you know, complete control of fonts and so forth.
[00:35:12.000 --> 00:35:15.000]   This stuff has to scare Microsoft. I see the wheelies out of Microsoft.
[00:35:15.000 --> 00:35:23.000]   I'm sure that this is exactly the kind of thing their web services terrifies them because you can put whole application suites online.
[00:35:23.000 --> 00:35:25.000]   Who needs Microsoft Office?
[00:35:25.000 --> 00:35:33.000]   Well, when they worked this smoothly, I'd have to say that. I mean, I was skeptical about this because we were promising this during the initial .com boom in the late 90s.
[00:35:33.000 --> 00:35:37.000]   It's kind of, you know, Scott McNeely, the biggest, you know, BS or about this stuff.
[00:35:37.000 --> 00:35:44.000]   But, you know, using Java and some of these other technologies that were just so slow, it was like impossible to do.
[00:35:44.000 --> 00:35:48.000]   And we also didn't have the connections we have today. And I was playing with this.
[00:35:48.000 --> 00:35:53.000]   I think the office is a good example. It was Java-based and it was slow. It was painful. The idea seemed good.
[00:35:53.000 --> 00:35:56.000]   Yeah, but this thing's really snappy. I was shocked by it.
[00:35:56.000 --> 00:36:00.000]   Well, and it looks like it's collaborative because there's a little tag at the bottom that says "Sass!"
[00:36:00.000 --> 00:36:01.000]   Also editing this document.
[00:36:01.000 --> 00:36:09.000]   Right. You can do multiple, you can put a whole group, kind of a collaboration group together over the net and use the new user system, which is really valuable.
[00:36:09.000 --> 00:36:10.000]   Wow.
[00:36:10.000 --> 00:36:14.000]   Maybe we should dump delicious and use this for our news instead.
[00:36:14.000 --> 00:36:15.000]   You know, it might be better.
[00:36:15.000 --> 00:36:22.000]   We're working under a handicap, folks, because for the last few episodes we've been using Delicious as a repository for all our news tags.
[00:36:22.000 --> 00:36:28.000]   And Delicious went down today. In fact, Kevin, you were talking with Mr. Delicious, right?
[00:36:28.000 --> 00:36:32.000]   Yeah, I spoke with Josh. He said hopefully in the next few hours it'll be back up.
[00:36:32.000 --> 00:36:34.000]   Who's blaming MySQL for it?
[00:36:34.000 --> 00:36:36.000]   Yeah, there's some problems.
[00:36:36.000 --> 00:36:43.000]   That's kind of tough. I mean, I'm starting to get a little taste of it just running my own servers for Tuit and my other stuff.
[00:36:43.000 --> 00:36:46.000]   And in the past I've always used somebody to run the servers for me.
[00:36:46.000 --> 00:36:52.000]   Now that you're running the servers for Dig, this is kind of something people don't really talk about.
[00:36:52.000 --> 00:36:55.000]   Keeping those servers up is non-trivial.
[00:36:55.000 --> 00:36:57.000]   It's definitely tricky.
[00:36:57.000 --> 00:36:59.000]   I mean, we run into problems all the time.
[00:36:59.000 --> 00:37:08.000]   You know, when you have a master and multiple slaves all trying to work together, there's issues that pop up at two in the morning that you won't see until the next day.
[00:37:08.000 --> 00:37:11.000]   And it's just really weird stuff, too.
[00:37:11.000 --> 00:37:15.000]   Something that happened a few days ago on Dig is that users were digging stories, but they're actually happening.
[00:37:15.000 --> 00:37:18.000]   There were negative numbers were showing up.
[00:37:18.000 --> 00:37:24.000]   And that's because they were actually hitting the slaves that had kind of fallen behind and weren't keeping syncs with the master.
[00:37:24.000 --> 00:37:29.000]   So it's just like, you know, stuff like that that doesn't actually throw out warnings to you or tell you that it's broken.
[00:37:29.000 --> 00:37:31.000]   You can't predict it until it happens.
[00:37:31.000 --> 00:37:32.000]   Yeah, exactly.
[00:37:32.000 --> 00:37:36.000]   And, you know, with all sites that, especially that are growing this fast, it's really hard to keep up with growth.
[00:37:36.000 --> 00:37:40.000]   And I'm sure that's what Josh is going through right now with Delicious.
[00:37:40.000 --> 00:37:46.000]   Getting back to rightly, this is one of a lot of, I mean, I'm starting to do my invoices online with BlinkSail.
[00:37:46.000 --> 00:37:48.000]   Backpack is storing stuff for me.
[00:37:48.000 --> 00:37:51.000]   I'm starting to use, you know, this project management.
[00:37:51.000 --> 00:37:53.000]   You just see more and more of these web services.
[00:37:53.000 --> 00:37:55.000]   And I think this is really exciting.
[00:37:55.000 --> 00:37:56.000]   And you're right, John.
[00:37:56.000 --> 00:37:57.000]   It works finally.
[00:37:57.000 --> 00:38:01.000]   Yeah, the thing is, you know, there's still this, we like the Delicious issue.
[00:38:01.000 --> 00:38:04.000]   There's still this thing about scalability.
[00:38:04.000 --> 00:38:06.000]   I mean, people talk a big game about it.
[00:38:06.000 --> 00:38:07.000]   Google's managed to do it.
[00:38:07.000 --> 00:38:11.000]   But how big, you know, when these guys start getting too big, are they going to fall apart on us?
[00:38:11.000 --> 00:38:22.000]   Now, in the late '90s, when a lot of these ASPs and all these companies came along promising what we're starting to see now, which is like six, seven years later.
[00:38:22.000 --> 00:38:25.000]   Their issue was that they couldn't stay in business long enough.
[00:38:25.000 --> 00:38:32.000]   And I used to use a thing that was similar to the Palm desktop that was an online product.
[00:38:32.000 --> 00:38:36.000]   I could get my names and phone numbers online any time I wanted.
[00:38:36.000 --> 00:38:42.000]   And then, you know, somebody VC says, "Hey, you know, even though we gave you all this money, now we actually want you to try to show us that you can make money."
[00:38:42.000 --> 00:38:43.000]   They shut down.
[00:38:43.000 --> 00:38:52.000]   And they're, in fact, most of the really cool free stuff, all shut down from, you know, bad plant, you know, kind of the bad aspects of the venture capital scene.
[00:38:52.000 --> 00:38:57.000]   Now these guys are greener and meaner, and they can stay in business, but can they scale?
[00:38:57.000 --> 00:38:58.000]   We don't know.
[00:38:58.000 --> 00:39:08.000]   It's exactly the right, because you don't have the, if you don't, and as Kevin's learned, if you don't have the financial resources to add servers as needed, you just fall apart.
[00:39:08.000 --> 00:39:14.000]   You would think that with the Yahoo input that Delicious wouldn't have that issue, but I guess it's too new to have taken.
