
[00:00:00.000 --> 00:00:07.600]   This is Twit this week in tech episode 9 recorded Sunday June 12th delivered Sunday June 19th
[00:22:12.340 --> 00:22:19.940]   The way you want it you think that would then and reempower the local broadcast stations who are probably being decimated by just the
[00:22:19.940 --> 00:22:24.620]   Variety and breadth of cable offerings and satellite offerings and yeah, you think that would it
[00:22:24.620 --> 00:22:30.180]   Well, it's kind of a plan therein to say you know what we're the local the local stations broadcast
[00:22:30.180 --> 00:22:35.540]   Just fought this tooth and nail for years. They really didn't want this to happen and I mean I think broadcast is
[00:22:35.540 --> 00:22:41.260]   I mean it is really now just the realm of local small-time television, you know
[00:22:41.260 --> 00:22:47.740]   Look what happened to channel 4 in San Francisco true. Well, that was that was there was all sorts of weirdness around channel 4
[00:22:47.740 --> 00:22:55.900]   You know, but I mean check this out cuz the CEO obviously has a vested interest in selling as many new televisions as possible
[00:22:55.900 --> 00:23:01.020]   But their numbers are claiming that 33.6 million which is 12% of the
[00:23:01.020 --> 00:23:06.780]   285 million television sets in the US are used to view over the air television programming today
[00:23:06.780 --> 00:23:10.340]   Wow, so only 12% of TV sets well
[00:23:10.340 --> 00:23:18.300]   I think this is basically an unholy alliance between the federal government that wants those frequencies back because it's a windfall of billions of dollars and
[00:23:18.300 --> 00:23:23.700]   The Consumer Electronics Association that wants to sell TVs to people who don't really want to buy them
[00:23:24.020 --> 00:23:28.180]   And and neither one of them is looking out for the interests of the individual
[00:23:28.180 --> 00:23:32.340]   They're I mean they're both looking out for the interests of big business or big government
[00:23:32.340 --> 00:23:36.900]   I think part of what everybody's always wondering is what a set top converter box is gonna cost, right?
[00:23:36.900 --> 00:23:41.780]   I mean, what's amazing is right? This is this is the end of 2006. This is supposed to hit right? Yes, that's soon
[00:23:41.780 --> 00:23:46.980]   Yes, and that's part of why I was thinking about this. That's really soon. Yeah, that's not far away at all
[00:23:46.980 --> 00:23:53.020]   Yeah, that's that's 18 months away. The chips aren't cheap digital TV chips, please. Okay a couple years ago
[00:23:53.020 --> 00:23:58.500]   Yes, they were pretty expensive, but when you have the card selling you can put in a PC for well under 200 bucks
[00:23:58.500 --> 00:24:02.500]   Yeah, the chips themselves probably cost no more than say 20 bucks a pop
[00:24:02.500 --> 00:24:06.580]   Yeah, but you're also talking orders of magnitude and difference in the purchasing amount
[00:24:06.580 --> 00:24:11.340]   I mean, there's never gonna be a huge number of people, you know purchasing the boards for PCs
[00:24:11.340 --> 00:24:17.220]   But I mean, you know if so many in terms of what it would cost them to integrate that into a television that cost is significantly
[00:24:17.780 --> 00:24:24.520]   It really shouldn't at this point it should be a non-issue short of making it look better or upscaling the
[00:24:24.520 --> 00:24:29.780]   Pitched digital feed they're gonna be using trying to cram as many channels as possible into this new bandwidth
[00:24:29.780 --> 00:24:35.820]   They have and I just I have had digital cable or digital even even satellite
[00:24:35.820 --> 00:24:42.420]   That's completely digital and I still see you know visual flaws here and there it's all changing direct TV has their new direct
[00:24:42.980 --> 00:24:47.140]   Directway satellites going up this year already started with one and they're moving to MPEG-4
[00:24:47.140 --> 00:24:52.660]   Lots of people I talked to are really digging Comcast HD over some of the other options out there
[00:24:52.660 --> 00:24:59.460]   Especially with the demise of zoom and it's amazing how bad some of the digital cable is that's floating around right now
[00:24:59.460 --> 00:25:02.060]   Well the other thing too is that they have digital cable
[00:25:02.060 --> 00:25:02.300]   Yes
[00:25:02.300 --> 00:25:07.740]   But even if you have the digital cable set-top box less than I believe less than half the channels that you'll receive are in
[00:25:08.300 --> 00:25:11.940]   Sent digitally it's still mostly analog on the digital system
[00:25:11.940 --> 00:25:17.820]   And that's part of that problem of still having to support the people like me who haven't switched up yet or switched back
[00:25:17.820 --> 00:25:22.180]   Just because of that I like certain things about analog cable as in you know
[00:25:22.180 --> 00:25:29.740]   I don't have this lower third and ugly ass menu system being forced on me or the incredibly slow channel changing that suddenly
[00:25:29.740 --> 00:25:32.820]   Jumps in when you're moving to a digital channel system listen
[00:25:32.820 --> 00:25:39.140]   I mean we're talking here's the guy who's the HD TV expert that our our HD TV guy and he
[00:25:39.140 --> 00:25:45.900]   Still watch an analog cable that tells you something about consumer demand. It's the transition point. We're in right now
[00:25:45.900 --> 00:25:50.260]   There's not enough content. Yeah, what is it of of everyone who owns an HD TV?
[00:25:50.260 --> 00:25:55.340]   It's I think less than 13% have actually watched HD TV on their HD TV
[00:25:55.340 --> 00:26:01.640]   But I mean it was like there's a difference between digital TV and HD TV. Yeah, it's this it's this weird transition
[00:26:01.640 --> 00:26:08.140]   Yes, we need digital we need digital transmission and we need more sources like you know rentable content, right?
[00:26:08.140 --> 00:26:14.780]   I think there's common confusion and certainly my consumers and obviously even among experts about the difference between HD and
[00:26:14.780 --> 00:26:19.940]   Digital TV what about now? Let's talk about this broadcast flag which the courts have thrown out
[00:26:19.940 --> 00:26:23.520]   Isn't this kind of a backdoor way to broadcast flag if we go all digital?
[00:26:23.520 --> 00:26:26.700]   This is the third part of this unholy alliance. You've got government
[00:26:26.700 --> 00:26:31.500]   You've got the consumer electronics association and you've got all the content creators who are desperate to copy protect everything
[00:26:31.500 --> 00:26:35.740]   They don't need a broadcast flag if everything's digital. They just prevent copying through the digital well
[00:26:35.740 --> 00:26:38.840]   Thank goodness the courts refused well in theory, right?
[00:26:38.840 --> 00:26:41.240]   But if you're running this I mean it's it's gonna be interesting
[00:26:41.240 --> 00:26:45.660]   There's always been a lot more controls on the HD content that there have been on the standard
[00:26:45.660 --> 00:26:51.420]   You know digital version of the NTSC content, you know anything. It's widescreen versus anything. It's four by three
[00:26:51.420 --> 00:26:57.600]   We think of DVD content right now as well. That was digital protected. It happened to have one little aspect of it
[00:26:57.600 --> 00:26:59.600]   That was very weak in terms of its protection
[00:26:59.840 --> 00:27:01.840]   and
[00:27:01.840 --> 00:27:05.680]   Yet there there's a there is a very successful
[00:27:05.680 --> 00:27:08.820]   Digital format that we've all lived with for quite a while now
[00:27:08.820 --> 00:27:10.160]   Well, if you think about it
[00:27:10.160 --> 00:27:15.880]   I think that's that by far is the number one digital format and the number one high quality television format
[00:27:15.880 --> 00:27:21.520]   It's not HD. It's ED, but it's it's it's really what most people think I bet you if you ask people
[00:27:21.520 --> 00:27:24.880]   Most people think DVD is HD. That's true
[00:27:24.880 --> 00:27:31.000]   They most people associate it with just the set they're looking at or the display they're looking at and not the content itself
[00:27:31.000 --> 00:27:38.040]   It's funny. I have an HD TV and I don't watch anything in HD. Well women's tennis is actually pretty good, but aside from that
[00:27:38.040 --> 00:27:42.320]   I'm just really waiting for kind of like the HD DVDs or the Blu-ray to push it
[00:27:42.320 --> 00:27:46.160]   That's what I what I want really want is movies in HD, you know, I could care less about TV
[00:27:46.160 --> 00:27:48.000]   I was very excited, you know
[00:27:48.000 --> 00:27:52.760]   I had a dish HD unit for review and I saw ESPN HD
[00:27:53.320 --> 00:28:00.600]   Wimbledon I thought oh great Wimbledon. It's gonna be HD TV. I tune in it's NTSC with bars
[00:28:00.600 --> 00:28:05.880]   This is ESPN HD. There's still there even they can't even do 24 hours worth of HD
[00:28:05.880 --> 00:28:10.640]   And and some of them and this is the premier tennis event in the world. It's not it's an NTSC
[00:28:10.640 --> 00:28:16.880]   So I mean that was last year, but that's where that's where they the signal you're receiving is 720p or 1080i
[00:28:16.880 --> 00:28:19.360]   But then they add it's basically with the original signal
[00:28:19.360 --> 00:28:23.840]   You can see it's letter or a pillar box in the center with their logos down each side our
[00:28:23.840 --> 00:28:29.720]   ESPN HD guy told me. Oh, yeah, most of our stuff. We up we up scale. We don't you know
[00:28:29.720 --> 00:28:37.320]   We're not you know, we're turning it into HD. It's not HD. That's the other issue is you're looking at a 1080p a 16 by 4 ratio
[00:28:37.320 --> 00:28:42.440]   But it's not high-def content. There's some good programming out there though. The Discovery HD is awesome
[00:28:42.440 --> 00:28:47.800]   Monday Night Football is amazing. Yeah, if you like to watch crickets mate. Hey Nascar
[00:28:48.200 --> 00:28:52.680]   Over half of this season. It's been broadcasting HD, you know, I loved it
[00:28:52.680 --> 00:29:00.760]   High-speed sports. That's where you really appreciate a good HD feed sports the Oscars big events like that and then movies totally
[00:29:00.760 --> 00:29:03.240]   I don't know. I'm just happy for you and I Leo that
[00:29:03.240 --> 00:29:11.000]   Neither one of us has ever had to make HD broadcasting. I know I know they got high-def radio coming
[00:29:11.000 --> 00:29:16.880]   I'm terrified high-def radios. I mean it's it's out. Hey, I hope it just simply improves the cameraman attributes
[00:29:16.880 --> 00:29:21.440]   I'm sick of shaky cam and the bigger the screen you have the more you notice camera movement
[00:29:21.440 --> 00:29:25.800]   So for everyone out there shooting home videos, it's like don't shake the camera so much use a tripod
[00:29:25.800 --> 00:29:30.200]   Please home videos. It's MTV baby
[00:29:30.200 --> 00:29:34.560]   Oh when you start looking at stuff on 60 plush and screens and somebody's moving the camera on a lot
[00:29:34.560 --> 00:29:37.880]   Get everyone, you know reaching for the drama mean. Oh, yeah
[00:29:37.880 --> 00:29:42.000]   We have to change everything. It's scary everything. You know is wrong
[00:29:42.000 --> 00:29:46.080]   Leo you sound so I
[00:29:46.080 --> 00:29:51.800]   Am I'm sitting here trying to get my goddamn windows to work and life sucks
[00:29:51.800 --> 00:29:57.880]   85 86 degrees in this Garrett office. I'm starting to feel like the Vorac
[00:29:57.880 --> 00:30:05.680]   No, the works a little punchier you start to sound depressed. I'm just cranking
[00:30:05.680 --> 00:30:08.400]   Just cranky
[00:30:08.400 --> 00:30:15.720]   All right. Well, let's change the subject AMD details early quad core plans story up from extreme tech comm so
[00:30:16.280 --> 00:30:23.240]   Friday they didn't analyst briefing AMD said they are making and this is one of the best quotes of all time quote irreversible
[00:30:23.240 --> 00:30:27.400]   Progress on the new architectures specifically
[00:30:27.400 --> 00:30:35.840]   Multicore microprocessors and 64 bit processing this guy's going to the George Bush School of Elacution. I don't know I
[00:30:35.840 --> 00:30:42.720]   Mark Hockman is a guy I do a bunch of work for a red extreme tech it made to put made sure to put irreversible
[00:30:42.720 --> 00:30:45.320]   Progress and quotes
[00:30:45.320 --> 00:30:47.320]   I just made me laugh
[00:30:47.320 --> 00:30:48.960]   but but
[00:30:48.960 --> 00:30:53.960]   Yeah, it's an interesting the whole idea of like four processors on a chip is a little disturbing
[00:30:53.960 --> 00:30:59.600]   Well isn't is that they're just going to leapfrog right over the penny MD? I mean obviously this is a you know marketing
[00:30:59.600 --> 00:31:04.280]   Move they're not going to do to they'll do for why why do dual core when you could do for core?
[00:31:04.280 --> 00:31:10.720]   Interesting thought yeah 2006 AMD ships at specific of virtualization and Presidio security technology
[00:31:10.720 --> 00:31:15.640]   Is this aimed at workstations or is it it aimed at the servers is this desktop?
[00:31:15.640 --> 00:31:22.500]   This is more of the server end during the first quarter 2005 AMD captured 28% of the total market for four-way servers
[00:31:22.500 --> 00:31:26.360]   You'll see this dribble down to everything though consumer stuff soon enough
[00:31:26.360 --> 00:31:33.200]   Yeah, it's simply that it's cheaper to it's cheaper to build more cores than it is to keep shrinking the process at this current time
[00:31:33.200 --> 00:31:38.440]   It just strikes me as kind of capitulation from the chip manufacturers. They're saying yeah
[00:31:38.440 --> 00:31:41.800]   Well, we just really can't get our chips much faster or much more efficient
[00:31:41.800 --> 00:31:45.880]   So we'll just put more of them on a on a die. It's it's like it's a clue
[00:31:45.880 --> 00:31:49.760]   It's it's and I mean am I wrong or the benchmarks?
[00:31:49.760 --> 00:31:54.040]   They're not showing four times the they're good for servers because you're doing transactions
[00:31:54.040 --> 00:31:58.640]   Where you have lots of things happen simultaneously, but they're not great for desktop
[00:31:58.640 --> 00:32:01.000]   You know the Intel guys were saying over and over you know
[00:32:01.000 --> 00:32:05.440]   It's interesting is they were saying like the dual core the Intel guys were saying the dual core penny
[00:32:05.440 --> 00:32:10.500]   M's you know, you're gonna feel a difference as an end-user. It's like it's not very benchmarkable at this point
[00:32:10.500 --> 00:32:11.800]   Nobody's using everybody
[00:32:11.800 --> 00:32:17.000]   There's 42 different variations on benchmarks of people homemade benchmarks that people are using but he said that you know
[00:32:17.000 --> 00:32:19.200]   You'll notice a difference and I remember this guy
[00:32:19.200 --> 00:32:24.960]   I used to co-host a television program was a early dual processor system fanatic true
[00:32:24.960 --> 00:32:33.040]   I still was that it was lee it was me. I still have my dual penny in threes and that's why I know how crappy it is
[00:32:35.000 --> 00:32:40.480]   Where did you see you see you to sing the praises of dual processors systems? I think dual process
[00:32:40.480 --> 00:32:43.440]   I think do processors fine. It makes a lot of sense
[00:32:43.440 --> 00:32:47.440]   For a certain class of applications server applications
[00:32:47.440 --> 00:32:50.640]   We have it works where there's a lot of things happening simultaneously
[00:32:50.640 --> 00:32:56.640]   If what you want to do is burn 3d rendering if you've got a well-threaded program in a well-threaded OS
[00:32:56.640 --> 00:33:03.800]   Yes, but but is it doesn't really been it's not I would I I do think it's it's it's in a way saying yeah
[00:33:03.800 --> 00:33:06.880]   We just really couldn't make these processors any more efficient
[00:33:06.880 --> 00:33:12.360]   It really couldn't push the clock speed any farther than we have we have no other way to go and
[00:33:12.360 --> 00:33:15.280]   I just seems to me that
[00:33:15.280 --> 00:33:17.520]   It's it's a it's a way of the
[00:33:17.520 --> 00:33:22.000]   It's a marketing thing right I mean it's more of a marketing thing than I really it's all marketing stuff
[00:33:22.000 --> 00:33:28.800]   Would you rather they would you rather they accelerated to a you know a six gigahertz processor that was four percent faster than the four gigahertz
[00:33:28.800 --> 00:33:34.040]   No, you're right. You're right when you haven't seen much improvement. I'm still using a penny in four two point four gigahertz
[00:33:34.040 --> 00:33:39.880]   And it's fine thing. There's a reason there's a reason why Intel finally backed away from using you know the clock speed numbers
[00:33:39.880 --> 00:33:44.240]   Right, you know if Intel's backing away from using clock speed numbers there's two things going on there
[00:33:44.240 --> 00:33:49.040]   They're either so frustrated that AMD's you know got what close is it Robert?
[00:33:49.040 --> 00:33:53.680]   Is it 18% of the market that AMD has now Wow something like that sounds bright
[00:33:53.680 --> 00:33:58.760]   You know they're either so frustrated that that you know that they're either so frustrated that AMD has been able
[00:33:58.760 --> 00:34:05.280]   to to do their thing where they're more efficient processors which were getting dinged because they sounded slower because they had a
[00:34:05.280 --> 00:34:08.920]   slower clock speed even though they were doing the same amount of work right there either you know
[00:34:08.920 --> 00:34:14.760]   It's a two-fold thing they're getting away from that into you know if Intel is saying for years people buy based on the clock speed number
[00:34:14.760 --> 00:34:17.800]   People buy based on the clock speed number and if they're moving away from that
[00:34:17.800 --> 00:34:22.000]   It means you know they've gotten to the point where their clock speed number doesn't seem to be very useful
[00:34:22.000 --> 00:34:25.360]   I mean don't you feel as though that this is a good step though in the right direction
[00:34:25.360 --> 00:34:29.640]   I mean we have so many this is something that Apple did a long time ago with the g4's remember
[00:34:29.640 --> 00:34:34.760]   They couldn't really get the speed of performance that they wanted Apple did that because they were flatlined on their processors
[00:34:34.760 --> 00:34:41.000]   That's what's happened to in what's happening with Intel right now. Yes exactly exactly Intel's now in the same boat Apple was a year ago
[00:34:41.000 --> 00:34:44.280]   And and that's what I'm saying is it's kind of a way of saying yeah, you're right
[00:34:44.280 --> 00:34:46.280]   I mean we're not gonna get to four gigahertz
[00:34:46.280 --> 00:34:47.520]   More to the point
[00:34:47.520 --> 00:34:54.160]   I mean you've got Prescott which is really kind of a flop chip because their pipelines were too deep the branch prediction wasn't good enough
[00:34:54.160 --> 00:34:59.440]   And it generates a thousand watts the things like a little you know you could use as a hairdryer
[00:34:59.440 --> 00:35:04.080]   So I can attest to that. I just I just finished building a Prescott based system
[00:35:04.080 --> 00:35:08.400]   Did you did the weekend and it is an amazingly hot box and is it fast?
[00:35:08.400 --> 00:35:13.040]   I you know what I had the spare parts and I built it for a friend and it is it is fast
[00:35:13.040 --> 00:35:16.440]   But it is one of the you really have to be careful with the heatsink and yeah
[00:35:16.440 --> 00:35:21.560]   And use a good heatsink because there is a lot of heat coming off that it underload
[00:35:21.560 --> 00:35:26.400]   It's getting around 75 degrees Celsius. It's like what is that 160 degrees or something?
[00:35:26.400 --> 00:35:32.240]   I'm tempted to liquid cool it at this point. So that's under extreme load under your average condition
[00:35:32.240 --> 00:35:36.240]   It's down, you know 50 sub 50. All right, the dual core chips gonna be really hot
[00:35:36.240 --> 00:35:41.200]   Are they gonna be hotter too, but they wouldn't have theoretically you wouldn't have to run them as fast
[00:35:41.200 --> 00:35:45.360]   More than the same equivalent speed if you just have more of them and we're still dealing with you know
[00:35:45.360 --> 00:35:51.280]   We've had what two decades of OS's and hardware optimized for single thread single CPU use right?
[00:35:51.280 --> 00:35:57.240]   Yeah, I was just gonna say that with Intel and now AMD doing it. It seems like you know the application developers
[00:35:57.240 --> 00:36:01.400]   Are just gonna start writing for dual core in two or four way and it'll things will you know?
[00:36:01.400 --> 00:36:04.800]   You'll see certainly hope so remember. It's not the same as twice as fast
[00:36:04.800 --> 00:36:12.040]   I mean a processor that's twice as fast as faster than two processors because it depends on you being able to split things up
[00:36:12.040 --> 00:36:17.560]   Yeah, I mean if you have the choice between the two and the threading on the app if they have the choice
[00:36:17.560 --> 00:36:22.360]   I mean you'd want to have a faster processor as well. I mean are we are we not gonna have faster processors?
[00:36:22.360 --> 00:36:27.200]   Is that the end of the line? I think processors are gonna I think processors are definitely gonna get faster
[00:36:27.200 --> 00:36:27.560]   Oh, no
[00:36:27.560 --> 00:36:34.680]   What's the record now for switching transistors 600 gigahertz or six terahertz? Wow some crazy number like that
[00:36:34.680 --> 00:36:39.880]   And then the scientists are just coming up with the new single atom switching using quantum mechanics or the you know
[00:36:39.880 --> 00:36:43.880]   One spin so hopefully we'll have it, you know, that's another way they could reduce heat
[00:36:43.960 --> 00:36:48.640]   It's just you know, we're in that we're in that crazy transition time with new technologies coming up for multi-court
[00:36:48.640 --> 00:36:54.000]   We're being teased with you know the upcoming even game consoles now are becoming super computers in their own, right?
[00:36:54.000 --> 00:37:01.080]   Yeah, and Sony just announced they're gonna have the hard drive out on for the ps3 that will include a pre-install of Linux
[00:37:01.080 --> 00:37:06.360]   So who knows what you could do with that as well and like, you know, most wise people do at this point
[00:37:06.360 --> 00:37:11.400]   Isn't that interesting that they're actually putting Linux out for the ps3 is that a developer box?
[00:37:11.400 --> 00:37:16.960]   Well, they did a Linux for the ps2 when they when they unveiled the network adapter for the first time a couple years back
[00:37:16.960 --> 00:37:24.000]   That was part of their dev kit that included the hard drive as well because the hard drive actually attaches to the network adapter
[00:37:24.000 --> 00:37:26.080]   And that was preloaded with Linux as well
[00:37:26.080 --> 00:37:27.720]   So it was like the ps2 itself
[00:37:27.720 --> 00:37:31.400]   You go so they've done this before yeah, and this was a development environment was that the idea?
[00:37:31.400 --> 00:37:33.640]   But now when you have the power of the cell processor
[00:37:33.640 --> 00:37:38.160]   It wasn't so much a I never saw anybody develop using the Linux environment
[00:37:38.160 --> 00:37:42.720]   I was always curious to see what anybody did with it. It was more I think just to say it could be done
[00:37:42.720 --> 00:37:46.920]   Like oh, you know what we can compile that kernel to run on this hardware here you go
[00:37:46.920 --> 00:37:52.360]   It was to say to hackers hands off have you guys read the some of the articles in the PlayStation 3 Linux stuff?
[00:37:52.360 --> 00:37:54.640]   No, this is getting ps3 is a supercomputer
[00:37:54.640 --> 00:37:58.160]   He says but people won't recognize it as a computer unless we call it a computer
[00:37:58.160 --> 00:38:03.280]   So we're gonna run an OS on it in fact the cell could run multiple OS's in order to run the OS's we need a hard disk
[00:38:03.280 --> 00:38:08.240]   With order to declare that the ps3 is a computer. I think we'll have the hard disk pre-installed with Linux as a bonus
[00:38:08.240 --> 00:38:10.680]   Wow
[00:38:10.680 --> 00:38:13.840]   Mr. Kutigari I feel like we're in 19 we're kutaragi
[00:38:13.840 --> 00:38:17.600]   See me kutaragi who knows with enough storage that could be the do-it-all box
[00:38:17.600 --> 00:38:22.280]   You know with the right right inputs outputs any of those little new media boxes coming up can do that
[00:38:22.280 --> 00:38:25.400]   We just need the content we need high definition content damn it
[00:38:25.400 --> 00:38:30.040]   I just hope Apple doesn't look back at this and say gosh we should have really gone with a cell processor
[00:38:31.960 --> 00:38:33.960]   jeez
[00:38:33.960 --> 00:38:38.820]   Maybe maybe the PlayStation 3 is my next computer hey, it's a computer, you know
[00:38:38.820 --> 00:38:43.960]   I hear it's a computer with the cost of graphics cards. I can't believe how much you shelf our graphics card now
[00:38:43.960 --> 00:38:45.960]   Do are they gonna have two ATI?
[00:38:45.960 --> 00:38:51.800]   Processors in that ps3 crossfire is it SLI? What are they doing? Oh, oh no?
[00:38:51.800 --> 00:38:53.080]   Well on the PC side
[00:38:53.080 --> 00:38:56.040]   They have their crossfire motherboards that they're showing off already in the chips
[00:38:56.040 --> 00:39:01.040]   That's the support two cards in the same system and it's SL I advantage that they have over Nvidia's
[00:39:01.040 --> 00:39:04.640]   SLI is that the cards don't have to be exactly matched and
[00:39:04.640 --> 00:39:09.240]   What else is there there is and I'm not gonna touch those for a long time
[00:39:09.240 --> 00:39:11.040]   Have you guys run in the same problems?
[00:39:11.040 --> 00:39:16.800]   I know we tried to do a couple demos on the show of the SL line. It was just buggy and certain games didn't work right?
[00:39:16.800 --> 00:39:21.960]   Well at its launch there were some issues. They're doing the same thing CPU guys
[00:39:21.960 --> 00:39:25.640]   You're doing they're throwing multiple processors of the problem must be the wave of the future
[00:39:25.640 --> 00:39:31.240]   Well graphics cards by their nature are highly parallel right right? It's a very different kind of environment
[00:39:31.240 --> 00:39:36.360]   Does the game have to be SLI compatible not necessarily so that so the BIOS handles the
[00:39:36.360 --> 00:39:43.600]   Threading there seems it seems to be two different ways that are better optimized for OpenGL and direct 3d gaming in terms of say
[00:39:43.600 --> 00:39:46.480]   Here are several ways you could think about splitting the screen
[00:39:46.480 --> 00:39:49.720]   You could either say the top half in the bottom half you could have interlaced lines
[00:39:49.720 --> 00:39:55.200]   You could throw a tile system over it and say you know what you do these this row of tiles you do the next row tiles
[00:39:55.200 --> 00:40:00.040]   There's all these different methods and some work better for different APIs than other and that's that again
[00:40:00.040 --> 00:40:03.800]   You're on the cutting edge if you're messing with any of this right now, and you're dealing with the growing pains
[00:40:03.800 --> 00:40:06.120]   So it is being worked out. I think
[00:40:06.120 --> 00:40:14.400]   ATI announced with their new system their crossfire technology. I believe it's called they have I think 12 SLI modes quote-unquote
[00:40:14.400 --> 00:40:18.960]   So you know until they get it figured out what works best work
[00:40:18.960 --> 00:40:25.160]   What doesn't if you're just riding that that bleeding edge and plus you you're probably using close to a thousand dollars for the
[00:40:25.160 --> 00:40:26.160]   graphics cards
[00:40:26.160 --> 00:40:32.440]   It's funny. I had a friend of mine asked me whether or not he should get an SLI system, and I couldn't recommend it
[00:40:32.440 --> 00:40:36.280]   I was just like now hold off you know wait another year wait until they get all this worked out
[00:40:36.280 --> 00:40:44.520]   Are you guys recommending any of these SLIs or no, you know what I say we're past that very first bleeding edge generation of motherboards that supported it
[00:40:44.520 --> 00:40:47.840]   So now there's I'd say a half a dozen good options out there
[00:40:47.840 --> 00:40:52.200]   So at least you at least didn't buy it right when it first took but right now
[00:40:52.200 --> 00:40:57.080]   You can only buy Nvidia's solution. That's mature enough that to recommend ATI's was just announced
[00:40:57.080 --> 00:41:02.200]   I don't believe you can actually buy anything right now regarding that and so you know if you want to live and die on the edge
[00:41:02.200 --> 00:41:06.200]   And you got the money to do it sure we're not really talking about frame rate improvements here
[00:41:06.200 --> 00:41:11.320]   We're talking about quality of the visuals right and that's where you see the biggest improvement both
[00:41:11.320 --> 00:41:14.200]   So so you can't have higher resolutions higher frame rate
[00:41:14.200 --> 00:41:22.080]   Yeah, you can either you know have 16x anti-aliasing 32x, you know an isotropic filtering or you could say take that up to 16
[00:41:22.080 --> 00:41:29.680]   By 12 or higher and you know where it's gonna become really important is when we have displays that are you know your your 40 50 inch home theater
[00:41:29.680 --> 00:41:37.280]   Display that'll do you know 19 20 by 1080 progressive. Yeah, you want to drive like a 3 megapixel display at 60 Hertz
[00:41:37.280 --> 00:41:40.480]   That's where you're gonna want you know right a beefy system
[00:41:40.480 --> 00:41:46.320]   But when we're talking resolutions, you know 12 by 9 and under you know matter or even up to say 16 by 12
[00:41:46.320 --> 00:41:53.520]   I like 16 by 12 for gaming with no AA on a 19 inch display. I think that's that's that's where I shoot for on my own gaming experience
[00:41:53.520 --> 00:41:58.040]   But I think we're getting a taste of this looking at h.264 and 1080p
[00:41:58.040 --> 00:42:02.960]   It really takes a lot of juice to play those things back without dropping frames
[00:42:02.960 --> 00:42:05.240]   I mean you have to have a pretty hefty system
[00:42:05.240 --> 00:42:11.360]   And so it's it's obvious that what we're going for these new these new video standards are gonna be very demanding
[00:42:11.360 --> 00:42:15.500]   Definitely and there is no 1080p format that well there is a 1080p format of course
[00:42:15.500 --> 00:42:20.760]   But nobody is actually recording much in that that you can buy sort of like the Windows Media 9 HD
[00:42:20.760 --> 00:42:24.160]   But you can do rendering in through 1080p and that's where you'll see it first
[00:42:24.160 --> 00:42:30.640]   Oh, that's the real-time gaming in 1080p is here and now and it it for that kind of resolution a
[00:42:30.640 --> 00:42:34.560]   There aren't that many displays well PC displays can do that resolution of course
[00:42:34.560 --> 00:42:40.280]   But actually getting a 1080p resolution into a home theater display right now is a bit of a challenge like for that
[00:42:40.280 --> 00:42:46.880]   Remember I was mentioning last week the sharp aqua so I have in the 45 inch aqua. It's a 1080p native LCD flat panel
[00:42:46.880 --> 00:42:51.840]   Beautiful beautiful display. I love it. The only thing is the only way to send it native
[00:42:51.840 --> 00:42:59.440]   The only way to send a native 1080p signal into that display is through the RF digital over the air RF connection
[00:42:59.440 --> 00:43:05.480]   You can't hook a dvi you can't do it through HDMI bandwidth too high for no actually dvi is specked up to
[00:43:06.240 --> 00:43:12.480]   Forget the person's name off top of head, but bless them for some of you good lengths last week for some good information
[00:43:12.480 --> 00:43:19.280]   But turns out the speckford dvi is rated up to 1080p the thing is is that transmitter and receiver hardware wasn't even manufactured
[00:43:19.280 --> 00:43:26.000]   until March of this year so and new and and yeah with those record with those receivers and transmitters now
[00:43:26.000 --> 00:43:33.160]   Being manufactured in more quantity. We're gonna start to see all the new displays coming forward. Hopefully support that through digital inputs
[00:43:33.600 --> 00:43:40.880]   Soon but for right now, it's it's really difficult to find a 1080p display that you can input 1080p into outside of the PC
[00:43:40.880 --> 00:43:44.700]   Style display so here's a hypothetical. I'd like to throw at you
[00:43:44.700 --> 00:43:48.800]   I think I've got a new sponsor on the radio show. They don't want to pay me cash
[00:43:48.800 --> 00:43:53.520]   They want to pay me 20 grand in trade for a home theater system. Who I don't want to have a huge
[00:43:53.520 --> 00:43:58.840]   Yeah, well, I don't know how far 20 grand will go. I don't want to have a huge honking display. Would you get the aqua bar?
[00:43:59.240 --> 00:44:06.880]   So far I like it a lot. You know what? It's the first display I've had in where boom it the industry standards for color in
[00:44:06.880 --> 00:44:11.720]   Television broadcast and things like that this TV just you can hit a couple of presets boom
[00:44:11.720 --> 00:44:14.960]   You are very close to industry standards just right out of the box
[00:44:14.960 --> 00:44:18.440]   And that's very very rare to find in displays nowadays
[00:44:18.440 --> 00:44:25.640]   So I know that when I'm playing my DVD or watching an HD TV broadcast the color is as intended by the people who created it
[00:44:25.640 --> 00:44:31.400]   I get a really and for that accuracy. Yeah, it's not bad, but I'm getting in two more displays this week
[00:44:31.400 --> 00:44:37.840]   I'm getting in pioneers new 50 inch plasma. I don't want to take a look at and that's uh that I find plasma is better for video
[00:44:37.840 --> 00:44:41.920]   Yeah, but if you plan on watching video last minute is hard to beat
[00:44:41.920 --> 00:44:48.880]   Yeah, I mean LCD's coming on but where LCD matches plasma at the the pricing level and the size level
[00:44:48.880 --> 00:44:51.720]   You're it's almost twice as much money. Right. Well, I don't mind
[00:44:51.720 --> 00:44:56.840]   I don't need a big I don't want a big honking screen. I just like you looking for 50 inches or no
