;FFMETADATA1
title=Just Lean Forward
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=232
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.240]   It's time for Twig this week at Google. We will watch live Gina Trappani launch her new enterprise
[00:24:57.040 --> 00:25:03.160]   I don't say that I'm running it. Do you think Google and Microsoft hate each other so much that Google would do this just to piss off Microsoft?
[00:25:03.160 --> 00:25:05.160]   I don't think so
[00:25:05.160 --> 00:25:11.720]   Yes, you do Matthew Ingram says yes Paul and Mary Joe thought I was a naive innocent to think otherwise I
[00:25:11.720 --> 00:25:18.200]   Don't see why they wouldn't why not they they do not like each other. I think that's obvious. I'm your muscles
[00:25:18.200 --> 00:25:20.200]   I think I think Google is just
[00:25:20.200 --> 00:25:28.440]   Standardizing on a particular look and feel across all their projects allah allah Larry and this is the one manifestation of that
[00:25:28.440 --> 00:25:34.960]   Yeah, you know, we're seeing hamburger menus. We're seeing some particular UI bits, you know and everywhere and it just kind of
[00:25:34.960 --> 00:25:40.040]   Went to went to Windows. I actually haven't seen it on Windows. So I don't know how sort of jarring it is
[00:25:40.040 --> 00:25:42.840]   Looks just like the Chromebook
[00:25:42.840 --> 00:25:47.000]   Right looks just like the Chromebook. Yeah, I see there's a screenshot here on the on the next web
[00:25:47.000 --> 00:25:49.000]   I would say the
[00:25:49.000 --> 00:25:51.240]   noisy tab
[00:25:51.240 --> 00:25:54.880]   Is one of those little things like it's a huge it's not that big a deal
[00:25:54.880 --> 00:26:01.920]   But it is so annoying like if it's just when you have 55 tabs open and something starts auto playing
[00:26:01.920 --> 00:26:05.960]   Which of course all websites do even though it's a big metal finger to your users?
[00:26:05.960 --> 00:26:12.000]   It's it's just so annoying to be able to see that happening. So I'm I bow down to Google for that
[00:26:12.000 --> 00:26:16.840]   Yeah, that's that's a really nice thing and there are plenty of extensions that do this kind of thing
[00:26:16.840 --> 00:26:22.560]   But it's a nice implementation and hey, it's a nice way to promote or show off the Chromecast as well
[00:26:23.080 --> 00:26:25.360]   That they got in the cool cast icon as well
[00:26:25.360 --> 00:26:32.820]   What else we got a YouTube launches a new comments management tool and chat? I was gonna ask you a little bit about this
[00:26:32.820 --> 00:26:36.600]   I haven't had a chance to take a look. It's a new tool for managing comments on its site
[00:26:36.600 --> 00:26:41.640]   It gives video creators a central inbox for all the comments that their videos receive
[00:26:41.640 --> 00:26:47.240]   Yeah, and so what happened was is when they did the big switch to Google Plus
[00:26:48.280 --> 00:26:53.520]   They removed a way for you to look at one big inbox and see all your comments
[00:26:53.520 --> 00:26:59.600]   And so now this is these is my comments. I have a way just go to a central location. You moderate
[00:26:59.600 --> 00:27:06.400]   Yeah, and so and so I could you know thumbs up trash it flag it and so I don't have to go into every individual
[00:27:06.400 --> 00:27:10.360]   Place to find my most recent comments
[00:27:10.360 --> 00:27:13.960]   That's nice because anybody produces a lot of comment on content on YouTube
[00:27:13.960 --> 00:27:19.240]   All sorts of comments. Yeah, and as you can see it tells you which which video
[00:27:19.240 --> 00:27:26.120]   You know it's been you know, I just uploaded this one today. This one's been out for a while now
[00:27:26.120 --> 00:27:28.240]   and so
[00:27:28.240 --> 00:27:32.200]   It's good to have it all in one one locations that I don't have to
[00:27:32.200 --> 00:27:39.000]   Jump from video to video to check out all my comments. So much much needed and very happy that we have it now
[00:27:39.000 --> 00:27:41.960]   Yeah, very cool very cool
[00:27:42.400 --> 00:27:51.960]   Google Plus is now showing up in your gmail. This is a new feature that allows anyone to email you and vice versa
[00:27:51.960 --> 00:27:56.960]   Not anyone not just anyone in your circles anyone
[00:27:56.960 --> 00:28:03.360]   Any unless you said it otherwise. Yeah, unless you opt out. So it's so it by
[00:28:03.360 --> 00:28:07.800]   You can set it. You can set it right. Yeah, but default is turned on
[00:28:08.520 --> 00:28:13.600]   But and you cannot doubt but you know defaults are powerful things. So I said Leo. I wouldn't hear
[00:28:13.600 --> 00:28:19.520]   You don't sound too happy about this. You know, I I don't read much email anyway, so I could be bad
[00:28:19.520 --> 00:28:21.840]   I don't know. Oh, is that why you don't respond?
[00:28:21.840 --> 00:28:24.360]   How many circles are you in?
[00:28:24.360 --> 00:28:27.720]   Almost half a million fewer than these guys
[00:28:27.720 --> 00:28:36.040]   So supposedly if you're in more than what is it 10 or 20 thousand you get the special treatment you get some special treatment
[00:28:36.040 --> 00:28:40.160]   Yeah, so I don't I tried to look at the the ops out opt out so I wasn't there
[00:28:40.160 --> 00:28:44.000]   So am I am I have to approve at the first time though, right?
[00:28:44.000 --> 00:28:49.880]   I know my default and I haven't ever looked at this before says that only people in my circles can email me
[00:28:49.880 --> 00:28:58.400]   Okay, that's from where it's in your settings of gmail. Yeah, it's in your way. That's via your Google Plus profile. That's different
[00:28:58.400 --> 00:29:03.700]   Or is it? No, that's what it says on this article. It's
[00:29:05.360 --> 00:29:10.600]   My email is not my Google Plus because my main gmail is apps are
[00:29:10.600 --> 00:29:14.920]   So so in mind by default, I didn't change it
[00:29:14.920 --> 00:29:19.000]   Currently it says circles, so I must be in that vaunted
[00:29:19.000 --> 00:29:25.080]   Celebrity yeah, mine did to mine did mine did to anybody with more than a few thousand followers
[00:29:25.080 --> 00:29:31.000]   But the other choices are any and this is the default anyone on Google Plus. I actually changed it to anyone
[00:29:31.000 --> 00:29:34.360]   Which maybe makes me a mental case
[00:29:35.360 --> 00:29:37.360]   Wide open Matthew
[00:29:37.360 --> 00:29:42.720]   You know email addresses are not that difficult to find you know
[00:29:42.720 --> 00:29:47.200]   It's an interesting debate about like our email addresses really private like is somebody sending you an email?
[00:29:47.200 --> 00:29:49.800]   I mean, I guess people feel differently about this
[00:29:49.800 --> 00:29:54.320]   Gina is true that no one gets your email
[00:29:54.320 --> 00:29:59.640]   I mean the oh no another privacy fear is I understand nobody gets your email and they don't need your email
[00:30:01.960 --> 00:30:06.960]   They just route through just rouse through so I don't think it matters that much
[00:30:06.960 --> 00:30:10.720]   They don't get your email. They can still email you until you turn off and you can say don't email
[00:30:10.720 --> 00:30:15.200]   Don't let this person do this again. You can block this and you want on a per individual basis
[00:30:15.200 --> 00:30:19.760]   You can do that's good. Yeah, right. I Jeff's point is a good one. You could argue that it's actually a
[00:30:19.760 --> 00:30:22.840]   Privacy setting it's making your email address more private
[00:30:22.840 --> 00:30:29.520]   Yeah, cuz I could set it to no one like unlike Matthew Ingram and then nobody can email me via my Google Plus profile
[00:30:29.520 --> 00:30:32.340]   It's so I can communicate with you without you giving them your email address
[00:30:32.340 --> 00:30:36.000]   And then you can block them right you can't once but it has your email address. You really can't block
[00:30:36.000 --> 00:30:39.920]   Oh, that's a good boy. I mean I see what you're saying. I see yeah
[00:30:39.920 --> 00:30:44.960]   So I actually like that feature so people will email me using the Google Plus
[00:30:44.960 --> 00:30:50.800]   Connection and then I decide do I want to give them my real email address to know what I mean
[00:30:50.800 --> 00:30:57.480]   So you it's a filter in a way. Do you want to extend that connection or do you want to just keep it at you can Google Plus?
[00:30:57.480 --> 00:30:58.680]   Me and that's it.
[00:30:58.680 --> 00:31:00.680]   Right thing
[00:31:00.680 --> 00:31:04.020]   It's like the level of policy how far do you want to go second base?
[00:31:04.020 --> 00:31:07.320]   Yeah, right like you can have my Twitter handle right if I like you can have my email
[00:31:07.320 --> 00:31:11.880]   Right if I really like you can have my phone number text me and then if I'm in love with you can call me or
[00:31:11.880 --> 00:31:16.280]   Or you can have like a push a push button restraining order, which is great
[00:31:16.280 --> 00:31:21.480]   Like here for my DNA sample
[00:31:21.480 --> 00:31:36.000]   Another Google Plus related change to Gmail is that you can start you can not star your contacts in
[00:31:36.000 --> 00:31:42.320]   Gmail much like you can start messages, but when you start contacts in your contacts if you're using Android your
[00:31:42.320 --> 00:31:48.240]   Start contact sync with your Android favorites. So it shows up that those people show up in your favorites on Android
[00:31:49.720 --> 00:31:53.720]   So starting a contact on the desktop will start that same person who Android contacts
[00:31:53.720 --> 00:31:57.720]   So you can kind of keep that in sync and have your have your favorite people
[00:31:57.720 --> 00:32:01.000]   Huge deal, but you know I do like that favorites feature
[00:32:01.000 --> 00:32:05.720]   I do use it I do too and there's a lot of nice tie-ins for instance my Motorola X
[00:32:05.720 --> 00:32:11.520]   Assist program says nobody can ring you during do not disturb ours unless they're in your favorites
[00:32:11.520 --> 00:32:16.720]   So amending your favorites is very handy. So that way people I want to call me can
[00:32:17.040 --> 00:32:20.560]   Right, right and finally thank you for this one Jeff
[00:32:20.560 --> 00:32:27.480]   You can find creative commons creative commons images in Google image search a little bit easier now
[00:32:27.480 --> 00:32:31.640]   You have to open up the advanced search page to restrict the results
[00:32:31.640 --> 00:32:36.440]   But now you can click on the search tools button to the right if you search for an image
[00:32:36.440 --> 00:32:41.040]   So click on search tools and then you can filter by by usage rights
[00:32:41.040 --> 00:32:45.160]   So label for reuse labeled for commercial use label for use of money
[00:32:45.160 --> 00:32:51.120]   All the time great anyone who publishes and writes and needs needs art for their work
[00:32:51.120 --> 00:32:55.000]   This is this is huge all of our art is creative commons
[00:32:55.000 --> 00:33:01.000]   And so I've used other search engines that do that, but it's so much easier to use Google images. Yeah
[00:33:01.000 --> 00:33:07.440]   Yeah, you could always do it before you just had to go to the advanced. Yes. No, you don't have to right rice is easier
[00:33:07.440 --> 00:33:13.160]   Which I really like because it encourages people to be aware of you know credit
[00:33:13.160 --> 00:33:17.000]   You know not just pulling pulling photos and they can do it and they could do it, you know
[00:33:17.000 --> 00:33:19.320]   Right right there on the front page that having to know all the tricks
[00:33:19.320 --> 00:33:23.320]   That was Larry Lessig's idea
[00:33:23.320 --> 00:33:28.360]   Really? Yeah, well, he's the creative creative commons. So that makes sense
[00:33:28.360 --> 00:33:33.440]   And that my friends is the Google change log
[00:33:33.440 --> 00:33:38.560]   You didn't need our help at all you send bagger you
[00:33:38.560 --> 00:33:40.840]   Thanks for the assist
[00:33:40.840 --> 00:33:45.360]   Let's check out real quickly. I'm going to go to so it's Leo because okay
[00:33:45.360 --> 00:33:48.680]   So I got an email as a as one of the sponsor, you know
[00:33:48.680 --> 00:33:52.040]   You originally asked people to go out and we did a crowdfunding campaign
[00:33:52.040 --> 00:33:53.520]   Right, you're one of our early backers
[00:33:53.520 --> 00:33:59.440]   So I got an email saying grab your name which I did Leo LaPorte dot think up calm and you've been importing
[00:33:59.440 --> 00:34:01.440]   Tweets
[00:34:01.440 --> 00:34:06.840]   Oh and data. Yep, 32 tweets so far. I don't know what the total number of tweets is so that's is that
[00:34:08.520 --> 00:34:12.040]   200 that's the API is rate limited by the API
[00:34:12.040 --> 00:34:16.640]   It is it is that's as far as the API will page back, but now that you have think up running
[00:34:16.640 --> 00:34:23.000]   It's running 24/7 ready new tweet you tweet or mention or link or anything that a favorite that you do from here on in think up
[00:34:23.000 --> 00:34:25.000]   We'll capture awesome
[00:34:25.000 --> 00:34:29.960]   And I and and in those I spent 13 hours doing those tweets
[00:34:29.960 --> 00:34:37.880]   So but I have a total I'm just looking on Twitter of 6,861 tweets Twitter just does not allow you to go any farther than 3,200
[00:34:38.080 --> 00:34:41.240]   Right, that's right, but we're gonna have a feature where you can import you can do it
[00:34:41.240 --> 00:34:45.040]   It's a takeout you know you can export your tweets and import them to think up so you'll be able to fill in your archives
[00:34:45.040 --> 00:34:48.760]   Oh, yeah, right. I'd like to do that. Yeah, that's yeah
[00:34:48.760 --> 00:34:50.680]   Yeah
[00:34:50.680 --> 00:34:58.760]   So and then you get lots of insights, so this is just the front page it tells me that I'm on 40 lists and that people think I am a
[00:34:58.760 --> 00:35:00.880]   techie
[00:35:00.880 --> 00:35:02.880]   tech people twit an
[00:35:02.880 --> 00:35:05.440]   Artist producer actor
[00:35:06.120 --> 00:35:10.040]   It shows you on this day my most popular tweet on this day last year and
[00:35:10.040 --> 00:35:16.280]   This is great stuff. I love this. It's just the beginning you've only got you only got a few insights here
[00:35:16.280 --> 00:35:23.360]   But it's just the beginning it'll show you it'll show you a lot a lot of cool information like as the system gets your data and as you you know
[00:35:23.360 --> 00:35:28.320]   As you participate on the network and you'll also be able to connect to your Facebook account once once you we get you
[00:35:28.320 --> 00:35:30.320]   Logged in you would have a cat Facebook and see it as well
[00:35:30.320 --> 00:35:35.240]   But if you if you look at Jeff's Jeff, I think has a lot more insights and I think I think Matthew does too
[00:35:35.240 --> 00:35:37.240]   Why why do they have more than me?
[00:35:37.240 --> 00:35:42.280]   Well, it depends on what kind of activity there is like it looks like. Oh, yeah, look at Jeff
[00:35:42.280 --> 00:35:46.960]   Yeah, did you see that's really Daniel follow Jeff Jarvis?
[00:35:46.960 --> 00:35:52.880]   Wow one person in New York follows you Wendy Kaufman
[00:35:52.880 --> 00:35:57.600]   This is cool. Yeah, you got a lot more insights so because he's a more active tweeter
[00:35:57.600 --> 00:36:03.800]   Yeah, I mean it depends you know depends on what yeah, like so so Wendy looks like us from New York's little match like local followers
[00:36:03.800 --> 00:36:10.360]   When people local will follow you and if you retweet a lot if you favorited things in years past it will surface that
[00:36:10.360 --> 00:36:13.760]   Never favored anything so yeah, so it depends on how you
[00:36:13.760 --> 00:36:19.440]   Purpose I favor the people who this had nice things my book so we could quote it look
[00:36:19.440 --> 00:36:23.960]   81,000 people saw Matthew Ingram's tweet thanks to Jeff Jarvis
[00:36:23.960 --> 00:36:28.760]   Yeah, cuz Jeff retweets a lot you're welcome Matthew. You can't say thank you
[00:36:28.760 --> 00:36:33.560]   You should charge a cent per
[00:36:34.400 --> 00:36:38.280]   Do it and what was that you were showing a chat you're you have it too. I guess huh?
[00:36:38.280 --> 00:36:42.400]   Here's what oh yeah, this had favored in I was he's talking about favoriting
[00:36:42.400 --> 00:36:49.200]   So I favorited this yet last in the in the years past seems like I should tweet favorite retweet do more stuff
[00:36:49.200 --> 00:36:54.880]   Yeah, this is you should yeah, this you definitely you get you get more insights and you and get more sort of positive feedback
[00:36:54.880 --> 00:36:59.200]   The more you sort of promote other people stuff and favorite their stuff and and like I said this is just the beginning
[00:36:59.200 --> 00:37:03.320]   We've got a ton more insights coming out and and and it's it's kind of like
[00:37:03.320 --> 00:37:07.440]   They're kind of like insights show up over time
[00:37:07.440 --> 00:37:09.120]   You know like they're not all here
[00:37:09.120 --> 00:37:15.160]   But as you use the system and as the system evolves they'll show up so it's gonna be fun. What's the basis of it's nice to be nice
[00:37:15.160 --> 00:37:19.000]   Yeah at the bottom that sounds like a gena ism doesn't you know?
[00:37:19.000 --> 00:37:23.600]   It's funny it was actually it was a nihilism making fun of G not making fun of me
[00:37:23.600 --> 00:37:27.320]   But he it was it was one of a really early mockups a Neil dropped out of the footer
[00:37:27.320 --> 00:37:32.760]   And I loved it because you know we always joke about hot, you know, I'm the nice like people know people associate nice with me
[00:37:32.760 --> 00:37:36.520]   Yeah, so so and Neil said, you know, it's nice to be nice and he dropped in the footer
[00:37:36.520 --> 00:37:38.360]   And we just never we just always kept it
[00:37:38.360 --> 00:37:42.120]   It's sort of a little little inner inner joke and you know the
[00:37:42.120 --> 00:37:45.200]   The point of the app is to be sort of
[00:37:45.200 --> 00:37:50.360]   You know positive and show you kind of like the good part the good part to the network the thing
[00:37:50.360 --> 00:37:53.320]   You know pat you on the back for the things you're doing well suggest things that that could be better
[00:37:53.320 --> 00:37:58.240]   I mean the whole the whole idea is to sort of make your interactions on these networks like as meaningful as possible
[00:37:58.240 --> 00:38:06.200]   And to kind of you know like we have superpowers with social networks and think up's goal is to kind of show you how to use the powers for good
[00:38:06.200 --> 00:38:10.720]   So it's sort of sort of jabs with our with our mission and Matthew
[00:38:10.720 --> 00:38:17.040]   What are you using as your think-up handle Matthew engram or it's Matthew. I Matthew. I I try to one I
[00:38:17.040 --> 00:38:20.360]   It's it's one tea. Oh, that's one. Sorry about that
[00:38:21.040 --> 00:38:24.720]   Is that your mother we should parent or should apologize see Matthew just
[00:38:24.720 --> 00:38:28.000]   Look at all this Wow
[00:38:28.000 --> 00:38:35.120]   Retweet this is a new seven-day record for you Matthew 17 people retweeted you three retweeted this one
[00:38:35.120 --> 00:38:39.960]   Forg I can okay. I can play that game. I can say stuff people retweet
[00:38:39.960 --> 00:38:45.000]   It's interesting to see the ones that because it's not always the ones I thought you know
[00:38:45.000 --> 00:38:48.200]   I when I was using the think-up plug-in for WordPress
[00:38:48.920 --> 00:38:54.600]   I would just go and check now and then and some things would get retweeted that I didn't even realize
[00:38:54.600 --> 00:39:00.360]   Do you know what I mean? It's hard. It's just interesting to see what people choose and what they don't yeah, yeah
[00:39:00.360 --> 00:39:07.520]   Okay, I'm learning from this actually this is teaching me what I need to do to get more retweets
[00:39:07.520 --> 00:39:12.880]   Do not say please retweet at the end of your that's a bad. Please aren't you know, please aren't you?
[00:39:12.880 --> 00:39:17.520]   Please aren't you that's like oh, that's actually that would be really good insight like hey stop begging for retweets
[00:39:18.080 --> 00:39:20.080]   Yeah
[00:39:20.080 --> 00:39:26.680]   We have a me tweet insight so if you if you retweet tweets that mention yourself we think of
[00:39:26.680 --> 00:39:33.920]   Yeah, we really wrestled with the copy on that one because we're like well, we don't want to scold people
[00:39:33.920 --> 00:39:35.920]   But we do want to bring it up
[00:39:35.920 --> 00:39:46.760]   This is good so it's so how can people get get this it's a start well right now
[00:39:46.960 --> 00:39:50.040]   We're only open in limited preview to our crowdfunding backers
[00:39:50.040 --> 00:39:55.760]   We're gonna be we're not accepting new signups for another couple weeks because we're just gonna look at this data and improve it and
[00:39:55.760 --> 00:39:57.120]   Listen to our sort of early backers
[00:39:57.120 --> 00:40:02.520]   We wanted to give all our early backers kind of first dibs on you know checking out the data and giving us feedback
[00:40:02.520 --> 00:40:05.120]   So you should go to think up calm right now
[00:40:05.120 --> 00:40:10.720]   If you're interested in getting one of these yourself and just drop your name into the on-premailing list and we will let you know
[00:40:10.720 --> 00:40:12.720]   When it's open to the public yay
[00:40:13.760 --> 00:40:19.160]   Congratulations, thank you to all of you for being so supportive and for back in the campaign and thank you for bringing us apart
[00:40:19.160 --> 00:40:21.160]   I've been dying for this
[00:40:21.160 --> 00:40:26.560]   Great, that's great. I'm going to be I'll be emailing each one of you asking you what you think about
[00:40:26.560 --> 00:40:31.320]   About your stream and what what else you'd like to see in your stream now that you can kind of get an idea
[00:40:31.320 --> 00:40:34.760]   What what kind of analytics we can do now what when I signed in it said?
[00:40:34.760 --> 00:40:38.240]   I'm not really signing in yet because it just says you reserved your name
[00:40:38.240 --> 00:40:43.480]   Yeah, are there other other foot when I sign in other other functions and things that we don't see on this page?
[00:40:43.720 --> 00:40:46.280]   Yeah, when you sign in you'll be able to connect another account
[00:40:46.280 --> 00:40:50.200]   So if you're a pro user you'll be able to connect up to ten accounts or if you're just a member
[00:40:50.200 --> 00:40:54.520]   You can connect the Facebook accounts. You'll be able to see Facebook and Twitter insights in the same stream and
[00:40:54.520 --> 00:41:00.800]   We have not yet, but we have an Instagram plugin a YouTube plugin
[00:41:00.800 --> 00:41:05.400]   Bitly plug in Google Maps plugin all good that they're all gonna launch as well
[00:41:05.400 --> 00:41:08.760]   So you'll be able to see those and you'll be able to add your Instagram account for example
[00:41:08.760 --> 00:41:13.240]   Later on so you just be able to manage your account when you're logged in and eventually and you'll be able to turn
[00:41:13.240 --> 00:41:15.240]   Set your stream to private if you'd like as well
[00:41:15.240 --> 00:41:19.480]   So a little just administrative functions once you are able to log in
[00:41:19.480 --> 00:41:25.960]   I'm the one of the features. I really liked was seeing your followers or people you follow
[00:41:25.960 --> 00:41:32.360]   based on you know, are they noisy are they you know, are they sort of communicators?
[00:41:32.360 --> 00:41:37.440]   Do they it's interesting to see you know those especially if you're trying to filter out
[00:41:37.440 --> 00:41:40.360]   People what I'm trying to do now because I'm following way too many
[00:41:40.760 --> 00:41:47.000]   That's right. You know what Matthew you're right. We used to have that in the old dashboard and I don't think that we've we've converted that over to an insight
[00:41:47.000 --> 00:41:51.400]   That's a really good idea. I like that one a lot. No, it's true. Like show me my chatty as followers or show me
[00:41:51.400 --> 00:41:54.120]   You know my most quiet. Yep. Yep. I like that a lot
[00:41:54.120 --> 00:41:57.480]   I might make me use Twitter more
[00:41:57.480 --> 00:42:04.340]   Good for Twitter. That's what this is good for Twitter. What are your what's your social net with Google+?
[00:42:04.340 --> 00:42:08.200]   We also have a Google+ plugin. We haven't we haven't gone live without the hosted version, but well
[00:42:09.080 --> 00:42:12.440]   Really wherever the goal is to give you these kind of insights wherever you are
[00:42:12.440 --> 00:42:18.360]   Into a single stream. So now that is it hard to do with Google+ because of the limited API?
[00:42:18.360 --> 00:42:21.320]   It is the Google+'s API is pretty limited
[00:42:21.320 --> 00:42:25.400]   It's really only but you know we get posts and we get comments so we can we can tell a lot about the conversations
[00:42:25.400 --> 00:42:29.800]   You're having and the connections that you have based on on that on just on your posts and comments
[00:42:29.800 --> 00:42:33.560]   So you don't care about right access. You're only reading anyway. We're only reading
[00:42:33.560 --> 00:42:35.560]   Yeah, think of doesn't post on your behalf in any way
[00:42:35.560 --> 00:42:40.120]   We don't ask for right privileges. All we all all it does is observe for now
[00:42:40.120 --> 00:42:43.480]   It's the NSA
[00:42:43.480 --> 00:42:46.600]   It's very much you know, it's very much not a Twitter client
[00:42:46.600 --> 00:42:51.240]   We we made a very we're not I think that's smart. Yeah, yeah
[00:42:51.240 --> 00:42:54.840]   Twitter's pretty much sent a signal. They don't want you to do that. Yeah, exactly
[00:42:54.840 --> 00:42:59.160]   All right, let's take a break when we come back. I do want to talk about that nest acquisition
[00:42:59.160 --> 00:43:01.160]   There's lots more to talk about too
[00:43:01.160 --> 00:43:06.360]   Uh, we could go on for hours, but I promise we won't because uh, we got to let Gina go in about half an hour
[00:43:06.360 --> 00:43:09.960]   So she can go send out that email to all of you who supported
[00:43:09.960 --> 00:43:11.960]   Think up
[00:43:11.960 --> 00:43:14.680]   in the crowdsourcing campaign crowd funding campaign
[00:43:14.680 --> 00:43:20.360]   Gina at chirpani here from think up dot com a matthew engra from giga home from buzz machine dot com
[00:43:20.360 --> 00:43:29.800]   Jeff jarfis. This is this week in google our show today brought to you by uh our friends at uh squarespace.com the place to make your website
[00:43:30.840 --> 00:43:32.840]   Never goes down. Gina
[00:43:32.840 --> 00:43:37.480]   Never goes down just think about you actually have appreciation of how hard that is to do
[00:43:37.480 --> 00:43:42.680]   Oh, yes, imagine if you weren't just hosting think up, but you were hosting hundreds of thousands of websites
[00:43:42.680 --> 00:43:48.520]   Uh, any one of which could go viral at any time. That's a truly amazing thing
[00:43:48.520 --> 00:43:52.680]   And uh, I think you have to really credit the squarespace folks for making that
[00:43:52.680 --> 00:43:58.680]   A fundamental kind of tenet of what they're doing. We want to be reliable
[00:43:59.480 --> 00:44:04.760]   Unendable web hosting and then on top of that the best content management system. You can get anywhere
[00:44:04.760 --> 00:44:10.280]   Uh, you'll start with 20 beautiful designer templates that maybe you say why it's not enough
[00:44:10.280 --> 00:44:15.320]   But believe me it's it's plenty because every one of them can be highly customized
[00:44:15.320 --> 00:44:17.560]   That all you have to do is pick a template
[00:44:17.560 --> 00:44:22.200]   I'm looking at forte here and then look at the different ways people have used it
[00:44:22.200 --> 00:44:26.600]   One thing you'll notice about squarespace sites that tend to be very visual a lot of photographers artists
[00:44:27.160 --> 00:44:29.160]   designers use squarespace because
[00:44:29.160 --> 00:44:33.320]   You know, you it's a really good example. You may be a great photographer
[00:44:33.320 --> 00:44:36.120]   But web design is a different discipline
[00:44:36.120 --> 00:44:41.960]   Wouldn't it be nice if you had a place where you could put your website where you could use your innate aesthetic abilities
[00:44:41.960 --> 00:44:48.120]   But you didn't have to know css or javascript that's squarespace drag and drop point and click you could take that template
[00:44:48.120 --> 00:44:52.680]   Make it your own make it reflect your sense your style who you are
[00:44:53.320 --> 00:44:57.960]   If you are a programmer, they got a great developer platform including as you know color coded syntax
[00:44:57.960 --> 00:45:02.440]   Uh editor and uh and for javascript and css and all that stuff
[00:45:02.440 --> 00:45:07.000]   It's really the sky is the limit with squarespace you can add social media via plugins
[00:45:07.000 --> 00:45:12.760]   You can import into your squarespace blog from almost all the existing blogs. That's a nice feature
[00:45:12.760 --> 00:45:16.600]   Uh and export to so you're never trapped of course at squarespace
[00:45:16.600 --> 00:45:20.280]   What i'd like you to do is visit squarespace.com click the get started button
[00:45:20.520 --> 00:45:24.840]   You're now going to have two weeks you don't have to give them a credit card or anything just two weeks to create a site
[00:45:24.840 --> 00:45:31.160]   Import your data. You you can try each of the 20 templates if you want because of course as with any good site design
[00:45:31.160 --> 00:45:33.960]   Content and design are completely separate
[00:45:33.960 --> 00:45:39.880]   Um, it's kind of like css zengard and you can press a button and all of a sudden everything looks different but the content remains
[00:45:39.880 --> 00:45:42.200]   You also uh with squarespace have
[00:45:42.200 --> 00:45:46.760]   A very good price if you decide to buy as little as eight dollars
[00:45:47.160 --> 00:45:54.600]   A month when you subscribe to the annual plan and that annual plan will include incidentally your own domain name registered for free and all hooked up for you
[00:45:54.600 --> 00:45:59.240]   For 16 bucks a month with the annual plan you'll get unlimited everything including bandwidth
[00:45:59.240 --> 00:46:02.360]   I don't know if anybody that can do this no bandwidth bill ever
[00:46:02.360 --> 00:46:07.240]   You could be the justin beiber egged my house site and get all the traffic in the world
[00:46:07.240 --> 00:46:13.720]   And you're never going to see a bandwidth bill you want to sell they've got e-commerce to fully integrated no transaction fees
[00:46:14.200 --> 00:46:16.920]   Unlimited physical digital and service products
[00:46:16.920 --> 00:46:21.800]   Unlimited pages storage bandwidth of course inventory tracking built in
[00:46:21.800 --> 00:46:29.720]   So are the tax shipping calculations the google the coupon controls of course full seo on all squarespace sites
[00:46:29.720 --> 00:46:35.800]   And what a great price 24 bucks for the commerce site. I want you to try it today
[00:46:35.800 --> 00:46:40.920]   You don't need a credit card. You don't even need an offer code to start for two weeks free
[00:46:41.160 --> 00:46:45.640]   But if you decide to buy, please do use the offer code twig one and you're going to get 10 off
[00:46:45.640 --> 00:46:48.200]   on your new site
[00:46:48.200 --> 00:46:53.560]   Because you mentioned us twig one and don't forget to try the new square space metric app. They have two apps
[00:46:53.560 --> 00:46:56.360]   They have a blogging app that lets you post content moderate comments
[00:46:56.360 --> 00:47:02.360]   Um, and they also now have this metric app that allows you to check stats page views unique visitors
[00:47:02.360 --> 00:47:08.360]   Social media followers. So you really you could run an entire square space site from a mobile device
[00:47:09.240 --> 00:47:13.400]   Um, really is it's blogging portfolio sales on the run
[00:47:13.400 --> 00:47:20.200]   Always mobile responsive design to squarespace.com. Please use the offer code twig one if you decide to buy
[00:47:20.200 --> 00:47:26.600]   Big big story. This is another one where matthew you could have done your roll up of all the different opinions
[00:47:26.600 --> 00:47:31.640]   Uh google spends 3.2 billion dollars
[00:47:31.640 --> 00:47:34.680]   5.8 percent of its total cash position
[00:47:34.680 --> 00:47:37.480]   for tony fidel's nest
[00:47:38.040 --> 00:47:42.840]   a company that makes two things a very pretty very expensive thermostat
[00:47:42.840 --> 00:47:47.480]   And a very pretty very expensive smoke detector carbon monoxide detector
[00:47:47.480 --> 00:47:51.080]   Why
[00:47:51.080 --> 00:47:54.360]   Because the connected home is the future
[00:47:54.360 --> 00:47:58.280]   Signals signals signals
[00:47:58.280 --> 00:48:07.720]   Google is in the signal business and this is a signal to serve you better. Oh gosh. Beo. You're a word 3.2 billion dollars
[00:48:08.280 --> 00:48:10.920]   Well, is it a high price? It's a nice fun one
[00:48:10.920 --> 00:48:14.040]   Uh, that's a lot of money dude. Oh wow
[00:48:14.040 --> 00:48:17.960]   I understand why i understand why tony and matt did it because dude dude, dude
[00:48:17.960 --> 00:48:19.960]   What do you call people dude?
[00:48:19.960 --> 00:48:22.840]   You're too old you're over dude a dude
