;FFMETADATA1
title=Jiggery Pokery
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=229
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.300]   It's time for Twig.
[00:23:56.120 --> 00:24:01.280]   It puts it all in one place so you can look at it, gives you information that helps you
[00:24:01.280 --> 00:24:07.080]   make the most of it and investment advice so that you can do the right thing and then
[00:24:07.080 --> 00:24:08.080]   reap the benefits.
[00:24:08.080 --> 00:24:11.920]   I think this is a, I've been very, very happy with personal capital.
[00:24:11.920 --> 00:24:12.920]   I want you to try it.
[00:24:12.920 --> 00:24:15.200]   Nice thing about all this is free.
[00:24:15.200 --> 00:24:17.160]   Go to personalcapital.com/twig.
[00:24:17.160 --> 00:24:21.840]   You can sign up in just a minute and I'm telling you big dividends.
[00:24:21.840 --> 00:24:26.520]   You're very secure, multi-factor authentication so that you can't use personal capital unless
[00:24:26.520 --> 00:24:29.320]   you have a second factor in there on your device and so forth.
[00:24:29.320 --> 00:24:30.680]   So it's really safe to use.
[00:24:30.680 --> 00:24:34.400]   On your iPhone, your iPad, they've got free apps on a desktop computer as well on the
[00:24:34.400 --> 00:24:36.720]   website, personalcapital.com.
[00:24:36.720 --> 00:24:43.440]   Find out more at personalcapital.com/twig and sign up free, absolutely free today.
[00:24:43.440 --> 00:24:45.160]   So it is a final exam time.
[00:24:45.160 --> 00:24:46.760]   I know Henry just finished his exams.
[00:24:46.760 --> 00:24:47.760]   He's coming home.
[00:24:47.760 --> 00:24:48.760]   Happy finished her exams today.
[00:24:48.760 --> 00:24:52.480]   Our students have headed for home, Jeff Jarvis.
[00:24:52.480 --> 00:24:58.520]   There was a kid at Harvard didn't really want to take his exams.
[00:24:58.520 --> 00:25:03.720]   And what we know now was a kid because there was a bomb threat thrown into Harvard and
[00:25:03.720 --> 00:25:06.640]   he actually emailed bomb threat to Harvard.
[00:25:06.640 --> 00:25:15.240]   And the suspect, when Bruce Schnire on security, did everything he could to be anonymous.
[00:25:15.240 --> 00:25:17.180]   He used an anonymous email account.
[00:25:17.180 --> 00:25:20.480]   He used Tor, the onion router.
[00:25:20.480 --> 00:25:27.920]   And nevertheless, the FBI was able to identify the suspect, we got to say the suspect, and
[00:25:27.920 --> 00:25:31.000]   make an arrest.
[00:25:31.000 --> 00:25:35.880]   Turns out, according to the criminal complaint, Bruce Schnire read it, the FBI got itself
[00:25:35.880 --> 00:25:42.340]   a list of Harvard users that had accessed Tor and went through them one by one to figure
[00:25:42.340 --> 00:25:44.600]   out who it was sent the threat.
[00:25:44.600 --> 00:25:47.600]   Oof, ow.
[00:25:47.600 --> 00:25:50.980]   When you think on their network, right, which meant they actually had the packets going
[00:25:50.980 --> 00:25:51.980]   out.
[00:25:51.980 --> 00:25:52.980]   Yeah.
[00:25:52.980 --> 00:25:56.580]   So he did what you would say would think would be a smart thing created in the corner
[00:25:56.580 --> 00:25:59.300]   of gone to the town library to do that.
[00:25:59.300 --> 00:26:01.280]   That would have been better.
[00:26:01.280 --> 00:26:02.280]   That would be better.
[00:26:02.280 --> 00:26:03.280]   Yeah.
[00:26:03.280 --> 00:26:04.620]   Yeah, but I guess he did it from his dorm room.
[00:26:04.620 --> 00:26:06.260]   Hey, he was behind on his exams.
[00:26:06.260 --> 00:26:07.860]   He didn't have time to go to the library.
[00:26:07.860 --> 00:26:09.020]   If he had, he could have studied.
[00:26:09.020 --> 00:26:13.820]   You know, the famous story of Zuckerberg and his art final?
[00:26:13.820 --> 00:26:14.820]   No.
[00:26:14.820 --> 00:26:20.520]   That I heard him tell the story that he had not, he was too busy starting a hundred
[00:26:20.520 --> 00:26:21.760]   billion dollar company.
[00:26:21.760 --> 00:26:24.920]   He had the state for his art final at all.
[00:26:24.920 --> 00:26:29.520]   And he put up all of the pictures that they were supposed to analyze and set everybody
[00:26:29.520 --> 00:26:31.680]   an email saying I put up a study guide.
[00:26:31.680 --> 00:26:36.400]   And Harvard students, being Harvard students, fell over themselves to get the best essential
[00:26:36.400 --> 00:26:38.120]   descriptions.
[00:26:38.120 --> 00:26:43.760]   And the professor said that the class got better grades than ever, according to Mark.
[00:26:43.760 --> 00:26:47.260]   And this, I think, is an example of wonderful crowdsourcing and platform making.
[00:26:47.260 --> 00:26:52.300]   But of course, in the movie about marketing presented as if it was cheating.
[00:26:52.300 --> 00:26:57.620]   Just as the NSA portrayed Edward Snowden as a cheater on its 60 minutes piece.
[00:26:57.620 --> 00:26:59.540]   Oh, that was most dreadful.
[00:26:59.540 --> 00:27:02.980]   The fall of 60 minutes, 60 minutes.
[00:27:02.980 --> 00:27:05.820]   The last Tiffany Gem has gone.
[00:27:05.820 --> 00:27:08.980]   It's a bad Kubrick, Zircona, a piece of CVS now.
[00:27:08.980 --> 00:27:11.820]   It was just an absolute dreadful date.
[00:27:11.820 --> 00:27:18.600]   After having gotten in trouble for assigning a military fan to do a story on the military.
[00:27:18.600 --> 00:27:22.060]   X, X, X, employee of the director of national intelligence.
[00:27:22.060 --> 00:27:25.360]   He put a security fan to do the security story in John Miller.
[00:27:25.360 --> 00:27:26.360]   Yeah.
[00:27:26.360 --> 00:27:32.160]   Who's who at the same time was trying to come back to the New York NYPD to work for Bratton.
[00:27:32.160 --> 00:27:34.400]   So I mean, it's to be, yeah, he's going to quit.
[00:27:34.400 --> 00:27:39.520]   Now that now he's done his duty, he's going to quit and go to work for the NYPD.
[00:27:39.520 --> 00:27:40.980]   He is to be fair.
[00:27:40.980 --> 00:27:43.200]   He's done television news reporting for a long time.
[00:27:43.200 --> 00:27:48.600]   He's a senior correspondent at CBS, but has a lot of connections.
[00:27:48.600 --> 00:27:50.200]   And it was a, it was a law enforcement.
[00:27:50.200 --> 00:27:52.600]   His ass piece to the NSA.
[00:27:52.600 --> 00:27:55.100]   Well, okay.
[00:27:55.100 --> 00:27:58.800]   Could I, could, could you reasonably position it as it was giving the NSA the chance to
[00:27:58.800 --> 00:28:00.440]   tell their side?
[00:28:00.440 --> 00:28:04.240]   But even a reporter who does that should then throw a tough question.
[00:28:04.240 --> 00:28:07.320]   Other side is to them and ask them tough questions and not do it and not.
[00:28:07.320 --> 00:28:10.120]   Well, they showed us the door to the secret room.
[00:28:10.120 --> 00:28:11.120]   Yeah.
[00:28:11.120 --> 00:28:13.940]   You know, I was, it was, it was absolutely dreadful and shameful.
[00:28:13.940 --> 00:28:15.040]   So this is the third strike.
[00:28:15.040 --> 00:28:16.040]   You got Laura Logan.
[00:28:16.040 --> 00:28:17.900]   You got Charlie Rose.
[00:28:17.900 --> 00:28:20.500]   And now you got John Miller.
[00:28:20.500 --> 00:28:22.780]   And let's go back to Dan Rather.
[00:28:22.780 --> 00:28:23.780]   Yeah.
[00:28:23.780 --> 00:28:25.820]   It's, it's, it's the fall of one's.
[00:28:25.820 --> 00:28:28.580]   So what was wrong with this piece?
[00:28:28.580 --> 00:28:31.420]   What was wrong with it?
[00:28:31.420 --> 00:28:32.420]   Yeah.
[00:28:32.420 --> 00:28:34.740]   Just that it was not challenging at all.
[00:28:34.740 --> 00:28:35.740]   It was a blacker.
[00:28:35.740 --> 00:28:36.740]   It was flakery.
[00:28:36.740 --> 00:28:45.020]   And just look at like the, the description of Snowden as a, they even used some ad hominem
[00:28:45.020 --> 00:28:50.320]   attack that seemed completely not germane that he, when he was at home, computing, put
[00:28:50.320 --> 00:28:52.060]   a hood over himself.
[00:28:52.060 --> 00:28:55.860]   And his girlfriend thought that was weird.
[00:28:55.860 --> 00:28:59.000]   It's like that was, that seemed like a completely ad hominem.
[00:28:59.000 --> 00:29:00.000]   Yeah.
[00:29:00.000 --> 00:29:01.400]   Well, no, I mean, but actually it was only a smart thing.
[00:29:01.400 --> 00:29:03.780]   The Guardian and this has now been made public.
[00:29:03.780 --> 00:29:09.140]   The Guardian was warned that they shouldn't have anything and say anything in offices.
[00:29:09.140 --> 00:29:12.900]   Their offices are very windowed on, on, on next to a canal in London.
[00:29:12.900 --> 00:29:17.740]   And that other agents could come and use lasers bouncing off of plastic cups on their
[00:29:17.740 --> 00:29:19.860]   desks to hear and see what they said.
[00:29:19.860 --> 00:29:21.540]   They can do that, by the way.
[00:29:21.540 --> 00:29:22.540]   Yes.
[00:29:22.540 --> 00:29:24.860]   So, so that's why he used a hood, obviously.
[00:29:24.860 --> 00:29:25.860]   Right.
[00:29:25.860 --> 00:29:30.780]   To me, the problem was that they presented a very strong side of the story, which there
[00:29:30.780 --> 00:29:33.100]   isn't necessarily anything wrong with that.
[00:29:33.100 --> 00:29:36.500]   But then they pretended as if it were not controversial.
[00:29:36.500 --> 00:29:41.820]   They didn't bring out, doesn't collect phone information on American citizens, just metadata,
[00:29:41.820 --> 00:29:44.660]   which adjudged the next day, ruled unconstitutional.
[00:29:44.660 --> 00:29:45.660]   Exactly.
[00:29:45.660 --> 00:29:46.660]   Exactly.
[00:29:46.660 --> 00:29:49.060]   And so, and so that just looks foolish.
[00:29:49.060 --> 00:29:50.060]   Yep.
[00:29:50.060 --> 00:29:52.100]   I mean, obviously I'm a fan of the Guardian.
[00:29:52.100 --> 00:29:53.620]   I work with the Guardian full disclosure.
[00:29:53.620 --> 00:29:55.780]   I'm a fan of what Snowden is doing.
[00:29:55.780 --> 00:30:00.140]   That's my view of the story and fine, but then present that view of the story and hear
[00:30:00.140 --> 00:30:02.220]   the NSA's best arguments against it.
[00:30:02.220 --> 00:30:07.220]   I moderated a panel with Bob Kerry, in which he went after me about just these topics with
[00:30:07.220 --> 00:30:13.260]   Yochai Bekler and Bob Kerry going after a lot.
[00:30:13.260 --> 00:30:17.900]   And my position was clear, but Bob Kerry was there to present the best that he could
[00:30:17.900 --> 00:30:19.820]   for that side.
[00:30:19.820 --> 00:30:20.820]   That's what that's what's going on.
[00:30:20.820 --> 00:30:21.820]   We've even done that on this show.
[00:30:21.820 --> 00:30:24.060]   I've tried to represent the NSA side.
[00:30:24.060 --> 00:30:26.060]   You were the Stuart Baker character.
[00:30:26.060 --> 00:30:27.060]   Back to Stuart.
[00:30:27.060 --> 00:30:28.540]   Stuart did email us.
[00:30:28.540 --> 00:30:30.820]   And I apologize to if we're not getting back to you.
[00:30:30.820 --> 00:30:33.420]   We'll get them on the show, I think that would be very interesting.
[00:30:33.420 --> 00:30:34.420]   Yeah.
[00:30:34.420 --> 00:30:37.860]   Because there are two sides to this.
[00:30:37.860 --> 00:30:42.060]   I don't, but that was a fairly self-serving piece for the NSA.
[00:30:42.060 --> 00:30:49.100]   By the way, the NSA report, the committee, I would say, dubiously appointed committee
[00:30:49.100 --> 00:30:53.820]   just released its report minutes ago, 46 major recommendations.
[00:30:53.820 --> 00:30:55.900]   It's 300 pages.
[00:30:55.900 --> 00:31:00.340]   The funny thing is they didn't invite the Guardian to the announcement.
[00:31:00.340 --> 00:31:03.340]   The joke on Twitter as well, of course the Guardian already had it.
[00:31:03.340 --> 00:31:06.020]   Somebody leaked it to him.
[00:31:06.020 --> 00:31:11.380]   What about this contention that Snowden has millions or at least a million more documents,
[00:31:11.380 --> 00:31:13.820]   some of which could be very detrimental to the US.
[00:31:13.820 --> 00:31:17.660]   I think there was a misinterpretation of what Allen Rosperger, the editor of the Guardian,
[00:31:17.660 --> 00:31:21.140]   said in Parliament because he said that 1% of the documents were out.
[00:31:21.140 --> 00:31:24.540]   And I don't know this from Allen, I mean to ask them, but I think that my interpretation
[00:31:24.540 --> 00:31:30.060]   of what he said was he was talking about actual physical views of the documents.
[00:31:30.060 --> 00:31:35.460]   And whereas I think that they've used a tremendous number of documents already in the reporting.
[00:31:35.460 --> 00:31:38.420]   And yes, there is more stuff that's there.
[00:31:38.420 --> 00:31:42.620]   The shocking thing is that they can't find out how much he has because the monitoring
[00:31:42.620 --> 00:31:46.980]   software wasn't existent, wasn't turned on in the office where he wasn't Hawaii.
[00:31:46.980 --> 00:31:49.020]   And the Snowden knew that.
[00:31:49.020 --> 00:31:52.900]   And so he was able to get more in a short time.
[00:31:52.900 --> 00:31:57.540]   But I come back to the argument that nothing bad has happened from Snowden's revelations.
[00:31:57.540 --> 00:31:58.620]   They have been responsible.
[00:31:58.620 --> 00:32:03.140]   They have brought things into the public discussion that needed to be brought in the public discussion,
[00:32:03.140 --> 00:32:07.420]   witness that decision about metadata and phone metadata, witness the fact that there's a
[00:32:07.420 --> 00:32:11.660]   report today from a committee reviewing what the NSA is doing, witness the fact that our
[00:32:11.660 --> 00:32:14.140]   allies are also questioning what happens with surveillance.
[00:32:14.140 --> 00:32:17.900]   This is important to have a discussion of a democracy and it was here only because of
[00:32:17.900 --> 00:32:20.020]   whatever the Snowden did.
[00:32:20.020 --> 00:32:21.340]   He shouldn't have had to do.
[00:32:21.340 --> 00:32:24.300]   The system should be better.
[00:32:24.300 --> 00:32:26.100]   But that's where it is.
[00:32:26.100 --> 00:32:30.980]   Meanwhile, the heads of many of the big technology companies, including Eric Schmidt of Google
[00:32:30.980 --> 00:32:37.580]   Marissa Meyer at Yahoo LinkedIn AOL, all of the big companies met with President Obama
[00:32:37.580 --> 00:32:39.140]   yesterday.
[00:32:39.140 --> 00:32:43.980]   Schmidt began the meeting by going over those five principles we talked about in the full
[00:32:43.980 --> 00:32:55.620]   page ad and the website begging the president to change government surveillance programs.
[00:32:55.620 --> 00:32:58.860]   And I think that's a very important thing to do.
[00:32:58.860 --> 00:33:01.860]   I think that's a very important thing to do.
[00:33:01.860 --> 00:33:04.700]   I think that's a very important thing to do.
[00:33:04.700 --> 00:33:07.180]   I think that's a very important thing to do.
[00:33:07.180 --> 00:33:10.140]   I think that's a very important thing to do.
[00:33:10.140 --> 00:33:12.740]   I think that's a very important thing to do.
[00:33:12.740 --> 00:33:15.740]   I think that's a very important thing to do.
[00:33:15.740 --> 00:33:18.780]   I think that's a very important thing to do.
[00:33:18.780 --> 00:33:21.140]   I think that's a very important thing to do.
[00:33:21.140 --> 00:33:26.140]   I also gave more than $1 million to the Obama campaign.
[00:33:26.140 --> 00:33:28.020]   All of the two of them contributed to Obama.
[00:33:28.020 --> 00:33:29.020]   That's interesting.
[00:33:29.020 --> 00:33:31.020]   AT&T didn't and Eric Schmidt didn't.
[00:33:31.020 --> 00:33:33.500]   AT&T's Randall Stevenson, I think his name is.
[00:33:33.500 --> 00:33:34.500]   He was there.
[00:33:34.500 --> 00:33:35.500]   He was the CEO of AT&T.
[00:33:35.500 --> 00:33:37.500]   He made a huge contribution to Romney.
[00:33:37.500 --> 00:33:43.260]   He's there because AT&T is, I believe, the number one contributed to political campaigns
[00:33:43.260 --> 00:33:47.940]   and political parties in the world, in the US.
[00:33:47.940 --> 00:33:51.420]   AT&T drops a lot of money in Washington.
[00:33:51.420 --> 00:33:58.580]   Is this just a photo op or do you think there really were, there was any intent on the part
[00:33:58.580 --> 00:34:00.580]   of the administration to listen to these guys?
[00:34:00.580 --> 00:34:03.460]   This is the economic engine that drives the United States.
[00:34:03.460 --> 00:34:10.740]   It's not an industrial, but in terms of the information age, these are the big names,
[00:34:10.740 --> 00:34:11.740]   the big companies.
[00:34:11.740 --> 00:34:15.020]   Obviously, nothing's going to happen to this me.
[00:34:15.020 --> 00:34:21.380]   But in optics, as they like to say, the fact that eight major companies took out that full
[00:34:21.380 --> 00:34:27.060]   page ad directly to the president and Congress, giving them principles to live by that they
[00:34:27.060 --> 00:34:34.660]   have not created, and that this meeting then occurs, says that it didn't fall on deaf ears.
[00:34:34.660 --> 00:34:39.380]   It may have felt on obstinate ears, but not deaf ears, and that there is something that
[00:34:39.380 --> 00:34:40.380]   we're talking about here.
[00:34:40.380 --> 00:34:41.780]   Again, we're having the debate.
[00:34:41.780 --> 00:34:42.780]   Thanks to Edward Snowden.
[00:34:42.780 --> 00:34:44.780]   We're having it.
[00:34:44.780 --> 00:34:45.780]   Yes, so there it is.
[00:34:45.780 --> 00:34:50.420]   And so there's an obvious political pressure that's here, and it had to be dealt with, and
[00:34:50.420 --> 00:34:52.180]   still has to be dealt with.
[00:34:52.180 --> 00:34:58.500]   Marissa Mayer, CEO at Yahoo warned the president of Balkanization of the Internet as international
[00:34:58.500 --> 00:35:03.140]   companies, international governments, don't stop dealing with American companies for fear
[00:35:03.140 --> 00:35:04.140]   of spying.
[00:35:04.140 --> 00:35:09.500]   Dick Costolo was there from Twitter, Brad Smith, General Counsel at Microsoft, Vice President,
[00:35:09.500 --> 00:35:15.500]   General Counsel at LinkedIn, CEO of Etsy, CEO of Netflix, Reed Hastings was there.
[00:35:15.500 --> 00:35:22.460]   Drew Houston of Dropbox was there at Zynga, Shervan Pishivar, Brian Roberts of Comcast.
[00:35:22.460 --> 00:35:24.740]   It's kind of an odd list if you think about it.
[00:35:24.740 --> 00:35:29.780]   Well, it's not an odd list when you think that all but two contributed to the Obama campaign.
[00:35:29.780 --> 00:35:34.300]   The other thing is that this whole NSA thing is taking off the table a whole bunch of other
[00:35:34.300 --> 00:35:37.180]   issues that I think should be on the table as well.
[00:35:37.180 --> 00:35:43.220]   I mean, this NSA scandal is really screwing American technology companies.
[00:35:43.220 --> 00:35:50.100]   Yeah, but we, Congress issued a warning last year that we shouldn't be buying phones from
[00:35:50.100 --> 00:35:53.940]   Huawei and ZTE because they were partly owned by the Chinese government.
[00:35:53.940 --> 00:35:55.940]   I mean, it's a two-way...
[00:35:55.940 --> 00:35:57.620]   Well, but don't we trust anybody anymore?
[00:35:57.620 --> 00:36:06.380]   But the NSA, one of their highest priorities should be protecting Silicon Valley from the
[00:36:06.380 --> 00:36:07.380]   Chinese.
[00:36:07.380 --> 00:36:08.380]   They even say that's their agenda.
[00:36:08.380 --> 00:36:10.580]   And they fail completely to do that.
[00:36:10.580 --> 00:36:15.500]   There are some recent reports coming out demonstrating that the Chinese government just
[00:36:15.500 --> 00:36:19.780]   pretty much gets every secret they want, every military and technology secret and they're
[00:36:19.780 --> 00:36:21.900]   into industrial espionage and all these other things.
[00:36:21.900 --> 00:36:23.340]   And what does the NSA doing about that?
[00:36:23.340 --> 00:36:24.980]   What is the federal government doing about that?
[00:36:24.980 --> 00:36:27.340]   No, instead of doing the opposite.
[00:36:27.340 --> 00:36:31.060]   You're giving a corollary argument to the one that, well, everybody else spies so we
[00:36:31.060 --> 00:36:32.060]   should too.
[00:36:32.060 --> 00:36:33.420]   Well, the Chinese do bad stuff.
[00:36:33.420 --> 00:36:36.060]   That doesn't, any means justify us doing it as well.
[00:36:36.060 --> 00:36:43.500]   No, but I have a feeling that Chinese government was loath to buy American goods before.
[00:36:43.500 --> 00:36:44.500]   Yes.
[00:36:44.500 --> 00:36:45.500]   Right.
[00:36:45.500 --> 00:36:46.500]   I mean, this is...
[00:36:46.500 --> 00:36:48.100]   I mean, maybe the Germans now.
[00:36:48.100 --> 00:36:51.100]   Except Cisco goods they use to make the Great Firewall.
[00:36:51.100 --> 00:36:52.100]   Right.
[00:36:52.100 --> 00:36:53.100]   Right.
[00:36:53.100 --> 00:36:55.460]   Well, that's part of the problem is if you don't get it from the US, there's a lot of stuff
[00:36:55.460 --> 00:36:57.820]   you can't get.
[00:36:57.820 --> 00:36:58.820]   Yeah.
[00:36:58.820 --> 00:37:01.060]   What do you think of this, Kevin Marks?
[00:37:01.060 --> 00:37:02.380]   You're an international terror.
[00:37:02.380 --> 00:37:03.380]   I'm a person.
[00:37:03.380 --> 00:37:04.380]   International traveler.
[00:37:04.380 --> 00:37:05.380]   Traveler.
[00:37:05.380 --> 00:37:06.380]   Man of mystery.
[00:37:06.380 --> 00:37:08.900]   Have you ever been cavity searched at the border?
[00:37:08.900 --> 00:37:13.660]   I hope you pay your maid well.
[00:37:13.660 --> 00:37:17.340]   I did get searched on my way out of the country for having too many wires in my bag.
[00:37:17.340 --> 00:37:18.340]   Oh, yeah.
[00:37:18.340 --> 00:37:20.340]   Well, I feel I'll have that problem.
[00:37:20.340 --> 00:37:22.980]   Actually, no, that was going from London to Paris.
[00:37:22.980 --> 00:37:26.220]   That's when I got searched there.
[00:37:26.220 --> 00:37:30.620]   You know, there's something I went addressing with the more meeting with the president, but
[00:37:30.620 --> 00:37:33.180]   at least that's useful when addressing.
[00:37:33.180 --> 00:37:37.740]   It's changed for being called before Congress testified because they've done, they've eventually
[00:37:37.740 --> 00:37:42.820]   done something wrong, which was the previous pattern.
[00:37:42.820 --> 00:37:46.140]   I think the other subjects of that meeting was they said, "Oh, we're asking them to help
[00:37:46.140 --> 00:37:48.780]   us sort out the healthcare website."
[00:37:48.780 --> 00:37:49.780]   Yeah.
[00:37:49.780 --> 00:37:50.780]   That was kind of a...
[00:37:50.780 --> 00:37:51.780]   Yeah.
[00:37:51.780 --> 00:37:53.300]   But then they appointed someone for Microsoft to do that.
[00:37:53.300 --> 00:37:54.300]   Right.
[00:37:54.300 --> 00:37:55.620]   It was also kind of odd.
[00:37:55.620 --> 00:38:00.220]   So, you know, there's a bunch of structural bits and pieces there.
[00:38:00.220 --> 00:38:05.140]   You know, there's kind of a recognition that these companies are doing useful things and
[00:38:05.140 --> 00:38:06.140]   they should...
[00:38:06.140 --> 00:38:07.140]   The government should listen to them all.
[00:38:07.140 --> 00:38:12.840]   And certainly, I know that they've got some smart people who are working at the White
[00:38:12.840 --> 00:38:15.420]   House now who come from the valley.
[00:38:15.420 --> 00:38:20.580]   Again, there was a sort of wave of that when the first Obama administration came in.
[00:38:20.580 --> 00:38:24.860]   There's another wave that going on now where people are moving there in the office of
[00:38:24.860 --> 00:38:26.220]   the CTO and things.
[00:38:26.220 --> 00:38:29.180]   So hopefully, they'll be paying a bit more attention.
[00:38:29.180 --> 00:38:37.540]   One of the UK angle on this is that they've invested very heavily in building up expertise
[00:38:37.540 --> 00:38:40.660]   in open source and open standards within government.
[00:38:40.660 --> 00:38:44.780]   And the Cabinet Office has the government data services team that is explicitly trying
[00:38:44.780 --> 00:38:49.180]   to reinvent government websites so that they don't cost millions of dollars and get farmed
[00:38:49.180 --> 00:38:53.500]   out to ridiculously expensive contractors but are able to build on open source technologies
[00:38:53.500 --> 00:38:55.620]   and reuse things where they need to.
[00:38:55.620 --> 00:39:01.180]   That's definitely a trend that's welcome and starting to bear some fruit in the UK.
[00:39:01.180 --> 00:39:04.900]   Something that's been going on for maybe three years, three or four years there.
[00:39:04.900 --> 00:39:12.140]   Angela Merkel, we are learning now after hearing from Der Spiegel that the Americans were listening
[00:39:12.140 --> 00:39:17.700]   to her personal cell phone called President Obama and said, "This is like the Stazie,
[00:39:17.700 --> 00:39:20.180]   the East German secret police that she...
[00:39:20.180 --> 00:39:21.180]   She was an East German."
[00:39:21.180 --> 00:39:25.300]   So she had some experience with.
[00:39:25.300 --> 00:39:30.940]   She was particularly angry, according to The New York Times, that the NSA "couldn't be
[00:39:30.940 --> 00:39:35.460]   trusted with private information because they let Snowden clean them out."
[00:39:35.460 --> 00:39:41.660]   So A, she pissed off that we're spying on her and B, that damn Snowden guy, cleaned
[00:39:41.660 --> 00:39:42.660]   you out.
[00:39:42.660 --> 00:39:45.220]   Well, same with your Senator Feinstein.
[00:39:45.220 --> 00:39:49.340]   She, you know, NSA was fine and wonderful and glorious until one of her own, that is
[00:39:49.340 --> 00:39:53.100]   to say Angela Merkel, one of that level got hacked and then that's when she got mad.
[00:39:53.100 --> 00:39:54.100]   Yeah.
[00:39:54.100 --> 00:39:59.460]   And now Feinstein, after the court decision about the metadata, Feinstein said, "Well,
[00:39:59.460 --> 00:40:01.580]   it's good to have, but not all that credit."
[00:40:01.580 --> 00:40:04.460]   Well, not long ago she was saying it was vital to have that to stop terror.
[00:40:04.460 --> 00:40:09.020]   The metadata, well, see, this is the thing and I think this is why the 60-minute piece
[00:40:09.020 --> 00:40:14.580]   tells you a lot about what the NSA thinks the American people will tolerate, what the
[00:40:14.580 --> 00:40:16.860]   American people understand.
[00:40:16.860 --> 00:40:21.060]   And I think that they're very clear that the American people don't think metadata is
[00:40:21.060 --> 00:40:22.060]   an issue.
[00:40:22.060 --> 00:40:24.660]   It's a big deal, they know what calls I made to whom, when.
[00:40:24.660 --> 00:40:25.660]   Right.
[00:40:25.660 --> 00:40:28.020]   So what, they're not listening to the calls, that's what I'm worried about.
[00:40:28.020 --> 00:40:33.780]   But those of us who follow this stuff, and that includes all of you watching and listening,
[00:40:33.780 --> 00:40:38.220]   know that big data, this is precisely the kind of data that you can use to find out
[00:40:38.220 --> 00:40:39.220]   all sorts of stuff.
[00:40:39.220 --> 00:40:40.740]   You don't really need the call content.
[00:40:40.740 --> 00:40:41.740]   Right.
[00:40:41.740 --> 00:40:47.220]   The metadata process that they're using is precisely the thing that makes it unconstitutional.
[00:40:47.220 --> 00:40:52.180]   They want this data so that they can go fishing for crimes or terrorism acts or things like
[00:40:52.180 --> 00:40:55.660]   that because actually what they're trying to do is solve pre-crime.
[00:40:55.660 --> 00:40:57.500]   That's, this is a minority report stuff here.
[00:40:57.500 --> 00:40:59.220]   They're not trying to solve crimes.
[00:40:59.220 --> 00:41:01.380]   They're trying to stop crimes before they happen.
[00:41:01.380 --> 00:41:03.020]   And so they feel that they need this tool.
[00:41:03.020 --> 00:41:08.060]   But essentially metadata just enables them to go on these phishing expeditions and all
[00:41:08.060 --> 00:41:09.380]   these things have slippery slopes.
[00:41:09.380 --> 00:41:10.380]   Let's say-
[00:41:10.380 --> 00:41:11.380]   Well, I think that's exactly right.
[00:41:11.380 --> 00:41:14.620]   And let's, by the way, the review panel, the NSA review panel is releasing its findings
[00:41:14.620 --> 00:41:15.620]   right now.
[00:41:15.620 --> 00:41:17.620]   And right up front, one of the first things they said-
[00:41:17.620 --> 00:41:18.820]   I was just going to read that.
[00:41:18.820 --> 00:41:20.220]   This is fascinating.
[00:41:20.220 --> 00:41:22.220]   This is from the report.
[00:41:22.220 --> 00:41:27.420]   Finally, the report says, "We cannot discount the risk in light of the lessons of our own
[00:41:27.420 --> 00:41:32.580]   history that at some point in the future high level government officials will decide that
[00:41:32.580 --> 00:41:38.420]   this massive database of extraordinarily sensitive private information is there for the plucking."
[00:41:38.420 --> 00:41:43.620]   And here's the big quote, the pull quote, "Americans must never make the mistake of
[00:41:43.620 --> 00:41:46.660]   wholly trusting our public officials."
[00:41:46.660 --> 00:41:49.420]   This is from the government review panel.
[00:41:49.420 --> 00:41:51.460]   Yeah, this is from the rubber stamp.
[00:41:51.460 --> 00:41:52.460]   So it's so strong.
[00:41:52.460 --> 00:41:53.460]   Holy cow.
[00:41:53.460 --> 00:41:58.140]   The next post there, it says that metadata can reveal, quote, "calls to the psychiatrists,
[00:41:58.140 --> 00:42:01.620]   the plastic surgeon, the abortion clinic, the AIDS treatment," and so on.
[00:42:01.620 --> 00:42:04.700]   Knowing that the government has ready access to one's phone call records can seriously
[00:42:04.700 --> 00:42:09.380]   chill associational and expressive freedoms and knowing that the government is one flick
[00:42:09.380 --> 00:42:13.780]   of a switch away from such information can profoundly quote alter the relationship between
[00:42:13.780 --> 00:42:18.220]   citizen and government in a way that is in nimical to society.
[00:42:18.220 --> 00:42:19.220]   Boom!
[00:42:19.220 --> 00:42:24.140]   So, Edward Snowden should be banned from this country forever because he causes debate.
[00:42:24.140 --> 00:42:27.180]   Yeah, we were- he revealed that horrible secret.
[00:42:27.180 --> 00:42:31.260]   So that was to me the big takeaway of the 60-minute piece.
[00:42:31.260 --> 00:42:34.220]   The NSA did in fact say, "Yes, we're hoovering up all call records.
[00:42:34.220 --> 00:42:35.220]   Yes, we are.
[00:42:35.220 --> 00:42:37.060]   And we're saving them for years."
[00:42:37.060 --> 00:42:39.580]   That's just the metadata, folks.
[00:42:39.580 --> 00:42:40.580]   Tells you two things.
[00:42:40.580 --> 00:42:41.580]   One, they admit it.
