;FFMETADATA1
title=Weiner, Weiner, Pizza Dinner
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=304
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.800]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin
[00:24:04.520 --> 00:24:08.120]   Oh long as it if you keep piracy firing music, you're never gonna get any
[00:24:08.120 --> 00:24:10.840]   Okay fair point
[00:24:11.360 --> 00:24:13.360]   but I think that
[00:24:13.360 --> 00:24:17.600]   The point here is it's trying to argue that along with cook that oh
[00:24:17.600 --> 00:24:20.320]   Data is evil data is bad data is just information
[00:24:20.320 --> 00:24:28.120]   And and and and relationships are based on data on information cook is saying is we want to give you a choice
[00:24:28.120 --> 00:24:30.880]   Because it feels a little bit
[00:24:30.880 --> 00:24:36.880]   Genuous because then the other you know they say that and then the then they crow about how many credit card numbers they have I mean
[00:24:37.760 --> 00:24:42.920]   But I think it's I think it's good business for them to say we're in the favor of privacy
[00:24:42.920 --> 00:24:47.440]   Not everybody is other companies want to use information to tailor ads or whatever
[00:24:47.440 --> 00:24:51.920]   We don't want to connect that they even sit on stage on Monday. We don't want to know at that
[00:24:51.920 --> 00:24:59.520]   We don't want to have that information about you and that's a perfectly reasonable place for them to be and if consumers really want that
[00:24:59.520 --> 00:25:05.800]   That's a compelling sales point. Yeah, are you guys familiar with Google contributor? No, what's that?
[00:25:05.800 --> 00:25:13.240]   You know what this is I've never heard of this until last night on all that Android Ron mentioned it basically it ties directly with
[00:25:13.240 --> 00:25:16.680]   We talked about a year
[00:25:16.680 --> 00:25:19.920]   Heard of this until yes, I was like what are you talking about?
[00:25:19.920 --> 00:25:22.720]   But this is a very few and limited number of blogs where you can
[00:25:22.720 --> 00:25:25.520]   Pay directly for a blog
[00:25:25.520 --> 00:25:28.320]   $2 $5 $10 a month
[00:25:28.320 --> 00:25:33.240]   But the participating sites are very limited in fact and then we're gonna do this
[00:25:33.960 --> 00:25:40.160]   Just today every daily news paper in Germany signed on with Blendell which is a micro payment platform
[00:25:40.160 --> 00:25:45.800]   The belief in my industry has been the micro payments will save it so people will just give 10% 20 cents for an article
[00:25:45.800 --> 00:25:51.700]   It'll all be okay BS never gonna work we consider to pay wall early on and I just didn't well you did
[00:25:51.700 --> 00:25:54.760]   Oh, yeah, we've considered all forms of monetization
[00:25:54.760 --> 00:25:59.200]   My initial plan was to be a like the modern patreon to be a
[00:26:00.040 --> 00:26:06.560]   Subscrew not some not forced subscriber but voluntary subscriber. Yeah paid donations. That's still kind of
[00:26:06.560 --> 00:26:12.040]   Lingers on on the website and people do give money in a few thousand dollars a month and I appreciate that. Thank you
[00:26:12.040 --> 00:26:17.800]   But we couldn't but the option of saying having a paywall or we even consider that sometimes now
[00:26:17.800 --> 00:26:23.960]   Maybe we should make certain things have behind a paywall like chat behind a paywall, which by the way
[00:26:23.960 --> 00:26:25.960]   We're not gonna do don't worry
[00:26:26.240 --> 00:26:29.280]   But it's gonna kill chat and start a paywall go ahead
[00:26:29.280 --> 00:26:35.560]   It is fundamentally undemocratic in fact that was one of the
[00:26:35.560 --> 00:26:40.080]   Criticisms you had is what about the guy who her buck a month sounds like nothing to us
[00:26:40.080 --> 00:26:43.040]   But what about the guys making 15 bucks a month? That's a very good point
[00:26:43.040 --> 00:26:50.060]   We want we don't want to be undemocratic but also when you have a technically sophisticated audience any paywalls doomed to failure
[00:26:50.060 --> 00:26:55.360]   Dig nation did that briefly they said if you pay if you donate to dig nation
[00:26:56.200 --> 00:27:00.520]   We'll give you early access to the show like a week ahead of time in fact. They're doing it again
[00:27:00.520 --> 00:27:05.880]   They're bringing back dignity. They're gonna do a one-off and if you donate to it. It's quite expensive
[00:27:05.880 --> 00:27:11.400]   You can get it ahead of everybody else and what what happens with the technically literate audiences?
[00:27:11.400 --> 00:27:14.200]   They immediately say oh yeah, I'll buy it give it to everybody
[00:27:14.200 --> 00:27:19.520]   You can't for suddenly if you have a paywall you're in the whack-a-mole business and I don't want to be in the whack-a-mole business
[00:27:19.520 --> 00:27:20.640]   I
[00:27:20.640 --> 00:27:25.200]   Actually think that when when you talk about this whole issue of advertising contextual advertising
[00:27:25.200 --> 00:27:31.520]   I I am bugged by the by the fact that it's an airheaded conversation to say that
[00:27:31.520 --> 00:27:33.880]   contextual advertising or or any sort of
[00:27:33.880 --> 00:27:39.720]   Personal data collection is bad is to say is like saying drugs are bad
[00:27:39.720 --> 00:27:44.840]   Well, you know heroin is bad, but the Novocaine that their lidocaine or whatever it is
[00:27:44.840 --> 00:27:48.520]   They used to dull the my teeth before the dentist starts drilling is good
[00:27:48.520 --> 00:27:52.000]   You know, it's not that data collection is bad is that that?
[00:27:52.520 --> 00:27:58.280]   There's a potential for bad data collection to abuse and sell your personal data
[00:27:58.280 --> 00:28:02.040]   That which could lead to spamming and exposure to all kinds of problems
[00:28:02.040 --> 00:28:06.160]   And so you know some some data collection is is
[00:28:06.160 --> 00:28:11.680]   Divorced from the individual so they just basically say okay
[00:28:11.680 --> 00:28:14.160]   We want to know what you're doing where you're doing it?
[00:28:14.160 --> 00:28:14.920]   How much you're doing it?
[00:28:14.920 --> 00:28:16.120]   How much you get paid all this stuff?
[00:28:16.120 --> 00:28:20.680]   But your name is not associated with it and that'll be lumped into a big database with a million other people
[00:28:20.680 --> 00:28:25.160]   So we know that you know, there's stuff about this large population. There's absolutely nothing
[00:28:25.160 --> 00:28:30.800]   Privacy violating about that the problem is that we don't have nobody has that conversation
[00:28:30.800 --> 00:28:37.280]   It's either like oh put up ad blocks and we prevent anybody from knowing anything about us or we give everything away and
[00:28:37.280 --> 00:28:45.240]   Those are not the two choices actually and in fact Apple is so good at communicating this stuff because they're collecting all kinds of information
[00:28:45.240 --> 00:28:47.400]   And they they're keeping it on the phone
[00:28:47.840 --> 00:28:52.400]   right, but there's a lot of that out in the outside of Apple as well they didn't invent that the idea of
[00:28:52.400 --> 00:28:55.640]   giving you the benefits of
[00:28:55.640 --> 00:29:05.120]   Data collection without actually abusing your privacy lots of companies do that including Google to a very large extent much of the data collection
[00:29:05.120 --> 00:29:11.600]   They do is completely harmless and does not violate your privacy. They're just lousy at communicating. It was more honest in some ways
[00:29:11.600 --> 00:29:17.160]   Yeah, Apple's more disingenuous about this. Well, I think no, I think I think Apple
[00:29:17.840 --> 00:29:25.720]   Apple is I let what I appreciate about what Apple's doing from from their keynote actually a Monday is that they pointed out that look
[00:29:25.720 --> 00:29:29.720]   we are giving you many of the benefits with your iPhone of
[00:29:29.720 --> 00:29:36.080]   Location data and all this kind of stuff with with Siri and preem you know preemptive
[00:29:36.080 --> 00:29:39.520]   Notifications all that kind of stuff, but it never leaves the phone
[00:29:39.520 --> 00:29:44.960]   We're not gonna take it and put it in a remote database and share it with anybody and all that kind of stuff. Okay, so
[00:29:45.680 --> 00:29:51.040]   Everybody who does that sort of thing needs to communicate it the way Apple did so that we know the difference between
[00:29:51.040 --> 00:29:57.040]   The kind of data collection we want and the kind we don't want. Yeah, and so if if I would
[00:29:57.040 --> 00:30:06.000]   Fault Google for anything is their failure to communicate. Yeah, what they're doing with the data and to sell it to us
[00:30:06.000 --> 00:30:08.000]   I want to be sold on
[00:30:08.000 --> 00:30:11.240]   The benefits of their data collection. They just say oh here
[00:30:11.240 --> 00:30:15.480]   You know, here's here's our you know, here's the information. Here's your dashboard about all things do that right?
[00:30:15.480 --> 00:30:17.640]   They say what they've got what they know, but you're right now
[00:30:17.640 --> 00:30:24.200]   I need to be very clear about how it's used but all on the rundown somewhere is I put an economist piece up where where it's
[00:30:24.200 --> 00:30:31.600]   The algorithm capital T capital A and in there it says I went to Google and I found out what they thought about me
[00:30:31.600 --> 00:30:36.520]   And they were wrong what this is that you know, it's just a hard targeting man. It's just no great mystery
[00:30:36.520 --> 00:30:42.160]   This is also a screed on rewrite read right then I guess the new read right web reborn. Yes
[00:30:44.200 --> 00:30:46.480]   Today, that's the that's the you're showing
[00:30:46.480 --> 00:30:53.280]   Which is kind of ridiculous because it it it mystifies the algorithm so condemn us to find the algorithm
[00:30:53.280 --> 00:30:59.160]   And you know an algorithm is nothing but a formula and data is nothing but information and and we've a lot
[00:30:59.160 --> 00:31:04.520]   We as an industry have allowed all this to become too priestly and mysterious and it's biting us in the ass
[00:31:04.520 --> 00:31:10.000]   Because we've done this. Yeah now algorithms are mysterious. I think I talked about it my visit to to
[00:31:11.200 --> 00:31:16.200]   Facebook it was it was kind of like how do we explain algorithms? You just you know a formula to do something nice for you
[00:31:16.200 --> 00:31:18.200]   that's all and and
[00:31:18.200 --> 00:31:24.600]   I think the priestly cast of geeks made it made it seem so mysterious that it's really gonna be harmful to them
[00:31:24.600 --> 00:31:27.500]   Well, and then there's also if you start
[00:31:27.500 --> 00:31:38.200]   Blocking ads then what the other thing that happens the unintended consequences is the ads go underground in fact CNN has announced a
[00:31:39.640 --> 00:31:43.840]   New unit. This is from fair fair.org
[00:31:43.840 --> 00:31:46.320]   Called get this courageous
[00:31:46.320 --> 00:31:54.920]   Which will not report news but instead will take money from corporations to produce content that resembles news but is actually PR
[00:31:54.920 --> 00:32:02.000]   They're going to and this is kind of what the New York Times does with its native content native. It's all yeah
[00:32:02.000 --> 00:32:05.400]   They're gonna help companies create CNN like
[00:32:05.400 --> 00:32:07.280]   stories
[00:32:07.280 --> 00:32:11.480]   Because who's big is better at that all following BuzzFeed's model. Yeah
[00:32:11.480 --> 00:32:15.280]   Your times does it BuzzFeed does it journal does it?
[00:32:15.280 --> 00:32:22.400]   They have native content units and CNN is now gonna do this and this is my problem is as soon as you start pushing ads
[00:32:22.400 --> 00:32:29.020]   Underground advertisers want to reach you they're gonna reach you there's another they start doing native content or you put Pepsi
[00:32:29.020 --> 00:32:34.400]   Cans on this table and I mean that's just that's the next thing. It's gonna be everywhere in other ways
[00:32:34.400 --> 00:32:36.400]   I actually don't mind
[00:32:36.400 --> 00:32:40.880]   You know advertising that is
[00:32:40.880 --> 00:32:46.720]   Comes in the form of articles as long as it's clear as I'm not tricking the consumer
[00:32:46.720 --> 00:32:48.480]   There's nothing wrong with with that sort of
[00:32:48.480 --> 00:32:53.000]   I'm not that's why it works is because it tricks consumers right if it didn't trick consumers
[00:32:53.000 --> 00:32:55.520]   It'd just be another long ad and nobody'd look at it
[00:32:55.520 --> 00:33:02.400]   I talked on the show about how I did a test with with the word promoted and and 54% of the people didn't know what it meant
[00:33:02.400 --> 00:33:08.760]   No CNN says this isn't about confusing editorial with advertising. This is about telling advertisers stories
[00:33:08.760 --> 00:33:14.600]   Telling similar stories, but clearly labeling and differentiating that this is CNN
[00:33:14.600 --> 00:33:19.200]   We're not here to blur the lines. This is exactly what the New York Times ladies said remember in that speech we played
[00:33:19.200 --> 00:33:21.800]   No, people know the difference
[00:33:21.800 --> 00:33:22.480]   I
[00:33:22.480 --> 00:33:27.400]   Think it's apparent the reason advertisers want native content is because people don't know the difference
[00:33:27.400 --> 00:33:32.360]   Well, why is always always wanted this we're just so desperate
[00:33:32.600 --> 00:33:34.760]   Now we're selling our soul we're doing it. Well, you know
[00:33:34.760 --> 00:33:39.440]   I ran out of him weekly their advertisers came in and tried to make a page look just like editorial
[00:33:39.440 --> 00:33:45.360]   He said no, no, no, you can't do that. Okay. They try another thing and now we're saying okay, and here's the price
[00:33:45.360 --> 00:33:48.680]   Right we're competing with each other and we're gonna commodify even our soul
[00:33:48.680 --> 00:33:54.880]   Well, it's good for me because it means yeah the people who don't do that like us will shine. Yes, I hope there's this
[00:33:54.880 --> 00:33:59.440]   But also leads there's this read right piece. I was mentioning which is which is the ticket. You spell irony
[00:33:59.680 --> 00:34:04.880]   It's all about how I hate advertising advertising is awful, but of course it's brought to you by Disney
[00:34:04.880 --> 00:34:12.920]   So here's the unintended consequence consequence that I've never heard anybody talk about which I think is around ad blocking
[00:34:12.920 --> 00:34:15.680]   Which I'd love for us to start a conversation about
[00:34:15.680 --> 00:34:23.000]   Generally on an ongoing basis and it's always like a lot well it goes like this certain types of people
[00:34:23.000 --> 00:34:27.640]   Are going to do ad blocking technical people right people who you know
[00:34:28.040 --> 00:34:30.680]   Smart people who are paying attention who feel comfortable
[00:34:30.680 --> 00:34:33.480]   Adding things to their browser, you know
[00:34:33.480 --> 00:34:37.880]   extensions and so on and that excuse the
[00:34:37.880 --> 00:34:41.520]   the money frankly that there's in the hands or
[00:34:41.520 --> 00:34:47.880]   That's targeting those kinds of people it changes the the basically the nature of
[00:34:47.880 --> 00:34:56.400]   Theoretically the nature of the the general mix of companies that are succeeding on long if you want to know why tech TV went away
[00:34:56.400 --> 00:34:58.400]   I could tell you exactly
[00:34:58.400 --> 00:35:07.000]   Advertisers I was told this by a tech TV executive because I I was very much lobbied tech TVs executives to focus on
[00:35:07.000 --> 00:35:10.480]   I said there's one and a half million programmers in the United States. That's an
[00:35:10.480 --> 00:35:13.360]   Computer programmers. That's enough people to make this a viable channel
[00:35:13.360 --> 00:35:17.280]   Yeah focus super serve that audience and I was told in no
[00:35:17.280 --> 00:35:21.080]   Uncertain words that the brands don't want this they say
[00:35:21.080 --> 00:35:23.920]   smart people don't
[00:35:23.920 --> 00:35:28.440]   Are not seduced by brand advertising. They don't buy by brand. They're smart
[00:35:28.440 --> 00:35:30.680]   We don't want smart people
[00:35:30.680 --> 00:35:36.680]   Yeah, and so that's to underscore what you're saying the people who block ads that people are smart the people who are insightful
[00:35:36.680 --> 00:35:40.120]   Advertisers already don't want you. That's why there is no tech TV
[00:35:40.120 --> 00:35:47.920]   We they can't make it financially viable exactly an ad blockers are a direct action a direct expression of that of that notion
[00:35:47.920 --> 00:35:49.920]   Let me just give an extreme example
[00:35:50.080 --> 00:35:56.320]   Let's let's say the Raspberry Pi people wanted to advertise Raspberry Pi a wonderful product
[00:35:56.320 --> 00:36:05.760]   That's aimed at a very specific type of person and then on the other hand contrasting with that you have a a sort of snake oil salesman selling a weight loss pill
[00:36:05.760 --> 00:36:07.920]   okay
[00:36:07.920 --> 00:36:14.560]   The what's gonna happen is that the type of people who they're gonna advertise to for the Raspberry Pi are gonna be using ad blockers
[00:36:14.560 --> 00:36:16.560]   Right the ad will be completely ineffective
[00:36:16.760 --> 00:36:23.560]   the weight loss pill is gonna be everywhere they're gonna make a fortune and the the internet will be overrun with weight loss pills and
[00:36:23.560 --> 00:36:28.040]   And the people who would buy some products and the people who would build a better tomorrow
[00:36:28.040 --> 00:36:30.600]   We'll never discover the razcer if you
[00:36:30.600 --> 00:36:36.880]   Because because they're using ad blockers. So so it's it's just it's a it's a the demographic issue needs to be
[00:36:36.880 --> 00:36:38.480]   I do raise
[00:36:38.480 --> 00:36:43.240]   The point which is also important which is it's a minuscule number that use ad blocks and even in our
[00:36:43.560 --> 00:36:48.760]   Sophisticated audience. I don't think I think that we probably have a much larger percentage of people using ad blockers
[00:36:48.760 --> 00:36:53.560]   Right, but you know, that's okay. All right chat room chat room. Fessed up. How many of you use that?
[00:36:53.560 --> 00:36:56.360]   Yeah, how many of you in the chat? I would say it's a large percent probably half
[00:36:56.360 --> 00:37:02.240]   How many people just say yes or no? Yes, you use that blocker. Don't you know? Yeah, yes or no?
[00:37:02.240 --> 00:37:10.040]   I have a no Patrick. No shouted Patrick. No, no me. No. Yes or no. Yes. I do not know. Yes
[00:37:10.320 --> 00:37:15.400]   It's about 50 50. I'd say well, I mean a lot of yeses are coming in
[00:37:15.400 --> 00:37:21.240]   By the way, this is this is public so I've seen it publicly but the Guardian
[00:37:21.240 --> 00:37:25.720]   Which has a membership program went to people who used ad blockers and said
[00:37:25.720 --> 00:37:31.240]   Would you consider you know like support in us with a membership and it was a very good conversion. Yeah
[00:37:31.240 --> 00:37:35.000]   Here's a guy runs a marketing agency who says yeah, I use it
[00:37:35.640 --> 00:37:40.200]   But see the ad blockers don't affect us particularly we have banner ads on their website
[00:37:40.200 --> 00:37:46.920]   And those are usually we do sell those not for a lot of money most they always go to an existing advertiser
[00:37:46.920 --> 00:37:50.120]   They're part of an overall ad buy the truth is the ads
[00:37:50.120 --> 00:37:56.240]   And by the way the new website the ads are the banners are very much reduced and very I think subtle
[00:37:56.240 --> 00:37:59.720]   We we really wanted to make the new website look good and not be overrun by that
[00:37:59.720 --> 00:38:04.000]   The ads that work are the ads that we do the interstitial ads that we do and that's one of the reasons
[00:38:04.000 --> 00:38:07.900]   We do them very differently and you know what there's no way I could stop somebody from fast-forwarding
[00:38:07.900 --> 00:38:13.080]   Yeah, and I bet you okay. Let me ask you that how many of you fast-forward through our ads
[00:38:13.080 --> 00:38:17.240]   And yet I got to say this
[00:38:17.240 --> 00:38:25.680]   What really happens and I think every podcaster knows this is that your community is so devoted to what you do that they buy the products
[00:38:25.680 --> 00:38:32.120]   Specifically to support you right our ads work better for advertisers because of our community
[00:38:32.120 --> 00:38:36.920]   It's a lot of our our ballon of I okay. Let's not I'm sorry. I asked that question
[00:38:36.920 --> 00:38:41.880]   Don't mention that that you skip the ads would you mind keeping that
[00:38:41.880 --> 00:38:45.400]   But I find I find my own behavior
[00:38:45.400 --> 00:38:51.640]   Being such that with like Howard Stern and Twitch shows I get I get I
[00:38:51.640 --> 00:38:57.400]   Had their part of the content like I want to hear why we do it that way exactly and and so yeah
[00:38:57.400 --> 00:39:02.400]   We we want to incentivize you not to skip them right and we also want the community
[00:39:02.400 --> 00:39:06.360]   To be loyal to us and love us we want to make we want to soup
[00:39:06.360 --> 00:39:08.480]   We I always take the attitude
[00:39:08.480 --> 00:39:13.920]   Let's just super serve the community and they'll take care of us right and that's kind of the best way to do it
[00:39:13.920 --> 00:39:16.560]   And taking care of us by the way does not include donating
[00:39:16.560 --> 00:39:23.880]   I mean no agenda and other shows that are totally donated a donation run are always gonna be smaller
[00:39:23.880 --> 00:39:28.520]   Nobody's gonna be able to run an enterprise of this size with the 20 shows we do on donations alone
[00:39:28.520 --> 00:39:32.360]   It's just not doable if it's a couple of guys in a microphone maybe sure
[00:39:32.360 --> 00:39:37.560]   So but we're never gonna if somebody said if ever you block people use ad blockers
[00:39:37.560 --> 00:39:39.960]   I'll stop listening. We never would do that. That's not how we work
[00:39:39.960 --> 00:39:45.720]   In fact most of you who listen to shows you download the shows and you put them on a device of any kind
[00:39:45.720 --> 00:39:50.440]   We don't we don't in any way limit what devices you use and you listen to it. I mean that
[00:39:51.080 --> 00:39:54.720]   Let's let's let's go here. I think a media site. We forget paywalls
[00:39:54.720 --> 00:40:02.240]   Because what I when I argue to media sites is that you should you should calculate the value of a reader and act accordingly and
[00:40:02.240 --> 00:40:07.840]   a once a month reader becomes his value less a person uses an ad blocker is value less
[00:40:07.840 --> 00:40:13.160]   Person who comes often allows the ads has value so I would support I think you know
[00:40:13.160 --> 00:40:15.840]   What what a media site lose by blocking ad blockers?
[00:40:15.840 --> 00:40:19.400]   Just saying if you're using that blocker, sorry, you can't you can't come to our stuff
[00:40:19.400 --> 00:40:25.280]   I would do it if you do it do it explicitly. Yeah, I would always have very much so say this is the deal folks
[00:40:25.280 --> 00:40:31.120]   Well, I'll tell you what they would lose though. Jeff, you know a lot of this is a long seduction for this kind of thing
[00:40:31.120 --> 00:40:32.880]   I mean if if
[00:40:32.880 --> 00:40:39.280]   Let's say somebody is is watching this show and it's the first twitch show they've ever watched and and there's they're trying a whole bunch of
[00:40:39.280 --> 00:40:47.000]   Podcasts and different types of internet shows and internet TV and they sort of watch and then they move on and go on and forget about us
[00:40:47.000 --> 00:40:53.720]   Well, I'll come back in another three months and watch again and you know to it may take two years before that person's like, you know
[00:40:53.720 --> 00:40:59.200]   What these shows are fantastic. I'm gonna sign up for all of them. I'm like absolutely. Yes, you're absolutely right
[00:40:59.200 --> 00:41:02.160]   And all I'm doing is making for the sake of the argument
[00:41:02.160 --> 00:41:08.040]   Yeah a corollary to the paywall argument because the exact same thing you just said about about that is true paywalls, too
[00:41:08.040 --> 00:41:10.040]   Now the argument back is alright
[00:41:10.040 --> 00:41:12.400]   You do a porous paywall where you get some sampling you're still
[00:41:13.080 --> 00:41:19.160]   Rewarding the freeloader and paid allizing the loyal customer, but even so I think you could do a
[00:41:19.160 --> 00:41:21.640]   block
[00:41:21.640 --> 00:41:24.440]   What do you want to call it a a block blocker?
[00:41:24.440 --> 00:41:29.640]   Notice I said be not see a block block. Yes
[00:41:29.640 --> 00:41:32.440]   and
[00:41:32.440 --> 00:41:35.160]   Do it a porous way, you know, you got okay folks
[00:41:35.160 --> 00:41:41.400]   Here's your first to five pages you get without ads and then we're we're starving you man because F you yeah
[00:41:42.520 --> 00:41:45.480]   Here's somebody sent a link in the chat room. Look at some aside
[00:41:45.480 --> 00:41:50.360]   And this is I don't want to pick on these guys, but this is a very similar site to a lot of sites extreme tech
[00:41:50.360 --> 00:41:56.200]   Yeah, which I think is still as if Davis's property. Yeah, there's a takeover at the top. That's an ad. Yeah
[00:41:56.200 --> 00:41:59.640]   Add add add add
[00:41:59.640 --> 00:42:07.720]   There's it's almost all ads. It's probably serves their advertisers terribly. I have to say I I don't I have just skipped through a bunch of ads
[00:42:07.720 --> 00:42:09.240]   I don't even know what they were for I don't yeah
[00:42:09.240 --> 00:42:13.400]   And I think everybody who watches this show knows that we don't even see them
[00:42:13.400 --> 00:42:17.480]   It's just it's not there's a chunk of our brain. That's not that's just not doing it
[00:42:17.480 --> 00:42:23.640]   Yeah, and I also hate this you might also like this has always driven me crazy. This is out of brain. All right that junk
[00:42:23.640 --> 00:42:31.240]   Yeah, that actually annoys me because it's there's an example of trying to trick. Yeah, that masquerades is actual content
[00:42:31.240 --> 00:42:36.520]   Uh, and it's not it's advertising content and that pisses me off. Yeah
[00:42:37.400 --> 00:42:38.440]   Um
[00:42:38.440 --> 00:42:40.360]   Chum boxes that's what it's called
[00:42:40.360 --> 00:42:45.560]   Because they're chumming. I think that's probably what it is called. There's they're chumming for viewers
[00:42:45.560 --> 00:42:48.120]   Like you would chum for sharks
[00:42:48.120 --> 00:42:53.080]   Um, but this is what the consequence is is and you know, I know why banner ads don't work
[00:42:53.080 --> 00:42:56.840]   That's why yeah, because people but if you if you this is my argument though
[00:42:56.840 --> 00:43:00.440]   If you as long as we keep going to a volume based reach and frequency business
[00:43:00.440 --> 00:43:03.240]   Then we're aft I agree
[00:43:03.240 --> 00:43:09.560]   We have to go to a higher value business and that it once again requires relevance and requires data. Yeah
[00:43:09.560 --> 00:43:14.440]   Which everybody says but we don't want to give you data. We want privacy
[00:43:14.440 --> 00:43:17.560]   So what's gonna happen?
[00:43:17.560 --> 00:43:23.480]   Like you're making an argument for give up your privacy because it's the only way to say no, but that no no no
[00:43:23.480 --> 00:43:25.960]   No, you're saying that I know to be a host of your show
[00:43:25.960 --> 00:43:32.440]   Uh, and you're and you're gonna get a twist my I just want people to like me Jeff. That's all I just want people
[00:43:32.600 --> 00:43:34.600]   You're not giving up your privacy
[00:43:34.600 --> 00:43:37.400]   You're not giving a privacy at all. What am I giving up?
[00:43:37.400 --> 00:43:43.640]   I greek is I use I use all this stuff. I mean I use google now. I use everything
[00:43:43.640 --> 00:43:46.440]   No, I don't give up my privacy. What about me. I don't care. I
[00:43:46.440 --> 00:43:51.320]   When I buy at amazon and amazon stores what I buy. I'm not giving up my privacy
[00:43:51.320 --> 00:43:57.240]   Uh, would I use a frequent buyer card at the grocery store? I'm not giving up my privacy when I use a
[00:43:57.240 --> 00:43:59.800]   by my beloved united
[00:44:00.200 --> 00:44:04.760]   Uh miles and they know exactly where I've gone and they reward me as a result. I'm not giving up my privacy
[00:44:04.760 --> 00:44:07.800]   I'm making a transaction and it's a fine transaction
[00:44:07.800 --> 00:44:12.520]   Giving up your privacy is is is when there's a you know
[00:44:12.520 --> 00:44:15.240]   Well
[00:44:15.240 --> 00:44:18.680]   This one so after after visiting both facebook and google and being there at I owe
[00:44:18.680 --> 00:44:24.280]   One thing that occurred to me was that in essence they will always be two halves of the coin never joined
[00:44:24.280 --> 00:44:27.160]   Google knows more about
[00:44:27.160 --> 00:44:28.280]   uh
[00:44:28.280 --> 00:44:35.000]   Content than anybody else google has this incredible power to be able to analyze your photos and find golden retrievers
[00:44:35.000 --> 00:44:41.160]   Right facebook knows more about people than anybody else, but they don't know that much about content and and as a result
[00:44:41.160 --> 00:44:45.800]   We're kind of safe because no they can't put the two together. They're going to compete the only
[00:44:45.800 --> 00:44:51.160]   Entity that can put the two together is the government when it snoops on both in the internet, right?
[00:44:51.160 --> 00:44:56.680]   And that's why that's frightening. That's that's a true loss of privacy when you do not know what's happening to you
[00:44:56.840 --> 00:45:01.240]   You have no transaction whatsoever. You have no control and transparency whatsoever
[00:45:01.240 --> 00:45:05.880]   And they can tie together information that you in fact left to siloed multiple places
[00:45:05.880 --> 00:45:09.160]   They pull together government is the threat to your privacy my friends
[00:45:09.160 --> 00:45:12.280]   Well, that's true of course. What about people say well
[00:45:12.280 --> 00:45:15.560]   Yeah, but if google collects all that stuff and then gets a subpoena from the government
[00:45:15.560 --> 00:45:19.720]   They're going to give it to them then your problem is with the government and it's the pina with google
[00:45:19.720 --> 00:45:26.280]   No, and that's the New York times how to cover magazine how to cover store cover last week about technology is changing the world really
[00:45:26.360 --> 00:45:28.360]   Oh
[00:45:28.360 --> 00:45:37.320]   And the times is on it. Yeah, exactly and in the editors know at the beginning it just now blithely says the technology companies
[00:45:37.320 --> 00:45:45.400]   Willingly cooperated with this right which is the opposite of truth and it's not true and they cooperated with with subpoenas and with
[00:45:45.400 --> 00:45:47.880]   with quiet
[00:45:47.880 --> 00:45:52.360]   warrants that they didn't have any choice but to cooperate with but there wasn't but that's that's just spreading a
[00:45:52.920 --> 00:45:58.280]   False meme to me the biggest problem with contextual advertising and then in the harvesting of all that data
[00:45:58.280 --> 00:46:00.280]   As they seem to harvest a lot of data
[00:46:00.280 --> 00:46:07.640]   But the ads aren't particularly contextual where all these contextual ads that know exactly what I want or they recommend that stuff that you already bought
[00:46:07.640 --> 00:46:09.800]   I get it's so funny because the
[00:46:09.800 --> 00:46:15.480]   Proponents of ads I get as I surf around is stuff that we advertise for because I've already bought stuff like exactly
[00:46:15.480 --> 00:46:19.960]   And it's it's like I already bought it right it's like Amazon always tells you
[00:46:20.600 --> 00:46:25.640]   If you look at Amazon recommendations to buy stuff you just bought it's literally the least likely product you will
[00:46:25.640 --> 00:46:29.800]   I just bought that. I don't need it. Thank you. I'm not gonna buy two of them
[00:46:29.800 --> 00:46:38.040]   When I when I talk to some people at certain big California companies and I said we in media need more data and and the standard answer is
[00:46:38.040 --> 00:46:43.720]   You in media won't know what to do with it. Yeah, and they're right. Yeah, so really what you are
[00:46:43.720 --> 00:46:46.600]   Jeff is kind of the sibble
[00:46:46.600 --> 00:46:50.520]   You're you're inhaling the natural gas and you're saying I warn you
[00:46:50.520 --> 00:46:58.520]   This way leads madness. You shouldn't be doing this ad blockers are bad. You're gonna lose all the good content you ever cared about
[00:46:58.520 --> 00:47:05.480]   Yeah, and killing the killing the I just add blockers killing the ad market. Yeah killing the ad market by demonizing cookies
[00:47:05.480 --> 00:47:07.400]   And so on and so on
[00:47:07.400 --> 00:47:10.040]   What you're gonna end up with is a is a 1% served
[00:47:10.040 --> 00:47:14.600]   The Wall Street Journal will be fine. The Wall Street Journal keep going forever. Yeah, it'll be absolutely okay
[00:47:14.680 --> 00:47:18.040]   The financial times will be fine and their magazine called how to spend it
[00:47:18.040 --> 00:47:23.400]   They'll be they'll be great. The Rob report is not going away. Not going away, right?
[00:47:23.400 --> 00:47:25.800]   but uh
[00:47:25.800 --> 00:47:31.480]   Someone has mike said earlier someone who is poor and can't afford to buy this content
