;FFMETADATA1
title=93 Million Selfies
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=255
genre=Podcast
comment=http://www.twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2014
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:06.120]   It's time for Twig is Weekend Google and we are just back from the Google I/O keynote.
[00:23:28.520 --> 00:23:32.400]   Yeah, and I just I just loved it. It was such a great product that the app was beautiful
[00:23:32.400 --> 00:23:35.560]   The things are awesome. I raised a lot of money 1.2 million
[00:23:35.560 --> 00:23:40.640]   They raise 1.2 million so I see how far the hub has come that was the original hub. Yeah, and look how nice
[00:23:40.640 --> 00:23:47.240]   Small now. Yeah, this is definitely a more polished product. Yeah, but yeah, I had it set up so that my lights came on with a
[00:23:47.240 --> 00:23:48.440]   Someone down
[00:23:48.440 --> 00:23:53.080]   At night, which was nice. I had the motion doctor hooked up to my mailbox
[00:23:53.080 --> 00:23:55.320]   So I got a push notification on my phone when the mail came
[00:23:55.320 --> 00:24:02.160]   Sweet works with the Android or iPhone. Yeah, and good our iPhone and and I put the little presence detector on my daughter's
[00:24:02.160 --> 00:24:05.560]   Stroller because I just like to know when she went in and out for a walk during the day
[00:24:05.560 --> 00:24:07.920]   So I'd be at work and say you know, they kept they got home
[00:24:07.920 --> 00:24:10.200]   They left because I don't have a cat
[00:24:10.200 --> 00:24:13.760]   And and also the motion detector, you know if yeah
[00:24:13.760 --> 00:24:17.920]   We had it on our safe if you have like a gunbox or something if it moves you get a put you get a push
[00:24:17.920 --> 00:24:22.320]   Notification, so yeah, it was really fun and really easy to set up and I enjoyed it. I know I
[00:24:22.320 --> 00:24:25.520]   It seemed like no, I don't but you know
[00:24:25.520 --> 00:24:31.940]   Not in the house of my daughter, which is an example
[00:24:31.940 --> 00:24:36.760]   We put it on our safe, but not not we don't have a gunbox, but if you did
[00:24:36.760 --> 00:24:42.360]   And you had a child well now they're now they're out in the in the public in the world
[00:24:42.360 --> 00:24:46.040]   Thanks to people like Gina who helped support the project originally
[00:24:46.040 --> 00:24:51.280]   Yeah, and and really this is a refined beautiful project that works so well
[00:24:51.280 --> 00:24:56.160]   I'm not gonna show you my welcome code. Yeah, it's a really don't because then you'll get taken over you the other one
[00:24:56.160 --> 00:25:00.360]   That's a great product. I really love it. I was excited to see that their sponsor. I have my set at home
[00:25:00.360 --> 00:25:04.040]   I'm really excited about the whole idea. I want to get in home automation
[00:25:04.040 --> 00:25:08.040]   That's why I was a little disappointed that Google didn't say a word one. Yeah about this
[00:25:08.040 --> 00:25:12.360]   I feel like it well, it's gonna be Google or Apple somebody's gonna take step up
[00:25:12.360 --> 00:25:15.040]   Maybe it's smart things is gonna step up and just say all right
[00:25:15.400 --> 00:25:20.680]   For again, what I'm doing this is everybody make your own stuff and now we can start working across multiple platforms get some
[00:25:20.680 --> 00:25:25.120]   Standards maybe right now. You've got these silos. It's not working. Yeah, this doesn't work
[00:25:25.120 --> 00:25:30.720]   All right ladies and gentlemen. We're digging. We're gonna there's a pony in here somewhere
[00:25:30.720 --> 00:25:37.680]   What do you think of the new I what as he says Mattias started showing the grids and the news on
[00:25:37.680 --> 00:25:39.320]   I thought of you immediately thank for most of this
[00:25:39.320 --> 00:25:42.800]   I thought of Gina, Japan immediately because I figured you're gonna be our expert on this
[00:25:44.040 --> 00:25:49.000]   How different is this one? I do know that one of the complaints I hear people like Andy and not go for years
[00:25:49.000 --> 00:25:50.920]   I try to get him using Android phone. He said no
[00:25:50.920 --> 00:25:55.480]   It's just not as elegant things don't line up it just feels and it for years Android did feel that way
[00:25:55.480 --> 00:26:00.600]   It's a little ill design a little clunky. These new tools are obviously designed to address that
[00:26:00.600 --> 00:26:04.520]   does this give the L release a
[00:26:04.520 --> 00:26:12.280]   Parity with the beautifully designed iPhone you think I think so I think so I was very impressed with the material design stuff
[00:26:12.280 --> 00:26:17.240]   And I'm very excited about my app even my app which is just a simple list app and most apps are right
[00:26:17.240 --> 00:26:23.720]   We're just scrolling down a list. It's gonna make just those just the spacing and the and the nice natural scroll action
[00:26:23.720 --> 00:26:30.440]   Having that that hover button. I thought I really liked a lot having the sticky headers that that like just just naturally sort of
[00:26:30.440 --> 00:26:33.960]   Contract as you scroll up. It looked really beautiful to me
[00:26:33.960 --> 00:26:35.960]   And I'm excited about it
[00:26:35.960 --> 00:26:42.240]   I think that I think that the complaint that Android is just not as pretty or not pretty enough or not as aesthetically pleasing
[00:26:42.240 --> 00:26:45.400]   I think that that's that's a done deal. It was kind of a done deal
[00:26:45.400 --> 00:26:51.600]   The Mattias started at honeycomb and has slowly gradually moved this to a much better looking. Yes
[00:26:51.600 --> 00:26:54.920]   Yes, I think it's been a done deal since a kick cap. Yeah, I agree
[00:26:54.920 --> 00:26:55.480]   I agree
[00:26:55.480 --> 00:27:01.360]   I mean they show when they show the side-by-side of Gmail the current Gmail with with the new Gmail using the material design
[00:27:01.360 --> 00:27:05.740]   I mean it really felt like a breath of fresh air the new the new screen is stuff they could have done before it's
[00:27:05.740 --> 00:27:08.600]   aesthetics, but now the paisley helps, you know
[00:27:12.040 --> 00:27:17.200]   Okay, I'm not gonna I'm not gonna mock him because he did have some odd stuff to wear anyway
[00:27:17.200 --> 00:27:22.560]   Well then what was the guy with the black that you couldn't see it with the black t-shirt?
[00:27:22.560 --> 00:27:25.680]   Yeah, it was it was a it was a
[00:27:25.680 --> 00:27:28.480]   He was a director of Android engineering. Yeah, yeah
[00:27:28.480 --> 00:27:30.880]   It was an odd it was an odd shirt to his odd show
[00:27:30.880 --> 00:27:34.000]   They all got the odd shirt memo they got the wear the watch memo and the odd shirt
[00:27:34.000 --> 00:27:38.400]   They all were wearing smart watches whose screens were blanked so we couldn't really tell what they were using
[00:27:39.200 --> 00:27:45.120]   But we but it was obvious it was especially the two women who presented because as always with smart watches
[00:27:45.120 --> 00:27:51.560]   With a smaller wrist these things really look clunky. Yeah, and I don't think they were able to dress them up to the point
[00:27:51.560 --> 00:27:57.120]   Where they didn't look a little clunky. I was just looking at the LG G site and they try to make them look glamorous
[00:27:57.120 --> 00:28:04.240]   If you go so they did that at the keynote a little bit there was a shot of somebody leaning up against a pool table being all hipster and stylish
[00:28:04.240 --> 00:28:06.760]   wearing the watch
[00:28:06.760 --> 00:28:12.040]   The one thing I did like about the watch is that it's black until you hold it up and then it goes full color
[00:28:12.040 --> 00:28:15.000]   The gear - does that it's always on your - does that yeah?
[00:28:15.000 --> 00:28:17.760]   But because you don't want to leave the screen all the time because you'll kill the battery
[00:28:17.760 --> 00:28:21.880]   So you when you move it when you raise it you turns on right pebble does that here?
[00:28:21.880 --> 00:28:24.320]   They're trying to make it look glamorous. Oh, yeah, so
[00:28:24.320 --> 00:28:31.560]   What is that search for LG G as you'll see you'll see immediately what you'll see the site if you're watching the video
[00:28:31.560 --> 00:28:36.280]   What they have videos of this - was the other nightmare here. Let's see. Oh here it is
[00:28:36.600 --> 00:28:38.600]   This is what Jeff is talking about
[00:28:38.600 --> 00:28:43.760]   First there was the Sun then and this is the phone
[00:28:43.760 --> 00:28:47.560]   Search for LG G watch
[00:28:47.560 --> 00:28:53.200]   LG G watch so they lead with her style they lead with
[00:28:53.200 --> 00:28:59.200]   Yeah, they do that's the interesting thing. Oh it by Android. There we go. So yeah, so I I've got big rings
[00:28:59.200 --> 00:29:01.360]   So my watch has to be too
[00:29:01.360 --> 00:29:04.600]   You don't know it, but I'm a champion arm wrestler
[00:29:05.440 --> 00:29:07.440]   You know that does not look good
[00:29:07.440 --> 00:29:10.200]   That really does not look good
[00:29:10.200 --> 00:29:15.720]   No, no, it's it looks more awkward on him there there doesn't hurt nerds
[00:29:15.720 --> 00:29:26.000]   This is the problem with these things they have to be big because they have to have a big battery and of course the screen has to be usable
[00:29:26.000 --> 00:29:31.200]   Opportunity for a larger-rusted model. It works well with the MERS. I think don't you?
[00:29:32.560 --> 00:29:35.200]   It's not a MERS. It's a European carry-all
[00:29:35.200 --> 00:29:40.320]   Nice Volkswagen. Love that. Yeah, hmm
[00:29:40.320 --> 00:29:45.000]   I'm definitely looking forward to the 360
[00:29:45.000 --> 00:29:51.000]   There's some videos
[00:29:51.000 --> 00:29:54.560]   Let's finish up with the L word and then we'll get to watch this because that's a big thing too
[00:29:54.560 --> 00:29:59.040]   But I want to make sure we get also palette is there's material designer. There's palette
[00:29:59.040 --> 00:30:03.080]   That's the the library that you're gonna use polymer polymer, right?
[00:30:03.080 --> 00:30:04.920]   polymer what's palette there's another thing
[00:30:04.920 --> 00:30:06.920]   I was having an ounce last
[00:30:06.920 --> 00:30:10.400]   Last year a polymer but one thing about that library is it also it's cross-platform
[00:30:10.400 --> 00:30:13.600]   So it's not just for Android. I can use it with my web design right?
[00:30:13.600 --> 00:30:17.800]   Yeah, so the UI can now look kind of you this to me this to me was really crucial
[00:30:17.800 --> 00:30:23.760]   And you know what in my field we're starting to think about oh, we don't think about digital about mobile
[00:30:23.760 --> 00:30:28.560]   What's really happening there at Google is that they're designing to mobile first
[00:30:28.560 --> 00:30:33.080]   And then by the way you can then adapt that to the web you can put things on the web
[00:30:33.080 --> 00:30:35.080]   I think that's really really really critical
[00:30:35.080 --> 00:30:39.240]   They're proud of the web browser. They're proud of the browser, but they're but when they talk about Chrome
[00:30:39.240 --> 00:30:43.240]   They talk about mobile Chrome right they talk about integrating mobile Chrome and they talk about Chrome otherwise
[00:30:43.240 --> 00:30:44.720]   They talk about the chrome book
[00:30:44.720 --> 00:30:46.720]   They weren't talking about the web
[00:30:46.720 --> 00:30:54.600]   No, and it was pretty apparent throughout all of this keynote that the hub for all of this is the phone and then you have the phone
[00:30:54.600 --> 00:30:58.920]   You have TVs you have laptops you have yes tablets, but the phone is now
[00:30:58.920 --> 00:31:02.640]   We used to think of the PC is the hub the phone is the hub and I think what changes
[00:31:02.640 --> 00:31:06.520]   the crucial phrase to me in the entire morning was a
[00:31:06.520 --> 00:31:12.560]   Computer is now small enough to wear on your body all day. Yeah, so they're looking at this as a computer
[00:31:12.560 --> 00:31:15.640]   This is a computer is your computer for now and connects to this
[00:31:15.640 --> 00:31:20.840]   I think in the long run this will be your primary computer and they'll be they'll be integrated display devices
[00:31:21.600 --> 00:31:26.120]   Separately from that right and this is your authentication. This is your communication
[00:31:26.120 --> 00:31:29.200]   This is everything you might need a bigger antenna fine. You have this nearby
[00:31:29.200 --> 00:31:33.960]   You might need a bigger display you have this nearby, but your computer and your identity is gonna be in this eventually
[00:31:33.960 --> 00:31:38.600]   I think yep. Yep. Yep. So polymer is this cross-platform library
[00:31:38.600 --> 00:31:41.200]   It's not the first time they've talked about they actually did talk about it last year
[00:31:41.200 --> 00:31:48.480]   Yes, web components usher in a new era of web development based on encapsulated interoperable custom elements that extend HTML
[00:31:48.480 --> 00:31:53.760]   It's yeah, yeah, this is basically a kit for you to build your apps
[00:31:53.760 --> 00:32:00.040]   All platforms and it's just basically I think we've talked about bootstrap from Twitter
[00:32:00.040 --> 00:32:03.960]   This is similar to bootstrap, but it sounds like this is even more even more so
[00:32:03.960 --> 00:32:09.600]   You develop okay, you get a bunch of UI elements for free. So on the polymers page
[00:32:09.600 --> 00:32:13.920]   It's a polymer project that or you'll see even there's a buttons when you hover over them. They have certain effects
[00:32:13.920 --> 00:32:16.480]   They actually do have the material design effects the thing
[00:32:16.480 --> 00:32:20.640]   So you'll be able to implement that those things in your app very easily well the more they do of that the more
[00:32:20.640 --> 00:32:23.080]   number people can make it
[00:32:23.080 --> 00:32:27.240]   Right, right then you can concentrate on your content in your app versus having to style your buttons
[00:32:27.240 --> 00:32:29.600]   Right basically, so you get a lot of things are free as a developer
[00:32:29.600 --> 00:32:33.120]   It's interesting that they've got this code here on github and not google code
[00:32:33.120 --> 00:32:38.640]   Also, they know that's where they're going to where the developers are rather than asking developers to come to them and
[00:32:38.640 --> 00:32:43.720]   Yeah, I'm excited about this. I'm definitely gonna play around with this. Look at this playground. This is kind of cool
[00:32:43.720 --> 00:32:46.560]   It's a BSC license a little wizzy way
[00:32:46.560 --> 00:32:52.440]   You can you can drag it in and you can change the skin and the content and
[00:32:52.440 --> 00:32:57.960]   Code and here's a map. These are all little widgets. Here's a smoothie chart
[00:32:57.960 --> 00:33:01.600]   Here's a speech Mike. I like this idea
[00:33:01.600 --> 00:33:05.120]   Put a little mic there that you can click so all of these things
[00:33:05.120 --> 00:33:08.800]   There's the smoothie chart. There's the mic
[00:33:09.240 --> 00:33:15.720]   This is kind of cool, and this is actually web based which really shows the power of the browser these days. Yeah, wow
[00:33:15.720 --> 00:33:18.920]   Wow, all right, so palette polymer
[00:33:18.920 --> 00:33:21.560]   the L
[00:33:21.560 --> 00:33:25.960]   Release a project Volta. This is interesting. That was interesting to you know
[00:33:25.960 --> 00:33:31.520]   One of the things Apple got a lot of attention for in iOS 8 is finally they're gonna break down battery use by app
[00:33:31.520 --> 00:33:37.080]   Google one up them on that battery use hell. We're gonna show you wake states wake locks. We're gonna
[00:33:37.240 --> 00:33:44.720]   We're gonna give basically. We're gonna instrument instrument everything and you're gonna be able to develop it to see what everything's doing
[00:33:44.720 --> 00:33:47.200]   I also worked with shame developers to I mean, you know
[00:33:47.200 --> 00:33:52.960]   The protester
[00:33:52.960 --> 00:34:01.640]   The protester there were two protesters by the way like to point out that the
[00:34:01.640 --> 00:34:05.120]   Gender distribution among protesters was 50% women
[00:34:05.920 --> 00:34:07.920]   So that's nice
[00:34:07.920 --> 00:34:16.360]   20-28% women attendees but 50%
[00:34:16.360 --> 00:34:19.720]   There's that
[00:34:19.720 --> 00:34:24.760]   protester one of the protests the second protesters was saying you are all working for
[00:34:24.760 --> 00:34:29.240]   a company that makes robots the kill makes robots that kill people
[00:34:31.240 --> 00:34:37.520]   Does Google have robots that kill people should I be worried actually they bought that Boston company that makes the
[00:34:37.520 --> 00:34:40.660]   The killer robots a day killer robots
[00:34:40.660 --> 00:34:46.000]   They don't make drones and then I guess the first one was protesting
[00:34:46.000 --> 00:34:49.320]   Robots don't kill people algorithms
[00:34:49.320 --> 00:34:54.240]   Anyway, not a surprise effect
[00:34:54.240 --> 00:34:59.960]   We'd heard that and I don't know if you saw this that some of the some of the protesters would be dressed as stormtroopers outside of Moscone
[00:34:59.960 --> 00:35:02.720]   He said you see some like I guess I didn't see I just
[00:35:02.720 --> 00:35:09.360]   Town has just kept ridiculous not this town. This is petaluma a petaluma that town that town is getting ridiculous
[00:35:09.360 --> 00:35:13.480]   Someone on Twitter said that hash we trust Google with our data if they can't even keep somebody out of the keynote
[00:35:13.480 --> 00:35:25.320]   The protesters a dirty person standing in every single row and they didn't they didn't put your muscle when this happened
[00:35:25.320 --> 00:35:30.600]   The blue sky only just stunned white shirts were not authorized to this the blue shirts came in finally
[00:35:30.600 --> 00:35:33.720]   They talked to which they didn't know what to do. You know just just do what you do
[00:35:33.720 --> 00:35:36.960]   They didn't in fact just squirt them gently out. I'm told they
[00:35:36.960 --> 00:35:44.520]   Score to the mouth well at first you thought oh is this is this part of the death like a part of
[00:35:44.520 --> 00:35:47.600]   Nobody moved nobody didn't think
[00:35:49.440 --> 00:35:53.820]   Famous for his police department, right that they have this whole division
[00:35:53.820 --> 00:35:58.080]   Security and police and when they come to your house well when Kevin Rose's
[00:35:58.080 --> 00:36:01.000]   Protesters were out. He said when I just called a Google
[00:36:01.000 --> 00:36:07.200]   Police were asleep today
[00:36:07.200 --> 00:36:09.640]   But I'm glad to hear they're not
[00:36:09.640 --> 00:36:16.700]   All right, let's talk about Google where cuz I was Android where that was the next topic they did demonstrate the LG G
[00:36:16.700 --> 00:36:18.560]   Watch which looked pretty cool. I did
[00:36:18.560 --> 00:36:22.000]   I don't want square. I'm with you. I want round. I don't care if it's big round
[00:36:22.000 --> 00:36:26.680]   Yeah, I don't care if it's flavor flavor round if they ever make it a small square. Will that work?
[00:36:26.680 --> 00:36:30.160]   No, it's not just so it's the shape not this is size
[00:36:30.160 --> 00:36:33.040]   I'm wearing a rectangular watch, but I feel like you are yeah
[00:36:33.040 --> 00:36:37.720]   It just looks it looks too much like the Cassio was the bezel's big and it just doesn't feel style
[00:36:37.720 --> 00:36:39.760]   It doesn't feel it feels like a computer on your wrist, right?
[00:36:39.760 --> 00:36:43.760]   The demonstration it looked okay
[00:36:44.360 --> 00:36:50.600]   It did it did it was very much what we'd seen already in the videos that they showed at the last mention of Android
[00:36:50.600 --> 00:36:52.600]   Where was that that we saw that I can't remember?
[00:36:52.600 --> 00:36:55.280]   But they have
[00:36:55.280 --> 00:36:59.800]   Basically Google now cards in fact, but that is another takeaway the cardification of everything
[00:36:59.800 --> 00:37:05.040]   Those cards are now on Chrome the browser when you look at recent on Chrome its cards
[00:37:05.040 --> 00:37:09.720]   This is very much a part of material design that those cards should act like cardstock
[00:37:10.040 --> 00:37:16.520]   float and shuffle and and move and one interesting thing about this - which I think I think was was hidden and important is their
[00:37:16.520 --> 00:37:23.800]   Prioritizing the cards their prioritizing your notifications all your notifications so that they're recognizing what's most important
[00:37:23.800 --> 00:37:25.800]   And I've talked on the show in the past
[00:37:25.800 --> 00:37:32.320]   Among our more boring moments Marissa Meyer talking years ago about the notion of a hyper personal news stream
[00:37:32.320 --> 00:37:36.080]   Oh, yeah, Google will prioritize what you do and actually I think we saw the start of that today
[00:37:36.560 --> 00:37:41.240]   In terms of which cards show up and when yes and knowing that this is what a reason interrupt you
[00:37:41.240 --> 00:37:44.960]   Yeah, the watch you'll know where you are if it'll know if you're late for your flight
[00:37:44.960 --> 00:37:47.320]   It'll know that you walked into the airport. I'll show you your code
[00:37:47.320 --> 00:37:51.280]   This is something the phone's done all along, but it's a little more useful the phone is in my pocket
[00:37:51.280 --> 00:37:54.640]   I don't see it doing that the watch well the number I forget was 125 times a day
[00:37:54.640 --> 00:38:01.280]   We check our phones. Yeah, that was the number they gave and so now if it's always on always an hour if you're up all day
[00:38:01.280 --> 00:38:02.240]   Yeah, yeah
[00:38:02.240 --> 00:38:04.720]   Yeah, which is which is I was teasing Ron last night
[00:38:04.720 --> 00:38:08.680]   He installed an app that monitors his cell phone addiction and it it had it attracted
[00:38:08.680 --> 00:38:12.840]   He had unlocked his phone 110 times in 24 hours, and I looked at him and said I'm judging you
[00:38:12.840 --> 00:38:14.840]   That's a lot and then I heard that
[00:38:14.840 --> 00:38:21.800]   One thing that we forgot about about L is some of the notification changes not to not the rewind
[00:38:21.800 --> 00:38:26.360]   But the the notification is now will be in your lock screen and L which is really nice
[00:38:26.360 --> 00:38:30.600]   you know looking like a card looking like a car light swipe them way yep and
[00:38:31.360 --> 00:38:35.440]   An L will run exclusively on art as well, so there'll be a lot faster
[00:38:35.440 --> 00:38:41.360]   We didn't mention we didn't so Dalvik which is the just-in-time
[00:38:41.360 --> 00:38:51.240]   Java compile and runtime I should say that is used currently on Android we saw art when Kicap first came out you can turn on your developer of
[00:38:51.240 --> 00:38:58.240]   Preferences and go in there and and switch to art it had to recompile all the apps
[00:38:58.400 --> 00:39:02.320]   So it was a fairly long switch over right work. You said you had problems with one app
[00:39:02.320 --> 00:39:05.920]   I remember Ron actually switch over to art and like crashes whole machine
[00:39:05.920 --> 00:39:09.720]   It's because what's app actually had wasn't wasn't compatible with art which I'm sure it is now
[00:39:09.720 --> 00:39:14.440]   But L is exclusively an art which just means it's a lot faster a lot smoother and that's and that's in developers
[00:39:14.440 --> 00:39:17.080]   Don't have to change anything from their apps to get that speed increase
[00:39:17.080 --> 00:39:22.080]   They said two times speed increase over Dalvik a better garbage. I didn't notice that with the pre-release art
[00:39:22.080 --> 00:39:28.120]   Yeah, but and I have been using art right because you switched over and you've
[00:39:28.120 --> 00:39:33.880]   Been there since yeah, you've been artified ever since artify ever since once you go art you don't ever go back
[00:39:33.880 --> 00:39:38.400]   And that's fully that 64 bit compatibility which just means a lot increased memory space
[00:39:38.400 --> 00:39:45.300]   You just just get get a lot more memory and speed for now because a just-in-time compiler which means it doesn't
[00:39:45.300 --> 00:39:51.540]   So the way all of these work is that the code sits there, but right before it's used it's turned into a
[00:39:52.080 --> 00:39:58.920]   Sam machine code that they or maybe just the Java. No, I guess the machine. I don't know turn into something that the machine could run
[00:39:58.920 --> 00:40:01.800]   Art is in ahead of time
[00:40:01.800 --> 00:40:08.800]   Right so presumably goes through the apps and kind of pre-compiles the apps right right because when you compile a job
[00:40:08.800 --> 00:40:11.720]   You actually get bytecode versus machine language
[00:40:11.720 --> 00:40:16.720]   That's why you have a job of runtime that then it then it then translates it into machine code and so
[00:40:16.720 --> 00:40:21.320]   Right art is just doing that faster. So it takes the
[00:40:21.640 --> 00:40:28.280]   the non machine specific decks code and turns it into machine specific code that would be run instantly right on your device
[00:40:28.280 --> 00:40:36.160]   Things would go faster when that happens. I didn't mean to take us out of our better garbage collection to better garbage collection
[00:40:36.160 --> 00:40:38.160]   I'm all about better
[00:40:38.160 --> 00:40:43.560]   I know everybody's on the edge of their seat hoping that they were gonna get better garbage collectors today and we did
[00:40:43.560 --> 00:40:46.360]   Well, it not only is a garment
[00:40:46.360 --> 00:40:48.880]   Collector, but apparently it's gonna be a garbage compactor
[00:40:49.920 --> 00:40:55.520]   And I always wanted one of those I like my garbage compacted. Um, there will be garbage compaction
[00:40:55.520 --> 00:41:10.760]   Anyway art is gonna be on L compost code. Yeah compost code. It's recycling not throwing out your bad memory pointers
[00:41:10.760 --> 00:41:13.760]   Alright
[00:41:13.760 --> 00:41:16.400]   So sorry
[00:41:18.720 --> 00:41:20.720]   In there
[00:41:20.720 --> 00:41:24.080]   Well, so we okay
[00:41:24.080 --> 00:41:31.520]   There is an SDK available today, that's a free release or is it the refinal SDK?
[00:41:31.520 --> 00:41:34.800]   I think it's the final man. They're close because we're gonna we're already
[00:41:34.800 --> 00:41:38.320]   Yeah, it's maybe this final
[00:41:38.320 --> 00:41:45.120]   So what do they show they showed step by instructions instructions for all the cooks or if you're cooking and you got your watch on
[00:41:45.120 --> 00:41:48.560]   You can swipe through and look look at the stuff that you're working on, which is nice
[00:41:48.560 --> 00:41:53.720]   I've had I've definitely splashed some tomato sauce on my iPad and had my phone lock on my hands or wet while I was cooking
[00:41:53.720 --> 00:41:56.960]   Order a pizza from e24 right from your watch
[00:41:56.960 --> 00:42:00.040]   When's it that way you can order the pizza and spill the tomato sauce
[00:42:00.040 --> 00:42:08.120]   If you're a pizza cook uses it um they had order hey Google order me a car right lift just
[00:42:08.120 --> 00:42:12.680]   Wake me up tomorrow a lot of voice
[00:42:14.400 --> 00:42:15.600]   the
[00:42:15.600 --> 00:42:22.400]   Again back to the to the cards being prioritized so you can watch me the the key to me is that
[00:42:22.400 --> 00:42:27.520]   This is now completely obsolete it because I've always said
[00:42:27.520 --> 00:42:30.240]   To is Google glass
[00:42:30.240 --> 00:42:32.880]   This has three functions right the Google glass
[00:42:32.880 --> 00:42:38.080]   The one thing that's not obsolete it so far is the being able to take a picture of what you see when you see it and share it
[00:42:38.080 --> 00:42:41.080]   the two things that are obsolete it are alerts and
[00:42:42.880 --> 00:42:44.480]   instructions
[00:42:44.480 --> 00:42:49.760]   And the watch takes that over and does a better job of it right I can just get a glance of whatever alerts
[00:42:49.760 --> 00:42:52.160]   I have I do not want the alerts coming in here. I've learned that
[00:42:52.160 --> 00:42:58.080]   It doesn't prioritize well enough. It can't figure it out. It's worthless and in terms of instructions
[00:42:58.080 --> 00:42:59.680]   um
[00:42:59.680 --> 00:43:03.600]   I'm either going to use if I'm in the car and I'm driving I'm going to use my actual phone as my GPS
[00:43:03.600 --> 00:43:05.680]   If I'm walking
[00:43:05.680 --> 00:43:08.000]   This is kind of dumb and I'm going to walk into a post
[00:43:08.000 --> 00:43:11.120]   Turn left jeff on the watch works well
[00:43:11.760 --> 00:43:16.480]   So the big use case you're missing though going from the glass to the watches of his video is hand
[00:43:16.480 --> 00:43:18.480]   You know hands free video and taking pictures, right?
[00:43:18.480 --> 00:43:19.200]   That's what I'm saying
[00:43:19.200 --> 00:43:20.640]   Yeah, that's the thing that stays with us
[00:43:20.640 --> 00:43:20.880]   Right
[00:43:20.880 --> 00:43:26.800]   But it's fairly not necessarily the google gear or I'm sorry this samson gear too has a camera
[00:43:26.800 --> 00:43:30.560]   Yeah, but that's you could say take a picture. It's actually pretty good camera. She wants to ridiculous
[00:43:30.560 --> 00:43:33.920]   It's no more ridiculous than using your glass
[00:43:33.920 --> 00:43:35.440]   No, this is the point that the gene
[00:43:35.440 --> 00:43:39.600]   Jeana has some nerves saying it's ridiculous when jina is looking at edda
[00:43:39.600 --> 00:43:40.640]   Yeah, yeah
[00:43:40.640 --> 00:43:42.640]   Yeah, hey edda do that again
[00:43:42.640 --> 00:43:43.760]   Yeah, all right
[00:43:43.760 --> 00:43:45.360]   Hey edda here's mommy you know
[00:43:45.360 --> 00:43:46.320]   Right hands free
[00:43:46.320 --> 00:43:48.320]   Yeah, but here's where this goes
[00:43:48.320 --> 00:43:48.880]   Here's where this goes
[00:43:48.880 --> 00:43:50.960]   That there's a particular use cases, but I mean, you know
[00:43:50.960 --> 00:43:53.760]   Class becomes there there's a camera that will be here
[00:43:53.760 --> 00:43:59.520]   No one, number two it will have an indicator on to know when it's on to get rid of all this privacy
[00:43:59.520 --> 00:44:04.720]   Mining, right and then number three it'll be a hell of a lot smaller and just be able to communicate with your phone
[00:44:04.720 --> 00:44:07.440]   So I went zip lining with the gear to watch
[00:44:08.080 --> 00:44:11.840]   I had a GoPro and you're right for the video and so forth the GoPro
[00:44:11.840 --> 00:44:16.000]   But just having the you can't really carry a camera when you're zip lining because your hands are busy
[00:44:16.000 --> 00:44:18.240]   These are not bad pictures
[00:44:18.240 --> 00:44:20.240]   My hands would be so sweaty
[00:44:20.240 --> 00:44:25.920]   Those are quite good. Those are much better than I would have expected. Yeah, I was actually somewhat pleased. I thought they came out quite well
[00:44:25.920 --> 00:44:28.400]   um, so
[00:44:28.400 --> 00:44:30.480]   Okay, so
[00:44:30.480 --> 00:44:32.560]   That's by the way, there's no reason to say that a
[00:44:32.560 --> 00:44:36.560]   Android Wear watch wouldn't have a camera. That's true. That's true
[00:44:37.600 --> 00:44:41.040]   One of the maybe you will maybe you'll keep the class because so you can take pictures of that
[00:44:41.040 --> 00:44:45.440]   Yeah, you know, you just don't get that, you know
[00:44:45.440 --> 00:44:48.720]   Blink to take a picture or just you know take a video now
[00:44:48.720 --> 00:44:54.400]   You're actually right and that's really not something you want to you know
[00:44:54.400 --> 00:44:57.120]   You don't want to do that unless you're on a zip line or you're you know
[00:44:57.120 --> 00:44:59.760]   You're your daughters about to take her first steps right there. They're kind of special
[00:44:59.760 --> 00:45:04.400]   It needs to be in a certain place. Yeah, not a bar. Hey, okay back to the L word
[00:45:04.400 --> 00:45:06.640]   I'm sorry one more thing. I just noticed somebody tweeted me
[00:45:07.200 --> 00:45:13.120]   The guy who wrote the google developers blog on material is nicholas jikkoff alcore the guy who did
[00:45:13.120 --> 00:45:16.400]   quick silver for the mac and torsion disappeared from the quick
[00:45:16.400 --> 00:45:18.240]   Google that's right
[00:45:18.240 --> 00:45:20.640]   Google and now we know what he's been working on which is
[00:45:20.640 --> 00:45:22.560]   Material design
[00:45:22.560 --> 00:45:27.120]   So that's pretty cool. That is pretty cool. I still use and love quick silver. I do too very well designed
[00:45:27.120 --> 00:45:29.520]   Do too and he has a pretty good post
[00:45:29.520 --> 00:45:31.520]   about
[00:45:31.520 --> 00:45:34.240]   material design what it means and how it integrates with the
[00:45:34.720 --> 00:45:40.080]   Polymer the toolkit for the web which basically gives you access to material design in web browser
[00:45:40.080 --> 00:45:42.480]   So sorry about that. So back back to the wearables
[00:45:42.480 --> 00:45:48.320]   I think another important thing about wearables is context and how the wearable both senses it and creates it
