;FFMETADATA1
title=Name Your Child Fester
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=500
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.240]   It's time for twig this week in Google. We've got a great show for your Stacey Higginbotham is here
[00:24:36.560 --> 00:24:40.160]   Their most passionate users care about that's the thing they don't close the
[00:24:40.160 --> 00:24:45.680]   Nobody cares about the boring stuff, but like they build up all these passionate users around inbox
[00:24:45.680 --> 00:24:52.240]   Or or google reader people will super into it and then they kill it and then they create another thing and they get all these passionate users
[00:24:52.480 --> 00:24:57.120]   And then they kill it so it's like nobody trusts google anymore to not kill things
[00:24:57.120 --> 00:25:00.000]   And that's really hurting them and they never talk about it
[00:25:00.000 --> 00:25:03.920]   The only i've come to think of it the only
[00:25:03.920 --> 00:25:08.640]   Counter example to this reality distortion field that steve jobs perfected
[00:25:08.640 --> 00:25:15.680]   Of uh, you know so exciting in the announcement and then a little bit less overwhelming is sam's song it does the worst announcements
[00:25:15.680 --> 00:25:17.280]   Yeah
[00:25:17.280 --> 00:25:23.360]   But i have to say now you're having used the s10 plus for a week and a half the more i use it the more i love this phone
[00:25:23.360 --> 00:25:25.360]   this phone is
[00:25:25.360 --> 00:25:26.640]   Awesome
[00:25:26.640 --> 00:25:29.920]   If they had done it on purpose it would have been brilliant to lower expectations
[00:25:29.920 --> 00:25:33.200]   And have everybody be delighted with the reality
[00:25:33.200 --> 00:25:36.080]   Yeah
[00:25:36.080 --> 00:25:40.960]   Well google has learned the steve jobs way and uh, it was an exciting announcement. I hope they get the
[00:25:40.960 --> 00:25:45.680]   I hope they succeed. I would love it if I could play games on my pixel book
[00:25:46.640 --> 00:25:51.120]   Uh, or on my chromecast. I mean that would be really great. Yeah. Yeah, I would love it
[00:25:51.120 --> 00:25:54.560]   I would really love it in fact I occasionally go looking for
[00:25:54.560 --> 00:26:01.120]   Xbox style games that I can play and I inevitably give up and just be like well, I guess that's not gonna happen
[00:26:01.120 --> 00:26:03.920]   Yeah, yeah
[00:26:03.920 --> 00:26:11.120]   Oh, sorry. I'm sorry. Go ahead. No, just chromecast. Uh, the new one it supports five gigahertz. Wi-Fi. Yes
[00:26:11.120 --> 00:26:13.040]   Okay
[00:26:13.040 --> 00:26:15.040]   The ultra the tablet
[00:26:15.040 --> 00:26:17.040]   The ultra the ultra
[00:26:17.040 --> 00:26:23.840]   Which is I think 80 or 90 dollars is 4k hdr 60 frames a second and 5g
[00:26:23.840 --> 00:26:31.440]   Okay, yeah, it does not have an ethernet jack however, so you you will want to use the 5g obviously for 60 frames per second
[00:26:31.440 --> 00:26:33.440]   That's not awesome for gaming
[00:26:33.440 --> 00:26:36.080]   Um, no
[00:26:36.080 --> 00:26:37.520]   It's enough though
[00:26:37.520 --> 00:26:42.960]   Okay. Yeah, it's sufficient. It's when is a gamer ever been like oh, so you're right though often gamers
[00:26:43.440 --> 00:26:48.560]   You know are talking about framerate. I think less so now maybe but uh, they often talk about framerate 60s plenty
[00:26:48.560 --> 00:26:51.360]   That looks real scooter x says it does have ethernet
[00:26:51.360 --> 00:26:56.400]   Is there is there a dongle that comes in the box? Maybe that's why I don't remember ethernet online
[00:26:56.400 --> 00:27:00.880]   Maybe there's a usb dongle. I guess that sounds right. So if it has ethernet, that's even better
[00:27:00.880 --> 00:27:04.240]   Yeah, um
[00:27:04.240 --> 00:27:06.240]   In the power adapter, okay
[00:27:06.240 --> 00:27:10.560]   Oh, yeah, I guess I do remember that mine's been sitting behind my tv for so long
[00:27:11.760 --> 00:27:15.040]   Than layer of dust on it. I don't I don't really remember unboxing it even
[00:27:15.040 --> 00:27:18.320]   All right. Well if it has ethernet, that's that's pretty good
[00:27:18.320 --> 00:27:20.880]   um
[00:27:20.880 --> 00:27:25.600]   All right, I think we said it all which is ironic. I thought we'd spend a lot more on this uh subject
[00:27:25.600 --> 00:27:29.520]   But I I think that there's just so much unknown that there's really not much more to say except
[00:27:29.520 --> 00:27:31.840]   It's all potential
[00:27:31.840 --> 00:27:35.600]   Our show today brought to you by express vpn
[00:27:35.600 --> 00:27:40.480]   I am an express vpn fan. I found my vpn folks
[00:27:41.520 --> 00:27:45.840]   And uh, if you've been looking you might have found it too express vpn
[00:27:45.840 --> 00:27:48.640]   Look
[00:27:48.640 --> 00:27:54.000]   There are two reasons why people use a vpn virtual private network. That's the thing that encrypts your
[00:27:54.000 --> 00:27:57.760]   internet traffic from your computer to the vpn server
[00:27:57.760 --> 00:28:05.520]   Eventually it has to enter the public internet, but why should it be visible in the open wifi coffee shop or at the hotel?
[00:28:05.520 --> 00:28:09.440]   or even to your internet service provider, why should
[00:28:10.320 --> 00:28:14.080]   AT&T get your data, right? They we know they don't what they do with it
[00:28:14.080 --> 00:28:15.920]   They sell it
[00:28:15.920 --> 00:28:19.040]   even your home internet service provider often
[00:28:19.040 --> 00:28:22.400]   sells what you do online to third parties
[00:28:22.400 --> 00:28:29.280]   So people are using vpn's more and more often there is an important distinction though between
[00:28:29.280 --> 00:28:37.680]   A good vpn and a bad vpn. There are many many bad vpn's out there first of all always before you buy a vpn read the privacy policy
[00:28:38.880 --> 00:28:43.840]   When you see express vpn's privacy policy, you'll note they don't log anything that you're doing
[00:28:43.840 --> 00:28:47.360]   They don't keep track. They don't know who you are. You are completely anonymous
[00:28:47.360 --> 00:28:51.360]   And by the way, they're out. They don't operate in the united states. They're offshore
[00:28:51.360 --> 00:28:56.640]   So they don't have to respond to a subpoena from the us government. This is secure
[00:28:56.640 --> 00:28:59.120]   This is the best way to protect your online privacy
[00:28:59.120 --> 00:29:05.360]   Uh, it secures and anonymizes your browsing by encrypting your data hiding your public ip address
[00:29:05.680 --> 00:29:10.560]   You can operate in any country. They have servers all over the world. I think it's 160 different
[00:29:10.560 --> 00:29:16.240]   Servers that's good for two reasons one because you can emerge into the public internet in the country of your choosing
[00:29:16.240 --> 00:29:18.880]   But also because there's a server close to you
[00:29:18.880 --> 00:29:24.960]   So that means your performance is going to be better and i'll tell you most of the time when you're using express vpn
[00:29:24.960 --> 00:29:27.360]   You won't have any idea you're on a vpn
[00:29:27.360 --> 00:29:35.120]   Easy to use they've got apps that run seamlessly in the background on windows mac ios android phone tablet anywhere
[00:29:35.200 --> 00:29:38.800]   You are open the app click once and you're protected
[00:29:38.800 --> 00:29:42.160]   For less than seven bucks a month
[00:29:42.160 --> 00:29:46.640]   Express vpn number one vpn service rated by tech radar
[00:29:46.640 --> 00:29:50.720]   Comes with a 30-day money back guarantee so there's no reason not to try it right now
[00:29:50.720 --> 00:29:57.360]   And in fact, we're going to give you three extra months free with a one-year package at express vpn.com/twig
[00:29:57.360 --> 00:30:00.000]   Don't compromise on security. Don't compromise on
[00:30:01.200 --> 00:30:07.760]   Privacy and don't compromise on speed express vpn.com/twig three extra months with a one-year package
[00:30:07.760 --> 00:30:14.400]   Expre double s vpn.com/twig
[00:30:14.400 --> 00:30:17.520]   I think i'm so much for their sport this week in google
[00:30:17.520 --> 00:30:23.600]   So uh, the third shoe has dropped things come in threes the third fine
[00:30:23.600 --> 00:30:26.160]   from the eu
[00:30:26.160 --> 00:30:27.840]   for google
[00:30:27.840 --> 00:30:33.920]   This the smallest fine only a mere 1.49 billion euros about at 1.7 billion dollars
[00:30:33.920 --> 00:30:37.120]   and uh, while
[00:30:37.120 --> 00:30:39.680]   Google stopped doing this
[00:30:39.680 --> 00:30:44.880]   Almost immediately so they don't have to make any agreements about not doing it anymore. It was
[00:30:44.880 --> 00:30:49.600]   A fine for limiting how some websites could display ads
[00:30:49.600 --> 00:30:53.200]   Sold by others
[00:30:53.760 --> 00:30:57.680]   Others then google's ad services if that makes any sense
[00:30:57.680 --> 00:31:03.920]   Um, I don't know if if it's over now. Uh, I don't know if google's going to dispute this
[00:31:03.920 --> 00:31:06.960]   I think they're just going to pay it because a it's not all that much money
[00:31:06.960 --> 00:31:10.240]   And b they've stopped doing it
[00:31:10.240 --> 00:31:16.320]   Yeah, they're just um, I mean I I caught your conversation on
[00:31:16.320 --> 00:31:21.040]   Windows weekly about this and I think that's exactly right they just they have so much money
[00:31:21.040 --> 00:31:26.080]   They know these things are going to happen especially in europe so they just pay the fine make the changes that they have to make
[00:31:26.080 --> 00:31:28.560]   In business. Yeah, yeah
[00:31:28.560 --> 00:31:35.680]   and so this is um, this is for you know companies that we're using their search for internal search and um, you know
[00:31:35.680 --> 00:31:38.640]   essentially google was hogging the best
[00:31:38.640 --> 00:31:44.720]   uh spots for advertising and trying to exert control over
[00:31:45.840 --> 00:31:51.760]   So what sorts of advertising could happen by the the website and so it was a little bit abusive
[00:31:51.760 --> 00:31:55.280]   Um, I personally think it's kind of a borderline
[00:31:55.280 --> 00:32:00.960]   Abuse. I don't think it doesn't bother me that much. I mean it's they're not charging for the service
[00:32:00.960 --> 00:32:05.600]   Uh, and it's voluntary so on the part of the companies
[00:32:05.600 --> 00:32:10.000]   Um, but they are so dominant in europe they're much just I always remind people of this
[00:32:10.000 --> 00:32:12.560]   They're far more dominant in europe than they are in the united states
[00:32:13.040 --> 00:32:17.280]   And so google is a sore subject in europe because they are so popular basically
[00:32:17.280 --> 00:32:19.520]   so
[00:32:19.520 --> 00:32:24.480]   Uh, this is also by the way is the smallest of the big three fines. Um, it's not that
[00:32:24.480 --> 00:32:29.680]   Uh, it's not a lot of money for for google's just the cost of doing business in europe
[00:32:29.680 --> 00:32:31.840]   It's not the end. However if possible
[00:32:31.840 --> 00:32:39.280]   Uh action or charges or fines this uh for sure. This is the chart from the european commission
[00:32:39.280 --> 00:32:41.920]   There are actually five probes
[00:32:42.480 --> 00:32:44.160]   Uh
[00:32:44.160 --> 00:32:47.440]   Three of them have been completed the comparison shopping was the first
[00:32:47.440 --> 00:32:53.200]   the uh, misuse of android was the second and then this most recent one advertising
[00:32:53.200 --> 00:32:54.880]   um
[00:32:54.880 --> 00:32:56.480]   google has a pop
[00:32:56.480 --> 00:33:00.400]   Appeal the first two has not yet appealed and probably won't appeal. I think this one
[00:33:00.400 --> 00:33:03.920]   Uh, and then there are two more probes ongoing
[00:33:03.920 --> 00:33:07.760]   with regard to local search and maps
[00:33:07.760 --> 00:33:10.400]   and scraping
[00:33:10.400 --> 00:33:14.400]   And charges have not been filed. The probes are not going on but charges not so
[00:33:14.400 --> 00:33:17.120]   It's scraping
[00:33:17.120 --> 00:33:20.400]   I know what scraping is. I don't know what it is in context of google isn't it?
[00:33:20.400 --> 00:33:25.920]   Probably i'm going to guess it has to do and this is a pure guess
[00:33:25.920 --> 00:33:28.640]   But it has to do with snippets
[00:33:28.640 --> 00:33:33.280]   It's that like zong zik shrek where google puts snippets of content
[00:33:33.280 --> 00:33:39.200]   From the sites that a new sites that it uh shows research results. I'm guessing i you know
[00:33:39.200 --> 00:33:43.200]   There's this is from a wall street journal article and i don't think they even explain what those other two
[00:33:43.200 --> 00:33:46.160]   probes are so
[00:33:46.160 --> 00:33:49.040]   I and i think i'll have to do some research i apologize
[00:33:49.040 --> 00:33:53.440]   And i think this one's been going on for a while a couple of three years or something like that
[00:33:53.440 --> 00:33:57.200]   Uh, if i'm not a steak google stop doing this in 2017
[00:33:57.200 --> 00:34:05.600]   Well this one but in terms of the scraping i think that they've been looking at that for a long long time and um, and so i think
[00:34:07.360 --> 00:34:10.800]   I don't know why it's taking them so long other than our seo
[00:34:10.800 --> 00:34:15.760]   Yeah, and there may be something that article is it article 13? It's the scraping one
[00:34:15.760 --> 00:34:20.960]   That might take care of it. I don't know there's and it's controversial as you know
[00:34:20.960 --> 00:34:28.640]   France and spain of both acted against snippets germany has to with less than stellar results so
[00:34:28.640 --> 00:34:33.840]   So anyway just an update google has also
[00:34:33.840 --> 00:34:36.480]   in an attempt to
[00:34:37.120 --> 00:34:40.560]   assuage the european union decided to do a browser
[00:34:40.560 --> 00:34:46.160]   ballot kind of like microsoft did in windows for eu android devices instead of
[00:34:46.160 --> 00:34:52.640]   automatically getting chrome and google search on your android device when you first set up an android device
[00:34:52.640 --> 00:34:54.800]   google will
[00:34:54.800 --> 00:35:01.840]   Let you choose which browser and which search engine you want to use this is the microsoft windows browser ballot, which was just
[00:35:01.840 --> 00:35:04.560]   So stupid
[00:35:05.040 --> 00:35:08.320]   And by the way, this isn't even all the browsers it went on and on and on
[00:35:08.320 --> 00:35:12.560]   Right and it was a random mix in a random order
[00:35:12.560 --> 00:35:16.320]   so um
[00:35:16.320 --> 00:35:21.200]   Google we don't we don't have an image of google's browser a ballot and how are how they're going to do it
[00:35:21.200 --> 00:35:25.520]   But that they've already decided that that might be the way to do it. I have to think
[00:35:25.520 --> 00:35:30.640]   I I've just imagined that the meeting they said oh they let okay
[00:35:31.520 --> 00:35:37.120]   Good, we'll put a ballot on the android phone. See how they like that. We'll show them
[00:35:37.120 --> 00:35:43.680]   I mean all this all this essentially this is a repeat of the internet explorer bundling
[00:35:43.680 --> 00:35:46.720]   And I trust thing in the 90s, which which was
[00:35:46.720 --> 00:35:49.120]   nobody
[00:35:49.120 --> 00:35:51.120]   talks about it like this, but essentially
[00:35:51.120 --> 00:35:54.720]   Microsoft's point was proved correct. Yes
[00:35:54.720 --> 00:35:58.400]   Basically, what mikersoph was saying is that anybody can choose any browser
[00:35:58.480 --> 00:36:02.320]   We're like one great browser away from being crushed and and then nets
[00:36:02.320 --> 00:36:07.360]   Firefox came along and crushed them and then and then chrome came along and crushed firefox so
[00:36:07.360 --> 00:36:09.520]   I the
[00:36:09.520 --> 00:36:15.760]   The bundling doesn't matter that much and offering a choice has practically no effect whatsoever
[00:36:15.760 --> 00:36:18.960]   It's you have to have a browser
[00:36:18.960 --> 00:36:25.760]   It's it's an integral part of any operating system if nothing else to give you a way to download a browser
[00:36:27.600 --> 00:36:30.480]   How you gonna download chrome if we don't put a browser on there?
[00:36:30.480 --> 00:36:35.440]   It's the only time I it's the only time I use safari is when I get my new macbook and I'm like boom
[00:36:35.440 --> 00:36:38.000]   Safari to chrome
[00:36:38.000 --> 00:36:45.200]   Uh, so when is so uh april is google is mikers of course the last google plus user
[00:36:45.200 --> 00:36:49.920]   Yes, oh april third. Isn't it is it even second? Oh, it's coming up
[00:36:49.920 --> 00:36:53.760]   Yeah, just I just got a thing saying save all my photos
[00:36:53.760 --> 00:36:58.960]   Are you saving all your photos between google plus and flicker and what are you gonna do man? Oh man?
[00:36:58.960 --> 00:37:01.440]   I already have all my photos
[00:37:01.440 --> 00:37:06.560]   And there's there there are multiple efforts to to so google has its own process for downloading
[00:37:06.560 --> 00:37:11.760]   I downloaded all my posts and some of them are I put a lot of work into and they're very evergreen
[00:37:11.760 --> 00:37:15.200]   So I'm I'm probably going to repost them on my blog good
[00:37:15.200 --> 00:37:22.080]   um, but um, but we do have um, I mean like I said I wrote in a google
[00:37:22.880 --> 00:37:25.680]   You know fast company piece a couple of months ago
[00:37:25.680 --> 00:37:31.840]   Most of what was great about google plus was killed in 2014
[00:37:31.840 --> 00:37:38.800]   And so it's kind of been a shadow of itself for the last few years. So it's at this point no big loss
[00:37:38.800 --> 00:37:45.360]   Uh to a certain extent. Um, that's that's uh heresy in in in some circles, but um
[00:37:45.360 --> 00:37:48.320]   The problem is
[00:37:48.960 --> 00:37:54.080]   A lot of passionate google plus users felt like this is the one social network. I want to use
[00:37:54.080 --> 00:37:59.360]   It's the only one I want to use and all these smart people that I've gotten to know really well
[00:37:59.360 --> 00:38:02.240]   Are here and we have these great conversations and everything was great
[00:38:02.240 --> 00:38:04.240]   and now
[00:38:04.240 --> 00:38:06.880]   Nobody knows where to go facebook's off the table
[00:38:06.880 --> 00:38:10.160]   Because they're horrible twitter is annoying
[00:38:10.160 --> 00:38:13.280]   To a lot of people and where else you're gonna go?
[00:38:13.280 --> 00:38:18.400]   So people are going to you know, they're they're going to plus bora and they're going to we me and they're going to
[00:38:18.720 --> 00:38:25.280]   All this social networks nobody's heard of but what's happening is that the google plus community is being it's going off to 20 different social
[00:38:25.280 --> 00:38:30.720]   And so it's it's it's a diaspora, but it's no long that means it's gone. It's being destroyed
[00:38:30.720 --> 00:38:33.360]   And I actually blame google
[00:38:33.360 --> 00:38:38.720]   For this because they did create something of value. They really pitched it hard
[00:38:38.720 --> 00:38:47.200]   A lot of people went all in. I mean mike, you know, maybe it was ill advised to put these full length articles on google plus and nowhere else
[00:38:48.000 --> 00:38:52.080]   But but you did it because you believed in it and you really liked the conversations there
[00:38:52.080 --> 00:38:57.840]   And how could google just let that go and this is why people no longer trust google they see this okay
[00:38:57.840 --> 00:39:03.280]   This feels like and this drives me nuts. I mean the web is no
[00:39:03.280 --> 00:39:05.600]   It's no different than the rest of our lives
[00:39:05.600 --> 00:39:11.040]   There are places I like to go and talk to people and hang out and I spend my time I put my effort in
[00:39:11.040 --> 00:39:13.840]   I've worked at publications that have gone under for example
[00:39:14.400 --> 00:39:18.640]   They're coffee shops where I hang out with my friends and they are no longer around or someone moves
[00:39:18.640 --> 00:39:24.480]   The world moves on and I know this feels really mean, but i'm kind of like
[00:39:24.480 --> 00:39:27.760]   You know, it didn't work for them. They shut it down
[00:39:27.760 --> 00:39:29.600]   okay
[00:39:29.600 --> 00:39:31.440]   I
[00:39:31.440 --> 00:39:34.560]   If you want your own clearly more than google plus lover
[00:39:34.560 --> 00:39:40.800]   Well, I wasn't but I I've loved other things like I mean all of my giga ohm stuff only half of it exists
[00:39:40.800 --> 00:39:44.960]   I've lost my entire podcast catalog from giga ohm and i'm like eh all right
[00:39:44.960 --> 00:39:49.840]   That's life, you know this life. I've got i'll tell you why it hurts
[00:39:49.840 --> 00:39:55.600]   Um, I mean it hurts, but just but i'll tell you why we need something like that
[00:39:55.600 --> 00:39:57.600]   Do we though?
[00:39:57.600 --> 00:39:59.920]   Yeah, we do apart it no because then we stagnate
[00:39:59.920 --> 00:40:02.240]   I mean then you go and create other communities
[00:40:02.240 --> 00:40:07.200]   You take your ideas that you learn from other people and then we I mean think about it in the physical world
[00:40:07.840 --> 00:40:12.080]   You know there is no way in the physical world if there were if there were things
[00:40:12.080 --> 00:40:16.000]   There's towns. Yeah, it's like a town is disappeared
[00:40:16.000 --> 00:40:18.080]   That's a big deal
[00:40:18.080 --> 00:40:21.520]   Right, but those people left that town. I'm not saying it's not a big deal
[00:40:21.520 --> 00:40:25.520]   I'm saying these things happen in life and you just have to accept it and
[00:40:25.520 --> 00:40:30.400]   Put you down your roots somewhere else and do it all over again. And that's what people
[00:40:30.400 --> 00:40:34.800]   That's life. I guess I just I just know what you're saying
[00:40:35.760 --> 00:40:41.920]   The the thing that that has to be said though is that google plus the original version of 2011 to 2014
[00:40:41.920 --> 00:40:46.880]   To a lesser extent afterwards was a really really special social network
[00:40:46.880 --> 00:40:53.120]   I mean it was really every social network for some reason I and I certainly have no idea why this is has a certain
[00:40:53.120 --> 00:40:55.680]   Has a certain feel to it a certain
[00:40:55.680 --> 00:41:01.920]   A tone a certain you know instagram is so different from twitter or facebook even though it's owned by facebook
[00:41:01.920 --> 00:41:03.200]   um
[00:41:03.200 --> 00:41:11.040]   And the the essential nature of google plus there were things that were achieved on that social network that you just are unheard of on other social networks
[00:41:11.040 --> 00:41:14.960]   One of them is lots and lots and lots of people actually
[00:41:14.960 --> 00:41:19.360]   Turned strangers into close friends in real life
[00:41:19.360 --> 00:41:21.760]   uh, and i'm one of those people I have
[00:41:21.760 --> 00:41:25.040]   15 20 people who I
[00:41:25.040 --> 00:41:31.920]   Go visit and who I know personally and who I didn't know until we started following them on google plus
[00:41:31.920 --> 00:41:36.080]   You learn you have a lot in common you have a lot, you know, you you gang up on trolls together
[00:41:36.080 --> 00:41:38.160]   You do all the stuff you do hangouts
[00:41:38.160 --> 00:41:46.880]   And then they're great friends at people in belgium and like I went and stayed with a great friend that I met on google plus in switzerland
[00:41:46.880 --> 00:41:49.120]   uh
[00:41:49.120 --> 00:41:54.240]   You don't you don't hear by that kind of stuff on facebook basically what you're doing is you're kind of
[00:41:54.240 --> 00:42:01.520]   Hoovering up all of the all the friends and acquaintances and co-workers you've ever had and maintaining some superficial connection with them
[00:42:01.840 --> 00:42:03.840]   on google plus you're like
[00:42:03.840 --> 00:42:08.480]   Everybody was a stranger because you're you know nobody's family was really to speak of
[00:42:08.480 --> 00:42:10.320]   and
[00:42:10.320 --> 00:42:16.240]   You make these great friends. I don't know why that was the case we used to have these things called hurls hangouts in real life
[00:42:16.240 --> 00:42:21.520]   Uh, essentially meetups and i've never heard of a social network that was so
[00:42:21.520 --> 00:42:25.440]   conducive to real world friendships
[00:42:25.440 --> 00:42:28.800]   People had in the early days of twitter and it stopped soon
[00:42:29.280 --> 00:42:33.120]   But in the early days of twitter there were tweetups and it was very much like that
[00:42:33.120 --> 00:42:35.200]   uh, but twitter
[00:42:35.200 --> 00:42:37.040]   Became mass appeal and that
[00:42:37.040 --> 00:42:42.560]   Ruined it and I think one of the reasons google plus was great is because it wasn't very successful
[00:42:42.560 --> 00:42:45.440]   Exactly the people who were there were great
[00:42:45.440 --> 00:42:49.840]   But I what is it what are the other lessons to be learned from this?
[00:42:49.840 --> 00:42:54.160]   Google can't do social no matter how much
[00:42:55.760 --> 00:42:59.920]   I would submit I will not I think we need to have
[00:42:59.920 --> 00:43:02.960]   uh
[00:43:02.960 --> 00:43:06.640]   I don't think we can trust any company to do this right
[00:43:06.640 --> 00:43:11.760]   Get a word press blog and do it yourself. Well, but that's not social ultimately
[00:43:11.760 --> 00:43:14.560]   It's only a little bit social. I mean honestly
[00:43:14.560 --> 00:43:20.640]   And it's been tried and this is so I know my solution isn't a good solution, but we need a federated
[00:43:20.640 --> 00:43:23.440]   open network
[00:43:23.680 --> 00:43:29.440]   that uh, and you know, I we had hopes that in you know, identical then status net then uh, uh,
[00:43:29.440 --> 00:43:37.440]   Mastodon would be that they have the right backbone, but somehow those communities never gelled properly
[00:43:37.440 --> 00:43:41.600]   But that's how it has to be because if a company's in charge of it
[00:43:41.600 --> 00:43:43.440]   All sorts
[00:43:43.440 --> 00:43:47.920]   A that could kill it but B they they start monetizing instagram was a great site great
[00:43:48.320 --> 00:43:54.640]   Social network until they put an ad every ninth post and they started adding all these features like stories and the influencer
[00:43:54.640 --> 00:43:58.080]   As soon as the influencers arrived instagram went way downhill
[00:43:58.080 --> 00:44:00.640]   What about something like Pinterest?
[00:44:00.640 --> 00:44:06.560]   Yeah, maybe Pinterest is the answer. I don't know. I mean, it's it's a high quality. I is it very social
[00:44:06.560 --> 00:44:11.360]   I'm trying to I mean like feels more like people put stuff there, but that doesn't feel like there's interaction
[00:44:11.360 --> 00:44:17.280]   Yeah, right. It's a problem. It's where people interact become cesspits
[00:44:17.920 --> 00:44:23.120]   That's not that's not a crazy idea. I keep I keep wishing mastodon would succeed because
[00:44:23.120 --> 00:44:26.720]   From a tactical point of view. It's the right thing. Nobody owns it
[00:44:26.720 --> 00:44:30.560]   Uh, it's federated. You can create your own server
[00:44:30.560 --> 00:44:35.760]   But the communities that have been created on mastodon. I haven't found one that really attracts me at this point
[00:44:35.760 --> 00:44:39.360]   Yeah, the problem is that every social network
[00:44:39.360 --> 00:44:45.040]   Is either a failure in which case it's not worth using because no it's on it
[00:44:45.120 --> 00:44:51.920]   Yeah, or if it's successful, they will ruin it in order to squeeze every nickel out of it. That's why it can't be commercial
[00:44:51.920 --> 00:44:58.800]   That there that those are the only two social networks. We've ever seen google plus was different for a while
[00:44:58.800 --> 00:45:03.040]   um, I mean people say it wasn't it wasn't popular and I
[00:45:03.040 --> 00:45:08.560]   I mean, it's way more popular than lots of other social networks that have emerged since that people think are popular
[00:45:08.560 --> 00:45:14.080]   Um, it has great features though like unlike mastodon, which really is a twitter clone
[00:45:14.800 --> 00:45:17.040]   It was a threaded conversation clone
[00:45:17.040 --> 00:45:23.680]   It was great with images people like trey rekcliff showed that it became a fabulous place to put your images
[00:45:23.680 --> 00:45:27.280]   Google mismanaged it almost from day one establishing
[00:45:27.280 --> 00:45:33.680]   This crazy circle system that no one wanted to maintain and then you know, I mean they just they they
[00:45:33.680 --> 00:45:37.280]   Killed it death by a thousand cuts and it's yeah
[00:45:37.280 --> 00:45:43.680]   It's tragic and it's a really good example of why google or any company shouldn't be in charge of social and yet no one's done
[00:45:44.000 --> 00:45:46.480]   I wish they you know what google open source
[00:45:46.480 --> 00:45:50.960]   Yes slack is slack for many people's turned into that. Yeah, yeah
[00:45:50.960 --> 00:45:54.160]   I mean maybe that's it
[00:45:54.160 --> 00:45:57.920]   And you know what I would say we had a so the former giga omers
[00:45:57.920 --> 00:46:03.360]   We actually had we we took our slack channel right at the end of the show or at the end of the company
[00:46:03.360 --> 00:46:06.960]   He still did it actually still is alive and for the year afterwards
[00:46:06.960 --> 00:46:09.280]   we actually even paid for our own private slack
[00:46:09.280 --> 00:46:13.520]   and we did it because we had a lot of value in it and
[00:46:13.920 --> 00:46:18.320]   Slack such a pig as an application. It's hard to support it
[00:46:18.320 --> 00:46:22.000]   Uh, oh there's no no it's just a terrible
[00:46:22.000 --> 00:46:26.080]   It's I mean it's written an electron and it's just big and heavy
[00:46:26.080 --> 00:46:34.320]   And it needs I don't know what I don't it's not bad. I mean I know people are doing it discord is another very popular
[00:46:34.320 --> 00:46:36.880]   um
[00:46:36.880 --> 00:46:38.640]   Social network
[00:46:38.640 --> 00:46:41.920]   Can I can I propose I have to say something?
[00:46:41.920 --> 00:46:45.120]   Yes, let me just say this before you do which is google
[00:46:45.120 --> 00:46:52.480]   Please open source google plus and let us take it back. Okay. The tragedy is that we already have
[00:46:52.480 --> 00:46:55.520]   the world's greatest social network
[00:46:55.520 --> 00:46:57.840]   Which is email
[00:46:57.840 --> 00:47:03.680]   And the reason that nobody wants to use email for social networking is because they've lost control of their inboxes
[00:47:03.680 --> 00:47:05.520]   Uh
[00:47:05.520 --> 00:47:07.760]   Lots and lots of people have 20,000
[00:47:08.160 --> 00:47:14.000]   Messages in their inboxes and because they can't can manage the spam and the hype and the thing and newsletters and all that stuff
[00:47:14.000 --> 00:47:17.200]   They're like, yeah, I let's go to let's all go to slack
[00:47:17.200 --> 00:47:21.760]   Um, this is the prevailing attitude, but it's it's mistaken
[00:47:21.760 --> 00:47:24.160]   Everybody goes to facebook for example
[00:47:24.160 --> 00:47:32.160]   Because for a bunch of reasons, but the number one reason is network effects everybody's on facebook because everybody's on facebook except
[00:47:32.160 --> 00:47:37.440]   Everybody isn't on facebook email. There are three or four times as many people on email
[00:47:37.440 --> 00:47:42.720]   Everybody is on email. Yeah, everybody's on email. Okay, but it's a terrible social experience. I agree
[00:47:42.720 --> 00:47:49.600]   That's it. That's like saying in what way exactly chain letters are awesome for social experience
[00:47:49.600 --> 00:47:53.600]   I mean, it's exactly what leo's talking about. It's an open system
[00:47:53.600 --> 00:47:59.280]   You can use your own front end you can use this that the other thing you can't communicate easily with people
[00:47:59.280 --> 00:48:04.400]   You can't see it the conversations when they're threaded the way email threads them are horrible. You can't
[00:48:05.760 --> 00:48:09.840]   That maybe it's just we need a better client and maybe the client
[00:48:09.840 --> 00:48:13.920]   That's yeah, no because then you would still split your email
[00:48:13.920 --> 00:48:21.920]   So then you would just take your email identity, but you still have to split them out like I don't want to communicate with my friends over email
[00:48:21.920 --> 00:48:27.440]   Because that's a professional inbox. There you go. There's a solution. Why don't we
[00:48:27.440 --> 00:48:31.120]   That's dead. Okay
[00:48:34.640 --> 00:48:36.640]   Well
[00:48:36.640 --> 00:48:42.240]   Yeah, my point is that that email is so close
[00:48:42.240 --> 00:48:46.480]   You mentioned the threaded. I mean, you probably use gmail the the threading of
[00:48:46.480 --> 00:48:49.840]   Message threads on on gmail
