;FFMETADATA1
title=Uber for Metaphors
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=291
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.500]   It's time for Twig this week in Google Gina Terpattie's back her monthly visit
[00:23:46.060 --> 00:23:52.620]   She also says that this is the one of the reasons they're going to use the Nexus 6 is
[00:23:52.620 --> 00:23:59.980]   Yeah, I know I thank you, Jason for highlighting. I hate the X of Y comparison rights were buck
[00:23:59.980 --> 00:24:01.980]   But I can't think of a better way to describe this
[00:24:01.980 --> 00:24:07.400]   I'm not saying I'm just saying I think it's a I think that's a fine thing to say
[00:24:07.400 --> 00:24:11.500]   I just it's specifically the uber 4 because that is been
[00:24:11.500 --> 00:24:16.460]   Like uber 4 is like uber for weak metaphors, but okay, all right
[00:24:16.460 --> 00:24:23.700]   Analogy is I guess I should say basically you are the uber for
[00:24:23.700 --> 00:24:27.140]   The uber for anti uber nice. Yes
[00:24:28.260 --> 00:24:32.380]   Well, let me say what he means by this and it what would he I think
[00:24:32.380 --> 00:24:35.380]   Actually, it's Timo Riley who created this
[00:24:35.380 --> 00:24:38.660]   metaphor, but he said
[00:24:38.660 --> 00:24:44.300]   Riley said uber is an example of the Internet of Things cars become the network devices with phones as sensors
[00:24:44.300 --> 00:24:50.940]   This is Tim classic Timo Riley because he kind of he's able to kind of out of the box kind of think about this stuff
[00:24:50.940 --> 00:24:53.900]   And I think that's a very interesting and apt way to put it
[00:24:53.900 --> 00:24:56.580]   so the idea is
[00:24:57.220 --> 00:24:59.220]   industry as a service
[00:24:59.220 --> 00:25:02.420]   So
[00:25:02.420 --> 00:25:04.980]   Eliminating kind of the friction the commerce friction
[00:25:04.980 --> 00:25:07.900]   and just having
[00:25:07.900 --> 00:25:09.660]   Having it be
[00:25:09.660 --> 00:25:13.700]   Kind of you just press a button the bills paid. You know, it's all magical kind of I
[00:25:13.700 --> 00:25:19.820]   Think this is great for Google. I think what Google wants to demonstrate is it's possible to have a good wireless carrier
[00:25:19.820 --> 00:25:21.820]   I wish they had bought that 700 megahertz
[00:25:21.820 --> 00:25:25.340]   Spectrum it was very expensive horizon got it
[00:25:25.340 --> 00:25:29.380]   But it would have been great to see Google really go in all in on this however
[00:25:29.380 --> 00:25:34.380]   That in this case they're gonna be able to sit on top of existing networks get a much better deal
[00:25:34.380 --> 00:25:37.260]   For some reason I never really understood
[00:25:37.260 --> 00:25:42.220]   Sprint resells its wireless service for much less you can buy sprit get sprint from
[00:25:42.220 --> 00:25:44.500]   much less expensively
[00:25:44.500 --> 00:25:49.900]   Than buying it from sprint directly actually think all the all the phone companies do this so
[00:25:49.900 --> 00:25:53.140]   and and this and and
[00:25:53.460 --> 00:25:57.420]   Labels this as a trial and that's why it's Nexus 6 only. I
[00:25:57.420 --> 00:26:00.380]   Don't think there's a technical reason it can't be anybody else
[00:26:00.380 --> 00:26:08.020]   I'm sorry. I'm talking about I'll shut up you want it
[00:26:08.020 --> 00:26:12.180]   Want it yep, I mean my phone won't support it my current phone won't support it
[00:26:12.180 --> 00:26:14.860]   But I'm in I'd get the phone that supported it
[00:26:14.860 --> 00:26:18.020]   Well, especially if it's a lot cheaper
[00:26:18.620 --> 00:26:23.860]   There might be issues though because you it is sprint or T mobile neither of which has a great network
[00:26:23.860 --> 00:26:27.700]   I'd love it if they had one of the biggies in there. I wonder how they fill in each other's
[00:26:27.700 --> 00:26:30.860]   You know lack of coverage. Maybe that's the idea
[00:26:30.860 --> 00:26:34.180]   Yeah, and well if it's if it's sprint
[00:26:34.180 --> 00:26:37.460]   It can fail back from
[00:26:37.460 --> 00:26:45.580]   4g to 3g if the 3g is still CDMA so that's the other issue sprint is is a CDMA voice carrier T-Mobile's GSM
[00:26:45.900 --> 00:26:51.220]   So they must be using voice over LTE for sprint which means it's probably all LTE all the time
[00:26:51.220 --> 00:26:53.660]   But I don't know about that
[00:26:53.660 --> 00:27:01.940]   But that's an issue to that's an issue too because T mobile does not help voice over LTE everywhere the other big question is how they price it because
[00:27:01.940 --> 00:27:06.980]   Well, it's gonna be a little bit of data. It was unlimited data - that's the that's the key
[00:27:06.980 --> 00:27:09.420]   It's got Google Scott and a little bit of data don't they?
[00:27:09.780 --> 00:27:15.780]   You know that could be the thing that makes me leave AT&T because the only reason I'm still on AT&T is what I wind about no LTE of my
[00:27:15.780 --> 00:27:17.020]   Chromebook
[00:27:17.020 --> 00:27:21.900]   Kevin Marks came in and said, you know you cry baby. Why don't he didn't say that but I inferred it
[00:27:21.900 --> 00:27:30.460]   Why don't you just tether and I said a because it's a pain in the butt to do that my current Chromebook just goes online and
[00:27:30.460 --> 00:27:34.140]   B I'm still on the grandfather AT&T plan that was doesn't love tethering
[00:27:34.140 --> 00:27:37.580]   But Chi said they are not competing on price though
[00:27:39.380 --> 00:27:43.620]   So here's the other interesting thing. This is not they're not the first company to think of this
[00:27:43.620 --> 00:27:49.100]   Xfinity Comcast has for a while and it's been getting heat for it remember
[00:27:49.100 --> 00:27:56.460]   Been taking if you're a customer you have their Wi-Fi access point been using some some of it for
[00:27:56.460 --> 00:27:59.260]   Wi-Fi access everywhere so I
[00:27:59.260 --> 00:28:07.340]   Everywhere in Petaluma pretty much now I have Wi-Fi because there's so many it's a Comcast neighborhood neighborhood and there's so many Comcast users with
[00:28:07.940 --> 00:28:12.900]   Xfinity Wi-Fi access points that I get free Wi-Fi everywhere I roam and
[00:28:12.900 --> 00:28:17.980]   Actually, we're box speculates it. Maybe Google's thinking about doing a deal
[00:28:17.980 --> 00:28:24.060]   To get access to that Wi-Fi then it would be cheap right because you'd rarely be using minutes
[00:28:24.060 --> 00:28:26.860]   Yep
[00:28:26.860 --> 00:28:29.980]   And then maybe put some balloons up
[00:28:29.980 --> 00:28:33.500]   And who knows?
[00:28:33.820 --> 00:28:38.780]   Loon would not be a good choice for this. I think latency would make that an unappealing choice
[00:28:38.780 --> 00:28:46.420]   I'm actually probably somewhat related but the latest version of Android 5.1
[00:28:46.420 --> 00:28:53.620]   Just pushed out a couple of days ago and one of the features of that is for Android to recognize whether a Wi-Fi signal
[00:28:53.620 --> 00:28:58.500]   Actually has internet access or not and if not to just bypass it all together
[00:28:58.500 --> 00:29:02.140]   So it doesn't just connect to it and then you realize you can't get anything from it
[00:29:02.140 --> 00:29:07.340]   So if you're hopping around all these Wi-Fi networks that actually makes a lot of I'm gonna repeat because I'm that's all I do is repeat
[00:29:07.340 --> 00:29:09.340]   Byself, I'm gonna repeat my desire from last week
[00:29:09.340 --> 00:29:15.940]   I want a standard that says I hear by agree to whatever stupid Wi-Fi rules you have
[00:29:15.940 --> 00:29:20.740]   Just go ahead and connect me. Yes. I won't do anything bad on your network
[00:29:20.740 --> 00:29:23.660]   I don't know how I would just connect me
[00:29:23.660 --> 00:29:29.020]   Just get me past the blah blah sign me in
[00:29:31.180 --> 00:29:37.460]   And it's you wouldn't connect to one of these networks that has the sign and page where you have to agree and
[00:29:37.460 --> 00:29:41.660]   Because that does not that is not internet access. That's in intranet access
[00:29:41.660 --> 00:29:45.540]   And Gina how often do you run across a network like that? I hardly ever see those networks
[00:29:45.540 --> 00:29:47.740]   So there's got to be something else happening here that we don't realize
[00:29:47.740 --> 00:29:51.740]   I mean if you are a Comcast or a cable vision subscriber in my neck of the woods
[00:29:51.740 --> 00:29:55.820]   Yes, you can go on because but you're you're already authenticated as a customer
[00:29:55.820 --> 00:29:59.540]   Unless Google gonna do a deal with those with the cable companies
[00:29:59.540 --> 00:30:01.540]   I can't see that happening as a competing with them
[00:30:01.540 --> 00:30:07.420]   I don't see that much open Wi-Fi in the world anymore remember those days of what we call it was plotting
[00:30:07.420 --> 00:30:10.820]   What do we call it when you went to drive?
[00:30:10.820 --> 00:30:18.100]   What was that was that quaint look look there's Wi-Fi here isn't that cool? Yeah, you know
[00:30:18.100 --> 00:30:21.420]   The phone books in the phone books in
[00:30:21.420 --> 00:30:24.300]   Not anymore in fact
[00:30:25.100 --> 00:30:30.620]   The cable vision sells Wi-Fi only phones in your area. Yes, they do
[00:30:30.620 --> 00:30:36.460]   Okay a Wi-Fi only I guess you know that would work for your kid at school
[00:30:36.460 --> 00:30:38.940]   Maybe no because the whole idea
[00:30:38.940 --> 00:30:43.460]   I guess cable vision is doing the same thing Comcast is doing which is using a little bit of your
[00:30:43.460 --> 00:30:47.740]   Barring a cup of access from you so that anybody walking by can use your your
[00:30:47.740 --> 00:30:51.220]   Access place that yeah, I also think I'm not sure that you know I see it
[00:30:51.220 --> 00:30:54.100]   I see these connections come up most often when I'm in commercial places
[00:30:54.860 --> 00:30:56.860]   So I think they must put
[00:30:56.860 --> 00:31:01.300]   Access points around on poles and things too. I don't know
[00:31:01.300 --> 00:31:07.140]   I've been meaning to ask about that. Maybe so chat room answered well because where you do it most often see it
[00:31:07.140 --> 00:31:13.300]   It's in commercial spaces. Yeah, not you know, I'm not in a residential neighborhood where I can be anywhere near somebody's Wi-Fi
[00:31:13.300 --> 00:31:18.540]   That's what I get a strong about its finity wireless. It is it's most strong in residential neighborhoods
[00:31:18.540 --> 00:31:24.060]   I've been able to literally just walk through small neighborhoods and never leave Wi-Fi. It's amazing
[00:31:24.420 --> 00:31:26.420]   Wow, yeah
[00:31:26.420 --> 00:31:36.740]   And pay up apparently cable vision has deals with XFINITY as well so if you
[00:31:36.740 --> 00:31:42.540]   Who's the cable provider in Brooklyn? Is it also cable vision time Warner? Yeah?
[00:31:42.540 --> 00:31:46.260]   You didn't say that with joy, Jina
[00:31:46.260 --> 00:31:48.260]   Oh
[00:31:48.260 --> 00:32:00.780]   To go over the top so maybe time Warner is forward thinking or maybe you'll be Comcast soon. Don't forget. It's already spun off. Yeah
[00:32:00.780 --> 00:32:03.300]   Oh, they spun off HBO
[00:32:03.300 --> 00:32:08.900]   It's got off time Warner from AOL time Warner cable time Warner cable from time Warner
[00:32:08.900 --> 00:32:14.740]   Oh, it's not part of time Warner time Warner as we knew it has spun off AOL confused time Warner cable and
[00:32:15.660 --> 00:32:17.660]   time-making
[00:32:17.660 --> 00:32:19.860]   Spun off
[00:32:19.860 --> 00:32:25.660]   So what you have left in time Warner movie studio HBO CNN
[00:32:25.660 --> 00:32:30.080]   That kind of stuff. I think this is a really kind of it's kind of a gorilla form of
[00:32:30.080 --> 00:32:37.060]   Wireless access is as these companies beef up their Wi-Fi everywhere apparently in Vancouver
[00:32:37.060 --> 00:32:42.820]   One of the chatters is telling us Shaw a big cable company there is building out street level Wi-Fi
[00:32:42.820 --> 00:32:45.180]   throughout the entire region
[00:32:45.380 --> 00:32:49.820]   So it's interesting ambition of these cable companies expands
[00:32:49.820 --> 00:32:56.580]   What what is the security implication of this maybe this is a little bit of an attention
[00:32:56.580 --> 00:32:59.260]   But if I see Xfinity Wi-Fi in my Wi-Fi
[00:32:59.260 --> 00:33:04.940]   And it's gonna connect to it automatic like I would say no because I'm like well
[00:33:04.940 --> 00:33:09.740]   I don't know who that belongs to I don't want my phone connecting to a random person's Wi-Fi
[00:33:11.260 --> 00:33:17.380]   What is the security aspect of this when you're connecting to hundreds of Wi-Fi access points while you're roaming around town? Oh
[00:33:17.380 --> 00:33:22.140]   Who cares who cares? All right, that's a good question. I don't know
[00:33:22.140 --> 00:33:29.380]   I didn't even think of that in order customers that set up the default and just left it open they didn't they didn't add a password on their
[00:33:29.380 --> 00:33:32.400]   Round no no it's not that at all. It's actually done by Comcast
[00:33:32.400 --> 00:33:37.820]   Okay, so if you subscribe to Comcast and use and use their wireless access box the box
[00:33:37.820 --> 00:33:43.500]   They give you which I don't it will automatically create this Xfinity Wi-Fi account
[00:33:43.500 --> 00:33:49.060]   Nothing you're doing you can opt out of it, but it's opt in it's not opt in it's opt out and
[00:33:49.060 --> 00:33:55.340]   You're now, but it doesn't go against your bandwidth. All right, so it's and it's completely firewalled from yours
[00:33:55.340 --> 00:33:59.180]   They insist it's fired wall from your stuffs that makes sense
[00:33:59.180 --> 00:34:01.980]   So it doesn't go against your bandwidth for charging
[00:34:01.980 --> 00:34:07.380]   But what if everybody in the house is watching movies and somebody walks by watching a movie. That's a good question. Yeah
[00:34:07.460 --> 00:34:12.660]   You only have so they I think they say we add more we give you more capability we
[00:34:12.660 --> 00:34:19.900]   Bump you up. Oh, you don't know we don't give it to you. Yeah, we use it for us. Yeah, the router could certainly do that
[00:34:19.900 --> 00:34:26.900]   And I do have to log in so in order for it to work
[00:34:26.900 --> 00:34:31.140]   The first time I use it I have to log into my Xfinity account
[00:34:31.980 --> 00:34:37.820]   But you're right the phone doesn't really know if it's it could just be an open access spot. I
[00:34:37.820 --> 00:34:40.540]   Mean what is there?
[00:34:40.540 --> 00:34:42.820]   My voice is going I think you're right. I think it could happen
[00:34:42.820 --> 00:34:47.780]   Is there anything stopping just random person from setting up setting up an Xfinity?
[00:34:47.780 --> 00:34:51.140]   You know naming it the same things that your phone recognizes and it's like well
[00:34:51.140 --> 00:34:54.700]   I connect to these by default so I'm gonna do it and then something bad happens
[00:34:58.460 --> 00:35:02.540]   Sorry to rain on the parade guess I'll be forgetting Xfinity Wi-Fi
[00:35:02.540 --> 00:35:05.260]   Three question works nicely
[00:35:05.260 --> 00:35:12.380]   And then somebody else is pointing out that phone or FON which was started many years ago has been doing this for some time
[00:35:12.380 --> 00:35:18.340]   That was the plan phone was gonna or FON was gonna create a mesh network of Wi-Fi
[00:35:18.340 --> 00:35:21.220]   and
[00:35:21.220 --> 00:35:28.060]   You would get a FON router and you would then get free access to global Wi-Fi in other locations and apparently
[00:35:28.140 --> 00:35:30.140]   There are 14 million
[00:35:30.140 --> 00:35:32.700]   Access points all over the place
[00:35:32.700 --> 00:35:38.340]   This is not well known in the US, but I think it is available in the US. Oh, yeah
[00:35:38.340 --> 00:35:43.620]   Yeah, but I don't right, but you got to be you know play the odds of being by you have to get a Fonera
[00:35:43.620 --> 00:35:49.700]   I'm under Fonera. I'm not buying one. I'm just looking honest
[00:35:56.140 --> 00:36:00.540]   Looking what's the over under on how much Leo is gonna spend on today's episode of this week?
[00:36:00.540 --> 00:36:04.180]   Have a budget, you know
[00:36:04.180 --> 00:36:11.180]   It's well like you could tell it's a European country. It's forty nine comma zero zero dollars USD
[00:36:11.180 --> 00:36:14.100]   For the grandma FON with a fun era
[00:36:14.100 --> 00:36:18.060]   We have fun era for business. Let's see more details
[00:36:18.060 --> 00:36:20.860]   So it's a little a little doohickey
[00:36:23.460 --> 00:36:30.580]   Classic FON sharing features with is it phone or FON? It's spelled FON. Oh, it's probably phone, isn't it?
[00:36:30.580 --> 00:36:33.740]   But that's very confusing because it's a homophone
[00:36:33.740 --> 00:36:37.780]   I'm sorry
[00:36:37.780 --> 00:36:40.540]   The new front era is so small it fits in the palm of your hand
[00:36:40.540 --> 00:36:46.700]   But don't let it's tiny size for you for your 802.11 compatible comes with WPA encryption and a powerful antenna
[00:36:46.700 --> 00:36:49.940]   It looks powerful
[00:36:50.340 --> 00:36:52.340]   Huh
[00:36:52.340 --> 00:37:02.700]   So that's not expensive it's $50. Oh, no, I mean it's it's a Martin Vosowski started phone and it's a it's a cause
[00:37:02.700 --> 00:37:07.540]   Yeah, I need to get Wi-Fi everywhere. So he's not trying to make it make up money out of it. It's just well
[00:37:07.540 --> 00:37:10.140]   Yeah, no, it's a business, but he's also trying to make it
[00:37:10.140 --> 00:37:16.300]   You know do good well, I live in the country so I can't really do much good with it
[00:37:16.300 --> 00:37:18.300]   I guess we could put one in the window here. I
[00:37:18.620 --> 00:37:23.500]   Never see any of these around so I think it's not widely used
[00:37:23.500 --> 00:37:27.700]   That's neat though if it were widely used. I think this would be great
[00:37:27.700 --> 00:37:31.900]   Yeah, part of my pay is in gadgets. That's exactly right
[00:37:31.900 --> 00:37:38.020]   It's actually the reason I got into tech journalism in the first place
[00:37:38.020 --> 00:37:44.060]   30 years ago as I stop I just I want I couldn't afford to support my habit
[00:37:44.060 --> 00:37:46.580]   So I had to find a way to a means to do that
[00:37:47.860 --> 00:37:49.860]   Like keep the salary I'll take the gadgets
[00:37:49.860 --> 00:37:55.460]   It actually kind of happens that way we said we'll say you know what
[00:37:55.460 --> 00:38:01.140]   So what else is new? She'll say your draw this this month is all in gadgets
[00:38:01.140 --> 00:38:05.860]   What else is new on this store? It's just it's a new design. It's pretty pretty
[00:38:05.860 --> 00:38:09.420]   But nothing else is different about it
[00:38:09.420 --> 00:38:15.700]   It seems like Google's really trying to be you know retailer right right
[00:38:16.180 --> 00:38:18.180]   Which is an interesting thing for them?
[00:38:18.180 --> 00:38:21.180]   Can't be a big part of their revenue can it?
[00:38:21.180 --> 00:38:26.340]   It can't be right they can't be selling an you know a lot of this stuff, but
[00:38:26.340 --> 00:38:30.340]   But they have to make it accessible. They have to make it accessible
[00:38:30.340 --> 00:38:32.100]   They've got more and more stuff to sell
[00:38:32.100 --> 00:38:36.660]   I mean if you go to a Best Buy you know the Google section is get you know gets bigger and and I mean this is
[00:38:36.660 --> 00:38:42.820]   Well, this is a good looking site to that point. They just opened a Google store in I'm so jealous
[00:38:42.820 --> 00:38:45.300]   Why do you K in the London curries?
[00:38:46.140 --> 00:38:47.260]   New York
[00:38:47.260 --> 00:38:54.500]   Yeah, that's a strange place. Why not New York? Yeah Google yeah, yeah, because Best Buy is gone
[00:38:54.500 --> 00:38:56.780]   Circuit City is gone
[00:38:56.780 --> 00:39:01.940]   Actually Best Buy is not gone. I should I prematurely killed best radio shack is radio shack is gone
[00:39:01.940 --> 00:39:03.620]   So this is inside now
[00:39:03.620 --> 00:39:10.980]   I was so there are British listeners will have to help us with this Dixons, which is kind of I'd say like the Walmart of the UK owns
[00:39:11.660 --> 00:39:17.620]   Curries, which is their electronics store, right and inside the curries one curries only
[00:39:17.620 --> 00:39:21.820]   in London Google has opened a Google shop and
[00:39:21.820 --> 00:39:29.820]   It does not big it's kind of we used to see those in Best Buy's Apple had an Apple store and well
[00:39:29.820 --> 00:39:35.140]   You have it Best Buy now you have huge Samsung so yeah Samsung Google yeah big Microsoft
[00:39:36.140 --> 00:39:44.180]   Very common now so it's in the Tottenham Court Road curries PC world. I've been in there. Have you? Yeah, is it big?
[00:39:44.180 --> 00:39:47.860]   That's the store. Yeah, it's not as big like the German
[00:39:47.860 --> 00:39:51.980]   Electronic ones are much bigger Saturn much bigger, but okay
[00:39:51.980 --> 00:39:58.620]   And check this out they launched Google launched Google Shop at Curries VR tour for your cardboard
[00:40:03.820 --> 00:40:08.860]   I mean Google's done this kind of thing. I mean I remember in terminal to it SFO the virgin terminal
[00:40:08.860 --> 00:40:11.740]   There used to be a little chrome kiosk there you
[00:40:11.740 --> 00:40:14.980]   They've done chrome shops
[00:40:14.980 --> 00:40:18.100]   Android there's an Android land shops in Australia
[00:40:18.100 --> 00:40:23.140]   They have done chrome stores before in fact in curries
[00:40:23.140 --> 00:40:29.620]   I've actually argued for some time that they'd be wise to I mean Europe all around would have been wise to have had
[00:40:29.820 --> 00:40:33.900]   Google retail presences just to make friendlier with the world right oh
[00:40:33.900 --> 00:40:40.060]   That's what I think and play but don't just play with the hardware play with Google Maps
[00:40:40.060 --> 00:40:43.300]   I understand what it can do and you you know go into that geodesic dome
[00:40:43.300 --> 00:40:48.020]   We will listen at I owe listen this is the description the shop will host regular classes and events
[00:40:48.020 --> 00:40:52.380]   Including tutorials about online security as well as how to use Google devices
[00:40:52.380 --> 00:40:57.060]   It will also hold virtual space camps to teach children the basics of coding
[00:40:57.460 --> 00:41:03.180]   Open house events where teachers can test potential educational tools. You're right. This is a PR effort
[00:41:03.180 --> 00:41:07.820]   Which stage should do more? Yeah? Well, by the way, what's the security lesson biochrome book?
[00:41:07.820 --> 00:41:14.140]   Maybe second factor authentication on your Google okay, all right. That's that's true
[00:41:14.140 --> 00:41:20.500]   That's true. Yeah, and then I if I were them I'd put some more information on making and storing secure passwords and
[00:41:20.500 --> 00:41:24.100]   I
[00:41:24.100 --> 00:41:26.220]   Maybe they think it's a cheap in the brand, but I don't think
[00:41:27.060 --> 00:41:31.300]   All of us who've ever visited the Google HQ's, you know, Valhalla
[00:41:31.300 --> 00:41:35.940]   Yeah, for a walk into the swag store. So the swag store
[00:41:35.940 --> 00:41:40.300]   I was just gonna say that every time the few times I've been to the meant to the campus same thing the group
[00:41:40.300 --> 00:41:44.980]   I've been in it's always like when do we get to go to the store and the store is just packed full of you know
[00:41:44.980 --> 00:41:50.500]   stuffed androids and t-shirts and all kinds of gear and I mean it's merch and people love it
[00:41:50.500 --> 00:41:55.820]   I bought stuff there, you know and imagine if over Europe you started seeing people walk around with Google t-shirts
[00:41:55.820 --> 00:41:59.380]   Yeah, as long as they do your with eggs and maybe it's no accident
[00:41:59.380 --> 00:42:02.940]   They're doing this they're doing this in England and maybe they will do it in German and rest of Europe
[00:42:02.940 --> 00:42:09.060]   The shop includes a large screen called portal that will allow users to fly around the world using Google Earth
[00:42:09.060 --> 00:42:15.380]   They'll be a deal with that right there'll be a doodle wall where wannabe budding artists can paint their own Google logo
[00:42:15.380 --> 00:42:18.500]   That's all you can paint those a Google logo
[00:42:18.500 --> 00:42:20.220]   so and
[00:42:20.220 --> 00:42:25.580]   There it is see you could paint within the Google but and then a chromecast pod
[00:42:25.900 --> 00:42:29.780]   Where customers can watch Google play music movies and YouTube?
[00:42:29.780 --> 00:42:35.840]   In Mountain View they have from from whatever conference they did it for they have a selfie booth
[00:42:35.840 --> 00:42:40.260]   Ah, which is right there. Yeah, they used to call those photo booths
[00:42:40.260 --> 00:42:44.260]   For black and white pictures of you and your honey
[00:42:44.260 --> 00:42:47.420]   making funny faces
[00:42:47.420 --> 00:42:53.200]   But now it's but the difference is this is an auto awesome photo booth. Yeah, nice
[00:42:53.200 --> 00:42:58.300]   Whatever you do becomes a lot of awesome immediately and then you can share that be awesome. We're watching
[00:42:58.300 --> 00:43:02.660]   Yeah, you look really good automatically and another breaking story Google's been busy
[00:43:02.660 --> 00:43:04.660]   We have three breaking stories today
[00:43:04.660 --> 00:43:09.060]   Google has launched an interactive events app for Android and the web
[00:43:09.060 --> 00:43:14.780]   Now is this the real logic? I kind of snuck out like yesterday didn't it? This is this is the real thing now, huh?
[00:43:14.780 --> 00:43:19.140]   interactive - events dot with Google
[00:43:19.140 --> 00:43:21.720]   slash web
[00:43:21.720 --> 00:43:25.540]   Wow, and here's a little legal disclaimer, which I have to accept
[00:43:25.540 --> 00:43:30.480]   You know, they didn't have to make this such small type, but I guess if you're doing a legal disclaimer, you should
[00:43:30.480 --> 00:43:37.320]   Why should why nobody wants to read this? Yes, we know you collect information. That's okay. I love you Google
[00:43:37.320 --> 00:43:41.660]   Sign in with Facebook link dinner GitHub. Yeah, let me look in. Oh
[00:43:41.660 --> 00:43:44.300]   That's new
[00:43:44.300 --> 00:43:46.940]   Interesting or Google which I'm using I
[00:43:46.940 --> 00:43:50.020]   Have no events. Oh
[00:43:51.140 --> 00:43:56.260]   What good is this? Oh, so what is this so if I had an event code I?
[00:43:56.260 --> 00:43:58.960]   could
[00:43:58.960 --> 00:44:00.520]   Put it in here
[00:44:00.520 --> 00:44:04.000]   What is this to what this was such a promising onboarding?
[00:44:04.000 --> 00:44:11.940]   Nowhere nowhere nowhere is bill nothing Leo you have nothing last train to know Westville
[00:44:11.940 --> 00:44:16.260]   It makes me feel bad about myself. I have such a boring life, too
[00:44:16.260 --> 00:44:18.840]   You have no events
[00:44:18.840 --> 00:44:20.880]   You have no life
[00:44:21.080 --> 00:44:23.080]   Can somebody give me an event code
[00:44:23.080 --> 00:44:25.920]   Please
[00:44:25.920 --> 00:44:30.040]   Events what I don't understand what I mean. This is like an upcoming kind of thing or what?
[00:44:30.040 --> 00:44:33.280]   Let's see
[00:44:33.280 --> 00:44:39.720]   I'm gonna show you something I really like that I just found out about if you heard about forecast F O R E K A S T
[00:44:39.720 --> 00:44:42.480]   No, I
[00:44:42.480 --> 00:44:46.480]   Should have made this my pick of the week my tool of the week. It's an open source
[00:44:48.480 --> 00:44:53.760]   Karma-based calendaring solution the crowd sourced calendar of the internet
[00:44:53.760 --> 00:45:01.280]   So you can you can add stuff to it in different categories and then you can vote them up
[00:45:01.280 --> 00:45:04.320]   So the stuff that is voted up is what you see
[00:45:04.320 --> 00:45:10.080]   So here is somebody who Angelica Calico was mere casting from the NASA
[00:45:10.080 --> 00:45:14.560]   Test firing of the largest most powerful booster ever built for NASA this morning
[00:45:15.080 --> 00:45:20.640]   Ryan Hoover was doing product hunt radio with mere cat founder and others. So these are and I'll log in
[00:45:20.640 --> 00:45:24.840]   But I guess I'll do that off the camera, but it's kind of cool. So you can add an event
[00:45:24.840 --> 00:45:32.560]   It's kind of like product hunt for events and then people vote them up. It's neat. Yes, tomorrow is Alfred Hitchcock day all day
[00:45:32.560 --> 00:45:39.880]   The live stream of the Atlas 5 rocket launch Facebook warns that your page likes may decrease substantially tomorrow
[00:45:41.280 --> 00:45:46.840]   Sid Myers starships releases. So it's kind of like a geek calendar and then of course Friday south by south west
[00:45:46.840 --> 00:45:52.840]   I saw the West do we miss that folks? Are you guys going? No, no
[00:45:52.840 --> 00:45:57.320]   I missed the south by south by southwest of yesteryear
[00:45:57.320 --> 00:46:01.760]   Oh, I joined I joined Twitter at south by southwest eight years ago
[00:46:01.760 --> 00:46:10.280]   Wow, that's what south by southwest was a lady lady. Yeah, and even then I was like, oh this thing has jumped a shark so
[00:46:10.280 --> 00:46:15.520]   That says about it's already big in south by forget it
[00:46:15.520 --> 00:46:17.080]   at it
[00:46:17.080 --> 00:46:19.080]   So in 2007
[00:46:19.080 --> 00:46:23.080]   Yeah, yeah, I that was the well
[00:46:23.080 --> 00:46:23.320]   Okay
[00:46:23.320 --> 00:46:29.480]   So that was a south by that Twitter kind of long launched meaning that they set up those those displays in the hallways with tweets
[00:46:29.480 --> 00:46:32.800]   And I spent the whole conference just sort of like that as Twitter thing
[00:46:32.800 --> 00:46:36.200]   I stupid and then I flew home and joined Twitter like at home
[00:46:37.000 --> 00:46:40.320]   And I think my first tweet was like I'm home about to take a nap, you know
[00:46:40.320 --> 00:46:45.640]   And now it's your business so there and I know
[00:46:45.640 --> 00:46:51.200]   Eight years later my crystal ball was not working your startup would be ball around Twitter
[00:46:51.200 --> 00:46:59.760]   Yeah, you'd be a lamprey on the giant eel or whale of Twitter or whatever that is a dicky bird on the backs on the shoulders
[00:46:59.760 --> 00:47:01.600]   so
[00:47:01.600 --> 00:47:04.320]   The interactive services meant for Google's
[00:47:05.440 --> 00:47:11.800]   Things so I know for example, so that's where you're they release like an IO app or something like that
[00:47:11.800 --> 00:47:17.560]   Instead, there's this you plug in the event code and then you can do things like, you know interact with
[00:47:17.560 --> 00:47:20.080]   Speakers take no
[00:47:20.080 --> 00:47:24.640]   Code it's meaningless. Yes. Yeah, all these things. Nobody gets invited to
[00:47:24.640 --> 00:47:30.000]   He said bitterly about never going to site geist. Oh, I'd love to go to site guys
[00:47:30.000 --> 00:47:32.240]   But that's for people who advertise on Google
[00:47:32.240 --> 00:47:36.320]   I know but they bring in cool people because they're there's money there. That's what makes a need I
[00:47:36.320 --> 00:47:46.040]   Be very windy today because there's no LTE no LTE you'll see what you've done Google you've made an enemy
[00:47:46.040 --> 00:47:53.760]   All right, so there's your three big breaking stories, but but oh still have a Google change log, you know
[00:47:53.760 --> 00:47:57.440]   It's since genius here. We're gonna make her do it. Oh, yes, okay
[00:47:57.440 --> 00:48:00.480]   I'm gonna win you guys
[00:48:00.480 --> 00:48:12.160]   We I don't think we have anybody at South by this year wow, I think nobody at all I'm going Miriam's going probably I
