;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig136
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=136
title=This Week In Google 136: It's A Polar Bear
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.140]   It's time for Twig this week in Google. We're gonna talk about cookies
[00:23:15.700 --> 00:23:21.940]   And and we go back to use and harm versus technology and gathering right the use
[00:23:21.940 --> 00:23:26.180]   Here is if you use that to become a masher. Well, that's the problem
[00:23:27.060 --> 00:23:30.980]   Um, the harm is what could go wrong, but the fact that this data exists
[00:23:30.980 --> 00:23:37.780]   Has been there for ages. Why why are we suddenly in this moral panic because we're scared of technology as a society
[00:23:37.780 --> 00:23:40.660]   Which is the only because we just we want we want control
[00:23:40.660 --> 00:23:44.900]   So so when you got your your diagnosis, you said you were public about it
[00:23:44.900 --> 00:23:48.820]   Right, but you said that you were not public about it until you had spoken a jake about it your son, right?
[00:23:48.820 --> 00:23:50.660]   Yes
[00:23:50.660 --> 00:23:52.660]   How would you have felt I mean
[00:23:52.660 --> 00:23:54.980]   So your doctor knew
[00:23:54.980 --> 00:23:57.460]   I mean there were there were certain you know your mal-corrector
[00:23:57.460 --> 00:24:00.100]   I wanted that control. Yes, absolutely
[00:24:00.100 --> 00:24:06.580]   And no one should lose that control. I don't think anyone should be forced out of the cancer closet. Absolutely not
[00:24:06.580 --> 00:24:10.020]   Right, what I argue instead is a
[00:24:10.020 --> 00:24:17.060]   If one is generous enough and I believe it is an act of generosity to be open about it benefits come
[00:24:17.060 --> 00:24:19.700]   B I already agree
[00:24:19.700 --> 00:24:25.940]   that apart from the obvious cases that are legislative of our societal behavior of
[00:24:25.940 --> 00:24:32.100]   Employment and insurance and apart from our own stigmas. There's no actual harm
[00:24:32.100 --> 00:24:36.020]   There shouldn't be a harm in society of saying you're sick. There shouldn't be
[00:24:36.020 --> 00:24:38.900]   There shouldn't be there shouldn't be right?
[00:24:38.900 --> 00:24:42.900]   So what I'm arguing is if we're gonna examine ourselves as a society and if we're gonna fear things
[00:24:42.900 --> 00:24:46.900]   I think we should fear the fact that we have a stigma against people who are sick
[00:24:47.060 --> 00:24:50.980]   It's medieval and that's what we should be examining and changing in society
[00:24:50.980 --> 00:24:52.500]   That's true. That's true
[00:24:52.500 --> 00:24:57.060]   But right now if you're if you're a woman who has a career and you're trying to get pregnant
[00:24:57.060 --> 00:24:59.940]   You know that's something you try to hide because you don't want people to know that
[00:24:59.940 --> 00:25:01.460]   Because I can affect your career
[00:25:01.460 --> 00:25:04.020]   If you're high school and you're you know gay
[00:25:04.020 --> 00:25:07.700]   That's something you want to try to hide because there's a stigma. Oh
[00:25:07.700 --> 00:25:11.780]   I mean, so we do have to separate technology from society
[00:25:11.780 --> 00:25:16.740]   What I'm saying is that there are totally legitimate reasons why you want to keep things private
[00:25:17.060 --> 00:25:21.300]   And I think that the idea that there's technology that people don't really quite understand
[00:25:21.300 --> 00:25:25.940]   That that could mean that they don't have control of protecting those things about their lives
[00:25:25.940 --> 00:25:29.380]   You know that can affect them in a bad way is what freaks people out
[00:25:29.380 --> 00:25:32.900]   But but I I understand it's important to separate those things
[00:25:32.900 --> 00:25:35.460]   I think it's really I'm really grateful that you wrote the book
[00:25:35.460 --> 00:25:38.580]   I am out of the closet because I believe that it benefits people to be
[00:25:38.580 --> 00:25:42.500]   Public about things that are are pretty I mean to me is private
[00:25:42.500 --> 00:25:45.300]   but
[00:25:45.300 --> 00:25:49.140]   But I but I think you have to acknowledge like the fear around this
[00:25:49.140 --> 00:25:53.140]   I do I think it data sharing and what the where that comes from
[00:25:53.140 --> 00:25:57.540]   But it's not saying I think jina is that is that we also have to
[00:25:57.540 --> 00:26:01.940]   Not be carried away with that fear when it is a fear that is
[00:26:01.940 --> 00:26:09.780]   That it says i'm uncomfortable or i'm creeped or things like that that we have to deal with the specific harm and the balance that we are making
[00:26:09.780 --> 00:26:13.940]   Especially when that balance affects technologies in more ways than we will admit right now
[00:26:14.260 --> 00:26:18.740]   And this is what eric spent was saying watch out folks. You're going down the road and he said in a few years
[00:26:18.740 --> 00:26:20.740]   You're gonna regret it
[00:26:20.740 --> 00:26:26.900]   You're gonna regret that you let government come in and control the technology the actual technology and how it operates because of the present fear
[00:26:26.900 --> 00:26:29.460]   That's the issue
[00:26:29.460 --> 00:26:33.780]   I'm trying to find here. I've quoted a blog today that was a guy named
[00:26:33.780 --> 00:26:36.180]   Panta
[00:26:36.180 --> 00:26:38.180]   And I'm gonna not gonna fight regularly
[00:26:38.820 --> 00:26:44.740]   Be safe. I get the bad dad dad dad dad dad dad dad. He talked about how yeah, here it is that that we we are
[00:26:44.740 --> 00:26:51.380]   That we have a weird view of privacy now and that we've got to look
[00:26:51.380 --> 00:26:55.140]   Differently at it. We've a broken idea of privacy. He argues
[00:26:55.140 --> 00:27:02.260]   And it's gay bar gay dog hyphen gay hyphen bar dot com and and there's a wonderful post about this and at the end
[00:27:02.260 --> 00:27:08.500]   Um, you know, he says that if if Galileo had kept his ideas secret then you know because he had fear what would have happened
[00:27:08.740 --> 00:27:12.100]   Where would it be if no homosexual ever out of themselves stepping into the public light
[00:27:12.100 --> 00:27:21.220]   In endangering not only their social status, but also drawing a lot of hate rejection their way people would probably still claim that being gay was a normal or abnormal
[00:27:21.220 --> 00:27:26.580]   Um privacy is not your brave protector. It is it's an invisibility potion
[00:27:26.580 --> 00:27:30.420]   He says it means that nobody can see you your ideas your thoughts your feelings
[00:27:30.420 --> 00:27:35.460]   It not only means that you could not be heard it also means that your voice your words your actions cannot give courage
[00:27:35.540 --> 00:27:41.300]   Inspiration and hope to so many people on this planet who might need it you have every right to privacy
[00:27:41.300 --> 00:27:44.100]   Nobody should be forced to say something that they want to keep secret
[00:27:44.100 --> 00:27:49.220]   But the privacy based on hidden by default approach is a danger to us as a society
[00:27:49.220 --> 00:27:53.220]   I think it's very well said and that's the moral of what i'm trying to say
[00:27:53.220 --> 00:27:56.740]   Privacy is important. I will not force you up
[00:27:56.740 --> 00:28:03.460]   But let's also recognize the benefit of having the courage and the benefit not to be and the main reason we choose to be so scared and hold
[00:28:03.460 --> 00:28:05.460]   In is because we're scared of the unknown
[00:28:05.460 --> 00:28:10.660]   Well, gallelujah was right to be scared. He was almost burned at the state. He was
[00:28:10.660 --> 00:28:13.940]   A lot more than it seems
[00:28:13.940 --> 00:28:15.700]   uh, but
[00:28:15.700 --> 00:28:20.420]   But this these conversations are always extremely very useful to me to help as i said i said i'm sorry
[00:28:20.420 --> 00:28:25.380]   Obviously, i'm not doing a good job of getting you know
[00:28:25.380 --> 00:28:28.180]   I'm serious of getting into
[00:28:28.180 --> 00:28:31.620]   This conversation and places like policy centers and places like that
[00:28:32.260 --> 00:28:37.940]   That that there's a steamroller going on here and I haven't figured out how to stand in front of it in a way that doesn't just say
[00:28:37.940 --> 00:28:38.980]   After
[00:28:38.980 --> 00:28:44.660]   Um because i because i'm not grappling with the kinds of fears and concerns you're talking about very well and i and i know that
[00:28:44.660 --> 00:28:50.500]   And i'm and i'm somewhat with and try to find that bridge that says but hold on folks
[00:28:50.500 --> 00:28:54.100]   Yeah, I understand this but there's also that and I haven't done the job of us
[00:28:54.100 --> 00:28:56.100]   It's very useful for me too to have these conversations
[00:28:56.100 --> 00:29:00.420]   I think you've done a pretty done a good job in the book. I think more people have to read the book
[00:29:00.580 --> 00:29:02.580]   I think that's the moral story
[00:29:02.580 --> 00:29:08.900]   Listen, i'm a full-on capitalist. I have apps in the app store. I charge money
[00:29:08.900 --> 00:29:14.980]   I used to be a hippie commie now complete capitalist. So i'm all for it by jeff's book
[00:29:14.980 --> 00:29:20.180]   Uh, jeff i'm sorry not jeff
[00:29:20.180 --> 00:29:27.620]   Andy rubin writing in the gobo google mobile blog or the gobo mobile blog
[00:29:27.620 --> 00:29:29.940]   says
[00:29:29.940 --> 00:29:36.500]   The 850 000 new android devices are activated every single day
[00:29:36.500 --> 00:29:44.180]   The total number of android devices. I don't know if i buy this but this is what he says in the world are 300 million
[00:29:44.180 --> 00:29:47.540]   holy cow
[00:29:47.540 --> 00:29:50.900]   450 000 apps
[00:29:50.900 --> 00:29:57.620]   A billion app downloads happening every month now remember apple's about to cross 25 billion
[00:29:58.180 --> 00:30:01.140]   But I think androids pretty darn close
[00:30:01.140 --> 00:30:04.820]   And growing very very quickly
[00:30:04.820 --> 00:30:11.460]   There are 100 plus android devices on display of mobile world congress. Oh is that good or bad?
[00:30:11.460 --> 00:30:17.780]   Isn't that interesting that he says there are 800 plus devices have launched since android came out
[00:30:17.780 --> 00:30:21.940]   100 of them are new and then and then mobile world congress today
[00:30:21.940 --> 00:30:23.620]   uh
[00:30:23.620 --> 00:30:25.620]   Wow
[00:30:25.620 --> 00:30:29.220]   Yet and it's doing well andro's doing okay. He's doing well
[00:30:29.220 --> 00:30:33.540]   I that's a good question though whether or not all those devices is is a is a good thing
[00:30:33.540 --> 00:30:40.660]   Uh, it's like google must google must feel so they want to they're now going to release their own tablet as if we didn't have enough
[00:30:40.660 --> 00:30:45.700]   Well, we don't have the right one yet. I was well, we don't we don't have the right one
[00:30:45.700 --> 00:30:48.740]   Well, we look google isn't a good android tablet will a google tablet
[00:30:48.740 --> 00:30:51.860]   Change that
[00:30:51.860 --> 00:30:56.900]   I I don't think the galaxy nexus for instance is the best google phone out there right now is it
[00:30:56.900 --> 00:31:00.260]   No, and it's a pure google experience
[00:31:00.260 --> 00:31:05.940]   I don't think it's even close. I lean. I leave that's your cue. Come on in. Oh, no. She agrees with me. There's
[00:31:05.940 --> 00:31:09.380]   I yeah, she doesn't even use the nexus. No
[00:31:09.380 --> 00:31:14.100]   If I would get a phone right now, it might be htc1
[00:31:14.100 --> 00:31:16.980]   Well, that's not available yet that in april. Awesome
[00:31:16.980 --> 00:31:23.380]   But if I were to get a phone today, I would probably go with the droid razormax because you want battery life
[00:31:23.380 --> 00:31:28.340]   I want battery life. It's awesome. That's what's different between her and me. She is all about battery life
[00:31:28.340 --> 00:31:34.500]   I'm all about screen size and the point is we have a choice. That's right and I can you get old young lady
[00:31:34.500 --> 00:31:36.900]   You'll have the same problem. We don't want a big screen
[00:31:36.900 --> 00:31:42.100]   But see I don't care about battery life because I have five now count them five batteries for this thing
[00:31:42.100 --> 00:31:46.020]   And I keep them all charged. I keep them in my pocket. I keep in my glove compartment
[00:31:46.100 --> 00:31:49.540]   I keep them in my desk and if I need more juice, I just put it a new battery and I got it
[00:31:49.540 --> 00:31:53.300]   They all get about eight hours or nine hours. So it's not like them. Have you talked to your shrink about this?
[00:31:53.300 --> 00:31:59.300]   He said it. Yes, I did as a matter of this morning. He said can I borrow one because my phone is
[00:31:59.300 --> 00:32:04.500]   That I do wish they'd standardize on the battery. So that would be that would save me money
[00:32:04.500 --> 00:32:07.700]   We actually had a really good conversation about the word choice
[00:32:07.700 --> 00:32:10.500]   In the android apple calls of fragmentation
[00:32:10.500 --> 00:32:15.780]   Right and it versus somebody wrote us a letter saying please stop using the word fragmentation
[00:32:16.020 --> 00:32:18.980]   Please start using the word choice. Maybe that's the dichotomy
[00:32:18.980 --> 00:32:25.860]   About this on our last episode which I'm calling companies like media companies call it fragmentation consumers call it choice
[00:32:25.860 --> 00:32:28.260]   Interesting
[00:32:28.260 --> 00:32:32.100]   Interesting there really needs to be a website though like a single serving website. That's like
[00:32:32.100 --> 00:32:38.740]   What is the best android phone right now calm and it's like I want better battery life and then just gives the answer
[00:32:38.740 --> 00:32:43.460]   I want a bigger screen, you know because honestly, I couldn't answer that question. I mean, I'm so
[00:32:44.740 --> 00:32:47.620]   Checkboxes. Well, that's what all about androids all about right
[00:32:47.620 --> 00:32:51.860]   We show the the video from the best by Saturday live video
[00:32:51.860 --> 00:32:54.580]   The Verizon one we did show this
[00:32:54.580 --> 00:32:58.100]   Yeah
[00:32:58.100 --> 00:33:02.020]   So
[00:33:02.020 --> 00:33:05.460]   Action
[00:33:05.460 --> 00:33:08.980]   Anybody who thinks I'm a google shill
[00:33:10.660 --> 00:33:14.660]   Just talk to him about youtube well or a bunch of other things anyway
[00:33:14.660 --> 00:33:18.980]   Uh, I don't think I to be honest. I don't know why google's making a tablet
[00:33:18.980 --> 00:33:25.940]   I guess they feel that just as with the phone they make need to make reference implementations. Yeah, um show the way. Yeah
[00:33:25.940 --> 00:33:28.420]   Uh, there are
[00:33:28.420 --> 00:33:33.700]   According to Andy Rubin 12 million android tablets sold I find that extraordinarily hard to believe in it's the case
[00:33:33.700 --> 00:33:36.100]   8 million of them must be kindle fires
[00:33:36.100 --> 00:33:40.180]   But he's not I don't think he's counting kindle fires in that because it's not an android branded
[00:33:40.980 --> 00:33:43.460]   I can't you guys think of the of the aces pad phone
[00:33:43.460 --> 00:33:47.220]   I didn't see that one. Oh, that is one of my kicks
[00:33:47.220 --> 00:33:54.900]   Easy. Oh, oh is that okay? No, go for it. Jeff. You talk about it. I love this. It's phenomenal. It's a it's an amazing video. Yeah
[00:33:54.900 --> 00:33:57.060]   Um
[00:33:57.060 --> 00:34:03.700]   I'll go to the it's a 4.3 inch smartphone. Yes, so not super big. It's that's on the biggest side
[00:34:03.700 --> 00:34:06.340]   um, however
[00:34:06.340 --> 00:34:10.020]   It converts to a 10.1 inch pad phone station
[00:34:10.020 --> 00:34:13.860]   So you dock it you dock it now. How is this different from the atrix?
[00:34:13.860 --> 00:34:20.180]   Well, you dock it into the tablet it powers the tablet and then you can actually dock the tablet into a
[00:34:20.180 --> 00:34:22.820]   A keyboard so you've got all three
[00:34:22.820 --> 00:34:27.780]   So it's a like running ice cream sandwich and it's actually got a pretty vanilla skin
[00:34:27.780 --> 00:34:31.780]   On the phone itself. So really it's like a babushka though
[00:34:31.940 --> 00:34:37.940]   But even better the stylus that comes with it becomes your your hands that becomes your receiver
[00:34:37.940 --> 00:34:43.940]   So, oh, so you are so you get a you could buy a stylus and then you could use the stylus to say hello
[00:34:43.940 --> 00:34:48.500]   Stick the stylus in your ear. Yes. You do it. You use it. It's like the world's thinnest
[00:34:48.500 --> 00:34:53.140]   Uh little phone. Yes. It's hard to feel very masculine when talking with it, but
[00:34:53.140 --> 00:34:55.940]   So you do wait a minute. Oh, oh
[00:34:55.940 --> 00:35:01.860]   Sounds insane. So you're saying the stylus this thing. It's a bigger stylus. Hello. Yes
[00:35:02.260 --> 00:35:06.420]   When it's docked into the tablet because you can't answer the phone, right? Oh, if it's docked in the tablet
[00:35:06.420 --> 00:35:10.420]   So, well, but we got a stylus for you. Can I get a little rubber band or something to strap it to my head
[00:35:10.420 --> 00:35:13.620]   Is like a Bluetooth like ear thing?
[00:35:13.620 --> 00:35:16.100]   That's a real stylus. I gotta find a picture
[00:35:16.100 --> 00:35:17.860]   You're holding the phone
[00:35:17.860 --> 00:35:21.300]   But you know what this is exactly what we're talking about that asus
[00:35:21.300 --> 00:35:23.860]   Because androids free
[00:35:23.860 --> 00:35:30.660]   And it's open can develop the craziest wackiest stuff and this is good for everybody. This is wonderful
[00:35:30.900 --> 00:35:34.020]   I wish steve jobs a lot just to hear what he would have to say about this thing
[00:35:34.020 --> 00:35:36.580]   He'd hate it. It's got everything he doesn't want
[00:35:36.580 --> 00:35:38.580]   This thing
[00:35:38.580 --> 00:35:40.180]   But that's fine. You know what?
[00:35:40.180 --> 00:35:43.620]   There's this is a we live in a world where there's room for steve jobs
[00:35:43.620 --> 00:35:48.740]   And and andi roobin and I think that that's what we want. That's called choice. Not fragmentation
[00:35:48.740 --> 00:35:51.060]   No matter what apple wants us to call it
[00:35:51.060 --> 00:35:53.780]   I would just love to know what word he would choose
[00:35:53.780 --> 00:36:00.340]   What what I love what I love about this is that we also saw there's the there's the
[00:36:00.580 --> 00:36:02.580]   thumb drive sized
[00:36:02.580 --> 00:36:05.380]   Lidix box, right? Yeah, the raspberry pie
[00:36:05.380 --> 00:36:09.060]   Right a lot of interest in that five to two with all this stuff, right?
[00:36:09.060 --> 00:36:13.460]   Yeah, so so there's a new view here that you carry the computer power. Oh, that's a big style
[00:36:13.460 --> 00:36:15.460]   Plug it into lots of different things, right?
[00:36:15.460 --> 00:36:16.740]   Yeah
[00:36:16.740 --> 00:36:19.060]   Well, I think what what it's saying there's really
[00:36:19.060 --> 00:36:22.100]   And he's using the stylus now what it's saying really is
[00:36:22.100 --> 00:36:26.020]   That all the innovation all the excitement is happening in mobile
[00:36:26.740 --> 00:36:29.460]   Uh that your mobile phone is your computer
[00:36:29.460 --> 00:36:35.060]   And so it makes perfect sense if your mobile phones your computer to give give you ways to make it, you know
[00:36:35.060 --> 00:36:38.820]   Work with a keyboard and a bigger screen and all that stuff
[00:36:38.820 --> 00:36:44.420]   You know there were a number of people have done kind of just random experimentation using a bluetooth keyboard
[00:36:44.420 --> 00:36:46.900]   HDMI out of uh
[00:36:46.900 --> 00:36:50.420]   Almost any uh android phone into a 27 inch screen
[00:36:50.420 --> 00:36:56.420]   And you're you know so I think where google really needs to go is with android and make it more
[00:36:56.580 --> 00:37:01.220]   Of a compatible desktop operating system and I is that what ice cream sandwich?
[00:37:01.220 --> 00:37:04.100]   Is that what jelly bean is that where they're going is it?
[00:37:04.100 --> 00:37:09.140]   Is it something that where windows eight is going it is where it is where microsoft's going?
[00:37:09.140 --> 00:37:11.620]   Absolutely brought to the desktop before googled it
[00:37:11.620 --> 00:37:16.900]   That was that was of course the big story this morning as microsoft put out its consumer preview of windows eight
[00:37:16.900 --> 00:37:20.340]   Uh, I did not get up at six in the morning to watch
[00:37:20.340 --> 00:37:26.020]   Uh, but if anybody watched stevenson off ski well, you know, we'll talk about tomorrow windows weekly, but uh
[00:37:26.820 --> 00:37:30.740]   Um, I think this is I think this is all exciting. This is this is what you want
[00:37:30.740 --> 00:37:34.740]   You want let a million flowers bloom some many will be failures as the uh
[00:37:34.740 --> 00:37:40.580]   Who was it the samson guy at mobile word congress a couple of days ago said well? Yeah, the tablet sets not been so good
[00:37:40.580 --> 00:37:42.900]   They didn't sell so well
[00:37:42.900 --> 00:37:44.260]   That's great
[00:37:44.260 --> 00:37:49.860]   That's fine and samson's a big enough company that they can take the hit and try something else that I think the note
[00:37:49.860 --> 00:37:54.260]   Uh and all and all indications are the notes gonna be a big runaway hit for them, right?
[00:37:54.580 --> 00:37:58.260]   I think that's where they're trying to focus at this point because it's a tablet
[00:37:58.260 --> 00:38:04.500]   Well, yeah, and they also introduced a 10.1 version of that as well that I don't get I don't know how is that different than a
[00:38:04.500 --> 00:38:08.900]   In a galaxy note to uh, I mean a galaxy talent
[00:38:08.900 --> 00:38:13.220]   Well, there it does it does a few things different. There's gonna be split screen
[00:38:13.220 --> 00:38:19.620]   So you could uh see browse and then also take some notes. I mean they're they're positioning a little bit different
[00:38:24.420 --> 00:38:26.420]   3.7
[00:38:26.420 --> 00:38:29.220]   Okay moving on. I don't want to do any numbers no more numbers
[00:38:29.220 --> 00:38:32.820]   Just in case jeff has dibs did
[00:38:32.820 --> 00:38:38.500]   No, they're fine and actually uh, I guess Andy took down the tweet that you wanted
[00:38:38.500 --> 00:38:41.380]   Yeah, it's not there anymore
[00:38:41.380 --> 00:38:47.540]   Let me see because uh it says sorry that page doesn't exist, but maybe that's just a bad link
[00:38:47.540 --> 00:38:51.940]   Oh, no, well, yeah, because you how can you kill a tweak you can't kill a tweet? Yeah, you can
[00:38:53.540 --> 00:38:57.460]   Are you kidding just ask rupert fun android party and barcelona last night?
[00:38:57.460 --> 00:39:02.900]   Thanks to everyone who joined into team. Oh, moss calvin Harris and goldie rocks for the grooves
[00:39:02.900 --> 00:39:09.140]   What's wrong with that? I thought it was gonna be something more salacious. No, I just wanted to say he was having fun
[00:39:09.140 --> 00:39:12.500]   It's good. He's having fun
[00:39:12.500 --> 00:39:16.180]   Hey, you know what you go to barcelona and you don't have fun. There's something wrong with you
[00:39:16.180 --> 00:39:21.380]   Uh barcelona the parties though started like three in the morning
[00:39:21.860 --> 00:39:27.300]   You're supposed to you're supposed to go home after a long day take a nap eat it 10
[00:39:27.300 --> 00:39:33.460]   And go out at midnight, right? That's how it works. Oh man. I'm too old for that
[00:39:33.460 --> 00:39:41.780]   Like part of me that sounds really fun and what most of me is like, oh no, that's why they live on paella
[00:39:41.780 --> 00:39:50.020]   Uh, I am excited about this htc one. They have three models the xs and r. It's a uh quad core
[00:39:51.140 --> 00:39:53.300]   1.5 gig. I'm sorry
[00:39:53.300 --> 00:39:57.860]   There's two of them. So if you get the at and t forget I said quad core
[00:39:57.860 --> 00:40:03.620]   Unfortunately the the at and t will be merely dual 1.5 gigahertz snapdragons
[00:40:03.620 --> 00:40:08.180]   But that's because of the teg the uh lte chip set and the tegra don't go together
[00:40:08.180 --> 00:40:10.900]   But the tegra three will be in the you uh the universal version
[00:40:10.900 --> 00:40:15.940]   So you probably want to get that unless you want at and t lte. This is right. You need a spreadsheet
[00:40:15.940 --> 00:40:19.540]   Because if you want at tt lte you can't get quad core because
[00:40:20.100 --> 00:40:22.100]   Nah, man. This will be a
[00:40:22.100 --> 00:40:27.220]   720p 4.7 inch screen. So it's kind of somewhere in between a fablet and a phone
[00:40:27.220 --> 00:40:30.180]   It's a fun ablet
[00:40:30.180 --> 00:40:33.140]   You need a glaucyry in this sort of
[00:40:33.140 --> 00:40:34.580]   Um
[00:40:34.580 --> 00:40:37.780]   It will have uh sense 4.0, which looks pretty sweet
[00:40:37.780 --> 00:40:43.060]   So this is this is going to be an ice cream sandwich phone with with a new htc sense on top of it
[00:40:43.060 --> 00:40:46.020]   Uh, looks pretty good from what I saw
[00:40:46.900 --> 00:40:48.340]   Looked great
[00:40:48.340 --> 00:40:50.980]   We've got the aces just these a fat pop and it's got the beats
[00:40:50.980 --> 00:40:55.540]   We got the beats can somebody get me my ting phone is there anybody around?
[00:40:55.540 --> 00:41:01.620]   I want to show off this ting phone. Is there and there's nobody here. Oh, it's it's in the drawer. I keep my phones
[00:41:01.620 --> 00:41:05.060]   A little ticket hour to find it
[00:41:05.060 --> 00:41:11.780]   Is just bring me all the phones. It's in the drawer in the left. It's uh, I don't even know how you're gonna know which is which
[00:41:11.780 --> 00:41:15.940]   Anyway, oh my god. This is a new actually new advertiser
[00:41:16.500 --> 00:41:22.340]   Doing android phones. They're very excited. We'll talk about that in a second. It let's see what else uh the the uh, uh,
[00:41:22.340 --> 00:41:26.020]   Wau Wau that's how you say it right? Wau Wau
[00:41:26.020 --> 00:41:32.180]   That's correct ascend d quad the fastest phone in the world
[00:41:32.180 --> 00:41:39.700]   I put it in here because it seemed impressive and quad core. That's it is the buzz quad quad quad quad core
[00:41:39.700 --> 00:41:42.340]   um
[00:41:42.340 --> 00:41:47.300]   But see this is uh also 720p everything 720p except now we're gonna see 1080p is next
[00:41:47.300 --> 00:41:50.740]   You're gonna there are phones are gonna be 1080p get ready for that
[00:41:50.740 --> 00:41:54.020]   Um, so but what it's the d quad is the internal
[00:41:54.020 --> 00:41:57.860]   Processing power a lot of the first impressions. I've read have been pretty
[00:41:57.860 --> 00:42:04.260]   Look how ugly it is. It's too sick. It looks like the fastest phone in the world. Doesn't it?
[00:42:04.260 --> 00:42:07.060]   It looks like it was painted with beige paint
[00:42:07.860 --> 00:42:14.500]   People seem people who saw it seem to be impressed. That's what I mean anybody who's impressed by speed will be impressed
[00:42:14.500 --> 00:42:19.220]   But the point is there are hundred new handsets android handsets at mobile world congress
[00:42:19.220 --> 00:42:26.100]   What was the projector built in even yeah the sam san pico projector built into the top so you do your powerpoint from your phone
[00:42:26.100 --> 00:42:29.860]   uh and of course
[00:42:29.860 --> 00:42:36.100]   And this is where I think they made a mistake no key announced a phone with 41 megapixels in its camera
[00:42:37.540 --> 00:42:42.500]   But it's it's 41. It's 41. I didn't make a mistake there. That's the actual
[00:42:42.500 --> 00:42:44.820]   41
[00:42:44.820 --> 00:42:45.940]   And it's running symbion
[00:42:45.940 --> 00:42:48.900]   But it's running symbion not even symbion not even symbion 60
[00:42:48.900 --> 00:42:52.260]   It's running an old version of simi and I think that what they said is well
[00:42:52.260 --> 00:42:55.300]   We've been developing this for five years. That's what we had
[00:42:55.300 --> 00:43:00.500]   Uh five years ago. So it's not gonna be it's gonna be a very strange phone. It's also thick
[00:43:00.500 --> 00:43:02.900]   It's got big it's clumsy and when you take the picture
[00:43:03.300 --> 00:43:08.100]   It it shrinks it down to eight megapixels or five megapixels in order to get it not looking good
[00:43:08.100 --> 00:43:11.140]   So in order for it to fit on the phones
[00:43:11.140 --> 00:43:15.860]   Yeah, right memory. It's actually, you know, it's a bigger chip than a most point and shoot cameras
[00:43:15.860 --> 00:43:17.940]   So it is you know and there's some merit to the
[00:43:17.940 --> 00:43:20.900]   It should be a nice camera. I don't know who would buy it
[00:43:20.900 --> 00:43:23.060]   But I guess somebody's serious about camera phones
[00:43:23.060 --> 00:43:28.820]   Isn't there some sort of point with megapixels where the more that you have it doesn't matter as much
[00:43:28.820 --> 00:43:31.540]   I thought it was around 10 or 12. It is
[00:43:32.260 --> 00:43:36.100]   Um, well, it's a it's a that's a complicated long conversation
[00:43:36.100 --> 00:43:39.460]   Yeah, probably not for twig, but I I thought that at the point at which
[00:43:39.460 --> 00:43:42.580]   It's a really chip size is what really matters
[00:43:42.580 --> 00:43:44.340]   So you have two choices as a chip gets bigger
[00:43:44.340 --> 00:43:49.860]   You can either get the pixels bigger and have them receive more light and be more accurate or you could
[00:43:49.860 --> 00:43:52.340]   Increase the resolution, which is what?
[00:43:52.340 --> 00:43:57.220]   No, kid did but the problem is now you're beyond the refraction limit of the lens especially a little lens like that
[00:43:57.220 --> 00:43:59.140]   So you're not gonna have a very crisp image
[00:43:59.540 --> 00:44:03.860]   So they knew that you know you would never take a 41 megapixel besides the size would be huge
[00:44:03.860 --> 00:44:09.700]   So what they do is they shoot 41 megapixels and then they squeeze it down and that handles all the refraction issues and so forth
[00:44:09.700 --> 00:44:13.940]   And so you get a good eight megapixel. It's very very crazy
[00:44:13.940 --> 00:44:16.580]   So
[00:44:16.580 --> 00:44:18.580]   AT&T
[00:44:18.580 --> 00:44:22.420]   Decided
[00:44:22.420 --> 00:44:24.420]   That uh
[00:44:24.420 --> 00:44:26.500]   They're gonna have let's see
[00:44:27.060 --> 00:44:31.620]   This is this is this is a little bit complicated, but but did you explain this because I I read it
[00:44:31.620 --> 00:44:34.180]   Here's the deal. Here's the deal, right?
[00:44:34.180 --> 00:44:36.740]   Basically, they're double dipping is the deal. Yeah, they are
[00:44:36.740 --> 00:44:38.820]   So what what happens is
[00:44:38.820 --> 00:44:42.740]   Google is paying for the bandwidth to get the internet you're paying for the bandwidth to get from the internet, right?
[00:44:42.740 --> 00:44:46.260]   Right and now AT&T says well, we're gonna create this new thing
[00:44:46.260 --> 00:44:49.140]   It's like an 800 number call so we can convince you it's free
[00:44:49.140 --> 00:44:54.660]   And what it really is is the worst violation net neutrality you can imagine because what it says is you can
[00:44:55.860 --> 00:44:59.140]   be a app maker developer can buy the privilege
[00:44:59.140 --> 00:45:07.860]   Of your app spanned with not counting toward the users banned with cap so you can use this product
[00:45:07.860 --> 00:45:11.300]   Uh with impunity
[00:45:11.300 --> 00:45:14.100]   Right. So what what at AT&T gets paid a third time
[00:45:14.100 --> 00:45:20.580]   So you didn't just pay to the right by the developer right or the developer control right whoever controls the app
