;FFMETADATA1
title=Stop Spocking My Bills!
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=290
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.580]   It's time for Twig this week in Google. Aaron Nukem joins Jeff Jarvis and me
[00:22:14.640 --> 00:22:20.320]   No, it could really die now. They announced, you know a plan for revitalizing uh, sony and some of it involved spinning off
[00:22:20.320 --> 00:22:24.000]   They have been spinning off a lot of stuff. They spun off the music they spun off
[00:22:24.000 --> 00:22:27.200]   TVs this I mean
[00:22:27.200 --> 00:22:28.960]   Yeah
[00:22:28.960 --> 00:22:32.160]   Uh by the way, the sam sung phone the s6 has a
[00:22:32.160 --> 00:22:37.520]   New form of payment remember they bought loop pay that's kind of an interesting technology
[00:22:37.920 --> 00:22:42.160]   Jeff needles uses it it allows you to hover your phone over a swipe terminal
[00:22:42.160 --> 00:22:46.880]   The phone sends out a magnetic field which is red as a as a real credit card being swiped
[00:22:46.880 --> 00:22:52.960]   Uh, so in in in other words sam's son's pay will have touch to pay but also this swipe capability
[00:22:52.960 --> 00:22:57.200]   Which will make it the most compatible that's gonna work far better. I think in europe than here
[00:22:57.200 --> 00:22:59.600]   I mean in europe. Do they swipe still in europe?
[00:22:59.600 --> 00:23:03.760]   Well, what yeah, no, you do you do the chip car. I thought they did chip and pen. Yeah
[00:23:04.320 --> 00:23:08.000]   But but I think those terminals, you know when they come in a restaurant in europe, they do
[00:23:08.000 --> 00:23:10.000]   just pay at the table with the device
[00:23:10.000 --> 00:23:16.480]   Uh, well, it's it's pin but I think they also have a swipe there and I don't imagine you can hold up against that but in the in the us
[00:23:16.480 --> 00:23:19.920]   Is that a hell of a lot of purchases fortunes won't matter
[00:23:19.920 --> 00:23:23.120]   Well swiping is going away. I think
[00:23:23.120 --> 00:23:27.200]   Yeah, how are you gonna pay for a restaurant check? I mean, how are you gonna do with those?
[00:23:27.200 --> 00:23:31.360]   Oh, they just get this these new touch terminals everywhere. Yeah. Well, that's a big deal
[00:23:31.520 --> 00:23:37.200]   Every restaurant every waiter in the camera mandated to I think they're mandated to this is uh, this is all changing
[00:23:37.200 --> 00:23:41.680]   Is it is it that definite so we're moving to chip and sign
[00:23:41.680 --> 00:23:46.560]   Instead of chipping by october of this year, uh, no more swipe
[00:23:46.560 --> 00:23:49.520]   So there'll be a chip
[00:23:49.520 --> 00:23:55.440]   But it won't be necessarily pin based you'll still maybe sign so that sounds like you the waiter will if he comes to your table
[00:23:55.440 --> 00:24:00.880]   Will have a thing that you touch your i'm getting a new american express card. It's on its way with a chip in it
[00:24:01.280 --> 00:24:04.080]   I think all your credit cards will be replaced in the next few months with chips
[00:24:04.080 --> 00:24:11.040]   That's I think nfc right you tap it and then it registers it still may have to print out a receipt and sign it
[00:24:11.040 --> 00:24:14.640]   Although it's not a it doesn't mean you can't do chip and pin
[00:24:14.640 --> 00:24:17.840]   It just means that they're giving them a little more time to get used to that notion
[00:24:17.840 --> 00:24:20.240]   So chip and sign though is by october
[00:24:20.240 --> 00:24:23.920]   Yeah, and it may be chip and pin in many many of the places you go
[00:24:23.920 --> 00:24:29.520]   Well, so uh, that's to fight fraud. Although we'll see how well that fights fraud. Yeah, um
[00:24:30.320 --> 00:24:34.720]   But that but that's why everybody and their brothers announcing these new payment systems
[00:24:34.720 --> 00:24:37.120]   Samsung and apple and everybody else because
[00:24:37.120 --> 00:24:39.600]   Walmart
[00:24:39.600 --> 00:24:45.040]   Because they they realized that that all of the terminals are going to be refreshed in the next six months
[00:24:45.040 --> 00:24:47.040]   Right. This is a huge opportunity real opportunity
[00:24:47.040 --> 00:24:49.040]   Everyone's trying to take advantage of it
[00:24:49.040 --> 00:24:53.840]   Absolutely android pay even exists sundar pachai talked about android pay
[00:24:53.840 --> 00:24:59.680]   Uh to to replace google wallet, which is not to tie in with google wallet
[00:24:59.760 --> 00:25:06.080]   Okay, yeah, it's because that would get really confusing and which actually wouldn't wouldn't be too surprising knowing google
[00:25:06.080 --> 00:25:12.080]   But yeah, it's more it's more like uh apis for developers to allow developers to kind of tie
[00:25:12.080 --> 00:25:17.920]   Mobile payments like this so they're not gonna their apps and services. I'll still be able to use my wallet, right?
[00:25:17.920 --> 00:25:20.080]   um
[00:25:20.080 --> 00:25:22.080]   So it will provide a secure
[00:25:22.080 --> 00:25:24.320]   store it will
[00:25:24.320 --> 00:25:26.080]   Have an api
[00:25:26.080 --> 00:25:28.720]   Apps will determine when and where you can use payment cards
[00:25:29.600 --> 00:25:33.920]   Uh, the google system will tokenize card numbers much like apple and sam san pay do
[00:25:33.920 --> 00:25:37.760]   That's one of the real advantages of these payment systems from the privacy point of view
[00:25:37.760 --> 00:25:42.400]   And a security point of view you're not giving the merchant your credit card or any personal information
[00:25:42.400 --> 00:25:44.800]   merely a one-time token
[00:25:44.800 --> 00:25:48.320]   Which they can use to verify that you are paying this amount
[00:25:48.320 --> 00:25:51.120]   um
[00:25:51.120 --> 00:25:56.480]   Google's android pay will use nfc for transmission will support biometric authentication via hardware
[00:25:56.640 --> 00:26:02.160]   Oh, that's another thing on the s6 they figured out a way to do it. Oh, yeah, touch without swiping touch id fingerprint
[00:26:02.160 --> 00:26:07.600]   Right now although I have to say i've gotten used to the note for and i'm pretty consistent on it
[00:26:07.600 --> 00:26:11.840]   But see I just did it and said no no you didn't you do it a little sideways you have to do it just right
[00:26:11.840 --> 00:26:15.360]   I do like this and it does unlock google wallet it unlocks last pass
[00:26:15.360 --> 00:26:20.080]   So they're already is a standard kind of api for for the sam san
[00:26:20.080 --> 00:26:25.600]   fingerprint reader, but you don't want that works like apples where you just put your finger on it and it reads it and you're done
[00:26:25.600 --> 00:26:31.440]   Apples works so well. Yep, but you know what leo you know what I don't want on my next s6 a button
[00:26:31.440 --> 00:26:38.400]   Right. Well as a result you have a physical button and uh, this is why the app all the iPhone is a physical button
[00:26:38.400 --> 00:26:44.000]   That's why sam san it justifies sam san's continued to finally does yeah to the home button, right
[00:26:44.000 --> 00:26:50.640]   Maybe they knew so pachai said that they're not trying to compete with sam san's offering. It's just to give
[00:26:50.640 --> 00:26:51.920]   them
[00:26:51.920 --> 00:26:53.760]   another choice
[00:26:53.840 --> 00:26:58.160]   Uh, and I guess it will work with a sam san fingerprint reader, which is cool. No timeline
[00:26:58.160 --> 00:27:01.840]   I guess we'll find out more at google.io in may
[00:27:01.840 --> 00:27:06.400]   I'm glad that they're stepping this up a little bit. I mean for a while it was unsure
[00:27:06.400 --> 00:27:10.640]   I was unsure certainly I think a lot of people were what was going to happen with google wallet
[00:27:10.640 --> 00:27:12.240]   You know, was it just going to go away?
[00:27:12.240 --> 00:27:16.160]   I mean I was really starting to wonder because my I use google wallet whenever I can because it's more secure
[00:27:16.160 --> 00:27:20.400]   Um people ask me why do you do that thing with your phone? Why don't you pay my credit card and I tell them I get there's a pin
[00:27:20.880 --> 00:27:25.040]   You know, I can revoke things very easily if someone gets my phone or something
[00:27:25.040 --> 00:27:26.800]   but um
[00:27:26.800 --> 00:27:32.480]   I've been going to stores and it and it hasn't been working because stores are are I guess not subscribing to the service anymore or whatever
[00:27:32.480 --> 00:27:35.920]   Uh, so I was getting really worried, but I'm really glad that they're stepping this up
[00:27:35.920 --> 00:27:37.280]   I'm glad that they bought
[00:27:37.280 --> 00:27:39.200]   Isis or whatever it's called now
[00:27:39.200 --> 00:27:42.080]   Softcard, thank you
[00:27:42.080 --> 00:27:43.600]   um
[00:27:43.600 --> 00:27:48.160]   Because I think that and I think that they I think the reason they did it was just because they got so worried with apple pay
[00:27:48.720 --> 00:27:52.640]   Um, I think that kind of forced worried or they saw an opportunity. I mean I think that
[00:27:52.640 --> 00:27:56.720]   Uh, just as we said, this is the time if you're going to put your flag in the sand
[00:27:56.720 --> 00:28:02.800]   This is the time to plan it. Yep. Um, I you know wallet was hurt because the carriers chiefly verizon
[00:28:02.800 --> 00:28:05.520]   Uh wanted to use softcard, right?
[00:28:05.520 --> 00:28:07.280]   I said well, we're not going to let you use apple
[00:28:07.280 --> 00:28:13.280]   I mean how many times have I installed google wallet or tried to on an android device and it says your to your carrier does not support it
[00:28:13.280 --> 00:28:16.400]   Yeah, but that changed at some point now everybody does right?
[00:28:16.880 --> 00:28:23.600]   Have you had problems with your why I have not had problems, but I run a custom ROM so so you wouldn't even know what you do
[00:28:23.600 --> 00:28:30.080]   Yeah, google actually specifically took took it into their own hands and changed the way wallet
[00:28:30.080 --> 00:28:31.440]   Okay, um
[00:28:31.440 --> 00:28:34.640]   Authenticated fixed of the secure elements something along those lines
[00:28:34.640 --> 00:28:39.600]   The details are a little shady, but they they basically went around the carriers
[00:28:39.600 --> 00:28:42.480]   Is that okay? Well, if you're gonna block it there then we're gonna do it this way now
[00:28:42.480 --> 00:28:46.320]   It would ever happen. I was real thrilled because something my wallet was working and I put all my credit cards in there
[00:28:46.400 --> 00:28:51.200]   Right as far as I can tell it's functionally identical to apple pay the only difference is the fingerprint reader
[00:28:51.200 --> 00:28:57.040]   I think it's great use a pin instead of a fingerprint reader and now that's coming and everywhere that uses apple pay it works
[00:28:57.040 --> 00:29:02.240]   Because touch ID is touch ID, you know or whatever it is. Yep touch to pay is touch to pay
[00:29:02.240 --> 00:29:08.560]   Um, so i'm not sure what's going on and this is not good because consumers need to know
[00:29:08.560 --> 00:29:11.600]   With some reliability what's going on?
[00:29:12.720 --> 00:29:17.120]   Maybe that's why they've it almost feels like they've rebranded google wallet android pay
[00:29:17.120 --> 00:29:20.480]   In the same way they rebrand a google tv android tv
[00:29:20.480 --> 00:29:27.840]   Maybe google likes to rebrand its things. Well, it's all android right? Yeah, I think that's the that's the more consumer friendly brand
[00:29:27.840 --> 00:29:29.600]   Yeah, right
[00:29:29.600 --> 00:29:35.040]   They know android. Yeah, people know android. Yeah google wallet. That sounds scary. Oh, no people trust google
[00:29:35.040 --> 00:29:39.680]   But they well and they went and remember they went the opposite direction when it came to the market, right?
[00:29:39.680 --> 00:29:43.840]   It was always android market and they said oh but that's too limiting with our bigger brand is google
[00:29:43.840 --> 00:29:48.320]   So we need to open it so let's make a google play. So they're going in all sorts of different directions
[00:29:48.320 --> 00:29:50.800]   That's that's google in a nutshell right there android pay
[00:29:50.800 --> 00:29:58.320]   I'm being told by the chairman is basically an api. Yeah, and in fact sam san pay could in fact incorporate it could be built on top of android pay
[00:29:58.320 --> 00:30:00.960]   So it's just an api
[00:30:00.960 --> 00:30:03.200]   gdc will talk about that
[00:30:03.200 --> 00:30:09.280]   We're done with mobile world right anything else to talk about just a did your correspondence touch the uh, how way he
[00:30:09.280 --> 00:30:11.280]   way
[00:30:11.280 --> 00:30:19.040]   Wow sapphire display first it's an android wear watch though, right? So yeah functionality
[00:30:19.040 --> 00:30:23.520]   It's got to be the same here's cnets video of it. It's nice. Look watch though pretty
[00:30:23.520 --> 00:30:27.600]   Do they say a price? Yeah, it's not a premier. Am I getting an ad?
[00:30:27.600 --> 00:30:33.920]   Very appropriate. I'm gonna add it's 1.4 inch circular display 400 by 400 resolution, which is higher actually good
[00:30:33.920 --> 00:30:36.800]   Yeah, that's higher than most you it's a little bit small like an ad
[00:30:37.200 --> 00:30:42.640]   Uh snap dragon 512 megs of ram four gigs of internal storage heart rate sensor
[00:30:42.640 --> 00:30:46.400]   No flat tire no flat tire round is great
[00:30:46.400 --> 00:30:50.880]   Yeah, round is great. There's not gonna be a lot of room on my wrist because the apple watch is coming
[00:30:50.880 --> 00:30:56.720]   They're gonna announce it on monday and ship it in uh, yeah two risk ankle. Yeah, I do have two risks
[00:30:56.720 --> 00:30:59.680]   But i'm already wearing a moto 360
[00:30:59.680 --> 00:31:02.080]   So here's cnets now that we've gone through the ad
[00:31:02.960 --> 00:31:04.960]   cnets first look here
[00:31:04.960 --> 00:31:08.720]   Scott stein is yeah, so no no flat tire
[00:31:08.720 --> 00:31:11.680]   You know the problem with android wear is every is
[00:31:11.680 --> 00:31:15.120]   The outside may be different the insides always the same right?
[00:31:15.120 --> 00:31:20.560]   But that I guess that's not necessarily a problem in case you know what you're getting sapphire crystal on the screen
[00:31:20.560 --> 00:31:26.560]   I think is is a good move already on my moto x i'm getting these little scratches because it turns out when you're walking and stuff
[00:31:26.560 --> 00:31:29.360]   As clumsy as I am you run into things
[00:31:29.920 --> 00:31:33.840]   Yeah, I don't see any scratches on my I don't either yet. No, I'm one to dispatch
[00:31:33.840 --> 00:31:38.080]   Yeah, I think they're definitely going for a little bit of the higher end. Yeah, look at the band
[00:31:38.080 --> 00:31:41.280]   It's got a million a's. I think that's very smart of them to go for a hey look
[00:31:41.280 --> 00:31:46.000]   Watch is typically a higher end purchase for most people. So let's go ahead and incorporate some higher end features
[00:31:46.000 --> 00:31:51.040]   A little bit smaller. So it may it's still really thick but a little bit smaller. So it may appeal to
[00:31:51.040 --> 00:31:53.360]   um
[00:31:53.360 --> 00:31:58.480]   Women more than than the huge moto right watch. So I mean I think it's um
[00:31:58.880 --> 00:32:04.320]   It looks fantastic to me. I'm I'm really seriously looking at this as a potential potential watch to buy
[00:32:04.320 --> 00:32:10.000]   So bummed that the apple watches is iOS only because it is have to switch back to iPhone
[00:32:10.000 --> 00:32:15.040]   And I've really become fond of android. We have one of the stories that that
[00:32:15.040 --> 00:32:17.280]   uh
[00:32:17.280 --> 00:32:22.480]   It's the opposite problem though if your ios o s that you can use android google is going to
[00:32:22.480 --> 00:32:28.000]   Supposedly make it make an app so you can use android wear with your ios phone. You want the opposite
[00:32:28.400 --> 00:32:33.200]   Right you want to hold on your android phone and have an apple watch, which I think makes sense too
[00:32:33.200 --> 00:32:38.640]   Well, you know the one watch that serves them all is pebble
[00:32:38.640 --> 00:32:44.560]   Yeah, and they made some big announcements including they are now the most successful kickstarter camp
[00:32:44.560 --> 00:32:50.480]   You went back to the well and they got what 15 million so far for the color
[00:32:50.480 --> 00:32:57.920]   Uh pebble all these things we saw and uh, uh, mana pomber is at 13 granda song on um patreon
[00:32:58.560 --> 00:33:00.000]   Shh
[00:33:00.000 --> 00:33:02.000]   It's a crowd sourced. We're old
[00:33:02.000 --> 00:33:08.320]   For now, let's take a break. We'll come back with more mr. Jeff Jarvis is here. Aaron nukem. We're talking twig
[00:33:08.320 --> 00:33:11.280]   Let's uh, we're done with the mobile world congress
[00:33:11.280 --> 00:33:17.280]   But the gdc is very exciting. We'll talk about that and uh, a little show and tell with mr. Nukem
[00:33:17.280 --> 00:33:19.360]   That's gonna be fun
[00:33:19.360 --> 00:33:24.000]   Our show today brought to you by legal zoom.com not a law firm. We hasten to add
[00:33:24.720 --> 00:33:29.760]   Better than a law firm. They can connect you with an independent attorney if you want but most of what you can do
[00:33:29.760 --> 00:33:32.320]   You can do yourself at legal zoom.com
[00:33:32.320 --> 00:33:38.240]   They've built a system where you can fill out the forms do the legal work you need at a much
[00:33:38.240 --> 00:33:40.880]   Much lower price than you would if you were
[00:33:40.880 --> 00:33:46.960]   Hiring an attorney to do it for you if you're thinking about starting a business now's there's never been a better time. I think
[00:33:46.960 --> 00:33:50.640]   In fact, this is national start your business month at legal zoom.com
[00:33:51.280 --> 00:33:54.640]   Legal zoom gives you everything you need the support you need for more than 10 years
[00:33:54.640 --> 00:33:57.840]   They've helped a million business owners just like you just like me
[00:33:57.840 --> 00:34:05.920]   Our llc is we're still 10 years later using that llc that cost me it was even less than it's 149 bucks and up now
[00:34:05.920 --> 00:34:09.280]   I think I paid 16. I can't remember what I paid 69 bucks. I think
[00:34:09.280 --> 00:34:13.280]   If you need advice for your business, no problem legal zoom isn't a law firm
[00:34:13.280 --> 00:34:19.120]   But they built a network of trusted attorneys that can give you the guidance you need for your specific situation
[00:34:19.680 --> 00:34:21.680]   at a low fixed rate
[00:34:21.680 --> 00:34:29.120]   and during national start your business month legal zoom is offering an attorney consultation for just 50 bucks that's all that's
[00:34:29.120 --> 00:34:30.880]   You can
[00:34:30.880 --> 00:34:33.520]   Yeah, I can't get attorney to tie my shoe for 50 bucks
[00:34:33.520 --> 00:34:36.720]   If you're unsure about the best way to start if you already run a business and you need some advice
[00:34:36.720 --> 00:34:43.600]   This is a great deal 50 bucks during national start your business month at legal zoom.com
[00:34:43.600 --> 00:34:49.600]   Go to legal zoom.com to find out more attorney consultations are provided by independent attorneys available in most states
[00:34:50.560 --> 00:34:56.160]   And of course, you can always see the attorney's profile and unedited reviews typically attorney. That's right for you
[00:34:56.160 --> 00:35:01.360]   Get the legal help you need for your business at legal zoom.com out of the offer code twig in the referral box
[00:35:01.360 --> 00:35:04.480]   to save even more legal zoom.com
[00:35:04.480 --> 00:35:07.440]   offer code twig
[00:35:07.440 --> 00:35:12.000]   Legal help is here for your will your test last will and testament your trusts
[00:35:12.000 --> 00:35:15.600]   Your durable power of medical attorney all of that
[00:35:16.240 --> 00:35:22.480]   Of course business stuff like trademarks patents and corporations legal zoom.com, but do use the offer code twig to save
[00:35:22.480 --> 00:35:27.040]   So what did you bring us erin nukem? What did you bring us here? This is a uh, well?
[00:35:27.040 --> 00:35:32.320]   Shield this is this is my shield tablets and now this was the tablet to get
[00:35:32.320 --> 00:35:35.200]   um
[00:35:35.200 --> 00:35:39.680]   Uh for the last few months because it has the uh, Nvidia tegric k1 chip in that's right
[00:35:39.680 --> 00:35:43.440]   That's right and it is a fantastic fantastic tablet. I recommend it for anyone
[00:35:43.440 --> 00:35:49.280]   But especially if you want to play games and uh, Nvidia is really uh raising the bar when it comes to games
[00:35:49.280 --> 00:35:54.560]   Uh because they've added this service called grid games. I don't know if you talked about it like steam
[00:35:54.560 --> 00:35:59.440]   These are online. So so you've been able for a while to stream games from your home pc
[00:35:59.440 --> 00:36:05.840]   Right like on live kind of this is like on live so you can actually stream games over the internet
[00:36:05.840 --> 00:36:08.320]   So even though the shield is actually pretty hefty
[00:36:09.040 --> 00:36:13.520]   Device it's still only an arm processor. It's not it's not as you know hardcore as your pc
[00:36:13.520 --> 00:36:15.920]   So the server renders the gaming
[00:36:15.920 --> 00:36:20.480]   Uh off site and then streams it to you exactly exactly that's the way it works
[00:36:20.480 --> 00:36:23.520]   And we can try to load this up as we're talking about it, but I mean this is kind of
[00:36:23.520 --> 00:36:26.800]   This could be a disruptor especially with a company like
[00:36:26.800 --> 00:36:30.400]   Nvidia behind it, right? It's not a startup people know what this is
[00:36:30.400 --> 00:36:38.320]   Um, they're familiar with the Nvidia brand. So which is it the the shield tablet or the grid games the grid games right now are in beta
[00:36:38.720 --> 00:36:42.560]   So i'm sure these things will be relatively cheap right like 10 bucks a month or something
[00:36:42.560 --> 00:36:47.280]   I mean they haven't really announced pricing, but if you if you have a shield tablet, you can actually
[00:36:47.280 --> 00:36:54.320]   Um try this out right now. I'm going to launch trying to what's really cool about this is it analyzes your network
[00:36:54.320 --> 00:36:58.480]   Um and it takes a look at wifi all the way out to the internet and says
[00:36:58.480 --> 00:37:03.280]   Um, you know, is it working or not? Now I know that we've had a little bit of issues
[00:37:03.280 --> 00:37:05.920]   At the breakouts
[00:37:05.920 --> 00:37:11.120]   It's not good not so you do have to have enough bandwidth and low latency to play a game because it's
[00:37:11.120 --> 00:37:16.000]   It's coming streaming in effect from the internet. Yeah, we can try to that's all right. We can try to
[00:37:16.000 --> 00:37:21.760]   We can connect and see but yeah, so that all it is is it streams and then this plays local games pretty well, too
[00:37:21.760 --> 00:37:25.360]   Right. I mean that's the point of this. Oh, absolutely it plays local local games great
[00:37:25.360 --> 00:37:29.600]   Um, and i've actually used it to play to do the streaming from my pc
[00:37:29.600 --> 00:37:32.400]   And what I do is I bring the tablet out to the living room
[00:37:32.800 --> 00:37:35.920]   Plug it in because it's got hdmi out. I plug it into the tv in the living room
[00:37:35.920 --> 00:37:41.600]   So instead of having some having to connect from the living room back over to the to to my study where my games are running
[00:37:41.600 --> 00:37:43.840]   Um, I can just bring my tablet in there. That's cool
[00:37:43.840 --> 00:37:47.440]   And then I pull in my controller and then you're just it's like you're really gaming
[00:37:47.440 --> 00:37:51.360]   Yeah, you go pulling your controller and then you're just you know, you're playing away. Wow
[00:37:51.360 --> 00:37:52.400]   Um
[00:37:52.400 --> 00:37:57.760]   And the controller is really built really well. We've done reviews on this book. So shield it turns out is not just this device
[00:37:57.760 --> 00:38:02.320]   It's a name for products from invidia. They're gonna have a whole line. Yeah, yeah
[00:38:02.480 --> 00:38:09.280]   they announced the uh, the shield tv, which is a 200 dollar android tv set top box
[00:38:09.280 --> 00:38:12.160]   Um, they announced it at gdc
[00:38:12.160 --> 00:38:20.480]   They called it a combination of a revolutionary tv gaming console and supercomputer. Okay. That's not overselling it too much
[00:38:20.480 --> 00:38:26.000]   But the streaming games, I think are a big part of that right so you'll be able to do the same thing that you're doing the same thing
[00:38:26.000 --> 00:38:30.480]   With that device that device looks really really nice actually. I mean i'm so i'm
[00:38:31.200 --> 00:38:33.840]   More and more i'm disappointed with my nexus player. I know
[00:38:33.840 --> 00:38:38.720]   You know people people typically don't like it. I've been using it. We still use it every day
[00:38:38.720 --> 00:38:40.720]   But basically only to do netflix
[00:38:40.720 --> 00:38:43.680]   Um because it's really unreliable it disconnects from wifi
[00:38:43.680 --> 00:38:46.560]   I think having a solid device like this that you can hook up to your tv
[00:38:46.560 --> 00:38:50.800]   Stream games either from your pc or from the gaming service
[00:38:50.800 --> 00:38:58.640]   Uh the grid gaming service. I mean, I think it's really tremendous and then i'm also you know excited because since I own the the controller
[00:38:59.200 --> 00:39:01.200]   You know, I can just use the controller
[00:39:01.200 --> 00:39:05.360]   Um to run the games. I don't have to get anything else. So it's they're building an ecosystem
[00:39:05.360 --> 00:39:08.400]   Um, and I think free grid subscription
[00:39:08.400 --> 00:39:11.360]   Where you can rent games or like games, right?
[00:39:11.360 --> 00:39:16.000]   And then there's a paid one that's the all you can play version. Yep, do either
[00:39:16.000 --> 00:39:19.280]   You can do either one stream is 1080p 60 frames a second
[00:39:19.280 --> 00:39:25.200]   That's interesting and the tv device is supposed to be able to stream 4k to your to your 4k tv
[00:39:25.440 --> 00:39:29.760]   Now it is more expensive than a lot of it's $200, but that's still cheap
[00:39:29.760 --> 00:39:33.840]   Right. It's more expensive than a steam box. Exactly. That's what I was just going to say. It's cheaper than a pc
[00:39:33.840 --> 00:39:36.560]   It's cheaper than a concert. Yeah, it's three or an xbox one exactly
[00:39:36.560 --> 00:39:40.480]   So and it's supposed to be more powerful than an xbox 360 for example
[00:39:40.480 --> 00:39:43.280]   Um in terms of because they're using I believe the x1
[00:39:43.280 --> 00:39:51.840]   Uh chip the new chip. This is the new tegra the new tegra. It will even be faster. That's a 64 bit chip. Yeah. Yeah, it's nice to see in vidia
[00:39:52.880 --> 00:39:57.280]   Capitalizing a little bit on their chip technology that they've worked so hard on for all these years
[00:39:57.280 --> 00:40:01.840]   Building the graphics cards and everything. It's really nice to see them coming around and saying hey look, you know
[00:40:01.840 --> 00:40:08.800]   We can build devices that can compete based on our and in the chip really is the thing that makes the difference between this and other boxes
[00:40:08.800 --> 00:40:10.880]   So look for that in may
[00:40:10.880 --> 00:40:15.440]   The grid service will probably launch at the same time. It's in beta right now
[00:40:15.440 --> 00:40:18.240]   Um
[00:40:18.240 --> 00:40:21.840]   Good news. I think that's that's pretty cool. What else is going on at gdc
[00:40:22.720 --> 00:40:30.000]   Um google has launched player analytics and custom native ads for great. Yeah, just what we want game developers
[00:40:30.000 --> 00:40:35.760]   You know, they're gonna monetize us everywhere and here's something called nearby connections
[00:40:35.760 --> 00:40:40.560]   This is exciting. This is a feature that turns phones and tablets into a controller for your
[00:40:40.560 --> 00:40:43.280]   Android tv game
[00:40:43.280 --> 00:40:49.200]   Protocol will be in an update to google play service. They're gonna highlight beach buggy racing
[00:40:50.960 --> 00:40:55.360]   There they are beach buggy right there all using basically their
[00:40:55.360 --> 00:40:59.200]   Looks like their devices as controllers for looks like a wee you
[00:40:59.200 --> 00:41:02.800]   And they looks like almost like they're playing mario car
[00:41:02.800 --> 00:41:06.880]   I was just this is what you want to do with your wife, right is be able to play games together
[00:41:06.880 --> 00:41:08.880]   I want to play games with my wife. Yeah, no lisa
[00:41:08.880 --> 00:41:10.480]   um
[00:41:10.480 --> 00:41:13.840]   Because you know both her son and I are gamers
[00:41:13.840 --> 00:41:18.160]   And I have an xbox one. He has every game device known a man
[00:41:18.640 --> 00:41:22.080]   They play a lot of games and she feels left out. She says I want to play games
[00:41:22.080 --> 00:41:25.840]   And I we yeah, I was mentioning this on windows weekly there
[00:41:25.840 --> 00:41:30.400]   I couldn't find any really good cooperative games call of duty style games for the xbox one
[00:41:30.400 --> 00:41:35.440]   But the nintendo is loaded with them. So we got a wee you and we're doing and that looks so much like mario car
[00:41:35.440 --> 00:41:37.520]   It's fun. Yeah, it's a great game by the way
[00:41:37.520 --> 00:41:42.160]   Card eight no no. Sorry beach buggy race. Oh, which is what they're playing on the android tv
[00:41:42.160 --> 00:41:46.000]   And the funny thing is the wee you basically is a kind of clunky tablet
[00:41:46.640 --> 00:41:51.920]   Yeah, uh along with a wee and this is why i have a clunky tablet. You've already got an android device
[00:41:51.920 --> 00:41:57.040]   Right use that exactly and that's great. Yeah, I think it's I think it's awesome
[00:41:57.040 --> 00:42:01.280]   I mean they're really capitalizing on the fact that the ubiquity of android phones and devices
[00:42:01.280 --> 00:42:07.520]   and doing something a little bit different with them and um, you know, I don't personally like to use my phone as a controller
[00:42:07.520 --> 00:42:09.360]   I've done it before
[00:42:09.360 --> 00:42:14.800]   With other things I don't but it's there and and not just the controller aspect, but if you look at um
[00:42:15.520 --> 00:42:18.560]   Just dance for example with their integration with chromecast
[00:42:18.560 --> 00:42:23.360]   Um, you know everyone can just if they've got an android phone they can pull it out load up the app and they can all participate
[00:42:23.360 --> 00:42:25.760]   On the chromecast connected to your tv
[00:42:25.760 --> 00:42:31.200]   Um, and I see this taking this just a step further and I think it's I think it's great. It's bringing a wee like experience
[00:42:31.200 --> 00:42:37.280]   Uh into the living room without having to buy the the console and get get sucked in so to speak into the
[00:42:37.280 --> 00:42:44.080]   Into the uh nintendo verse or the the microsoft verse or the sony verse depending on what console you you choose
[00:42:44.160 --> 00:42:46.480]   So now I want to know where I can get an android tv
[00:42:46.480 --> 00:42:50.880]   Is it in the tv sets or people putting in their tv sets?
[00:42:50.880 --> 00:42:53.520]   No, I mean you could get an exes player that has it
[00:42:53.520 --> 00:43:00.720]   Exes is android tv. Exes player is android tv. Um, this and sony the video of device that we just talked about that sharp
[00:43:00.720 --> 00:43:02.880]   Others are making those
[00:43:02.880 --> 00:43:03.760]   Nice
[00:43:03.760 --> 00:43:05.760]   Uh, here's the nexus
[00:43:05.760 --> 00:43:09.440]   So, uh, maybe I should get this that's that's an android tv device that will
[00:43:09.440 --> 00:43:12.880]   when is this come uh that I can play games and
[00:43:13.840 --> 00:43:15.840]   Do all that stuff
[00:43:15.840 --> 00:43:18.000]   The update that they're talking about
[00:43:18.000 --> 00:43:22.640]   Yeah, oh, uh, well you can get the next player. Yeah, you can get the next part
[00:43:22.640 --> 00:43:26.640]   I'm able to do all this gaming stuff. This is my I want to play uh
[00:43:26.640 --> 00:43:32.720]   Available in an upcoming update to me. I play serf. We don't know. Yeah, it says uh, it's available in limited beta
[00:43:32.720 --> 00:43:36.000]   Huh
[00:43:36.000 --> 00:43:39.200]   But allows select partners like a target display. Oh, that's the ad thing
[00:43:39.280 --> 00:43:43.520]   So soon but leo especially because what you're talking about is doing gaming
[00:43:43.520 --> 00:43:48.640]   I probably wouldn't recommend you get the nexus players. It's not enough juice get that maybe get this invidious
[00:43:48.640 --> 00:43:56.160]   It's a little underpowered and even worse. It has eight gigs of storage which after system stuff leaves you with basically five
