;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[00:29:38.680 --> 00:29:40.960]   going to be constantly be afraid that you're going to get some stuff wrong.
[00:29:40.960 --> 00:29:42.440]   We're going to find your asses.
[00:29:42.440 --> 00:29:43.920]   And by the way-
[00:29:43.920 --> 00:29:46.280]   Yeah, because they'll filter everything.
[00:29:46.280 --> 00:29:47.280]   Exactly.
[00:29:47.280 --> 00:29:50.160]   You know, even after the net state gay in Germany, the German government said, oh, they're
[00:29:50.160 --> 00:29:51.480]   taking down too much.
[00:29:51.480 --> 00:29:52.720]   Well, why?
[00:29:52.720 --> 00:29:54.720]   Because they are under a huge liability.
[00:29:54.720 --> 00:30:00.000]   It really is actually almost literally a Hobbesian dilemma.
[00:30:00.000 --> 00:30:01.000]   Yeah.
[00:30:01.000 --> 00:30:07.040]   The Hobbes- this Hobbes choice came from Thomas Hobbes belief that a man must choose between
[00:30:07.040 --> 00:30:11.680]   living in a state of nature, a life which is solitary, poor, nasty, brutish, and short,
[00:30:11.680 --> 00:30:14.200]   or suffering under an arbitrary and absolute government.
[00:30:14.200 --> 00:30:15.600]   Sounds about right.
[00:30:15.600 --> 00:30:18.680]   It's literally a Hobbesian dilemma.
[00:30:18.680 --> 00:30:19.680]   Yeah.
[00:30:19.680 --> 00:30:21.680]   I thought you meant Calvin and Hobbes.
[00:30:21.680 --> 00:30:23.480]   Well, then too.
[00:30:23.480 --> 00:30:30.520]   But honestly, I don't think this is basically there is no choice because there's both
[00:30:30.520 --> 00:30:33.120]   alternatives are terrible.
[00:30:33.120 --> 00:30:34.120]   We've seen government.
[00:30:34.120 --> 00:30:35.520]   We've seen regulation at work.
[00:30:35.520 --> 00:30:37.240]   We've seen governments that is getting working.
[00:30:37.240 --> 00:30:38.880]   That's not working.
[00:30:38.880 --> 00:30:42.720]   And yet we've seen it unregulated internet and that's not working.
[00:30:42.720 --> 00:30:48.160]   I think there's a real risk that countries like China and even Russia are effectively
[00:30:48.160 --> 00:30:49.400]   building their own internet.
[00:30:49.400 --> 00:30:51.440]   Well, we've talked about splinter nets as well.
[00:30:51.440 --> 00:30:52.880]   It won't even be part of it.
[00:30:52.880 --> 00:30:55.520]   The only question is how splinter it will be.
[00:30:55.520 --> 00:30:58.920]   There was a piece arguing that we have four or five internets already.
[00:30:58.920 --> 00:30:59.920]   Yes.
[00:30:59.920 --> 00:31:02.520]   In the authoritarian internet of Silicon Valley, there's the commercial internet of the rest
[00:31:02.520 --> 00:31:03.520]   of America.
[00:31:03.520 --> 00:31:07.640]   There's the bourgeois internet of Europe where they want us to behave.
[00:31:07.640 --> 00:31:10.440]   There's the authoritarian internet of China and Iran.
[00:31:10.440 --> 00:31:15.280]   And there's the misinformation internet of Russia and North Korea.
[00:31:15.280 --> 00:31:21.000]   And I should point out that with each of the 50 states now enforcing their own privacy
[00:31:21.000 --> 00:31:26.880]   and that neutrality laws, there may be an internet for every state in the union.
[00:31:26.880 --> 00:31:31.200]   So that and clearly that's not.
[00:31:31.200 --> 00:31:35.440]   So we're going to have passports to go from one website to another.
[00:31:35.440 --> 00:31:37.000]   Yeah, you know what?
[00:31:37.000 --> 00:31:40.200]   That's actually technically achievable.
[00:31:40.200 --> 00:31:45.000]   Of course, that'll really improve the VPN market.
[00:31:45.000 --> 00:31:50.800]   But we can enforce location blocking.
[00:31:50.800 --> 00:31:56.280]   And I recently, you can only watch this show if you live in California, Texas and Florida.
[00:31:56.280 --> 00:31:58.920]   Where does the internet resistance look like them?
[00:31:58.920 --> 00:31:59.920]   Yeah.
[00:31:59.920 --> 00:32:04.800]   Well, and this is funny because this is a conversation that goes way back to the earliest days of
[00:32:04.800 --> 00:32:05.800]   the internet.
[00:32:05.800 --> 00:32:09.920]   And I participated to some degree in this.
[00:32:09.920 --> 00:32:14.440]   I really encourage people to get hacking skills because I always felt a corporate internet
[00:32:14.440 --> 00:32:18.720]   was going to eventually take over and that the only way to save the internet would be
[00:32:18.720 --> 00:32:26.240]   have a secret net, a dark net that was inhabited by people with the technical skills to go
[00:32:26.240 --> 00:32:28.160]   to create it and live in it.
[00:32:28.160 --> 00:32:30.360]   And I bet that's exactly what'll happen.
[00:32:30.360 --> 00:32:35.160]   I think that's what the indie web and people like that are trying to do is give people the
[00:32:35.160 --> 00:32:38.600]   tools to connect themselves instead of.
[00:32:38.600 --> 00:32:44.840]   Well, certainly they don't want siloed corporate, Twitter, social networks and so forth.
[00:32:44.840 --> 00:32:49.240]   But they still want to live in the public and in the open.
[00:32:49.240 --> 00:32:53.280]   But I think ultimately that's not even going to be possible because of government regulation
[00:32:53.280 --> 00:32:54.280]   and things like that.
[00:32:54.280 --> 00:32:59.800]   Well, and there's actually been a big trend already to people sort of looking for private
[00:32:59.800 --> 00:33:03.800]   places to gather private Facebook groups, you know, WhatsApp groups.
[00:33:03.800 --> 00:33:04.800]   Okay.
[00:33:04.800 --> 00:33:07.000]   By the way, that's an oxymoron, a private Facebook group.
[00:33:07.000 --> 00:33:10.800]   We know that now and we're going to talk about that in a second.
[00:33:10.800 --> 00:33:11.800]   There is a lot to talk about.
[00:33:11.800 --> 00:33:13.840]   I realize now today.
[00:33:13.840 --> 00:33:14.840]   Yep.
[00:33:14.840 --> 00:33:15.840]   All right.
[00:33:15.840 --> 00:33:18.240]   Let's take a break.
[00:33:18.240 --> 00:33:19.400]   Matthew Ingram is here.
[00:33:19.400 --> 00:33:25.440]   He is a digital writer, the chief digital writer at the Columbia journalism review, CJR.org
[00:33:25.440 --> 00:33:28.480]   and always a welcome guest.
[00:33:28.480 --> 00:33:30.240]   You were at Globe and Mail writer where you at the star.
[00:33:30.240 --> 00:33:31.440]   You were at the Globe and Mail.
[00:33:31.440 --> 00:33:32.440]   I was at the Globe, yeah.
[00:33:32.440 --> 00:33:33.440]   Many years ago.
[00:33:33.440 --> 00:33:37.640]   Many years ago, you probably saw him on giga home and fortune.
[00:33:37.640 --> 00:33:41.240]   Now CJR Jeff Jarvis, as I've already mentioned.
[00:33:41.240 --> 00:33:44.760]   Actually, I should read your other title.
[00:33:44.760 --> 00:33:48.160]   Sir Jeff Jarvis, defender of the faith.
[00:33:48.160 --> 00:33:49.320]   Order of the British Empire.
[00:33:49.320 --> 00:33:51.640]   No, no, that's the wrong one.
[00:33:51.640 --> 00:33:52.640]   There he is.
[00:33:52.640 --> 00:33:53.640]   There it is.
[00:33:53.640 --> 00:33:54.640]   Of journalism at CUNY.
[00:33:54.640 --> 00:33:56.240]   How about the shirt version?
[00:33:56.240 --> 00:34:00.640]   By the way, you guys at CUNY and I saw Sarah's tweet.
[00:34:00.640 --> 00:34:02.160]   That was great.
[00:34:02.160 --> 00:34:03.800]   Your Dean's tweet.
[00:34:03.800 --> 00:34:07.320]   Did I, Carson, did I bookmark that somewhere?
[00:34:07.320 --> 00:34:08.320]   I feel inadequate.
[00:34:08.320 --> 00:34:10.760]   My description is nowhere near as long.
[00:34:10.760 --> 00:34:11.760]   I know you should work on it.
[00:34:11.760 --> 00:34:15.040]   There's Sarah Bartlett, the dean of CUNY, the new Mark's School.
[00:34:15.040 --> 00:34:16.040]   It was been on the show.
[00:34:16.040 --> 00:34:18.280]   Scroll down a little bit though, Carson, because the most important part of that tweet
[00:34:18.280 --> 00:34:23.360]   is her pocket protector, which is in fact a truth protector.
[00:34:23.360 --> 00:34:29.640]   This was our tribute to our benefactor and namesake Craig Newmark.
[00:34:29.640 --> 00:34:31.320]   Is he a truth protector?
[00:34:31.320 --> 00:34:33.440]   He also wants pocket protectors.
[00:34:33.440 --> 00:34:34.440]   Oh, did he?
[00:34:34.440 --> 00:34:35.440]   Yeah.
[00:34:35.440 --> 00:34:37.840]   Does he still wear pocket protectors?
[00:34:37.840 --> 00:34:39.280]   No, he doesn't know.
[00:34:39.280 --> 00:34:40.280]   Not anymore.
[00:34:40.280 --> 00:34:43.720]   I had a tech guy pocket protector I used to give out for years.
[00:34:43.720 --> 00:34:46.560]   And before that, we had a ZD in that pocket protector.
[00:34:46.560 --> 00:34:48.520]   But I like to live dangerously.
[00:34:48.520 --> 00:34:51.280]   I have a fountain pen in an unprotected pocket.
[00:34:51.280 --> 00:34:52.280]   It's fair.
[00:34:52.280 --> 00:34:53.280]   It's a pen.
[00:34:53.280 --> 00:34:55.200]   The pen is worth more than a shirt.
[00:34:55.200 --> 00:34:59.080]   Yeah, that's my point of saying the wild side there.
[00:34:59.080 --> 00:35:03.080]   I'm sure.
[00:35:03.080 --> 00:35:07.640]   One thing that pocket protector and the pen cannot do, the pen may be mightier than the
[00:35:07.640 --> 00:35:12.000]   sword, but the pen is not mightier than grammarly.
[00:35:12.000 --> 00:35:17.560]   And I have to say, while I like writing with a pen, my writing is more coherent and certainly
[00:35:17.560 --> 00:35:21.240]   more grammatical when I do it on a computer because of grammarly.
[00:35:21.240 --> 00:35:25.840]   Grammarly is a communication tool that helps people improve their writing to be mistake-free,
[00:35:25.840 --> 00:35:27.400]   clear, and effective.
[00:35:27.400 --> 00:35:31.480]   The thing I find fascinating is the biggest proponents of grammarly are the best writers
[00:35:31.480 --> 00:35:33.400]   I know.
[00:35:33.400 --> 00:35:35.360]   Paul Therat wouldn't write a word without grammarly.
[00:35:35.360 --> 00:35:37.160]   Not because he doesn't know grammar or the spelling.
[00:35:37.160 --> 00:35:38.840]   He's very good at that.
[00:35:38.840 --> 00:35:43.520]   But grammarly does more than just, it's more than a nanny correcting you.
[00:35:43.520 --> 00:35:48.400]   It's a writing assistant that helps you improve your communication, whether it's at school
[00:35:48.400 --> 00:35:52.520]   at work on your website, almost anywhere.
[00:35:52.520 --> 00:35:55.440]   Show your best self through writing.
[00:35:55.440 --> 00:35:58.440]   And by the way, grammarly is available everywhere you write, including online.
[00:35:58.440 --> 00:35:59.760]   There's an online browser extension.
[00:35:59.760 --> 00:36:01.360]   There's a desktop editor.
[00:36:01.360 --> 00:36:05.120]   Even on mobile, there's a mobile keyboard and keyboard checker.
[00:36:05.120 --> 00:36:11.320]   Grammarly comes on Chrome, Firefox, Safari, and Edge on iOS, Android, Windows, and Mac.
[00:36:11.320 --> 00:36:13.800]   They do have a free product, which you should certainly try.
[00:36:13.800 --> 00:36:15.800]   It reviews critical spelling and grammar.
[00:36:15.800 --> 00:36:17.680]   But grammarly premium is so much more.
[00:36:17.680 --> 00:36:19.720]   And that's what I really want you to look at.
[00:36:19.720 --> 00:36:25.080]   It watches spelling and grammar, but it also has advanced punctuation structure.
[00:36:25.080 --> 00:36:28.920]   This is the key stuff, style within context.
[00:36:28.920 --> 00:36:32.600]   So it understands whether you're writing a business proposal or an academic essay or
[00:36:32.600 --> 00:36:39.440]   a casual blog post, not only understands the context, it suggests the appropriate style.
[00:36:39.440 --> 00:36:40.440]   It bluffs me away.
[00:36:40.440 --> 00:36:46.600]   Lisa, who is a good business person, runs our company, tends to be, she's fascist a
[00:36:46.600 --> 00:36:47.600]   lot to do.
[00:36:47.600 --> 00:36:50.200]   So she tends to write short emails.
[00:36:50.200 --> 00:36:53.400]   And everyone's a while, Grammarly said, you know, you could not be a little nicer.
[00:36:53.400 --> 00:36:57.840]   In effect, I think it says, try softening this phrase with this.
[00:36:57.840 --> 00:36:59.640]   You know, you could be a little nicer.
[00:36:59.640 --> 00:37:02.760]   And if I said that she'd bite my head off, but if Grammarly says it, she says, oh, that's
[00:37:02.760 --> 00:37:05.120]   a good point and we'll use it.
[00:37:05.120 --> 00:37:06.120]   It works.
[00:37:06.120 --> 00:37:07.120]   It helps you be more concise.
[00:37:07.120 --> 00:37:08.680]   It'll actually grade readability.
[00:37:08.680 --> 00:37:12.520]   So you can say, you know, I'm writing this for a mass audience.
[00:37:12.520 --> 00:37:14.720]   I want to make this more unintelligible.
[00:37:14.720 --> 00:37:16.680]   I'm writing this for a college essay.
[00:37:16.680 --> 00:37:20.040]   I can, I can use those big words.
[00:37:20.040 --> 00:37:23.800]   It actually does make vocabulary suggestions as well.
[00:37:23.800 --> 00:37:25.720]   No more email typos on the phone.
[00:37:25.720 --> 00:37:26.720]   Imagine that.
[00:37:26.720 --> 00:37:32.240]   Close more deals with work because your emails are more concise, precise.
[00:37:32.240 --> 00:37:34.080]   They say what you want them to say.
[00:37:34.080 --> 00:37:35.080]   Polish your resume.
[00:37:35.080 --> 00:37:36.080]   Get that new job.
[00:37:36.080 --> 00:37:41.480]   And I love the weekly Grammarly email I get, which always makes me feel pretty good saying,
[00:37:41.480 --> 00:37:45.800]   you know, I used more big words and 90% of their other customers and things like that.
[00:37:45.800 --> 00:37:48.160]   It's just fun.
[00:37:48.160 --> 00:37:49.760]   You will love Grammarly Premium.
[00:37:49.760 --> 00:37:50.760]   So here's the deal.
[00:37:50.760 --> 00:37:53.520]   20% off right now in the Grammarly Premium account.
[00:37:53.520 --> 00:37:56.480]   If you go to grammarly.com/twig.
[00:37:56.480 --> 00:37:58.360]   Do I have to spell Grammarly for you?
[00:37:58.360 --> 00:37:59.360]   Probably.
[00:37:59.360 --> 00:38:01.360]   G-R-A-M-M-A-R-L-Y.
[00:38:01.360 --> 00:38:03.360]   There's no E in grammar.
[00:38:03.360 --> 00:38:06.360]   Grammarly.com/twig.
[00:38:06.360 --> 00:38:09.840]   For 20% off your premium account.
[00:38:09.840 --> 00:38:13.200]   By the way, we thank Grammarly for their support of this week in Google.
[00:38:13.200 --> 00:38:21.160]   And we thank you for supporting us by using that URL, Grammarly.com/twig.
[00:38:21.160 --> 00:38:22.520]   I want a truth protector.
[00:38:22.520 --> 00:38:23.520]   I love that.
[00:38:23.520 --> 00:38:25.920]   But I'm not a, I'm not a general student.
[00:38:25.920 --> 00:38:30.960]   So I have, I still have my CUNY hoodie, my town, school hoodie.
[00:38:30.960 --> 00:38:31.960]   I love that thing.
[00:38:31.960 --> 00:38:34.000]   Well, we have to replace that because now we have to have a new mark.
[00:38:34.000 --> 00:38:35.840]   Oh, I should say new mark on it.
[00:38:35.840 --> 00:38:36.840]   Yes.
[00:38:36.840 --> 00:38:37.840]   It does.
[00:38:37.840 --> 00:38:38.840]   We do have those now, yes.
[00:38:38.840 --> 00:38:39.840]   Craig is a sweet guy.
[00:38:39.840 --> 00:38:43.320]   We were talking about him before the show.
[00:38:43.320 --> 00:38:48.280]   He's like, he has the most, he's like the most successful unicorn in Silicon Valley.
[00:38:48.280 --> 00:38:52.960]   They made a billion dollars last year with 80% profit.
[00:38:52.960 --> 00:38:53.960]   No way knows what they make.
[00:38:53.960 --> 00:38:54.960]   But they just as well.
[00:38:54.960 --> 00:38:55.960]   Yes, it's a lot.
[00:38:55.960 --> 00:38:56.960]   50 employees.
[00:38:56.960 --> 00:38:57.960]   50 employees.
[00:38:57.960 --> 00:38:58.960]   Yeah.
[00:38:58.960 --> 00:38:59.960]   And he is very humble.
[00:38:59.960 --> 00:39:00.960]   And he's a sweet guy.
[00:39:00.960 --> 00:39:01.960]   Very humble.
[00:39:01.960 --> 00:39:02.960]   Yeah.
[00:39:02.960 --> 00:39:03.960]   He is amazing.
[00:39:03.960 --> 00:39:06.200]   You know, I hear that you had gelato with him in Perugia.
[00:39:06.200 --> 00:39:07.200]   I did.
[00:39:07.200 --> 00:39:08.200]   It's really.
[00:39:08.200 --> 00:39:10.280]   Where did you hear that from, Leo?
[00:39:10.280 --> 00:39:13.560]   I paid for my own gelato just to be clear.
[00:39:13.560 --> 00:39:15.280]   No, I would make him pay.
[00:39:15.280 --> 00:39:16.760]   He can afford a gelato.
[00:39:16.760 --> 00:39:21.520]   Craig has done more perjournalism probably in the last year or two than anyone in the
[00:39:21.520 --> 00:39:22.760]   previous 50 years.
[00:39:22.760 --> 00:39:27.800]   Now this is where the disclaimer should come in that Facebook, you work with Facebook,
[00:39:27.800 --> 00:39:32.040]   Jeff, on a- I raised money from my school from Facebook, from Craig Newmark and from
[00:39:32.040 --> 00:39:36.400]   Mothers, but I'm independent of all of them and received no money personally from Facebook
[00:39:36.400 --> 00:39:38.160]   or Google or Twitter.
[00:39:38.160 --> 00:39:44.360]   So I'm very curious what you both think about this story that came out from NBC.
[00:39:44.360 --> 00:39:48.800]   Now this is a cache of documents that actually has been around for a while.
[00:39:48.800 --> 00:39:50.840]   The UK government had it for a while.
[00:39:50.840 --> 00:39:53.520]   You've talked about its providence before.
[00:39:53.520 --> 00:39:59.880]   It was a discovery material in a separate trial that the UK government kind of got from
[00:39:59.880 --> 00:40:00.880]   the guy.
[00:40:00.880 --> 00:40:06.640]   Facebook was pissed off about it, but apparently NBC has now seen it combed through the 4,000
[00:40:06.640 --> 00:40:11.880]   pages largely from 2011 to 2015.
[00:40:11.880 --> 00:40:17.560]   And at least according to their characterization, I want to emphasize that because they're not
[00:40:17.560 --> 00:40:19.760]   quoting this verbatim.
[00:40:19.760 --> 00:40:22.760]   They're characterizing what they read.
[00:40:22.760 --> 00:40:26.600]   So it is conceivable that they're mischaracterizing it.
[00:40:26.600 --> 00:40:29.000]   So I want to give Facebook the benefit of that.
[00:40:29.000 --> 00:40:37.560]   However, if their characterization is accurate, this is the smoking gun that is the final nail
[00:40:37.560 --> 00:40:41.760]   in the coffin, the end of Facebook as we know it.
[00:40:41.760 --> 00:40:43.240]   Not to oversell it.
[00:40:43.240 --> 00:40:44.240]   Not to oversell it.
[00:40:44.240 --> 00:40:49.280]   But when I read this, I went, "Oh, MG, I'm sure glad I don't use Facebook."
[00:40:49.280 --> 00:40:53.520]   Let me read, let me just read their NBC characterization.
[00:40:53.520 --> 00:40:56.800]   And I would very much, I want to be fair to Facebook.
[00:40:56.800 --> 00:41:04.720]   So any quibbles or caveats or the documents, which include emails, web chats, presentations,
[00:41:04.720 --> 00:41:10.160]   spreadsheets and meeting summaries, show how Zuckerberg, along with his board and management
[00:41:10.160 --> 00:41:18.040]   team, found ways to tap Facebook's trove of user data, your data, my data, our data,
[00:41:18.040 --> 00:41:24.360]   including information about friends, relationships, even photos as leverage over companies it
[00:41:24.360 --> 00:41:25.360]   partnered with.
[00:41:25.360 --> 00:41:30.360]   In some cases, Facebook would reward favorite companies by giving them access to the data.
[00:41:30.360 --> 00:41:35.600]   In other cases, it would deny data access to rival companies or apps.
[00:41:35.600 --> 00:41:39.640]   For instance, Amazon got extended use of that data because it was spending money on
[00:41:39.640 --> 00:41:44.840]   Facebook advertising and partnering with them on the launch of the fire phone.
[00:41:44.840 --> 00:41:48.960]   On the other hand, Facebook discussed cutting off access to user data for a messaging app
[00:41:48.960 --> 00:41:51.520]   that had grown too popular and was used as a competitor.
[00:41:51.520 --> 00:41:57.960]   This is all they say, but not quoting, they say in the documents.
[00:41:57.960 --> 00:42:02.800]   And even worse all the while, Facebook was formulating a strategy to publicly frame
[00:42:02.800 --> 00:42:09.320]   these moves as a way of protecting user privacy.
[00:42:09.320 --> 00:42:13.160]   It's a win-win.
[00:42:13.160 --> 00:42:20.840]   I shouldn't be shocked, but at this point, this is a criminal breach of our trust.
[00:42:20.840 --> 00:42:24.800]   But I don't know.
[00:42:24.800 --> 00:42:29.240]   The problem here is it's because they're not quoting what data.
[00:42:29.240 --> 00:42:32.680]   There were rules in place for every app builder.
[00:42:32.680 --> 00:42:38.520]   Let's go back to the time when Facebook thought of itself as a platform for apps.
[00:42:38.520 --> 00:42:43.880]   And at that time, when you wrote apps, if you followed certain rules, you got access
[00:42:43.880 --> 00:42:46.800]   to data.
[00:42:46.800 --> 00:42:49.840]   So now data has become the grand scare word.
[00:42:49.840 --> 00:42:52.680]   Oh my God, data.
[00:42:52.680 --> 00:42:55.920]   Well data is just information and it depends on what data.
[00:42:55.920 --> 00:42:57.840]   It depends on what your expectation was.
[00:42:57.840 --> 00:42:59.640]   It depends upon all of that.
[00:42:59.640 --> 00:43:07.400]   So it becomes needless without that kind of specificity as to what it was.
[00:43:07.400 --> 00:43:08.600]   Did they do bad things?
[00:43:08.600 --> 00:43:09.600]   Maybe they did.
[00:43:09.600 --> 00:43:10.600]   Maybe they did.
[00:43:10.600 --> 00:43:11.600]   I don't know.
[00:43:11.600 --> 00:43:16.080]   But this whole notion of that we're going to trade access to data for certain behavior
[00:43:16.080 --> 00:43:18.800]   is the way that Facebook is operating from the beginning.
[00:43:18.800 --> 00:43:22.440]   And by the way, every media company operates.
[00:43:22.440 --> 00:43:26.640]   You buy ads, you get access to data about the users there.
[00:43:26.640 --> 00:43:29.360]   That's the way it's operating for a very long time.
[00:43:29.360 --> 00:43:34.760]   But I think the one thing that you could say about some of what NBC is talking about is
[00:43:34.760 --> 00:43:42.880]   that there's a clear potential antitrust aspect if Facebook is using its users' data
[00:43:42.880 --> 00:43:47.400]   and giving it to certain partners and not to other partners, especially if those other
[00:43:47.400 --> 00:43:50.720]   partners have a messenger app that is a threat to Facebook.
[00:43:50.720 --> 00:43:54.320]   I mean, that's a very clear, like if I was an antitrust lawyer.
[00:43:54.320 --> 00:43:58.000]   But in the years when this was supposedly happening, they weren't as big.
[00:43:58.000 --> 00:43:59.600]   Well, they were still pretty big.
[00:43:59.600 --> 00:44:02.600]   2011 to 2014, they were pretty big.
[00:44:02.600 --> 00:44:03.600]   They were pretty big.
[00:44:03.600 --> 00:44:04.600]   Facebook's response is...
[00:44:04.600 --> 00:44:05.600]   I thought it was 205.
[00:44:05.600 --> 00:44:06.600]   It was 205.
[00:44:06.600 --> 00:44:08.600]   Oh, let me, I'm sorry.
[00:44:08.600 --> 00:44:09.600]   I may be misquoting.
[00:44:09.600 --> 00:44:10.600]   Let me go back.
[00:44:10.600 --> 00:44:11.600]   I thought I could be wrong.
[00:44:11.600 --> 00:44:12.600]   I could be wrong.
[00:44:12.600 --> 00:44:13.600]   2011 to 2015.
[00:44:13.600 --> 00:44:14.600]   Okay.
[00:44:14.600 --> 00:44:15.600]   All right.
[00:44:15.600 --> 00:44:16.600]   They were pretty big.
[00:44:16.600 --> 00:44:20.880]   I don't think that's a very obvious antitrust or potential antitrust.
[00:44:20.880 --> 00:44:25.200]   Facebook's response is that the documents were cherry-picked.
[00:44:25.200 --> 00:44:29.840]   They were cherry-picked during the reason these documents exist.
[00:44:29.840 --> 00:44:37.800]   There was a lawsuit by 643, the creators of the Pekinges app.
[00:44:37.800 --> 00:44:41.160]   Facebook says they cherry-picked those documents from years ago as part of a lawsuit to force
[00:44:41.160 --> 00:44:46.200]   Facebook to share information on friends of the apps' users.
[00:44:46.200 --> 00:44:49.600]   The set of documents by design, because it's being used in a lawsuit, tells only one side
[00:44:49.600 --> 00:44:53.760]   of the story in a mid-important context.
[00:44:53.760 --> 00:44:55.240]   We still stand by the information.
[00:44:55.240 --> 00:44:59.840]   The platform changes, we made it in 2014-15, to prevent people from sharing their friends'
[00:44:59.840 --> 00:45:03.840]   information with developers like the creators of Pekinges.
[00:45:03.840 --> 00:45:07.120]   The documents were selectively leaked as part of what the court found was evidence of a
[00:45:07.120 --> 00:45:11.960]   crime or fraud to publish some, but not all of the internal discussions at Facebook at
[00:45:11.960 --> 00:45:14.400]   the time of our platform changes.
[00:45:14.400 --> 00:45:18.640]   But the facts are clear, Facebook says, and this is actually Facebook's vice president
[00:45:18.640 --> 00:45:21.840]   and deputy general counsel Paul Gruwell.
[00:45:21.840 --> 00:45:22.840]   The facts are clear.
[00:45:22.840 --> 00:45:26.400]   They've never sold people's data.
[00:45:26.400 --> 00:45:29.080]   That's a non-denial denial, because they're not being accused of selling people's data.
[00:45:29.080 --> 00:45:30.080]   They did talk about it.
[00:45:30.080 --> 00:45:31.080]   Yeah.
[00:45:31.080 --> 00:45:33.520]   That's the other thing that comes up in the documents.
[00:45:33.520 --> 00:45:34.520]   They talked about it.
[00:45:34.520 --> 00:45:37.440]   Yeah, and that shouldn't surprise us.
[00:45:37.440 --> 00:45:38.440]   Right?
[00:45:38.440 --> 00:45:42.920]   Media companies, I know they do this far enough to get any damn data.
[00:45:42.920 --> 00:45:44.080]   Talked about whether there was a...
[00:45:44.080 --> 00:45:47.120]   I've sat in media companies where they talked about it as they're a marketplace for our
[00:45:47.120 --> 00:45:48.120]   data.
[00:45:48.120 --> 00:45:51.720]   Indeed, when I worked at Time Inc, we sold data.
[00:45:51.720 --> 00:45:55.040]   We sold your name and your address and what you subscribe to.
[00:45:55.040 --> 00:45:56.040]   We sold lists.
[00:45:56.040 --> 00:45:57.040]   That happens all the time.
[00:45:57.040 --> 00:45:58.040]   That's what we do as part of our business.
[00:45:58.040 --> 00:45:59.040]   Yeah, sure, exactly.
[00:45:59.040 --> 00:46:01.560]   If you've got a mailing list, that's valuable.
[00:46:01.560 --> 00:46:02.560]   You can sell it.
[00:46:02.560 --> 00:46:07.160]   Not just the mailing list, but the data behind it and what could be aggregated around that
[00:46:07.160 --> 00:46:08.920]   by companies like Axion.
[00:46:08.920 --> 00:46:09.920]   Right.
[00:46:09.920 --> 00:46:13.960]   So this has been part of the media business for a very, very long time.
[00:46:13.960 --> 00:46:21.680]   Again, I'm not trying to defend Facebook here, but I am trying to say that...
[00:46:21.680 --> 00:46:25.320]   But we don't know enough to come to grand conclusions that this is...
[00:46:25.320 --> 00:46:27.200]   Oh my God, it's a smoking gun.
[00:46:27.200 --> 00:46:28.880]   It's the worst thing that could happen.
[00:46:28.880 --> 00:46:29.880]   We just don't know enough.
[00:46:29.880 --> 00:46:30.880]   And I think that...
[00:46:30.880 --> 00:46:31.880]   But I think the main difference...
[00:46:31.880 --> 00:46:32.880]   Given the...
[00:46:32.880 --> 00:46:33.880]   One more thing, one more thing.
[00:46:33.880 --> 00:46:34.880]   One more thing.
[00:46:34.880 --> 00:46:40.520]   Given the atmosphere these days, of media coverage in moral panic, my chair is a really
[00:46:40.520 --> 00:46:44.840]   lonely one trying to defend the internet, but I fear if you look at what's happening
[00:46:44.840 --> 00:46:51.200]   with regulation in Europe, this kind of talk without evidence could lead to things like
[00:46:51.200 --> 00:46:53.880]   this from the UK.
[00:46:53.880 --> 00:46:55.960]   And it can hurt the internet.
[00:46:55.960 --> 00:46:58.880]   I wanted to defend the internet, but the Facebook is not the internet.
[00:46:58.880 --> 00:47:02.920]   And in fact, Facebook damages the internet more than any conversation if they're doing
[00:47:02.920 --> 00:47:04.200]   stuff like this.
[00:47:04.200 --> 00:47:06.440]   As you said earlier, you might have to defend...
[00:47:06.440 --> 00:47:09.760]   To go to your view, you might have to defend Julian Assange to defend the speech.
[00:47:09.760 --> 00:47:12.360]   But for Facebook to say, we keep your data private.
[00:47:12.360 --> 00:47:18.400]   And in fact, the very implicit promise of Facebook is you put your private stuff on
[00:47:18.400 --> 00:47:20.200]   there and friends can see it.
[00:47:20.200 --> 00:47:21.200]   Nobody else.
[00:47:21.200 --> 00:47:22.200]   That is...
[00:47:22.200 --> 00:47:23.200]   That is...
[00:47:23.200 --> 00:47:24.200]   That you control who can see your data.
[00:47:24.200 --> 00:47:26.200]   No, I put everything on there as public.
[00:47:26.200 --> 00:47:27.200]   And that's very difficult.
[00:47:27.200 --> 00:47:28.200]   That's your choice, but honestly, Facebook...
[00:47:28.200 --> 00:47:29.200]   Oh yeah, but that's...
[00:47:29.200 --> 00:47:30.200]   But that's...
[00:47:30.200 --> 00:47:31.200]   But that's what Facebook...
[00:47:31.200 --> 00:47:37.320]   I mean, you ask anybody in the street when you share something on Facebook to your family,
[00:47:37.320 --> 00:47:40.720]   do you expect them to sell it to somebody else for...
[00:47:40.720 --> 00:47:41.720]   That's selling it.
[00:47:41.720 --> 00:47:45.280]   Okay, or give it to a favorite partner.
