;FFMETADATA1
title=Google Forked Itself
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=285
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Twig this week in Google Danny Sullivan and Jeff Jarvis are here
[00:24:19.240 --> 00:24:23.000]   Uh just as google duplicated the java api
[00:24:23.000 --> 00:24:29.240]   Uh and is getting sued by oracle. I think that would be a good thing. I don't think nobody's making developers
[00:24:29.800 --> 00:24:34.280]   Choose it's just it's just providing an alternative for somebody who wants a true open source
[00:24:34.280 --> 00:24:37.160]   phone system
[00:24:37.160 --> 00:24:40.360]   Or or mobile operating system. I like that idea
[00:24:40.360 --> 00:24:44.520]   Boy, I didn't think this would be such a good conversation. No
[00:24:44.520 --> 00:24:46.840]   Who knew
[00:24:46.840 --> 00:24:48.920]   I was just touching on that. I was gonna move on
[00:24:48.920 --> 00:24:54.120]   Anyway, I
[00:24:54.120 --> 00:24:59.080]   We'll see you know, I agree with you. I mean no amazon did nobody any benefit by creating
[00:24:59.560 --> 00:25:02.040]   It's fork of android. It's good for amazon
[00:25:02.040 --> 00:25:08.840]   But what if somebody did create a fork of uh android that was more open and designed to be open
[00:25:08.840 --> 00:25:11.240]   I think that would be great and obviously
[00:25:11.240 --> 00:25:17.720]   CM sianichan thinks there's a way to make money off of it, which is fine. I guess they're business. They have to
[00:25:17.720 --> 00:25:24.680]   Um, I wonder what the open source's community response is to this maybe the open source communities. Well, who should be creating an api?
[00:25:24.680 --> 00:25:26.680]   Uh
[00:25:26.680 --> 00:25:30.600]   Wasn't there a case though? Where what was the what was the deal with india where you couldn't do sianichan?
[00:25:30.600 --> 00:25:33.800]   cyanogen sold exclusive one mark and they've talked
[00:25:33.800 --> 00:25:39.960]   It's my energy shouldn't be on such a high horse. No, no, no, no, they're they're actually pissed off because uh apparently
[00:25:39.960 --> 00:25:41.880]   Um
[00:25:41.880 --> 00:25:44.280]   They something happened they didn't expect
[00:25:44.280 --> 00:25:51.480]   So the deal the deal was who is it? Who's the other company in this one? I can't remember Jason house the android export expert
[00:25:51.720 --> 00:25:55.960]   Yeah, let's see here. It was uh, well, it was one plus and it was was a media tech or maybe yeah
[00:25:55.960 --> 00:25:59.400]   It was an indian company and apparently what sianichan said is what you know
[00:25:59.400 --> 00:26:03.080]   We or one plus said is we didn't it was a timing thing
[00:26:03.080 --> 00:26:07.960]   We didn't realize they were so close to market and so one plus got out it ousted from the
[00:26:07.960 --> 00:26:14.840]   Micro max micro max because micro max apparently had an exclusive with cyanogen, but cyanogen said well, we didn't
[00:26:14.840 --> 00:26:20.200]   This wasn't our plan. I mean, it is if you say you're open that doesn't go for exclusive deals
[00:26:20.760 --> 00:26:25.320]   Well, this is a difficult thing for them because they're also a business, right?
[00:26:25.320 --> 00:26:27.640]   So maybe it should be an open source
[00:26:27.640 --> 00:26:31.160]   Yes, so is google and why is so why not?
[00:26:31.160 --> 00:26:35.320]   So why what's so wrong then about cyanogen doing a fork?
[00:26:35.320 --> 00:26:39.160]   Nothing just don't attack google for it. That's all i'm saying
[00:26:39.160 --> 00:26:40.360]   Right
[00:26:40.360 --> 00:26:42.760]   That's all i'm saying do whatever you want and good luck
[00:26:42.760 --> 00:26:45.240]   And I don't think a fork of android is going to work terribly well
[00:26:45.480 --> 00:26:48.440]   If people want to develop to a whole new store unless you're going to you know
[00:26:48.440 --> 00:26:52.440]   Go into a developing country and really have marketing there to make it work. Good luck
[00:26:52.440 --> 00:26:55.560]   But in the us it's going to be niche of niche of niche of niche
[00:26:55.560 --> 00:27:00.360]   I'm just i'm going back to 2007 to the post where they announced
[00:27:00.360 --> 00:27:03.880]   android and actually what they announced was the open handset alliance
[00:27:03.880 --> 00:27:10.280]   And the post is full of things like the first truly open and comprehensive platform for mobile devices
[00:27:10.760 --> 00:27:14.440]   That through these deep partnerships of carriers and manufacturers developers and others
[00:27:14.440 --> 00:27:20.040]   We hope to enable an open ecosystem for the mobile world by creating a standard open mobile software platform
[00:27:20.040 --> 00:27:22.360]   We think this will be better faster pace
[00:27:22.360 --> 00:27:25.800]   That was 2007 since that time we saw google say things like
[00:27:25.800 --> 00:27:29.880]   Don't use sky hooks location services use our location services
[00:27:29.880 --> 00:27:32.520]   You can't have google play unless you do all this other stuff
[00:27:32.520 --> 00:27:39.720]   If you actually go to the open handset alliance home page the last what's new listing that they have on there is from 2011
[00:27:40.360 --> 00:27:42.360]   Right so
[00:27:42.360 --> 00:27:46.280]   There
[00:27:46.280 --> 00:27:51.880]   Was it bait and switch it was no what they really did was given away something free
[00:27:51.880 --> 00:27:58.040]   The issue was that it was free and that's what that was their business strategy. There's a difference in free and open
[00:27:58.040 --> 00:28:02.840]   No, no, absolutely. No, they have a business strategy of giving away things for free
[00:28:02.840 --> 00:28:05.800]   And have had that for a very long time that continues
[00:28:06.200 --> 00:28:11.080]   They have another business strategy of saying we're going to start some open initiative
[00:28:11.080 --> 00:28:14.520]   Which they always do when they're behind in an area
[00:28:14.520 --> 00:28:19.720]   And when they get into an area where they feel more secure the open stuff goes away
[00:28:19.720 --> 00:28:25.160]   And they just go and they close it down and they do things that benefit themselves though google
[00:28:25.160 --> 00:28:28.120]   And so and so I think that so I agree with you jeff, you know
[00:28:28.120 --> 00:28:29.240]   What's there's no problem?
[00:28:29.240 --> 00:28:34.360]   They want to have android and they want to say android is actually all this google stuff and all these sorts of things
[00:28:34.680 --> 00:28:37.880]   And the people who want to poke at them it's amusing to hear them poke at them
[00:28:37.880 --> 00:28:39.880]   It doesn't really make that much of a difference
[00:28:39.880 --> 00:28:44.360]   But the reason google gets poked that way is because they set themselves up for it
[00:28:44.360 --> 00:28:51.720]   That's good point daddy good point although google would probably still uh claim that it is open because it has the aosp
[00:28:51.720 --> 00:28:55.880]   The aosp really what what happened here is google google forked itself
[00:28:55.880 --> 00:29:02.840]   It created aosp which is the open thing and they still claim we do have an open uh version of android
[00:29:03.000 --> 00:29:09.800]   But then they went in this other direction the google version of android which is what everybody apparently wants now
[00:29:09.800 --> 00:29:13.480]   So the other open thing is is uh less desirable
[00:29:13.480 --> 00:29:16.600]   Jason is it there also a quality issue here too
[00:29:16.600 --> 00:29:19.880]   That and and a fragmentation issue
[00:29:19.880 --> 00:29:23.400]   So it's hard what we're asking about here is motive
[00:29:23.400 --> 00:29:30.040]   What part of this to google do because it was bait and switch what part of this to google do because the fragmentation was driving everybody crazy
[00:29:30.200 --> 00:29:33.560]   And there were quality issues around the android brand. I don't know the answer to that
[00:29:33.560 --> 00:29:36.840]   But it gets what you're what's what you're trying to grapple with
[00:29:36.840 --> 00:29:42.200]   It's a it's a long-standing debate is how open is is android?
[00:29:42.200 --> 00:29:45.800]   In the in the last hours of the show about um
[00:29:45.800 --> 00:29:49.960]   And i've actually changed my tune a little bit because i felt like well
[00:29:49.960 --> 00:29:54.840]   They're giving away source code, but what's become very clear is that aosp is a very weak
[00:29:55.720 --> 00:30:04.680]   If you're talking android android if you're talking android android is not open because android is a trademark that googles and google licenses
[00:30:04.680 --> 00:30:06.280]   so
[00:30:06.280 --> 00:30:12.440]   I you know aosp is not android which just happens to have the name android as part of the acronym
[00:30:12.440 --> 00:30:19.880]   That's part of the confusion isn't it you know and and but and they also get confusing because google will use stats when it to their benefit
[00:30:20.200 --> 00:30:23.640]   Google will tell you we don't control what the search is on android
[00:30:23.640 --> 00:30:28.840]   When they mean android osp and they'll point to something like an amazon as an example of that
[00:30:28.840 --> 00:30:31.880]   See well, we didn't control that and they're kind of right
[00:30:31.880 --> 00:30:37.320]   But not really because that's not really android google really google's building on
[00:30:37.320 --> 00:30:44.200]   The strength of google services and really wants you to use google services and you know what most consumers like jeff want google services
[00:30:44.200 --> 00:30:49.560]   That's what android means to them. Yeah, uh, just fine and and there's going to be some of those consumers
[00:30:49.640 --> 00:30:53.240]   We're like I don't want your weird forked weird thing of android
[00:30:53.240 --> 00:30:59.160]   I want this from google because you know, I know what i'm getting in the same way that they know that what they're getting when they get ios
[00:30:59.160 --> 00:31:02.520]   And that's what they want as well. So, you know, i'm not buying a fire phone
[00:31:02.520 --> 00:31:07.400]   No, but I do think there's room in the world and I encourage syanogen mod for
[00:31:07.400 --> 00:31:10.680]   aosp versions that have
[00:31:10.680 --> 00:31:14.600]   The same feature completeness as a google services version
[00:31:15.400 --> 00:31:19.640]   And uh, and as an alternative to google what's wrong with that here's what it does to me
[00:31:19.640 --> 00:31:26.120]   I would be happier. You see the people but for me who's not not you know geeky into the into the openness of the split
[00:31:26.120 --> 00:31:30.600]   I liked having a one plus one that operated as an android phone
[00:31:30.600 --> 00:31:35.720]   A one plus one that can't operate as an android phone because they've forked it. I got no interest in
[00:31:35.720 --> 00:31:38.920]   So I liked the idea of having competitive handsets
[00:31:39.400 --> 00:31:45.880]   competitive manufacturers that's when I was applauding syanogen for for coming up with alternatives within the ecosystem
[00:31:45.880 --> 00:31:49.880]   And now they're saying we're gonna move away from that ecosystem. Well, god bless them godspeed
[00:31:49.880 --> 00:31:54.120]   That's their business decision, but that takes me away from them because I have no interest in that
[00:31:54.120 --> 00:31:59.640]   Yeah, and it's ironic because of one of I love windows phone, but I can't use it because it doesn't support google services
[00:31:59.640 --> 00:32:02.680]   So, uh, there you go
[00:32:02.680 --> 00:32:05.560]   Which by the way one last thing
[00:32:05.560 --> 00:32:10.440]   Drively baddie because you know google is all about we're gonna again
[00:32:10.440 --> 00:32:13.560]   We want to have our stuff where people can get things or whatever and yet
[00:32:13.560 --> 00:32:18.440]   They just will not do anything for the windows platform with the exception of building a search app
[00:32:18.440 --> 00:32:23.880]   Because heaven forbid people not be able to do a google search on the windows when that is what they need to get fixed
[00:32:23.880 --> 00:32:30.120]   And I find it so disheartening because if you're using google voice or other google services
[00:32:30.600 --> 00:32:35.720]   You end up getting these third party apps and it's like well, am I trusting my password with them or you know
[00:32:35.720 --> 00:32:36.680]   What's happening with it?
[00:32:36.680 --> 00:32:41.960]   And I think it's a security issue that google ought to fix and it's not hard for them to develop something they want to do it
[00:32:41.960 --> 00:32:44.600]   Save any for windows
[00:32:44.600 --> 00:32:50.760]   I think it makes I think and I think you can make a strong case that it's an any competitive reason that google doesn't do it
[00:32:50.760 --> 00:32:53.960]   They could say well windows phones too small for us to spend the time on it
[00:32:53.960 --> 00:32:56.440]   It's not it's because it's microsoft and you don't like them
[00:32:56.760 --> 00:33:00.520]   Yeah, and they don't like you home skype on chrome skype on chrome
[00:33:00.520 --> 00:33:05.000]   That's microsoft doing something
[00:33:05.000 --> 00:33:07.720]   Bring skype on chrome or
[00:33:07.720 --> 00:33:12.440]   Microsoft will not do skype has not done this now making noises they will
[00:33:12.440 --> 00:33:17.480]   But but the reason i'm on this chrome book right now is and i'm on google plus right now
[00:33:17.480 --> 00:33:21.400]   Is because there's no skype on chrome because microsoft won't do it so the game works both ways
[00:33:21.400 --> 00:33:23.480]   Can you not do skype through the web?
[00:33:23.800 --> 00:33:29.160]   He can do skype he won't use a mac or windows
[00:33:29.160 --> 00:33:31.560]   He's assisting on using chrome OS
[00:33:31.560 --> 00:33:34.920]   But you can't do skype through the web a web skype
[00:33:34.920 --> 00:33:37.720]   I think that's the thing that they're going to do is a skype on the web
[00:33:37.720 --> 00:33:42.360]   I think that is coming but google's really solved that with with rt which I really like
[00:33:42.360 --> 00:33:45.800]   Uh, what's mccall it web what is it web rt?
[00:33:45.800 --> 00:33:47.800]   now
[00:33:47.800 --> 00:33:53.960]   RTC now i'm an acronym hell because i've been just did a microsoft show so i got rt on the brain
[00:33:53.960 --> 00:33:56.600]   Web rtc is that it oh yeah
[00:33:56.600 --> 00:34:01.320]   Let me take a break and get my brain into the google land into google land
[00:34:01.320 --> 00:34:05.320]   Uh our show today brought to you by
[00:34:05.320 --> 00:34:07.880]   The source of my toner cartridges
[00:34:07.880 --> 00:34:12.600]   I love these guys ld products the ink and toner experts
[00:34:13.080 --> 00:34:18.600]   When you need high quality printer ink or toner cartridges go to ld products.com
[00:34:18.600 --> 00:34:25.720]   You don't go to a car dealership to buy gas to use so i go back to the printer fact manufacturer to buy ink at toner
[00:34:25.720 --> 00:34:29.560]   Especially when you know they practically give away the printer because they're going to
[00:34:29.560 --> 00:34:32.840]   Rhenia on the ink or the toner
[00:34:32.840 --> 00:34:36.520]   ld products offers a quality alternative at a fraction of the cost
[00:34:36.520 --> 00:34:41.400]   In fact some of these products are up to 75 off the oem price
[00:34:41.400 --> 00:34:46.120]   They do sell oem cartridges and inks if you want to get them there at a very very aggressive price
[00:34:46.120 --> 00:34:51.240]   But i love these these compatible choices they've been in business for 15 years
[00:34:51.240 --> 00:34:56.280]   Bizrate customer certified a google trusted store shipping over a million orders a year
[00:34:56.280 --> 00:34:59.320]   So these are big guys you may not have heard of them but yotto
[00:34:59.320 --> 00:35:05.240]   Not sure what kind of anchor toner no problem you could talk to a real person seven days a week and their us based call center
[00:35:05.240 --> 00:35:09.720]   Their customer service department is great. They talk to you like they're speaking to the ceo
[00:35:10.520 --> 00:35:15.320]   Or the ceo's mom even better and all their products are risk-free with a two year
[00:35:15.320 --> 00:35:20.920]   Two year 100 customer satisfaction guarantee you can return a product for any
[00:35:20.920 --> 00:35:22.920]   reason
[00:35:22.920 --> 00:35:26.360]   So if you've been worried if you've been thinking i don't know should i try a third party cartridge?
[00:35:26.360 --> 00:35:28.680]   Should i start third party ink give it a try
[00:35:28.680 --> 00:35:31.960]   And by the way, these are remanufactured so it's good
[00:35:31.960 --> 00:35:37.000]   It helps the environment keeps oil plastic and waste out of our landfill and they operate out of a beautiful
[00:35:37.640 --> 00:35:42.040]   Platinum lead certified building in long beach that's where the call center is the warehouse the headquarters
[00:35:42.040 --> 00:35:45.480]   110,000 square feet of ink and toner
[00:35:45.480 --> 00:35:50.840]   And it's lead platinum lead certified that means it's very eco-friendly there it is
[00:35:50.840 --> 00:35:56.680]   uh, ld products they've got your printer needs covered remanufactured compatible and brand name products
[00:35:56.680 --> 00:36:02.840]   But if you get the remanufactured you're kind of you're saving you're doing a little bit you're a little bit to save the earth
[00:36:02.840 --> 00:36:05.640]   Get 10 off ink a toner plus free shipping
[00:36:06.360 --> 00:36:11.800]   Excluding oem when you go to ld products dot com slash twit and use the offer code twit
[00:36:11.800 --> 00:36:14.920]   ld products dot com slash
[00:36:14.920 --> 00:36:21.800]   Twit offer code t w it we thank ld products for their support and their great toner cartridges. I love these
[00:36:21.800 --> 00:36:25.080]   never never buying the
[00:36:25.080 --> 00:36:29.080]   Manufacturers toner again. This is for our hp. Thank you. Yeah
[00:36:29.080 --> 00:36:35.400]   Um have you read so we're gonna try to make sense of this i've been trying now for a week
[00:36:35.640 --> 00:36:40.600]   We talked about this on twit. We've been talking about it on the mac break weekly zoey Keating
[00:36:40.600 --> 00:36:43.800]   She is a uh, cellist who uh
[00:36:43.800 --> 00:36:50.920]   Amazing amazing chalice a incredible artist. She does a lot of beautiful music and she has been using
[00:36:50.920 --> 00:36:54.200]   uh youtube to for two things
[00:36:54.200 --> 00:36:58.760]   Um one is she puts music up on youtube, but the other is
[00:36:58.760 --> 00:37:05.160]   There are thousands of people on youtube who are completely legally using her music. She encourages that
[00:37:05.960 --> 00:37:07.160]   Um
[00:37:07.160 --> 00:37:12.840]   Uh as as background effect the game of thrones special effects reel is uh is done
[00:37:12.840 --> 00:37:18.120]   Uh with a background of zoey Keating cello music, so it's very popular
[00:37:18.120 --> 00:37:22.680]   She she does that by turning on content id that's the google
[00:37:22.680 --> 00:37:29.720]   Uh automated thing that that listens to everything that's uploaded and says oh that's zoey Keating song notifies her
[00:37:29.720 --> 00:37:34.280]   And then uh she can decides whether she a if she doesn't like it
[00:37:34.280 --> 00:37:40.440]   She says i only only issue a takedown if it's hate or you know something really horrific that i don't want to be associated with
[00:37:40.440 --> 00:37:42.200]   most of the time
[00:37:42.200 --> 00:37:48.360]   Uh what she does is sharing the monetization. So if somebody's got ads on their youtube videos, she'll get some of the revenue from that
[00:37:48.360 --> 00:37:51.080]   She says that's a significant value to her
[00:37:51.080 --> 00:37:55.720]   She's sell most of her music uh income comes from stuff. She sells on iTunes
[00:37:55.720 --> 00:37:59.960]   And by the way, let me just uh i met zoey last year at Davos
[00:38:00.440 --> 00:38:05.400]   As part of a project i'm working on with the rolic on mac form on rethinking copyright at the next level
[00:38:05.400 --> 00:38:13.160]   And zoey is a tremendous example of someone who finds new business models who doesn't just sell content and restrict access to content
[00:38:13.160 --> 00:38:18.760]   Which is the old copyright model zoey says i want to have this kind of openness where people can use my stuff when i make money on it
[00:38:18.760 --> 00:38:24.360]   She wants data about who her fans are so she can deal with them in in in in valuable ways
[00:38:24.760 --> 00:38:32.520]   zoey is really visionary not only in her music but also in her view of creativity copyright and business models
[00:38:32.520 --> 00:38:35.720]   So she
[00:38:35.720 --> 00:38:38.920]   By the way is a very complicated story the original post
[00:38:38.920 --> 00:38:41.400]   It seems pretty clear, but then there've been
[00:38:41.400 --> 00:38:48.760]   Google's responded and says the stuff she says is patently false and she says well, please explain to me because i've been i've been negotiating this for a year
[00:38:48.760 --> 00:38:51.640]   She says that google called her and said, okay
[00:38:53.160 --> 00:38:59.880]   You have to sign on to the new youtube music services agreement or we will block your youtube channel google has since said no one said block
[00:38:59.880 --> 00:39:02.680]   But she's very clear in her memory of that
[00:39:02.680 --> 00:39:06.120]   Now this is if that's the case it's quite
[00:39:06.120 --> 00:39:07.800]   You know
[00:39:07.800 --> 00:39:15.720]   draconian because yeah all of her cattle these agreements music agreement means music key means that all of her catalog must be included
[00:39:15.720 --> 00:39:19.080]   In both free and premium music services
[00:39:19.720 --> 00:39:22.840]   Everything she does even if she does it elsewhere has to be included there
[00:39:22.840 --> 00:39:29.800]   Um, even if I don't deliver all my music because i'm a music partner anything that a third party uploads with my info in the description
[00:39:29.800 --> 00:39:32.520]   Will automatically be included in the music service too
[00:39:32.520 --> 00:39:37.320]   All song all song set to monetize she has no choice in that
[00:39:37.320 --> 00:39:43.160]   She seems to be that that's that's like a that's as if they're an old time studio
[00:39:43.160 --> 00:39:47.240]   Say you have to have an exclusive, but I don't know who's right on which side of this
[00:39:47.240 --> 00:39:50.360]   But but that's what really got me most about zoey's post was no
[00:39:50.360 --> 00:39:54.680]   I should have a full as an artist she should have a full choice of saying what goes where well
[00:39:54.680 --> 00:39:58.840]   She wants to say for instance release music on iTunes first and then put it on youtube
[00:39:58.840 --> 00:40:03.480]   She wants to but you the agreement says you have to release it on youtube the same time you're at least at anywhere else
[00:40:03.480 --> 00:40:06.760]   Uh, and it's five-year contract
[00:40:06.760 --> 00:40:13.640]   Um, she says this this is onerous and I kind of agree with her now google's response
[00:40:13.640 --> 00:40:16.760]   uh, which has been quoted by
[00:40:17.480 --> 00:40:19.480]   The guardian among others
[00:40:19.480 --> 00:40:21.800]   Um
[00:40:21.800 --> 00:40:23.800]   Is that will know
[00:40:23.800 --> 00:40:25.320]   Um
[00:40:25.320 --> 00:40:29.160]   Yeah, so I don't know who to believe on this. Uh, what did google say in essence?
[00:40:29.160 --> 00:40:34.040]   Well, I haven't read a response yet. Um, google says we never said we'd block you
[00:40:34.040 --> 00:40:38.200]   Um
[00:40:38.200 --> 00:40:42.920]   Google says we never said you couldn't just have content id and opt out of music key
[00:40:42.920 --> 00:40:46.440]   Um
[00:40:46.440 --> 00:40:53.320]   Is they say youtube is this is the guardian youtube is adam and it will not block musicians from uploading their music to its service
[00:40:53.320 --> 00:40:55.880]   Or running a channel if it doesn't make this agreement
[00:40:55.880 --> 00:41:01.640]   The company also says it is not stopping artists from releasing music on other platforms earlier than youtube
[00:41:01.640 --> 00:41:06.280]   So there's some debate over what she whether what she says google said they said
[00:41:06.280 --> 00:41:09.960]   She seems very clear that no they said this they said at more than one time
[00:41:09.960 --> 00:41:15.160]   I've been talking to a sales rep now. I have to say we've had conversations with sales reps from youtube
[00:41:15.880 --> 00:41:18.440]   Uh that have been completely goofy
[00:41:18.440 --> 00:41:23.800]   Uh, so I don't know how well trained or well informed these these sales reps actually are
[00:41:23.800 --> 00:41:26.680]   Um, you know, I mean
[00:41:26.680 --> 00:41:32.200]   The my experience talking to youtube we wanted to get on youtube live my experience with that was not positive at all
[00:41:32.200 --> 00:41:34.600]   We just threw up our hand said never mind
[00:41:34.600 --> 00:41:36.360]   Um
[00:41:36.360 --> 00:41:42.920]   YouTube says musicians who don't agree to its music key terms still have control over their content in terms of copyright
[00:41:44.600 --> 00:41:47.800]   They can still get videos videos that use their music without a license removed
[00:41:47.800 --> 00:41:52.280]   But it's not clear whether they can still use content id for that they might have to do it themselves
[00:41:52.280 --> 00:41:55.560]   Um
[00:41:55.560 --> 00:41:57.560]   Believe me
[00:41:57.560 --> 00:42:00.120]   Thousands of people using your music that's not
[00:42:00.120 --> 00:42:06.600]   I think the most disturbing thing about content id is content id wasn't designed as a way for
[00:42:06.600 --> 00:42:13.000]   Google to somehow try to force artists into putting things on youtube or to somehow
[00:42:13.480 --> 00:42:18.200]   Compel them into it content id is an anti-piracy thing and it's a it's a nice way
[00:42:18.200 --> 00:42:24.120]   For people to say all right. I don't have a problem people using my music and i'm going to make some money off of this
[00:42:24.120 --> 00:42:26.840]   So you use your content id and you can figure that sort of thing out
[00:42:26.840 --> 00:42:32.360]   And that really shouldn't be tied in with anything else that should just be something google's offering to anybody
[00:42:32.360 --> 00:42:36.840]   Who has worries that their content's being taken and used on youtube without permission
[00:42:36.840 --> 00:42:38.280]   Yeah, you're right danny
[00:42:38.280 --> 00:42:43.240]   And it was it was it was a really smooth good way around the copyright fight to say go with the flow
[00:42:43.240 --> 00:42:49.240]   And make money on it. Yeah, uh and rather than taking issue or take down notice issue a share notice basically
[00:42:49.240 --> 00:42:53.800]   And I agree. I think that's it's it's you kind of can't it's like it's like when the bank says
[00:42:53.800 --> 00:43:03.640]   You you have to use the automatic teller so you don't use tellers and then when you use the automatic teller they charge you to use the automatic teller
[00:43:03.640 --> 00:43:06.920]   You know, they're getting both ways. It's like an airline
[00:43:06.920 --> 00:43:08.840]   You can't have it both ways
[00:43:08.840 --> 00:43:13.720]   Content id was a very clever and good way to get around the content fight. So leave it at that. I agree
[00:43:13.720 --> 00:43:14.920]   So
[00:43:14.920 --> 00:43:16.840]   Keating has posted
[00:43:16.840 --> 00:43:23.560]   A follow-up post she posted it yesterday with a transcript of her conversation with the youtube representative
[00:43:23.560 --> 00:43:27.560]   Oh my confirming now. It's a transcript. It's not a recording
[00:43:27.560 --> 00:43:30.440]   Confirming everything she said
[00:43:30.440 --> 00:43:33.080]   She said she says for instance
[00:43:33.080 --> 00:43:36.840]   Well, if I wanted to just let content id keep doing its thing and it does a great job at it
[00:43:36.840 --> 00:43:44.520]   I'm totally happy with it and I don't want to participate in the music service is that an option the rep says that's unfortunately not an option
[00:43:44.520 --> 00:43:48.680]   That's where the crux of this is. Yeah, assuming I don't want to then what would occur?
[00:43:48.680 --> 00:43:55.640]   So what would happen um well so in the worst case scenario because we do understand there are cases where our partners don't want to participate for various reasons
[00:43:55.640 --> 00:44:01.560]   What we basically have to do is because the music terms are essentially like outdated the content
[00:44:01.560 --> 00:44:03.640]   This does sound like
[00:44:03.640 --> 00:44:05.800]   one of my favorites youtube reps the
[00:44:06.600 --> 00:44:11.640]   Um, uh, the content that you directly upload from accounts that you own under the content and owner attached to the agreement
[00:44:11.640 --> 00:44:13.640]   So we'll have to block that content
[00:44:13.640 --> 00:44:20.040]   But anything that comes up that we're able to scan and master content id we could just apply a track policy
[00:44:20.040 --> 00:44:24.680]   But the commercial terms no longer apply so there's not going to be any revenue generated
[00:44:24.680 --> 00:44:30.280]   So the rep says we will block your channel and you won't make any more money
[00:44:30.280 --> 00:44:34.760]   You can still use content id but you're not gonna make any more money. She says well, that's pretty harsh
[00:44:35.480 --> 00:44:40.120]   The rep says yeah, it's harsh and trust me. It's really difficult for me to have this conversation with all my partners
[00:44:40.120 --> 00:44:45.160]   But we're really what we're trying to do is basically create a new revenue stream on top of what exists on the platform today
[00:44:45.160 --> 00:44:54.200]   So unless zoey keating is lying and I take it from your experience for the rep is rep is misinformed and the rep could be freelancing
[00:44:54.200 --> 00:44:57.640]   Yeah, we don't know that and well
[00:44:57.640 --> 00:45:01.960]   I mean, this is a case where it would be great given the power of the twit network is to bring together
[00:45:01.960 --> 00:45:04.840]   From google and bring together zoey keating and say I'd love to do that
[00:45:04.840 --> 00:45:09.560]   Me me. Yeah, yeah what it yeah
[00:45:09.560 --> 00:45:12.040]   She says I
[00:45:12.040 --> 00:45:15.480]   You know, unfortunately her husband is very very ill right now
[00:45:15.480 --> 00:45:20.200]   And so she's focusing on that she says youtube is not at the top of my priority list right now
[00:45:20.200 --> 00:45:23.000]   So the fact that she's even been posting this is pretty impressive exactly
[00:45:23.000 --> 00:45:27.160]   She pulled back entirely from before me because the tragic diagnosis for her husband
[00:45:27.240 --> 00:45:31.640]   And she said she did say I was relieved to see this that he's somewhat stabilized and somewhat better
[00:45:31.640 --> 00:45:36.440]   That's why she's doing this now, but this is this the last thing she needs the last thing
[00:45:36.440 --> 00:45:38.600]   I don't you know, it doesn't feel good
[00:45:38.600 --> 00:45:41.800]   No, it doesn't I agree
[00:45:41.800 --> 00:45:44.520]   either youtube has
[00:45:44.520 --> 00:45:46.760]   sales reps who are freelancing
[00:45:46.760 --> 00:45:53.960]   And putting pressure on people much the same way Comcast has notoriously put pressure on its customers
[00:45:53.960 --> 00:45:56.280]   Which is a bad cultural thing, which is in good
[00:45:57.240 --> 00:45:58.840]   or
[00:45:58.840 --> 00:46:01.800]   Worse right the reps right and youtube's lying
[00:46:01.800 --> 00:46:05.400]   in to the press about what their deal is
[00:46:05.400 --> 00:46:09.320]   Either way, it doesn't look good for youtube
[00:46:09.320 --> 00:46:13.880]   No, um, so youtube is just I think with susan
[00:46:13.880 --> 00:46:14.840]   We're just key there now
[00:46:14.840 --> 00:46:18.280]   They're trying to get new senses of what the business of youtube is which is good
[00:46:18.280 --> 00:46:20.680]   Right, I think there's new opportunities
[00:46:20.680 --> 00:46:25.080]   But in the discussions I have with with publishers youtube's also an important thing for them
[00:46:25.080 --> 00:46:29.240]   And and you got to be able to rely on getting good deals with these
[00:46:29.240 --> 00:46:35.000]   uh, the case of you know, it's one matter to go to google news and say well, I
[00:46:35.000 --> 00:46:37.720]   I quoted your story or I mentioned your headline
[00:46:37.720 --> 00:46:43.960]   And that's not to my mind copyright theft, but in the case of a video and music it's very clear caught
[00:46:43.960 --> 00:46:48.600]   It's copyright protected and and there's no copy in there and there's no summarizing there
[00:46:48.600 --> 00:46:53.400]   It is it either is or isn't so youtube has to have pretty clear ways to deal with that
[00:46:54.040 --> 00:46:56.040]   And as danny just said
[00:46:56.040 --> 00:46:58.280]   Clotted idea was their way out of
[00:46:58.280 --> 00:47:01.080]   It was a response to the dmca
[00:47:01.080 --> 00:47:03.240]   Yeah
[00:47:03.240 --> 00:47:09.240]   There was a clever and good response. It was a great thing and look at the zoey was brilliantly saying okay
[00:47:09.240 --> 00:47:15.160]   I'll go with the flow. I'll allow people to create. I'll allow youtube to grow
[00:47:15.160 --> 00:47:21.080]   I won't do takedowns and I can make money kukukukuchu group hug. Yeah
[00:47:21.960 --> 00:47:26.920]   Well, but I think this betrays to me a little bit of of one of the things I've worried about with youtube
[00:47:26.920 --> 00:47:31.640]   Which is they really would love to entice artists to use youtube
[00:47:31.640 --> 00:47:39.400]   But only to the extent that they can make money on it and they're very happy to parade the handful of artists who make a ton of money on youtube
[00:47:39.400 --> 00:47:45.800]   But the truth is the vast majority do not youtube takes a very large portion of their revenue
