;FFMETADATA1
title=Honey, I Livestreamed the Kid
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=353
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.760]   It's time for a twig this week in Google and of course it's our post I/O keynote show
[00:23:09.340 --> 00:23:16.460]   You talk to it it will respond. It seems like it will respond in a similar way no matter what platform you use I
[00:23:16.460 --> 00:23:20.560]   Think that's very compelling man. I I
[00:23:20.560 --> 00:23:26.140]   This is this is the science fiction dream that I had for a long time
[00:23:27.140 --> 00:23:34.380]   Well, and if you think about it a very good way to think about Google is Google cares about how people get to Google
[00:23:34.380 --> 00:23:36.380]   How do people typically get to a Google? Well
[00:23:36.380 --> 00:23:38.860]   Get to Google search that gets there via a browser
[00:23:38.860 --> 00:23:39.260]   Okay
[00:23:39.260 --> 00:23:43.960]   Well, we need to have a browser and in fact it's called Chrome because it tries to get all the Chrome out of the way
[00:23:43.960 --> 00:23:49.860]   You know and well, how else do people get to you know Google? Well, they'll use a mobile operating system. Oh, okay
[00:23:49.860 --> 00:23:53.860]   That's interesting. They'll use a laptop like a Chromebook. Okay. Well, that's interesting
[00:23:53.860 --> 00:24:01.260]   And so over and over again, you can see Google being very worried about people who can get in between users and Google and add
[00:24:01.260 --> 00:24:07.180]   Barriers or obstacles and so I do think it's a pretty smart way to think about it as if you can do voice recognition
[00:24:07.180 --> 00:24:10.060]   If you can do the machine learning if you can be a useful assistant
[00:24:10.060 --> 00:24:16.700]   The mechanism of exactly how that gets delivered whether it's a little hockey puck beside you or whether it's in your you know
[00:24:16.700 --> 00:24:18.380]   Your Google now or your Google assistant
[00:24:18.380 --> 00:24:20.620]   I think Google is pretty agnostic about that
[00:24:20.620 --> 00:24:26.940]   But they want people to be able to do that and thinking about how to get around those barriers so that users can do those searches with the
[00:24:26.940 --> 00:24:31.420]   minimal amount of friction is a pretty good way to think about what Google might or might not do well
[00:24:31.420 --> 00:24:36.940]   I'm speaking of which neither Alo no Duro require a Google account. They're both tied to your phone number
[00:24:36.940 --> 00:24:39.180]   Yeah, not to your Google account
[00:24:39.180 --> 00:24:45.500]   Because there's so many people around the world who don't have Google accounts or you know, that's just another element of friction
[00:24:45.500 --> 00:24:47.020]   And so I think you know
[00:24:47.020 --> 00:24:52.740]   Maybe you know the phone number of your friend and you don't know their email address or something like that making it as easy as possible
[00:24:52.740 --> 00:24:54.740]   That you can have those interactions without worrying about
[00:24:54.740 --> 00:25:01.700]   Join here. Oh off to whatever that kind of stuff just makes it a lot easier. Is it the end of Hangouts? I?
[00:25:01.700 --> 00:25:05.220]   Honestly, I think I saw on Twitter
[00:25:05.220 --> 00:25:09.460]   They need to clarify what's going on with Google voice and hangouts and all that sort of stuff
[00:25:09.460 --> 00:25:11.460]   And I think that's a fair knock
[00:25:11.460 --> 00:25:15.100]   Because you can try to have a monolithic communication app or you can say oh no
[00:25:15.100 --> 00:25:18.860]   It's actually better to break it into different ones like Facebook split out messenger
[00:25:18.860 --> 00:25:23.520]   You know and the right answer might evolve over time, but I do think Google needs to do a better job of saying okay
[00:25:23.520 --> 00:25:27.660]   Here's what happens with Google voice. Here's what happens with Google Hangouts because
[00:25:27.660 --> 00:25:32.540]   You know like you you like Google voice you've used it a lot in your past or Google Fi
[00:25:32.540 --> 00:25:34.100]   You know, I love Google Fi
[00:25:34.100 --> 00:25:38.020]   I'm gonna use it when I'm going abroad in a few weeks and that's very well supported
[00:25:38.020 --> 00:25:44.020]   But how exactly all those pieces interact? I think Google could do a better job of explaining what their future road map looks like
[00:25:44.020 --> 00:25:48.860]   What do you think Jason? Is it the end of Hangouts? I don't I don't know how they can exist at the same time
[00:25:48.860 --> 00:25:56.340]   How aloe and duo can exist side-by-side with Hangouts because yes aloe and duo bring their own expanded functionality
[00:25:56.340 --> 00:25:57.260]   But I feel like Hangouts
[00:25:57.260 --> 00:26:02.740]   I mean it was it was basically like the next iteration of Hangouts was kind of how I saw it and they did a great job with it
[00:26:02.740 --> 00:26:03.820]   I'm very excited to use it
[00:26:03.820 --> 00:26:06.260]   But I don't know like like I was saying earlier
[00:26:06.260 --> 00:26:11.180]   It's there's so much confusion already that when you have a messaging app and a smart messaging app
[00:26:11.180 --> 00:26:14.620]   You have a messaging app that has video chat and then you have a video chat app
[00:26:14.620 --> 00:26:21.580]   I don't know how they coexist without doing some sort of either elimination or convergence or I don't know
[00:26:21.580 --> 00:26:24.300]   How they treat that but it feels a little messy as far as that's concerned
[00:26:24.300 --> 00:26:26.780]   We need more clarification and they were quick to say that
[00:26:26.780 --> 00:26:30.420]   Aloe isn't available till summer and duo is not available to summer
[00:26:30.420 --> 00:26:35.340]   What do you like how you like this thing Jeff read the knock knock thing where when you call somebody?
[00:26:35.340 --> 00:26:41.140]   They see you before they answer right so it really struck me is that that's that's the end of all this integrate
[00:26:41.140 --> 00:26:47.060]   And Bell it's the end of the Bell it's the end of the ringtone and all that idea is that is it and it also means that you've now
[00:26:47.060 --> 00:26:51.100]   Gotta sell your call because nobody wants to talk on the phone right nobody likes anymore
[00:26:51.100 --> 00:26:53.100]   So it's gonna be crazy
[00:26:53.100 --> 00:26:58.620]   Like
[00:26:58.620 --> 00:27:04.700]   Yeah
[00:27:09.940 --> 00:27:24.820]   I wonder if I wonder if we're gonna get an unusual number of well never mind. I won't I won't I won't go there sexual matters
[00:27:24.820 --> 00:27:31.020]   Yes, you know, you knew exactly where I was going. Oh, I know you want up. That's your sexual pause. Well, but yeah
[00:27:31.020 --> 00:27:34.380]   Oh, yeah, you know me so well now. You know my sexual pause, okay
[00:27:34.380 --> 00:27:38.620]   You know this pause. This is the one where we go to commercial pause
[00:27:38.740 --> 00:27:42.860]   No, but I I do think
[00:27:42.860 --> 00:27:48.340]   They're gonna have to be controls in there because otherwise I'm gonna get a disproportionate number of
[00:27:48.340 --> 00:27:53.780]   Knock knock jokes on my phone from strangers
[00:27:53.780 --> 00:27:57.420]   You know I'm saying oh, yeah, yeah
[00:27:57.420 --> 00:28:02.100]   Yeah, we need a safe word don't we
[00:28:05.420 --> 00:28:09.460]   Hey, we're having fun. This is great. These guys are all well except for Gina
[00:28:09.460 --> 00:28:14.740]   Gina's it in their new office at her brand new job. It's nice that they let you do that. Thank you
[00:28:14.740 --> 00:28:19.260]   We appreciate that and then the rest of them are all at the Google Plex
[00:28:19.260 --> 00:28:23.340]   And we want to thank a couple of people at the Google for giving us the office space
[00:28:23.340 --> 00:28:30.060]   Chris to Bona immediately emailed you remember Chris was the host of floss weekly. He's a manager of open-source programs at
[00:28:30.060 --> 00:28:32.740]   What Jeff you trying to get my attention? Hey
[00:28:34.500 --> 00:28:39.020]   Richard hey, well, I think Richard hey for setting us up there. There's Richard. Thank you Richard and
[00:28:39.020 --> 00:28:42.820]   And thank you to Bowser's are the cone head
[00:28:42.820 --> 00:28:52.940]   We're apparently in cone head three the room
[00:28:52.940 --> 00:28:58.260]   Google conference room no really appreciate that Chris reached out as soon as we
[00:28:58.260 --> 00:28:59.940]   Said hey, we want to be there
[00:28:59.940 --> 00:29:04.420]   We know how we're gonna do this and he helped us out and then Richard and and and the team there at Google
[00:29:04.420 --> 00:29:07.380]   So thank you for putting us. Oh great. Thank you. Yeah, really good job
[00:29:07.380 --> 00:29:11.900]   We and thank you Matt for coming over. I bet you have a few other things you'd like to be doing right?
[00:29:11.900 --> 00:29:14.060]   We really appreciate it if you want to cut out anytime
[00:29:14.060 --> 00:29:19.420]   Now I'm delighted someone instant message me and I'm like can you come to building 1225?
[00:29:19.420 --> 00:29:21.940]   I was like for twig and I get like yeah
[00:29:21.940 --> 00:29:26.540]   Yeah, thank you for always a girl to have you yeah
[00:29:27.020 --> 00:29:31.900]   Our show today we'll move through these ads pretty quickly because I there's so much to talk about but I do want to thank our
[00:29:31.900 --> 00:29:37.140]   Sponsors as well because they make this all possible. It's not a cheap thing to do what we do here at Twittin boy
[00:29:37.140 --> 00:29:41.020]   I love blue apron 11 we come home and there's the blue apron box on the porch
[00:29:41.020 --> 00:29:43.060]   And I know I didn't have to shop today
[00:29:43.060 --> 00:29:46.460]   I don't have to plan a meal because inside there is gonna be something amazing
[00:29:46.460 --> 00:29:50.020]   And I'm gonna have it ready in 40 minutes the house smells great
[00:29:50.020 --> 00:29:54.980]   You're cooking stuff you never would have thought of and I owe it all to blue apron blue apron
[00:29:55.180 --> 00:30:00.340]   Sends you all the ingredients for an amazing meal not one thing extra though
[00:30:00.340 --> 00:30:03.540]   So you get exact you know if you need a clove of garlic you get a clove of garlic
[00:30:03.540 --> 00:30:10.660]   So there's no waste by the way fabulous stuff their mission is to make incredible home cooking accessible to everyone and
[00:30:10.660 --> 00:30:15.100]   Because you know at this point they're they're big they're like a big
[00:30:15.100 --> 00:30:23.900]   Deliverer of food they want to make us more sustainable food system and set high standards for ingredients and build a community of home chefs
[00:30:23.900 --> 00:30:27.500]   And really that's what's happening with blue apron all the sea for everything's fresh
[00:30:27.500 --> 00:30:31.280]   The box is refrigerated, but there's nothing frozen seafood is sourced
[00:30:31.280 --> 00:30:38.220]   Sustainably the beef is raised humanely the chickens are free range. It's stuff. You want to feed your family the pork is raised naturally
[00:30:38.220 --> 00:30:44.340]   The vegetables are all from local farms regenerative farming practices, so it's healthful stuff
[00:30:44.340 --> 00:30:49.500]   And and there's less waste because you're getting exactly what you need and I could tell you this
[00:30:49.940 --> 00:30:53.380]   Every bite gets eaten because these are amazing meals
[00:30:53.380 --> 00:31:00.780]   Delicious whether it's Japanese ramen noodles wild caught Alaska salmon heirloom tomatoes you're getting the best
[00:31:00.780 --> 00:31:06.260]   Food and they have plans for couples, but they also have family plans with kid-friendly ingredients
[00:31:06.260 --> 00:31:09.060]   So it's a great way to cook together
[00:31:09.060 --> 00:31:16.300]   Research shows I believe it or not blue apron families cook you know three times more often and the kids learn that it's fun to cook
[00:31:16.300 --> 00:31:20.740]   It's great to cook it's a message you want to send and it's less than ten dollars a meal
[00:31:20.740 --> 00:31:26.460]   So if you've been eating out, you know, you're tired you get home. Oh, let's just do border out or take out or let's eat out
[00:31:26.460 --> 00:31:33.140]   No cook and you will with amazing stuff and every every meal comes with step-by-step easy to follow
[00:31:33.140 --> 00:31:40.140]   Recipe cards pre-portrait ingredients and there's videos online to help you through it cook meals like crispy cod and cabbage slot tacos
[00:31:40.140 --> 00:31:43.060]   With the pita pineapple avocado salsa
[00:31:43.900 --> 00:31:47.100]   And my mouth always waters during these ads. It's just very hard to do them
[00:31:47.100 --> 00:31:53.700]   Look at that chicken steamed buns. Oh with fresh breakfast radish. I don't even know what that is cucumber kimchi
[00:31:53.700 --> 00:31:57.540]   That's the other thing you're gonna be using greens you never used before but you're gonna get comfortable with them
[00:31:57.540 --> 00:32:00.460]   And you'll be using them again. It makes you a better cook
[00:32:00.460 --> 00:32:04.260]   Middle Eastern chicken and chickpea stew with pita croutons
[00:32:04.260 --> 00:32:10.260]   Crispy catfish and use a kosher ood on I don't even know what that is, but it's good
[00:32:10.260 --> 00:32:12.380]   I can tell here's the deal go there
[00:32:12.380 --> 00:32:16.340]   We've got two meals free for you waiting for you blue apron calm slash twit
[00:32:16.340 --> 00:32:20.860]   They delivered a 99% of the continental United States surely to you blue apron
[00:32:20.860 --> 00:32:27.500]   Dot-com slash twit two meals free waiting for you right now. Thank you for their support of this week in Google
[00:32:27.500 --> 00:32:35.380]   So aloe and duo two new apps will see sometime this summer with a lot of smarts built into aloe
[00:32:35.380 --> 00:32:39.140]   I think it's a better way to do messaging bots, but it's not the only new thing
[00:32:39.140 --> 00:32:42.440]   I think the Google home is very interesting too. This is
[00:32:42.440 --> 00:32:46.060]   basically a speaker to take on the Amazon echo and
[00:32:46.060 --> 00:32:52.580]   The fact that it works with Chromecast and Chromecast audio means it's the answer to my dreams
[00:32:52.580 --> 00:32:55.540]   Gina, what do you think?
[00:32:55.540 --> 00:32:56.820]   Yeah, I'm excited about it
[00:32:56.820 --> 00:33:03.060]   You know, it's funny my Neil my co-founder loves the echo and would talk about how great the echo was and it was around the time
[00:33:03.060 --> 00:33:08.300]   That I got in my my Google watch Google Wear watch and I was like I mean, it's the much
[00:33:08.300 --> 00:33:11.100]   It's up to just sits in one place in your house. He's like no no
[00:33:11.100 --> 00:33:17.060]   I mean, I like I love to see the Google version of this and so now now we have it
[00:33:17.060 --> 00:33:23.180]   And it's cute. It's small when he walked out with it. I was like much cuter than the echo. Yeah. Yeah
[00:33:23.180 --> 00:33:31.540]   The fact that you can it becomes a multimedia center in your house that you could say play on the living room TV
[00:33:31.540 --> 00:33:37.760]   That's what I what the echo doesn't do that I really wanted it to do
[00:33:38.080 --> 00:33:43.280]   It eliminate you can make it do that with some extra hardware, but this this just kind of happens
[00:33:43.280 --> 00:33:48.980]   It's Chromecast audio support Chromecast video support Jason. How are you gonna run out and get one?
[00:33:48.980 --> 00:33:53.620]   We don't know what the price is we and we don't know when it'll be available sometime later this year is all they say yeah
[00:33:53.620 --> 00:34:00.080]   Later this year is all we have right now. Yeah, I mean I've been so on the fence of getting the echo
[00:34:00.080 --> 00:34:03.140]   Very recently because you just keep hearing about it
[00:34:03.140 --> 00:34:07.120]   So dang, you know happy with their experience with the echo so I've been on the fence
[00:34:07.120 --> 00:34:10.400]   But I wanted to wait and see if Google had their own coming out
[00:34:10.400 --> 00:34:11.740]   So obviously they do yes
[00:34:11.740 --> 00:34:17.800]   I'm on board one thing that we're not gonna get from what I understand right out of the gate is multi account
[00:34:17.800 --> 00:34:20.440]   Capability so for a shared device
[00:34:20.440 --> 00:34:25.260]   So it's gonna be on my Google account. Yeah, exactly
[00:34:27.380 --> 00:34:29.380]   Let's me switch
[00:34:29.380 --> 00:34:34.600]   Eventually, but they say that so keep that in mind, but yes, I'm looking forward to it. I'm really want this
[00:34:34.600 --> 00:34:36.600]   Oh, Jeff. We've just broken in Jeff's
[00:34:36.600 --> 00:34:40.580]   You know what's gonna happen, you know what's gonna happen
[00:34:40.580 --> 00:34:44.320]   I'm gonna want to use it on my apps account all along along and no no one comes out
[00:34:44.320 --> 00:34:46.820]   It'll only be the damned Gmail account
[00:34:46.820 --> 00:34:52.060]   And then I can't switch anything because because it knows me as this person not as that person and won't know anything about me
[00:34:52.060 --> 00:34:54.100]   And I'll google can't you fix this
[00:34:55.380 --> 00:34:57.380]   Can't you fix this?
[00:34:57.380 --> 00:35:05.880]   I'm always going for my run while I listen
[00:35:05.880 --> 00:35:10.380]   And with Jeff, you know, you just press the button because you know
[00:35:10.380 --> 00:35:15.300]   It's a completely fair criticism about Google apps accounts not being able to do everything they go against
[00:35:15.300 --> 00:35:17.820]   And I'm like, oh no the next minute is not gonna
[00:35:17.820 --> 00:35:20.220]   I should start doing intervals whenever I hear that
[00:35:23.580 --> 00:35:26.900]   You wouldn't think it would be that rocket sciencey, but apparently it is
[00:35:26.900 --> 00:35:31.980]   These are consumer products too, really let's face it. They're not these are not
[00:35:31.980 --> 00:35:36.100]   Work and it's interesting to me because I have an Amazon Echo in my home
[00:35:36.100 --> 00:35:39.420]   You know, and I use it. I like to do, you know, what's the news and that sort of stuff?
[00:35:39.420 --> 00:35:45.780]   But what really was interesting to me is I was visiting my sister-in-law and this was like a year ago
[00:35:45.780 --> 00:35:52.660]   And her kids were asking the echo to like tell jokes and I was like, oh this this is interesting
[00:35:52.660 --> 00:35:58.540]   This is connected in a lot in a way that a lot of different consumer products really didn't you know catch on and
[00:35:58.540 --> 00:36:01.140]   So I'm glad that Google now has this offering
[00:36:01.140 --> 00:36:05.860]   We'll see how well it works. I'm hoping that the voice recognition everything works really really well
[00:36:05.860 --> 00:36:09.180]   I like the LEDs, you know, so yeah, it's like yeah, it's pretty cool
[00:36:09.180 --> 00:36:14.940]   So so the response for this one is hey Google versus okay Google
[00:36:14.940 --> 00:36:16.940]   She said hey Google on one of them I
[00:36:17.580 --> 00:36:22.680]   Think yeah, which is interesting. Yeah, I think they really struck me about about home is that it is not mobile
[00:36:22.680 --> 00:36:28.320]   Right everything is mobile everything's gonna be think of mobile mobile mobile mobile mobile mobile and this is the thing that is
[00:36:28.320 --> 00:36:30.420]   explicitly not mobile
[00:36:30.420 --> 00:36:33.180]   Which I kind of like and it makes you think about a different use case around it
[00:36:33.180 --> 00:36:37.620]   Well, that's what made the echo interesting because I think the reason the echo worked
[00:36:37.620 --> 00:36:40.580]   It wasn't as smart as Siri or Google or anything else
[00:36:40.580 --> 00:36:42.780]   But the reason it worked for a couple of reasons
[00:36:42.780 --> 00:36:45.940]   But the main reason is because you're talking to your house there is no device
[00:36:45.940 --> 00:36:50.020]   You just you're standing there stirring the stew and you say set timer for 20 minutes
[00:36:50.020 --> 00:36:54.060]   You talk to your house and it responds or you say I need new batteries and it says oh, yeah
[00:36:54.060 --> 00:37:00.400]   You ordered them before these ones. Yes, that is magical even though its capabilities are much more limited
[00:37:00.400 --> 00:37:08.220]   Also makes you buy one for every room. I have yeah when this is my sad face because I have five of these things and
[00:37:08.220 --> 00:37:13.700]   That I guess I'll still need them for my audible books, but I
[00:37:14.420 --> 00:37:21.100]   Got to say I watched that video for for the product and I was like I I aspire to this being my my family life in my home life
[00:37:21.100 --> 00:37:27.380]   Someday, it's just seem like just such a well-oiled machine. I was like, oh, I wish my morning look like this
[00:37:27.380 --> 00:37:34.300]   I hate those videos though cuz nothing can live up to that, you know
[00:37:34.300 --> 00:37:42.160]   They're just too good. They're just too good. Yeah in my house. We forgot the castoon for space day completely for
[00:37:42.160 --> 00:37:44.160]   Yeah, that was good
[00:37:44.160 --> 00:37:49.480]   The kid comes and he looked at this sad face and you forgot ah what's our next appointment?
[00:37:49.480 --> 00:37:56.160]   It's space day at the Hermes school. Oh, yeah, my kid shows up and is like mom. I mean for God
[00:37:56.160 --> 00:37:59.400]   We show up at school without the costume
[00:37:59.400 --> 00:38:05.480]   The only thing I thought was interesting was at the very end where he says goodbye
[00:38:05.480 --> 00:38:10.720]   Because I think there was a piece by hunter walk where he's like Alexa is teaching my kids to be rude
[00:38:10.920 --> 00:38:14.520]   You know and he's basically like they don't say please they don't say thank you
[00:38:14.520 --> 00:38:19.000]   And he wanted that sort of you know stuff to be built in and so I first second
[00:38:19.000 --> 00:38:20.240]   I thought it was gonna say oh goodbye
[00:38:20.240 --> 00:38:25.120]   You know an Icedy and instead it's like oh we'll turn you into auto away mode and all that sort of thing
[00:38:25.120 --> 00:38:29.360]   It did you did have functionality the nest turned off and and all of these things so I
[00:38:29.360 --> 00:38:34.200]   Kind of like that it would be nice if these things would teach our kids to say please and thank you
[00:38:34.200 --> 00:38:39.720]   Yeah, wouldn't execute the command like like Alexa says what's the secret? What's the magic word?
[00:38:39.720 --> 00:38:51.320]   Okay, Matt make a note of that just pass it along your team. There should be a magic word mode
[00:38:51.320 --> 00:38:54.440]   I will write that down and in fact so Neil Stevenson
[00:38:54.440 --> 00:38:56.120]   Yeah, there was something like the diamond age
[00:38:56.120 --> 00:39:01.080]   It was like the young lady's primer or something and it basically was like an AI that would teach yeah
[00:39:01.080 --> 00:39:05.400]   This you know young girl over you know over until she became a young woman
[00:39:05.400 --> 00:39:10.080]   And I just man if you could get to that mode where you're just like you've got this kid
[00:39:10.080 --> 00:39:14.800]   He loves tarmigans and birds and stuff and he wants to know about dinosaurs
[00:39:14.800 --> 00:39:19.480]   And it could kind of like slip in a little educational stuff in addition to the please and thank you
[00:39:19.480 --> 00:39:24.360]   I'm like that would be much better than just watching you know videos or or TV
[00:39:24.360 --> 00:39:30.720]   So maybe you remember the episode of Silicon Valley where they have the artificial intelligence nanny
[00:39:30.720 --> 00:39:33.600]   Scolding the child
[00:39:33.600 --> 00:39:36.200]   Yeah, that's right. Yeah
[00:39:36.200 --> 00:39:42.160]   Man, I'm so excited about this idea of not having repeat stuff to my daughter 16 times
[00:39:42.160 --> 00:39:45.200]   Your mother told you
[00:39:45.200 --> 00:39:50.620]   That was terrible. Yeah, it was painful. It was painful
[00:39:50.620 --> 00:39:55.880]   But but but but you see how we are really moving in the direction of these
[00:39:58.240 --> 00:40:04.560]   artificial assistants well exactly and again because it knows how to respond as you that's we thought these
[00:40:04.560 --> 00:40:11.520]   Ages would go off and get things for us right but it but it learns to respond as me and says what I would say anyway
[00:40:11.520 --> 00:40:13.520]   And so it now will soon say it for me
[00:40:13.520 --> 00:40:19.800]   And then no one's gonna know if they're dealing with me or by the way there is you know a new Facebook messenger
[00:40:19.800 --> 00:40:24.720]   But this is the use of my name that I approve of called Jarvis right?
[00:40:25.600 --> 00:40:30.880]   Right, it's actually pretty good. It's pretty neat. Yeah, you told her mind you right so so I'm by talking to Jarvis or Jarvis
[00:40:30.880 --> 00:40:37.840]   Right, you're not gonna know well Google has a huge advantage here because as we know Apple is very reluctant to collate information
[00:40:37.840 --> 00:40:41.120]   Or they say they are say they are about how you
[00:40:41.120 --> 00:40:48.440]   Use stuff Google you know has been always collecting that information and should be able to use that
[00:40:48.440 --> 00:40:51.600]   to make this stuff better and smarter and
[00:40:52.560 --> 00:40:56.640]   And you know it there's a kind of interesting because I think in some senses
[00:40:56.640 --> 00:41:03.880]   This encourages you it gives you a reason to give Google this stuff
[00:41:03.880 --> 00:41:10.560]   Yeah, and Leo I think the release struck me most this morning is that and I've talked about mass media being over and mass
[00:41:10.560 --> 00:41:16.360]   Treats you like all the same and I say to my people in media Google is a personal services company
[00:41:16.400 --> 00:41:23.320]   It knows you as an individual in media does not now what I saw today more than ever is that Google is a personal company
[00:41:23.320 --> 00:41:27.760]   It knows you as an individual. That's really powerful as long as the trust can stay up
[00:41:27.760 --> 00:41:34.320]   Which I have no problem with it. I welcome my new master all as well. It's good come in you and I are that way
[00:41:34.320 --> 00:41:36.600]   I mean, we don't mind we embrace this
[00:41:36.600 --> 00:41:39.640]   I think as long as you get value back as long as the user gets value back
[00:41:39.640 --> 00:41:44.760]   They're gonna be fine with this and Google is demonstrating huge value for allowing this personal relationship to occur
[00:41:44.760 --> 00:41:46.760]   I
[00:41:46.760 --> 00:41:55.400]   You know I the value is there already for me. This is it's so interesting because we've been looking at so many Google products like Google now
[00:41:55.400 --> 00:42:00.200]   And saying it's so it could be so useful and so great and all along
[00:42:00.200 --> 00:42:04.880]   This is Google has been has been building this kind of
[00:42:04.880 --> 00:42:08.680]   informational utility and and then there's this kind of
[00:42:10.040 --> 00:42:17.240]   Physicality is singularity if you will where it takes the stuff. It's been learning and now it's really hideously valuable really functional
[00:42:17.240 --> 00:42:21.920]   So now cards while they were interesting never really took off as a super valuable thing
[00:42:21.920 --> 00:42:26.380]   But but this could be our little rosy the riveter in our house
[00:42:26.380 --> 00:42:32.040]   Was either riveter well, it's like that little rosy the robot in the in the Jetsons, right?
[00:42:32.040 --> 00:42:38.300]   No the Jetsons rosy. Yeah, it's a little one of that but you put wheels on it and give it a duster feather duster
[00:42:38.300 --> 00:42:44.280]   It's running the robot help help the children in the house cheat on their homework
[00:42:44.280 --> 00:42:50.000]   Interesting wasn't it yeah, basically said yeah, that's totally helping with your homework
[00:42:50.000 --> 00:42:53.440]   Parents to know it's okay
[00:42:53.440 --> 00:42:59.200]   Yeah, she whispered it she whispered it. She knew she knew she wasn't supposed to do that
[00:42:59.200 --> 00:43:02.640]   So to cook I think it would I think it would do that I
[00:43:02.640 --> 00:43:05.720]   Think you do that. Why wouldn't it? Yeah?
[00:43:06.920 --> 00:43:13.700]   Suddenly the story was somewhere I think in Asia about people who were taking a class or a test and they had
[00:43:13.700 --> 00:43:20.500]   Cameras in their glasses, which then sent the you know the the questions off to somebody else who then figured out the answer and
[00:43:20.500 --> 00:43:27.260]   sent the answer to the people smart watches and so they have the watch apps that's like the answer is see kind of thing and
[00:43:27.260 --> 00:43:29.860]   The future's gonna get a little weird there, you know
[00:43:29.860 --> 00:43:34.820]   How do you do a standardized test if you're you know if you well my bot will write the code for me here?
[00:43:34.820 --> 00:43:38.420]   You know kind of stuff it could be a little strange. We'll see what happens
[00:43:38.420 --> 00:43:42.860]   Well, I have to I have to admit I just started my new job here post like three weeks ago
[00:43:42.860 --> 00:43:47.140]   And I'm director of engineering and there's all these technologies here that I just don't have a lot of experience with so
[00:43:47.140 --> 00:43:49.020]   I've been in these meetings where they'll be like, oh, yeah
[00:43:49.020 --> 00:43:53.660]   We're using this stack and this this you know mean suck and known and Django and then and I'm like, uh-huh
[00:43:53.660 --> 00:43:55.860]   Yeah, no, uh-huh then I go back to my desk
[00:43:55.860 --> 00:44:00.060]   And what do you do you immediately you Google it right?
[00:44:00.060 --> 00:44:04.860]   I'm sure that my Google search like search activity has spiked very high the last three weeks
[00:44:04.860 --> 00:44:08.020]   I've been reading and looking stuff up. There's a concert
[00:44:08.020 --> 00:44:12.220]   My rosy by the way there's a concept in programming called cut and paste programmers
[00:44:12.220 --> 00:44:16.340]   And there's a kind of programmers a cut and paste programmer because they go to stack exchange
[00:44:16.340 --> 00:44:20.140]   They cut and paste the code and they and they move on and you know it works
[00:44:20.140 --> 00:44:23.660]   You could do that's how I do it. I don't know how to do anything
[00:44:23.660 --> 00:44:29.780]   I just cut and paste you get yourself out of a jam and sometimes Google has the answer in like within the results and
[00:44:29.780 --> 00:44:33.460]   Literally you don't even have to go to you don't even go to stack exchange
[00:44:33.460 --> 00:44:36.620]   Just cut and paste from the knowledge graph
[00:44:36.620 --> 00:44:39.380]   By the way big growth in the knowledge graph
[00:44:39.380 --> 00:44:44.900]   And and this is where you really starting to see the value of that then I do believe there's a critical mass
[00:44:44.900 --> 00:44:48.820]   Where it just turns over everybody says fine. This is too good
[00:44:48.820 --> 00:44:55.380]   We're gonna all use it and then everybody pours more information in there and gets smarter and smarter and the end of the media brand
[00:44:55.380 --> 00:44:58.540]   Interesting isn't it because
[00:44:58.820 --> 00:45:04.900]   You want the knowledge you don't want care about the brand thing about siloing app application silos it all goes away
[00:45:04.900 --> 00:45:07.820]   It all this becomes and for Google
[00:45:07.820 --> 00:45:14.620]   That's a good thing because this becomes your entry point into the entire world of information all the real world's information at your fingertips
[00:45:14.620 --> 00:45:18.220]   That's the end game and just as you have to write applications
[00:45:18.220 --> 00:45:24.300]   Modularly so in the future should you write news articles and books modularly so that you can go in and grab the piece of it
[00:45:24.300 --> 00:45:26.220]   Which it doesn't necessarily fit our business model
[00:45:26.220 --> 00:45:29.600]   But it fits the use case of somebody wanting to get just what they want right?
[00:45:29.600 --> 00:45:37.460]   Were you pleased were you surprised to see Android where I did not think we would see anything about Android where?
[00:45:37.460 --> 00:45:43.020]   That's not the Gina you still wear your and I love Android where used to wear your Android no
[00:45:43.020 --> 00:45:50.380]   There you go. There's a Moto 360 all the presenters. I should point out. We're wearing Moto 360 is every one of them
[00:45:55.420 --> 00:45:59.020]   so the one thing that was kind of nice about Android where is
[00:45:59.020 --> 00:46:05.340]   They had the idea of watch faces where you can pull in data from any data source and automatically fold that into
[00:46:05.340 --> 00:46:10.260]   I love that and I use a Garmin watch for running and it's kind of interesting because they now have custom watch faces
[00:46:10.260 --> 00:46:15.540]   But a lot of them are really ugly and you're stuck with whatever that person designed that watch face for so the idea of like
[00:46:15.540 --> 00:46:18.220]   Pulling in your step counts the day or something
[00:46:18.220 --> 00:46:23.140]   Automatically and like not having to be a you know a programmer do it that that was kind of interesting
[00:46:23.140 --> 00:46:28.460]   I thought that was a smart way to add a little bit of value to the idea of Android where Android where 2.0
[00:46:28.460 --> 00:46:30.980]   So you'll be able to have custom
[00:46:30.980 --> 00:46:33.740]   Complications as Apple calls them. I'll just call them widgets
[00:46:33.740 --> 00:46:40.660]   And they could pull from any app any developer could put a complication on your watch face at Android where 2.0 Apple calls them
