;FFMETADATA1
title=More Burritoshot than Moonshot
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=378
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2016
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.400]   It's time for Twig this week in Google Jeff Jarvis is here Mike Elgin is in studio with us
[00:23:11.260 --> 00:23:14.940]   For everything that's the old journalist was with yesterday was a big event with journalists yesterday
[00:23:14.940 --> 00:23:17.260]   And we were instructed firmly to have no
[00:23:17.260 --> 00:23:20.220]   Emotional response whatsoever to any of the results because it would look bad
[00:23:20.220 --> 00:23:26.380]   I couldn't take it anymore. I needed to go have a primal scream somewhere. So I I left it was it was interesting watching the news anchors
[00:23:26.860 --> 00:23:31.340]   Uh, yeah, there and there was some palpable sighing. I kept your sighing on msm
[00:23:31.340 --> 00:23:35.340]   Yes, see their temple throughout yeah temples throughout the truth is mike. I think we
[00:23:35.340 --> 00:23:38.620]   Virtually every journalist I know there's very few exceptions
[00:23:38.620 --> 00:23:40.300]   There's the david from us out there. There's a few others out there
[00:23:40.300 --> 00:23:41.820]   But every journalist I know is liberal
[00:23:41.820 --> 00:23:46.540]   And when I say that I'm not saying that that we abandon communities in the sense that we abandon the the outlet sure
[00:23:46.540 --> 00:23:49.260]   We'd love to have more jobs and more outlets. So I agree with you there
[00:23:49.260 --> 00:23:53.820]   But no, I I am saying that that in big media
[00:23:54.380 --> 00:23:59.020]   Whether that's the new york times or or nbc or you know pick the outlet
[00:23:59.020 --> 00:24:03.180]   There's very little understanding of that center of the country that voted all red
[00:24:03.180 --> 00:24:05.340]   There's very little understanding of their lives
[00:24:05.340 --> 00:24:11.420]   Um, the other example I gave is I wrote I wrote a I read a piece of the new york times a few weeks ago about evangelicals
[00:24:11.420 --> 00:24:14.140]   in indiana
[00:24:14.140 --> 00:24:17.020]   And I called one of the subjects of the story. Did I talk about this in the show?
[00:24:17.020 --> 00:24:21.580]   I don't think so. I'll make it very quick because it's not really tech, but I found it interesting
[00:24:22.220 --> 00:24:28.700]   Um, and the headline said evangelicals in despair and the minister I called to find out what they thought of the story
[00:24:28.700 --> 00:24:33.180]   Said because he's not the reporter did a very good job the photographer did a good job, but the story itself
[00:24:33.180 --> 00:24:39.420]   Um his precious came to him and said don't they understand we don't despair. That's the definition of being evangelical
[00:24:39.420 --> 00:24:43.420]   And and it was an editor put that that's actually a good point
[00:24:43.420 --> 00:24:49.660]   It is an excellent point right and it showed there because of the process we have the editorial separation
[00:24:49.660 --> 00:24:57.500]   The editor puts in something puts a take in a spin in even though the reporter did an excellent job of really empathizing really listening and wrote a good story
[00:24:57.500 --> 00:25:03.500]   It still separated them from the understanding because i'm editor in new york who didn't know any better
[00:25:03.500 --> 00:25:08.140]   And the minister had given the reporter the scripture that says explains why we don't despair
[00:25:08.140 --> 00:25:12.460]   That's what we what we want what they go back to is that scripture and if you're gonna understand them and empathize with them
[00:25:12.460 --> 00:25:17.260]   Then you've got to include that, but we don't do that. We don't put the bible as a karan and quote that in media
[00:25:17.580 --> 00:25:21.740]   So i i'm i'm i'm agreeing to the extent that
[00:25:21.740 --> 00:25:26.380]   Um with with the conservative community that their mistrust is warranted
[00:25:26.380 --> 00:25:31.340]   And we've got to fix that and the way to fix that is by listening to the community
[00:25:31.340 --> 00:25:36.780]   And your right mic then one way to listen is to have more outlets that are closer to people's lives
[00:25:36.780 --> 00:25:39.740]   And the internet is what enables that funding back to technology
[00:25:39.740 --> 00:25:42.620]   Let me uh hold on for a second because I do want to talk about
[00:25:43.180 --> 00:25:48.220]   That I also want to talk about uh, you know facebook and its role in and this social media and its role in this
[00:25:48.220 --> 00:25:55.260]   Some people say trump is the first twitter president um twitter stock up by the way significantly. Yes. Yes. Yes
[00:25:55.260 --> 00:25:57.260]   And some people say we elected a meme
[00:25:57.260 --> 00:26:00.700]   You know what I think we did I don't think that's far off
[00:26:00.700 --> 00:26:06.060]   Uh, I also want to talk about michael wollstone article in the hollywood reporter. Uh, he's talking about
[00:26:06.060 --> 00:26:08.620]   uh lessons learned
[00:26:08.620 --> 00:26:11.740]   from this and
[00:26:11.740 --> 00:26:15.100]   Uh, he says trump's win exposes medias smug
[00:26:15.100 --> 00:26:18.940]   failures, so we'll get to that and we have some google news
[00:26:18.940 --> 00:26:23.020]   But this is this is our beat right here media
[00:26:23.020 --> 00:26:29.500]   Uh, the internet technology, uh, and this is a historic election. There's no getting around it in today's the day
[00:26:29.500 --> 00:26:34.300]   I think i wonder because I think probably I was looking the new york times did a great thing a couple of days ago
[00:26:34.300 --> 00:26:39.420]   They had uh front pages from elections going back to the 1850s when they when they first started
[00:26:39.900 --> 00:26:43.980]   And every election was historic every election was a shock every
[00:26:43.980 --> 00:26:50.380]   Uh, every election was a watershed but not every but many elections were watershed moments and and surprises
[00:26:50.380 --> 00:26:55.180]   When you read those front pages you realize if you have historical context this may not be
[00:26:55.180 --> 00:27:00.620]   As historic as we want to think of it. But this this leo is our first orange president
[00:27:00.620 --> 00:27:05.100]   And say it's breaking the color barrier and for that reason
[00:27:05.100 --> 00:27:09.420]   Jeff has no sense of humor today
[00:27:09.580 --> 00:27:14.540]   No, I don't today. No, it's okay. It's okay. It's okay. It's okay. It's gonna be okay
[00:27:14.540 --> 00:27:19.100]   We're this is a great. I don't know. This is a great country with great institutions
[00:27:19.100 --> 00:27:22.220]   All right, let me ask my company. Yes one more one more question here
[00:27:22.220 --> 00:27:25.100]   So we have all this talk of you mentioned in canada
[00:27:25.100 --> 00:27:31.580]   We all this talk of leaving you're the one person like you're the one person who's qualified to speak about what it takes to just get the hell out
[00:27:31.580 --> 00:27:37.900]   Yeah, um, what does it take and uh, if you were to get the hell out, where would you go?
[00:27:39.100 --> 00:27:42.300]   Oh, yeah, you know is where to go. Exactly. I would go to spain
[00:27:42.300 --> 00:27:46.700]   Uh, and uh, no, it's it's a it's a big wonderful world
[00:27:46.700 --> 00:27:50.380]   I actually wrote a medium piece about this jeff a couple of months ago and because i heard it
[00:27:50.380 --> 00:27:55.660]   Yeah, it started saying oh if trump gets elected, i'm leaving the country i'm moving out and i said no you really should do that
[00:27:55.660 --> 00:27:59.020]   That's like a great idea just temporarily right well
[00:27:59.020 --> 00:28:03.660]   Yes for as long as you want and see what happens is when you temporarily go somewhere
[00:28:03.660 --> 00:28:07.980]   You fall in love with other places the world is a big beautiful place full of wonderful people
[00:28:08.300 --> 00:28:14.700]   Right despite the rhetoric of this election and um, and what i found in all kinds of far-flung places
[00:28:14.700 --> 00:28:17.740]   i've been to jordan morocco, kenya, turkey
[00:28:17.740 --> 00:28:23.580]   Uh, europe, mexico, etc, etc, i've been all over the world and literally to a to a place
[00:28:23.580 --> 00:28:29.980]   I would want to live in every single one i did live in those play but i would i wouldn't mind living permanently in any of those places
[00:28:29.980 --> 00:28:33.580]   It's a wonderful country. So what you do is you put your own house on air bnb
[00:28:33.580 --> 00:28:36.940]   You figure out how to work from home because if you can work from home
[00:28:36.940 --> 00:28:43.340]   You can work from rome and then you take off and you live abroad while you monetize your house
[00:28:43.340 --> 00:28:48.140]   Try to meet or exceed your mortgage or rent with the air bnb
[00:28:48.140 --> 00:28:50.620]   income and
[00:28:50.620 --> 00:28:51.740]   And
[00:28:51.740 --> 00:28:55.180]   There you go. You can live anywhere you can live in you can the most
[00:28:55.180 --> 00:29:02.220]   Deliciously ironic place you can move in my opinion to protest trump is to move to mexico climb that wall go live in mexico
[00:29:02.220 --> 00:29:06.780]   mexico is a fantastic country and uh, and that would be my recommendation
[00:29:06.940 --> 00:29:10.460]   It's never been easier. Thanks to the internet thanks to all these services. There are
[00:29:10.460 --> 00:29:16.700]   Co-living places there are you can you can live and work on a boat you can i mean there's so many different
[00:29:16.700 --> 00:29:18.940]   Opportunities and options out there
[00:29:18.940 --> 00:29:27.020]   Um, and i just think if you're gonna talk the talk you should walk the walk and you're gonna find out that it's a great choice to to live abroad
[00:29:27.020 --> 00:29:31.180]   I would if if i could do podcasts if i could do what we do here
[00:29:31.180 --> 00:29:36.380]   Where would you go? I love traveling, you know when we were on our last vacation we
[00:29:36.860 --> 00:29:40.540]   Every seat we got a cup and hagan saying hey, I wouldn't mind living here. This is cool. Look at all these bikes
[00:29:40.540 --> 00:29:44.940]   We get to Amsterdam. Hey, i'd love to live here. Look at all these bikes and canals
[00:29:44.940 --> 00:29:50.060]   I'd live in a house boat. I mean, yeah, I know what you mean when you get to the get places all over
[00:29:50.060 --> 00:29:54.540]   You know one thing that said you you you were in cuba you've been in cuba several times. Yes, really loved cuba
[00:29:54.540 --> 00:29:56.940]   Trump has said that he will reverse
[00:29:56.940 --> 00:30:02.380]   A ballous policy of opening the doors of cuba. That's over. Yeah big mistake. That's a that's a big mistake
[00:30:02.380 --> 00:30:07.100]   I think the i don't even sure why it's not like they're harboring soviet because because he wanted florida
[00:30:07.100 --> 00:30:10.300]   He wanted the republicans in florida. They're so anti-castro again
[00:30:10.300 --> 00:30:16.620]   You know i'm willing to hold off on campaign rhetoric versus actual action and let's and let's see yeah
[00:30:16.620 --> 00:30:18.620]   That's right. That got him the cubano vote
[00:30:18.620 --> 00:30:22.940]   He won florida although cuba did respond to the election today by
[00:30:22.940 --> 00:30:29.100]   As they have in past elections having military exercises just a little saying, you know
[00:30:29.180 --> 00:30:32.780]   We're not just like patsies down here. We we got an army, you know
[00:30:32.780 --> 00:30:40.380]   Okay, we're gonna take a break. By the way breaking news. Uh, thank you gardener for passing this along
[00:30:40.380 --> 00:30:44.460]   Twitter is coo adam bane has
[00:30:44.460 --> 00:30:51.420]   Just stepped down wow wow adam is such a good guy. No, he was beloved and and touted by many as
[00:30:51.420 --> 00:30:57.500]   As a good ceo choice. Not sure what's going on at twitter. We'll talk about that in just a little bit. Wow
[00:30:58.060 --> 00:31:00.940]   I know shocker break heat news shocker
[00:31:00.940 --> 00:31:04.700]   Uh our show today brought to you by my mattress. Let me tell you
[00:31:04.700 --> 00:31:09.580]   I was up late last night. Nothing better than getting in bed and going oh, it feels so good
[00:31:09.580 --> 00:31:13.180]   I liked you don't like to do. I like to put nice fresh sheets
[00:31:13.180 --> 00:31:16.380]   Casper sheets of course on my nice mattress
[00:31:16.380 --> 00:31:21.820]   And just it feels like it feels so good. It feels so relaxing you sleep
[00:31:21.820 --> 00:31:24.940]   Uh the casper mattresses are an award-winning
[00:31:25.500 --> 00:31:29.660]   Combination of springy latrix foam and uh and kind of supportive
[00:31:29.660 --> 00:31:34.060]   Memory foam it that gives you just the right sink just the right bounce
[00:31:34.060 --> 00:31:35.580]   long
[00:31:35.580 --> 00:31:39.500]   Lasting comfort and support and uh they they breathe too. They're cool
[00:31:39.500 --> 00:31:43.260]   You know, I gotta tell you even in the winter there's nothing worse
[00:31:43.260 --> 00:31:47.820]   You know being too hot and now you want to you want to be comfortable and that's comfort comfort is the word
[00:31:47.820 --> 00:31:54.220]   For a casper mattress obsessively engineered mattresses made in the us at a fair price
[00:31:54.620 --> 00:32:00.140]   They offer free shipping and returns by the way. Let me explain that in a second to the in the us and canada
[00:32:00.140 --> 00:32:04.620]   The reason they offer returns is if you think about if you're going to sell a mattress online
[00:32:04.620 --> 00:32:07.420]   People are going to say well. I want to try before I buy
[00:32:07.420 --> 00:32:11.980]   So casper has the most amazing and the liberal trial policy ever
[00:32:11.980 --> 00:32:17.020]   By a casper mattress. It comes in a very compact box. You open it up
[00:32:17.020 --> 00:32:21.820]   There it is lie on it and at any time in the first 100 nights
[00:32:22.620 --> 00:32:26.940]   If you say this isn't the mattress for me casper calm they'll come they'll pick it up
[00:32:26.940 --> 00:32:30.300]   There were fun. Yeah, every penny will have cost you nothing
[00:32:30.300 --> 00:32:34.780]   So there's it's absolutely no risk and you have not five minutes or 10 minutes in a showroom
[00:32:34.780 --> 00:32:38.700]   But a hundred nights to try your casper mattress. I love my casper
[00:32:38.700 --> 00:32:40.700]   I know you will too by the way. I love it so much
[00:32:40.700 --> 00:32:43.260]   I I mentioned this before I sent one to my son in college
[00:32:43.260 --> 00:32:47.100]   Because he needed he didn't want to sleep on that mattress in the dorm room
[00:32:47.100 --> 00:32:51.980]   And it was easy. They could schlep it upstairs in that box. It opens up and and it's affordable enough that
[00:32:52.380 --> 00:32:55.100]   After four years, I'm I'm gonna say just leave it there for the next guy
[00:32:55.100 --> 00:32:58.460]   He deserves a nice mattress too and he'll take it because he's a college student
[00:32:58.460 --> 00:32:58.860]   Yeah
[00:32:58.860 --> 00:33:01.660]   And you know the thing the thing is that about mattresses too
[00:33:01.660 --> 00:33:06.780]   I think that we assume that people sleep in them and a few other things, but I like to work in bed
[00:33:06.780 --> 00:33:12.780]   I mean, it's like one of the things about being a telecommuter. I could see you cross-legged totally in your bed with your laptop
[00:33:12.780 --> 00:33:13.740]   Absolutely, I totally see you
[00:33:13.740 --> 00:33:16.380]   Hours and I just that's my favorite place to work
[00:33:16.380 --> 00:33:21.420]   You need a firm because you have to have somewhat firm right? Yeah, exactly exactly you would like this
[00:33:21.820 --> 00:33:25.900]   It it comes it cushions. I do like it. I do have a cast bar mattress
[00:33:25.900 --> 00:33:28.540]   There you go, and it's fantastic. That's good to work in it's a grid
[00:33:28.540 --> 00:33:29.580]   It's my favorite office
[00:33:29.580 --> 00:33:33.100]   Casper mattresses started $500 for a twin 950 for a king size
[00:33:33.100 --> 00:33:36.940]   A lot less if you just shop it's just shop around you'll know that what a deal that is
[00:33:36.940 --> 00:33:40.940]   And we're going to save you an additional $50 towards your mattress purchase
[00:33:40.940 --> 00:33:43.660]   If you go to casper.com/twig
[00:33:43.660 --> 00:33:49.740]   That'll let them know you heard it on this show and using the promo code twig castber casp er
[00:33:50.220 --> 00:33:51.900]   dot com
[00:33:51.900 --> 00:33:56.780]   Slash twig promo code twig for $50 off terms and conditions apply
[00:33:56.780 --> 00:33:59.500]   Casper
[00:33:59.500 --> 00:34:06.860]   Michael wolf I actually now I know you're not a super fan of Michael wolf jeff. I don't know
[00:34:06.860 --> 00:34:09.820]   he's a columnist
[00:34:09.820 --> 00:34:12.940]   Jeff's muted
[00:34:12.940 --> 00:34:17.340]   I see his mouth moving, but I don't see anything. That's what that's the way most people want me
[00:34:19.420 --> 00:34:23.500]   Uh, you know, I could give you a hug today. I would give you such a hug
[00:34:23.500 --> 00:34:27.340]   Uh, and I wish I'd been with you last night. I know that your son
[00:34:27.340 --> 00:34:30.060]   Uh was in the javitt center
[00:34:30.060 --> 00:34:35.820]   Yep, and it was that he deserved a hug too. I've never seen such sad people. Oh god
[00:34:35.820 --> 00:34:43.260]   Except maybe the cleveland indians at the after the seventh game. Yep. Just well, but even even then they kind of had to say okay
[00:34:43.260 --> 00:34:48.380]   108 years all right, all right, all right, we get it and in baseball. There's always next year
[00:34:48.940 --> 00:34:52.380]   I don't think there's a next year for a hillary clinton. Oh no. I know
[00:34:52.380 --> 00:34:56.940]   I think the foundation is gonna do great work now. She's got plenty she can do. Yeah
[00:34:56.940 --> 00:35:00.220]   uh anyway, um
[00:35:00.220 --> 00:35:05.020]   Michael wolf I was asking, uh, I don't know if you have an opinion on him
[00:35:05.020 --> 00:35:07.820]   But I think he made some very good
[00:35:07.820 --> 00:35:13.580]   points, um the media turned itself into the opposition and accordingly was voted down
[00:35:14.540 --> 00:35:18.940]   As the new political reality emerged typical of the media to say this was a vote on us, right?
[00:35:18.940 --> 00:35:21.900]   But he does make an excellent point when he says
[00:35:21.900 --> 00:35:24.940]   What do we learn here?
[00:35:24.940 --> 00:35:27.580]   Trump didn't buy ads ads don't work
[00:35:27.580 --> 00:35:30.700]   Clinton spent the usual billions and by the way
[00:35:30.700 --> 00:35:36.460]   A number of people in my business and the radio business have pointed out that this is very bad news
[00:35:36.460 --> 00:35:40.380]   For broadcasters who frankly depend on those buy annual
[00:35:41.020 --> 00:35:44.380]   Buys of political ads. That's a those are at top rates
[00:35:44.380 --> 00:35:50.620]   Big big influx of money trump bought hardly any ads. We learned that polls are not reliable
[00:35:50.620 --> 00:35:53.820]   That's what we learned at brexit. You would think we'd have
[00:35:53.820 --> 00:35:56.220]   I mean, this was another case of that work
[00:35:56.220 --> 00:36:01.100]   And I don't know if that's because people don't tell the truth the pollsters pollsters are probably perceived as media
[00:36:01.100 --> 00:36:03.340]   Right, so there you know screw you
[00:36:03.340 --> 00:36:10.700]   I don't know. I don't know a moment of vote for I also perceived that what the media did do was they conveyed a sense of
[00:36:11.100 --> 00:36:14.140]   If you openly support trump you will be ostracized
[00:36:14.140 --> 00:36:17.020]   You're a jerk and so people kept it to themselves and quietly voted
[00:36:17.020 --> 00:36:21.580]   So but I I disagree with this thesis that ads don't work and the reason I say that is that
[00:36:21.580 --> 00:36:26.060]   Trump had something better and more powerful than ads for example
[00:36:26.060 --> 00:36:29.180]   One of the best trolling that he did in this entire thing was he said
[00:36:29.180 --> 00:36:31.500]   I'm gonna I'm gonna go
[00:36:31.500 --> 00:36:36.220]   Open my trump tower my new trump building and on pennsylvania avenue
[00:36:36.700 --> 00:36:42.060]   And and the press went there and he was deliberately late by like an hour and cnn and all the cable news networks
[00:36:42.060 --> 00:36:45.820]   Just had this camera on his over and over on his hotel doing his brand
[00:36:45.820 --> 00:36:48.860]   He said I'm gonna make a major announcement. I don't remember what it was exactly
[00:36:48.860 --> 00:36:54.220]   About the birther issue about right i'm gonna announce what what i've concluded about obama's citizenship
[00:36:54.220 --> 00:36:58.620]   And then and then he went there. He's like, oh, there's nothing really say he's he's he's an american citizen and he left
[00:36:58.620 --> 00:37:04.860]   He was a one hour ad that he got for free. So that's better than advertising. He's a master
[00:37:05.260 --> 00:37:10.940]   I mean, there's no question he's a master of the media and he's learned that in reality television michael mark bernett taught him a lot
[00:37:10.940 --> 00:37:12.780]   Yeah, right
[00:37:12.780 --> 00:37:20.140]   Celebrity endorsements don't work. You know you you watch these clinton rallies with biancé and jz and trump
[00:37:20.140 --> 00:37:23.500]   And be standing there with you know john voi they're just morally
[00:37:23.500 --> 00:37:31.420]   Uh, and it didn't make a difference media endorsements don't work as you mentioned he got two newspaper endorsements one from the kkk
[00:37:31.580 --> 00:37:37.740]   Yep, one from sheldon idleson's last that's right las vegas review journal. Uh didn't make a difference
[00:37:37.740 --> 00:37:40.540]   Right ground games everybody's saying oh
[00:37:40.540 --> 00:37:47.100]   The clinton ground game. It's the best in the business. They got all the professionals on the ground didn't they got jeff jarvis
[00:37:47.100 --> 00:37:51.260]   Canvasing in the pencil v one did do what did it do didn't do diddly
[00:37:51.260 --> 00:37:55.820]   Well, it must have done diddly. Actually, we don't really know it all of these things could have worked
[00:37:56.220 --> 00:38:03.500]   Could be clinton started, you know with a 50 point deficit. We don't know it just didn't work enough. I guess is is his point
[00:38:03.500 --> 00:38:06.300]   um, so
[00:38:06.300 --> 00:38:08.300]   I I think one of the things
[00:38:08.300 --> 00:38:14.060]   That's kind of exciting about this is it's a new world
[00:38:14.060 --> 00:38:21.180]   and the media and especially social media is now has a very
[00:38:21.180 --> 00:38:25.100]   Powerful role in all this trump what did trump master the social media?
[00:38:25.260 --> 00:38:29.100]   You know one of the things that he did on social media. It's a very basic basic thing
[00:38:29.100 --> 00:38:34.380]   which is that 100 of his messaging on twitter and elsewhere was
[00:38:34.380 --> 00:38:38.140]   um, was a pandering of sorts to his
[00:38:38.140 --> 00:38:41.100]   desired audience whereas
[00:38:41.100 --> 00:38:49.500]   uh hillary clinton, I think she she was so over confident in victory that she had felt that she had the luxury to take the high road
[00:38:49.500 --> 00:38:54.460]   Now this is a cynical position i'm taking and I I understand that but she would tweet things like
[00:38:54.860 --> 00:38:56.300]   We need to support
[00:38:56.300 --> 00:38:58.300]   Muslim immigrants. We need to support
[00:38:58.300 --> 00:39:04.380]   Uh, the trans community the trans community does in my opinion need to be supported needs to be
[00:39:04.380 --> 00:39:07.660]   Uh accepted needs to have legal rights needs to have
[00:39:07.660 --> 00:39:13.180]   Everything that every other american has I personally believe that but that's such a tiny percentage
[00:39:13.180 --> 00:39:16.940]   Of the voting population that has a more shameless populate
[00:39:16.940 --> 00:39:23.180]   Politician, uh one who is more in tune with how social media is more effective we ignore
[00:39:23.740 --> 00:39:27.500]   The tiny little groups now i'm not saying it's ethically the right thing to do
[00:39:27.500 --> 00:39:31.660]   But i'm saying that's the thing that gets you elected whereas trump 100 percent of what he said
[00:39:31.660 --> 00:39:39.180]   appealed to the vast majority of his potential voters and he never went off and on principle supported anyone
[00:39:39.180 --> 00:39:44.540]   Or did or said anything that didn't wasn't directly related to getting him into office
[00:39:44.540 --> 00:39:51.100]   You know he had a fabulous feedback mechanism both on twitter and at the rallies in fact, I almost feel like the rallies
[00:39:51.900 --> 00:39:57.900]   Uh were like a comic trying out material he would try out stuff. Yes, and the stump speech was honed
[00:39:57.900 --> 00:40:01.660]   Yeah, just by the response from the crowd and he honed that
[00:40:01.660 --> 00:40:08.220]   Stump speech to the point where he didn't need to for instance prepare for the debates because he knew what the lines were
[00:40:08.220 --> 00:40:11.580]   That he needed to say the lines that got the biggest choose interesting points
[00:40:11.580 --> 00:40:14.620]   Uh and the lines that he had learned initially
[00:40:14.620 --> 00:40:17.340]   Uh from twitter
[00:40:17.340 --> 00:40:21.820]   Um, how about facebook's role in all of this does facebook have we were talking about
[00:40:21.820 --> 00:40:25.100]   For the show about what is does facebook have a responsibility?
[00:40:25.100 --> 00:40:29.020]   I think they do and and so there are two things going on with facebook
[00:40:29.020 --> 00:40:34.940]   So I I tweeted out this morning a little crowd uh crowdsourcing about these ideas and said, you know
[00:40:34.940 --> 00:40:39.340]   What is youtube's facebook's and twitter's role in this the outcome of this election
[00:40:39.340 --> 00:40:44.540]   And I got some pushback from people saying hey facebook is just you know people are just following who they want to fall
[00:40:44.540 --> 00:40:48.940]   I'm like, you know, no not not exactly facebook has a filtering algorithm something like 50
[00:40:49.260 --> 00:40:54.700]   Millennium's don't know the facebook filters the news feed. Yeah, um, so i think it's interesting
[00:40:54.700 --> 00:40:57.580]   They assume they're seeing a chronologic right and you're seeing a
[00:40:57.580 --> 00:41:04.940]   Minority of the things that the people you follow post right and and facebook and they make it harder to choose most recent by the way
[00:41:04.940 --> 00:41:13.740]   It stops stories and right on mobile you have to dig deep to find that and facebook's criteria is what gets the most engagement well emotional
[00:41:14.620 --> 00:41:20.540]   Often fabricated stories get the most engagement the most sharing the most clicks the most argument the most comments
[00:41:20.540 --> 00:41:23.900]   And so you end up with these dual filter bubbles
[00:41:23.900 --> 00:41:30.460]   So so we elites in the media and all etc have live in a world that's partially facebook constructed
[00:41:30.460 --> 00:41:35.180]   And I single out facebook more than twitter because it's so much bigger. It's 140 million americans use facebook
[00:41:35.180 --> 00:41:39.100]   and and then and then uh, there's another group of people who who
[00:41:39.100 --> 00:41:44.540]   You know facebook's algorithms result in a different world that they live in a world of
[00:41:44.620 --> 00:41:49.260]   Information and and what facebook one of the things facebook did is they got accused early
[00:41:49.260 --> 00:41:51.740]   um by the by bright bart of
[00:41:51.740 --> 00:41:53.500]   favoring
[00:41:53.500 --> 00:41:58.700]   Uh the liberal elites and so what they did is they overcompensated they fired the human staff
[00:41:58.700 --> 00:42:02.700]   They put it all in the hands of the algorithm and they were careful and avoided
[00:42:02.700 --> 00:42:08.700]   Eliminating patently false stories that that supported both sides but predominantly
[00:42:08.700 --> 00:42:10.300]   uh
[00:42:10.300 --> 00:42:14.860]   Pro-Trump stories many of these fabricated by Macedonian teenagers for profit, right?
[00:42:14.860 --> 00:42:19.500]   I don't know if you saw that news. Yeah, where we're a vast majority of the false stories
[00:42:19.500 --> 00:42:23.500]   Um that favored that we're anti-clint in our pro-Trump
[00:42:23.500 --> 00:42:29.020]   We're actually just generated by a small group of Macedonian teenagers just for money because they realize okay
[00:42:29.020 --> 00:42:33.420]   This is a way to get a lot of eyeballs and so on buzzfeed to a news gut. Yeah great story
[00:42:33.420 --> 00:42:39.100]   Yeah, how teens in the Balkans are duping trump supporters with fake news. That was the headline and so it's nice work
[00:42:39.100 --> 00:42:40.540]   If you can get it it's nice. We're gonna get it
[00:42:40.540 --> 00:42:44.380]   But but what is facebook's responsibility to not let that stuff go viral
[00:42:44.380 --> 00:42:51.260]   When when it when you can identify if it's false, I would argue zero. I mean what you don't want to do is start
[00:42:51.260 --> 00:42:55.820]   I don't know. This is maybe why trending topics aren't a great thing right have
[00:42:55.820 --> 00:43:02.700]   But what you I hate it's a slippery slope as soon as you start doing any editorial curation
[00:43:02.700 --> 00:43:08.220]   Uh, which they tried right? Yeah, and they got and they got reamed for it. Yeah. Uh what you what you can do
[00:43:08.220 --> 00:43:10.780]   They'll have a responsibility suddenly. Yeah, right
[00:43:10.780 --> 00:43:17.340]   So what what I think that the the journalism should be doing in this case and facebook should be collaborating is in
[00:43:17.340 --> 00:43:20.060]   entering facts and
[00:43:20.060 --> 00:43:24.940]   Fact-checking and such into people's conversations and let them choose whether they're not they want to act on it or not
[00:43:24.940 --> 00:43:30.540]   But I told the story I think on the show like two months ago the the picture of Justin Trudeau kissing a politician
[00:43:30.540 --> 00:43:33.580]   And when I moused over it
[00:43:34.620 --> 00:43:41.020]   Came the the related content the related content was buzzfeed saying people are passing around a fake picture of Justin Trudeau kissing a politician
[00:43:41.020 --> 00:43:46.700]   Interesting and right next one snopes. So you can see very easily as a system there that says hmm
[00:43:46.700 --> 00:43:53.740]   Before I share that maybe facebook could say uh some people some respected or outlets have looked into this already
[00:43:53.740 --> 00:43:57.740]   And uh, you may not want to share this you might want to share it because you want to laugh
[00:43:57.740 --> 00:44:00.540]   Eddie you might want to share it because you don't believe those uh, what's that's up to you
[00:44:00.620 --> 00:44:06.060]   But we just thought you might want to know this before you might have to in 10 minutes say oops. I got fooled
[00:44:06.060 --> 00:44:08.220]   Um
[00:44:08.220 --> 00:44:12.860]   Now that's not going to get rid of all fake news and all lies and all scummy things on the internet
[00:44:12.860 --> 00:44:17.020]   No, nothing's going to do that, but we can feed the conversations with more information
[00:44:17.020 --> 00:44:21.580]   This is one of my huge complaints about my dear business is that we still think of ourselves as a destination
[00:44:21.580 --> 00:44:28.140]   We tell you to come to us even on facebook and instant articles. We tell you this dizzying kaleidoscope of great activities going on
[00:44:28.300 --> 00:44:31.900]   Now stop and read my thousand word articles now get back to the kaleidoscope
[00:44:31.900 --> 00:44:37.020]   Right we're not at all appropriate to the platform and to what's going on there, which is conversation
[00:44:37.020 --> 00:44:43.900]   So we should be feeding good memes smart memes memes with facts memes with with with responsibility
[00:44:43.900 --> 00:44:48.460]   Into there and I and give people the opportunity to share good stuff. That's not what happens
[00:44:48.460 --> 00:44:54.060]   All the only but the smart people like pornography are the ones who take advantage of the medium put the crap in there
[00:44:54.060 --> 00:44:58.540]   The crap gets passed around then we would decry all of facebook and everybody on it because they're spreading it
[00:44:58.540 --> 00:45:01.020]   To see when we didn't do a damned thing to help
[00:45:01.020 --> 00:45:03.900]   Yeah
[00:45:03.900 --> 00:45:09.500]   In her concession speech this morning secretary clinton also mentioned secret facebook
[00:45:09.500 --> 00:45:16.620]   Groups and I think she was what was the reference? Oh, you know, no, i'm a member of the secret face. Oh, are you secret?
[00:45:16.620 --> 00:45:21.020]   Oh, that's like, yeah, so oh, she was okay. Yes. You're a member because you went at pants suit nation
[00:45:21.100 --> 00:45:25.660]   That's a nation else. I would well, but there are also secret groups on the other side of which they
[00:45:25.660 --> 00:45:30.460]   Have huge audiences and this is this is one of the things that don't show up in our filter bubbles
[00:45:30.460 --> 00:45:32.220]   But right do show up in the filter bubble
[00:45:32.220 --> 00:45:36.540]   So let's talk about the filter bubble because you jeff of a long time e like paris or course wrote the book
[00:45:36.540 --> 00:45:38.860]   right describing filter bubbles saying that
