;FFMETADATA1
album=This Week In Google
artist=Leo Laporte, Jeff Jarvis and Gina Trapani
iTunPGAP=0
comment=http://twit.tv/twig150
encoded_by=iTunes v7.0
genre=Tech News
TGID=http://www.podtrac.com/pts/redirect.mp3/twit.cachefly.net/twig0115.mp3
TDES=Hosts: Leo Laporte, Jeff Jarvis, and Gina Trapani\
\
Apple's iPhone 4S keynote, what is PhoneGap, \# on Google +, Google won't screw up Android, and more cloud news.\
\
Download or subscribe to this show at twit.tv/twig.\
\
We invite you to read, add to, and amend our show notes.\
\
Friendfeed links for this episode.\
\
Thanks to Cachefly for the bandwidth for this show.\
\
Running time: 1:29:14
track=150
title=This Week In Google 150: SIM surgery
date=2012
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.220]   Coming up, it's Twig.
[00:16:25.960 --> 00:16:26.960]   It will go.
[00:16:26.960 --> 00:16:29.000]   I don't want to show all my personal information.
[00:16:29.000 --> 00:16:32.160]   By the way, I love it when you get a new Google phone.
[00:16:32.160 --> 00:16:34.600]   It just downloaded all my apps and everything just here.
[00:16:34.600 --> 00:16:35.600]   Yeah, that's nice.
[00:16:35.600 --> 00:16:36.600]   It looks really smooth.
[00:16:36.600 --> 00:16:39.120]   It's like, you swipe through those screens.
[00:16:39.120 --> 00:16:40.120]   It looks beautiful.
[00:16:40.120 --> 00:16:42.360]   WAD Core baby really makes a difference.
[00:16:42.360 --> 00:16:43.360]   This thing is...
[00:16:43.360 --> 00:16:44.360]   Yeah, that screen is huge too.
[00:16:44.360 --> 00:16:45.360]   It looks like...
[00:16:45.360 --> 00:16:46.360]   Yeah, so 4.8 inches.
[00:16:46.360 --> 00:16:47.640]   Do you Leo to compare them?
[00:16:47.640 --> 00:16:48.640]   I do.
[00:16:48.640 --> 00:16:50.520]   John, would you get my notes?
[00:16:50.520 --> 00:16:52.640]   It's in the drawer of the office there.
[00:16:52.640 --> 00:16:53.880]   It's smaller than the note.
[00:16:53.880 --> 00:16:55.120]   This is 4.8 inches.
[00:16:55.120 --> 00:16:59.280]   So it's, and it's by the way, it is really thin.
[00:16:59.280 --> 00:17:03.240]   The Galaxy S2 had a little bump at the bottom for a radio transmitter.
[00:17:03.240 --> 00:17:06.880]   I'll compare it to the thickness of a pencil and you can see that it...
[00:17:06.880 --> 00:17:08.400]   I love that gag.
[00:17:08.400 --> 00:17:09.680]   I just keep using that gag.
[00:17:09.680 --> 00:17:10.680]   Here's the gala...
[00:17:10.680 --> 00:17:11.680]   No.
[00:17:11.680 --> 00:17:15.040]   Everybody on Twitter, I apologize.
[00:17:15.040 --> 00:17:16.440]   They've seen this for years.
[00:17:16.440 --> 00:17:17.440]   Here's the...
[00:17:17.440 --> 00:17:19.840]   Back from the place where phones go to die.
[00:17:19.840 --> 00:17:20.840]   Yeah, back.
[00:17:20.840 --> 00:17:22.320]   Yeah, because you notice I reset it.
[00:17:22.320 --> 00:17:25.960]   It's already saying villekommen, bienvenu, welcome.
[00:17:25.960 --> 00:17:27.800]   So there's the Galaxy Note.
[00:17:27.800 --> 00:17:29.920]   So it's noticeably bigger.
[00:17:29.920 --> 00:17:30.920]   It is...
[00:17:30.920 --> 00:17:34.000]   Oh yeah, it's not note size, but I mean a lot of people didn't like the note because
[00:17:34.000 --> 00:17:35.000]   it wasn't one-handed.
[00:17:35.000 --> 00:17:36.000]   Well, this is much more one-handed.
[00:17:36.000 --> 00:17:37.560]   It's not a fable.
[00:17:37.560 --> 00:17:38.560]   It's not a fable.
[00:17:38.560 --> 00:17:39.560]   It's not a fable.
[00:17:39.560 --> 00:17:40.560]   It's not a fable.
[00:17:40.560 --> 00:17:41.560]   But a 4.8 inches.
[00:17:41.560 --> 00:17:44.160]   And by the way, 1280 by 720.
[00:17:44.160 --> 00:17:48.280]   So this is actually close to the resolution of a 13-inch power book.
[00:17:48.280 --> 00:17:51.240]   It's 300 more than 300 dots per inch.
[00:17:51.240 --> 00:17:53.680]   So it is a retina display.
[00:17:53.680 --> 00:17:54.680]   And it is...
[00:17:54.680 --> 00:17:55.680]   Well, it is a super amoled.
[00:17:55.680 --> 00:17:59.760]   It is pen tile, but I have to say I don't have any of the pen tile color noise issues
[00:17:59.760 --> 00:18:02.120]   that I saw.
[00:18:02.120 --> 00:18:05.580]   And it wasn't too crazy about with the Nexus...
[00:18:05.580 --> 00:18:07.120]   This Galaxy Nexus.
[00:18:07.120 --> 00:18:08.840]   The whites are really white.
[00:18:08.840 --> 00:18:12.000]   The text is incredibly crisp.
[00:18:12.000 --> 00:18:13.600]   Very, very legible.
[00:18:13.600 --> 00:18:15.880]   This is a very fast phone.
[00:18:15.880 --> 00:18:16.880]   That's chrome.
[00:18:16.880 --> 00:18:17.880]   That's chrome.
[00:18:17.880 --> 00:18:18.880]   Yeah.
[00:18:18.880 --> 00:18:19.880]   And is that the default browser?
[00:18:19.880 --> 00:18:20.880]   No.
[00:18:20.880 --> 00:18:23.280]   Chrome comes with a traditional default browser.
[00:18:23.280 --> 00:18:27.080]   Comes with a lot of Samsung craps.
[00:18:27.080 --> 00:18:28.080]   Although they're not...
[00:18:28.080 --> 00:18:29.080]   I have to say touch...
[00:18:29.080 --> 00:18:30.080]   Don't have some good stuff from Samsung.
[00:18:30.080 --> 00:18:32.080]   TouchWiz 4 is not bad.
[00:18:32.080 --> 00:18:34.240]   This is TouchWiz.
[00:18:34.240 --> 00:18:36.760]   It is on ICS 4.04.
[00:18:36.760 --> 00:18:38.400]   But TouchWiz 4 is not horrible.
[00:18:38.400 --> 00:18:40.200]   And it does have some...
[00:18:40.200 --> 00:18:42.200]   The Samsung apps.
[00:18:42.200 --> 00:18:43.400]   I thought it was going to have a stylus.
[00:18:43.400 --> 00:18:44.880]   It doesn't have a stylus.
[00:18:44.880 --> 00:18:50.640]   But it does come with S-M-O-S voice, which is the Siri clone and actually is quite good.
[00:18:50.640 --> 00:18:55.520]   It is PlayBob Dylan.
[00:18:55.520 --> 00:18:56.960]   And it's really quick.
[00:18:56.960 --> 00:19:00.040]   It's actually faster than Siri.
[00:19:00.040 --> 00:19:04.840]   It does a pretty good job of understanding text messages or opening applications.
[00:19:04.840 --> 00:19:08.000]   Things Siri cannot do.
[00:19:08.000 --> 00:19:12.040]   I'm actually kind of fond of this.
[00:19:12.040 --> 00:19:13.040]   She speaks.
[00:19:13.040 --> 00:19:14.200]   Does it have a she that speaks to you?
[00:19:14.200 --> 00:19:15.200]   Yes.
[00:19:15.200 --> 00:19:16.200]   I believe that she speaks.
[00:19:16.200 --> 00:19:19.200]   I don't remember off the top of my head.
[00:19:19.200 --> 00:19:22.200]   Samsung then comes with a planner and a few other things.
[00:19:22.200 --> 00:19:23.840]   Video Hub, Music Hub.
[00:19:23.840 --> 00:19:26.680]   Actually, the music player is quite good.
[00:19:26.680 --> 00:19:29.400]   Good enough that I made it my default music player.
[00:19:29.400 --> 00:19:33.240]   One thing I really like about the Samsung music player, it supports DLNA.
[00:19:33.240 --> 00:19:35.760]   So at home, I have two DLNA devices.
[00:19:35.760 --> 00:19:40.720]   My AV receiver from Oculo and an internet radio, the Grace Mondo.
[00:19:40.720 --> 00:19:41.800]   They both show up here.
[00:19:41.800 --> 00:19:44.400]   They're not showing up here because I'm not at home on this.
[00:19:44.400 --> 00:19:47.240]   If I'm listening to a song, I can send it right to my stereo.
[00:19:47.240 --> 00:19:49.000]   In seconds, it's playing on the stereo.
[00:19:49.000 --> 00:19:50.720]   Same thing with video.
[00:19:50.720 --> 00:19:56.360]   I can be watching video here and send it right to the TV set.
[00:19:56.360 --> 00:19:58.960]   So that DLNA is actually kind of like AirPlay.
[00:19:58.960 --> 00:20:00.200]   Works quite nicely.
[00:20:00.200 --> 00:20:01.800]   That's nice.
[00:20:01.800 --> 00:20:05.320]   Quad Core 1.4 gigahertz XNO's processor.
[00:20:05.320 --> 00:20:06.680]   That will not be the case.
[00:20:06.680 --> 00:20:10.520]   I'm not sure, but I understand that will not be the case on all the US carriers.
[00:20:10.520 --> 00:20:13.240]   I think there may not be a quad core.
[00:20:13.240 --> 00:20:18.960]   One of the things I really like in the teardown, I fix it, publish the teardown.
[00:20:18.960 --> 00:20:27.720]   It has the same exact camera app or not app sensor as the iPhone 4S.
[00:20:27.720 --> 00:20:32.720]   It has its own app, but I think quite a good app, including the ability to shoot bursts,
[00:20:32.720 --> 00:20:37.360]   HDR, a panorama, built-in panorama that was quite good.
[00:20:37.360 --> 00:20:39.760]   In fact, I posted on my Google+ account a panorama.
[00:20:39.760 --> 00:20:40.760]   It was fun.
[00:20:40.760 --> 00:20:41.760]   Yeah.
[00:20:41.760 --> 00:20:42.760]   And if you zoom in, it looks good.
[00:20:42.760 --> 00:20:46.000]   I'll tell you what, I'll shoot a quick panorama here just to give you an idea of how quick
[00:20:46.000 --> 00:20:47.000]   it is.
[00:20:47.000 --> 00:20:48.000]   We'll shoot here.
[00:20:48.000 --> 00:20:49.400]   You just do this.
[00:20:49.400 --> 00:20:50.400]   I'm in the camera.
[00:20:50.400 --> 00:20:52.800]   Let me put it in panorama mode here.
[00:20:52.800 --> 00:20:54.080]   And that's the Samsung camera app.
[00:20:54.080 --> 00:20:55.080]   That's not the ICS.
[00:20:55.080 --> 00:20:59.320]   This is the Samsung app, not the ICS app, although I think the ICS app has similar capabilities.
[00:20:59.320 --> 00:21:00.920]   I'll start here.
[00:21:00.920 --> 00:21:02.120]   It keeps you level.
[00:21:02.120 --> 00:21:07.160]   You just slowly rotate it and it takes the pictures when it gets to where it needs to.
[00:21:07.160 --> 00:21:11.640]   With this app, you really see the speed of the quad core processors.
[00:21:11.640 --> 00:21:14.240]   Once I'm done, I think it takes eight or nine images.
[00:21:14.240 --> 00:21:17.920]   I'm actually going a little slower than I did when I took the...
[00:21:17.920 --> 00:21:21.600]   I'm just rotating it around like that.
[00:21:21.600 --> 00:21:27.360]   And when it's done, I'll make sure I can tell you when it's about to do this.
[00:21:27.360 --> 00:21:28.360]   Yeah.
[00:21:28.360 --> 00:21:29.360]   It's done.
[00:21:29.360 --> 00:21:30.360]   It's stitched.
[00:21:30.360 --> 00:21:34.920]   It didn't take any time to do the stitch, which is kind of amazing.
[00:21:34.920 --> 00:21:38.480]   And here, let's turn it sideways.
[00:21:38.480 --> 00:21:39.480]   Here it is.
[00:21:39.480 --> 00:21:40.480]   Oh, cool.
[00:21:40.480 --> 00:21:41.480]   Wow.
[00:21:41.480 --> 00:21:42.480]   It's really good.
[00:21:42.480 --> 00:21:43.480]   Sorry, Gina.
[00:21:43.480 --> 00:21:45.240]   She was blinking.
[00:21:45.240 --> 00:21:46.240]   She was blinking.
[00:21:46.240 --> 00:21:48.160]   But really, I mean, that did that instantly.
[00:21:48.160 --> 00:21:49.840]   And as far as I can tell, there are no solutions.
[00:21:49.840 --> 00:21:51.400]   At least you're in the picture, Gina.
[00:21:51.400 --> 00:21:52.400]   Yeah.
[00:21:52.400 --> 00:21:53.400]   No, Jeff's kind of sorta.
[00:21:53.400 --> 00:21:54.400]   Right?
[00:21:54.400 --> 00:21:55.400]   There he is.
[00:21:55.400 --> 00:21:56.400]   Oh, there you go.
[00:21:56.400 --> 00:22:00.560]   I went Gina to Jeff.
[00:22:00.560 --> 00:22:02.960]   So yeah, this is the Samsung app.
[00:22:02.960 --> 00:22:04.840]   I think the Samsung app actually pretty good.
[00:22:04.840 --> 00:22:07.600]   I think they do a pretty compelling job.
[00:22:07.600 --> 00:22:08.600]   So I'm impressed.
[00:22:08.600 --> 00:22:09.600]   I, you know...
[00:22:09.600 --> 00:22:10.920]   A flip board exclusive?
[00:22:10.920 --> 00:22:11.920]   Oh, I didn't...
[00:22:11.920 --> 00:22:13.840]   Yes, I forgot to mention.
[00:22:13.840 --> 00:22:14.840]   Here's the flip board.
[00:22:14.840 --> 00:22:16.600]   And flip board is just like on iOS.
[00:22:16.600 --> 00:22:17.960]   It's excellent.
[00:22:17.960 --> 00:22:21.040]   Same as the iOS where you flip up.
[00:22:21.040 --> 00:22:24.880]   It immediately recognized, I logged into my flip board account and downloaded all my
[00:22:24.880 --> 00:22:27.560]   flip board sources.
[00:22:27.560 --> 00:22:29.240]   It doesn't have audio or it doesn't.
[00:22:29.240 --> 00:22:31.200]   Let me check.
[00:22:31.200 --> 00:22:34.040]   Has video, but no audio.
[00:22:34.040 --> 00:22:35.360]   So they haven't updated that yet.
[00:22:35.360 --> 00:22:36.360]   I think that's only on the iPad.
[00:22:36.360 --> 00:22:38.200]   I don't remember if that's on the iPhone yet.
[00:22:38.200 --> 00:22:40.440]   I don't think it is.
[00:22:40.440 --> 00:22:41.440]   It's just...
[00:22:41.440 --> 00:22:43.000]   Yeah, I love flip board.
[00:22:43.000 --> 00:22:45.000]   I'm very happy to have flip board on here.
[00:22:45.000 --> 00:22:46.840]   That looks really nice.
[00:22:46.840 --> 00:22:51.560]   You get 50 gigabytes of Dropbox storage for free for two years, by the way.
[00:22:51.560 --> 00:22:52.560]   Really?
[00:22:52.560 --> 00:22:53.560]   Yeah.
[00:22:53.560 --> 00:22:56.920]   As when you buy the phone, it just comes with extra Dropbox?
[00:22:56.920 --> 00:22:57.920]   Yeah.
[00:22:57.920 --> 00:23:00.560]   Don't know why, but it does.
[00:23:00.560 --> 00:23:02.960]   So all in all, I must say I love it.
[00:23:02.960 --> 00:23:07.120]   Two thumbs up to a steal from Cisco and Ebert.
[00:23:07.120 --> 00:23:10.880]   Good size, it's a nice intermediate between the Galaxy S2 and the Note.
[00:23:10.880 --> 00:23:13.920]   Watch how small it is.
[00:23:13.920 --> 00:23:15.880]   I'll tell you the negative.
[00:23:15.880 --> 00:23:19.160]   It's slippery, thin and light.
[00:23:19.160 --> 00:23:21.280]   I'm going to drop this for sure.
[00:23:21.280 --> 00:23:25.480]   And of course, because there's no cases yet.
[00:23:25.480 --> 00:23:27.360]   But I think they've done everything right.
[00:23:27.360 --> 00:23:34.360]   It's got a 1.9 megapixel front camera, so it's better than the front camera on any of
[00:23:34.360 --> 00:23:35.360]   the iPhones.
[00:23:35.360 --> 00:23:40.920]   I mean, this is Samsung saying, okay, let's see what you got, Apple.
[00:23:40.920 --> 00:23:44.080]   And it'll be very interesting to see what Apple responds with this fall.
[00:23:44.080 --> 00:23:47.000]   I'm sure that they'll be in a tug of war.
[00:23:47.000 --> 00:23:51.120]   But a lot to be said for this, as you could feel how fast it is.
[00:23:51.120 --> 00:23:53.400]   Yeah, that's a really nice phone.
[00:23:53.400 --> 00:23:54.400]   What's the deal with the colors?
[00:23:54.400 --> 00:23:56.640]   You can only get white now, but in red later, is there a white?
[00:23:56.640 --> 00:23:58.720]   They have white and blue and Verizon.
[00:23:58.720 --> 00:24:00.960]   I think it's Verizon's going to have red.
[00:24:00.960 --> 00:24:04.440]   The pebble blue, they were having some trouble with the back, not matching the front.
[00:24:04.440 --> 00:24:05.440]   I think they're shipping them.
[00:24:05.440 --> 00:24:06.440]   I'll ship them.
[00:24:06.440 --> 00:24:07.440]   I got white.
[00:24:07.440 --> 00:24:08.440]   I thought, what the heck?
[00:24:08.440 --> 00:24:09.440]   This is...
[00:24:09.440 --> 00:24:11.320]   Alright, so someone were buying a phone today, would you recommend this?
[00:24:11.320 --> 00:24:12.320]   AT&T gets red.
[00:24:12.320 --> 00:24:15.400]   Would you recommend this or the note or what?
[00:24:15.400 --> 00:24:18.240]   Oh, this is definitely the best Android phone by far.
[00:24:18.240 --> 00:24:19.240]   Yes.
[00:24:19.240 --> 00:24:20.240]   Not even question.
[00:24:20.240 --> 00:24:24.480]   Compete's, I think, very nicely with the Galaxy.
[00:24:24.480 --> 00:24:27.880]   I mean, the iPhone 4S, we'll see what happens with the iPhone 5.
[00:24:27.880 --> 00:24:29.280]   And by the way, Apple is...
[00:24:29.280 --> 00:24:30.480]   I'll tell you how good it is.
[00:24:30.480 --> 00:24:34.280]   Apple is calling for an early ban on it.
[00:24:34.280 --> 00:24:36.280]   Apple has a good indicator.
[00:24:36.280 --> 00:24:38.280]   You're still there.
[00:24:38.280 --> 00:24:39.760]   There we are.
[00:24:39.760 --> 00:24:41.600]   No, look how thin that is.
[00:24:41.600 --> 00:24:43.880]   And it's very light.
[00:24:43.880 --> 00:24:47.360]   For all the power in that thing, it's really kind of remarkable.
[00:24:47.360 --> 00:24:48.360]   Nice screen.
[00:24:48.360 --> 00:24:50.520]   I was watching video on it last night.
[00:24:50.520 --> 00:24:52.200]   Great HD screen.
[00:24:52.200 --> 00:24:53.200]   And so how are you feeling about it?
[00:24:53.200 --> 00:24:54.680]   I see us now that you're...
[00:24:54.680 --> 00:24:57.240]   Ah, I love it because this has buttons.
[00:24:57.240 --> 00:24:58.240]   Right.
[00:24:58.240 --> 00:24:59.240]   So I've got a menu button.
[00:24:59.240 --> 00:25:03.160]   At the bottom, I've got the capacitance buttons that Samsung put on the note.
[00:25:03.160 --> 00:25:06.680]   The menu is here, the back button is here, and the home button is here.
[00:25:06.680 --> 00:25:07.680]   I can really see...
[00:25:07.680 --> 00:25:08.680]   I just saw the...
[00:25:08.680 --> 00:25:10.000]   Yeah, they actually glow kind of...
[00:25:10.000 --> 00:25:13.440]   You can't see it, but they glow very nicely, actually.
[00:25:13.440 --> 00:25:16.080]   So as long as I always have a menu here, I don't...
[00:25:16.080 --> 00:25:17.800]   I see us does not bother me.
[00:25:17.800 --> 00:25:20.880]   And there are other things I love about ICS.
[00:25:20.880 --> 00:25:23.880]   Oh, there they are.
[00:25:23.880 --> 00:25:24.880]   Yeah.
[00:25:24.880 --> 00:25:25.880]   Yeah, you can see them kind of.
[00:25:25.880 --> 00:25:26.880]   Very nice.
[00:25:26.880 --> 00:25:27.880]   Very nice.
[00:25:27.880 --> 00:25:28.880]   They're capacitive.
[00:25:28.880 --> 00:25:30.600]   Lots of nice...
[00:25:30.600 --> 00:25:31.760]   Yeah, I mean, this is...
[00:25:31.760 --> 00:25:32.760]   You know what, ICS does...
[00:25:32.760 --> 00:25:36.400]   This is touch-ways on top of ICS, so ICS doesn't impinge.
[00:25:36.400 --> 00:25:38.040]   Every once in a while, I'll see a menu button there.
[00:25:38.040 --> 00:25:42.000]   But as long as I've got my menu button at the bottom of the physical menu button, I'm
[00:25:42.000 --> 00:25:43.000]   all right.
[00:25:43.000 --> 00:25:44.560]   I'm loving it.
[00:25:44.560 --> 00:25:45.560]   And there's some nice things...
[00:25:45.560 --> 00:25:48.640]   Samsung put in some gestures so you can shake it.
[00:25:48.640 --> 00:25:52.960]   Supposedly, and I don't know if this works, when the screen is off, let's see if it works.
[00:25:52.960 --> 00:25:55.560]   I'm supposed to be able to put my finger on this turn it sideways and it launches the
[00:25:55.560 --> 00:25:56.560]   camera.
[00:25:56.560 --> 00:25:59.520]   I haven't been able to figure out why that's not doing that.
[00:25:59.520 --> 00:26:00.840]   There's some shake things.
[00:26:00.840 --> 00:26:06.560]   If you are on a contact and you put the phone in your ear, it will dial that contact.
[00:26:06.560 --> 00:26:08.960]   You can of course turn these things off.
[00:26:08.960 --> 00:26:10.560]   But this is kind of wild.
[00:26:10.560 --> 00:26:14.320]   Let me go to somebody I don't mind if I call them.
[00:26:14.320 --> 00:26:17.360]   I'll call me.
[00:26:17.360 --> 00:26:18.360]   And I put it to my ear.
[00:26:18.360 --> 00:26:21.120]   It should call me.
[00:26:21.120 --> 00:26:22.600]   Maybe it's not doing that.
[00:26:22.600 --> 00:26:23.600]   So some interesting things.
[00:26:23.600 --> 00:26:25.520]   This is the Galaxy S3.
[00:26:25.520 --> 00:26:27.200]   It is going to be on all four carriers.
[00:26:27.200 --> 00:26:33.160]   AT&T will have the red, pebble blue, and marble white on the other carriers.
[00:26:33.160 --> 00:26:34.520]   This is comparable to the One X.
[00:26:34.520 --> 00:26:36.360]   I like it a little better than the One X.
[00:26:36.360 --> 00:26:39.840]   It certainly feels a lot thinner and lighter.
[00:26:39.840 --> 00:26:42.040]   So quick review of the Galaxy S3.
[00:26:42.040 --> 00:26:47.000]   I ordered it unlocked early so that I could talk about it.
[00:26:47.000 --> 00:26:48.000]   Very impressive.
[00:26:48.000 --> 00:26:50.280]   It lives up to all of the good things we've heard.
[00:26:50.280 --> 00:26:55.280]   So if you're buying a phone right now, I might wait until the end of the month, right?
[00:26:55.280 --> 00:26:57.880]   Oh, you got Google I/O and WWDC happening this month.
[00:26:57.880 --> 00:26:58.880]   They'll be some announcements.
[00:26:58.880 --> 00:27:00.840]   I don't think Apple's going to have an iPhone until September.
[00:27:00.840 --> 00:27:03.480]   So that's when iOS 6 will come out.
[00:27:03.480 --> 00:27:04.480]   Right.
[00:27:04.480 --> 00:27:05.480]   That makes sense.
[00:27:05.480 --> 00:27:06.480]   And you're right.
[00:27:06.480 --> 00:27:08.080]   Google I/O they might announce the S4.
[00:27:08.080 --> 00:27:09.080]   So yeah.
[00:27:09.080 --> 00:27:12.880]   I don't think they will.
[00:27:12.880 --> 00:27:14.360]   Oh, and removable battery.
[00:27:14.360 --> 00:27:16.040]   And I always order a couple extra batteries.
[00:27:16.040 --> 00:27:18.760]   So that's one thing over the HTC.
[00:27:18.760 --> 00:27:21.400]   Even though this is really thin, you can pop the battery.
[00:27:21.400 --> 00:27:24.960]   It is a 21 milliamp hour battery, which is almost as big.
[00:27:24.960 --> 00:27:26.560]   And the note is 2500.
[00:27:26.560 --> 00:27:27.560]   It's a big battery.
[00:27:27.560 --> 00:27:30.080]   It's much bigger than the Galaxy S2.
[00:27:30.080 --> 00:27:31.160]   So I don't know yet.
[00:27:31.160 --> 00:27:32.960]   I haven't charged.
[00:27:32.960 --> 00:27:36.960]   I'm running on a single charge and I'm about half done.
[00:27:36.960 --> 00:27:38.280]   But I've been using it like crazy.
[00:27:38.280 --> 00:27:44.440]   So I think battery life is going to be strong on this thing.
[00:27:44.440 --> 00:27:46.920]   Anything else you'd like to know?
[00:27:46.920 --> 00:27:47.920]   Are you switching?
[00:27:47.920 --> 00:27:48.920]   This is now your full time phone.
[00:27:48.920 --> 00:27:50.600]   Yeah, I took the sim out of the iPhone.
[00:27:50.600 --> 00:27:51.600]   Yeah, yeah.
[00:27:51.600 --> 00:27:52.600]   Okay.
[00:27:52.600 --> 00:27:54.040]   Oh, that was something else I found out.
[00:27:54.040 --> 00:27:56.680]   It's a micro sim, not a full sim.
[00:27:56.680 --> 00:28:02.000]   And if you're going to cut down your regular sim, you got to do it really carefully.
[00:28:02.000 --> 00:28:06.800]   Oh, well, you were sitting down yourself.
[00:28:06.800 --> 00:28:09.440]   Don't recommend it.
[00:28:09.440 --> 00:28:12.440]   I have a live or did you record that?
[00:28:12.440 --> 00:28:14.160]   I did on Liz's desk.
[00:28:14.160 --> 00:28:15.800]   Liz saw me do it.
[00:28:15.800 --> 00:28:18.920]   So I'm seven hours, nine minutes, 57 seconds on battery.
[00:28:18.920 --> 00:28:20.920]   It's 37% down.
[00:28:20.920 --> 00:28:25.320]   29% of that was screen as usual on these big beautiful screens.
[00:28:25.320 --> 00:28:26.320]   They're the big ones.
[00:28:26.320 --> 00:28:29.040]   But I wouldn't say unusual.
[00:28:29.040 --> 00:28:30.040]   This is good.
[00:28:30.040 --> 00:28:31.680]   So I've got a third left.
[00:28:31.680 --> 00:28:35.440]   So we're going to probably get eight or nine hours of heavy use.
[00:28:35.440 --> 00:28:36.840]   Yeah.
[00:28:36.840 --> 00:28:39.640]   So now I have to get a new sim.
[00:28:39.640 --> 00:28:43.000]   So it didn't work.
[00:28:43.000 --> 00:28:46.320]   Well, if I'd done it right or I got a sim cutter it would have.
[00:28:46.320 --> 00:28:47.560]   Yes, you could totally do that.
[00:28:47.560 --> 00:28:52.400]   But I was just like, hey, I'm just going to cut this.
[00:28:52.400 --> 00:28:54.160]   And I think I clipped it a little bit.
[00:28:54.160 --> 00:28:58.600]   And you know, I mean, and it fits very nicely.
[00:28:58.600 --> 00:29:00.400]   But I know this is going to-- it's so slippery.
[00:29:00.400 --> 00:29:01.720]   It's going to slide right out.
[00:29:01.720 --> 00:29:02.720]   It's going to hit the toilet.
[00:29:02.720 --> 00:29:06.560]   Do you have to go to the store and admit that that's lit us?
[00:29:06.560 --> 00:29:07.080]   Huh?
[00:29:07.080 --> 00:29:09.040]   Hello, I need to do sim.
[00:29:09.040 --> 00:29:10.160]   Yeah, but you can AT&T.
[00:29:10.160 --> 00:29:10.640]   You can do that.
[00:29:10.640 --> 00:29:11.560]   You can say, hey, I got a new phone.
[00:29:11.560 --> 00:29:13.040]   Can I give a sim?
[00:29:13.040 --> 00:29:13.840]   And they'll do that.
[00:29:13.840 --> 00:29:14.560]   No problem.
[00:29:14.560 --> 00:29:17.360]   They don't care as long as they don't care as long as you're a customer.
[00:29:17.360 --> 00:29:20.360]   If I want to go out and buy an unlocked phone, they don't mind.
[00:29:20.360 --> 00:29:21.760]   I'm not asking for money back.
[00:29:21.760 --> 00:29:24.160]   I'm just saying I want to be a customer some more.
[00:29:24.160 --> 00:29:26.160]   So yeah, you can always get new sims.
[00:29:26.160 --> 00:29:27.760]   You can say my sim fell out.
[00:29:27.760 --> 00:29:30.160]   [LAUGHTER]
[00:29:30.160 --> 00:29:31.360]   I'll tell them.
[00:29:31.360 --> 00:29:31.960]   You know what?
[00:29:31.960 --> 00:29:33.360]   They know me at the AT&T store.
[00:29:33.360 --> 00:29:37.560]   The last time I was in there, they said, oh, you drop your phone in the water, right?
[00:29:37.560 --> 00:29:38.360]   And I said, yeah.
[00:29:38.360 --> 00:29:39.360]   [LAUGHTER]
[00:29:39.360 --> 00:29:40.360]   I need to do sim.
[00:29:40.360 --> 00:29:42.360]   I appreciate the DIY spirit, Leo.
[00:29:42.360 --> 00:29:43.160]   Yeah.
[00:29:43.160 --> 00:29:43.960]   Oh, I liked it.
[00:29:43.960 --> 00:29:46.360]   I just-- you know, careful when you're cutting.
[00:29:46.360 --> 00:29:47.360]   Get a cutter.
[00:29:47.360 --> 00:29:48.360]   It's better.
[00:29:48.360 --> 00:29:49.360]   It's better.
[00:29:49.360 --> 00:29:52.360]   So Google had its event this morning.
[00:29:52.360 --> 00:29:53.360]   Did you all watch it?
[00:29:53.360 --> 00:29:54.360]   Didn't watch it.
[00:29:54.360 --> 00:29:56.360]   No, when I saw the maps, they look cool.
[00:29:56.360 --> 00:29:58.360]   Yeah, I didn't watch either.
[00:29:58.360 --> 00:29:59.360]   But--
[00:29:59.360 --> 00:30:00.360]   What's wrong with you guys?
[00:30:00.360 --> 00:30:01.360]   I didn't watch it.
[00:30:01.360 --> 00:30:02.360]   [LAUGHTER]
[00:30:02.360 --> 00:30:11.360]   So this is Google clearly trying to steal a lead on Apple, which on Monday will have its
[00:30:11.360 --> 00:30:15.360]   announcement that it's not going to use Google Maps anymore, I think, right?
[00:30:15.360 --> 00:30:16.360]   Mm-hmm.
[00:30:16.360 --> 00:30:18.160]   Yep, that's what it sounds like.
[00:30:18.160 --> 00:30:22.360]   So what Google's trying to do is saying, are you sure we're going to be really good?
[00:30:22.360 --> 00:30:23.360]   Blower heads off.
[00:30:23.360 --> 00:30:25.360]   Here, check this out.
[00:30:25.360 --> 00:30:30.360]   So three key features, 3D models in Google Earth.
[00:30:30.360 --> 00:30:33.120]   So offline maps, that's big.
[00:30:33.120 --> 00:30:35.360]   So you can download the maps ahead of time.
[00:30:35.360 --> 00:30:37.440]   Yeah, that's really nice.
[00:30:37.440 --> 00:30:39.080]   That's a big deal.
[00:30:39.080 --> 00:30:41.160]   And then something called Street View Backpack.
[00:30:41.160 --> 00:30:43.000]   What's that?
[00:30:43.000 --> 00:30:49.000]   That's so that you can-- the apparatus can be taken into places where cars don't go.
[00:30:49.000 --> 00:30:50.000]   Oh.
[00:30:50.000 --> 00:30:55.360]   Right, so it's this backpack with this giant robot head with a bunch of cameras on top.
