;FFMETADATA1
title=Flying Cellphones
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=326
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.620]   It's time for Twig this week in Google. Oh, I'm so excited Jeff Jarvis has the day off
[00:24:04.080 --> 00:24:08.720]   Who was that that was complaining that the having paid written an article and maybe it was on
[00:24:09.560 --> 00:24:14.600]   Post is one of the examples and they said hey, we'll publish it how much oh nothing
[00:24:14.600 --> 00:24:19.760]   You should be happy. We're giving you the distribution. Yeah, like like you like you thank us for offering
[00:24:19.760 --> 00:24:22.720]   Yeah, that's not cool. Yeah, you know like
[00:24:22.720 --> 00:24:28.880]   Well, you know, I shouldn't say that because I'm not paying you to be here Christopher. You're not
[00:24:28.880 --> 00:24:33.840]   A lot of our don't try to give me that iPad
[00:24:33.840 --> 00:24:36.360]   a lot of our
[00:24:36.360 --> 00:24:40.440]   People who come on a come on for the publicity or for the fun
[00:24:40.440 --> 00:24:42.200]   I think you're not here publicity year for fun
[00:24:42.200 --> 00:24:45.240]   I want to get the photos and or to take pictures. Yeah, but but uh,
[00:24:45.240 --> 00:24:49.720]   We pay regular hosts people on our right with paid Gina. We pay people are on a regular basis
[00:24:49.720 --> 00:24:52.040]   But a lot of the genius Jean is getting paid
[00:24:52.040 --> 00:24:55.120]   What? No, absolutely not
[00:24:55.120 --> 00:25:01.520]   We're gonna send her a Fez at the end of the year and call it even I get paid empezzes
[00:25:01.520 --> 00:25:05.520]   Yeah, sweet. We have a new hat. It's called a chappo. You're gonna love it
[00:25:06.480 --> 00:25:11.200]   Um, so but I so I understand that there is not it's not unusual. I have some sort of tit for tat
[00:25:11.200 --> 00:25:14.560]   People come on Twitter all the time and don't get paid
[00:25:14.560 --> 00:25:21.440]   Well CNN has a giant business. I mean, that's talented. Yeah, CNN's not paying contributors and those people are working hard
[00:25:21.440 --> 00:25:23.440]   They're showing up at seven in the morning
[00:25:23.440 --> 00:25:27.240]   Making stop on air paid by actually, you know what? I did get paid
[00:25:27.240 --> 00:25:31.880]   You know pays is live with Regis and Kelly are now Kelly and Michael
[00:25:32.080 --> 00:25:38.000]   They but they have to pay cuz after cuz they're not a news operation. Oh, so they pay a union scale
[00:25:38.000 --> 00:25:45.160]   Which doesn't cover you than I guess I'll accept their invitations 982 dollars last time I checked something like that
[00:25:45.160 --> 00:25:50.680]   But you're right CNN never paid me because they're a news operation and they don't they're not bound by the union rules
[00:25:50.680 --> 00:25:54.760]   And so yeah, you show up you put on makeup to get dressed
[00:25:54.760 --> 00:25:58.120]   Because it's good PR it's good publicity
[00:25:58.520 --> 00:26:03.560]   So I'm not sure that I blame the having a post for trying. I don't blame people for saying no either
[00:26:03.560 --> 00:26:08.400]   Well, right. I mean, that's a thing right Leo people say no if they've got you know, they can't do it
[00:26:08.400 --> 00:26:10.400]   They say no or or not, you know
[00:26:10.400 --> 00:26:12.200]   It's funny
[00:26:12.200 --> 00:26:13.240]   It's a sensitive topic
[00:26:13.240 --> 00:26:15.760]   I was in Luxor two years ago and a balloon
[00:26:15.760 --> 00:26:20.880]   You maybe saw some of this and the balloon next to me blew up and it killed 20 people and I took all the photos
[00:26:20.880 --> 00:26:26.160]   And I tweeted it and all of a sudden they wanted the photos for the cover of like every newspaper, right?
[00:26:26.720 --> 00:26:30.760]   And I was in the middle of this thing and I just didn't feel right about making money
[00:26:30.760 --> 00:26:33.920]   And so I said anyone could use the photo for free and I got a lot
[00:26:33.920 --> 00:26:38.200]   I mean a lot of people are thank you saying thank you, but a lot of people were saying that's not professional
[00:26:38.200 --> 00:26:40.200]   You should have charged. Yeah. Oh
[00:26:40.200 --> 00:26:45.520]   Like you write your decision affected other photographers right?
[00:26:45.520 --> 00:26:51.880]   You know in the industry of your professional you need to charge because we don't want to start this cycle of people getting content for free
[00:26:52.400 --> 00:26:58.600]   I'm just glad I do a balloon right over Luxor. I didn't realize that oh, yeah, how's it? It's really hard
[00:26:58.600 --> 00:27:08.240]   Was that not not a good morning no must have been a horrible thing to see yeah, particularly with a yeah
[00:27:08.240 --> 00:27:10.240]   And a tragedy like that yeah
[00:27:10.240 --> 00:27:17.200]   Are you all gonna run out and get the new togg-hoier Android wear watch I?
[00:27:18.640 --> 00:27:22.280]   Don't think on the target audience. There's some really hairy wrists in that
[00:27:22.280 --> 00:27:31.240]   It's the hairy wrist watch the hairy wrist watch yeah our friend Kevin Rose did a did an article in a review
[00:27:31.240 --> 00:27:35.960]   On his he's now a watch guy, you know, he's the CEO of Houdinkey
[00:27:35.960 --> 00:27:45.240]   What is what is Houdinkey a content Justin is that a comment? Yeah, so what it was it's a was a watch blog that's expanded and now mean
[00:27:46.120 --> 00:27:50.240]   You know Kevin told me once I don't think it means anything okay
[00:27:50.240 --> 00:27:55.640]   Last URL available. Yeah, yeah all the other names taken basically
[00:27:55.640 --> 00:28:01.080]   When I looked at the watch, you know, it's bait it is functionally
[00:28:01.080 --> 00:28:06.360]   No different than any other Android wear watch that's not surprising because that's how Android wear works
[00:28:06.360 --> 00:28:07.880]   But it doesn't even have a heart rate monitor
[00:28:07.880 --> 00:28:11.560]   So it's not from functional point of view as good as let's say the new Moto 360
[00:28:11.560 --> 00:28:15.900]   Which is one tenth the price or not quite one tenth, but one eighth the price
[00:28:15.900 --> 00:28:19.880]   But it is togg-hoier
[00:28:19.880 --> 00:28:26.480]   Right and it does have you know a nice titanium case and you know, but but that display
[00:28:26.480 --> 00:28:32.280]   That's that's the same as any other Android wear watch they come with the this is what Apple does too
[00:28:32.280 --> 00:28:40.440]   They come Apple with the Hermes Apple watch it's an Apple watch, but it has a different watch face and different band
[00:28:41.440 --> 00:28:46.920]   Talk who is doing something interesting though. They're offering an upgrade in two years. Oh
[00:28:46.920 --> 00:28:51.800]   So into you're purchasing two watches or watch
[00:28:51.800 --> 00:28:55.760]   Yeah, well, I don't think it's I have to look and see if it's a free upgrade
[00:28:55.760 --> 00:29:01.840]   The watch is 1500 bucks, which is pretty pretty pricey, but not Apple watch pricey
[00:29:05.640 --> 00:29:11.320]   I'm looking for more stuff to charge every day. Yeah. Yeah, you should see my bedside table
[00:29:11.320 --> 00:29:17.580]   I actually I went on vacation for a couple weeks of San Diego was really great vacation
[00:29:17.580 --> 00:29:20.360]   And I brought my Moto 360 which I which I love
[00:29:20.360 --> 00:29:26.900]   And I just I just didn't put it on one day and I think how I'm on vacation
[00:29:26.900 --> 00:29:31.460]   I'm just not gonna and I have it on since like I got home and just didn't put it on
[00:29:31.460 --> 00:29:37.180]   So I was like, you know, it's just a other thing to charge and the software to update and while like I liked it
[00:29:37.180 --> 00:29:41.660]   It wasn't like if I left the house in the morning and forgot it, you know that I would go back
[00:29:41.660 --> 00:29:42.780]   You know for my phone
[00:29:42.780 --> 00:29:48.140]   I would go back and I wouldn't go back for the watch and I finally thought you know all these wires in this plug and this
[00:29:48.140 --> 00:29:53.980]   What a charger and the software updates and then it would die and I would get really mad about that because that shouldn't happen
[00:29:53.980 --> 00:30:00.280]   And I found myself like whipped into an angry frenzy about a electric product device dropped to my wrist and I thought this is not
[00:30:01.120 --> 00:30:03.120]   Drink some tea Gina. Maybe
[00:30:03.120 --> 00:30:11.520]   Well, that's fine because that's what Kevin Rose, you know, you'd say Kevin. Well, you know, he's into watches
[00:30:11.520 --> 00:30:14.920]   Of course, he's into very expensive, you know mechanical watches
[00:30:14.920 --> 00:30:20.200]   But you'd think he might be interested in Andrew where Apple watch and he hated the Apple watch
[00:30:20.200 --> 00:30:23.040]   He said that's the last thing I want to do when I go to why dinner with my wife
[00:30:23.040 --> 00:30:27.680]   I don't want to be pinged every five seconds by somebody who's sending me a notification
[00:30:27.680 --> 00:30:32.560]   I want to focus so the last thing I want to do is have something on my I mean really
[00:30:32.560 --> 00:30:36.160]   That's why you get a watch right smart watches for the notifications the health
[00:30:36.160 --> 00:30:40.240]   Monitoring things like that. I really like the steps monitoring
[00:30:40.240 --> 00:30:45.840]   Yeah, and I like the quick, you know, hey, you know set a timer for this long. I do that a lot
[00:30:45.840 --> 00:30:52.760]   But yeah, it just wasn't the notifications or a worker of mine got got the Apple watch and he's like talking to him is every three minutes
[00:30:52.760 --> 00:30:57.560]   He's yeah, it's just one more thing to pull you out of your reality
[00:30:57.920 --> 00:31:00.680]   When you're honestly if you have a phone why do you need it?
[00:31:00.680 --> 00:31:04.880]   I mean the phone works so well. It tells time at like if you want to look at notifications
[00:31:04.880 --> 00:31:08.040]   You got them. I mean the the a tag-huler deal is
[00:31:08.040 --> 00:31:14.800]   Get this in two years if you want to upgrade you can pay another fifteen hundred dollars and get a tag-huler
[00:31:14.800 --> 00:31:17.360]   Mechanical watch what a deal
[00:31:17.360 --> 00:31:24.600]   As you have to wait two years to get a real watch
[00:31:25.160 --> 00:31:30.000]   What where is gonna be like how long the upgrades will and then you can upgrade to a mic out?
[00:31:30.000 --> 00:31:32.000]   It's it's sort of like this path toward
[00:31:32.000 --> 00:31:36.400]   Incredible marketing team. Yeah, wow it's weird
[00:31:36.400 --> 00:31:42.760]   But you have to think it's somewhat of a response from Tag who were to air mezz which has an Apple watch, right?
[00:31:42.760 --> 00:31:45.120]   There's kind of like a race which watch did you get?
[00:31:45.120 --> 00:31:49.000]   Which which watch would you make?
[00:31:49.000 --> 00:31:52.280]   Tensor flow
[00:31:52.800 --> 00:31:54.800]   This is Google's new
[00:31:54.800 --> 00:32:00.160]   Machine learning system and they've open sourced it which I think is really interesting
[00:32:00.160 --> 00:32:08.560]   So Google has a lot of stuff, you know, they use internally, right software and and so forth. It's a neural network
[00:32:08.560 --> 00:32:12.280]   That has been used internally
[00:32:12.280 --> 00:32:18.200]   That's the one that you you probably saw the demos of
[00:32:18.200 --> 00:32:21.400]   The computer figuring out
[00:32:22.040 --> 00:32:24.240]   Where cats were in YouTube videos?
[00:32:24.240 --> 00:32:32.600]   It's been used to improve speech recognition in the Google app by 25% and the Google Photos image search is based on
[00:32:32.600 --> 00:32:36.760]   It this is actually dist belief, which is their internal
[00:32:36.760 --> 00:32:40.120]   Project
[00:32:40.120 --> 00:32:46.280]   So they are now releasing the second generation of dist to believe I should have a better name for Google+
[00:32:47.000 --> 00:32:52.200]   Dist belief strange name. It's a strange. Well, yeah, it's an internal
[00:32:52.200 --> 00:32:55.720]   So they said we couldn't share this belief because it's so tightly tied to our infrastructure
[00:32:55.720 --> 00:33:01.520]   So we are now doing open source release of a second generation system that can be used by others
[00:33:01.520 --> 00:33:06.080]   It's flexible general portable easy to use open source. Would you would you I mean?
[00:33:06.080 --> 00:33:08.960]   Do you have a need for something like this? I would think think up could probably use
[00:33:08.960 --> 00:33:16.240]   Something like this, right? Oh, yeah, I looked at this and was like how long would it take me to spin up some AWS since this is running this
[00:33:16.240 --> 00:33:18.720]   Just to see just to see what it could learn
[00:33:18.720 --> 00:33:26.560]   Yeah, I this is something this is very very interesting and really cool really cool that they open sourced it. I mean it I
[00:33:26.560 --> 00:33:29.480]   Get that by you know
[00:33:29.480 --> 00:33:36.760]   Google makes this kind of thing open source so that other people can contribute and run different tests and have different uses and contribute back to it
[00:33:36.760 --> 00:33:43.880]   But it takes a lot of work to maintain an open source project to decouple it from your insight infrastructure to you know
[00:33:44.000 --> 00:33:51.200]   Kind of build up, you know separate modules and make it modular and so it that there's a lot of work that just goes into that
[00:33:51.200 --> 00:33:54.440]   So I've been you know sort of continually impressed with Google's
[00:33:54.440 --> 00:34:00.400]   Commitment to that to open sourcing things and you know and I think the idea is that you know
[00:34:00.400 --> 00:34:05.960]   Lots of people get the chance to use this and and that it'll improve for everyone which is great for the ecosystem
[00:34:05.960 --> 00:34:09.880]   Yeah, but you ultimately to succeed as an open source project you have to get others
[00:34:10.400 --> 00:34:17.160]   You know committed into it and and and working on it, right? Unless they can plan to keep it going internally
[00:34:17.160 --> 00:34:20.760]   Well, I mean, you know plenty of open source projects have a company, you know
[00:34:20.760 --> 00:34:27.120]   Who are the leaders of that open source? You know Android is is you know from we are you know all those and and so
[00:34:27.120 --> 00:34:29.120]   You know you're gonna have the lead committers and the most
[00:34:29.120 --> 00:34:34.320]   The most frequent committers are gonna be Googlers and Google is saying that they're committed to running their project
[00:34:34.320 --> 00:34:38.120]   So it's so it's unclear, you know how many outside can committers there will be
[00:34:39.040 --> 00:34:45.840]   But just the fact that you can watch the work happen in public and and look really into the way that Google gets some of its
[00:34:45.840 --> 00:34:51.520]   You know doesn't some of Google's technology is just is great is amazing and helpful for everyone it raises everybody up
[00:34:51.520 --> 00:34:57.840]   So it's a great thing, you know, it's amazing is also is that AI was a dead was a dead deal 10 years ago, right?
[00:34:57.840 --> 00:34:59.840]   Everybody said oh we tried it failed
[00:34:59.840 --> 00:35:01.760]   We can't do it
[00:35:01.760 --> 00:35:08.200]   And now all of a sudden it's the talk of the town they're all networks and this kind of you sent that article ahead of time
[00:35:08.200 --> 00:35:10.320]   And I didn't know anything about it. So I talked to my friend
[00:35:10.320 --> 00:35:15.240]   Chavon Zillis at Bloomberg beta and she said well, there's nothing that new here
[00:35:15.240 --> 00:35:17.480]   She said there's other technologies that do something similar
[00:35:17.480 --> 00:35:21.960]   She said I wouldn't underestimate Google's ability to market it and there's actually an article out now
[00:35:21.960 --> 00:35:28.600]   And it's like get hub rankings. It's like the number of stars and they have like more stars in one day of release than all the
[00:35:28.600 --> 00:35:33.520]   Alternatives in you know months, but that's great. That means it a lot. I mean, yeah
[00:35:33.520 --> 00:35:35.280]   Okay, so it's not better than anything else out there
[00:35:35.280 --> 00:35:38.160]   But it does mean a lot of people will download that could be the big thing
[00:35:38.160 --> 00:35:41.720]   It's got a Python interface a lot of people know how to you know would know how to do that
[00:35:41.720 --> 00:35:46.480]   And I could see somebody like Gina saying well, let's let's apply
[00:35:46.480 --> 00:35:51.400]   We have a pretty big data set at think up, right? Let's see what we can do with it
[00:35:51.400 --> 00:35:55.200]   Yeah, I mean and this is just the kind of thing that you know
[00:35:55.200 --> 00:36:01.360]   University students who wanted a job at Google or was you know taking class in AI would would download and grab you know
[00:36:01.360 --> 00:36:07.800]   Data from from various sources and run and come up with some really neat, you know neat information and a cool project
[00:36:07.800 --> 00:36:11.440]   So I think I think it's great. I think people of course at Google's ability market is strong
[00:36:11.440 --> 00:36:15.760]   I mean that there's you know, there's lots of people who just just by the you know
[00:36:15.760 --> 00:36:19.280]   Just because of Google is behind it or will be interested in it
[00:36:19.280 --> 00:36:22.920]   8,865 stars in one day
[00:36:22.920 --> 00:36:25.640]   I just started
[00:36:25.640 --> 00:36:29.080]   I'm logging in so I can start
[00:36:30.800 --> 00:36:32.400]   No
[00:36:32.400 --> 00:36:34.360]   It is interesting when you see these companies take
[00:36:34.360 --> 00:36:40.120]   Kind of leadership and open source. We're I'm on the board of 3d robotics and Chris Anderson's doing drone code
[00:36:40.120 --> 00:36:47.640]   Which is open source community around drones. It's it's pretty exciting. I mean, you know, they have another advantage when you're leading the coalition
[00:36:47.640 --> 00:36:52.120]   You can sort of direct the vector of what people will be doing
[00:36:52.120 --> 00:36:55.320]   So it's probably playing into their longer-term interest
[00:36:55.320 --> 00:37:00.200]   Then in other words people will contribute back to it make this better and then they could take advantage of that as well
[00:37:00.200 --> 00:37:04.560]   Yeah, I think though. I think that's interesting the PR angle really is a big part of this
[00:37:04.560 --> 00:37:11.920]   We're we've got the more more scientists smarter people and we're coming up with the latest state-of-the-art stuff
[00:37:11.920 --> 00:37:18.480]   Who was it that is now? It's in videos now offering a drone module for?
[00:37:18.480 --> 00:37:22.000]   Makers
[00:37:22.000 --> 00:37:25.040]   It's called the Jetson, which is a I think a good name
[00:37:25.040 --> 00:37:27.120]   it is
[00:37:27.120 --> 00:37:29.120]   the Jetson TX1
[00:37:29.640 --> 00:37:33.760]   GPU module for AI on drones and robots
[00:37:33.760 --> 00:37:38.240]   Now it's not cheap. I mean, it's not like Raspberry Pi cheap
[00:37:38.240 --> 00:37:43.040]   I think it's almost what was it? I saw the price of that was almost got to be sort of a response 599
[00:37:43.040 --> 00:37:49.400]   I Qualcomm's putting everything on the chipset snap-trag and they're gonna be basically right basically modern drones are flying cell phones
[00:37:49.400 --> 00:37:51.680]   Exactly. Yeah. Yeah
[00:37:51.680 --> 00:37:57.760]   So you're right. I think that's exactly right. It's interesting though that they branded as a GPU powered device
[00:37:58.680 --> 00:38:00.680]   which is a kind of in
[00:38:00.680 --> 00:38:10.520]   Opposition to what Qualcomm's doing with arm and a CPU driven product comes with the Linux SDK
[00:38:10.520 --> 00:38:13.120]   It's about the size of a credit card
[00:38:13.120 --> 00:38:14.960]   It is a
[00:38:14.960 --> 00:38:16.960]   Terra flop per second
[00:38:16.960 --> 00:38:19.760]   256 core Maxwell based GPU
[00:38:19.760 --> 00:38:22.720]   Wow ultimate gaming device
[00:38:22.720 --> 00:38:25.800]   Wow
[00:38:25.800 --> 00:38:27.800]   the Jetson TX1
[00:38:28.800 --> 00:38:35.080]   And the developer kit will be 599 to 99 for education customers goes on sale
[00:38:35.080 --> 00:38:43.600]   Tomorrow and then the modules will be for sale by themselves for 299 early next year just in case you're building a robot
[00:38:43.600 --> 00:38:49.160]   It is amazing. Isn't it that the I'm blown away by the the fact that
[00:38:49.160 --> 00:38:55.080]   Since 2007, you know with Apple's iPhone and now Android phones and other smartphones
[00:38:55.160 --> 00:38:59.920]   We've kind of mastered manufacturing these systems on a chip. We've become very good at
[00:38:59.920 --> 00:39:04.040]   Interfacing them with accelerometers and all sorts of sensors
[00:39:04.040 --> 00:39:10.080]   And then that was what fostered the emergence of the quadcopter and and is
[00:39:10.080 --> 00:39:14.140]   Another industry has exploded out of it. I imagine robotics will do the same
[00:39:14.140 --> 00:39:19.160]   Well, you think about one of the reasons we want kind of the Apple watch to work or the Android watches to work is
[00:39:19.160 --> 00:39:22.440]   You know, that's the kind of form factor you want in a drone
[00:39:22.440 --> 00:39:26.800]   You want something that small that can fly for a long time. Yeah, a little bitty drone the size of an Apple watch
[00:39:26.800 --> 00:39:29.120]   What would you do with that?
[00:39:29.120 --> 00:39:31.120]   swallow it
[00:39:31.120 --> 00:39:36.800]   That's a spy that's open ROV you're talking some rehearsals. You're talking to spy a spy
[00:39:36.800 --> 00:39:40.520]   I don't know. I mean, it's just dust flying in there. It's time and age
[00:39:40.520 --> 00:39:44.560]   Smart dust
[00:39:44.560 --> 00:39:46.960]   That's kind of terrifying is it
[00:39:46.960 --> 00:39:49.360]   well, I
[00:39:49.360 --> 00:39:55.040]   Guess I don't know you want the you want I mean, I guess if everybody's watching everybody else
[00:39:55.040 --> 00:40:00.000]   Then yeah, but it doesn't have to just be about watching well, what else would you use it for?
[00:40:00.000 --> 00:40:08.300]   Huh singing listening yeah watch and listen together at last
[00:40:08.300 --> 00:40:11.280]   Well, you're right. I guess at the end of the day
[00:40:11.280 --> 00:40:13.640]   It's monitoring, but I mean you can imagine you're in the city of San Francisco
[00:40:13.640 --> 00:40:17.520]   You have a problem and you kind of wave and you got somebody and somebody comes yeah
[00:40:18.520 --> 00:40:25.320]   Yeah, that's why we're putting cameras up on every intersection. So people will come when you wave. Yeah, that's exactly that's protect
[00:40:25.320 --> 00:40:28.160]   exactly the point
[00:40:28.160 --> 00:40:33.800]   Love it we're gonna take a break. I'm having fun Christopher Michael is here for Veterans Day
[00:40:33.800 --> 00:40:38.640]   We should talk a little bit about Veterans Day and just a little bit he's found her military comm
[00:40:38.640 --> 00:40:42.920]   Seven years as a naval navigator flyer
[00:40:42.920 --> 00:40:48.440]   Gina Trapani is here as she is of course just Gina Trapani the superhero
[00:40:48.440 --> 00:40:54.520]   The woman of my dreams not in the Navy, but not in the Navy not in the Navy, but she's in Brooklyn
[00:40:54.520 --> 00:41:01.440]   Yeah, yeah, they're naval yards nearby. There's a blue bottle right there. Is there oh, yeah, you don't have to go through withdrawal
[00:41:01.440 --> 00:41:04.920]   There's a blue bottle in brook. Oh, I gotta map. Okay, you gotta go
[00:41:04.920 --> 00:41:12.880]   Really what is all right? Well, that's another I want to talk about that too when we come back
[00:41:12.880 --> 00:41:16.760]   Blue bottle I have never had a blue bottle
[00:41:17.400 --> 00:41:21.800]   Never never come to San Francisco. We should mention that Christopher is an investor so
[00:41:21.800 --> 00:41:28.000]   I invested as much as like one latte. Yeah, it's like paying for the whole thing
[00:41:28.000 --> 00:41:32.720]   I had dinner with Tony Conrad and that's all he could talk about. He loves blue bottle. He's like a blue bottle
[00:41:32.720 --> 00:41:35.600]   With him everywhere he goes
[00:41:35.600 --> 00:41:37.600]   He said that he said I'll make you some
[00:41:37.600 --> 00:41:40.160]   Said no, that's okay. I don't need any coffee right now
[00:41:40.160 --> 00:41:45.080]   Our show today brought to you by fresh books if you are a freelancer or a small business
[00:41:45.080 --> 00:41:48.360]   You know that the thing that you love the most
[00:41:48.360 --> 00:41:53.360]   In your job of all the things you do is formatting and sending invoices
[00:41:53.360 --> 00:41:56.240]   collecting receipts and tracking expenses
[00:41:56.240 --> 00:42:00.840]   Following up with clients that don't pay on time. Don't you love that? No, you don't
[00:42:00.840 --> 00:42:07.280]   No one does except that if you don't do that you don't make any money, which is kind of the whole point
[00:42:07.280 --> 00:42:12.840]   That's why you got to get fresh books fresh books is a super simple cloud accounting program
[00:42:13.360 --> 00:42:18.800]   That's giving thousands of freelancers like you the tools to save time billing and get paid faster
[00:42:18.800 --> 00:42:22.360]   I first started using fresh books 10 years mo 11 years ago now
[00:42:22.360 --> 00:42:27.000]   When I was going up to Canada to do a call for help in Toronto
[00:42:27.000 --> 00:42:29.120]   And it was such a pain
[00:42:29.120 --> 00:42:33.480]   I you know at the end of every month I had a not only they have to invoice them for my time
[00:42:33.480 --> 00:42:39.640]   But I also had to collect the all the travel receipts and the vouchers and you know
[00:42:39.640 --> 00:42:43.320]   It's file exp I we just not do it basically come to the 31st
[00:42:43.320 --> 00:42:47.000]   Sure, I wanted the money, but it was like I just can't bring myself to do it
[00:42:47.000 --> 00:42:53.520]   Then another month would go by and another month would go by pretty soon. I had like six months of unbuild
[00:42:53.520 --> 00:43:00.240]   Money do me and that did not work when I sent them that that invoice. They said you can't do that
[00:43:00.240 --> 00:43:02.920]   You can't do that you got a bill us every month dude
[00:43:02.920 --> 00:43:06.800]   Then Amber told me about fresh books and that changed my life
[00:43:06.800 --> 00:43:11.040]   It's so easy you'll be able to create and send invoice in minutes and they the invoices look great
[00:43:11.040 --> 00:43:15.320]   You can use the fresh books app to take pictures of receipts
[00:43:15.320 --> 00:43:20.240]   So you have it all stored and get it right into the invoice
[00:43:20.240 --> 00:43:23.680]   Time and hours to they do tracking in the app
[00:43:23.680 --> 00:43:32.040]   No more and oh, they have a new feature, which I love it's called you get paid up front. It's you can request a deposit in
[00:43:32.040 --> 00:43:34.520]   fresh books and
[00:43:34.520 --> 00:43:38.640]   You don't have to cover costs out of pocket or wait until the end of a project to get paid. I
[00:43:38.640 --> 00:43:45.520]   Love that fresh books automated customer reviews report will let you see all your reviews in one place post them on your website
[00:43:45.520 --> 00:43:47.520]   They're really expanding it
[00:43:47.520 --> 00:43:52.400]   It is fantastic and of course help is fabulous from the award-winning
[00:43:52.400 --> 00:43:59.000]   Support rock stars at fresh books calm try it free for 30 days go to fresh books calm slash twig
[00:43:59.000 --> 00:44:04.120]   Don't forget when they ask you how did you hear about us to say this week in Google? That's where I heard about you
[00:44:04.440 --> 00:44:06.440]   this week at Google
[00:44:06.440 --> 00:44:08.800]   fresh books calm
[00:44:08.800 --> 00:44:10.520]   slash
[00:44:10.520 --> 00:44:12.520]   twig
[00:44:12.520 --> 00:44:21.040]   Don't they wear poppies on veterans days and that the thing to do or is that in England in England and Canada they do it too
[00:44:21.040 --> 00:44:28.920]   Commonwealth because of World War two planners field poppies. I like that though. It's wonderful. I wish we could do that here
[00:44:28.920 --> 00:44:32.880]   It's a great tradition. Yeah, and it's really wonderful thing everyone does it. Yeah
[00:44:32.880 --> 00:44:38.880]   I'm sure you see it in Canada. Yeah, everybody's wearing a red poppy on their lapel. Usually they're kind of flannel. We were in
[00:44:38.880 --> 00:44:41.720]   London last year
[00:44:41.720 --> 00:44:45.680]   Just before veterans day or I guess they call it. What do they call it armistice?
[00:44:45.680 --> 00:44:53.320]   day, but they were putting ceramic poppies a million ceramic poppies around the Tower of London to
[00:44:53.320 --> 00:44:57.920]   memorialize all the UK citizens who died in
[00:44:57.920 --> 00:45:00.640]   World War two is quite beautiful
[00:45:00.640 --> 00:45:02.640]   Remembrance Day. That's what they call it
[00:45:02.640 --> 00:45:07.920]   I was in Heathrow Airport and there was an announcement and they said at 12 noon
[00:45:07.920 --> 00:45:11.440]   We'll shutting everything at the airport down for two minutes
[00:45:11.440 --> 00:45:13.600]   just to
[00:45:13.600 --> 00:45:18.520]   Remember those who gave I think that wonderful thing. Wow. We were at JFK
[00:45:18.520 --> 00:45:25.120]   on 9/11 this year and they did the same thing that's all of a sudden they stopped the line at the TSA and
[00:45:25.120 --> 00:45:28.320]   everybody gathered and
[00:45:28.320 --> 00:45:29.520]   then
[00:45:29.520 --> 00:45:31.280]   one of the TSA
[00:45:31.280 --> 00:45:34.960]   Officers started seeing God bless America. I could I could I couldn't stop crying
[00:45:34.960 --> 00:45:42.560]   Yeah, and then they had a moment of silence for because to both the flights to two of the flights took off from JFK
[00:45:42.560 --> 00:45:45.240]   So they had a moment of silence for the two flights
[00:45:45.240 --> 00:45:50.160]   Boy, it was really it brought it home when you live in New York
[00:45:50.160 --> 00:45:56.280]   It's a big it's a whole different experience, isn't it? Yeah, yeah, it's a big it's a big deal
[00:45:56.280 --> 00:45:58.280]   We we were actually in California this year
[00:45:58.960 --> 00:46:03.680]   But um, but yeah that that moment of silence that morning is a it's a big deal. Oh
[00:46:03.680 --> 00:46:09.560]   Well, let's maybe take a little time today on this Veterans Day Remembrance Day
[00:46:09.560 --> 00:46:12.280]   Remember all of those who gave so much
[00:46:12.280 --> 00:46:17.280]   All over the world, but certainly here in the United States as well
[00:46:17.280 --> 00:46:23.400]   Did blue bottle buy Tonks they did I
[00:46:23.400 --> 00:46:25.840]   think they did
[00:46:25.840 --> 00:46:29.200]   Tartine Tartine they own Tartine. Yes. Oh
[00:46:29.200 --> 00:46:32.520]   Loved I have his cookbook
[00:46:32.520 --> 00:46:35.280]   Yeah
[00:46:35.280 --> 00:46:38.960]   Tox was an advertiser here. There was a it was a artisanal coffee
[00:46:38.960 --> 00:46:44.800]   Every month you'd get or every week you'd get some mailings and a blue bottle bottom last year
[00:46:44.800 --> 00:46:47.760]   so
[00:46:47.760 --> 00:46:52.720]   I wonder if talks was well loved. Yeah, we love we love that they're a great sponsor
[00:46:52.720 --> 00:46:56.760]   Well, James Freeman who's the founder and Brian me and who's my business school classmate?
[00:46:56.760 --> 00:47:03.240]   Are there they're the two that are really running it and they are incredibly nice carrying people in it to me the exciting thing about blue bottle
[00:47:03.240 --> 00:47:06.560]   Molly is a great coffee, but this is the first sort of major effort
[00:47:06.560 --> 00:47:10.920]   I've ever seen to kind of scale quality and authenticity, you know, usually when these things get big
[00:47:10.920 --> 00:47:15.760]   They become a little like Starbucks or you know, can they do it in a real way where I mean?
[00:47:15.760 --> 00:47:21.000]   I think the metric is do the people that work at the blue bottles in wherever Tokyo or New York
[00:47:21.000 --> 00:47:27.120]   Do they feel special do they feel like they're it's a cool job and right now they do and I I think they're gonna be able to keep that up
[00:47:27.120 --> 00:47:31.400]   But it's you know, those people are kind of coffee scientists. They carry notebooks
[00:47:31.400 --> 00:47:36.720]   They really love their jobs, and it's so fun talking to them. It's great when you go someplace where people are really proud of what they do
[00:47:36.720 --> 00:47:39.040]   you know I
