;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[00:35:15.840 --> 00:35:21.360]   These companies are losing because they're all no, but don't forget the smartest analysis analyst know
[00:35:21.360 --> 00:35:23.680]   The losses are a good thing when you have a higher
[00:35:23.680 --> 00:35:26.400]   Great. Yeah. Yeah
[00:35:26.400 --> 00:35:29.920]   So so this makes it easier to balance so that goes back to your question of of
[00:35:30.400 --> 00:35:32.400]   You know christmas with that elary
[00:35:32.400 --> 00:35:36.000]   Um, how you know how much is in my stocking
[00:35:36.000 --> 00:35:41.200]   That that's not just about google revenue is also about the tax structure here
[00:35:41.200 --> 00:35:44.880]   I'm reading an article in the mit technology review by robert hoff
[00:35:44.880 --> 00:35:52.560]   He says google's new structure has few historical precedents and texts are outside it and that it's a fairly risky
[00:35:52.560 --> 00:35:55.280]   Proposition he says and he quotes a number of
[00:35:55.280 --> 00:35:58.080]   experts in finance and management
[00:35:58.480 --> 00:36:01.920]   that uh, this they're going to have to spin off
[00:36:01.920 --> 00:36:06.160]   Uh, the companies that are worth something
[00:36:06.160 --> 00:36:11.440]   In particular these pieces that do not perform need to become independent companies in the reasonably near term
[00:36:11.440 --> 00:36:16.560]   Not just remain part of larry and sargaze big technology sandbox the strategy
[00:36:16.560 --> 00:36:19.840]   Only makes sense if they spin these companies off
[00:36:19.840 --> 00:36:23.520]   Investors want to see results before we're dead
[00:36:23.520 --> 00:36:26.160]   And calico
[00:36:26.160 --> 00:36:31.200]   While it's trying to prolong life forever is not likely to see results until people are dead
[00:36:31.200 --> 00:36:33.440]   Nobody's holding companies
[00:36:33.440 --> 00:36:37.920]   Holding companies typically traded at a at a you know, sometimes a very sharp
[00:36:37.920 --> 00:36:41.520]   Uh, discount right to operating company. So there's going to be
[00:36:41.520 --> 00:36:45.440]   Eventually a discount on the stock the timing of the reorg
[00:36:45.440 --> 00:36:51.760]   This is a different company. This is not as we've already said it's not buffet. It's not
[00:36:51.760 --> 00:36:53.520]   um
[00:36:53.520 --> 00:36:55.120]   uh png
[00:36:55.120 --> 00:36:57.120]   It's a different beast
[00:36:57.120 --> 00:37:02.160]   But in fact, it's even more risky. I mean bircher Hathaway is is a is a day at the beach compared to
[00:37:02.160 --> 00:37:05.200]   Amen, but that's a big big big return
[00:37:05.200 --> 00:37:09.200]   This is this is the theory in uh in this article is that some of the
[00:37:09.200 --> 00:37:16.160]   Investments that google made are about to cross they have passed the biggest risk point and are about to cross into profitability
[00:37:16.160 --> 00:37:19.440]   There are already according to a fellow at stanford's
[00:37:20.400 --> 00:37:24.800]   Rock center for corporate governance. There are already two or three possible googles in the portfolio
[00:37:24.800 --> 00:37:28.160]   They mentioned nest self-driving cards and project loon
[00:37:28.160 --> 00:37:31.120]   All of which have crossed the risk point
[00:37:31.120 --> 00:37:36.560]   Which means that they're that they would be a very smart thing to spin out
[00:37:36.560 --> 00:37:43.520]   And and if you i mean imagine if you did you did uh kind of calve three or four new googles at an alphabet
[00:37:43.520 --> 00:37:47.920]   Right, let's not forget how you can spin them out too is you don't have to spin them out and sell them and lose them
[00:37:48.000 --> 00:37:51.280]   No, you could just create new new capital by selling 10 percent of them. Yep
[00:37:51.280 --> 00:37:56.560]   To the mark rule yeah, and you thus create capital that's useful for the next new divisions
[00:37:56.560 --> 00:37:58.240]   And that's really what's possible here
[00:37:58.240 --> 00:38:03.440]   So this is article says that the companies that are going to make money need to be spun out
[00:38:03.440 --> 00:38:09.360]   Uh, then and finally concludes in any case the sweeping reorganization sets google on alphabet on a path
[00:38:09.360 --> 00:38:12.960]   That may be difficult to change in the future if it doesn't work
[00:38:13.840 --> 00:38:18.480]   Because it's more than simply a promise to report the financial results of google and the alphabet separately
[00:38:18.480 --> 00:38:24.480]   It demonstrates their commitment, but it gives them less less flexibility in the future for better or worse
[00:38:24.480 --> 00:38:27.840]   Page and brin have made a bet on which they can't easily renew
[00:38:27.840 --> 00:38:32.800]   Well, it gives them less flexibility if they fail and it's a high state. They succeed. Yeah, it's a high state
[00:38:32.800 --> 00:38:35.600]   And that means you just that what where the name came from
[00:38:35.600 --> 00:38:38.080]   Alpha alphabets
[00:38:38.080 --> 00:38:43.760]   So alphab like in fact larry says that yes, he mentioned it's a bet to be the alpha company
[00:38:44.640 --> 00:38:50.640]   Wall Street journal has a piece uh quoting a guy who says attacks and accounting experts says there are no
[00:38:50.640 --> 00:38:53.120]   Obvious tax benefits. Okay
[00:38:53.120 --> 00:38:56.000]   Because it's really it's a reorg
[00:38:56.000 --> 00:38:57.440]   Yeah
[00:38:57.440 --> 00:39:00.640]   And I mean as long as you shift the stock over to alphabet which you've done
[00:39:00.640 --> 00:39:05.680]   Yeah, then it's just a reorg the naming doesn't make that much difference. Yeah, you know, it's amazing
[00:39:05.680 --> 00:39:08.640]   Other companies should look at google not
[00:39:08.640 --> 00:39:13.520]   Not because they did this but how they did it. Yeah, it's so much more exciting
[00:39:13.600 --> 00:39:18.720]   Yeah, then a regular reorg if you just said we're gonna shift an operating unit over to this other thing
[00:39:18.720 --> 00:39:23.120]   No one would people would fall asleep during while you were saying that sentence
[00:39:23.120 --> 00:39:28.320]   But google has this cool name and it's got a new logo and it's it's this huge
[00:39:28.320 --> 00:39:34.720]   Future looking thing. It's basically just a restructuring. Well, is there a new logo? I haven't seen a new logo yet
[00:39:34.720 --> 00:39:40.000]   Uh, I don't know if they they have one uh anti bio came up as well because I want thank you
[00:39:40.000 --> 00:39:42.320]   I would just take candies. Yeah
[00:39:42.320 --> 00:39:46.640]   Um the the you know, the other issue the john pateon, uh, who's a newspaper executive?
[00:39:46.640 --> 00:39:48.880]   Matthew and I both know well
[00:39:48.880 --> 00:39:49.920]   Um
[00:39:49.920 --> 00:39:53.680]   had a really interesting tweet right afterwards who said that
[00:39:53.680 --> 00:39:56.000]   um
[00:39:56.000 --> 00:39:58.560]   What newspaper companies would have the courage to basically
[00:39:58.560 --> 00:40:02.720]   Isolate their past do that with a couple in the future
[00:40:02.720 --> 00:40:07.360]   And so in a sense, you know, you hate to imagine that google was just the past google's the old thing
[00:40:07.360 --> 00:40:10.800]   But the company didn't want you know part of what I said too was that google was seen too much as
[00:40:11.200 --> 00:40:14.960]   Justice search engine a search engine a search engine. I've long argued for years on this show
[00:40:14.960 --> 00:40:18.720]   No, it's much more than a search engine and it's much more even than an advertising behemoth
[00:40:18.720 --> 00:40:23.600]   It's a personal services company that moves past the mass market to treat people as individuals
[00:40:23.600 --> 00:40:25.920]   It's huge in that way and all these services
[00:40:25.920 --> 00:40:28.880]   Uh, uh, the bbc had me try to name every google service
[00:40:28.880 --> 00:40:32.720]   I could in 20 20 seconds and there's some mail and maps and so on and so forth
[00:40:32.720 --> 00:40:35.840]   There's so much there, but yes google is in a sense
[00:40:35.840 --> 00:40:41.120]   It's past if you took a newspaper company if they were if they spent a spun off the difference
[00:40:41.200 --> 00:40:45.280]   Is that google has a future and his papers don't but if you spun off that past
[00:40:45.280 --> 00:40:47.440]   and um
[00:40:47.440 --> 00:40:52.560]   Or not more isolated that passage it fenced that past and made the essence of the company the future
[00:40:52.560 --> 00:40:58.160]   That's really what Larry just did. He made the essence of this company his future, which is yet unknown
[00:40:58.160 --> 00:41:04.240]   And in a way, of course, john pate and tried to do that. I don't want to stop topic, but with digital media
[00:41:04.240 --> 00:41:09.440]   And unfortunately as as you pointed out print still produces a bunch of revenue
[00:41:09.440 --> 00:41:12.960]   But that revenue is declining dramatically. I mean 10 15
[00:41:12.960 --> 00:41:17.040]   Also requires that we have a future strategy exactly. Yeah, um
[00:41:17.040 --> 00:41:21.920]   But that's that's another show. Nobody's arguing the google is anywhere near the same position
[00:41:21.920 --> 00:41:27.120]   So exactly but but it is interesting that there was an effort to say
[00:41:27.120 --> 00:41:30.080]   Listen folks. We are you keep on thinking of us as a search engine
[00:41:30.080 --> 00:41:34.720]   You think of us that of that as a business where there's a hiccup in the ad rates you say oh my god
[00:41:34.720 --> 00:41:38.000]   You think of us that regular in regulatory terms. Oh my god
[00:41:38.000 --> 00:41:44.240]   You promoted us on search. Nobody was seeing google itself properly and still doesn't in and of itself
[00:41:44.240 --> 00:41:49.280]   I think but then they also didn't know what that would wtf to do with self-driving cars and
[00:41:49.280 --> 00:41:53.840]   And medical contact lenses and balloons and all this other stuff. It just didn't make it
[00:41:53.840 --> 00:41:59.360]   It does from the public point of view. It's streamline streamline. It's rationalizes the whole thing
[00:41:59.360 --> 00:42:05.120]   And so that brings up another question. Why not take android out of google and make that an operating subsidiary, too
[00:42:05.200 --> 00:42:07.200]   Yeah, it feels like they kept all the good stuff. Yeah
[00:42:07.200 --> 00:42:10.240]   Sundar and I once again
[00:42:10.240 --> 00:42:14.640]   I'll take every i think i'd like to keep yeah, okay, look you take
[00:42:14.640 --> 00:42:20.720]   Uh the project loon, but i'll keep android is that okay and can i have the terminator robot too or is that too much?
[00:42:20.720 --> 00:42:21.840]   Yeah, no
[00:42:21.840 --> 00:42:26.160]   How about youtube i'll tell you what you keep calico i'll take youtube. How about that
[00:42:26.160 --> 00:42:31.600]   It was there where they put all the cards on the table and like have a Dutch auction for the uh parts
[00:42:32.000 --> 00:42:35.680]   They kept all the good parts. Yeah, do they keep any money losing divisions?
[00:42:35.680 --> 00:42:42.240]   90 of the money the companies that went into google that the new google
[00:42:42.240 --> 00:42:49.200]   Uh make 90 of google's revenue. I have an idea. It's almost all of it. Why don't I take twit
[00:42:49.200 --> 00:42:52.320]   And spin off
[00:42:52.320 --> 00:42:59.600]   Actually, uh, it is not an unheard of thing for instance
[00:43:01.600 --> 00:43:05.520]   If we're considering and we have been considering buying a building you wouldn't buy it as twit
[00:43:05.520 --> 00:43:09.360]   You would buy it as a separate operating division. You'd create a new llc
[00:43:09.360 --> 00:43:12.320]   And then why do you do that?
[00:43:12.320 --> 00:43:18.400]   Another company you rent back to twit. Oh, I see right. Um, I don't understand you could get the url
[00:43:18.400 --> 00:43:20.560]   abc bfd
[00:43:20.560 --> 00:43:23.200]   And it's be great
[00:43:23.200 --> 00:43:27.840]   The building would be owned by a numbered company listed in the came and i'm and i was typically
[00:43:28.080 --> 00:43:31.200]   This is this is this is not unusual at all in business
[00:43:31.200 --> 00:43:36.800]   In fact, uh, lisa's prior job, which was working for a massive development company every development
[00:43:36.800 --> 00:43:40.800]   They did was a separate llc at one point. She was managing well over a hundred llc's
[00:43:40.800 --> 00:43:48.640]   So so that's very it's not a bad way to do things because it does kind of separate the structure up come to think of it
[00:43:48.640 --> 00:43:50.640]   That's how trump runs his business. That's right
[00:43:50.640 --> 00:43:54.400]   That's everybody else is a loser. They're all stupid
[00:43:54.400 --> 00:43:56.800]   You're stupid
[00:43:56.800 --> 00:44:00.400]   The reason why people kept thinking of bircher Hathaway is that bircher Hathaway
[00:44:00.400 --> 00:44:03.680]   Started with the thing that makes the money, right?
[00:44:03.680 --> 00:44:09.120]   And so there's this core business that just spins off vast amounts of cash, but it's very different, right?
[00:44:09.120 --> 00:44:15.280]   It's just a holding company, right? Right, but weren't so Warren invests that cash in other things. He doesn't build things
[00:44:15.280 --> 00:44:17.360]   He doesn't not try to cure cancer
[00:44:17.360 --> 00:44:23.520]   You know, he just buys a bit of like coca cola and a bit of derri queen and a bit of whatever
[00:44:23.840 --> 00:44:26.640]   But it's it's a similar strategy you have a money spewing
[00:44:26.640 --> 00:44:31.280]   Thing at the core and then that he gets doubled out to different things
[00:44:31.280 --> 00:44:37.760]   It's been great to watch everybody from danny Sullivan to you matthew to you jeff
[00:44:37.760 --> 00:44:42.240]   Kind of try to piece tease out the meaning in all this
[00:44:42.240 --> 00:44:47.120]   My favorite was when it first happened when the when the announcement first came out
[00:44:47.120 --> 00:44:49.520]   I happened to be looking at twitter
[00:44:49.520 --> 00:44:52.640]   Of course and uh because my eyes were
[00:44:53.680 --> 00:44:56.160]   Happened yeah, or is it just something you do all the so
[00:44:56.160 --> 00:45:02.800]   The first was the first things I saw were literally wtf with a bunch of exclamation mark
[00:45:02.800 --> 00:45:08.240]   Because the people because the first response was what the hell is going on? What does this even mean?
[00:45:08.240 --> 00:45:12.400]   What I don't get it that was my reaction. We were on the air when we got the word
[00:45:12.400 --> 00:45:16.000]   We were doing iOS today. My first reaction was that it was a joke or something like that
[00:45:16.000 --> 00:45:21.520]   Yeah, I got a reporter coming to me saying uh, I presume you've heard this. We want to talk to you about about this. I thought what
[00:45:23.040 --> 00:45:25.760]   I was driving so I literally pull off the road
[00:45:25.760 --> 00:45:30.400]   To go look at that. This is too big to just ignore and and get two and ten minutes
[00:45:30.400 --> 00:45:35.360]   Yeah, much we need self-driving cars jeff you could have just kept going you know what I think about I think of uh
[00:45:35.360 --> 00:45:38.640]   for years
[00:45:38.640 --> 00:45:41.280]   people called for microsoft to split into
[00:45:41.280 --> 00:45:47.120]   Two or three divisions, you know operating systems. Um, I can't even remember what they were now
[00:45:47.120 --> 00:45:50.880]   Um, and they showed up. They maybe they should have
[00:45:52.560 --> 00:45:55.360]   Maybe there would be more value now. I don't know
[00:45:55.360 --> 00:46:03.920]   Um, but this isn't quite the same thing is it because microsoft did do many a reorg in fact when such in a delicame and he vastly reorganized
[00:46:03.920 --> 00:46:06.640]   Uh, the company
[00:46:06.640 --> 00:46:12.080]   Google's been three reorgs before I think what people were thinking by was, you know, microsoft had
[00:46:12.080 --> 00:46:19.760]   Windows in particularly office as the thing that basically spewed out all the cash, right and they could have kind of
[00:46:20.480 --> 00:46:27.840]   Separated that and then had a weird cloud. Maybe I guess yeah where they tried new things like mobile and right of course
[00:46:27.840 --> 00:46:31.600]   They all that's the other thing. Where does the where does the whole cloud division of google go?
[00:46:31.600 --> 00:46:34.400]   That stayed in google, right?
[00:46:34.400 --> 00:46:36.080]   Yeah, yes
[00:46:36.080 --> 00:46:39.360]   That's it. I mean that that strikes me that could be a separate infrastructure company
[00:46:39.360 --> 00:46:46.480]   Really feels like the company we care a lot of people the number one tweet I got was what are you gonna call it this week in alphabet now?
[00:46:46.480 --> 00:46:48.640]   Yeah, exactly a boy
[00:46:49.440 --> 00:46:51.440]   Oh, you're a wick you're a wick
[00:46:51.440 --> 00:46:57.360]   There we go. Nice. I like to make an announcement
[00:46:57.360 --> 00:47:02.160]   How did you get that so fast
[00:47:02.160 --> 00:47:07.280]   Welcome to the new this weekend alphabet. It's wea
[00:47:07.280 --> 00:47:10.400]   Only we had to have a new logo this week in alphabet
[00:47:10.400 --> 00:47:12.880]   Yeah, do we have to tell the truth wea
[00:47:12.880 --> 00:47:18.960]   Yeah, I was handed that well handed that in a digital sense from Anthony right for the show
[00:47:19.120 --> 00:47:21.120]   We're not gonna do that
[00:47:21.120 --> 00:47:27.920]   But we can if we want to we have the means to do it on the fly currently we have the technology
[00:47:27.920 --> 00:47:34.240]   I feel like
[00:47:34.240 --> 00:47:38.880]   Really what happened is that all the good stuff was kept at google
[00:47:38.880 --> 00:47:42.080]   So here's here's the way I look at it google is still google
[00:47:42.080 --> 00:47:48.080]   And then what larry page did was he created his own private silicon valley where he is the one and only vc
[00:47:48.400 --> 00:47:50.640]   And everything else is a start. Oh, that's interesting
[00:47:50.640 --> 00:47:53.840]   So google is the company and then plus there are seven startups and they're gonna be
[00:47:53.840 --> 00:48:00.560]   But what does somebody with were 30 billion dollars like larry do when they retire they become a vc they play god
[00:48:00.560 --> 00:48:02.400]   Yeah, yeah
[00:48:02.400 --> 00:48:06.640]   But so one of the we're talking about self-driving cars though. It's gonna be really hard. It's like a gender switch
[00:48:06.640 --> 00:48:09.520]   It's you know, it's starting to call kaitlyn gender she
[00:48:09.520 --> 00:48:13.680]   What are we gonna say alphabet drive self-driving cars? We're still gonna say google self-driving car
[00:48:13.680 --> 00:48:17.120]   Well, are you gonna yeah, it's all good. Well, that's an interesting good point
[00:48:17.760 --> 00:48:21.920]   That doesn't have the same ring at all so that they only spin off moonshots
[00:48:21.920 --> 00:48:28.480]   No, because nasa is not a moonshot. They're startups. They're startups. Okay, but nasa is about youtube
[00:48:28.480 --> 00:48:31.120]   I mean nest nest and youtube are both operate
[00:48:31.120 --> 00:48:37.360]   Companies they have revenue they have but nest is a unicorn ish sort of startup be kind of a company
[00:48:37.360 --> 00:48:43.280]   It's pretty new. I mean, it's you know, listen youtube is still an advertising based listen google look at it this way
[00:48:43.280 --> 00:48:45.600]   Everything that's advertising based is in google
[00:48:46.000 --> 00:48:50.400]   Everything else is technology based in various ways more hardware based oddly
[00:48:50.400 --> 00:48:53.440]   Nest cars and so and so forth
[00:48:53.440 --> 00:48:59.040]   Biomedical stuff that's all hardware. That's off in new divisions. What about advertising is google
[00:48:59.040 --> 00:49:04.240]   Google fiber is spout Android doesn't fit that model at all and it should yeah
[00:49:04.240 --> 00:49:09.440]   What doesn't it's hard where I would have spun off android. I don't know and well. Yeah, I thought about that but android
[00:49:09.440 --> 00:49:13.040]   No, android there are things here that serve the google advertising exactly
[00:49:13.520 --> 00:49:19.600]   For years has been that mobile is a signal generator. Okay, and it is a signal generator because and so they need those to be tightly coupled
[00:49:19.600 --> 00:49:21.920]   They need to own it
[00:49:21.920 --> 00:49:24.240]   Well, but if you want to control it
[00:49:24.240 --> 00:49:28.080]   Uh, no because android here's married man matthew matthew here's married with there
[00:49:28.080 --> 00:49:31.280]   Um google coming out with a $50 phone
[00:49:31.280 --> 00:49:36.080]   There is no money to be made for the manufacturers for android. It's going to get worse and worse and worse for there
[00:49:36.080 --> 00:49:39.040]   So it's not going to be a very good company on its own, but it's an important
[00:49:39.440 --> 00:49:42.640]   Enabling technology for not only google but for everybody else to spread mobile
[00:49:42.640 --> 00:49:47.520]   So it's a necessary step, but it's not going to be a great business itself android's not going to never be a great business
[00:49:47.520 --> 00:49:53.120]   I do have a feeling though. I mean leo you were joking about this, but it feels to me like
[00:49:53.120 --> 00:49:57.760]   To some extent this reorganization says, you know google is
[00:49:57.760 --> 00:50:02.480]   Boring and not much is going on there and it's i'm sick of it
[00:50:02.480 --> 00:50:05.280]   But it produces a bunch of cash
[00:50:05.280 --> 00:50:09.200]   So we'll just let sundar on it and it it kind of makes it feel
[00:50:09.200 --> 00:50:14.800]   You know it downplays google to some extent even though it does produce all the money sundar is going to surprise us
[00:50:14.800 --> 00:50:20.720]   Isn't it? I think sundar I think what larry larry has a vote of faith in sundar here that says that you're the junior larry
[00:50:20.720 --> 00:50:23.280]   But the key is it doesn't matter
[00:50:23.280 --> 00:50:29.280]   Why what doesn't matter it doesn't matter if google goes up or down
[00:50:29.280 --> 00:50:34.800]   It doesn't not not to larry larry's larry's more interested in everything else it provides all the money
[00:50:34.800 --> 00:50:37.040]   Well, that's a good point, but he's got enough money
[00:50:37.040 --> 00:50:43.840]   Matthew what you're really asking is will google surprise us and innovate will it come up with a new android or a new chrome or anything?
[00:50:43.840 --> 00:50:46.000]   Maybe not I think will I think it will
[00:50:46.000 --> 00:50:51.040]   Well, but why what's the incentive to I guess the incentive would be then you might get your own company under the alphabet
[00:50:51.040 --> 00:50:56.880]   Right umbrella. Yeah, uh, yeah, you're also improving google's business and making expand again google started as that
[00:50:56.880 --> 00:50:59.280]   That's why i come on saying everybody still sees google's a search engine
[00:50:59.280 --> 00:51:03.840]   It wasn't even an ad company it became an ad company and then it became a platform company that became a
[00:51:04.720 --> 00:51:12.880]   Personal services company. Um, it became a navigation company people all these things that do fit together under the rubric of advertising supported personal services
[00:51:12.880 --> 00:51:15.840]   That's to me what google is and entertainment in the form of youtube
[00:51:15.840 --> 00:51:17.360]   um
[00:51:17.360 --> 00:51:23.040]   Uh and distribution in the form of youtube right but but it all to me fits together there and no there could be big surprises left
[00:51:23.040 --> 00:51:24.240]   but
[00:51:24.240 --> 00:51:28.800]   What if here's what i guess i'm saying is if sundar wants to start his self-driving planes
[00:51:28.800 --> 00:51:31.440]   He probably won't be allowed to because it just won't fit
[00:51:32.560 --> 00:51:37.280]   He's got to have something strategically that fits with google with google as a division and its mission
[00:51:37.280 --> 00:51:42.400]   Um, there's not an alphabet thin google would they ever spin off google?
[00:51:42.400 --> 00:51:52.160]   I think they might or part of it. Why not? I I I don't think they would simply because why would they they're
[00:51:52.160 --> 00:51:58.160]   Guzzillionaires and they love it and it's their life and I just think even if it made sense financially
[00:51:58.160 --> 00:52:02.400]   I don't think they do it doesn't create any more capital and they already have and that's in a capital market
[00:52:02.480 --> 00:52:06.800]   You spin off the other things that that are undervalued within it google's valued properly
[00:52:06.800 --> 00:52:11.120]   Somebody that shatram says yeah, but what happens to or cut it's gone?
[00:52:11.120 --> 00:52:14.160]   Take a break
[00:52:14.160 --> 00:52:19.600]   Actually what happens to google plus yeah
[00:52:19.600 --> 00:52:24.800]   Oh, there. Larry said that was the one comment that he answered in this entire discussion
[00:52:24.800 --> 00:52:29.680]   We still like it doesn't mean we're gonna keep it around. He said we still love it. We still love it
[00:52:29.920 --> 00:52:33.280]   I love it. We all love it. We all love it. Nobody's not saying we don't love it
[00:52:33.280 --> 00:52:37.040]   Just saying sometimes you have to put things down. It might be the loved one
[00:52:37.040 --> 00:52:41.440]   Well, that was part of the question too is the people said well, this requires larry to be uh, uh ruthless
[00:52:41.440 --> 00:52:45.600]   He's been ruthless. He's killed things. He's killed. Love it. He's been more than ruthless
[00:52:45.600 --> 00:52:50.160]   Yeah, it comes to his detriment. It requires him to not be required to do anything. He doesn't want to do
[00:52:50.160 --> 00:52:56.160]   That's what I think i'm honest to god. I really think that yeah from a personal point of view. This is just larry retiring
[00:52:56.720 --> 00:53:02.240]   Yeah, not but retirement in the sense that a larry page retirement much like a circuit brain retirement
[00:53:02.240 --> 00:53:07.040]   Yeah, would be a very active retirement. He larry is bumping himself upstairs. Yes. Yeah
[00:53:07.040 --> 00:53:10.080]   Yeah, and had he not had he not split these companies out
[00:53:10.080 --> 00:53:14.080]   It would have been a bad thing for the stock market oddly enough by doing it this way
[00:53:14.080 --> 00:53:18.320]   Unfortunately, he has somebody has a high quality sundae perchai which the market probably thinks very highly of
[00:53:18.320 --> 00:53:26.160]   He was able to add 5% to the mark to the who else we said it and sundar could have been candidates for ceo over the years
[00:53:26.720 --> 00:53:29.040]   Tim Armstrong there've been some but
[00:53:29.040 --> 00:53:36.000]   Sundar's really um shown that he can run a division. Yeah, he's not he's not what I would call inspiring
[00:53:36.000 --> 00:53:41.840]   He's boring. He's boring. Uh although my experience with him has been really i've been always been very impressed with him
[00:53:41.840 --> 00:53:44.800]   Very smart very charming. He's charming
[00:53:44.800 --> 00:53:50.000]   You know, I was I got an argument with him early on about whether kromo has made any sense at all
[00:53:50.000 --> 00:53:54.960]   And he instead of getting upset he was really listened and he was very coherent in his response
[00:53:55.520 --> 00:54:00.000]   And personally one word that the one word people tend to use is dependable
[00:54:00.000 --> 00:54:04.000]   Yeah, so not exciting right not but you can count on him
[00:54:04.000 --> 00:54:07.600]   Deliver so basically he's got the engine room
[00:54:07.600 --> 00:54:11.360]   Larry said I don't want to spend any more time down your shoveling coal
[00:54:11.360 --> 00:54:17.040]   Scotty scotty takeover. I'm going up to the bridge. Larry said beam me up to look at the stars
[00:54:17.040 --> 00:54:23.920]   Larry is is um is kirk and uh, sarah a is
[00:54:24.160 --> 00:54:27.520]   Spock fuck or vice versa, but who's oh, well, yo
[00:54:27.520 --> 00:54:31.920]   Who's suulu in this
[00:54:31.920 --> 00:54:33.920]   Tony fidel
[00:54:33.920 --> 00:54:35.840]   Tony fidel
[00:54:35.840 --> 00:54:38.640]   Before we leave it let's let make one more note that the three
[00:54:38.640 --> 00:54:44.080]   Immigrants from india in this country running three is very amazing
[00:54:44.080 --> 00:54:44.720]   Yeah
[00:54:44.720 --> 00:54:47.760]   And one of one of our argument for changing our immigration structure
[00:54:47.760 --> 00:54:53.360]   To say that the amount of talent that we could have here if we weren't so self so short-sighted and stupid about this
[00:54:53.360 --> 00:54:57.920]   Prachai nadella, who's the third? Oh, I'm forgetting how suddenly was in this company
[00:54:57.920 --> 00:55:01.440]   I forgot. I'm spacing. Sorry. Sorry. I brought it up
[00:55:01.440 --> 00:55:05.680]   You want facts we don't do facts, but just too black
[00:55:05.680 --> 00:55:11.360]   I'll take a break. We'll talk about a mattress. You take an apple come back and then you'll know
[00:55:11.360 --> 00:55:20.320]   Our show today brought to you by casper. Oh, I love my casper an online retailer premium mattresses for a fraction of the cost
[00:55:21.120 --> 00:55:26.080]   We uh, we we got casper for our guest room. We got cast. I mean we kind of went all in on casper
[00:55:26.080 --> 00:55:28.400]   We got casper for my son in college
[00:55:28.400 --> 00:55:34.720]   And there's our queen size casper now. This is nice because it comes in a fairly compact box
[00:55:34.720 --> 00:55:40.320]   So that's why I got it for my son in college. It was very easy to transport up three flights of stairs. No elevator
[00:55:40.320 --> 00:55:45.360]   Uh open it up and there he is it the the mattress opens up and it's beautiful. It's comfortable
[00:55:46.240 --> 00:55:51.600]   Combining latex and memory foam for uh both support and comfort just the right sink and bounce
[00:55:51.600 --> 00:55:55.520]   It's risk-free because even though you're buying it online
[00:55:55.520 --> 00:55:59.120]   You have a hundred nights to return it at no cost to you
[00:55:59.120 --> 00:56:04.160]   So you literally can sleep on it for a hundred nights. Say, you know, I decide I don't want this
[00:56:04.160 --> 00:56:09.200]   They will send a courier who will come and get it you you will have paid zilch
[00:56:09.200 --> 00:56:11.600]   You refund on all your money zero
[00:56:11.600 --> 00:56:14.240]   And then I think that they do is donated to charity
[00:56:14.400 --> 00:56:19.520]   Hmm, just kind of nice. You everybody wins. Yeah, except casper. You're not gonna you know what?
[00:56:19.520 --> 00:56:22.880]   You're not gonna return it. They uh, they you're gonna love it as much as we do
[00:56:22.880 --> 00:56:27.920]   Casper mattress is proudly made in the USA. They are comfortable
[00:56:27.920 --> 00:56:30.880]   You'll love them and by the because they're selling direct to you the price is right
[00:56:30.880 --> 00:56:37.360]   Starts at $500 for a twin in fact even less because you can say $50 when you go to casper
[00:56:37.360 --> 00:56:40.480]   Dot com slash twig and use the promo code twig
[00:56:40.480 --> 00:56:42.800]   $50 off your new casper
[00:56:43.680 --> 00:56:46.320]   It is revolutionizing the mattress industry
[00:56:46.320 --> 00:56:54.880]   No resellers no showrooms mean the savings go right in your pocket casper c a s p er dot com slash twig
[00:56:54.880 --> 00:57:00.960]   We love our caspars and and i asked henry the uh, he was home for the summer and i said how do you like casper?
[00:57:00.960 --> 00:57:02.960]   He loves it
[00:57:02.960 --> 00:57:07.200]   He's love he's moved it to the new place. He just got another place very nice moved it over
[00:57:07.200 --> 00:57:11.520]   They're easy to move to sometimes you move a mattress or like a futon or something like that and you just can't
[00:57:11.760 --> 00:57:16.960]   These fold out these fold ups are moving easily there. They're real nice that way. Yeah, he really loves his casper
[00:57:16.960 --> 00:57:19.920]   He says the ladies do too. I don't know what that means. Yeah, don't he is
[00:57:19.920 --> 00:57:23.760]   Let's not go there
[00:57:23.760 --> 00:57:28.160]   That is though how they advertise on the harp's turn show. I know they do I know they do
[00:57:28.160 --> 00:57:34.000]   I had a waterbed in college. This is not a recipe. You wouldn't have for romance. Yeah
[00:57:35.680 --> 00:57:43.040]   It was terrible. You can't get a purchase. I had a california king-sized waterbed in high school
[00:57:43.040 --> 00:57:48.400]   Yeah, yeah, yeah, and it was like it was ridiculous. It was like a big balloon. Yeah, that you're sleeping on
[00:57:48.400 --> 00:57:52.080]   You never stops. It just it's like yeah, it's like it's like we're being on a ship
[00:57:52.080 --> 00:57:56.880]   We're not exactly we're close enough in age that this when we were that age. Yeah, I was in college. You were in high school
