
[00:00:00.000 --> 00:00:04.000]   Hi Jason Snell sitting in for Leo Laporte this week on Macbreak Weekly. There's so much going on
[00:22:57.160 --> 00:23:02.680]   Supports that wide color gamut because you're not going to be able to fully appreciate the pictures that you're taking on this
[00:23:02.680 --> 00:23:09.480]   This brilliant new iPhone 7 if you have an older screen that's still stuck with the sRGB color range. So
[00:23:09.480 --> 00:23:11.320]   It's it's
[00:23:11.320 --> 00:23:13.480]   Apple will tend apple always tends to redefine
[00:23:13.480 --> 00:23:20.120]   What a product means as they try to figure out what people are actually buying I would tend to think that more models means that
[00:23:21.080 --> 00:23:22.760]   Three three of them
[00:23:22.760 --> 00:23:26.440]   It's three of them three iPads are going on into the product line
[00:23:26.440 --> 00:23:32.120]   Two of them are going to be staying and we'll find out which one wasn't selling when one of them is quietly discontinued
[00:23:32.120 --> 00:23:37.960]   That's that now that's criminology right there. It's just we'll airbrush that model out and we'll never know about it
[00:23:37.960 --> 00:23:40.600]   Who is next to Yuri and drop off who is next to Yuri and drop off?
[00:23:40.600 --> 00:23:43.560]   Renee made a great point that I think
[00:23:43.560 --> 00:23:49.080]   People who aren't close iPad watchers may not realize but the iPad line right now is really weird because
[00:23:49.640 --> 00:23:55.320]   The 12.9 and the 10.1 have different features like 10.1 has true tone and it has the white color gamut
[00:23:55.320 --> 00:23:59.240]   And the 12.9 has the rapid usb c charging and usb 3
[00:23:59.240 --> 00:24:03.880]   And so it's like how do you decide you can't walk in mr
[00:24:03.880 --> 00:24:09.080]   Moneybags can't walk into a store and say give me your finest iPad because there are a few and I would
[00:24:09.080 --> 00:24:12.440]   Not even a rose gold 12.9 days. I mean, what kind of world do we live in?
[00:24:12.440 --> 00:24:13.960]   It's savagery. It's madness
[00:24:13.960 --> 00:24:17.880]   So I think that's what i'm saying is is it's nothing else in the spring
[00:24:17.880 --> 00:24:23.560]   It would be nice to see the iPad line sync up so that we all know that the top of the line iPads all behave
[00:24:23.560 --> 00:24:27.000]   The same because right now they you know, it's all over the place
[00:24:27.000 --> 00:24:31.000]   And my I have I look at this iPad pro that I've got here and I love it like Andy
[00:24:31.000 --> 00:24:38.280]   I love the large iPad pro, but you know, it doesn't have a bunch of features that the that the 9.7 has and that's weird. It's just weird
[00:24:38.280 --> 00:24:41.080]   Um, okay, and not into sorry now
[00:24:41.080 --> 00:24:46.360]   You're making me think about all these things if you do have we do the october event and the march event last two years ago
[00:24:46.360 --> 00:24:53.640]   The october event was the iPad air to I think and the iMac with the 5k display last year no october event
[00:24:53.640 --> 00:25:00.520]   But then we had the update to the dcip 3 iMac that was just basically a press release and some briefings then this year
[00:25:00.520 --> 00:25:03.080]   Do we get an update to that iMac?
[00:25:03.080 --> 00:25:08.200]   What is it? Is it just a spec bump because Intel stopped making the chips for the 21.5 inch
[00:25:08.200 --> 00:25:14.200]   What do they do with that? And then if they update the iMac now what gets updated in what gets updated with the iPad in march
[00:25:14.200 --> 00:25:19.080]   Is it just iPads is an iPad only event and you watch bands are there max that they didn't announce now?
[00:25:19.080 --> 00:25:21.400]   Like does the mac mini in the mac pro have to wait till
[00:25:21.400 --> 00:25:26.040]   There's just it's I don't know Jason. It's so it's such a soap in the air right now
[00:25:26.040 --> 00:25:31.160]   And and you know apple doesn't and they hate this apple doesn't control their own destiny here right with the intel stuff
[00:25:31.160 --> 00:25:38.680]   Intel's delays affect apples business and I think we all sort of think that apple thought it could get away with skipping a product generation
[00:25:38.680 --> 00:25:42.920]   For intel and then the delays hit and now they're kind of caught between a rock and a hard place
[00:25:42.920 --> 00:25:47.080]   So I know they hate that that that more than anything else that lends credence to people
[00:25:47.080 --> 00:25:52.440]   Suggesting to in my mind to the the ideas that apple would take the
[00:25:52.440 --> 00:25:56.120]   whether whether it's an arm chip or whether it's taking
[00:25:56.120 --> 00:26:00.440]   Main of deal with intel for some custom silicon that apple gets to control
[00:26:00.440 --> 00:26:05.640]   But it's still intel compatible something so that they can control their own destiny a little bit more instead of waiting for
[00:26:05.640 --> 00:26:11.960]   Intel to supply them because they hate that that is the number one thing that apple that it goes against apples culture is that they build
[00:26:11.960 --> 00:26:16.840]   These products and then they wait for somebody else and they're fully dependent on them to make their products happen
[00:26:16.840 --> 00:26:20.600]   Yeah, it's really a lot though. I'm sorry. Go ahead Renee
[00:26:20.600 --> 00:26:22.280]   I was gonna say we want them on time
[00:26:22.280 --> 00:26:26.280]   But then we have to listen to paul thirtle talk about his his surface book not you know burning up his laptop bag
[00:26:26.280 --> 00:26:28.600]   Exactly. It's like there's no win
[00:26:28.600 --> 00:26:36.040]   Definitely not can we do um, okay before we wrap the criminal analogy corner and cast it back into the asheep of history
[00:26:36.040 --> 00:26:41.160]   I wanted to give the obligatory iphone eight rumor story a world bloomberg
[00:26:41.640 --> 00:26:47.480]   Reporting that sharp is in talks with apple for olered screens for new iphones
[00:26:47.480 --> 00:26:52.600]   Uh olered screens, of course. You if you got an apple watch you've got an olered screen on your wrist right now
[00:26:52.600 --> 00:26:54.520]   Uh lower power
[00:26:54.520 --> 00:26:56.040]   vibrant colors
[00:26:56.040 --> 00:27:01.800]   Um, not as easy to see in bright sunlight necessarily although apple's working hard on that would be the apple watch series too
[00:27:01.800 --> 00:27:09.560]   Um any thoughts about olered and moving to olered for for the iphone and you you've used a lot of android phones
[00:27:09.560 --> 00:27:13.080]   So what's your take on on olered as a smartphone screen?
[00:27:13.080 --> 00:27:16.920]   Uh, it creates beautiful beautiful images
[00:27:16.920 --> 00:27:21.160]   And the usual complaint about olered is that well, of course they look beautiful
[00:27:21.160 --> 00:27:26.200]   This because they you've artificially increased the contrast you've artificially increased the saturation
[00:27:26.200 --> 00:27:32.280]   But as I usually say that's why burgers and mcdonalds have lots of salt and lots of salt and fat people like that
[00:27:32.280 --> 00:27:37.560]   But it also means that when you're using applications that use colors as a part of the user interface
[00:27:37.800 --> 00:27:39.800]   They just pop they really look beautiful
[00:27:39.800 --> 00:27:45.320]   So if apple could create their own their own interpretation of olered where it is still color accurate
[00:27:45.320 --> 00:27:47.400]   You're not seeing something that is artificially good
[00:27:47.400 --> 00:27:50.920]   Uh, I think it would be a very very good deal for for everybody
[00:27:50.920 --> 00:27:55.320]   Especially now that apple seems to be slightly easing off their
[00:27:55.320 --> 00:28:01.080]   Their mandate that all ios features must be as bleak as possible
[00:28:01.400 --> 00:28:05.720]   If there is color in the interface it means you're wasting people's joy
[00:28:05.720 --> 00:28:09.240]   On the source of joy should only be the things that we design
[00:28:09.240 --> 00:28:18.680]   Some shades of clay are partially acceptable on a case by case basis. So the iphone's seven seal is what you're saying
[00:28:18.680 --> 00:28:21.560]   the the the the
[00:28:21.560 --> 00:28:24.200]   What's the ipad?
[00:28:24.200 --> 00:28:29.560]   Sure super interesting to me because there's also rumors that apple is doing a lot more display technology on their own side
[00:28:29.640 --> 00:28:34.680]   And you never know they have like the a series the s series the w series now the m series
[00:28:34.680 --> 00:28:38.120]   There's a lot of letters left in that alphabet and that's a really good like their hardware platform
[00:28:38.120 --> 00:28:43.960]   Technology team is amazing. So you never know what's going to spring out of out of apple itself, especially when they work with partners
[00:28:43.960 --> 00:28:47.240]   Olered is a really really good technology for a lot of things
[00:28:47.240 --> 00:28:51.960]   But you know, tim cook has said before apple chose not to use it earlier because it did have compromises
[00:28:51.960 --> 00:28:55.560]   And when you look at some of the earlier android phones, you see like pen tile displays
[00:28:55.960 --> 00:29:00.360]   Which had a lot of baggage with them or you saw very low life spans on some of the colors like blue
[00:29:00.360 --> 00:29:06.920]   Especially and some people were exploring quantum dot as a way to get some of the the benefits of olered without getting some of the drawbacks
[00:29:06.920 --> 00:29:11.000]   And it's it's in flux right now and one of the biggest indicators is that 3d touch
[00:29:11.000 --> 00:29:16.440]   Which is a marquee feature for apple is currently bound to an led backlight something an olered display does not have
[00:29:16.440 --> 00:29:18.760]   And that's not to say apple can't re-engineer it
[00:29:18.760 --> 00:29:23.640]   But apple chose to release a phone just last year that is dependent on led
[00:29:23.720 --> 00:29:28.520]   So I would expect that apple would move on to a new display technology eventually just because lcd
[00:29:28.520 --> 00:29:31.480]   You know, they've got the best lcd panels in the world, but there are limits
[00:29:31.480 --> 00:29:36.440]   They're hitting the end of what else did he can do for them whether they go to oled and they do it in an apple way
[00:29:36.440 --> 00:29:40.840]   Or they do go to something like quantum dot. I think that'll be one of the next big screen technologies leaps
[00:29:40.840 --> 00:29:45.240]   They make whether it's in an iphone 8 or not. That's interesting stuff. Yeah, olered
[00:29:45.240 --> 00:29:49.160]   It is it is pretty um and they have done some work of like apple watch series two
[00:29:49.160 --> 00:29:52.360]   It's so much brighter on that llet screen a thousand minutes
[00:29:52.840 --> 00:29:56.360]   Yeah, the no, let's not count nits. Let's not pick nits rene
[00:29:56.360 --> 00:29:59.400]   Uh, so okay. I'm gonna close up criminal analogy corner
[00:29:59.400 --> 00:30:07.320]   And I think it's time for us to hear wise words about good friends of ours from leo le port beaming in from the past
[00:30:07.320 --> 00:30:11.000]   We'll be back to mac break weekly more with the guys in just a bit
[00:30:11.000 --> 00:30:14.200]   The first word from gazelle
[00:30:14.200 --> 00:30:16.280]   Great time you're looking. I know
[00:30:16.280 --> 00:30:21.720]   Uh, maybe you're looking at a new iphone new ipads might be coming any day now, right? We're thinking in an october event
[00:30:22.600 --> 00:30:25.000]   Uh, well, here's the deal
[00:30:25.000 --> 00:30:30.200]   Uh sell your old device to gazelle now. Here's the beauty part. You don't know if you want the new ipad yet
[00:30:30.200 --> 00:30:32.280]   don't worry
[00:30:32.280 --> 00:30:36.920]   Because all you can all you do is you go to gazelle you get a quote and that quotes guaranteed for 30 days
[00:30:36.920 --> 00:30:40.280]   So that gets you uh right into november
[00:30:40.280 --> 00:30:47.080]   Okay, which means you'll have plenty of time to to see if you want it choose it order it get it transfer your data off
[00:30:47.080 --> 00:30:49.320]   And then once once you're ready to go
[00:30:49.480 --> 00:30:52.200]   You press send and gazelle will ship you a box
[00:30:52.200 --> 00:30:58.520]   With prepaid mailing so you paid nothing to ship it you put the ipad in fact while you're at it
[00:30:58.520 --> 00:31:02.680]   Why don't you go and get a bunch of other stuff get all the gadgets you got all the gizmos
[00:31:02.680 --> 00:31:05.320]   And put them in the box
[00:31:05.320 --> 00:31:08.520]   And you're gonna get cash you get a check you can get a paypal credit
[00:31:08.520 --> 00:31:12.040]   You can get if you if you like amazon if you use amazon a lot which I do
[00:31:12.040 --> 00:31:15.560]   I always get the amazon gift card because they bump that up 5%
[00:31:16.120 --> 00:31:19.240]   So you get even a better deal. So as we know
[00:31:19.240 --> 00:31:24.920]   To review class gazelle a great place to sell your old gadgets. Don't just throw them in the door
[00:31:24.920 --> 00:31:27.720]   That's silly. There's money in those gadgets
[00:31:27.720 --> 00:31:30.600]   trade a minute gazelle and then
[00:31:30.600 --> 00:31:34.440]   They now sell the best stuff they've got
[00:31:34.440 --> 00:31:39.640]   Back if you want so if you're looking to replace a phone or you're looking to save money
[00:31:39.640 --> 00:31:44.760]   This is a great time for instance to buy the iphone success or success plus lots of availability
[00:31:45.320 --> 00:31:51.400]   Lots of choice in color quality for every carrier and you get a great deal
[00:31:51.400 --> 00:31:55.000]   So if you're saying oh, I want it just like it's new you can do that
[00:31:55.000 --> 00:31:59.320]   But if you want it, I don't mind a little gentle signs of use you can do that and save even more money
[00:31:59.320 --> 00:32:03.240]   But never fear every single device that's sold by gazelle
[00:32:03.240 --> 00:32:05.080]   Is
[00:32:05.080 --> 00:32:09.720]   rigorously checked they have a 30 point check that includes not just functionality but things like scratches and
[00:32:10.200 --> 00:32:16.840]   Stuff they really make sure that that phone is in tip-tow or tablet because they sell iPhones successes success pluses
[00:32:16.840 --> 00:32:18.360]   iPads
[00:32:18.360 --> 00:32:25.720]   Even Samsung Galaxy phones, you know, maybe get a galaxy phone to replace your note seven at temporarily and then sell it back to gazelle, right
[00:32:25.720 --> 00:32:28.440]   Isn't that smart you could do that?
[00:32:28.440 --> 00:32:31.640]   Everything is guaranteed to work. You have a 30-day return policy
[00:32:31.640 --> 00:32:35.240]   They're not sold with a carrier contract, but they do work with all the existing carriers
[00:32:35.240 --> 00:32:36.840]   So that's nice
[00:32:36.840 --> 00:32:41.720]   And if you want you can get financing as you check out financing by a firm
[00:32:41.720 --> 00:32:45.800]   You just give them some basic information your approval be instant
[00:32:45.800 --> 00:32:50.840]   And uh, and then you're done you can also get a 12 month warranty at checkout
[00:32:50.840 --> 00:32:53.320]   Which covers not just the you know
[00:32:53.320 --> 00:32:59.080]   Hardware defects or software, but it covers water damage cracked screens the whole kit and kaboodle
[00:32:59.080 --> 00:33:02.920]   A 12 month warranty for cell phones and iPads that's from assurance solution
[00:33:02.920 --> 00:33:09.720]   So gazelle really is they you know, they're just getting better and better. They're really improving their services the turnaround time
[00:33:09.720 --> 00:33:13.880]   The quality and the variety. I just love gazelle you will too
[00:33:13.880 --> 00:33:17.320]   Check it out what he got to lose gaz
[00:33:17.320 --> 00:33:22.680]   E-l-l-e gazelle dot com to buy or sell it's got a big gazelle
[00:33:22.680 --> 00:33:25.560]   Now back to mac break weekly
[00:33:25.560 --> 00:33:29.080]   Thank you past leo your words have touched us
[00:33:29.080 --> 00:33:32.280]   Uh, let's go on to the news. How about that?
[00:33:32.760 --> 00:33:37.560]   Sounds good enough criminal analogy for now. Let's go into some other news headlines that I think might be kind of interesting
[00:33:37.560 --> 00:33:46.200]   So something happened yesterday rene rene r you wrote about this at imore apple has changed how it handles downloading o s updates
[00:33:46.200 --> 00:33:49.080]   for uh for the the
[00:33:49.080 --> 00:33:52.120]   The big versions the big installer versions
[00:33:52.120 --> 00:33:57.240]   Uh that uh it used to be one way and now it's going to be another way you want to tell us about that?
[00:33:57.880 --> 00:34:02.920]   Yeah, sure so previously, I mean a while ago apple moved how you update the way that you update um
[00:34:02.920 --> 00:34:09.320]   OS 10 now mac OS to the mac app store and what would happen is you'd get an alert that an update was available
[00:34:09.320 --> 00:34:13.080]   You'd press the little button to update and then you set there and wait and it would suck down
[00:34:13.080 --> 00:34:16.920]   However, many gigabytes it would need to suck down and depending on the speed of your connection
[00:34:16.920 --> 00:34:23.000]   That could be you know fairly fast or it could be come back after a long day at work and hope that it's probably done
[00:34:23.000 --> 00:34:24.280]   Uh for apps
[00:34:24.280 --> 00:34:28.360]   They've had this thing called background download where if you enabled it and I you know for a lot of people
[00:34:28.360 --> 00:34:31.320]   It probably wasn't able to buy default, but you have that choice in preferences
[00:34:31.320 --> 00:34:36.600]   If you enabled it it would be ping that an update was ready. It would download the update not install it
[00:34:36.600 --> 00:34:38.600]   They never want to install anything without your permission
[00:34:38.600 --> 00:34:43.480]   Uh, but it would go through and just allow you to quickly update everything
[00:34:43.480 --> 00:34:49.080]   I should sorry. I should correct that for app updates you can automatically have them installed but for system updates
[00:34:49.080 --> 00:34:52.600]   They wanted to make sure that you were aware so it wouldn't like reboot in the middle of you doing a podcast
[00:34:53.080 --> 00:34:57.000]   So what they've done now is they've sorry that's nice good. Good. Good. I'm to do that. That's
[00:34:57.000 --> 00:35:02.840]   We both have had experiences with other platforms where exactly would reboot in the middle of a podcast
[00:35:02.840 --> 00:35:05.640]   Best experience
[00:35:05.640 --> 00:35:11.400]   So what they've done now is they've given the same background download capability to the installer for os 10
[00:35:11.400 --> 00:35:13.080]   Sorry for mac os sierra
[00:35:13.080 --> 00:35:17.720]   So if you're running the latest versions of el capitan either the the opposite latest version or the previous version
[00:35:17.720 --> 00:35:22.920]   You'll get this ability you'll see the update pop up and you'll go to install it and you'll find that beautifully miraculously
[00:35:23.080 --> 00:35:26.200]   It's already been downloaded. You just press a button and it starts to install
[00:35:26.200 --> 00:35:31.880]   They are being conscientious though for people who may be unlimited storage and if you try to save something in your mac
[00:35:31.880 --> 00:35:35.240]   Because on limited space it'll just ditch that installer quietly in the background
[00:35:35.240 --> 00:35:41.640]   Freeing up, you know gigabyte or two of space that you can use maybe three gigabytes depending on your system that you can use to download stuff
[00:35:41.640 --> 00:35:45.800]   Or to save stuff in the meantime then it'll just go back to downloading it again when you have enough space
[00:35:45.800 --> 00:35:49.640]   So it's more of this sort of background intelligent management stuff and
[00:35:50.360 --> 00:35:52.200]   For most people, I think it'll just be a no brainer
[00:35:52.200 --> 00:35:56.840]   It's just easier to do but they are giving options for people who want to forbid it on their system for example
[00:35:56.840 --> 00:36:02.040]   It sounds like this is a the perfect sort of feature if you're somebody who doesn't have a metered connection and has
[00:36:02.040 --> 00:36:07.800]   Plenty of bandwidth and isn't worried about it because then you get the instant gratification essentially
[00:36:07.800 --> 00:36:08.680]   It's hey
[00:36:08.680 --> 00:36:13.000]   Did you know that sierra is here and then you can install it right then and not sort of say sure
[00:36:13.000 --> 00:36:15.880]   And then an unspecified amount of time later
[00:36:16.440 --> 00:36:20.840]   It will throw up a little dialog box and say now would you like to install this new operating system?
[00:36:20.840 --> 00:36:22.280]   It lets you do it in a moment
[00:36:22.280 --> 00:36:27.720]   And if you're on a on metered or you're worried about like your download ruining your podcast or whatever it is
[00:36:27.720 --> 00:36:31.720]   Then you can you can go to system preferences into the the app store
[00:36:31.720 --> 00:36:37.400]   Preferences and system preferences and turn it off and it won't auto download anything if you want
[00:36:37.400 --> 00:36:40.120]   Yeah, absolutely again
[00:36:40.120 --> 00:36:42.200]   It's a it's a great system I think for most people
[00:36:42.600 --> 00:36:46.600]   If you do have concerns or if you're on a production system that you never want to upgrade that you're still running tiger on
[00:36:46.600 --> 00:36:48.760]   You're absolutely affected by this
[00:36:48.760 --> 00:36:51.000]   But it's one of those things that's nice
[00:36:51.000 --> 00:36:51.400]   It's again
[00:36:51.400 --> 00:36:54.200]   It's getting the management of the computer out of the way from people who just want to use it
[00:36:54.200 --> 00:36:58.840]   And apple benefits here because it makes it that much easier for everybody to get on sierra
[00:36:58.840 --> 00:37:02.200]   Which is what they they always want everybody on the latest OS version and so now
[00:37:02.200 --> 00:37:06.120]   Uh, you don't have that moment of like well, I don't want to bother right now instead
[00:37:06.120 --> 00:37:08.040]   It's sort of like we can do it right this moment
[00:37:08.520 --> 00:37:13.400]   You don't have to wait sort of like it's sort of like how ios tvOS have been working for a while now
[00:37:13.400 --> 00:37:17.320]   Right and and there is I mean to be clear just like with ios and tvOS
[00:37:17.320 --> 00:37:22.120]   They they will ask you and you have to you have to go through the installation steps
[00:37:22.120 --> 00:37:25.320]   It's not going to do something in the background and shock you
[00:37:25.320 --> 00:37:29.000]   It's the they'll ask permission before they do anything like upgrade your software
[00:37:29.000 --> 00:37:31.560]   Yeah, it's only polite
[00:37:31.560 --> 00:37:33.400]   true things
[00:37:33.400 --> 00:37:36.840]   So another story came out in the last week since the last edition of mac break weekly
[00:37:37.160 --> 00:37:39.800]   Which was about apple and
[00:37:39.800 --> 00:37:45.320]   Metadata in iMessage now. I've got there a couple things here the intercept sam bittle
[00:37:45.320 --> 00:37:50.920]   You may remember him from valley wagon other gocker websites now at the intercept wrote this story that is uh
[00:37:50.920 --> 00:37:57.400]   Lots of capital letters in the headline saying apple logs your iMessage contacts and may share them with police
[00:37:57.400 --> 00:38:02.760]   Which is yeah, it's a really bad story. It's a scary. That's a scary headline and then they're on imore
[00:38:03.320 --> 00:38:07.880]   Renee wrote a less scary headline called apple and metadata what you need to know so
[00:38:07.880 --> 00:38:15.560]   Renee what what's going on here and what do iMessage users need to know about what other metadata is getting logged and what that
[00:38:15.560 --> 00:38:17.720]   What that data is what that information is?
[00:38:17.720 --> 00:38:18.520]   Yeah, sure
[00:38:18.520 --> 00:38:24.200]   So what happened was a while you know iMessage came out and what apple did is to make it easier for everybody you use and to get really good adoption
[00:38:24.200 --> 00:38:28.840]   They they mix it into the sms app and the sms app became messages and it lets you handle sms
[00:38:28.840 --> 00:38:32.120]   Which is the green bubbles and iMessage which is the blue bottles pretty seamlessly
[00:38:32.200 --> 00:38:37.160]   You just type in the person's phone number and in the background apple figures out if they're on iMessage or not
[00:38:37.160 --> 00:38:42.680]   And if they are blue bubble goes and if they're not the green bubble goes and you really don't have to worry about much more than that
[00:38:42.680 --> 00:38:47.320]   But as a consequence what happened, you know a year later some people switched to android and found out
[00:38:47.320 --> 00:38:52.040]   They just weren't getting their messages because they're friends with iOS devices like ipads or iPhones
[00:38:52.040 --> 00:38:57.320]   We're trying to message them, but that message was you know apple still thought they were in the iMessage system
[00:38:57.320 --> 00:39:01.000]   They were no longer but that message just didn't get sent over sms anymore
[00:39:01.400 --> 00:39:04.200]   So a bunch of apple engineers got together and tried to debug the problem
[00:39:04.200 --> 00:39:09.240]   And they did that by creating a log and they keep only 30 days because they really only need current information
[00:39:09.240 --> 00:39:12.760]   What happened a month ago is of no help to them in problem solving this
[00:39:12.760 --> 00:39:15.800]   And as there's turns out there are other problems with iMessage as well
[00:39:15.800 --> 00:39:16.600]   So
[00:39:16.600 --> 00:39:21.560]   Anyone who's done group messages for example apple security model is very very tight
[00:39:21.560 --> 00:39:25.000]   And if you switch devices if you go from an iphone to an ipad for example
[00:39:25.000 --> 00:39:30.360]   You can have either a phone number or an apple id an email address associated with iMessage
[00:39:30.520 --> 00:39:34.360]   So if Jason and i are on the iphone and then Jason goes home and messages me from his ipad
[00:39:34.360 --> 00:39:39.080]   I might not have Jason's email address and then it really doesn't like it sort of knows us from the same content
[00:39:39.080 --> 00:39:45.400]   Contact but it can't really be sure and so it puts into a new conversation because that's apple security model
[00:39:45.400 --> 00:39:50.120]   Or if you know if andes on his ipad and messages me and then goes out and starts using his android phone
[00:39:50.120 --> 00:39:53.240]   And that's coming from a text message and it's part of a group conversation again
[00:39:53.240 --> 00:39:57.640]   It breaks because it really can't tell if that's the same secure conversation anymore
[00:39:58.040 --> 00:40:02.040]   And there's all these sort of issues that they that they believe that an engineering level
[00:40:02.040 --> 00:40:04.360]   Nothing to do with lawyers. Nothing to do with compliance
[00:40:04.360 --> 00:40:06.040]   Nothing to do with law enforcement
[00:40:06.040 --> 00:40:12.280]   That they just needed this information to properly debug the problems in iMessage problems which persist to this very day
[00:40:12.280 --> 00:40:17.640]   And that that's the story with this but unfortunately anything that exists can be subpoenaed
[00:40:17.640 --> 00:40:20.520]   So if there's a court order saying we want all your data all your metadata
[00:40:20.520 --> 00:40:25.640]   If this is sitting on a server even a development server apple is obligated to hand it over to them
[00:40:26.360 --> 00:40:28.600]   For me that this is an interesting story, but the
[00:40:28.600 --> 00:40:36.840]   The bigger story is that how do you do bug fixing and how do you do logging in an era where anything could be subpoenaed?
[00:40:36.840 --> 00:40:44.120]   How do you balance the privacy of your of your readers and metadata is not the data the data of the messages is still and den encrypted
[00:40:44.120 --> 00:40:49.480]   Nobody has any idea what's in these messages. This is data like what time you're sending it what ip address you're sending it from
[00:40:49.480 --> 00:40:55.160]   The contact negotiation that's happening that apple's trying to determine if it's an iMessage or an SMS that kind of stuff
[00:40:55.640 --> 00:41:01.560]   But how do you log any of these things in an environment where all anything that you log might be subject to you know search and seizure?
[00:41:01.560 --> 00:41:04.360]   Isn't this a tremendous problem for apples engineers?
[00:41:04.360 --> 00:41:10.360]   You're really saying and for any any Silicon Valley company engineer is saying you are balancing user
[00:41:10.360 --> 00:41:16.920]   Experience with security at every stage that if you collect information it can be subpoenaed
[00:41:16.920 --> 00:41:19.720]   And if you need to collect information to make a feature better
[00:41:20.280 --> 00:41:26.040]   You have to immediately ask yourself could that be subpoenaed because it's not as if apple's creating a trove of information here
[00:41:26.040 --> 00:41:30.760]   To do anything other than improve connectivity between devices, but the fact is like you said
[00:41:30.760 --> 00:41:36.440]   You write the information down and it's a penable at that moment. It is now part of a potential security story
[00:41:36.440 --> 00:41:40.200]   And a couple of the info sec writers who i follow were saying that you know
[00:41:40.200 --> 00:41:45.800]   It's not just at any time the government could compel apple to collect this information whether they need it or not because they realize that
[00:41:45.800 --> 00:41:50.200]   You know mededate exists everywhere carriers are famous for collecting a storing metadata
[00:41:50.280 --> 00:41:54.520]   About all the text messages that we send and just that information exists they can be compelled to collect it
[00:41:54.520 --> 00:42:00.600]   So I think I think the actual story about apple collecting it is a non-story, but I think the issue that it raises is huge
[00:42:00.600 --> 00:42:05.480]   Anybody we all need we we all need to remember that uh the the
[00:42:05.480 --> 00:42:12.440]   most ambitious and far-reaching organization collecting personal information is not google
[00:42:12.440 --> 00:42:18.520]   And the technology they have for correlating little pieces of information is also not google having the best
[00:42:19.720 --> 00:42:25.080]   Solutions there and the tiniest piece of data that you have combined with 10 other pieces of data
[00:42:25.080 --> 00:42:32.360]   Puts together a really convincing picture that you could not get even if you just had full access to somebody's iMessage stream
[00:42:32.360 --> 00:42:38.440]   So it's this is why I hope that when apple keeps banging the drum about security
[00:42:38.440 --> 00:42:44.120]   They stop making it about a other companies here in silicon valley don't have the same attitude that we do
[00:42:44.680 --> 00:42:49.400]   Because it's not the big problem isn't necessarily facebook or google
[00:42:49.400 --> 00:42:55.320]   It's your local supermarket and it's your bank and it is pretty much everybody else you transact with and it's
[00:42:55.320 --> 00:42:58.280]   really inexpensive devices that can be
[00:42:58.280 --> 00:43:02.920]   Installed in the back in the part of the back deck equipment in police cars
[00:43:02.920 --> 00:43:09.160]   So that simply by virtue of this car driving around on its normal business. It is collecting every single license plate
[00:43:09.160 --> 00:43:11.160]   That is near that car
[00:43:11.160 --> 00:43:15.560]   Day after day week after week month after month. We really do have to have an awareness
[00:43:15.560 --> 00:43:19.000]   It really is like a it's like the the the movie they live
[00:43:19.000 --> 00:43:25.160]   Where it's not until you put those glasses on that you realize oh my god. I'm leaking out personal information everywhere
[00:43:25.160 --> 00:43:27.880]   I need to get in a fight with radi rotted piper now
[00:43:27.880 --> 00:43:34.040]   Of course or something of that nature. So yeah, so when you see an article like that that says oh apple big apple talks a big
[00:43:34.040 --> 00:43:37.640]   Game about being secure but really all this data. Yeah again
[00:43:37.720 --> 00:43:40.840]   That's true of pretty much everywhere and apple. Oh definitely needs to
[00:43:40.840 --> 00:43:45.800]   Get get credit for taking it more seriously than most companies do but still bites
[00:43:45.800 --> 00:43:48.760]   I mean when you when you say we care about security
[00:43:48.760 --> 00:43:54.360]   This is the challenge is that any story like this is going to be used as an example of a shocking
[00:43:54.360 --> 00:43:58.680]   You know shocking realization that apple isn't completely locked down with everything
[00:43:58.680 --> 00:43:59.480]   Which is impossible
[00:43:59.480 --> 00:44:05.320]   But apple's the one who sort of set themselves up as as a company that is all about your security and privacy
[00:44:05.400 --> 00:44:09.160]   And so they do open themselves up to criticism with stories like this even though
[00:44:09.160 --> 00:44:14.040]   You know again, you could be incredibly private and secure and that product
[00:44:14.040 --> 00:44:19.800]   At the extreme that product is not a product that anyone's going to want to use and so how do you balance all of those?
[00:44:19.800 --> 00:44:20.840]   I mean radiation is hard
[00:44:20.840 --> 00:44:25.480]   You can have all the curtains closed in your house and they can still use an infrared camera and see you and everything that we do
[00:44:25.480 --> 00:44:29.880]   Whether it's digital or analog has radiation around it. It has stuff that's streaming off of it
[00:44:30.440 --> 00:44:34.200]   I you know, I like Sam. I think he's a gifted writer, but my issue
[00:44:34.200 --> 00:44:35.960]   I don't really care about the apple part
[00:44:35.960 --> 00:44:37.640]   I mean that to me is an interesting technical thing
[00:44:37.640 --> 00:44:42.440]   But like my mom watches bbc and these stories come on and they're they're designed to scare the hell out of her
[00:44:42.440 --> 00:44:44.040]   Because apple gets a lot of attention
[00:44:44.040 --> 00:44:48.840]   So if you put apple and something scary in the headline it the headline is going to get a lot of attention the story
[00:44:48.840 --> 00:44:51.240]   I'll get a lot of attention and that's totally not fair to her
[00:44:51.240 --> 00:44:54.040]   When there's some obscure jailbreak if you use a chinese app store
[00:44:54.040 --> 00:44:58.200]   And the headline is apple security cracked for the first time ever or something
[00:44:58.360 --> 00:45:01.320]   Or you know apple's collecting logging information to debug iMesh
[00:45:01.320 --> 00:45:04.200]   And the story is apple is collecting information and giving it to that
