
[00:00:00.000 --> 00:00:05.120]   Coming up next, I'm Philian for vacationing Leo Laporte and we're talking about Apple music and
[00:23:09.600 --> 00:23:13.760]   Um, I mean, I think that the idea is that they want artists people to use it that way
[00:23:13.760 --> 00:23:20.960]   I think the reality is I don't know how they're able to maybe internally scale it so that more artists can have access
[00:23:20.960 --> 00:23:26.080]   I don't know what that process is going to be of getting people to access it because part of what makes soundcloud so great
[00:23:26.400 --> 00:23:31.200]   Is that anybody can use it and and that means that there's like a lot of crap and stuff that you don't want to see but that also means
[00:23:31.200 --> 00:23:35.360]   There are a lot of up and coming emerging artists who might not have the label representation
[00:23:35.360 --> 00:23:41.440]   Who are on soundcloud and kind of build a following that way? So I don't know how you're able to I guess
[00:23:41.440 --> 00:23:46.080]   Do that sound cloudy thing in a vetted way, which is i'm sure what apple wants
[00:23:46.080 --> 00:23:51.840]   Um, my fear with connect. I think it's a cool idea and I think that um if if
[00:23:52.560 --> 00:23:56.480]   You know people use it if the artists use it it has potential to be a really cool tool
[00:23:56.480 --> 00:24:01.040]   I just having talked to the artists for so many years and and seeing how much they've struggled
[00:24:01.040 --> 00:24:05.680]   To get the social game and get the digital game when it comes to music, you know, they all got my space
[00:24:05.680 --> 00:24:09.440]   And then it was like when my space died, no, what he would knew what to do and they've kind of you know
[00:24:09.440 --> 00:24:13.520]   Scattered to these various platforms. I don't know if this is going to be the answer bro
[00:24:13.520 --> 00:24:16.400]   This is going to be the service they use to connect with fans
[00:24:16.400 --> 00:24:20.480]   I I almost think that they'll still continue to use soundcloud and twitter and facebook and and
[00:24:20.960 --> 00:24:22.960]   You know instagram and other places
[00:24:22.960 --> 00:24:28.080]   Um, and so it might just I think it runs the risk of becoming just another marketing platform
[00:24:28.080 --> 00:24:33.600]   And if that's what it is where you're basically just seeing the same stuff that you would see if you follow them on on instagram or
[00:24:33.600 --> 00:24:35.360]   YouTube or wherever
[00:24:35.360 --> 00:24:40.080]   Um, I don't know if it's actually going to have any value and I don't know if users are actually going to engage with it
[00:24:40.080 --> 00:24:43.360]   Because at that point it's basically just ping and we know what happened to ping
[00:24:43.360 --> 00:24:49.280]   I think some people were also unclear because I think they said that you could go from connect and share stuff out
[00:24:49.440 --> 00:24:54.400]   But some people were assuming that all the facebook and twitter stuff would also come in and it just seemed like no one really knew
[00:24:54.400 --> 00:24:56.080]   What it was going to be uh, right?
[00:24:56.080 --> 00:24:58.880]   You can share out, but it's not going to pull in the other stuff
[00:24:58.880 --> 00:25:03.120]   So if you wanted to actually post you'd have to you'd have to post to multiple places at the same time
[00:25:03.120 --> 00:25:08.320]   Which you know, frankly, plenty of musicians they have their people, you know, if they have a team to do that
[00:25:08.320 --> 00:25:13.120]   You know, it's not like they're all individually posted to google plus every time they update something they they have
[00:25:13.120 --> 00:25:19.360]   They're they're purposely having someone, you know, make that decision to publish there too. So, um, I think that'll be
[00:25:19.520 --> 00:25:24.400]   The big thing though is we'll see if they just start to to share the same content that they're sharing other places
[00:25:24.400 --> 00:25:28.720]   Or if they actually want to take it a destination for for original content
[00:25:28.720 --> 00:25:35.040]   And I think apple actually kind of has a responsibility to make a service like connect part of this because
[00:25:35.040 --> 00:25:37.520]   Intentionally or not to various degrees
[00:25:37.520 --> 00:25:43.920]   If the goal is to make sure that people are never going to leave an apple app in order to get music the way that they want to get it
[00:25:43.920 --> 00:25:48.320]   It makes people less likely to leave them the the the music app
[00:25:48.720 --> 00:25:54.080]   To get outside music so it seems as though it's they almost have an obligation to make sure that people who are not necessarily
[00:25:54.080 --> 00:26:03.440]   The holders of really huge studio deals have the ability to release place music in a place where apple and iphone users are going to be able to see it
[00:26:03.440 --> 00:26:09.440]   Uh, do you is is it really in their best long-term interest though to support something like connect though?
[00:26:09.440 --> 00:26:11.680]   Renate tell me about that
[00:26:11.680 --> 00:26:16.880]   I was sort of really interested and I know I know itunes is horrible and there's all sorts of legacy and
[00:26:17.520 --> 00:26:19.520]   Portability reasons and self-evident
[00:26:19.520 --> 00:26:23.120]   Yeah, so that being said, uh, I think when jimmy
[00:26:23.120 --> 00:26:28.960]   I've I said that they were trying to make one single thought around music he was being sincere and I think a lot of times when apple speaks
[00:26:28.960 --> 00:26:34.160]   They are really sincere about that and people have complained that it's it's complicated the new music app is complicated
[00:26:34.160 --> 00:26:37.520]   I'm sure music in itunes is going to be even more complicated
[00:26:37.520 --> 00:26:43.440]   But they have this advantage of being able to put this app on the screen of hundreds of millions of devices all at once
[00:26:43.840 --> 00:26:48.480]   And right now we do have a very fragmented experience some of us have itunes music some of us have google music
[00:26:48.480 --> 00:26:55.040]   Some of us have spotify subscriptions or arty or pandora or slack or an on and on and on and you're always jumping around and for me
[00:26:55.040 --> 00:27:01.680]   It's almost like not quite but it's almost like that experience of going to iOS 8 where everything I used to hunt around and peck and choose for
[00:27:01.680 --> 00:27:09.840]   The suddenly just available to me in one place and it does cause a little bit of friction and there will be limitations and collisions and things that aren't intuitive at first
[00:27:10.160 --> 00:27:14.560]   But the ability to have all these different types of music from what I've bought in my collection
[00:27:14.560 --> 00:27:18.800]   To what I can stream from the iTunes collection to what zane low and the rest are are
[00:27:18.800 --> 00:27:24.080]   DJing on beats radio to everything that's in connect all in one place
[00:27:24.080 --> 00:27:28.640]   And with the mini play area, it's really easy to control that and move around and do a lot of things
[00:27:28.640 --> 00:27:32.720]   It almost becomes its own little environment and that makes it incredibly powerful to me
[00:27:32.720 --> 00:27:38.480]   It's it's almost that old apple adage of we have that you know that one that one shot and it has to be the bay bruise shot
[00:27:38.560 --> 00:27:44.160]   They're putting all their wood behind it being this one seamless experience and if part of that is broken, maybe it won't work
[00:27:44.160 --> 00:27:47.600]   So it's like a gamble, but I think certainly compared to what we've seen from other people
[00:27:47.600 --> 00:27:53.520]   It's it's worth a shot from them at this point. Yeah, I really feel like this is I really feel like this is the first time that they have
[00:27:53.520 --> 00:27:59.440]   Taken a passion approach to music since they realized that the motor roller rocker was a bad idea and they had
[00:27:59.440 --> 00:28:05.200]   Their own hands. It's nice to see that they're not just simply they just tossed this project to somewhere because we need one of those as well
[00:28:05.280 --> 00:28:11.920]   That's definitely the the approach I got. I'm sorry. I was interrupting though. Uh, Cali was that you? Yeah, it was I just wanted to say that
[00:28:11.920 --> 00:28:15.200]   At least on the upside they're giving it away right now
[00:28:15.200 --> 00:28:20.320]   So it's not like you're paying for something from the get-go and if there are rough edges
[00:28:20.320 --> 00:28:25.840]   You know, um people have as as in fact itunes itself has taught us
[00:28:25.840 --> 00:28:30.960]   Um anything that wants any amount of money from you for any reason
[00:28:31.680 --> 00:28:34.880]   Must be absolute perfection or it's utter crap
[00:28:34.880 --> 00:28:44.480]   There is no middle ground according to the reviews in the itunes store. So, um, I I really like that they're giving away for free and it sort of feels like
[00:28:44.480 --> 00:28:48.080]   Maybe it's maybe it's a little bit beta
[00:28:48.080 --> 00:28:53.360]   And there may be some there may be some some rough spots like once I update my phone and I'm able to start using it
[00:28:53.360 --> 00:28:57.360]   It might end up being a little odd, but at the same time if it's free
[00:28:57.440 --> 00:29:02.960]   I'm not gonna worry about it too much and I'm willing to cut them an awful lot of slack as long as they're not charging me for anything
[00:29:02.960 --> 00:29:07.760]   So, um if it turns out to be something really well, this would be the one that I would pay for
[00:29:07.760 --> 00:29:15.520]   Um, I actually don't pay for a streaming service now. I am apparently not the young people who don't buy CDs
[00:29:15.520 --> 00:29:20.240]   So I do I I will like I keep finding out like people are like
[00:29:20.240 --> 00:29:26.640]   You know, I'm really excited about this new thing that came out and I went and bought it and be what like not in itunes?
[00:29:27.040 --> 00:29:29.040]   Like yeah
[00:29:29.040 --> 00:29:35.440]   Well, and it you know, I I love CDs. I love the import version. I love
[00:29:35.440 --> 00:29:39.040]   Um opening up the little booklet and reading all the stuff that's in it
[00:29:39.040 --> 00:29:46.720]   Um, I was actually a little bit sad when everything went to CDs. I do remember records and the books were a lot bigger and you could get a lot more cool stuff in them
[00:29:46.720 --> 00:29:48.400]   um
[00:29:48.400 --> 00:29:50.400]   So to me
[00:29:50.400 --> 00:29:55.280]   Like looking at something like spotify, which I don't have ultimate control over my playlist
[00:29:55.760 --> 00:29:57.760]   Um, you know, at least for free
[00:29:57.760 --> 00:30:02.400]   Uh, you know to me that doesn't hold a lot of appeal and pandora never really held a lot of appeal
[00:30:02.400 --> 00:30:09.680]   And it's only in the itunes radio stations that have ended up over time being very well trained
[00:30:09.680 --> 00:30:14.480]   Um, thanks to the fact that I actually can do that on any device that i'm using
[00:30:14.480 --> 00:30:16.960]   that has been
[00:30:16.960 --> 00:30:21.200]   Probably the best listening experience i've had but I still am not paying for any of them
[00:30:21.200 --> 00:30:23.600]   So if this one was actually
[00:30:24.080 --> 00:30:26.880]   Actually turns out to be something really useful and very interesting
[00:30:26.880 --> 00:30:31.760]   This is the thing I would listen to in the car and you know, maybe even not my own playlist
[00:30:31.760 --> 00:30:35.680]   Just put on whatever's on beats one at the time and see what the radio
[00:30:35.680 --> 00:30:39.600]   Air quote radio has uh for me when i'm headed someplace
[00:30:39.600 --> 00:30:46.080]   Yeah, yeah, that was what eddy said to me, um, you know talking about how like I and I wrote about this a little bit my piece
[00:30:46.080 --> 00:30:50.960]   I don't think that their goal right now anyway is to like steal the way the people that are already subscribing to already
[00:30:50.960 --> 00:30:56.400]   Or spotify or whatever. I think that they're really kind of going after the much bigger audience who doesn't pay for anything at all
[00:30:56.400 --> 00:30:58.080]   And and I agree with you kelly
[00:30:58.080 --> 00:31:02.880]   I think that having a free trial, you know three months free gives them a lot of of room to do that
[00:31:02.880 --> 00:31:08.160]   It does two things one, you know, it lets them work out, you know, the kinks and and I think the underlying product is really solid
[00:31:08.160 --> 00:31:10.400]   But I think that obviously they're going to be issues with you
[00:31:10.400 --> 00:31:15.920]   It's when the sinking stuff and some of the cloud stuff and and obviously they'll need to get the the radio and some of the other features, you know
[00:31:16.560 --> 00:31:21.840]   Working correctly, but um so so doing that while you know the product is is free
[00:31:21.840 --> 00:31:26.560]   I think um gives them a lot of goodwill that they wouldn't have if they launched it fully formed
[00:31:26.560 --> 00:31:30.160]   Um or rather charging fully and it didn't feel fully forms
[00:31:30.160 --> 00:31:32.560]   But but I also think that you know, like
[00:31:32.560 --> 00:31:36.160]   I get the distinct feeling that they are trying to do exactly what you're saying
[00:31:36.160 --> 00:31:41.120]   Like they're trying to go after people who haven't really had a reason to pay for music like I have had
[00:31:41.680 --> 00:31:47.200]   Let's see. I had a streaming music subscription service. I think before iTunes even was on Windows
[00:31:47.200 --> 00:31:50.480]   If I'm if I'm thinking correctly, I had a rhapsody account
[00:31:50.480 --> 00:31:56.240]   I think it was even before real bought them in 2002 or 2003 and that was before the iTunes store even hit windows
[00:31:56.240 --> 00:32:01.360]   And um that was like $10 a month and it had you know, I think maybe like a like a you know
[00:32:01.360 --> 00:32:04.960]   Three or 400,000 song library and then it eventually got got bigger and bigger
[00:32:04.960 --> 00:32:08.160]   Um, I've been a Spotify subscriber since gosh
[00:32:08.160 --> 00:32:10.560]   Um, they came to the us in 2011
[00:32:10.560 --> 00:32:14.480]   But I I've been with them. I think since 2009 or something
[00:32:14.480 --> 00:32:17.200]   Thanks. Um, um, I was Spotify Sweden guys
[00:32:17.200 --> 00:32:19.440]   um and um
[00:32:19.440 --> 00:32:24.880]   I I've dabbled with rdo and and and the other services too. I even remember the beats music precursor, which was mogg
[00:32:24.880 --> 00:32:26.320]   Um
[00:32:26.320 --> 00:32:31.440]   And so I'm the weird person that pays for these services that always has and then then I still buy music too
[00:32:31.440 --> 00:32:34.080]   But I I buy everything I'm like a a media
[00:32:34.080 --> 00:32:37.200]   Hoarder and and whore and and I just I buy too much
[00:32:37.200 --> 00:32:40.160]   Um digital stuff and physical stuff for that matter
[00:32:40.640 --> 00:32:43.840]   But um, I think for the people who aren't like me the majority
[00:32:43.840 --> 00:32:46.560]   This is kind of what they're trying to do. They're trying to say, okay
[00:32:46.560 --> 00:32:51.440]   Um, we can give you an experience that will make it easy for you to listen to anything you want
[00:32:51.440 --> 00:32:55.920]   Have access to all the things you've purchased before and then we're also going to help you discover new music
[00:32:55.920 --> 00:33:03.200]   And give you kind of a lean back a lean listen, um experience and um that I think that their target audience there is a lot
[00:33:03.200 --> 00:33:06.160]   Larger than the you know 20 million people that pay for spotify
[00:33:06.560 --> 00:33:12.240]   Um, which which it's great, but I feel like I mean eddy said he didn't he didn't use these terms exactly
[00:33:12.240 --> 00:33:16.240]   But his term was basically like, you know, look we we can you know still do really well
[00:33:16.240 --> 00:33:20.720]   You know, we don't have to we don't have to steal from them for us to still win
[00:33:20.720 --> 00:33:23.840]   You know kind of kind of a play on you know, seashobs as you know, like apple
[00:33:23.840 --> 00:33:26.320]   You know for for apple to win microsoft doesn't have to lose
[00:33:26.320 --> 00:33:30.240]   Um, and and so I think that there's it's there's a broad enough
[00:33:30.240 --> 00:33:35.520]   Sector of people who just don't pay at all that they can they can capture some of that they can capture
[00:33:35.760 --> 00:33:40.960]   You know a significant portion or even a small portion of that audience. Um, they have a real shot and and
[00:33:40.960 --> 00:33:48.880]   Eventually what might happen is some people might you know, migrate over from spotify or whatever and some people might not for for me
[00:33:48.880 --> 00:33:52.720]   What I anticipate happening is that I will be paying for apple music
[00:33:52.720 --> 00:33:58.640]   And I will be paying for spotify side by side for a long time until I can figure out if I can get rid of spotify
[00:33:58.640 --> 00:34:02.240]   But I do very much anticipate paying for apple music just because I like
[00:34:02.720 --> 00:34:09.200]   The experience of having the last 12 years of my purchases living alongside, you know, my my streaming all-acart stuff
[00:34:09.200 --> 00:34:11.440]   Like for me, that's that's worth the $10 a month
[00:34:11.440 --> 00:34:16.880]   I'm really glad to see that apple has not oftentimes when apple introduces a new product or service
[00:34:16.880 --> 00:34:21.600]   Be it's seria or apple news part of it is to make the iphone or make something that they sell
[00:34:21.600 --> 00:34:27.360]   That much more valuable and give make that a value add that's exclusive to uh to ios or to macos
[00:34:27.360 --> 00:34:31.680]   And apple music is certainly the most acumenical product that apple is making
[00:34:32.160 --> 00:34:36.400]   Because at least by until the end of the at the end of the year when everything is all all said and done
[00:34:36.400 --> 00:34:43.040]   You will be able to get access to apple music on mac on ios on windows and android app is coming in a few months
[00:34:43.040 --> 00:34:46.480]   And so my usual worry is about
[00:34:46.480 --> 00:34:51.200]   Liking beats one so much that I feel as though i'm going to have to buy something
[00:34:51.200 --> 00:34:56.400]   I don't want to buy just to get this one product that i really really like and have to do with one or the other
[00:34:56.400 --> 00:34:58.560]   When apple is simply saying no no
[00:34:58.560 --> 00:35:04.400]   Will we we we don't approve of the fact you carry an android phone, but we will not punish you for carrying an android phone
[00:35:04.400 --> 00:35:05.520]   uh
[00:35:05.520 --> 00:35:07.520]   And that really does point to
[00:35:07.520 --> 00:35:14.400]   How important this service is to apple if if all they were trying to do was to get into the music game and to make the iphone more valuable
[00:35:14.400 --> 00:35:16.480]   They certainly wouldn't be quite that open
[00:35:16.480 --> 00:35:18.880]   Um, I think we do want to talk about uh, i'm sorry
[00:35:18.880 --> 00:35:25.680]   I want to ask rene what christian gave a good discussion about what what what it would take for her to become a for real
[00:35:26.080 --> 00:35:31.680]   subscriber i've been thinking about that myself the difference between being a journalist subscriber meaning i will pay
[00:35:31.680 --> 00:35:35.760]   10 dollars a month just so that i can continue to to write about about apple music
[00:35:35.760 --> 00:35:37.600]   the
[00:35:37.600 --> 00:35:41.360]   Beats one really made a good impression. I've just started to dive into the ios apple
[00:35:41.360 --> 00:35:44.240]   We're going to be talking about the ios apps in a bit
[00:35:44.240 --> 00:35:49.360]   And i'm always i'm already grateful for features that i've been begging for for several years
[00:35:49.360 --> 00:35:53.280]   So I actually do think that i might be become a regular subscriber
[00:35:53.760 --> 00:35:58.800]   In three months time or at the very least i will not i've set a reminder to remind me to cancel in three months
[00:35:58.800 --> 00:36:02.880]   If i don't want to actually keep on going that that might not just be i forgot to do it
[00:36:02.880 --> 00:36:05.840]   It might be an actual active active active will to do
[00:36:05.840 --> 00:36:08.640]   Uh, rene, what what do you think we are? Where are you right now?
[00:36:08.640 --> 00:36:13.280]   Well, it is first and you can go into if you click the little account tab you can go in and turn off auto
[00:36:13.280 --> 00:36:16.240]   Uh renewal if you don't want it to automatically switch to the paid account
[00:36:16.240 --> 00:36:20.080]   Um, so you don't have to set the reminder you can do it immediately and and get it off yourself
[00:36:20.080 --> 00:36:21.840]   Uh, but for me
[00:36:21.840 --> 00:36:25.120]   It's actually really interesting because i like i said i don't want a big music listener
[00:36:25.120 --> 00:36:29.920]   I listen to music when i'm in the car sometimes when it's on and other establishments like at a coffee shop or something
[00:36:29.920 --> 00:36:34.160]   But i don't go out of my way to listen to music because i'm typically watching some sort of video somewhere
[00:36:34.160 --> 00:36:39.920]   But i like the idea that it's integrated and i like the idea that it's easy and those are the two huge wins for me
[00:36:39.920 --> 00:36:46.080]   Uh, this happens to me with with video too is that phenomena where you're trying to find something to watch and you have this dvd collection
[00:36:46.080 --> 00:36:50.960]   Or you have this or you have the netflix queue and you just look at it and and you're paralyzed
[00:36:50.960 --> 00:36:52.560]   Sort of you don't i don't want to watch this that's boring
[00:36:52.560 --> 00:36:57.040]   I just saw this but then you flip on cable tv and a movie is playing and it's got ads and it's
[00:36:57.040 --> 00:37:01.200]   It's pan and scan but you just watch it because it's on and you don't have to decide
[00:37:01.200 --> 00:37:07.440]   And i got that immediate feeling from apple music that i can find almost anything i want if i hear it snip it and want to hear it
[00:37:07.440 --> 00:37:12.160]   But there's also just this ambient music always playing and it's really engaging personality
[00:37:12.160 --> 00:37:18.240]   Which to me i found missing in a lot of the other services there was just nothing human to connect to no no pun intended
[00:37:18.560 --> 00:37:19.840]   And for me
[00:37:19.840 --> 00:37:23.440]   Whether that ends up being worth ten dollars a month i don't know i'm not sure how much i'll listen to it
[00:37:23.440 --> 00:37:28.000]   But if they can provide me with sort of music on demand not just music i want to listen to
[00:37:28.000 --> 00:37:34.320]   But music i never knew i wanted to listen to and it's always available and interesting and engaging and has that sort of humanity about it
[00:37:34.320 --> 00:37:36.560]   Then i might easily pay the ten dollars
[00:37:36.560 --> 00:37:44.240]   Yeah, well again if if if it breaks people's habits again i'm not a radio listener i'm not even necessarily a streaming music listener
[00:37:44.240 --> 00:37:46.640]   My entertainment from music comes from
[00:37:47.360 --> 00:37:48.800]   I have fun
[00:37:48.800 --> 00:37:54.880]   Sitting like you know cross-legged on the sofa with all my CDs around me and building a playlist and making the perfect
[00:37:54.880 --> 00:38:00.720]   Top 10 playlists and that's where all my fun comes so if it changes people's habits just make them into a radio listener
[00:38:00.720 --> 00:38:03.040]   That's a pretty big win. Oh
[00:38:03.040 --> 00:38:08.640]   Andy before um just before he moved i there's a bunch of people asking this so a lot of people are getting an i-cloud music library error
[00:38:08.640 --> 00:38:14.480]   When they're starting off that's kind of the new name for itines match and if you're getting that just go to settings and keep toggling it
[00:38:14.480 --> 00:38:19.760]   And it will eventually work and if you're seeing weird things that say fuse dot something string blah blah blah
[00:38:19.760 --> 00:38:25.120]   Fuse is just the codename for apple music and it means there's some sort of error in your localization and you can ignore that
[00:38:25.120 --> 00:38:27.760]   They will tidy that the little elves will tidy that up as you're sleeping
[00:38:27.760 --> 00:38:30.960]   So those are the big two questions and they're pretty easy as well
[00:38:30.960 --> 00:38:37.760]   Yeah, I mean there are gonna be some growing pains and we haven't even talked about the apple music app itself and what what it's like to integrate with your own library
[00:38:37.760 --> 00:38:40.800]   uh christina you had a really great article that
[00:38:40.960 --> 00:38:49.600]   On a good walkthrough of what all that experience was like uh my my own first impressions were really i i really just i'm just a dog who just wants a cookie
[00:38:49.600 --> 00:38:53.440]   And i wanted i really it's just like i'm happy that the joke
[00:38:53.440 --> 00:38:55.440]   Exactly
[00:38:55.440 --> 00:39:00.720]   It's like i'm just so happy that they gave me the ability to like do like a little on the spot queue of what's going to be up next
[00:39:00.720 --> 00:39:05.440]   What i what i want to hear next i'm glad they finally gave me a mini player and i'm glad they finally fixed search and
[00:39:06.160 --> 00:39:09.200]   Apart from that they give me two bacon treats and i'm good
[00:39:09.200 --> 00:39:09.760]   uh
[00:39:09.760 --> 00:39:16.480]   Christine what but how easy is it gonna be gonna be for people after they install the 8.4 update and take off from there do you think
[00:39:16.480 --> 00:39:20.640]   Yeah, I mean I think it's easy. I mean I think that the the thing that the for use section
[00:39:20.640 --> 00:39:24.240]   Which is how it kind of customizes what it will show you for your for your recommendations
[00:39:24.240 --> 00:39:29.040]   They they took direct like from from beats music and it's a really fun way of kind of customizing
[00:39:29.040 --> 00:39:33.520]   What types of music you like, you know you tap on bubbles and and the more you tap on thing
[00:39:33.520 --> 00:39:39.280]   You know the the the bigger the bubble gets and it'll it'll sort of populate suggestions based on
[00:39:39.280 --> 00:39:43.200]   That also you're listening history and frankly what's in your iTunes library
[00:39:43.200 --> 00:39:50.080]   And this is where having a really big iTunes library and having used a service for a long long time really comes in handy because
[00:39:50.080 --> 00:39:53.760]   When I opened up apple music for the first time the for use section
[00:39:53.760 --> 00:40:01.840]   I was given you know Taylor swift and stephen stevens and um, you know vampire weekend and and dapper cutie and like you know and
[00:40:01.840 --> 00:40:08.640]   Miguel and like uh, you know, uh the kinks music that I love but that I probably wouldn't see in
[00:40:08.640 --> 00:40:11.680]   Uh more, I guess typical streaming service
[00:40:11.680 --> 00:40:17.040]   But it knows that I like all those things because it knows that I have had that music or music like that in my library
[00:40:17.040 --> 00:40:21.680]   Um my music section is you know where all of your current songs exist
[00:40:21.680 --> 00:40:26.080]   So if you are, uh, you know all of your current purchases and if you're an iTunes match subscriber
[00:40:26.080 --> 00:40:28.320]   All of your matched songs live there
[00:40:28.320 --> 00:40:32.480]   Uh one clarification for people who have been asking if you already subscribed to iTunes match
[00:40:32.480 --> 00:40:38.000]   You can cancel your iTunes match subscription if you want to subscribe to apple music the services are complementary
[00:40:38.000 --> 00:40:40.080]   They're very similar, but they're not the same
[00:40:40.080 --> 00:40:43.840]   What that means is that how iTunes match works is that if you cancel iTunes match
[00:40:43.840 --> 00:40:48.480]   All of that match content still exists in the cloud and you can still kind of access it
[00:40:48.480 --> 00:40:53.760]   And you just can't add new stuff with apple music if you stop subscribing to apple music anything
[00:40:53.760 --> 00:40:58.000]   You've matched and have uploaded and that it's you know created like that the high quality versions against
[00:40:58.400 --> 00:41:02.080]   That will go away if you're not also, you know paying for for apple music
[00:41:02.080 --> 00:41:05.280]   So conceivably you can pay for apple music and iTunes match
[00:41:05.280 --> 00:41:10.400]   But most people if your nichon's match user and you like apple music you can just save the 25 bucks a year
[00:41:10.400 --> 00:41:13.840]   And just uh just to get rid of that um when your renewal point comes up
[00:41:13.840 --> 00:41:17.760]   Um, but you know, it shows you your library and it shows all of your you know
[00:41:17.760 --> 00:41:23.280]   Artists and albums that are there as well as your playlists, but what what we were saying before but I love
[00:41:23.280 --> 00:41:27.280]   Oh, and they fixed search like you like you mentioned search just finally fixed and there's a mini player
[00:41:27.680 --> 00:41:30.400]   Um is that your life exactly? It's great
[00:41:30.400 --> 00:41:37.360]   Um is that your library now consists of both your local and your purchase files as well as anything you've added from their catalog
[00:41:37.360 --> 00:41:40.400]   So it all sits together in one place and there's not really differentiation
[00:41:40.400 --> 00:41:42.720]   It's like, you know, whether I bought an album
[00:41:42.720 --> 00:41:47.440]   Or I uploaded it or I've added it from apple music. It's in my library regardless
[00:41:47.440 --> 00:41:50.160]   And and that uh takes away
[00:41:50.160 --> 00:41:55.280]   Uh one of the biggest pain points that I think most streaming services have google music being one of the exceptions
[00:41:55.600 --> 00:42:00.720]   But obviously if you're in the apple ecosystem, we haven't had the opportunity to have all of your music live in one place
[00:42:00.720 --> 00:42:07.120]   Um, and so that makes it really handy and what i'm so cool about that is you can create playlists with songs from either place
[00:42:07.120 --> 00:42:11.440]   And um what's cool about that is that if you have a song that's only available
[00:42:11.440 --> 00:42:15.360]   You know that you bought or that you uploaded it can sit alongside
[00:42:15.360 --> 00:42:20.800]   You know songs that you didn't purchase but are part of apple music and you can still share that playlist with someone
[00:42:20.800 --> 00:42:25.120]   Um, if they had the track they can listen to it if not, you know, it just will show up great out
[00:42:25.600 --> 00:42:28.640]   Um, but you know putting all the music in one place is really cool
[00:42:28.640 --> 00:42:33.280]   But but for me the real like heart and soul of the experience is that for use section
[00:42:33.280 --> 00:42:39.040]   Which the more you use it the better it gets and even just using it over the course of you know, like, you know 24 hours
[00:42:39.040 --> 00:42:44.400]   Um, I've seen it get better with its recommendations and with the stuff that it's showing to me, you know
[00:42:44.400 --> 00:42:49.760]   Like I'm saying refresh on it now and it's showing me, you know behind the boards with with dallas austin
[00:42:50.000 --> 00:42:56.000]   Who's who's an atlanta? Um hip hop producer who's done stuff for you know back in the day tlc and madonna
[00:42:56.000 --> 00:43:02.560]   I haven't thought about dallas austin in years, but um actually um being from atlanta. I like that sort of thing
[00:43:02.560 --> 00:43:09.120]   There's an intro to kanye west playlist. I've got um some stuff where like we're giving you recommended albums
[00:43:09.120 --> 00:43:13.600]   I'm getting pavement to park the shins keen the white stripes and naz
[00:43:13.600 --> 00:43:18.560]   And that's perfect for the source of music that I like to listen to and I and you know
[00:43:18.560 --> 00:43:24.960]   I I haven't listened to illiamatic in a long time. Um, but it's right there and I can press tap and press play
[00:43:24.960 --> 00:43:31.040]   Uh the new feature which is which is right next to for you is basically where apple like if for you is all about
[00:43:31.040 --> 00:43:33.200]   giving you customized um
[00:43:33.200 --> 00:43:39.760]   A look at what you should be listening to and maybe uncovering music that you might like new is all about kind of apples
[00:43:39.760 --> 00:43:45.200]   editorial vision of their music expert saying this is the new stuff and this is stuff that you should pay attention to so
[00:43:45.440 --> 00:43:49.840]   It has both the new releases of the week hot tracks recent releases top songs
[00:43:49.840 --> 00:43:57.280]   Um, but it also um, you know, you kind of can go into their their music editors pick where they have different music editors who
[00:43:57.280 --> 00:44:03.040]   Will curate and you know entire genres. So if you go into the um classic rock
[00:44:03.040 --> 00:44:04.480]   section
[00:44:04.480 --> 00:44:08.560]   Um, you can see the different playlists that the classic rock uh curator has created
[00:44:08.560 --> 00:44:14.000]   But right now for instance they've got albums you need to hear which includes you know the monstant of years from from new yong
[00:44:14.800 --> 00:44:20.560]   and um, uh promise of the uh, uh, uh, real it's got you know the rolling stones acdc
[00:44:20.560 --> 00:44:29.840]   Um, they've got a whole section on a spotlight on the grateful dead to kind of you know commemorate that the the 50th anniversary of the band and their their final concerts
[00:44:29.840 --> 00:44:32.320]   and um
[00:44:32.320 --> 00:44:33.680]   so
[00:44:33.680 --> 00:44:37.120]   You can get really deep into that sort of stuff and um
[00:44:37.120 --> 00:44:43.120]   They've got that for all these different genres and then they're also showing like, uh, I guess like playlists for activities
[00:44:43.120 --> 00:44:46.880]   Which is similar to what songs it does if i'm being honest, I think songs is still as better
[00:44:46.880 --> 00:44:52.960]   But um in terms of you know like playlists, you know for like your morning jog or you know playlists for up in the morning and that sort of thing
[00:44:52.960 --> 00:44:58.480]   And then they have um, you know curators, uh, you know, uh music outlets like rolling stone and pitchfork
[00:44:58.480 --> 00:45:03.520]   Um who are creating playlists of music that people think you should hear
[00:45:03.520 --> 00:45:06.640]   Um, and then there's the radio tab which we've talked a lot about
[00:45:08.320 --> 00:45:16.640]   Yeah, I mean for me. I I like recommendations, but for me, uh, just the basic usability of the player has always been just so sorely wanting
[00:45:16.640 --> 00:45:23.360]   Um, it's it's one of the things that has made me a happy android, uh, phone user the fact that there's such a such a vibrant
[00:45:23.360 --> 00:45:29.840]   Category of music player apps just just a simple fact that this uh, the new a point for a version of the uh, uh,
[00:45:29.840 --> 00:45:31.440]   Uh, ios music player
[00:45:31.440 --> 00:45:37.680]   Makes it very very easy to tell at a glance that here is a file that is there's a music file that's on the device itself and does not require an
[00:45:37.680 --> 00:45:41.520]   Internet connection to play versus how many times i left the house like with a playlist
