
[00:00:00.000 --> 00:00:03.480]   It's time for Mac Break Weekly. Oh boy. Oh boy. Oh boy. Oh boy
[00:24:03.000 --> 00:24:07.240]   CPU hardware vulnerable to side channel attacks
[00:24:07.240 --> 00:24:11.480]   Star dot star. Um, yeah, I could basically say all of them
[00:24:11.480 --> 00:24:14.440]   I mean even in video
[00:24:14.440 --> 00:24:15.480]   Yeah
[00:24:15.480 --> 00:24:20.440]   Yeah effect net app and raspberry pi and technicolor not affected those are the three
[00:24:20.440 --> 00:24:23.160]   Everybody else qualcom
[00:24:23.160 --> 00:24:25.720]   Everybody else affected red hat
[00:24:26.200 --> 00:24:33.720]   Synology everybody else and the real problem is there are some platforms and this is where you're glad you're running an iPhone like android
[00:24:33.720 --> 00:24:37.800]   That the vast majority of devices will never be patched period
[00:24:37.800 --> 00:24:43.080]   So the three letter agencies good news you can continue to use this to attack the bad guys
[00:24:43.080 --> 00:24:45.960]   As as unless they're using android
[00:24:45.960 --> 00:24:47.960]   um
[00:24:47.960 --> 00:24:49.960]   This is this is uh
[00:24:49.960 --> 00:24:55.240]   It's serious. It's difficult to exploit, but it's serious enough because it affects so many
[00:24:55.800 --> 00:24:58.280]   Systems it's so universal
[00:24:58.280 --> 00:25:03.080]   Uh, any one move on anything else you want to say before we wake up call
[00:25:03.080 --> 00:25:05.640]   I mean we survived harp bleed we're surviving meltdown inspector
[00:25:05.640 --> 00:25:11.480]   But it's a continual reminder that we built this thing so fast that we didn't really stop and shore up the foundations and that you know
[00:25:11.480 --> 00:25:16.120]   Companies should pay attention to security as they're as they're optimizing for performance. Yep. Yeah, yeah
[00:25:16.120 --> 00:25:19.240]   but the and the only thing i've been telling people is that
[00:25:19.240 --> 00:25:22.520]   You can't it is a big problem
[00:25:22.680 --> 00:25:25.160]   We can't really predict the damage that could be done by this
[00:25:25.160 --> 00:25:31.880]   But it just reminds you that this is why you should make sure that you keep it close on your financial statements every single month
[00:25:31.880 --> 00:25:37.480]   Make sure you check your credit reports make sure that you rotate your passwords regularly. There's just good hygiene
[00:25:37.480 --> 00:25:39.800]   Uh that if you
[00:25:39.800 --> 00:25:45.560]   Doesn't matter what happens outside in the real world you can mitigate how badly you can be affected by it
[00:25:45.560 --> 00:25:50.600]   Uh nuke you can't you can't do anything about a nuclear missile coming in arcing towards you
[00:25:50.920 --> 00:25:55.240]   Uh, so that's true, but it also means that well the pressure's off of you. You don't have to worry about it
[00:25:55.240 --> 00:25:57.800]   It's nothing you can do about it. You'll be obliterated before you know, but
[00:25:57.800 --> 00:26:02.360]   Yeah
[00:26:02.360 --> 00:26:07.880]   Actually you said something that's very interesting. I just want to highlight this and i'm sure steve will talk about it
[00:26:07.880 --> 00:26:10.120]   uh
[00:26:10.120 --> 00:26:14.120]   For a long time there's been kind of a general advice just change your passwords a lot in fact
[00:26:14.120 --> 00:26:20.040]   Some companies have policies every three six months change your passwords and the national institute of standards nist
[00:26:21.000 --> 00:26:25.320]   retracted that about a year ago saying well, we just kind of the guy who wrote it 30 years ago
[00:26:25.320 --> 00:26:26.920]   Just kind of made it up
[00:26:26.920 --> 00:26:32.600]   And in fact there are real reasons not to require password changes tends to make people use less
[00:26:32.600 --> 00:26:39.160]   uh, forgettable passwords less in other words less secure passwords or maybe add a number to their password and wrote and there
[00:26:39.160 --> 00:26:42.120]   It's just maybe not the best policy except now that maybe
[00:26:42.120 --> 00:26:46.520]   Now that we know there are ways to exfiltrate passwords that might be very widespread
[00:26:47.000 --> 00:26:51.560]   It is good advice again to periodically change your password. So I think we're going to have to change our
[00:26:51.560 --> 00:26:54.120]   changed recommendation because of this
[00:26:54.120 --> 00:27:00.280]   Yeah, well, it always goes about saying that again don't use one two three four five six
[00:27:00.280 --> 00:27:03.160]   Don't even use one two three four five six seven eight as your password
[00:27:03.160 --> 00:27:07.720]   Uh, there's a reason why they publish a list of here all the passwords that we keep finding online
[00:27:07.720 --> 00:27:11.960]   And they're typically the the the same 20 in the first 50 every single year
[00:27:11.960 --> 00:27:14.440]   Uh, but and yes, you're right
[00:27:14.680 --> 00:27:17.800]   If you if you're trying to impose a password policy on other people
[00:27:17.800 --> 00:27:22.280]   You have to really keep in mind that you have to give you have to create something that is practical
[00:27:22.280 --> 00:27:25.960]   Because people will always find the path of least resistance
[00:27:25.960 --> 00:27:29.960]   They're like water flowing from the strumma mountain to the to the valley
[00:27:29.960 --> 00:27:32.440]   They will not take the long way around they will carve
[00:27:32.440 --> 00:27:38.360]   Rock channels through rocks to make sure that they can have a password that does not stop them from being able to get done
[00:27:38.360 --> 00:27:39.960]   What they need to get done
[00:27:39.960 --> 00:27:43.480]   Uh, but that doesn't mean that you can't implement them in a in a wise way
[00:27:44.040 --> 00:27:49.560]   That makes it work, but you know, but I think that the especially in the world that we're in right now
[00:27:49.560 --> 00:27:53.880]   Uh, one of the most important defenses you have against all kinds of maliciousness
[00:27:53.880 --> 00:27:59.240]   Maliciousness going out there is to make sure that if someone grabbed a password file a month ago
[00:27:59.240 --> 00:28:05.160]   If that's only that's only be good for them for the next two or three days because you're scheduled to change the part the passwords
[00:28:05.160 --> 00:28:09.480]   Of anything that's important basically every four to six weeks. So that's it's
[00:28:10.200 --> 00:28:15.800]   You just like to not have to worry about things and rotating passwords frequently is one of the ways you don't have to worry about things as much
[00:28:15.800 --> 00:28:18.680]   Yeah, I really think it's changed recommendation. The good news is
[00:28:18.680 --> 00:28:25.720]   A password vault certainly last pass, you know, make that easy and that's yeah, maybe my job tonight to go home and uh and do something
[00:28:25.720 --> 00:28:28.200]   I don't really do that often because I think it's a
[00:28:28.200 --> 00:28:33.640]   Unnecessary why I used to think it was a well. I'll use leo's passwords leo use and he's passed. Yeah, we should really use my
[00:28:33.640 --> 00:28:39.560]   It also is interesting then now we're seeing calls for and i'm not sure this is the right idea
[00:28:40.120 --> 00:28:44.760]   Uh, this is uh, jason pearlow writing at zd net y entails x86 must die
[00:28:44.760 --> 00:28:48.920]   Our cloud centric future depends on open source chips
[00:28:48.920 --> 00:28:52.120]   The theory being if chipped architectures were open
[00:28:52.120 --> 00:28:56.280]   People other people could look at them find flaws faster
[00:28:56.280 --> 00:29:01.480]   Not that there wouldn't be flaws, but you'd find harply harply got found fast enough. Yeah, see
[00:29:01.480 --> 00:29:08.440]   I'm not sure I agree with this but uh, I think that's probably what line of stormfalls was was saying is we we need to have open source
[00:29:09.080 --> 00:29:10.680]   chips and
[00:29:10.680 --> 00:29:14.680]   I think there is definitely uh, maybe some drum beat now to get rid of x86
[00:29:14.680 --> 00:29:19.800]   There's just too much math and there's not enough people looking at it all the time. Yeah, and we're so dependent on it
[00:29:19.800 --> 00:29:21.880]   Well, and I mean I don't want to
[00:29:21.880 --> 00:29:29.160]   Create a straw dog here, but it is also the case that there's incentive for companies like intel to make their processors faster
[00:29:29.160 --> 00:29:35.240]   And even if it involves cutting corners and when you do that in secret, you don't know if they've cut corners
[00:29:35.800 --> 00:29:38.680]   And I don't know if this was a corner cutting. It certainly was a
[00:29:38.680 --> 00:29:44.760]   Massive performance improvement which intel desperately needed in the mid 90s as you remember. Yep
[00:29:44.760 --> 00:29:50.280]   All right. Well again when gamers want 4k video at 120 frames per second
[00:29:50.280 --> 00:29:53.320]   There are not a whole lot of ways to get that done
[00:29:53.320 --> 00:29:58.920]   So making your computer safe has to be second to making sure that no other shooter is going to get the drop on you
[00:29:58.920 --> 00:30:03.720]   Yeah, so with as with everything it's you either there's no such thing as a low fat muffin
[00:30:03.720 --> 00:30:07.480]   They're just gonna they're gonna remove the fat but they're gonna add in something that's just as bad for you
[00:30:07.480 --> 00:30:13.160]   Well, I had this conversation earlier in the week where someone was like what I was explaining that with some of these issues is because we want desktop class
[00:30:13.160 --> 00:30:19.800]   Performance and all these devices we want like main mainframe performance and desktop devices desktop and mobile and what will you sacrifice?
[00:30:19.800 --> 00:30:23.960]   Yeah, we could make chips that are much easier on batteries, but they would be much slower
[00:30:23.960 --> 00:30:26.760]   And will you give up your machine learning and your ar and your
[00:30:26.760 --> 00:30:32.440]   60 frame per second 4k video and your shooter games and your 3d and the answer is no
[00:30:33.000 --> 00:30:37.640]   But all these things how it's easier for us. We can just say we want everything but to balance those things is non trivial
[00:30:37.640 --> 00:30:42.040]   Let's take a break. There's still a lot to talk about including uh
[00:30:42.040 --> 00:30:45.720]   Our one weekend review of the iMac pro
[00:30:45.720 --> 00:30:52.840]   But first well, I guess it's gonna be mine because I don't think either of you have yours yet mine mine. I should get mine that my review
[00:30:52.840 --> 00:30:54.840]   I'm just waiting so excited
[00:30:54.840 --> 00:31:00.920]   Mac break weekly brought to you by fresh books with a year end and the new year resolutions
[00:31:01.720 --> 00:31:05.320]   I'll tell you what this one of the big resolutions for every
[00:31:05.320 --> 00:31:11.800]   Small business or new business would be to make a start a fresh start with your accounting software keep your books right with
[00:31:11.800 --> 00:31:16.440]   Fresh books. I know you're saying but leo I thought fresh books was
[00:31:16.440 --> 00:31:21.320]   Invoicing software. Well, it is it's but it turns out if you keep track of
[00:31:21.320 --> 00:31:23.640]   money
[00:31:23.640 --> 00:31:29.560]   Oh, do you money received expenses? You're pretty much doing your books without even thinking about it. And that's what I love about it
[00:31:30.280 --> 00:31:35.240]   Fresh books intuitive dashboard gives you quick access to spending outstanding balances
[00:31:35.240 --> 00:31:41.560]   And something that a lot of people in business. I know I didn't never know till tax time your profit
[00:31:41.560 --> 00:31:44.120]   Are you making a profit today?
[00:31:44.120 --> 00:31:45.960]   What's your total profit?
[00:31:45.960 --> 00:31:49.480]   You get all the accounting reports you need when tax time comes around you'll be very happy
[00:31:49.480 --> 00:31:56.200]   And with fresh books, yes, you can make invoices really easily beautiful invoices that get you paid
[00:31:56.840 --> 00:32:01.240]   Faster because you can now with fresh books accept credit card payment from your clients online
[00:32:01.240 --> 00:32:04.760]   That means you're going to get paid on average twice as fast
[00:32:04.760 --> 00:32:09.560]   And no more chasing clients for payments or waiting in line at the bank accepting credit cards
[00:32:09.560 --> 00:32:12.840]   Is as easy as can be your clients even prefer it
[00:32:12.840 --> 00:32:17.080]   See what it see what invoices now that with air miles
[00:32:17.080 --> 00:32:21.640]   We even get people wanting to pay for advertising with credit cards. It's really interesting
[00:32:21.640 --> 00:32:23.800]   There's a big sea change in the way people pay bills
[00:32:24.200 --> 00:32:29.640]   See what invoices have been sent which ones have been paid most importantly which ones have been viewed no more
[00:32:29.640 --> 00:32:34.760]   I didn't get your invoice. Yes. You did. I saw you read it. You can also see what's out
[00:32:34.760 --> 00:32:39.640]   Outstanding what's overdue and automatically even send little reminders
[00:32:39.640 --> 00:32:42.200]   Makes it much easier to do the job you need to do
[00:32:42.200 --> 00:32:47.160]   And now this is a new feature that what I thought I love fresh books because they're always adding stuff like every week
[00:32:47.160 --> 00:32:52.440]   There's something new you can now create proposals in fresh books rich text content images
[00:32:52.920 --> 00:32:54.920]   customizable sections
[00:32:54.920 --> 00:32:58.840]   really showcases the value you bring to your perspective clients and
[00:32:58.840 --> 00:33:04.120]   It gets you started with the proposal on the process of doing the work billing them
[00:33:04.120 --> 00:33:07.000]   Time and hours expenses. It's all in there
[00:33:07.000 --> 00:33:09.640]   Know what you did when you did it
[00:33:09.640 --> 00:33:15.880]   Never leave money on the table again with fresh books free for the first 30 days at fresh books.com
[00:33:15.880 --> 00:33:18.920]   Slash Mac break. Let's start 2018 right
[00:33:21.160 --> 00:33:23.720]   Your money is probably the most important part of your business
[00:33:23.720 --> 00:33:27.800]   Let's do it right fresh books.com slash mac break enter mac break weekly
[00:33:27.800 --> 00:33:32.360]   And how did you hear about a section if you would don't leave money on the table get fresh books
[00:33:32.360 --> 00:33:35.720]   fresh books.com slash mac break we thank them
[00:33:35.720 --> 00:33:38.600]   For making mac break weekly possible
[00:33:38.600 --> 00:33:44.120]   So I have no real use for the iMac pro, but I love it
[00:33:44.120 --> 00:33:47.400]   Leo is the best home theater theater you've ever
[00:33:48.280 --> 00:33:53.240]   No, I don't use it as a home theater computer. I use it as my main machine at home on my desktop
[00:33:53.240 --> 00:33:55.880]   um, and I've got
[00:33:55.880 --> 00:34:00.360]   Two cinema displays on left and right. I did have to get dongles because it only it has lots of ports
[00:34:00.360 --> 00:34:05.000]   But not the right ports it doesn't have a display port and it doesn't have thunderbolt to port
[00:34:05.000 --> 00:34:09.560]   And of course my cinema displays are ones display port once thunderbolt too
[00:34:09.560 --> 00:34:14.040]   So I had to buy the expensive apple dongles. Okay same thing for drives
[00:34:14.120 --> 00:34:19.560]   I must meant I don't have any thunderbolt three drives and actually this is something I learned to my my sadness
[00:34:19.560 --> 00:34:23.000]   I had an a kiddio thunderbolt three rate array
[00:34:23.000 --> 00:34:26.120]   But it was only windows compatible
[00:34:26.120 --> 00:34:28.920]   apple blocks it
[00:34:28.920 --> 00:34:34.120]   And and I don't I don't know if there's a technical reason to block it because I noted there is a hack
[00:34:34.120 --> 00:34:36.600]   A kernel extension you can use
[00:34:36.600 --> 00:34:39.000]   That will let it work, but I wasn't going to do that
[00:34:39.480 --> 00:34:44.200]   And when I contacted the kiddio, they said we can't fix it in firmware. You need to buy new hardware
[00:34:44.200 --> 00:34:49.240]   So be aware if you have thunderbolt three enclosures and you really want to use them with your iMac pro
[00:34:49.240 --> 00:34:51.640]   Make sure they're Mac compatible
[00:34:51.640 --> 00:34:57.080]   Um, that's too bad, but that's the way it is. There's nothing faster though. Even that I don't think as as fast
[00:34:57.080 --> 00:35:02.040]   As that internal drive we benchmarked it here. Yeah, three and a half gigabytes a second. I mean it's
[00:35:02.040 --> 00:35:08.680]   Unbelievable. Yeah, I took a motion pro project that Anthony nelson created for tech news weekly
[00:35:09.400 --> 00:35:15.320]   Uh, it he does it. He renders it on his macbook pro admittedly. He doesn't have you know the latest in grade
[00:35:15.320 --> 00:35:18.680]   I don't know if he has he might have a 2016 2017
[00:35:18.680 --> 00:35:25.000]   Anyway, he says it takes all night to do and that's minus motion blur. He says I don't even turn on motion blur
[00:35:25.000 --> 00:35:27.000]   I could that wouldn't render in weeks
[00:35:27.000 --> 00:35:31.160]   Uh, I rendered it with motion blur in an hour on the iMac pro
[00:35:31.160 --> 00:35:35.560]   That's the kind of thing that changes your life if you're doing that kind of thing
[00:35:35.560 --> 00:35:37.560]   played
[00:35:37.560 --> 00:35:41.560]   Uh, very popular game this epic game that was slowed down by the way. That's how I know the name fortnite
[00:35:41.560 --> 00:35:44.680]   That's one of those battle royale games 100 players and everyone
[00:35:44.680 --> 00:35:50.280]   Exits, it's really a great game. It's really fun, but I I played it because it uses metal
[00:35:50.280 --> 00:35:53.400]   Uh apples, you know
[00:35:53.400 --> 00:35:56.280]   To the metal
[00:35:56.280 --> 00:36:00.840]   Programming for the gpu and uh, I turned it up everything up all the way
[00:36:00.840 --> 00:36:03.880]   Everything all the way turn it to 11 turn it to 11
[00:36:04.360 --> 00:36:09.480]   It you know as most games do it. It says well, this is what I'm gonna pick for your machine. I turned it even higher
[00:36:09.480 --> 00:36:15.960]   Uh turned off the frame rate gaining. I turned everything up and it didn't barf
[00:36:15.960 --> 00:36:23.160]   It pretty much stuck 60 frames a second. It's you know, it can go faster if I turned it down. I can go faster, but 60s plenty
[00:36:23.160 --> 00:36:25.960]   fluid action looks gorgeous
[00:36:25.960 --> 00:36:30.600]   And best of all I kept other things running in the background
[00:36:31.720 --> 00:36:37.240]   And this is the biggest change in how I use it and I think this is actually a legitimate reason to want an iMac pro
[00:36:37.240 --> 00:36:39.720]   Even if you're not doing you know motion
[00:36:39.720 --> 00:36:44.120]   Blur in motion projects or rendering 8k video
[00:36:44.120 --> 00:36:48.440]   You don't there's so much ram on this. This is I got the rene a rishi model
[00:36:48.440 --> 00:36:55.000]   The 64 maybe 64 gigs of ram 10 processors because it's the fastest single processor clock speed
[00:36:55.000 --> 00:36:59.400]   Terabyte hard drive because I thought I was be able to use these high speed external drives
[00:36:59.400 --> 00:37:01.400]   I'll have to get some if I'm gonna do that
[00:37:01.400 --> 00:37:02.840]   um
[00:37:02.840 --> 00:37:07.640]   And you just don't close anything. Yep, so you're playing fortnight, but you still got light room
[00:37:07.640 --> 00:37:10.840]   You see everything's running in the background all the time
[00:37:10.840 --> 00:37:19.560]   And I look at the processors. No problem. Nothing's nothing is maxed ever. I have never maxed anything GPU or processor
[00:37:19.560 --> 00:37:25.080]   It's I remember when the first uh when the garbage can came out the trash can came out guy english used to run batman ark
[00:37:25.080 --> 00:37:29.720]   I'm asylum on one of those gpu's and laura kroft whom later on the other gpu and just leave them
[00:37:29.720 --> 00:37:32.840]   Sleeve them going yeah, and you can even more that now. Yeah
[00:37:32.840 --> 00:37:35.480]   You just you feel like there's breeding program
[00:37:35.480 --> 00:37:40.440]   You feel like there's just a lot there's so much headroom that you don't really have to ever think about it
[00:37:40.440 --> 00:37:47.000]   Jason snell was on the new screen savers. We talked a lot about it, uh, and he uses isotope to um, yeah
[00:37:47.000 --> 00:37:53.000]   Process audio and he says that's a very slow overnight another overnight program much much much faster in a sine mat pro
[00:37:53.800 --> 00:37:58.120]   So one of the things Jason talked a lot about he got a briefing from apple about is the t2 chip
[00:37:58.120 --> 00:38:01.800]   I know you've written about this, uh as well. Yeah, this is
[00:38:01.800 --> 00:38:04.680]   Not affected by meltdown
[00:38:04.680 --> 00:38:12.040]   By the way, yeah simultaneously more and less than we thought it was it's less in the sense that it is not a dual processor architecture
[00:38:12.040 --> 00:38:15.320]   You're not getting an arm chip and you're not running ios
[00:38:15.320 --> 00:38:18.200]   But it's doing some really interesting things
[00:38:18.200 --> 00:38:22.040]   For instance the the memory on this has no controller
[00:38:22.600 --> 00:38:26.040]   It's just bare chips the controllers in the t2 processor
[00:38:26.040 --> 00:38:30.600]   It's subsumed almost all the controllers on the inside that usually ran on the mac
[00:38:30.600 --> 00:38:34.600]   Uh the imaging controller the disk controller the storage controller the memory controlled all of that
[00:38:34.600 --> 00:38:37.320]   Just went right into the t2 chip to make it efficient and secure
[00:38:37.320 --> 00:38:40.760]   I don't have a face id or touch id but
[00:38:40.760 --> 00:38:43.720]   If I had the right kind of camera, I could do face id
[00:38:43.720 --> 00:38:48.440]   And if I had a fingerprint reader, I could do touch id because that's what does it right the t2 is what does it?
[00:38:48.440 --> 00:38:52.360]   So I I believe that you I don't think you could do touch id because as a security enclave
[00:38:52.360 --> 00:38:55.240]   It does not have the neural net work like it's not an a
[00:38:55.240 --> 00:39:00.360]   Okay, I know so it wouldn't do face id but if apple shipped a magic keyboard with touch id
[00:39:00.360 --> 00:39:07.720]   They can put an a 11 in it. Yeah, the the iMac pro got sort of this awkward phase where apple's moving from touch id to face id
[00:39:07.720 --> 00:39:11.640]   And it does I don't think they're gonna maybe they'll make some but I don't know if they're gonna make much more touch id
[00:39:11.640 --> 00:39:15.880]   And they're not ready yet to do face id wide so this sort of shipped in between otherwise
[00:39:16.120 --> 00:39:20.680]   I think if this had shipped a year earlier, it would have come with a magic keyboard with touch id. Yeah, actually i'm kind of
[00:39:20.680 --> 00:39:26.200]   Apple's always good at making sure you buy into the ecosystem the apple watch unlocks it just fine
[00:39:26.200 --> 00:39:29.560]   And that's really all I really need I have touch id on my mac
[00:39:29.560 --> 00:39:32.920]   Pro like I think you do too and I don't even like I before I reach for it it goes
[00:39:32.920 --> 00:39:36.520]   Like I feel a little and the little there is a lot gives you the taptic feedback
[00:39:36.520 --> 00:39:36.920]   Yeah
[00:39:36.920 --> 00:39:42.680]   And in a way I am using face id to unlock the mac because the the watch is unlocked by the phone
[00:39:42.680 --> 00:39:48.200]   Which is unlocked by face id and because the as long as I keep the watch on it now is authenticated
[00:39:48.200 --> 00:39:51.240]   Using face id it authenticates the mac so it all works
[00:39:51.240 --> 00:39:56.920]   As seamlessly as one would ever want it's a nice to trust chain because as long as you opened your phone
[00:39:56.920 --> 00:39:59.960]   The watch trust you as long as the watch is on your wrist and feel your pulse
[00:39:59.960 --> 00:40:04.200]   You know the computer trust the watch and the computer just opens for you
[00:40:04.200 --> 00:40:08.360]   The t2 is also used for the face time camera. So it's a 1080p camera
[00:40:09.160 --> 00:40:16.360]   But it's it it recognizes faces to the degree that it exposes not for the background not for the highlight but for the face
[00:40:16.360 --> 00:40:19.560]   It has the image signal processor from my forget
[00:40:19.560 --> 00:40:22.920]   I think it's the a the an i of the a 10 inside it
[00:40:22.920 --> 00:40:26.040]   So it does everything that you'd expect the image signal processor and an iphone to do
[00:40:26.040 --> 00:40:30.920]   But on a 1080p camera iced that camera on site or sorry facetime camera on your iMac pro
[00:40:30.920 --> 00:40:37.480]   It's really is cool. You get the i've never gotten a better image autofocus auto white balance auto exposure
[00:40:37.640 --> 00:40:41.400]   It knows faces the t2 also controls the fans
[00:40:41.400 --> 00:40:43.320]   and
[00:40:43.320 --> 00:40:49.000]   I tell you even when where i'm taxing this thing 100% as as hard as I can which was with the motion
[00:40:49.000 --> 00:40:50.440]   Project
[00:40:50.440 --> 00:40:53.560]   It gets hot you can feel it, but you never hear the fans is very
[00:40:53.560 --> 00:40:58.200]   It also secures the camera and the microphone so that they can't be sort of hacked the way people worry about face
[00:40:58.200 --> 00:41:01.320]   You know cameras being taken over that's all inside the secure enclave now
[00:41:01.320 --> 00:41:04.280]   And it's sort of hardened against any infiltration into it
[00:41:04.760 --> 00:41:10.680]   It does a very I think a very good job with the microphones as well. It's got how many four mics
[00:41:10.680 --> 00:41:17.000]   Yeah, and it's got those big boomin speakers and this yeah, I haven't heard the speakers. I hooked it up immediately to my
[00:41:17.000 --> 00:41:21.400]   Audio engines, but uh, it sounds good for an iMac like it's not
[00:41:21.400 --> 00:41:25.960]   It's sort of like when the ipad went to ipad pro the iMac went to pro gave it those sort of big booming speakers
[00:41:25.960 --> 00:41:28.920]   You know what I should investigate is what DAC it's using for audio
[00:41:29.720 --> 00:41:37.480]   Because I have external DACs. I have a phiodac. I have some very good external DACs for converting the digital audio to analog for the speakers
[00:41:37.480 --> 00:41:39.960]   But I just plugged my speakers into the headphone jack
[00:41:39.960 --> 00:41:44.040]   Um, I am I'm I would guess apples using a good DAC
[00:41:44.040 --> 00:41:51.880]   I would be shocked if they were their audio team has been really on fire lately because we complained for years that apple the company that invented the ipod
[00:41:51.880 --> 00:41:54.760]   Had crappy speakers on the mac crappy speakers on the iphone
[00:41:54.920 --> 00:41:59.480]   Grabbing speakers and ipad and now the ipad speakers are great the iphone speakers have gotten better and better
[00:41:59.480 --> 00:42:03.080]   And they're even ramping up the mac speakers and i'm glad they're putting that time and attention into it
[00:42:03.080 --> 00:42:05.960]   And the t2 also secures the boot, right?
[00:42:05.960 --> 00:42:07.640]   Yep
[00:42:07.640 --> 00:42:11.640]   So it goes right from the beginning of the boot chain step by step each one secures the other one
[00:42:11.640 --> 00:42:16.840]   So it's sort of like the security chain we just spoke about so from uh, ef efi is it the right way?
[00:42:16.840 --> 00:42:19.160]   Yeah, I think it's called efi. Yeah
[00:42:19.160 --> 00:42:23.080]   Everything from the boot sector all the way up. It just verifies one step after the other on the chain
[00:42:23.480 --> 00:42:28.440]   So if you wanted to install linux or something on it to the metal you'd have to turn this off
[00:42:28.440 --> 00:42:31.560]   But there is a startup security utility that lets you
[00:42:31.560 --> 00:42:39.560]   Control this turn on firmware password protection choose if you want full security no security medium security
[00:42:39.560 --> 00:42:41.880]   disallow booting from external media
[00:42:41.880 --> 00:42:46.120]   So that's nice if you're using an environment with something might come along with a usb drive with
[00:42:46.120 --> 00:42:51.160]   Something bad on it. You can keep it from booting to that all of this is really nice and i and
[00:42:52.520 --> 00:42:56.840]   Jason did confirm what you told me and what we experienced when we turned on the iMac Pro
[00:42:56.840 --> 00:43:01.160]   It starts with file vault enabled because the t2 secures the disk
[00:43:01.160 --> 00:43:06.040]   And then you can add file vault as well so that even if somebody took the whole machine
[00:43:06.040 --> 00:43:08.120]   There's no way they could get into your data
[00:43:08.120 --> 00:43:13.480]   Yeah, it does it all in hardware the t the t2 chip does hardware and krypte krypt live on the data as you're reading and writing it
[00:43:13.480 --> 00:43:15.480]   Which is really cool. It's very
[00:43:15.480 --> 00:43:17.880]   I you know except for the price
[00:43:17.880 --> 00:43:21.560]   It's definitely the computer you want
[00:43:21.960 --> 00:43:28.120]   Um, but I mean there the downside is that they are using expensive like they're using zon w processors and they're using
[00:43:28.120 --> 00:43:30.680]   Ecc ram so they're using expensive
[00:43:30.680 --> 00:43:33.160]   Yeah, yeah
[00:43:33.160 --> 00:43:39.400]   And you probably don't like the whole thing about this is apple plays around at the high end and those technologies filter down
[00:43:39.400 --> 00:43:45.080]   Well, hopefully they filter down to the low end scooter x says that in the teardown the i fix it teardown
[00:43:45.080 --> 00:43:47.080]   Which is definitely worth looking at
[00:43:47.080 --> 00:43:50.520]   They identify the deck as a serous logic
[00:43:51.320 --> 00:43:55.000]   Uh, deck i don't i'm not familiar with dax but any audio
[00:43:55.000 --> 00:44:00.280]   File will be able to tell us if it's good as the cs 42 l83
[00:44:00.280 --> 00:44:02.600]   audio
[00:44:02.600 --> 00:44:05.400]   That's more and more custom silicon in there. Yeah, look at all this stuff
[00:44:05.400 --> 00:44:07.800]   I you know
[00:44:07.800 --> 00:44:11.480]   It's probably mostly psychological, but I have I have definitely bonded
[00:44:11.480 --> 00:44:16.280]   With the slate gray i'm heck pro when you spend $8,000
[00:44:16.280 --> 00:44:19.480]   Yes, certain incentive to like it
[00:44:20.040 --> 00:44:22.040]   You bought its love, um
[00:44:22.040 --> 00:44:25.320]   Don't let it into your head leo. That's what it wants
[00:44:25.320 --> 00:44:28.680]   Leo i'm space gray
[00:44:28.680 --> 00:44:32.680]   Here's some interesting uh news some exciting news apple, uh is
[00:44:32.680 --> 00:44:36.520]   adding features to serie as they get ready for
[00:44:36.520 --> 00:44:44.200]   the release of the home pod. This is the standalone speaker that was delayed. It was supposed to come out the end of the last year
[00:44:44.200 --> 00:44:48.920]   uh according to apple on track for an early 2018 release
[00:44:49.640 --> 00:44:54.600]   But the new version of beta version of iOS 11 to 5 sports
[00:44:54.600 --> 00:44:58.280]   A new feature in serie. Hey serie. Give me the news
[00:44:58.280 --> 00:45:02.840]   Will pop up one of us select few podcasts
[00:45:02.840 --> 00:45:09.160]   You can switch between fox news npr and cnn. I guess you get to choose it. It's kind of like the flash
[00:45:09.160 --> 00:45:12.360]   briefing on amazon's echo devices
[00:45:12.360 --> 00:45:15.720]   So that's you know, I expect to see more
[00:45:16.600 --> 00:45:19.960]   Uh features, uh if it's going to compete with amazon echo
[00:45:19.960 --> 00:45:26.840]   Um, the default is a daily news recap by the washing and post but you can choose others
[00:45:26.840 --> 00:45:28.840]   I wish you could choose more than just those four
[00:45:28.840 --> 00:45:33.480]   I'm surprised at new york times uh daily briefing on there. I love the daily. That's
[00:45:33.480 --> 00:45:38.840]   Love that that's uh, that's really that's I would even have say that's kind of an important
[00:45:38.840 --> 00:45:41.240]   Uh, newscast now to uh these days
[00:45:41.240 --> 00:45:43.640]   Yeah, listen, but yeah, they don't
[00:45:43.640 --> 00:45:46.920]   If they if they don't really let you have your everyone everyone has
[00:45:46.920 --> 00:45:49.960]   If this is going to be what you get you news from in the morning
[00:45:49.960 --> 00:45:53.400]   Then they got to make sure that they support pretty much everything
[00:45:53.400 --> 00:45:55.800]   if
[00:45:55.800 --> 00:45:59.880]   Maybe not to full bore loony, but just one full
[00:45:59.880 --> 00:46:02.680]   I want my alan's dammit
[00:46:02.680 --> 00:46:03.880]   Uh, they does
[00:46:03.880 --> 00:46:05.320]   I'm looking at the
[00:46:05.320 --> 00:46:09.000]   Images from nine to five mac and I notice on the right under settings
[00:46:09.240 --> 00:46:14.360]   It looks like you could switch on the daily as one of their choices as well as tech memes top news
[00:46:14.360 --> 00:46:16.520]   so, uh
[00:46:16.520 --> 00:46:18.840]   It looks like you can add more which is nice
