
[00:00:00.000 --> 00:00:03.340]   [music playing]
[00:14:58.520 --> 00:14:59.320]   They just go ahead and--
[00:14:59.320 --> 00:15:00.660]   I mean, they licensed Google Maps.
[00:15:00.660 --> 00:15:02.860]   Why didn't they just go ahead and license the turn-by-turn?
[00:15:02.860 --> 00:15:03.760]   That's what I wanted to say.
[00:15:03.760 --> 00:15:04.660]   Well, I'll be honest with you.
[00:15:04.660 --> 00:15:05.560]   I don't think that-- I think that actually this
[00:15:05.560 --> 00:15:07.660]   is a feature not a bug, because one of the problems--
[00:15:07.660 --> 00:15:08.460]   I mean, one of the--
[00:15:08.460 --> 00:15:11.900]   I recommended an application a couple of shows
[00:15:11.900 --> 00:15:14.400]   ago, or maybe last show, of--
[00:15:14.400 --> 00:15:16.000]   I think there's a huge advantage to having the maps
[00:15:16.000 --> 00:15:18.040]   on the iPhone, because you get into situations
[00:15:18.040 --> 00:15:20.840]   when you're driving, where you don't know--
[00:15:20.940 --> 00:15:23.700]   the phone knows where you are, but it doesn't know where that is,
[00:15:23.700 --> 00:15:25.440]   because it can't connect to the internet.
[00:15:25.440 --> 00:15:30.440]   And so the G-Map, which is the one that I have on my phone,
[00:15:30.440 --> 00:15:33.880]   is-- I put a gigabyte or half a gigabyte or whatever
[00:15:33.880 --> 00:15:36.980]   of maps, or 750 megs of maps onto my iPhone.
[00:15:36.980 --> 00:15:38.920]   And I'm happy with giving it that data.
[00:15:38.920 --> 00:15:40.120]   And that's about what it would be.
[00:15:40.120 --> 00:15:41.420]   It'd be about a gigabyte of your iPhone,
[00:15:41.420 --> 00:15:44.620]   and you have the whole US, or all of Europe,
[00:15:44.620 --> 00:15:46.560]   or whatever, on your iPhone.
[00:15:46.560 --> 00:15:49.760]   The performance is much, much higher.
[00:15:49.860 --> 00:15:52.360]   There's no that waiting for the 3G lawyers to work
[00:15:52.360 --> 00:15:53.360]   when you're not online.
[00:15:53.360 --> 00:15:55.500]   So the thing is that the Google Maps will work.
[00:15:55.500 --> 00:15:56.960]   It's just that it's slow.
[00:15:56.960 --> 00:15:58.360]   When you're not online, it won't.
[00:15:58.360 --> 00:15:59.560]   Yeah, well, with 3G.
[00:15:59.560 --> 00:16:00.360]   I mean, it'll download.
[00:16:00.360 --> 00:16:02.360]   Well, I meant not online, not online.
[00:16:02.360 --> 00:16:03.200]   Oh, right, right, right.
[00:16:03.200 --> 00:16:04.600]   Well, Google Apps won't work when you're not online,
[00:16:04.600 --> 00:16:07.100]   but it also-- even when you are online,
[00:16:07.100 --> 00:16:09.240]   it's slow and inclusion.
[00:16:09.240 --> 00:16:13.540]   When you're actually on a trip, it's not a great solution.
[00:16:13.540 --> 00:16:18.580]   So by having the maps built in, I think that's going to be awesome.
[00:16:18.680 --> 00:16:20.340]   OK, everybody hold for just a moment.
[00:16:20.340 --> 00:16:22.480]   Welcome, Kiki Sand for Dr. Kiki.
[00:16:22.480 --> 00:16:23.540]   Nice to have you here.
[00:16:23.540 --> 00:16:27.680]   Now we have you on Mike so we can hear your dulcet tones.
[00:16:27.680 --> 00:16:28.980]   Oh, but I have to press report.
[00:16:28.980 --> 00:16:30.380]   [LAUGHTER]
[00:16:30.380 --> 00:16:30.980]   Grew up.
[00:16:30.980 --> 00:16:32.180]   Hello, Dr. Kiki.
[00:16:32.180 --> 00:16:33.180]   Hello.
[00:16:33.180 --> 00:16:34.680]   Hey, Mr. Leo.
[00:16:34.680 --> 00:16:36.180]   Hey.
[00:16:36.180 --> 00:16:39.720]   So we're talking about all the new features in the iPhone.
[00:16:39.720 --> 00:16:41.580]   We're going to get to more of those in just a second.
[00:16:41.580 --> 00:16:43.660]   We're also going to--
[00:16:43.660 --> 00:16:44.760]   There is other Mac news.
[00:16:44.760 --> 00:16:46.580]   We'll talk a little bit about some of the other Mac news.
[00:16:46.580 --> 00:16:47.180]   It's out there.
[00:16:47.180 --> 00:16:48.580]   It's quite a bit, but first I want to mention
[00:16:48.580 --> 00:16:51.680]   the folks that go to MeetAng.
[00:16:51.680 --> 00:16:53.280]   Go to meeting the folks from Citrix
[00:16:53.280 --> 00:16:56.780]   do this great software that is now Mac compatible.
[00:16:56.780 --> 00:16:58.280]   Actually, it was always been Mac compatible.
[00:16:58.280 --> 00:17:00.980]   It's now-- you can start a meeting on the Mac.
[00:17:00.980 --> 00:17:02.680]   You used to be able to join a meeting on a Mac,
[00:17:02.680 --> 00:17:04.680]   but now you can start a meeting on a Mac,
[00:17:04.680 --> 00:17:07.380]   which makes it even more wonderful.
[00:17:07.380 --> 00:17:09.380]   Go to meeting is that software you probably
[00:17:09.380 --> 00:17:13.380]   seen now where you don't have to go in person to meet with somebody.
[00:17:13.380 --> 00:17:16.680]   You can be on a conference call and say, "Hey, look, let me show you the PowerPoint
[00:17:16.780 --> 00:17:18.580]   of the slides or the drawings or--"
[00:17:18.580 --> 00:17:20.680]   I'm sorry, the keynote.
[00:17:20.680 --> 00:17:22.480]   Did I say PowerPoint?
[00:17:22.480 --> 00:17:23.380]   Yes, you did.
[00:17:23.380 --> 00:17:25.280]   Yes, shocking, shocking.
[00:17:25.280 --> 00:17:27.980]   And they just go to go to meeting.com.
[00:17:27.980 --> 00:17:30.680]   They enter in the meeting ID and boom, they're seeing your computer.
[00:17:30.680 --> 00:17:33.580]   They see your desktop, Mac or Windows.
[00:17:33.580 --> 00:17:34.980]   And they can be using Mac or Windows.
[00:17:34.980 --> 00:17:38.580]   In fact, this is one way that a Mac person could use Windows software
[00:17:38.580 --> 00:17:42.680]   and vice versa because you can give them control of your computer as well.
[00:17:42.680 --> 00:17:45.680]   For sales presentations, for product demos, for training, for collaboration,
[00:17:45.780 --> 00:17:46.880]   it's easy to set up.
[00:17:46.880 --> 00:17:48.480]   You don't need the IT department.
[00:17:48.480 --> 00:17:50.080]   It's just a couple of clicks of the mouse.
[00:17:50.080 --> 00:17:52.180]   In fact, you could do it for free now for the next 30 days.
[00:17:52.180 --> 00:17:55.080]   Go to go to meeting.com/macbreak.
[00:17:55.080 --> 00:17:57.680]   Go to meeting.com/macbreak.
[00:17:57.680 --> 00:18:00.280]   Try it free for 30 days.
[00:18:00.280 --> 00:18:02.680]   And I think you'll see why this is so cool.
[00:18:02.680 --> 00:18:08.180]   And then when you sign up, the good news, one low flat monthly right
[00:18:08.180 --> 00:18:09.780]   for as many meetings as you want, as long as you want.
[00:18:09.780 --> 00:18:12.480]   If you've tried the other guys, give it up.
[00:18:12.580 --> 00:18:14.480]   This is so much easier.
[00:18:14.480 --> 00:18:17.180]   Go to meeting.com/macbreak.
[00:18:17.180 --> 00:18:22.480]   We thank them so much from Citrix for their support of Macbreak Weekly.
[00:18:22.480 --> 00:18:25.980]   So one of the things they did, which was kind of interesting,
[00:18:25.980 --> 00:18:30.080]   is they've got push notification working.
[00:18:30.080 --> 00:18:30.680]   Or did they?
[00:18:30.680 --> 00:18:37.580]   Is this-- now, we have push for Yahoo mail right now and voicemail.
[00:18:37.580 --> 00:18:41.080]   Is this push for more than just those two applications?
[00:18:41.180 --> 00:18:42.680]   Is that the idea, Andy?
[00:18:42.680 --> 00:18:45.680]   The idea is that the architecture that they promised last year
[00:18:45.680 --> 00:18:47.080]   is now actually going to happen.
[00:18:47.080 --> 00:18:47.780]   Yeah, that's right.
[00:18:47.780 --> 00:18:49.580]   They did an answer this last year.
[00:18:49.580 --> 00:18:52.480]   Again, one of those things where-- remember that thing that we told you
[00:18:52.480 --> 00:18:53.080]   it was happening?
[00:18:53.080 --> 00:18:53.980]   That didn't happen?
[00:18:53.980 --> 00:18:54.680]   Well, it's happening.
[00:18:54.680 --> 00:18:55.680]   It's happening.
[00:18:55.680 --> 00:19:00.280]   And they also provided with virtual charts and graphs explaining why they weren't--
[00:19:00.280 --> 00:19:04.980]   it's more or less their apology for not doing background applications.
[00:19:04.980 --> 00:19:07.780]   They claimed that they did a couple of sample apps
[00:19:07.780 --> 00:19:09.780]   that would use background processes.
[00:19:09.880 --> 00:19:11.580]   Like a background chat app.
[00:19:11.580 --> 00:19:14.580]   And they were shock dismayed and disappointed and depressed
[00:19:14.580 --> 00:19:17.280]   by the hit that the battery took by virtue of the fact
[00:19:17.280 --> 00:19:21.080]   that if this application is remaining active and still pulling CPU cycles
[00:19:21.080 --> 00:19:23.680]   when the phone is just in your pocket doing nothing,
[00:19:23.680 --> 00:19:29.380]   they were saying things like cut the standby-- cut the live time by about 80%
[00:19:29.380 --> 00:19:34.280]   were asked running an iChat sort of application via push,
[00:19:34.280 --> 00:19:36.480]   cut that down to maybe 10 or 15%.
[00:19:36.480 --> 00:19:37.480]   But it never worked.
[00:19:37.480 --> 00:19:39.080]   And now it will work.
[00:19:39.180 --> 00:19:40.180]   Now it will work.
[00:19:40.180 --> 00:19:45.580]   The explanation that they had given was that they weren't prepared
[00:19:45.580 --> 00:19:48.480]   for how quickly the app store would explode.
[00:19:48.480 --> 00:19:52.180]   And for the variety of applications that was going to be demanded by a push service.
[00:19:52.180 --> 00:19:56.380]   So they basically figured if we're not able to really support the load
[00:19:56.380 --> 00:19:59.080]   of all these apps calling on push services,
[00:19:59.080 --> 00:20:01.380]   then we should actually just pull the plug on that until we--
[00:20:01.380 --> 00:20:02.680]   we-- be focused on that.
[00:20:02.680 --> 00:20:03.980]   OK.
[00:20:03.980 --> 00:20:07.680]   That must be frustrating to people who created apps with push services.
[00:20:07.780 --> 00:20:10.180]   And now they're first off the door.
[00:20:10.180 --> 00:20:14.680]   And the other thing is it's really disappointing that it didn't come sooner
[00:20:14.680 --> 00:20:19.180]   because that was to me one of the things that really was cool about that announcement
[00:20:19.180 --> 00:20:20.780]   is the ability to extend that.
[00:20:20.780 --> 00:20:24.180]   But now that you have this announcement which says we can use Bluetooth
[00:20:24.180 --> 00:20:26.780]   to communicate with external devices and you've got push,
[00:20:26.780 --> 00:20:30.280]   now we might actually see the realization of some of these apps
[00:20:30.280 --> 00:20:35.280]   that I think could make the iPhone a real tool for even the enterprise.
[00:20:35.380 --> 00:20:42.280]   And it's interesting to note that they use push as you guys already said
[00:20:42.280 --> 00:20:44.580]   to make up for the fact they don't do background apps.
[00:20:44.580 --> 00:20:48.280]   So they use the example of a chat program where when you go to the home screen
[00:20:48.280 --> 00:20:50.280]   you're essentially closing out of the chat program,
[00:20:50.280 --> 00:20:54.280]   somehow the application still stays connected with the Apple Push service.
[00:20:54.280 --> 00:20:57.280]   And so when you get a new instant message then apparently,
[00:20:57.280 --> 00:21:01.280]   it lets the Apple Push service know that then sends a message to your iPhone.
[00:21:01.280 --> 00:21:04.480]   So that's actually different than what they had announced because last time
[00:21:04.580 --> 00:21:08.480]   you'd be disconnected but the server on the Apple side would kind of keep track
[00:21:08.480 --> 00:21:11.480]   of things then when you reconnect it it would dump all that into you.
[00:21:11.480 --> 00:21:15.480]   So you're saying it's going to continue to push even while you're not running.
[00:21:15.480 --> 00:21:17.480]   The demo application, go ahead.
[00:21:17.480 --> 00:21:23.480]   No, the demo application they showed was where it was rebadging a application
[00:21:23.480 --> 00:21:25.480]   in the springboard app.
[00:21:25.480 --> 00:21:27.480]   Basically, the Lertrude that hey there are things going on.
[00:21:27.480 --> 00:21:31.480]   I think they showed an ESPN sports application that showed you that oh,
[00:21:31.480 --> 00:21:34.480]   by the way that game that you were interested in has now gotten to over it.
[00:21:34.480 --> 00:21:36.580]   So maybe you want to tap this and start watching TV.
[00:21:36.580 --> 00:21:41.380]   So finally they can get the actual temperature and the weather icon for instance.
[00:21:41.380 --> 00:21:42.380]   Or something like that.
[00:21:42.380 --> 00:21:45.380]   Once again, the $300 solution to avoid looking up the window.
[00:21:45.380 --> 00:21:46.380]   [laughter]
[00:21:46.380 --> 00:21:48.380]   How would it be your best?
[00:21:48.380 --> 00:21:50.380]   Who needs to look at the window?
[00:21:50.380 --> 00:21:54.380]   Not just $300 but also millions of dollars in infrastructure.
[00:21:54.380 --> 00:22:00.380]   So one of the things I think that I know as someone who is seriously getting
[00:22:00.380 --> 00:22:02.380]   into iPhone development right now,
[00:22:02.480 --> 00:22:04.980]   are you hiring developers to do this?
[00:22:04.980 --> 00:22:08.380]   Some of the guys that already developed some of our software is working on a bunch of stuff
[00:22:08.380 --> 00:22:10.380]   that we're hoping to be able to show off in April or May.
[00:22:10.380 --> 00:22:11.380]   Cool.
[00:22:11.380 --> 00:22:15.380]   And it's mostly stuff for the video industry but I'm looking at all kinds of things
[00:22:15.380 --> 00:22:17.380]   because I use my iPhone for lots of different things.
[00:22:17.380 --> 00:22:23.380]   But one of the things that I think is pretty exciting also is this idea of developers being able to
[00:22:23.380 --> 00:22:27.380]   charge for things on going from within the application.
[00:22:27.480 --> 00:22:32.980]   So this is not for free application so you can't get a demo and then have to pay to go up.
[00:22:32.980 --> 00:22:34.980]   It can't be kind of a bait and switch.
[00:22:34.980 --> 00:22:38.380]   But if you pay for something you could buy levels one through ten.
[00:22:38.380 --> 00:22:45.380]   This is what they showed on this is if you want to buy levels 11 through 20 you could pay another
[00:22:45.380 --> 00:22:47.380]   hundred or the hundred ninety one ninety nine.
[00:22:47.380 --> 00:22:49.380]   [laughter]
[00:22:49.380 --> 00:22:51.380]   But this would allow for subscriptions.
[00:22:51.380 --> 00:22:54.380]   New content, additional levels.
[00:22:54.480 --> 00:22:59.980]   If you want to, for instance, have an ongoing training program like I might,
[00:22:59.980 --> 00:23:05.980]   you would be able to have people pay on going for that item.
[00:23:05.980 --> 00:23:09.480]   I think it's a pretty cool, I think it's going to open up a lot of opportunities.
[00:23:09.480 --> 00:23:13.980]   It's a very, very big deal because this is the first time Apple has explicitly said,
[00:23:13.980 --> 00:23:17.980]   "Everybody, publishers, please turn our iPhone into a book reading device."
[00:23:17.980 --> 00:23:23.980]   Because you know that as newspapers and magazines are increasingly agitated to find new revenue streams,
[00:23:24.080 --> 00:23:26.580]   we're going to see a new version of the New York Times application.
[00:23:26.580 --> 00:23:31.380]   We're also going to see an Atlantic monthly application where you, Wall Street Journal,
[00:23:31.380 --> 00:23:35.080]   all these things that are already subscription based, things that are already on the Kindle store
[00:23:35.080 --> 00:23:40.080]   publications that you have to pay for where you can pay, let's call it a nominal ninety nine cents
[00:23:40.080 --> 00:23:43.980]   to get today's copy of the Wall Street Journal on your iPhone.
[00:23:43.980 --> 00:23:48.980]   And every additional copy you can either pay as you go for ninety nine cents just by tapping a button right on your iPhone
[00:23:48.980 --> 00:23:51.780]   or you could sign up for, "Well, you know what? I've liked it for the past three days.
[00:23:51.880 --> 00:23:55.580]   Give me a whole week or no. The week's gone great. Give me another month. No, give me another year."
[00:23:55.580 --> 00:23:59.380]   And I think that one of the things that's important here is that now while some people will say that this is,
[00:23:59.380 --> 00:24:03.280]   it's a great business for Apple too. All of the e-commerce goes, still goes through Apple.
[00:24:03.280 --> 00:24:05.580]   So Apple's still pulling 30% of every sale.
[00:24:05.580 --> 00:24:11.980]   What makes that great though for some developers that are getting started is they don't have the e-commerce capabilities.
[00:24:11.980 --> 00:24:16.280]   They don't have the stuff. They don't want to set that stuff up by simply being accepted into the Apple store,
[00:24:16.280 --> 00:24:21.380]   having that stuff working. And one thing Apple said is ninety six percent of every application is approved,
[00:24:21.480 --> 00:24:25.880]   you know, going into the Apple store. But by getting your applications into the Apple store,
[00:24:25.880 --> 00:24:30.980]   you no longer have to think about it. You get a monthly check based on what you put in.
[00:24:30.980 --> 00:24:35.780]   Now, I imagine some of the larger companies like the New York Times or whatever may negotiate a different percentage.
[00:24:35.780 --> 00:24:37.880]   But I think for an average person... You can count on it.
[00:24:37.880 --> 00:24:39.380]   Yeah, I mean, you can count.
[00:24:39.380 --> 00:24:41.380]   They'll go, "We want to give you five or ten percent."
[00:24:41.380 --> 00:24:48.880]   And I think as a starting developer, being able to not have to think about any of that and have a platform that you can develop to
[00:24:48.980 --> 00:24:51.580]   and then just get a check is a pretty great thing.
[00:24:51.580 --> 00:24:55.480]   I know when we were getting started, that would have been huge.
[00:24:55.480 --> 00:25:03.780]   Yeah. I mean, I'm running a column right now that basically says that if newspapers and magazines want to survive on the web,
[00:25:03.780 --> 00:25:06.280]   they need to abandon the web because the web has to be free.
[00:25:06.280 --> 00:25:08.880]   There's no way you can really charge for content to make that work.
[00:25:08.880 --> 00:25:16.880]   But a system like this where another company is handling the DRM for you and also taking a lot of the heat for DRM and taking that off your hands.
[00:25:16.980 --> 00:25:19.880]   This is really where all these publications, I think, are going to move.
[00:25:19.880 --> 00:25:22.880]   Whether it's Kindle DRM, whether it's iPhone DRM or both.
[00:25:22.880 --> 00:25:24.880]   I think this is really where things are headed.
[00:25:24.880 --> 00:25:26.480]   This is a really big jump forward.
[00:25:26.480 --> 00:25:32.280]   Yeah. And being able to stream video, which is something else that they showed, I mean, this opens up huge opportunities for,
[00:25:32.280 --> 00:25:34.480]   and I think they had ESPN showing some of the stuff here.
[00:25:34.480 --> 00:25:42.480]   But imagine being able to subscribe to some basketball game or something or pay a pay-per-view or whatever going through your iPhone.
[00:25:42.480 --> 00:25:45.080]   It is... It's huge.
[00:25:45.180 --> 00:25:47.180]   The mix is in our chatroom.
[00:25:47.180 --> 00:25:50.280]   Hey, I like these guys. I like this show, but this just sounds like an Apple apology.
[00:25:50.280 --> 00:25:52.680]   Why didn't Apple do this long ago?
[00:25:52.680 --> 00:25:54.680]   Well, they didn't go.
[00:25:54.680 --> 00:25:56.280]   Well, you know, they didn't have to.
[00:25:56.280 --> 00:25:59.080]   And secondly, because there's other things for people to complain about.
[00:25:59.080 --> 00:26:03.680]   I received 200 tweets saying still doesn't have voice dialing, still doesn't give you a massage,
[00:26:03.680 --> 00:26:06.180]   still doesn't do any quantitative algebra.
[00:26:06.180 --> 00:26:07.080]   Where's my pony?
[00:26:07.080 --> 00:26:08.180]   Yeah.
[00:26:08.180 --> 00:26:09.180]   There are like...
[00:26:09.180 --> 00:26:09.680]   Doesn't matter.
[00:26:09.680 --> 00:26:13.180]   Listen, it just absolutely didn't matter what Apple said.
[00:26:13.280 --> 00:26:17.180]   There's going to be a certain segment that we're going to come out and speak plenty against it.
[00:26:17.180 --> 00:26:19.980]   But we all know there's no perfect phone, period.
[00:26:19.980 --> 00:26:21.680]   Nobody will ever make one.
[00:26:21.680 --> 00:26:23.180]   There's a perfect phone for you.
[00:26:23.180 --> 00:26:24.580]   There's a perfect phone for Andy.
[00:26:24.580 --> 00:26:25.980]   There's a perfect phone for me.
[00:26:25.980 --> 00:26:27.680]   But there's not a perfect phone.
[00:26:27.680 --> 00:26:31.080]   I frankly couldn't care less about half of this stuff.
[00:26:31.080 --> 00:26:36.680]   What I do wish they would have done was voice dialing because I primarily use the iPhone.
[00:26:36.680 --> 00:26:37.580]   Wait for it.
[00:26:37.580 --> 00:26:38.580]   As a telephone.
[00:26:38.580 --> 00:26:39.580]   Yeah.
[00:26:39.580 --> 00:26:40.880]   You know, you're...
[00:26:40.880 --> 00:26:41.480]   Well, you're...
[00:26:41.480 --> 00:26:42.080]   I mean, you're just...
[00:26:42.180 --> 00:26:43.180]   I know.
[00:26:43.180 --> 00:26:43.880]   I know.
[00:26:43.880 --> 00:26:45.580]   I mean, I took the phone and...
[00:26:45.580 --> 00:26:48.580]   The iPhone, most of the word is phone.
[00:26:48.580 --> 00:26:50.980]   And, you know, I would love to have voice dialing.
[00:26:50.980 --> 00:26:54.080]   I had that on my absolute piece-o-crap.
[00:26:54.080 --> 00:26:54.780]   Yeah.
[00:26:54.780 --> 00:26:57.080]   Trio that I threw into San Francisco Bay.
[00:26:57.080 --> 00:26:58.080]   Yeah.
[00:26:58.080 --> 00:26:59.380]   What the...
[00:26:59.380 --> 00:26:59.980]   I think...
[00:26:59.980 --> 00:27:00.580]   Say something.
[00:27:00.580 --> 00:27:01.380]   Say something, Kiki.
[00:27:01.380 --> 00:27:02.680]   I heard you take a breath.
[00:27:02.680 --> 00:27:03.580]   I know, I'm like...
[00:27:03.580 --> 00:27:06.880]   You just jump in with these guys and just a bunch of loud mouths.
[00:27:06.880 --> 00:27:10.480]   Well, I mean, the way I see it is that the iPhone and any other phone,
[00:27:10.580 --> 00:27:14.380]   if you're not going to come out with the ultimate end-all be-all product
[00:27:14.380 --> 00:27:17.980]   as your first release, even if you know exactly what your...
[00:27:17.980 --> 00:27:21.680]   what your target audience or your target market wants,
[00:27:21.680 --> 00:27:25.180]   you're still going to give them a little less because the next version,
[00:27:25.180 --> 00:27:26.980]   then you have something to build up to.
[00:27:26.980 --> 00:27:33.180]   And then as the technology grows, you're ahead of the game in terms of getting something out to the public.
[00:27:33.180 --> 00:27:34.680]   And the public is always looking for...
[00:27:34.680 --> 00:27:36.980]   I mean, the tech...
[00:27:36.980 --> 00:27:38.980]   The tech mind, you know, the guy...
[00:27:39.080 --> 00:27:43.680]   It's the guy who wants the best new technology on the market.
[00:27:43.680 --> 00:27:44.980]   And there always go...
[00:27:44.980 --> 00:27:48.580]   There's always money to be thrown down on a new phone.
[00:27:48.580 --> 00:27:52.280]   I think that one of the things that is going on here is that...
[00:27:52.280 --> 00:27:54.880]   As someone who develops software,
[00:27:54.880 --> 00:27:58.280]   you also just don't know what people are going to want until you put it out there and then you go,
[00:27:58.280 --> 00:28:02.280]   "Oh, and then immediately you know, "Oh, this didn't work, and we should have done this, and we should have done that."
[00:28:02.280 --> 00:28:04.480]   And the thing is, is you don't want to make all those assumptions.
[00:28:04.480 --> 00:28:07.980]   We've made assumptions in some of our applications based on how we use it.
[00:28:08.080 --> 00:28:12.680]   Internally, and then people don't understand how to use it because we were in our own little world for too long.
[00:28:12.680 --> 00:28:16.880]   And so by having people react to it and look at it, it has been a few years.
[00:28:16.880 --> 00:28:18.980]   It's been a long time.
[00:28:18.980 --> 00:28:26.580]   And also, I mean, there are other places in the world where telephones, where mobile devices are more advanced than they are here.
[00:28:26.580 --> 00:28:29.580]   And that's basically like everywhere.
[00:28:29.580 --> 00:28:30.780]   So why...
[00:28:30.780 --> 00:28:37.980]   I mean, I would be shocked to hear that Apple has not been paying attention to what other markets are really going for.
[00:28:37.980 --> 00:28:42.580]   And that they don't already know what the youth or the business community wants.
[00:28:42.580 --> 00:28:43.380]   I would be shocked.
[00:28:43.380 --> 00:28:49.480]   But I think that also, I think Facebook is a good example of a company that when you get a lot of people going in some certain direction
[00:28:49.480 --> 00:28:54.180]   and you put a lot of stuff out there and then you try to change it, like they're changing some of the interface stuff now.
[00:28:54.180 --> 00:28:54.780]   And people are...
[00:28:54.780 --> 00:28:55.480]   Lots and they...
[00:28:55.480 --> 00:28:59.480]   So the thing is, there is an advantage to moving slow and laboriously.
[00:28:59.480 --> 00:29:03.380]   You know, towards, you know, thinking of really thinking it all out and then adding a couple more pieces
[00:29:03.380 --> 00:29:05.480]   and then really thinking it out and adding a couple more pieces
[00:29:05.580 --> 00:29:08.280]   and not allowing people to get used to something that you don't want...
[00:29:08.280 --> 00:29:10.780]   that isn't necessarily good for you later.
[00:29:10.780 --> 00:29:14.480]   And you have to kind of think those processes out and I think that that was part of the thinking here.
[00:29:14.480 --> 00:29:17.080]   Do you think Cut and Paste was really that hard to do and that's why they didn't do it?
[00:29:17.080 --> 00:29:19.580]   It sounds like it was a security issue. I think that it should have been done.
[00:29:19.580 --> 00:29:21.380]   I think it should have come out...
[00:29:21.380 --> 00:29:22.080]   Number...
[00:29:22.080 --> 00:29:23.880]   I mean, it should have come out in version 1.0.
[00:29:23.880 --> 00:29:27.880]   I mean, that's the only thing for me that was just this glaring "Can't Believe".
[00:29:27.880 --> 00:29:30.980]   I mean, every time I didn't... I couldn't cut and paste, which was like a day or...
[00:29:30.980 --> 00:29:34.180]   once or twice a day, I'd be like, "I cannot believe this isn't here."
[00:29:35.180 --> 00:29:36.780]   Well, I don't know.
[00:29:36.780 --> 00:29:39.380]   Maybe because stuff on the clipboard, then I don't know.
[00:29:39.380 --> 00:29:42.580]   Like if you're trying to cut and paste JavaScript into some places, it shouldn't go.
[00:29:42.580 --> 00:29:43.880]   Yeah, it doesn't seem like a security issue.
[00:29:43.880 --> 00:29:47.180]   Yeah, I'm guessing it's an inter-application security issue.
[00:29:47.180 --> 00:29:49.580]   But if you're not running background apps, I really don't see.
[00:29:49.580 --> 00:29:50.180]   Yeah.
[00:29:50.180 --> 00:29:56.680]   Oh, like maybe if you email yourself a piece of malware that's JavaScript and then paste it into...
[00:29:56.680 --> 00:29:57.780]   (laughter)
[00:29:57.780 --> 00:29:58.880]   I'd be quite serious.
[00:29:58.880 --> 00:30:02.780]   Then paste it into the address bar of Safari, it could execute something, I'm guessing.
[00:30:03.380 --> 00:30:05.580]   I can't believe that that's what they worried about.
[00:30:05.580 --> 00:30:07.280]   I don't know, I'm trying to figure that out.
[00:30:07.280 --> 00:30:07.980]   I'm going to make it...
[00:30:07.980 --> 00:30:08.780]   I'm going to hazard a guess.
[00:30:08.780 --> 00:30:09.580]   They're saying it's security.
[00:30:09.580 --> 00:30:13.180]   I'm going to hazard a guess that it's actually ugly.
[00:30:13.180 --> 00:30:15.180]   And they couldn't take any way to do it.
[00:30:15.180 --> 00:30:16.380]   That wasn't ugly.
[00:30:16.380 --> 00:30:21.180]   I think that's more correct because there's way too many button pushes or screen touches involved in it.
[00:30:21.180 --> 00:30:22.980]   And they just didn't want to do it.
[00:30:22.980 --> 00:30:25.180]   Steve didn't want to do it because it was ugly.
[00:30:25.180 --> 00:30:29.380]   Well, it's also possible that... I mean, touching on something that Kiki said earlier,
[00:30:29.480 --> 00:30:34.680]   but Apple is really, really smart and saying we're not going to put out everything with version 1.0
[00:30:34.680 --> 00:30:39.180]   and give everyone all these little itsy bitsy reasons not to like our iPhone
[00:30:39.180 --> 00:30:43.980]   or one little bug that gives everybody the Newton message pad effect of,
[00:30:43.980 --> 00:30:47.280]   well, the handwriting doesn't work well, so we're going to trash the whole thing.
[00:30:47.280 --> 00:30:51.680]   I think they're smart enough to say, "Let's swing for the fences with 1.0.
[00:30:51.680 --> 00:30:54.280]   Let's make sure we can really, really hit that target.
[00:30:54.280 --> 00:30:57.280]   If it means deleting some features that seem obvious with 1.0
[00:30:57.380 --> 00:30:59.780]   saving it for next year, then that's what we ought to do."
[00:30:59.780 --> 00:31:05.780]   Could be that they just knew what appeared to be and what turned out to be true.
[00:31:05.780 --> 00:31:08.180]   They just knew they could sell a boatload of them with that.
[00:31:08.180 --> 00:31:11.180]   Sell it as a $10 rep.
[00:31:11.180 --> 00:31:17.480]   I'm still waiting for the phone to be able to do be my mobile journalism device.
[00:31:17.480 --> 00:31:23.180]   As soon as I can shoot high quality video, instead of having to have a flip and an iPhone,
[00:31:23.280 --> 00:31:30.380]   I want one phone that is easy to type on so that I can enter any kind of blog or chat
[00:31:30.380 --> 00:31:34.780]   or article that I might be writing plus video plus photos.
[00:31:34.780 --> 00:31:37.580]   I want my mobile journalism device.
[00:31:37.580 --> 00:31:38.280]   That's what I want.
[00:31:38.280 --> 00:31:39.680]   And then I will invest in it.
[00:31:39.680 --> 00:31:44.080]   Until it happens, the iPhone is still subpar in my mind.
[00:31:44.080 --> 00:31:45.580]   You don't use an iPhone?
[00:31:45.580 --> 00:31:46.480]   I refuse.
[00:31:46.480 --> 00:31:47.780]   She's holding up.
[00:31:47.780 --> 00:31:50.480]   My wife is clinging to her razor.
[00:31:50.880 --> 00:31:53.380]   She's got this Motorola razor that she will not give up.
[00:31:53.380 --> 00:31:57.380]   And when I watch Malachi, my son walk around and pound things with it, I don't stop him.
[00:31:57.380 --> 00:31:59.980]   I just, I just figure, you know, I just watch it.
[00:31:59.980 --> 00:32:00.780]   Break it, boy.
[00:32:00.780 --> 00:32:01.980]   I just like, good boy.
[00:32:01.980 --> 00:32:06.080]   He uses it as a drumstick and I'm just like, I'm just like, eventually it'll die.
[00:32:06.080 --> 00:32:08.080]   She's like, you know, my icons don't pop up right correctly.
