
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[00:30:10.320 --> 00:30:13.600]   But then it's like before we had amazon prime video on the apple tv
[00:30:13.600 --> 00:30:15.680]   It's like you just don't feel like you're a first-class citizen
[00:30:16.240 --> 00:30:18.240]   Well, I
[00:30:18.240 --> 00:30:24.960]   Having purchased the expensive sonos one and finding out that it doesn't do the full amazon echo
[00:30:24.960 --> 00:30:27.520]   That it won't for instance read audiobooks
[00:30:27.520 --> 00:30:32.960]   Really is a bad experience for end users. That is very frustrating
[00:30:32.960 --> 00:30:37.280]   I suspect some people will have the same kind of frustration if it can't do everything syri can do on your phone
[00:30:37.280 --> 00:30:39.600]   It's not a full syri experience
[00:30:39.600 --> 00:30:43.120]   Did they say the Mac like the Mac won't do a home kit like why don't the Mac do home?
[00:30:43.840 --> 00:30:49.280]   I don't care. Well, also I mean just as much as I said that this is a great way for apple to promote this saying
[00:30:49.280 --> 00:30:53.600]   This is a great speaker now. You're you're also you're also sort of telling people to
[00:30:53.600 --> 00:31:01.360]   Think of this as a speaker meaning that it doesn't you're the speakers that i'm used to are not ones that are tied to one music service
[00:31:01.360 --> 00:31:04.480]   So that it's not even a case of being an audiophile
[00:31:04.480 --> 00:31:08.480]   Like i'm not i'm not on on jib dalryples level by any means
[00:31:08.480 --> 00:31:12.800]   But it's like even if it's as simple as that yes, but i i have been using
[00:31:13.360 --> 00:31:17.600]   I've been using spotify. That's where all of my playlists are. That's where all my collected libraries are
[00:31:17.600 --> 00:31:24.800]   And if you're telling me that not only do i have to start paying 10 bucks a month to apple music to get this that sort of functionality
[00:31:24.800 --> 00:31:32.080]   Through the speaker that i already paid 350 dollars for but i'm also going to have to convert all of my playlists and all my libraries to apple music
[00:31:32.080 --> 00:31:35.600]   That's you're you're not selling me a home
[00:31:35.600 --> 00:31:39.120]   You're not selling me a speaker you're selling me an add-on
[00:31:39.600 --> 00:31:45.440]   To a service that you're trying to sell me and that's it's not like it's it's kind of a step back from the from the apple
[00:31:45.440 --> 00:31:47.440]   Wifi apple high-fi
[00:31:47.440 --> 00:31:53.600]   High-five high-five so that's i mean that so this is it's just a speaker you plug it in and it plays music
[00:31:53.600 --> 00:31:59.520]   And i just hope that i just hope that the home pod at least within the first year has kind of that same
[00:31:59.520 --> 00:32:06.400]   Sort of approach to it. I don't want it just to be an accessory to apple music that would be such a shame such a way so good engineering
[00:32:07.680 --> 00:32:12.240]   Well, there's one thing it can do is read you news and in just a bit we'll demonstrate that because
[00:32:12.240 --> 00:32:18.320]   Oh ios 11 point what is it 2.5 just came out yep and uh
[00:32:18.320 --> 00:32:24.720]   Included in it at least according to the description compatibility with home pod and they've added that feature
[00:32:24.720 --> 00:32:32.320]   So we'll do a little test in just a little bit rene richy from i'm war.com close personal friend of the ceo of appleton cook
[00:32:32.880 --> 00:32:38.640]   A vleol report of leo report and not nearly as exciting and he's not talking to me for 3.5 days
[00:32:38.640 --> 00:32:42.240]   I'll be fine. I'll be fine after that. I'm not
[00:32:42.240 --> 00:32:47.280]   This says more about me than it does about you i'm acknowledging that
[00:32:47.280 --> 00:32:50.640]   And he and i come from the Chicago sun times
[00:32:50.640 --> 00:32:56.800]   Uh our show today brought to you by word press our sponsor and my blog host i've been a wordpress user seats
[00:32:57.280 --> 00:33:02.240]   Day one i think pretty much when matt melon mullen wig announced his new platform for bloggers
[00:33:02.240 --> 00:33:07.600]   I jumped right on it. I love wordpress for years. I ran at my own wordpress blog on my own servers
[00:33:07.600 --> 00:33:13.760]   Which was pretty expensive. We had soft layer servers. I had to buy the server and then time consuming because I was always
[00:33:13.760 --> 00:33:16.320]   Tweaking it and fiddling with it and updating it
[00:33:16.320 --> 00:33:22.240]   When I discovered wordpress.com and i'm ashamed to say it. I discovered it late in the day. I was
[00:33:22.800 --> 00:33:28.560]   So happy wordpress.com is the same platform that runs 29 percent of the internet now
[00:33:28.560 --> 00:33:31.360]   but easy they
[00:33:31.360 --> 00:33:36.640]   You and by the way le much more affordable than doing it myself. They run the hosting
[00:33:36.640 --> 00:33:41.040]   They keep it up to date. They keep it secure. They add the plugins and the templates
[00:33:41.040 --> 00:33:46.400]   In fact the business plan lets you access hundreds of plugins and themes. I turned on google's amp
[00:33:47.120 --> 00:33:52.320]   Speed up so that i my site runs faster on mobile https automatic
[00:33:52.320 --> 00:33:59.120]   Automatic just built right in and and if there's ever a question or problem those great wordpress experts are there
[00:33:59.120 --> 00:34:01.280]   eager to help you
[00:34:01.280 --> 00:34:04.080]   24 hours a day monday through friday and on weekends too
[00:34:04.080 --> 00:34:11.280]   They're just really really great. I even I even said all right. I'm looking for a template that does this and this and this and they said oh
[00:34:11.280 --> 00:34:15.280]   You want 2017 and that's the template i'm using. I love wordpress
[00:34:15.520 --> 00:34:17.680]   Whether you're looking to set up your own personal site
[00:34:17.680 --> 00:34:26.880]   A blog or you're a business and you need a site. This is the way to do it creating your website on wordpress.com helps others find you remember you
[00:34:26.880 --> 00:34:31.920]   And connect with you. You don't need experience. You do not need to hire somebody
[00:34:31.920 --> 00:34:37.520]   wordpress.com guides you through the entire process from start to finish look at that let as little as four dollars a month
[00:34:37.520 --> 00:34:41.680]   And just gorgeous templates
[00:34:41.680 --> 00:34:43.360]   easy
[00:34:43.360 --> 00:34:49.440]   built-in search engine optimization built-in social sharing I love that because it means your fans or readers or
[00:34:49.440 --> 00:34:53.760]   Customers can spread the word about your business or site or blog
[00:34:53.760 --> 00:34:56.320]   by sharing it on their facebook and twitter
[00:34:56.320 --> 00:34:59.760]   And I just I just think it's so easy to use
[00:34:59.760 --> 00:35:06.240]   You're going to want to try this see why 29 of all the websites in the world run on wordpress the best
[00:35:06.240 --> 00:35:13.120]   Content management system out there the best servers out there the best support and wordpress.com
[00:35:13.120 --> 00:35:18.240]   Is a community so I that follow button on your wordpress blog that means more people will see you
[00:35:18.240 --> 00:35:25.680]   Wordpress.com gets started today with 15 percent off any new plan purchase at wordpress.com/macbreak
[00:35:25.680 --> 00:35:32.480]   Create your website find the plan that's right for you and then save 15 percent at wordpress.com
[00:35:32.480 --> 00:35:35.440]   Macbreak
[00:35:35.440 --> 00:35:41.040]   So leo I have some real time follow up it was nick kiprios. I think that is his name from hockey night in canada. Oh
[00:35:42.000 --> 00:35:45.920]   Hockey night in canada is huge. It's our national anthem service. Yes
[00:35:45.920 --> 00:35:51.360]   Wow, that's cool. Yeah, somebody in the chat room said nick kiprios. I wasn't sure if that was uh, yeah, yep
[00:35:51.360 --> 00:35:54.480]   so uh
[00:35:54.480 --> 00:35:56.480]   So nick got the interview
[00:35:56.480 --> 00:35:57.920]   Well, he got to sit with him
[00:35:57.920 --> 00:36:04.560]   I'm afraid the the interviews like where we're all done earlier with I think like the real the real journalist type people about the malala
[00:36:04.560 --> 00:36:09.600]   I'm gonna pronounce anymore. I don't know i don't know i'm malala just say malala. So you need to say everybody knows malala
[00:36:10.000 --> 00:36:12.320]   So what should I so i've i've updated to
[00:36:12.320 --> 00:36:14.800]   11.2.5
[00:36:14.800 --> 00:36:20.560]   What else is in here besides home kit? I mean the home pod uh integrations or anything else. It's a point five
[00:36:20.560 --> 00:36:25.040]   So there's some minor updates, but the point three will be the next point. So what should I ask her?
[00:36:25.040 --> 00:36:28.560]   So the so those are members that
[00:36:28.560 --> 00:36:33.840]   Well, yeah, but you you want to you want to use hlomo for this because if you if you're looking at the screen
[00:36:33.840 --> 00:36:38.400]   It's gonna assume that you're looking at the screen and then it's gonna give you visual information. Oh, so put it down
[00:36:38.480 --> 00:36:44.560]   Looking at it that is gonna give you. Yeah, okay. Hey syri. What's the news?
[00:36:44.560 --> 00:36:56.720]   Here's the latest news from npr or if you prefer say hey syri switch to fox news switch to cnn or switch to wall
[00:36:56.720 --> 00:37:01.440]   That's nice integrations. So you can switch which you want to hear it's gonna play me npr
[00:37:01.440 --> 00:37:04.400]   Washington i'm lakshmi saying
[00:37:04.640 --> 00:37:10.480]   So that's pretty cool. I think that's pretty cool. Hey syri switch to fox news
[00:37:10.480 --> 00:37:13.440]   I guess I can switch to fox news
[00:37:13.440 --> 00:37:22.160]   And then and then also and I like this has this is really good for us has a button that says open podcasts
[00:37:22.160 --> 00:37:23.920]   Yeah
[00:37:23.920 --> 00:37:28.800]   Now playing you swipe up to access sleep timer. So there's more stuff underneath here and share
[00:37:28.800 --> 00:37:34.080]   So that is uh, that's fantastic. I think that's nice. You can just pull that down. It's to all the other podcasts
[00:37:34.720 --> 00:37:40.240]   So, ah looks like uh, ios today tech news today to it's elections. That's that's my shows
[00:37:40.240 --> 00:37:48.960]   That's not that's not series suggestions. That's really great syri knows you very well. Yeah, well, you must really like that leo guy
[00:37:48.960 --> 00:37:54.480]   So, um, that's really cool. I um, I like that. So that's what is this index?
[00:37:54.480 --> 00:37:58.400]   I love it that you can't be looking at it because we tried it on the
[00:37:58.400 --> 00:38:05.680]   Today and it was pulling up websites. Yeah, so there's it because for a long time like carplay has it's a different verbosity level for a series
[00:38:05.680 --> 00:38:08.240]   So if it knows that you're not looking to screen for example
[00:38:08.240 --> 00:38:10.800]   Uh for carplay, it's gonna assume you're not you know
[00:38:10.800 --> 00:38:14.720]   It's tearing at the screen because you should be driving it's gonna ramp up the verbosity and give you more vocal results
[00:38:14.720 --> 00:38:19.680]   If it thinks you are looking at the screen for example, you press the button then it's it's pretty sure and especially now with the newer
[00:38:19.680 --> 00:38:23.920]   iPhones they can read attention it's gonna give you visual results because it believes that's more efficient
[00:38:24.320 --> 00:38:30.720]   For you to parse the data. So it sort of goes through that scale now and it's uh the u the u. S the uk in australia
[00:38:30.720 --> 00:38:37.920]   I think so far for the news feature and you have a variety of channels that you can choose from in each of those regions cool cool
[00:38:37.920 --> 00:38:45.280]   Uh is is the battery stuff that tim cook alluded to the switch that can turn off the battery optimization?
[00:38:45.280 --> 00:38:49.520]   I believe that'll be at 11 point sorry 11 point three. So I don't I don't believe that's in this one
[00:38:49.520 --> 00:38:51.920]   I'm running the bait at least still in a slot in there. Okay
[00:38:52.800 --> 00:38:59.200]   Uh is it we've already mit mitigated for specter and meltdown. I think so it won't be and we dodged a bullet
[00:38:59.200 --> 00:39:03.760]   It turned out because apple did not use intel's microcode. It's enough believe that it could test or trust it
[00:39:03.760 --> 00:39:08.960]   So it's not applied it applied the web kit and safari mitigations instead
[00:39:08.960 --> 00:39:13.120]   And it turns out that was good because now intel has said wait wait no no
[00:39:13.120 --> 00:39:18.480]   We're killing older processors. Well not they're causing them to reboot. So they said please don't apply those and apple
[00:39:18.480 --> 00:39:22.400]   You believe it. We believe that cheese louise
[00:39:22.400 --> 00:39:31.120]   Unbelievable minus torvald was not happy. Yeah. Yeah, he hasn't been happy about this whole thing all along and then he's really mad that intel was pushing there
[00:39:31.120 --> 00:39:33.840]   I guess he called garbage
[00:39:33.840 --> 00:39:35.360]   updates
[00:39:35.360 --> 00:39:41.040]   Uh, I presume it also fixes the minor chaos or kayak chaos message bug
[00:39:41.040 --> 00:39:45.440]   The yeah complete and utter garbage. That's what line is called those patches
[00:39:45.920 --> 00:39:52.560]   Um that this is the was a github page that had some code that if you sent the link
[00:39:52.560 --> 00:39:54.720]   to uh
[00:39:54.720 --> 00:39:57.920]   iOS or or mac OS on messages, it would crash
[00:39:57.920 --> 00:40:04.960]   Messages, this is not the first time. I mean there's there is something really weird about uni code on a wide range of devices that parsing
[00:40:04.960 --> 00:40:08.880]   So always have like it was rushing for a while and then it was it was
[00:40:08.880 --> 00:40:13.120]   Emoji non-break spaces once and this like the third or fourth time we've seen
[00:40:14.320 --> 00:40:22.960]   Text parsing cause crash or freeze bugs. So I can show now the cheesecake UFO tweet because the link has been disabled
[00:40:22.960 --> 00:40:26.560]   But it was weird that you could literally just send
[00:40:26.560 --> 00:40:31.920]   A link a github link and that would freeze or crash the device
[00:40:31.920 --> 00:40:35.280]   Well, once it was a ravet characters once it was surrealic characters
[00:40:35.280 --> 00:40:40.400]   And it's just something about how it reparses those car it parses those characters that caused it to loop. Yeah
[00:40:41.440 --> 00:40:45.840]   Uh, okay, but fixed I presume an 11.2.5 apple said it would
[00:40:45.840 --> 00:40:48.000]   Do that
[00:40:48.000 --> 00:40:52.080]   Uh, do we do we I mean I know it just came out so you haven't had time to to look at it
[00:40:52.080 --> 00:40:54.640]   Well, my problem is I'm running the beta and I came here right from the airport
[00:40:54.640 --> 00:40:58.240]   So I only have one phone with me and I can't read the notes that they put on the release version
[00:40:58.240 --> 00:41:04.000]   Uh, let's see addresses an issue that could cause the iphone app to display incomplete information in the call list
[00:41:04.000 --> 00:41:10.160]   Fixes an issue that causes mail notifications from some exchange accounts to disappear from the lock screen
[00:41:10.880 --> 00:41:15.200]   Dresses an issue that could call its message conversations to temporarily but listed out of order
[00:41:15.200 --> 00:41:21.440]   Fixes an issue in car play where now playing controls become unresponsive after multiple track changes
[00:41:21.440 --> 00:41:28.400]   This is an interesting one adds ability for voiceover to announce playback destinations and air pod battery level
[00:41:28.400 --> 00:41:34.000]   So that's for that's an accessibility feature. It allows people absolutely to hear what's going on instead of see
[00:41:34.000 --> 00:41:36.400]   It's nice
[00:41:36.400 --> 00:41:39.520]   And uh, hey syri play the news is the new command
[00:41:40.000 --> 00:41:42.000]   You can
[00:41:42.000 --> 00:41:43.840]   There it goes
[00:41:43.840 --> 00:41:47.120]   But what I like about syrian general is yeah, it absolutely is limited
[00:41:47.120 --> 00:41:51.760]   But it provides a variety of syntaxes so you don't have to specifically say the right words in the right orders
[00:41:51.760 --> 00:41:56.240]   Uh, you can say a variety of things like I send out as then now um
[00:41:56.240 --> 00:42:01.760]   Yeah, send and what's app what's app and like you can mix the words up and it'll still understand them
[00:42:01.760 --> 00:42:06.000]   So it won't work if I just press the button and say let's hear some technology news
[00:42:07.840 --> 00:42:13.200]   Sorry, I don't think it does technology yet. It doesn't do technology. No, it just that's here's some hockey news
[00:42:13.200 --> 00:42:18.880]   Does
[00:42:18.880 --> 00:42:25.280]   Cam so there you go
[00:42:25.280 --> 00:42:27.840]   Are they new can trust for hockey news?
[00:42:27.840 --> 00:42:33.360]   So syrian if you're looking for some source, I don't know of technology news. I'm just saying
[00:42:33.360 --> 00:42:36.240]   There there must be podcast somewhere
[00:42:36.960 --> 00:42:43.360]   Cat cam conners leola port they're both like stanley 1960s superhero civilian. They're a literative
[00:42:43.360 --> 00:42:50.160]   Just saying i'm not peter parker, but very very easy to code up as as hot words because they
[00:42:50.160 --> 00:42:52.640]   Lala
[00:42:52.640 --> 00:42:57.360]   I'm sorry. We don't have any technology news. All we could find is that stupid leola park guy
[00:42:57.360 --> 00:43:00.240]   No
[00:43:00.240 --> 00:43:03.440]   That's interesting. I can actually ask it for hockey news. That is really good
[00:43:03.920 --> 00:43:10.560]   And I love it that it's playing the podcast. I think that's really interesting and they added golf and tennis last week as well
[00:43:10.560 --> 00:43:12.880]   Nice not for news, but just for scores and
[00:43:12.880 --> 00:43:16.240]   a bunch of other stuff because this golf has scores
[00:43:16.240 --> 00:43:19.520]   Yeah
[00:43:19.520 --> 00:43:24.800]   You're a big golf game this weekend. Well, you know tiger woods is three under
[00:43:24.800 --> 00:43:26.480]   300
[00:43:26.480 --> 00:43:31.840]   Avengers shot shot 18 scored 18 double eagle bogey on the fourth hole and
[00:43:32.800 --> 00:43:34.800]   All right
[00:43:34.800 --> 00:43:35.920]   Um
[00:43:35.920 --> 00:43:38.560]   No spotify any plans to add spotify
[00:43:38.560 --> 00:43:42.800]   They don't typically announce stuff until they've done it, but it wouldn't surprise me
[00:43:42.800 --> 00:43:43.840]   I mean it again
[00:43:43.840 --> 00:43:48.000]   It's such an obvious thing to add hooks to the series everywhere for audio
[00:43:48.000 --> 00:43:49.920]   You wouldn't
[00:43:49.920 --> 00:43:56.320]   Would it be able to spotify to use it to do serie kit or they would provide the serie kit extension and then spotify what implemented on their side
[00:43:56.320 --> 00:43:57.200]   Yeah
[00:43:57.200 --> 00:44:03.520]   It's I don't I not even for spotify. I don't I'm not sure if they would add an implementation specifically for spotify when they could
[00:44:03.520 --> 00:44:09.520]   Take that much time in trouble to create an api so that you can put any audio hook onto it
[00:44:09.520 --> 00:44:12.320]   And basically shove the responsibility for how to implement it
[00:44:12.320 --> 00:44:14.640]   Of even further onto the service
[00:44:14.640 --> 00:44:17.600]   Just just the idea of you'll play the news
[00:44:17.600 --> 00:44:23.200]   How do you know that they're saying but I want to hear an NPR's newscast versus I want to hear a hui louis track
[00:44:23.200 --> 00:44:25.600]   and how do you want to even
[00:44:25.600 --> 00:44:33.840]   On google music versus apple music the same request will get different responses sometimes depending on quarks the database
[00:44:33.840 --> 00:44:35.840]   Hey serie listen to mac break weekly
[00:44:35.840 --> 00:44:38.960]   Let's see if it does that i'm not looking
[00:44:38.960 --> 00:44:43.520]   Sorry, I couldn't find mac break weekly
[00:44:43.520 --> 00:44:48.480]   I play that'll
[00:44:48.480 --> 00:44:50.640]   No, it got more stuff actually
[00:44:50.640 --> 00:44:53.760]   Okay, hey, i'm not gonna look at it. Hey serie
[00:44:54.560 --> 00:44:56.560]   listen to mac break weekly
[00:44:56.560 --> 00:45:04.480]   Nice so
[00:45:04.480 --> 00:45:06.720]   Yeah
[00:45:06.720 --> 00:45:09.200]   We don't need to do this. Oh, you can just have serie do it every now
[00:45:09.200 --> 00:45:13.680]   And now how do I stop it?
[00:45:13.680 --> 00:45:17.360]   Hey serie stop there's asking souls
[00:45:17.360 --> 00:45:21.440]   Stop
[00:45:22.400 --> 00:45:24.960]   Apple i feel good about apples
[00:45:24.960 --> 00:45:30.880]   Matureing of of home pod particularly they've been very very good about making sure they extend and embrace
[00:45:30.880 --> 00:45:34.480]   When they feel as though they can handle it or when they feel the time is right
[00:45:34.480 --> 00:45:39.040]   So i'm disappointed that it doesn't do excuse me as far as we know it doesn't do more
[00:45:39.040 --> 00:45:46.480]   Uh at launch, but i'm sure that in a year it'll be where we hope it to be and a year after that it will start to support
[00:45:46.480 --> 00:45:49.040]   More services and more platforms
[00:45:49.200 --> 00:45:52.320]   You can pair it to your phone right and use it as a speaker phone, right?
[00:45:52.320 --> 00:45:57.760]   Yep over airplay it does have a bluetooth radio, but there's no sign that it that apple is surface day 2d p
[00:45:57.760 --> 00:46:02.080]   Or i forget what the letters are for the new one. So how do you do airplay with a phone call?
[00:46:02.080 --> 00:46:04.240]   It's just an end point. Uh, it's
[00:46:04.240 --> 00:46:07.920]   Well speaker phone protocol has probably been established, but i get it
[00:46:07.920 --> 00:46:12.080]   So when you're in the call you press and you say yeah like you do with airpods. Yeah
[00:46:12.080 --> 00:46:15.040]   Airplay and airplay is very high quality right?
[00:46:15.040 --> 00:46:17.840]   Airplay one is
[00:46:18.000 --> 00:46:23.680]   Um, like it was never designed to be as far ranging as it was in eventually implemented
[00:46:23.680 --> 00:46:28.640]   So that is why airplay too is so important but for point to point stuff airplay especially for things like that
[00:46:28.640 --> 00:46:30.640]   It's better than bluetooth anyway
[00:46:30.640 --> 00:46:38.240]   It wouldn't be hard standing with favorites. Yeah, that's damning with fame and good news. You can mute the microphone
[00:46:38.240 --> 00:46:40.800]   Yes
[00:46:40.800 --> 00:46:44.400]   I will now be singing and I do not want the nsa to hear my voice. So please
[00:46:45.440 --> 00:46:50.640]   Is that with a physical switcher or is that with a command unclear? Um, you know the only reason both
[00:46:50.640 --> 00:46:56.320]   There are let's see apple details home pods gesture controls. All right. Let's see
[00:46:56.320 --> 00:46:59.200]   What this has to say about that
[00:46:59.200 --> 00:47:06.400]   Wow, I hate this when this happens. This is why kids you really shouldn't buy a windows machine
[00:47:06.400 --> 00:47:11.440]   This is uh, this is if you have epilepsy. Yeah
[00:47:11.840 --> 00:47:16.720]   Well, it's like the apple tv like I love the idea there's a physical switch that I have to push before it listens to me
[00:47:16.720 --> 00:47:20.880]   But every time I have to actually push that physical switch. I wish I did not the push physical switch. Yeah
[00:47:20.880 --> 00:47:24.160]   Uh, there are gestures. There we go
[00:47:24.160 --> 00:47:27.280]   Carson is going to show it to me
[00:47:27.280 --> 00:47:30.320]   What are the gestures? There's a plus and minus
[00:47:30.320 --> 00:47:32.000]   tap
[00:47:32.000 --> 00:47:34.400]   triple tap
[00:47:34.400 --> 00:47:37.200]   Tap and hold double tap touch and hold
[00:47:37.200 --> 00:47:39.840]   tap or
[00:47:39.840 --> 00:47:41.680]   hold minus
[00:47:42.560 --> 00:47:44.560]   Okay
[00:47:44.560 --> 00:47:52.480]   So triple tap is previous track single tap is play pause double tap is next track triple tap is previous
[00:47:52.480 --> 00:47:56.720]   I don't see the microphone off on thing. Uh, did there look like there was a button?
[00:47:56.720 --> 00:48:04.240]   Uh, this was someone went into the code there was new firmware landed and there was a bunch of um, icon icons for it
[00:48:04.240 --> 00:48:10.080]   Yeah, and there's an icon for it. So um, we'll have to see and the iconography was so interesting as someone pointed out
[00:48:10.080 --> 00:48:12.560]   It's the same. I think ben mayo from nine if i'm accent
[00:48:12.560 --> 00:48:14.720]   It's the same iconography that apple use in the home app
[00:48:14.720 --> 00:48:18.240]   But it's way more whimsical and fun than apple standard stuff
[00:48:18.240 --> 00:48:23.600]   It looks almost like the ww dc posters where it's looser and more freeform and more abstract
[00:48:23.600 --> 00:48:28.800]   And that must be intentional to sort of make home and home pod seem more welcoming
[00:48:28.800 --> 00:48:31.760]   But it just it did not look like traditional apple stuff to me
[00:48:31.760 --> 00:48:35.040]   very interesting
[00:48:35.520 --> 00:48:42.400]   Well, I think we've talked as much about home pod as we possibly possibly could accept leo silver or space. Hey, what are you getting?
[00:48:42.400 --> 00:48:48.480]   I like for devices like that. I kind of like them to be light colored not dark colored
[00:48:48.480 --> 00:48:51.360]   But we have a lot of dark
[00:48:51.360 --> 00:48:54.320]   Sonos stuff
[00:48:54.320 --> 00:48:55.120]   I'm i'm a true
[00:48:55.120 --> 00:48:58.480]   I'm a old fashioned high-fi guy in the sense that I
[00:48:58.480 --> 00:49:01.520]   All the speakers that like my parents always had
[00:49:02.160 --> 00:49:06.800]   Black cloth over them and I think that makes me prefer black girls on interesting
[00:49:06.800 --> 00:49:08.320]   Yeah
[00:49:08.320 --> 00:49:11.040]   They don't impede the sound quite as much
[00:49:11.040 --> 00:49:19.360]   Or perhaps maybe maybe it's even better for when you're playing the soundtrack to man of wamancha and the sound of music
[00:49:19.360 --> 00:49:23.520]   All right apple is uh
[00:49:23.520 --> 00:49:29.840]   Now I read somewhere that apple's required by the new tax law to repatriate their 260 billion
[00:49:30.160 --> 00:49:34.400]   Dollars held international understanding is that they're not required to repatriate it
[00:49:34.400 --> 00:49:40.000]   But they have to pay the tax whether they repatriated or not and once you have to pay the tax in a zero sense not to repatriate it
[00:49:40.000 --> 00:49:42.560]   38 billion dollars
[00:49:42.560 --> 00:49:46.000]   billion dollars in taxes great
[00:49:46.000 --> 00:49:50.800]   Apple on wednesday made a slew of announcements about it
[00:49:50.800 --> 00:49:56.240]   Oh, yeah, these are the this is so the number of announcements they're going to give every employee under the level of director
[00:49:57.200 --> 00:50:00.640]   $2,500 and restricted stock units. Thank you very much
[00:50:00.640 --> 00:50:08.240]   Uh, that's a that that's a $300 million gift because they have a hundred was a 20,000 employees
[00:50:08.240 --> 00:50:14.480]   Uh apple says they'll create 20,000 new jobs with the money and build a new campus
[00:50:14.480 --> 00:50:18.400]   Somebody told me it was going to be in Reno that can't be right
[00:50:18.400 --> 00:50:21.440]   Well, it's it's yeah
[00:50:21.440 --> 00:50:24.960]   It's it's mostly tech support and training so
[00:50:26.160 --> 00:50:31.520]   Anywhere also it's also it might likely be a place where there is a really really
[00:50:31.520 --> 00:50:39.600]   Broad employment pool and so people or people can live real makes sense. Yeah, yeah, and so they don't have to pay them
[00:50:39.600 --> 00:50:44.560]   I think I think apple will pay anybody better than any other company would but this not going to be a
[00:50:44.560 --> 00:50:47.760]   $90,000 a year job. So they're gonna want to live
[00:50:47.760 --> 00:50:51.120]   They're gonna want to put it someplace where people can live affordably
[00:50:51.360 --> 00:50:57.360]   They're gonna up the ante on the innovation fund which really is just money that they give to their partners
[00:50:57.360 --> 00:51:02.080]   But but maybe it helps innovation five billion instead of the one billion they announced last year
[00:51:02.080 --> 00:51:06.880]   Um, the job creation will include direct deployment, but also suppliers and
[00:51:06.880 --> 00:51:13.040]   I'm sorry to say they're gonna include app developers in this which they included in their number before they're too, you know
[00:51:13.040 --> 00:51:15.680]   And that's not really people that's baloney. Yeah
[00:51:16.400 --> 00:51:20.720]   Although app developers have been making money and there's no question about that
[00:51:20.720 --> 00:51:24.000]   But they'll still have hundreds of billions of dollars in cash
[00:51:24.000 --> 00:51:31.120]   And I thought that harris dedius article on a simko was probably at least for my untutered brain
[00:51:31.120 --> 00:51:35.840]   The best explanation of apple cash because it's the apple cash
[00:51:35.840 --> 00:51:43.680]   faq and what he says which I didn't really get before is actually this isn't apple's money in effect
[00:51:43.680 --> 00:51:50.720]   It's the shareholders money and they're there is pressure for apple to give it to the shareholders either is dividends
[00:51:50.720 --> 00:51:57.760]   But for tax reasons that's not the optimal way to do it or as buybacks and so I think what will happen apple has
[00:51:57.760 --> 00:52:00.640]   Uh a lot of loans on the books
[00:52:00.640 --> 00:52:06.240]   100 billion dollars in loans. That's the money they borrowed against the international funds
[00:52:06.240 --> 00:52:08.960]   Yes to buy back stock. They'll pay those off first
[00:52:08.960 --> 00:52:11.440]   I would imagine
[00:52:11.440 --> 00:52:16.080]   Maybe not it's all tax stuff, you know, and then at that point maybe buyback more shares
[00:52:16.080 --> 00:52:19.840]   But I didn't realize that actually is not an attempt to take it private
[00:52:19.840 --> 00:52:23.920]   That's good for shareholders because it increases the value of
[00:52:23.920 --> 00:52:28.000]   Existing shares produced as the pool of a bit. Yeah, right
[00:52:28.000 --> 00:52:31.200]   so
[00:52:31.200 --> 00:52:33.600]   And yeah, it's a q&a format
[00:52:33.600 --> 00:52:39.360]   Things like whoa, why would apple need to take out loans? Does it have problems with cash flow?
[00:52:40.000 --> 00:52:44.320]   Quite the contrary rights or us apples operating cash flow is eye watering
[00:52:44.320 --> 00:52:50.480]   Last year it generated 63 billion dollars
[00:52:50.480 --> 00:52:52.800]   That's where the be
[00:52:52.800 --> 00:52:57.680]   From operations the loans are not needed to operate they're used to pay shareholders
[00:52:57.680 --> 00:53:01.840]   Why does apple need to pay shareholders because it's their money their money
[00:53:01.840 --> 00:53:07.200]   Wait, I thought you said this was apple's cash apple is holding it for them
[00:53:08.080 --> 00:53:12.240]   But if it has more than it needs, it's obligated to return it. I didn't really realize this
[00:53:12.240 --> 00:53:15.920]   But then i'm no expert on corporate governance, but you're allowed
[00:53:15.920 --> 00:53:21.680]   You know most companies don't hold a lot of cash you're allowed to spend that cash to make more money
[00:53:21.680 --> 00:53:26.080]   You know to build assets do rnd and stuff like that
[00:53:26.080 --> 00:53:28.560]   But you can't just let it sit there
[00:53:28.560 --> 00:53:34.720]   You're you're supposed to uh, you're supposed it's it's considered a liability of all things on the on the balance sheet
[00:53:34.720 --> 00:53:37.440]   um, so
[00:53:38.000 --> 00:53:42.080]   They're well in effect. It's an asset and there has to be a liability that grows in proportion
[00:53:42.080 --> 00:53:46.800]   To offset the asset that liability is under shareholder equity
[00:53:46.800 --> 00:53:48.960]   in other words
[00:53:48.960 --> 00:53:55.200]   This belongs to the shareholders. So, um, that's that's what'll happen. Um, this is all complicated
[00:53:55.200 --> 00:53:58.000]   Tax stuff
[00:53:58.000 --> 00:54:04.240]   The other part further down about rnd I think is is super interesting and also how apple buys or doesn't buy
[00:54:04.720 --> 00:54:07.440]   Uh, or like makes acquisition acquisitions or does not make acquisition
[00:54:07.440 --> 00:54:11.920]   Very insightful. What about acquisitions? Why not buy other companies?
