
[00:00:00.000 --> 00:00:05.520]   It's diver Mac break weekly Renee Richie's here Andy Nachos here big big big news story
[00:24:04.160 --> 00:24:07.720]   So it also explains why the a11 bionic is so overpowered
[00:24:07.720 --> 00:24:10.520]   Right there's really no need for that chip
[00:24:10.520 --> 00:24:13.080]   There's head there's a massive headroom
[00:24:13.080 --> 00:24:18.960]   Hagging the a yeah the a10 and now it is very comfortable. Yeah, it's like yeah
[00:24:18.960 --> 00:24:26.600]   Yeah, so that's interesting. Yeah, also the AR effects efforts on other platforms are gonna help out AR kit on on Apple as well
[00:24:26.600 --> 00:24:33.520]   It's it's when people fire up an app and they are expecting some sort of AR help from the app and
[00:24:33.520 --> 00:24:36.040]   it's the when you have a when you have a
[00:24:36.040 --> 00:24:45.040]   Remember remember when it took a little while before the standard way to zoom became pinch and scroll even on a multi touch device
[00:24:45.040 --> 00:24:51.800]   You can see these those one or two like old old style apps where there be a plus and minus button like actually on the phone
[00:24:51.800 --> 00:24:55.680]   And on the device and you're like oh wow. This is like a steam powered app
[00:24:55.680 --> 00:24:59.200]   Why the hell are you wasting my time with this great great grandpa technology?
[00:24:59.200 --> 00:25:06.020]   And it's gonna be like that too when both on both platforms for on both Android and and the and the iPhone
[00:25:06.020 --> 00:25:09.720]   People are going to be expecting why am I I'm using a mapping app?
[00:25:09.720 --> 00:25:11.200]   Why are you not highlighting the building?
[00:25:11.200 --> 00:25:15.280]   I'm looking for or I'm this is a this is supposed to help me install my new stereo
[00:25:15.280 --> 00:25:20.680]   Why are you not highlighting the jack on the back of this amplifier where I'm supposed to plug in my speakers?
[00:25:20.680 --> 00:25:26.440]   This is a waste of my time. Yeah, I'm on my way to work. Why is my turn to source rexeding the car next to me? Yeah, right?
[00:25:26.440 --> 00:25:34.000]   Speeding my car lots more to talk about let's take a little break and I an Aka Renee Richie. We're talking apple
[00:25:34.000 --> 00:25:41.560]   on Mac break weekly our show today brought to you timely in timely fashion by gazelle because you're perhaps thinking I
[00:25:41.560 --> 00:25:46.320]   Like a new iPhone, but how much of a new iPhone can I afford?
[00:25:46.760 --> 00:25:53.380]   Well, you can afford more than you think if you go to gazelle and trade in your old device for cash
[00:25:53.380 --> 00:25:58.800]   Find your device get an instant quote. We've talked about it before shipping is free payment is fast
[00:25:58.800 --> 00:26:01.440]   Gazelle of course accepts apple products
[00:26:01.440 --> 00:26:06.160]   But they also take the Google Pixel and the Samsung Galaxy S8 phone so you could trade your
[00:26:06.160 --> 00:26:09.320]   Your S8 in for a new iPhone 8 for instance
[00:26:09.320 --> 00:26:14.960]   And then once you once you get there you might be surprised to see that not only does Gazelle buy your old gear at
[00:26:15.400 --> 00:26:22.640]   Very very fair prices. You can also buy certified pre-owned devices from Gazelle. They save the best stuff
[00:26:22.640 --> 00:26:23.960]   They get for you
[00:26:23.960 --> 00:26:28.680]   You could shop for iPhones going all the way back to the iPhone 5 through the 7 Plus
[00:26:28.680 --> 00:26:36.680]   The standard the air the mini and the pro iPad models you can get a MacBook Air or a MacBook Pro for an amazing price
[00:26:36.680 --> 00:26:41.320]   It's really the time is right to buy these devices because lots of people are trading up
[00:26:41.720 --> 00:26:46.200]   So there's great selection at gazelle.com and of course
[00:26:46.200 --> 00:26:55.320]   Yes, because they accept Samsung Galaxy phones for sale. They'll sell you their best Samsung Galaxy phones each device is fully inspected back by a 30-day return policy
[00:26:55.320 --> 00:26:59.360]   They're sold without a carrier contract, but they work with all the major carriers
[00:26:59.360 --> 00:27:02.160]   Gazelle G a Z double le
[00:27:02.160 --> 00:27:07.000]   Dot-com check it out. See what your old device is worth. You might be surprised and
[00:27:08.240 --> 00:27:11.240]   Check out the selections of certified pre-owned devices today
[00:27:11.240 --> 00:27:17.560]   And if you need a little help buying they also of course support a firm financing as you're checking out
[00:27:17.560 --> 00:27:22.480]   You provide your basic information and you can get instant approval to pay in three six or twelve months
[00:27:22.480 --> 00:27:26.360]   Easy monthly payments that could be made through bank transfer check or debit card
[00:27:26.360 --> 00:27:28.400]   Just check that box
[00:27:28.400 --> 00:27:32.560]   It says financing with a firm as you check out making it even more affordable
[00:27:32.560 --> 00:27:35.120]   For folks to get great phones
[00:27:35.120 --> 00:27:39.920]   Don't miss out on getting the best value on certified pre-owned devices at gazelle
[00:27:39.920 --> 00:27:48.800]   Dot-com give new life to your used electronics to trade it in for cash or buy certified pre-owned at gazelle.com today G a Z
[00:27:48.800 --> 00:27:56.440]   L le we thank them so much for other support and for kind of democratizing access to expensive technology
[00:27:56.440 --> 00:28:03.820]   Let's continue I like this conversation. I want kind of kind of continue along
[00:28:04.420 --> 00:28:10.420]   This line I do recommend people read the Tim Cook interview. I thought that was very interesting
[00:28:10.420 --> 00:28:14.060]   Eddie Q here it is. That's in the independent
[00:28:14.060 --> 00:28:18.860]   Eddie Q also speaking in an interview with an Indian
[00:28:18.860 --> 00:28:22.320]   publication called live mint he says
[00:28:22.320 --> 00:28:26.500]   People accuse us of not being innovative anymore
[00:28:26.500 --> 00:28:33.180]   The the questioner said Apple historically has a track record of coming out with industry-defining products
[00:28:33.740 --> 00:28:37.020]   But over the past decade there's been a perception that the pace of innovation
[00:28:37.020 --> 00:28:42.860]   Has slowed somewhat. What do you say about that? Eddie's response? No way first of all
[00:28:42.860 --> 00:28:49.980]   The iPhone is 10 years old. That is the last decade the iPad came out after that the watch came after that
[00:28:49.980 --> 00:28:54.300]   So I disagree vehemently with that and I think we've been incredibly innovative
[00:28:54.300 --> 00:28:59.100]   That doesn't even take into account the work that's been done on the Mac iOS and Mac OS from that standpoint
[00:28:59.100 --> 00:29:01.420]   I think where we've led the market
[00:29:02.140 --> 00:29:07.260]   When you think the products products we built over time you own a lot of them and you just assume every year was a new product
[00:29:07.260 --> 00:29:09.260]   But it wasn't you can't do
[00:29:09.260 --> 00:29:14.780]   Revolutionary new products every two months or six months or whatever they take time says Eddie Q
[00:29:14.780 --> 00:29:20.380]   But he should have done you should have just done like this held them up and then dropped them AirPods
[00:29:20.380 --> 00:29:23.260]   And it might drop the AirPods AirPods
[00:29:23.260 --> 00:29:25.740]   last year boom
[00:29:25.980 --> 00:29:33.260]   Apple Apple's problem is that they they're responsible for building everything that runs iOS they're responsible for building everything that runs
[00:29:33.260 --> 00:29:36.860]   Mac OS which means that's really hard for them to compete with
[00:29:36.860 --> 00:29:46.700]   Every company in the world making Android phones and every company in the world making Windows notebooks is hard to it's when you when you got when you got that kind of
[00:29:46.700 --> 00:29:51.900]   manpower human power advantage on the other side it's hard to
[00:29:51.900 --> 00:29:55.020]   Look, I don't think that they're proceeding any less
[00:29:55.900 --> 00:30:02.620]   Any less fast than any other individual company, but when you look at well, what is are they innovating the Mac the way that
[00:30:02.620 --> 00:30:06.380]   Eight different companies are innovating Windows hardware. Well, no
[00:30:06.380 --> 00:30:10.940]   Then that well actually bad example. They don't they clearly don't care about the Mac anymore
[00:30:10.940 --> 00:30:15.740]   But we talk about phones for instance. They can't make one phone that is as
[00:30:15.740 --> 00:30:23.420]   different as eight different new phones that appear over the course of an entire year and even there they're they're really really
[00:30:24.060 --> 00:30:26.940]   Doing very well in that regard in watches
[00:30:26.940 --> 00:30:32.140]   That's it's it took them a couple of years to find the car keys for what they want to do with wearables
[00:30:32.140 --> 00:30:37.180]   But goodness gracious now that they found it. They're sending new land speed records that so much so that google
[00:30:37.180 --> 00:30:40.300]   It's you have those basically stopped
[00:30:40.300 --> 00:30:46.620]   They they have almost they have almost explicitly said that yeah, we're we're in a rebuilding year
[00:30:46.620 --> 00:30:52.220]   We're we're we're basically trading some we're we're trying to get some draft picks in the next in the next round
[00:30:52.700 --> 00:30:55.740]   Uh, yeah, nothing nothing is happening that it's not you can't see
[00:30:55.740 --> 00:30:58.220]   Google wear watches
[00:30:58.220 --> 00:31:03.260]   In the google store they say that it's because that they are changing the store so that it's only like their own
[00:31:03.260 --> 00:31:11.340]   Individual hardware and not third party hardware, but still you can really see that not not one mention really of uh android wear in the google i.o
[00:31:11.340 --> 00:31:13.500]   keynote this year
[00:31:13.500 --> 00:31:18.780]   It's i don't i don't i don't i don't agree that the apple's falling behind an innovation
[00:31:19.420 --> 00:31:26.540]   Again, however, I uh they really need to demonstrate that they care about every all of their product lines and not just the ones that really
[00:31:26.540 --> 00:31:31.180]   Good and commercials and no family phone. Did you guys see the folding phone from zte today? Yeah?
[00:31:31.180 --> 00:31:35.820]   I didn't see zte's although sam's has already said the next note will be a folding phone
[00:31:35.820 --> 00:31:39.740]   This is like two phones side by side and you fold the screens together and put it a little pouch
[00:31:39.740 --> 00:31:42.060]   That's nuts. There's innovation
[00:31:42.060 --> 00:31:46.380]   Just get angry right well. No, it's it well. Okay sam's song
[00:31:46.860 --> 00:31:49.580]   Samsung is one of the companies that is synonymous with gimmickry for me
[00:31:49.580 --> 00:31:51.820]   So but however
[00:31:51.820 --> 00:31:58.220]   Just like the they're the they're a great company to do something stupid like an enormous jumbo sized uh phone
[00:31:58.220 --> 00:32:03.420]   That's almost as big as a tablet and then you realize that oh actually this is incredibly useful
[00:32:03.420 --> 00:32:07.900]   I want to phone that's I wish my i think now the difference in what the axon m is
[00:32:07.900 --> 00:32:10.700]   Which is just basically two phones
[00:32:10.860 --> 00:32:15.580]   Together and what sam's says they're going to do with the next note which is a cuz sam's
[00:32:15.580 --> 00:32:19.260]   Young makes these OLEDs that are flexible and right so that's an intro
[00:32:19.260 --> 00:32:24.700]   I don't know if I'd run to buy one. I want to see how they hear a rumor about a folding apple phone like three four years ago
[00:32:24.700 --> 00:32:28.780]   But it was one of the thousand nose. Yeah, I just want to say in response
[00:32:28.780 --> 00:32:33.820]   Though to you holding up the air pods and say innovate my ass. I would hold up this
[00:32:33.820 --> 00:32:38.540]   This is something that hasn't been invented innovated on in a while. This is a mac mini actually
[00:32:38.540 --> 00:32:41.020]   Is a pretty old mac mini is it the skeleton of a long dead
[00:32:41.020 --> 00:32:44.620]   Yes, it is. Yes, it is
[00:32:44.620 --> 00:32:52.460]   But october 16th yesterday was the third anniversary of the last update for the mac mini
[00:32:52.460 --> 00:32:59.020]   Uh, they're talking about a product that it uh, hasn't been declared dead, but is is barely
[00:32:59.020 --> 00:33:02.380]   That's the frustrating thing if they just said we're no longer making it and took it off the store
[00:33:02.380 --> 00:33:05.740]   We'd be super angry, but we would at least know the biggest device
[00:33:05.740 --> 00:33:08.220]   Yeah, it's when it's like it's not dead, but it's not alive
[00:33:08.220 --> 00:33:11.820]   It's strodingers mac mini that it becomes really untenable like do I buy one?
[00:33:11.820 --> 00:33:15.260]   Do I keep using it? Do I have a faith in this as a platform? I don't know what's happening
[00:33:15.260 --> 00:33:17.260]   Like just it's the worst of all worlds
[00:33:17.260 --> 00:33:23.660]   I think I think that if they were to drop the mac mini that would be a really bad sign for the mac in general
[00:33:23.660 --> 00:33:28.940]   Um, I I would be very very concerned about the entire future of the mac if they were to drop the mac mini
[00:33:28.940 --> 00:33:31.820]   So
[00:33:31.820 --> 00:33:35.820]   Sad is he modular computer? I would love that. It would be well again if they were if they
[00:33:35.820 --> 00:33:41.580]   Mac mini meaning if they were to I said before that if it's a very interesting to me the thought of
[00:33:41.580 --> 00:33:44.300]   Creating something with a form factor of an apple tv
[00:33:44.300 --> 00:33:50.460]   But it runs mac OS even if it was running like a intel like i3 or an i5
[00:33:50.460 --> 00:33:52.620]   CPU instead of something that requires a fan
[00:33:52.620 --> 00:33:57.660]   That would be really interesting to me, but they need to have they need to have a way for someone to buy a
[00:33:58.140 --> 00:34:01.900]   Box that does not have a $800 screen attached to it built into it
[00:34:01.900 --> 00:34:07.260]   So I can simply buy it plug it into whatever monitor I have plug it in my whatever I whatever screen
[00:34:07.260 --> 00:34:11.820]   Excuse me. Uh keyboard and mouse I have the fact that they don't have a mac that costs
[00:34:11.820 --> 00:34:17.660]   Less than the cheapest iMac that's that seems like a viable product means that
[00:34:17.660 --> 00:34:20.540]   It's it's a bet to me. It's a very very bad sign
[00:34:20.540 --> 00:34:24.620]   The thing thing about this is and this is where I think apple gets bit by this
[00:34:24.620 --> 00:34:27.420]   innovation thing
[00:34:27.420 --> 00:34:31.340]   Any pc manufacturer that made this thing would just update it with the latest chit
[00:34:31.340 --> 00:34:34.860]   It's not hard to do update it with the latest chips. You don't have to change the form
[00:34:34.860 --> 00:34:36.700]   You don't have to do a whole lot
[00:34:36.700 --> 00:34:41.820]   There's been you know, you could put these new coffee lake chips in and get amazing speed bumps
[00:34:41.820 --> 00:34:49.260]   With a my with my redesigns. So it's kind of inexcusable. It really is it's a case of ignoring the mini
[00:34:49.260 --> 00:34:52.300]   Because it wouldn't take a lot to update it
[00:34:53.100 --> 00:34:55.980]   Intel has this line that's the classic appears they're called nooks
[00:34:55.980 --> 00:34:57.500]   Uh, nucs
[00:34:57.500 --> 00:35:01.260]   Yes, they're essentially like a little bit bigger than the apple tv
[00:35:01.260 --> 00:35:07.420]   But they are really you can put in whatever CPU you want i3 i5 i7 you can put in whatever memory you want
[00:35:07.420 --> 00:35:12.860]   Uh, it's certainly not it doesn't give you the thousand ports that you might want on a tower machine
[00:35:12.860 --> 00:35:16.940]   But for something that is your little desktop at home that is essentially the
[00:35:16.940 --> 00:35:21.340]   Version of the notebook that you would ordinarily keep plugged into the screen of the keyboard at all times
[00:35:21.340 --> 00:35:26.460]   It's wonderful or as something that you want to keep plugged into the living room tv at home to
[00:35:26.460 --> 00:35:29.260]   Be a media server to
[00:35:29.260 --> 00:35:31.740]   Do be a game machine whatever you want to do with it
[00:35:31.740 --> 00:35:35.500]   It works great and they can get them for less than 500 bucks and they're quite wonderful
[00:35:35.500 --> 00:35:40.620]   If apple just were to say we're gonna we're gonna just flat out steal this idea
[00:35:40.620 --> 00:35:43.740]   And we're gonna make we're just gonna make the case much much cooler
[00:35:43.740 --> 00:35:45.660]   And we're gonna have we're gonna find well
[00:35:45.660 --> 00:35:49.580]   What the hell we'll put face id on it anyway just to make it look at that much book that much cooler
[00:35:50.220 --> 00:35:56.060]   12 south has introduced anything 12 south has already upgraded their new mac smell candle
[00:35:56.060 --> 00:35:58.620]   We've got the
[00:35:58.620 --> 00:36:02.620]   Well, I can't apple upgrade the mini. This is mac candle number two the inspire
[00:36:02.620 --> 00:36:09.660]   It's sort of everyone's greatest strength is also the greatest weakness and apples got this culture where they want like they have this idea for this
[00:36:09.660 --> 00:36:11.900]   Next generation
[00:36:11.900 --> 00:36:12.700]   Yeah, yeah
[00:36:12.700 --> 00:36:16.620]   Absolute stasis they become frozen and instead of we can't do this yet
[00:36:16.780 --> 00:36:21.020]   They don't do anything and it'd be much better if they could figure out some way of just doing what you said
[00:36:21.020 --> 00:36:25.740]   Here's the next generation chip. Here's a few usb c slash thunderbolt three interconnects go crazy
[00:36:25.740 --> 00:36:29.580]   You will have something nice for you in 2008 18. Sorry
[00:36:29.580 --> 00:36:32.460]   We are expecting what in a couple of months a new
[00:36:32.460 --> 00:36:37.500]   iMac pro that's gonna come out in December and then next year mac pro and maybe mac mini
[00:36:37.500 --> 00:36:39.420]   And maybe mac 10
[00:36:39.420 --> 00:36:43.020]   10 p.m. Pacific time on December 31st. We all expecting
[00:36:45.340 --> 00:36:47.340]   They did that with the
[00:36:47.340 --> 00:36:50.220]   Pro right they
[00:36:50.220 --> 00:36:54.060]   You could order it, but you were lucky if you got it by january. Yeah, as long as five people get it
[00:36:54.060 --> 00:36:55.180]   It's kind of going
[00:36:55.180 --> 00:37:00.460]   They're going to open like a pop-up apple store on the very very tail island of the elution island chains
[00:37:00.460 --> 00:37:05.740]   So that they can get down to the last stroke of 2017 to say that well
[00:37:05.740 --> 00:37:11.100]   We've got we've sold three of them two of them to actually have apple employees who flew out just for the thing but
[00:37:11.100 --> 00:37:14.460]   Uh one of them die fix it
[00:37:14.700 --> 00:37:21.820]   apple was asked by a senator al franken to talk about the security and face id i actually was not concerned
[00:37:21.820 --> 00:37:26.780]   I do think it's important to be upfront and i expected a white paper
[00:37:26.780 --> 00:37:29.980]   Uh from apple franken says that he's happy
[00:37:29.980 --> 00:37:33.260]   With the response in particular
[00:37:33.260 --> 00:37:39.340]   Um, not just for consumer privacy, but to protect against racial gender and age bias
[00:37:39.340 --> 00:37:44.620]   The white paper is out by the way leele came out a couple. Oh, it is out. Okay good. Yeah, so that was
[00:37:44.620 --> 00:37:47.980]   White paper really should answer anybody's questions about this, right?
[00:37:47.980 --> 00:37:50.780]   Yeah, it's very it's a good one
[00:37:50.780 --> 00:37:53.740]   Yeah, there aren't even many many pictures on it. It really is
[00:37:53.740 --> 00:37:56.940]   Here's exactly how everything works
[00:37:56.940 --> 00:38:04.380]   Uh, it gives you it gives you other piece of information such as how the dot pattern isn't even consistent from uh phone to phone to phone
[00:38:04.380 --> 00:38:08.460]   So it can actually tell the phone that that projects that dot pattern if it gets
[00:38:08.460 --> 00:38:11.900]   Let's say you were able to feed it the wrong data back
[00:38:12.220 --> 00:38:15.580]   It would be able to say wait, but that's not my dot pattern that someone else is dot pattern
[00:38:15.580 --> 00:38:17.580]   Yeah, it's a real soft replay attack
[00:38:17.580 --> 00:38:21.340]   So this this came this must have come out when i was on vacation because i did i did not give
[00:38:21.340 --> 00:38:24.780]   Yeah, no, but with the scary part of this leo is that they have a new i think we talked about this
[00:38:24.780 --> 00:38:29.820]   They have a neural network that's designed to read your face and a neural network that's designed to fool the neural network
[00:38:29.820 --> 00:38:32.380]   Reading your face to make it's better reading your face
[00:38:32.380 --> 00:38:34.540]   And i don't think they know what these things do anymore
[00:38:34.540 --> 00:38:39.180]   They've just got like this and adversarial relationship that in computer time spans infinity
[00:38:39.660 --> 00:38:42.860]   Where they're fighting with each other like these those forces of dark and light
[00:38:42.860 --> 00:38:46.700]   Uh, and it's just it's it's it's like two pets that are taking care of themselves
[00:38:46.700 --> 00:38:53.420]   It's it really to show how openness is is almost like a marketing feature because these are questions people were having
[00:38:53.420 --> 00:38:58.460]   Uh, one of the things i was wondering about is what they're saying that it sort of learns if you if your
[00:38:58.460 --> 00:39:03.660]   Appearance changes that will figure out that your appearance has changed, but how does that work? Well
[00:39:04.300 --> 00:39:11.580]   If let's say that it does that you are probably already knew that does if you if it fails face id five times
[00:39:11.580 --> 00:39:14.940]   Whatever, uh, it will just say okay. We're turning off face id now
[00:39:14.940 --> 00:39:17.660]   We're gonna have to demand that you plug when you're plugging your passcode
[00:39:17.660 --> 00:39:22.300]   So if you then plug in your passcode and that that and that uh, you plug in the correct one
[00:39:22.300 --> 00:39:27.260]   What happens is the neural net says oh so i guess those five failures were actually correct
[00:39:27.260 --> 00:39:31.420]   I'm going to use those five failures to learn what was different between these
[00:39:31.820 --> 00:39:37.500]   Scans and the ones that I had one file previously. So that's why like if you if i haven't shaved for a couple of days
[00:39:37.500 --> 00:39:41.340]   It might learn that if I change my glasses to a different style of glasses
[00:39:41.340 --> 00:39:46.380]   Uh, if I decide if I buy if I buy a purple cap instead of a yellow cap for instance
[00:39:46.380 --> 00:39:51.020]   Uh, it's supposed to it will gradually figure out what the variations are over time
[00:39:51.020 --> 00:39:55.900]   So it's it's it really does seem like they thought this out very very carefully
[00:39:55.900 --> 00:39:58.780]   They did the non they did the they did the anti-samh song
[00:39:59.260 --> 00:40:05.420]   version of face id which is to assume that people are going to try to fool this and also assume that the system is going to screw up
[00:40:05.420 --> 00:40:07.340]   because the two
[00:40:07.340 --> 00:40:13.340]   Worst ways to do a face id system is one that lets people in without being you and the ones that are such a pain in the butt to use that
[00:40:13.340 --> 00:40:17.260]   You're not even bothered to use it at all. Did I tell you my customs agent story at leo
[00:40:17.260 --> 00:40:22.060]   Not yet. So I was going through customs on my way to the iphone eight
[00:40:22.060 --> 00:40:24.140]   um briefings and
[00:40:24.140 --> 00:40:29.180]   I go through and the guy says why are you here? And I said for the iphone eight launch and he said oh apple is terrible
[00:40:29.660 --> 00:40:32.140]   They're just taking pictures of all our faces
[00:40:32.140 --> 00:40:37.180]   It's going to lead to a massive face databank and cctv scanning and it's an end of privacy
[00:40:37.180 --> 00:40:41.740]   Wow sticking with my passcode because it's unbreakable. Wow you wouldn't think he'd even
[00:40:41.740 --> 00:40:47.340]   He that's really in the nexus line. Okay. So the next is for people not familiar
[00:40:47.340 --> 00:40:53.100]   In order to get to this custom agent right in front of him is either a fingerprint or iris reader
[00:40:53.100 --> 00:40:56.940]   Right that he sees you scan into right before he walked up by the way
[00:40:56.940 --> 00:40:58.940]   There's a way of that in a database
[00:40:59.180 --> 00:41:03.980]   That's why we echo facts that is not merely a secure actually i'm really impressed with what apple's doing
[00:41:03.980 --> 00:41:06.700]   uh with face id
[00:41:06.700 --> 00:41:13.580]   When it unlocks a device and when it doesn't so when a device restarts by the way or you know
[00:41:13.580 --> 00:41:15.420]   You know how sometimes you're asked for the passcode
[00:41:15.420 --> 00:41:19.340]   That means at that point it's thrown away the face id every 48 hours
[00:41:19.340 --> 00:41:24.940]   If it hasn't been unlocked or when you turn the phone off entirely it throws away the keys and regenerates them
[00:41:25.420 --> 00:41:29.500]   To improve unlock performance and keep pace with the natural changes of your face
[00:41:29.500 --> 00:41:38.140]   It augments it's stored mathematical representation over time. I'm reading from the white paper. So what with a successful unlock
[00:41:38.140 --> 00:41:43.980]   It's it may use the newly calculated representation if its quality is sufficient for a
[00:41:43.980 --> 00:41:49.420]   Finite number of additional unlocks before that data is discarded. So now it has a new representation
[00:41:49.420 --> 00:41:52.700]   Uh, it's going to use that but if it fails
[00:41:53.820 --> 00:41:56.300]   But the match quality is higher than a certain threshold
[00:41:56.300 --> 00:41:59.820]   And you immediately follow the failure by entering your passcode
[00:41:59.820 --> 00:42:04.220]   It then says oh, let me take another picture and says okay
[00:42:04.220 --> 00:42:08.940]   I'm going to augment my data with the newly calculated representation. In other words
[00:42:08.940 --> 00:42:12.860]   It learns from failure as well as from success learns from its mistakes
[00:42:12.860 --> 00:42:18.140]   Uh, I mean I I can go on this is quite impressive and uh
[00:42:18.140 --> 00:42:23.760]   There's only one major change between touch id and this and that is that it does keep the original scans of your face
[00:42:24.000 --> 00:42:27.920]   Inside the secure enclave because apple will be updating the neural engine
[00:42:27.920 --> 00:42:33.120]   And if they didn't do that you would have to go through the face scanning every time the neural engine updates
[00:42:33.120 --> 00:42:38.800]   Whereas this they just do a replay of the scan files to update the new neural engine and then go from there
[00:42:38.800 --> 00:42:44.400]   You certainly wouldn't want to redo the the setup procedure, you know a random times that would be kind of annoying
[00:42:44.400 --> 00:42:47.120]   Um
[00:42:47.120 --> 00:42:49.920]   So yeah, good. I'm glad they did release that that's fantastic
[00:42:49.920 --> 00:42:54.960]   What's the story about how it how it avoids being racist? Could you explain explain that?
[00:42:54.960 --> 00:42:57.920]   Yeah, that's probably honestly talked about that at the event
[00:42:57.920 --> 00:43:02.800]   They they went through and they did they did sample scans of a wide variety of people
[00:43:02.800 --> 00:43:07.280]   And they did these were people who were licensed them to do it and agreed for them to do it and were probably compensated
[00:43:07.280 --> 00:43:12.000]   Uh, because I know some people are concerned that there were some initial concern that apple was just using either
[00:43:12.000 --> 00:43:19.040]   Libraries of images or people's own images, but no they actually had a project setup where they brought in people of an incredibly wide different
[00:43:19.360 --> 00:43:27.040]   variety of backgrounds and cultures and areas and geographies and just scanned as many of them from as many angles as possible to start feeding
[00:43:27.040 --> 00:43:29.440]   the neural engine on this database on its uh
[00:43:29.440 --> 00:43:34.400]   chipset so that was one of the things that senator franken was worried about by the way he has
[00:43:34.400 --> 00:43:37.280]   Apparently been satisfied by apple's response
[00:43:37.280 --> 00:43:39.520]   Um
[00:43:39.520 --> 00:43:46.800]   Earlier. I realized this earlier face. Yeah hp and google face recognition systems didn't work with people with darker skin
[00:43:48.080 --> 00:43:52.720]   And yeah, or yeah, well, they produced results that were not um, appropriate. Oh, yeah, google photos
[00:43:52.720 --> 00:43:58.400]   Like in black people to gorillas that's particularly offensive
[00:43:58.400 --> 00:44:02.160]   Um, but so franken was worried a little bit worried about that
[00:44:02.160 --> 00:44:06.880]   He asked he asked about algorithmic bias. What steps did apple take to ensure its system?
[00:44:06.880 --> 00:44:12.240]   It was trained in a diverse set of faces in terms of race gender and age and obviously you just explained that
[00:44:12.240 --> 00:44:16.800]   Uh, and how is apple protecting? They do admit to having problems with very young faces
[00:44:16.800 --> 00:44:22.320]   Like I think it's under the age of 13 because they don't have as many characteristics like as many unique characteristics as older faces
[00:44:22.320 --> 00:44:24.320]   They all look like wits in church hill
[00:44:24.320 --> 00:44:31.520]   That's babies. Um, so this is this is uh, it's you know, I have to uh very impressive
[00:44:31.520 --> 00:44:35.360]   the again though, uh
[00:44:35.360 --> 00:44:41.280]   While you've used it no none of us have lived with it yet and so it will be that will be the ultimate test is whether
[00:44:41.280 --> 00:44:44.560]   It is as easy as effective as fast as touch id
[00:44:45.280 --> 00:44:49.280]   But there are I mean, I forget who said this, but there are uh lots of apple employees
[00:44:49.280 --> 00:44:54.240]   Now you see it all over social media. They went into open carry right after the event and they're all using it and tim cook
[00:44:54.240 --> 00:44:58.640]   And uh, you know, jeff williams and everyone at apple is using it to secure
[00:44:58.640 --> 00:45:05.760]   Data that is highly important and highly sensitive on their phones. So that's a good show of faith in the system
[00:45:05.760 --> 00:45:09.760]   Well, of course one person who is using the uh, iphone 10 is tim cook
[00:45:10.240 --> 00:45:16.720]   He was speaking at oxford and it it just slid right out of his pocket proving that in fact the glass back is slippery
[00:45:16.720 --> 00:45:21.280]   He uh, he just flipped he looked at a notification notice flipped it over
[00:45:21.280 --> 00:45:26.560]   So just I don't know if he was wearing particularly slippery slacks
[00:45:26.560 --> 00:45:34.400]   It fell out and made him pull his uh, socks down. I don't know what that he can know. He did he did like the lower pakart maneuver
[00:45:34.400 --> 00:45:39.280]   Is that what that's called the lower pakart? Okay?
[00:45:40.000 --> 00:45:44.000]   Well, no the the upper the the the the the the car maneuver is so okay. It's the lower
[00:45:44.000 --> 00:45:48.720]   The lower you sit down the sit down the captain's chair. The first thing you do is in a dignified way
[00:45:48.720 --> 00:45:54.560]   Tight prevent your prevent your upper tuner from blousing out by pulling it down. Yes. You want a little tight tunic
[00:45:54.560 --> 00:45:59.760]   It's funny that his hot pooter tim cook a lot now like there was another picture of him wearing a gold apple watch with a hermez
[00:45:59.760 --> 00:46:02.400]   Oh lord apple watch band
[00:46:02.400 --> 00:46:05.200]   He's got he's got to realize that he's you know, he's open to this now. Yeah
[00:46:05.200 --> 00:46:07.920]   Yeah, it's pretty it's pretty funny
[00:46:08.320 --> 00:46:10.320]   um, let's see
[00:46:10.320 --> 00:46:17.680]   I'm gonna I'm saving crack for last. So as any anybody would you know, but that's a security thing folks leo
[00:46:17.680 --> 00:46:21.520]   A little later on will address crack
[00:46:21.520 --> 00:46:26.960]   Uh, I want to get all of the other stories out of the way though before we delve into that apple
[00:46:26.960 --> 00:46:32.960]   Apparently was having talks to buy a health company crossover health
[00:46:32.960 --> 00:46:37.360]   Uh, those talks are now over without a deal
[00:46:38.160 --> 00:46:39.680]   Um
[00:46:39.680 --> 00:46:43.760]   It's a venture backed startup that runs onsite medical clinics
[00:46:43.760 --> 00:46:47.680]   So the question of megan brought this up in ios today is
[00:46:47.680 --> 00:46:52.640]   apple thinking about building and running onsite medical clinics
[00:46:52.640 --> 00:46:57.600]   I don't know. What do you think? Why what were they looking at across over health?
[00:46:57.600 --> 00:47:02.480]   Why would apple want to get into primary care? That sounds like a recipe for disaster
[00:47:03.360 --> 00:47:06.480]   Well, it it puts them into a network of local providers
[00:47:06.480 --> 00:47:10.160]   So if it were simply a way to direct people towards
[00:47:10.160 --> 00:47:16.160]   We have now telling the user we have now reached the limits of what I can help you with being an inanimate object
[00:47:16.160 --> 00:47:21.680]   Please go to i've i've set you up a medical genius bar appointment at this address right here
[00:47:21.680 --> 00:47:23.680]   um
