
[00:00:00.000 --> 00:00:05.400]   It's time for Mac break weekly Renee and Andy and Alex are all here and of course
[00:24:00.160 --> 00:24:04.880]   They're discussing it like it's a product and she has to learn how all those aspects and she's another legitimate contender
[00:24:04.880 --> 00:24:09.280]   So I think they go through those grooming processes and it's his obligation to the board of directors
[00:24:09.440 --> 00:24:13.840]   To make sure there is a line of succession if anything were to you know any tragedy were to strike
[00:24:13.840 --> 00:24:17.120]   But you know, I think if he had his dr others he'd be there for a while yet
[00:24:17.120 --> 00:24:19.520]   It's no surprise. He said that he didn't like marketing
[00:24:19.520 --> 00:24:25.760]   If there's one thing that you don't think of tim cook in is marketing you think of him a numbers guy ops guy
[00:24:25.760 --> 00:24:31.280]   Well, they said that they would give him numbers from spreadsheets. He said no that's incorrect the number you gave me three months ago was this instead
[00:24:31.280 --> 00:24:33.360]   From his memory. Of course
[00:24:33.360 --> 00:24:37.280]   But I don't mind that i'm not i'm not a marketing. I don't like marketing either
[00:24:37.280 --> 00:24:39.280]   So I i'm not I think that's fine
[00:24:39.280 --> 00:24:45.840]   Uh, and he does have johnny. I've although you get the feeling johnny's not that involved these days and day-to-day operations
[00:24:45.840 --> 00:24:48.400]   You have any sense of that at all? Yes, people still present
[00:24:48.400 --> 00:24:52.400]   I still know people who got a present to him and they still got a present to johnny
[00:24:52.400 --> 00:24:56.320]   And you look at things like like you know, there's stories about him going over the pro-mation
[00:24:56.320 --> 00:25:00.960]   The pro-motion display and the ipads over and over again. Okay, worrying about apple pencil
[00:25:00.960 --> 00:25:06.720]   Changing the the changing the material of the pin at the last the pen at the last minute and all those sort of things
[00:25:07.280 --> 00:25:12.000]   It's kind of interesting. I didn't realize this but they got a design patent for the steve jobs theater
[00:25:12.000 --> 00:25:21.280]   The exterior is patented. This is this is recent just happened. It's for the above ground glass building
[00:25:21.280 --> 00:25:28.480]   Uh the patent let me see if I can find the this is from patently apple. Let me see if i can find the language of the patent
[00:25:28.480 --> 00:25:31.200]   actually got 67 patents
[00:25:31.200 --> 00:25:33.840]   on august 28 that's today
[00:25:34.320 --> 00:25:37.760]   covering the theater quantum dot technology and 3d sensing for the uh
[00:25:37.760 --> 00:25:41.920]   True depth camera. Wow, but this is this is the patent image
[00:25:41.920 --> 00:25:46.160]   For the steve jobs theor. Oh, maybe it has to do with that carbon fiber roof, right?
[00:25:46.160 --> 00:25:53.680]   Well, I mean that that's that's well and good and all but I mean what what protection does a patent actually deliver?
[00:25:53.680 --> 00:25:57.280]   Because you know that you know that like one of the first four of those things
[00:25:57.280 --> 00:26:01.600]   Is going to be it's going to be bought by by someone in china
[00:26:02.000 --> 00:26:07.360]   Is they're going to make their own patterns make their own tooling and then start punching out these app these seep jobs theaters
[00:26:07.360 --> 00:26:10.800]   You'll be able to buy at a target for like 18 dollars all over the place
[00:26:10.800 --> 00:26:19.440]   Uh, I love it. Well, anyway, happy happy 7th anniversary, uh, tim and I guess we owe him a thank you
[00:26:19.440 --> 00:26:23.680]   I mean you point out in your article there are a few things that a few areas where tim
[00:26:23.680 --> 00:26:26.160]   uh under tim's
[00:26:26.160 --> 00:26:31.600]   Guidance apple has not done so well and we don't have to be labor those but uh,
[00:26:31.600 --> 00:26:37.680]   It's just scaling is hard. I mean the the scale of apple is so much bigger now than it's ever been and you really it's the same kind of team
[00:26:37.680 --> 00:26:43.680]   So something has to give and no no it's fair. He's 100% you know as it bats a thousand. That's not you know, it's not doable
[00:26:43.680 --> 00:26:49.920]   Yeah, also I mean look look at the difference like like rene says the difference between apple then and apple now
[00:26:49.920 --> 00:26:52.560]   right now apple
[00:26:52.560 --> 00:26:59.680]   steve was not running apple at a time where a tech company could have the power of a nation state
[00:27:00.160 --> 00:27:03.520]   And now that's the situation with apple and google and facebook
[00:27:03.520 --> 00:27:09.920]   Uh and apple now has the ability they're not just a hardware maker. They can project influence and project power
[00:27:09.920 --> 00:27:12.160]   uh, and uh
[00:27:12.160 --> 00:27:18.080]   And now they're in a position where they really you really can't have a ceo that has the sort of reputation
[00:27:18.080 --> 00:27:21.600]   Of unpredictability as as steve had
[00:27:21.600 --> 00:27:28.000]   Um, like look at what's happening with with elon musk these days where there's a lot of lack of confidence based on the fact that he's doing
[00:27:28.240 --> 00:27:33.680]   He's basically being a very passionate very expressive individual whereas tim cook is a person who will
[00:27:33.680 --> 00:27:41.520]   Absolutely cut you man just by simply leading back in his chair and folding his arms and person his lips slightly
[00:27:41.520 --> 00:27:44.880]   And looking at you until you just want to die
[00:27:44.880 --> 00:27:49.120]   And that's how that's how that's his version of uh of of being
[00:27:49.120 --> 00:27:55.680]   Of going into attack mode. He is the person that can is calm. He's smooth. He's the person that can
[00:27:56.240 --> 00:28:01.120]   Do things like again, not only come out as a as a gay man, but also
[00:28:01.120 --> 00:28:06.640]   Make sure that that's done in such a way that uh, the importance of that move is
[00:28:06.640 --> 00:28:11.680]   Is well expressed and well taken. Uh, he's the person that can uh
[00:28:11.680 --> 00:28:14.400]   protest
[00:28:14.400 --> 00:28:16.400]   uh immigration laws
[00:28:16.400 --> 00:28:20.560]   Change than immigration laws without seeming like he's just flying off the handle and going on a twitter rant
[00:28:21.040 --> 00:28:26.800]   Uh, and so that's the sort of person that needs to be in the ceo chair when apple reaches this kind of state
[00:28:26.800 --> 00:28:30.160]   And he's only 57. He's he stays healthy
[00:28:30.160 --> 00:28:34.880]   They could I mean you talk about 75 before you start to
[00:28:34.880 --> 00:28:39.200]   Maybe ask grandpa to retake his driving test just in case
[00:28:39.200 --> 00:28:45.360]   Uh, and he's not the sort of person who's going to get ants in his pants. That's the the only thing that's I don't think it's a
[00:28:45.360 --> 00:28:47.920]   problem, but the only thing that is
[00:28:48.240 --> 00:28:53.920]   Uh, an interesting point of debate is how many people how many vice presidents are willing to wait
[00:28:53.920 --> 00:28:58.960]   Five years 10 years 15 years without wanting to say well, I want to
[00:28:58.960 --> 00:29:05.360]   Basically, I I want the ability to steer my own company and design and uh, and make my
[00:29:05.360 --> 00:29:10.160]   Vision of what a company should be what it should do and what its responsibilities are
[00:29:10.160 --> 00:29:14.000]   I want to be that kind of creator. I don't want to be the person who simply has a
[00:29:14.640 --> 00:29:21.200]   You always have conversations with somebody who's actually the head person. So that's it retention is going to be interesting
[00:29:21.200 --> 00:29:23.520]   uh beyond the
[00:29:23.520 --> 00:29:25.280]   legendary
[00:29:25.280 --> 00:29:28.480]   Uh, the the people who have always been at the core of apple for the past 10 years
[00:29:28.480 --> 00:29:34.000]   How are the new people going to get along? Are they going to feel like they got a shot at the moon landing or are they feel like
[00:29:34.000 --> 00:29:39.920]   They're being pushed over to or maybe you're going to do like a space station in 1975
[00:29:40.160 --> 00:29:44.560]   76 77 what you hang around just in case we do that it's interesting you mentioned the uh
[00:29:44.560 --> 00:29:52.160]   Elon musk's uh troubles one of the things apple under cook seems to be doing is stepping up its self-driving car
[00:29:52.160 --> 00:29:54.800]   project project titan
[00:29:54.800 --> 00:29:55.760]   and uh
[00:29:55.760 --> 00:30:00.000]   According to apple and sider they've stepped up their poaching activities
[00:30:00.000 --> 00:30:04.640]   Taking more tesla employees over the last few months
[00:30:04.640 --> 00:30:08.560]   Not just in self-driving cars a lot of them though are going to project titan
[00:30:09.440 --> 00:30:12.160]   You got to think a lot of people are rethinking their commitment to tesla given
[00:30:12.160 --> 00:30:16.000]   Uh, it's an opportunity
[00:30:16.000 --> 00:30:20.480]   Uh, but they're founder based companies and a lot of called personality and those and you want to go to a place where you think you're
[00:30:20.480 --> 00:30:24.720]   Going to make the next product that changes the world and when you start to think that maybe that's not where you're
[00:30:24.720 --> 00:30:27.680]   You know, that's not what their company's added. You start looking for your options
[00:30:27.680 --> 00:30:30.720]   I love the but in addition to that apple is well
[00:30:30.720 --> 00:30:37.680]   For for a project that is as speculative as self-driving cars and as much as we love those little tech demos
[00:30:37.680 --> 00:30:40.000]   They are we are I don't think that they're anywhere near
[00:30:40.000 --> 00:30:45.600]   Delivering what we think they're gonna supposed they're supposed to deliver apple is sitting on so much money
[00:30:45.600 --> 00:30:50.800]   They can keep bankroll if you if you if you sign on to uh apple self-driving self-driving
[00:30:50.800 --> 00:30:57.040]   Project you know that they've got enough money that so long as apple maintains and interests in developing this you got a job
[00:30:57.040 --> 00:30:58.560]   and you can keep
[00:30:58.560 --> 00:31:00.560]   experimenting and developing and
[00:31:00.560 --> 00:31:05.040]   And finding encountering a movable objects and finding a way to battle through them
[00:31:05.600 --> 00:31:08.720]   While not actually having a product that's making any money for anybody
[00:31:08.720 --> 00:31:13.440]   Whereas tesla is in a position where they don't have anywhere near the war chest of apple
[00:31:13.440 --> 00:31:18.160]   They don't have the ability to keep something flying if it's not making money and now they're
[00:31:18.160 --> 00:31:22.480]   They're they're because they're actually selling cars
[00:31:22.480 --> 00:31:28.560]   They have the responsibility of manufacturing all the cars that are being bought and making sure that they get into the supply line
[00:31:28.560 --> 00:31:32.640]   It's really wonderful to be able to be in the position of designing and
[00:31:33.120 --> 00:31:38.400]   Making your money off of just clouds of air, which is what apples car people get to do
[00:31:38.400 --> 00:31:44.480]   Uh, it's whereas if you work for tesla, you're going to get like a fraction of the money and you're going to be asked
[00:31:44.480 --> 00:31:52.400]   Why is it that when it rained and someone has someone encountered a stoplight that was a little too orange instead of green
[00:31:52.400 --> 00:31:55.760]   It did the wrong thing and still make money for the company
[00:31:55.760 --> 00:32:01.600]   And it's like palm and blackberry didn't have ancillary businesses but sam song and michasoth and apple could use their
[00:32:01.920 --> 00:32:05.280]   Computer and appliance and office business to fund the next generation of products
[00:32:05.280 --> 00:32:08.240]   Yeah, and I think that also I think that the
[00:32:08.240 --> 00:32:12.800]   The tesla production pipeline seems a little bit more off the cuff
[00:32:12.800 --> 00:32:16.720]   Than the uh, than the apple production
[00:32:16.720 --> 00:32:19.920]   I'm apple has its own a tesla denies that more people are leaving
[00:32:19.920 --> 00:32:27.360]   For apple than before and they've often called apple the tesla graveyard that the employees that apple stealing from tesla are the ones
[00:32:27.360 --> 00:32:29.760]   They didn't want anyway
[00:32:29.760 --> 00:32:32.880]   So I don't know what the I don't know what the you know tesla disagrees
[00:32:32.880 --> 00:32:40.240]   But I think you're right for all those reasons what I find the reason I think it's an interesting data point is not a commentary on tesla but more
[00:32:40.240 --> 00:32:42.720]   the apple seems to be back
[00:32:42.720 --> 00:32:45.920]   Working hard on project titan. I mean for a while
[00:32:45.920 --> 00:32:51.280]   Around right everyone was leaving apple for tesla for a while yeah for a while because apple said well
[00:32:51.280 --> 00:32:54.960]   Yeah, we're not we're not gonna do a self-driving car. Are they now doing a self-driving car?
[00:32:54.960 --> 00:32:56.160]   What is going on?
[00:32:56.160 --> 00:33:01.360]   They were never not doing a self-driving car what apple what happens is you always have an executive sponsor on a product
[00:33:01.360 --> 00:33:03.840]   There's a special projects group and they do a bunch of different things
[00:33:03.840 --> 00:33:07.760]   They have AR projects and self-driving car projects and projects that aren't really public yet
[00:33:07.760 --> 00:33:10.960]   And they have an executive who sort of oversees those and presents
[00:33:10.960 --> 00:33:15.840]   You know they present up the chain until they get a green light or a red light and it's this whole complicated thing
[00:33:15.840 --> 00:33:21.120]   But dan rishio was in charge of project titan and there were a lot of people involved
[00:33:21.120 --> 00:33:24.640]   And they had a lot of very big ideas and some of the ideas they had you know
[00:33:24.640 --> 00:33:28.400]   That could have been transformed up. I really believe they could have been the next generation of computing
[00:33:28.400 --> 00:33:32.400]   But that was beyond the scope of the project and when that starts to happen
[00:33:32.400 --> 00:33:35.360]   Maybe you you have a chance of getting the future
[00:33:35.360 --> 00:33:41.440]   But you start to lose the present and so apple in one of their reviews and they have reviews all the time decided that they had to refactor
[00:33:41.440 --> 00:33:45.760]   The project and dan rishio stepped aside because he's got they're all way over work
[00:33:45.760 --> 00:33:48.560]   He's got the mac and all the hardware engineering and everything he's working on
[00:33:48.560 --> 00:33:53.440]   And and bob mass almost called him big bob, but bob mass fields came back
[00:33:54.320 --> 00:33:56.320]   You know he's he's been
[00:33:56.320 --> 00:33:58.880]   He left apple to spend more time with his money
[00:33:58.880 --> 00:34:01.120]   So you and his family could spend more time with his money
[00:34:01.120 --> 00:34:03.840]   But he's always been coming back and forth to consult and he came on
[00:34:03.840 --> 00:34:08.560]   Sort of stripped titan down to its bones again and to get to the most important essential things
[00:34:08.560 --> 00:34:13.280]   And instead of starting to make everything over from whole cloth they brought on people like
[00:34:13.280 --> 00:34:17.600]   um, i'm blanking on his last name dan from q and x dan daj
[00:34:17.600 --> 00:34:21.600]   Dan daj from q and x and he's now running software there
[00:34:22.000 --> 00:34:26.720]   And uh, you know they they have a bunch of people who are running hardware now, dog field is another one of them
[00:34:26.720 --> 00:34:33.680]   And they're really bringing it back to autonomous technology and the exploration of production vehicles. So it sort of had a reset
[00:34:33.680 --> 00:34:38.960]   But there's there's so much involved and we're seeing that when you when you look at what's happening with ar kit
[00:34:38.960 --> 00:34:46.000]   In order to have autonomous technology it has to ingest and understand images and we get to benefit with from that with ar kit right now
[00:34:46.000 --> 00:34:50.160]   But in the long haul it's like to and he's pulling it's got to understand what's a wall and what's rain
[00:34:50.560 --> 00:34:55.600]   You know, so, um, those are incredibly complicated computing projects and machine learning projects and AI projects
[00:34:55.600 --> 00:35:00.000]   And we'll get sort of the ancillary technologies for a while and then if apple can productize it
[00:35:00.000 --> 00:35:03.040]   That's great. If they can't like joins the television set in the lab
[00:35:03.040 --> 00:35:05.920]   Very expensive lab, but apple's got billions of dollars
[00:35:05.920 --> 00:35:14.160]   Yes, so somewhere somewhere someone that is someone in their house has at apple has a 36 inch tv that costs 1.8 million dollars
[00:35:14.160 --> 00:35:16.560]   So hopefully it's a very great
[00:35:16.560 --> 00:35:20.400]   Hopefully hopefully they're enjoying it, but yeah, but yeah, it's uh, what i thought was really interesting about
[00:35:20.400 --> 00:35:25.600]   These reports is that they're not just it makes absolute sense for apple to be poaching
[00:35:25.600 --> 00:35:30.880]   People who are working in the AI parts of it the the vision part of it the processing parts of it
[00:35:30.880 --> 00:35:33.200]   uh, all the stuff that can be
[00:35:33.200 --> 00:35:38.720]   That can be it's basic research that can be applied to almost anything that apple's trying to do
[00:35:38.720 --> 00:35:43.040]   I thought it was interesting though that they're also poaching people who are into auto manufacturing
[00:35:43.040 --> 00:35:46.960]   Because it does right now it doesn't seem at all
[00:35:47.520 --> 00:35:53.840]   Assured that if you want to make a killing and autonomous car technology that you want to actually make cars that
[00:35:53.840 --> 00:35:59.760]   What you would actually want to do is let forward and gm make cars and sell them the software sell them the
[00:35:59.760 --> 00:36:05.360]   I mean with with johnny. I've if they're if you're telling if you're telling them that you're we're going to be selling
[00:36:05.360 --> 00:36:10.240]   Boxes that are going to be installed inside like engine bays that will never be seen
[00:36:10.240 --> 00:36:12.080]   Are they still going to make it like well?
[00:36:12.080 --> 00:36:18.000]   We've got this new shade of ultra green and we have this notch in it that that also has an aqua marine
[00:36:18.000 --> 00:36:21.840]   For you to it, but yeah, yeah, it's it's going to be inside an engine compartment
[00:36:21.840 --> 00:36:25.680]   So yeah, but it's uh, are you going to build an entire car?
[00:36:25.680 --> 00:36:29.680]   Are you going to get an entire car certified or are you just going to be selling people?
[00:36:29.680 --> 00:36:33.040]   Electrons electrons are a lot there a lot of them out there
[00:36:33.040 --> 00:36:39.040]   There's one school for cars that have to do this hardware and software tesla's always said this you have to do it all
[00:36:39.120 --> 00:36:46.720]   You can't do effective software if you're not making the hardware to that point to yoda just to invest in half a billion dollars in uber
[00:36:46.720 --> 00:36:53.520]   Uh giving it a market valuation by the way of 72 billion. That's not because of the i'd share that's because of self-driving cars
[00:36:53.520 --> 00:36:58.720]   I'm sure you could imagine the apple shuttles being autonomous before like an apple car service comes out for example
[00:36:58.720 --> 00:37:02.560]   I yeah, I don't think that apple. I think part of what the reset was
[00:37:02.560 --> 00:37:05.680]   Um with no insider information or anything else
[00:37:05.680 --> 00:37:09.120]   I just think part of the reset was are people really going to be driving the car
[00:37:09.120 --> 00:37:14.640]   So when they if you're going to create something for the future and you're building it in 20 23 or 2025
[00:37:14.640 --> 00:37:18.480]   um, the more I think about autonomous cars and the more I sit in the back of
[00:37:18.480 --> 00:37:23.440]   You know, ubers and lifts and everything else the the more I think that the future is not going to be
[00:37:23.440 --> 00:37:28.000]   If you're building something that's not coming out until 2025 you're going to build it without a steering wheel
[00:37:28.000 --> 00:37:31.840]   Like you're you're going to tell people what they're you're going to get in and you're going you might still own it
[00:37:31.840 --> 00:37:35.520]   But you're not interested. No, that's what kugel has been saying all along. Yep
[00:37:35.600 --> 00:37:37.120]   Yep, they're right
[00:37:37.120 --> 00:37:43.440]   But but it's super difficult. There's a I don't know if any of you read that really great article about waymo
[00:37:43.440 --> 00:37:47.280]   Uh, the test the testing they're doing it open rose in uh in our zone right now
[00:37:47.280 --> 00:37:50.000]   Uh by the info post on the information.com
[00:37:50.000 --> 00:37:54.640]   But they're they're really getting it. They're really it really does a great job of explaining the problems of
[00:37:54.640 --> 00:37:58.480]   You're you've got it. We've got this thing working on the google campus
[00:37:58.480 --> 00:38:03.520]   That's awesome. But once you put it in a when you put it like in the in the in the
[00:38:04.000 --> 00:38:11.760]   Lions and the tigers of actual traffic you realize that how complicated the process of driving a car is and one of the most
[00:38:11.760 --> 00:38:15.280]   uh, one of the most important passages was taught was uh
[00:38:15.280 --> 00:38:24.080]   Making us remember how much when we're behind the wheel of the car so many of our decisions are based on experience and intuition
[00:38:24.080 --> 00:38:27.120]   Uh the ability to say that I that guy
[00:38:27.120 --> 00:38:32.160]   How many times have I avoided an accent for myself and other people by saying okay
[00:38:32.720 --> 00:38:35.360]   That guy in the Mustang is an absolute
[00:38:35.360 --> 00:38:38.800]   Jack whatever
[00:38:38.800 --> 00:38:43.840]   He's she's he's an idiot. He's he's he's not he's he's an unsafe driver
[00:38:43.840 --> 00:38:51.600]   If I he's going to need like a big like eight car length space to leap into when he realizes he's about to stop
[00:38:51.600 --> 00:38:54.800]   He's about to uh crash into a truck that's stopping short in front of him
[00:38:54.800 --> 00:39:00.080]   So i'm going to open up a big gap in front of me and sure enough at some point he leans
[00:39:00.480 --> 00:39:03.760]   A truck taps his brakes a little bit. He has to leap into safety
[00:39:03.760 --> 00:39:11.440]   And it's the ability to uh as one of the examples I put into there is the ability to look at pedestrians waiting on the side of the street
[00:39:11.440 --> 00:39:17.040]   And saying okay here is uh like a middle aged couple and here are four teenagers
[00:39:17.040 --> 00:39:23.680]   And you're in intuiting that the teenagers are more likely to jaywalk than the couple is and factoring that in your decision making
[00:39:23.680 --> 00:39:27.600]   So that that's why that's why i'm saying that we're everyone i've talked to about autonomous vehicles
[00:39:28.640 --> 00:39:34.560]   Underscores that this is this is so far away from doing if we're expecting a car to go on
[00:39:34.560 --> 00:39:39.040]   Go on the road and do everything that a that a driver does with the same a measure of safety
[00:39:39.040 --> 00:39:44.880]   We're still so far away and we're we really need a big big leap before we can actually crack that
[00:39:44.880 --> 00:39:47.280]   Never mind. I think that
[00:39:47.280 --> 00:39:53.840]   I think that yeah number one is I still think the easy the easy solution is to the first solution is to move to uh
[00:39:53.840 --> 00:39:56.880]   um
[00:39:56.880 --> 00:39:59.760]   You used to move to highways, you know, like that's where you really don't want to drive
[00:39:59.760 --> 00:40:04.000]   Is just you know, I know waymo works on the other side of that
[00:40:04.000 --> 00:40:06.160]   But but when you get on the highway you get into a car
[00:40:06.160 --> 00:40:08.320]   You know, that's a much more predictable
[00:40:08.320 --> 00:40:14.240]   Environment and I do think the offset between all those intuitive things that we do or the fact that we're talking on our phone
[00:40:14.240 --> 00:40:19.040]   Even if it's hands-free while we're eating a big mac and you know thinking about other things
[00:40:19.040 --> 00:40:22.800]   Um, you know, there's a lot of I think that the autonomous cars
[00:40:22.800 --> 00:40:25.920]   You know and and Warren Buffett's already talked about the fact that
[00:40:26.400 --> 00:40:29.760]   You know one of the risk factors that he's talking about in the future is
[00:40:29.760 --> 00:40:35.920]   Specifically that um, he's concerned that geico will make less money because of autumn, you know
[00:40:35.920 --> 00:40:42.320]   Because of this auto driving cars because they're gonna be a lot safer. I mean they really are I mean when we start looking at how crazy
[00:40:42.320 --> 00:40:44.960]   Humans are at driving
[00:40:44.960 --> 00:40:47.440]   the uh paragraph from uh
[00:40:47.440 --> 00:40:51.040]   Amira friday's art article today about waymo's big ambitions
[00:40:51.040 --> 00:40:53.920]   slowed by tech trouble you tell me if this is
[00:40:54.720 --> 00:40:56.720]   tech trouble or human trouble
[00:40:56.720 --> 00:40:59.520]   Two weeks ago lisa hargis
[00:40:59.520 --> 00:41:05.680]   An administrative assistant who works in an office a stones throw away from waymo's vehicle depot said she nearly hit a waymo
[00:41:05.680 --> 00:41:07.600]   Chrysler pacifica minivan
[00:41:07.600 --> 00:41:10.720]   Because it stopped abruptly while making a right turn at the intersection
[00:41:10.720 --> 00:41:18.720]   Go she shouted angrily she said after getting stuck in the intersection midway through her left turn cars have been driving behind the waymo van also stopped
[00:41:18.720 --> 00:41:20.880]   I was gonna murder someone she said
[00:41:21.840 --> 00:41:23.840]   Yeah, human error
[00:41:23.840 --> 00:41:25.840]   Or like waymo error
[00:41:25.840 --> 00:41:31.760]   So I again psychology is gonna factor into this so one of the one of the quote problems unquote is that uh waymo
[00:41:31.760 --> 00:41:36.400]   Waymo vans they when they when there's a stop sign they stop for three seconds
[00:41:36.400 --> 00:41:42.960]   And most people are like well so long as I slow down so long as I tap the brakes while cruising through this intersection
[00:41:42.960 --> 00:41:44.080]   That's fine
[00:41:44.080 --> 00:41:50.960]   And so people get very annoyed by that and you're gonna have a problem where when people recognize that the car in front of them is an autonomous vehicle
[00:41:50.960 --> 00:41:56.880]   Is or specifically it's a waymo car. They're gonna think oh my every single prejudice they might have against
[00:41:56.880 --> 00:41:59.440]   Against elderly drivers. It's gonna say well
[00:41:59.440 --> 00:42:01.840]   I'm that I'm going to just simply go
[00:42:01.840 --> 00:42:06.800]   Cross the cross the double yellow line go around it and take my right turn around this car
[00:42:06.800 --> 00:42:10.320]   Because partly because I know that I don't want to be stuck behind this waymo car
[00:42:10.320 --> 00:42:14.080]   But also because I know that the waymo the waymo software is such a wimp
[00:42:14.080 --> 00:42:19.920]   That what's it's gonna all it's gonna do is it's gonna put on its own brakes and let me go around it to prevent a crash from happening
[00:42:20.560 --> 00:42:23.680]   And and part of the psychology is knowing that you are not
[00:42:23.680 --> 00:42:27.680]   You are not having combat with another human driver you are
[00:42:27.680 --> 00:42:29.360]   You are
[00:42:29.360 --> 00:42:32.240]   Gaming the system and putting one over on a machine
[00:42:32.240 --> 00:42:38.240]   So we're there's a lot of this we're not going to find out about until we have hundreds of thousands of
[00:42:38.240 --> 00:42:44.240]   Autonomous vehicles on the road. We're going to have to look at the first 1000 terrible accidents very very carefully before we figure out
[00:42:44.240 --> 00:42:47.280]   How to actually make this into a real product
[00:42:47.760 --> 00:42:51.360]   Let's take a break because we've been avoiding really the the topic of course of
[00:42:51.360 --> 00:42:55.200]   The apple event and all that stuff. We'll get to that
[00:42:55.200 --> 00:42:56.240]   Does an apple event?
[00:42:56.240 --> 00:42:56.960]   What?
[00:42:56.960 --> 00:43:01.760]   Get to that in a second. I'm just what I'm hoping if I take a long enough time you'll get your invitation and then we can
[00:43:01.760 --> 00:43:07.280]   Save with certainty when the event is I showed it a brought to you by literally cash fly
[00:43:07.280 --> 00:43:16.560]   We uh, we uh all of our audio all of our video when you download it comes to you from cash fly petabytes of data every month literally
[00:43:17.360 --> 00:43:23.360]   And never a hitch right when you when you subscribe to our podcast they just appear on your phone. They just appear
[00:43:23.360 --> 00:43:28.880]   Automatically, it's all coming from cash fly. It's a contact delivery network a CDN
[00:43:28.880 --> 00:43:31.760]   And if you use a CDN
[00:43:31.760 --> 00:43:38.560]   You know that the 3 a.m. Frantic comb phone calls that your CDN is out are not a good thing
[00:43:38.560 --> 00:43:44.560]   And every and if the tech support is unreliable every second your site is down as money lost on your watch
[00:43:45.760 --> 00:43:53.280]   You need a CDN that works. You need cash fly cash fly has been building trusted CDN relationships since 2002
[00:43:53.280 --> 00:43:57.120]   We've been using them since 2005 or 6 I want to say
[00:43:57.120 --> 00:44:04.080]   No more outages 100 availability with their bulletproof 100 sla
[00:44:04.080 --> 00:44:09.120]   And a great team we talked to him often of smart easy to talk to agile techs
[00:44:09.120 --> 00:44:14.800]   And they can answer your question. I love this without having to pass you around they they can answer it the first time
[00:44:15.760 --> 00:44:23.200]   If you're in software if you're a podcaster any other business that relies on having data readily available to your customers
[00:44:23.200 --> 00:44:26.320]   You don't know what your bandwidth consumption is going to be
[00:44:26.320 --> 00:44:35.440]   Uh, and it's frustrating when a company will lock you into a contract that's not flexible not built around your unique patterns of uh, demand and traffic
[00:44:35.440 --> 00:44:39.840]   Make this the last month your CDN bill gives you a headache say goodbye
[00:44:39.840 --> 00:44:42.800]   to logging in every day
[00:44:43.200 --> 00:44:46.480]   Trying to track your usage so you know what the bill is going to be at the end of the month
[00:44:46.480 --> 00:44:49.920]   On average customers who switch to cash fly save more than 20
[00:44:49.920 --> 00:44:53.840]   Percent we honestly twit wouldn't exist if it weren't for cash fly. We couldn't afford
[00:44:53.840 --> 00:44:58.400]   Those other guys just imagine what you could do with that 20 percent with your time
[00:44:58.400 --> 00:45:03.200]   When you don't have to micromanage your usage or worry about having to commit to a long-term contract
[00:45:03.200 --> 00:45:09.360]   Don't buy CDNs that way go to cash fly. They're reliable network. They're great prices
[00:45:10.080 --> 00:45:14.880]   We rely on them. We have for more than a decade you should too and we have a special offer for you
[00:45:14.880 --> 00:45:22.080]   Cash fly is giving away a complimentary detail analysis of your current CDN bill and usage trends let them take a look at it
[00:45:22.080 --> 00:45:25.760]   And tell you if they can save you 20 percent or more
[00:45:25.760 --> 00:45:28.400]   Why leave it on the table go to twit.com
[00:45:28.400 --> 00:45:32.640]   And learn more twit.com
[00:45:32.640 --> 00:45:35.760]   Thank you cash flight
[00:45:35.760 --> 00:45:38.560]   We've used them for a long time as well and yeah, and uh
[00:45:39.280 --> 00:45:45.120]   It's hard to crash them in fact. It's impossible like I've had I did get a call from at one time said you're moving a gig a second
[00:45:45.120 --> 00:45:49.520]   Matt levine is one of the founders and he's he's been our champion
[00:45:49.520 --> 00:45:53.200]   He came to me must be 2005 2006
[00:45:53.200 --> 00:46:00.640]   And said we'd like to host your content and and and you know what it was just audio then and then a few years later. We say um matt
[00:46:00.640 --> 00:46:04.320]   We'd like to also offer gigabyte sized
[00:46:05.200 --> 00:46:10.400]   Video files that and he said no problem. He's always been great. Uh, it's been great
[00:46:10.400 --> 00:46:15.520]   Really love cash fly and on it in all honesty this would not exist if it weren't for cash fly
[00:46:15.520 --> 00:46:21.440]   So if you if you're looking for a CDN do them a favor dude because they did us a big favor cash fly twit.com
[00:46:21.440 --> 00:46:25.280]   All right enough enough we're gonna talk about
[00:46:25.280 --> 00:46:31.040]   Ming chi quote he's backing down on the apple pencil rumor
[00:46:31.840 --> 00:46:36.880]   No, no pencil support for 2018 iPhones. He's he's let us down. He
[00:46:36.880 --> 00:46:40.480]   Transforce
[00:46:40.480 --> 00:46:41.600]   Fighting
[00:46:41.600 --> 00:46:46.640]   Transforce said the rumor that I couldn't tell if the china daily was just regurgitating it or corroborating it
[00:46:46.640 --> 00:46:50.560]   And i'm being Ming chi quote says no no stop it both of you
[00:46:50.560 --> 00:46:54.720]   He also says and I don't know if this is something to worry about that the
[00:46:55.520 --> 00:46:59.360]   Point one inch model. That's the little cheap one. No, it won't be cheap
[00:46:59.360 --> 00:47:06.560]   But a little less expensive one has been reportedly plagued by production issues and will be available slightly later due to its production schedule
[00:47:06.560 --> 00:47:08.160]   We heard that
[00:47:08.160 --> 00:47:14.320]   About the iPhone 10 and it didn't really come true, right? iPhone 10 shipped on November 2nd. Oh, okay. So it was a little later
