
[00:00:00.000 --> 00:00:03.340]   [music playing]
[00:14:11.960 --> 00:14:14.760]   Did you have the first generation?
[00:14:14.760 --> 00:14:16.260]   Yeah, I picked one up when I came over
[00:14:16.260 --> 00:14:17.760]   to do one of the new video expos.
[00:14:17.760 --> 00:14:20.560]   So I had the first generation phone.
[00:14:20.560 --> 00:14:21.260]   Yeah.
[00:14:21.260 --> 00:14:24.160]   I have to say this-- it is more than fins.
[00:14:24.160 --> 00:14:27.060]   I have to give Apple a little more credit than that, Chris,
[00:14:27.060 --> 00:14:30.960]   because there are some software features that are great.
[00:14:31.060 --> 00:14:32.760]   OK, I want to ask all of you one by one.
[00:14:32.760 --> 00:14:35.960]   What do you think of the shake to shuffle idea?
[00:14:35.960 --> 00:14:37.160]   Robert, what do you think of that?
[00:14:37.160 --> 00:14:38.260]   Do you like to shake the--
[00:14:38.260 --> 00:14:39.960]   I'm intrigued by that.
[00:14:39.960 --> 00:14:41.260]   I mean, I might really like that,
[00:14:41.260 --> 00:14:43.760]   but I'm intrigued that if you're running with it--
[00:14:43.760 --> 00:14:45.860]   It might be shaking.
[00:14:45.860 --> 00:14:49.260]   Yeah, you might suddenly find your 15 songs in three steps.
[00:14:49.260 --> 00:14:52.360]   I mean, presumably you need to shake it quite violently.
[00:14:52.360 --> 00:14:53.860]   I mean, it's just--
[00:14:53.860 --> 00:14:55.360]   I'm not going to know until I have a go with one,
[00:14:55.360 --> 00:14:58.860]   but if you're running along and strapped to your arm,
[00:14:58.860 --> 00:15:00.860]   you're just hearing the beginning bit of--
[00:15:00.960 --> 00:15:01.960]   Right.
[00:15:01.960 --> 00:15:04.460]   Procal harem, and then you're suddenly under the Beatles.
[00:15:04.460 --> 00:15:07.460]   A wider shade of-- you can weaken, we're good.
[00:15:07.460 --> 00:15:10.360]   So what do you think, Don?
[00:15:10.360 --> 00:15:11.460]   The shake.
[00:15:11.460 --> 00:15:12.460]   You like that?
[00:15:12.460 --> 00:15:14.260]   Yeah, it doesn't do a lot for me, to be honest,
[00:15:14.260 --> 00:15:16.360]   but I think that's-- I think there are other phones
[00:15:16.360 --> 00:15:17.360]   that have a similar thing.
[00:15:17.360 --> 00:15:19.060]   I think my daughter has-- Oh, really?
[00:15:19.060 --> 00:15:21.660]   Yeah, yeah, she has a Sony Ericsson phone
[00:15:21.660 --> 00:15:25.160]   that has a shake to shuffle.
[00:15:25.160 --> 00:15:27.460]   I think it's a shake to move on to the next track,
[00:15:27.460 --> 00:15:28.660]   rather than just a shuffle.
[00:15:28.660 --> 00:15:30.160]   Oh, yeah, that sounds familiar.
[00:15:30.260 --> 00:15:31.260]   Yeah.
[00:15:31.260 --> 00:15:33.160]   Yeah, so that's something-- they've got the accelerometer in there.
[00:15:33.160 --> 00:15:35.760]   They might as well use it for a few gimmicky things as well.
[00:15:35.760 --> 00:15:37.760]   What-- Chris, have you played with a shake to shuffle?
[00:15:37.760 --> 00:15:39.160]   What is-- how does that work?
[00:15:39.160 --> 00:15:40.160]   Are you shaking?
[00:15:40.160 --> 00:15:41.360]   You have to be careful how you shake?
[00:15:41.360 --> 00:15:42.160]   No, you don't.
[00:15:42.160 --> 00:15:44.260]   Actually, you have to shake it really big, or--
[00:15:44.260 --> 00:15:45.060]   Oh, you do?
[00:15:45.060 --> 00:15:46.960]   Yeah, I talked to an apple rip there,
[00:15:46.960 --> 00:15:49.160]   because I was shaking it sort of normally,
[00:15:49.160 --> 00:15:51.160]   and you really have to sort of shake it in anger.
[00:15:51.160 --> 00:15:52.460]   Like, I hate this song.
[00:15:52.460 --> 00:15:53.560]   Don't play it.
[00:15:53.560 --> 00:15:56.660]   And then, you know, then it goes on, and it lets you know--
[00:15:56.660 --> 00:15:58.960]   because I had that-- you know, what about you
[00:15:59.060 --> 00:16:01.260]   when you're running exactly that idea?
[00:16:01.260 --> 00:16:02.560]   You said, no, no, we tested it with that,
[00:16:02.560 --> 00:16:04.260]   and it won't do it when you're running.
[00:16:04.260 --> 00:16:05.660]   And so, well, what about a trampoline?
[00:16:05.660 --> 00:16:07.260]   And he said, well, we didn't do the trampoline.
[00:16:07.260 --> 00:16:08.460]   [laughter]
[00:16:08.460 --> 00:16:11.260]   And, you know, I thought, well, okay.
[00:16:11.260 --> 00:16:13.160]   Well, you guys haven't really tested it, have you?
[00:16:13.160 --> 00:16:14.860]   What kind of shoddy organization is?
[00:16:14.860 --> 00:16:16.160]   You don't do trampoline.
[00:16:16.160 --> 00:16:19.560]   Yeah, he wasn't going to commit to the trampoline.
[00:16:19.560 --> 00:16:22.060]   But he tried the mechanical bull, huh?
[00:16:22.060 --> 00:16:23.260]   Oh, no talk of that.
[00:16:23.260 --> 00:16:25.260]   But he was dead sure about jogging.
[00:16:25.360 --> 00:16:29.960]   And really, I did try sort of modestly shaking the thing,
[00:16:29.960 --> 00:16:30.960]   and it didn't go.
[00:16:30.960 --> 00:16:32.660]   So you really have to give it a good snap,
[00:16:32.660 --> 00:16:34.360]   and then it will move along.
[00:16:34.360 --> 00:16:38.160]   I think, you know, to me, I just think it's cool.
[00:16:38.160 --> 00:16:40.660]   It's a silly little thing.
[00:16:40.660 --> 00:16:44.760]   But I just think that that's the kind of thing consumers grab onto.
[00:16:44.760 --> 00:16:48.660]   It's, you know, we as tech people maybe are less impressed.
[00:16:48.660 --> 00:16:51.660]   But a consumer looks at the color and shakes the shuffle,
[00:16:51.660 --> 00:16:53.360]   and they go, oh, they go buy that.
[00:16:53.460 --> 00:16:56.060]   I mean, that's the kind of thing that sells nanos, right?
[00:16:56.060 --> 00:16:58.060]   And it's going to look great in the commercial, too.
[00:16:58.060 --> 00:17:01.460]   Mechanical bull, I'm telling you.
[00:17:01.460 --> 00:17:04.060]   How about the rest of the software?
[00:17:04.060 --> 00:17:05.660]   They've changed cover flow.
[00:17:05.660 --> 00:17:06.660]   Whoa.
[00:17:06.660 --> 00:17:08.460]   Are you shaking your microphone?
[00:17:08.460 --> 00:17:11.060]   They changed cover flow.
[00:17:11.060 --> 00:17:12.460]   They changed.
[00:17:12.460 --> 00:17:14.660]   They've got a musical genius built in.
[00:17:14.660 --> 00:17:16.860]   Now, this is the genius as part of the new iTunes too.
[00:17:16.860 --> 00:17:20.660]   So maybe we should talk about that in both contexts.
[00:17:20.760 --> 00:17:24.960]   The idea of the genius, by the way, can we give apples and props
[00:17:24.960 --> 00:17:27.260]   for just making genius be their word?
[00:17:27.260 --> 00:17:30.460]   You know, they got the genius bar at the Apple Store.
[00:17:30.460 --> 00:17:32.560]   And now they got this genius built in the iTunes.
[00:17:32.560 --> 00:17:33.860]   I see a trend here.
[00:17:33.860 --> 00:17:35.660]   And I think this is probably a good thing for Apple.
[00:17:35.660 --> 00:17:37.560]   Yeah, no, they've patented it.
[00:17:37.560 --> 00:17:38.360]   So it's.
[00:17:38.360 --> 00:17:41.360]   They own the word genius is theirs.
[00:17:41.360 --> 00:17:44.060]   Yeah, you have to have an IQ over 240.
[00:17:44.060 --> 00:17:44.660]   That's where the way.
[00:17:44.660 --> 00:17:45.760]   Sorry, Stephen Hawking.
[00:17:45.760 --> 00:17:46.760]   Sorry, Einstein.
[00:17:46.760 --> 00:17:48.660]   No, you can't use it.
[00:17:48.760 --> 00:17:50.860]   Well, yeah, I'm going to put a TM next to you.
[00:17:50.860 --> 00:17:51.360]   Right.
[00:17:51.360 --> 00:17:54.460]   You can say Stephen Hawking pretty smart guy, but not genius.
[00:17:54.460 --> 00:17:57.160]   So what is what is a genius dude?
[00:17:57.160 --> 00:17:58.160]   Chris, how does that work?
[00:17:58.160 --> 00:18:02.360]   Well, the idea of genius is and you first have to initiate it
[00:18:02.360 --> 00:18:06.460]   on the in iTunes and it's it's for those situations where you've
[00:18:06.460 --> 00:18:07.460]   got a track in there.
[00:18:07.460 --> 00:18:10.160]   Let's say you're listening to an Elvis Costello track and say,
[00:18:10.160 --> 00:18:13.060]   I really like this and I want to listen to something kind of like
[00:18:13.060 --> 00:18:18.460]   in this genre or vein and you send up your library to the
[00:18:18.560 --> 00:18:24.460]   cloud when we get another cloud thing where it's analyzed and Apple
[00:18:24.460 --> 00:18:27.960]   check to the other people listening to for certain tracks.
[00:18:27.960 --> 00:18:30.260]   So I choose my Elvis Costello track.
[00:18:30.260 --> 00:18:32.260]   I say hit the genius button.
[00:18:32.260 --> 00:18:35.160]   Give me something else and it may give me Dave Edmonds,
[00:18:35.160 --> 00:18:38.460]   Nick Lowe, Ian Drury, Carly Carter because they were married.
[00:18:38.460 --> 00:18:42.160]   Oh, so it's not just so Pandora would be kind of because it's
[00:18:42.160 --> 00:18:45.060]   the same type of song, but this is more than just the same type of
[00:18:45.060 --> 00:18:45.660]   song.
[00:18:45.960 --> 00:18:48.360]   Yeah, it's it's for sale.
[00:18:48.360 --> 00:18:50.260]   I did it with an Elvis Costello track and it did.
[00:18:50.260 --> 00:18:52.760]   You gave you rock pile and Nick Lowe and that's
[00:18:52.760 --> 00:18:53.260]   that's true.
[00:18:53.260 --> 00:18:56.460]   There's some associations here, but it's about what other people
[00:18:56.460 --> 00:18:59.760]   are listening to and the more people that do this, the more
[00:18:59.760 --> 00:19:00.960]   related you're going to get.
[00:19:00.960 --> 00:19:01.660]   So that's interesting.
[00:19:01.660 --> 00:19:02.660]   It's more it's not compute,
[00:19:02.660 --> 00:19:04.060]   purely a computer algorithm.
[00:19:04.060 --> 00:19:07.260]   It's also based on what other people are listening to.
[00:19:07.260 --> 00:19:07.960]   Yeah.
[00:19:07.960 --> 00:19:10.760]   And for instance, right now it doesn't know Al Green on my it
[00:19:10.760 --> 00:19:11.360]   doesn't it.
[00:19:11.360 --> 00:19:13.060]   I mean, I'm
[00:19:13.160 --> 00:19:14.860]   not countably it doesn't know Al Green.
[00:19:14.860 --> 00:19:18.560]   However, I presume that eventually enough people who do know
[00:19:18.560 --> 00:19:21.460]   Al Green are going to use this and it will start to know what
[00:19:21.460 --> 00:19:22.360]   what's related.
[00:19:22.360 --> 00:19:26.260]   Yeah, for example, I had the Ethiopian singer Gigi on my
[00:19:26.260 --> 00:19:29.660]   on my library and it has no idea who she is.
[00:19:29.660 --> 00:19:30.260]   Right.
[00:19:30.260 --> 00:19:35.160]   All right, I'm looking at Alison Krauss recommends Josh Turner,
[00:19:35.160 --> 00:19:37.660]   Nicole Creek, Vince Gill, Randy Trout, has a little country.
[00:19:37.660 --> 00:19:38.260]   John Denver.
[00:19:38.260 --> 00:19:38.760]   Thank God.
[00:19:38.760 --> 00:19:39.560]   I'm a country boy.
[00:19:39.560 --> 00:19:40.660]   I don't think so.
[00:19:41.860 --> 00:19:42.360]   I don't.
[00:19:42.360 --> 00:19:43.760]   Well, there's no taste filter built in.
[00:19:43.760 --> 00:19:45.560]   Dolly Parton Jolene.
[00:19:45.560 --> 00:19:47.060]   Yeah, sure.
[00:19:47.060 --> 00:19:48.360]   Little broad.
[00:19:48.360 --> 00:19:49.860]   Very broad.
[00:19:49.860 --> 00:19:51.960]   But they make money on this, don't they?
[00:19:51.960 --> 00:19:53.760]   Because I noticed right next to it by and I mean, he's a
[00:19:53.760 --> 00:19:54.960]   sense by 99 cents.
[00:19:54.960 --> 00:19:56.160]   This is a way to sell music.
[00:19:56.160 --> 00:19:59.860]   Yeah, and it's an important thing because you know, now that
[00:19:59.860 --> 00:20:04.260]   rating is not pushing recommendations to us, really.
[00:20:04.260 --> 00:20:06.760]   And everybody's plugged into iPods and headphones.
[00:20:06.760 --> 00:20:08.460]   So you're not talking to anybody about music.
[00:20:08.460 --> 00:20:10.560]   Where do you start getting recommendations?
[00:20:10.760 --> 00:20:14.160]   Amazon is already doing this and another outfit like it.
[00:20:14.160 --> 00:20:18.560]   So it's a nice idea to figure out how to discover new music.
[00:20:18.560 --> 00:20:22.260]   For example, I downloaded the South by Southwest recording
[00:20:22.260 --> 00:20:24.260]   every year, which are like 700.
[00:20:24.260 --> 00:20:25.060]   They're torrents.
[00:20:25.060 --> 00:20:25.560]   Yeah.
[00:20:25.560 --> 00:20:26.760]   Yeah, huge amount.
[00:20:26.760 --> 00:20:29.360]   And I haven't taken the time to go through all of them.
[00:20:29.360 --> 00:20:32.160]   And iTunes is smart enough to actually recognize some of those
[00:20:32.160 --> 00:20:32.560]   artists.
[00:20:32.560 --> 00:20:35.860]   So I've been able to put together Genius Playlist and discover
[00:20:35.860 --> 00:20:38.160]   new artists out of this massive music I haven't listened to.
[00:20:38.160 --> 00:20:40.160]   So I'm seeing here.
[00:20:40.260 --> 00:20:41.660]   I see the Genius sidebar.
[00:20:41.660 --> 00:20:44.160]   I see it makes it says what does a couple of interesting things
[00:20:44.160 --> 00:20:46.260]   and says songs you're missing, which I kind of like.
[00:20:46.260 --> 00:20:47.460]   Wait a minute.
[00:20:47.460 --> 00:20:49.360]   It can't find matches for the Beatles.
[00:20:49.360 --> 00:20:51.160]   That's a little bit of a battle.
[00:20:51.160 --> 00:20:52.060]   The store yet.
[00:20:52.060 --> 00:20:54.860]   I think it's only stuff that they've already got in the store
[00:20:54.860 --> 00:20:55.860]   that they can actually match against.
[00:20:55.860 --> 00:20:58.060]   I think some of the problems that you're having with it,
[00:20:58.060 --> 00:21:00.760]   sort of not identifying stuff is due to the metadata.
[00:21:00.760 --> 00:21:02.560]   So if you don't buy it from the store, if it's something
[00:21:02.560 --> 00:21:05.060]   that you've ripped or got from other sources and you either
[00:21:05.060 --> 00:21:07.760]   put your own metadata in or its metadata from.
[00:21:08.460 --> 00:21:11.260]   Is it grace knows if that doesn't match exactly what
[00:21:11.260 --> 00:21:13.160]   expecting they can't do a match on it.
[00:21:13.160 --> 00:21:14.360]   Oh, that's interesting.
[00:21:14.360 --> 00:21:15.360]   Yeah, I've seen it.
[00:21:15.360 --> 00:21:16.560]   It's really strange actually.
[00:21:16.560 --> 00:21:18.960]   I mean, I like the Genius facility, but I've seen a couple of
[00:21:18.960 --> 00:21:22.360]   tweets today from people who have only seen one half of it
[00:21:22.360 --> 00:21:24.960]   because people I think are seeing the Genius sidebar,
[00:21:24.960 --> 00:21:27.660]   you know, which is where they're actually sort of identifying
[00:21:27.660 --> 00:21:29.560]   tracks that you haven't got or albums that you haven't got.
[00:21:29.560 --> 00:21:30.560]   So you can go and buy them.
[00:21:30.560 --> 00:21:34.260]   But people are tending to miss the Genius playlist over in the
[00:21:34.260 --> 00:21:37.360]   left hand sidebar and the little Genius button at the bottom.
[00:21:37.460 --> 00:21:39.460]   And I think some people I think they need to do just just do a
[00:21:39.460 --> 00:21:42.260]   little bit of education to so people realize that it's not just
[00:21:42.260 --> 00:21:43.960]   to sell your music, you stretch a user own.
[00:21:43.960 --> 00:21:45.160]   Well, help me because I'm looking.
[00:21:45.160 --> 00:21:46.360]   I don't see a Genius button.
[00:21:46.360 --> 00:21:47.360]   Where would I see that?
[00:21:47.360 --> 00:21:49.160]   That bottom right hand corner.
[00:21:49.160 --> 00:21:52.260]   If you highlight a track and then there should be a little
[00:21:52.260 --> 00:21:55.060]   Genius button down on the bottom toolbar.
[00:21:55.060 --> 00:21:57.960]   Oh, that little nuclear, the little molecule there.
[00:21:57.960 --> 00:21:58.460]   All right.
[00:21:58.460 --> 00:22:01.460]   So if you press that, oh, it made a play list of all of the
[00:22:01.460 --> 00:22:04.460]   stuff and that stuff that you already got within your iTunes
[00:22:04.460 --> 00:22:04.960]   library.
[00:22:04.960 --> 00:22:06.360]   Oh, that's a pretty good.
[00:22:06.460 --> 00:22:07.460]   Oh, that's good.
[00:22:07.460 --> 00:22:10.660]   Well, the number of times, I mean, I've created my own playlists
[00:22:10.660 --> 00:22:11.660]   and it's easy to do.
[00:22:11.660 --> 00:22:14.260]   But there are times when you just don't feel like making a
[00:22:14.260 --> 00:22:16.860]   playlist because you already haven't got one for the, you know,
[00:22:16.860 --> 00:22:17.660]   for the mood you're in.
[00:22:17.660 --> 00:22:19.460]   And I find that a real boon.
[00:22:19.460 --> 00:22:22.160]   It's a fantastic way just to listen to, you know, a whole load of
[00:22:22.160 --> 00:22:25.160]   music that you've forgotten about or, you know, it'll just go
[00:22:25.160 --> 00:22:28.260]   away and pull together a playlist of things that suit your mood
[00:22:28.260 --> 00:22:28.860]   at the time.
[00:22:28.860 --> 00:22:31.060]   It's a pretty broad.
[00:22:31.060 --> 00:22:32.060]   Where's again?
[00:22:32.060 --> 00:22:34.460]   This is early days and I presumably gets more refined as more
[00:22:34.560 --> 00:22:38.960]   people use it, but I clicked on a yes song and it put Crosby
[00:22:38.960 --> 00:22:41.960]   stills a Nash, Neil Young rolling stones, Derek in the
[00:22:41.960 --> 00:22:45.460]   Domino's Roxy music, talking heads, Steely Dan, and kind of did
[00:22:45.460 --> 00:22:47.560]   a classic rock thing with this Joni Mitchell in there.
[00:22:47.560 --> 00:22:48.360]   There's Rush.
[00:22:48.360 --> 00:22:52.360]   It's an interesting choice and yet, of course, these are all my
[00:22:52.360 --> 00:22:52.960]   songs.
[00:22:52.960 --> 00:22:53.760]   I like it.
[00:22:53.760 --> 00:22:55.360]   I mean, it's a good looking playlist.
[00:22:55.360 --> 00:22:57.960]   I would listen to this and it's varied, which is nice.
[00:22:57.960 --> 00:22:58.760]   Yeah.
[00:22:58.760 --> 00:22:59.060]   Yeah.
[00:22:59.060 --> 00:22:59.760]   Will it does it?
[00:22:59.760 --> 00:23:03.160]   I got the impression from the way Steve talked that it might
[00:23:03.660 --> 00:23:05.760]   also know more than just genres.
[00:23:05.760 --> 00:23:08.360]   It might know beats and feelings.
[00:23:08.360 --> 00:23:10.160]   Is that the case or no?
[00:23:10.160 --> 00:23:12.860]   Well, I think it looks at various things.
[00:23:12.860 --> 00:23:15.060]   I think it also looks at number of times you've played it
[00:23:15.060 --> 00:23:18.760]   and if you have played it for a while and it must be quite a
[00:23:18.760 --> 00:23:20.760]   complex algorithm that puts together to do it.
[00:23:20.760 --> 00:23:22.860]   Did Apple tell you anything, Chris, about it?
[00:23:22.860 --> 00:23:24.260]   No, they didn't.
[00:23:24.260 --> 00:23:26.960]   They just, you know, they put up the graphic thing.
[00:23:26.960 --> 00:23:30.460]   We've got 18 million people feeding this thing and therefore
[00:23:30.460 --> 00:23:33.060]   as they do, this gets much more intelligent.
[00:23:33.160 --> 00:23:34.860]   They didn't explain in what way.
[00:23:34.860 --> 00:23:36.660]   How it becomes smarter.
[00:23:36.660 --> 00:23:39.460]   So Bobby, Bobby, you've had five minutes to play with it.
[00:23:39.460 --> 00:23:40.060]   What do you think?
[00:23:40.060 --> 00:23:40.460]   Yeah.
[00:23:40.460 --> 00:23:42.360]   No, I'm, yeah.
[00:23:42.360 --> 00:23:45.360]   I'm so embarrassed.
[00:23:45.360 --> 00:23:47.260]   I hadn't done this before, but this is really good.
[00:23:47.260 --> 00:23:48.060]   I really love this.
[00:23:48.060 --> 00:23:50.360]   I mean, because the frustrating thing for me is I'm on my
[00:23:50.360 --> 00:23:54.160]   laptop here, which is not my main computer with all my
[00:23:54.160 --> 00:23:54.560]   songs on.
[00:23:54.560 --> 00:23:56.960]   So I've got a pathetic, pathetic, I'm a hand of songs
[00:23:56.960 --> 00:23:57.260]   on it.
[00:23:57.260 --> 00:24:00.660]   Got quite a few audio books, but it really is fun.
[00:24:00.660 --> 00:24:03.060]   I think this is, but after all, I poo pooed about the
[00:24:03.060 --> 00:24:04.560]   new iPods.
[00:24:04.560 --> 00:24:05.560]   This is stunning.
[00:24:05.560 --> 00:24:06.860]   I didn't know this was even happening.
[00:24:06.860 --> 00:24:07.560]   This is just brilliant.
[00:24:07.560 --> 00:24:09.660]   And I mean, I'm wondering whether it does do it with things
[00:24:09.660 --> 00:24:10.360]   like audio books.
[00:24:10.360 --> 00:24:11.260]   I mean, I'm wondering if it does it.
[00:24:11.260 --> 00:24:13.160]   Unfortunately, I'm trying to try it immediately.
[00:24:13.160 --> 00:24:13.460]   Yeah.
[00:24:13.460 --> 00:24:14.760]   Wouldn't that be nice?
[00:24:14.760 --> 00:24:17.560]   Wouldn't that be cool if it would suggest different audio
[00:24:17.560 --> 00:24:17.860]   books?
[00:24:17.860 --> 00:24:20.460]   You know, in that, I mean, it may be a will do eventually,
[00:24:20.460 --> 00:24:23.160]   but I mean, this is really good though, because that's the
[00:24:23.160 --> 00:24:24.060]   thing I never do.
[00:24:24.060 --> 00:24:27.460]   You know, I meet young people who have playlists and show
[00:24:27.460 --> 00:24:27.960]   them to me.
[00:24:27.960 --> 00:24:28.960]   I go, that's very clever.
[00:24:28.960 --> 00:24:30.860]   I had to be like, but to actually be able to click one
[00:24:30.860 --> 00:24:32.560]   button and it's, I can't.
[00:24:32.560 --> 00:24:36.160]   You know, I've got the mental capacity to put a playlist
[00:24:36.160 --> 00:24:36.560]   together.
[00:24:36.560 --> 00:24:39.960]   But if it does it for me, then I'm going to start listening to
[00:24:39.960 --> 00:24:42.760]   music I haven't heard for years because I've got thousands
[00:24:42.760 --> 00:24:46.560]   of songs on my iTunes, on my main computer, which I don't
[00:24:46.560 --> 00:24:47.060]   hear.
[00:24:47.060 --> 00:24:48.060]   You know, I don't listen to them.
[00:24:48.060 --> 00:24:49.660]   Well, I'm exactly my reaction.
[00:24:49.660 --> 00:24:50.960]   I'm putting it on my main.
[00:24:50.960 --> 00:24:52.360]   It's right on now on my main computer.
[00:24:52.360 --> 00:24:54.660]   And that is it's kind of fun to dredge this stuff.
[00:24:54.660 --> 00:24:57.660]   I'm glad you mentioned audio books because it's time to
[00:24:57.660 --> 00:24:58.460]   take a little break.
[00:24:58.460 --> 00:25:00.560]   We'll come back with more of our analysis.
[00:25:00.560 --> 00:25:01.760]   You know what's coming Bob.
[00:25:01.860 --> 00:25:06.260]   I can tell it's time to talk about audible audible.com/macbreak.
[00:25:06.260 --> 00:25:09.760]   That's the website to go to to get your free audio book from
[00:25:09.760 --> 00:25:10.260]   Audible.
[00:25:10.260 --> 00:25:13.760]   And yeah, when I go to my my audio books selection here, I've
[00:25:13.760 --> 00:25:17.960]   got a hundred books in my, which I don't know, 15 days it
[00:25:17.960 --> 00:25:19.760]   says I'm going to be listening to these books.
[00:25:19.760 --> 00:25:22.960]   But I just it's a it's a it's a security thing for me to know
[00:25:22.960 --> 00:25:25.160]   that I've got several books, different books to listen to.
[00:25:25.160 --> 00:25:27.560]   I just downloaded Never Wear from Neil Gaiman.
[00:25:27.560 --> 00:25:29.960]   I think it was you Bob who tell recommended I can't remember
[00:25:29.960 --> 00:25:30.860]   who recommended that to me.
[00:25:30.960 --> 00:25:32.660]   But I've really been enjoying that.
[00:25:32.660 --> 00:25:35.660]   It is audible is a wonderful resource.
[00:25:35.660 --> 00:25:40.860]   If you want to listen to great literature to trashy fiction
[00:25:40.860 --> 00:25:44.060]   to nonfiction to history, whatever you're reading tastes
[00:25:44.060 --> 00:25:45.560]   or all of the above.
[00:25:45.560 --> 00:25:46.260]   That's my case.
[00:25:46.260 --> 00:25:51.560]   I just I very I might mix it up audible.com/macbreak.
[00:25:51.560 --> 00:25:55.360]   If you've not signed up yet and this is I for most of most
[00:25:55.360 --> 00:25:57.760]   of them, I think it's US only some kids sometimes works
[00:25:57.760 --> 00:26:00.460]   in other countries go to audible.com/macbreak.
[00:26:00.860 --> 00:26:01.760]   Sign up today.
[00:26:01.760 --> 00:26:03.260]   You'll get a credit toward a free book.
[00:26:03.260 --> 00:26:05.760]   [music]
[00:26:05.760 --> 00:26:10.260]   And angels, heavenly angels, a choir will descend and anoint you
[00:26:10.260 --> 00:26:12.260]   the reader of all time.
[00:26:12.260 --> 00:26:14.060]   Audible.com/macbreak.
[00:26:14.060 --> 00:26:18.160]   We thank him so much for the support of Macbreak Weekly.
[00:26:18.160 --> 00:26:21.160]   So the new time I think they in the touch changes were
[00:26:21.160 --> 00:26:22.160]   were pretty significant.
[00:26:22.160 --> 00:26:24.560]   They made me sad because I of course, you know, I bought
[00:26:24.560 --> 00:26:26.360]   an iPod classic.
[00:26:26.360 --> 00:26:30.060]   I bought the now discontinued two weeks ago for Abby
[00:26:30.160 --> 00:26:30.860]   because she was going to France.
[00:26:30.860 --> 00:26:32.960]   I bought the discontinued 80 gigabyte.
[00:26:32.960 --> 00:26:34.760]   I think it was 80 gigabyte iPod classic.
[00:26:34.760 --> 00:26:36.260]   They replaced that with a 120.
[00:26:36.260 --> 00:26:38.160]   Eliminated the 160.
[00:26:38.160 --> 00:26:40.560]   Why do you think they did that?
[00:26:40.560 --> 00:26:42.260]   Christy, any thoughts?
[00:26:42.260 --> 00:26:44.760]   Did they did people not buy the 160?
[00:26:44.760 --> 00:26:47.960]   Well, that's what Apple claims is that they prefer the thinner
[00:26:47.960 --> 00:26:53.860]   one and is it size or is it disc size with or disc size?
[00:26:53.860 --> 00:26:58.760]   Well, with they said people just like the thinner iPod
[00:26:58.860 --> 00:27:01.960]   classic and so they you know about I think the only reason
[00:27:01.960 --> 00:27:03.760]   to buy the classic is for capacity.
[00:27:03.760 --> 00:27:04.460]   So why not?
[00:27:04.460 --> 00:27:05.560]   Because one you can't.
[00:27:05.560 --> 00:27:06.160]   Right.
[00:27:06.160 --> 00:27:08.760]   But apparently it turned out not to be the case.
[00:27:08.760 --> 00:27:10.160]   The people were running for the slimmer one.
[00:27:10.160 --> 00:27:12.160]   So they could still have a very large music library,
[00:27:12.160 --> 00:27:14.160]   but they didn't need to carry everything with it.
[00:27:14.160 --> 00:27:16.160]   I think nobody really wants 160 gigs.
[00:27:16.160 --> 00:27:17.760]   Also, you have to if you're going to do that,
[00:27:17.760 --> 00:27:20.260]   reserve 160 gigs of your computer's hard drive.
[00:27:20.260 --> 00:27:20.760]   Yeah.
[00:27:20.760 --> 00:27:22.360]   And that's not insignificant.
[00:27:22.360 --> 00:27:26.560]   No, so for very, very serious audio files.
[00:27:26.660 --> 00:27:29.660]   Yes, they want the huge iPod, but they're not enough for those
[00:27:29.660 --> 00:27:30.260]   people out there.
[00:27:30.260 --> 00:27:32.460]   I think the just the last so they they put the difference,
[00:27:32.460 --> 00:27:35.860]   put it 120 and that's the biggest one out now.
[00:27:35.860 --> 00:27:37.460]   Yeah, 120.
[00:27:37.460 --> 00:27:38.760]   I mean, it's on its way out.
[00:27:38.760 --> 00:27:40.860]   You know, as soon as they can get flash capacity,
[00:27:40.860 --> 00:27:43.060]   we'll see the end of the hard drive iPod.
[00:27:43.060 --> 00:27:44.160]   I was a little disappointed.
[00:27:44.160 --> 00:27:48.260]   I thought the touch would go higher sizes considerably higher
[00:27:48.260 --> 00:27:48.660]   sizes.
[00:27:48.660 --> 00:27:53.260]   I was I was kind of sad to see the 16 and the 32 and nothing
[00:27:53.260 --> 00:27:53.760]   bigger.
[00:27:53.760 --> 00:27:56.260]   Yeah, I mean, you know, flash comes down.
[00:27:56.360 --> 00:27:57.160]   It'll be there.
[00:27:57.160 --> 00:28:00.260]   Yeah, but I do think that the changes they made were much
[00:28:00.260 --> 00:28:00.560]   needed.
[00:28:00.560 --> 00:28:01.860]   The addition of speakers.
[00:28:01.860 --> 00:28:03.860]   I know people mock that.
[00:28:03.860 --> 00:28:06.060]   I think that's one of the best things about the iPhone is I
[00:28:06.060 --> 00:28:08.460]   can listen to podcasts without plugging in headphones.
[00:28:08.460 --> 00:28:12.360]   I think the addition of a volume control, a physical
[00:28:12.360 --> 00:28:13.960]   volume control, very important.
[00:28:13.960 --> 00:28:17.460]   Still still know still know kind of.
[00:28:17.460 --> 00:28:20.260]   Click wheel analog though, huh?
[00:28:20.260 --> 00:28:22.860]   You can't right, but I've actually heard the speaker.
[00:28:22.860 --> 00:28:24.760]   So they're not very good.
[00:28:24.760 --> 00:28:26.060]   It's terrible.
[00:28:26.060 --> 00:28:28.160]   Worse than the iPhone.
[00:28:28.160 --> 00:28:29.160]   Oh, yeah.
